-0.0015467+0.0022153i,-0.00055436+0.00079707i,-0.0012163+0.00038284i,-0.0014491+0.0020474i,-0.00076455+0.0042593i,-0.00042214+0.0043659i,0.00036545+0.0029868i,0.0014299+0.0018701i,0.0016051+0.00033753i,0.0011691-0.0012605i,0.0012298-0.0018175i,0.0011166-0.0012548i,0.00010379-0.00080189i,-0.00094246-0.0012223i,-0.0015152-0.00094852i,-0.0011126-0.00029155i,-0.0012921+0.00027851i,-0.0011003+0.00020059i,-0.00022622+0.00049i,-0.00036072+0.00024856i,-0.0002288-0.00045367i,0.00078773-0.00079983i,0.00061898-0.00059107i
0.0013937+0.0012304i,0.0014002+0.0013851i,0.0016951+0.0010087i,0.0024776+7.9796e-05i,0.0016098-0.00031406i,-0.00027397-0.00015199i,-0.00072006+0.00030835i,-0.00011091+0.00014143i,0.00060988-0.00071895i,0.0011641-0.0013932i,0.00056757-0.001858i,-0.00082092-0.0017532i,-0.00077659-0.00072548i,-0.00067604+0.00066951i,-0.00076464+0.0013084i,-0.00019077+0.00093665i,5.3329e-05+0.00049428i,0.00030716+0.00021084i,0.00032447+0.00018329i,0.00017139-0.0003861i,0.00038368-0.00056473i,0.00036835-0.00039621i,-0.00015001-0.00012424i
-0.0020399+0.0001227i,-6.5266e-06+0.00010946i,0.00079985+0.0010955i,0.00056623+0.0024212i,0.00067395+0.002595i,0.00056279+0.0019241i,0.00030114+0.00082313i,0.00057984-6.6134e-06i,0.001236-0.00025584i,0.0011723+2.9979e-05i,-3.8839e-05-7.4161e-05i,-0.0002571-8.905e-05i,-4.6507e-05-0.00021627i,-0.0002331-0.00013475i,-0.00024369+0.00061019i,0.00043722+0.00037938i,0.0003413-0.00017778i,-0.00014239-0.00054193i,-0.00017306-0.00037058i,1.8644e-05-0.00010348i,-2.3312e-05-0.0002988i,3.1003e-05-0.00069731i,0.00056516-0.00043788i
0.0021329+0.0008245i,0.0025363+0.0014131i,0.0026197+0.0013001i,0.0022401+0.00019496i,0.0013332-0.00010553i,0.0004169+0.00015419i,-0.00015799-0.00045536i,-0.00011608-0.00073621i,0.00065283-0.0012749i,0.00072741-0.0010838i,4.0392e-05-0.00022673i,-0.00020867-7.8369e-05i,0.00038226+0.00024479i,0.0006921+0.0003078i,0.00021462-7.6657e-05i,-0.00024632+0.00039342i,-0.00047164+0.0008587i,-0.00013868+0.00080076i,-3.7318e-05+0.00058792i,-0.0003426-0.00033179i,0.00014688-0.00058168i,0.00087847+4.7377e-05i,0.00048823+0.00023597i
-0.00067317-0.0016833i,-0.00015382+3.852e-06i,-0.00085509+0.00035511i,-0.0014415+0.0002525i,-0.0020301+0.0024569i,-0.0011724+0.0037233i,0.00035032+0.0028661i,0.0011753+0.0019126i,0.0013893+0.00067589i,0.00038117-2.4583e-05i,-0.00029522+2.1389e-05i,0.00015399+0.00023549i,0.00038147+0.00021064i,0.00032608-0.00024122i,0.00016681-2.4366e-05i,0.00034122+0.00051554i,0.00037028+0.00071832i,-0.0001077+0.00061683i,0.00016849+0.00053493i,0.00022605+0.00085117i,-0.00040488+0.00070048i,-6.5637e-05+0.00048393i,0.00059614+0.0010721i
0.0015851-0.00053113i,0.0015117-0.00054163i,0.0011043-0.00085363i,0.00090504-0.00070969i,0.0010338+0.00020595i,0.00073802+0.00035811i,0.00091083-0.00063635i,0.0013952-0.0013383i,0.001558-0.00098318i,0.0010154-0.00052052i,0.00015022-7.6455e-05i,-0.00042586-0.00010578i,-0.00064429-0.00092561i,-0.00077568-0.0012618i,0.00016653-0.00064246i,0.00035489-0.00045933i,2.8632e-05-0.00058391i,9.1825e-05+4.1496e-05i,0.00020687+0.00061463i,5.0532e-05+8.7014e-05i,-5.0978e-05-0.00060068i,0.00047841-0.00024601i,-0.000379-0.00047639i
0.002356+0.00026188i,0.0028698-0.00036714i,0.0020705-0.0014069i,-0.00013149-0.0010104i,-0.0017351-0.00022533i,-0.0018121+0.00021532i,-4.3821e-05-7.8668e-05i,0.0016005-0.00026734i,0.0017549-0.00026476i,0.00088243-0.00055344i,-7.6049e-05-0.00066603i,-0.00065823-0.00060703i,-0.00052277-0.00053572i,-0.00038298+0.00020738i,-0.00089511+0.00084886i,-0.0011871+0.00097161i,-0.0006871+0.00062143i,-0.0006185+0.00015935i,-0.00026413-5.7688e-05i,-0.00030335+0.00036718i,-0.00050904+0.0010758i,-0.00013687+0.0010386i,-7.8663e-05+0.00059808i
0.00081917-0.0017901i,0.0013221-0.00029732i,0.000595+0.00057936i,-0.00098952+0.00026087i,-0.0013713+0.00060689i,-0.0006475+0.00095213i,-0.00010074+0.0005723i,0.00031768+0.00026507i,0.0011338+0.00030071i,0.0010882+0.00031919i,0.00096844+0.00013483i,0.0014763-0.00020237i,0.0012609-0.00052209i,0.00044386-0.00047223i,-0.00016815-0.00066449i,-0.00035928-0.0009824i,9.6242e-05-0.0013069i,0.0003728-0.00058495i,0.00024903-0.00040847i,0.00049026-0.00065157i,0.00087515-0.00030125i,0.00018909+0.00066084i,-2.7174e-05+0.00083462i
-0.0016192+0.0017478i,0.0010827+0.0018513i,0.0025522+0.002263i,0.0023586+0.0023171i,0.0016994+0.0022584i,0.00065957+0.0018515i,0.00061861+0.00055264i,0.0014405-0.00030849i,0.00072794-0.00067667i,0.00011585-0.00092564i,0.0011588-0.00082028i,0.0012233-0.00052739i,0.00062347-0.00029846i,-3.658e-05+2.3662e-05i,-0.00085943+0.00044125i,-0.00024783+0.00045311i,0.00066555+0.00046653i,0.00073931+0.00022281i,-0.00034157-6.3707e-05i,-0.00078693+0.00036008i,0.00042066+0.00083335i,0.00051238+0.00017576i,-0.00049018-0.00061595i
0.00069383+0.0014478i,0.0014108+0.0018656i,0.0022948+0.0014912i,0.001699+0.00083861i,0.00087771+0.00026101i,0.0011127-0.0001286i,0.00072727+0.00049967i,-0.00011469+0.00083104i,-0.00070809+0.00028538i,9.6815e-05-0.00096005i,0.0010989-0.0017528i,0.00084094-0.00094834i,0.00012387-0.00010161i,-0.00027121+0.00015972i,-0.00056012-0.00042186i,2.2393e-05-0.0010602i,0.00053935-0.00083743i,0.00050955-0.00088521i,0.00024005-0.00085262i,-0.00039001+0.00051378i,-0.0012296+0.00094256i,-0.0013334+0.00054056i,-0.00062543+1.7436e-05i
0.00023091-0.00010084i,0.00075895+0.0002514i,0.00015188+0.00060771i,-0.00079501+0.0011618i,-0.00062263+0.0015666i,-0.00014554+0.0015807i,-0.0001118+0.0015407i,0.000427+0.0014892i,0.00093136+0.00074703i,0.00051668-0.00074293i,0.0004298-0.0007536i,0.00058904+0.00031067i,0.00022219+0.00023132i,0.00065208-0.00071109i,0.00092555-0.00053963i,0.00067699-0.00049766i,-0.00015687-0.00027371i,-0.00077267-7.1747e-05i,-0.0005488-0.00033462i,-0.00063031-0.00015594i,-0.00046453+0.00028814i,-3.8543e-05+0.00060892i,-4.2245e-05+0.00027245i
0.00049989+0.0024731i,0.0016013+0.002152i,0.0026223+0.0020263i,0.0029286+0.0022069i,0.0017454+0.001169i,0.00064095+8.5125e-05i,0.00028711+8.8331e-05i,0.00056017-0.00063585i,0.001126-0.00070074i,0.00088405+0.00031446i,0.00067569+0.00025385i,0.00069956+0.00016687i,-0.00033241+0.00031469i,-0.00045345-3.5256e-05i,-0.00029742-5.6693e-05i,-6.6853e-05+2.3567e-05i,0.00049243+0.0007566i,0.00055358+0.0009442i,0.00013712-0.00018358i,0.0004283+0.00012576i,0.00054098+0.0008444i,0.00053059+0.00042i,0.00079914+0.00032617i
-0.00015118-1.2914e-05i,0.00019025+0.00045086i,0.00042407+0.00085632i,0.00060416+0.0014055i,-6.0597e-05+0.0017173i,0.00014589+0.0011148i,0.00033242+0.0002852i,-5.3135e-05+0.00027082i,0.00011308+0.00017509i,0.00011023+0.00011135i,6.1254e-05+0.00035059i,0.00026938-3.9079e-05i,0.0001049-0.00038323i,-0.00036946-0.00026993i,-0.0008719-0.00024601i,-0.00080427-0.00022946i,-0.00032419-0.00020931i,-0.00061128-0.00037375i,-0.00059501-0.00010732i,-0.00028387+0.00029067i,-0.00021845+0.00069756i,-0.0002331+0.00090738i,-0.00024946+0.00092778i
0.00047194-0.00096235i,0.0006284-0.00086953i,-0.00060616+0.00036686i,-0.0022765+0.0011117i,-0.0018388+0.00194i,0.00010602+0.0026028i,0.00037905+0.0015242i,0.0006072+0.00051795i,0.0004939+9.7394e-05i,-0.00022729-0.00013543i,-5.7547e-05-0.00029792i,0.00077627-0.00036776i,0.0010719-3.7117e-05i,0.00048413-0.00032065i,-0.00022829+1.6025e-05i,-0.00080215+0.0004376i,-0.00067989-1.4733e-05i,-0.0002115-0.00018726i,-0.00049902+0.00068299i,-0.00089223+0.0010894i,-1.2139e-05+0.0010175i,0.00088256+0.00050356i,0.00068278+0.00044767i
0.00094589-0.00080602i,0.0017238-0.00080129i,0.00042969-0.00019272i,-0.00095911+0.001218i,-0.0011422+0.0017071i,-0.00097335+0.00076445i,-0.0006102+0.00058987i,0.00014571+0.00056933i,0.0002136+9.4681e-05i,-5.7726e-05-0.00012503i,-3.5911e-05+7.0556e-05i,-4.0539e-05-2.8121e-05i,-2.9746e-05-0.00064554i,4.6374e-05-0.0012325i,0.00015269-0.00097525i,-0.00020828-0.00056543i,-0.00083173-0.00045124i,-0.0010066-0.00083937i,-0.00043095-0.0006436i,0.00045508-0.00012599i,0.00044473-0.00021732i,-0.00016749-5.3592e-06i,-0.00032209+0.00064984i
0.0012592+0.0012539i,0.0019906+0.0015559i,0.0024535+0.0015344i,0.001528+0.00020126i,0.00054911+0.00052185i,0.00038842+0.0010993i,0.00024834+0.00032553i,-1.781e-05+0.00027361i,0.00079148+5.1893e-05i,0.0011355-0.00058428i,0.00016219-0.00061089i,-0.00039623-0.00045588i,-1.9276e-05-0.00030961i,0.00011512-0.00034147i,3.2193e-06-0.00032274i,0.00023021+0.00016926i,0.00047198-5.1969e-05i,0.0012932-0.00090933i,0.0013069-0.0015535i,0.00032158-0.001183i,0.00065224-0.00037743i,0.0011444+5.2543e-05i,0.00084162+0.00028129i
0.0010116-8.9782e-06i,0.00046444-0.00037253i,-0.00069202-0.0010884i,-0.0011404-0.0008425i,-0.00099471+0.00016658i,-0.0013694+0.0012972i,-0.0012023+0.00090829i,-0.00022049+0.00041819i,0.00025494+0.00034369i,2.7788e-05+0.00011826i,-0.00049965+2.0156e-05i,-0.00054628+0.00022929i,-2.783e-05+9.146e-05i,0.0003728-1.0746e-05i,0.00054166-0.00072899i,0.00018855-0.0013795i,1.5814e-05-0.00022075i,0.0002916+0.00081277i,-0.00047575+0.0006748i,-0.00078844+0.00064778i,-0.00034788+0.00077435i,2.9357e-05+0.00019544i,0.00026589-5.924e-05i
0.00068171+6.873e-05i,0.0025007-0.0012477i,0.0025412-0.00095473i,0.0017031-0.00058922i,0.0004666-0.00068744i,-0.00027371+0.00058061i,-0.00026043+0.0015323i,0.00014882+0.0012318i,0.0012118-0.00026148i,0.0015893-0.0020775i,0.0010075-0.0014507i,0.00027973+6.2419e-05i,-1.929e-05+0.0003994i,-0.00044631-0.00014957i,-0.00026937-0.00024378i,0.0007829+8.5197e-06i,0.00057026+0.0004141i,-0.00019696+0.00019555i,0.0001741-0.00023876i,6.725e-05+0.0005649i,-0.00040022+0.00082052i,-0.0004679+0.00038684i,-0.000484+0.00039361i
-0.00031321+0.00056198i,0.0013416+0.00064582i,0.0014367+0.0012066i,0.00038745+0.0021068i,0.00010421+0.00234i,0.0013822+0.0009938i,0.0020262+0.00060363i,0.001524+0.001137i,0.0013502+0.0012098i,0.00036568+3.7343e-05i,0.00010023-0.00083444i,0.00042543-0.00020942i,-0.00044559+0.00013267i,-0.0010222+0.00030553i,-0.00064885+0.00053938i,-7.0766e-05+0.00046718i,0.00035135+8.2757e-05i,7.282e-05+0.00034805i,-0.00054506+9.9893e-05i,0.00027403-0.00024403i,0.00094796-0.00018067i,0.00081232-7.6678e-05i,0.00035566+0.00022755i
-0.00010556+0.00051665i,0.0013617+0.0013971i,0.0024087+0.00091815i,0.00091473+0.0016057i,0.00015459+0.0024922i,0.00054314+0.0018198i,0.00066602+0.00047284i,0.0010892-0.00079652i,0.0013479-0.0010918i,0.00097933-0.00043031i,0.00023438+0.00048867i,0.00016568+0.00088178i,0.00030649-8.8515e-05i,-0.00024611-0.0009355i,-0.00035553-0.00044073i,0.00048541+0.00013799i,0.00021585+0.00018433i,-0.0002755-7.6233e-05i,-0.00016768-4.0088e-05i,-0.00088666+0.00043523i,-0.00039981+0.00012834i,0.00057448+0.0002856i,0.0003282+0.00060783i
0.00044709-0.0010126i,0.00070194+0.00025838i,-7.9586e-05+0.00022272i,-0.001536+0.0010086i,-0.0030436+0.0021922i,-0.0025048+0.0017569i,-0.00071334+0.00064007i,0.00073932+0.00027969i,0.0016397-0.00039236i,0.0007984-0.00087314i,0.00012475-0.00062485i,0.0005881-0.00070633i,0.00108-0.00052969i,0.00094859-2.8939e-05i,0.00054723-3.9673e-05i,0.00018096-0.00027337i,0.00050265-0.00040485i,0.00025104-6.2386e-05i,-0.00036687+0.00024514i,-0.00053953+3.5676e-05i,-0.00057677-0.00033518i,3.2586e-05-1.4888e-05i,0.00054795+0.0010444i
-0.00068104+0.0013803i,0.0011092+0.0032717i,0.0022099+0.0043921i,0.0017061+0.0035392i,0.00064974+0.0022645i,0.0013804+0.0010023i,0.0025148+8.7623e-05i,0.0023589-0.00058284i,0.0024818-0.00047735i,0.0022854-0.00024742i,0.0016128+7.8216e-06i,0.00037729+0.00050768i,-0.0011051+0.00037407i,-0.0017866-0.00032333i,-0.0017066-0.00077388i,-0.0012909-0.00035704i,-0.00066126+0.00021878i,-0.00019753+0.00035544i,-0.00010913+0.00081114i,-0.00022618+0.00088235i,-0.00012974+0.00014202i,0.00077661+9.2618e-05i,0.0016458+0.00069661i
0.001173+0.00034048i,0.0018478-0.00086462i,0.0009441-0.0019756i,-0.00017349-0.00095697i,-0.00017253+0.0004559i,-0.0001603+0.00079002i,-0.00080097+0.00057268i,-0.00073196+0.00044263i,0.00027694+0.00017184i,0.00067866-0.00050398i,-0.00026956-0.00074717i,-0.00015392-0.00052646i,0.00061759+9.0364e-05i,0.00051169-0.00020131i,0.00013841-0.00044669i,4.5394e-05-9.7572e-06i,0.00047111+0.00051438i,0.00050264+0.00050814i,0.00028921-4.9499e-05i,0.00060798-0.00053396i,0.00090089-0.000431i,0.00065113-5.43e-05i,0.00040004+4.3431e-06i
-0.00099494+0.00060829i,0.0002568+0.0018622i,0.0010362+0.0021585i,1.5006e-05+0.0022765i,-0.0010599+0.0020637i,-0.001577+0.0014951i,-0.0014376+0.00052439i,-0.00048816+0.00041775i,-7.0471e-05+2.2851e-06i,-2.6656e-05-0.00026845i,0.00043675+0.00021018i,0.00049483+0.00048255i,0.00012488+2.6194e-05i,-0.00034513-0.00094761i,-0.00090988-0.0013415i,-0.0011362-0.00079455i,-0.00049232-0.0010788i,0.00087601-0.00145i,0.00071311-0.00058513i,0.0005515+0.0004613i,0.00061414+0.00086399i,0.00082823+0.00056713i,0.00087092+0.00032123i
0.00093018+0.0030694i,0.0024023+0.0031313i,0.0035153+0.0022853i,0.0031042+0.0019469i,0.0025281+0.0013464i,0.0020736+0.00025875i,0.001221+0.00011624i,0.0006003-0.000203i,0.00052947-0.00049206i,0.00089737+0.00017508i,0.00088132-0.00018579i,-7.1925e-05-0.0010253i,-0.00043796-0.0014755i,-0.00052259-0.001099i,-0.00034523-0.00048046i,-0.00023119-0.00055226i,-0.00029885-0.00049085i,-0.00020984-0.00049787i,0.00050364-0.00021877i,2.5694e-05+0.00034808i,-0.0006892+0.00031617i,-0.00017463+6.9936e-05i,0.00022173+0.00019814i
0.00046235-0.0014567i,0.0010912-0.0010794i,-7.218e-08-0.0012281i,-0.00080345-0.0012107i,-0.0019139+0.0008176i,-0.0020734+0.0026963i,-0.0010152+0.0017676i,3.3075e-05+0.00028834i,0.00066086-6.6129e-05i,0.00044556-3.7217e-05i,7.3419e-05+0.00020118i,-3.776e-05-0.00019201i,0.00054452+5.1919e-06i,0.00096584+0.00051229i,0.0007302+0.00031319i,-3.0301e-05+0.00010726i,0.00030674+0.00020032i,0.0001987-0.00017829i,-0.00055519-0.00058752i,0.00020155-0.00044922i,0.0010259-0.00031715i,0.0010655+0.00038012i,0.0010464-1.5063e-05i
0.0024965+0.002117i,0.0032703+0.0011557i,0.0029183-0.0014054i,0.0012173-0.0014127i,-0.00055313-0.0005173i,-0.0012449-0.00012383i,-9.7226e-05-1.1766e-06i,0.00057506-0.00013853i,0.0010008-0.00086189i,0.0010485-0.0011667i,0.00014242-0.00019149i,-0.00014022+0.00035491i,0.00013196-0.00087008i,0.00035729-0.0010681i,0.00014493-0.00069466i,1.4034e-05-0.00030697i,1.2262e-05+0.00020187i,-0.00012226+0.00018279i,-0.00026586+0.00050909i,-0.00013656+0.00038143i,-0.0004491-0.00028227i,-0.00021173-0.00032925i,-4.0688e-05+9.5097e-05i
0.00023858+1.3349e-05i,0.00093019+0.00050861i,0.0010797+0.0012322i,0.0012005+0.00030177i,0.00031355+2.8656e-05i,-0.00069968+6.7066e-05i,-0.00050563-0.00020423i,-0.00013611-0.00059674i,0.00062462-0.00033716i,0.00047795-0.00031703i,3.8405e-05-0.00070083i,-0.00054232-0.00055316i,-0.00020417-0.00061641i,0.000357-0.0001102i,0.00050954+0.00061691i,-1.6485e-05+0.00044245i,-0.00036457+6.7481e-05i,-0.00018528+8.7238e-05i,-0.00033114+0.00032605i,9.4312e-05+0.00098376i,0.00029042+0.0007078i,0.00062972+0.00041521i,0.00026537+0.00038032i
0.00052392-0.00070433i,0.00066028+2.8565e-05i,-1.9104e-05+0.0012329i,-0.0002447+0.001881i,-0.00092194+0.0024662i,-0.00063393+0.0026264i,0.00057445+0.0013682i,0.00077211+0.0010882i,0.0011636+0.00075859i,0.0015815-0.00014761i,0.0013513+8.7736e-05i,0.00058705+0.00078874i,0.00028148+0.00028775i,0.00078559-0.00033373i,0.00085031+0.00021725i,0.00059933+0.00063783i,1.7755e-05+0.00032048i,-0.00014933+6.0944e-05i,-9.245e-05-0.00010874i,-0.00022741-0.00050328i,-0.0001317-2.5185e-05i,0.00011332+0.00066416i,0.0009115+0.00037959i
0.0021207-0.00034368i,0.00261-0.0018981i,0.002547-0.0022082i,0.00048756-0.0016545i,-0.0021343-0.0012711i,-0.0028656-0.00069692i,-0.0016936-0.00013152i,-0.00017391+0.00067019i,0.00045038+8.6171e-05i,0.00051368-0.0011383i,7.5393e-05-0.0011303i,0.00021032-0.00012305i,0.0013956+0.00097875i,0.00092031+0.0011084i,1.7625e-05+0.00067843i,7.4581e-05-0.00029372i,3.5757e-05-0.0007029i,-0.00022345-0.00045866i,-0.0003211-0.00074004i,-0.00026047-0.00063087i,-0.00081549+0.00021887i,-0.00079473+0.00038682i,-0.00023263-0.00021962i
0.0029433+0.00058691i,0.0033392-0.00012154i,0.0029784-0.00092291i,0.0018097-0.00040346i,-0.0002876-0.00013894i,-0.0011904-0.00025768i,-0.00039559+0.00036113i,0.00021636+0.00061946i,0.00059494+0.00096298i,0.00043276+0.00018108i,0.00068498-0.0008822i,0.00024522-0.00021302i,-0.00015967+0.00012399i,-0.00039105-0.00023317i,-0.0010223-0.00047101i,-0.0013335-0.0001115i,-0.00043258+0.00033747i,0.00015944+0.00011372i,0.00010718+0.00013695i,0.00034035+0.0009983i,-0.00012729+0.001051i,-0.00071102+0.00024716i,0.00012994-7.9516e-05i
0.0012337-0.0001271i,0.0015048+3.6266e-05i,0.0014864+0.0011158i,0.00092106+0.0010235i,0.00048478+0.00061059i,0.00036917+0.0014434i,0.00086275+0.0011545i,0.0014724+0.00035558i,0.0011236+7.2958e-05i,0.00046198+8.4185e-05i,-0.00010824-8.5169e-05i,-0.00033895-0.00020908i,-0.00078257-0.00021416i,-0.00076727-1.0642e-05i,-0.00047181+0.00065514i,-5.4467e-05+0.00075486i,9.7619e-05-9.6355e-05i,9.1265e-06-7.4359e-05i,0.00016137+0.00029334i,-0.00042842+0.00042352i,-0.00090365+0.00063536i,-0.00052616+0.00056568i,-0.00014609+0.00051962i
0.00080413-0.0005318i,0.0010329-0.00035639i,0.00051068+0.00095338i,0.00083109+0.0016029i,0.00045582+0.001351i,-0.00025455+0.0010533i,-0.00053088+0.00081465i,-0.00025336-0.00019256i,0.00028075-0.0010223i,0.00040703-0.001177i,-0.00011669-0.00055048i,-0.00084137-0.00010239i,-0.00025202-2.5217e-05i,0.00032496+8.7765e-05i,-0.0002138-0.0002557i,-7.4633e-05-0.00041944i,0.00034672+0.00036208i,0.00087608-0.00015155i,0.00085134-0.00095982i,-0.00028308+2.4866e-05i,-0.00075135+0.00039423i,-0.00050954+0.00024061i,-0.00034091+0.00011519i
0.00053283-0.00029332i,-0.00024936-8.2525e-05i,-0.001046-0.00012616i,-0.0017887-0.00066393i,-0.0022631-0.00069117i,-0.0020178-1.4567e-05i,-0.00095923+0.00083439i,0.00024514+0.00066893i,0.001066-0.00042729i,0.00088574-0.0008523i,-0.00030463-0.0013456i,-0.00093536-0.0014638i,-0.00038927-0.0010772i,0.00012731+2.2214e-05i,0.00025763+0.00083143i,0.00025235+0.00057222i,0.000123-0.00040175i,-0.00047254-0.00069848i,-0.0010009+0.00031161i,-0.00033799+0.00039605i,0.00055756+0.00038043i,0.00042602+0.00093234i,0.00019674+0.0010677i
-0.00066422+0.00096171i,0.00030083+0.0018276i,0.00052164+0.0028663i,-0.00050277+0.0037417i,-0.00018101+0.0039938i,0.00097905+0.0028485i,0.0008743+0.0013085i,0.00070499+0.00023416i,0.0010528-1.9159e-05i,0.00061488+0.00039133i,0.00065847+0.000319i,0.00089272-0.00062468i,0.00050004-0.00084888i,0.00071102-0.00070052i,0.00046034-0.00025885i,-0.00011733+0.00066005i,-0.00023347+0.0010399i,0.00029212+0.00083733i,0.00014206+0.00086712i,-0.00051975+0.0012467i,5.3808e-05+0.00093144i,0.00084511+0.00051097i,0.00043675+0.00059906i
0.0015051+0.00071206i,0.0023409+0.00037045i,0.0034747-0.00020722i,0.0035094+1.3416e-05i,0.0021211+0.00018506i,0.00048811+0.00025307i,-0.00026659+0.00067758i,9.7825e-05+0.00047954i,0.0010247-0.00026183i,0.00098396-0.0004893i,0.00061826-0.00011084i,0.00060538+0.00023079i,0.00038286+0.0001731i,0.00041073-5.2735e-05i,-0.00013593+0.00024847i,-0.00055037+0.00016796i,-0.00037843-0.00038094i,-0.00063258-0.00048743i,-0.00021881-0.00037959i,0.00062678+0.00011583i,0.00032493+0.00064498i,-0.00085645+0.00053708i,-0.00078791+0.00041786i
-0.00054861+0.0015878i,0.00080666+0.0022202i,0.00088786+0.0019729i,9.7163e-05+0.0020555i,-0.00033517+0.001969i,-0.00059755+0.0011404i,-0.00033467+0.00078962i,-0.0003645+0.00044254i,0.00042107+1.3058e-05i,0.0010805-0.00049442i,0.00083265-0.00044633i,-8.7882e-05-1.8702e-05i,-0.00075375+0.0001362i,-0.00052042-0.00026711i,-0.00025239-0.0011297i,-0.0002601-0.0011909i,-0.00041562-0.00044521i,-0.00054002-1.2688e-05i,3.8467e-05-0.00041461i,9.0315e-05-0.00013854i,0.00039937+0.00044283i,0.00075357+0.00041118i,0.00018474+0.00075751i
0.0012786+7.3776e-05i,0.0019379+6.0335e-06i,0.0018935-0.00027657i,0.00040338+0.00058617i,-0.0010242+0.0016301i,-0.0007425+0.0018488i,-3.6787e-05+0.0012509i,0.00052464-6.106e-05i,0.00037448-0.00092242i,-0.00033387-0.00068213i,-0.00078946-0.00048954i,-0.00070346-0.00046764i,-0.00043266-0.00027322i,-0.00019863-0.00026611i,-0.00011602-0.00025982i,0.00014391-0.00026564i,0.00070316-0.00014866i,0.00025731-0.00020077i,-0.00032846-0.00041926i,-7.309e-05+0.00012833i,1.9591e-05+0.0008982i,0.00049163+0.0009347i,0.00057622+0.00025329i
-0.0011311-0.0002073i,4.5087e-05+0.00096264i,9.9559e-05+0.0019354i,0.00048596+0.002882i,-8.8894e-05+0.0036918i,-0.00083778+0.0022089i,-0.00065275+0.00051355i,0.00074284-0.00026164i,0.00087489-0.00073483i,0.00021802-0.00042202i,0.00065734-5.5675e-05i,9.5574e-05-0.00072284i,-0.0004134-0.0013592i,-0.00021884-0.0010359i,5.2292e-05-0.00077762i,-0.00038525-0.00060865i,-0.0012495-0.0002965i,-0.00033595-0.00030441i,0.00066834-0.00015015i,4.6492e-05-0.00012914i,0.00011057-0.00016213i,0.00018515+0.00029104i,-0.00026928+0.00024537i
0.0027535-0.00085343i,0.0028859-0.00076807i,0.0025936-0.00079481i,0.0011059-0.0013671i,-0.0009168-0.0015115i,-0.0011631-0.00044062i,-0.00034232+0.00055358i,0.00026785+0.00083561i,0.00051276+7.8781e-05i,0.00071077-0.00065937i,0.00077304-0.00059703i,0.00071476-0.00073663i,0.00081444-8.9239e-06i,0.00066122+0.00068486i,0.00046682+0.00062561i,0.00044917+0.00042093i,6.0339e-05+0.00029512i,0.0003655+0.00088837i,0.00053992+0.0013665i,-0.00047791+0.0011397i,-0.00096684+0.0010907i,-0.0012195+0.0013057i,-0.00083863+0.00066343i
7.2714e-05+1.155e-05i,0.0014654+0.00074456i,0.001887+0.0011797i,0.00028668+0.0013056i,-0.00094452+0.00062224i,-0.00043153-0.00021676i,-0.0001461+7.8171e-05i,0.00022785+0.00080788i,0.00087986+0.00089979i,0.00026768+0.00016158i,-0.00063147+0.00046003i,-0.00044526+0.0011474i,-0.00049756+0.00095152i,-8.8487e-05+0.00053238i,0.00020777+0.00076441i,-0.00056663+0.0002273i,-0.00014108-0.00022337i,0.00019278-0.00035446i,0.00019514-0.00065357i,0.00080733-0.00030565i,0.00082806-0.00015415i,0.00019365-0.00018679i,-0.00019435+0.00042123i
0.00021371+0.00030399i,0.00040346-0.0004798i,0.0012542+4.6305e-05i,0.00081306+0.00047336i,-0.00075718+0.00049578i,-0.0014993+7.8608e-05i,-0.00079868-3.0759e-06i,4.4592e-05-0.00018994i,0.00036724-0.00052401i,0.00016815-0.00047866i,5.3651e-05+0.00045851i,-0.00039174+0.00031336i,-0.00042441-0.00077869i,8.9445e-05-0.0010604i,-1.174e-05-3.1446e-05i,-0.00028263+0.00064547i,-0.00037482-7.7981e-05i,-0.00069247-0.0013671i,-1.121e-05-0.0013455i,2.0179e-05-0.00036413i,5.1394e-05-0.00019508i,0.00077875-0.00017528i,0.00099583-4.0879e-05i
0.0010876+0.00091802i,0.0018416+0.0018263i,0.0036475+0.0028585i,0.0032639+0.0021553i,0.0015596+0.00055587i,0.00021626-0.00030558i,-0.00066064-0.00021575i,8.3167e-05-2.9081e-06i,0.00092087-0.00020526i,0.0014667-0.00043797i,0.0012657-0.00036182i,0.00026858-0.00016735i,-0.00021157-0.00040974i,-0.00032377-0.00027558i,-0.00076401-0.00018597i,-0.0010704+0.00012399i,-0.00029929+0.0006374i,-0.00039479+0.00054405i,-0.00061275+0.00044163i,-0.00051588+0.0003793i,-0.00066219+0.00017768i,-0.00031033-3.6955e-05i,-0.00032159-0.00012422i
0.00077633+3.8232e-05i,0.0009682-0.0001729i,0.00078484+0.00067316i,0.00021356+0.0019712i,-0.00037201+0.0021123i,-0.00046784+0.0014741i,0.000157+0.0011358i,0.00029231+0.0012833i,-0.00058362+0.00047894i,-0.00031765-0.00055352i,-0.00070105-0.00022349i,-0.0012694+7.867e-05i,-0.00017791-0.00053343i,0.00086716-0.0001538i,0.00078483-0.0001161i,-8.62e-05-0.00032789i,-0.00043064-8.4194e-05i,-0.00036341+0.00021193i,-0.00055185+0.00026838i,-0.00029585+0.0005611i,0.00068057+0.00020278i,0.0010879-0.00059607i,0.00057317-0.00041482i
