-0.0023073+9.9363e-05i,-0.0021852-0.00020469i,-0.0026204+0.00035892i,-0.0015167+0.0013358i,3.8135e-05+0.0023578i,-0.00011181+0.0019289i,-0.00020776+0.0011261i,0.00065605+0.00055583i,0.00091694+0.0004898i,0.00022623+0.00019588i,0.00036556-0.00049891i,0.00021607+0.00013484i,-0.00047964+0.00049613i,-0.00047149+0.00011964i,-0.0004855+0.00040376i,-0.00049456+0.00027933i,-7.4957e-05-0.00020475i,9.521e-05+2.2831e-05i,-1.0811e-05+2.6875e-05i,-4.6268e-06-0.00021463i,-0.00012175+0.0002175i,-0.00097937-0.00011895i,-0.0014423-0.00055406i
0.0016378+0.00048686i,0.0016578+0.00019889i,0.0024125+0.00061943i,0.0018685+0.00086311i,0.0010985+0.0012286i,-6.1846e-05+0.0013908i,-0.00049841+0.0012284i,-0.00025299+0.0012418i,-0.00015963+0.00086177i,-0.00060409+0.00023421i,-0.001143+0.0001682i,-0.0013437+0.00096507i,-0.0012656+0.00080909i,-0.0010312-0.00010151i,-0.00077344-0.0004201i,6.1405e-05-0.00048961i,0.00016785-0.00048272i,-0.00019136-0.00053657i,0.00025006-0.0001564i,0.00063471+0.00042888i,0.00021761+0.00047306i,0.00039011+0.00033826i,0.00038188+0.00030978i
-0.0017835+3.9853e-05i,-0.00064189-0.001053i,0.00010891-0.0011453i,-8.0216e-05+0.00043828i,-0.00034677+0.0015959i,0.00013507+0.001038i,0.0014197+0.00027466i,0.0019775+0.00022887i,0.0012043+0.00085318i,0.00070319+0.00095581i,-7.5522e-05+0.0005056i,-0.0010969+0.00055674i,-0.001596+0.00074138i,-0.001646-4.8185e-05i,-0.0007277-0.00072285i,-0.00053688-0.00048997i,-0.00095723+4.6192e-05i,-0.00041287+0.00052883i,0.00035199+0.00027974i,3.3609e-05-0.00028571i,-4.8148e-05-0.00049645i,0.00028771-0.00063854i,0.00075576-0.00058944i
0.00081733+0.0002421i,0.0010716+0.00010494i,0.0018004+0.00051752i,0.0024117+0.00013256i,0.0030064-0.00019651i,0.0024666-0.00012319i,0.0014917+1.3113e-05i,0.0004366-1.7863e-05i,-0.0004912-3.6567e-05i,-0.00096486-0.00044026i,-0.0014081-0.00093507i,-0.0011348-0.00077826i,-0.00046484-0.0004798i,-0.0012069-0.00026122i,-0.0012035-6.2128e-05i,-0.0011112+3.8572e-06i,-0.0012609+0.00037237i,-0.00034732+0.0007932i,0.00052775+0.00035034i,0.00088033+3.7871e-05i,0.00051056+0.00022899i,-6.5479e-05-2.9416e-06i,-0.0006789-7.3452e-05i
0.0017748-0.0010298i,0.0012766-0.0011764i,7.6984e-05-0.00064501i,-0.00089812+0.00026223i,-0.00062971+0.0010377i,-9.3029e-07+0.0010691i,0.0011097+0.00060055i,0.00076045+0.00070945i,0.00028434+0.00010412i,-0.00048126-5.5535e-05i,-0.0013299+0.00027286i,-0.00072465+0.00056231i,-0.00041717+0.00039492i,-0.00031342-0.00010597i,-0.00071375-0.00032994i,-0.00051456+0.00023886i,0.00039339-0.00039286i,0.00063836-0.0013661i,-0.00046593-0.00073733i,-0.00070565+0.00026591i,-0.00014815+0.00045986i,-1.7668e-05-8.783e-05i,0.00035854-0.00019306i
0.00019606+0.00068806i,-5.4768e-05+0.00083313i,-0.00075183+0.0016498i,5.0275e-05+0.0019321i,0.0010377+0.001479i,0.0021023+0.00052336i,0.0017678+2.7333e-05i,0.00026725+0.00040887i,-0.00059973+0.0009164i,-0.00083056+0.0009506i,-0.001022+0.00052807i,-0.0012409-5.2742e-06i,-0.0014882-0.00027561i,-0.00080689-0.00011666i,-0.00055546+0.00071444i,-0.001131+0.00061192i,-0.0010894+0.00050925i,-0.0011377+0.00090799i,-0.0012112+0.00045633i,-0.00087857-0.00011308i,-0.00072292+0.00016107i,-0.00097633+0.00040206i,-0.0010292+0.00049494i
0.00041563-0.001156i,0.0011942-0.0021435i,0.00037928-0.0015383i,-0.00021512+0.00019728i,0.00013946+0.0010376i,0.0010435+0.0010769i,0.0014925+0.00095954i,0.00047511+0.00075664i,-0.00059725+0.00044543i,-0.00054533+9.791e-05i,-0.00030849+9.5879e-05i,9.899e-05+0.00024578i,-3.8056e-05+2.9238e-05i,-0.00015425-0.00029077i,-0.00013085-0.0006698i,-0.00041241-0.00064571i,-0.00040097+4.8458e-07i,0.00069199+0.00028645i,0.00079068+4.1703e-05i,-3.9964e-05-0.00020965i,-0.00016388-0.00018728i,-0.00042815-0.00025293i,-0.00027201-0.00014669i
0.00038319-0.00014487i,0.00091584-0.00018326i,0.00014876-0.0010052i,-0.00013337-0.00063625i,-8.5978e-05+0.0010269i,0.0008796+0.00185i,0.0011725+0.0013886i,0.00054955+0.00067815i,-0.00023236+0.0003782i,-0.0010374+0.00020644i,-0.0011669-0.0003462i,-0.0011588+8.9711e-05i,-0.00088674+0.0005331i,-0.00085183+0.0002738i,-0.0015885+0.00025452i,-0.0014414+0.00024337i,-0.00059943+0.00027136i,-8.7569e-05+0.00077251i,0.00011018+0.00063131i,-0.000512+0.00025145i,-0.00096263+0.00015126i,-0.00078102+0.00038287i,-0.00065358+9.6916e-05i
0.00038483+0.0003875i,-0.00065007-1.4822e-05i,-0.0012941-0.00032504i,-0.00043729-0.00028931i,0.00088635+0.000904i,0.0012478+0.0015685i,0.00085682+0.0012006i,0.00038143+0.00044932i,-0.00021724-0.00027843i,-0.00042109-0.00043572i,-0.00065428+5.6567e-05i,-0.00050872+0.00067358i,-0.00045876+4.9699e-05i,-0.00066895-0.00057088i,-0.00062419-0.00020264i,-0.00098996+3.1211e-05i,-0.00093575-0.00026724i,-0.00039894+1.2796e-05i,-0.00037236-7.0221e-05i,-0.00071751-0.00058072i,-0.0010619-0.00076855i,-0.0010472-0.00062897i,-0.00067293+0.00014569i
0.00039092-0.00052966i,0.000269-0.00025073i,0.00030173-0.00044233i,0.0002308+0.00092315i,-6.8778e-05+0.001975i,9.8266e-05+0.0015695i,0.0011347+0.00034548i,0.0013143-0.00018171i,0.00021867-0.00010163i,-0.0008115+0.00021271i,-0.0010654+0.00046444i,-0.0007278+0.00096212i,-0.0011359+0.00051787i,-0.0012354-0.00063813i,-0.00080015-0.00061736i,-0.00054395-0.00036431i,-0.00025895-0.00019865i,-0.00047696+0.00037909i,-0.0003612+0.00098761i,-0.00048558+0.0011364i,-0.00064711+0.00078485i,-0.0005704+0.00065312i,-0.00094235+0.00040801i
0.0036404+0.0024439i,0.0027139+0.00212i,0.0045398+0.0012003i,0.0045145-0.0011347i,0.0024263-0.0019347i,0.0014969-0.00061623i,0.0014735+0.00016349i,0.00093645+0.00033244i,0.00099402+0.00071144i,0.001138-2.2016e-05i,0.00010202-0.0016104i,-0.001184-0.0013171i,-0.0018711+3.6878e-05i,-0.0016995+0.00048899i,-0.0016969+0.00065069i,-0.0018508+0.0011718i,-0.0011956+0.0015403i,-0.00068606+0.0012179i,-0.00093464+0.0005733i,-0.001163+0.00037432i,-0.0012396+1.0593e-05i,-0.00032408-0.00093198i,0.00013903-0.00097545i
-0.00018743-0.00089224i,0.00033115-7.8103e-05i,-1.7118e-05+0.0014462i,-0.00044912+0.000968i,-0.00037949-0.00012346i,0.00071588+1.2002e-05i,0.0014242-0.00035148i,0.0012993-0.0010395i,0.00063388-0.00035394i,0.000168+0.00028806i,-0.00024487+0.00050997i,-0.0003044+0.00060804i,-0.00033065-0.00043757i,-0.00095004-0.001122i,-0.0010659-0.00064126i,-0.00050439-0.00044932i,0.00011565-3.5467e-05i,0.00062928+0.00040841i,0.00088016-8.8247e-05i,0.00013023-4.2237e-05i,-0.00040438+0.00080247i,-0.00031953+0.00057544i,-0.00021012-0.00020263i
0.0017248+0.00074939i,0.00064158+0.00092642i,0.00099814+0.0010054i,0.001296+0.00070803i,0.00051646+0.00068482i,3.1558e-05+0.0015454i,-0.00014844+0.0018166i,0.00013927+0.00072739i,-4.0343e-05-0.00027592i,-0.00087688-3.432e-06i,-0.0014238+0.00066532i,-0.0014327-0.00018622i,-0.00081293-0.00094804i,-0.00046709-0.00042542i,-0.00093609+0.00020553i,-0.00094879+6.5165e-05i,-0.00041426-7.2582e-05i,0.00019181-2.5496e-05i,-5.0634e-05-0.00026963i,0.00023288+1.8235e-05i,0.00067685+0.0004109i,0.00028189+0.00033779i,0.00053917+0.00040467i
0.00094864+0.0014628i,0.00084963+0.00076264i,0.0012387+0.0008848i,0.0011273+0.00011674i,0.00136-0.00034101i,0.0009233-7.775e-05i,0.00038091-0.0003855i,0.0005578-5.9376e-05i,0.00065494+0.00059344i,0.00012403+0.00035998i,-0.00024589+4.8272e-05i,0.00017086+0.00023243i,-0.00035393-3.5968e-05i,-0.0012347-0.0004269i,-0.0014418-0.00062718i,-0.0012718-0.00068394i,-0.0010258+0.00016577i,-0.00096697+0.00058585i,-0.00079666+0.00014933i,-0.00016974+0.00021855i,0.00031257+0.00029957i,-0.000122+0.00052496i,7.9096e-05+0.00081964i
-2.8866e-05+0.0024395i,0.00034646+0.0024773i,0.0011194+0.0022561i,0.0012578+0.0018139i,0.0011673+0.0010647i,0.0010395+0.00095896i,0.0014689+0.00089817i,0.0013433+0.00073511i,0.00034046+0.00089779i,0.0001142+0.00043172i,0.00013276-0.00013128i,-5.3585e-06-0.00040705i,-0.00083221+0.00013046i,-0.0013985+6.6756e-05i,-0.00081014-0.00026956i,-0.00029439+0.00046608i,-0.00029368+0.0013057i,6.1619e-05+0.00087889i,0.00063184+6.4187e-05i,0.00038533-0.00014686i,-0.00016278-0.00032285i,-0.00021619-0.00023738i,-0.00040315-0.00034474i
0.0020698-0.00059392i,0.0011827-0.0011352i,0.00046816-0.0016287i,0.00069334-0.0011563i,0.0003097+0.00026189i,-0.00033161+0.00089265i,-0.00031174+0.00057711i,0.00048482-4.3547e-05i,0.00073754-0.00038769i,0.00039985-0.00044345i,-0.00015296-0.00014716i,-0.00097751+0.00052282i,-0.0010663+0.00022693i,-0.0006809-0.000449i,-0.000802-0.00012211i,-0.0005184+0.00025205i,-0.00019927+6.3098e-05i,-0.00049313+4.5838e-05i,-0.00048587-0.00013081i,-0.00010281+0.00013929i,3.2871e-05-0.00014411i,-0.00016672-0.00082391i,8.562e-06-0.00075413i
0.00087896+0.0005323i,0.0012939+0.0010741i,0.0017998-7.0574e-05i,0.00062418-0.00073666i,-0.00080954-0.00045707i,-0.000771-0.0001495i,-0.00039116+0.00021428i,-0.00051694+0.00044502i,-0.0004742+0.00028268i,-0.00027798-0.00011137i,-0.00019137+0.00014946i,-0.00086-2.6031e-05i,-0.0017311-0.00028677i,-0.0014781+0.00031134i,-0.00099307+0.00035973i,-0.00087346+0.00035161i,-0.00057285+0.00041727i,-0.00023633+0.00018589i,-3.9749e-06+0.00037703i,-0.00046519+0.00085505i,-0.00063803-6.5958e-05i,-0.00033785-0.0016729i,0.00025472-0.0013235i
-0.00075362-0.0016322i,-0.0015686-0.0011643i,-0.0019086+0.00052499i,-0.00093365+0.0013112i,-4.3869e-06+0.0021006i,0.00013152+0.0020091i,0.00085239+0.00090919i,0.00069137+0.00049603i,-0.00024783+0.00078176i,-0.00054106+0.00071109i,-0.00053333+0.00095111i,-0.00013377+0.00061739i,8.1967e-05+7.7282e-05i,-0.0003826+0.00033447i,-0.00043881+0.00085786i,-0.00018615+0.00049928i,0.00050245+0.00020211i,0.0007029+0.0010304i,0.0010202+0.0009932i,0.00089414+0.00059578i,-0.00018123+0.0012601i,-0.00070058+0.0012873i,-0.00086187+0.00031628i
-0.00074492+0.00065873i,-0.0011679-0.00016528i,-0.0012755-0.00039008i,-0.00072445+0.00031842i,-0.00028402+0.0012015i,0.0012309+0.0020468i,0.0013988+0.0012781i,0.00047437-0.00038919i,0.00042457-0.00088557i,0.00037639-0.00062527i,-0.00034524-0.00021136i,-0.0015589-0.00081928i,-0.0016677-0.0012272i,-0.00080524+0.00017911i,-0.00057962+0.00065948i,-0.0003202+0.00022553i,-1.9499e-05+0.00052077i,4.9177e-05+0.00059596i,0.00029833+0.00051998i,0.00041074+0.00026223i,0.00018843+0.00052896i,-0.00041618+0.00083079i,-0.00057706+0.00024679i
0.00064414+0.0021948i,0.00046349+0.0023065i,0.0020296+0.0021329i,0.0028821+0.0014709i,0.0018642+0.0012076i,0.00079252+0.0010945i,0.00066014+0.00084797i,0.00059637+0.00084878i,0.00077902+0.00048274i,0.00019306-0.00059666i,-0.00065855-0.0010186i,-0.00046255-0.00099041i,-0.00056664-0.00061394i,-0.0010216-0.00053259i,-0.00093225-0.001013i,-0.00062881-0.00056398i,-0.00042867-9.9998e-05i,-0.00059272+0.00010937i,-0.00055436+1.5548e-05i,-0.00037311-0.00022462i,-0.00045652-0.00054846i,-0.00081884-0.00015194i,-0.00046658-0.00028789i
-0.00015434-6.4022e-05i,-0.00034212-2.0146e-05i,-0.001203-3.1176e-05i,-0.0019019-0.00032287i,-0.00073172+0.00030812i,0.000369+0.0012375i,0.00083381+0.00087479i,0.00042142+0.00021161i,0.00036219-0.00035282i,4.2587e-05-0.00070059i,-0.00040223-0.00043396i,-0.00063117-0.00012767i,-0.00066278-3.2822e-05i,0.00014063-0.0002369i,0.00018271-0.00027494i,-0.00059884-0.00041542i,-0.00047941-0.00058904i,-0.00012089-4.9105e-06i,0.00046765+0.00018444i,0.00078374+0.00032176i,0.00033335+0.00050899i,0.00077517+0.00047209i,0.00053102+0.00073925i
-0.0010303+0.0015226i,-0.00083421+0.0018727i,-0.00025429+0.0020364i,0.00059287+0.0020958i,0.0011176+0.002014i,0.00099323+0.0010182i,0.00068694+0.00044815i,0.00060558+8.6567e-05i,0.00015354+5.2796e-05i,-0.00060779+0.00094803i,-0.00065342+0.0010818i,-7.1511e-05+0.00036704i,8.9648e-05-0.0001942i,-0.00046997-0.00083242i,-0.00095493-0.00092539i,-0.0013147-0.00017585i,-0.0005764+0.00014988i,0.00043657-0.00031847i,0.00052713-4.8682e-05i,0.00028966+0.00056928i,-0.00054468+0.00039626i,-0.00097058-4.5853e-05i,-0.00016928-0.0006685i
0.00069764+0.00052478i,0.00069915-0.00037117i,-2.9341e-05-0.0005243i,0.00054898+0.00018639i,0.0013751+0.00076861i,0.0014303+0.00034894i,0.00087009-0.00027689i,-0.00046724+0.00060742i,-0.00084639+0.00089828i,-0.00035531-0.00019672i,-0.00038391-0.00049149i,-0.00092007+1.0704e-05i,-0.00053625+0.00020613i,-0.00029809+7.9546e-06i,-0.0003707+0.00031084i,-0.00016739+0.00068927i,-6.8133e-05+0.00067081i,-0.00071596+0.00056974i,-0.00065514+0.0003581i,9.8572e-05+0.00035757i,0.00048083+0.00039721i,0.00051726+5.9646e-05i,0.00045452-0.00043548i
-0.00060949+0.00090867i,-0.0014112+0.00074023i,-0.00096516+0.0014045i,-0.00049863+0.0017214i,0.00091592+0.0010886i,0.0013659+0.0010189i,0.00061354+0.00071097i,0.00033441-9.8432e-05i,0.00048763-0.00014705i,0.00011367+6.3016e-05i,0.00013405-0.00010848i,-0.00018832+0.00012666i,-0.00081793+4.345e-05i,-0.00065448-0.00026671i,-2.0983e-05-0.00037813i,0.00019696-0.00040577i,0.00010724-0.00018638i,-0.00036756+0.00024311i,0.00021924+7.172e-05i,0.0008411-0.00052877i,0.0010091-0.00019846i,0.00059936-4.43e-05i,-0.00012224-0.00040848i
-0.0015486+0.0012737i,-0.0015245+0.0022444i,-0.00073658+0.002615i,0.00038207+0.0021527i,0.0013517+0.0013256i,0.0017813+0.00070127i,0.0017878+0.00057185i,0.0011872+8.1493e-05i,0.00025668-0.00027241i,1.8561e-05-0.00069295i,-9.4252e-05-0.00076093i,-0.00066775-0.00029658i,-0.00055452-0.00012922i,-0.00096988-0.00012655i,-0.0013728-0.00045287i,-0.00079585-0.0010969i,-0.00043406-2.9835e-05i,-0.00057774+0.00048889i,-0.0003109-0.00048324i,0.00019597-0.0005183i,-0.00011302-0.00028001i,-0.00031512+0.00024219i,9.4228e-05+0.00030324i
0.001443-0.0015602i,0.00064139-0.0018275i,0.0002344-0.0021339i,-0.00050007-0.0016678i,-0.00036959-0.00079509i,0.00063274-0.00047726i,0.0010399-0.0001062i,0.00078306+0.0004269i,0.00094367+0.00075972i,0.001287-0.00012963i,9.2892e-05-0.00071397i,-0.0012174-0.00093965i,-0.00085073-0.0012962i,-0.00024533-0.00076147i,-0.00013231+0.00017689i,-0.0004617+0.00043633i,-0.00050877+0.00074496i,-0.00023492+0.00074509i,-7.5284e-06-5.401e-05i,5.1367e-05+9.9428e-05i,-0.00022976+6.768e-05i,-0.00042935-0.00016318i,-0.00061828-0.00083428i
-8.0085e-05-0.0010185i,-0.00018149-0.00015114i,-0.001079+8.8403e-06i,-0.00075666+0.00098005i,-8.9164e-05+0.0016826i,-1.7284e-05+0.0012533i,0.00056594+0.00026775i,0.0006815+0.00026503i,0.00010609+0.00029289i,-0.00064646+0.00054351i,-0.00072469+0.00085283i,6.1444e-05+0.00051728i,0.00021697+0.00032212i,-0.00054957-5.8214e-05i,-0.00087557+0.00014988i,-0.00073022+0.00071465i,-0.00080144+0.00087521i,-0.00037664+0.0005472i,0.00047853-5.1698e-05i,0.00057731+0.0006135i,-0.00051804+0.0012054i,-0.00071964+0.0010001i,1.7316e-05+0.0010475i
-0.00030645+0.0010244i,-0.00073585+6.9952e-05i,-0.00059415+0.00038578i,0.00028149+0.0011005i,0.0013596+0.0020376i,0.00088116+0.0018956i,0.00031575+0.0010783i,0.00048846+0.00072177i,0.00079448+0.0004754i,0.00053104+0.00029866i,-3.0494e-05+1.9011e-05i,-3.4646e-05+5.3973e-05i,-8.8061e-05+3.8816e-05i,-0.00076814+0.00023228i,-0.0014071+0.00018518i,-0.0009553-0.00032859i,0.0003199-0.0002189i,0.00037218+0.00033603i,-5.8557e-05+0.00037708i,0.0006388-0.00050593i,0.0010505-0.0012692i,0.00089167-0.00082579i,0.0003251-0.00029826i
0.0020234-0.0018679i,0.0011336-0.0018875i,4.5978e-05-0.0016434i,-0.00034268-0.00039403i,0.00025882+0.00098091i,0.00070533+0.0011586i,-0.00035483+0.0010746i,-0.0011486+0.0012065i,-0.0012975+0.0012323i,-0.0011211+0.0014865i,-0.00035159+0.00095085i,-0.00036027+0.00079617i,-0.00096563+0.00093506i,-0.0012285+0.0003429i,-0.0013093-0.00015158i,-0.00071143-0.00044471i,-0.00039264+2.6308e-05i,-0.0010874+0.0009791i,-0.00056376+0.00097634i,0.00028725+0.0006614i,0.00033285+0.00030232i,0.00031689+0.00041121i,0.00025541+0.0010662i
-0.0015554+0.00049043i,-0.0012688-0.00027684i,-0.00074604+5.0982e-06i,-0.00037036+0.0011579i,0.00062604+0.0016847i,0.0011851+0.0013248i,0.00084995+0.00065221i,-0.00031966+0.00029062i,-0.00075295+0.00036494i,-0.00046783+0.00014521i,-0.00018993-0.00041814i,0.00033739-0.00076748i,0.00010459-0.00084776i,-0.00014828-0.00084788i,-0.0001468-0.0004211i,-0.00047536-7.4063e-05i,-0.00060931+8.3996e-05i,-0.00020415-0.00017244i,6.6384e-05+0.00010727i,0.00021624+0.0010697i,0.0006082+0.0013138i,0.00080259+0.0011422i,0.00012828+0.00038068i
0.0009206+0.00073433i,0.0008275+0.00081992i,0.00089399+0.000792i,0.00081334+0.00031888i,0.00076106+0.00029174i,0.0008205+0.0017434i,0.00055018+0.0021721i,0.00061455+0.00097915i,0.00069553-0.00021857i,8.7069e-05-0.00065629i,-0.00071487-0.00015551i,-0.00056936+0.00014196i,0.00017154-7.9018e-05i,0.0004927-0.00010006i,-1.3376e-05+0.00062166i,-0.00092637+0.00052283i,-0.00065662+0.00033822i,-0.00078556+0.00035504i,-0.00091373+0.00012201i,-0.00097877-4.3477e-05i,-0.0009229-0.0006579i,-0.00056903-0.00018285i,-0.00068388+0.00040468i
-0.0022009-0.0011973i,-0.0027897-0.00093i,-0.0026216-0.0003963i,-0.001668+0.0006743i,-0.00068433+0.0017037i,0.00054499+0.0021048i,0.00093365+0.0012238i,0.00036447+0.00013214i,2.3224e-05+0.0007605i,-0.000727+0.00066184i,-0.0013095-0.00019524i,-0.0010195-0.00040642i,-0.00045405-0.0010262i,-8.3201e-05-0.0012386i,0.00018488-0.00072351i,0.0002303-0.001048i,-5.1976e-05-0.00098947i,-0.00028192-0.00062684i,-0.00023748-0.00034717i,-0.00026204+0.00012662i,-6.5411e-05-0.00054876i,-0.00031462-0.00094171i,-0.00025081-0.0002207i
-8.946e-05+0.00097362i,0.00041672+0.0013986i,0.0016766+0.0014818i,0.0012002+0.0010348i,0.00085028+0.00092268i,0.0021228+0.0010611i,0.0013537+0.00035769i,-0.00015433+0.00038355i,-0.00034802+0.00038244i,-0.0002503+0.00019796i,-0.00051604+0.00030168i,-0.00013598+3.5165e-05i,-0.00019082-0.00031904i,-0.00046255-0.00067088i,9.8781e-06-0.00010522i,0.00014955-0.00023631i,0.00015341-0.00075704i,0.00031794-0.00041901i,0.0002859-0.00024387i,0.00026615-6.0151e-05i,0.00036433-0.00017166i,0.00042084-0.00038359i,0.00040326+0.00010775i
0.00060401-0.0017088i,0.0011626-0.00084917i,-0.00059457-0.0014169i,-0.0013865-0.0011172i,-0.00068805+0.00085607i,0.00017068+0.0016332i,0.00053993+0.0012806i,0.00047132+0.00068332i,0.00036505+0.00017416i,-6.2062e-05-0.00022523i,-0.00074238-0.00041544i,-0.0012197+0.00033413i,-0.0014598+0.00063866i,-0.0015787+8.0351e-05i,-0.0014414-0.00014465i,-0.00040772-0.00050806i,6.404e-05-0.00055365i,-0.00066285-0.00011726i,-0.0010102-0.00017688i,-0.00034548-0.00089632i,0.00032679-0.00069927i,0.00035827+0.00020259i,0.00026471+0.00062926i
0.0011337+0.00085303i,0.00013367+0.00040868i,-9.9106e-05+0.00049226i,0.00054309+0.0016599i,0.0002062+0.001582i,0.00059453+0.00097627i,0.00039967+0.00068968i,5.016e-06+0.00013533i,0.00047342-0.00023268i,6.0055e-05-0.0001355i,-0.00063802-0.00056731i,-0.000891-0.00041479i,-0.00047176-1.4285e-06i,-0.00051508-0.00013009i,-0.00068679-9.64e-05i,-0.00056748+9.9068e-05i,-0.00049899+0.00048803i,0.00035565+0.00084761i,0.0003393+0.0010565i,-0.00069404+0.00059814i,-0.00057846-9.6322e-06i,-9.144e-05-0.00022042i,0.00035144-0.00056757i
-0.00071449+0.0002264i,-0.00056219+0.00026544i,0.00016275+0.00041245i,0.00039853+0.00060049i,0.00093719+0.00088855i,0.0011864+0.0012005i,0.00080037+0.0011332i,0.00061771+0.0010254i,0.00014801+0.00088588i,-3.7155e-05+0.0001994i,-0.0002791-0.0007294i,-0.00053332-0.00067828i,-0.00018702+0.00051334i,-0.00048986+0.0012781i,-0.00082816+0.00063179i,-0.0005998+0.0002431i,-6.7357e-05+0.00075346i,0.00039464+0.00063272i,0.00063534+0.00042553i,0.00036311+5.0309e-05i,0.00036506-0.00036731i,0.00052999+0.00031309i,0.00051917+0.00065558i
0.0010213-0.0020933i,0.00080348-0.0018143i,0.00083197-0.0014998i,8.0397e-05-0.00055827i,-0.00028766+0.00040459i,0.00045163+0.0011357i,0.00081456+0.00122i,0.00031988+0.00067561i,-0.00045197+3.707e-05i,-0.0013371-0.0003058i,-0.0016888+0.00057652i,-0.00074282+0.00097052i,0.00039108+0.00033575i,-0.00036323+0.00045755i,-0.0012067+0.00059592i,-0.0011065+0.00024427i,-0.00034597+0.00041339i,0.00028972+0.0015145i,-0.00044493+0.0022697i,-0.0010106+0.0016929i,-0.00042619+0.00096001i,0.00036969+0.0003685i,0.00043446+0.00048081i
-0.0022321+0.00049259i,-0.0020241+0.0015884i,-0.0029063+0.0021031i,-0.0025422+0.0029368i,-0.00025592+0.0030558i,0.0015522+0.0018479i,0.0015013+0.00065433i,0.00073883+0.00075721i,0.00024437+0.00098815i,-0.00010668+0.00090163i,4.5973e-05+0.00040581i,0.00015522+1.4117e-05i,0.00041444+0.00069773i,0.00048735+0.00083245i,0.00020952+2.746e-05i,6.2815e-05-0.00074538i,0.00013965-0.00057355i,0.00040596-0.0003393i,0.00057296-0.0003351i,0.0010107+0.00028736i,0.00049639+0.0010172i,-7.6414e-05+0.00093526i,-0.00032726+0.00032648i
-0.0013261-0.00054489i,-0.0011556+0.00012637i,-0.00086186+0.00037886i,-0.0003352+0.00065765i,0.00090313+0.0013857i,0.0015442+0.00095211i,0.00049562+0.00073464i,-0.00059902+0.00043124i,-0.0010192+0.00015593i,-0.00079286-0.00052869i,-0.0011796-0.00069452i,-0.0010494+0.00016684i,6.504e-05+2.0852e-05i,-0.00054066+0.00014947i,-0.0010992+0.00062157i,-0.00068074+0.00060894i,-0.00037845-0.00028481i,0.00041347-0.00079229i,0.0017717-0.0010499i,0.0015322-0.00010203i,0.000137+0.00075109i,-0.00010732+0.00055655i,6.8743e-05+0.00041272i
0.001984-9.7252e-05i,0.0020712-7.451e-05i,0.0011739+0.00016287i,7.1727e-05+0.0004023i,-0.00052119+0.0010355i,-6.9241e-05+0.0018251i,0.0009159+0.0011932i,0.00018672-0.00027859i,0.00025353-0.00087554i,0.00055682-0.00044366i,5.325e-05-0.00057595i,9.8241e-06-0.00084487i,-0.00044849-0.00072056i,-0.0004819-0.00040423i,2.4005e-05+0.00021207i,0.00011324-0.00033334i,-0.00011941-0.00054713i,-0.00026775+0.00011986i,-0.00057074-0.00014905i,-0.00074882-0.00070047i,-0.00032634-0.00059295i,-0.00024826-3.4378e-05i,-0.00068555+2.7909e-05i
-0.000473-0.000954i,-0.00085115-0.00022097i,-0.00019471+0.00084281i,6.9612e-05+0.0010166i,-0.00048319+0.00113i,-0.00054399+0.001413i,0.00031428+0.00049371i,0.00054652+7.9186e-05i,0.00020886+0.00023967i,-0.00032655+0.00064637i,-0.001105+0.0012246i,-0.0013384+0.0011077i,-0.0011379+0.0011384i,-0.00094431+0.00030733i,-0.00067316-0.00026439i,-0.00031997-0.00025149i,-0.00037267-6.2406e-05i,-0.00026265-6.46e-05i,-0.00020545-0.00025943i,0.00031378+0.00026507i,0.00049924+0.00042201i,-6.4286e-05-7.6279e-05i,2.2673e-05-0.00036296i
0.0022515+0.00029387i,0.0013556+0.00012221i,0.0012455+0.00037108i,0.0020401+0.00070975i,0.0018706+0.0011866i,0.00089114+0.00083755i,0.00080423-0.00021621i,0.0010608-0.00042805i,0.00051805+2.2246e-05i,0.00022212+0.00018455i,8.5488e-05-0.00016732i,-0.0002483-0.00064451i,-0.00055335-0.00066748i,-0.00059597+3.8156e-05i,-0.00027934+2.7053e-05i,-0.00047755-0.00060831i,-0.00049758-0.00084428i,-0.00012081-0.00055496i,-0.00049164+1.9047e-05i,-0.00098396+6.1542e-05i,-0.00057918-0.00032709i,-0.00012487-0.00091158i,-0.00033279-0.00066967i
-0.0014481+0.00029914i,-0.00069425+0.00014429i,-0.00078013+0.00071586i,-0.0011263+0.0014233i,-7.45e-05+0.00051022i,0.0013908+0.00055895i,0.0015945+0.0009168i,0.00048401+0.0010216i,-7.9383e-05+0.00124i,-9.9874e-05+0.0010181i,-0.00026614+0.00020358i,-8.6275e-05-0.00066002i,1.0473e-06-0.0010759i,0.00052421-0.00053286i,0.00025742-0.00041831i,-0.0003639-0.00049616i,-0.00024388+0.00027376i,-0.00021113+0.00052056i,-0.00019398+0.00028863i,-0.00012316+0.00045427i,0.00031668+0.0005082i,0.00071269+0.0010212i,0.00062405+0.0012893i
