-0.00042503+0.00012941i,-0.00025173+0.0001082i,-0.0012228+0.00057444i,-0.002197+0.00087141i,-0.0030201+0.0021488i,-0.0029738+0.0039537i,-0.0017447+0.0042662i,-0.0010705+0.0029682i,-0.00057888+0.00092102i,0.00028466+9.7563e-05i,0.00053827-0.00050952i,0.00032471-0.00067137i,0.00022181-0.0001641i,5.747e-05-0.00033291i,9.8654e-05+2.8923e-05i,-0.00015079+0.00085512i,9.6433e-05+0.00043888i,0.00025631-0.00023926i,0.00031398+0.00051365i,0.00083577+0.00066503i,0.00090186+0.00074146i,0.00022181+0.00052005i,-0.00015061+0.00021354i
-0.00029762-0.00055049i,-3.0601e-05-0.0022152i,-0.00065211-0.0026433i,-0.0009674-0.0017858i,-0.001347-0.0013657i,-0.0018407-0.0020537i,-0.0015219-0.0022957i,-0.00050361-0.0015747i,-0.00017382-0.00058734i,-0.00046184+0.00027037i,-0.00049018+0.00079394i,-0.0004033+0.00064057i,-0.00046872+0.0010646i,-0.00043745+0.0017528i,-0.00037065+0.0016386i,0.00014837+0.0011544i,0.00080141+0.00099459i,0.00096193+0.00068138i,0.00053601-0.00034239i,-0.00024429-0.0011314i,-0.00043677-0.00075293i,0.00020394+0.00012482i,0.00054258+0.0002891i
0.00091691+0.0015739i,0.00066578+0.0014414i,0.00074574+0.0019067i,-0.00033168+0.0011886i,-0.0025754-0.00011312i,-0.0044333-0.00065267i,-0.0048068-0.0012295i,-0.0039067-0.001447i,-0.0029494-0.00091861i,-0.0017125-0.00042852i,-0.0002143+0.00079782i,0.00013014+0.0015167i,-2.1708e-05+0.00096543i,0.00026533+0.00035583i,-0.00042087+6.2238e-05i,-0.00078244-0.00018402i,-0.0005327-0.00012907i,-0.00045926+0.00048201i,0.00013169+0.00056361i,-3.9574e-05+0.00015533i,-0.00044517+0.00031287i,-0.00024316+0.00076039i,0.00033894+0.0012526i
0.00043068-0.0003227i,-0.00010379-0.0006453i,-0.00070003-0.00062594i,-0.0019349-0.00041986i,-0.0039346+0.00031042i,-0.0053669+0.0012081i,-0.005751+0.0017724i,-0.0046734+0.0020881i,-0.0025845+0.002158i,-0.00094036+0.0017642i,0.00049021+0.001648i,0.0016639+0.0008895i,0.002722-0.00084511i,0.002646-0.0015528i,0.0013343-0.0017i,0.00054991-0.0019767i,-0.00018657-0.0019206i,-0.00044555-0.0012184i,-0.00026873-0.00049449i,-0.00073495+0.0003158i,-0.0010086+0.00070829i,-0.00041609-0.0002437i,0.00011623-0.00095265i
0.0008264+0.0010106i,0.0014185+0.0006159i,0.0018483+2.1278e-05i,0.0010447-0.0010938i,0.00010073-0.0010202i,-0.0012731+0.00033971i,-0.0019539+0.0014787i,-0.0011946+0.0016997i,-0.00020614+0.0016944i,0.00025838+0.0014789i,0.00045869+0.000642i,0.00027128-0.001214i,-0.00064681-0.0020638i,-0.0010998-0.00095662i,-0.00075822+0.00046724i,0.00028582+0.001146i,6.3681e-05+0.001371i,-0.00027057+0.00072493i,9.3015e-05+0.00022917i,-0.00057264+0.0005333i,-0.00073282+7.8362e-05i,-0.00013874-0.00024768i,-0.00016205+4.3387e-05i
0.00060816-0.0013895i,0.00049885-0.0014694i,0.00079669-0.00276i,-0.00081637-0.0026182i,-0.002656-0.00060339i,-0.0022457+0.00033787i,-0.0013315+0.00013447i,0.00017702-0.00028291i,0.0015501-0.0007786i,0.0018117-0.0012628i,0.00053338-0.00041845i,-0.00088708+0.00020434i,-0.0022414-0.00034281i,-0.0032078+0.00017195i,-0.0027314+0.0012933i,-0.001317+0.0014901i,-0.00092513+0.0012814i,0.00027217+0.0012394i,0.0016335+0.00040893i,0.0012443-0.00064835i,0.0010161-0.0011345i,0.00057637-0.00094973i,-4.8707e-05-0.00085342i
-0.00087776+0.00052984i,-0.0018633+0.0008298i,-0.0018019+9.4525e-05i,-0.0014092-0.0011014i,-0.001943-0.0018189i,-0.0037764-0.0026405i,-0.0045904-0.0033494i,-0.003436-0.0036483i,-0.0015954-0.0030539i,-0.00035052-0.0020731i,-0.00017827-0.00083916i,7.7622e-05+0.00086847i,0.00055426+0.0012939i,0.00092072+4.1973e-06i,0.00080413-0.00060901i,0.00061467-0.00059026i,0.00069106+0.00036911i,0.00061776+0.001243i,0.00012821+0.00060797i,0.00016322+0.00022178i,0.0005337+0.0010431i,0.00036839+0.0011639i,0.00024998+0.00025954i
-0.00015276+0.00058996i,-0.00025087+0.00056107i,3.0651e-05+0.00060704i,-0.00028835+0.0007544i,-0.0014984+0.0010988i,-0.0035666+0.00030465i,-0.0049314-0.00031659i,-0.0047453+0.00010049i,-0.0037833+0.0012442i,-0.0017911+0.0014065i,-5.8313e-05+0.0010262i,0.00097189+0.0014908i,0.0011267+0.0022646i,0.0014636+0.0021538i,0.0017472+0.0013736i,0.0012767+0.00071159i,0.00048351-0.00013449i,7.238e-05-0.0001534i,-0.00033711-9.7825e-05i,-0.00053092-0.00086344i,-0.00025754-0.00064767i,-2.0152e-05+0.00053385i,0.00011831+0.00077519i
0.000476+0.0021673i,0.00051537+0.00047256i,0.00096591-0.0013291i,0.0001523-0.0013821i,-0.0023435-0.00060817i,-0.0041896+0.00011675i,-0.0046947+0.0019698i,-0.0035989+0.0030946i,-0.0012814+0.0035263i,-0.00018086+0.0029942i,0.00018945+0.0016818i,0.00066402+0.00021863i,0.00070132-0.00090497i,-0.00090681-0.0005805i,-0.0023412-0.00019671i,-0.0019373-0.00048279i,-0.0010548-0.00043682i,-0.00031261-0.00015199i,0.00012845+0.00063424i,-0.00019885+0.00061066i,-0.00042427+0.00026404i,-5.4468e-05+0.00011793i,2.0623e-05+0.00014834i
-0.00091702+0.002047i,1.3212e-05+0.00019476i,0.0012734-0.0023042i,0.0018483-0.0026716i,0.0007623-0.0012893i,-0.0017199-0.00087145i,-0.0021289+0.00024454i,-0.0005429+0.0014839i,0.0007203+0.0011142i,0.0011455+0.00077186i,0.0015675+0.0010203i,0.0018888-0.0006044i,0.00063672-0.002521i,-0.0010161-0.00266i,-0.0006569-0.0022672i,-0.00062187-0.002016i,-0.00095274-0.0016242i,-0.00012222-0.00083138i,0.0004042-0.00045072i,4.1864e-05-0.00030548i,-0.00030142+0.0001642i,-0.00037028-0.00016943i,-0.00072437-0.00048949i
-0.0017804-0.0024329i,-0.0036281-0.0022095i,-0.0039563-0.0020489i,-0.0040717-0.0012378i,-0.0031451-5.7398e-05i,-0.001338+0.00060939i,-0.00068943+0.00028485i,-0.0002091-0.00099029i,-0.00010169-0.0017739i,0.00058428-0.0010128i,0.0014793-0.00030532i,0.00086799+0.00046927i,-9.2029e-05+0.0012369i,-0.00024508+0.00168i,0.00029479+0.00082189i,0.0013752-0.0007975i,0.0015403-0.00047076i,0.00091401+0.00090065i,0.00030232+0.0013028i,-0.00020296+0.00061913i,0.00020578-5.6047e-05i,0.00034801+0.00044395i,-0.00067063+0.0011795i
-0.00051433-0.0012596i,0.00052239-0.00084868i,0.0006654-0.0010265i,-0.00044337-0.0019549i,-0.0027564-0.0024835i,-0.0047922-0.0024558i,-0.0046358-0.0016748i,-0.0033232-0.0011233i,-0.0024561-0.0007003i,-0.0016007-0.0006581i,-0.00017566+7.5322e-05i,-0.00011526+0.0017186i,-0.0010604+0.003184i,-0.0003594+0.0038817i,0.00062671+0.0034512i,-0.00014391+0.0020724i,-0.0011551+0.00083995i,-0.00083076-0.00040207i,0.00033107-0.0011131i,0.00053106-0.00024574i,6.4397e-05+0.00082751i,0.00065667+0.00119i,0.001214+0.00094415i
0.00038004+0.0010121i,0.0012044+0.00015487i,0.0022015-0.001461i,0.00092729-0.0013051i,-0.0015915-0.00074975i,-0.0034909-0.001252i,-0.0050332-0.00049051i,-0.0057859+0.00080314i,-0.0042329+0.0019172i,-0.0022747+0.0017367i,-0.00069131+0.00052908i,0.0015051-0.00014655i,0.0027954-0.00062741i,0.0019998-0.0010057i,6.4782e-05-0.0014324i,-0.00014538-0.00083309i,-6.1397e-06-0.00068558i,-0.00030805-0.0010618i,-0.0003958-7.2886e-05i,0.00011029+0.00053366i,3.8374e-05+0.00011221i,-0.00037147+4.3532e-05i,-4.9425e-05-0.00023624i
-0.00053875+0.00097678i,0.00018865+0.0012025i,-8.7138e-05+0.0003088i,-0.0010191+0.00016385i,-0.0032189+0.0015976i,-0.0053035+0.0021292i,-0.0045526+0.0019974i,-0.0024055+0.0026806i,0.0001476+0.0027284i,0.00096271+0.0024503i,0.0011524+0.0020938i,0.0016216+0.00046566i,0.0019198-0.0012863i,0.0019422-0.00084568i,0.0014711-0.00029066i,0.0010186-0.0010565i,0.00072727-0.00080782i,0.00063508-0.00041933i,0.00080961-0.0011846i,0.00058728-0.00095928i,1.5811e-05+0.00048075i,-6.2038e-05+0.00094832i,-0.0008891+0.00024651i
0.00029521-0.00039962i,-0.00060586+4.0212e-05i,-0.00060306-0.00028686i,-0.0010702-0.00070364i,-0.0017487-0.00068813i,-0.0025848-0.0006144i,-0.0026404+0.00061194i,-0.00076154+0.0022444i,0.00079776+0.0020316i,0.000946+0.00065171i,0.00027078-0.00024836i,-0.00081399-0.0010448i,-0.0015367-0.0013737i,-0.0020032-0.00056581i,-0.0017233+0.0010308i,-0.0012927+0.0019132i,-0.00092011+0.00031212i,-0.00070573-0.001076i,-0.0011295-0.0005741i,-0.00078157-0.00096846i,-7.0619e-05-0.0012578i,-0.00011965-0.0001712i,-0.00098618+0.00043753i
0.0019111+0.0035898i,0.0025307+0.001929i,0.0029779-0.00067933i,0.0020971-0.0026182i,-0.00013077-0.0019021i,-0.0012026-9.4813e-05i,-0.0014418-0.00046229i,-0.0015214-0.00202i,-0.00099669-0.0020161i,-0.00027852-0.0018151i,-8.1964e-05-0.0012536i,-0.00065288-0.00022855i,-0.0013062+0.00040089i,-0.0023594+0.00032619i,-0.0038051-0.00023831i,-0.0033015-0.00076643i,-0.0011507-0.0010313i,3.6897e-06-0.0013241i,0.00043384-0.00085437i,0.00012155-0.00014237i,0.00043573-6.7602e-05i,0.00062446+3.2609e-05i,2.7541e-05+0.00011821i
-0.00026114+0.00031494i,-0.00020174+0.00046556i,-0.00085402+5.552e-05i,-0.0021207-0.001458i,-0.0039026-0.0013777i,-0.0052557-0.00052785i,-0.0058563-0.00062353i,-0.0052969-0.00098587i,-0.0037962-1.0674e-05i,-0.0018126+0.0006944i,-0.00035238+0.00062703i,0.0002192+0.0012172i,0.0004912+0.0019529i,0.0011851+0.001438i,0.0018335+0.00019241i,0.0019881-0.00063602i,0.0011949-4.1662e-05i,0.00066379+0.00093644i,0.00026116+0.00071858i,1.0762e-05+0.00087237i,0.00028506+0.00072554i,0.00080377+4.3759e-06i,0.00068242+0.00032596i
0.00057268-0.00041377i,-0.00043697-0.00063539i,-0.0011735-0.00036774i,-0.00066144+0.00040512i,-0.0010647+0.00055516i,-0.0031031+4.7789e-06i,-0.0054481-0.00011733i,-0.0049443+0.0015838i,-0.0023029+0.0037008i,-0.00046057+0.0037777i,0.00025168+0.0023741i,0.00076828+0.00067637i,0.0014163+1.0438e-05i,0.0018894+0.00058606i,0.0017497+0.0010208i,0.0010266+0.00062435i,0.00046106+0.0007723i,0.00048402+0.00043703i,2.1807e-05-0.00086617i,-0.00056603-0.00136i,-0.00090375-0.0014079i,-0.00079662-0.00095729i,-0.00019321-0.00025044i
-0.00079314-0.0010265i,0.00075047+5.1217e-05i,0.00024932+0.00032787i,-0.00095449+4.3659e-06i,-0.0019851+0.00064526i,-0.003573+0.0019876i,-0.0033986+0.0027909i,-0.0011882+0.0031642i,0.00082251+0.0027359i,0.0015639+0.0022047i,0.0010122+0.0015686i,0.0011518+0.000333i,0.001336-0.00097553i,0.00057759-0.001357i,-0.0010525-0.00030514i,-0.0013745-0.00014452i,-0.00061354-0.0017714i,-0.00029793-0.001869i,-0.00038335-0.0017211i,-0.00060008-0.0018387i,-0.00064188-0.00098867i,-0.00065186-0.00029009i,-0.00048483+0.0003631i
0.0013281+0.0014032i,0.0017849+0.00039002i,0.0011916-0.0021117i,-0.00041721-0.0039697i,-0.0022811-0.0035401i,-0.0037297-0.0013018i,-0.0028558+9.951e-05i,-0.00026587-0.00018681i,0.0014209-0.0017763i,0.0017592-0.0022211i,0.0012161-0.0011865i,-0.00037051-0.00048605i,-0.0030834-0.00057355i,-0.0037733-0.00097924i,-0.0022048-0.00084637i,-0.00096294-0.00035931i,-0.00041674-7.5057e-05i,0.00024973+7.6318e-05i,0.00022047+0.00044655i,5.4731e-05+0.0010931i,0.00024556+0.0009896i,-2.2059e-05-0.00025217i,0.00022285-0.00098461i
0.00078609-0.00030503i,0.0010459-0.0019091i,0.0002408-0.0021385i,-0.0015732-0.001077i,-0.0025227-0.00049615i,-0.0035499-0.00041758i,-0.004267-0.00065083i,-0.0041777-0.0011014i,-0.0037349-0.00095312i,-0.0030129-0.00025397i,-0.001995+0.00038592i,-0.0015238+0.00079765i,-0.0018533+0.0012952i,-0.0019268+0.0025457i,-0.00085724+0.0034914i,-0.00067108+0.0032129i,-0.001101+0.0018891i,-0.0013197+0.000803i,-0.001038+0.00055496i,-0.00027739+0.0010123i,-0.00020549+0.0012435i,-0.00080189+0.00026697i,-0.00038805-0.00077819i
-0.00010646-0.00016103i,-0.00012307-1.9857e-05i,3.9287e-05-0.00013381i,-0.0020955+4.0111e-05i,-0.0049563+9.1676e-05i,-0.0062794+0.00014029i,-0.0063473+0.00043925i,-0.0046008+0.0013871i,-0.0017437+0.0026453i,-0.00042577+0.0019212i,5.3993e-05+0.00060907i,0.00064261+0.00086854i,0.0015049+0.0010125i,0.001469+0.00081735i,0.000193+0.0011554i,-0.00076935+0.0013006i,-0.00076466+0.00031648i,-0.00011608+1.6658e-05i,-0.00011514-7.9864e-05i,3.9533e-05-0.000387i,0.00097249-0.00013225i,0.0012178+0.00022789i,0.0012432+0.00068509i
0.0026723-0.00094724i,0.0019151-0.00050591i,0.0017525-0.0026108i,0.0011461-0.0029365i,-0.00070094-0.0012039i,-0.0028064-0.00014672i,-0.0025188+0.0009787i,-0.00094874+0.0022831i,3.3393e-05+0.0024794i,0.0014418+0.0013089i,0.001722+0.00062345i,0.0015318+0.00064148i,0.00097694-9.8001e-05i,0.00049248-0.0015813i,0.00068155-0.0018066i,0.00099211-0.00035139i,0.0013108+0.00065518i,0.0012784+0.00038648i,0.0003808+0.00021552i,-0.00033565-0.00022408i,0.00025422-0.00050907i,6.2191e-05-0.00083342i,-0.0003357-0.00094384i
-0.0032688-0.0011011i,-0.0028014-0.0012389i,-0.002183-0.0016131i,-0.0017843-0.0012628i,-0.0020735+0.00025267i,-0.0022212+0.00051146i,-0.0016888+0.00037397i,-0.00067347-0.00098908i,-0.00043149-0.0024508i,-9.6181e-05-0.0011402i,-0.00027136-0.00023435i,-0.00098949-0.0012035i,-0.0013353-0.00208i,-0.00090438-0.0015341i,0.00049142-0.0010048i,0.00057963-0.00013857i,-0.00039399+0.00084737i,-0.00072333+0.00078446i,-0.00066287+0.0001989i,-0.00091644+0.00050378i,-0.00072219+0.0005044i,-0.00091428-0.00011526i,-0.0005722-0.00077123i
-0.00016301-0.0013448i,-0.0017653-0.0016123i,-0.0032262-0.0014264i,-0.0032153-0.0027568i,-0.0030168-0.0034942i,-0.0030995-0.0031077i,-0.0028608-0.0022522i,-0.0025268-0.0018206i,-0.0020668-0.0012212i,-0.00086951+0.00045196i,0.00049701+0.0009906i,-6.0583e-06+0.00041281i,-0.0010874+0.000761i,-0.0012567+0.0019775i,-0.0017826+0.0018266i,-0.0010356+0.00046948i,0.00068671-0.00034717i,0.00038412-0.00028849i,-0.00062605-1.2537e-05i,-0.00059621-4.1481e-05i,-0.0006145-0.00015045i,-0.0011598+0.0010049i,-0.0014782+0.0016785i
0.00058446+0.00011984i,0.00054468+0.00053966i,-0.00094972+0.0013179i,-0.0041305+0.0026861i,-0.0065301+0.0026555i,-0.0067678+0.0017568i,-0.0058823+0.0012186i,-0.0048625+0.0021828i,-0.0037949+0.0034094i,-0.0019953+0.0032106i,-0.00080802+0.0028755i,-7.9598e-06+0.0034586i,0.00094169+0.0030813i,0.0010011+0.0022405i,0.00078139+0.0019516i,0.00057539+0.0014231i,-1.0782e-06+0.0014874i,-0.00081509+0.0014014i,-0.00068016+0.00085087i,-0.00016047+0.00092673i,-0.00010922+0.0011982i,-0.00032835+0.00037587i,-0.00036591-0.00079935i
-0.0010912-0.00022009i,-0.00059597-0.001191i,0.0005662-0.001737i,0.00073645-0.00037847i,-0.0019335+0.001913i,-0.0055236+0.0020573i,-0.006029+0.0021077i,-0.0031081+0.0029056i,0.0003156+0.0019421i,0.0014231+0.00053219i,0.00081958-8.3493e-05i,0.00027572-0.0007215i,0.0013782-0.0018241i,0.0026204-0.0028963i,0.0021969-0.0023948i,0.0013923-0.00098843i,0.00012694+9.6731e-05i,-0.00046851+0.00018059i,-0.00035948-0.00033101i,3.8056e-06+0.00021934i,0.00035276+0.00069558i,0.0006419+0.00067924i,0.00073342+0.00045915i
0.0024192+0.00080573i,0.0032634-8.5473e-05i,0.0030673-0.0018779i,0.0022957-0.004081i,0.00065978-0.0036709i,-0.0005975-0.0012378i,-0.0011808+0.00070825i,-0.00035087+0.0013698i,0.00091295-5.4137e-05i,0.0013301-0.0019912i,0.0018046-0.0019066i,0.0018084-0.0016893i,0.00011901-0.0022652i,-0.0012282-0.0012728i,-0.00093609-6.8522e-05i,-3.8799e-05-0.00023357i,0.00049775+0.00011572i,0.00020252+0.00065786i,-0.00029371+0.001113i,-0.00040848+0.00082901i,-0.00026244+7.4575e-05i,-0.00057103+0.00019983i,-0.0003482+5.6863e-05i
0.0008865+0.00071063i,-0.00081733+0.00054606i,-0.0021358-0.00099515i,-0.0038086-0.002044i,-0.0049271-0.0019833i,-0.0049493-0.0012803i,-0.0036519-0.0013045i,-0.0021982-0.0026543i,-0.0023234-0.0034108i,-0.0023581-0.0016232i,-0.0018105+0.00038225i,-0.0014848+0.00091853i,-0.0027059+0.0018025i,-0.0045405+0.0020059i,-0.0044381+0.00089773i,-0.0028734+0.00070187i,-0.0016187+0.00091589i,-0.00032581+0.00041266i,0.00067254+0.00041141i,0.00050512+0.00080249i,-4.0503e-05+0.00030758i,-0.00030562-0.00014422i,-0.00042659-0.00014009i
-0.0009872-0.0021957i,-0.0011106-0.0022768i,-0.0029469-0.0023199i,-0.0057085-0.001869i,-0.0064126-0.002388i,-0.0059011-0.0031244i,-0.0056935-0.0025214i,-0.0058488-0.0021482i,-0.0054128-0.0011712i,-0.0040708+0.00036042i,-0.0022216+0.00069221i,-0.00086717+0.0011105i,0.00015198+0.001693i,0.0011845+0.0019333i,0.001834+0.0014646i,0.00095264+0.00032997i,-0.00071136-0.00094676i,-0.0014763-0.00095808i,-0.0012873-0.0001329i,-0.0011157-0.00015543i,-0.0010656-0.00033282i,-0.00034801-0.00044687i,-0.0003671+3.4906e-05i
0.00096878+0.0013512i,0.0020475+0.0020851i,0.0032558+0.0029932i,0.0014863+0.0039224i,-0.0012829+0.0030517i,-0.0036474+0.00071099i,-0.006024+0.00051371i,-0.0067472+0.0029463i,-0.0036241+0.0054922i,-0.00028825+0.0051078i,0.0014633+0.0024879i,0.0027973+0.0014362i,0.0036701+0.0015614i,0.0041104+0.001539i,0.0040363+0.0012892i,0.0035984+0.001259i,0.0024663+0.0014362i,0.0014986+0.00021071i,0.0010571-0.00075957i,0.00048404-0.00068781i,0.00020741-0.00068251i,0.00073613-0.0011183i,0.00083335-0.00040099i
-0.0020992+0.00063615i,-0.0016136+0.00039772i,-0.00013802+0.0001878i,0.00033352+0.00051039i,-0.0021391+0.00089627i,-0.005269+0.0021616i,-0.0053222+0.0035042i,-0.0018485+0.0038606i,0.0019476+0.0033119i,0.002662+0.0023897i,0.0017756+0.0020393i,0.00099046+0.0018301i,-8.4928e-05-0.00038396i,-0.0007261-0.0026035i,-0.0010033-0.0018676i,-0.0012329-0.00032212i,-0.00072523+0.00090607i,0.00033623+0.0011757i,5.169e-05+0.00068217i,-0.00030569+0.00073195i,-0.00019419+0.00062452i,-0.00054235+0.00027487i,0.00018682+0.00063152i
0.0021802-0.0040434i,0.0021373-0.0064025i,0.0013423-0.0094346i,0.00031814-0.0092034i,-0.00047993-0.0055598i,-0.00091656-0.0011954i,-0.00038022+0.00067736i,0.0019318+0.00094351i,0.0029731-0.0010048i,0.001334-0.0025147i,-4.6482e-05-0.0020402i,-0.00027246-0.0029015i,-0.001745-0.0031313i,-0.0031247-0.0022447i,-0.0021841-0.0021949i,-0.0014503-0.0029226i,-0.0014946-0.0029103i,-0.00070644-0.0015834i,-0.00014154-0.00018932i,5.5074e-05+0.00056222i,-0.00040394+0.00022199i,-0.00044706+0.0001431i,-0.00014503+0.00010371i
-0.0006954+0.0021401i,-0.00081848+0.0031118i,-0.0014821+0.002842i,-0.0033448+0.00014303i,-0.004044-0.0011061i,-0.0030254-0.001763i,-0.0015388-0.0030299i,-0.0013554-0.0041828i,-0.0025419-0.0035413i,-0.0029572-0.0010089i,-0.0010683+0.00055119i,0.00044428+0.00023739i,0.00017069+0.0012511i,0.00050741+0.0026015i,0.00094186+0.0025845i,0.00087843+0.0012856i,0.00084321-0.00067935i,0.00012711-0.00097872i,0.00020423+1.2118e-05i,0.00093179+0.00051475i,0.00061928+0.00015342i,0.00025966+4.5388e-05i,0.00021832-0.00010548i
-0.00023517-0.0020519i,-0.0021551-0.0030623i,-0.0038585-0.0013143i,-0.0061489+0.00050902i,-0.0079123-0.00056366i,-0.0077648-0.0029032i,-0.0066848-0.0037879i,-0.0061073-0.0019067i,-0.0048333-4.2696e-05i,-0.0027641+0.0013201i,-0.0018869+0.0030218i,-0.0017138+0.004687i,-0.0017643+0.0055625i,-0.0027286+0.0049305i,-0.0032657+0.0040733i,-0.0028423+0.003896i,-0.0023035+0.0034264i,-0.0011912+0.0019831i,4.8225e-05+0.0010522i,0.00072034+0.00056828i,-6.5952e-05+0.00039321i,-0.0010037+0.00029272i,-0.0013744-0.00012045i
0.0021351+0.0011093i,0.0054642+0.00068019i,0.0064605+0.0015096i,0.005163+0.0031712i,0.0013907+0.0036259i,-0.0036502+0.00095469i,-0.0070292-0.00034308i,-0.0059081+0.0013115i,-0.0017264+0.002586i,0.0010155+0.001989i,0.0012146+0.00090175i,0.00081876+0.00047704i,0.0011923-0.0014937i,0.0013064-0.0036732i,0.00089051-0.0038133i,9.2788e-05-0.0026011i,-0.00055578-0.0012376i,-0.00034074-0.0005906i,-0.00052212-0.00085668i,-3.2736e-05-0.0012089i,0.00068621-0.00074234i,-7.6296e-06-0.00075721i,-0.0006675-0.0015254i
-0.0029718+0.00069345i,-0.0024569+0.00015258i,-0.00088468-0.0028589i,0.0014673-0.0051877i,0.00086197-0.0036972i,-0.002912-0.0006163i,-0.0043865+0.0012783i,-0.0032823+0.0020392i,-0.0015535+0.00060864i,-0.00028092-0.001394i,0.00078342-0.0018701i,0.0028087-0.0013996i,0.0034829-0.0012219i,0.0024644-0.0005079i,0.0024376-0.00011011i,0.0029216-0.00086298i,0.0024121-0.0013381i,0.0015004-0.0019546i,0.00047057-0.0021494i,-5.4435e-05-0.00099739i,4.4657e-05-0.00022759i,-0.00025995-6.1676e-05i,-2.6116e-05+0.00037917i
0.0039124-0.0021606i,0.0025683-0.0046718i,1.8249e-05-0.0074374i,-0.0022651-0.00821i,-0.0030614-0.0062445i,-0.0030606-0.0024027i,-0.0026091+0.00096263i,-0.00047305+0.001366i,0.001027+0.00049548i,-0.00013707+0.00066822i,-0.00097732+0.0011409i,-0.0015438+0.0012931i,-0.004304+0.0014741i,-0.0055686+0.0019732i,-0.0044248+0.0027946i,-0.0033079+0.0027499i,-0.001558+0.0015267i,-0.00044731+0.00067647i,-0.00060911+0.00090131i,-0.0012265+0.0018957i,-0.0011616+0.0017423i,-0.00075403+0.00089107i,-0.00071435+8.5005e-05i
0.0034511+0.0040154i,0.0030299+0.0048475i,0.0001753+0.0034178i,-0.0046138+0.0019953i,-0.0075254+0.0010032i,-0.0062395+9.5223e-05i,-0.0034148-0.00040152i,-0.0027975-0.00059434i,-0.0026107+9.6667e-05i,-0.00090519+0.0021524i,0.00017734+0.0018234i,-0.0012809-0.00065372i,-0.0036045-0.0016043i,-0.0040038-0.00112i,-0.0027462-0.0010866i,-0.0024416-0.001347i,-0.0016318-0.00084266i,-0.0013184-0.00012936i,-0.0017039-0.00023641i,-0.00048185-0.00027908i,0.00027925-0.00030007i,0.00021117-0.00038345i,0.00074781+7.9305e-05i
0.00087205-0.0038331i,-0.00018121-0.0051059i,-0.00081635-0.003596i,-0.0025885+0.0005547i,-0.0050134+0.0024482i,-0.0060402+0.0011981i,-0.0043234-0.00058718i,-0.0017469-0.00033696i,0.00013933+0.00017024i,0.00021873-0.00014505i,-1.2355e-05-0.00016417i,0.00097131+0.00053309i,0.0028433+0.0020834i,0.0045873+0.0030349i,0.0043134+0.0027572i,0.0029092+0.0014394i,0.0017567-0.00069767i,0.0017004-0.00080783i,0.0025457+0.00083337i,0.0022919+0.00088184i,0.0012244+0.00032761i,-3.7904e-05-0.00057948i,-0.00083545-0.00135i
0.005291+0.0013519i,0.0078371-0.00043095i,0.010034-0.0026551i,0.0095209-0.003045i,0.0054037-0.0023579i,-0.00077487-0.0034285i,-0.0043796-0.0037684i,-0.0044304-0.0020215i,-0.0014905-0.00071501i,0.00012412-0.00089412i,-0.0016456+0.00046396i,-0.0025217+0.0033752i,-0.0013268+0.0043462i,-0.0017806+0.0032393i,-0.0024315+0.002631i,-0.0020631+0.0023947i,-0.000764+0.0020048i,0.00075968+0.0014876i,0.00062595+0.0011379i,-0.00030518+0.00046749i,-0.00092715-0.00026067i,-0.0011445-9.788e-05i,-0.0010694+0.00026089i
-0.0018243+0.0036402i,-0.00053659+0.0014397i,0.002706-0.0041146i,0.0032796-0.010068i,0.00077453-0.011127i,-0.0028221-0.0073248i,-0.0036913-0.0024421i,-0.0025286+0.00033072i,-0.0025704-0.00047951i,-0.0027241-0.0011406i,-0.0016441-0.00030078i,-0.00093945-0.0014301i,-0.0021652-0.0035384i,-0.0032744-0.0042665i,-0.0030571-0.0041555i,-0.00197-0.0029008i,-0.0011234-0.0017651i,-0.00077141-0.0012735i,-0.0014134-0.00094576i,-0.0020697-0.00096543i,-0.00094278-0.0013028i,0.0005624-0.0016459i,0.00053399-0.0014546i
0.0091168-0.00069606i,0.0081662-0.0039752i,0.0045612-0.0071656i,-0.0035069-0.0097164i,-0.0082774-0.010594i,-0.007457-0.0066216i,-0.00472-0.0013136i,-0.0032901+0.0013344i,-0.0021451+0.0022871i,-0.00083312+0.0014733i,0.001008+0.00027897i,0.0015739-0.00022907i,0.00039506+0.00057495i,-0.0011741+0.001521i,-0.0018626+0.0015159i,-0.0013081+0.0013743i,0.00014194+0.00044901i,0.00024523-0.00022329i,0.00047069+0.0010861i,0.001315+0.0027927i,0.0013939+0.0026325i,0.0010653+0.00071666i,6.366e-05-0.00070429i
-0.023856-0.0038129i,-0.025052+0.0054204i,-0.026557+0.019047i,-0.017833+0.025351i,-0.0054716+0.024594i,0.0055929+0.011786i,0.006605-0.0012254i,0.0023928-0.0040019i,-0.001325-0.001267i,0.00059123+0.0043041i,0.0050371+0.0054906i,0.0049766+0.0028897i,0.00421+0.00042415i,0.0068498-0.0024452i,0.009078-0.0028514i,0.006183-0.00030035i,0.0013419+0.0018466i,-0.00030053+0.0013552i,-0.00036261-0.0012475i,-0.0012408-0.0024065i,-0.0020763-0.0010511i,-0.0017488+0.0013065i,0.00014357+0.0027255i
