-0.0010673+0.00054111i,-0.00068373+0.00014042i,-0.00091616-7.8487e-05i,-0.00090246-0.00094227i,-0.00091272-0.00076899i,-0.0014403+0.00023172i,-0.0012923+0.0010587i,-0.00028354+0.0012454i,0.0012576+0.0015134i,0.0014442+0.00070454i,0.00069155-0.00071081i,0.00023578-0.00096146i,1.7885e-05-0.00017271i,-0.0005478+0.00027309i,-0.00033523+0.00056432i,-0.0001261+0.00075255i,0.0004944+0.00046733i,0.0011307+0.00024243i,0.00071073+0.00062154i,8.4771e-05+0.00046375i,0.0003458+0.00023709i,0.00084496-0.00043189i,0.0005159-0.00079661i
-0.0004195-0.0021294i,-0.00056422-0.0013921i,-0.0014527-0.00092625i,-0.0027976-0.00065173i,-0.0030845+0.00039135i,-0.0020546+0.0008958i,-0.00050728+0.00038024i,0.00067214-7.1842e-06i,0.0010696+0.00036755i,0.0001027+0.00055601i,-0.00033793+0.00077241i,-0.00034137+0.00088982i,7.9873e-05+0.00039438i,0.00028728+0.00059786i,-0.00017913+0.00018526i,2.5325e-05-0.00019751i,0.00032437-0.00027921i,0.00065279-0.00040977i,0.00063325+0.00036614i,0.00071883+0.00036454i,0.00071222-0.00022504i,8.2607e-05-0.00083008i,-0.00045159-0.0010563i
0.00069941+0.00022432i,9.9328e-05+0.00034112i,2.4014e-05+0.00061465i,0.00085939+0.0008868i,0.00078305+0.00076208i,3.0242e-05-0.00024706i,-0.00033963-0.00010923i,-0.00025336+0.0010844i,0.0007822+0.00067573i,0.0012982-0.00014677i,0.000493-0.00018087i,-0.0004107+0.00052526i,-0.00038465+0.0011805i,-0.00044653+0.0014312i,-0.00057361+0.0013838i,-0.00030291+0.0011266i,0.00037141+0.00018994i,0.00090628-0.00017528i,0.00085368-0.00025767i,0.00054593-0.0010367i,-2.5788e-06-0.001149i,0.00045714+8.5669e-05i,0.00088312+0.00077981i
-0.00068085+0.00036189i,-0.00031753-2.7125e-05i,-0.00022322+0.00031394i,-0.00068558+0.00016568i,-0.00067076-0.00038734i,-0.00096022-0.0011787i,-0.0012681-0.0015579i,-0.00039002-0.00034523i,0.00058082+0.00076548i,0.00050199+0.00011984i,-0.00013178-0.00017208i,-0.00099453+3.1954e-05i,-0.00071386-0.0014808i,1.6313e-05-0.0018748i,-0.00066673-0.00093635i,-0.0014562-0.00051115i,-0.00143-0.00079788i,-0.00082729-0.00073414i,-0.00017981-0.00038639i,-2.1121e-05-0.0003763i,-0.00048836+2.2875e-05i,-0.00055675-0.00021056i,-0.00029375-0.00052008i
-0.0013052-5.3228e-05i,-0.0020222+8.2929e-05i,-0.0018875+0.0014465i,-0.00090654+0.0023798i,-0.00080583+0.0026116i,-6.9984e-05+0.0015399i,0.00014739+0.00051666i,-0.00078438+0.0001583i,-0.00032197-6.3317e-05i,0.00010033-0.00034882i,0.00017025-0.00078449i,0.00049735-0.00011477i,-4.5556e-05+0.00017026i,-0.00062078-0.00035436i,-0.00043491-0.0011958i,-0.00053353-0.00059127i,-0.0006894+0.00016593i,-0.00033361+1.1702e-05i,-0.0002491-0.00035625i,0.00013156-0.00050141i,0.00027607-0.0004823i,0.00016641+0.00012218i,2.071e-05-2.0935e-05i
-0.00097653+0.00021329i,-0.0011196+0.00049077i,-0.00086336+0.0010818i,-0.00085103+0.0014452i,-0.00019715+0.0014412i,-0.00011067+0.0011743i,-0.00048096+0.00021177i,-0.00011324-0.00047212i,0.00069114-0.00018749i,0.00098406-0.00055507i,0.00015282-0.00069508i,-0.00042771-0.00045757i,-0.0011125+6.9376e-05i,-0.0010697+0.00037128i,-0.00082991+9.0642e-05i,-0.00095165-0.00059778i,-0.00044703-0.00035692i,-0.00017979+0.00032868i,-0.00025494+0.00046233i,-0.00014958-0.00016002i,9.6565e-05-0.00052327i,0.00062774-0.00024086i,0.0008995-0.00049438i
-0.0013699-0.0012377i,-0.0017769-0.00063389i,-0.0019398+0.00052548i,-0.0016016+0.0012751i,-0.0011328+0.0012929i,-0.0003533+0.0011151i,0.00031969+0.00055628i,0.00043442-0.00011472i,0.00036064-0.00037684i,0.00026574-0.00056862i,-0.00031604-0.00097058i,-0.0010643-0.0010625i,-0.00057307-0.0003551i,-1.1523e-05+0.00020871i,-0.00043323+0.00031752i,-0.00073566+0.00050612i,-0.00053434+0.00029664i,0.000227+0.00033783i,0.00054074+0.00049037i,0.00063585+0.00021211i,0.00028917-0.00034247i,-0.0006714-0.00075144i,-0.00059665-0.00056612i
-0.00072047+0.0012871i,-0.00070358+0.0015767i,-0.00046711+0.00013998i,-5.9728e-05-0.0001266i,-0.00020659+0.00018497i,-0.00028492+6.2539e-05i,0.00024309+0.00038047i,0.00020381+0.00042491i,0.00083417+7.1946e-05i,0.00074819-0.00017029i,-0.00045567+4.7332e-05i,-0.00080041+0.00026068i,-0.00076393-6.2057e-06i,-0.00071197+0.00048548i,-0.00083952+0.00060636i,-0.00067466+0.00048447i,-0.00046904+0.0010072i,0.00019478+0.0017529i,0.0010865+0.00099058i,0.0008107-0.00045736i,0.00025138-0.00099724i,0.00012027-0.0014883i,-0.00041548-0.0010358i
-0.00080819-0.00063926i,-0.0016385-0.0013658i,-0.0021499-0.0011985i,-0.0018745-9.0865e-05i,-0.0015843+0.00046011i,-0.0010908+0.00029609i,-0.00016636+0.00078167i,0.00056487+0.00089856i,0.00032757+5.808e-05i,0.0001558-0.00015446i,-0.00046977-0.00026756i,-0.00047731+3.3138e-05i,0.00061867+0.00068309i,0.00025118+0.00063521i,-0.00046989+0.00071975i,-0.0002996+0.00051932i,-0.0003967+0.00025363i,-0.00017551-5.5923e-05i,0.00024347-0.00027173i,0.00019119-0.00056674i,-0.00060158-0.00087568i,-0.0012863-0.00060905i,-0.00062058-0.00050053i
0.00048495-0.0025186i,-0.00018092-0.0019036i,-0.00063384-0.0015376i,-0.00055755-0.00073307i,-0.00057154+9.4085e-07i,-0.00089665+0.00076557i,-0.0004051+0.0006736i,0.00040279+0.00057688i,0.00055128+0.00048976i,0.00074472-0.00025607i,0.00065755+2.7948e-05i,0.00035001+0.0004018i,0.00021961-0.00016933i,-0.00029279-0.00015851i,-0.00084055-2.6639e-05i,-0.0012344-8.0439e-05i,-0.00093834-0.00016516i,-8.3212e-05-6.9377e-06i,0.00048451+0.00080436i,0.00012977+0.0011604i,7.5313e-05+0.00081544i,0.00065254+0.0002681i,0.00029772-0.00015577i
-0.00048991-0.00030078i,-0.0011416-0.00082727i,-0.0006741-0.00056293i,-0.00071142-0.00040646i,-0.0007123-9.1107e-07i,-0.00094592+0.00045449i,-0.0010856+0.00060566i,-9.807e-05+0.00061657i,0.0007344-0.00034949i,0.00012165-0.0012153i,-0.00022761-0.00050633i,-0.00016631+0.00069641i,-0.00047081+0.0011289i,-0.00084319+0.00031016i,-0.00059544-0.00021681i,2.8368e-06+0.00036643i,0.00031189+0.00076292i,8.8841e-05-6.6993e-05i,0.00052202-0.00072255i,0.00097465-0.00090144i,2.7324e-05-0.0011208i,-6.0895e-05-0.0011998i,6.5226e-05-0.0006954i
1.2203e-06-0.00054482i,-0.00022162-0.00082579i,-0.0004823-0.0007386i,-0.00071573+0.00043673i,-0.0011297+0.00059347i,-0.00065634+0.0003611i,-0.00057167+0.00024735i,-0.00023253-0.00018828i,0.00059999-1.8074e-05i,0.00023375+0.00041398i,-0.00048165-0.00032836i,-0.0006492-0.0011164i,-0.00077911-0.00049273i,-0.00043543+0.00039998i,0.00047155+0.00043389i,0.00042959+0.00083983i,0.00025143+0.0005811i,3.1364e-05+0.00022938i,-0.00028284+6.1954e-05i,-5.4962e-05-0.00029039i,0.00037763+0.00018104i,0.0004683-0.00020221i,0.00020062-0.00069322i
0.00079089-0.0014252i,0.00011438-0.0014556i,-0.00036323-0.00050421i,-0.0012262+0.00093014i,-0.0012813+0.0014933i,-0.0013618+0.0013446i,-0.00043774+0.00057622i,0.00088539-8.0744e-05i,0.001489-0.00034344i,0.00067109-0.00018979i,8.4194e-05+0.00040158i,0.00014585+0.0011583i,-3.8105e-05+0.00099922i,-9.4003e-05+4.3807e-05i,-0.00027215-0.0001615i,-0.00071832-0.00046798i,-0.00017457-0.00093523i,0.00042496-0.00034148i,0.00070847-0.00032252i,0.00096477-0.00017714i,0.00071391+0.00029233i,0.00031812-0.00051398i,0.00014805-0.0014957i
-0.00020529-0.00036729i,-7.6702e-05-0.0012637i,0.00058919-0.0017813i,0.00072013-0.0016658i,0.00028659-0.0013732i,-0.00016424-0.0010909i,-0.00011918+0.00030646i,0.00039555+0.0009372i,0.00057755+0.00052108i,0.0007614+0.00013016i,8.1025e-05-0.00028868i,-0.00083477+9.1312e-05i,-0.00059842+0.00065886i,-0.00075774+0.0007981i,-0.00081631+0.00097401i,-0.00021+0.00086755i,-0.00018661+0.00019225i,-0.0004733-4.2235e-05i,-0.00062739+0.00026094i,-0.00092878+1.631e-05i,-0.0012977-0.0002824i,-0.00043049-0.00068805i,0.00029945-0.00090484i
0.00063799-0.00025931i,0.0017739-0.00099128i,0.00065771-0.00058766i,-6.612e-05+0.0005833i,2.8948e-05+0.0014854i,-0.00028755+0.0014199i,0.00074187+0.00023997i,0.0020167-0.00027917i,0.0017419-0.00022031i,0.00096464-9.9485e-05i,0.00046609-6.6881e-05i,-0.0002806-0.00014382i,-0.00031418-0.00032459i,-0.00028823+0.0001638i,-0.00028674+0.00075162i,0.00020856+0.00054404i,0.00033026+0.0005373i,-0.00013989+7.2057e-05i,-0.00021161+0.00018247i,-0.00014344+0.00038136i,-0.00010246-0.00019603i,-9.0694e-05+0.0001031i,2.9779e-05+6.0198e-05i
-0.00049172-0.0020339i,-0.0013412-0.00087917i,-0.002043-0.0011272i,-0.0024966-0.0012443i,-0.0025503-0.00027607i,-0.0015648+0.0011386i,0.00025858+0.00061451i,0.0012768-0.00057493i,0.0013602-0.00068876i,0.00067673-0.00073838i,-0.00063932-0.0007026i,-0.0007528-6.6057e-05i,-0.00049689-0.00039128i,-4.39e-05-6.1821e-05i,0.00040571+0.00087955i,-0.00026868+0.00077342i,-0.00047796+0.00077479i,0.00035502+0.00074223i,0.00091489+0.00050707i,0.00029733+0.00049238i,-0.00039403-0.00016511i,0.00025575-0.0001759i,0.00075509+0.00035692i
-0.00079031-0.0012576i,-0.00015978-0.00036377i,-0.0014569+0.00040027i,-0.001676+0.00099894i,-0.00085536+0.002316i,-0.00051779+0.002747i,0.00013803+0.0011112i,0.00068647-0.00018601i,0.00015924-0.0012728i,-0.00023002-0.00084833i,-0.00027289+5.5964e-05i,-0.00037322-0.0004019i,-0.00010319-0.00069623i,-0.00043042-0.00024228i,-0.0012967+0.00069491i,-0.0011258+0.0018171i,-0.00080537+0.0012292i,-4.9159e-05-0.00011569i,0.00050402-0.00040597i,-3.7891e-05-5.8418e-05i,3.3614e-07-0.00033867i,0.00020441+8.3263e-05i,-7.2214e-05+0.00037894i
0.00050428+0.00030876i,0.00055928-9.1522e-06i,0.00017984-0.0012374i,-0.00035955-0.0012472i,-0.00063367+0.00050995i,-0.0010781+0.0019537i,-0.001112+0.0020823i,-0.00010976+0.0012406i,0.00065978+0.00013889i,0.00022755-0.00039644i,-0.0004975+0.00092049i,-0.00038692+0.0019245i,-0.00043273-8.5507e-05i,-0.00073235-0.0014964i,-0.00032765-0.00067759i,-0.00046568+0.00020467i,-0.0011636+0.00013613i,-0.00063477+0.00029584i,-4.3212e-05+0.00093809i,-0.00024863+0.00057534i,-0.00015408-0.00027573i,0.00021303-0.00046151i,0.00017563-0.0007869i
-0.00031365-0.00099436i,-0.00082069-0.0013661i,-0.0013496-0.0011862i,-0.0014038+2.2856e-05i,-0.00048192+0.0008041i,-0.00016496+0.0001284i,0.00041575-0.00047131i,0.001239+0.00039459i,0.0010182+0.0010773i,0.00039283+0.00095756i,-0.00055754+0.00027281i,-0.00066208+0.00011459i,0.00016647+4.5362e-05i,-0.00054879-0.00013012i,-0.0011879+9.1141e-05i,-0.0010756+0.0005583i,-0.0010299+5.6819e-05i,-0.00035546-0.00035384i,0.0003909-0.0004476i,0.0002505-0.00011126i,-0.00081552+0.00072457i,-0.00043934+0.0007192i,0.00068694-7.1277e-05i
-0.00038348+0.00044078i,0.000248+0.0012511i,0.00021599+0.0015635i,0.00045357+0.0017817i,4.7093e-05+0.0015509i,-0.00089371+0.00050287i,-0.00081088-0.00045198i,-0.00055228-0.00036187i,-0.00058715+0.00025588i,-0.00079113+0.00049893i,-0.00050741+0.0002388i,-0.00072433+0.00030906i,-0.0014918+0.00048202i,-0.0016557+0.00054088i,-0.00080872+0.00085971i,-0.00030081+0.00056046i,-0.00015788-0.00014131i,-0.00053035-0.00036941i,-0.00054644-0.00051902i,1.573e-05-0.00030877i,0.00020386+0.00018656i,0.00069948+0.00013838i,0.0008412-0.00020407i
0.00042362-0.0010404i,0.00084774-0.00034754i,0.00038601-0.00074714i,1.6411e-05-0.00056671i,-0.00018058+5.4619e-05i,-0.00032678-2.278e-05i,0.00019314+0.00051129i,0.0004356+0.0012001i,-0.00015744+0.00062259i,7.7917e-05-0.00031848i,0.00035385-0.00032497i,-1.9997e-05-0.00041079i,-0.00066109-0.00064492i,-0.00096772-0.0010221i,-0.00040399-0.00062855i,-5.7536e-05-0.00027419i,0.00061058+0.00042803i,0.0007804+0.00012095i,0.00081645-0.00054593i,0.00045748-0.00022272i,-4.1982e-05+0.00039672i,0.00027009+0.00018041i,0.00027719-0.00043945i
-0.00054533-0.00012601i,-0.00066977-0.00035802i,-0.0010412+0.0015038i,-0.00080136+0.0030162i,-0.00087084+0.0026511i,-0.00073864+0.0012744i,1.2134e-05+0.00022314i,0.00062989+0.00040168i,0.00078118-0.0001317i,0.00013253-0.00094895i,-0.00068797-0.00057097i,-0.00085024-6.2128e-05i,-0.00074717+0.00040028i,-0.00087778+0.00083365i,-0.00087503+0.00053056i,-0.00064985+0.00023927i,-0.0005116+0.00026578i,-0.00043586+0.00011544i,-4.0553e-05-0.00042525i,0.00031516-0.00048404i,0.0007262-0.00064407i,0.0012801-0.00056044i,0.00078166+1.2802e-05i
-0.00143-0.00043518i,-0.0010595-0.00065509i,-0.00098954-0.0013914i,-0.00015234-0.0014985i,0.00025231-0.00073976i,-0.00019237+0.00010365i,-5.7795e-05+2.6849e-05i,0.00019318-0.00017887i,0.00082914-6.4009e-05i,0.0011956+0.00056702i,0.0002755+0.00059273i,-0.00061541-0.00083219i,-0.0013932-0.0012774i,-0.0016362-0.00075639i,-0.0014478-0.00025855i,-0.0012854+0.0002488i,-0.0010794+0.00033248i,-0.00028725+0.00051751i,0.00094055+0.00018068i,0.0010624-0.00020208i,0.00069985+2.6039e-05i,0.00043124-2.1733e-05i,-0.00029821+4.0908e-05i
-0.00069968-0.00057992i,-0.00098029-0.00094861i,-0.0018184-0.000713i,-0.0022446+0.001013i,-0.0026453+0.0027047i,-0.0024405+0.00164i,-0.0013476+0.0001486i,-0.00015426+0.00015666i,0.00037426+0.00066587i,-0.00036288+0.00097407i,-0.00059234+0.0010441i,-0.00021575+0.00064409i,2.8184e-05-0.0001911i,0.00091561-0.0010377i,0.00094544-0.00075025i,0.00042352-0.00017799i,0.00028401-3.3281e-05i,-0.00016127-0.00015798i,0.00066124-0.00063018i,0.0012361-0.0004749i,0.00028994-0.00034671i,-0.00027483-0.0005185i,-3.5804e-05-0.00055632i
0.0010002+1.6058e-05i,0.00044961-0.0014364i,0.00095804-0.0017292i,0.0010503-0.00089594i,0.0003157-0.00036609i,0.0002297+0.00013977i,0.00024642+0.00054343i,8.4244e-05+0.00025759i,0.001212-0.00025411i,0.001203-0.00032733i,-6.1849e-05-0.00045878i,-0.00090349-0.00052017i,-0.00044517-0.0006334i,0.00028359-0.00017949i,-0.00034715+0.00081762i,-0.00080715+0.0014962i,-0.00062432+0.0010982i,-0.00030346+0.00034255i,0.00011958+0.00031846i,0.00061118+0.00035454i,0.0011185+0.0003179i,0.00089508+0.000642i,0.00079774+1.7108e-05i
-0.00096877+0.00051029i,-0.00092682+0.001513i,-0.00042616+0.0014768i,-0.00092023+0.00038346i,-0.0016851-0.00013519i,-0.0014726-5.6109e-06i,-0.00099816-0.00058422i,-0.00048308-0.00061988i,0.00044018-9.0441e-05i,0.00082659+0.00013711i,9.6092e-05-4.7939e-05i,-0.00030719-0.00050446i,-0.0001992-0.00063793i,-8.1775e-05-0.00059455i,-0.00049923+1.2608e-05i,-0.00065106-3.0746e-05i,-0.00045139-0.00059804i,0.0001471-6.6269e-05i,0.00048154+1.8257e-07i,0.00056268-0.00021648i,0.00065755-0.00010056i,0.00092339+2.6131e-05i,0.00072988+0.00018345i
0.00054559-0.0021595i,0.00010362-0.0029516i,-0.00060567-0.00271i,-0.0007176-0.0012228i,-0.0013332+0.00013969i,-0.0017248+0.00033403i,-0.00092925+0.00014987i,-0.00016875+3.909e-05i,0.00023412-0.00015375i,-0.0001825-0.00029247i,-0.00047269-0.00035i,-0.00040453+0.00017388i,-0.00072137+0.0010024i,-0.00079902+0.0012025i,-0.00085945+0.00046354i,-0.00082972+0.00026525i,-0.00049032+8.0304e-05i,5.5342e-07+0.00037981i,0.00075135+0.0012506i,0.0012061+0.00039354i,0.00048871-2.5652e-06i,-0.00030524+0.00048946i,0.00054202-1.8138e-06i
4.7799e-05+0.00047893i,0.0015254+0.00051766i,0.0016433-6.8524e-05i,0.00022329-0.00017752i,-0.00029457+0.0004117i,-0.00033076+0.00059414i,4.8866e-05+0.0010548i,-0.00013293+0.00032047i,0.00013714-0.00059599i,0.00085693-7.7672e-05i,0.00014998-1.2541e-05i,-0.00076349+0.00032663i,-0.00078127+0.00044445i,-0.00063618-0.00013223i,-0.00087106-0.0009909i,-0.00067546-0.0011804i,-0.00039392+0.00023174i,-0.00041453+0.00057248i,-4.2637e-05+0.00038322i,-0.00011674+0.00069559i,-0.00022169+0.00036913i,0.00042581+5.1756e-05i,0.00061278-0.00081388i
-0.0019227+0.00085412i,-0.0032919+0.0015063i,-0.0024289+0.0025785i,-0.00042132+0.0027756i,0.00023967+0.0027662i,0.00058098+0.0017303i,0.00041402+0.00063887i,-0.00024431+0.00049586i,-0.00025505+0.00078387i,3.9936e-05+0.00022408i,0.00027575-0.00046759i,1.8008e-05-0.0013234i,-0.00049628-0.0011987i,-0.00042196-0.00032246i,-3.4088e-05+1.9384e-05i,0.00015797+0.00011151i,0.00033587+7.6064e-05i,9.2789e-05-6.7926e-06i,-0.00012529-0.00034037i,-0.00033993-0.00031487i,-0.00033191-0.00048486i,0.00048436-0.00055093i,0.00078893-0.00083024i
0.00097183-0.00027518i,0.0015971-0.00052224i,0.0017183-1.2599e-05i,0.0018387+0.00073852i,0.0011752+0.0010021i,-5.4693e-05-0.0001959i,-0.00039929-0.00088186i,0.0002561-8.3453e-05i,0.001532+0.00017145i,0.001954-4.7724e-05i,0.00094352-0.00052072i,-7.2978e-05-0.001222i,-0.00070485-0.0010466i,-0.0010388-0.00089087i,-9.9099e-05-0.0005356i,0.00075383+7.445e-05i,0.00094549-0.00019169i,0.00042192-0.00019523i,0.00070596-0.0001874i,0.00097178+0.00036957i,0.00039779+0.00087099i,9.3484e-05-0.00034009i,-0.00012649-0.0014675i
-0.0018785+0.0013137i,-0.0023839+0.0014068i,-0.002412+0.0024363i,-0.0015993+0.0018944i,-0.00071137+0.00056334i,-0.00051872-7.8639e-05i,-0.00031735-0.00055593i,5.9795e-05-0.00049831i,0.0006887-0.00058429i,0.00049941-0.00028982i,-8.0723e-05-6.6927e-05i,-9.1865e-08+0.00019224i,0.00012027+0.00073828i,-0.00057612+0.00049005i,-0.00093532+0.0006031i,-0.00065932+0.0012654i,-0.00021622+0.0011455i,0.00062324+0.00068881i,0.0010833+0.0004503i,0.00062478-9.6826e-05i,0.00052003-0.00087958i,0.00038897-0.00056793i,0.00012059+0.0002781i
-0.00055003-0.0006505i,0.00010268-0.0010453i,0.00076066-0.00082117i,0.0014473+0.00016868i,0.0012066+0.00053668i,0.0012835+0.00022511i,0.0014629+5.7411e-05i,0.00087654-0.00031707i,0.00070441-9.5942e-05i,0.00030711+0.00019512i,-0.00028369+0.00017686i,-0.00017926+0.00055456i,-0.00030657+0.00023902i,-0.00035626-0.0003606i,-0.00081104+0.00017603i,-0.00089288+0.00031114i,-0.00013677+0.00072219i,0.00045102+0.00064738i,0.00072787-0.00033752i,0.00056382-0.00066609i,-0.00030214-0.00063898i,-0.00066269-0.00068363i,-0.00038875-0.00058079i
-0.0019593+0.0005656i,-0.0021323+0.0012567i,-0.0016845+0.0019883i,-0.0017623+0.0020359i,-0.0015549+0.0011388i,-0.0010083+0.00038253i,-0.00043371-0.00024918i,0.00038793-0.0001582i,0.0010016+0.00043201i,0.00059115+0.00046989i,0.00027053-1.2812e-05i,0.00015241-0.00021339i,-0.00022591-0.00038569i,-0.00075853-0.00057471i,-0.0010983-0.0002386i,-0.00086895+0.0004988i,-0.00016642+0.00053654i,-6.3963e-05+0.00012735i,2.2687e-05-0.0003272i,0.00076377+3.5723e-05i,0.0012035+0.00034729i,0.0013365-0.00019065i,0.00099388+0.00043382i
0.0011608-3.0528e-05i,0.00035356-0.0016792i,0.00032328-0.0018533i,-0.0002951-0.0010162i,-0.00098432-0.00091506i,-0.0012105-0.00066267i,-0.00097944+0.00030577i,-3.221e-05+0.00070426i,0.00057335-0.00010669i,0.00052714-0.0012127i,0.0005133-0.0010843i,0.00022202-0.00030152i,-6.729e-05+0.00053413i,0.00010445+0.00055048i,0.00019915+0.00022301i,3.5692e-05+0.00072354i,0.00038106+0.00093806i,0.00057232+0.0001996i,0.0011074-0.00031765i,0.0012947-3.0025e-05i,0.00079796+0.00048083i,0.00036014+0.00075059i,-8.141e-05+0.00067621i
0.00054143-9.7224e-05i,0.00033039+0.00031879i,-0.00063514+0.00022579i,-0.00091694-0.00056758i,-0.00036865+0.00038365i,-0.00010139+0.0011605i,0.00014949+0.00034276i,0.00081468-0.0001459i,0.0010727+0.00068442i,0.00086342+0.00070659i,0.00072955-0.00014983i,0.00025678-0.00012812i,-0.00017128-0.00032206i,-0.00056923-0.00048835i,-0.00082844-0.00046876i,-0.0011845-0.00043648i,-0.00087373-0.00020194i,-0.00056738+0.0001666i,-0.00034405+0.00036243i,0.00037439-0.00012115i,0.00017407-0.000595i,-6.4507e-05-0.00058919i,0.00071509-0.00055034i
-2.8687e-05+0.00010262i,-0.00057693+0.00051209i,-0.001045+0.00078373i,-0.00080465+0.00014417i,-0.00037679-0.00029564i,-0.00034885-0.00062034i,-0.00065555-0.00055816i,0.0001659-8.7809e-05i,0.0016972-0.0001177i,0.0012472-0.00016972i,-6.7542e-05-7.2454e-05i,-0.00061319-0.00030541i,-0.00059832-0.00086434i,-0.0011143-0.00086332i,-0.001267-0.00044086i,-0.00073881-4.6653e-05i,0.00013165+0.00057436i,9.2626e-05+0.00055786i,-0.00063752-0.00030477i,-0.00086084-0.00037655i,-0.00095369+0.00010499i,-0.00049231+0.00033004i,-0.00058757+0.00059132i
-0.00010524+0.00070224i,0.00078861+0.0010327i,0.0014937+0.00069138i,0.0011928+0.00043184i,0.00061747+0.0009848i,-0.00054274+0.00083055i,-0.00037136+0.00039629i,0.00015079+0.00056345i,0.00065607+0.001025i,0.00092545+0.00040195i,-0.0006397-0.0008193i,-0.0012832-0.0016799i,-0.0013028-0.0014909i,-0.0011397-0.00059111i,-0.00078444+0.00094114i,-0.0010131+0.0016499i,0.00021217+0.00069585i,0.00087246-0.00027096i,0.00024241-0.0005039i,0.0004178-0.00060504i,0.00029403-0.00069496i,0.0002025-0.0006511i,0.00029826-0.0006924i
-0.00037565-0.00056283i,-0.00073674-9.8163e-05i,-0.00027964-0.00096347i,0.00036373-0.00073129i,0.00035618+0.00022935i,0.00014722-0.00046954i,0.00025055-0.0010282i,0.00046745-0.00065706i,0.00072376+7.81e-06i,0.00035556-0.00013822i,-0.00070158-0.00032067i,-0.00029708+0.00051775i,0.00059111+0.00089869i,-0.00020564+0.00073233i,-0.001027+0.00011369i,-0.00041774-0.00038922i,-0.00026284-0.00024073i,0.00012508-0.0003574i,0.00091375-0.00085937i,0.00062789-0.00071931i,0.000616+0.00022822i,0.00063451+0.00036394i,-0.00020608-0.00051575i
-0.00026033+0.00023424i,-0.00039465-0.00012223i,-0.0008028-0.00028938i,-0.00029288-0.00020777i,0.00044838-0.00011993i,-6.767e-05+0.00054287i,-0.00045597+0.00074561i,0.00023986+0.00083754i,0.00092798+0.00079379i,0.00081309+0.00014269i,0.00011905+0.00032426i,0.00032767+0.00072951i,-2.8199e-05+0.00091996i,-0.00059895+0.0010301i,-0.00011677+0.0007607i,-0.00031029+0.0003438i,-0.00024252+4.5839e-05i,-4.7323e-05+0.00021812i,-5.4664e-06+0.00089641i,-0.00018349+0.001116i,0.00034659+0.00099149i,0.00087803+0.0002351i,9.0548e-06-0.00049672i
0.00020548-0.0011811i,-0.0015251-0.0011795i,-0.0023478-0.0014556i,-0.002783-0.0013002i,-0.0033806+0.00014791i,-0.0025972+0.001856i,-0.0008786+0.0013859i,0.00030059+5.9181e-05i,0.0011402-0.00064951i,0.0010546-0.00030179i,0.00036811+0.000658i,-0.00022132+0.00094771i,-0.00024495-0.00012082i,7.4456e-05-0.0014228i,-0.00026366-0.0010554i,-0.00054466+8.4097e-05i,-4.8237e-05+0.00024336i,0.00047097+0.00026464i,0.00051576+0.0006141i,0.00069767+0.00070993i,0.00080372+0.00033123i,0.00061812-0.00037607i,0.00017718-0.0006942i
-3.2136e-05+0.0008882i,-0.0012807+0.00090738i,-0.0014767+0.0011193i,-0.00053925+0.0008505i,-0.00012679+0.00096978i,-3.9005e-05+0.00092102i,-0.00030462+0.0008346i,7.798e-05+0.0012229i,0.0011232+0.001186i,0.0014071+0.000248i,0.00089529-2.6137e-05i,-1.9869e-05+0.00082424i,-0.0011145+0.0012401i,-0.00082195+0.00097223i,-0.00060808+0.00038298i,-0.00061107+0.00047846i,-0.00040176+0.00069678i,0.0004913+0.00027793i,0.0015407-0.0002055i,0.0012218+8.4966e-05i,0.0012761-9.7273e-05i,0.0015664-0.00074816i,0.0012579-0.00010861i
-0.0012185-8.7218e-05i,-0.00094977+0.00069135i,-0.0014695+0.001263i,-0.001314+0.0018256i,-0.00050662+0.0014989i,-0.00025678+0.0010546i,0.0001201+0.00047419i,0.00019723-3.1671e-05i,-0.00070746+0.00024645i,-0.00095703+0.00039172i,-0.00072426+0.00035393i,-0.00085152-0.00025792i,-0.00073368-0.0006882i,-0.00089433-3.7792e-05i,-0.0011022+5.9457e-05i,-0.00055979+0.00038079i,0.00045402+0.0013748i,0.0013406+0.0013761i,0.0012298+0.00058736i,0.00068228+0.00051976i,0.00037072-0.00028788i,0.00070666-0.00059898i,0.00068285+0.00038743i
0.00011972-0.00087466i,-9.8148e-05-0.0013282i,-0.00014291-0.0016685i,-0.00078312-0.00074515i,-0.0015056+0.00035131i,-0.0013136+0.00061169i,-0.00092489+0.00023309i,-9.9435e-05+0.00039001i,0.00097978+0.00026572i,0.00094025-0.00057696i,0.0004676-0.00068556i,-0.0001326-0.00046098i,-0.00078619-0.00025344i,-0.00064589+0.00064672i,-0.00061582+0.0015307i,-0.00058437+0.00072518i,0.00016467-0.00014351i,0.00079722-0.00024435i,0.0012052-7.0487e-05i,0.0013991+0.00012979i,0.00089656+0.00039062i,4.9683e-05+0.0007285i,-0.00017644+0.00012515i
