-0.001756+0.00059967i,-0.00062217-0.0011639i,-0.0015819-0.0011777i,-0.001931-0.0016225i,-0.0012571-0.00087424i,-0.00010525+0.00080258i,0.0011056+0.00035702i,0.0017349-0.00014698i,0.0014479+0.00044042i,0.0011878+7.9517e-05i,0.0012729-0.00069978i,0.0012142-0.00061717i,0.0010066-0.00015194i,0.00074278+0.00033934i,0.00053224+0.00047831i,0.00012538-1.5816e-06i,0.00028636-1.1502e-05i,0.00052909+0.00055168i,0.00075394+0.00081459i,0.0011311+0.00016245i,0.00085419-0.00062587i,0.00010719-0.00015406i,0.00026011+0.00021068i
-0.00054099+0.00034634i,0.00082908-0.00071279i,0.0020983-0.00075097i,0.0012473+8.3275e-05i,0.00048888+0.00059151i,0.00082446+0.0010112i,0.0017224+0.0013414i,0.0015019+0.00097621i,0.00039159+0.00064298i,2.5014e-05+0.00055455i,0.00048392+0.0012362i,0.00059291+0.0015573i,0.00031489+0.00070628i,2.9365e-05+0.00025314i,-0.00042202+0.00074413i,9.8811e-05+0.00049404i,0.00030948-1.4471e-05i,0.00010129-0.00012226i,9.5928e-05-1.7702e-05i,-9.6686e-05+8.3806e-05i,0.00031216-0.00052651i,0.00046366-0.0004908i,0.00054728+0.00029108i
0.0005926-0.0013932i,0.0018277-0.00087541i,0.0032019-0.0013719i,0.0031428-0.0013541i,0.00088441-0.00021115i,0.00042604+0.00065956i,0.0017506+0.0007286i,0.0018492+0.00045741i,0.00077211+0.0001253i,-9.0289e-05+0.00035802i,0.00032124+0.00094393i,0.0012507+0.0010463i,0.0011396+0.00039137i,0.00031724-0.00025124i,0.00028512+0.00032296i,0.0005382+0.00056235i,0.00046704+0.00015351i,0.00063666+0.00049909i,0.00055568+0.00050867i,-0.00012254+2.1541e-05i,-0.00050377-4.061e-05i,-0.00071727+2.6002e-06i,-0.00041479+5.8446e-05i
1.7795e-05-0.0028993i,0.0013362-0.0016132i,0.0016068-0.00061129i,0.001176-0.00076588i,0.00019506+0.00024918i,0.00058542+0.0012144i,0.0019223+0.00080805i,0.0020794-0.00028941i,0.00023508-0.00034827i,-0.00084187+0.00045241i,-9.7039e-05+0.00083803i,0.00046888+0.00051748i,0.00051248-4.992e-05i,0.00046359+0.00010084i,0.00010536+2.5245e-05i,0.00046875-0.00026757i,-2.9653e-05-0.0004075i,-0.00045159-0.001089i,0.00042122-0.0010427i,0.00051134-0.00016098i,-0.00018534+0.00019467i,-7.6315e-05+9.876e-05i,0.00017561+0.00012883i
0.0014408-0.00040012i,0.0022369-0.0014857i,0.0039412-0.0023513i,0.0038095-0.0020049i,0.0014116-0.00061858i,-6.9218e-05+0.0012588i,0.00041539+0.001917i,0.00059221+0.001135i,0.00042831+7.0998e-06i,-3.6341e-05-0.00071328i,-0.00033029-0.00082598i,0.00031369-0.00087435i,0.00060913-6.6699e-05i,0.00065298+0.00041258i,0.00063248+0.00059445i,2.0072e-05+0.00057593i,-0.00043425+0.00026616i,-0.00034075+0.00010921i,0.00082285-0.00010948i,0.0019355+5.4769e-05i,0.001579+0.00010416i,0.0010282-0.00056258i,0.00068656-0.0012118i
0.0001122-0.0010466i,0.0015191-0.00087062i,0.0028321-0.00062747i,0.0018803-9.8225e-05i,7.0872e-05+0.00082889i,0.00013066+0.0018882i,0.0016426+0.0023996i,0.0019699+0.0012181i,0.0011043-0.00052809i,0.00034011-0.0011574i,0.00028522-0.0011098i,0.00064157-0.00027186i,0.00062984+0.00056184i,0.00084214+0.00022797i,0.00098077+0.00015776i,0.00072996+6.8891e-05i,0.00044725-0.00030572i,0.00066603-0.0001768i,0.00084507+0.00033128i,0.00065968+0.00067219i,0.00011738-0.00026934i,2.078e-05-0.00049837i,0.00032202-0.00011962i
0.0011866+0.00060907i,0.0027042-0.00010842i,0.0040182+0.00015465i,0.0028012-0.00022619i,0.0011266+1.0875e-05i,0.0015935+0.0015351i,0.0021+0.0018967i,0.0015362+0.0014077i,0.00033503+0.00076534i,9.6669e-05+0.00018383i,5.5249e-05-0.00029329i,-0.00035099-4.9229e-05i,-0.00016741+0.0010321i,0.00042753+0.0012285i,0.00079921+0.00058822i,0.00067083+0.00024646i,2.3171e-05+0.00055998i,-0.00031089+0.00047363i,0.00017385+9.3495e-05i,0.00059359+7.5354e-05i,0.00082923+0.00015315i,0.00080241+0.00030213i,0.00057915+0.00078158i
0.00015123+0.0013597i,0.0020361+3.2518e-05i,0.0033861+0.00081418i,0.0038663+0.00090522i,0.0024909+0.00062217i,0.0012667+0.0012731i,0.0018456+0.0012305i,0.0019259+0.00079775i,0.00098561+0.0010459i,0.00055762+0.0015011i,0.00054962+0.0011403i,0.00071297+0.00058805i,0.00084133+0.00056399i,0.00061938+0.00021063i,0.00041116-0.00028421i,-4.0874e-06+0.00014417i,0.00012713+0.00038344i,0.0003113-0.00047392i,-8.7919e-05-0.00081874i,0.00012484-0.00065796i,6.1084e-05-3.1113e-05i,-0.00014666-4.1331e-05i,0.00023102-6.4864e-05i
0.0026667-0.00016888i,0.0044756+0.00086622i,0.0047482-0.00036208i,0.0026444-0.0020757i,0.0002122-0.00081014i,-0.00067387+0.0023814i,0.00037349+0.0034959i,0.0013936+0.0021744i,-0.00015538+0.00087933i,-0.001705+0.00081789i,-0.00054255+0.00081224i,0.00033986+0.00071858i,0.00056044+0.0003182i,0.0016016+0.00026386i,0.0019564+0.00075881i,0.00076038+0.00048868i,-0.00023014-0.00039431i,3.9927e-05-0.0002441i,-0.00035653+0.0005649i,-0.00054943-0.0002323i,-0.00027109-0.00063208i,-2.8002e-05-0.00021302i,7.4586e-05-7.939e-05i
0.00076983+0.00042197i,0.0031413+0.00046049i,0.0043226-0.0012783i,0.0034893-0.0018108i,0.0010268-0.00068457i,1.4258e-05+0.0015078i,0.0018239+0.0022936i,0.0025613+0.0009323i,0.0019012+0.00020125i,0.0012606-0.0001762i,0.0016934+4.4066e-06i,0.0020786-0.00030418i,0.0018639-0.00035501i,0.0015423-3.0053e-05i,0.00023623+3.8349e-05i,-0.00035015+0.00066026i,-7.1272e-05+0.00085531i,0.0005089+0.0010629i,0.0001757+0.00091927i,-1.6286e-05-0.00051236i,1.936e-05-0.0012622i,-0.0008283-0.0012522i,-0.00056375-0.00089754i
0.00023813+0.00055353i,0.0024507+0.0012459i,0.0053827+0.0013179i,0.0051232-0.00055472i,0.0020085-0.0020722i,-0.00027536-0.0012291i,-0.00014014+0.0005759i,0.00073532+0.00079415i,0.0011036-7.1127e-05i,0.00077035-9.5639e-05i,0.00084671+0.0001161i,0.00086072-0.00011567i,0.0010462+2.4199e-05i,0.0005418+0.00028274i,0.00025439+0.00010016i,0.00035057-0.00063192i,9.2805e-05-0.0011962i,0.00014595-0.00077916i,-6.9358e-05+8.6815e-05i,-0.00032408+4.3133e-05i,-4.3078e-05-0.00028785i,0.00053952-0.00047746i,0.00086237-0.00019766i
-0.00038364+0.0011874i,0.0017178+0.001602i,0.003868+0.0013458i,0.0039048-0.00012494i,0.0022559-0.00089047i,0.00048693-0.0002772i,0.00024344+0.00075066i,0.00066558+0.0010656i,0.000195+0.001106i,-0.0003971+0.00066802i,0.00023959+3.4595e-05i,0.00039263+0.0001636i,-0.00044719+0.00027817i,-0.00026765+9.2907e-05i,0.00047535+0.00047574i,0.00093363+0.00036555i,0.0010579-0.0002567i,0.00054626-0.0002491i,2.7417e-05+0.00027932i,0.00037558+0.00035667i,0.00058374-7.3563e-05i,-0.00018488-0.00034215i,-0.0008857-0.0009675i
0.00218-0.0014501i,0.0032283-2.4113e-05i,0.0035932-0.00093461i,0.0020886-0.0021505i,-0.00051465-0.00065194i,-0.00090486+0.0021217i,0.00083453+0.0029463i,0.0019727+0.0022285i,0.0011101+0.00069932i,0.00021536+0.00031674i,-0.00013886+0.00073087i,-9.0658e-05+0.00059351i,3.0603e-06-9.2588e-05i,-5.5125e-08+7.4089e-05i,0.00024114+0.00037217i,0.00010183+0.00010546i,0.00026459+0.00032727i,0.00068361+0.00029312i,0.0012021-0.00015957i,0.0014878-0.0012326i,0.0014061-0.00070074i,0.00079966+0.00019661i,-0.00015008-0.00053239i
0.0011357+0.0010006i,0.0016229+0.00095955i,0.0023804-1.5694e-05i,0.0018734-0.0006972i,0.00084597-0.00036124i,0.00070059+0.0011229i,0.0011465+0.0015467i,0.0013876+0.00063773i,0.0010959-0.00042632i,0.00046472-0.00066718i,0.00012803+0.00017087i,0.00028756+0.00074341i,0.00074869+0.00031821i,0.001061+0.00038455i,0.00095644+0.00018817i,0.00093186-0.00023957i,0.00073679-0.00035957i,0.0001712-0.00019863i,-0.00012604+0.00029062i,-0.00015817+0.0003986i,-6.05e-05+0.00028399i,-0.00051187-4.8749e-05i,-0.00072864-0.00016928i
0.0015888+0.00065684i,0.0030688+1.2035e-05i,0.0036393-1.0763e-05i,0.0030335-0.00098305i,0.0015982-0.001835i,0.00048406+8.8744e-05i,0.00074259+0.0017281i,0.00099466+0.0018572i,0.0008624+0.0017279i,0.0010581+0.0010138i,0.0014439+0.00083267i,0.0016018+0.00088423i,0.0019414+0.00078627i,0.001707+0.0004659i,0.00070866+0.00061195i,0.00052343+0.0011147i,0.00053763+0.00093187i,-6.28e-05+0.00022974i,6.0608e-05-0.00026338i,0.00049503-0.0007361i,0.00050936-0.00036206i,7.9928e-06+7.8017e-06i,-0.00057429-0.0005875i
-4.5944e-06+0.00039675i,0.002059+0.00088992i,0.0030973+0.00026393i,0.0022373-0.00018295i,0.00022662+0.0004254i,-0.0005732+0.0012805i,0.00069458+0.0012986i,0.0017828+0.00034866i,0.0012338-9.5584e-05i,1.13e-05+8.076e-05i,0.00032212+0.00078476i,0.0014418+0.0013739i,0.0015421+0.00015388i,0.00090026-0.00044555i,7.8196e-05+0.00053529i,0.00033115+0.00074155i,0.00088495+0.0010196i,-0.00018215+0.00095578i,-0.00067914+0.00011868i,0.00012234-0.00074846i,0.00027177-0.00091532i,0.00020384-0.00078364i,0.00032969-0.00019056i
0.00031211-0.00014652i,0.00064621+0.00096806i,0.001832+0.00024263i,0.0022967-0.00040728i,0.0016309+0.00070238i,0.0012586+0.0029085i,0.0014198+0.003291i,0.0019845+0.0015436i,0.0014678+0.00010377i,0.00055405-0.0002207i,0.00067523-0.00023428i,0.0010548-0.00012542i,0.0014013+9.7681e-05i,0.0011426+5.1249e-05i,0.00068104+0.00055775i,0.0010138+0.0012366i,0.00092188+0.00072701i,0.00044604-0.00044353i,-2.2336e-05-0.00086718i,0.00025116-0.0001745i,0.0009169+0.00054365i,0.00082545-0.00034535i,0.00026222-0.0011102i
0.0010061+0.0014391i,0.0016494+0.0015188i,0.0029144+0.00068859i,0.0036984-0.00051158i,0.0026214-0.00095269i,0.0012773-0.00062389i,0.0014443-0.00038951i,0.0013031+0.00026767i,0.001065+0.0011211i,0.0010601+0.0010936i,0.00080229+0.00043992i,0.00076451-0.0002913i,0.00027752-6.9016e-05i,4.4242e-05+0.00044546i,0.0006437+0.00061979i,0.00045888+0.00019993i,3.2002e-05-0.00050446i,0.00031784-2.69e-05i,0.00030577+0.00038494i,0.00056114+0.00028589i,0.00058562+0.000677i,0.00013663+0.00081895i,-0.0002366+0.00021938i
1.3776e-05-0.0014183i,0.0015109-0.0014988i,0.0020544-0.0021456i,0.001128-0.0022645i,0.00017013-0.0013321i,0.00012942+0.00020266i,0.0012509+0.0011873i,0.0013861+0.0011736i,-8.214e-05+0.00021997i,-0.00076328+0.00028405i,-0.00045294+0.0012324i,0.00024772+0.0013396i,0.00077063+0.00094083i,0.0001374-7.3925e-05i,-0.0004303-0.00047112i,-0.0002464-0.00019449i,0.00019832+0.00018645i,0.00020266+0.00043868i,0.00050531+3.6765e-05i,0.00060665-0.00015861i,0.00036533-0.00027319i,0.00058695+0.00019432i,0.00056371+0.00051625i
-0.00020491+0.00042206i,0.001847+0.00071976i,0.0037319+0.00098849i,0.003499+0.0001156i,0.0024826+4.3176e-05i,0.0014091+0.00086454i,0.0014344+0.00163i,0.0020375+0.0019481i,0.0015011+0.0014533i,0.00083496+0.0016361i,0.00063704+0.0014108i,0.00014745+0.00073464i,5.2241e-05+0.00082438i,2.9813e-05+0.001104i,-0.00030658+0.00062975i,4.7298e-05-0.0003379i,0.00026665-0.00067059i,0.00021736+0.0004515i,0.00017342+0.00093811i,0.00018072+0.00029134i,0.00011034-4.463e-05i,-0.00032131-0.00035281i,-0.0001546+6.0594e-05i
0.001988+0.00085162i,0.001774+0.0011805i,0.0022595+0.00025828i,0.0020498-0.0009768i,0.0009814-0.0012372i,-0.00028099+0.0001595i,0.00038396+0.0014829i,0.0025042+0.0011128i,0.0031839+0.00077594i,0.0022784+0.0012213i,0.0014208+0.00076722i,0.0004637+0.001016i,-0.00024182+0.001345i,-0.00051808+0.0014816i,-6.1723e-05+0.0019582i,0.00024025+0.0021319i,0.00055679+0.001298i,0.00051846+0.00033023i,0.00046281+0.00040772i,0.0007148+0.00068391i,0.00039505+0.0010326i,0.00017606+0.0010918i,0.00029421+0.00020384i
0.00045994-0.0004274i,0.0022566-0.0006398i,0.0036976-0.0013429i,0.0026865-0.0019509i,0.00062458-0.0019939i,0.00077519-0.00024382i,0.0027227+0.00056309i,0.0029684+0.00018564i,0.001281+0.00023884i,0.00012264+8.8372e-06i,0.00083331-0.00036414i,0.00172-8.576e-07i,0.00085347+0.00086248i,-0.00017998+0.00048058i,0.00015861+0.00014297i,0.00037519-0.00010684i,-6.2932e-05-0.00099342i,-8.1077e-05-0.00054981i,0.00032613+8.3369e-05i,0.00061357-5.9514e-05i,0.00087478+5.2466e-05i,0.0013175-9.4719e-05i,0.00073072-0.00024409i
-0.0008481+0.00020211i,0.0016497+5.3885e-05i,0.0027438+0.00044068i,0.0025448+0.0002926i,0.0013423+0.00055911i,0.00055357+0.00068905i,0.0010105+0.00088538i,0.001369+0.00034591i,0.0015997-0.00042289i,0.00054474-0.00057928i,-8.9948e-05-0.00080137i,0.00022925-0.00080489i,0.00078284-0.000498i,0.0010092+7.0516e-06i,0.00051096+0.00069721i,-0.00021566+0.0011237i,-0.00037926+0.00089139i,-4.3612e-05+0.00050587i,0.00073833+0.00057079i,0.0012293+1.2278e-05i,0.00091207-0.00062295i,0.00040191+4.774e-05i,-0.00056958+0.00045309i
0.0019905-0.0014094i,0.0026899+0.00035819i,0.0024825+0.00034973i,0.0020422-0.00058793i,0.00084822-0.00013754i,0.00081858+0.0015198i,0.0017581+0.0019033i,0.0017366+0.0010831i,0.0015132+0.00060493i,0.0005464+0.00042081i,-0.0002702+0.00091464i,9.1995e-05+0.001785i,0.00039583+0.0013454i,0.00068952+0.0004833i,0.0014622-0.00062834i,0.0014221-0.0011824i,6.9589e-05-0.00062236i,-0.001415+0.00033696i,-0.00079231+0.00035885i,0.00052467+0.00018574i,0.00015203+0.00042337i,-0.00054415-0.00017397i,-0.00038077-0.00072782i
0.00048905-0.00010917i,0.0017639-5.8891e-05i,0.0038423-0.00072305i,0.0033525-0.0014874i,0.00108-0.00023004i,4.3652e-05+0.0018652i,0.00099238+0.0021606i,0.0011937+0.0019651i,-0.00014131+0.001589i,-0.00082744+0.00098265i,-0.00049022+0.00094122i,-0.00033063+0.001618i,4.5267e-05+0.0012032i,0.00052223+0.0003371i,0.00050189+0.00011757i,0.00033412-0.00073601i,-0.00037589-0.0010261i,-0.00073507-0.00063313i,0.0001164-8.428e-05i,-8.6811e-05+0.00074857i,-0.00021413+0.00057398i,-0.0001564-4.5061e-05i,3.8035e-05+0.00022097i
0.0010426+0.0010926i,0.0023189+0.0018003i,0.0036187+0.0014164i,0.0038235+0.00011617i,0.0025624-0.0004188i,0.0014003+0.00015037i,0.0015091+0.0010387i,0.0013111+0.0010333i,0.00093604+0.00038405i,0.00032615+0.0005522i,0.00047903+0.00093008i,0.0013383+0.00072843i,0.0011959+0.00063455i,-0.00030954+0.00097074i,-0.0010973+0.0014378i,-0.00053316+0.0012841i,-0.0002411+0.00038305i,-0.0011758-0.00015675i,-0.0015672+0.00018718i,-0.0010778+0.00059383i,-0.0004796-0.0002845i,-0.00028022-0.00071334i,-0.00029253-0.00030187i
5.094e-05+0.00086568i,0.0014812+0.0011102i,0.0023874+0.00042786i,0.0018066+0.00016937i,0.00056175+0.00022091i,4.7756e-06+0.00095861i,0.00015664+0.0017493i,-4.1491e-06+0.0019961i,0.00015682+0.0014872i,0.0005372+0.0011025i,0.00089554+0.0010155i,0.00055953+0.00052725i,5.5153e-05-0.00046899i,0.0003839-0.00022073i,-2.7221e-05+0.00087363i,-0.00063594+0.0008105i,-0.0005338+0.00038699i,0.00039389+0.00029395i,0.001085-9.5464e-05i,0.00074229-0.00063071i,0.00036019-0.00047314i,0.00048972-0.00036284i,0.0007602-0.00040707i
0.0011481+0.0024788i,0.0016995+0.0019213i,0.0036445+0.0010665i,0.0044502+0.0001191i,0.0023107-0.00064313i,0.00020074-8.3572e-05i,0.00089326+0.0011122i,0.001647+0.00072105i,0.0012046-9.8621e-05i,0.0016401+5.6196e-05i,0.0015941-9.8586e-05i,0.00078274-0.00039461i,0.000343+0.00029815i,0.00033652+3.4412e-05i,0.00065685-0.00034482i,0.0015186+0.00026589i,0.0012447-0.00020969i,0.00020066-0.00037303i,0.00016531+0.00057724i,5.3518e-06+0.00021456i,-0.0013293-0.00050055i,-0.0011203-0.00043946i,0.00061782+9.509e-05i
0.00043108+0.0017619i,0.0017875+0.0013451i,0.0028103+0.00097021i,0.0021255-0.00054719i,0.00094234-0.0007441i,-4.1074e-06+0.0014385i,0.00058049+0.0022388i,0.0014476+0.0018274i,0.00016321+0.0014053i,-0.00035822+0.00035514i,0.00054025+0.00026605i,-8.5939e-05+0.00041741i,-0.00078093+0.00054795i,-0.0003306+0.00082823i,-7.1118e-05+0.00091233i,-0.00041451+0.00049043i,-0.00096869-0.00028399i,-0.0010059-0.00072317i,2.4904e-06-0.00012763i,0.00035007+0.00072758i,-0.00037237-0.00020737i,-0.00070577-0.00090123i,-0.00011909-0.00012868i
0.00010898-0.0013958i,0.0017525-0.0015029i,0.0033609-0.0016548i,0.0032919-0.00067853i,0.0016106+0.00031241i,0.0011094+0.00063787i,0.0021669+0.0011433i,0.0023328+0.00093702i,0.0011277-0.00019387i,7.7033e-05+5.9312e-05i,0.00013486+0.0012675i,0.00095586+0.0013765i,0.00054136+0.00092223i,-3.4581e-05-0.00031188i,-0.0001709-0.0011431i,-0.00058506-0.00087495i,-0.00055972+2.6995e-05i,-0.00080116+0.00037883i,-9.3003e-05-1.2388e-05i,0.00072447-0.00018525i,-0.00010255-0.00065958i,-0.00048747-0.00043655i,-0.00084389+2.1391e-05i
0.0001283+0.0012825i,0.002317+0.0016575i,0.0051785+0.00090721i,0.0039399-0.00072611i,0.0014923-0.0015165i,0.0011451-0.00054934i,0.0012876+0.00058429i,0.0018841+0.00021032i,0.0021203+0.00052076i,0.0015716+0.0013139i,0.0013722+0.0015226i,0.0010563+0.0012406i,0.00029463+0.00058462i,-8.8188e-05+0.0002223i,-5.1954e-05+0.00049548i,0.00046853+0.00089086i,0.0010054+0.00047081i,0.00078116-0.00071559i,-0.00059778-0.0010621i,-0.00069374+0.00041379i,0.00027816+0.00098615i,0.00016583+0.00030611i,-0.00023418-0.0004835i
-0.00049871+0.00061274i,0.00051432+0.00031705i,0.0013359+0.00061661i,0.0017521-0.00030383i,0.0011839-0.0010864i,0.00038034+0.00042077i,0.00096421+0.0021736i,0.0019032+0.0016312i,0.0014721+0.00054594i,0.00020979+0.001025i,-0.00017731+0.0005488i,-0.00016481+0.00017141i,3.1891e-05+0.00069587i,1.7794e-05+0.00099937i,6.6254e-05+0.00094693i,0.00048151+0.00012242i,0.00047519-0.00024654i,5.1983e-05-0.00033557i,-1.6804e-05-7.0561e-05i,-0.00016023-0.00026147i,-0.0003243-0.00053685i,-0.0003393-2.1688e-05i,0.00018096+8.7932e-05i
0.0026005+0.00084719i,0.0050329+0.0010853i,0.0063976-0.0001493i,0.0046709-0.0012289i,0.0014194-0.00061687i,-0.0002267+0.0018852i,0.00059015+0.0033335i,0.0015939+0.0024291i,0.0015192+0.0012494i,0.0010891+0.0010262i,0.0010534+0.00055291i,0.00068761+0.0002523i,6.5366e-05+0.00089019i,3.5929e-05+0.0019081i,0.00011479+0.0014505i,0.00086054+0.00036888i,0.00089751+0.00049133i,0.0003749+0.00078971i,0.00023975+0.0005711i,0.00045372-0.00010725i,0.00053762-0.00016725i,2.6277e-05-0.00044387i,-0.00052994-0.00069571i
1.7547e-05-0.0001687i,0.0015131+0.0014034i,0.0024483+0.00053933i,0.0014985-0.0008619i,0.00031499-0.00034066i,0.00099482+0.0016389i,0.0028628+0.0018824i,0.0034607-7.7096e-06i,0.0021656-0.00070339i,0.00043522-7.4641e-05i,-0.00024982+4.377e-05i,0.00029516-0.00044425i,0.00055566-0.00058961i,-0.00029055-0.00055008i,-0.00039543-8.7064e-05i,4.1216e-05+0.00039443i,-0.0002453-0.00014989i,-0.0002772-0.00039598i,-3.3554e-05+0.00018689i,3.6557e-05+0.0001688i,0.00013354-0.00020185i,0.00011164-1.7641e-05i,-0.00026167+0.00034151i
0.001513-0.00040746i,0.0026697-0.00084611i,0.003879-0.00098836i,0.0032833-0.0011639i,0.00065028-0.0011356i,-0.00074222+0.0003768i,-0.00025773+0.001658i,-7.32e-07+0.0012506i,0.00011905+4.9543e-05i,1.1812e-05+0.00014675i,-0.00016678+0.0002183i,-0.00030211-0.00045087i,-0.00025594-0.0007783i,0.00039727-0.00013634i,0.00054266+0.00051284i,0.00029403+0.00011095i,0.00016562-0.00075162i,0.00028888-0.00070209i,0.00038868+4.7948e-05i,6.9074e-05-0.00065438i,-0.0007551-0.00074838i,-0.0011596-0.00021396i,-0.00086776-0.00044685i
0.0034763-0.00030236i,0.0047853+0.0010175i,0.0055737+0.00031406i,0.0043761-0.00084751i,0.0014109-0.00060231i,-0.0012502+0.0012242i,-0.00077296+0.0022349i,0.00088825+0.0018786i,0.00052098+0.00079692i,0.00014778-0.00021153i,0.0006798-4.6047e-05i,0.00056064+0.00024833i,0.00071841+0.00024522i,0.0011384-0.00024642i,0.001074-1.0664e-05i,0.0008144+0.0006567i,0.00053741+0.00067531i,-4.957e-05+0.00032758i,-0.00075533-9.1075e-05i,-0.00071529-0.00043281i,0.00014986+0.00016881i,1.6497e-05+0.00061349i,-0.00028991+0.00035905i
0.0017939+0.00046911i,0.0020999+0.00092616i,0.0029508-0.00026367i,0.0028561-0.00090727i,0.00025271-0.00032521i,-0.0015012+0.0015355i,0.00010439+0.0027033i,0.001116+0.0022358i,0.00040487+0.001194i,-0.00015858+0.00043202i,-0.000373+0.0004558i,0.00015264+0.00033159i,0.00076669+0.00021417i,0.00054883+0.00097282i,-6.2861e-05+0.0012612i,-4.1651e-05+0.0010259i,-6.4397e-05+0.0001155i,-0.00051145-0.00011594i,-0.0003978+0.0002979i,-0.00022193-5.8283e-05i,0.00031146-0.00075315i,0.00051121-0.00040916i,0.0003614-0.00013737i
0.0018221+0.00018799i,0.0031437+0.00040628i,0.0033827+0.00028262i,0.0030437+0.00027991i,0.001868+0.0003137i,0.00089101+0.0014059i,0.00135+0.0027216i,0.001363+0.0020793i,0.00028896+0.0012462i,-0.00028092+0.00041394i,0.00040725+0.00047056i,0.0008112+0.00093006i,0.00060657+0.0001524i,0.00065399-0.00010456i,0.00012985+0.0010597i,-5.9836e-05+0.0010444i,0.00052219-0.00029145i,0.0001352-0.00031733i,-0.0002553+0.0003233i,3.297e-05+0.00034386i,-0.00055465+0.00015826i,-0.0012789-0.00022934i,-0.00047192-0.00018922i
0.0020645+0.0022029i,0.003399+0.0019077i,0.0050199+0.00049572i,0.0041401-0.0016071i,0.0019856-0.0020748i,-0.000898-0.0005768i,-0.001491+0.0013589i,9.4139e-06+0.0015i,0.0009894+0.00044366i,0.0010098+0.00066672i,0.00091835+0.00094505i,0.0015437+0.00085012i,0.00094345+0.00081887i,-0.00058192+0.00084994i,-0.0012647+0.00077266i,-0.0005822-0.00015517i,0.00064882-0.00060568i,0.00044871+0.00037468i,-9.7222e-05+0.00061859i,3.3162e-05+0.00012687i,0.00037387+0.00017425i,-0.00024904+0.00052832i,-0.00099825+0.00051262i
0.00033258+0.00083109i,-0.00017172+0.0015371i,0.00056404+0.0014086i,0.00051405-4.7506e-05i,-0.0010044-0.00083351i,-0.0011769+0.00048505i,0.00086994+0.0025095i,0.0019509+0.0019635i,0.0012674+0.00085172i,0.00042429+0.0008866i,0.00080241+0.00090636i,0.0010633+0.00073269i,0.0010562+0.00011129i,0.00052367-0.00016267i,-9.7965e-05+0.00018812i,-0.00091598+0.000636i,-0.0015623+0.0011352i,-0.00076984+0.00070675i,0.00010999+0.00052304i,0.00032051+0.00043083i,0.0004255-0.00039879i,0.00054786-0.00039172i,4.3729e-05-3.9783e-05i
0.0026924+0.00046658i,0.0034105-9.8934e-05i,0.0042086-0.0011413i,0.0034631-0.0008092i,0.0010899+6.3325e-05i,-0.0003103+0.001562i,0.0011607+0.0024411i,0.0027787+0.0011053i,0.0018642-0.00043418i,0.00064161-0.00075611i,0.000836-0.00078864i,0.001048-9.0305e-05i,0.00030258+0.00099375i,-0.00013208+0.00052678i,0.00028938+0.00011013i,8.6306e-06+0.00059676i,-0.00052546+0.00067356i,-0.00066893+0.00036659i,-0.00072977+0.00041465i,0.00017164+7.7955e-05i,0.00058796-0.00070283i,0.00065755-0.00015066i,0.00040426+0.00027596i
0.0021066+0.0013964i,0.0028689+0.002675i,0.002657+0.0027073i,0.0027662+0.001303i,0.0020744+0.00048855i,0.00087649+0.00077868i,0.0012419+0.00079753i,0.0016151+0.00036349i,0.0012383-0.0005052i,0.00050851-0.0009399i,0.00026255-0.00021134i,0.0003617+0.00067959i,0.0013522+0.00051779i,0.0017886+0.0005565i,0.0012763+0.00095808i,0.0012978+0.00073509i,0.0015658+0.00027719i,0.0012754+0.00021698i,0.0011156+0.00019462i,0.00040314-0.00017632i,-0.00041087-0.00072522i,-0.00062563-0.00025238i,-0.00089839-2.9557e-05i
0.00068173+0.00018011i,0.0020475-0.00038127i,0.0030111-0.0013694i,0.0029459-0.0020191i,0.0014677-0.0018922i,0.00048075-0.0001001i,0.00025575+0.0014183i,2.6842e-05+0.0014094i,-0.00016129+9.8483e-05i,-0.00075711-0.00086036i,-0.00077544+9.9298e-05i,0.00025412+0.00064893i,0.00087294+0.0002342i,0.00060352+0.00035498i,9.86e-05+0.00025221i,0.00030418+7.5939e-05i,0.00034172-0.00010736i,-7.2612e-05-3.1078e-06i,-0.00058695+0.00051677i,-0.00023883+0.00050396i,-0.00024196-7.8978e-06i,-0.00081557-0.00015883i,-0.00062385+0.00012713i
0.0012843+0.0019952i,0.0028987+0.0025315i,0.0034215+0.0019979i,0.0027895+0.00042047i,0.00083812-0.00033384i,-0.00028693+0.00031106i,-0.00028549+0.0020693i,-1.4071e-05+0.0017008i,0.00029647+0.00080384i,-0.0003342+0.00052034i,-0.00084516+0.00044782i,1.8225e-05+0.00014054i,6.4009e-06+0.00035765i,-0.00086603+0.00041487i,-0.00063755+0.00012971i,-0.0004751+0.0003298i,-0.00045103+0.00014604i,-0.00024655+0.00034034i,-6.3464e-05+0.00049713i,0.00047827-5.2649e-05i,0.00047296+0.00036082i,-0.0007979+0.00072962i,-0.0011817+0.0009585i
