0.002117+0.00045403i,0.003096-0.0012332i,0.0013688-0.0031609i,-0.00077808-0.0029082i,-0.0018645-0.000743i,-0.0032484+0.0018794i,-0.0025025+0.0024387i,-0.00054123+0.0014765i,0.0003932+0.00021741i,0.0013465-0.00091946i,0.0018068-0.00061779i,0.00086211-0.00018558i,-0.00066793+0.00010391i,-0.00080491+0.00042689i,-9.5238e-05+5.2141e-05i,-0.00016333-0.00013343i,-0.00070314-0.0003439i,-0.00069564-0.00051465i,-0.0007239-0.00035398i,-0.001669-0.00032528i,-0.0017657-0.00057146i,-0.00043787-0.00040221i,0.00053146+0.00044843i
-0.00079761+0.001309i,-0.0012575+0.0015792i,-0.001009+0.00076188i,-0.00040491+0.00050884i,-0.00051915+0.00033575i,-0.0011139-0.00068219i,-0.0010708-0.00049335i,-0.00063252+0.00011766i,-0.00083332+0.00013846i,-0.00041809-0.00043683i,0.0001636+0.00013725i,-0.00025176+0.00018776i,-0.00033516-0.00074165i,-0.00038198-0.00070524i,-0.00082395+0.00037375i,-0.00029806+0.00047508i,3.1087e-05-0.00029342i,-0.00060518-0.00025434i,-0.00046639-0.00056385i,0.00030561-0.00041716i,0.00032798-0.00014586i,0.00022866-0.00045958i,0.00042384+0.00018553i
0.0016795-2.6904e-05i,0.0015297+8.0997e-05i,0.0019305+0.00054123i,0.00095892+0.00089119i,-0.00024796+0.00022141i,-0.00045893+0.00041032i,0.00012134+0.00058067i,0.00065528+4.5316e-05i,0.00053652+4.7539e-05i,0.00028173+0.00062882i,4.1594e-05+0.00020952i,0.00036378-0.00050075i,0.00056496-0.00069248i,0.00083064-0.00024494i,0.00082143-9.2726e-05i,0.00011618-0.000426i,0.00031765-0.00015139i,0.00046899-1.0934e-05i,0.00013494-2.7103e-05i,-0.0003684+0.00085212i,-0.0004096+0.0012378i,-0.00047502+0.00044125i,-0.00041494-0.00054755i
-0.0016792+0.0025987i,-0.0015968+0.0021624i,-0.00067103+0.0016299i,0.00088023+0.0008862i,0.0013684+0.00083607i,0.00023819+0.00083862i,-0.00027582+0.00013133i,5.7388e-05+0.00037507i,-2.1661e-06+0.0011549i,-0.00022933+0.0012236i,0.00022848+0.00082022i,0.00075572+0.0003923i,0.00040169-0.00029577i,-2.0626e-05-0.0010377i,1.4798e-05-0.00069086i,0.0002625-0.00014521i,0.00033036-0.00018117i,2.3465e-05-4.8035e-05i,-0.00049572+0.00018693i,-0.00055585+0.00018302i,-6.5455e-05+0.00038421i,-0.00042291+0.00064724i,-0.00078906+0.00039613i
0.0020206+2.839e-05i,0.001681+6.723e-05i,0.001954-0.0001805i,0.0013563-0.00025429i,-4.3748e-05-0.00023676i,-0.000847-8.1781e-05i,-0.00057656+0.00023504i,1.0604e-05+0.00042288i,0.00040585+0.00059944i,0.00053292+0.0012628i,0.00017167+0.0012698i,-0.00030048+0.00028103i,-0.00091367-0.00072478i,-0.0010802-0.00047291i,-0.00011233+0.00058504i,-4.008e-05+0.00079888i,-0.00058059+0.00014412i,-0.00054284-0.00015284i,0.00055121-0.00023202i,0.0012325-0.00082274i,0.00036441-0.0013188i,0.00034644-0.00098122i,0.00092064-0.00057744i
0.0018136+0.0026568i,0.0019489+0.001986i,0.0011889+0.00047587i,-6.4515e-05-0.00035481i,-0.0015551-0.0006843i,-0.0017813-1.7259e-05i,-0.0011339+0.00064524i,-0.00080655-3.5658e-05i,0.00032646-6.321e-05i,0.00079039+0.00047026i,0.00016354+0.00084658i,-6.1354e-05+0.00057803i,0.00031912-0.000165i,0.00022183+0.00012111i,-0.00024869-0.00011013i,-5.3535e-05-0.00045685i,-1.346e-06+5.112e-05i,-0.00020461-0.00013793i,-4.3683e-06+9.684e-05i,0.00032426+0.00062026i,0.00032521+6.0694e-05i,0.00031522-0.00037418i,4.6369e-05+7.8978e-05i
0.00059626+0.0012255i,0.0017698+0.0022901i,0.0021807+0.0024089i,0.0016472+0.001225i,0.0011914+0.00061944i,0.0011602+0.0009799i,0.0008259+0.00089338i,-4.8313e-05+0.000368i,-0.00085138-1.2843e-05i,-0.00082281-0.0001056i,-0.00017175-0.00027576i,0.00085538+6.7466e-05i,0.0007984+0.00060583i,-0.00041052+0.0012409i,-0.00071221+0.00090365i,-0.00055797-2.6075e-05i,-0.0012543-0.00015138i,-0.001471-0.0005847i,0.00023856-0.00044267i,0.00077234+0.00069267i,0.00016563+0.00097206i,0.00023066-0.00029969i,0.00013434-2.3307e-05i
0.00068833+0.00099234i,0.00051761+0.0013959i,0.0006356-2.9838e-05i,-0.00046595-0.0015802i,-0.0017146-0.0025163i,-0.0015926-0.0023806i,-0.00070198-0.00091374i,-6.7723e-05-0.00018523i,-0.00038158+2.974e-05i,-0.0010177+0.0008482i,-0.0011693+0.0010148i,-0.00047328-0.00021287i,-0.00026133-0.00054841i,7.8974e-05+1.7562e-05i,0.0010415+0.00037176i,0.00068525+0.00046921i,-0.00024378+0.00053988i,-6.0869e-05+0.00044157i,5.0925e-05+0.00012303i,-0.00034803-0.00052918i,-0.00040841-0.0015261i,6.527e-05-0.00062861i,3.7912e-05+0.0008456i
7.0473e-05-6.8313e-05i,-0.00013867-3.7307e-05i,0.00073231+0.00035898i,0.0010738-3.9417e-05i,0.00013869+5.1029e-05i,-0.00049801+0.00039261i,-0.0008312+9.8092e-05i,-0.00081464-0.00048474i,-0.00085607-0.00077802i,-0.0011968-0.00028006i,-0.0015284-0.0003169i,-0.0010834-0.00036243i,-0.00057793+0.0006728i,-0.00024775+0.00071895i,-3.7467e-05-0.00045377i,0.00013132-0.00060373i,0.00029721-2.1746e-05i,-0.00030427-0.00051495i,-0.00053076-0.00043249i,0.00015396-3.1343e-05i,0.00067713-0.00020632i,0.00034263+5.9557e-05i,-0.00024032+1.3245e-05i
-0.0017174+0.0017814i,-0.00077545+0.0017008i,0.0004249+0.00073533i,0.00036624+0.00046881i,-0.00012452+0.00035857i,-1.3129e-05-0.00067576i,0.00011276-0.00099142i,-0.00054692-0.00066485i,-0.0007114-0.00087856i,-0.00047213-0.001132i,-0.00064002-0.00032146i,4.4603e-05+0.00039496i,0.00022985+0.00068522i,-0.00043846+0.00049447i,-5.9732e-05-0.00032171i,0.0006943-0.00083805i,0.0008571-0.0011946i,0.0007885-0.0017052i,0.00085273-0.0014324i,0.00066572-0.0008164i,0.00027322-0.00052169i,0.00030801-0.00022448i,0.00068642+0.00065305i
-0.00032258-0.00046086i,0.00039885-0.00044692i,-9.2012e-05+0.00054876i,0.00014401+0.0013599i,0.00022735+0.0008286i,0.00035296-0.00013093i,0.00053118-1.7337e-07i,0.00047871+8.1951e-05i,-0.00034464-0.00041948i,-0.00074224-0.00020463i,0.00041398+0.00030461i,0.0013251+0.00025113i,0.0011953-7.9266e-05i,-0.00016473-0.00033429i,-0.00085897+4.2177e-05i,-5.1172e-05+0.00066232i,0.00086955+0.00071997i,0.00048596+0.00044248i,0.00044664-0.0002048i,0.0011446-0.00056565i,0.0010544-0.00025097i,0.0003283+0.00026594i,-0.00026627-0.00019072i
-0.0020304+0.00044385i,-0.0013468+0.0018765i,0.00016448+0.0019622i,0.00028848+0.001416i,-0.0013235+0.00048727i,-0.0012498-0.00049707i,-0.00078347-0.00046438i,-0.00059899-0.00056146i,-3.6734e-05-0.00062853i,-7.3378e-05+0.00016738i,-0.00012497+0.00094467i,0.00062367+0.00057679i,0.00061269-0.00059806i,-0.00025765-0.00057851i,-0.00079728-0.00036884i,-0.00021302-0.00021675i,0.00056884-0.00034712i,0.00053641-2.6573e-05i,0.00033689+0.00031963i,0.00029797-7.3814e-05i,-0.00022895-8.4421e-05i,-0.0010025+0.0004297i,-0.00045509-0.00010392i
-0.00026952-0.001902i,-0.0005881-0.001659i,-0.0012377-0.00089373i,-0.001721+0.00030728i,-0.0017978+0.0013969i,-0.0011123+0.0016232i,-0.0011134+0.001321i,-0.0011657+0.0012449i,-0.00087742+0.0010774i,-0.00015922+0.00079951i,0.00051816+0.00028426i,0.00047669-0.00020567i,0.00046665-0.00043145i,-0.00066027-0.00028645i,-0.0017464-1.3192e-05i,-0.00070028-0.00028459i,0.00029814-0.00020812i,0.00029591-7.9938e-06i,0.00019546-0.00039972i,0.00012544-0.00081492i,-0.00090587-0.0001177i,-0.0011445+8.9706e-05i,-2.3235e-05-0.0005946i
-0.0021013+0.00097826i,-0.00099919+0.001229i,-7.7348e-05+0.0013255i,0.00017424+0.001302i,0.00043764+0.00024267i,0.00054566-0.0010192i,-0.00053216-0.0011165i,-0.00076787+0.00018302i,-0.0005813+0.00080397i,-0.00034841+0.00034422i,0.0005235-0.00032802i,0.0010587-0.00078127i,0.0005787-0.00061701i,-0.00078087-0.00039891i,-0.0014249-0.00014213i,-0.00055562-0.00051415i,-0.00044009-0.001139i,-0.00076933-0.00082062i,-0.00021783-0.00061119i,7.7724e-05-0.00024572i,-0.0001847+0.00029421i,-0.00024726+6.8245e-05i,0.00050862-0.00022108i
-0.00063831+0.00074936i,-5.2149e-05+0.00061877i,0.00038325+0.0019861i,0.00029299+0.0020236i,8.1338e-05+0.0010397i,-0.00037318+0.00068138i,-0.00067089+0.00050305i,0.00054143+0.00014548i,0.0012995+0.00047317i,0.0012059+0.00082335i,0.00084051+0.00067898i,0.00044941+0.0001975i,0.00023124+5.2496e-05i,0.00036168+7.7686e-05i,0.00048469+0.0003405i,0.00024558+0.001018i,6.7877e-05+0.00064562i,0.00057661-1.3816e-05i,0.00090609-0.00028248i,0.00066199-2.2048e-05i,0.00056646-1.217e-05i,0.0008416+0.00015689i,0.0003657+0.00068728i
-0.0011993+0.00085936i,-0.00077024+0.0016469i,-0.00046887+0.0020552i,0.00058771+0.0016928i,0.00083119+0.0017259i,0.00015137+0.0011149i,-0.00025245-0.0001596i,-3.6462e-05-0.00061581i,0.00035982-4.5557e-05i,0.00071971+0.00053762i,0.00092989-3.1107e-05i,0.00097894-0.00099125i,2.4682e-05-0.0012666i,-0.0011473-0.00089267i,-0.00081705-0.00049437i,0.00028234+0.00025913i,0.00091044+0.00068102i,0.00094534+7.9669e-05i,0.00019189+0.00025099i,-0.00055825+9.3157e-05i,-0.00032537-0.00054863i,0.00010262-0.0007318i,-0.00037623-0.00089902i
0.0015933+0.00082589i,0.0016012+0.00094145i,0.0018317+0.00042211i,0.00073061-0.00056036i,-0.00054587-0.0013013i,-0.00082193-0.00049129i,-0.00051284+7.9131e-06i,-0.00081483-0.00040016i,-0.00060664-0.00023609i,-6.975e-05-4.23e-05i,0.00017741+5.293e-05i,0.0010057+0.00066826i,0.0011912+0.0011772i,0.00069707+0.00092395i,0.00063458+0.00072398i,1.9757e-05+0.0009002i,-0.00063709+0.00021694i,-0.00099456+4.415e-05i,-0.0005245+3.6038e-05i,0.0002328-0.00069392i,1.9601e-05-0.0004556i,-4.5699e-05+0.00056238i,7.4703e-05+0.00019791i
-0.00079568+0.0010672i,-0.0003997+0.0013184i,-0.00038406+0.0014593i,-0.00023051+0.0014002i,-0.00029571+0.0010561i,-0.00052577+0.0006976i,-0.00013161+0.00010962i,-0.00017925-0.00088115i,-0.00035388-0.00026185i,-0.0001321+0.00062656i,-2.5851e-05+0.00042787i,-0.00018753+0.00012149i,-0.00048685-0.00027216i,-0.00040632-0.00072986i,-7.1778e-05-0.00083223i,-0.0006779-0.0010709i,-0.0016987-0.0013011i,-0.0012831-0.0010885i,-0.00038621-0.00018603i,-0.00077882+0.00014631i,-0.00084562-0.00032605i,-0.00022482+3.2901e-05i,5.574e-05+0.00092113i
0.00088572+0.00038256i,0.0020039+0.0011861i,0.0025308+0.00074471i,0.0017695+0.00021686i,0.0007663+0.00051516i,0.00016992+0.00089656i,-0.00061732+0.0015595i,-0.00083415+0.0012425i,-0.0006385-0.00029951i,-0.00067819-0.0007653i,-0.00088912-0.00031452i,-0.00094051-0.00040931i,-0.00016212-0.00086227i,0.00060688-0.00079878i,0.00069611-0.00031003i,0.001238-0.00015476i,0.00162+0.0001209i,0.00065768+0.00067976i,-0.00016452-1.2812e-05i,-0.00027124-0.0011243i,0.00030646-0.0009785i,0.00067523-0.0001763i,0.000893+0.00061837i
-0.0012802+0.00019495i,-0.00045633+0.00048777i,0.00016013+0.0015004i,-9.1428e-05+0.0015641i,0.00013272+0.00074342i,0.00038447-0.00029147i,0.0002471-0.0010112i,-9.5073e-05-0.00012351i,-0.00017283+0.00074159i,0.00016528+0.0003756i,0.00091264+0.00064152i,0.00093952+0.001318i,0.00033964+0.00048607i,0.00021526-0.00044036i,0.00028231+8.7639e-05i,0.00013942+4.1743e-05i,0.00030201-5.5352e-05i,0.00023535-0.00026326i,-6.0265e-05-0.00086237i,-1.4337e-05-0.00044356i,0.0004508+1.6033e-05i,-6.255e-06+8.3278e-05i,-0.00044367+0.00023264i
0.0016086+0.00051625i,0.0024654-0.00053719i,0.002059-0.0018359i,0.00034851-0.0016104i,-0.0011287+0.00021204i,-0.0017511+0.0011793i,-0.00072358+0.00029328i,0.0005967-0.00079151i,0.00062319-0.0012292i,-0.00040316-0.0013304i,-0.0015046-0.00059064i,-0.0016649+0.00015583i,-0.0015811+0.0002481i,-0.0012657+0.00016086i,-0.00030037-7.6301e-05i,0.00037052-4.5656e-05i,0.00095803-7.4239e-05i,0.00056977-0.00065798i,-0.0005619-0.0012709i,-0.00037721-0.0003757i,-0.00010611+0.0011565i,-0.00060696+0.0010235i,-0.00027161+0.00065675i
-0.0015556+0.00019481i,-0.0019149+0.0015165i,-0.001513+0.0018965i,-0.00062219+0.00094036i,-0.00043716+0.00017171i,-0.00054522+0.00015697i,-0.00060642+0.00076664i,-0.00058613+0.0014537i,1.3384e-05+0.0010505i,0.0001192+0.00016605i,-0.00034924-8.4015e-05i,-1.9513e-06+0.00021699i,0.00032974+0.00059846i,0.00053407+0.0012341i,4.1539e-05+0.00054005i,-0.00014697+0.00026802i,-0.00043731+0.00011497i,-0.00077348-0.00030529i,-0.00034323+0.0002506i,-2.4728e-05+0.00042479i,2.4685e-05+0.00043994i,7.7775e-05+0.00054755i,0.00020054-0.00061167i
0.001156+0.0020557i,0.0027061+0.0015473i,0.0044506+0.00082955i,0.0032422-1.0404e-05i,0.00081313-0.0010989i,-0.000781-0.0016783i,-0.00066506-0.00065083i,0.00027134-8.9896e-05i,0.0011657-0.00084804i,0.0010319-0.00087305i,0.00046236-0.00040725i,-0.00046751+3.0982e-05i,-0.00036842-0.00016825i,-0.00050213+9.9876e-05i,-0.0010319+0.00072933i,-0.0006511+0.00030928i,-0.00053041+0.00021798i,-0.00043676+0.00046292i,-0.00024497+0.0005915i,-0.00049086+0.0003644i,-0.00090166+0.00012382i,-0.00094523+0.00075661i,0.0003321+0.0014543i
0.00020666+0.00012878i,-0.0022488+8.8741e-05i,-0.0029674-1.4855e-05i,-0.0021078+0.00036208i,-0.0016609+0.00059297i,-0.0014697+0.00094679i,-0.00045646+0.00025863i,0.00024491-0.0011503i,6.0987e-05-0.001108i,0.00018624-0.00016859i,0.00012147+0.0010147i,0.00020423+0.0015376i,0.00066707+0.0012808i,0.00048235+0.00092467i,0.00049521+0.00035569i,0.00013001+0.00025213i,-0.0002235+0.00084146i,-8.6954e-05+0.00071887i,-0.00036727+0.00035109i,-0.00025151-0.00035561i,7.4816e-05-0.00051683i,-7.3538e-05+9.5779e-05i,0.00043401-0.00044228i
-0.0004697-0.00050867i,0.00019758+0.0007241i,3.1041e-05+0.00040025i,-0.00046087+0.00035152i,-0.00078392+0.001344i,-0.00045917+0.00079624i,0.00023622-0.00062926i,-0.0004206-0.00040274i,-0.0017031+0.00016074i,-0.0014243+0.00026404i,-0.00018856+0.00037888i,0.00039693-0.00058204i,0.00038223-0.0019702i,0.00034795-0.0023026i,0.0005784-0.0013858i,0.00071052+0.00013808i,0.00056294+0.0004124i,0.00036038-0.00050929i,-4.0579e-05-0.001356i,1.8668e-05-0.0013152i,-0.00015411-0.0007467i,0.0003539-0.00021961i,0.00079679-0.00041339i
0.0018129-0.0011116i,0.00090418-0.0021056i,-0.00046332-0.0031973i,-0.0010937-0.0024625i,-0.001609-0.00030776i,-0.0010848+0.0013875i,-4.1402e-05+0.0012006i,0.00034377+0.00014004i,-9.8634e-05+7.8157e-05i,-0.0002955+0.00088773i,-0.0002182+0.00056769i,0.00029568-0.00020534i,0.00020494-0.00051914i,-0.00034476-0.00068567i,0.0001351+0.00012586i,0.00026568+0.00063179i,-5.7275e-08+0.00028001i,-6.4602e-05-0.00033776i,-2.8021e-05-0.00018705i,0.00029728+0.00030975i,0.00047042+0.00067974i,0.0002579+0.0006819i,0.0002953+0.00037474i
0.00015213+0.00084349i,0.00068432+0.0011741i,-0.00078377+0.00042709i,-0.0012095-0.00015359i,-0.00026854-0.00040931i,-0.00012068-0.00047124i,-0.0002117+0.00027921i,0.00025933+0.00014218i,0.00030815-0.0006626i,1.7816e-05-0.00086869i,-8.904e-05+0.00010349i,1.3304e-05+0.0011866i,-0.00021406+0.00078943i,-0.00075625+0.00021346i,-0.0010534+0.00066214i,-0.0010458+0.0012479i,-0.00052841+0.0007525i,7.0112e-06-7.0735e-06i,-0.00022953-0.00035261i,-0.00012968-0.00062348i,6.1707e-05-0.00016472i,-0.00015062-0.00033918i,0.00014603-0.00012896i
0.00088595+0.00089591i,0.0020339+0.0010128i,0.002483+0.00054265i,0.0009531-0.00066043i,-0.00059511-0.0002658i,-0.0016849+0.00059356i,-0.0012849+0.00015236i,-0.00052752+0.00059241i,-6.7691e-05+0.00094577i,0.00034829+0.00044042i,1.3448e-05+4.6547e-05i,-0.00016502-0.00019322i,0.00021795+0.00016416i,-8.4306e-05+0.00092074i,-0.00024318+0.0011716i,0.0003223+0.0017215i,0.00080929+0.0013801i,0.00034219+8.8735e-05i,-0.00079695+0.00013728i,-0.00095469+7.4019e-05i,-0.00021865-0.0003921i,7.6196e-05+0.00019291i,0.00042153+0.00067912i
-0.00066247+0.0024074i,-0.00057197+0.0018611i,0.0010172+0.002128i,0.0010706+0.00087895i,0.00061174-0.00027637i,-4.9372e-06-0.00039727i,-0.00098315-0.00069899i,-0.00051867-0.00044091i,0.00099457+0.00036536i,0.0015531+0.00026038i,0.0017152-0.00017338i,0.0013625+9.9125e-05i,0.00039563+0.00074678i,-0.00030766+0.0012821i,-0.0009603+0.00047342i,-0.00057768-0.00064165i,-1.9767e-05-0.00024678i,0.0004082-0.00022993i,0.00083154+6.3019e-05i,0.00053918+0.00052544i,0.00027174+0.00021472i,0.00016064-0.00033247i,-0.00018246-5.3002e-05i
0.00083957+0.0014836i,0.0013409+0.001994i,0.0016925+0.0030159i,0.0017598+0.0024546i,0.0012243+0.00070747i,0.00039125-6.6658e-05i,-0.00032803+9.1722e-06i,-0.00083152+0.00047242i,-0.00069721+0.00070114i,7.1519e-05+0.0010808i,0.00029786+0.00084528i,6.9748e-05+0.00057113i,-0.00041865-8.5175e-05i,-0.001202-0.0012521i,-0.0014595-0.0013266i,-0.0010001-0.00012533i,-0.00032063+0.00062693i,-0.00014628+0.00020418i,-5.3444e-06+0.0002703i,0.0001606+0.00029202i,-0.00022412-0.00046563i,-0.0004026-0.00080273i,-7.3533e-05-0.00071645i
0.00023612+0.0020509i,0.001067+0.0014179i,0.0014622+0.00021087i,0.001969-0.00057412i,0.0018457-0.00047028i,0.00064883-0.00074182i,0.00015388-0.00066015i,0.00057171-0.00025802i,0.00066921+0.00068874i,0.0005467+0.00064897i,0.00070569+6.7953e-05i,0.00048753-0.0001115i,-4.3196e-05-0.00049282i,8.8289e-05-0.0004148i,-0.00032474+0.00011857i,-0.00063379-0.0002911i,-0.00015476-0.00065437i,-0.00061498-0.00035232i,-0.00089056-0.0002685i,-0.00044256+0.0005466i,-0.00021913+0.0005808i,0.00025466-0.00011529i,-0.00013184-0.0002019i
8.567e-05+0.0014224i,-0.00033283+0.0025136i,-0.0012789+0.0032527i,-0.0012806+0.0019746i,-0.0014886+0.00060651i,-0.0013563-3.904e-07i,-0.00085679-0.00061237i,-0.001137-0.00093987i,-0.001386-0.00091052i,-0.00088328-0.00052791i,-0.00054047-0.00026894i,-0.00033485+0.00024319i,0.00043886+0.00086949i,0.00041061+0.00064322i,-0.00065461+0.00038339i,-0.0002051+0.00060647i,0.00067518+0.00076144i,0.00066432+0.00051789i,0.0005617+2.2046e-05i,0.00056507+0.00014543i,-3.7075e-05-2.6647e-06i,-0.00024557-0.00080764i,4.8851e-05-0.00072364i
0.0014342+0.00033467i,0.0018964+0.00057925i,0.0016688+0.0003456i,0.0010687+1.2862e-05i,-2.2737e-05-0.00040819i,-0.00079579-0.00097276i,-0.0010093-0.00070788i,-0.0013198-0.00034239i,-0.00093298-0.00038523i,1.3731e-05-0.00067148i,0.00030399-0.001278i,-0.0003009-0.00079283i,-0.0005394+0.00062033i,0.00021495+0.0011945i,0.0002832+0.0010838i,-0.00049014+0.00090385i,-0.00012462+0.0010075i,0.0011095+0.00075814i,0.00094409-7.5231e-05i,0.00041927+0.0001702i,0.0008645+0.0008981i,0.0007715+0.00016345i,0.00025938-0.00080796i
-0.0014002+0.00147i,-0.0016358+0.0018927i,-0.00088142+0.0025481i,0.00039068+0.0016855i,0.00076991+0.00048545i,-6.6208e-05+0.00020811i,-0.000342+0.00032059i,-2.1951e-05+0.00011736i,5.3245e-05+0.00067194i,0.00066997+0.0011087i,0.00073311+0.00051595i,7.154e-05-7.9113e-05i,-0.00061973-1.0422e-05i,-0.00047236-0.00025708i,0.00066112-0.0002263i,0.00049848-0.00017466i,-0.00065576+5.1531e-05i,-0.00092778+0.00051085i,-0.00020472+0.00014694i,0.00026389+0.00034114i,-0.00025313+0.00016966i,-0.00051893-0.00035314i,2.9695e-07-0.00012478i
0.00078839+0.0011347i,0.0012692+0.0020753i,0.0019445+0.0018885i,0.0019147+0.0002383i,0.0013074-0.00021385i,0.00063609+0.00022437i,-0.00013602+0.00045649i,1.6268e-05+0.0010529i,0.00011337+0.00068942i,-0.00025846+8.5511e-05i,-0.00090103+0.00054357i,-0.0015836+0.00025261i,-0.0017739-0.0007123i,-0.00052374-0.00076579i,6.976e-05-0.00025173i,-0.00040804+0.00041644i,-9.4816e-05+0.00067272i,0.00050896+0.00034163i,0.00031911+0.00011823i,-0.00094376-5.2644e-05i,-0.00096083-0.00020014i,0.00039997-0.00029281i,0.0003214-0.00028971i
6.021e-05-0.00050284i,-0.0010956-0.00048162i,-0.0014429+0.0002079i,-0.001006-0.00021444i,-0.0010175-0.00047539i,-0.00065021-0.00020535i,0.00027626-0.00026228i,0.00073664-0.0004293i,0.00079217-0.00031794i,0.0010384-0.00017995i,0.0015115+7.2358e-05i,0.00063358+0.00052279i,-0.00077751+9.9214e-06i,-0.0015695-0.00080526i,-0.0018523-0.00051266i,-0.0015963-0.00039065i,-0.00053583-0.0010156i,0.00047363-0.00040138i,0.00018442+0.00047486i,-0.00024558+0.0004664i,-0.00025513+0.00048392i,0.00016581-0.00047415i,-0.0001711-0.00064552i
0.00098762+0.0024134i,0.001966+0.0026432i,0.001334+0.0018312i,0.00071521+0.0010909i,0.0006738+0.00064182i,-0.00025854-0.00024422i,-0.00038194-0.0006846i,-0.00025388+5.6806e-05i,3.0404e-05+0.00063029i,0.00036137+0.0005235i,0.00099416+0.00085976i,0.0012495+0.00066998i,0.00023535+0.00074012i,-0.0010791+0.00076275i,-0.0013359+0.00037792i,-0.00071719+0.0004587i,-0.00016059-0.00033822i,8.2012e-05-0.00063331i,0.00014968+4.1674e-05i,-0.00015859+0.001196i,-0.00018193+0.0016586i,0.00020893+0.00085657i,0.00038555+0.00041863i
0.0014107+0.00081144i,0.0013569+0.00026467i,0.001843-0.00090076i,0.001567-0.0010419i,0.00019894-0.0002943i,-0.00087306+0.00012319i,-0.0013049+0.00033488i,-0.00067356+0.00012726i,-0.000555-0.00043826i,-0.00019705-9.3241e-05i,0.00076179+0.00086226i,0.00076016+0.00085102i,0.00065217-7.4388e-05i,0.00061697-0.00019557i,0.00067401+0.00031883i,0.00064431+0.00038017i,0.00016294-0.00025087i,0.0002113-0.001074i,0.00015401-0.00041824i,0.00038173+0.00055481i,0.00081907-3.3214e-05i,0.0014942-0.00050695i,0.0014296-0.00013461i
-0.00015674+0.0016565i,-0.00057629+0.0016712i,-0.00090745+0.001947i,0.00034685+0.0019257i,0.0012499+0.00079921i,0.00094706-0.00066109i,-0.00024468-0.00058888i,-0.00042363+0.00018666i,-6.2202e-05+0.00084562i,-0.00024809+0.00096029i,-0.00057568+0.00094544i,-0.00021043+0.00023877i,-9.6673e-05-0.00048803i,-0.00094115-4.0227e-05i,-0.00098717+0.00083158i,-0.00052204+0.00072952i,-4.7195e-05-0.00029434i,6.6264e-05-0.00072498i,-0.00010593-0.00043557i,-0.00045781+0.00016479i,-0.0013062+0.00049034i,-0.00082552-7.3292e-05i,4.1754e-05-0.00030337i
-0.00027468-0.00097774i,-0.00055279-0.00014577i,-0.0010273-0.00049119i,-0.0019514-9.2959e-05i,-0.0027484+0.00060402i,-0.0023937+8.0685e-05i,-0.0010925+0.00029367i,-0.0006055+0.00077969i,-0.0007455+0.00064245i,-0.00071109+0.00033058i,-0.00074092+0.00021759i,-0.0010416+0.00010628i,-0.0012017+0.00023289i,-0.00059378-0.00032603i,-0.00032257-0.00038431i,-0.0005177+0.00013044i,0.00047311-4.2011e-05i,0.001262-8.0437e-05i,0.00073639+0.00024552i,4.9736e-05-6.2264e-05i,0.00041476-0.00051366i,0.00049889-2.4059e-05i,-3.8514e-05+8.3636e-06i
-4.3929e-05+0.00057069i,-0.00019191+0.00093692i,-0.00025063+0.0021784i,-0.00069305+0.0013555i,-0.00094992+5.4734e-05i,-0.00043224-0.00022732i,2.9795e-05-0.00067516i,2.7708e-05-0.00088285i,-0.00023142-0.00061147i,-0.00059219-0.00017767i,-0.00080628-9.4226e-06i,-0.00053871-3.1977e-05i,-0.00027714-2.7136e-05i,-0.00045705-0.00015659i,-0.0009578-0.00042599i,-0.00010159-0.00079177i,0.00036273-0.00072459i,-4.6918e-05-0.00033302i,-0.00011497+3.5218e-05i,-0.00012415+0.00063098i,0.00031475+0.00079408i,0.00078252+0.00025768i,0.00079199-1.4954e-05i
-7.7011e-05+0.00074272i,0.00093641+0.00059795i,0.00066168+0.00057729i,-0.00037978+0.00048264i,-0.00066249+0.00033857i,-0.00041897-0.00023358i,-0.00025471-0.00040398i,-0.00042101-0.0007782i,-0.0005956-0.00040233i,-0.0010608+0.00089993i,-0.0010096+0.0010254i,-0.00060867+0.00026578i,-0.00060876+0.00016271i,-0.0011059+0.00049788i,-0.00099155+0.00021576i,-0.00068272-0.00015715i,-0.00063655-0.00023038i,-0.00061033-0.00030479i,-0.00076143-0.00037996i,-0.00084302-7.6598e-05i,-0.0012539+0.0001655i,-0.00096325+0.00035922i,-0.00046754+0.00030787i
-0.00066612+0.0020843i,0.00030768+0.0013036i,0.00077217+0.00035816i,0.00093074-0.00015539i,0.00068057-0.00078168i,0.00024881-0.00047115i,-0.00017044+0.00070628i,-0.00068442+0.00095582i,4.6219e-05+0.00058197i,0.0011153+0.0012212i,0.0012272+0.0013956i,0.00090953+0.00076153i,0.0001911+0.00076282i,-0.00031347+0.0007429i,-0.00086218+0.00049239i,-0.00059308-0.00029113i,0.00070333-0.00033541i,0.001045+0.00029276i,0.00051352+0.00083887i,-0.00018379+0.0004133i,-3.6281e-05-0.00081868i,0.00085256-0.0011854i,0.00074627+0.00032551i
