-0.00060926-0.0013409i,-1.2389e-05-0.00090589i,-0.0013714-0.00069099i,-0.0019565-0.00044266i,-0.00092745-0.0005245i,-3.8765e-05-0.00036996i,0.00011483-0.00020897i,-0.00022173+0.00010005i,-0.00013879+0.0003631i,0.00030829+0.00041865i,0.00064305+0.00076057i,0.0005898+0.000887i,0.00033749+0.00059235i,9.3081e-05-0.00045619i,-0.00013606-0.0014038i,-0.00044778-0.0013023i,-0.00080891-0.001363i,-0.00081757-0.00071888i,-1.3102e-05+0.0001378i,0.00031898+0.00013829i,-3.2918e-05-0.00019202i,0.00016774+2.5318e-05i,0.00015304+0.00025292i
-0.00019294-0.00032623i,-0.0011043-0.0010873i,-0.0020586-0.00055462i,-0.0017737-5.5582e-05i,-0.0013242+0.00039761i,-0.00066298+0.0003527i,-0.00033446+0.00015649i,-0.00028324+0.00010094i,0.00054283-0.00042358i,0.0010941+7.2985e-05i,0.00089728+0.00025125i,0.00028746-0.00053077i,0.00010794-0.00080748i,0.00028319-0.00044408i,-6.4683e-05-0.00010048i,4.8336e-05+3.3075e-05i,6.3324e-05+0.00065822i,-0.00042267+0.00078159i,-0.00065067-0.00029799i,-0.00085889-0.0011506i,-0.00057914-0.0017168i,-0.0001459-0.0012205i,-0.00041045-5.5213e-06i
0.0015624+0.00066356i,0.001984-0.0019882i,0.001193-0.0030233i,0.0010836-0.0011682i,0.0012037-0.0003476i,0.00027455-0.00094849i,-0.000506-0.00020981i,-0.00032547+0.00052811i,0.00031425+0.00095366i,0.00020804+0.00040927i,-9.2136e-05+0.00010809i,0.00015198+0.00028487i,0.00055192+0.00068026i,0.00030456+0.0014134i,-0.00017321+0.0011407i,0.0003089+0.00041154i,0.00034658+0.00068684i,-0.00019984+0.0007435i,-0.00015941+0.00039994i,-0.00019965-0.00010902i,-2.8061e-05-0.00058381i,0.00030113-0.00061379i,3.5233e-05-0.0003143i
0.0022437-0.00088346i,0.0019642-0.0013313i,0.0019291-0.0024334i,0.001832-0.002253i,0.0019822-0.0014373i,0.0012573-0.0015713i,0.00032728-0.00068875i,0.00011649+1.2234e-05i,0.00018577-9.4018e-05i,-0.00024625-0.00023089i,-0.00043451-3.4061e-05i,-0.00031589+0.00058262i,-0.00017022+0.00069297i,-0.00013216+0.00040543i,0.00012543+0.00083602i,0.00062637+0.0010383i,0.00069971+0.00027438i,0.00045007+9.9981e-05i,0.00026322-8.7232e-05i,-9.7751e-05-0.00061096i,6.5674e-05-3.1755e-05i,0.00036908+0.00080236i,0.000282+0.00051142i
-0.00014205-0.00035364i,2.8903e-05-0.0011708i,-0.00050977-0.0014969i,-0.00070198-0.0011994i,-0.00022584-0.00035954i,0.00014408-0.00048733i,0.00034166-0.0005279i,0.00059948-0.00010392i,0.00010785+0.00016518i,-0.00054984+5.788e-05i,-4.7518e-05+0.00065051i,0.00049709+0.00028871i,0.00035001-0.00058552i,0.00037039+1.7315e-05i,0.00046841+2.6599e-06i,-0.00024582-0.00085439i,-0.00047885-0.00094821i,-0.0006252-9.3622e-05i,-0.00076192+0.00060249i,-1.4709e-05+0.00040078i,0.00054499-1.1954e-05i,0.0010367-0.0002311i,0.00053192-0.00065501i
-0.0011478-0.00058585i,-0.0010337-0.0013857i,-0.0026289-6.8303e-05i,-0.0021183+0.0015309i,-0.00081599+0.0014159i,-0.00038738+0.00047525i,-0.00038915-0.00031237i,-0.00063806-5.8616e-05i,6.6655e-05+0.0003116i,0.00070562+0.00097276i,0.00022649+0.00079093i,0.00024825-0.00011834i,0.00026572-0.00038699i,-0.00027603-0.0010504i,-1.2324e-05-0.0008866i,0.00062534-0.001231i,0.0006284-0.001381i,0.00043401-0.001252i,0.00062128-0.00083009i,0.0004822-0.00041185i,0.00063275-8.7122e-05i,0.00073555+0.00061192i,0.00074192+0.00011822i
-0.0012691+0.00030656i,-0.00016805-0.00057611i,0.0010259+0.00027472i,0.0015888+0.0012565i,0.0015616+0.00061894i,0.00034953-0.00095573i,-0.000276-0.00099411i,-0.00014879-3.2899e-05i,0.00029022+0.00027451i,0.00056544+0.00045751i,0.00075992+0.00021642i,0.0014577-5.661e-05i,0.00050274-0.00013351i,-0.00045797-0.00055336i,-0.0004161-0.0012766i,-0.00079348-0.0011254i,-0.00067442-0.00016936i,-0.00081071-8.0215e-06i,-0.00033742-0.0007004i,0.00045083-0.0010212i,-3.1827e-05-0.00038323i,-0.00036304+8.9498e-06i,0.00052758+0.00045612i
-0.00091149-0.002156i,-0.0013608-0.0024999i,-0.0028057-0.0013802i,-0.0023387+0.00029021i,-0.00054845+0.00042395i,0.00013717+0.00012069i,0.00023428+0.00010667i,-4.041e-05+0.0007006i,-0.00022995+0.00023947i,0.00065764+0.00017595i,0.0010505+0.00049827i,0.0009173+0.00015211i,0.00040566+0.00023433i,-0.00024423-0.00015913i,-0.00047576-0.0011861i,-0.00034032-0.00094012i,-0.00029802-0.00019662i,-0.00020921-0.0002351i,-0.00042084+0.00022359i,-0.00040623+0.00037983i,-0.00039196-0.00014567i,-0.00054847-0.00014839i,4.5183e-05-2.4956e-05i
0.00022745-0.0014371i,-3.0657e-05-0.00066146i,-0.00042503+0.00032698i,0.00090063+0.00081895i,0.0023039+0.00099039i,0.0024381+0.00078106i,0.001362+4.1101e-05i,0.00036536-0.00057556i,0.00037486-0.00026623i,0.00037689+0.00041008i,-0.00018851+0.0003878i,0.00028828+3.1588e-05i,0.0012617-0.00051168i,0.00075137-0.00061705i,-0.0001249-0.00018036i,0.0003209-0.00025647i,0.0010991-0.00023172i,0.00082345+0.00011337i,-1.5453e-05+0.00032736i,-0.00025888-3.3391e-05i,-0.00044183-0.00043301i,-0.00054514-0.00014278i,-4.9049e-05-0.00026566i
-0.0017457+0.00038792i,-0.0019705+0.00067958i,-0.00086313+0.00076365i,0.00090948+0.0018326i,0.00096332+0.0021388i,0.00099411+0.00036898i,0.0011421-0.00098916i,0.0010866-0.00096185i,0.00080422-0.000267i,6.6269e-05+0.00036894i,-0.00017602+8.8702e-05i,0.00013983-0.00075609i,7.0286e-05-0.00081222i,0.00028912-0.00086236i,0.00013506-0.00074066i,-0.00010718-0.00034507i,6.1767e-06-6.7488e-05i,0.00026697+0.00048143i,-8.9197e-05+0.00070825i,-0.00044037+0.00016557i,7.4962e-05-0.00064608i,0.0005475-0.00070478i,-0.00022235+6.0579e-05i
