0.00074688+0.00079012i,-0.0003208+0.00012369i,-0.00016178-5.2532e-05i,-0.00041861-0.0016768i,-0.0017355-0.0016868i,-0.0030328-0.00064284i,-0.0024147+0.00023985i,-0.00010199+0.0010372i,0.0010915+0.00076358i,0.0012885+0.00036754i,0.001054-0.00064038i,0.00024652-0.0014612i,-8.2657e-05-0.0010097i,-0.00015888-0.00021284i,-8.0145e-05-0.00042311i,0.00052726-0.00061985i,0.00056696-0.00013016i,-0.00030502+0.00024258i,-0.00043881+7.3588e-05i,-0.00023223-0.00047666i,-1.9534e-05-0.00039592i,-0.00014856-0.00015115i,-0.00053953+0.00059083i
-0.019932-0.021135i,-0.023112-0.018238i,-0.025196-0.012809i,-0.022128-0.0079757i,-0.014609-0.005449i,-0.0069579-0.0034438i,-0.0012776-0.00095149i,0.00060148+0.00049878i,-0.00027097+0.00053153i,-0.00045683+0.00077014i,-0.00024896+0.0018571i,-0.00051604+0.0029761i,0.00020705+0.0035661i,0.00084613+0.002229i,0.00017224+9.8625e-06i,7.6987e-05-0.00061179i,-0.00021536-0.00036496i,-0.00064313-0.00063201i,-0.00050401-0.0005385i,-0.00058574-0.00018877i,-0.00082202+0.00040777i,-0.001106+0.0011791i,-0.00052272+0.00095017i
-0.027952+0.006701i,-0.023994+0.015103i,-0.018958+0.018788i,-0.014547+0.0167i,-0.010263+0.010671i,-0.0048398+0.0040204i,-0.00082626+0.00057386i,-4.4073e-05-0.00060132i,0.00098551-1.2961e-05i,0.0017993+0.00096499i,0.0019952+0.0014863i,0.0036462+0.0013352i,0.0043214+0.00017258i,0.0025939-0.00068078i,0.00055509-0.00052502i,-0.0003509+0.00011233i,-0.00092886-6.8972e-05i,-0.00067477-0.00020056i,0.00017673+0.00030407i,0.00051448+0.00042216i,0.00060299+0.00057796i,0.00042719+0.0011243i,-0.00044793+0.0011616i
-0.0045611+0.029618i,0.0036438+0.027001i,0.011318+0.022362i,0.012625+0.01628i,0.0094699+0.0098299i,0.0043787+0.0029928i,0.0013304-0.0019832i,0.00088846-0.0027178i,0.0022317-0.0016027i,0.0026747-0.001295i,0.0021397-0.0017051i,0.0019339-0.0031452i,0.0010358-0.003876i,-6.4754e-05-0.001917i,9.1666e-05-8.529e-05i,0.00046098+0.00028472i,0.00041739+0.00035818i,0.0011308-0.00017966i,0.002041-0.0008702i,0.0020586-0.00080559i,0.0015851-0.00032718i,0.001254-0.00035234i,0.00098182-0.00055668i
0.02423+0.015557i,0.025986+0.0065707i,0.023533-0.0023091i,0.017625-0.0067109i,0.011872-0.0060162i,0.0050516-0.0033786i,-0.00091417-0.0024745i,-0.0022341-0.0016093i,-0.0011821-0.0018764i,-0.0008068-0.0029669i,-0.0014982-0.0028526i,-0.0029867-0.0027546i,-0.0038273-0.0018248i,-0.002955+0.0001923i,-0.0010804+0.00083418i,0.00035656+2.1669e-05i,0.00068599-0.00046746i,0.00041943-0.0010274i,0.00018759-0.0015603i,-0.00014421-0.00066665i,-0.00072783-0.00086817i,-0.0011884-0.001927i,-0.00091287-0.0012093i
0.024578-0.01542i,0.014254-0.021123i,0.0040049-0.024053i,-0.0004172-0.020202i,-0.00038693-0.014063i,-2.6805e-06-0.008124i,-0.0013999-0.0021805i,-0.0012695+0.00103i,-0.00033858+0.0006505i,-0.00094584-0.00091743i,-0.0026125-0.00063146i,-0.0043423+0.00088588i,-0.0032151+0.0026738i,-0.00092606+0.0029548i,-8.0427e-05+0.00080651i,-0.00019842-0.0011797i,-5.6085e-05-0.0012965i,3.8225e-05-0.00037998i,-0.00065355+0.00025634i,-0.0010854-0.00030796i,-0.0013177-0.0008952i,-0.00091779-0.000739i,-0.00048552-0.00020142i
-0.0014484-0.028137i,-0.010988-0.020196i,-0.018291-0.012436i,-0.017406-0.0076121i,-0.012441-0.0050789i,-0.0074555-0.0033328i,-0.0030327-0.00069181i,0.00039795+0.00095354i,0.00122+3.593e-05i,0.00012307+0.00012158i,-0.00082135+0.0023676i,0.00042619+0.0040916i,0.0028244+0.0044752i,0.0028901+0.0022359i,0.00064956-0.00092104i,-0.00087261-0.0018703i,-0.00037202-0.0016345i,-0.00018273-0.00035022i,-0.00026419+0.00018557i,-8.2386e-05-0.00034789i,-0.00048484-0.00065818i,-5.1932e-05-0.00042065i,6.978e-05+0.00014847i
-0.027699-0.013306i,-0.024235-0.00041592i,-0.018845+0.0096835i,-0.011484+0.012747i,-0.0069791+0.010934i,-0.0034902+0.006744i,0.00040657+0.0033035i,0.0021218+0.0010016i,0.0014917-0.0002825i,0.00050221-0.00034953i,0.0011221+0.00021209i,0.0033424+0.00031682i,0.0047244-0.0011708i,0.0025873-0.0020206i,-0.0005001-0.0013006i,-0.00078357-0.00034491i,-0.00041699+0.00019692i,-0.00073439+0.00070047i,-0.00093853+0.00019051i,-0.00091939-0.00018152i,-0.00062164+0.00037358i,0.0003148+0.00037583i,0.001123+0.00041814i
-0.024156+0.019191i,-0.0083808+0.020102i,0.003959+0.019602i,0.0084399+0.014748i,0.0079478+0.010704i,0.0060142+0.0055642i,0.0035613-0.00061515i,0.00084749-0.0023578i,0.00060481-0.0014596i,0.0018464-0.0010255i,0.0028353-0.0018879i,0.0028574-0.0032763i,0.001141-0.0040388i,-0.00040618-0.0025568i,-0.00046059+0.00079992i,0.00021805+0.0023906i,0.00027654+0.0015631i,0.00019989+0.00078675i,0.00047817+0.00073569i,0.00010625+0.00032959i,0.00051645+0.00022406i,0.00059321+3.3695e-05i,0.00018313-0.00032746i
0.0053943+0.025598i,0.01291+0.010799i,0.014934-0.0014407i,0.011031-0.0060651i,0.0076877-0.0044663i,0.0048318-0.0027588i,0.00083643-0.0028871i,-0.0017733-0.0019678i,-0.0016221-0.0013233i,-0.00068209-0.0019515i,-0.0011451-0.0026097i,-0.0030685-0.0027653i,-0.0040627-0.0020826i,-0.0020772+0.00030024i,0.00091957+0.0011714i,0.0021307+0.00033044i,0.0015293+0.00043854i,0.0015897-7.3641e-05i,0.0018722-0.0010888i,0.0014877-0.0010571i,0.00067547-0.00084483i,-0.00046592-0.00090799i,-0.00075823-0.00073603i
0.028362+0.0075649i,0.017321-0.0056411i,0.0057308-0.015244i,-0.0011878-0.015273i,-0.0013769-0.011107i,-0.00091215-0.0075406i,-0.0021048-0.0035273i,-0.0021463+0.00090918i,-0.0008601+0.0017204i,-0.0006823+0.000401i,-0.002132-0.00030087i,-0.0037833+0.00031273i,-0.0027859+0.0027153i,-6.8889e-05+0.0040088i,0.0015022+0.0011588i,0.0014998-0.0012787i,0.00058791-0.00080691i,0.00015629-0.00042936i,-8.6282e-05-0.0010375i,3.8909e-05-0.00087895i,0.0002124-0.0006111i,-0.00045439-0.00057386i,-0.00079577-0.00015049i
0.018574-0.022411i,0.00038105-0.015801i,-0.012436-0.0078265i,-0.012795-0.0016832i,-0.0082365-0.001286i,-0.0046323-0.0012837i,-0.0019527+0.0014107i,0.00084708+0.0024683i,0.0022475+0.00093024i,0.001423-0.00078185i,0.00069113+0.00048137i,0.00092361+0.0033981i,0.0019961+0.0037236i,0.0027486+0.0013536i,0.0015346-0.00071968i,-0.00040215-0.0013326i,-0.00092982-0.0014101i,-0.00066161-0.0010857i,-5.5081e-05-0.00034359i,0.00033163-3.6447e-05i,-0.00029913-0.00056761i,-0.00068445-0.00019181i,-0.00067546+0.0014077i
-0.010008-0.030747i,-0.012648-0.011489i,-0.011+0.0024121i,-0.0058429+0.0064479i,-0.0037556+0.0046491i,-0.0034168+0.0021038i,-0.00029952+0.00093477i,0.0027375-0.00076113i,0.0022436-0.0026732i,0.00056558-0.0023331i,0.0012846+0.0003622i,0.0027086+0.0015281i,0.0039914+0.00044957i,0.0033283-0.0011083i,0.00043279-0.0017683i,-0.0015377-0.00057433i,-0.0015686+0.00052891i,-0.00075409+0.00023235i,-0.0004594+0.00015691i,-5.0338e-05+0.00076332i,0.00081164+0.00072814i,0.0017084+0.00064941i,0.0013646+0.0008504i
-0.032936-0.0033872i,-0.015467+0.0068276i,-0.00053817+0.01058i,0.0051619+0.0047586i,0.003438+0.00016539i,5.4185e-05-0.00017845i,-0.0008008-0.0016081i,-0.00085781-0.0033176i,-0.0011603-0.0019967i,-0.00016354-0.0011641i,0.0011031-0.0018512i,0.0014328-0.0029998i,0.00092129-0.0038499i,-0.0011385-0.0029965i,-0.0026926-0.00032417i,-0.0015825+0.001965i,-0.00086659+0.0018809i,-0.00045024+0.00079716i,-1.5968e-05+0.00046419i,4.246e-05+0.00077273i,0.00080123+0.00042347i,0.00095343-0.0003687i,0.00067842-0.00087829i
-0.018576+0.02846i,-0.0022888+0.014072i,0.0083172+0.0020377i,0.006847-0.003062i,0.0021334-0.0023i,-0.00011694-0.00092235i,-0.00062754-0.0012764i,-0.0011256-0.00014799i,-0.0011132+0.0012511i,-0.00067457+0.00012891i,-0.000705-0.0019307i,-0.0022951-0.0031669i,-0.0047254-0.0024011i,-0.0050591+0.00029539i,-0.0021235+0.0013872i,0.001291+0.00020435i,0.0020932-0.00082302i,0.0004617-0.00091822i,-0.00056587-0.00049043i,-0.00063216-8.0088e-05i,-0.00054759-0.00044973i,-0.00071875-0.0015164i,-0.00028995-0.0012807i
0.015567+0.028061i,0.010499+0.0066116i,0.0033713-0.0080143i,-0.0025683-0.0073162i,-0.0035637-0.001849i,-0.0019579+0.00025904i,-0.002086+0.0012807i,-0.0018891+0.002143i,0.00071773+0.0021238i,0.00097116+0.00087478i,-0.0019249+4.7911e-05i,-0.0050013+0.0010223i,-0.0048953+0.0036059i,-0.0014303+0.0044042i,0.0016494+0.0021643i,0.0024707-0.00057783i,0.0015662-0.0016392i,0.00075081-0.0006046i,5.7832e-05-0.00046571i,0.00012903-0.00047363i,0.00042938+0.00014408i,-0.00014007+0.00023259i,-0.0010382+0.00015738i
0.033229-0.0017562i,0.0093048-0.0061902i,-0.006096-0.0051376i,-0.0047708+0.00073971i,0.0010035+0.001726i,0.0026818-0.0010095i,0.0018593-2.2631e-05i,0.0025082+0.0020724i,0.0032889+0.0016382i,0.0023292+0.0003134i,0.00054998+0.0010976i,-0.00040749+0.0030216i,0.00091482+0.0044533i,0.0029505+0.002652i,0.0026681-0.00037053i,0.00078878-0.0010687i,0.00014117-0.0014078i,0.0012395-0.00078839i,0.0020774+0.00047447i,0.00078178+0.00022603i,0.00019773+0.00040893i,0.00066314+0.00089057i,0.00052447+0.0013582i
0.014833-0.026188i,0.0024441-0.007048i,-0.0006007+0.0051402i,0.0052687+0.0024035i,0.0073048-0.0046426i,0.0026077-0.0065191i,0.00044684-0.004205i,0.00229-0.0032445i,0.0023889-0.0037649i,0.0013122-0.0027453i,0.0021332-0.0009611i,0.0038095+0.00077698i,0.0052852+0.00041395i,0.0042481-0.00222i,4.1353e-05-0.003337i,-0.0027072-0.0012918i,-0.0017944-0.00014444i,-0.00052286-0.0010537i,-0.00032167-0.0009001i,-8.5141e-05-0.00021657i,-0.00030202+0.00034616i,-0.00061421+0.00064292i,-0.00022671+0.00052266i
-0.019461-0.029208i,-0.0079272-0.010163i,0.00091108-0.0020535i,0.0026193-0.0075728i,-0.00083994-0.010744i,-0.0039466-0.0073781i,-0.0032192-0.0049862i,-0.002214-0.0048374i,-0.0019956-0.0039544i,-0.001062-0.0030343i,0.00020599-0.0030148i,0.0018549-0.0045136i,0.0012789-0.0056307i,-0.0013938-0.0046914i,-0.0028539-0.0022166i,-0.0019148+0.0004073i,-0.00062948+0.0012748i,-0.00087953+0.0004651i,-0.001061+5.6753e-05i,-0.0010081+0.00025028i,-0.00037446-0.00039343i,0.0007858-0.00055704i,0.001005+0.00039581i
-0.036622+0.0048424i,-0.011769+0.0024762i,0.0010135-0.00045677i,-0.0040285-0.0033933i,-0.010246-0.0030259i,-0.009437-0.00066795i,-0.0060173-4.1759e-05i,-0.0047508+0.00022472i,-0.0041077+0.0003792i,-0.0023246+0.00013443i,-0.0013796-0.0012182i,-0.0025196-0.0032103i,-0.0044067-0.0029022i,-0.0054523+9.2806e-05i,-0.0042086+0.0015004i,-0.00048641+0.0010899i,0.0015987+0.00063407i,0.00098006+2.475e-05i,-0.00027838+6.7904e-05i,-0.00096111+0.00029001i,-0.0013739+0.0002118i,-0.00093258-0.00036103i,-0.00017374-0.00028086i
-0.014176+0.034167i,-0.0073382+0.010606i,-0.0065958-0.0012706i,-0.01069+0.0034666i,-0.008973+0.010151i,-0.0038302+0.009275i,-0.0023017+0.0049659i,-0.0019112+0.0040462i,-0.0010339+0.0042958i,-0.00088985+0.0027531i,-0.0024321+0.00093106i,-0.0045974+0.0012255i,-0.0047302+0.0035068i,-0.002389+0.0052434i,5.498e-05+0.0043129i,0.0011836+0.00095267i,0.00096589-0.00048635i,0.0002037+0.00011475i,-0.00015252+0.00042667i,-8.1573e-05+0.00047458i,-0.00060283+0.00052943i,-0.00087983+4.6006e-05i,-0.00070203-0.00080056i
0.029364+0.031628i,0.01234+0.014109i,0.0021007+0.0063829i,0.0049052+0.0096878i,0.0092506+0.0094452i,0.007926+0.0044564i,0.0050243+0.0023021i,0.0041963+0.0027685i,0.0044116+0.0021531i,0.0037052+0.00098385i,0.0010447+0.0016405i,-0.00073754+0.0037673i,0.0008646+0.00535i,0.0029911+0.0050207i,0.003015+0.0021874i,0.001191-0.00060636i,-0.00069898-0.0019209i,-0.00013349-0.001313i,0.00074176-0.00033065i,0.00085365-0.00047663i,0.0012743-0.00050508i,0.0010023+0.00041584i,0.00045663+0.00091686i
0.042331-0.0097402i,0.020176-0.00050052i,0.0088242+0.0030088i,0.013366-0.0011034i,0.01613-0.0070577i,0.010828-0.0073838i,0.0057197-0.004208i,0.0048747-0.0025126i,0.0035431-0.002472i,0.0015196-0.0025474i,0.0015044-0.00072266i,0.0032134+0.0011975i,0.0056127+0.00018243i,0.0054383-0.0019215i,0.0023564-0.0030969i,-0.00055-0.0024657i,-0.0015696-0.0010542i,-0.00017736-0.0010068i,0.0011085-0.0013429i,0.00074808-0.0012372i,0.00048978-0.00083259i,8.7708e-05-0.0001267i,-0.00031639+0.00060607i
0.0088877-0.048197i,0.0063854-0.022389i,0.0034475-0.0088774i,0.001906-0.013531i,-0.00029978-0.017384i,-0.0017641-0.012847i,-0.0010851-0.0069708i,-9.9276e-05-0.0045213i,-8.7614e-05-0.0042712i,-0.00042267-0.0040773i,0.00061841-0.0032545i,0.0021447-0.0030076i,0.0028158-0.0048201i,0.00084975-0.0060616i,-0.0026503-0.0035691i,-0.0034606+0.00015245i,-0.0021101+0.0021072i,-0.00028962+0.001283i,0.00040415-0.00050517i,-0.00046939-0.00054466i,-0.0011552-0.00091284i,-0.00030281-0.0014167i,0.0010013-0.0013491i
-0.040453-0.031287i,-0.018098-0.018345i,-0.0058238-0.010497i,-0.010171-0.0094202i,-0.016357-0.0068033i,-0.014341-0.0041381i,-0.0081788-0.0027222i,-0.0047126-0.0021515i,-0.0034618-0.0017842i,-0.0027449-0.0010029i,-0.0022287-0.0014389i,-0.0027509-0.0024875i,-0.0036634-0.0021352i,-0.0042918-0.0010318i,-0.0035857+0.00099046i,-0.00095594+0.0022028i,0.0015452+0.0011378i,0.001462-0.00025117i,-0.00031006-0.00063481i,-0.0011446+0.00011841i,-0.0011686+0.00039653i,-0.00098433-0.00048779i,0.00014982-0.00094344i
-0.049075+0.022372i,-0.027344+0.0054396i,-0.014812-0.001574i,-0.014952+0.0057137i,-0.01354+0.012914i,-0.0087564+0.010354i,-0.0055505+0.0049283i,-0.0041519+0.002621i,-0.0024676+0.0020478i,-0.0014006+0.0013883i,-0.0020205-2.712e-05i,-0.0037907-7.779e-05i,-0.0051362+0.002365i,-0.0036521+0.0043701i,-0.00041926+0.0039161i,0.0016382+0.001514i,0.0018094-0.00045533i,0.00071632+0.00016303i,0.00035293+0.0011924i,-6.3322e-05+0.0018218i,-0.00017524+0.0021832i,0.00045928+0.0011829i,-0.00020258-8.2115e-05i
0.0003701+0.05526i,-0.0054848+0.029425i,-0.006164+0.014074i,0.0004242+0.015207i,0.0073192+0.015474i,0.0071359+0.0099655i,0.0026965+0.0050694i,0.0008192+0.0034622i,0.0017688+0.0032046i,0.0010803+0.0022254i,-0.0011018+0.0017268i,-0.0013341+0.0033797i,0.00055123+0.0054379i,0.0029335+0.0047314i,0.003101+0.002069i,0.0011194-0.00097234i,-0.00046358-0.0015443i,-0.0010787-0.00026788i,-0.00050738+0.00030092i,0.0010706+0.00023017i,0.0014718-1.144e-05i,0.0010459-3.6666e-05i,0.00043688+0.00047647i
0.053963+0.02671i,0.027299+0.01875i,0.011142+0.010171i,0.013295+0.0019622i,0.01581-0.0049783i,0.011535-0.0048107i,0.006436-0.0012888i,0.003828+0.00090493i,0.002804+0.0009506i,0.0027223-0.00028871i,0.0019742+0.00039154i,0.00257+0.0019692i,0.0047594+0.0013306i,0.0043055-0.00088309i,0.0016649-0.0022638i,-0.00046109-0.0016552i,-0.0011316-0.00074206i,-0.00077825+0.00043934i,0.00039797+0.00071733i,0.0015217-0.00013998i,0.0016498-2.6257e-05i,0.0014939+0.00022001i,0.0013789+0.000435i
0.048701-0.039022i,0.029727-0.017693i,0.013422-0.0053279i,0.0076609-0.010123i,0.0038693-0.01583i,0.0011656-0.013017i,0.0010422-0.00754i,0.001627-0.0031959i,0.001497-0.0022313i,0.0013763-0.0025083i,0.0019439-0.0015395i,0.0024818-0.0020302i,0.0018593-0.0040634i,0.00029957-0.0046056i,-0.00090052-0.0034565i,-0.0022175-0.001244i,-0.0019553+0.00038646i,-2.9913e-05+0.00064376i,0.0001217-0.00019845i,-0.0011779-0.0013308i,-0.0013772-0.0019332i,-0.0003439-0.0018227i,0.00024611-0.00089521i
-0.015381-0.063971i,-0.0034045-0.038789i,0.0015105-0.01814i,-0.0045289-0.012247i,-0.011168-0.0090194i,-0.010802-0.0062688i,-0.0063225-0.0045172i,-0.0022141-0.0032845i,-0.00033888-0.0025554i,-0.0005457-0.0024885i,-0.00042084-0.0033277i,-0.0013878-0.004203i,-0.0041237-0.0037259i,-0.0047106-0.0017075i,-0.0030408+0.00043491i,-0.0012593+0.0015023i,0.00077628+0.0014651i,0.00099976+0.00050678i,-0.00039145-0.00031341i,-0.00039547-0.00036895i,-0.00012317-0.00024723i,-0.00075999+3.7278e-05i,-0.00088326+0.00032036i
-0.066432-0.014562i,-0.038862-0.01425i,-0.016397-0.0099242i,-0.012315-0.00094326i,-0.011632+0.005932i,-0.0081564+0.0057825i,-0.0050544+0.002129i,-0.0027502-0.00079655i,-0.0018617-0.0017842i,-0.0018744-0.0017038i,-0.0018586-0.0014189i,-0.0025136-0.00039585i,-0.0033784+0.0016185i,-0.0020195+0.0032246i,0.0004522+0.0023303i,0.0026467+0.00084821i,0.0035652-0.00041801i,0.0019356-0.0010461i,-0.00072507-0.00026576i,-0.0014906+0.0010546i,-0.00097615+0.0011018i,-0.00070516+0.0005002i,-0.0011608-0.00026692i
-0.044757+0.052586i,-0.033096+0.02644i,-0.019278+0.0066921i,-0.0080206+0.0057666i,0.00065582+0.0087597i,0.0029874+0.0077636i,0.0012719+0.0040263i,-0.00070491+0.00094899i,-0.002117+0.00098562i,-0.0024451+0.0016706i,-0.0022502+0.0014278i,-0.0016562+0.0025266i,0.00027105+0.0041946i,0.0021972+0.0030228i,0.0024204+0.0008885i,0.0016206-0.0010704i,-0.00012936-0.0024113i,-0.0011796-0.0015785i,0.00014543+0.00013564i,0.0010006+0.0015123i,0.00080581+0.0017328i,0.0010552+0.0011903i,0.00067528+0.00085741i
0.035129+0.069789i,0.016946+0.046583i,0.0041493+0.022125i,0.0054142+0.0069173i,0.0085258-0.0025633i,0.006722-0.0043245i,0.0019795-0.0019733i,-0.00032036+0.00089903i,0.00055721+0.0027932i,0.0013744+0.0019062i,0.00082225+0.00083061i,0.0012901+0.00099944i,0.002695+0.00054711i,0.0025987-0.0015156i,0.0019185-0.0023557i,0.00039886-0.0018696i,-0.0012778-0.0013592i,-0.00091391+0.00020443i,0.00035058+0.0012955i,0.001149+0.00040942i,0.0020152-0.00044419i,0.0018467+0.00067909i,0.00067147+0.0011555i
0.077294-0.004966i,0.047639+0.0020145i,0.018469+0.0052604i,0.0061145+0.00039147i,0.0025988-0.0052199i,0.00087136-0.0052885i,0.00043361-0.001996i,0.0022629+0.00056724i,0.0040953+0.00064345i,0.002773-0.00040668i,0.00091159-0.00036722i,0.0011519-0.00036039i,0.0014181-0.0020881i,-3.0684e-05-0.0025478i,-0.0016427-0.0022098i,-0.0018528-0.0012334i,-0.0018603+0.00091943i,-0.00042025+0.0014192i,0.0010555-0.00012786i,0.00075716-0.0013764i,0.00020997-0.0018672i,-0.00010333-0.0019488i,0.00048444-0.00086357i
0.030082-0.074945i,0.025463-0.045394i,0.01672-0.017003i,0.006498-0.0074748i,-0.0016184-0.005236i,-0.0035976-0.003831i,-0.0014783-0.0027164i,0.0020176-0.0019856i,0.0034776-0.0031982i,0.0025632-0.0035216i,0.0019152-0.0024429i,0.0017143-0.0022245i,-0.00053021-0.0019472i,-0.0029733-0.0007175i,-0.0032166+0.00038832i,-0.0012254+0.0013918i,0.00095883+0.001798i,0.0012476+0.00087708i,7.5926e-05-0.00057487i,-0.0010357-0.0010599i,-0.0013835-0.00072494i,-0.0011928-0.00043534i,-0.0001871-0.000428i
-0.059812-0.062407i,-0.034847-0.04545i,-0.010803-0.024342i,-0.0041868-0.0092706i,-0.0038393-0.00068228i,-0.0027915+0.0022168i,-0.001346+0.00044668i,-0.00055024-0.002737i,-0.00075916-0.0044762i,-0.0014866-0.0030084i,-0.0018931-0.0022324i,-0.0020364-0.0016546i,-0.0020474+0.00083691i,-0.001216+0.0017417i,-0.00053368+0.0016576i,0.00045754+0.0012634i,0.0014339+0.00037322i,0.0011927-7.5683e-05i,-7.1649e-05-0.00023996i,-0.0017417-8.7738e-05i,-0.0023836+0.00093439i,-0.0026592+0.0017919i,-0.0019526+0.0010607i
-0.0847+0.026949i,-0.060357+0.011297i,-0.031338-0.0028599i,-0.01414-0.0040546i,-0.0042441+6.4564e-06i,0.00010519+0.0021412i,-0.00064642+0.00082983i,-0.0033418-0.00073284i,-0.0049984-0.00068542i,-0.0033847-0.0003162i,-0.0013749-0.00047931i,-0.0014465-0.00025642i,-0.00076602+0.00037941i,0.00086626+0.0010254i,0.0016082+0.0014124i,0.0021958+0.00054014i,0.0017576-0.0014629i,0.00028623-0.0012889i,-0.00011777+0.00085493i,0.00012697+0.0017909i,0.00066699+0.0019119i,0.00092117+0.00093629i,-5.9567e-05-0.00038044i
-0.0098527+0.091327i,-0.014397+0.064014i,-0.016576+0.030911i,-0.010828+0.013534i,-0.0022108+0.0046829i,0.001817+0.00010027i,-6.6031e-05-0.00035291i,-0.0023499+0.0018719i,-0.0010554+0.0041556i,0.0007356+0.0031799i,-0.00042599+0.0011363i,-0.0012662+0.0012432i,-0.00059618+0.00032693i,-4.8075e-05-0.0013174i,0.00020437-0.0020004i,-0.00026081-0.0024209i,-0.0018283-0.0014963i,-0.0021733-0.00017953i,-0.00049467-5.3619e-05i,0.00093853+0.00045466i,0.0016205+0.0012931i,0.0015131+0.0010234i,0.0010682+0.00021918i
0.083026+0.047473i,0.057746+0.039572i,0.026654+0.027725i,0.012639+0.015449i,0.0078021+0.0044769i,0.0045186-0.0010624i,0.0021303+0.00062377i,0.0027977+0.0034985i,0.0056547+0.0027911i,0.0052047+0.00047492i,0.0020383+0.00064587i,0.00094602+0.0013669i,-0.00026965+0.00028136i,-0.0025764-0.0013344i,-0.0020168-0.0015711i,-0.0014973-0.0012727i,-0.0029248-0.00068381i,-0.0018844+0.00038146i,0.0006468-0.00083054i,0.0010881-0.002315i,0.0014643-0.002267i,0.0016125-0.0013649i,0.00069159-0.0003922i
0.073823-0.060479i,0.057212-0.039808i,0.0349-0.012545i,0.020202-0.0024072i,0.010316-0.0028173i,0.003813-0.004738i,0.0019562-0.0035608i,0.0034119-0.0021173i,0.0045304-0.0034491i,0.0023196-0.0032406i,0.0012004-0.0015136i,0.0017304-0.00070906i,0.000254+0.00019315i,-0.0010693+0.0015268i,-0.0017539+0.0019585i,-0.0026454+0.0017696i,-0.001635+0.0027212i,6.7539e-05+0.0025455i,0.00035828+0.00047422i,-0.00022516-0.00010672i,-0.00086209+3.5418e-05i,-0.00082031-0.00038631i,-0.00046387-0.0010092i
-0.027362-0.095192i,-0.014153-0.072412i,0.0039572-0.040749i,0.0072647-0.02309i,0.0023776-0.013988i,-0.0015785-0.0065055i,-0.0018189-0.0030537i,-0.00073612-0.0044253i,-0.0011999-0.0051626i,-0.00086231-0.002911i,0.00076499-0.0015848i,0.0011457-0.0019764i,0.001299-0.0010694i,0.0019812+0.00010685i,0.0010515+0.0010014i,0.0011139+0.0027731i,0.0027088+0.0028758i,0.0023696+0.00044975i,0.00047729-5.1452e-05i,-0.0011878+0.00029973i,-0.0026949-0.00031245i,-0.0026498+0.00055913i,-0.0014704+0.0014078i
-0.10278-0.011473i,-0.07869-0.014337i,-0.042108-0.018809i,-0.022067-0.016851i,-0.01257-0.010145i,-0.0063898-0.0042899i,-0.0038038-0.0019956i,-0.0046518-0.0016537i,-0.0054766-0.00076691i,-0.0028419-4.6281e-05i,-0.00058845-0.0012232i,-0.00067967-0.0022148i,0.00028162-0.0027219i,0.0015809-0.0034306i,0.0015973-0.0023143i,0.0025563-0.00030749i,0.00376-0.00078317i,0.0022099-0.0011382i,-0.00020484+0.00034888i,-0.00029947+0.0018001i,-4.4773e-05+0.0021455i,-0.0005226+0.0017716i,-0.00069813+0.0012798i
-0.052891+0.091577i,-0.046379+0.069603i,-0.034692+0.033963i,-0.024975+0.016797i,-0.01553+0.011343i,-0.0067798+0.0065328i,-0.0031404+0.0033753i,-0.0031638+0.0034677i,-0.0021616+0.0046487i,-0.0004765+0.0022705i,-0.00089738-0.00054032i,-0.0025481-0.00024061i,-0.0028867-0.00094357i,-0.0026279-0.0030067i,-0.0021005-0.0031846i,-0.0010631-0.0030138i,-0.0010812-0.0032839i,-0.0017221-0.0026135i,-0.00050411-0.0010095i,0.0013513+0.00018182i,0.0015019+0.0010762i,0.00074579+0.0025169i,0.00078935+0.0024537i
0.063231+0.089187i,0.046929+0.075253i,0.018845+0.050841i,0.0096326+0.03383i,0.01022+0.02091i,0.0079002+0.0088158i,0.0041923+0.0035426i,0.0026772+0.0040808i,0.0039014+0.003816i,0.0026621+0.00050821i,-0.00026887-0.00026185i,-0.0012567+0.001678i,-0.0028801+0.0013053i,-0.0049398+0.00056816i,-0.0039671+0.00078827i,-0.0025242+1.838e-05i,-0.0026338-6.2747e-06i,-0.0015812+0.00062018i,0.0014031-0.00029528i,0.0025654-0.0010959i,0.0024131-0.00081098i,0.0026239-0.00027318i,0.0019452-0.00068164i
0.10731-0.027211i,0.089447-0.0193i,0.056328-0.0013354i,0.036778+0.0033165i,0.025903-0.0029116i,0.014098-0.0073529i,0.0060424-0.0054343i,0.0051462-0.0014068i,0.0052286-0.0016749i,0.0021467-0.0025175i,0.00054808-0.00081737i,0.00098559+0.00030981i,-0.00060165+0.0019474i,-0.001776+0.0044819i,-0.001314+0.0035865i,-0.0021832+0.0027167i,-0.0021867+0.0036015i,-0.00066287+0.0030636i,-0.00023741+0.00011082i,-0.00053841-0.0020584i,-4.5757e-05-0.0023269i,0.00037091-0.0019037i,0.00053472-0.00089726i
