0.00072809+0.00048253i,0.00025616-0.00027824i,0.00024621-0.0010661i,-0.00013643-0.0012435i,-0.001503-0.001671i,-0.0022115-0.00098828i,-0.00082807+0.00061143i,0.0010622+0.0011314i,0.0017314+0.00077495i,0.0017884-0.00038806i,0.00084417-0.00067127i,1.2898e-05-0.00034091i,-1.3164e-05-0.00010145i,0.00039451-0.00029298i,0.00011049-0.00032334i,0.00050066+0.0001223i,0.00039747+0.0005537i,0.00014372+0.00099422i,0.00093494+0.00078892i,0.00063423+0.00057586i,0.00020009-4.6873e-05i,0.00083352+2.1648e-05i,0.00036916+0.000581i
-0.0013667+0.00037564i,-0.00052402+0.0011381i,-0.0009237+0.0016675i,-0.00021626+0.00097893i,0.00059228-0.00051768i,0.00030356-0.0015712i,-0.00032396-0.0011068i,-0.00013278-0.00010794i,0.00057446+0.00041386i,0.00042423+0.00027597i,0.00024162-0.00063162i,0.00059994-0.0014977i,0.00072348-0.0014i,0.00085477-0.0010499i,0.00065669-0.001144i,0.00015917-0.00087817i,0.00032694-0.00096438i,0.00040138-0.00042354i,-0.00052917+0.00050895i,-0.0011724+7.6348e-05i,-0.0012701-0.00048168i,-0.0012434-0.00012189i,-0.00061692-0.0001543i
-0.0015851+0.00056484i,-0.002383+0.0009477i,-0.0025606+0.00068239i,-0.001464-0.00039941i,-0.00022432-0.0011151i,0.00067176-0.0010623i,0.00085902-0.00032299i,0.0008244+0.00039487i,0.0014613+0.00019621i,0.0011547-8.3023e-05i,0.00046086-0.00048479i,0.00020439-0.00077547i,0.00041488-0.00013493i,0.00053421+0.00044428i,0.00026744+0.00074191i,-0.00017095+0.00081496i,-0.00057762+0.00021799i,-0.00024196-0.00039736i,-0.00011101-0.00071096i,1.7984e-05-0.00085959i,0.00027333-0.0005218i,-4.7394e-05-0.00057361i,-0.0003832-0.0004942i
-0.00033814+0.00029712i,-4.356e-05+0.0010966i,0.0014807+0.0022735i,0.0026144+0.0014475i,0.0018235+0.00032144i,0.00058944-0.00049684i,0.0012614-0.0007174i,0.0013779-0.00035297i,0.00037866-7.0858e-05i,0.00031505-0.00035592i,0.00025996-0.0001289i,-0.00021546+6.7266e-05i,-0.00047989+0.00048008i,3.4623e-05+0.00038938i,0.00021286-9.6119e-05i,0.00021416-0.00013238i,0.00024399-0.00072243i,-0.00014012-0.00067118i,-0.00029411-0.00038346i,-0.00038822-0.00093248i,-4.9803e-05-0.00058941i,0.00022948-0.00059971i,0.00052526-0.0004722i
-0.0010745-9.7685e-06i,-0.00055755+0.00077107i,-0.00058967+0.00019781i,-0.0007552-0.0001518i,-0.00068642+1.1863e-05i,-0.001246-0.00041623i,-0.0014423-0.00016889i,-0.00088741+0.00056571i,-0.0005547-0.00011476i,-0.0009137-0.0010467i,-0.00040618-0.0008i,0.00025682-0.0004455i,0.00012782-0.00048282i,0.00061546-8.2026e-06i,0.00018603+0.00082817i,-0.0002835+0.00069635i,0.00018854+5.4632e-05i,-0.00048038+0.00025461i,-0.00065549+0.00036973i,0.00029908+0.0002392i,0.00051022-4.7451e-05i,0.00025064-0.0002935i,0.00028612+0.00023707i
-0.00057192-0.0012704i,-0.00065344-0.00037154i,-0.00054173-0.0002864i,-0.0001928-0.00019144i,-0.00037292-0.00032396i,-0.00017614+1.4257e-05i,0.00051854+0.0001526i,6.589e-05+4.1864e-05i,-0.00071311-0.00026347i,-0.00010519-0.00021023i,0.0008583-3.9098e-06i,0.00050913-0.00046226i,-0.00040612-0.00050784i,-0.00010098-0.00012592i,0.00039925-0.00020779i,0.00052524-0.0003676i,0.00036017-0.00060327i,0.0004903-0.00035853i,0.00045796-0.00043099i,0.00014088-0.00113i,-0.00019595-0.001394i,-7.6717e-05-0.0012349i,6.1308e-05-0.00061732i
0.0017021-0.0014537i,0.0016911-0.00088587i,0.00086226-0.0022446i,-0.00085134-0.002768i,-0.0018827-0.0017207i,-0.0013879-0.00047537i,-0.0003157+0.00017059i,0.00060599+0.00015669i,0.00073677+0.0010146i,0.00021725+0.0016818i,0.00027531+0.00067922i,0.00019171+0.00019269i,0.00047138-3.8178e-05i,0.00036522+0.00018096i,-0.00013403+0.00076873i,-0.00052439+2.6363e-05i,-0.00041758-0.0006405i,-0.00050127-0.00045352i,-0.00038219-0.00027292i,-0.00011767-0.00054023i,-0.00037543-0.00052588i,-0.0007054+0.00018384i,-0.00048031-8.3849e-05i
0.0013787+5.9961e-05i,0.00098405+0.0010126i,7.4454e-05+0.0014272i,-0.00077546+0.00043514i,-0.0010103-0.00020775i,-0.0010418-0.0003288i,-0.00044835+0.00046554i,0.00067534+0.0011399i,0.00063978+0.00047982i,0.00081292-0.0004974i,0.00068221-0.0001958i,6.9468e-05+0.0011096i,-0.00014361+0.001713i,-2.3307e-05+0.00093686i,0.00019644+0.00019174i,-8.0244e-05-0.0002202i,-0.00038909+0.00032248i,-8.695e-05+0.00054366i,0.00078573-8.517e-06i,0.00091803-0.00010374i,0.00043919+6.0278e-05i,0.00021245+0.00039488i,0.0012665-0.00019746i
0.00075483-0.00063507i,9.7028e-05-0.00094745i,-4.3957e-05+0.00013723i,0.00038357-1.137e-05i,0.00041813-0.00052327i,-0.00056152-0.00050456i,-0.00058614+3.1296e-05i,-5.1504e-05+0.00085888i,-0.00057932+0.00066712i,-0.00091046+0.00036934i,-0.00040809+4.8524e-05i,0.00062122-0.00013999i,0.0013996-0.00033062i,0.00081475-0.00039981i,0.00037467+0.00021456i,0.00022644+0.00057621i,-0.00040071+0.00083277i,-0.00017139+0.00064301i,0.00033505+0.00014074i,0.0002486-2.7435e-05i,0.00032985+0.00044554i,-4.4786e-06+0.0005615i,-0.00043768+0.00040311i
-0.0011653-0.0003752i,-0.001907+0.00027195i,-0.0020338-0.00034561i,-0.00097307+2.7343e-05i,5.4117e-05+5.2977e-05i,0.0011127-0.0009236i,0.00069123-0.0012939i,-0.00068466-0.00062225i,-0.00051065-0.00045497i,0.0002929-0.00073898i,0.0007191-5.4412e-05i,0.00089084+0.00018901i,0.0010885-0.00055813i,0.0012177-0.0014791i,0.0011214-0.0010132i,0.0013638-0.00023653i,0.001304+0.00051244i,0.00067692+0.00076947i,0.00068724+0.00075133i,0.00026683+0.00037563i,0.00020602-0.00044391i,0.00038782-0.0004995i,-0.00028532-0.00017924i
0.00016102-5.5801e-05i,0.00022658+0.00020651i,-0.00040771-0.00030236i,5.8001e-05-0.0002845i,0.00078436-0.0009279i,0.00045196-0.00059225i,0.00084754+0.00068336i,0.00061267+0.00085991i,3.1047e-05+0.00017282i,0.00037584-0.00018646i,-0.00012738+6.8835e-05i,-0.00025043+0.0012134i,0.00031572+0.00099643i,0.00056054-8.3151e-05i,0.00049563-0.00052697i,0.000199-0.00016313i,-0.00016018+0.00052068i,-0.00031122+0.00083841i,-0.00058668+0.00077404i,-0.00049642+2.9803e-05i,-0.00026577-0.0007773i,-0.00055614-0.0012478i,-0.00046034-0.00057466i
0.001146-4.9238e-05i,0.0022324-0.00052813i,0.0020487-0.00088642i,-5.0771e-05-0.0011944i,-0.0015785-0.00076557i,-0.00089465-0.00022781i,0.0005324-0.00028187i,0.0011896-0.00023026i,0.00042981-9.8697e-07i,-0.00075723+0.00067655i,-0.0011213+0.00084728i,-0.00053539+0.0012388i,-0.00026443+0.0011718i,-0.00010753+0.00030983i,-3.7187e-05-0.00036054i,-0.00018948-0.00060002i,0.00034675-0.00070157i,0.0010369-0.00052496i,0.00013293-9.2688e-05i,-0.00052274+2.7801e-05i,2.5873e-05+0.00024996i,-0.00018269+0.00022736i,-0.00019618-0.00020607i
0.0029614-0.0026976i,0.0012874-0.0029469i,-0.0020923-0.0037645i,-0.0037483-0.0025002i,-0.0033691-0.00052442i,-0.0014248+0.0004697i,0.00043672-0.00017943i,0.0003186-0.00031218i,-0.00059023+2.6124e-05i,-0.00045354-0.00039826i,8.3031e-05-0.00046683i,6.3985e-05-0.0003242i,-0.00012163+0.00025258i,6.1946e-06+0.00081346i,0.00044673+0.00084386i,0.00035485+0.00044469i,-0.00048371+0.0010455i,-0.00037361+0.0011483i,0.00031398+0.00064823i,1.7803e-05+0.00036729i,0.00010349-5.0658e-05i,0.00063303-0.00022007i,8.6998e-05-0.00065699i
-0.0013144-0.00079395i,-0.00083403+0.0012737i,-3.596e-05+0.0020858i,0.0012787+0.0016623i,0.0013901+0.0008191i,0.00018758-2.2383e-05i,-0.0002521-0.00064186i,0.00032121-0.00077412i,8.4787e-05-0.0008779i,-0.00027515-0.00017864i,-0.0010568+0.00070247i,-0.0012919+0.0011507i,-0.00040918+0.00069658i,0.00037741-0.00040914i,0.00042363-0.00075302i,-0.00025899+0.00014741i,-0.00035102+0.00051256i,-0.00031307+0.00059285i,-0.00069153+0.00070576i,-0.0012134+0.0007989i,-0.0013329+0.00054519i,-0.00035555-0.00028071i,0.00052054-0.00074012i
-0.00097553-0.0019098i,-0.0014042-0.0011018i,-0.0011237-0.00042525i,-0.00095074+0.00050639i,-0.00016549+0.00078265i,0.00042822+0.00029423i,7.4389e-05+0.00051987i,-0.00035452-0.00044771i,3.5915e-05-0.0012144i,0.00014206-0.00076768i,-0.0003715+4.2419e-05i,-0.00048299+0.00012458i,7.9972e-05-0.00045403i,2.571e-05-0.00062978i,-2.933e-05-0.00080707i,0.0002681-0.00055667i,0.00023105-0.00027978i,-1.7312e-05+4.6829e-05i,-1.6722e-05+0.00051506i,1.7775e-05-0.00021187i,7.1301e-05-0.00028516i,0.00044327+0.00064702i,0.00081896+0.0008616i
-0.00045963+0.0012997i,-0.00085367+0.0013367i,-0.0009664+0.0012965i,0.00043645+0.00037029i,0.001315-0.00043537i,0.001362-0.00094251i,0.0011035-0.00074807i,8.2636e-05-0.00029674i,-0.00055286+3.3905e-05i,-0.00071071+0.00034872i,-0.0010662+0.00032279i,-0.0011803-0.00010582i,-0.00055998-0.00020987i,-1.2986e-06+1.7332e-05i,-0.00072771-0.0002791i,-0.0011432-0.00079486i,-0.00036647-0.00071904i,0.00027834-0.00048745i,6.1251e-05+6.3379e-05i,-5.2575e-05+0.00044235i,-3.4522e-05+0.0002185i,-5.178e-05-0.00017136i,-3.0256e-05-0.00046245i
-0.0023394+0.00028261i,-0.0020149+0.00021934i,-0.00075097+0.001353i,-2.9554e-05+0.00092267i,0.0009857-5.3571e-05i,0.0019805-0.0005903i,0.0014979-0.00074033i,0.00059035+0.00028329i,0.00045482+0.0010071i,0.00081728+0.00062835i,0.0011404+2.845e-05i,0.00090673-4.0858e-06i,0.00012027-0.00017613i,0.00019261-0.00033953i,0.00040945-0.00044672i,0.0004843-0.00040663i,0.0012575+5.4824e-05i,0.0012695+0.00018717i,0.00024306+0.00033719i,-0.00021915+0.00061661i,-0.00033475+0.00053073i,-0.00042106+0.00050626i,0.00010467+0.00054629i
0.00076755-0.00065587i,-0.0007303-0.00058673i,-0.00072144-0.00095233i,-0.00093279-0.0012165i,-0.0010999-0.0010331i,-0.00063377-0.00019875i,0.00025942-0.00012876i,0.00090782-0.00032552i,0.00068298+0.00025366i,-0.00031799+0.00072339i,-0.0012334+0.00070617i,-0.00087516-0.00035291i,6.7499e-05-0.00061007i,-0.00015331+0.00010015i,-0.00059123+0.00011407i,-0.00090545-8.3497e-05i,-0.0013577-0.00036349i,-0.00069261-0.00048795i,6.4341e-05-0.00042329i,-0.00035727-0.00065777i,-0.00066891-0.0010666i,-0.00040478-0.00053525i,-0.00021375+0.00036427i
-0.0015361-0.00022447i,-0.0019296-0.0015556i,-0.0015427-0.0018048i,0.00035649+5.858e-05i,0.0013626+0.00083945i,0.00099343+8.0219e-05i,0.0012136-0.00039511i,0.001172-0.00041451i,0.00065384-1.3167e-05i,0.00043793+0.0004564i,0.0003517+0.00019342i,6.1664e-05-4.2495e-05i,-0.0001173-0.00024489i,-0.00010188+0.00014994i,-4.858e-05+0.00095331i,-0.00074186+0.0003927i,-0.00091771-0.0002083i,-0.00018291+0.00035479i,9.5448e-06+0.00064123i,9.81e-05+0.00039994i,0.00014229+0.00043144i,-1.8637e-05+0.00021579i,6.4225e-05-0.00020717i
0.00023516-0.00038349i,0.00034316+0.0013553i,0.00031612+0.0018099i,0.00046262+0.0013038i,-0.00015786+0.00024042i,-0.00067173-0.00011562i,-0.00030022+0.00015685i,-0.0002623+4.2606e-05i,-0.00036204-2.4065e-05i,-0.00031215-0.0008277i,-0.00030298-0.00092389i,-0.00038347-0.00019224i,-0.00063021+0.00023345i,-0.00061276+0.0002264i,-0.00020895+0.00078333i,-0.00021906+0.00050507i,-1.659e-05+0.00025453i,0.00023669+0.00039366i,1.8445e-05+0.00029648i,-0.0005311-0.00017795i,-0.00082767-0.00034294i,-0.00064179+9.3752e-05i,0.00037264+0.00040566i
-0.0011294+0.0011033i,-0.0016808+0.0010459i,-0.00083152+0.0016227i,-6.1196e-05+0.0018407i,0.00013803+0.00056673i,-0.00025724-0.00043024i,-0.0001754-2.3315e-05i,0.00021002+0.00039056i,-0.00024195+0.00030747i,-0.0004192+0.0003684i,0.00013817+0.00052761i,0.00079274+0.00067619i,0.00086642+0.00068073i,-8.3565e-05+0.00069121i,-0.00056956+0.0006392i,-0.00030053+0.00056081i,-0.00024678+0.00013606i,-0.00017168-3.9585e-05i,-0.00010469-0.00029887i,-0.000463-0.00083905i,-0.00028419-0.0007216i,1.3821e-05-0.00038551i,-0.00060892-3.8487e-05i
-0.0005562+0.0010469i,0.00035476+0.0016186i,0.00083014+0.0018005i,0.001104+0.0016356i,0.0010622+0.00094805i,0.00068463+0.00025737i,-2.9997e-06+0.00032301i,-0.00022038+0.00058719i,-0.00038503+0.00085856i,-0.00065783+0.00071566i,-0.0005607-5.5485e-05i,-0.00057443-0.00013357i,-0.00050585+0.00019637i,0.00027455+0.0002455i,0.00033098-0.000456i,-0.00014026-0.00050739i,-0.00029756-0.00049051i,-0.00013962-0.00085797i,6.4954e-05-0.00048484i,-0.00021395-0.00061767i,-0.00013715-0.00087394i,-0.00062762-0.00067756i,-0.00019837-0.00019281i
-0.00032707+0.0005808i,-0.001463+0.00058212i,-0.0011016-0.00029729i,0.00014861-0.0015603i,0.00039903-0.0025622i,-0.00011607-0.0023435i,-9.631e-05-0.001339i,-0.00011048-0.00032619i,-0.0004176+0.00059974i,-0.00047902+0.00098455i,-0.00051616+0.00077465i,-0.00052445+0.00068607i,-0.00026824-1.5646e-05i,0.00061243+0.00014126i,0.00093753+0.00044638i,0.00054261-0.00012607i,0.00015249-0.00010785i,2.3868e-05-0.0001186i,-0.00035628-0.00064392i,-0.00057793-0.00032152i,-0.00067669+0.00020335i,-0.0003009-0.00013627i,0.00057244-1.3976e-05i
0.0022098-0.00084093i,0.0019183-0.00072104i,0.0013193-0.00022698i,0.00033088-3.3429e-05i,4.6253e-05+0.00045819i,0.00014611+0.00061893i,0.00079909+4.6969e-05i,0.00075483+8.2046e-05i,0.00019229+5.6389e-05i,-0.00014458-0.00090917i,-1.9018e-05-0.00098086i,0.00063163-2.9073e-05i,0.00039817+0.00051369i,-0.00015974+0.00065891i,-0.00019347+0.00023577i,-0.00033452+0.00013681i,6.0006e-05+0.00030405i,-0.00039289-7.9169e-05i,-0.0011425-0.00054503i,-6.9927e-05-0.00079081i,0.00070742-0.00063783i,0.00032525-0.0011294i,0.00030799-0.0010639i
-0.0013593+0.0021474i,-0.0024542+0.0023928i,-0.0025339+0.0022306i,-0.00021602+0.00077223i,0.0017771-0.0011117i,0.00087123-0.0017603i,3.458e-05-0.00096497i,0.00023148-0.00041391i,0.00030693-0.00030365i,-2.2141e-05-0.00053876i,-0.00040422-0.0011736i,0.00045136-0.0013442i,0.0013594-0.0012889i,0.0013173-0.00060427i,0.00048151+2.2548e-05i,0.00020474-6.6246e-05i,4.7722e-05+8.9734e-05i,-0.00029027+0.00050268i,-0.00020162+0.00067347i,0.000174+0.00041101i,7.9775e-05-0.0004059i,-0.00015892-0.0012863i,0.00031863-0.00072193i
0.00027236+0.0014194i,0.001068+0.0014942i,0.0026-0.00020133i,0.0027342-0.0018198i,0.0010267-0.0016681i,-0.00049438-0.00070342i,-0.00080184-0.00036193i,-0.00062659-0.00015879i,-0.0001+0.00030774i,0.00050603+0.00029263i,6.786e-05-0.00043431i,-0.00039657-0.00027649i,0.00022549-9.7381e-06i,0.0004433-0.00035076i,-8.9475e-05-0.00094227i,0.00028097-0.00084222i,0.00080455-0.0008605i,0.00047807-0.0012499i,7.1208e-05-0.00071398i,-0.00018864-7.4871e-05i,0.00044648+6.4959e-05i,0.0012447+2.0946e-05i,0.001194-0.00028445i
0.0017767-0.00047476i,0.0012152-0.00093601i,1.2849e-05-0.0018653i,-0.00034743-0.0014131i,-0.00079232-0.00018643i,-0.0010121+0.00026945i,-0.00048578+0.00053483i,-0.00037707-0.00010015i,-0.00076996-0.0012316i,-0.001295-0.00092969i,-0.0020876-0.00074626i,-0.0015229-0.00019552i,-0.00051866+0.00064982i,-2.8e-05+0.00045239i,0.00033294+0.00027072i,-0.00016454-0.00022135i,-0.00052719+2.7996e-05i,0.00026551-0.00038828i,0.0005196-0.00095431i,-0.00019492-0.00051749i,-7.7996e-05-0.00025278i,-2.2156e-06+0.00017064i,-0.00036174-1.6221e-05i
0.00155-0.00021024i,0.0011638-6.4282e-05i,0.0015922+0.00011094i,0.002253-0.00040063i,0.00085896-0.00056185i,-0.0010338-7.3705e-05i,-0.0013505+0.00040181i,-0.00064759+0.0004394i,0.00034272-0.00013506i,0.00046055+7.6011e-05i,0.0001884+0.00020625i,5.204e-05-0.0002937i,-0.00040592+4.4363e-06i,-0.00031768+0.00041139i,0.00018994+0.00038568i,0.00017426-0.00049065i,6.3854e-05-0.0008387i,0.0005389+7.7758e-05i,0.00018062+0.00014428i,-0.00020849-0.000123i,0.00010609+0.00023542i,-5.735e-05+0.00046723i,-0.00010842+0.00015579i
0.0040418-0.0010825i,0.0043226-0.0012317i,0.0028838-0.0035723i,0.00012815-0.0041766i,-0.0022903-0.0026416i,-0.0031547-0.00072592i,-0.0023313+0.00016285i,-0.00123+0.0001835i,-0.00056483+0.00039334i,-0.0008304-0.00030813i,-0.00025554-0.00068294i,0.00056611-8.3133e-05i,1.5341e-05+0.0011381i,0.00057963+0.0018755i,0.00099292+0.00076516i,0.00029644-0.00039477i,1.6245e-05-0.00062283i,-0.00013441-0.00074808i,0.00020951-0.00074708i,1.2995e-05-7.6318e-05i,-0.00024265+0.00040417i,0.00038456-7.2163e-05i,0.00067549-9.664e-05i
-0.010601+0.0024439i,-0.014288+0.003958i,-0.010619+0.011022i,-0.0012991+0.011415i,0.005862+0.0070964i,0.0066178+0.00061345i,0.0026227-0.0023071i,0.0012474-0.00059517i,0.001049+0.0016648i,0.0018946+0.002458i,0.002722+0.0010238i,0.0016196-0.001003i,-0.00016664-0.0016869i,-0.00058074-0.001633i,-0.00011643-0.001617i,-0.00050143-0.00035539i,-0.00017953+0.00098261i,0.0008029+0.0012956i,0.00058932+0.0010318i,0.00021784+0.00030632i,9.0722e-05-0.00056143i,-0.0002945-0.00087174i,-0.00017002-1.9227e-05i
-0.0034991+0.0027047i,-0.0032861+0.0033924i,-0.0014056+0.0055459i,0.001907+0.0047816i,0.0033646+0.0021175i,0.002508-0.00019275i,0.0013227-0.0012921i,0.00032184-0.0011651i,-0.00030445-0.00045442i,-0.00041761-0.00096639i,-0.00017063-0.0015038i,-0.00062281-0.0013395i,-0.0005931-0.0012012i,-0.00028807-0.00094524i,-0.00042111-0.0002932i,-0.00010152+0.00041802i,0.00063643+0.00060323i,0.00055081+0.00047933i,0.00013208+0.00044835i,4.1725e-06+0.00024571i,-2.1484e-05+0.00023496i,-0.0003931-0.00052067i,-0.00034193-0.00082885i
0.0016257-0.00079162i,0.0005199-0.0017709i,0.00043031-0.0014865i,0.000725-0.002256i,0.00055405-0.0018076i,0.00086684-0.00061834i,0.0015457-0.0002624i,0.0016764-7.483e-05i,0.001739-0.00020816i,0.00092148-0.00024299i,-0.00017113+7.2121e-05i,-0.00074397+3.3751e-06i,-0.0008916-3.8534e-05i,-0.00091279+0.00016108i,-3.2092e-05+9.0789e-05i,0.00067621+0.00020622i,0.00036714-2.6594e-05i,-4.2301e-05-0.00041219i,-0.0001415-0.00058241i,0.00038225-1.6401e-06i,9.2717e-05+0.0008959i,-0.00055283+0.00085328i,-0.00042988+0.00036912i
-0.0032773+0.0017366i,-0.0027733+0.0021925i,-0.0011455+0.0034242i,0.0016072+0.0030372i,0.0025824+0.00076455i,0.0018079-0.0016596i,0.00035052-0.0018875i,-0.00033167-0.0011166i,0.00029235-0.00067089i,0.00079834-0.00049831i,0.00074723-0.0004946i,0.00057925+5.9464e-05i,0.00053978+2.5366e-05i,0.0011634-0.00026735i,0.0011322+0.00013876i,-3.4755e-05+0.00038133i,-0.00044901+1.599e-05i,-0.00025677-0.00063925i,5.6824e-05+0.00020341i,0.00058552+0.0013151i,0.00035802+0.00053341i,-0.00043379-0.00029178i,-0.00072359-0.00042469i
-0.00078427+5.1882e-06i,-0.0024032-5.9389e-05i,-0.0011941+0.00077588i,0.0010284+0.0003664i,0.0010078-0.00076808i,-0.00067073-0.001293i,-0.0013702-0.0012135i,-0.0002897-0.00090291i,0.00038672-0.00021676i,0.00030226+0.00015435i,0.00059122+0.00029731i,0.000812+0.00017281i,0.00018612-0.00047208i,-0.00071061-0.0013045i,-0.00026026-0.0010368i,-0.00014618+0.00035598i,-0.00054841+0.00037203i,-0.0002892+7.138e-05i,0.0002574+0.00014083i,0.00040829-0.00036265i,0.00013013-0.00036605i,0.00025755+0.00028185i,-9.062e-05+0.0004238i
2.6941e-05-0.0011349i,0.00045031-0.0010045i,0.0007898-0.0020197i,5.3561e-05-0.0018054i,-6.808e-05-0.00094057i,-0.00031862+0.0001025i,-0.00032609+0.00021089i,4.73e-05+0.00011276i,6.1643e-05+0.00014801i,-0.00015598+1.5089e-05i,-8.3346e-05-0.00019808i,0.00035924-0.00034949i,0.00095236+2.081e-05i,0.001233+6.4888e-05i,0.0013213-0.0001323i,0.0010317-0.00052006i,8.3547e-05-0.00013701i,-0.00042377+0.00017198i,0.0004462-0.00031108i,0.00089713+0.0003901i,0.00050922+0.00066732i,9.2788e-05+0.00020165i,0.00023543-0.0003063i
-0.0020678+0.0036001i,-0.0041737+0.0033553i,-0.0035947+0.003151i,7.5339e-05+0.001714i,0.0019461-8.8875e-05i,0.00055599-0.001564i,-0.00057494-0.0024954i,-0.00056149-0.001833i,0.00044349-0.00050133i,0.0015315-0.00027062i,0.0016485-0.00067575i,0.00050289-0.00087528i,-1.4043e-05-0.00095261i,0.00033721-0.00096113i,0.00011807-0.00044967i,-0.00031779+0.00021425i,-1.6685e-05+0.00033303i,2.5e-05+0.0004324i,0.00054821+0.00037999i,0.00047008+0.00031427i,-0.00032888-1.6177e-05i,-0.00073105-0.0006392i,-0.00063079-0.00099729i
-0.0010461-0.00049856i,-0.00056526+0.00091503i,0.00082057+0.0034263i,0.0019047+0.0032263i,0.0023148+0.0017332i,0.00089361+0.00035109i,-0.00084359-0.0004785i,-0.00088747-8.0987e-05i,-0.0011853+0.00057205i,-0.0015463-0.00033316i,-0.00096947-0.0017136i,-0.00065605-0.0007612i,-0.00030216+0.00025019i,-0.00023551-0.000381i,-7.8679e-05-0.00019522i,0.00060743+0.00053059i,0.0010988+0.00076836i,0.00069335+0.00061098i,0.0002314+0.00011769i,0.00072869+9.1304e-05i,0.00075116-0.00026204i,-1.2667e-06-0.00014731i,-7.3389e-05-0.00010663i
0.0022439+0.0005222i,0.0014864+0.0024i,0.00096663+0.00032677i,0.0016513-0.0020451i,0.0016618-0.001783i,0.00052912-0.00049042i,0.00012763+0.00066827i,0.00022488+0.00055872i,0.00069324+0.00013085i,0.000795-8.6932e-05i,0.00019982-0.00021946i,-0.00063562+0.00032387i,-0.00081944+0.0011419i,-0.00027923+0.0015304i,0.00059272+0.0015596i,0.00089629+0.0005959i,0.00027255-0.00073255i,2.4618e-05-0.00076741i,0.00050848+0.00022608i,0.00032323+0.00024809i,1.8219e-05-0.0001926i,5.0011e-05-0.00020322i,0.00021119+0.00038805i
-0.0007949-0.0012337i,-0.00062417-0.00081258i,-0.00064184+0.0001979i,-0.00067667-6.9595e-05i,-0.00048748-0.0013583i,9.9666e-05-0.0020434i,0.00069323-0.0013343i,0.00078375-0.0010654i,0.00049061-0.00075776i,0.00033771-0.00031812i,0.00062926-8.4051e-05i,0.0007062+0.00020048i,-0.00010831-0.00010797i,-0.00043338-0.00037035i,-0.00047291+0.0003893i,-0.00069371+0.00064075i,-5.0071e-05-0.0003192i,0.00051378-0.00065374i,0.00074481-0.00045121i,0.00094522-0.00060156i,0.00089417-0.00088915i,0.00084927-0.0002944i,-0.00026449+0.00041037i
0.0026597-0.00031358i,0.0035817+0.00046244i,0.0026394+0.00010557i,0.001126-0.00051961i,-0.00058206-0.0011221i,-0.0013724-0.0011324i,-0.0013919-0.0010194i,-0.0012343-0.00070748i,-0.0017762-0.00017719i,-0.0013533-0.00016099i,-0.00038129-0.00051993i,0.00027143-0.0010219i,0.0006544-0.00086946i,0.00031182-0.0011411i,0.00048046-0.00080912i,0.00051769+0.0011072i,-0.00015221+0.0013367i,-0.00070929-2.3961e-05i,-0.00054787+7.9542e-05i,0.00034807+0.00077101i,0.00029824+0.00071242i,-0.0002438+0.00029191i,-0.00034199-0.00013502i
-0.001783+0.00042435i,-0.0026273-0.00068901i,-0.0026084-0.00091513i,-0.00065795-0.00015096i,0.00038968+0.00053084i,0.00019678+4.9303e-05i,0.00011762-0.00058735i,0.0001276-0.00075512i,0.00053607-0.00013553i,0.00056857-0.00018885i,0.00087621-0.0010214i,0.0012091-0.0007642i,0.00036593-5.9847e-05i,3.1202e-05-4.4365e-06i,-0.00016657+0.00015747i,-0.00082843+0.0014616i,-0.00087339+0.0015456i,-0.0005614+0.00038474i,-0.00082085+0.00022062i,-0.00067435+0.00073442i,-0.00016699+0.0014133i,0.00010728+0.0011661i,0.00076895+0.00055557i
0.0019236-0.0017809i,9.003e-05-0.00068628i,-0.00079176-0.00016623i,-0.0014418-0.00026744i,-0.0013961-0.00024138i,-0.0013985+0.00029513i,-0.0014525+0.00012136i,-0.00037794-9.4914e-05i,0.00027631+0.00028114i,-0.00030604+0.00015577i,-0.00094117+0.00058223i,-0.001204+0.00082714i,-0.0011033+0.00036944i,-0.0012944-0.00014086i,-0.00097254-2.5288e-05i,-6.4805e-06-0.00021326i,0.00015406+0.00029291i,0.00039045+0.0010812i,0.00065858+0.00081663i,0.00054422+0.0001331i,0.00039252-0.00083941i,0.0004335-0.0011351i,0.0005844-0.00026355i
-0.00095254-0.00053214i,-0.0011972+0.0008853i,0.00015955+0.0016851i,0.0016104+0.00029357i,0.0019198-0.0010233i,0.00089003-0.00032703i,0.0001699+0.00099803i,0.00035976+0.0010425i,0.00052026+0.00011024i,0.00035088-0.0006633i,-0.00016199-0.00032748i,-0.00059409+0.00038962i,-0.00089149+0.00074065i,-0.00087337+5.0533e-05i,-0.00097171-0.00078728i,-0.0011236-0.0006734i,-0.00046808-0.00011006i,-0.00058113+0.00025324i,-0.00093424-0.00039315i,-0.0010134-0.00063167i,-0.00089974-0.00086349i,-0.00051605-0.0013679i,-0.00033995-0.0010792i
