0.0025111+0.00071462i,0.0030935+0.00017743i,0.0032211+0.00077608i,0.0021105+0.00065892i,-2.4442e-05+0.00077486i,-0.0022604+0.0022653i,-0.001019+0.0027038i,0.0012537+0.0019106i,0.0014385+0.00075678i,0.00033124-0.0002972i,-0.00065418-0.00058511i,-0.0010021-0.00069867i,-0.00068694-0.00065749i,-0.0006301-0.00071553i,-0.0002816-0.00069812i,0.00022086-0.00012861i,0.0010365-0.00024845i,0.0012616-0.0011597i,0.00058434-0.0012249i,0.00036884-0.00043316i,0.00043764-5.5756e-05i,2.69e-05-0.00054735i,-0.00067745-0.00014789i
0.00074424+0.0017872i,0.0011556+0.001675i,-0.00034024+0.0019471i,-0.00097008+0.0028144i,0.00038481+0.0023322i,0.0007471+0.001382i,-8.5144e-05+0.0012825i,-0.00028887+0.00084379i,1.346e-05+0.0010797i,6.283e-05+0.00035162i,-0.00060902-0.00039965i,-0.00073634+0.00014037i,-2.9223e-05+0.0004319i,0.00041204+0.0001154i,0.00087639+0.00015716i,0.00092083+0.00054081i,0.00022948-0.00013875i,0.00011466-2.0578e-06i,-6.2686e-05+0.00049786i,-8.9295e-06-0.00022983i,0.00065582-0.0007331i,0.0011816-7.9026e-05i,0.0012157+0.00022847i
-0.00053989-0.0017057i,-0.00088839-0.00021301i,-0.00022263+0.001357i,-0.00059989+0.0021532i,-0.0013916+0.0020743i,-0.0013085+0.0011676i,-0.0010249+0.0005019i,-0.00016578-0.00018944i,-5.3464e-05-0.0008649i,-1.5151e-05-0.0004755i,-8.5478e-05-0.00035551i,-0.00078897-0.00082044i,-0.00082922-0.00080426i,-0.00062236-0.00046928i,-0.00088014-9.7497e-05i,-0.00064536+0.00051243i,5.2108e-05+0.00062091i,-0.00018053+0.00036913i,-0.00081969+0.00085225i,-0.00094505+0.00091349i,-0.0002656+1.6571e-05i,0.00039826-0.00031019i,5.1304e-05-0.00037447i
-0.00084176+0.00065038i,-0.00038188+0.0015188i,-0.00032437+0.0030192i,-0.00021385+0.005135i,-0.00066021+0.0051882i,-0.00028559+0.0036268i,0.00046582+0.0021044i,0.00049411+0.00024071i,-0.00022205-0.00039182i,-0.00058051+0.00010351i,-0.00051407+0.00039353i,-0.00055182+0.00035708i,-0.00042882+0.00074033i,-0.00020988+0.0011047i,0.00042826+0.00079434i,0.00086861+0.0005686i,3.0141e-05+0.00019781i,-0.00022063-0.0004885i,-0.00026937-4.1588e-05i,-0.00036429+0.0010221i,9.1618e-05+0.0017718i,0.00010148+0.0014962i,8.6389e-05-0.0002723i
-0.00062151-0.00018773i,-0.0011441+0.00028834i,-0.00075725+0.0014928i,-0.00075124+0.0028074i,-0.0014214+0.0036816i,-0.0017174+0.0029548i,-0.0016421+0.001204i,-0.0011486-0.00033185i,-0.00058006-0.0014207i,-0.0010945-0.0013685i,-0.0020226-0.0015005i,-0.0025532-0.0010837i,-0.0023157+0.00040602i,-0.0013333+0.00082034i,-0.00077403+0.00040769i,-0.00063348-3.8955e-05i,-0.00031428-0.00029423i,-0.00052172-0.00070575i,-0.00028132-0.00091689i,-1.4095e-05-0.00035055i,-6.1396e-05+0.00042028i,0.00031946+0.00047896i,0.00023538+3.578e-05i
0.001372+0.001492i,0.00077328+0.0011288i,0.00042686+0.0014808i,0.00051584+0.0025777i,0.00012017+0.0034033i,-1.2828e-05+0.0031154i,-0.00013151+0.0026186i,-0.00056354+0.0019708i,-0.0011701+0.00096511i,-0.0011498+0.000377i,-0.00052551+0.00059257i,-4.8597e-05+0.00042151i,9.1602e-05+0.00027983i,-4.4662e-05+0.00028743i,-3.8374e-05+0.00060242i,8.0105e-05+0.00088688i,-0.00017727+0.00062324i,-0.00074805-0.00033414i,-0.00032925-0.00068892i,-8.6686e-05+0.00016978i,1.2552e-05+0.00067966i,-7.0284e-05+0.00010738i,-0.0003037-0.0012262i
0.0015409+0.0018355i,0.0013173+0.0014039i,-0.00075093+0.0017015i,-0.0013639+0.0020153i,-0.0015011+0.0018552i,-0.0014231+0.0019045i,-0.00073353+0.0020227i,-0.00013012+0.0017039i,-8.8253e-05+0.00078782i,-0.00089978+0.00016755i,-0.0012258+0.00050362i,-0.00059292-9.4003e-05i,-0.00014436-0.00079106i,-0.000405-0.0012495i,-0.00050791-0.0011402i,-0.00057447-0.00084663i,0.00021018-0.00076376i,0.00046747+0.00039707i,-0.00024533+0.0014164i,-0.00056167+0.00044675i,0.00018191-0.00056223i,0.00011988-0.00033396i,5.812e-05-0.0001192i
0.00062064+0.0012389i,7.1436e-05+0.00079507i,0.00055014+0.0020814i,0.00098013+0.0035619i,0.0003359+0.0025967i,0.00028993+0.0018735i,8.8463e-05+0.0016464i,0.00032899+0.0013012i,0.00051061+0.00099991i,-0.0007676+0.00068783i,-0.0011506+0.00021843i,-0.00085762-0.00069458i,-0.00091064-0.00097549i,-0.00072086-0.00087978i,-7.3504e-05-0.00059547i,0.00021292-8.8996e-05i,0.00011342+0.00016078i,-0.00022258+0.00047126i,-0.00023973-6.3753e-05i,-9.2863e-05-0.00077475i,0.00045748-0.00098787i,0.00065639+1.5166e-05i,-0.00031036+0.00075754i
-0.0021095+0.00054231i,-0.0027023+0.00028812i,-0.0018616+0.0015944i,-0.00013167+0.0036037i,0.0006126+0.0041663i,-0.0002333+0.002967i,-0.00091687+0.0016111i,-0.00063528-5.1962e-05i,0.00035198-0.00068533i,0.00018986-0.0003952i,-0.00062269-0.00045463i,-0.0014111+0.00018471i,-0.0013824+0.00049377i,-0.00053744+0.00062054i,-0.00033472+0.0004789i,-0.0007917-0.00016886i,-0.00090909-0.00023239i,-0.0005329-0.00014949i,-0.00067108-0.00050598i,-0.00062236-0.00056183i,6.8152e-05-0.00034243i,0.00076317-9.7029e-05i,0.00021597-5.3929e-05i
0.00067031+0.0019954i,0.00067223+0.0020076i,0.0015885+0.0033034i,0.0022461+0.0034827i,0.0015315+0.0026352i,-0.00020178+0.0029457i,-0.0014829+0.0021259i,-0.00094989-0.00028604i,-0.00096266-0.0017204i,-0.00059456-0.0018709i,0.0005873-0.001296i,0.00092216-0.00029019i,0.00037593+0.00049336i,0.00061637-0.00010559i,0.00069746-0.00041022i,-6.8995e-05-0.00026529i,-0.00027498-0.00073114i,-0.00042905-0.00043202i,-0.00048317+3.4221e-06i,-0.00016754+8.4076e-05i,0.00046417+0.00064111i,0.00047433-0.00019839i,0.00053063-0.0013968i
-0.00015341+0.0011115i,-0.00033601+0.00065251i,-0.00046272+0.00090095i,-0.00057475+0.0025438i,-0.00099506+0.0032302i,-0.0013316+0.0024598i,-0.0017613+0.0013837i,-0.0013539+0.00077121i,-0.0013622-0.00035044i,-0.0013879-0.0013706i,-0.00020846-0.0010568i,0.00056304-7.8657e-05i,0.00025642+0.00020482i,0.0001563-0.00037565i,0.00020652+0.00016383i,-0.0005167+0.00065306i,-0.0010638-0.00065469i,-0.0010091-0.00088654i,-0.0003954-0.00022058i,-7.4834e-05-1.1516e-05i,-7.3923e-05+0.00037666i,0.00016583+0.0010242i,0.00013604+0.0010961i
0.001237+0.0016695i,0.00076728+0.0016255i,-0.00021843+0.0025625i,-0.00053662+0.0028057i,-0.00028594+0.0020804i,-0.00037778+0.0018463i,-0.00039225+0.0023723i,-0.00061485+0.0020674i,-0.0006997+0.0015727i,-0.00090865+0.0011677i,-0.0013335+0.00010332i,-0.0012762-5.9206e-05i,-0.0016315+0.0002046i,-0.0016515+0.00020095i,-0.00052245+0.0003289i,0.0003258+0.00019663i,0.00065214-9.1571e-05i,0.00057414-0.00030724i,-0.00065109-0.00050603i,-0.0013462-0.00037899i,-0.00064543-6.2106e-05i,-0.00068232-4.5373e-05i,-0.00038427+0.00019005i
-0.00054209+0.0016905i,0.00031916+0.00076738i,-0.00023285+0.0018724i,6.5621e-05+0.0030503i,-0.00038069+0.003649i,-0.001262+0.0024038i,-0.0012614+0.00088297i,-0.00029389+0.0012693i,0.0010166+0.0010742i,0.00095946+0.00013566i,-0.0003147-0.00011741i,-0.00073269-0.00034605i,-0.00039479-0.00030815i,-0.00065321+3.8012e-05i,-0.00081713+0.00073251i,-0.00038496+0.00034624i,-3.3954e-06-0.00032426i,0.00026798+0.00024023i,-0.00036724+0.00063234i,-0.00068879+3.0971e-05i,-5.7063e-05-0.00037935i,3.5466e-05-4.8806e-05i,-0.00022036-0.00010483i
-0.00081837-5.5702e-05i,-0.0014705+0.0010606i,-0.0016034+0.0032764i,-0.00024813+0.0054247i,0.00021213+0.0058245i,-0.00043411+0.0044767i,-0.00076151+0.0029234i,-0.00057588+0.0010433i,0.00087201-2.8975e-05i,0.00083589+0.00059417i,-0.0006883+0.00053433i,-0.0011334+5.7301e-05i,-8.3948e-05+0.00037516i,0.00050679+0.00056049i,5.5069e-05+0.000315i,0.00069115+8.3469e-05i,0.0012111-0.00054508i,0.00048754-0.0010727i,-0.00021449-0.00060731i,-0.00094602-0.00013718i,-0.00049117-0.00023099i,0.00067536-0.00036222i,0.00083591-0.00012531i
8.7622e-05+0.00024708i,-0.00060563-0.00043221i,-0.00079582+0.0002053i,-0.00050166+0.0014405i,-0.00029032+0.0020395i,-0.00023519+0.0028234i,-0.00048271+0.0026243i,-0.00027406+0.00062751i,-0.00014173-0.0010556i,-0.00043139-0.00083303i,-0.00011312-0.0006251i,0.00052436-0.00045659i,0.00037608+0.00031928i,-0.00019164+0.00036771i,-8.1127e-05-0.00010611i,-0.00051813+0.00040852i,-0.0014741+0.00092893i,-0.0014397+0.00060991i,-1.988e-05+0.00040713i,8.5542e-05+0.00046897i,-0.00017874+0.00045651i,0.00053133+0.00055097i,0.0007137-1.2527e-05i
0.001682-8.8641e-06i,-3.579e-05+0.00065449i,-0.001872+0.0022071i,-0.0019445+0.0039178i,-0.0012634+0.0036273i,-0.0013595+0.0017946i,-0.0016121+3.5725e-05i,-0.0013047-0.00052517i,-0.00090609+9.19e-05i,-0.00068464-0.00022653i,-0.00058546-0.001194i,-0.00087092-0.00097431i,-0.00038438-0.0002302i,0.00019996+0.00018189i,-0.00049014+0.00061446i,-0.00032825+0.00057435i,0.00029659-2.3158e-05i,-0.00021501-4.6605e-05i,-0.00071751+0.00027379i,-0.0003441+0.00028235i,0.00089006+6.123e-05i,0.001136-0.00010149i,9.9452e-05-0.00046842i
0.00019123+0.0043676i,0.00092722+0.0032089i,0.0015589+0.0029428i,0.00097974+0.003487i,-3.5801e-05+0.0030065i,-0.00064021+0.0020289i,-0.0012616+0.0021418i,-0.0016449+0.0021768i,-0.0012005+0.0014836i,-0.00069669+0.00082813i,-0.00059127-0.00017381i,-0.00038371-0.00090487i,-0.00075584-0.00054668i,-0.00091171+7.8473e-05i,0.00022048+0.00034923i,0.00089621+3.6884e-05i,0.00069097-9.8592e-05i,-0.00052325+0.00044048i,-0.0013509+0.0010194i,-0.00047497+0.00062611i,-2.6931e-05+6.8357e-05i,-0.00033297-0.00020547i,-0.0002058-0.00032557i
0.0018388+0.0014544i,0.00057305+0.0012509i,-0.00043828+0.0014606i,-0.00094476+0.0020276i,-0.0016598+0.0023632i,-0.0014644+0.0013382i,-0.00075659+0.00051304i,0.00030929-4.045e-05i,0.0012087+5.1402e-05i,0.001299+0.00069355i,0.00036016-0.0003047i,-0.00074661-0.0010318i,-0.0017292-0.0002204i,-0.0015685-0.00028448i,-0.0004909-0.00091764i,-0.0002007-0.00064791i,-0.00086199-0.00048972i,-0.00091117-0.00056988i,-0.00035579+3.2422e-05i,0.00010082+0.00099928i,0.0007961+0.0012007i,0.00076255+0.00070444i,-0.00050384+0.00011813i
2.1306e-05+0.003963i,0.00054978+0.003468i,0.0014191+0.0039554i,0.0018072+0.0045877i,0.0018797+0.0039408i,0.00067286+0.0028545i,-9.0922e-05+0.0014106i,0.00030836+0.00058701i,0.00023197+0.00037208i,-0.00024118+0.00072599i,-0.00059274+0.0011135i,-0.0007534+0.00038157i,-8.8237e-05+0.00027732i,0.00043277-0.00044436i,0.0001137-0.0011054i,-0.00062993-0.00026754i,-0.00082986+0.00010081i,-0.00087396-0.00048195i,-0.00027169-0.00047238i,0.00086541+0.0001335i,0.00051034-0.00016312i,0.00033928-0.00058469i,0.00018891-0.00029883i
0.0016096-0.00038255i,0.00017903-0.00039255i,-0.0012321+2.5953e-05i,-0.00097479+0.00097058i,-0.0011092+0.0011768i,-0.0010026+0.0011861i,-0.00047421+0.00086307i,0.0003051-7.8798e-06i,0.00035015-0.00029044i,-8.6008e-05-0.00011188i,-0.00034248-0.00028617i,0.00017216-0.00055304i,0.00053292-0.00030035i,0.00063827+1.816e-05i,0.00059981+0.00012108i,-0.00030474+0.00033867i,-0.0010567+9.6459e-05i,-0.0001999+3.1961e-06i,0.0012683+0.00022955i,0.0011133-6.5353e-05i,0.00037485+7.1449e-05i,0.00010385+0.00072422i,-0.0002524-0.00037151i
-0.0028076+0.0010342i,-0.002932+0.0014097i,-0.0027507+0.0040706i,-0.0018764+0.0060123i,-0.00061243+0.0042785i,-0.0004024+0.0029344i,-0.00063307+0.0025096i,-0.0001418+0.0012986i,5.547e-05+0.00029974i,-0.00024752-0.00031562i,-0.00013279-0.0010956i,-8.8708e-05-0.0010448i,0.00011243-0.00076881i,0.00068628-0.00078414i,0.00047873-0.00020534i,0.0002242+0.00010807i,3.4385e-05+0.00032899i,-5.3423e-05+0.00023944i,-0.00043296-0.00036723i,-0.00019541-0.00026352i,0.0005399+0.0003047i,0.00040357+0.00051878i,-0.00058665+0.00021282i
-0.00054804+0.00056449i,-0.00094635+0.00028386i,-0.0013043+0.00094821i,-0.0010043+0.0028714i,-0.00011917+0.003538i,-0.00050201+0.0030075i,-0.0015517+0.0019689i,-0.0012058+0.0008385i,-0.00019824+0.00054854i,0.00018092+0.0001713i,-0.00039403-0.00086878i,-0.0011343-0.001033i,-0.0015684-0.00061177i,-0.0014183-3.1483e-05i,-0.00060288+5.1427e-05i,-3.6954e-05+0.00016494i,-4.9206e-05+0.00028748i,-0.00036803+0.00046945i,7.4282e-05+0.00021407i,0.00056907-0.00065883i,0.00049274-0.00045747i,0.00044388-0.00047815i,0.00019003-0.00097541i
0.0004354+0.0010126i,6.6657e-05+0.0010934i,-0.00095543+0.002773i,-0.0014512+0.0044888i,-0.0019245+0.0045067i,-0.0020519+0.0031318i,-0.0010791+0.0018002i,6.5972e-05+0.00050999i,7.9701e-05-0.00042188i,-0.00081678-0.0003285i,-0.0012615+0.00031887i,-0.00057652+0.00051744i,-0.00049967+0.00017592i,-0.00043625+5.9763e-05i,0.00014969-0.00035259i,0.00056236-0.00023135i,0.00085486-0.00017116i,0.00054456-0.00045091i,0.00020198-2.8097e-05i,-1.514e-06-0.00012661i,0.0001907+8.8883e-05i,-7.0571e-05-3.9881e-05i,-0.00070068-0.00091368i
0.0025969+6.2329e-05i,0.00037257-0.00014799i,9.7448e-05+0.00039662i,-8.6739e-05+0.0015864i,-0.00090417+0.0023576i,-0.00075786+0.0028266i,-0.00064751+0.0024739i,-0.00037088+0.00084232i,-0.00017881-0.00083765i,-0.00029984-0.0023685i,-0.00061844-0.0019184i,-0.0011047+1.7776e-05i,-0.00078198+0.00012765i,-0.00040071-0.00021209i,-0.00031643-0.00018414i,-6.9503e-05-0.00034672i,-0.00018036-0.00016399i,-0.00014002+0.00072515i,-0.00054315+0.00084599i,-0.00024276+0.00036465i,-2.5949e-05+0.00054797i,-0.00012699+0.0003328i,5.0273e-06-0.00037321i
-0.00030946+0.0010565i,-0.0010648+0.001431i,-0.00091632+0.0019375i,0.00024364+0.0034466i,0.00061552+0.0042364i,0.00033937+0.0028908i,-0.00036523+0.0015001i,-0.00072435+0.00095501i,-0.00099259+0.00091917i,-0.0014488+0.001128i,-0.00080827+0.00076349i,0.00070417+9.049e-06i,0.000435-0.0005337i,-9.2252e-05-0.00033676i,0.00042885+0.00011669i,0.00032189+0.00024553i,-0.00012107+0.00018552i,0.00035844+3.9903e-05i,0.0012122-5.1421e-06i,0.00078825+7.0752e-05i,0.00060569-0.00016854i,0.0007309-0.00033043i,0.00020133+0.00013065i
-0.0017373+0.0019534i,-0.00079416+0.0015155i,-0.00049511+0.001005i,-0.0013439+0.0015368i,-0.0008866+0.0023451i,-0.00025935+0.0029013i,-0.00026538+0.0025679i,0.0003518+0.0019193i,0.0010901+0.0015836i,0.00068161+0.00075716i,6.3561e-05+0.00038998i,-0.00062414+0.00012242i,-0.00048135-0.00064064i,0.00047447-0.00064999i,0.00045643-0.0006835i,0.00057943-0.00032863i,5.3677e-05+0.00011946i,-0.00061566+4.2004e-05i,-0.00069476+0.00010146i,-0.00025703-5.0256e-05i,0.00082093-6.622e-05i,0.00045453-4.0071e-05i,-0.00018231+0.00015996i
0.00051646+0.0014308i,-0.00017615+0.0012119i,-0.00085158+0.0012436i,-0.00059251+0.0022118i,-0.00099593+0.0031475i,-0.0013779+0.0025445i,-0.00078744+0.0019122i,0.00080143+0.0013667i,0.0016498+0.00059926i,0.00097333-0.00034577i,-0.00024911-0.0010271i,-0.00085317-0.00078783i,-0.00048192+0.00031318i,0.00048892+0.00080435i,0.00062112+0.0013078i,-0.00019599+0.0017635i,-0.00069805+0.00092598i,-0.00039321-4.2052e-05i,0.0003222-0.00037444i,0.00039534+0.00036673i,0.00017062+0.0006574i,0.00034026+0.00028589i,0.00032778-0.00023753i
-0.00074939+0.001581i,0.00095186+0.0022639i,0.00089424+0.0026013i,0.00021529+0.0034668i,5.1775e-05+0.0040409i,-0.00040609+0.0033415i,-0.00056917+0.001791i,0.00035709-0.00057724i,0.0002846-0.0018847i,-0.00041346-0.0016455i,-0.00043548-0.00027172i,-0.00065172+0.00063084i,-0.001469+0.00095276i,-0.001378+0.00099952i,-1.5557e-05+0.000341i,0.00034468-0.00012456i,0.00013696-0.00016144i,0.00046633+6.8142e-06i,0.00021649+0.00023439i,-0.00030712-1.0316e-05i,-0.00013625-0.00021084i,1.4968e-05-0.00013405i,-0.00019519+0.00059838i
-1.9595e-05+0.00049977i,-0.0012665+0.00044682i,-0.0014376+0.0012055i,-0.00022597+0.0025313i,-0.00040206+0.002595i,-0.0010461+0.0019103i,-0.001566+0.0011446i,-0.0014256-6.1026e-05i,-0.00061147-0.0004891i,-0.00029151+0.0005168i,0.00018953+0.00050889i,0.00031305+0.00042386i,-8.98e-05+0.00050641i,5.9479e-05-0.00020132i,-0.00014176+0.00019719i,-4.0247e-05-0.00014142i,-0.00027022-0.00046529i,-0.0010394+0.00017496i,-0.00060904+0.00052994i,-0.00017746+0.00061183i,0.00036162+0.00013949i,0.0013915+0.00038458i,0.00083905+0.00063572i
-0.0028813+8.7697e-05i,-0.0030623+0.00081996i,-0.0036974+0.0020791i,-0.0024501+0.0042247i,-0.0014931+0.0047924i,-0.0013328+0.0035142i,-0.00099244+0.0027642i,-0.0013666+0.0026426i,-0.0016862+0.0015377i,-0.00096765+0.00072466i,-0.00022931+0.00054816i,6.4861e-05-2.1752e-05i,0.0002076-0.00022197i,0.00032937+0.00015728i,0.00035035+0.0009425i,-0.00016815+0.00070804i,-0.0007937-0.0002137i,-0.00065914-0.00034832i,0.00014813-0.00036201i,-1.0859e-05-0.00065596i,-0.00013442-8.7352e-05i,2.4646e-05+0.00070567i,-0.00026413+0.0003624i
0.0016886-0.0017465i,0.00011006-0.00020357i,-0.0013803+0.0015359i,-0.0019774+0.002521i,-0.0023506+0.0023137i,-0.0019984+0.0022357i,-0.0003842+0.0023833i,0.00072437+0.0020241i,0.00033449+0.0015725i,-0.00045623+0.00060263i,-0.00087229-0.00038125i,-0.0015953-0.00080553i,-0.0015283-0.00068747i,-0.0011125-0.00036063i,-0.00057181+0.00020319i,0.00026776+0.00071528i,-0.00038366+0.00070625i,-0.0008891+0.0009771i,-0.00078169+0.00093232i,-0.00091301+6.8639e-05i,-0.00039863-0.00063406i,0.0002466-0.0002004i,0.0003324+7.6095e-06i
0.0017742+0.00018211i,-0.00039128+0.00083294i,-0.0014679+0.0014688i,-0.0016864+0.0028365i,-0.0019282+0.0032063i,-0.0024297+0.0020677i,-0.0016977+0.0019564i,0.00051861+0.001613i,0.0019928+0.00028356i,0.0018308-0.0005683i,0.00071155-0.00036586i,-0.00020505+0.00025587i,-0.0007372+0.00069404i,-0.00082186+0.0010839i,-0.00085042+0.00087659i,-0.00097735+0.00015625i,-0.00032358-0.00041532i,0.00045288-0.0002812i,0.00013125-4.0899e-05i,-0.00042809+0.00022782i,-0.00011359+3.6454e-05i,0.00058033-0.00014813i,0.00021161-4.8194e-05i
0.0011039-0.00054358i,-4.2047e-05+0.00011918i,-0.00147+0.00081448i,-0.0015609+0.0026659i,-0.001132+0.0035721i,-0.0013482+0.0024301i,-0.001145+0.00072893i,-0.00041124-0.00094165i,0.00030163-0.0021404i,-0.0002238-0.0016557i,-0.00097996-0.00079311i,-0.0013803+0.00011063i,-0.0018266+0.00029804i,-0.0020053-1.0015e-06i,-0.0013348-0.00070054i,0.00066879-0.0009112i,0.0015309-0.00011509i,0.00054623-0.00077923i,0.00029332-0.0016957i,-6.7892e-05-0.0008378i,-0.00010703-0.00038817i,0.00028311-0.0004346i,-0.00027576-6.824e-05i
4.5895e-06+0.0014766i,-0.0012236+0.0020953i,-0.0012998+0.0031329i,-8.2076e-05+0.0023324i,0.00062237+0.0012893i,-0.00027863+0.0014946i,-0.00094867+0.0012652i,-0.00075422+0.00025419i,-0.00090636-0.00056557i,-0.00063847-0.0010946i,0.00011071-0.0012364i,8.6312e-05-0.00067218i,-0.00021903-0.00060343i,-0.00012436-0.00097248i,-0.00016738-0.0013531i,-0.00037838-0.00063479i,-0.00054509-0.00011151i,-0.00047896-0.00036643i,0.00025083-0.00034887i,0.00045751+9.9812e-05i,0.00042462-0.00011805i,0.00011271-0.00033431i,-0.00011065-0.00050646i
0.0023236+0.0015887i,0.00069969+0.002154i,-0.00034572+0.0023528i,-0.0012189+0.0028454i,-0.0020802+0.0034944i,-0.0022303+0.0027712i,-0.0013474+0.0021993i,-0.0010067+0.0021244i,-0.0015093+0.0015708i,-0.0019949+0.0010975i,-0.0020509+9.7556e-05i,-0.001295-0.0014798i,-0.00075558-0.001775i,-0.00048841-0.00047935i,-0.0010995-0.00024493i,-0.0015712-3.9844e-05i,-0.00069923+0.00041182i,0.00038771-0.00024442i,0.000431-0.00028372i,-0.00050479+0.00053993i,-0.00082498+0.0009909i,-7.4866e-05+0.00094103i,-0.00012413+0.00022896i
-0.0013179+0.00067648i,-0.0013642+0.0013456i,-0.0018023+0.0036514i,-0.00069579+0.0049075i,0.00034096+0.0047i,5.6092e-05+0.0039853i,-0.00021655+0.0022156i,0.0006787+0.0012867i,0.0010704+0.0017804i,0.0009117+0.0019176i,8.3583e-05+0.00043523i,-0.00049521-0.001223i,-0.00071703-0.00080026i,-0.0010359+0.00065076i,1.7766e-05+0.00079593i,0.0018895-3.6301e-05i,0.0021497-0.00040852i,0.0010691-6.9776e-05i,0.00063635+0.0002219i,0.0010117+0.00054519i,0.00081383+0.00056667i,0.00046331+0.00017151i,0.00079429-0.0003738i
0.0015005+0.0019115i,0.0010858+0.0020002i,-4.3786e-05+0.0032454i,-0.0012157+0.004251i,-0.0015001+0.0032545i,-0.0015067+0.001736i,-0.00053942+0.0016046i,0.0011334+0.0011136i,0.0024216-0.00024925i,0.0021571-0.0012207i,0.00046414-0.0013558i,-0.00064528-0.001092i,-0.00068619-0.00015619i,-0.00043213+0.00093376i,-0.00017217+0.00052825i,0.000146-6.9189e-06i,-0.00012195+0.00014925i,-0.0010722-0.00027247i,-0.0013274-0.00070562i,-0.00071561-0.00054127i,0.00012801-4.9452e-05i,0.00070723+0.0003167i,0.00022462+0.00056243i
-0.00057551+0.0019488i,-0.00092849+0.0015444i,0.00014247+0.001691i,0.0012043+0.0027408i,0.00032005+0.0031662i,-0.0010273+0.0020275i,-0.0015749+0.0014361i,-0.0012909+0.00061621i,-0.00043549-0.00090368i,-1.9947e-06-0.0014364i,-0.00033361-0.00080741i,-0.00022221-0.0003115i,-0.00051901-0.00046079i,-0.0011348-0.00082935i,-0.00069107-0.00079011i,0.00013244-0.001076i,0.00027313-0.0011475i,0.0004154-0.001583i,8.1648e-05-0.0019765i,0.00010342-0.00098085i,0.00084159+1.1892e-05i,0.0012854-7.8684e-06i,0.00035786+7.3619e-05i
-0.00037916+0.0024325i,0.00025495+0.0031623i,6.3718e-05+0.0042241i,0.00046835+0.0045608i,0.00028537+0.0039942i,-0.0006506+0.0035946i,-0.00094571+0.0039211i,-0.00054542+0.002531i,-0.0014786+0.00032029i,-0.0026996-0.00085147i,-0.0024677-0.00073748i,-0.0011886-0.00011303i,-0.00011494-0.00035534i,-0.00033484-0.00083539i,-0.0010882-0.00055458i,-0.00051059-2.9058e-05i,0.00016441+0.00084089i,-2.953e-05+0.00088266i,-0.00031567-0.00011125i,2.2406e-06-0.0007716i,0.00096087-0.00097372i,0.00077245-0.00044502i,0.00031055+0.00015354i
-0.00043805+9.8533e-06i,-0.00087617+0.00010704i,-0.0014938+0.0014437i,-0.0015506+0.0031795i,-0.00080834+0.0044054i,-0.00055561+0.0041157i,-0.00090308+0.0027415i,-0.00045012+0.0021194i,-0.00080942+0.0020119i,-0.001703+0.0019538i,-0.0016124+0.0014403i,-0.0010669+0.0005621i,-0.00081936+0.00024912i,-0.00098412+0.00050234i,-0.00059579+0.00086949i,0.00017813+0.0009392i,-7.8167e-05+0.0011326i,-0.0006447+0.0014971i,-0.00096793+0.00090961i,-0.00069778+0.00056615i,-0.00046439+0.00071152i,-0.00064783+0.00073016i,-0.00052963+0.00077101i
-0.0016236+0.0010825i,-0.0014382+0.00067866i,-0.0014782+0.0016201i,-0.0012354+0.0039506i,-0.0010974+0.0044721i,-0.00038719+0.0034916i,0.00018086+0.0024237i,0.00089606+0.0016896i,0.0014067+0.0019717i,0.00074017+0.0020408i,0.00042833+0.00083182i,-0.00015932-0.00034158i,-0.00082176-0.00031143i,-0.00036653-6.6761e-05i,0.00065845-0.00039763i,0.00043711-0.00038573i,-0.00021051-0.00042082i,0.00040475-0.00063328i,0.00038643-0.00037567i,0.00067267-0.00047189i,0.00097189-0.00040697i,8.1801e-05+0.00044587i,-0.0010353+0.00074108i
0.0016145+0.0025421i,0.00064805+0.0019121i,0.00063163+0.0023737i,0.00057578+0.0041126i,-0.00052678+0.0035164i,-0.0013752+0.0018378i,-0.001535+0.00073967i,-2.4268e-05-0.00013108i,0.0014008-0.0010007i,0.001213-0.0016534i,0.00082759-0.0012267i,-0.00032793-0.00040759i,-0.00098798+3.7188e-05i,-0.00074642-5.5683e-05i,-0.00042887-0.00052658i,9.3068e-05-0.00034465i,0.00084857+0.00020027i,0.00076043+9.0445e-06i,9.7259e-05-4.2495e-05i,0.00014976+0.00021407i,0.00054521+0.0001294i,0.00072194+0.00022096i,0.00015377+0.00050514i
-0.0013768+0.0033612i,-0.002402+0.0028257i,-0.0016416+0.0034275i,0.00077398+0.0032896i,0.0017432+0.0022597i,0.00055438+0.0020348i,-0.0013628+0.001777i,-0.0015416+0.00063142i,-0.0011269-0.0009306i,-0.0012058-0.0022056i,-0.0011702-0.0022782i,-0.00057374-0.0012052i,-0.00060163-0.00025679i,-0.0010577+0.00041457i,-0.00058359+0.00080689i,-0.00087941+0.00040115i,-0.0021379-0.00085714i,-0.0025133-0.00084394i,-0.001616+0.00031463i,-0.00027244+0.00021295i,-0.00011199-0.00080433i,-0.00094896-0.0007879i,-0.0010192-0.00024511i
