-0.0042739+0.0011015i,-0.0036556+0.0015259i,-0.0027752+0.0024364i,-0.0021256+0.0017685i,-0.0020702+0.00095839i,-0.00055764+0.00048832i,0.00092559+0.00018103i,0.0013443+0.00048928i,0.00072938+0.00061552i,0.00063829+0.00024648i,0.00046912-0.00015216i,0.00016543-0.00047924i,-2.0836e-05-0.00086227i,-0.00027818-0.0010149i,0.00021176-0.00072526i,0.00016003-0.00057934i,-0.00042207-1.1436e-05i,-0.001154-0.0003028i,-0.0016802-0.00098966i,-0.0013898-0.001161i,-0.00070798-0.00052829i,0.00042291-0.00013336i,0.0015562+8.3734e-05i
0.00040285+0.0012954i,0.00036585+0.0014785i,0.0012693+0.0003471i,0.00083941-0.0002683i,0.00062197+0.00017444i,0.0015224+0.0014998i,0.001297+0.0020508i,0.00030815+0.001246i,-0.00011154+0.00083738i,-0.00015898+0.00062916i,-0.0009311+0.00053674i,-0.0013692+0.00053777i,-0.0013748+3.5125e-05i,-0.0012781+5.1126e-05i,-0.00087432+0.00035155i,0.00052725+0.00055424i,0.00098837+9.4465e-05i,0.00057611-8.1589e-05i,-0.0007637+0.00037709i,-0.0010357-8.7947e-05i,9.2814e-05-0.00060456i,0.00046966-0.0001169i,4.9842e-06+0.00018285i
-0.0017602+0.0010279i,-0.0019326+0.0011294i,-0.0019872+0.00061857i,-0.0011759-1.5028e-05i,-4.4984e-05-0.00048267i,0.0008312-0.00014715i,0.00173-0.00031487i,0.001264-0.00067908i,-0.00011489-0.00029668i,-0.00033816+4.7938e-05i,0.00025149+0.00013073i,0.00067736-0.00027692i,0.0005824-0.00049558i,0.00073482+9.3222e-05i,0.0011945+0.00027488i,0.00099429-0.00023695i,0.00031055-0.00055298i,0.0002593-0.00034164i,0.00067762-0.00031119i,0.00035314-0.00080655i,0.00011547-0.00034784i,0.00032811+0.000663i,-0.00024038+0.00087811i
-0.00022998-0.00063622i,-0.0017311-0.0013793i,-0.0024837-0.0020146i,-0.002026-0.0014059i,-0.00083023-0.00073181i,-0.00040328-0.00017948i,-0.00078289-2.6843e-05i,-0.00021911-0.00093359i,0.00023644-0.0012122i,9.0317e-05-0.00051666i,7.6971e-07+0.00015086i,0.00020093+0.00038301i,0.0003187+0.00015036i,-0.0004861-0.00079987i,-0.00030211-0.00091927i,0.00060391+5.6813e-05i,-1.9876e-05+0.00056122i,0.00027683+0.00030023i,0.00039355+0.00018068i,-0.00081885-0.00058712i,-0.0004161-0.0011796i,0.00049168-0.00066647i,0.00057548-0.00029823i
-0.00087632-0.00018365i,-0.00049665-0.00029233i,-0.00077508+0.00023787i,-0.0010674+0.00048207i,-0.00016529+0.00063947i,0.0010754+0.0013345i,0.0012698+0.00087401i,0.00057425-0.00025052i,0.00057546-0.00056948i,0.00034147-0.00029408i,3.1673e-05+0.00017934i,-1.4034e-05+0.00021849i,0.00037643+1.5671e-05i,0.00013786-8.8499e-05i,-0.00028804-0.00034937i,-1.9491e-05-0.00065651i,-2.0084e-05-0.00091575i,0.00021481-0.00094477i,0.00033431-0.00058836i,-0.00083042-0.0008088i,-0.0013141-0.0011353i,-0.00071997-0.00084028i,-2.7533e-06-0.00091815i
3.4654e-05+0.00036542i,-0.00026529+0.0001509i,-0.0006988-0.0002992i,-0.00046099-0.0015277i,6.7145e-05-0.0018587i,5.4092e-05-0.00053378i,0.00038917+0.00053289i,0.00075345+0.0003637i,0.00061011+0.00061966i,0.00075294+0.00062199i,-3.0933e-05-0.00025873i,-0.00039913-0.00078335i,-0.0001043-0.0012646i,-0.00083185-0.0012765i,-0.0012884-0.00079842i,-0.00015596-0.00011817i,0.00096865-4.7366e-05i,-4.8989e-05-0.00018179i,-0.0008554+0.00043163i,-0.00042289+0.00044533i,-0.00035364-0.00035211i,-1.5727e-05-0.00050544i,0.00014645-8.471e-05i
-0.00011471+0.00089127i,-0.00053889+0.00081109i,-0.0011293+0.00036606i,-0.00056673-0.00069526i,0.00060414-0.00091034i,0.0010467+0.00014177i,0.00066502+0.00073128i,0.0001676+0.00036238i,-0.00026502-0.00057636i,-0.0011265-0.00060035i,-0.0012817-0.00079036i,-0.0010515-0.0012366i,-0.00083685-0.00056011i,-0.00072686+9.2519e-05i,-0.00033915-0.0001775i,0.00090221-0.00014834i,0.0018476+0.00019186i,0.00087603+5.1073e-05i,1.2004e-05+0.0010015i,-0.00049777+0.0010227i,-0.00027856-0.00015123i,0.00010991-0.00033256i,0.00038014-0.00019111i
0.00050004-0.00044523i,-0.00074917-0.0012017i,-0.0012357-0.0022329i,-0.0017406-0.0010535i,-0.0014021+0.00067946i,-0.0008825+0.0010143i,-0.00052183+0.00039329i,0.0001952-0.00022596i,0.00022431+0.00022379i,-0.00098889+0.00010541i,-0.0015864-0.00047887i,-0.0017845-0.00013253i,-0.0018163+0.00013389i,-0.0015069-0.00023266i,-0.0011116-1.2044e-06i,-0.00030386+0.00021179i,0.00030984-0.00057767i,0.00022494-0.00088784i,0.00037397-0.00080806i,0.00025047-0.00092522i,0.00019067-0.00072256i,0.00026388+0.00049176i,-0.00044195+0.0010091i
0.00018576-0.00062611i,0.0004897-0.0010821i,0.00061412-0.00095637i,-0.00027342-0.00085569i,-0.00052746-0.00045051i,0.0002477+7.676e-05i,0.00084586+0.00078143i,0.00015406+0.00031177i,-0.00032644-0.00086361i,-0.00049752-0.00041674i,-0.0010288+0.00039015i,-0.00093164+0.00019402i,-0.00036972-0.0001948i,0.00018996-0.00028319i,-1.6471e-06+0.00018388i,-0.00033597+0.0003055i,0.00011656+0.00044866i,9.6428e-05+0.00022057i,0.00015016-0.00013742i,9.6699e-06-0.00032935i,4.5144e-05-0.00024505i,8.6405e-05+6.3058e-05i,1.2401e-05-0.00030477i
-0.0013284-0.00046388i,-0.0028829-2.9246e-05i,-0.0030261+0.00023348i,-0.0020538-0.00033538i,-0.001272+0.00025083i,0.00011638+0.0014273i,0.001374+0.00010655i,-0.00014128-0.00068301i,-0.0013635-0.00026361i,-0.0012119-0.00031839i,-0.0010849-0.00077887i,-0.00078306-0.00051081i,0.0004671-2.9898e-05i,0.00076691+5.7275e-05i,0.00091003-0.00032525i,0.0013909-0.00038349i,0.0014146+0.00013839i,0.00073377+0.00017671i,-0.0001985-0.00017253i,-0.00047675+4.498e-05i,1.8295e-05+0.00042674i,0.00088475+0.00093999i,0.00082944+0.0012179i
0.00017532+0.00036368i,0.00075195-0.00042902i,0.00063713-0.0010893i,0.00090085-0.0017148i,0.0019253-0.00174i,0.0016632-0.0010139i,0.00084806-0.00023307i,0.00016738-0.00026662i,-9.1477e-05+6.2342e-05i,0.00047424+0.00095914i,0.00086476+0.00067536i,0.0010478+0.00028717i,0.0011871+0.00037851i,0.00070713-0.0005115i,0.00036562-0.00060937i,-0.00021969+0.00030846i,-6.411e-05+0.0008839i,0.000159+0.00085801i,3.1037e-06+0.00059768i,-0.00064309+0.00011207i,-0.00052234-2.6186e-05i,0.00011063-0.00027282i,-4.8883e-05+0.0001932i
0.0035966+0.00094177i,0.0034355+0.00041442i,0.0019113-0.00060781i,-0.00012881-0.0015994i,-0.00057138-0.0010238i,-0.00045259+0.0005822i,-0.00034808+0.0015306i,0.00076757+0.00057749i,0.0016819-0.0007067i,0.00087586-0.0010016i,-0.0008262-0.0012362i,-0.0010417-0.0014721i,-0.00022005-0.00053382i,-0.00041858+0.00075071i,-0.0012163+0.00036356i,-0.0010104-0.00074105i,4.5147e-06-0.00091043i,0.00060304-0.00048704i,0.00039499+7.0417e-05i,0.00082027+0.00021639i,0.0010606+0.00017893i,0.0002583+0.00013952i,-0.00033493-0.00013703i
-0.00040876+0.0043949i,-0.00044715+0.0035507i,0.00041138+0.0023306i,0.0012931+0.00062905i,0.0015211-0.0014743i,0.000226-0.0019618i,-7.3839e-05-0.0001963i,0.00014298+9.5433e-05i,-0.00024249-0.00039798i,-0.00047939-0.00065257i,-8.8487e-05-0.0010679i,9.4557e-05-0.00069235i,-0.00046952-0.00054093i,-0.00097129-0.0008852i,-0.00083896-0.0013061i,-0.00044433-0.0014227i,-0.00069579-0.00094631i,-0.0011269-0.00019157i,-0.00059373-0.00031298i,-0.00014843-0.0001595i,-0.00063398-0.00047837i,-0.00066384-0.0006683i,0.00042124-0.0009594i
0.0014222+0.0062104i,0.0032397+0.0045336i,0.005828+0.0018286i,0.0059487-0.00092642i,0.0044746-0.0036493i,0.0015945-0.0047051i,-0.0010964-0.0027823i,-0.0012528-0.0010682i,0.00042925-0.00017397i,0.0012526-0.00091357i,0.00043287-0.001727i,-0.00043489-0.0014361i,-0.0013302-0.001452i,-0.0030461-0.0018522i,-0.0034788-0.0013059i,-0.0021473-0.00064438i,-0.00073192-4.0521e-05i,-0.00058317+0.0004249i,-0.00095727+0.00054i,-0.00035952+0.00033737i,0.0010461+0.00013544i,0.0012337+1.2436e-05i,0.00057898-0.00057405i
-0.0021072-0.0077312i,-0.0049421-0.0078012i,-0.0089959-0.0056898i,-0.0083968-0.0021702i,-0.0056404+0.0010914i,-0.00025072+0.0025853i,0.0030715+0.00010171i,0.0028721-0.0021627i,0.0009933-0.0019878i,-0.0013805-0.00048377i,-0.0012475+0.00049365i,0.00043564+0.001241i,0.0022703+0.0016168i,0.004071+0.0016173i,0.0036024+0.0016804i,0.0017374+0.0015068i,0.00038808+0.00040589i,-3.7871e-06+1.4701e-05i,0.00016778-0.00013569i,0.00017012-0.00070446i,-0.00062214-0.00067676i,-0.00074881+0.00035585i,-0.0006392+0.0014066i
-0.00080578-0.0019207i,-0.0023859-0.0022312i,-0.0052466-0.0013634i,-0.0047613-1.4022e-05i,-0.0019539+0.0015044i,-1.911e-05+0.0022035i,0.00041199+0.0012332i,-1.999e-05+7.5335e-05i,5.5975e-05-0.00047921i,-0.00012388+0.00034483i,-0.00059242+0.00085017i,-3.4417e-05+0.0010401i,0.0011795+0.0017896i,0.0020926+0.0012564i,0.0019744+0.00081101i,0.0011845+0.00079268i,0.00046204+6.8215e-05i,-0.00027032-2.542e-05i,-0.00082714-0.00018933i,-0.0004736-0.00020419i,0.00031041+0.00041535i,-9.2328e-05+0.00053254i,-0.00048135+0.00075129i
0.00036534-0.0026855i,0.00021992-0.0029844i,-0.00049065-0.0025933i,-0.00059928-0.0014955i,0.00030318-0.00017075i,0.0015523+0.0006429i,0.0018108+0.00075302i,0.0012399+0.00064055i,0.00036881-3.3701e-05i,0.00014379-0.00032102i,0.00032135+0.00058829i,0.00020233+0.00088134i,0.00044532+0.00019357i,0.0012971+0.00048354i,0.0018828+0.00097975i,0.0017185+0.0011359i,0.0012133+0.00028445i,0.00065767-0.00099744i,0.00061366-0.00099276i,0.00069436-0.00046499i,0.00069166-0.00060614i,0.00051907-0.00034351i,0.00055538+0.00042083i
-0.00089399+0.00015342i,-0.0014195-0.00030813i,-0.0023599-0.00042918i,-0.0026657+0.00029161i,-0.0012071+0.001163i,0.00042374+0.0013323i,0.00090726+0.00059169i,0.0001239-0.00025585i,-0.0003654-0.00029277i,0.00034548+0.00012116i,0.00025248-7.5696e-06i,-0.00075788-0.00029611i,-0.0007413-0.00051416i,-0.00014223-0.0002719i,-0.0002343-0.00014808i,0.00027919-0.00039766i,0.00040074-0.00029293i,7.6957e-06-0.00019884i,0.00024695-0.00043447i,0.00011163+0.00020996i,0.00010377+0.00097975i,0.00027044+0.00040204i,6.7301e-05-4.092e-05i
-0.0016172-0.0010645i,-0.00078633-0.0010457i,-0.00055668-0.00069499i,0.00080134-3.1362e-05i,0.002133+0.00074495i,0.0019792+0.0012062i,0.001691+0.0011631i,0.00086961+0.00033478i,0.0002506+0.00015017i,0.00046123+0.0009602i,0.00018928+0.00074869i,-0.00045155+0.00022489i,-0.00070042+0.00011254i,-0.00045859-0.000375i,-0.00041449-0.00063815i,-0.00037804-0.00032913i,-0.0005809+0.0003621i,-0.00038219+0.0006121i,-0.00012428+0.00063123i,-0.00042595+0.00028599i,-0.0005549-0.0007029i,-0.00031122-0.0010516i,5.1012e-05-0.00046585i
0.00047312-0.0013157i,0.0010216-0.0016884i,0.00043225-0.0025534i,-0.0014529-0.0021609i,-0.0024244-0.00047949i,-0.00073294+0.00071868i,0.0010717+0.00098372i,0.0011263+0.00059467i,0.00019132+0.00022984i,-0.00021929-0.00066957i,1.3966e-06-0.00053589i,-0.0001819+0.00038057i,-0.00045229+0.00018265i,0.00015103+0.00041517i,0.00079548+0.0010919i,0.00044452+0.00098064i,0.00047447+0.00019892i,0.00022742-0.00078979i,-0.00022352-0.00049491i,-6.7832e-05+0.00042051i,0.00021042+0.00034928i,0.00020582+6.2412e-05i,0.00021552+4.2233e-08i
-0.00072242+0.0011175i,-0.0013733+0.00013562i,-0.0020662+0.00017421i,-0.00080387+0.00052436i,0.00032647+0.00095215i,0.00049859+0.0010832i,0.00014655+0.00068567i,1.0759e-05+0.00028896i,2.5884e-05+8.7636e-05i,0.00011666-0.00020433i,0.0002599-0.00050142i,0.00043424-0.00036709i,-0.00010208+7.6293e-05i,-0.00030915-2.3592e-05i,-0.00014235-0.00051867i,-0.00023282-0.0004688i,0.00013557+0.00024749i,0.00076328+0.00065757i,0.00022822-0.0001154i,-0.00030424+0.00023716i,-0.00025827+0.00010103i,0.0001015-0.00029188i,6.8316e-05-0.00035486i
-0.00011389-0.00089398i,0.00027315-0.0013741i,0.00059559-0.001773i,0.00033229-0.0018752i,-0.00045526-0.0014378i,-0.001026-0.00049329i,0.00019362+5.7299e-05i,0.0008638-0.00061322i,0.00094738-0.0014334i,0.0013341-0.0011342i,0.00075047-0.00068953i,0.00025612-0.00060375i,2.3049e-05-0.00053422i,-0.00088419-0.00057615i,-0.0011516+6.5175e-05i,-0.0009324+0.0001231i,-0.00086669+0.00037034i,0.00014117+0.00024713i,0.00068236-0.00029375i,0.00050656+0.00011339i,0.00036549+0.00083369i,0.00020687+0.00024915i,0.00028261+0.00021519i
-0.00068708-9.8832e-05i,-0.0010304-0.0011078i,-0.0018463-0.0020496i,-0.0023083-0.0022468i,-0.0019314-0.0015962i,-0.00051644+0.00029486i,0.00053364+0.00078302i,1.7569e-05+0.00012129i,-0.0013804-0.00023097i,-0.0014327-0.00017906i,-0.00052342+3.4161e-05i,-0.00026371+9.9621e-05i,-0.00057329-0.00028062i,-0.00028515-0.00051739i,-0.00010813-0.00036636i,-0.00041804-2.08e-05i,-0.00035214+0.00027546i,-0.00038166+0.0001821i,-0.00081751+0.0002266i,-0.00045835+0.00058215i,0.00027041+0.00039206i,0.00027929-0.00015346i,-4.9968e-06-0.00037645i
-0.00090755-0.00055968i,-0.0019596-0.00042798i,-0.0013907+0.00042397i,-0.00077232+0.0013839i,-0.00048371+0.001455i,6.7225e-05+0.00099908i,0.0010852+0.00016697i,0.0015019-0.00032578i,0.0004842+0.00037009i,-0.00082254+0.00031497i,-0.0010386-0.00068761i,-0.00017466-0.00014929i,-0.00016855+0.00094263i,-6.5531e-05+0.00035131i,0.00061469-0.00015409i,-7.8828e-05+0.00067572i,-0.00092559+0.00031368i,0.00023714-0.00023427i,0.00056083+0.00055187i,-0.00012693+0.00026515i,-0.00033557+0.0003174i,-0.00022961+0.00013528i,0.00025633-0.00054176i
0.0021306+0.0003455i,0.0030584-0.00077763i,0.0032047-0.0022663i,0.0012648-0.0025039i,0.00017223-0.0011578i,0.0010616+0.0005275i,0.0018679+0.00082948i,0.0018347-3.7252e-05i,0.00070275-0.00090275i,-0.0001474-0.00075205i,-0.00020679-0.00056974i,-0.00068883-0.0002789i,-0.00044064-0.00016428i,3.972e-05+0.00054529i,-0.00069928+0.001172i,-0.0013511+0.0002892i,-0.00077384-0.00040526i,0.00076573-0.00071126i,0.0010317-0.00033718i,0.00077798+0.00019051i,0.0011099+0.00035418i,0.0004133+0.00021111i,-0.00013659-0.00080154i
-0.0020878-0.00091652i,-0.0030724-0.00048645i,-0.004069-0.00084061i,-0.0037219-0.00038862i,-0.001899+0.00085368i,0.00029478+0.0004627i,0.0013894-0.00094099i,0.0010602-0.00092518i,0.00037453-0.00036806i,0.00051517+0.00013634i,0.00018817+0.000827i,-0.00063111+0.00082045i,2.8207e-05-0.00020176i,0.00017738-0.00057998i,0.00020401-0.0002306i,0.00042153+3.9071e-05i,-0.00035279+0.00024062i,-0.0005437-8.4996e-05i,-9.9466e-06-0.0010601i,-2.4366e-05-0.0013553i,0.00023367-0.00055201i,0.00094092+0.00021676i,0.00097079+0.00062318i
8.3791e-06-0.0019475i,-0.00050519-0.0021181i,-0.00071392-0.0028117i,-0.00055551-0.0021613i,-0.00014056-1.7162e-05i,0.0012242+0.0015528i,0.0015931+0.0016035i,0.0010853+0.00080962i,0.00088375-0.00036973i,1.7853e-05-0.0012151i,-0.00022968-0.00072933i,0.00072769-8.7742e-05i,0.0011576-0.00030468i,0.001012-0.00018982i,0.00035345+0.00071969i,2.2993e-05+0.00068767i,0.00060931-3.5007e-05i,0.0007894-0.00021221i,0.0005894-0.00056798i,0.00044118-0.00071198i,-0.00015014-0.00040679i,-0.00075952-0.0001389i,-0.0011702+0.00026372i
0.00050379-0.00044562i,0.00038032-0.0011637i,-0.00071477-0.0025519i,-0.0023563-0.0024505i,-0.0029068-0.00075634i,-0.0015533+0.00010321i,-0.00037267+2.1058e-05i,1.6832e-05+0.00021144i,1.9217e-05+0.00034807i,-0.00027943+0.00023144i,-0.0010776-0.00012148i,-0.0012359+0.00013752i,-0.00054244+0.00076266i,-0.00028659+0.00067505i,-0.0006967+0.0010269i,-0.0007479+0.0010448i,-0.00042015+0.00057772i,0.00023495+9.8239e-05i,-7.3829e-05+7.0286e-05i,-0.00073038-0.0001567i,-0.00091131-0.00041246i,-0.00065044+2.5522e-06i,-0.00042554+0.0002521i
-0.00018227+0.00041329i,0.00038451+0.00071282i,0.0010926+0.00041682i,0.0020776-0.0008363i,0.0022769-0.00063069i,0.0018958+0.0010045i,0.0014469+0.0010599i,0.00080521+0.00042818i,0.00075295+0.00047091i,0.00056475-3.8261e-05i,-0.00043359-0.00047405i,-0.00029812+0.00015882i,0.00012071+0.001141i,-0.00043069+0.0011244i,-0.00041952+0.00043847i,-3.0245e-05-0.00037062i,1.9433e-05-0.00056477i,0.00029451-0.00042361i,0.00054094-1.4993e-05i,0.00046792-0.00021546i,0.00054005-4.1725e-05i,0.0010253+0.00028474i,0.00055666+0.00050477i
-0.0010669+0.00038656i,-0.0011895-0.00085293i,-0.0021351-0.00089878i,-0.0019777-0.0012326i,-0.00058375-0.00083028i,0.00065816-0.00010566i,0.0010014-0.00042783i,0.00048618-0.00053038i,-0.00072401-0.00016309i,-0.0010211+0.00017722i,-0.00028516-0.00025889i,0.00026538-0.00057963i,-0.00040424-0.00030532i,-0.00054194+9.7284e-05i,0.00024316-0.00021308i,0.0004238-0.00075614i,0.00045875-0.00043742i,-0.00017644+0.0001285i,-0.00024609+0.00055952i,-0.00023388+0.00079152i,-0.00050297+0.00069928i,1.9745e-05+0.00068918i,-4.6624e-05+0.00068307i
-0.00019126+0.00066733i,0.00040743+0.00010389i,-0.00018631-0.00019482i,-0.00046307-0.00042116i,-0.00024155-4.9647e-05i,0.00011621+0.00067006i,0.00063847+0.00070268i,0.00016417+0.00057994i,-0.00020252+0.00061362i,-0.00062894+0.00090132i,-0.0013098+0.00077895i,-0.0011573+0.00020917i,-0.00053425-0.00026907i,-0.00061953-0.00047299i,-0.00046052-7.9899e-05i,4.7008e-05+0.00055062i,6.7622e-05+7.7642e-05i,-0.00036856-0.0008943i,-0.00059839-0.00081869i,-0.00015015-0.00051507i,1.5882e-05-0.00039718i,0.000166-0.00036162i,0.00077481-0.00053111i
0.0017769-0.0023388i,0.00011908-0.0023345i,-7.7175e-05-0.0028621i,-0.00053368-0.0026943i,-0.0014425-0.00097578i,-0.00062571+0.0014812i,0.00041264+0.0014615i,8.6014e-05+0.00021706i,-0.00051055+7.5129e-05i,-0.00034994-0.00062698i,-0.00018933-6.6031e-05i,-0.00090529+0.00074034i,-0.00066198+0.00060846i,-0.000251+0.00022302i,-0.00057229-0.00035446i,-0.00015168-0.00023616i,-0.00028137-0.00045054i,-9.3581e-05-0.00066392i,0.00089781+0.00018896i,0.00084432+0.00055065i,0.00047032+7.5484e-05i,9.3234e-05+0.00017354i,0.00018062+0.00021585i
0.00035055-0.00024303i,-0.00079176-0.0016187i,-0.0017081-0.0025753i,-0.00123-0.002445i,-0.00073083-0.0018553i,-0.00069355-0.00014562i,-0.00054454+0.00065632i,6.5881e-05-0.00051054i,0.00010485-0.0010555i,-0.00048956-0.0013146i,-0.00055776-0.00072645i,-0.00044586-0.00018867i,-0.00047717-0.00023931i,-0.00053064+0.00069344i,-0.00025333+0.00073473i,-0.00037823+4.9889e-05i,-0.00081956-0.00095423i,-0.000547-0.0017635i,-0.00029579-0.00072713i,0.00019681+0.00065734i,0.00060269+0.00062853i,0.00035792+0.00073958i,0.00014002+0.0010047i
0.00021382-0.0013522i,0.00099197-0.0015262i,0.001808-0.0021744i,0.0012317-0.0018665i,0.00022779+0.00050736i,0.00023526+0.0011078i,0.00015018+0.00095564i,-0.00048329+0.00080525i,-0.00067984+0.00018079i,-0.00046376+0.00055457i,-0.0010141+0.00051959i,-0.0011161-0.00073557i,-0.0001352-0.0014291i,0.0001896-0.0011027i,-0.0001074-0.00072654i,0.00010574-0.00059451i,8.2441e-05-0.00034599i,0.00029776-9.108e-05i,0.00082061-2.1673e-05i,5.9192e-05-0.00019379i,-0.00080628-0.00023902i,-0.0004591-0.00026254i,-0.00023142+5.1593e-05i
-0.00089494+0.00093132i,-0.0016984+0.00073007i,-0.0017667+0.00064452i,-0.001441+0.00032759i,-0.00025319-5.1592e-05i,0.00029788+0.00070468i,0.00024586+0.0016034i,0.00026702+0.0012744i,0.00010408+0.00040606i,0.00011171-0.00054819i,-0.0003418-0.0011196i,-0.00077441-0.00066248i,-0.00068214-0.00091491i,9.1149e-05-0.0014998i,0.0003369-0.0015774i,-0.00016053-0.0011364i,-0.00067103-0.0012025i,-0.0006894-0.00094996i,-0.00036408-0.00043857i,6.8926e-07-5.0359e-05i,0.00067164+0.0003827i,0.00050111-7.2834e-05i,0.00037865-0.00082854i
0.00069193-0.00034742i,0.0011472-0.0019186i,0.00030327-0.0020289i,0.00046338-0.0020218i,0.00079502-0.001865i,0.00075124-0.0010375i,0.0010282+0.00042686i,0.0019952+8.1505e-05i,0.0021625-0.00086199i,0.00088477-0.00062066i,-0.00044271-0.00039893i,-0.00087227-0.00080031i,0.0001476-0.00068013i,0.00033901-0.00066945i,-1.6418e-05-0.00083185i,-0.00019523+0.00017716i,-0.0013695+0.00092562i,-0.0017027+7.1813e-05i,-0.0008627-0.00054115i,-0.00031813-0.00043026i,0.00022701-0.00030021i,0.00027896+0.00028031i,-0.00043362+0.00076344i
-0.00036889+0.00044387i,0.00056331+0.00044967i,0.00096418+8.0002e-05i,0.00057701-0.00015801i,0.00078843+0.00035191i,0.0012146+0.00050656i,0.0011371+0.00042855i,0.0011579-0.00012911i,0.00068511-0.00022108i,0.00052153+7.195e-05i,0.00032639-0.00061651i,-0.00066089-0.00078979i,-0.0010695-0.00011844i,-0.00035494+0.00046223i,0.00057546+2.3339e-05i,0.000573-0.0010019i,9.4423e-05-0.00099398i,2.6558e-05+6.9675e-05i,0.00062619+0.00028236i,0.0011058+0.00065954i,0.00030946+0.0013547i,-2.8859e-05+0.0013921i,9.9256e-05+0.00095833i
-0.0012004+0.00012358i,-0.0022599-6.5866e-05i,-0.002651-0.0011785i,-0.0011491-0.0011328i,-9.1929e-05-0.00030306i,0.00051158-1.3436e-05i,0.0010228+6.5657e-05i,0.00045263-0.00024085i,-0.00021424+0.00017569i,-0.00060223+0.00054454i,-0.00077321+9.5834e-05i,-0.00031594-0.00060254i,4.3769e-05-0.0005988i,3.3645e-05-0.00036601i,-9.7091e-05-0.00075448i,0.00029453-0.00047277i,0.00024486+0.00015606i,-0.00023113+0.00034693i,1.8522e-05+0.00031904i,0.00047153+0.00022114i,0.00032821+0.00049325i,-9.2329e-06+0.00070347i,-0.00013947+0.00024698i
0.00014332-0.0018239i,0.00086239-0.0033647i,0.00016584-0.0031464i,-0.0011127-0.0015484i,-0.00049492+0.00078952i,0.0013807+0.0025738i,0.0019002+0.0022628i,0.0014844+0.00081535i,0.00050483-0.0003351i,-0.00044039-0.00026119i,-0.0010606-0.00022614i,-0.00046707-9.9706e-05i,0.0005387-0.00040643i,0.00022626-0.00068843i,-5.2928e-05-3.7629e-06i,-0.00011652+0.00010042i,-3.1582e-05-0.0002426i,4.5763e-05-0.00014705i,0.00016622-0.00017788i,0.00013287+0.00015734i,0.00029229-0.00011041i,0.00076074+8.3132e-05i,0.00075853+0.0010605i
-1.5351e-05+0.00036463i,-0.00048439+0.00039819i,-0.0023155-0.0001488i,-0.0023133-0.0007132i,-0.0013145-5.7466e-05i,9.6059e-05+0.00098695i,0.0013454+0.0011953i,0.0013098+0.0010189i,0.00029233+0.00037244i,-0.00096652-0.00023694i,-0.0014427+0.00071537i,-0.001109+0.0010131i,-0.00071217+0.00032683i,-0.00040488-1.2158e-05i,0.00028143+0.00021698i,0.00011331-0.00017255i,-0.00042177-0.00042917i,-7.7572e-05+0.00060169i,7.6318e-06+0.00013395i,1.8055e-05-0.00031028i,-0.00012239-1.0165e-05i,-0.00046774-0.00045645i,-0.00032087-0.0004187i
0.001108-0.00022827i,0.00093359-0.001719i,0.00032138-0.0020121i,0.0010602-0.0018733i,0.0011136-0.0012299i,-0.00043384-0.00023562i,-0.0014445+0.00016117i,-0.00067117-0.00027935i,0.00040559-0.00040239i,1.7685e-05-0.00047177i,-0.00049816-0.000864i,-0.0001248-0.0010234i,0.00031262-0.00056353i,-4.7751e-05+1.5761e-07i,-0.00026516+0.00012088i,-2.2061e-05+0.00053102i,0.00018439+0.00072228i,0.00068771+0.00018896i,0.0005586+0.0006173i,-0.00037269+0.0010004i,-0.00075226+0.00011849i,-0.00048404+6.9375e-05i,0.00029389+0.00049499i
-0.0013709+8.2575e-06i,-0.00052866+0.00030959i,-0.0010878+0.00020973i,-0.0023235-1.2628e-05i,-0.0020915+0.0001275i,-0.00050163+0.00021102i,0.00059789+0.00011708i,0.0010844-0.00054603i,0.00048567-0.0011603i,-0.00064507-0.00065362i,-0.0013372+0.00030132i,-0.0010058+0.0010575i,4.6473e-05+0.00058434i,0.00086019+1.7656e-06i,0.001192+1.8629e-05i,0.00089842+4.7262e-05i,0.00058975+0.00039002i,-0.00033924+0.00042513i,-0.0014289-0.00050928i,-0.00080479-0.00075518i,-0.00025844-1.8079e-05i,-0.00094522+0.0010582i,-0.00089154+0.00071377i
-0.0023115+0.00053591i,-0.0014398+0.00068174i,6.9662e-05+0.0008757i,0.00095894+0.00010369i,0.0010781+6.4783e-05i,0.001294+0.00054841i,0.0009179+0.00025479i,0.00036412-0.00012401i,0.00059202+0.00040861i,0.00020415+0.00028208i,-0.00028025-4.0694e-05i,-0.00066908+0.00016132i,-0.00063753+0.00018117i,0.00031756+4.1599e-05i,0.00068215-0.00040824i,-2.4683e-05-0.00087085i,0.00022586-0.00086519i,0.00089157+4.8304e-06i,0.00044508+0.00032394i,-2.5469e-05+0.00010467i,-0.0004397+6.3769e-05i,-0.00047422+0.00010215i,-0.00012319+0.00089822i
