0.0019432-0.00016545i,0.002631-0.0018042i,0.00023609-0.002814i,-0.0017982-0.0025433i,-0.0022236-0.0016996i,-0.0022755-0.00016644i,-0.00060932+0.0017052i,0.0014074+0.0022422i,0.0027003+0.0010476i,0.00195-7.9439e-05i,0.00024031+7.2591e-05i,-0.00033998-0.00034427i,-0.00071867-0.00056377i,-0.00105-2.5185e-05i,-0.00083809+0.0001421i,-0.00083592-0.00024112i,-0.0009225-0.00024336i,-0.00056376+0.00030869i,-0.00032817+0.00012044i,-0.00023895+0.0003348i,-0.00017459+0.0011071i,-0.00050288+0.00077793i,-0.00065191+9.8893e-05i
0.00071196-0.0025609i,-1.6193e-05-0.003102i,-0.0018341-0.0026458i,-0.0024224-0.0011781i,-0.0011071+0.00011445i,0.0012277+0.0010061i,0.0029007+0.001406i,0.002387+0.00098876i,0.00177-0.00042491i,0.00057604-0.0013593i,-0.00099163-0.0012567i,-0.00041715-0.00056647i,-0.00027061-0.00067653i,-0.00099311-0.00095378i,-0.00094036-0.0006861i,-0.00058491-7.2588e-05i,-0.00014565-0.00044297i,-5.9087e-05-0.00056401i,-0.00011368+0.0002191i,-0.00012451-0.00017986i,-0.00034445-0.00075938i,-0.00032805-0.0007274i,-0.0001788-0.00013209i
0.0016408-0.0018902i,-0.0005115-0.0024464i,-0.0022676-0.0022478i,-0.0018276-0.00060685i,-0.00078347+0.00029726i,0.00027217-0.00032787i,0.0015571-0.00038251i,0.0015552-0.00045999i,0.00065999-0.00076486i,-0.0005179-0.00087796i,-0.0019249-0.00057831i,-0.0016819-0.00064935i,-0.00023713-0.00031711i,0.00044272+0.00086001i,-5.128e-05+0.00050258i,-0.0010128-0.00030468i,-0.0013456-0.00079008i,-0.00061075-0.00043177i,-0.00063488+0.00010489i,-0.00044942-0.00034821i,6.9115e-05-0.00061743i,-0.00029643-0.00025216i,8.4631e-05-0.00051125i
-0.00032305-0.0015705i,-0.00084916-0.0026015i,-0.0010496-0.0018281i,8.8548e-05-0.0016364i,0.0014657-0.001859i,0.0016655-0.0023041i,0.0010432-0.0017517i,-0.00027236-0.00036853i,-0.00089703-0.00021318i,-0.0010384+0.00024038i,-0.0015703+0.0014992i,-0.0018075+0.0019884i,-0.0011159+0.0014174i,-0.00083771-2.2794e-05i,-0.0013614-0.0010034i,-0.0018316-0.00077891i,-0.0014331-0.00054454i,-0.00035417-0.00060956i,-0.00036912-0.00085927i,-0.00031635-0.00083721i,0.0001016-0.00036279i,1.9147e-06-0.0004239i,0.00042226-0.00042621i
0.00084988-0.0033382i,-0.0010794-0.0022994i,-0.0032631-0.0019841i,-0.0038005-0.0013746i,-0.0035856-0.00037747i,-0.0026508+0.00041152i,-0.0012286+0.0010041i,-3.1478e-05+0.0012466i,0.00019881+0.0017158i,0.00070675+0.0023422i,0.0014377+0.0024427i,0.001523+0.0014326i,0.0012746+0.001072i,0.00121+0.0016845i,0.0010611+0.0006405i,0.00089276-8.6505e-05i,0.00061024+9.8039e-05i,0.000208-0.00049791i,-3.5905e-05-0.00026686i,-0.00059966-0.00014672i,-0.0003561-0.00057927i,0.00067594-0.00024357i,0.00034106-0.00019761i
-0.00030147+0.00092324i,-0.0017389+0.00055737i,-0.0013843-4.0844e-05i,-0.0007333-0.00026186i,0.00010756+0.00032085i,0.00029145+0.0013782i,0.00066381+0.0021271i,0.0013498+0.0024117i,0.00099508+0.0019211i,0.0015327+0.0012081i,0.0019955+0.0010982i,0.0021171+0.00058739i,0.0018525-0.00020014i,0.0011385-0.00072767i,0.00043271-0.00026391i,-2.574e-05+0.00055702i,-0.00047439+3.3028e-05i,-0.00051698-0.00054884i,-0.00011729-0.00085211i,0.00082829-0.00083939i,0.00087247-0.00058602i,0.0003668-0.00083684i,0.00026643-0.00014816i
-0.00062759+0.0015268i,0.0016566+0.00073075i,0.0030081+0.001327i,0.004287+0.002122i,0.0048107+0.0012937i,0.0041473-0.00015706i,0.0030006+3.7592e-05i,0.0012054+0.00045255i,0.00049573+0.00052367i,0.001185-0.00063272i,0.0013277-0.0016569i,0.00034353-0.0019149i,-3.8e-05-0.0019938i,0.00023058-0.0011883i,0.00055385-0.00077908i,0.00022039-0.00072085i,0.00057133-0.00062382i,0.0012508-0.00037126i,2.4316e-05+0.00014471i,-0.0012087+4.8143e-05i,-0.0014265-0.000463i,-0.0010841-0.00061808i,2.7489e-05+0.00023955i
0.0018936+0.00087755i,0.00092536+0.0015414i,0.00056417+0.00083325i,-3.817e-05-0.00032269i,-2.6541e-05-0.00098693i,0.00068454-0.00068685i,0.00051242+0.00034387i,-6.7631e-05+0.00084884i,-0.00035983-0.0003899i,-0.00089951-0.0019681i,-0.001567-0.0020021i,-0.0018-0.0014485i,-0.0014911-0.00092444i,-0.0011207-0.00048605i,-0.00064942-0.00051323i,-0.00050502-0.00057102i,-0.00041092-0.00080171i,7.851e-06-0.0011574i,0.00038197-0.0010501i,0.00043924-0.0001793i,7.9001e-05+0.00044246i,-0.00022131+0.00090323i,-0.00062143+0.0012203i
-0.0020834-6.9031e-05i,-0.0026671-0.00016972i,-0.0016109+0.00060077i,0.00097656+0.00095391i,0.0025194+4.0053e-05i,0.0024497-0.00020045i,0.001277+0.00028419i,0.00041581-0.00033455i,-0.00055346-0.0006043i,-0.0018791+0.0004557i,-0.0021115+0.0014509i,-0.0019846+0.001216i,-0.0014691+0.00050401i,-0.00017459+0.00024145i,0.00023281+3.452e-05i,-0.00039903-0.00052246i,-0.00073949-0.00090677i,-0.00056149-0.0007006i,6.0292e-05-0.00040769i,0.00058886+0.00041823i,0.00034471+0.00049364i,-6.6681e-05-0.00037132i,0.0003524-0.00048346i
-0.0017744+0.0029701i,0.00047279+0.002835i,0.0024965+0.0033047i,0.0040734+0.003219i,0.0052426+0.0021202i,0.0043505+0.00029733i,0.0021771+2.1229e-05i,-0.00064476+0.00030304i,-0.0020034+0.001141i,-0.0010273+0.0026258i,0.00035632+0.0028248i,0.00092437+0.0016419i,0.0005367+0.00030877i,7.2632e-05+0.0003536i,-0.00044581+0.00038191i,-8.963e-05+3.2373e-05i,-0.00057796+0.00058913i,-0.0014991+0.00096196i,-0.0014136+0.00069577i,-0.00046751+0.00071511i,0.00083438+0.00043795i,0.00075879+0.00049009i,0.00050691+0.00041053i
0.0010687+0.00027414i,0.00076102-0.000489i,-0.00028572-0.0014935i,0.00047142-0.0013491i,0.0020048-0.00034539i,0.001116-0.00027934i,0.00027447+0.0006521i,0.00025801+0.0018633i,0.00059196+0.001848i,0.0012443+0.0010077i,0.001698-0.00023697i,0.0018463+0.00053539i,0.0022712+0.0017342i,0.0018738+0.0011904i,0.00083904+0.00050631i,0.0010473-1.0804e-06i,0.0012471-3.2576e-05i,0.0011592-5.8069e-05i,0.00078134-9.2449e-05i,-0.00037149-0.00028423i,-9.1191e-05+0.00019228i,0.00063397+0.00090608i,0.0002209+0.00022361i
-0.00064673-0.00010633i,6.0779e-06-0.00048509i,0.00015906-0.00019103i,-5.7992e-05-1.5402e-05i,0.00078386+0.00012352i,0.00073069+0.00029029i,0.00039225+0.00047587i,0.00023451+0.0012554i,0.00076452+0.0010882i,0.0015312-0.00028325i,0.0013265-0.0014897i,0.0019029-0.0019365i,0.0024693-0.0013782i,0.0018475-0.00063886i,0.00067928-0.00016209i,-0.00014079-0.00060112i,8.4246e-05-0.0014458i,0.00022134-0.001273i,-0.00036776-0.00062172i,-0.00057779-0.00039528i,-0.00025132+1.4093e-05i,-0.00080093-0.00019548i,-0.0011581-0.00095093i
-0.0011033-0.003826i,-0.0017472-0.0017916i,-0.0023232+9.2478e-05i,-0.0018062+0.0019034i,-0.00025962+0.0028798i,0.0011516+0.0034657i,0.002432+0.0023356i,0.0035631+0.0003266i,0.0028978-0.00119i,0.00087333-0.0017107i,-0.0010847-0.0016711i,-0.0012448-0.0015285i,-9.199e-05-0.00058553i,5.7064e-05-0.00046837i,-0.00018884-0.00030303i,-0.0006487+0.00074517i,-0.0010897-0.00014194i,-0.00066907-0.0010991i,-0.00083615-0.00076185i,-0.00090289-0.00035362i,-0.00048091-0.00017096i,-0.00014023-0.00032829i,-0.0002375-0.00015951i
-0.0027316+0.0017211i,-0.0018235+0.0009778i,-0.0018014+0.00062321i,-0.0001343+0.0011381i,0.0024793+0.001745i,0.0036924+0.00054224i,0.0029061-0.0010644i,0.0016243-0.0013946i,-0.00060789-0.0013319i,-0.0021244-0.00020644i,-0.0021679+0.00033419i,-0.0011686+0.00026061i,-0.0010762-0.0003308i,-0.001507-0.0010743i,-0.0013978-0.00071254i,-0.00035045-0.0010795i,0.00032902-0.0015686i,-0.00060922-0.0011909i,-0.00092437+0.00014566i,-0.00077549+0.00079451i,-7.6688e-05+0.001202i,0.00059973+0.0010527i,0.0008233+0.00034517i
0.0011933-0.00055953i,0.00072099-0.00012592i,8.6221e-05+0.00041514i,-5.8833e-05+0.00051315i,0.00044365+0.0011147i,0.0011721+0.0022631i,0.00057507+0.0014252i,-0.00024351+0.0006143i,-0.0013756+0.00042518i,-0.0017852+0.0010663i,-0.00079257+0.0023919i,-0.00026642+0.0029948i,-0.000957+0.0020239i,-0.0014008+0.00068203i,-0.0016317-0.00019865i,-0.0013764-0.00012753i,-0.00062635-0.00034405i,6.3535e-05-0.00057517i,0.00065085+0.00014093i,0.00054502+0.00070016i,0.00037097+0.00073396i,0.00049971+0.00046466i,0.00032755-0.00010453i
-0.00096833+0.0021304i,-0.0012149+0.0011843i,-0.0014534+0.00012612i,-0.00010732+2.3991e-05i,0.00075522-0.00041172i,0.00078386-0.0010214i,0.0010728-0.00087912i,0.00025377+0.00035878i,0.00081448+0.001613i,0.0021932+0.0013082i,0.0024088+0.00031043i,0.0016675+0.00067391i,0.0011474+0.0011255i,0.00012783+0.0004221i,-0.00031839-0.00016398i,-0.00048035-0.00037421i,-0.0014006-0.00057413i,-0.0015825-0.00058152i,-0.00068499-0.00052505i,0.00018882+0.00018895i,-2.2082e-05+0.00049695i,-0.00028231-0.00023116i,0.00024822-0.00026107i
-0.00099804-0.00038888i,-0.00051751-0.0014511i,-8.5508e-05-0.00077249i,9.6672e-05+0.00075952i,0.00041124+0.00072934i,0.00089861+0.00023939i,0.00096312+0.00017007i,0.0011435+0.00068114i,0.0018355+0.0006968i,0.0015309-0.00013212i,0.0012937-0.0015847i,0.0015833-0.0020994i,0.0012781-0.0014365i,0.00040991+9.9522e-06i,-0.00073616+0.0010146i,-0.0015694+0.00083043i,-0.00057647+4.6396e-05i,0.0004326-0.00029342i,0.00038301-0.00040666i,0.00018251-0.00050912i,0.0010271-0.00068009i,0.00081812-0.00053795i,-0.00056888-0.00059357i
0.0017663-0.00014956i,0.0016703+0.00047844i,0.0014264+2.2402e-05i,0.00050285-0.00071709i,-0.00057293-0.0014522i,-0.001107-0.0012414i,-0.00048545-0.0001048i,0.00048879+0.00045008i,0.00084425-0.00069979i,0.0003012-0.0020315i,-0.00061947-0.0016516i,-0.00075213-0.0010099i,5.0685e-05-0.0002034i,0.00084749+0.00024712i,0.0011655+0.00017216i,0.00077308+0.00094343i,0.00019875+0.0010479i,-0.00010575+0.00030128i,-9.8278e-05+5.2004e-05i,-0.00024466+0.0001384i,-0.00032127+0.00027928i,-0.00024739+0.00081741i,0.00028705+0.00086575i
-0.0020402+0.001839i,-0.0015557+0.00082387i,-0.0019446+0.0010418i,-0.00081254+0.0013354i,0.0012107+0.0022856i,0.0019945+0.0038241i,0.0017504+0.0034757i,0.0016669+0.0013955i,0.00098527-0.00017789i,-0.00053853+9.6287e-05i,-0.0019861+0.00099286i,-0.002159+0.00093631i,-0.00053491-0.00013053i,0.00048033-0.0012145i,0.00021672-0.0008378i,7.7656e-05-0.00080688i,-0.00018945-0.00076223i,-0.00067902-0.0002184i,-0.0003171+0.00023542i,7.1278e-05+0.0006163i,-0.00011135+0.0005718i,0.00019532+0.00084685i,3.6856e-05+0.0014361i
3.8014e-05-0.0011207i,0.00029159-0.0010566i,0.00068949+0.00013422i,0.0011639+0.0014781i,0.0020679+0.0022916i,0.0028901+0.002071i,0.0028079+0.00091303i,0.00097941-0.00092259i,-0.0011454+8.5634e-05i,-0.0016376+0.0026641i,-0.00098257+0.0035455i,0.00017694+0.0029178i,0.00045993+0.00099721i,0.00011355-0.001023i,-0.00027483-0.0013105i,0.00015032-0.00063393i,0.0010877-0.00067654i,0.0012151-0.00087634i,0.0010932-0.00054484i,0.0014149-0.00043643i,0.00035269-0.00067446i,-7.0455e-05-9.0177e-05i,-0.00013037+0.00045803i
-0.00054286-0.003203i,-0.0021673-0.0029107i,-0.0038789-0.0020876i,-0.0043746+5.041e-05i,-0.0026497+0.0013886i,2.2853e-06+0.0010425i,0.00047795+0.00037164i,-0.00032376+0.0006325i,-0.0004513+0.0018568i,0.00026322+0.0021476i,0.0023187+0.0016138i,0.0040285+0.00082227i,0.0022368-0.0002798i,-0.00040337-0.00061142i,-0.0013129-3.3281e-05i,-0.0011494-0.00056642i,-0.00093952-0.001469i,-0.0011577-0.0014525i,-0.0016097-0.00079784i,-0.001843+0.0001456i,-0.0011904+0.00056449i,-0.00078276+0.0003876i,0.00022959+0.00024549i
0.0010965-0.0013892i,-0.00011785-0.0017551i,-0.0004831-0.0026768i,0.0012795-0.0025168i,0.0029648-0.0015048i,0.0027141-0.0011883i,0.0020513-0.00072708i,0.0016834+0.00070425i,0.00078589+0.0015002i,0.0011223+0.00035297i,0.0020046-0.0017988i,0.0017964-0.0027743i,0.0011642-0.0018045i,0.00015681+0.00045794i,-0.00023932+0.001406i,-0.00078094+0.00055748i,-0.0015573+0.00030531i,-0.001792+0.0007489i,-0.00098998+0.00039817i,-0.00063104+0.00022209i,-0.00063343+0.00090939i,-0.00028761+0.00076151i,-0.00047271-0.00038607i
0.0015957-0.00069941i,-0.00018355-0.0013263i,-0.00083969-0.0018792i,-0.00079314-0.0018987i,-0.0013586-0.002148i,-0.00083456-0.0013956i,0.00073966-2.4825e-05i,0.0012574+0.00053743i,0.0018072-0.00027641i,0.0017495-0.002139i,-0.00071106-0.0032545i,-0.0021222-0.0026906i,-0.0013218-0.00025766i,0.00040962+0.0014515i,0.001446+0.0013952i,0.00067562+0.00030629i,0.00020441+7.833e-05i,0.00036779+0.00014142i,0.00069546+0.00062345i,0.00056098+0.00064037i,0.00029535+0.00043733i,0.00021181+0.00030211i,0.00071148+5.8406e-05i
0.0018818+0.0015035i,0.0015963+9.0384e-05i,0.001898+2.1325e-05i,0.0013585-0.00026496i,0.00070635-0.00056816i,-0.00016367-0.00076442i,-0.0010488-0.001162i,-0.0011249-0.00065935i,-0.00056272-0.00086479i,-0.0013091-0.0015068i,-0.0026229-0.00063042i,-0.0029468+0.00066688i,-0.0021647+0.0010733i,-0.00052292+0.00044981i,0.00057924-0.00012255i,0.0011751-0.00042545i,0.001372-0.00039474i,0.00068778-0.00017429i,0.00041649-0.00042733i,0.00069827-0.00050583i,0.00050116-0.00025518i,0.00031003+0.00057805i,0.00023452+0.00099216i
-0.0016316+0.00038256i,-0.0011393+0.0012619i,-0.0012198+0.0021166i,0.0010008+0.0025078i,0.0026255+0.0035195i,0.0020227+0.0036031i,0.00016032+0.0023198i,-0.002178+0.0011077i,-0.002946+0.00078891i,-0.0023072+0.0013065i,-0.0011868+0.0028788i,-7.401e-06+0.0034559i,0.00027069+0.0020322i,-0.00054787-0.0002198i,-0.00077975-0.0017474i,-0.00034917-0.0013467i,0.00019497-0.0008665i,0.0005337-0.0015266i,0.0002196-0.0010459i,-0.00078487-0.00057405i,-0.0012393-0.001i,-0.00090457-0.00060242i,-0.0008878-0.00036336i
0.00099367+0.0013699i,0.0012519+0.0011261i,0.0010144+0.00047286i,0.0007544-0.00010297i,0.0020841+3.3951e-05i,0.0028725+0.0014465i,0.0011273+0.0031395i,-0.00054847+0.0027402i,-0.00097155+0.0017403i,-0.00014155+0.0016691i,0.002155+0.0017472i,0.0037269+0.0012709i,0.0022875+0.00012203i,-0.00048866-0.0001886i,-0.0019356+0.00025636i,-0.0019227-0.00010023i,-0.0018234-7.3484e-05i,-0.0015171+0.00012577i,-0.00048792-0.00040039i,-0.00019088-0.00012181i,-8.5472e-05+0.00050201i,-0.00026017+0.0009533i,-0.00094522+0.0013146i
0.00075205+0.0012319i,0.00098332+0.0010065i,0.0019435+0.00045958i,0.0025418-0.00032398i,0.0032428-0.00077297i,0.0041806-0.00074689i,0.0043838-3.596e-05i,0.0035315+0.00064687i,0.0022477+0.0016797i,0.0014535+0.0014743i,0.0019052+4.8223e-05i,0.0019593-0.0016986i,0.00031723-0.0025032i,-0.0005652-0.00099563i,-0.0007768+0.00096386i,-0.0011644+0.0021525i,-0.0016519+0.0017492i,-0.0019972+0.00023513i,-0.0016939-0.0001144i,-0.0010853+0.00066091i,-0.00015459+0.001787i,0.00076359+0.0016472i,0.0012606+0.00067107i
0.0027037+0.00032924i,0.0027444-0.0014032i,0.00078072-0.003106i,-0.00058623-0.0029307i,-0.0005583-0.0014193i,-0.00019785-0.00075163i,0.00056456-0.001222i,0.001488-0.0011755i,0.0019937-0.00045763i,0.0015475-0.00081422i,-0.00028079-0.001352i,-0.0015952-0.0014483i,-0.00065211-0.00075272i,0.0010891+0.00061694i,0.0021372+0.0012405i,0.0019355+0.00098458i,0.0016321+0.00058343i,0.0011164+0.0010765i,3.2249e-07+0.0012425i,-0.00060568+0.0003297i,-0.0003468-0.00015271i,0.00039637+0.00011038i,0.0012569+0.00048651i
-0.0015897+0.0009023i,-0.0012976+6.2937e-05i,-0.000778+0.0014168i,0.0010011+0.003243i,0.0027095+0.0029265i,0.0022423+0.00093471i,0.00048386-0.0011355i,0.00041506-0.001933i,0.0010207-0.0012905i,0.00021252-0.00049077i,-0.00083998+0.0005529i,-0.0017891+0.0017282i,-0.00089271+0.0011124i,0.0010658-0.00061797i,0.0014816-0.001857i,0.00052734-0.0015176i,-1.5023e-05-0.00051177i,-0.00014718-6.1903e-05i,0.0002247+0.00059338i,0.00060606+0.00095612i,4.4824e-05+0.00052834i,0.00017535-0.00031773i,0.00062113-0.00054847i
0.00091007-0.00083928i,0.00046852-0.00025199i,0.00057189-0.00027259i,0.00099163-0.00081631i,0.0010011-0.001012i,-3.8554e-05-0.0007366i,-0.0017182-0.0011029i,-0.0023893-0.0023139i,-0.0018225-0.0025656i,-0.001004-0.0010786i,0.0001872+0.00069048i,0.0016294+0.0011337i,0.001822-8.4496e-05i,0.00063364-0.0013932i,-0.00077821-0.0020367i,-0.0013535-0.0021145i,-0.00065273-0.0018273i,6.1219e-05-0.00094683i,-0.00013292+0.00018503i,-0.00010631+0.00066425i,0.00026836+0.00048949i,0.00043119+0.00036015i,-0.00014525+0.00047431i
6.0545e-06-0.0018299i,-0.001013-0.0016821i,-0.0024746-0.0022793i,-0.0027627-0.00097766i,-0.0022552+0.00096002i,-0.0018531+0.002709i,-0.001835+0.0038575i,-0.0023871+0.0027247i,-0.0024744+0.00069286i,-0.0011414-0.00054478i,0.00091341-0.00048345i,0.0011825-0.00087425i,9.2047e-05-0.0014789i,-0.0020291-0.00065414i,-0.003345+0.00056001i,-0.0028738+0.001015i,-0.0023916+0.00058529i,-0.0017006+0.00010536i,-0.0015033-0.00025844i,-0.00055985-0.00071078i,0.00074273-0.00059259i,0.00041764-0.00041208i,-0.00026482-0.00035427i
-0.002661+0.00031945i,-0.0028574+0.00035673i,-0.0037087+0.0017086i,-0.0022434+0.0031533i,0.0011262+0.0048139i,0.002851+0.0056437i,0.0023372+0.0050687i,0.0010153+0.0044381i,-0.00030992+0.0041043i,-0.0011127+0.0027217i,-0.0011635+0.00040931i,-0.00068607-0.0013369i,-0.00011891-0.00069247i,-0.00071127+0.00045071i,-0.00097904+0.0008595i,-0.00022849+0.0013564i,-0.00039984+0.00081668i,-0.0008997+0.00053935i,-0.00081464+0.00018442i,-0.00013634-0.000526i,8.7098e-05-0.00084641i,-0.00024928-0.00060381i,-2.1103e-05+0.00032017i
1.1842e-06+0.00268i,0.00066979+0.0019627i,0.0012404+0.0031512i,0.0024681+0.0025614i,0.0039997+0.00088125i,0.0042595-0.00043498i,0.0043181-0.00047462i,0.0036801+0.0014676i,0.0023632+0.0023284i,0.0013055+0.0019667i,-0.00069616+0.0016931i,-0.0017067+0.00086501i,-0.00048513+0.0010053i,0.0010725+0.0016985i,0.0019097+0.00099937i,0.0017205-0.00018177i,0.00041085-0.00069433i,-0.00035406-0.00042239i,-0.00047258-0.00037085i,-0.0011496-0.00064288i,-0.0013564-0.00015129i,-0.0005159+0.00022045i,0.0002011+0.00081516i
-0.00048155+0.0004165i,-0.00065705-0.00024071i,-0.00010598-0.00097927i,0.0014613-0.00012281i,0.003294-0.00030092i,0.003731-0.0016171i,0.0029791-0.0024111i,0.0030962-0.0016026i,0.0034386+0.00037654i,0.0022644+0.0014487i,0.0010318+0.0022315i,0.00068188+0.0028815i,0.0016856+0.0023208i,0.0026888+0.00042972i,0.0020717-0.001693i,0.0012594-0.0024556i,0.00071565-0.001286i,-5.2736e-05-0.00061875i,-0.00080776-0.00053393i,-0.0011305-0.00039234i,-0.00036939-0.00029856i,0.00029963-0.00039823i,-0.00020423-0.00040468i
0.00098537-0.00075696i,0.002086-0.00070156i,0.0018886-0.00065276i,0.001153-3.7338e-05i,0.0011242+0.00032375i,0.001284-0.0009904i,0.00060353-0.0023597i,0.00023037-0.0036895i,0.00068408-0.0038769i,0.0014551-0.0017694i,0.0029887+0.00037627i,0.0041239+0.00070831i,0.0037557-0.0011812i,0.0013971-0.0031203i,-0.0010394-0.0023186i,-0.0015595-0.00094085i,-0.0015347-0.00094425i,-0.0016757-0.00080455i,-0.0015483+0.00034644i,-0.00041319+0.0014422i,0.00060908+0.0012612i,0.00077932+0.00091703i,0.00036257+0.00098031i
-0.0006565+0.0017727i,-0.0018717+0.0013765i,-0.0018786+0.00095643i,-0.0016091+0.00015013i,-0.0015884+0.00033954i,-0.0017585+0.0004601i,-0.0019308-0.00025935i,-0.0023063-0.00023412i,-0.0022542-0.00041156i,-0.00015718-0.0012197i,0.0011764-0.0020645i,0.0011574-0.0035162i,0.0002942-0.0048098i,-0.00084963-0.0034506i,-0.00062471-0.0014169i,0.00036198-0.00035425i,0.00060395+4.8973e-05i,0.00020005+0.00023279i,0.00037091+0.00046182i,0.0012646+0.00066851i,0.00097043+0.00049374i,0.0007895-0.00011106i,0.00049641-0.00010443i
-0.0011231+0.0032603i,0.0015743+0.0016796i,0.0030285+0.0010382i,0.0044586+0.0022797i,0.005218+0.0029426i,0.0037511+0.0021106i,0.00017183+0.0018369i,-0.002685+0.0016868i,-0.0033092+0.0015519i,-0.0021676+0.00012726i,-0.0013057-0.002448i,-0.0028151-0.0038016i,-0.0047248-0.0027241i,-0.0043957-0.00019934i,-0.0026027+0.0013124i,-0.0010235+0.00050139i,0.00010549-0.00067126i,-1.4155e-05-0.00081364i,0.00038201-0.00096029i,0.0013752-0.00045468i,0.0010332-0.00037284i,0.00042286-0.00055371i,-0.00010833-0.00017067i
1.6612e-05+0.00077581i,-0.0009423+0.00078116i,-0.00047463+0.0021931i,0.00091442+0.0038507i,0.0022566+0.0045922i,0.0027799+0.0048875i,0.001765+0.004092i,0.00028534+0.0037238i,-0.00058223+0.0033113i,-0.0017646+0.0020659i,-0.00325+0.0009631i,-0.0037415+0.0015827i,-0.0020099+0.0029099i,0.00022012+0.0023744i,0.00044044+0.00026957i,-0.00052085-0.0013975i,-0.00074644-0.0016456i,-0.00025949-0.0012535i,0.00036941-0.0015058i,-0.00031845-0.001593i,-0.0011859-0.00092301i,-0.00046025+0.00078848i,-2.044e-05+0.00091036i
0.0015678-0.0010866i,0.00073174-0.0010177i,-0.00016189-0.0007113i,0.0002589-0.0013164i,0.00099936-0.0013541i,0.0026414-0.00021599i,0.0042567+0.0016924i,0.0041719+0.002854i,0.003508+0.0025768i,0.0017425+0.0022066i,5.804e-05+0.0033979i,0.00033931+0.0050976i,0.0012386+0.0042875i,0.0021427+0.0015685i,0.001931-0.00015654i,0.00074318+8.4227e-05i,-0.00027268+0.00051785i,-0.00092374-0.00020065i,-0.00086355-0.00091825i,-0.00097021+7.9975e-06i,-0.0011788+0.0011504i,-0.00027486+0.001312i,0.00045211+0.0012559i
-0.00076278-0.0016723i,-0.00081705-0.0010307i,-0.00067866-0.0013933i,-0.00035095-0.001613i,0.0013273-0.00069835i,0.0031998-0.00088729i,0.0043188-0.0020947i,0.0043442-0.0029118i,0.0028482-0.0024701i,0.0023131-0.00087648i,0.0033098+0.00057973i,0.0052698+0.001295i,0.0052216-0.00023854i,0.0021181-0.0020476i,-0.00026423-0.0013945i,-0.00017419-0.00041461i,0.00037889+4.6191e-05i,8.7956e-05-0.00034939i,-0.00025611-0.00089957i,0.00019959+0.00040628i,0.00021837+0.00068435i,7.4781e-05-0.00025654i,0.00025354-0.00040443i
-0.001348+0.0012339i,-0.00081673+0.0011817i,-0.00067477+0.0024589i,-8.3667e-05+0.0027953i,0.001031+0.0012565i,0.0009551-0.00069343i,0.00017685-0.0019159i,-0.00061191-0.0019895i,-0.00016751-0.00099725i,0.00068236-0.00030515i,0.0018433-0.0011863i,0.0030837-0.0035985i,0.0013361-0.0042217i,-0.00094748-0.0025591i,-0.00038371-0.00071647i,0.00079547-0.0002383i,0.00058486-0.00042121i,-0.00023582-0.00065547i,-0.00080226-0.00024409i,5.507e-05+0.00010093i,0.00076509-0.00020335i,0.00070871-0.00054742i,0.00049796-0.00098324i
0.002785+0.0012859i,0.0018429-0.0012713i,0.0028758-0.0027785i,0.0023094-0.0025646i,0.00098862-0.0017353i,-0.00069423-0.0017696i,-0.0018905-0.00072816i,-0.0019608+0.0014826i,-0.0015606+0.0010983i,-0.0010939-0.00046246i,-0.001407-0.0019246i,-0.001983-0.0033571i,-0.0024738-0.0025301i,-0.0024832-0.00051926i,-0.0013242-3.8186e-05i,0.00026273-0.00064005i,0.00069841-0.00094834i,-0.00028745-0.0011769i,-0.0010285-0.0012432i,-0.00041807-0.0013968i,0.00032111-0.00082176i,-9.2778e-05-0.00051321i,-0.00052031-1.4499e-05i
0.0016315+2.1004e-05i,0.0013579-0.0011856i,0.0015671-0.0017584i,0.0018909-0.00068641i,0.002189+2.7674e-05i,0.0017949+0.00093465i,0.0004703+0.0020887i,0.00023764+0.0021347i,0.00052915+0.002156i,-0.00060095+0.0017708i,-0.0024657+0.00064971i,-0.0035857+0.00062806i,-0.0030897+0.0018547i,-0.0014785+0.0022418i,0.00052882+0.00055245i,-2.4084e-05-0.0013052i,-0.0018652-0.0013007i,-0.0016155-0.00041613i,-0.00081747+0.000467i,3.7394e-06+0.00043257i,0.00076053+8.3517e-05i,6.8288e-05+0.00056278i,-0.00078726+0.0011159i
-0.00011594-0.00037182i,0.0011991-3.1689e-05i,0.0015615+0.00035287i,0.001373-0.00019322i,0.0021807+0.00043149i,0.0019419+0.0013553i,0.0012831+0.0020204i,0.00061557+0.0014848i,-0.00026813+0.00026333i,-0.00062255+0.00049524i,-0.00076034+0.0021586i,-0.00016904+0.0035758i,0.0016817+0.0027848i,0.0024821+0.0013995i,0.0007143+0.00021474i,-0.001492+0.00034499i,-0.0021454+0.00078518i,-0.0010769+0.00018921i,-0.00035404-0.0002756i,0.00046046+0.00029896i,0.00088795+0.00040342i,0.00070169-0.00030707i,0.0010951+0.0001356i
