-0.0031781-0.00091124i,-0.0028216-0.00047303i,-0.0027395-4.492e-05i,-0.0015074+0.0013136i,-0.00054726+0.0025665i,-0.00018033+0.0026329i,-0.00031855+0.0020913i,-0.00030248+0.00090469i,9.6115e-05-0.00052587i,0.00014477-0.00084831i,-0.00029381-0.00030435i,0.00016666-8.3854e-05i,9.5209e-05-2.0225e-05i,-0.00090238-0.00044412i,-0.0014409-0.0012887i,-0.00069611-0.0014079i,8.5761e-06-0.00087924i,0.00015301-0.0011906i,8.6567e-06-0.0012697i,-0.00018999-9.4252e-05i,-0.00031462+0.00080773i,-0.0010893+0.00051711i,-0.0012276+2.0332e-05i
0.00031326+0.00099896i,0.00025213+0.0017408i,9.0062e-05+0.0022357i,-0.00067684+0.0004887i,-0.00030768-0.000118i,0.00044823+0.00049861i,0.0015668-8.3886e-05i,0.0016892-1.6862e-05i,0.00020444+3.1708e-05i,-0.0003435-0.00012174i,-0.00044416+0.0001718i,-0.00075157+0.0001997i,-0.00093293-7.3616e-05i,-0.00077759-0.00067924i,-0.00043591-0.00045584i,-0.00057585-0.00025001i,-0.00035482-0.00086691i,0.00028962-0.0011506i,0.00020713-0.00012936i,2.3568e-05+0.00047557i,0.00013833+4.8234e-05i,-0.00032072-0.00013404i,-0.00061952-0.00026597i
-0.0020038+0.00019477i,-0.0024149-0.00069742i,-0.00055264-0.00095497i,0.0015732-1.2805e-06i,0.0017173+0.0010997i,0.0014911+0.0020643i,0.0013571+0.0018051i,0.00038153+0.00065381i,-0.00016379+0.00022934i,-9.9267e-05+0.00039457i,-0.00069935+0.00051356i,-0.0015569+0.00032066i,-0.0010742-6.0535e-05i,-0.0005921-9.1342e-05i,-0.00029686+0.0002336i,0.00019476+0.00019825i,0.00013139+0.00026206i,0.00016739+0.00011451i,0.00059169-0.00071773i,0.00071326-0.0012111i,0.00055523-0.0010541i,0.00026512-0.00026804i,-2.3972e-05-6.5986e-05i
-0.00085956-0.00083821i,-0.0023567+0.00028454i,-0.0030003+0.0012426i,-0.0019902+0.0017784i,0.00026931+0.0026343i,0.00156+0.0025665i,0.0015119+0.0016132i,0.0010134+0.00038505i,0.00012675-0.00041983i,0.00017698-0.00048641i,0.00010665-0.00063487i,-0.00054603-0.00078348i,-0.00058179-0.00062513i,2.4335e-05-0.00069242i,-3.8952e-06-0.00093021i,-0.00036677-0.00046613i,-0.00023731-0.00075903i,-9.9818e-05-0.0010657i,5.1753e-05-0.00041737i,0.00016237-0.0001484i,0.00031359+9.5436e-05i,0.00020574-1.2485e-05i,-0.00020814-0.00030362i
-0.00067717+0.00050938i,-0.0013669+0.0011073i,-0.0016169-0.00046089i,-0.00072478-0.00043301i,0.00014951+0.00093353i,0.0010863+0.0016315i,0.0013592+0.001184i,0.00057503+0.00011279i,5.1288e-05+0.00014566i,-0.00069741+0.00094658i,-0.0012618+0.00029541i,-0.0012403-0.00030046i,-0.0007776-0.00037107i,5.6035e-05-6.9987e-05i,9.4641e-05+6.1018e-05i,-0.00034463-0.001143i,-0.00060403-0.00073843i,-6.9197e-06+0.00011968i,0.00048712+0.00028094i,5.8992e-05+0.00051508i,-0.00057021+0.00044281i,-0.00086726-0.00028594i,-0.00034818-0.00042425i
0.0012432+0.00094564i,0.0012915+0.00082429i,0.0020438-0.00013321i,0.0017244+0.00017989i,0.0005003+0.0013118i,-0.00019616+0.001819i,-3.0367e-05+0.00084829i,4.875e-05+4.3281e-05i,0.00021852-5.8256e-06i,-0.00014614-0.00017969i,-0.0008614-0.00038015i,-0.00079347-0.00028094i,0.00015628-0.00016144i,0.00059917-0.0004323i,0.00072466-2.2538e-05i,0.00071685-0.00015843i,0.0010764-0.00036611i,0.00081941+0.00027584i,0.00032234+0.00013619i,2.3092e-05-0.0003258i,-3.4872e-06-0.00019694i,0.0004078+0.00047532i,0.0007029+0.0010399i
-0.0035875+0.0022589i,-0.0032899+0.002607i,-0.0028767+0.002768i,-0.0010716+0.0020846i,0.0012961+0.0015185i,0.0021362+0.00074306i,0.0013859-0.00010586i,-3.1681e-05+0.00027578i,-0.00037158+0.00082057i,6.5151e-05+0.00019162i,-0.00029767-0.00046616i,-0.00054762+0.00031154i,7.6849e-05+0.00056938i,-4.0497e-05+0.00051184i,0.00018132+0.00069145i,0.00056052+0.0004662i,0.00018714+0.00043781i,0.00037993+0.00051432i,0.00074783+5.7078e-05i,0.00061071-0.00026468i,-0.0002372-3.139e-05i,-0.00032714-0.00020849i,-0.00015038+0.00012337i
2.8952e-05+0.0022916i,2.6166e-05+0.0015636i,0.00072686+0.00077628i,0.00076259+9.7293e-05i,0.00118+0.00059541i,0.00099882+0.0011252i,0.00097887+0.00048144i,0.00060739-0.00011673i,0.00051166-0.000179i,0.00097085-0.00044573i,0.00054575-3.0978e-05i,-0.00021173+0.00037738i,1.129e-05+4.0193e-05i,0.00024458+0.00010739i,0.00046843+0.00082156i,0.00032277+0.00079774i,0.00026513+0.00048828i,0.00033893+0.00085735i,-0.00016519-0.00013182i,9.5499e-05-0.0014103i,0.00068161-0.00090975i,0.00029035-0.00071651i,0.00028583-0.00047211i
-0.00057398-3.0173e-06i,-0.00089525+9.535e-06i,-0.0015782-7.1042e-05i,-0.00035769+0.000121i,0.0014816+0.00088479i,0.0027849+0.0017694i,0.002595+0.0016507i,0.0015104+0.00091226i,0.0010734+0.001041i,0.00084172+0.00031308i,0.00054674-0.00099304i,0.0001391-0.0011478i,7.2494e-05-0.00084427i,0.00031513-0.00058404i,0.00067353+0.00010542i,0.00054296+0.00012449i,0.00075529-0.0001404i,0.0015968+0.00058659i,0.0014548+0.00083683i,0.00037179+0.00031922i,-0.00041938-0.0001795i,0.00045051-0.00057222i,0.00099302+0.0001019i
0.00027348-0.00030473i,-0.0004976+5.3443e-05i,-0.0012341-0.00051722i,-0.00094251+6.1503e-06i,-0.00049477+0.0010959i,0.00016014+0.0020182i,0.00099959+0.0022946i,0.00074918+0.0012927i,-0.00025268+0.00023883i,-0.001133-0.00052783i,-0.0016756-0.00047684i,-0.00090536-0.00016539i,0.00088644+0.00018797i,0.0015192+0.00043693i,0.001224+0.00061844i,0.0010307+0.00072529i,0.00018413+0.00067405i,-0.00060828+0.00017658i,-0.00057895+0.00084128i,-0.00053221+0.00060217i,-9.2974e-05-0.00080329i,0.00082246-0.0011768i,0.001157-0.00063847i
-0.00041598-0.0019493i,-0.0010495-0.0010254i,-0.0014618-0.00041695i,-0.0010284-0.0003779i,0.00018481+6.5261e-05i,0.0013981+0.0012029i,0.0016231+0.00096563i,0.001148-0.00039428i,0.00023412-0.00062137i,-0.00014456+0.00017704i,-0.00087664+0.00040023i,-0.00082752+0.00032331i,0.00017266+0.00018592i,0.00030415+0.00010568i,0.00017444-0.00027222i,0.00024705-0.0010442i,0.00084313-1.0578e-05i,0.001057+0.00093669i,-3.9478e-05+0.00077736i,-0.00082749+0.0010356i,-0.00053846+0.00048436i,-4.607e-05-0.00032268i,0.00043054+0.00015034i
-0.0038028+0.00021466i,-0.0041589+0.0023598i,-0.0036597+0.0030115i,-0.0018296+0.0018938i,-0.00043622+0.0015671i,0.00040226+0.0010568i,0.0010478+0.00052905i,0.00049821+0.00070219i,-0.000267+0.00011604i,-0.00099062-9.6936e-05i,-0.0011792+0.00032947i,-0.00094722+0.00016874i,-0.00079383-0.00023606i,-0.00068136-0.0007319i,-0.00049356-0.00069427i,0.00024114-0.00068408i,0.00080569-0.00074939i,0.00061884-0.00073722i,0.00072353-0.00047943i,0.00069566+0.00021191i,-7.2179e-05+0.00021794i,-0.00043617+0.00023366i,-0.00064847+0.00053193i
0.0012272-0.00036735i,0.001198-0.00052436i,0.0011328-0.0014953i,8.8405e-05-0.0010408i,-0.0001462+0.0010474i,0.00064478+0.0025254i,0.0015144+0.0022329i,0.0013778+0.0013899i,0.0011125+0.00029575i,0.00054632-0.00022652i,6.6658e-05-8.9295e-05i,-0.00016267+0.00015575i,-0.00025109+0.00014004i,0.00012299+1.7022e-05i,0.00054021-0.00020434i,0.00059227-0.00050805i,0.00012016+0.00011748i,-9.8798e-05+0.00049754i,-3.7118e-05+0.00076382i,-9.8858e-05+0.00065271i,-0.00012003+0.00034459i,9.7208e-06+0.00015726i,0.00042842+0.00021874i
-0.0025743+0.0010861i,-0.0034172+0.0019968i,-0.0034839+0.001404i,-0.0017932+0.0014942i,0.00023582+0.0021625i,0.0014849+0.0017363i,0.00088282+0.00037127i,-8.2308e-06+0.00018439i,0.00011174+0.00054931i,0.0004094+0.00015646i,0.00043555-9.9345e-05i,0.00011723+0.000172i,-0.00033801-0.00025142i,-0.00069302-0.001267i,-0.00058114-0.0012365i,-8.424e-05-0.00068494i,-0.00024726-0.00017254i,-0.00073517-0.00058161i,-0.00060938-0.0010836i,-0.00017149-0.00094377i,-0.00053751-0.00023391i,-0.00050875-4.8605e-06i,2.2357e-05-0.00015064i
0.00085721-0.0010045i,0.00014154-0.0010296i,-0.0011669-0.0015491i,-0.0018797-0.0004257i,-0.00077687+0.00071753i,0.00080923+0.00040512i,0.0019956-8.7053e-05i,0.0013804+0.00010612i,0.0002928+0.00040977i,-0.00063018-7.6935e-05i,-0.001482-0.00046043i,-0.0012609-0.00016464i,0.00011943-0.00016568i,0.00065274-0.00088929i,0.00054983-0.00063097i,0.00098058+0.00028517i,0.00041521+0.00067414i,-0.00048141+9.7953e-05i,0.00030784-0.00048039i,0.00077913+0.00012825i,-0.00037344+0.00021027i,-0.00099871+9.1075e-05i,-0.00044655-0.00045989i
-0.0030827-9.1402e-05i,-0.0030408+0.00031206i,-0.0030032+0.00084845i,-0.0016748+0.0012915i,8.7672e-05+0.0012853i,0.0015868+0.001676i,0.0011958+0.0014773i,5.739e-05+0.00011305i,2.0134e-06-0.00020222i,9.6187e-06+0.00044513i,-0.0004356+0.00010587i,-0.00082348-0.00055278i,-0.0010919-0.00096027i,-0.00066344-0.00013582i,-0.00028082+0.00024295i,-0.00041055+8.5338e-05i,-0.0002565+7.7747e-05i,0.00036035-0.00018757i,0.0003105-0.00046851i,4.4565e-05-0.00094036i,0.00023538-0.00082363i,0.00031093-0.00034174i,0.00057491-0.00023641i
-0.0021684-0.00024961i,-0.0023054+0.00044985i,-0.0012186+2.9544e-05i,-0.0007937+0.0008263i,-0.00051727+0.0019279i,0.00064174+0.0017911i,0.0011457+0.00084865i,0.00091345-0.00010674i,0.0006537-0.00037054i,0.00035324+8.2158e-05i,0.0001898+0.00021813i,-0.00018935-0.00013067i,-8.495e-05-6.9361e-05i,-0.00032578-0.00047205i,-0.00065415-0.0013851i,-0.00091263-0.00092568i,-0.00070905+5.1719e-05i,-0.00049665+0.00035686i,-0.0006118+0.00048549i,6.0452e-05+0.0013418i,0.0004208+0.0012465i,-0.00024051+0.00068535i,-0.00063945+0.00025175i
-0.0035562+0.00085245i,-0.003283+0.0021503i,-0.0021049+0.0032832i,-0.00048461+0.0025606i,0.00084876+0.0019063i,0.0018703+0.0019902i,0.0015081+0.00086945i,0.00062018-0.00026964i,0.00046033+0.00010324i,0.00079909+0.0001955i,0.00097207+0.00033176i,7.4099e-05-0.00037396i,-0.00053379-0.00033539i,-0.00040331+8.3454e-05i,9.6329e-05+0.00011225i,-0.00051953+0.00031011i,-0.00045511-0.00053836i,-0.0003962-0.00079025i,-0.00063502-9.2721e-05i,-0.00020967+0.00081184i,0.00017244+0.0014798i,0.00051731+0.00074749i,0.00033333-0.00031269i
-0.0022608-0.0015044i,-0.0017526-0.00070839i,-0.001614+0.00019169i,-0.0014753+0.00097565i,-0.0007769+0.0019432i,0.00088305+0.0021946i,0.0020672+0.00183i,0.0014706+0.0010422i,-0.00022339-0.00037933i,-0.00040371-0.00069917i,0.00010081-0.00017086i,-5.9595e-05-7.4453e-06i,0.00036232-0.00025538i,0.00035026-0.00089455i,0.00039366-0.00043204i,0.0011836+0.00011411i,0.0010526-0.00013489i,0.0005417-0.00046794i,0.00079944-3.9478e-05i,0.00063134-0.00020693i,0.00045331-0.00066331i,0.00016027-0.00067412i,3.8276e-05-0.00054257i
-0.0026056-8.4387e-05i,-0.0045015-0.00044555i,-0.0036961-0.00054862i,-0.0022918+0.00017235i,-0.0011678+0.0008572i,0.00054605+0.00081068i,0.0010965-0.0013252i,0.00050349-0.0019761i,0.00021486-0.00070228i,0.00023776+4.2904e-05i,-0.00054013-0.00018989i,-0.0011682-0.00070066i,-0.00053994-0.00077389i,-0.00039617-0.0004949i,-5.8955e-05+0.00027566i,0.00047286+0.0011688i,0.00036575+0.0012835i,0.00063601+0.00067581i,0.00061282+0.00017394i,0.00045632+0.00042029i,0.00032179+0.00038228i,0.00040067+0.00011151i,0.00042059+0.00069017i
0.0014049+0.0013144i,-0.00053269+0.0021596i,-0.00086973+0.0019269i,-0.00078874+0.0014427i,0.00011187+0.0012258i,0.00099219+0.0015021i,0.00078896+0.0013842i,0.00048107+0.00088943i,-7.1224e-05+0.00011069i,-0.001189-5.7917e-05i,-0.0017265-0.00043056i,-0.0013672-0.00036175i,-0.0004064+0.0010183i,0.00043672+0.00092338i,0.00022007+2.2219e-05i,-0.00030163-0.00020432i,0.00026757-0.00047895i,0.001351-0.00014333i,0.0012166-4.9116e-05i,0.00085843-0.00028531i,0.00070273-0.00016394i,0.00046355+6.0415e-05i,0.00012397+8.4511e-05i
-0.0035607+0.0012038i,-0.0032096+0.0014747i,-0.0022845+0.00097718i,-0.00084766+0.00086339i,0.00064917+0.0015583i,0.0018856+0.0018556i,0.0015294+0.0013887i,0.0007054+0.0013723i,0.00053486+0.00069695i,5.2379e-05+0.00061126i,-0.00056198+0.00059655i,-0.00049381+0.00043606i,-0.00036754+0.00031005i,-0.00063768+0.00058226i,-0.00021619+0.00091035i,0.0007748-0.00011075i,0.0010416-0.0010332i,0.00038455-0.00017038i,-6.7102e-05+0.00082183i,8.6337e-05+0.00027473i,-0.0001321-0.00036476i,-0.00064484-0.00020958i,-0.0010987+0.00021018i
-0.00072229+0.002084i,-0.00070697+0.002026i,-0.0010684+0.0024379i,-0.00097362+0.0024398i,4.694e-06+0.0022506i,0.0014784+0.0020648i,0.0020786+0.001431i,0.00040985-2.1277e-05i,-0.00019961-0.00099256i,0.00045421-0.0010501i,0.00022712-0.00041343i,-0.00033277+0.00032553i,2.8332e-05+5.259e-06i,7.1384e-05-0.00011171i,-0.00040877+6.8754e-05i,0.00028752-0.00033401i,0.00089087-0.00013021i,0.00079526+0.00024114i,0.00047543+0.00067275i,-0.00031947+0.00050172i,-0.00065346-2.6185e-05i,-0.0002531-0.00015965i,0.00020431-0.00025045i
-0.0021967+0.0014755i,-0.0022377+0.0013927i,-0.0010273+0.00084996i,8.2443e-05+0.0013215i,0.0010695+0.002171i,0.0012592+0.0022964i,0.0011541+0.0016811i,0.00068753+0.00069254i,0.00036382+2.9069e-05i,0.00042251-0.00043389i,0.00010563-0.00091597i,2.6513e-05-0.00046644i,0.00011457+0.00033827i,0.00026583+0.00013603i,9.6669e-05+0.00018224i,-3.3518e-06+0.00097502i,-0.00042028+0.00066238i,-0.00047078-0.00040261i,-0.00029461-0.00065747i,-0.00098086-0.00043819i,-0.0013214-0.00030762i,-0.00016165-0.00033435i,0.00064722-2.2036e-05i
-4.3842e-05+5.6438e-05i,-0.00069556+0.00054993i,-0.00082029+0.00032913i,-0.00041678+0.00041706i,0.00027478+0.0015212i,0.00037653+0.00193i,0.00040277+0.00065402i,0.00052674-0.0002344i,-0.00040937-0.00056856i,-0.00094057-0.001087i,-8.3093e-05-0.0003285i,-9.8683e-05+0.00033704i,-9.1553e-05+0.00048125i,0.0015426+0.00095475i,0.0020275+0.00072351i,0.00090444+0.00018879i,0.00039684+0.00021362i,0.00015393+0.00055533i,0.000545+0.00037596i,0.00057243+0.00018968i,0.00027633+0.00015753i,-0.00035301-0.00038152i,-0.00076804-0.00072186i
0.00080015+0.003636i,0.0015555+0.0039238i,0.0028227+0.0028599i,0.0024599+0.001046i,0.0014784+0.00036896i,0.001071+0.00055538i,0.00054898+0.0010339i,-0.00056598+0.00074399i,-0.00010831+0.00033231i,-3.8682e-05-8.1423e-05i,-0.0012723-0.00071358i,-0.0015595-0.00065973i,-0.0015552+0.00012232i,-0.00082874+0.00043935i,0.0001577+0.00054155i,0.00031889+0.0010188i,0.00017231+0.00075034i,0.00017888+0.00016022i,0.0002758+0.00012115i,0.00018467+0.0005254i,3.6562e-06+0.00083112i,-0.00021541+0.00073237i,-0.0002967+8.9801e-05i
-0.00076938+0.001153i,-0.0017443+0.0012066i,-0.0023065+0.00051963i,-0.00052095+0.00069936i,0.00094776+0.001388i,0.0013865+0.00064944i,0.0020477+0.00038375i,0.0014597+0.00029989i,0.00065373-2.0033e-05i,0.00079006+0.00052558i,-3.3144e-05+0.0003292i,-0.00060144-0.00050861i,-0.000807-0.00086891i,-0.00042427+8.8083e-05i,9.3762e-05+0.00062603i,-0.00027972+0.00017305i,-0.0002936-0.00063951i,0.00049721-0.00090766i,-6.7321e-05-0.00053345i,-0.00090502-0.00011669i,-0.0012115-0.00025522i,-0.0014928-0.00071471i,-0.00084857-0.00047982i
-0.0010522+0.0001153i,-0.0012079+0.0015004i,-0.0015818+0.0015959i,-0.0019496+0.00015159i,-0.00054502-0.00014679i,0.0009418-7.1913e-06i,0.00055449-0.0010333i,0.00097237-0.00090206i,0.0010477-0.00036893i,0.00019555-0.00092172i,0.0001648-0.0011871i,-0.00024248-0.0003787i,-0.00020022+0.00043007i,0.00054971+0.00043566i,0.00094518+0.00040859i,0.00085637+0.00056318i,0.00031218+0.00059965i,-0.00020379+0.00042933i,-0.00079615-0.0006469i,-0.0010537-0.00090208i,-0.00018779+0.00024027i,0.00042759+0.00077213i,-0.00026779+0.00034245i
-0.0019336-0.00026366i,-0.0016888-0.0008777i,-0.0016727-0.0010642i,-0.0010348-0.00040409i,0.00049142+0.00028284i,0.00057771+0.0010842i,0.00043937+0.001402i,0.00025222+0.0002856i,0.00012164-0.00020426i,5.5167e-06-0.00017219i,-0.00042857-0.00041907i,-0.00059706-0.00047318i,-8.6045e-05-0.0003931i,0.00031594-0.00080836i,-0.00031587-0.0011362i,-0.00072265-0.00054708i,-0.00014271-6.7969e-05i,-0.00060896-9.2876e-05i,-0.000899+0.00017077i,-0.00054455-0.00016619i,0.00036714+0.0002155i,0.00064738+0.00028529i,0.0009174+0.00035693i
-0.0020994-0.00032198i,-0.0026346+0.0010844i,-0.0028067+0.0021128i,-0.0020306+0.002501i,-0.00082094+0.0023289i,0.00044877+0.0016366i,0.00089082+0.00068603i,0.00068743+0.00025124i,-0.00063465-0.00052379i,-0.00076559-0.00060769i,-0.00031828+0.00026368i,-0.00034305+0.00046171i,-5.2621e-05+0.00014425i,6.7821e-05-0.00034312i,-0.00042665-0.00050271i,-0.00024227-0.00010691i,-6.0339e-05+0.000578i,-0.0001368+0.00037776i,0.00076469-0.00024132i,0.00081393-0.00059313i,-0.00023611-0.00059125i,-0.0011219-0.00027884i,-0.00084079-0.00036392i
-0.00056954+0.0012876i,-0.00045972+0.0015485i,-1.1971e-05+0.0010796i,-0.00045863+0.0017536i,-0.00061838+0.0016343i,-5.4932e-05+0.0011564i,0.0010846+0.0011548i,0.00090798+0.0010829i,-0.00056911+0.00035996i,-0.00073706-0.00068152i,-0.00058615-0.00057121i,-0.0010792-0.00040655i,-0.00044691-0.00031179i,-0.00010116+0.00033718i,-0.00068749+0.0003747i,-0.00046491+1.9822e-05i,-0.0001537+0.00025412i,-3.4402e-05+0.00052203i,-0.00017267+4.7675e-06i,0.00027819-0.00041604i,0.0001901-0.00089628i,0.00014201-0.0010305i,0.0005343-0.0003055i
-0.002599+0.00012701i,-0.0024187-0.00053897i,-0.0017873+0.0003319i,4.1858e-05+0.0015051i,0.0013542+0.0022618i,0.0025814+0.0021113i,0.0029518+0.0011185i,0.0020118+0.00055643i,0.001367+0.00041912i,0.00043338-2.5224e-05i,-0.00031771+0.00029897i,0.00019402+0.00050496i,-1.0528e-05+9.1577e-05i,-0.00075498-0.00061758i,-0.00089926-0.00016555i,-0.00075998+0.00056161i,-0.00059309+0.0009031i,-1.7406e-05+0.00069554i,1.4566e-05+0.0006967i,-1.927e-05+0.0013734i,0.0003662+0.0010115i,-0.0004528+0.00030948i,-0.0012631+0.00063389i
-0.0023513+0.0032889i,-0.002012+0.0030591i,-0.00028819+0.0031936i,0.00063888+0.0028714i,0.00095892+0.0017009i,0.00081876+0.00052109i,0.00050611-0.00028347i,0.00023775-0.0006805i,-9.1739e-05-0.00018411i,-0.00051424+0.00062013i,0.00014807+0.00013196i,0.00055854-5.4487e-05i,-6.9305e-05+0.0004416i,-0.00010091+2.7715e-05i,0.0004491-0.00030224i,-9.9638e-05-2.9857e-05i,-0.00061912+0.0001112i,-9.4479e-05+0.00017346i,0.00012945+0.00013756i,-0.00031003+0.00019361i,-0.0014386+0.00025987i,-0.0014962+1.4675e-05i,-0.00014461-0.00014954i
0.00027241-0.0025576i,0.0002813-0.0027007i,-3.853e-05-0.0021265i,-0.00024655-0.00020887i,0.00028686+0.0021289i,0.0016977+0.0030054i,0.0015077+0.0018584i,0.00038306-0.00015264i,-0.00020327-0.0012556i,-0.00011356-0.00085429i,8.5078e-05-0.00023558i,-0.00035965-2.3601e-05i,-0.00076915-0.00039975i,-0.00031966-0.00072467i,0.0010838-0.00057652i,0.0023159-0.00017255i,0.001773+0.0001245i,0.00023467-5.7382e-05i,-0.00071966-0.00051433i,-0.00022678-0.00047732i,-1.2367e-05+3.1778e-05i,2.5676e-05+0.00029283i,0.00024952+0.00011083i
-0.0011066+8.7596e-05i,-0.0017614+0.00066621i,-0.0013235-0.00015477i,-0.00091644+0.00018097i,-0.00068331+0.0014814i,0.00028078+0.0021031i,0.0011462+0.0014059i,0.00079881+0.00031206i,0.00023924-0.00030182i,-0.00029966-0.00033836i,-0.0011449+1.3753e-05i,-0.0014225+0.00047302i,-0.00033205-4.3346e-05i,0.001022-0.00098175i,0.0016947-0.0012003i,0.0010354-0.00028078i,0.00093204+0.00046695i,0.0008336+0.00081682i,7.8423e-05+0.00036769i,0.00033587+0.00017462i,0.00052064+0.00027167i,-0.00019353+0.00019185i,-0.00053367-0.00011129i
0.00074966-0.00068987i,-0.000829-0.0022217i,-0.0012209-0.0020941i,-0.0013037-0.00088139i,-0.0011171-0.0001082i,-0.00018325+3.5132e-05i,0.00035454+0.0002594i,-1.5465e-05+0.00019849i,-0.00049029-0.00013656i,-0.0002187+3.0888e-05i,-0.00053579-0.00028662i,-0.0010436-0.00068504i,-0.001206-0.00040992i,-0.0012566-0.00011506i,-0.00070926-0.00056576i,5.1287e-05-0.0004469i,0.00048548-0.00029949i,0.00042398-0.00074279i,0.00060259-0.00058741i,0.00047879-8.1365e-05i,0.00037977+0.00039892i,0.00044484+8.587e-05i,0.00035993-0.00067461i
-0.00018488+0.0018832i,-0.00057703+0.0028482i,0.0010726+0.0011228i,0.0011263-0.00080943i,-8.8727e-06+0.0003544i,0.00037893+0.0020545i,0.00058038+0.0012559i,0.00044436+0.00047441i,0.00064291-0.00024995i,0.00029713-0.00092569i,-0.00032363-0.00036111i,-0.00092191-0.00010399i,-0.0009528+1.576e-06i,-0.00011079+0.00040007i,0.0010972+0.00058111i,0.0014261+0.00053154i,0.0010007+0.00012241i,0.00082635-0.0004078i,0.0010842+0.0004364i,0.00041821+0.00012955i,-0.00020445-0.0010298i,0.00041663-0.0010769i,0.0010869-0.00096031i
-0.0026408-0.00059343i,-0.0035461-0.0024249i,-0.003338-0.0021677i,-0.0014554-0.00067988i,0.00036032+0.00049872i,0.00066679+0.0010665i,0.0011958+0.00070288i,0.00094465-0.0002411i,0.00056586-0.001027i,0.0001256-0.00018382i,-0.00073404+0.00073108i,-0.0016389+0.00096578i,-0.0010629+0.00051691i,0.00070461-8.8498e-05i,0.0012668+0.00026993i,0.00085446+0.00043997i,0.00026001+0.00024278i,-0.00038444-4.0773e-05i,-0.0011251-0.00021279i,-0.0011403-0.00070788i,-0.00092355-0.00030247i,-0.0010768+0.00038433i,-0.00081795-0.00015614i
-0.0010069-0.00083716i,-0.0021923+0.002321i,-0.0025342+0.0022851i,-0.0018623+0.001352i,-0.0010799+0.0017394i,-5.7302e-05+0.002541i,0.00082694+0.0018642i,0.0009877-0.000397i,0.00046454-0.00132i,-3.5613e-05-0.00071957i,-5.3492e-05-0.00010908i,0.00059719+0.00043353i,0.00097859+0.00096145i,0.00051737+0.0010902i,-2.5621e-06+0.0005948i,-0.00028062-0.00074642i,0.00027901-0.0011242i,0.00067564-0.00016574i,0.00069825+0.00022397i,0.00067153-6.4841e-05i,5.1658e-05-0.00065195i,-0.0005364-0.0014177i,-0.00037338-0.00061962i
-0.0018629-0.0057409i,-0.0030115-0.0046224i,-0.0035114-0.0026687i,-0.0030545-0.00013573i,-0.0021394+0.0018909i,-0.00050141+0.0029153i,0.00072124+0.0021101i,0.00026434+0.00044518i,-0.00048385-0.0001505i,-0.00041963-0.00027508i,7.3774e-05-0.00029889i,-0.0001227+0.0002264i,0.00010905+0.00024454i,0.00081775-0.00091379i,0.00081741-0.0017562i,0.00090836-0.00055587i,0.00097453+0.00063441i,0.00020279+0.00088056i,-0.00069125+0.00028917i,-0.00015167-0.00042602i,0.00041441+0.00030281i,0.00025741+0.00039344i,0.00056203-0.00023374i
-0.0019964+0.0027272i,-0.0026724+0.0038452i,-0.0020629+0.0045109i,-0.00073312+0.0029306i,6.5463e-05+0.0014808i,0.00028105+0.0010492i,0.00032122+4.6845e-05i,8.9336e-05+0.00020572i,-1.483e-05-0.00048126i,-0.00048694-0.00076082i,-0.00090955-0.00068216i,-0.00076569-0.0009414i,-0.00039916-3.9352e-05i,-0.00037708-0.00026236i,0.00053652-0.00069171i,0.00092572-0.00056831i,7.1289e-05-8.911e-05i,-0.0001946+0.00042142i,-0.00047042+7.7022e-05i,-0.00031702+0.00021456i,-0.00029129+0.00015904i,-0.00021484+1.0334e-05i,-0.00036896-0.00010712i
-0.0019065-0.0024479i,-0.00059756-0.0014613i,-0.00080555-0.00070147i,-0.00034737-7.4654e-05i,0.0013435+0.0018974i,0.0021887+0.0024901i,0.0018014+0.0017852i,-0.0001864+0.0005137i,-0.0013704-0.00048996i,-0.0012094-0.0007376i,-0.00082179-0.00089844i,-0.0010283-0.00085232i,-0.00049439-0.00056636i,0.00039638-0.0003116i,0.00038484-0.00033389i,0.00037667-0.00013653i,0.00093031-2.0508e-05i,0.0013529+0.00033802i,0.00078755+0.00033632i,-0.00032855+0.00022052i,-0.00089378-0.00057325i,-0.0010568-0.00056955i,-0.00093159-0.00047727i
-0.0045661+0.0039295i,-0.0042069+0.0042069i,-0.0024262+0.0039581i,-0.00025764+0.0024867i,0.00057694+0.0012247i,0.0013828+0.00052555i,0.0021807-4.7229e-05i,0.001069+0.00031256i,0.00066915+0.00088687i,0.00065692+0.00055095i,0.00037779-8.8897e-05i,0.0003155+0.00025269i,-0.00039819+0.00070258i,-0.0010547+0.00036912i,-0.0010394-0.0002168i,-0.00052431-0.00061605i,2.1481e-05-0.0007326i,0.00012515-0.00023755i,-0.00046886-0.00020461i,-0.00039131-0.00048398i,9.6694e-05-0.00057861i,-0.00018482-0.00097563i,-0.00016275-0.00094926i
