-0.0026688-0.0014871i,-0.0026499-0.00040079i,-0.0030008+0.0013321i,-0.0031378+0.0020562i,-0.0033346+0.0015091i,-0.0028215+0.001113i,-0.0016905+0.0010747i,-0.00018945+0.0014378i,5.5264e-05+0.0012142i,0.00012369+0.0010625i,0.00043312+0.00077103i,0.00052293+0.00065587i,0.00029459+0.00082528i,-0.00016969+0.0006869i,-9.0303e-05+0.00062179i,-6.1274e-05+0.0015i,0.00066254+0.0018783i,0.00093727+0.00086041i,8.9638e-05+0.00030186i,-0.00042723+7.4679e-05i,0.00017309+0.0006111i,0.00033077+0.0003425i,0.00051414-0.00029694i
0.0013638-0.00069412i,0.0018912-0.0010557i,0.0017837-0.0010331i,0.0016449-0.0011013i,0.00096112-0.00090794i,0.0005199-0.00036857i,2.0786e-05-0.00051145i,-0.00025115-0.00086185i,-3.0595e-05-0.001322i,3.0346e-05-0.0014083i,-0.00012444-0.0011663i,-0.00045253-0.0013227i,-0.0011703-0.0012321i,-0.0015452+7.9804e-05i,-0.00075557+0.0011656i,-0.00049368+0.00058076i,-0.00041198-8.7255e-05i,-0.00039391-0.00014233i,6.3482e-05+3.8674e-05i,0.00093472-3.2959e-05i,0.0013741-0.00042413i,0.00093327+5.361e-05i,0.00032264+0.0011594i
0.0013222-0.00036615i,0.0013628-0.00055271i,0.0018925-0.0011611i,0.0032288-0.0014121i,0.0028842-0.0010692i,0.0018981-0.0006012i,0.00052536-0.00037055i,-0.00072753-0.00069542i,-0.00036392-0.00045386i,-0.00036391-0.0006412i,-0.00051411-0.001252i,-0.00011213-0.00146i,7.8426e-05-0.0012171i,-0.00016855-0.00055581i,0.0001597-0.0002199i,0.00021543+0.00019055i,-0.00037518+0.00039563i,2.1717e-05+0.00047551i,0.00084226+0.00045821i,0.00025518+0.00028623i,-0.00056768-0.00025425i,-0.00052089-0.00049102i,-0.00015712-0.00074052i
-0.00028119+0.00017998i,0.00080134+0.0010379i,0.0017132+3.3443e-05i,0.0021006-0.001313i,0.0021231-0.0008098i,0.0016184-0.00082495i,0.00043298-0.00099499i,-0.00016801+4.1631e-05i,-0.0003184+0.00069146i,0.00041353+0.00063893i,0.001214+0.00053388i,0.00042728+0.00014628i,-0.00027028+0.00036224i,-0.00036352+0.00041139i,5.2322e-06-3.573e-05i,0.00026673-0.0001873i,-0.00011844-0.00060508i,0.00026931-0.00080899i,0.00050147-0.00080878i,-0.00041551-0.00058666i,-0.0010013+0.00024459i,-0.00053911+0.00073158i,-0.00029362+0.0010856i
-0.0014988-0.00040583i,-0.0013759-0.00099694i,-0.0015549-0.0012926i,-0.0007523-0.0011922i,-0.0001858-0.00092731i,0.00012323-0.00044067i,-3.3841e-05-0.00071081i,-0.00060341-0.0007552i,-0.0002675-0.0008168i,-0.00010917-0.00013696i,1.2497e-05-5.315e-05i,0.00010036-0.00060259i,-0.0007527-0.00033881i,-0.00065119-0.00062935i,-0.00022809-0.0015032i,-4.4787e-05-0.0014207i,3.5594e-05-0.00040719i,-0.00021847+0.00082412i,-0.0004615+0.00058414i,-0.00019636+0.00030515i,0.00028282+0.0006156i,0.00030862+0.00039572i,0.00048328-6.2577e-05i
0.0014308+0.00087122i,0.0026477+0.0004194i,0.0036271+0.00067254i,0.0048109-0.00035789i,0.0042245-0.0015112i,0.0016679-0.0017675i,0.00037784-0.0021531i,0.00049703-0.0017231i,0.00043843-0.0009525i,0.00097238-0.001074i,0.00069805-0.0011765i,-5.5559e-05-0.00071961i,-0.00036535+0.00010515i,-0.00069801-1.07e-06i,-0.00047212-0.00020697i,-0.00032668-5.1821e-05i,-0.00055271-0.00023732i,-0.0003003-0.00014713i,0.00052282+0.00019704i,0.00068147-7.9962e-05i,-1.7703e-05-0.00035053i,-0.00037568-0.00043759i,-1.0322e-05-0.00041931i
-0.0015135-0.00031197i,-0.00045339+7.2224e-06i,-0.00086772-0.00042021i,-0.00058603-0.00032749i,0.0006166-0.00066404i,0.0008787-0.0003564i,0.00028818-0.0001979i,-0.00054814-0.00065019i,-0.00095219-0.00092567i,-0.00079598-0.00077975i,-0.00085932-0.00064571i,-0.00085694-0.00033039i,-0.00086284-0.00013774i,-0.0012411-0.00037995i,-0.0008975-0.00032367i,-0.00062863-4.4828e-05i,-0.00043265+0.00053565i,5.8479e-05+0.0012424i,-0.00027306+0.0013438i,-0.00065293+0.00065336i,-5.5066e-05-0.00011894i,0.00067877+8.1876e-05i,0.00038232+0.0011185i
0.0019957+0.00026762i,0.0018333-8.4684e-05i,0.0031499-0.00037712i,0.0035285-0.00033985i,0.0020984-0.00041468i,0.0015054-0.00060492i,0.00086305-0.00096555i,0.00013742-0.001074i,0.00021062-0.0015841i,-0.00028978-0.0017282i,0.0002197-0.0014935i,0.00039016-0.0011229i,-0.00092786-0.00083469i,-0.0012569-0.00089082i,-0.00073377-0.0012799i,-0.00030711-0.0012929i,0.00038625-0.00027027i,0.0004824+0.00033812i,2.0556e-05+9.321e-05i,6.7664e-05-5.3135e-05i,2.7812e-05-0.00011967i,0.00044755+7.652e-05i,0.00062829-0.00039297i
0.0016956+0.00023191i,0.0022884+0.00056649i,0.0026574-0.00033846i,0.0032563-0.00087504i,0.0026275-0.0009281i,0.0010503-0.00076855i,0.00082366-0.000973i,0.0009097-0.00071499i,-2.1898e-05-0.0005027i,0.00017159-0.00050636i,0.00043492-0.00078398i,0.0003954-0.00094604i,0.00079991-0.00017706i,0.0010862+0.00037734i,0.00019194-3.7866e-05i,-0.00043017+1.489e-06i,0.00032374+0.00021637i,0.00051723-0.00010036i,0.00050269-0.00091113i,0.00035222-0.00090452i,-0.00025504-0.00028188i,-5.2734e-05-0.00022491i,0.00039705-0.00013104i
-0.0032338-0.00054908i,-0.0028457+0.00057193i,-0.0019093+0.0013407i,-0.00068702+0.0018853i,0.00047476+0.00089276i,0.00091673-7.051e-05i,0.00023635+0.00052029i,-6.7779e-05+0.00087644i,-0.0001645+0.00031336i,-0.00053608-0.00035829i,0.00026259-0.00064206i,0.0010285-0.00054757i,0.00020279+0.00047978i,-0.0010988+0.00083866i,-0.0010701+0.00033989i,-0.00010052+0.00014551i,0.00039652-0.0001824i,0.00010027+4.4006e-05i,-0.00053955-0.00015288i,-0.00065652-0.00042474i,-0.00023834+2.0666e-05i,-2.5409e-05+0.00035508i,-1.3677e-05+0.00084587i
0.00098056+0.00089117i,0.0027753-0.0002813i,0.004252-0.0014844i,0.004383-0.0025751i,0.0033117-0.0030714i,0.0014793-0.002629i,0.0006616-0.0014415i,0.00056502-0.00053021i,0.00017367-0.0010108i,0.00064428-0.00063259i,0.0016175-0.00050495i,0.0010263-0.00077838i,-6.0365e-05+3.1914e-05i,4.2376e-05+0.00057344i,-0.00023255+0.00013286i,-0.00016354-0.00033091i,-0.00017387-3.1806e-05i,-0.00045503+0.00045991i,6.5512e-05+0.00015565i,0.0006514-0.00010998i,0.00070576+2.0206e-05i,0.00071048+0.00046176i,0.00037732-4.8297e-05i
-0.00065716+0.00038602i,-0.00025164+0.00035995i,0.00069157+7.3711e-05i,0.0017629+0.00065326i,0.0020682+0.0010155i,0.0010215-0.00065631i,0.00018044-0.0010403i,0.00016531-0.0011263i,0.00060972-0.0013305i,0.00071002-0.00027771i,0.00077665-9.3513e-05i,-0.00012443-0.001329i,-0.00098148-0.0016777i,-0.00092131-0.00065118i,-0.00090737-0.00012503i,-0.00070168-0.00041357i,-0.00017961-0.00025045i,0.00032373+0.00010711i,0.00012068+0.00036444i,-0.0009566+0.00019895i,-0.0013673-0.00041401i,-0.00050558-0.0005309i,7.7633e-06-0.00044813i
0.0019918-0.00013627i,0.0029899-0.00047018i,0.0039003-0.00058409i,0.003457-2.7907e-05i,0.0015093+0.00022627i,0.00024332-0.00041623i,-0.00065081-0.00058905i,-0.0011311-0.00039343i,-0.0015117-1.4204e-06i,-0.0013019+0.00054087i,-0.00030224+0.0001199i,0.0003619-0.0010175i,0.0004065-0.0013941i,-0.00050219-0.00062262i,-0.0012032-6.8418e-05i,-0.0010594-0.00053244i,2.116e-07-0.00078913i,0.00097258-0.00064903i,0.0012078-0.00042392i,0.00053622+3.9357e-06i,4.448e-05+0.00028937i,0.00017625+0.00036694i,0.00035448-3.5105e-05i
-0.0017884-0.00080609i,-0.0020362-0.00098789i,-0.001919-0.00084889i,0.00015133+0.00016346i,0.0013363+0.0011753i,0.0021487+0.0015055i,0.0034606-6.7026e-05i,0.0044836-0.002147i,0.0033431-0.0034548i,0.0012094-0.0046611i,-0.00075295-0.0043791i,-0.0021824-0.0026928i,-0.0028138-0.0010718i,-0.0024613+0.000457i,-0.0016893+0.0009617i,-0.0014206+0.00064919i,-0.00058123+0.00023778i,0.0002962-0.00014836i,0.00053063+0.00010268i,-8.3275e-05+0.00011288i,-0.0001046-0.00024816i,-0.00037417-0.00065825i,-0.00013448-0.00067336i
-0.00020729-0.00012548i,0.0015229+0.000382i,0.0015979+0.00089788i,0.0013908+0.00060292i,0.0014567+0.0004426i,0.00093739-0.00058365i,0.00075744-0.0013504i,0.0016278-0.00094532i,0.0019394-0.00066257i,0.0016311-0.00098015i,0.0011903-0.0018102i,0.00053391-0.0020483i,-0.00089595-0.001352i,-0.0014686-0.0010021i,-0.0010966-0.0011818i,-0.00046356-0.00075238i,1.5395e-05+0.00032745i,-0.00027195+0.00099187i,-0.00067493-0.00022248i,-2.0821e-05-0.0010725i,0.00064915+0.0001188i,0.00058258+0.00088546i,0.00044254+0.00030501i
9.7384e-05+0.00067589i,-9.3185e-05+0.00019247i,8.4329e-05+0.00093072i,0.0012754+0.0017389i,0.0019296+0.00051755i,0.0015699-0.00027592i,0.0009998-0.00030282i,0.0012247-0.00092202i,0.0017006-0.0016348i,0.00073633-0.0013745i,0.00032256-0.0011402i,0.0003493-0.0011162i,-0.00035825-0.00072112i,-0.00066682-0.00048244i,-0.00057567+0.00015667i,-0.00075029+0.00025214i,0.00032665+0.0002363i,0.001096+0.00091613i,1.9389e-05+0.00082236i,5.2747e-05-0.00016812i,0.00087946+0.00013918i,0.00052591+0.001026i,0.00017294+0.0013751i
-0.00032196-0.00025181i,0.00047236+0.00045083i,0.00085331+0.0012828i,0.0013056+0.0010685i,0.0013285+0.00021471i,0.0010432-3.2993e-05i,0.00048307-0.00042373i,0.00037337-0.0011146i,0.00092396-0.0017267i,0.0007661-0.0013109i,0.0005621-0.0008339i,-4.6675e-05-0.00050199i,-0.00092372+2.0311e-05i,-0.00058628-0.00037465i,0.00065178-0.00079022i,0.0011497+0.00010045i,8.8866e-05+0.00040068i,2.1455e-05-0.00043502i,0.00085665-0.0003221i,-0.00013805-0.00011172i,-0.0010432+0.00020611i,0.00034546+0.00014733i,0.0015624-0.00043831i
-0.00058662-0.0010042i,-0.00043934-0.00040558i,-0.00012048-0.000655i,0.00017543-2.2319e-05i,0.00022695+0.00082199i,0.00067397+0.00021256i,0.00099817-0.00070253i,0.00055135-0.0010164i,-0.0007839-0.0010095i,-0.0014504-0.00076431i,-0.00083867-0.00049599i,-0.00031316-0.0010045i,-0.00072924-0.001464i,-0.00077499-0.00094245i,-0.00027616+0.00013109i,-0.00010633+0.00048483i,-0.00032486+3.4213e-05i,-0.00029368+9.0472e-05i,-0.00032067+6.371e-05i,-0.00052697-0.00039106i,-0.00047405-0.00047809i,0.00014161-0.00035166i,0.00042391+8.1937e-05i
0.0017163-0.0015347i,0.0016509-0.0015133i,0.00095573-0.0027684i,0.0010918-0.0029222i,0.0016074-0.0015598i,0.0010519-0.00031367i,0.00036039-0.00070574i,0.00033217-0.0016384i,0.0005769-0.0019361i,0.00013288-0.0025515i,-0.00056518-0.0019742i,-0.00059726-0.0012317i,-0.00039421-0.00093128i,-0.00082437-0.00034186i,-0.00054743+0.00020137i,-0.00033497+4.2655e-05i,-0.00077035-0.00064263i,-0.00056392+4.1443e-05i,-0.00064913+0.00077507i,-0.0010658+0.0002909i,-0.00099482-0.00036574i,-0.00055928-0.00014875i,-0.00024342+0.00064795i
0.0014246+0.0019268i,0.0027469+0.0016377i,0.0051038+0.00022355i,0.0059125-0.00055494i,0.0041427-0.0010467i,0.0023535-0.0012536i,0.0011786-0.00035294i,-1.6259e-05-0.00066815i,-0.00031087-0.0015721i,0.00027961-0.0015572i,1.6335e-05-0.0013282i,-0.0010776-0.0012833i,-0.0019192-0.00084648i,-0.0014013-0.00093816i,-0.00068932-0.0014799i,-0.00072798-0.0012553i,-0.00050732-0.00044816i,-0.00013232-0.00024477i,-0.00038599-0.00054004i,-0.00019662+1.494e-05i,6.8694e-05+0.00057369i,-0.00034586+0.00041833i,-0.00043337+0.00040286i
-0.00059327-0.00082099i,0.00010319-0.0013702i,0.0019764-0.00084498i,0.0029196-0.00057326i,0.0024341-0.000972i,0.0015158-0.0010374i,0.001339-0.00088617i,0.0012585-0.00079501i,0.00074345-0.00098351i,0.00068914-0.0012463i,0.00070442-0.00067727i,0.00037319-0.00095001i,0.00032014-0.0015538i,-3.591e-05-0.0010521i,-0.001059+1.043e-05i,-0.00095456-0.0003681i,-8.3824e-05-0.00042743i,0.00018023+0.00041752i,0.00040182+0.00067854i,0.00047612+0.00039832i,0.00075327+0.00011302i,0.00072033+0.00037494i,4.5362e-05+0.0012795i
-8.2932e-05-0.00070959i,0.00089844-0.00020946i,0.0036376-0.00056683i,0.0038755-0.00092895i,0.0023865-0.00021184i,0.0013175+0.00052931i,0.00088599+0.00036315i,0.00071465+0.00017301i,0.00082848+0.00020738i,0.00058041-0.00030606i,0.00017844-0.00096105i,0.0002962-0.0011721i,0.00052183-0.00077856i,-0.00032135-0.00066305i,-0.0013445-0.0003962i,-0.0015632-0.00048962i,-0.00061295-0.00026233i,1.1385e-05+0.00055168i,9.9231e-05+0.00064287i,0.00016142+2.047e-05i,1.216e-05+0.00059447i,-0.00031316+0.0011176i,-0.00021693+5.1849e-05i
-0.001816-0.0014344i,-0.0011901-0.0012177i,-0.0025703-0.00023011i,-0.0031681+0.00096543i,-0.0015036+0.0021086i,0.00047752+0.0017349i,0.00033851+0.00093015i,0.00054339-4.4208e-05i,0.0010775-0.0015436i,0.00075977-0.0017457i,0.00059424-0.00044635i,0.00041729-0.00019949i,0.00020328-0.00013622i,1.2839e-05-6.2289e-05i,-9.0934e-05-0.00070116i,6.6832e-05-0.00037776i,0.00041329-0.00049402i,0.00084009-0.00073545i,0.00031341+0.00050809i,-0.00027003+0.00096762i,0.00012803+0.00068776i,0.00014407+0.0010303i,-1.4652e-05+0.00053268i
0.00065839-3.7963e-05i,0.0021063+5.6963e-05i,0.0021729-0.00044901i,0.0021089-0.001317i,0.0021057-0.0010214i,0.0012772-0.00098197i,0.00070087-0.00070938i,0.0010521-0.00018156i,0.00054104-0.00073924i,-0.00040171-0.0013997i,-0.00056052-0.0012761i,-0.00066336-0.0010357i,-0.00070993-0.0013999i,-0.00039066-0.0016578i,-0.00055519-0.00087824i,-0.00090438-0.00012123i,1.2321e-05-2.565e-05i,0.00083641-0.0002355i,0.00073274-0.00022627i,0.00013713+0.00039552i,-7.0182e-05+0.00082045i,0.00066577+0.00054395i,0.00039009+0.0008022i
0.00064402-0.0019515i,0.00039162-0.0015518i,-0.00073302-0.001196i,-0.0017208-0.0010214i,-0.0020068-0.0013148i,-0.001126-0.0013274i,-0.0002561-0.00133i,6.0646e-05-0.0018363i,-0.00013486-0.0015542i,-0.00055103-0.00099835i,-0.0002723-0.00059961i,-0.00037755-0.00033918i,-0.0013449+0.00047737i,-0.0013751+0.0012625i,-0.0008747+0.00075322i,-0.00015817-0.00034743i,0.00016485-0.00050631i,0.0002303+0.00015618i,-6.2999e-05+0.00090043i,-0.00016363+0.00086592i,-7.6328e-05+0.0003085i,0.00079965-0.00020871i,0.0011214-4.988e-05i
0.00088018-0.00074823i,0.0030613-0.002466i,0.0045703-0.0031777i,0.0046374-0.0021534i,0.003012-0.0019028i,0.0014224-0.0016745i,0.00073044-0.00085762i,0.0002148-0.00037388i,0.0001488-0.00041878i,0.00058229-0.00072481i,0.00024629-0.0011845i,-0.00088029-0.00085932i,-0.0011288-0.00059665i,-0.0007925-0.00088406i,-0.00061587-0.00042995i,-0.00067571+6.5051e-05i,-0.00043271-0.00036705i,0.00045981-0.00014593i,0.00049613-0.000457i,0.00071782-0.0011247i,2.5754e-05-0.0013297i,-0.00055019-0.0015359i,-0.0001637-0.0011136i
0.00079399-0.001137i,0.0020381-0.001054i,0.0023427-0.0013281i,0.0016332-0.0013199i,0.0015337-0.00054697i,0.0014784-0.0005375i,0.00096171-0.00079533i,0.00036278-0.00081275i,0.00012412-0.0006555i,0.00018466-0.00087619i,0.0002325-0.00090728i,-0.00057338-0.00065927i,-0.00095728-0.00036701i,-0.00078885-0.00028865i,-0.00043381-0.00079357i,-0.00026769+0.00013007i,-0.00028681+0.0011884i,0.00032756+0.0010603i,0.00093764+0.00070782i,0.00071638+0.00032487i,-0.00045202+4.5386e-05i,-0.00023078-9.7387e-05i,0.00031962-0.00028991i
0.00085505-0.0024745i,0.0011288-0.0027086i,0.00084765-0.0029766i,0.00079931-0.0022354i,0.0010954-0.0012268i,0.0019378-0.000877i,0.0016933-0.0001678i,0.00071387-0.00027329i,0.00042218-0.0012758i,0.00010117-0.001162i,-0.00015037-0.00084403i,-0.00058967+0.00028901i,-0.00089731+0.00087684i,-0.0011505+0.00066729i,-0.0011933+0.00054868i,-0.00052245+0.00036745i,0.00040438-0.00011427i,0.00063292-0.00026352i,0.00028697-0.00013128i,0.0004978+0.00038957i,0.00025838+0.00063643i,-0.00011319+5.3833e-05i,0.00028781+0.00011692i
-0.0016616-0.00075822i,-0.00054352-0.00071547i,0.00079688+0.00036118i,0.0013403+0.0010081i,0.001461+0.001133i,0.00111+0.00031197i,8.7522e-05-0.00041248i,0.00029943-0.00032091i,0.0007201-0.00066311i,-0.00011374-0.0013799i,0.00059784-0.0020652i,0.00091252-0.0014504i,-2.6843e-05-0.00046585i,-0.00054154+0.00011352i,-0.0010245+0.00071215i,-0.0016113+0.0004008i,-0.00079805-3.1229e-06i,0.00051644+0.00049706i,0.00091641+0.00041148i,0.00079861+0.00030053i,0.00054985+0.00031329i,0.00029399-1.1366e-05i,0.0001313+0.00017275i
0.0015386+9.385e-05i,0.0017247+1.094e-05i,0.0020845-0.00091712i,0.0019705-0.0016582i,0.0015815-0.0027556i,0.00056985-0.003064i,0.00011049-0.0018534i,-0.00014105-0.0010059i,-0.00019319-0.0018973i,-8.4595e-05-0.0021696i,0.00046392-0.0014351i,0.0010776-0.0012951i,0.0006474-0.0011211i,-0.00025362-0.00089611i,-0.00010149-0.00068871i,0.00040353-0.00051933i,5.2536e-05-0.00017343i,-0.00025859+0.00037394i,1.1351e-06+0.00034461i,0.00078251+0.0001261i,0.00057195-0.00073741i,-0.00040277-0.00056017i,-0.0005255+0.00033022i
0.00034685-0.0023239i,0.00075373-0.00088802i,0.002083-0.00034789i,0.0023397-0.00025431i,0.0011836-0.0010706i,0.0006372-0.0016495i,-0.0003614-0.001295i,-0.00031075-0.0011827i,0.00059901-0.001685i,-7.2171e-05-0.002001i,4.6827e-05-0.0021156i,0.00024899-0.0022756i,-0.0007132-0.0021256i,-0.0005418-0.0012633i,-7.8581e-05-0.0010665i,-0.00061673-0.00038131i,-0.00055998+0.00062908i,-0.00025389+0.0010057i,-0.00059313+0.0010122i,-0.00074592+0.00040589i,-0.00090869-9.4477e-05i,-0.00055565+0.00013855i,-0.00051539+0.00042537i
0.0019058+0.00060876i,0.0030994+0.00035209i,0.0052281+0.00022942i,0.0061192-0.00047789i,0.0045741-0.00046761i,0.0021061-0.00037643i,0.00050427-0.00047274i,0.00037378-0.00082392i,0.0010727-0.0021006i,0.00059118-0.0026581i,0.00012755-0.0018135i,-0.00023623-0.0012017i,-0.0010097-0.0016728i,-0.0012013-0.0018906i,-0.0011844-0.0010892i,-0.0010546-0.00019849i,-0.00015951-5.943e-05i,0.00098501-1.2798e-05i,0.0007373-0.0002129i,-0.00026586+9.7407e-05i,-0.00060394+3.8531e-05i,-0.00026607-7.6524e-06i,9.7303e-05+0.00053316i
-0.0013089-0.00015014i,-0.00045977-0.00086782i,-0.00021918-0.00044696i,-0.00036909-0.00035156i,-0.00030665-0.00013751i,-0.00031319-0.00109i,0.00024262-0.0019055i,0.0006676-0.0015444i,0.00027406-0.0011862i,-0.00035296-0.00095183i,-0.00059378-0.00081806i,-0.00095338-0.0011852i,-0.001026-0.00037794i,-0.0002699+0.00014386i,0.00022118-0.00029808i,-0.00030246-0.00023502i,-0.00012922-0.0005101i,0.00053781-0.00074006i,0.00017647-0.00045781i,0.0003776-0.00018839i,0.00090448+0.00024491i,0.00043198+0.00070018i,8.2734e-05+0.00092685i
0.0003295+0.00087343i,0.00044569+0.00087287i,0.00090364+0.0018018i,0.0016459+0.0021104i,0.0024196+0.0009761i,0.002207-0.00012497i,0.0013736-0.00046547i,0.00055397-0.00098014i,-0.00023431-0.00058233i,-0.00072581+0.00035139i,-0.0010032+0.00072596i,-0.00039442-0.00023162i,0.00042967-0.00083737i,-3.2936e-05-0.00017071i,-0.00090119-8.3694e-05i,-0.00033736-0.00053174i,-0.00033899+0.00010686i,-0.00073925+0.0016521i,-0.00036349+0.0012792i,-0.00016816-0.0001354i,1.932e-05-0.00033674i,0.00064953-0.00044416i,0.00093702-0.00062345i
-0.0012622+0.00090693i,0.00082121-0.00058436i,0.0012004-0.002126i,0.00067069-0.0018473i,0.00024365-0.001007i,-0.00023903-0.00022802i,-0.00038143+2.3901e-05i,0.00012146-0.00016761i,0.00029225-0.00033516i,0.00022072-0.00065683i,0.00099325-0.00089446i,0.00089594-0.0013411i,-0.00042941-0.0013934i,-0.00073076-0.0012722i,-8.9484e-05-0.0008075i,0.00010461-0.00018302i,0.00032941+0.00052002i,8.226e-05+0.00073731i,-6.7741e-05-5.4367e-05i,0.00043337-0.00018886i,0.00051934+0.00035374i,0.00093777+0.00030113i,0.0010745+0.00027058i
0.0018301-6.1362e-05i,0.0018994+6.1681e-05i,0.0025942+0.0012895i,0.0031742+0.0014712i,0.0026919+0.0003518i,0.0013762-0.00026499i,0.00055223-0.0010968i,0.00095632-0.0012959i,0.00077376-0.00088123i,0.00078628-0.0011844i,0.00027193-0.0016536i,-0.00013197-0.0020314i,-0.00045752-0.0014645i,-0.00063235-0.00068608i,-0.00051718-0.00053086i,-0.0010665-0.00067651i,-0.0011123-0.0005247i,-0.00069402+0.00037157i,-0.00036393+0.0010508i,9.0874e-05+0.00044506i,0.00034893+0.00038154i,2.4557e-05+0.0011142i,-0.00020191+0.00084879i
0.00047122-4.4945e-05i,0.0018708-0.00054714i,0.0032002-0.0020673i,0.002773-0.0024214i,0.0024662-0.001465i,0.0012553-0.0013288i,-8.4062e-05-0.0014117i,-0.00036761-0.0013163i,0.00027475-0.0016557i,0.0010917-0.0015465i,0.0007686-0.0020241i,-9.2963e-05-0.0022201i,-0.00081989-0.0010208i,-0.0010279-0.00019281i,-0.0010158-0.00034052i,-0.00048759+0.00038177i,0.00046878+0.0013416i,0.0002818+0.0010008i,0.0003242+0.0003023i,0.0005988-0.00010324i,0.00094406-0.0004446i,0.001192-0.0004569i,0.00036535+0.00012721i
0.0012655-0.0010265i,0.0013396-0.0018708i,0.0010914-0.0012531i,0.0011592-0.00045351i,0.0016603-1.3271e-05i,0.0012765-0.00017614i,0.00016597-0.00056853i,7.3856e-05-0.00074931i,0.00063439-0.00067313i,0.00035383-0.00086776i,1.398e-05-0.0014288i,-0.00042627-0.0016335i,-0.0010382-0.0015149i,-0.0013579-0.00082059i,-0.0010493-0.00042074i,0.0001146-0.0002399i,0.00052714+0.00032983i,0.00016816-0.00018233i,0.00034334-0.00089355i,0.00042614-0.00017669i,0.00021528+0.00032339i,6.5836e-05-9.9378e-05i,2.3219e-05+8.6341e-05i
0.00048697-0.0013615i,0.00076079-0.0011405i,0.0011646-0.0021017i,0.0013829-0.0027083i,0.001437-0.0020448i,0.0010488-0.0012025i,0.00099034-0.0007284i,0.0011508-0.00073203i,0.0008065-0.00097661i,-0.00037034-0.0010744i,-0.00062123-0.0012405i,-0.00076867-0.00099323i,-0.00068659-0.00032748i,-0.00018274+9.5975e-05i,7.2645e-05+0.00013068i,-0.00017508-0.00020066i,-0.0011165-0.00039268i,-0.00065835-9.1656e-06i,-0.0001549+0.00023748i,-0.00048361-0.00048453i,0.0002131-0.00027409i,7.8451e-05+0.00066621i,-0.00082356+0.00082901i
-0.00060353-0.0021506i,-0.00022123-0.00095826i,-0.001337-0.00075884i,-0.0017893-0.00036869i,-0.0019371+0.00040585i,-0.0010826+0.0001974i,0.00032999+0.00011813i,0.00030253+0.00019103i,-0.00012308+0.00025892i,-0.00048067+0.00014499i,-0.001029-0.00017779i,-0.0012048-9.9131e-06i,-0.00069581+0.00029336i,-0.00062877-8.3129e-05i,-0.0005496-0.00070263i,-0.00053048-0.00069548i,-0.00040638-0.000623i,0.00015382-0.00062008i,0.00028868-4.3443e-05i,0.00041265+0.00042696i,0.00094879+0.00053569i,0.00089674+0.00039101i,-5.8008e-05+4.5594e-05i
-0.0022215+0.00068052i,-0.00049038+0.0014871i,-4.6598e-05+0.0028383i,0.00080269+0.002698i,0.0018197+0.0022776i,0.0012677+0.00058684i,0.0006392-0.00049015i,0.00090269-0.00071837i,0.00054033-0.0010422i,0.00011153-0.00087889i,0.00060368-0.00014989i,0.00074277+6.1693e-05i,-9.9824e-06-0.00086484i,-0.00018819-0.00094512i,-0.00023585-0.0011231i,-0.0010157-0.0015513i,-0.0012318-0.00083705i,-0.00077723+5.6242e-05i,4.7166e-06+0.00029534i,0.00049949+0.00013916i,0.0002273+0.00047013i,-0.00042739+0.00053087i,-0.00016541+0.00036009i
0.00060255-0.0020763i,0.0017048-0.0018043i,0.0024256-0.0022612i,0.0025715-0.0022112i,0.0014012-0.00087131i,0.00076428-0.00018109i,0.001751-0.00032139i,0.0018938-0.00043837i,0.0013842-0.00068468i,0.00098043-0.00087859i,0.00065879-0.00089888i,0.00040087-0.0012208i,0.00031593-0.0016336i,-0.00036891-0.0012558i,-0.0014493-0.00053533i,-0.0012617+0.00018067i,0.00035742+0.0011624i,0.0011075+0.001737i,0.000706+0.00077689i,0.0004416-0.00033028i,0.0001741-0.0002408i,0.00020413+0.00012598i,0.00038397+0.00019746i
-0.0019261+0.0009983i,-0.0013043+0.0020804i,-0.00024428+0.0026671i,0.0011617+0.0034733i,0.001475+0.0021733i,0.001167+1.9482e-05i,0.00071158-0.00080805i,0.00047028-0.0012525i,0.0007023-0.00094387i,0.00083592-0.00019519i,0.00098385-4.547e-06i,0.0012514-0.00023222i,0.0014409-0.00072909i,0.0013274-0.00076466i,0.00074896+0.00039319i,0.00051436+0.00070013i,0.00071864+8.6726e-06i,0.00068995+0.00022146i,0.00040813+0.00074872i,0.00068178+0.0006541i,0.0010134+0.00088531i,0.00093065+0.0015855i,0.00072683+0.0015712i
0.00068312+0.00058766i,0.0020682-0.0014277i,0.0020469-0.0033348i,0.0020826-0.0033155i,0.0017712-0.0020969i,0.0011385-0.0018795i,0.00063404-0.002368i,0.00048912-0.0019161i,0.00047048-0.0014041i,0.00023699-0.0010221i,0.0002201-0.0010248i,0.00035118-0.001355i,-0.00044047-0.00066111i,-0.0017488-0.00013951i,-0.0014305-0.00059456i,-0.00067498-0.00068902i,0.00010438-0.00028406i,0.00020846-0.00021119i,-5.3308e-05-0.00012058i,0.00067482+5.6047e-05i,0.0011623+0.00028527i,0.00055669+0.0002623i,5.0637e-05-0.00026044i
