-0.00088343-0.00051911i,0.00024282-0.0010806i,-3.2404e-05-0.0016799i,-0.0012562-0.0011491i,-0.0023213-8.2605e-05i,-0.0019251-0.0001772i,-0.00035237+0.00055215i,0.00065635+0.0015906i,0.0012328+0.0007864i,0.0010745+5.0982e-05i,0.00070291+5.565e-05i,0.0010731+1.7167e-05i,0.00048772-6.7752e-05i,-0.00022449-0.00032018i,0.0002537-0.00029738i,0.00056689+5.1514e-05i,0.00014002-0.00011631i,6.3562e-05-0.00015682i,-0.00015099+0.0002591i,-0.00024264+0.00039372i,-0.00017614+0.00017139i,0.00024531+0.00024992i,0.00021358+0.00068846i
0.001175-0.00074275i,0.00084955-0.00010458i,6.6027e-05+0.000376i,0.00046139+0.0011187i,0.0015233+0.0011544i,0.0028988+0.00074927i,0.0023318+0.00081902i,0.00045854+0.0010768i,-0.00024352+0.0014818i,0.00015286+0.0007691i,-9.2404e-05+0.0002648i,0.00062809+0.00023974i,0.0013566-1.6176e-05i,0.0005276-0.00024728i,-0.00012555+0.00025116i,0.00012451+0.00076707i,-0.00027298+0.00080465i,-0.0005058+0.00079885i,0.00051066+0.00073204i,0.0014383+0.00056424i,0.0010602+0.00055262i,0.00036586+0.0002755i,-0.00015394-0.00031782i
-0.0014963+0.00059105i,-0.0011654+0.00093635i,0.00013458+0.00074527i,0.00070363+0.00027756i,0.0015867-0.00064697i,0.002576-0.0010084i,0.0027506-0.00040977i,0.0023567+0.00075188i,0.0010169+0.0016235i,-4.7079e-05+0.0015733i,0.00018664+0.0013948i,-0.00035637+8.383e-05i,-0.00095855-0.00043213i,-0.00076137+9.5644e-05i,0.00032865-0.00018024i,0.0018295+4.1906e-05i,0.0019307+0.0010113i,0.0012187+0.0011207i,0.00031044+0.0003181i,-0.00058559-0.00027577i,-0.00099774-0.0001622i,-0.00081079+0.00019002i,-0.0005804-0.00047744i
0.0010692+0.001145i,0.0017207+0.00083951i,0.0026652-0.00010233i,0.0022381-0.00079015i,0.0015532-0.0012016i,0.0014855-0.0011147i,0.0010602-0.0010236i,0.00096762-0.0014368i,0.00086383-0.00083979i,0.00075041+2.6567e-06i,0.0012108+5.0129e-05i,0.0013634+0.00043065i,0.0002847+0.00048999i,-0.00090111+0.00011952i,-0.0010514-0.00064784i,-0.00024478-0.0010559i,0.00036127-0.00061739i,0.00049775-0.0012019i,0.00012043-0.0011602i,-0.0005543-9.0542e-05i,-0.00038583+0.00037156i,0.00035821+0.0010635i,0.00086962+0.0004746i
0.0018725+6.6821e-06i,0.0023457-0.0015945i,0.0011301-0.0025798i,0.00020385-0.0027119i,0.00076083-0.0025246i,0.00060322-0.0021045i,0.0003168-0.001771i,0.00035857-0.0011243i,0.00044103-0.00033113i,0.00062244-0.00012341i,0.001128+6.9716e-05i,0.0011604-1.7826e-05i,0.00016225+0.0004944i,-0.0012799+0.0012326i,-0.0010109+0.001245i,-0.00013826+0.00062653i,-8.7327e-06+0.00029775i,0.00053958-0.00029422i,0.00096189-0.00071918i,0.00042411-0.00015329i,0.00043477+0.00043515i,0.00018766+2.0079e-05i,-0.00036585-0.00024365i
-0.00061363-0.0010903i,-0.0015603-0.0014488i,-0.0017204-0.00047283i,-0.0012679+0.00041813i,1.9879e-05+6.9396e-05i,0.00026603-0.00044476i,-0.00030163-0.00054552i,-0.00038609-0.001194i,0.00012154-0.0015825i,0.00045077-0.00074107i,0.00040817-0.00020211i,0.001173+0.00034156i,0.0011142+0.0010131i,0.00043798+0.00083276i,7.654e-05+0.00014849i,6.9196e-05+0.0002885i,-0.00051627+0.00073845i,-0.0013079+0.00042725i,-0.0012479+8.7161e-05i,-9.7666e-05+0.00054941i,0.00057987+0.0011589i,-0.00041479+0.00054655i,-0.00080975-8.0621e-07i
0.0019097-0.00016015i,0.0013688-0.00081191i,0.0013727-0.0011978i,0.0018073-0.00028964i,0.0019491+0.00087324i,0.0012045+0.0007861i,-0.00035488+0.00016665i,-0.0018495+9.2391e-05i,-0.0016362+0.00041284i,-8.7101e-05-0.00047197i,1.2195e-05-0.00085555i,-0.00035432-0.00026519i,-0.00057225-0.00029641i,-0.00087851+3.1861e-05i,-2.1495e-06+0.0015458i,0.00061973+0.0015893i,0.00057461+0.0010275i,0.00046647+0.001016i,-6.6256e-05+0.0012024i,-0.00040634+7.2985e-05i,-1.4411e-05-0.0013313i,0.00067841-0.00036933i,3.4398e-05+0.0008369i
-0.0013231-0.0020796i,-0.0012485-0.00048612i,-0.0020038+0.00089382i,-0.0014436+0.0016118i,0.00016918+0.0024648i,0.0016964+0.00232i,0.0017446+0.0015297i,0.00086624+0.0018805i,0.00017765+0.0017031i,-0.001066+0.001166i,-0.0011855+0.00099652i,-0.00023534+2.3807e-05i,0.00071957-0.00026051i,0.0012736+0.00030063i,0.001085+0.00054565i,0.0010891+7.1278e-05i,0.0015683-9.4994e-05i,0.0012418+0.0001986i,0.00079186+1.1007e-05i,0.00028327+9.7097e-05i,-0.00021698+0.00018809i,0.00073226+0.00024421i,0.00094072+0.00079996i
-0.0014609-0.0017326i,-0.0023008-0.00069158i,-0.0024625+0.0005435i,-0.00035851+0.0011713i,0.0014677+0.00082049i,0.0022603-0.00016975i,0.0026407-0.00035546i,0.0027304+0.00043208i,0.0017723+0.00091074i,0.00062122+0.0015932i,0.00057147+0.0026623i,0.0003977+0.0022323i,9.8802e-05+0.00011366i,0.0009282-0.0012611i,0.0019411-0.0010347i,0.0020448-0.00024539i,0.0014491+0.00016662i,0.0013157+7.6082e-05i,0.0013242+0.0004009i,0.0012343+0.00054297i,0.00093717+0.00051958i,4.7931e-05+0.00030043i,-0.00033852-0.00016909i
-0.0011644+0.0019108i,-9.634e-05+0.0026802i,0.0019618+0.0023686i,0.0019357-4.4766e-05i,0.0011848-0.0020836i,0.0012858-0.0023997i,0.0014605-0.0019513i,0.0010663-0.00089445i,0.001322-0.00038989i,0.0017678-3.2514e-05i,0.0011136-0.00013666i,0.0010495-0.00056059i,0.0006014-0.00024026i,-0.0004735-0.000189i,-0.00048257-0.00059749i,0.00050123-0.00074588i,0.00082764-0.00071798i,0.0014262-0.00060243i,0.0016445-0.00071133i,0.00092188-0.00042852i,0.00018802+6.3855e-05i,-0.00042931+5.2047e-05i,-0.00037007-0.00068333i
-0.0004678-0.0018792i,-0.00042768-0.0021483i,-0.00037428-0.0015163i,-0.00054754-0.0013983i,-0.00045336-0.0013614i,3.0802e-05-0.00051916i,0.00049451-0.00082788i,-5.0866e-07-0.0016068i,0.00069397-0.0014017i,0.0020009-0.00021839i,0.001942+0.00054369i,0.0010847+0.0002194i,0.00028257+0.00013089i,0.00024677+0.00016912i,0.00012939+0.00012205i,-7.3955e-05-8.4925e-05i,-0.00024505-0.00053386i,-0.0012662-0.00035782i,-0.0014095-0.00030231i,-0.00050024-0.00032788i,-0.00029449-6.0688e-05i,-0.00033822-0.00015908i,-0.00025082-0.00020173i
0.00059901-0.0011431i,-0.00059242-0.00087843i,-0.0017208-0.0013378i,-0.001555-0.0020899i,-0.0011913-0.0020846i,-0.00078812-0.00095511i,-0.001325-0.0007215i,-0.0023355-0.0015353i,-0.0022303-0.0011826i,-0.00076933-0.00077067i,-0.00046193-0.00040717i,-0.00031293-3.2861e-05i,0.00041706+0.00036897i,0.00022285+0.00023391i,-0.00088395+0.00029434i,-0.0019689+0.0010519i,-0.0026321+0.0019173i,-0.0022541+0.0015774i,-0.001136+0.00058732i,-4.6842e-05-0.00022215i,0.00049639-0.00040939i,0.00030507+0.00018893i,-6.3742e-05-0.00018408i
-0.00035942-0.00093291i,0.00024092-0.0013132i,-0.00034916-0.0012207i,-0.00055888+0.00047447i,0.00045637+0.0014311i,0.0013603+0.0014685i,-0.00010104+0.0015629i,-0.0021897+0.0015141i,-0.0019843+0.0014221i,-0.00064688+0.00081059i,-0.00032816+0.00097785i,-0.00028227+0.00076288i,0.00069712+0.00011252i,0.0010666+0.00042952i,0.00041468+0.0013121i,2.3422e-05+0.0013766i,-0.00056162+0.001047i,-0.00054364+0.0010093i,-0.00010478+0.0013708i,-0.00015727+0.00073726i,-0.00010827-0.00030145i,-0.00031246-0.00053883i,-0.00076585-0.00038507i
0.0014322+0.0012275i,0.00057094+0.0012239i,0.00012801+0.0010824i,0.0016283+0.0013129i,0.0030346+0.0011875i,0.0021522+0.0009846i,0.0016262+0.0019335i,0.001101+0.0027364i,0.00049451+0.0022144i,8.0681e-05+0.001412i,-0.00067193+0.0009846i,-0.00093206+0.00067352i,-7.5879e-05+0.00067289i,0.0010759+0.0011074i,0.0017786+0.0010328i,0.0022811+0.0010156i,0.0019374+0.00067191i,0.0009939+0.00046183i,0.00076586+0.00027372i,0.00053121-0.00053945i,0.00056223-0.00041409i,3.8978e-05+0.00029557i,-0.00030443+0.00051543i
-0.00061072-0.00022376i,-0.00018842-0.0013897i,0.00025554-0.0025511i,0.0015545-0.002072i,0.0031256-0.00081882i,0.0034737-0.00065776i,0.0034913-0.00092971i,0.0033063+0.00011693i,0.0024732+0.0014017i,0.0011785+0.0015377i,0.00064105+0.0017076i,0.0012745+0.0020468i,0.00085309+0.00073059i,0.0010149-0.0004589i,0.001283-0.00012089i,0.00046566+0.00014201i,6.0868e-05-0.00017232i,0.00022521+2.6039e-05i,0.0006134+0.00051614i,0.00017619+0.00046903i,0.00016797+0.0011953i,0.00058272+0.0017664i,0.00071119+0.0010337i
-0.0020773+0.00090649i,-0.0012617+1.3033e-05i,-0.0018074-3.8051e-05i,-0.0017116-0.00026627i,-0.00012113-0.0016282i,0.0013735-0.0029276i,0.0016852-0.0033688i,0.0022884-0.0029098i,0.0027251-0.0016407i,0.0015621-0.00047224i,0.00073683+0.00066694i,0.0012439+0.00071917i,0.0012234+0.00021977i,8.8652e-05+0.0001304i,-0.00058188-0.0003259i,-0.00028845-0.001144i,-0.00013682-0.00077329i,-0.00020467+0.00010746i,0.00027965+0.00077972i,0.0009604+0.00050236i,0.0010248-0.00047963i,0.00069662-0.0015684i,0.00044171-0.0015895i
0.00072495-0.001764i,-0.0012459-0.0022184i,-0.0024101-0.0028212i,-0.0026445-0.0030235i,-0.0030894-0.0025694i,-0.00282-0.0011391i,-0.0023206-0.0015937i,-0.0023175-0.002551i,-0.0014238-0.0021747i,0.00016835-0.00084165i,0.0006055+7.5015e-05i,0.00027678+8.5055e-05i,0.00032218-0.00029105i,-0.00028271-0.00094154i,-0.00098852-0.0014797i,-0.0012373-0.0013503i,-0.0011517-0.0006209i,-0.0012487-0.00036858i,-0.0013857-0.00039887i,-0.00051608-0.00027378i,0.00050882-0.00091928i,0.00096754-0.001782i,5.8428e-05-0.0018982i
-0.0012052-0.0030241i,-0.0029104-0.0023365i,-0.0027089-0.00099819i,-0.0014676+0.0013184i,-0.00061621+0.0030307i,-0.00045582+0.0038592i,-0.0017543+0.0027693i,-0.0032299+0.00098793i,-0.0027806+0.00024401i,-0.0017151+0.00037985i,-0.0011126+0.00047558i,-0.00054979-0.00017615i,0.00033321-0.0007236i,0.00031506-0.00010592i,-0.00030762+0.00060902i,-0.00053021+0.00098106i,-0.0008892+0.0015526i,-0.0015081+0.0012443i,-0.0010543+0.00036406i,-0.00058236+0.00020922i,-0.00076475-0.00044784i,-0.0010094-0.0010444i,-0.0010362-0.00028765i
-0.00044775+0.00016272i,0.00030453+0.00019665i,0.00054979+0.00081175i,0.0010251+0.00075829i,0.002498+0.00099788i,0.0025728+0.001397i,0.0005331+0.0022662i,-0.0015335+0.0025618i,-0.001542+0.0024099i,-0.00078296+0.0024555i,-0.00021244+0.0015861i,-0.00039092+0.00093655i,-0.00018014+0.0007628i,0.00061296+0.00079106i,0.00062154+0.00046446i,0.00044006+0.00077733i,0.00054517+0.0012069i,0.0001993+0.0012501i,-3.2902e-05+0.0015253i,-0.00054076+0.001232i,-0.0012573+0.00024677i,-0.0011351-0.00024782i,-0.00048081+0.00065749i
-0.0012266-0.00053918i,-0.00077624+7.6923e-05i,-0.00021779+4.3433e-05i,0.00037783+0.00040668i,0.0014738+0.00041717i,0.0020923+0.00056701i,0.0016812+0.0011807i,0.0011103+0.0029718i,0.00087543+0.0036844i,0.00099642+0.0030823i,0.0011009+0.0023594i,0.0005468+0.0011355i,0.00042819-5.9245e-06i,0.0012673+0.00018703i,0.0014114+0.00054823i,0.0010192+0.00035367i,0.00044386+9.0408e-05i,0.00016808-3.4282e-05i,-0.00035197+0.00014349i,-0.00017758+5.4532e-05i,-6.7669e-06+0.00064779i,-0.00038338+0.0013161i,-5.0031e-05+0.0010186i
0.0013425+0.00037832i,0.0018918-0.00046813i,0.0019263-0.0012312i,0.0018547-0.0017976i,0.0015005-0.0022647i,0.0024976-0.00182i,0.0039731-0.0008153i,0.0047473-0.00034347i,0.0047986-0.00081797i,0.0033558-0.00087212i,0.00089206+0.00019952i,-0.00064582+0.0014235i,-0.00039382+0.00091784i,0.00049602-0.00072525i,0.00098845-0.00090048i,0.00091907-0.00059491i,0.00023035-0.00021931i,6.9523e-05+0.00040085i,2.9464e-05+0.00059826i,0.00034332+0.00028295i,0.00046961+6.3302e-05i,0.00031758+0.0004231i,0.00022942+0.00031116i
0.00012113-0.001211i,-0.00018682-0.0011968i,-0.0012303-0.0011022i,-0.002319-0.0024084i,-0.0017179-0.0015761i,-0.00059012-0.00021285i,-0.00039656-0.0022641i,0.00017509-0.0044308i,0.0010399-0.0040238i,0.00096674-0.0023739i,0.00060296-0.00055032i,0.00081255-8.2544e-05i,0.00072052-0.00047325i,-0.00023845-0.00058797i,-0.00086329-0.00016511i,-0.0015032+5.8739e-05i,-0.0018805+0.00026297i,-0.0012294+0.00048395i,2.3401e-05+0.00019169i,0.00037101+8.3534e-05i,-5.0157e-05-0.00028667i,-6.587e-05-0.00039663i,0.00025602-0.0002863i
8.0011e-05-0.0010831i,3.1615e-05-0.0014825i,-8.6455e-05-0.00039486i,0.00040126+0.0003603i,0.001075+0.00060569i,0.00086033+0.00042202i,-0.00050106-0.0011499i,-0.0018789-0.0028969i,-0.0019173-0.0032343i,-0.0014221-0.0022861i,-0.0003617-0.001227i,0.00082572-0.0005177i,0.0010827+0.00023847i,-0.00019703+0.0008753i,-0.00086706+0.0013211i,-0.00090212+0.00086896i,-0.00021349+0.00019891i,0.00079778-0.00038671i,0.00038814-0.00015853i,-0.00024775+0.00076768i,-0.00071873+2.1161e-05i,-0.0011902-0.0014875i,-0.0009399-0.0019324i
0.00097512+0.0013276i,0.0017522+0.0016329i,0.0022097+0.0025669i,0.0027415+0.0021363i,0.0025805+0.00086653i,0.00085238+0.00084172i,-0.0013885+0.0011748i,-0.002592+0.0011794i,-0.0032322+0.00075157i,-0.0023543+0.00049151i,-0.00069832+0.0009045i,-0.00082847+0.0010223i,-0.0012006+0.001342i,-0.00059748+0.0023595i,0.0002234+0.0029208i,0.0004139+0.0021788i,0.00043646+0.0012926i,0.00027303+0.0012603i,5.4378e-06+0.00098639i,-0.00029046+0.00063782i,-0.00054378+0.00017245i,-0.00090127-0.00032074i,-0.001432-0.0001428i
0.00061949-0.0013494i,0.0001945-0.002133i,0.00031972-0.0018223i,0.0015694-0.0010776i,0.0019862+9.6354e-05i,0.0013575+0.00068012i,0.00067819+0.0010928i,-0.00096049+0.0024152i,-0.0019193+0.003432i,-0.00087549+0.0030154i,-0.00033342+0.0014985i,-0.00026693+0.0010867i,0.00068809+0.0014941i,0.00155+0.0019178i,0.0022474+0.0017904i,0.0019255+0.00072848i,0.0013119-2.5353e-05i,0.0010321-0.00039471i,0.00013735-0.00055392i,-0.00080262-0.00028368i,-0.00040423+0.0001238i,-0.00010048+0.0012667i,-0.00057839+0.0014447i
-0.00038701+3.2119e-05i,-0.0021483+0.00053067i,-0.0023201+0.00092991i,-0.00086306-0.00062016i,0.00056315-0.0010388i,0.0022428-0.00055741i,0.003398+0.00047394i,0.0033057+0.00291i,0.0031986+0.0043605i,0.0025654+0.0036748i,0.001857+0.0024483i,0.0015334+0.0014787i,0.0021773+5.4879e-05i,0.0029323-0.00085161i,0.0027435-0.00081988i,0.001872-0.00074173i,0.0010676-0.0011887i,0.00063094-0.0016015i,0.00038203-0.0008788i,6.6899e-05-0.00011158i,-0.0006078-9.8388e-05i,-0.00021499+0.0001077i,0.00068007+0.00035622i
-0.00058301-0.0012315i,-0.00087199-0.0015367i,-0.00010254-0.00095771i,0.0013995-2.5658e-05i,0.0020974-0.00050574i,0.0025437-0.00086418i,0.002858-0.0005311i,0.0038145-0.00089177i,0.0045263-0.0005558i,0.0035697+0.00038164i,0.0025623+0.00031643i,0.0020067-0.00022116i,0.0017593-0.00051563i,0.0017653-0.00099007i,0.00078981-0.001172i,-0.00041978-0.0012923i,-0.00066649-0.00068598i,-0.00043823+0.0001417i,0.00034342+0.00074192i,0.00045792+0.00046957i,0.00049927-0.00018176i,0.00099371-0.00030703i,0.00062639-0.00011755i
0.00036865+0.0012679i,0.0010511+0.00036099i,0.0012018-0.00097641i,0.0015844-0.0017457i,0.0027799-0.00092059i,0.0024109-0.00072807i,0.0012383-0.00207i,0.001082-0.0029891i,0.0015221-0.0033402i,0.0016027-0.0032265i,0.001201-0.0027365i,0.0013166-0.0017294i,0.0015811-0.00030141i,0.00050609-0.00024091i,-0.0016212-0.00085375i,-0.0021595-0.0002751i,-0.00087911+0.00041277i,0.00021251+0.00011464i,-0.00012172+0.00024889i,-0.0011629+0.00059658i,-0.0014038-1.0019e-05i,-0.0003481-0.00093742i,0.00062743-0.001464i
-0.00027789-0.0010008i,9.7508e-05-0.00058416i,0.0018473-8.9862e-05i,0.0021636+7.2095e-05i,0.0026154-0.00021939i,0.002897-0.0018539i,0.00037485-0.002925i,-0.0026822-0.0029968i,-0.0033906-0.0029415i,-0.0023025-0.0022277i,-0.00088464-0.0014273i,8.8349e-05-0.00060002i,-0.00049841+2.0691e-05i,-0.0018613+9.7223e-07i,-0.0016669+0.00058379i,-0.0005945+0.00098776i,6.9981e-05+0.0011544i,1.7542e-05+0.0010796i,-8.6404e-05+0.00095871i,-0.00010756+5.872e-05i,-0.00011469-0.00057685i,-0.00031905+4.3818e-05i,-0.0010345+2.2496e-05i
-0.0012796-0.0017598i,-0.002666-0.00098483i,-0.0052946-0.00022123i,-0.0050669-4.9575e-05i,-0.0022438+9.6543e-05i,-4.7322e-05+0.00094185i,-0.00095318+0.001494i,-0.0035035+0.0010271i,-0.0051187+0.00058377i,-0.0045781+0.00089556i,-0.0028953+0.0010659i,-0.001771+0.0013437i,-0.00094127+0.00097976i,-0.00045381+0.00088822i,0.00054871+0.00090906i,0.001428+0.00026687i,0.0011085+0.00088472i,0.00022979+0.0010404i,-0.00052382+0.0011477i,-0.00044396+0.0011172i,-0.0010474+0.00055418i,-0.0022351+0.00040285i,-0.0020635+1.9262e-05i
-0.0018112+4.4229e-05i,-0.000705-0.0005042i,0.00074025+0.00055337i,0.0017048+0.0012319i,0.0016407+0.0010937i,0.0019098+0.0013801i,0.0014106+0.0021989i,-0.00037637+0.0038443i,-0.00098941+0.00483i,-0.00058763+0.0039321i,-0.00023535+0.0022057i,0.00050088+0.0010572i,0.0014296+0.0014997i,0.0019676+0.0017108i,0.0017888+0.00053417i,0.0013369-0.00039978i,0.0012535-0.0004416i,0.0013974-0.00054633i,0.0010977+0.00036674i,0.00074914+0.00079416i,-0.00045511+0.00030403i,-0.0019678-0.00012725i,-0.0019048+0.00012101i
-0.00064045-0.00024459i,-0.0011687-0.0001743i,-0.0015766+0.00014641i,-0.00052234+0.00044281i,0.0011696+0.00070368i,0.0027079+0.00032502i,0.0030739+0.00051867i,0.0027891+0.0017873i,0.0027343+0.002534i,0.0028738+0.0023321i,0.0025429+0.0017735i,0.0023402+0.0016376i,0.002278+0.0012649i,0.001685+0.00098561i,0.0014566+0.00066314i,0.0012635+3.1008e-05i,0.00076997-8.7777e-05i,0.00083427+0.00010352i,0.00045268-7.9632e-06i,-0.00045119+1.3044e-05i,-0.00052865-0.00022687i,0.00030996+3.1939e-05i,0.00099127+0.00046691i
0.00025869+0.0011006i,0.0013732+7.3237e-06i,0.0013294-0.00042183i,0.0017569-0.0011912i,0.0025556-0.0016461i,0.0032894-0.0014957i,0.0035918-0.0013261i,0.0033713-0.0018937i,0.0033965-0.0023666i,0.0027903-0.0017329i,0.0018599-0.00084307i,0.0014098-0.00013859i,0.00028967-0.00037519i,0.00030297-0.0010108i,0.00057833-0.00067865i,-0.0001332-4.1241e-05i,-2.2647e-05+0.00010439i,0.00053626-0.00051286i,5.4435e-05-0.0007077i,-0.00038765-0.00078516i,7.8089e-05-0.00052133i,-7.786e-05+0.00020772i,0.00023348+0.00031704i
4.0125e-05-0.0011408i,-0.00059376-0.0015426i,-0.0010186-0.0012309i,-0.0014166-0.00038449i,-0.00076356-9.8062e-06i,-0.00014027-0.0011379i,0.00029933-0.0027943i,-0.0001085-0.0039355i,-0.0008959-0.0042224i,-0.00088116-0.0042055i,-0.00090723-0.0032101i,-0.00033348-0.0016437i,0.00097931-0.00065344i,0.00055752-0.00044268i,-0.00054057-0.00017603i,-0.0012527-0.00033009i,-0.00067692+5.8282e-05i,-0.00039527+0.00051821i,-0.00085395+0.00053517i,-0.00063172+0.00066698i,-0.00031404+0.00062459i,0.00015425+3.6441e-05i,0.00019805-0.00032682i
-0.0011151+0.00036464i,-0.00021224+0.0001956i,0.00040301+0.00070452i,0.0016536+0.0010326i,0.001611+0.00064147i,0.0005941+0.00044851i,-0.00057667-0.00017678i,-0.0027734-0.0015054i,-0.0041517-0.0019907i,-0.0035571-0.0015609i,-0.0022449-0.0011146i,-0.0014747-0.00045691i,-0.00096156-0.00049289i,-0.00056799-0.00064167i,0.00041939+1.5561e-05i,0.0013299+0.00063161i,0.00068541+0.00088259i,-0.0003682+0.0013426i,-0.00033076+0.0012575i,0.00041059+0.00013652i,0.00066178-0.0013299i,0.00029029-0.0017483i,0.00021599-0.0012472i
-0.0018268-0.0013529i,-0.0012426+0.00011766i,-0.00088205+0.00061448i,-0.00030119+0.00068478i,0.0011513+0.0010363i,0.001479+0.00073936i,-0.00039064+0.0008443i,-0.0021201+0.0026743i,-0.0022903+0.0037706i,-0.0017832+0.0028348i,-0.00084644+0.001997i,-4.1442e-05+0.0021153i,-0.00034777+0.0014863i,-0.00044502+5.9006e-05i,-0.00016223-0.00043437i,1.382e-06-0.00018405i,5.8861e-06-0.00012175i,8.0272e-06+0.00021147i,8.6741e-05-6.6686e-05i,0.0003361-0.00064538i,-0.00015878-0.00028099i,-0.00095452+0.00017072i,-0.0010644+0.00026221i
0.00023856-0.00023793i,-0.0010079+8.0741e-05i,-0.0014657-1.2425e-05i,-0.00042327-0.00036759i,0.001322-0.00048094i,0.0024142-0.00014562i,0.0023726+0.0010598i,0.0030596+0.0032642i,0.0028333+0.00498i,0.0016833+0.0047827i,0.00091718+0.0037035i,0.00061624+0.0023063i,0.00083206+0.001375i,0.0012692+0.0013135i,0.00095457+0.00079845i,0.0002117+0.00010491i,-0.0002391-0.0001081i,-0.00031186+0.00072955i,7.6625e-05+0.00053374i,0.00027784-8.3229e-05i,0.00010936+0.00016557i,1.9005e-06+0.00047338i,-0.00026936+0.00085776i
0.0016827+0.0011343i,0.0018065-0.00047397i,0.0021471-0.0018779i,0.0017617-0.001882i,0.001726-0.00144i,0.0021406-0.0016937i,0.0033668-0.0012639i,0.0054376-0.00028383i,0.0064461-0.0002118i,0.0057385-0.00046182i,0.0037044+4.5369e-05i,0.0023306+0.00058371i,0.0016342+0.00074855i,0.0011633+0.00053936i,0.00076948-0.00015067i,0.00055453-0.00046916i,0.00075941+7.1195e-05i,0.0011739+0.00019425i,0.0011098+0.00044297i,0.0010539+5.8909e-05i,0.00039648-0.00057625i,-3.2813e-05+0.00050753i,0.00017656+0.0012085i
0.0018883+0.00061784i,0.0012175-0.00023472i,0.0019987-0.0018259i,0.0019057-0.0016977i,0.0013477-0.0017339i,0.00060903-0.0022964i,0.00013296-0.00295i,0.001331-0.0037565i,0.0024963-0.0044299i,0.0027672-0.0039821i,0.0022389-0.002932i,0.0015396-0.0020871i,0.00093843-0.00050295i,0.00027181+0.0012909i,9.9213e-05+0.0018163i,0.00020432+0.0015548i,0.00033913+0.00017397i,0.00031014-0.00066444i,0.00018411-0.00060621i,0.00063848-0.00035236i,0.00039472-0.00051534i,0.00056631-0.0011431i,0.00091799-0.0006313i
-0.0021176-0.0022501i,-0.0022554-0.0010564i,-0.0017772+0.00049185i,-0.00054735+0.0012048i,0.00057729+0.0017944i,0.0005047+0.0014352i,-0.00030439-0.00066458i,-0.0018646-0.0027268i,-0.0030981-0.0035887i,-0.0032378-0.0032931i,-0.0019529-0.0023956i,-6.9255e-05-0.0011991i,0.00082523+0.00014084i,0.00094155+0.0012572i,0.00087519+0.0014071i,0.00015638+0.00041652i,-0.000773-0.00016348i,-0.00055688-0.00038908i,0.0001128-0.00039026i,0.00020411+7.1306e-05i,0.00017736+0.00021758i,2.3673e-05-0.00012826i,-0.00014037-0.001039i
-0.00046444-0.00041597i,0.00097407-0.0012874i,0.0018233-0.0013994i,0.0015924-0.002256i,0.0026964-0.0018953i,0.0021372-0.00073277i,-0.00098076+0.00035192i,-0.0041731+0.0016377i,-0.0053401+0.0022437i,-0.0044652+0.0018884i,-0.0029086+0.0012689i,-0.0014862+0.0012956i,-0.00078599+0.001772i,0.00023259+0.0019288i,0.0016453+0.0010748i,0.0014317+0.00049135i,0.00078371+0.00045388i,0.00031353+0.00043522i,-0.00019981-7.9858e-05i,4.8646e-05-0.00076248i,-8.6364e-05-0.0010998i,-0.00050518-0.001032i,-0.0005993-0.0003858i
0.0013909+0.00072678i,0.0010735-0.00043514i,0.00040038-0.0018764i,0.00024121-0.0028412i,0.00076879-0.0021731i,0.0013369-0.00040199i,0.00084899+0.0021719i,-0.00052482+0.0047012i,-0.0010009+0.0063151i,-0.00054438+0.0055074i,-0.00059252+0.0044118i,-0.00087221+0.0037251i,-0.00023916+0.0026578i,0.0016307+0.0011868i,0.0023844-0.00030239i,0.0015866-0.00081362i,0.0013727-0.00023178i,0.0010855+0.00056281i,0.00029517+0.0006702i,-0.0002793+0.00065521i,8.6069e-05+0.00081606i,0.00025652+0.00057166i,4.8013e-05+4.1605e-05i
0.00010679-0.00085194i,0.0001746-0.00016567i,0.00042376+0.0012827i,-8.2588e-05+0.0016022i,0.00043495+0.00018701i,0.0010556-0.00081241i,0.0018909+6.7334e-05i,0.0036567+0.0020766i,0.0054828+0.0038243i,0.0056899+0.0037287i,0.0039551+0.0025163i,0.0023384+0.0018235i,0.0012504+0.0011862i,-0.00015072+8.6561e-06i,-0.00071066-0.00099751i,-0.00058683-0.0008727i,-0.00048321-0.00030283i,0.00021134-0.00075596i,0.001236-0.00048427i,0.001072+0.00082804i,4.9436e-05+0.0012212i,-0.0001123+0.0010776i,0.00041249+0.00042824i
-0.0019609-0.0025728i,-0.0011736+0.0009227i,-0.0016037+0.0021102i,-0.0020189+0.0032107i,-0.0014616+0.0027835i,0.00068333+0.00089289i,0.0033713-0.0014878i,0.0055733-0.002948i,0.0062832-0.0040056i,0.0063006-0.0040421i,0.0051257-0.0025107i,0.0041848-0.00090787i,0.0028241-0.00017597i,0.00017754-0.00022111i,-0.00092089-0.00057941i,-0.00064145-0.00050096i,-0.0003411+7.7945e-06i,-4.3445e-05+0.00040055i,0.00018487-8.7878e-05i,-8.1229e-05-0.0003573i,0.00026687+0.00031967i,0.00047537+0.00046886i,0.00042032+0.0001994i
