-0.0018774-0.00065522i,-0.00054731-0.0010347i,-0.00077641-0.00042382i,0.00010548-0.00059768i,0.00053947-6.1234e-05i,0.00050317+3.0065e-05i,0.00094404+0.00054433i,0.0014409+0.00060019i,0.001302+9.5636e-05i,0.0011814+0.00079959i,0.0010166+0.00022587i,0.00068297-0.00094723i,0.0010209+0.00020761i,0.00088974+0.00088738i,0.00057922+0.00072223i,0.00034294+0.00036324i,0.00046142-0.00073322i,0.00055309-0.00067362i,0.00024168-0.00038133i,-0.00013843-0.0010199i,4.4041e-05-0.00040922i,0.00053239+0.00035286i,0.00094203+0.00015809i
-0.00027809-0.00033376i,0.00096036-0.00036976i,0.0020222+0.00017214i,0.00242+0.0010123i,0.0025724+8.9194e-05i,0.0028243-0.00041429i,0.0016475-0.00069135i,8.6887e-05-0.0010763i,0.00064932-0.00041542i,0.0012758+0.00026875i,0.00040437+0.00021765i,0.00020477+0.0003906i,0.00060438+0.00051292i,0.0007267+0.00020002i,0.00046988-0.00046547i,0.00056365-0.00079213i,0.00081819-0.000829i,0.00069024-0.00068018i,-7.5096e-06+6.4359e-05i,-0.0008823+0.0002862i,-0.0012525+2.5856e-06i,-0.0012849-8.0105e-05i,-0.00050201-2.2997e-05i
0.0016365-0.0006412i,0.0026869-0.0019188i,0.0029836-0.0012663i,0.002181-0.0010468i,0.0018272-0.00084805i,0.0013263+0.00015096i,3.1391e-05+0.00088055i,-0.00063701+0.00036224i,-0.00055837-0.00030551i,-0.00050602-0.00018853i,-0.00035125-0.00032312i,0.00073521-0.00043135i,0.0020971-0.00026056i,0.0015036+0.00055118i,-0.00047893+0.00085618i,-0.0011543+0.00054584i,-0.00025922+0.00090424i,0.00023056+0.00090422i,3.3639e-05+0.00087733i,1.7725e-06+0.00099004i,0.00055684+0.00055977i,0.00079001+0.00022164i,0.00040777+0.00036443i
-0.00050529-0.0010666i,-0.0016344-0.0012819i,-0.0018969-0.0016839i,8.396e-05-0.0012114i,0.0012425-0.00032552i,0.001203+0.00014763i,0.00098284+0.001135i,0.0011269+0.0020723i,0.0017307+0.0018713i,0.0012665+0.0014267i,0.00010327+0.0010421i,-0.00081052-6.4427e-05i,-0.00093359-0.0013092i,-0.00016816-0.0010905i,0.00025355-0.00028292i,-0.00021203-9.2277e-05i,-0.00086601-1.4959e-05i,-0.00075026-0.00038434i,-0.00032111-0.00035014i,9.2732e-06+0.00081485i,0.00027347+0.00084522i,0.0002751+0.00021282i,-0.00014237+0.00059645i
-0.0005867-8.7451e-05i,0.00014108+1.1703e-06i,0.00092172+0.00054509i,0.0016997+0.00028361i,0.0024369+0.00028275i,0.0030348+0.0012567i,0.003576+0.0013285i,0.0037243+1.4157e-05i,0.0031199-0.00062686i,0.0019955-0.00053177i,0.0011641+0.00020589i,-9.7697e-06+0.00063543i,-0.00073823+0.00034779i,-0.00046809-0.00018618i,0.00032488-0.00038393i,0.00056603+0.00016073i,0.00074301+0.00023005i,0.00038727+2.3474e-05i,0.00016423-0.00041157i,-0.00040433-0.00035745i,-0.00046426-0.00037487i,0.00079286-0.00011437i,0.00094694+0.00046083i
0.0010775+0.0011184i,0.0027519+0.0020475i,0.0029067+0.0021655i,0.0022059+0.0015648i,0.0017556+0.00058652i,0.0013316+0.0003378i,0.0014934-0.00015976i,0.0011603-0.001846i,0.00028135-0.0026921i,1.6857e-05-0.0016582i,0.00040469-0.00067754i,0.00053286-0.00030957i,0.0011211+0.00046192i,0.0013858+0.00060907i,0.00069474-6.1673e-05i,0.0006412+0.0001355i,0.00048323+0.00023183i,-0.00013718-0.00032191i,-0.00031281-0.00065124i,-0.00055833-0.00019847i,-0.0010011+0.00023037i,-0.00030835+0.00047248i,0.00035688+0.00052234i
-0.00066056-0.0016417i,-0.00078562-0.0019443i,-0.00052849-0.0020406i,-0.00032051-0.00085177i,0.00079382-0.00011577i,0.0016796+0.0010576i,0.00025887+0.00076146i,-0.0014378-0.00054914i,-0.0021301-0.00047338i,-0.0011924-0.0010467i,0.00016013-0.0018039i,0.00069301-0.0010461i,0.00070729-0.00025646i,0.00081273-0.0004995i,0.00089078-0.00037828i,0.00054571+2.1251e-06i,0.00051437+0.00032275i,0.00074634+0.0003186i,0.00077898+0.00030791i,0.00082869+0.00047629i,0.00085996+0.00022981i,0.00043026-1.4525e-05i,8.1501e-05+6.7617e-05i
-0.0018641-3.1705e-07i,-4.2105e-05+0.00051286i,0.0022217+0.0023301i,0.0038047+0.0026151i,0.0038893+0.00072802i,0.0027292-0.00030032i,0.0010879+0.0012114i,0.00024378+0.003041i,3.2636e-05+0.0030131i,-0.0005537+0.0022356i,2.3516e-05+0.00042394i,0.00075363-0.00078027i,0.00017053-0.0013634i,0.00022512-0.0016082i,1.492e-05-0.0013i,-0.00033407-0.0012459i,0.00014926-0.00094434i,0.00029854-0.00070461i,-0.00011549-0.00074461i,-4.1527e-05-0.00032165i,3.0839e-05+0.00044491i,0.00056263+0.00062209i,0.0013444+0.00079861i
-0.00069282+0.0010505i,-0.00080789+0.0026259i,0.00068332+0.0017804i,0.0011843-0.00052241i,0.00097894-0.0013488i,0.0015978-0.00060387i,0.0036694+0.00083657i,0.0040226+0.0015012i,0.0026757+0.0013043i,0.0015721+0.0012128i,0.00035661+0.00083915i,-0.00079423+0.00053043i,-0.0011124+0.00051547i,-0.00069627+0.00045657i,-0.00031566-0.00046986i,-0.0006151-9.3049e-05i,-0.00053563+0.000475i,-0.0006888-0.00032061i,-0.0008289-0.00036207i,-0.00040245-0.0002959i,-0.00036927-1.2064e-05i,-0.00029561+8.0089e-05i,-0.00014749+0.00013641i
0.0011351-0.0021872i,0.0017575-0.0019986i,0.0015417-0.0016831i,0.0011589-0.00092858i,0.0023092-0.00091463i,0.0032738-0.0008476i,0.0040934-0.0014172i,0.0043092-0.0027834i,0.0034078-0.0022501i,0.0021401-0.00090938i,0.0010785+4.1699e-05i,0.00052236+0.00031978i,6.5645e-05+0.00032619i,-0.00018744+0.00069202i,0.0004949+0.00091327i,0.0014541+0.00050448i,0.00097721+0.00077441i,0.00024826+0.00032146i,-0.00017185-0.00019812i,-0.001153-0.00014128i,-0.0010707+0.00011249i,-0.00052539-0.00013105i,-0.00082371+0.00015158i
0.0011534-0.0018912i,0.0018893-0.00067757i,0.0011038-0.00054317i,0.00030112-0.00044087i,0.00055637-2.6539e-05i,0.0011352-0.00033196i,0.0011831-0.0009004i,0.00059218-0.0018908i,-0.00015622-0.0025899i,-0.0011272-0.0018035i,-0.00081534-0.00072306i,0.0010817-0.00081914i,0.0017045-0.00061965i,0.0013207-0.00053647i,0.0017994+0.00022438i,0.0014427+8.8872e-05i,0.0011589-0.00066374i,0.0010004-0.00053215i,0.00088409-0.00029582i,0.00076088+8.2324e-06i,5.8306e-05+7.0183e-05i,0.000115-2.6871e-06i,0.00038133-0.00015499i
0.00066775-0.00044381i,0.0014349-0.00095913i,0.0027699-0.0008184i,0.0041791-0.00046774i,0.003724-0.00063269i,0.00071071-0.00034316i,-0.0010139+6.6186e-05i,-0.0018827+9.6377e-05i,-0.003152+0.00083688i,-0.0025137+0.0012886i,-0.0014815+0.00035644i,-0.00042354-0.00043665i,0.00013307-0.00011496i,-7.7013e-06+0.00024547i,-0.00011187-0.00043595i,-5.6699e-05-0.00067953i,0.00031974-0.00049426i,0.00065127-0.00041499i,0.00018279-0.00023276i,-2.443e-05-0.00035887i,0.00069919-0.00044692i,0.00080336+4.6348e-05i,8.5106e-05-0.00064681i
0.0017274+0.00057445i,0.003185-0.0012612i,0.0030779-0.002389i,0.0028466-0.0024201i,0.0031477-0.0013011i,0.0029837+0.00062734i,0.0018517+0.0026312i,0.00065885+0.0042387i,4.4871e-05+0.0045667i,0.0007275+0.0030659i,0.0011169+0.0013205i,0.00026051+0.00044819i,-0.00037744-0.00024433i,-0.0011166-0.00036813i,-0.0018159-0.00037162i,-0.0010006-0.00090504i,-0.00079252-0.00039569i,-0.00086081+0.00084608i,-0.00055674+0.00098454i,-0.00032587+0.00040064i,-1.3715e-05+0.0007014i,0.00040341+0.0011421i,0.00035763+0.0010478i
-0.0038859+0.0022148i,-0.0033618+0.0046027i,-0.0016518+0.0044698i,-1.5119e-06+0.0022381i,0.00097225+0.00079607i,0.0021055+7.2638e-05i,0.0032787+0.00016827i,0.0040809+0.00052883i,0.0036793+0.0014189i,0.0032061+0.0018438i,0.002281+0.0015703i,0.0010527+0.0014242i,0.0015513+0.00068171i,0.002048-0.00025236i,0.0020321+0.00020602i,0.0011315+0.0010733i,-0.00019868+0.00072349i,-0.00041912+0.00033536i,-0.0007336+0.0005464i,-0.001207+0.00043089i,-0.00080681-3.1858e-05i,-0.00040574+0.00055172i,-0.00031314+0.0010174i
0.00087673-0.0013446i,0.0013833-0.0015253i,0.0021509-0.00025179i,0.0020786+0.00037754i,0.0024835-0.0010643i,0.0028516-0.0013469i,0.0040691-0.00082196i,0.0052417-0.001787i,0.0043347-0.0030754i,0.0026713-0.0036648i,0.001627-0.002391i,0.0012991-0.0006201i,0.0008703+0.00019625i,-3.5314e-05+0.00048919i,-0.00037696+6.5362e-05i,-0.0002799-0.00028071i,0.00046753-8.0703e-05i,0.0011606+0.00015684i,0.001757+0.0001596i,0.0015929-5.94e-05i,0.0007297+0.00030004i,-0.00016952+0.0008887i,-0.00040501+0.00070623i
0.0015494+0.004431i,0.0056727+0.0039587i,0.0077731+0.0032174i,0.006846+0.0011821i,0.0042502-0.00081906i,0.0020642-0.0021761i,0.00060112-0.0027961i,-0.00090495-0.0032775i,-0.002383-0.0029668i,-0.0020694-0.002163i,-0.00072112-0.0016446i,-0.00030514-0.0016667i,0.00020266-0.0019288i,0.0008969-0.0020733i,0.00041309-0.0011253i,-0.00024822-0.00055048i,-0.00014003-0.00088389i,-0.00028804-0.00092598i,-0.00040755-0.00064742i,-2.6858e-05-0.00027363i,0.00030571-0.00016302i,0.0007266-0.00027692i,0.00057-5.8657e-05i
-0.0017437-0.00045416i,-0.0027002-0.0015578i,-0.0018439-0.0038784i,-0.0004915-0.0038342i,0.00097372-0.0018091i,0.001211+0.00029774i,-0.00026172+0.0017645i,-0.0019212+0.0019114i,-0.0027364+0.0018951i,-0.0019847+0.0023154i,-0.0011141+0.0009967i,-0.0012854+0.00019669i,-0.0014348+0.00018307i,-0.0010595-0.00085962i,-0.00079478-0.00096238i,-0.00032236-0.00032066i,4.3211e-05+0.00023414i,-0.00076403+4.5443e-05i,-0.0010833+0.0001708i,1.9482e-05+0.00049323i,0.00038857+0.00018945i,0.0006199-0.00029111i,0.00064733-0.00021391i
0.0020643-0.00084653i,0.0018284-0.0015226i,0.00098622+0.00017694i,0.0010262+0.0013337i,0.00177+0.0013307i,0.0019876+0.0010376i,0.0020454+0.0018877i,0.0015694+0.0032055i,0.0017416+0.0034803i,0.0015409+0.0029771i,0.00070991+0.0018262i,0.00056294+0.00052735i,-6.3803e-05+0.00048338i,-0.0011279+0.00089381i,-0.0016768+0.00054677i,-0.00061176+0.00019335i,0.00041592+0.00063632i,0.0002884+0.00071493i,-2.3631e-05+0.00088722i,-0.00025669+0.00064837i,0.00013146+4.7153e-05i,6.2793e-05+0.00018874i,3.0844e-05+0.00010306i
-6.9408e-05+0.002695i,0.0015515+0.0036632i,0.001955+0.0032731i,0.0018891+0.0024362i,0.0017997+0.0017766i,0.002682+0.0011518i,0.0036358+0.00078936i,0.0048975+0.00072665i,0.0056927+0.00069559i,0.0047585-0.00013174i,0.0029449-0.00064598i,0.0020784-0.00078754i,0.0017277-0.00069518i,0.00094375-0.0006798i,0.00050009-0.00018298i,0.00057982+0.00023292i,-0.00060722-0.00012272i,-0.0012854-0.00048244i,3.713e-05-0.00046288i,0.00070585-0.00020261i,0.00018521-0.00018589i,0.00022482-0.00064013i,0.00021881-0.00060559i
-0.002025-0.00092047i,-0.00056847-0.0024791i,0.0021593-0.0025634i,0.0034144-0.0022336i,0.0029518-0.0019723i,0.0030256-0.0020839i,0.0037727-0.002259i,0.0033929-0.0035456i,0.0020085-0.0041813i,0.00076225-0.0034994i,0.00079505-0.0024461i,0.00050165-0.0018749i,-7.8418e-05-0.0025714i,-0.00030544-0.0027545i,-3.1975e-05-0.0012255i,-0.0001593-0.0001713i,-0.00046921-0.000443i,-0.00039761+9.0448e-05i,-0.00030668+0.00076794i,-0.00047202+0.00044548i,-0.00056101+0.00013119i,-8.3889e-05+2.0613e-05i,0.00054181-3.9183e-05i
0.004076-0.0022246i,0.0057975-0.0033819i,0.0044933-0.0038298i,0.0017982-0.0027083i,0.0016475-0.00087322i,0.0020302-0.00065869i,0.00019334-0.0011911i,-0.0018707-0.0024903i,-0.002992-0.0031281i,-0.0030923-0.0020843i,-0.0021411-0.00077788i,-0.0015561-0.00011324i,-0.00074117+4.4314e-05i,1.7198e-05-0.00025531i,2.8392e-05-0.00072938i,-0.00045981-0.00046454i,-0.00071075+5.2873e-05i,-0.00062565+0.00078227i,-0.00020763+0.00080791i,0.00024421+0.00041521i,-0.00060114+0.00066646i,-0.00089345+0.00014409i,-0.00044933-0.00014098i
-0.0021908+0.0030327i,-0.0022579+0.0062317i,-0.00041403+0.0068514i,0.001717+0.0044109i,0.002541+0.0015579i,0.002015+0.00016488i,2.0732e-05+4.9312e-05i,-0.0015313+0.0010374i,-0.0021334+0.0016842i,-0.0019769+0.0015085i,-0.00084001+0.0019758i,-0.00026406+0.0018252i,-8.5617e-05+0.00065503i,0.00051184-0.0003229i,0.00010354+0.00026634i,-0.00017562+0.0003428i,0.00026576-0.00014918i,-5.0173e-05-0.00022463i,3.3589e-05-0.00071118i,0.00066945-0.00078752i,0.00037058-0.00037954i,0.00016463-5.0977e-05i,0.0002988-0.00019513i
0.0011279-0.00426i,0.00074154-0.004698i,0.00060717-0.0046978i,0.00071433-0.002853i,0.00060824-0.0008756i,0.0012152+0.00064289i,0.0028413+0.0019928i,0.0036811+0.0028867i,0.0033319+0.0029141i,0.0021786+0.0017536i,0.00082075+0.00081978i,0.000761+0.00039401i,0.0010026-0.00011263i,0.00036415-0.00056856i,-0.00064608-0.00035875i,-0.0010367-7.4991e-05i,-0.00047674-0.0005275i,-0.00035287-0.00099464i,-5.7203e-05-0.00084776i,4.6574e-05-0.0012454i,8.0162e-05-0.0012053i,0.00067806-0.0005683i,0.00011772+0.00012072i
0.0032276+0.0012756i,0.0056881+0.00055326i,0.0058383-0.00012171i,0.0038676-0.00040974i,0.0024154-0.00023142i,0.0032041-0.00027368i,0.0041012-0.00025209i,0.0042511-0.001098i,0.0042353-0.001577i,0.0031997-0.00084809i,0.0020878-0.00029843i,0.0013437-0.00027588i,0.00079705-0.00035823i,0.00044561-0.0008596i,0.00029518-0.00038507i,-0.00019746+0.00089316i,-0.00045456+0.00071539i,-0.00057762+4.1861e-05i,-0.0010944-4.7722e-05i,-0.00088607+0.00011145i,-0.00086285+0.00080681i,-0.00047102+0.0009664i,-9.6332e-05+0.00024809i
-0.0013645+9.1358e-05i,-0.0014168+0.0017088i,-0.00056672+0.0019385i,-0.00033686+0.00025421i,-0.00060796-0.0017413i,0.00066918-0.0014496i,0.001829-0.0016897i,0.0014173-0.0034469i,0.00037589-0.0032607i,-0.00058045-0.0018251i,-0.00075987-0.00095236i,-0.0008187+4.9236e-05i,-0.00077101+0.00078516i,-0.00015318+0.00014975i,0.00025709-0.00036255i,0.00040604+0.00022477i,0.00027121+0.00056421i,0.00035697+0.0011592i,0.00028205+0.0013117i,-0.00051163+0.0011934i,-0.00052014+0.0012579i,-0.00059007+0.00096682i,-0.00030507+0.0002957i
0.00042115-0.003055i,0.0012389-0.0041812i,0.0030707-0.0031973i,0.003701-0.0020562i,0.0030568-0.0016882i,0.002069-0.00051675i,0.00050986+0.00037528i,-0.0016316-0.00025757i,-0.0026135-0.00023928i,-0.0017592+0.00028174i,-0.00045922+0.00077914i,-0.00033101+0.0010973i,-0.00020563+0.0010486i,0.00066085+0.00045517i,0.00065565-0.00043986i,0.00070259-0.00069705i,0.00082883-0.00034082i,0.00054996-4.3178e-05i,0.0011212+0.00013611i,0.0011096+0.00086199i,0.00059568+0.00015105i,0.00093143-0.00099451i,0.00098087-0.00060988i
0.0041514+0.0033992i,0.0069929+0.0036169i,0.006857+0.0013762i,0.0041832-0.0004581i,0.0019335+0.00073297i,0.0017358+0.0021207i,0.0012311+0.0022906i,-0.00039573+0.0023825i,-0.0011413+0.0020175i,-0.00041997+0.0015142i,0.00050028+0.00080408i,0.00052559+0.00027358i,0.00019402-0.00014309i,-0.00031103-0.00023987i,-0.00058093+0.00030188i,-0.00065982+0.00018485i,5.1991e-05-0.00078815i,0.00016401-0.00068336i,-0.00015145-0.00027142i,-0.00014331-0.0006012i,-0.00049865-0.00057605i,-0.00058427-0.00063524i,0.00021179-0.00058957i
-0.0038057+0.0020901i,-0.0037084+0.0030673i,-0.00073794+0.0032069i,0.0039978+0.0015087i,0.0054352-0.0011884i,0.0043932-0.0026203i,0.0044132-0.001673i,0.0049193+0.00065105i,0.0041268+0.0016572i,0.0023815+0.00104i,0.0011074-0.00043409i,0.00033549-0.00092878i,-0.00092632-0.00076093i,-0.0018076-0.00091041i,-0.001793-0.00093644i,-0.001044-0.001234i,-0.00054223-0.00097816i,-0.0008791-0.00035852i,-0.0013512-0.00014289i,-0.0011123-0.00025802i,-0.00073869-0.00088727i,-0.00036034-0.0010544i,0.00051267-0.00094916i
0.005106-0.0042225i,0.0068273-0.0053249i,0.0053237-0.004333i,0.0021058-0.0013283i,0.0013827+0.00052027i,0.0026253+0.00046756i,0.0032792+3.8383e-05i,0.0032553-0.00088914i,0.0027865-0.0013818i,0.0015738-0.0011646i,0.00053318-0.00021013i,8.0408e-05+0.0010223i,0.000214+0.001061i,0.00068017+0.0013432i,0.00057523+0.0014457i,0.0004433+0.00045113i,0.00040022-0.00011789i,0.00036335+0.00057398i,0.00025401+0.00098754i,0.00063189+0.0009279i,0.00071716+0.00065933i,0.00073358+0.00076118i,0.0011107+0.0011898i
3.1215e-05+0.004044i,0.0011611+0.0044911i,0.0031381+0.0027728i,0.0026408+0.00018897i,0.0016201-0.0012593i,0.0015636-0.00078269i,0.0017304-0.001275i,0.0011925-0.0027945i,0.00014657-0.0036396i,-0.00014879-0.0029347i,0.00041292-0.0018697i,0.00047018-0.00035072i,0.00019338+0.00097305i,6.8894e-06+0.001004i,0.00016475-3.2252e-05i,0.00041121-0.00081296i,0.0008152-0.00047219i,0.00095909-3.7688e-05i,0.00053215+0.00049253i,0.00027025+0.00059432i,0.0005406+0.00046277i,3.8141e-05+0.00026173i,-0.00034064+7.7134e-05i
-0.002326-0.001054i,-0.0021309-0.002792i,-0.00061524-0.0020323i,0.0019907-0.00086402i,0.0032938-0.00060778i,0.0026682+0.00017123i,0.00097321+0.0012805i,-0.001354+0.00093163i,-0.0025378-5.7423e-05i,-0.0014601-0.0014061i,6.4929e-05-0.0024145i,0.00021658-0.0018859i,-0.00011764-0.0010743i,0.00034855-0.0012132i,0.00011522-0.0012358i,-0.00035732-0.00062091i,-0.00082732-0.00032759i,-0.0004729-0.00075828i,0.00011505-0.00035867i,0.00018977+8.955e-05i,0.00030499-1.9601e-05i,0.00016042-0.00022114i,0.0005826-0.00045802i
0.004415+0.0030655i,0.0066277+0.0019125i,0.0063015-0.00068393i,0.0032403-0.0011431i,0.0011623-0.00053756i,0.0009228+0.00067967i,0.0005687+0.0026425i,-0.00020176+0.0041587i,-0.00016555+0.0041287i,0.00065466+0.0023935i,0.00019796+0.00059642i,-0.0014427-0.00029811i,-0.0015856-0.00087348i,-0.00094608-0.0012362i,-0.00079401-0.00091139i,-0.00026966-0.00058865i,-0.00021055-6.2754e-05i,-0.00066569+0.00014461i,-0.00074028+0.00060598i,-0.0009993+0.0010589i,-0.00068017+0.00082459i,0.00041115+0.00032931i,0.00056496-0.00048809i
-0.00070761-0.00013557i,-0.00047969+0.001344i,0.0014646+0.0013462i,0.0019951+0.0007935i,0.0017157+0.00076743i,0.0024604+0.0012289i,0.0042124+0.0013864i,0.0047543+0.0020143i,0.0036171+0.002397i,0.0020331+0.002383i,0.00078333+0.0017724i,-0.00013066+0.00055096i,-0.00025421+0.00074789i,0.00037012+0.0014959i,0.00076421+0.0012447i,0.00086804+0.0011194i,3.5121e-05+0.001022i,-0.00077809+0.00043727i,-0.00064597+0.000119i,-0.00065339-0.00011908i,-0.00081005+0.00022968i,-0.001116+0.0011138i,-0.0012916+0.0014833i
-0.00081279-0.0011656i,-0.00025612-0.0023255i,0.00030148-0.00067386i,0.0019266+0.0020928i,0.0034968+0.0015491i,0.0036205-0.00033086i,0.0035854-0.0017258i,0.0046343-0.0028978i,0.0046768-0.0024635i,0.0036163-0.00090223i,0.0024892-2.511e-05i,0.0016559-0.00028627i,0.0010809-0.00095695i,0.000573-0.0012422i,0.00035783-0.0012553i,0.00012823-0.0011025i,0.00034077-0.00074911i,0.0001282-0.0012202i,0.00038966-0.0010714i,0.00050117-0.00057875i,0.00014687+4.6263e-05i,0.00046965+0.00072155i,0.00038652+0.00049602i
-0.00054787+0.0030446i,0.002902+0.0031426i,0.0052317+0.0019694i,0.0050059-0.00011651i,0.0033526-0.0011957i,0.0012427-0.0019311i,-0.00062187-0.0023345i,-0.0014846-0.0030379i,-0.0012034-0.0035687i,-0.00048434-0.0035255i,0.00075573-0.0022362i,0.0010814-0.0011318i,0.00076749-0.0011012i,0.00047712-0.00067579i,-3.5268e-05-0.0011966i,-0.00061265-0.0014434i,-0.00058638-0.0009364i,-0.00023604-3.7779e-05i,-9.0787e-05+0.00036991i,0.00028359-9.6536e-06i,0.00088695-0.00021795i,0.0013514-0.00032181i,0.0011767-0.00039439i
0.00075682-0.0009509i,-0.00024491-0.00025077i,-0.0003078-0.00020357i,0.0011306-0.0011655i,0.0027027-0.0019956i,0.002144-0.0012756i,0.00069626+0.00010959i,-0.0010887+0.0011907i,-0.002764+0.00070559i,-0.0029686-0.00079179i,-0.0030082-0.00135i,-0.0023456-0.0016735i,-0.00081961-0.0011857i,-0.00084113-0.0005605i,-0.0015574-8.8417e-05i,-0.00099681+0.00076441i,-0.00049981+0.00062774i,-0.00083918+0.0008392i,-0.00087605+0.0012341i,-0.00012649+0.0012114i,5.6801e-05+0.00089312i,0.00012474+0.00017281i,0.00044446+0.0001295i
7.2043e-05-0.00266i,-0.00068025-0.0014433i,-0.0016745-0.00044731i,-0.0010937+0.0015946i,-0.00013319+0.0038096i,0.00093534+0.0041117i,0.0024356+0.0042667i,0.0020088+0.0045707i,-0.00024231+0.0044578i,-0.0002942+0.0039743i,0.00033218+0.0028418i,-0.0003722+0.0018416i,0.00024303+0.0010935i,0.0018147+0.00049996i,0.0026031+0.0010398i,0.0023201+0.00085698i,0.00084627-0.00031209i,0.00054828-0.001168i,0.0012202-0.0015039i,0.0010656-0.00082993i,0.00017415-0.00064828i,-0.00057139-0.00098635i,-0.00099056-0.00039161i
-0.0016168+0.0010904i,0.00041467+0.00013685i,0.004332-0.0004554i,0.0049551-0.0013183i,0.0044767-0.0022706i,0.0045859-0.0017258i,0.0054411+0.00053222i,0.0064131+0.0021508i,0.0056654+0.0023385i,0.0047583+0.0018586i,0.0033646+0.00049905i,0.0013453-0.00058961i,-4.4402e-05-0.00085418i,-0.00021558-0.00066041i,-0.00044557-0.00081495i,-0.00095534-0.00069721i,-0.00028047+0.00010884i,0.00054503+0.00043671i,0.0010346+0.0006827i,0.0010111+0.0010604i,0.00059458+0.0015268i,0.00037884+0.0016805i,0.00086272+0.00089372i
0.0021934+0.0018747i,0.00337+0.0027357i,0.0037741+0.0025413i,0.0032413+0.0013419i,0.0038626+0.0007148i,0.0044037-0.00018343i,0.0041182-0.0028289i,0.0039288-0.0045666i,0.0035896-0.003837i,0.0038148-0.0033569i,0.0037911-0.0032212i,0.0026077-0.0017882i,0.00063571-0.00056846i,-0.00098061-0.0012022i,-0.0012041-0.0024696i,-0.0006271-0.0020456i,-6.5412e-05-0.0010449i,0.00020043-0.00036968i,-0.00078332+0.00019416i,-0.00092733+0.00063355i,-5.4577e-05+0.00088557i,0.00038828+0.00090708i,0.00028114+0.00027142i
-0.0022599+0.0089008i,-0.00021144+0.0096466i,0.0042217+0.0078513i,0.0054226+0.002833i,0.0033202-0.0034096i,-0.0015655-0.0068543i,-0.0055368-0.0056945i,-0.0059747-0.0042871i,-0.0042188-0.0036546i,-0.0021719-0.0029917i,-0.0015455-0.0024327i,-0.0013545-0.0020426i,-0.002182-0.0027658i,-0.0037024-0.003239i,-0.003486-0.0024511i,-0.0020236-0.0011204i,-0.00045757+0.00059845i,-9.2015e-05+0.00099655i,-0.0012403+0.00040235i,-0.0011995+8.5153e-05i,0.00012955+6.0488e-05i,0.00049897-4.4097e-06i,0.00034802-4.2329e-05i
0.00094165-0.027828i,-0.0055019-0.025603i,-0.016841-0.020767i,-0.017254-0.0083184i,-0.012852+0.0042394i,-0.0030281+0.010665i,0.0028273+0.0062996i,0.00082229+0.0017777i,-0.0028064-1.9625e-05i,-0.007007+0.001768i,-0.0069767+0.0056035i,-0.0014035+0.0065443i,0.0048791+0.0071152i,0.0089555+0.0093543i,0.0087411+0.010239i,0.0048525+0.0062979i,0.0009466+0.0016298i,0.0010396-0.00047619i,0.0041774-0.0019595i,0.0041561-0.0030492i,0.0015618-0.0030149i,-0.00046228-0.001091i,-0.0011088+0.0012791i
0.0039982-0.0013099i,0.0032175-0.00013378i,0.00031024+0.0013498i,-0.00017239+0.00106i,0.00034126-6.2752e-05i,0.0015278+0.00028044i,0.0034231+0.00086066i,0.0040223+0.0027917i,0.0025689+0.0047821i,0.00063151+0.0039933i,0.00077663+0.0018041i,0.0014197+0.00036462i,0.0022095+0.00068119i,0.0027971+0.0016264i,0.0020027+0.0011473i,0.00079334+0.00063512i,0.00020354+0.00015021i,-0.00034579-0.00023825i,-0.00016757-0.00057976i,-0.00011166-0.00071959i,-0.0013498+0.00029782i,-0.0013156-0.00021866i,-2.2652e-05-0.00030331i
-0.0024533-0.0030405i,-0.0026764-0.0028352i,-0.0015383-0.0031638i,0.00029439-0.002806i,0.0011946-0.0011051i,0.0035465+0.00084347i,0.0067404+0.00026674i,0.0082107-0.001109i,0.007112-0.0018869i,0.0042177-0.0012408i,0.0016406-0.00074541i,0.00067276-0.00041071i,0.00048221-0.00013463i,0.00019054-7.481e-05i,-6.6411e-05+0.00036788i,-0.00035547+0.00080119i,-0.00045826+0.00048303i,-0.00040162+0.00010412i,-0.00066573+0.00024278i,-0.00062937+5.3959e-05i,-0.0005521+0.00022109i,-0.00080879+0.00061572i,-0.0011701+0.00030877i
0.0029709-0.0065955i,0.0019534-0.0066485i,0.0014489-0.0049159i,0.0018012-0.0027063i,0.0022543-0.00086678i,0.0028041-0.00066324i,0.0029692-0.0028937i,0.0021014-0.0043817i,0.0015773-0.0040746i,0.0010395-0.0026568i,-0.00015942-0.00042195i,-0.00075966+0.00052801i,-0.00061127-0.00055618i,-0.00042058-0.00037184i,-0.00022683+0.00031404i,8.6356e-06-0.00016452i,-0.00018925-0.00058392i,-0.00022645-0.00014746i,-5.0738e-05-0.00026634i,0.00038099-0.00041906i,0.0010402+0.00010811i,0.0012319+0.00065581i,0.00073143+0.00044477i
