-0.001106-0.0010055i,2.4042e-05-0.00052126i,-0.00069181+0.00025777i,-0.00086908+0.0016394i,-8.6928e-05+0.0031418i,0.0008938+0.002523i,0.0019878+0.0019386i,0.002339+0.001983i,0.0016456+0.0010576i,0.000814+0.00043185i,0.0010681-0.0007546i,0.0014467-0.0021404i,0.001114-0.0015705i,0.0010838-0.00029726i,0.0010536-0.0002216i,0.00074164-0.00030486i,0.0001576-0.00015913i,-8.5569e-05-0.00073036i,0.00018207-0.0011924i,-0.00015361-0.00083354i,-0.00036844-0.00045154i,-0.00021201-0.00031621i,0.00012223-0.00027818i
-0.00054331+5.6376e-05i,-0.00017387-0.00047744i,-8.0219e-05-0.00091478i,-0.00082137-0.00010306i,-0.00018734+0.00094003i,0.0007553+0.0020815i,0.00084986+0.0026174i,0.0008137+0.0012888i,0.0010699+0.00014697i,0.0011595-0.00029788i,0.0011681-0.00037819i,0.0017087-0.00011509i,0.0018829-0.00041917i,0.0011822-0.00059569i,0.00090728-0.00026634i,0.00060565-0.00043239i,0.00044487-0.00095398i,0.00046148-0.00031996i,0.00018602+0.00094592i,-0.000204+0.00099778i,0.00012273+0.00048572i,0.00068247+1.1912e-05i,0.00060835+0.00020253i
0.0012391-0.00085701i,0.00079489-0.0013671i,-0.00019763-0.0014819i,-0.0022447-0.00084445i,-0.0032777+0.00056579i,-0.0017895+0.0029686i,1.3025e-05+0.003607i,0.00037655+0.001788i,0.00060966+0.00045058i,0.00094184+0.00063906i,0.00071757-0.00044906i,0.00061025-0.00087242i,0.00034631+0.00016134i,0.00029919-2.4893e-05i,0.00018431-0.00067313i,4.0658e-05-0.00084095i,8.8857e-06-0.00064936i,0.00016794-0.00078295i,0.00096408-0.00079875i,0.00055377-0.00082943i,0.00031149-0.00069768i,0.00024847-0.00038776i,-0.000102-0.0004919i
-0.00055795+0.0010165i,-0.00011867+0.00081028i,0.00030055+0.0016859i,0.00061263+0.0024236i,0.00084307+0.0016744i,0.00048966+0.00084688i,-0.0007103+0.0013849i,-0.00083248+0.0018729i,-0.00011571+0.0013843i,0.00018832+0.00034049i,0.00036681-0.00026798i,-7.9291e-05-5.2067e-05i,-0.000142-7.5427e-05i,0.00063656-0.00014625i,0.00067333-0.00063833i,-0.00015066-0.00096809i,-0.00023919-0.00078313i,-0.00056012-0.00063677i,-0.0010455-0.00028667i,-0.00074921-0.00066603i,-0.00062685+1.437e-05i,-0.00054644+0.00086957i,-0.00070025-0.00023777i
0.0013072-0.00038595i,0.00086212-0.0010384i,0.00046959-0.0014507i,-0.00050772-0.0018525i,-0.0014568-4.568e-05i,-0.00053793+0.0020195i,0.00023783+0.0023729i,-0.00035498+0.0016114i,-0.00011396+0.00039293i,0.00021825-0.00010098i,-2.8171e-05-0.00058372i,-2.2728e-06-0.00077286i,0.0002215-0.00051408i,-0.00016895+3.7894e-05i,-0.00033414+0.00036223i,-2.5153e-05+0.00040389i,-0.00036292+7.9287e-06i,-0.00084272-0.0001699i,-0.00046732+0.00016557i,-2.6695e-05+9.8212e-05i,-7.6728e-05-0.00020838i,-4.2391e-05-0.00054522i,9.1932e-05-0.00038743i
0.00092376+0.0010738i,0.0016013+0.00038006i,0.0018582-4.9685e-05i,0.0012161+0.00084129i,0.00063612+0.0017706i,0.00054284+0.0027505i,0.00021093+0.0023641i,0.00035417+0.0012234i,0.001094+0.0011092i,0.0014187+0.00061286i,0.00087645-0.00015662i,0.00024643-0.00019529i,0.00026144-0.00060576i,0.00028946-0.00073113i,-7.3915e-05+0.00012977i,-3.6049e-05+0.00041451i,-0.0006588-0.00026177i,-0.00075228+6.8502e-06i,0.00050417+0.00060133i,0.00037108+4.7623e-05i,-0.00051672-0.00052876i,-0.00049488-0.00063228i,-0.00054032-0.00090221i
0.0022345+0.0014714i,0.001253+6.0014e-05i,7.0777e-05-0.0010377i,-0.0010678-0.00060424i,-0.0016219+0.0005284i,-0.0017632+0.0015502i,-0.0015192+0.002117i,-0.00096743+0.0022186i,-0.00071528+0.0014796i,-0.00043537+0.00017644i,-0.00013898-3.8634e-05i,-0.00024061+0.0003736i,-0.00080101+0.00077767i,-0.00069236+0.0014995i,-0.00069643+0.0011391i,-0.0004763+0.00036876i,0.00038306+7.3197e-05i,0.00039164+0.00042447i,-0.00033797-0.00019736i,-0.00015201+2.6774e-05i,-4.8273e-05+0.00076816i,0.00030396-6.6806e-05i,0.00059818-0.00063571i
-0.002014+0.0016227i,-0.001479+0.0011501i,0.0001259+0.0020582i,-6.555e-06+0.0030567i,-0.00051023+0.0029189i,0.00010766+0.0012782i,0.00023567+0.00085318i,3.9018e-05+0.0012137i,-0.00011329+0.0014277i,3.882e-05+0.00071158i,0.000431+3.4747e-05i,0.00024433-0.0002252i,0.00052983-0.00019543i,0.00079177-0.00094868i,-6.6247e-05-0.0018644i,-0.00051896-0.0014918i,-0.0001858-0.00063469i,-0.00057191+1.0278e-05i,-0.00069747-0.00034079i,-0.0009101-0.00037115i,-0.0011125-0.00038429i,1.0297e-05-0.00099927i,0.00086864-0.00034496i
0.0031559+0.0012398i,0.0022183+0.00066915i,0.0010937-0.00066603i,2.2753e-06-0.0003281i,-0.001277+0.00047514i,-0.0018803+0.0016091i,-0.001389+0.0017484i,-0.00077675+0.00091882i,-0.00055561+0.00029096i,-9.0692e-06+0.00037071i,0.00020395-5.8208e-05i,5.1486e-05-0.00061066i,-0.00046315-0.00033631i,-0.00066756+0.00054023i,-0.00029347+0.00076212i,0.0002308+0.00091683i,0.00046407+0.00099599i,-0.00020746+0.00068067i,-0.00011821+0.00034515i,-9.073e-05+0.00013577i,-0.00092718+0.00027189i,-0.00063464+0.00037185i,-3.5861e-05+0.00045996i
-0.00014601+0.0015234i,0.00048872+0.0013002i,-3.587e-05+0.00073157i,2.6756e-05+0.0011706i,0.00047089+0.0022572i,0.00040257+0.0020452i,6.3219e-06+0.00099571i,-0.00038026+0.00076881i,-0.00050717+0.00056484i,0.0001249-0.00050995i,0.0005754-0.0018146i,0.00069372-0.0014896i,0.00040425-0.00019355i,-0.00031843+0.00021672i,-0.00014139+0.00010732i,-0.00040222+0.00015178i,-0.00061179+0.00049754i,-0.00037054+0.00038137i,-0.00025787-0.00025928i,-0.00053649-0.00038929i,-0.00063123-0.00024798i,-0.00018672-0.00024765i,5.1963e-05-9.832e-05i
0.00066274+0.00022563i,0.00040042-0.0010109i,0.00052062-0.002018i,-0.00010772-0.00089875i,0.00032189+0.00037508i,0.0010594+0.0012815i,0.00073643+0.0021365i,1.6127e-05+0.0011932i,-0.00085033+9.4515e-05i,-0.00066917-0.00015592i,2.0717e-06-0.00022124i,0.00023268-0.00060615i,0.00022952-0.00065591i,0.00046895-0.00045955i,0.00046265-0.00046002i,0.0001528+3.5473e-05i,0.0005028+6.5031e-05i,0.00034871+5.1443e-05i,-0.00069958+0.00039359i,-0.00070429+0.00019908i,0.00052702+0.00016408i,0.00057581+0.00026353i,-0.000115-0.00032871i
0.0013843+0.0012424i,0.0012361+0.0013678i,0.0008275+0.00088384i,-0.00013723+0.00039202i,-0.0011197+0.0014186i,-0.0011224+0.0021227i,-0.00046404+0.0015396i,2.9165e-05+0.0012096i,0.00068481+0.00085878i,0.0014017-0.00011608i,0.0011988-6.6406e-05i,0.00014388-3.6939e-05i,4.7144e-05-0.00042385i,0.00011534-0.00046879i,-0.00022159-0.00058369i,-0.00069205-0.00035746i,-0.00060451-0.00067412i,-0.00048587-0.00062414i,-0.00077226-0.00013037i,-0.0004061+0.0001531i,0.00018254-0.0004428i,0.00081217-0.00087286i,0.0010878+1.7062e-06i
-0.0010441-0.00084509i,-0.0018621-0.00069441i,-0.0027031-8.8565e-05i,-0.0016441+0.00094136i,-0.00043465+0.0013508i,0.00036046+0.0016533i,0.0003811+0.0011412i,0.00034379+0.00016957i,0.00045089-0.00039705i,0.0001252-0.00089844i,0.00014947-0.00037651i,0.00013847+0.00043717i,-8.8772e-05-0.00036355i,0.0005725-0.0011339i,0.0010529-0.00013681i,0.00046848+0.00019694i,-0.00010392-0.00025092i,-0.00041792-3.9282e-05i,-0.00067112-0.00018016i,-0.00029194-0.00067022i,0.00014637-0.00061731i,0.00027924+0.00018518i,-0.00030282+0.00074184i
0.0028949+0.00022031i,0.0027956-0.0010325i,0.0023977-0.0022279i,0.0013774-0.0011995i,0.00020576+0.001306i,0.00032495+0.0026338i,0.00036476+0.0020118i,-0.00037743+0.0013261i,-0.00014013+0.0010068i,0.00035609+0.00025304i,0.00013582-0.00040964i,0.00010297-0.00098293i,0.00041991-0.00013375i,0.00058131+0.00043323i,0.0006317+3.6465e-05i,0.00012762-4.2372e-05i,-0.0005884-0.00073986i,-0.00042159-0.00049597i,0.00020702+0.00013877i,0.00035475+0.00016317i,5.3238e-05-0.00029397i,-0.0006255-0.00031931i,-0.00040051-0.00014501i
0.0010403-0.00093627i,0.00011698-0.00031456i,-0.0012361+0.00031199i,-0.001988+0.0010526i,-0.0018675+0.0020233i,-0.0014751+0.0027909i,-0.00028375+0.0028197i,0.00011741+0.0018485i,7.4905e-05+0.0011442i,-0.00024453+0.00070391i,-0.0010322+0.00028066i,-0.00077108-0.00034654i,0.00039737-0.00057608i,0.0012439+4.8365e-05i,0.00042655+0.00057657i,-0.00021008+0.00025621i,-0.00048018+9.8747e-05i,0.00031748-1.586e-05i,0.0014511+0.00021306i,0.00098043+0.00013603i,0.00066597-0.00028976i,0.0009404-0.00013802i,0.00041233+9.2161e-05i
1.5175e-05+0.00051736i,0.00055436-0.00070824i,0.00059438-0.0014961i,0.00015493-0.0011973i,0.00053214+0.00052691i,0.0011008+0.0022654i,0.00092913+0.0020788i,0.00044616+0.00088738i,0.00039459+0.00010058i,0.00036738+0.00010854i,0.00024379+0.00028549i,-0.00015015-0.00023552i,-0.00013895-0.0011134i,0.00056887-0.00074468i,0.00047239+0.00016914i,5.5519e-05+0.00064937i,0.00069854+0.00060747i,0.00090737+0.00011078i,-0.0004099+2.6126e-05i,-0.00082713+0.00038847i,-0.00054886+0.00023012i,-0.00017245-0.00061555i,9.6285e-05-0.001316i
-0.00014455+6.6587e-05i,-0.00015295+0.0011011i,-0.00075904+0.0016267i,-0.0008558+0.0021531i,0.00029722+0.0022759i,0.0003888+0.00187i,0.00011273+0.0011801i,0.00019195+0.00058703i,-0.00032939+0.00025628i,-0.00058367-5.1769e-05i,-0.00082811-0.00069594i,-0.00086908-0.0010406i,-0.00027332-0.0009162i,0.00018673-0.0006859i,0.00031736-0.00080242i,0.00019177-0.00042456i,0.00054897+1.4477e-05i,0.0010914-0.00013684i,0.00014501-0.00052985i,-0.00043013-0.00039921i,-0.00048615-0.00015835i,-0.0003599+4.3305e-05i,-5.6443e-05-9.9497e-05i
0.0017009+2.9573e-05i,0.0025803-0.00056893i,0.0019185-0.0016263i,-0.00011347-0.0011051i,-0.00081429+0.0011739i,0.00029375+0.0026839i,0.00077556+0.0031758i,0.00082431+0.0029969i,0.00084112+0.0023172i,0.0011382+0.0015025i,0.00096674+0.00076849i,8.5237e-05+0.00017265i,-0.0010867-0.00042522i,-0.001337-0.00090825i,-0.0013967-0.001104i,-0.00061033-0.0014745i,0.001028-0.00065014i,0.0010505+0.00028032i,-8.5785e-05+0.00054572i,-0.00039792+0.0011825i,-0.00044998+0.00092832i,-0.00028078+8.8978e-05i,-0.00035545-0.00012326i
3.266e-05+0.00011458i,0.00078112-0.00040484i,0.00021671-0.00054495i,-0.00055979+0.00082712i,-0.00031287+0.0026168i,-0.00016427+0.0032184i,-0.00013601+0.0023072i,-0.00015279+0.0011819i,-0.0002255+0.00025955i,-0.00013045-0.00032874i,0.00062328-0.00080503i,0.0005953-6.4058e-05i,-0.00011764+0.00065939i,0.00031487+0.00018297i,6.7941e-05-0.00019242i,-0.00044762+3.9095e-05i,-0.00040873+0.00019443i,-0.00020379+0.00042957i,-3.7108e-05+0.00020818i,0.00021378-8.5771e-05i,0.00090236+0.00037563i,0.00085654+0.00038256i,0.00051313-0.00026769i
-0.0020401-0.0018995i,-0.0018433-0.0013757i,-0.001365+4.4327e-05i,-0.0012509+0.0016784i,-0.00018435+0.0029178i,0.0012123+0.0033187i,0.0013262+0.0029029i,0.0011611+0.0015335i,0.0016412-0.00030486i,0.0011412-0.00029668i,0.00035185+0.00012793i,0.00079783+2.2435e-05i,0.0011969+0.00043419i,0.0015544+0.00027597i,0.0012327-0.0001544i,0.00040305-0.00065025i,0.00040283-0.00063176i,0.00045879+0.00010084i,-0.00017913-0.00032774i,-0.00055797-0.00065076i,2.1318e-05-0.00048642i,0.00024486-2.309e-05i,-0.00043902+0.00050369i
0.00026791+0.0013013i,0.0015757+0.00070307i,0.0019698+0.00068888i,0.00038546+0.0011691i,-0.00071287+0.0022589i,-0.00068003+0.0026057i,-0.001227+0.0019278i,-0.0014398+0.0018392i,-0.0013359+0.002194i,-0.00056062+0.0014143i,0.00025014-0.00053858i,5.1576e-06-0.0010184i,0.00033033-0.00035549i,0.000772-0.00035539i,-0.00032639-0.00068402i,-0.0012002-0.00087351i,-0.00066543-0.00051963i,-0.00050102-2.9061e-05i,-0.00039101-0.0003823i,0.00057773-0.00010053i,0.00038614+0.00028551i,0.00027083+8.4806e-05i,0.00082403+7.5493e-05i
0.0003461-0.00046259i,0.00018985-0.00044452i,-0.00045321+0.00022078i,-0.00095591+0.0008692i,-0.00011966+0.001649i,0.00077304+0.0026518i,0.00051726+0.0029468i,-5.0355e-06+0.0018813i,0.00058995+0.0008389i,0.00080521+0.00036639i,-0.00034263+0.00026275i,-0.00042998+2.4994e-05i,-6.6688e-05-0.0003264i,-8.1651e-05-0.00087375i,-0.00065577-0.0012503i,-0.0011958-0.0010514i,-0.00079735-0.00056976i,-0.00010167-0.0010584i,2.242e-05-0.0012102i,-0.00029213-0.00033123i,-0.00024816+7.195e-05i,0.00015788+0.00049163i,0.0002319+0.00053259i
0.00095774-0.00043493i,0.00094293-0.0014422i,0.00067443-0.0017807i,-0.00080965-0.00043572i,-0.0016176+0.0009551i,-0.00059516+0.0018565i,0.00021621+0.0020808i,0.00040016+0.0012534i,0.0005201+0.0002342i,0.00066573-0.00031705i,0.001054-0.00086014i,0.00095864-0.0010582i,0.00034186-0.00045086i,-0.00043274+0.00011976i,0.00011295-0.00026995i,0.0011403-0.00056045i,0.0012855-4.9448e-05i,0.0011115+0.00043191i,0.00067441-0.00035395i,0.00042122-0.00076786i,0.0005903-0.00028239i,0.00065552+4.2568e-06i,9.2047e-05+0.00013189i
0.00087839+2.1063e-05i,0.0017725+0.00038916i,0.00016806+0.00045041i,-0.0012588+0.00030174i,-0.00044674+0.0012894i,0.00052232+0.0017333i,0.00081477+0.0013762i,-2.0082e-05+0.00043119i,-0.00021889-0.00038927i,0.00028702-0.00049811i,0.00033637-0.00020102i,0.00026546+3.4729e-05i,0.00058211-0.00015878i,0.00082857-1.271e-05i,0.00087003-0.00027397i,0.00041048-0.00040672i,-0.00047714-0.0004002i,-0.00046285+2.0199e-05i,5.2909e-05+0.0011609i,0.00046492+0.0012333i,0.00034403+0.00082699i,0.00013+0.00027707i,7.8712e-05+0.00016553i
0.00091518-0.00056962i,0.00050369-0.0014797i,-5.1548e-06-0.0011263i,-0.0014038+0.00036752i,-0.0013854+0.0020864i,-0.00033624+0.0031467i,-9.5115e-05+0.0028059i,0.0001945+0.001868i,0.00048298+0.00117i,0.0002695+0.00062953i,0.00039941+0.00010204i,0.00029004-5.1296e-05i,-1.6983e-05+0.0003166i,-0.00040833+0.00077991i,-0.00027971+0.00060193i,0.00014279+0.00028707i,0.00030918+0.000261i,0.00021027+0.00021352i,-0.00022866+0.0002041i,-0.00079047+0.00064711i,-0.0010906+0.0004191i,-0.00078279-0.00039201i,9.8505e-05+0.00015917i
0.00061574+0.0016318i,0.0010725+0.0018462i,0.00031236+0.0014953i,-0.00011019+0.0013059i,-5.8943e-07+0.0020881i,0.0010404+0.0018308i,0.0009329+0.00079583i,0.0004317+0.00088495i,0.00054654+0.0011689i,0.00052048+0.00094968i,0.0010145+0.0013578i,0.00071785+0.001135i,-0.00018147-1.7814e-05i,-2.6839e-05-0.00042958i,0.00055663-0.00065061i,0.00071809-0.00060833i,0.00014271-0.00043388i,-0.00031434-0.00028182i,-0.00038034+0.000221i,-0.00056498-0.00052687i,-0.00048448-0.0010098i,6.8542e-05-0.00030051i,0.00071815+0.00053642i
0.0010216+0.0009885i,0.00047202+0.0017604i,-9.443e-05+0.00090205i,-0.0012539+0.001112i,-0.0020709+0.0018857i,-0.0016188+0.0020904i,-0.00041537+0.0021734i,-5.4673e-05+0.001387i,0.00036419+0.00049443i,0.0011223-0.00026853i,0.0013823-0.00096722i,0.00011597-0.00067931i,-0.00090139+0.00016807i,-0.00069628+0.00017722i,-0.00082382-0.00058425i,-0.0012067-0.00095966i,-0.0010175-0.00073555i,-0.0011028-0.00080802i,-0.0010465-0.00066443i,-0.00075863-0.00061174i,-3.6277e-05-0.00040258i,2.1994e-05+0.00010334i,-0.00014834+0.0001968i
0.00052081-0.0014774i,0.0011633-0.0011261i,0.0011805-0.00027721i,7.2611e-05+5.3686e-05i,-0.00037165+0.0017291i,0.00020875+0.0029193i,0.00050402+0.0021571i,0.00057643+0.0011469i,0.00061586+0.00016504i,0.0001913-0.00051239i,-0.0001719-0.00075951i,0.00014624-0.00055191i,-0.00011274-0.00057765i,-0.00061425-0.00065435i,-0.00025706-0.00035825i,8.5128e-05-0.00053138i,0.00030447-0.00012939i,0.00079352+0.00017876i,0.00068441-0.00016326i,0.00016909-0.00011551i,-0.00011324-0.0001284i,-0.00022711-0.00013099i,-0.00026159-6.1708e-05i
0.00066266+0.0016911i,0.0016255+0.0001124i,0.0010744-0.00058468i,-0.00036368-0.00021405i,-0.001255+0.00063055i,-0.00068042+0.0015653i,8.9553e-05+0.0023507i,-1.8042e-05+0.0019001i,-0.00053811+0.00072092i,-0.0010207+0.00033395i,-0.0004356+0.00020264i,0.00089722-5.6683e-06i,0.0012387+2.7139e-05i,0.000634-3.9453e-05i,-8.0772e-05-0.00042928i,-0.00064635-0.00084198i,-0.0004619-0.00081756i,-6.7537e-05-0.00017743i,-0.00026724+0.0003201i,-0.00046532+0.00077918i,-0.00011152+0.00052795i,4.5224e-05-5.2327e-05i,-0.00045283-0.0001371i
-0.00099675+0.00023313i,-0.00067695-0.00014171i,-0.00022127-0.00034679i,-0.00038867+0.00019957i,-0.0011159+0.0012547i,-0.00074871+0.0017204i,-0.00032213+0.0017722i,-0.00029719+0.0012155i,0.00050093+0.00067255i,0.00076206+0.00062393i,0.00048147+0.00076269i,0.00029075+0.00024493i,2.5119e-05-0.00040168i,4.7247e-06-0.00086709i,0.00040608-0.0014465i,0.00058058-0.0010855i,0.00092105-0.00045393i,0.0010593-8.5149e-05i,0.00074893+0.00045774i,0.00044768+0.00017305i,0.00037791-0.0005982i,0.00067571-0.00013509i,0.00043785+0.00033747i
0.0010985+0.0014945i,0.00065711+4.7899e-05i,0.00065238-0.00063854i,-0.0011664-0.00080797i,-0.0017949+4.4597e-05i,-0.00090819+0.0017959i,-0.00025876+0.0026664i,0.0001735+0.0019157i,0.00094355+0.00054513i,0.00084974-0.00036498i,0.00019558-0.00068704i,-0.0010959-0.00073449i,-0.0017865+9.7131e-06i,-0.00094195+0.00075964i,-0.00067122+0.00046903i,-0.00058139+0.00029528i,0.00016701+0.00071988i,0.00052134+0.00045436i,-0.00027584-0.00020955i,-0.0013235+4.9056e-05i,-0.00067491+0.00052092i,0.00027502+0.00024956i,-7.9714e-05+0.00010728i
0.0001425-0.00049152i,-5.9336e-05-0.0004372i,-0.00074893-0.0010802i,-0.00052178-0.0012006i,-0.00026403+0.00026208i,-0.0005506+0.0013652i,-0.00092705+0.0012384i,-0.00060354+0.0008874i,-0.00028905-0.00017506i,-0.00062848-0.00077678i,-0.00040616-0.0002408i,3.1946e-05-0.00016921i,0.00053823-8.1456e-05i,0.00057766-0.00017759i,-0.00014853-0.00032838i,-0.00037942-0.00027035i,-0.000423-0.00033484i,-0.00063053-0.00044917i,-0.00071132-0.00054213i,-0.00052806-0.00055633i,-0.00062625-8.6735e-05i,-0.00065854+0.00045158i,-0.00021934+0.00036838i
0.0014048-0.00045568i,0.0018075-0.00044019i,0.00070814-0.00034786i,-0.00020785+0.00043836i,-0.00060522+0.0025295i,-0.00079609+0.0035833i,-0.00038685+0.0031505i,0.000446+0.002053i,0.0011966+0.0011755i,0.0013771+0.00083991i,0.0011018+0.00015734i,0.0012085+7.6803e-05i,0.0010651+0.00071545i,0.00051249+0.00037006i,0.000579-2.2302e-05i,0.00043766-3.36e-05i,0.00059829+7.0965e-05i,0.00025626-0.00042674i,-0.00058907-0.00048669i,-0.00089571-0.00010612i,-0.00054942-0.00032663i,-0.00063585-0.00040946i,-0.00073575+0.00034686i
0.0017986+0.0010827i,0.0016765+0.0013623i,0.00064857+0.0003997i,-0.00061257-0.001103i,-0.00066979-0.0010539i,0.00020996+3.8907e-05i,0.00047422+0.00078717i,0.00032682+0.0012849i,0.00051534+0.0011843i,0.00080358+8.1384e-05i,0.00069343-0.00075273i,0.00033467-0.00075449i,0.00040854-0.0010427i,0.00020659-0.0010567i,-0.00081387-0.00064037i,-0.001532-0.00083336i,-0.00010328-0.000556i,0.00079605+0.00026966i,0.00039243-0.00063652i,0.00045523-0.0018361i,5.5831e-05-0.0011233i,0.0001728-0.0001192i,0.00046212+0.00026424i
0.00048779+0.0013552i,3.5886e-05-0.00013788i,-0.00032743-0.00088251i,-0.0019452+0.00065597i,-0.0028443+0.0027689i,-0.0012134+0.00394i,-0.0003766+0.0029898i,-0.00078088+0.0014782i,8.8722e-05+0.00014506i,0.00056411+7.4766e-05i,8.7828e-05+0.00077037i,-0.00048605+0.00052826i,-0.001008-0.00010576i,-0.0010685-0.0003245i,-0.00066269-6.8065e-05i,-0.00055566+0.00010673i,-0.00014071-0.00024698i,0.00074648-0.0007512i,0.00043481-0.00084958i,0.00035169-0.00032885i,0.0013171-5.807e-06i,0.0011322+0.00016502i,0.00067441+0.00071225i
0.0026715-0.00043642i,0.0019457-0.0010232i,9.4106e-05-0.0006582i,-0.00045172+0.00052868i,0.00018984+0.0010893i,0.00011699+0.0015343i,-0.00041813+0.0019316i,-2.3897e-05+0.0015072i,0.00020583+0.0011158i,-0.00010924+0.00068176i,-0.00045363+0.00021369i,-0.00027697+0.00052519i,0.00020954+0.0012829i,0.00044399+0.00087785i,0.000818+0.00049138i,0.00035344+0.00041595i,-0.00058868+0.0002471i,-0.00075534+0.00051614i,-0.00078424+0.00032786i,-0.00044471+4.4539e-05i,0.00012424+0.00018782i,0.0004437+0.00055941i,0.0010577+0.00056209i
0.00011637+0.0011392i,4.0823e-05+0.00060453i,-0.00016334+5.6216e-05i,-0.00071199+0.00085691i,-0.0016762+0.0020006i,-0.001349+0.002587i,-0.00041299+0.0022935i,0.00018197+0.0018202i,0.00045599+0.00098072i,0.00072321-4.1493e-05i,0.00035543-0.00010937i,-0.00028314+0.00046313i,-0.00050809+0.00040784i,-0.00031263+0.00038879i,-0.00076705-8.5838e-05i,-0.0013995-0.0010683i,-0.00137-0.00018611i,-0.00087893+0.00054731i,-0.0005918+0.00014254i,-0.0004154-0.00047917i,0.00040294+9.8726e-05i,0.00068923+0.00099944i,-2.2192e-05+0.00014232i
0.00073672+0.0012181i,0.0013034+0.00091071i,0.00024662+0.00068445i,-0.00068506+0.00087594i,-0.00060627+0.00074562i,-0.00061416+0.00069054i,-0.00029484+0.0010613i,0.00045342+0.0013535i,0.00099217+0.00084363i,0.0013337+1.489e-05i,0.00088804-0.00056903i,0.00033484-0.0011213i,-2.8196e-05-0.00091574i,-0.00077084-0.00054985i,-0.00068241-0.0010984i,-0.00053393-0.00065527i,-0.00069514+0.00014855i,-0.00082177-0.00033181i,-0.00066269-0.00058565i,0.00012742-0.00037079i,-5.3319e-05-0.00013521i,-0.0004672-0.00013334i,-0.00036015-4.0354e-05i
0.00056156+0.00071558i,0.0010759-0.00032247i,0.00044447-0.00028623i,-0.00075374+0.0016234i,-0.0010657+0.0029727i,-0.00022223+0.0034514i,0.00019708+0.0021954i,0.00045561+0.00069263i,0.0003429+0.00077499i,-0.00042087+0.00092007i,-0.00010938+0.00021398i,0.00031402-0.00014235i,0.00072576+0.00034312i,0.00091017+0.00034148i,0.00054723+0.00021937i,-0.00052758-0.00036985i,-0.00064394-0.00092114i,-2.0902e-05-0.00027922i,8.0669e-05-4.1846e-05i,-4.8011e-05-0.00051563i,5.2179e-05-8.6703e-05i,-7.0771e-05+0.00091346i,0.00033345+0.00088607i
0.00073861+0.002217i,0.0011769+0.0022134i,0.0018922+0.0018939i,0.0013545+0.00097907i,-8.7749e-05+0.00102i,-0.00050924+0.0020887i,0.00026022+0.0023038i,0.00032355+0.0020282i,0.00064968+0.0010425i,0.00084215+9.7509e-05i,0.00037992+0.00031435i,0.00061386+4.3187e-05i,0.00073389-0.00064797i,0.00047834-0.00020006i,0.00014171+2.6163e-05i,0.00017349-0.00067265i,0.00013511-0.0012143i,9.2506e-07-0.00075047i,0.00013382-8.4908e-05i,-0.00042985+2.5984e-05i,-0.00026125-0.00028619i,0.00026482-0.00018325i,0.00074988-2.3169e-05i
0.0013338+0.00066575i,0.0010562+0.0011719i,2.6836e-05+0.00012105i,-0.00014892-0.00083772i,-0.00049561+0.000629i,-0.00094084+0.0021833i,-0.00039285+0.002749i,0.00040023+0.0018754i,0.00064755+0.0003033i,0.00015233-7.495e-05i,0.00022118+0.00020567i,1.209e-05+0.00061279i,-0.00051291+0.00021199i,-0.00024959-0.0001121i,-0.00023107-0.00027784i,0.00012175-0.0002972i,4.8942e-05-0.00021288i,-0.00054578+4.8869e-06i,-0.00079497+0.00049545i,-9.3214e-05+0.0001893i,0.00085134-0.00045313i,0.00054373-0.00058163i,0.00046547-0.00091851i
0.00021718-0.0010844i,0.00062455-0.00059814i,0.00042037-9.5525e-05i,-0.00031335+0.00049228i,-0.00077263+0.0025505i,0.00044387+0.0038025i,0.0017678+0.0022233i,0.0011874+0.00092148i,0.00026878+0.00073608i,0.00015675-3.3863e-05i,0.00012478-0.0010309i,0.00041567-0.0006743i,0.00079435+0.00039372i,0.00071498+0.00094588i,0.00027203+0.00014967i,-0.00013459-0.00044836i,-0.00034763-0.00024553i,0.0002066-0.00043329i,-8.2321e-05-0.00097097i,-0.00039439-0.0012536i,4.0176e-05-0.00035808i,0.00036132+0.00030147i,0.00038307-9.4454e-06i
0.001303-0.00066154i,0.0012442-0.000833i,0.00078398-0.00084269i,-0.0012219-0.00021655i,-0.0019818+0.00099814i,-0.0012673+0.0029525i,-0.0012489+0.003328i,-0.001405+0.0021144i,-0.0010431+0.0004845i,-0.0006135-0.00040716i,0.00030219-0.00031401i,-9.3835e-06-1.0217e-05i,-0.00029852+0.0002441i,4.6062e-05-4.2822e-07i,-0.00019967-3.585e-05i,-0.00038815-0.00010816i,-0.00055771-0.00029625i,-0.00037784-0.00076075i,-0.00012932-0.00086772i,0.00012747-0.00099359i,0.0004154-0.00010341i,6.2127e-05+0.0012799i,-0.00014936+0.00031286i
-0.00094514+0.0016056i,-0.00010962+0.00095782i,-0.00041127+0.0013515i,-0.0011341+0.0022062i,-0.0011625+0.002888i,-0.00040331+0.0020635i,4.4237e-05+0.0013737i,-0.00037488+0.0014371i,-0.00045636+0.00071093i,-4.5825e-05+0.00015202i,0.00073297+8.8022e-05i,0.00068126-0.00012817i,0.00035978-0.00010574i,0.00037154-0.00010222i,-1.442e-05-0.0010709i,-0.00034712-0.0011121i,-0.00055066-0.00024042i,-0.00075994-0.00057272i,-0.00066982-0.0011521i,-0.00087857-0.00030039i,-0.0007524+0.00091204i,-0.00027213+0.00073512i,0.00060841+0.00013217i
