0.0024131-9.0355e-05i,0.0017754-0.00094902i,0.0011008-0.0025453i,-1.8056e-05-0.0031287i,-0.0014745-0.0024759i,-0.0025221-0.00070934i,-0.0012725+0.00071275i,0.00021216+0.0011023i,0.0015688+0.00045475i,0.0013236-0.00089583i,0.00028014-0.0015786i,-0.00013416-0.00033805i,-0.00035561+0.00030331i,0.00040687-0.0003685i,0.001303-0.00040136i,0.0015711+0.00035505i,0.00069079+0.00071137i,9.1301e-05+0.00043312i,0.00044412-0.00032012i,-3.5145e-05-0.0010025i,-0.0003517-0.00068734i,-0.00048964+5.3576e-05i,7.8082e-05+0.00034561i
-0.00061411+0.00049816i,-0.0016601+0.0010671i,-0.00019761+0.00040906i,0.00011084+0.00036033i,0.00060232-0.0008474i,0.0012201-0.0017866i,0.00031616-0.0013544i,0.00049467-0.00075175i,0.0011053-0.00058895i,0.00051328-0.00043395i,-0.00011234-3.9999e-05i,-0.00032812-0.00041468i,-6.866e-05-0.00027033i,-0.00011769+1.0421e-05i,0.0003022-0.00018101i,0.00089771+0.00077676i,0.0002707+0.0014128i,-0.00065284+0.00064921i,-0.00035366-0.00010139i,-0.00048552+0.00011064i,-0.00053426+0.00043271i,0.00064598+0.0005012i,0.00059962-0.00042155i
-0.00024003+0.0011565i,-9.6186e-05+0.0012762i,0.00072019+0.00070973i,0.00087319+0.00035737i,0.00099515-0.00020763i,0.0013352-0.00097123i,0.0018688-0.0011059i,0.0012842+0.00016212i,0.0010459+0.00043741i,0.00077273-0.00053009i,9.1874e-06-0.00020905i,-0.00057213+0.00065782i,-0.00063973+0.00055544i,0.00050522+0.00025221i,0.0010525-0.00015519i,0.00079426-0.00020099i,0.00018616-0.00031728i,-0.00023775-0.00096283i,0.00019802-0.0011836i,0.00043872-0.00067329i,-0.00011323-0.00015493i,-0.00050135-0.00015301i,0.00025586-0.00023715i
-0.0011833+0.0016029i,-0.00074546+0.0014372i,-0.00047218+0.0013547i,0.00099391+0.001015i,0.0015649-4.1757e-05i,0.0011641-0.00053985i,0.00047669-0.00077463i,0.00015326-0.00036046i,0.00052525+0.0005721i,0.00072728-6.7769e-05i,0.0002866-0.0003687i,-0.00054025+0.00014116i,-0.0010697-0.00071963i,-0.00079139-0.00086716i,-0.00057264-0.00027536i,-0.00066344+5.3609e-05i,-0.00038349+0.00043239i,0.00022632+0.00029903i,0.00074274+0.0003798i,0.00096612+0.00049963i,0.00064218+0.00082177i,0.00034724+0.00066746i,8.5702e-05-0.00013338i
8.6775e-05-0.00077647i,0.00083582-0.0010732i,0.00082585+0.00011071i,0.00081414+0.00079558i,0.00063275+0.00018321i,0.00087974-0.00073861i,0.0010171-0.00064447i,0.00047242-0.00025735i,0.00048769-0.00093849i,-2.9241e-05-0.0016194i,-0.00068251-0.0013092i,-0.00053233-0.00089156i,-7.47e-06-0.00065948i,0.00029534+0.00023167i,4.3868e-05+3.559e-05i,0.00038795-0.000516i,0.00072223-8.1607e-05i,0.00019768+1.8278e-05i,-0.00063478-8.0241e-05i,-0.00079995-0.00018101i,-0.00039054-0.00039375i,0.00027163+0.00019015i,0.00084539+0.00023393i
-0.0010567+0.001283i,-0.0016862+0.0017524i,-0.00039976+0.0017373i,0.00039219+0.0012719i,0.00076872+0.0010138i,0.0011849+0.0008109i,0.00058543+0.00014407i,-0.00011128-0.00020295i,-0.00011748-0.00053629i,0.00016561-0.0011326i,-9.6208e-05-0.00098143i,-0.00020859-0.00047917i,-6.2379e-06-0.00045294i,0.00081678-0.00081515i,0.0010656-0.0011544i,0.00014976-0.00082096i,-0.00045456+0.00044847i,-0.0010233+0.0007519i,-0.00077387-1.6721e-05i,-0.00021994-0.00057886i,3.3352e-05-0.00084806i,-0.00024548-0.00047332i,-0.00066725-7.8443e-05i
-0.0011307-0.00018495i,1.9158e-07+0.00074591i,0.00021638+0.00048885i,-0.00023897+0.00056094i,-0.00011455+0.00086052i,0.00084114-6.9691e-05i,0.0015981-0.0011579i,0.0012176-0.00067784i,0.00055192-8.1268e-05i,0.00033451-0.00037818i,0.00023124-5.8153e-05i,0.00025985-0.00023656i,0.00080589-0.00088213i,0.00027776-0.0006789i,-0.00069347-0.00033185i,-0.00066391-0.00017435i,-0.00059437-0.00051347i,-0.0011458-0.0011874i,-0.0011392-0.00098869i,-0.00034715-0.00039251i,0.00069182-0.00068366i,0.00055865-0.00064735i,-0.0003761-0.00020726i
0.001804+0.00012161i,0.0001132+0.00093941i,-0.00050752+0.0013305i,0.0004622+0.00035717i,0.0017188-0.00055104i,0.0014913-0.00072065i,0.00081572-0.00070513i,-0.00029581-0.00018553i,-0.00054113+0.00068241i,1.0068e-05+0.00053899i,4.869e-05+5.6534e-05i,-0.00021032-6.9553e-05i,-0.00056371-0.00033371i,-0.00065118-0.00077574i,-0.00045196-0.0007658i,-0.00025284-0.00071796i,-0.00014142-0.00020139i,3.797e-05+0.00073758i,3.5176e-05+0.00011346i,-3.2985e-05-0.00096726i,-0.00014889-0.0014251i,6.3555e-05-0.0011266i,7.9782e-06-0.00054632i
-0.00063534-0.00097902i,0.00014308-0.00095349i,0.00038467+0.0005757i,-0.00011403+0.0012987i,0.00046255+0.00016405i,0.001046-0.00034983i,3.2778e-05+0.000128i,-0.0011106-0.00018169i,-0.00059415-0.0012498i,-4.6076e-05-0.00093142i,-0.00020333+2.5509e-05i,-2.2499e-05-0.00012295i,0.00023958-0.000169i,-0.00015929+0.00022505i,-0.00020431+0.00072808i,0.00019134+0.00011852i,0.00033285-0.0011046i,0.00035407-0.0011688i,-0.00030359-0.0010107i,-0.00029259-0.00065592i,0.00014152-0.00010987i,-0.00021133+2.6886e-05i,-0.0010085+0.00010277i
0.0013523+0.00065554i,0.0014161+0.0018113i,0.0020281+0.0011988i,0.0016131-0.00077527i,0.0008182-0.0014795i,0.0012672-0.0014082i,0.00085447-0.001411i,0.00038802-0.0012029i,0.00011506-0.0008758i,-0.00050777-0.0011887i,-0.0011087-0.00023272i,-0.00067718+0.00066418i,0.00016424+0.00035112i,-9.6022e-05-0.00026627i,-9.8192e-05-3.9635e-05i,-0.00029402+0.00024089i,3.7856e-05-1.2822e-05i,0.00065411-0.00020492i,0.00047132-0.00037643i,0.00014594-0.00011529i,0.00054251+5.9962e-05i,0.00033476-0.00017412i,-6.8695e-05+0.00018712i
-0.00083546-0.0013299i,-0.0032077-8.8207e-06i,-0.0038378-0.00012516i,-0.0017608+0.00038294i,-3.5845e-05+0.001587i,0.001683+0.0011418i,0.0022826+0.0004568i,0.0015948-0.00010907i,0.00090615-0.00056986i,-0.00021297-4.5147e-05i,-0.00083577+0.00085318i,-9.6413e-05+0.00061358i,0.0010873-0.00077452i,0.0011076-0.0012834i,0.00028419-0.00059574i,-8.2279e-06+0.0003206i,-1.939e-06+0.00066941i,-0.00016685+4.2619e-05i,-2.3051e-06-0.00057846i,0.00032111-0.00064578i,0.00073475-0.00026309i,0.0002531+0.00028409i,-0.00058561+0.00010114i
-0.0002071-0.00094168i,0.00018092-0.00019658i,0.0013587+0.00065496i,0.0024504+0.00028012i,0.0025189-0.00089988i,0.0015344-0.0015448i,0.00035955-0.0018124i,-0.00036701-0.0010596i,-0.00012795-0.00020408i,9.2041e-05-1.5514e-05i,0.00030208-0.00033026i,0.00092141-0.00027154i,0.00058296+0.00029673i,-9.8039e-05+0.00055109i,-0.00068628+0.00010536i,-0.00074211-0.00044315i,0.00035011-0.00061867i,0.0010131-0.00050984i,0.0006954-0.00069979i,0.00034616-0.0002064i,0.00039663+3.1634e-05i,0.00076131-0.0012114i,0.00032731-0.0010054i
0.0014223+0.00061757i,0.00072696+0.0012913i,-0.00035829+0.00079685i,-0.0012866+0.00016218i,-0.00026332+0.00052079i,0.0020025+0.00092888i,0.0020461+0.00061859i,0.0004014+7.197e-05i,-0.00053623-0.00063976i,5.8853e-06-0.00098009i,-1.905e-05-0.00091492i,-0.000192-0.00053706i,-0.00063334-0.0002784i,-0.0010166+3.9584e-06i,-0.00067364-0.00022951i,-0.00070601+7.5779e-06i,-0.0011758-0.00013734i,-0.0012636-0.00032594i,-0.00094238-0.00025433i,-0.00044496-0.00014078i,0.00058883+6.5194e-05i,0.00070464+4.9702e-05i,4.517e-05+0.0004224i
-0.00042025-0.00047156i,-0.0019178-0.00053804i,-0.0018133-0.00033639i,8.2122e-05-0.00049673i,0.0018196-0.00068201i,0.0020894-0.0010411i,0.0010442-0.00074783i,-0.00036684-0.00010047i,-0.00076361+0.00028131i,-2.4034e-05+1.8289e-05i,0.00012162+0.00029255i,-0.00046646+0.00025746i,-0.00030983+0.00011209i,-5.4284e-05-0.00031135i,0.00010433-0.0011558i,-0.00033879-0.00088709i,-6.6142e-05+0.0001399i,-8.1348e-05+0.00074979i,-0.00030598-0.00021791i,5.3704e-05-5.9276e-05i,0.00083342+0.00080341i,0.00022198-5.576e-05i,-0.0012758+3.3676e-05i
-0.00029032+0.00050914i,-0.0001422+0.0017186i,0.00051824+0.002417i,0.00089944+0.0017268i,0.001487+0.00049385i,0.0024761-0.00016168i,0.002428-0.00050156i,0.001376-0.000409i,0.00035868+0.00045076i,2.6192e-05+0.0010351i,0.00054641-0.00013313i,0.00049899-0.00086118i,-0.00015155-0.00028887i,-0.0002888+5.9217e-05i,-0.00059431-0.00075915i,-0.00012013-0.0018222i,0.0010065-0.00073023i,0.0011663+0.00087632i,0.00053118+0.00077326i,0.00035993+7.7562e-05i,0.00023879+0.00013975i,-0.00072377+0.00060694i,-0.00071748+0.00014708i
-0.0025914+0.0022669i,-0.0018313+0.0038658i,-0.0015267+0.0049302i,0.0001757+0.0031428i,0.0016723+0.00028466i,0.0011149-0.00203i,-0.00054606-0.0019826i,-0.0010485-0.0010052i,-0.00019409-0.00012693i,0.00014088+0.00057853i,-0.00031813-1.7503e-05i,-0.00056458+0.00012614i,-0.00062259+0.00034209i,-0.00088009+0.00074516i,-0.00047257+0.00065999i,-0.00014314-4.2288e-05i,-0.0003421-0.00074048i,-0.00018611-0.0006754i,-0.00035847-0.00029785i,-0.00042291+0.00011854i,0.00054597+0.00090237i,0.00042548+0.00083128i,-0.00010968-0.00010511i
0.00044804-0.0030229i,0.00049993-0.0019676i,0.00018723-0.00049701i,-0.00034138-0.00012179i,0.00028464-0.00051049i,0.0015676-0.00074977i,0.0015857-0.00072678i,0.00090831-0.00029163i,0.00046229+0.00016243i,-4.4988e-05+5.5534e-05i,-0.00032072-0.00018651i,-0.00061167-0.00028877i,-0.00045287-0.0006356i,-0.00024518-0.0010672i,-0.0003139-0.0013058i,-2.2944e-05-0.0014561i,-0.00018775-0.0010086i,-0.00010464-0.0010717i,0.00046585-0.00090594i,0.00066845-0.00031484i,0.00039844-0.00042334i,-0.00010614-0.00050399i,-0.00023186-0.00013819i
-0.00039757+0.0010513i,-0.0010863+0.0023876i,-0.0012159+0.0032094i,6.629e-05+0.002146i,0.001028+0.00038208i,0.0014391-0.0008275i,0.0010703-0.0014983i,0.00044592-0.0013323i,6.697e-05-0.00069686i,-0.00029012-0.00073725i,2.036e-05-0.00087297i,0.00045434-0.00071017i,0.000645-0.0007047i,0.00075816-7.8852e-05i,0.00010999+4.6357e-05i,-5.9942e-05-0.00060985i,5.2955e-05-4.0236e-05i,-0.00048937+0.00036111i,-0.00037079+0.00033486i,-0.00061849+0.00014237i,-0.0011003-0.0006698i,-0.00074119-0.00085253i,-0.00018027-0.00055314i
-0.0014781-0.0027568i,-0.0024861-0.0026034i,-0.0025016-0.0012639i,-0.0015218-0.00019494i,0.00040194-0.00066807i,0.00074333-0.0016312i,0.00032837-0.0012039i,0.00065669-0.00014331i,0.001123-0.00017879i,0.00061057-0.00069958i,-9.2015e-05-0.00020631i,4.8404e-06+0.00014678i,-3.8227e-05-0.00019261i,0.00029832-0.00087081i,0.0007007-0.00029997i,0.00057774+0.00077705i,-0.0001565+0.00092955i,-0.00029285+0.0005016i,0.00014505-0.00032013i,0.0001766-3.3125e-05i,-0.00028734-0.00057678i,-0.0002256-0.0015588i,0.00032854-0.00088474i
0.0019027+0.0016225i,0.002136+0.0027695i,0.0026965+0.0027082i,0.0034176+0.0011347i,0.0032261-0.00035458i,0.0023072-0.00073007i,0.00078589-0.0011995i,-0.00029254-0.0012432i,-0.00043481-0.00057209i,-0.00014271+2.346e-05i,-0.00040396-0.00040236i,-0.00058717-0.00092597i,-0.0007873-0.0006477i,-0.00070491-0.00046361i,-0.00027856-0.00024153i,-1.7214e-05-0.00031901i,-7.6124e-05-0.000667i,9.0545e-05-0.00014932i,0.00045866-0.00010226i,0.00026671-0.00028142i,0.00047063-5.9966e-05i,0.00028184-0.00011335i,-0.00052276+1.2677e-05i
-0.0019713+0.00047133i,-0.0027838+0.0010306i,-0.0015111+0.00097652i,0.00044619+0.00034903i,0.0007396-0.0011707i,0.0008981-0.0019977i,0.0011835-0.001178i,0.0010397-5.1801e-05i,0.0014136-0.00056426i,0.0012406-0.00052384i,0.00028779+0.00041265i,0.00020813+0.0002888i,0.00097643-0.00031468i,0.0015524-0.00055825i,0.0011324+0.000106i,-0.00026272+0.00044465i,-0.00029954+4.4523e-05i,-7.5682e-05-0.00032641i,-0.00038468-0.00034143i,-0.00020531+0.00036209i,0.00015423+0.00052816i,0.00053192+0.00029806i,4.2737e-05+0.001158i
0.0016841-0.0022728i,0.0014783-0.0022682i,0.00050883-0.0015923i,0.00014523-0.0007724i,0.00091715+0.00028504i,0.0010907+0.00051034i,-0.00010507-0.00046877i,-0.00078641-0.00062053i,5.9935e-05+0.00046558i,0.00057562+0.00062299i,4.3876e-05-0.00027897i,-0.00025813-0.00047025i,-0.00018247-0.00014778i,-0.00011569+0.00026045i,0.00010272+0.00042868i,5.2606e-05-0.00015505i,-0.00051276-0.00081866i,-0.00066918-0.0013265i,-5.4795e-05-0.0012104i,6.0133e-05-0.00044959i,-0.00037876+0.0003483i,-0.0009317+0.00030628i,-0.0011302+2.4636e-05i
-0.0042221+0.00078133i,-0.0035828+0.004935i,-0.002303+0.0066282i,0.00016526+0.0041285i,0.0024299+0.00053924i,0.0035246-0.0013083i,0.0030806-0.0022297i,0.00099046-0.0019125i,-0.00028382-0.00087955i,-0.00091977+0.00015347i,-0.0015141+0.00111i,-0.00095893+0.0011283i,-2.3562e-05+0.00055153i,0.00032071+0.00046189i,0.00016108+0.00032847i,0.00024054-0.00025035i,0.00020089-0.00029662i,-0.00040231+0.00017639i,-0.00065955+0.00015973i,-0.00012372-6.7114e-05i,-0.0001351-0.00022119i,-0.0004962-0.00019857i,-0.0005521+2.2757e-05i
-0.0012059-0.00076639i,-0.00099782-0.00036873i,-0.00031706-0.00027059i,0.00088611-0.00055979i,0.00099292-0.00049512i,0.00056462-0.00031696i,0.00028632-0.00077194i,0.00016401-0.00021675i,0.00030892+1.0285e-05i,0.00048812-0.00041015i,0.00070062-0.00063739i,0.00055339-0.00089444i,0.00039037-0.00073703i,0.00055233-0.00029515i,0.00039493+9.9748e-05i,-0.00014419+0.00020322i,-0.00030864+0.00048176i,-0.00014267+0.00074587i,-0.00015606+0.00026851i,-0.00060251+0.00022414i,-0.00068021+0.00076452i,0.00023656+0.00063781i,0.00072086+0.00035711i
-0.0021929+0.0023234i,-0.0012852+0.0041718i,-0.00045156+0.0035678i,0.00013754+0.0019009i,0.00096216+0.00037508i,0.0023979-0.0017511i,0.0024549-0.0022519i,0.00093329-0.0013839i,0.00024545-0.00038142i,0.00043229+0.00089746i,-2.708e-05+0.0008821i,-0.00045831+0.00022425i,-0.0004243-0.00017567i,-0.00044234-0.00062961i,-0.00064202-0.00094231i,-0.00089518-0.00025205i,-0.00074373+0.00026613i,-0.0006091-6.8988e-05i,-4.1706e-05-0.00013127i,0.00079785+0.00052754i,0.00050383+0.00055553i,-0.00057974-0.00013412i,-0.00085356-0.00066812i
0.00036233-0.0021887i,-0.0021481-0.0023825i,-0.0015542-0.0010994i,-5.9003e-05-0.0011673i,0.00060529-0.0013685i,0.00095334+0.00029006i,0.0017596+0.0012484i,0.0015397+0.00070016i,0.00064224-0.00014085i,5.1407e-05-0.0015875i,0.0001953-0.0014938i,0.00065172-0.00028384i,0.0011219-8.3877e-05i,0.0015295-0.00046657i,0.00098369-0.00033348i,0.00027957-0.00040038i,-0.00073643-0.00030112i,-0.00078608+9.0257e-05i,-7.4046e-05-0.00050188i,0.00035793-0.00029157i,0.00040128-0.00073574i,-0.00024884-0.0009317i,-0.00020671+0.00033425i
-0.00013475+0.00068071i,0.0014026+0.0027957i,0.0013869+0.001873i,0.00083032+0.00029769i,0.0016436+0.00037183i,0.0025163+0.0001213i,0.0016099-0.00077098i,-0.00015487-0.0012024i,-0.00044663-0.0013527i,-0.00024968-0.0015282i,-0.00050938-0.0010087i,-0.00071132-0.00066926i,-0.00060704-0.00074051i,-0.00011918-0.00060358i,9.786e-05-0.00065031i,0.00045707-0.00037715i,0.00012337+0.00047204i,-0.00047461+0.00050869i,-0.00034115+0.00010332i,0.00027599-0.00023889i,0.00028483-0.00026959i,-0.00031946-0.00028552i,-0.00020265-0.00039193i
-0.00074364+0.0010638i,-0.0029127+0.0019693i,-0.0027406+0.0017118i,-0.00033647-0.00010134i,0.00080694-0.00042846i,0.00042989+3.5198e-05i,0.00042853+3.981e-05i,0.00047805+9.3971e-05i,0.00067721+6.2663e-05i,0.00034023-0.00076562i,-0.00023831-0.001474i,8.2405e-05-0.0012227i,0.0004214-0.00054817i,0.00052444+0.00083484i,0.00087021+0.001282i,0.00027661+0.00058616i,-7.9958e-05-0.00012257i,0.0001614-0.00028081i,0.00016015+0.00014695i,-9.327e-06-0.00020467i,1.1552e-05-0.00015107i,0.00045608+0.00064615i,0.0011269+0.00076041i
0.00020402-0.0023819i,0.001082-0.0014618i,0.0017226-0.00014126i,0.0016089+0.00026475i,0.0010682-6.4301e-06i,0.0014155-0.00019331i,0.0013458-0.00043283i,0.0004816+7.6132e-05i,5.6196e-06-2.6014e-05i,0.00010473-8.06e-05i,3.6383e-05+0.00017539i,4.3773e-05-0.00024779i,0.00037263+2.788e-06i,0.00032543-0.00012576i,0.00075215-0.00041266i,0.0011774-0.00022779i,0.00062979+0.00034116i,0.00066394+0.00025971i,0.0011094-0.00015226i,0.00079591+0.00035827i,-0.00049712+0.00059293i,-0.0010575+0.00021365i,-0.00074309-0.00052823i
0.00015197+0.00047654i,-0.0013468+0.0019745i,-0.0013+0.00095863i,0.00017516-0.00093795i,0.00065372-0.0014285i,0.00093251-0.0021484i,0.0011265-0.0018519i,0.0012537-0.00079245i,0.0014744-0.00054665i,0.00013466-0.00060036i,-0.0014989-0.00060493i,-0.0012003-0.00075128i,7.6052e-05-0.0010754i,0.00028691-0.0013204i,0.0006851-0.0011087i,0.00073688-0.00022451i,0.00035831+0.00055751i,-0.00032035+0.00084861i,-0.0003404+0.00082262i,-5.6539e-05+0.00052961i,0.00032907+0.00036284i,0.00019834+0.000156i,-0.00026054-0.00085971i
-0.00036811-0.0013267i,-0.0015807-0.0026957i,-0.0021109-0.0019116i,-4.3519e-05+0.00055191i,0.0021502+0.0007939i,0.0027878-0.00028291i,0.0018052-7.0458e-05i,0.00062066+0.00037971i,0.00024445+0.00028165i,0.00067201+0.00053104i,0.0005726+0.00027561i,-0.00010644-0.00056357i,-0.00043212-0.0006503i,-6.7843e-05+6.6607e-05i,0.000476+0.00014249i,-7.7907e-05+1.2882e-05i,-0.00072883+0.00051144i,0.00017617+0.00053817i,0.00074296+0.00029414i,-0.00032551+0.00015573i,-0.00097458+0.00043502i,-0.00063007+0.00043715i,-4.4717e-05-0.0001681i
0.00099712-9.4781e-05i,0.00049616+0.0009113i,-0.0005935+0.0010173i,-0.0010696+0.00035659i,-0.00078975-0.00058738i,0.00017186-0.00092175i,0.0011772-0.0010635i,0.00074161-0.001221i,-0.00033864-0.0012426i,-0.0005361-0.00077903i,-0.0007531-0.00068611i,-0.001046-0.00095176i,-0.00016518-0.00079477i,0.00065799-0.00020017i,0.00082113+0.00025008i,0.0006338+0.001099i,-8.5498e-05+0.0015825i,-0.00014263+0.0001475i,0.00011308+7.6687e-05i,-0.00030121+0.00071625i,0.00030202+3.9594e-05i,0.00089871+4.0805e-05i,0.0008069+0.0010131i
-0.0029205-0.00095772i,-0.0036284-0.00027709i,-0.0020418+0.00023124i,0.00051719+0.00067049i,0.0019151+0.00085915i,0.0025598+0.0013174i,0.0026436+0.0017751i,0.0015012+0.00072776i,0.00084252-0.00029325i,0.00044726-0.0011845i,-0.00010328-0.0013101i,0.00029872-0.00078291i,0.00038516-0.0010566i,0.00053209-0.001049i,0.000805-0.00054167i,0.0001547+0.00048872i,-0.00049269+0.0010904i,-0.00045269+0.0011353i,-0.00029623+0.00063818i,-0.00037559-0.00057555i,-0.00014701-0.00081413i,-0.0005416-0.00059056i,-0.00088693-0.00062707i
-4.0248e-05-0.00062268i,0.00064713-0.00085407i,-0.0012739-0.00031634i,-0.0019684+0.00083179i,-0.00031366+0.00056938i,0.001087-0.0005157i,0.0017185-0.0012113i,0.00073588-0.0014801i,-0.00070707-0.0016369i,-0.00045096-0.0012775i,0.00062134-0.00042114i,0.00057849-0.0002712i,4.4282e-05-0.00085143i,0.00014791-0.0012964i,0.0011471-0.0015293i,0.0012772-0.00064508i,0.00073297+0.0003324i,0.00033814-0.00051953i,0.00037669-0.00065156i,0.00065286+0.00030913i,0.00014583+0.00045484i,-0.00053417-6.0464e-05i,-0.00051567-0.00057399i
0.0010195-0.0033171i,-0.0011905-0.0021256i,-0.0021811-0.0022048i,-0.001408-0.0024964i,-6.947e-05-0.0020156i,0.0016666+0.00026519i,0.0022684+0.00056898i,0.0014765-0.00022235i,0.0010357-0.00060048i,0.00031413-0.0012077i,-0.00028873-0.00087652i,5.4212e-05-0.00041246i,0.0010052-0.00022147i,0.0023351+0.00021231i,0.0017213+0.0011915i,0.00019711+0.001425i,-3.7119e-05+0.0010856i,-0.00028119+0.00098523i,-0.00064202+0.00028308i,-0.00034242-0.00035924i,0.00064866-0.00041921i,0.00017673-0.000512i,-0.00064909-0.00014076i
-0.003812+0.0081086i,-0.00060903+0.0089101i,0.0039757+0.010148i,0.0057984+0.0070695i,0.0061491+0.0033174i,0.0038855+1.5595e-05i,0.0008415-0.00038148i,-0.00028165+0.00029185i,-0.00063658+0.00091196i,0.00090749+0.00081721i,0.0015213-0.00089938i,0.00064112-0.0010188i,-0.00076868-0.00019184i,-0.0024361+0.00081754i,-0.0038329+0.0013464i,-0.0030752-5.1842e-05i,-0.00076905-0.0014259i,0.00011066-0.00054165i,0.00070951+0.00074283i,0.0010352+0.00021987i,0.00020121-0.00037717i,-0.0010129-1.3005e-05i,-0.0011435+0.00067667i
-0.001413+0.0022755i,-0.0018125+0.0040088i,-0.001767+0.0038963i,-0.00019468+0.0013665i,0.00046297-0.00043605i,0.00094158-0.00058095i,0.0011525+0.00084414i,0.00012338+0.00096088i,3.1222e-05-9.861e-06i,0.00070663-0.00012158i,0.00012738-0.0002925i,-0.00093489-0.00096948i,-0.00051971-0.00056736i,-0.00069938+0.00061695i,-0.0016695+0.00085062i,-0.0015105+0.0002862i,-0.00022417-0.00057438i,0.00029996-0.00045099i,0.00029352+0.00053212i,-0.00040103+0.00060787i,-0.00076858+0.00029881i,-0.00032531+0.0012423i,-0.00011911+0.0015086i
-0.0010386-9.5222e-05i,-0.0015869+0.0010229i,-0.0016404+0.0024027i,-0.00024348+0.0021056i,0.002069+0.00093138i,0.0028691-0.00041318i,0.0019452-0.0011735i,0.00096007-0.00084112i,-0.00034676-0.00034853i,-0.00040912-0.00029304i,-0.00011706-0.00064531i,-0.0001961-0.0010817i,0.00014338-0.00078536i,-0.00019007-0.00024673i,-0.00088284-0.00010438i,-0.00046222+0.00053085i,-8.1171e-05+0.00037745i,-0.00021721-0.00074546i,-0.00036996-0.00015128i,-0.00031866+0.00088129i,-0.00063222+0.0005986i,-0.0006794+4.2011e-05i,-0.0005044-0.00076464i
-0.0036293+0.0014361i,-0.0029067+0.0031881i,-0.0016554+0.0033523i,-0.00044155+0.0017859i,0.0011854-1.6561e-05i,0.0018647-0.00030799i,0.00099281-0.00046236i,0.00060634-0.00066145i,0.00051284-0.00076167i,-0.00027854-0.00086549i,-0.00071983-0.00082707i,-0.0010863-0.001007i,-0.00060911-0.0016594i,0.00026657-0.0012665i,0.00038201-0.00034463i,-0.00017658-0.00012185i,-0.00038497-0.00052788i,-0.00028842-0.00044826i,-0.00041846-3.8247e-05i,0.00025109-5.7841e-06i,0.00070968-0.00049565i,0.00020825-0.00058237i,-0.00069002-0.00036299i
-0.00055167+0.00028046i,-8.5901e-05+0.00015934i,-0.00018048+0.001642i,0.00067327+0.0019631i,0.0018885+0.00083279i,0.0018187-0.00041221i,0.00098168-0.0014668i,0.00060554-0.0012953i,0.00019768-0.00066795i,-0.00056005+3.1692e-05i,-0.0012466+0.00066184i,-0.0011422+0.00017885i,-0.00079589-3.9221e-05i,-0.00072137+2.9154e-05i,-0.00061978+3.9159e-05i,-0.00056938+0.00058645i,-0.00035642+0.00071015i,-6.1277e-05+0.00027442i,0.00012414+0.00022064i,0.00028495-1.0226e-05i,-0.00016352-0.00015763i,-0.00096374+9.1679e-05i,-0.0013015-0.00041859i
-0.00024439+0.00062323i,-0.00030533+0.0019525i,0.00067063+0.001341i,0.00073361+4.4918e-05i,0.0010994-0.00081189i,0.0017944-0.00072286i,0.0012019-0.00039229i,0.00030022-0.00044747i,0.00037274-0.00040477i,0.00058679-0.00063874i,0.00029933-0.00055275i,0.00026221-0.00010914i,0.00017838+0.00027966i,-0.00029464+0.0003534i,-0.00071006-0.00017656i,-0.00072644+0.00012956i,-0.00054942+0.00052758i,-2.2192e-05-0.00012672i,-0.00083508+0.00042816i,-0.00092739+0.0010299i,6.2087e-05+0.00012042i,0.00074071-0.00014993i,0.00083219-7.7632e-05i
0.0005255-0.0023559i,-0.00058931-0.0027458i,-0.00031063-0.0019451i,0.0014285-0.00090517i,0.0014689-0.00081758i,0.00099328+1.5103e-05i,0.00032714-0.00030951i,-0.00078955-0.00088328i,-0.00046342-0.00049992i,-0.000393-0.00059933i,-0.00092135-0.00055567i,-0.00038355+0.00015961i,-0.00059528+0.00069301i,-0.00077075+2.4528e-05i,-1.1126e-05-0.00068248i,0.00030612-0.00031033i,0.00078771-0.00049074i,0.001099-0.00028228i,-6.7251e-05+6.3697e-05i,-0.00036129-0.00028372i,0.0004013-9.4211e-05i,-0.00011322+0.00013367i,-0.00094139+5.6026e-05i
0.00044213-6.5061e-05i,-0.00081301+0.002525i,-0.00081874+0.0018388i,-0.0013955+1.0421e-06i,-0.00025683-0.00071459i,0.0023863-0.00030854i,0.0021951+8.579e-05i,0.0011297-0.00023645i,0.00071492-0.00091053i,-8.2554e-05-0.00091673i,-0.00061759-0.00068329i,-0.0005408-0.00017533i,6.9716e-06-0.00010329i,-2.0887e-05-0.00017454i,-0.00034031-0.00034547i,-0.00024669-2.3507e-05i,-0.00021509+0.00090125i,0.00047925+0.00058281i,0.0007409-0.00080284i,0.00060329-0.0011555i,0.00033011-2.0018e-05i,-0.00024633+0.00054552i,-0.00066256-0.00055361i
-0.0029538-0.00081497i,-0.0027665-0.00013348i,-0.002146+0.0009693i,0.00023831+0.0021513i,0.0016383+0.0017223i,0.0020748-0.0006196i,0.0013469-0.0015537i,-0.00051448-0.00066813i,-0.0004941-0.0004206i,0.00051351-0.00018149i,0.0005486-0.00036783i,0.00021746-0.0013703i,9.5995e-07-0.0014941i,-6.1879e-05-0.00041198i,-9.4317e-05-0.00027416i,-0.00065155-0.00072706i,-0.001232-0.0003031i,-0.00082884-0.00020871i,-0.00015065-0.00068882i,-0.00011372+8.5382e-05i,-3.8926e-05+0.00049927i,0.00038446+0.00055186i,-4.7831e-05+9.3736e-05i
