0.0012477+0.00060848i,0.0018051-0.00047007i,0.0034861-0.0030065i,0.0029424-0.005692i,-7.9609e-05-0.0052785i,-0.0024845-0.002038i,-0.0020496+0.00043011i,-0.00015658+0.0019215i,0.0012305+0.0015336i,0.0016858-0.00046836i,0.0010027-0.0013453i,0.00047083-0.0012632i,0.00015424-0.00021131i,0.00029402+0.0013358i,0.00088743+0.0013116i,0.00095672+0.0006839i,0.00062084-0.00019619i,0.00025856-0.00062987i,5.787e-05-0.00094231i,1.2379e-05-0.0011552i,-0.00014922-0.00085189i,-0.0002214-0.00055188i,-0.00019622-0.00023219i
-0.00063343-5.4606e-05i,0.001274+0.00032909i,0.0040418+0.00041903i,0.005579+0.00024042i,0.0042962-0.0014549i,0.0016357-0.0021129i,-0.00056416-0.0011954i,-0.00081442-0.00058199i,0.00062889-0.0011888i,0.0020621-0.0024599i,0.0022243-0.0025779i,0.001302-0.00088417i,0.0003261+0.00048762i,-0.00056542+0.0012777i,-0.00072271+0.0011835i,-5.8716e-05+0.00053486i,0.00031686+0.0003483i,0.00099761-0.00031092i,0.0011126-0.0008749i,2.4923e-05-0.00029502i,-0.00055985+0.00031961i,-0.00022849-0.00017914i,0.00038653-0.00044495i
-0.00070578-0.00033602i,0.00057891-0.00052854i,0.0028592-0.0011604i,0.0054694-0.0018302i,0.0057471-0.0017946i,0.0029343-0.001148i,0.00074706+0.00030287i,-0.00059068+0.0016329i,-0.00086396+0.00095224i,-0.0010258-0.00083302i,-0.0021058-0.0019157i,-0.0024376-0.0018679i,-0.0018676-0.00081312i,-0.00097368+0.0011071i,-0.00032919+0.0024595i,-0.00034214+0.002052i,5.3967e-05+0.0013765i,0.00035471+0.00023069i,0.00054957-0.00079464i,0.00046165-0.00086171i,0.00034249-0.00017341i,0.00018865+0.00023515i,-0.00011034-0.00019685i
0.00097415+7.6513e-05i,0.0024225+0.00027418i,0.0046745+0.00032553i,0.0058137+0.00038466i,0.0047812-0.00040947i,0.0021931-0.0003534i,0.0006653+0.0017039i,-0.00020649+0.0032359i,-0.00060972+0.002627i,-0.0010326+0.00083659i,-0.0019331-0.00078773i,-0.0018199-0.00099565i,-0.0012108-2.2899e-05i,0.00027779+0.0011568i,0.002033+0.0017834i,0.0012562+0.0015781i,0.0012372+0.00057516i,0.0014273-1.2774e-05i,0.00038158-0.00033953i,-0.00012417-0.00095293i,-0.00025774-0.0010952i,-0.00028562-0.00046804i,-0.00015278-1.2887e-05i
-8.3118e-05-0.0013483i,0.001583-0.0008654i,0.003904-0.00095786i,0.0061618-0.0016551i,0.0060457-0.0023257i,0.00435-0.0012435i,0.0037046-6.4832e-05i,0.0034771+0.0013279i,0.0017742+0.0023871i,5.1886e-05+0.0021233i,-0.00074461+0.0016363i,-0.0014985+0.0011697i,-0.0014448+0.00062407i,-8.038e-05+0.00082949i,0.00075684+0.00092183i,0.00066458+1.6998e-05i,0.0006415-0.00033286i,0.00045633-0.00023085i,0.00028431-7.5649e-07i,0.00013062-0.0002649i,0.0004834-0.00016899i,0.00062716+0.00068685i,-0.00017411+0.00043118i
-0.00033018-0.001169i,0.0022674-0.0023408i,0.0049582-0.0024051i,0.0072079-0.0019191i,0.0059872-0.0026028i,0.0032264-0.0031326i,0.0023655-0.0018698i,0.0019504-0.00031631i,0.0014212+0.00031757i,0.00044028+0.0010957i,-0.00047876+0.00064642i,-0.0005498+0.00024747i,-0.00092191+0.00045753i,-0.0015999+0.00017472i,-0.0016562-0.00035661i,-0.00057584-0.00058214i,0.0006275+0.00026992i,0.00054037+0.00079938i,0.00035643+0.00056581i,-4.067e-05+6.5603e-05i,-0.00027859-0.00015494i,-0.00021932-0.00040824i,-0.00067094-0.00043539i
-0.00035892-0.00069601i,0.00076599-0.00042025i,0.003192+0.000698i,0.0053762+0.00031326i,0.0043825-0.0011367i,0.0012917-0.0025657i,-0.00055314-0.0024443i,-0.00030509-0.000889i,0.00095078-7.164e-06i,0.0017741+0.00039726i,0.0013784+0.0005912i,0.00064518+0.0004326i,-0.0003115+0.00050508i,-0.00061041+0.00025567i,0.00030629-0.00012096i,0.00097363+0.0001334i,0.0010049-2.5431e-05i,0.00090198-0.00036147i,0.00084578-0.00078358i,0.00077925-0.0011795i,0.0002138-0.0012205i,-0.00010978-0.0015798i,-6.9875e-05-0.00094864i
0.00092139-0.00044524i,0.0015442-0.0014018i,0.0033566-0.0014142i,0.0054898-0.002205i,0.0050679-0.0030447i,0.0020756-0.0022613i,-0.00078983-0.0004558i,-0.0010006+0.0014053i,0.00010118+0.0013942i,0.00030955-0.00079917i,-0.00011586-0.0013327i,-0.00010514-0.00064718i,0.00041617-0.00026238i,-6.1477e-05+0.0016029i,-0.00048126+0.0028464i,-4.5892e-05+0.0017365i,0.00043049+0.00056521i,0.00093952-0.00034241i,0.00091843-0.0014631i,0.00068421-0.0012301i,0.00093766-0.00050944i,0.00095373+8.4798e-05i,-2.7439e-05+0.00077705i
0.00079317-0.0008557i,0.0025609-0.00073934i,0.0052486-0.00050047i,0.0072822-0.0002395i,0.0051395-0.00070907i,0.0011678+0.00030722i,-0.00018433+0.0024479i,0.00046252+0.0033937i,0.00076571+0.0023908i,0.00064695+0.00087924i,-0.00054791+0.00012776i,-0.00064601+0.00038582i,0.00019811+0.00088391i,0.0006144+0.00073783i,0.00063104+0.00065988i,0.00036563+0.00070916i,-9.8894e-05-6.2949e-06i,-0.00030991-0.00087237i,0.00055093-0.0011801i,-4.5698e-05-0.00099879i,-0.001055+5.5436e-05i,-0.00073469+0.00060843i,-0.00046537+0.0010524i
-0.00068118+6.8323e-05i,-0.00054276-0.00024691i,0.0023625+0.00040285i,0.0048881+3.7744e-05i,0.0042614-0.001274i,0.0032504-0.00112i,0.00265+0.0012211i,0.00258+0.0021956i,0.0027672+0.00090222i,0.0016621-0.00027609i,0.00013164-0.00072706i,-0.00031187-0.00027695i,-0.00035059-4.0144e-05i,0.00056224+0.00023955i,0.0017174+0.00053383i,0.0018363+0.00061295i,0.00069982+0.001272i,-0.00047857+0.00082288i,-0.00032389-0.00024312i,0.00014756-0.0001241i,0.00033861+0.00016279i,0.00039841+8.8289e-08i,0.00061952+8.0247e-05i
-9.2147e-05+0.00031556i,0.0018287-0.0012736i,0.0058939-0.0012078i,0.0093691-0.001818i,0.0092331-0.0031754i,0.0063007-0.0031844i,0.0036257-0.0015641i,0.0016167-0.00056195i,0.0017344-0.00028535i,0.0022211+0.0002169i,0.00094975+9.6714e-05i,9.1581e-05-8.2944e-05i,-0.00029242+0.00036416i,-0.0011619+0.00085161i,-0.00095918+0.00092706i,0.00010229+0.00084912i,0.00085474+0.0006891i,0.00089239+0.00046643i,0.00056695-0.00027523i,0.00035414-0.00017883i,-0.00033574+0.00047711i,-0.00053364+0.00020217i,0.00057776-0.00036705i
-0.00037071-0.001247i,0.0015335-0.00127i,0.0036516-0.00024551i,0.0053468-0.00010008i,0.0053111-0.0020528i,0.0021588-0.0033308i,-6.9349e-05-0.0025639i,-0.00036805-0.00094695i,-0.00037456-0.00091161i,-0.00025916-0.0017163i,-0.00065362-0.0016909i,-0.0020464-0.0010009i,-0.0021508-0.00052257i,-0.00061643+0.0001341i,0.00040181-0.00035331i,0.00057957-0.00031465i,0.0005595+0.00052125i,0.00071413+6.4053e-06i,0.0010573-0.00066438i,0.001101-0.00077224i,0.00070132-0.00034785i,0.00044814-0.0001467i,0.00023199-0.00052473i
0.0010032+0.00041755i,0.00069737+0.00042717i,0.0037101-0.00035489i,0.0062295-0.0010321i,0.004377-0.0026276i,0.00051267-0.0034347i,-0.002112-0.001857i,-0.0019646+0.00038627i,-0.00087803+0.0016817i,-0.00065727+0.00098634i,-0.0009927-1.6727e-05i,-0.0010465-0.00012329i,-0.0011481+0.00095867i,-0.0012466+0.0020369i,-0.001026+0.0016543i,-0.0004028+0.0015632i,0.00042555+0.0010029i,0.0013268+7.73e-05i,0.001244+0.00017557i,8.9997e-05-0.00025105i,-0.00014683-0.001191i,0.00019628-0.0012531i,-0.00014684-0.00096473i
0.0018731-0.00090036i,0.0035805-0.0007633i,0.0064934-0.001182i,0.0080452-0.0014541i,0.005613-0.0017004i,0.00090974-0.00026383i,-0.0011678+0.0021929i,-0.00050124+0.0027215i,0.00092289+0.0023046i,0.0009533+0.002037i,-0.00037832+0.0015503i,-0.00069773+0.0010996i,-0.00042584+0.00094655i,-0.00069506+0.00070195i,-0.0004367+0.00018988i,-0.00016279+0.00048614i,0.00010939+0.00016123i,0.00026391-6.9207e-05i,-0.00030454-0.00099018i,-0.00092339-0.0018483i,-0.0011565-0.0012406i,-0.00054627-0.0011481i,-0.00026469-0.00095507i
0.0014904-0.00035778i,0.0017777+0.00011989i,0.0047476+0.00013215i,0.006568-7.0831e-05i,0.0051504-0.0016184i,0.0032402-0.0015105i,0.0024217+0.000856i,0.0023541+0.0023043i,0.0026616+0.0021368i,0.0023358+0.0010611i,0.00095363+0.00075067i,-0.00068355+0.0016233i,-0.0010155+0.0022744i,-0.00064032+0.0019701i,0.00057383+0.0011519i,0.0014597-0.00034047i,0.0011293-0.0014212i,0.00058809-0.0013547i,0.00084817-0.00069957i,0.0011326-0.00010006i,0.00094014-0.00015211i,0.00037275+5.9044e-05i,0.0001227+0.00013976i
0.0005359-0.0020235i,0.0020931-0.001442i,0.005039+0.00022285i,0.0081386-0.00044767i,0.0075262-0.0012796i,0.0046349-0.00041458i,0.0038555+0.00060312i,0.0037698+0.0008254i,0.0028052-7.9685e-05i,0.0024588-0.001677i,0.0016637-0.0018288i,0.00092469-0.0007124i,0.00076399-0.00064544i,0.00037451-0.00037611i,0.00021206+0.00013681i,-4.3867e-05+0.00057228i,2.3521e-05+0.00042856i,0.00028587-9.9368e-05i,-0.00039204-0.00067099i,0.00019631-0.0003401i,0.0005857+7.6682e-05i,-0.00046538+5.7481e-05i,-0.00053368+0.00018216i
0.00050483+0.0022126i,0.0014+0.0018549i,0.0040399+0.0021049i,0.0071209+0.0016471i,0.0069089-0.00086828i,0.0040652-0.0029856i,0.0016055-0.0025616i,-2.6175e-07-0.001449i,-0.00046967-0.0012326i,0.00014264-0.0018853i,0.00099344-0.0027895i,0.00088618-0.0023022i,0.00019684-0.00055722i,-0.00047716+0.00011853i,-0.0010069+0.00012638i,-0.00082056+0.00083915i,-0.00038325+0.00082707i,0.00023538-0.00060388i,0.0012218-0.00079827i,0.00095016-0.00031224i,-0.00023478-1.8512e-05i,-0.00059106+0.00076702i,-0.0001275+0.0006677i
-0.00079841+0.0013243i,-0.00021399+0.00029395i,0.0023265+0.0001763i,0.0055932+0.00011554i,0.0054362-0.0014356i,0.0017672-0.0031345i,-0.0018924-0.0029343i,-0.0035135-0.00098339i,-0.0030162+0.00031518i,-0.0017804+0.00010147i,-0.0016218-0.00048388i,-0.001807-0.0007192i,-0.0018785-0.00023747i,-0.0023226+0.00033378i,-0.0017268+0.00053393i,-0.00036809+0.00090065i,0.00050581+0.001021i,0.00065945+0.00072682i,0.00042412+0.00030588i,-0.00030111-3.6161e-05i,-0.0011541+8.4855e-05i,-0.0013178+0.00057868i,-0.00073624+0.00089137i
0.0022554-0.0011501i,0.0035129-0.0014265i,0.0059066-0.0014287i,0.0072329-0.0015716i,0.0056249-0.0025909i,0.0011702-0.0014676i,-0.0014358+0.00062501i,-0.0013001+0.0025343i,-0.0010673+0.0037525i,-0.0013933+0.0030796i,-0.0019622+0.0026747i,-0.0019005+0.0022279i,-0.0014135+0.001389i,-0.0010082+0.0014095i,-0.00049403+0.0021101i,1.6561e-05+0.0025319i,0.00028806+0.0018162i,0.00050135+0.00092847i,0.00052799-0.00013109i,-0.0002469-0.0010984i,-0.00081556-0.0003357i,-0.00044865+0.00027867i,-6.3265e-06-0.00079038i
0.00053349-0.0030592i,0.0017181-0.001602i,0.0036498-0.0010496i,0.0057718-0.0014425i,0.0057988-0.0021642i,0.0028797-0.00098028i,0.00019388+0.0027564i,0.00060645+0.0052266i,0.0022397+0.005562i,0.0027151+0.0044054i,0.0018584+0.0028936i,0.00031455+0.0023977i,-0.00059528+0.0014175i,-0.00028841+0.00098575i,0.001193+0.0015184i,0.0019437+0.0012385i,0.0012403+7.414e-06i,0.00035689-0.0010987i,0.00014575-0.00076324i,-0.00012673-0.0008588i,-0.00052487-0.0014881i,-0.00094391-0.0010593i,-0.00097705-0.00032507i
0.0012568-0.00022661i,0.0019213+0.00014739i,0.0042542-0.00025948i,0.0067878-0.00087696i,0.0060261-0.0013477i,0.0037543-0.00050657i,0.0035247+0.00070657i,0.0043035+0.0015568i,0.0045918+0.0020362i,0.0038415+0.0020201i,0.001988+0.0012855i,5.8965e-05+0.00034522i,-0.00019495-0.00055123i,0.00060461-0.00042067i,0.00064934+0.00055552i,0.00039542+0.00054493i,0.00061431-1.3221e-05i,0.00097639-0.00096823i,0.00017887-0.0013073i,-0.00053473-0.0010004i,-0.00042169-0.00045091i,4.5817e-05-0.00066537i,0.00028481-0.00059048i
-4.8464e-05-2.3962e-05i,0.0012279+0.00067896i,0.0042133+0.0021247i,0.0062792+0.001674i,0.0060657-0.00049933i,0.0048659-0.0017856i,0.0037082-0.0020716i,0.0028594-0.0027769i,0.0025655-0.0028375i,0.0027474-0.0021747i,0.0018501-0.0015663i,0.00062138-0.00041398i,0.00040165-0.00033457i,0.00031202-0.00063695i,-0.00017152-0.00018903i,-0.00082649-0.00040062i,-0.0012322-0.00032493i,-0.00093742+0.00019988i,-0.00014625-0.00011089i,-0.00049577-0.00086937i,-0.00048931-0.00097249i,-0.00013186-0.000263i,-0.00014624+0.00041685i
0.00092373-0.0011329i,0.0013374+0.00015701i,0.0019983+0.00056864i,0.0035017-0.00010148i,0.0041439-0.00090032i,0.0018672-0.0017971i,-0.00023646-0.0031456i,-0.00088491-0.0039991i,-0.0015988-0.004077i,-0.0019474-0.003069i,-0.0020661-0.0011111i,-0.0018909+0.00017335i,-0.0018368+0.00039169i,-0.0010491+0.00028651i,-0.00023202-9.0104e-05i,0.00010791-0.00029945i,0.00066488+0.0005669i,0.00063695+0.00024132i,-0.00010166-0.00044231i,-0.00040639+0.00016446i,-0.00052314+9.0443e-05i,-0.00035635-0.00026612i,-0.00010357+0.00047018i
-0.00030573-0.0012507i,0.00094978-0.0025319i,0.00405-0.0034849i,0.0074024-0.0039357i,0.0069839-0.0041939i,0.0026294-0.0025717i,-0.0022031-0.00090318i,-0.0046411+0.00068818i,-0.0043518+0.0025038i,-0.003655+0.0019785i,-0.0023486+0.00026351i,-0.0007062+2.2419e-05i,-0.00072152+0.00099766i,-0.0016792+0.0011536i,-0.0013083+0.0011666i,-0.00077117+0.0014824i,-0.00041896+0.0011257i,0.0005139+0.00027382i,0.00081985-0.00045027i,-2.9734e-06-0.00069397i,-0.00067496-0.00052627i,-0.00061746-0.00059083i,-0.00040123-0.001182i
0.0010965-0.0024516i,0.0032747-0.0012232i,0.0046669-2.078e-05i,0.0053723-0.00034322i,0.0038181-0.0011931i,0.00043525+0.00042155i,-0.0017808+0.0032862i,-0.0012603+0.005138i,-0.00023546+0.0048303i,-0.00019778+0.0027079i,0.00015732+0.0015602i,0.00052706+0.0011595i,0.00024163+0.00099479i,0.00035805+0.00089649i,0.00064738+0.0010171i,0.00030253+0.00065594i,0.00070176+0.00043437i,0.0013866+0.00092901i,0.0010848+0.00025329i,0.00055407-0.00061449i,0.00076308-0.00024025i,0.0011074-0.00011151i,0.00080463-0.00068574i
0.0015065-0.00050354i,0.0022317-0.0010676i,0.0037296-0.0012349i,0.0055135-0.0013121i,0.0055448-0.0021355i,0.0039024-0.0016498i,0.0027208+0.0010982i,0.0040993+0.0036266i,0.0051454+0.0035959i,0.0039197+0.0014531i,0.0022886+0.00013843i,0.0010033-0.00043351i,-0.00023059-0.00038865i,-0.0010157+0.00029758i,-0.00060111+0.00031004i,0.00020081+0.00029407i,0.001288+0.00041058i,0.00099623-0.00024887i,0.00029434-0.00068263i,0.00075187-0.00028307i,0.00081742-0.00042215i,0.001069-0.00033347i,0.00086696+0.00068927i
0.00079156-0.0014647i,0.0021273-0.00050532i,0.0050924-0.00088894i,0.0068615-0.00050693i,0.0058217+0.00012157i,0.0039016+0.00025867i,0.0043974+0.00022008i,0.00516-0.00070315i,0.0044338-0.0018226i,0.0021572-0.0017857i,-9.7468e-05-0.00086991i,-0.0007104-0.00037498i,-0.00078682-0.00087018i,-0.00081984-0.00044684i,-0.00026458+0.00011842i,0.00066997-0.00020841i,0.00083147+6.2359e-05i,0.0002718+0.00058814i,-1.2046e-05+0.00057716i,-8.3848e-06-0.00034714i,-2.7266e-06-0.00058139i,-3.6216e-05-0.0011855i,0.00034732-0.0012319i
-0.00068592-0.0015204i,0.00091215-0.0020831i,0.0036023-0.00023572i,0.0061428+0.0004163i,0.0062566-0.0010983i,0.0041848-0.002356i,0.0018014-0.0038497i,0.00026493-0.0052556i,-0.00059684-0.0042309i,-0.00088908-0.0021771i,-0.001728-0.00037679i,-0.0026245+0.00060309i,-0.0020192+0.0010196i,-0.00090457+0.0011972i,-0.00031626+0.0011278i,-2.428e-05+0.00025684i,-0.00013005-0.000287i,0.00010152-6.5604e-05i,0.00022606+0.00018047i,-0.00013316-0.00045951i,0.00042062-0.00070746i,0.00078882+5.9231e-06i,0.00017072-0.00024263i
-0.0012569+6.861e-05i,0.00026599-0.0012661i,0.0035633-0.00077264i,0.0077224-0.00032113i,0.0084703-0.00051003i,0.0048463-0.001046i,4.6252e-05-0.0014497i,-0.0028842-0.00092552i,-0.0028172+0.0010277i,-0.00095678+0.002215i,-0.00047527+0.0019608i,-0.00078514+0.00051655i,-0.0012435-0.00037726i,-0.0019152-0.00032652i,-0.0011387+0.00067148i,-0.00032554+0.0015039i,-3.9598e-05+0.0014802i,0.00027468+0.00095511i,0.00017721+0.00061508i,-8.9901e-05+0.0004972i,-0.00024276+0.00072933i,-0.00031793+0.00073799i,-0.00030689+0.00016975i
0.00025567-0.00018588i,0.0015945-0.00040788i,0.0046567+0.0003837i,0.0064064+0.00048896i,0.0056807-0.00069106i,0.0020398-0.00089393i,-0.0022262+0.0012148i,-0.0041308+0.0039354i,-0.0022817+0.0047638i,0.00081282+0.0028528i,0.002313+0.00076727i,0.0020078+0.00066209i,0.0011872+0.0021095i,0.00021895+0.0022861i,0.00063733+0.0016281i,0.0010626+0.0013109i,0.00049254+0.0010287i,0.00089621+0.00074764i,0.0017859-0.00029704i,0.001269-0.00029617i,0.000702+0.0010265i,0.00053603+0.0010757i,0.00043846-8.5938e-05i
0.0010045+0.00023498i,0.0030526-8.7025e-06i,0.0053015-0.00032496i,0.006276-7.3886e-05i,0.0059362-0.00077641i,0.0037984-0.00029173i,0.0019498+0.0033316i,0.0027163+0.0067723i,0.0042081+0.0058698i,0.003893+0.0022453i,0.0029043-0.00019968i,0.0020069-0.00077631i,0.00044295-0.00071214i,-0.0005945-0.00022514i,4.2573e-05+0.0007975i,0.00086002+0.00095411i,0.0013412+0.00026779i,0.0012381-1.5902e-05i,0.00046519+0.00023352i,0.00030923+0.00012885i,0.0011712-0.00011131i,0.0011814-0.00015214i,0.00079839-8.9592e-05i
0.0002151-0.0016074i,0.0021315-0.0022327i,0.0060821-0.0024853i,0.0091269-0.0023073i,0.0074329-0.0013782i,0.0044658-0.00021059i,0.0047679+0.002009i,0.0061074+0.0024753i,0.0054569+7.6154e-05i,0.0026552-0.0023967i,-0.00030357-0.0033589i,-0.0012184-0.0028668i,-0.0010702-0.0023857i,-0.0012493-0.0014528i,-0.0010003+0.00020046i,7.8692e-05+0.00070156i,0.00039696+0.000163i,-0.00012127-0.00071054i,1.466e-05-0.001359i,0.00025665-0.00042574i,3.9681e-05+1.3329e-05i,2.6718e-05-7.6859e-05i,-2.989e-05-0.00029176i
-0.0008985-0.0015852i,0.001509-0.0010763i,0.0053276-0.00013653i,0.0080387-0.00020062i,0.0072144-0.0013095i,0.0044523-0.0018507i,0.0038162-0.0031434i,0.0039671-0.0052098i,0.0014759-0.0059188i,-0.0016818-0.0040272i,-0.0024943-0.0014791i,-0.0021039-0.00030453i,-0.0025449-4.1844e-05i,-0.0020136+0.0010288i,-0.00086682+0.0016304i,-0.00014166+0.00055001i,0.00069379+0.00046646i,0.00085479+0.00074665i,-0.00041535-6.0413e-05i,-0.00085118-0.00061629i,-0.0003208-0.00072373i,-0.00021064-0.0011436i,0.00063358-0.00081585i
0.00060972-0.00065282i,0.00096346-0.0022477i,0.0034273-0.0016392i,0.0057147-0.0012312i,0.0056385-0.0029929i,0.0035227-0.0042048i,0.00013884-0.0049713i,-0.0024519-0.0053052i,-0.0029683-0.0028829i,-0.0028395+0.00053772i,-0.0021804+0.0020761i,-0.0023651+0.0016545i,-0.0040351+0.001235i,-0.0030958+0.0014312i,-0.00064518+0.0014885i,-0.00019587+0.0017042i,-0.00051103+0.0012061i,0.00013589+0.00050878i,0.00059173+0.00028598i,0.00030026+0.00027922i,-0.00061454-0.00028289i,-0.00050544-0.00085217i,-8.799e-05-0.00040621i
-0.00073742+0.00069412i,0.0021749+0.00025684i,0.0064363+0.0017844i,0.009273+0.0019706i,0.0078613-0.00018805i,0.0039221-0.0022155i,-0.0014906-0.0018445i,-0.0055647+0.0007053i,-0.0056427+0.0041411i,-0.0017577+0.0049736i,0.0010665+0.0028163i,0.0018984+0.0012445i,0.0023479+0.00090052i,0.0013174-7.4411e-05i,5.0726e-05-0.0006853i,-0.00027861-0.0010463i,0.00049236-0.0010198i,0.00070539-0.00056396i,-0.00019972-0.00045234i,-5.6233e-05-0.00050012i,0.000455+0.00011786i,0.00041334+0.0003486i,0.00074631+0.00025866i
-0.00058894-0.00023966i,0.00058011-0.00049226i,0.001683+0.0015215i,0.0037589+0.0023426i,0.0041376-0.00015478i,0.00067988-0.0011102i,-0.0032673+0.0017238i,-0.0033324+0.0053566i,0.00022134+0.0053738i,0.0033429+0.0024325i,0.0034061+0.00016419i,0.0020385-7.9371e-05i,0.0010397+0.00028416i,-4.3944e-05+4.946e-05i,-0.00088995-0.00011045i,-0.00094397-0.00068482i,9.8522e-05-0.0011049i,0.0015448-0.00049575i,0.0018537-0.00027031i,0.0010831-0.00045474i,0.00056317+0.0004369i,0.00021205+0.00030506i,-0.00011473-0.00054074i
0.0010492-0.00088186i,0.0025189-0.0032275i,0.0055042-0.0040872i,0.0083697-0.0027505i,0.0069974-0.0022359i,0.0027863-0.00033449i,0.0018831+0.0039685i,0.0034966+0.0065897i,0.0054136+0.0051668i,0.005053+0.00081154i,0.0018141-0.0027613i,-0.00074599-0.0027142i,-0.00090269-0.0018945i,-0.00096985-0.0016121i,-0.0015193-0.00052306i,-0.00068742+6.0151e-05i,0.00027059-9.3503e-05i,0.00085915-0.00046928i,0.00094139-0.0011157i,-0.00012859-0.0011372i,-0.00043636-0.00079085i,0.00035363-0.00048266i,0.00030251-0.00049835i
7.2404e-05-0.00010326i,0.0014464+0.00020136i,0.0046619+0.0015788i,0.0075663+0.001385i,0.0070099+0.0002375i,0.0050704-7.5604e-05i,0.0050247+0.00038515i,0.0059246+8.7793e-05i,0.0048778-0.0024093i,0.0011924-0.0046307i,-0.0013142-0.0039507i,-0.00067824-0.0023047i,-0.00029185-0.0013167i,-0.0011585+0.00035748i,-0.00039519+0.0010945i,0.0003605-0.00021767i,-0.00029282-0.0011435i,-0.00016494-0.0014521i,0.00046038-0.001847i,0.00057823-0.0010895i,0.00076312-0.00022536i,0.00045636-0.00017324i,-0.00035198+6.3455e-05i
-0.00063653-0.00037908i,0.00023473-0.0019406i,0.0036467-0.001655i,0.0065653-0.001157i,0.0066822-0.001953i,0.0061543-0.0025387i,0.0059577-0.0038066i,0.0054453-0.0065766i,0.0027123-0.0067395i,-0.0010903-0.0029608i,-0.0028504+0.00067911i,-0.0031687+0.0013636i,-0.0028068+0.0011807i,-0.0015432+0.001696i,-0.000133+0.0012464i,0.00051486+0.00079697i,0.00055917+0.00083875i,0.00095087+0.00062645i,0.00049672+0.00010746i,-0.00042611-0.00052372i,-0.00054454-0.00043016i,-0.00085346+0.00039785i,-0.0011105+0.00096112i
6.1452e-05-0.001851i,0.0015887-0.0019689i,0.0047137-0.0009828i,0.0073506-0.00058168i,0.0073618-0.0017324i,0.0040453-0.0033623i,0.00081372-0.0056188i,-0.0017034-0.0063173i,-0.0037312-0.003744i,-0.0037108+0.00081514i,-0.0025764+0.0023231i,-0.0018637+0.00056848i,-0.001291-0.00032293i,-0.00013821+0.00014328i,7.1683e-05+0.00018557i,-0.00092931-0.0003451i,-0.00066231-0.00025794i,1.6434e-05+5.249e-05i,-0.0001633-0.00039767i,0.0003848-0.00027918i,0.00069558-3.1515e-05i,0.00027682+0.00014154i,0.00050482+0.00023557i
0.00078005+0.00071062i,0.0022581+0.00096789i,0.0049207+0.0015234i,0.0072476+0.00092579i,0.0055855-0.001584i,-0.0004323-0.004133i,-0.0062285-0.0038892i,-0.0077331-0.00093767i,-0.0055297+0.0031318i,-0.0011667+0.0039787i,0.0020545+0.0016845i,0.0017292+0.00061969i,-0.00017957+0.00096487i,-0.00091924+0.00050361i,-0.00031611-0.00056966i,-0.00020431-0.0010823i,-3.1922e-05-0.00089923i,0.00092083-0.0004413i,0.0013973+2.7166e-05i,0.00068908+0.00046743i,0.00047718+0.00033951i,0.0010548+0.00015668i,0.00137+0.00029313i
0.001473-0.00046585i,0.0020298-0.00093015i,0.0033093-0.0011432i,0.0062514-0.00071945i,0.0064891-0.0009995i,0.002528+0.00060279i,-0.0021295+0.0043973i,-0.0036201+0.0090422i,4.7074e-05+0.009817i,0.0037165+0.0051901i,0.0031205+0.00098529i,-0.00026704-0.00016581i,-0.0019184+0.00033403i,-0.0018065+0.00093804i,-0.0010413+0.0016009i,-0.00046319+0.0019786i,0.0004119+0.0014713i,0.0013613+0.00077426i,0.0010044+0.00070366i,0.00037186+5.0311e-05i,0.00037264-0.00088063i,0.00090042-0.0010771i,0.00055255-0.00088821i
0.0017431-0.0014218i,0.0037202-0.00091707i,0.0064576-0.0018771i,0.0080019-0.0031604i,0.005862-0.0020606i,0.0031255+0.0018914i,0.0025573+0.0064856i,0.0039164+0.0083724i,0.0049458+0.0051364i,0.0035451-0.00018309i,0.00039448-0.0021153i,-0.0014917-0.0011239i,-0.00053023-0.00050073i,1.6377e-05+0.00058804i,-0.00080734+0.0017649i,-0.0005077+0.0014416i,0.00054322+0.00050907i,0.0003624+1.9203e-05i,-0.00029758-0.00067668i,-0.00052105-0.00094691i,-0.00061041-0.00046426i,-0.00060541-0.00015177i,-0.00017818-2.6751e-06i
0.0024135-0.0010376i,0.0034522+0.00045913i,0.005778+0.0012846i,0.0080042+0.00039216i,0.0083606-0.0010266i,0.0078343-0.00089245i,0.0088076+0.00081662i,0.010581+0.00050928i,0.0099662-0.0018737i,0.0055132-0.0024732i,0.0015405-0.0011683i,0.00052705+0.00030849i,0.00063003+0.00067751i,0.00034395+0.0012592i,0.00048236+0.0018534i,0.001677+0.0015507i,0.0021441+0.00068932i,0.0013793-0.00084254i,0.00088499-0.0013811i,0.00090986-0.00055668i,0.00062151-0.00022442i,0.00016555-5.1502e-05i,0.00025324-0.00054412i
0.00055635-0.001117i,0.0019367-0.00079062i,0.0054568-7.5962e-05i,0.0091476+0.00013497i,0.0096314-0.0011713i,0.0074511-0.0036552i,0.0063405-0.006228i,0.0057147-0.0069357i,0.0030369-0.0054969i,-0.00068412-0.0022414i,-0.0026289-0.00012509i,-0.0024682-0.00036151i,-0.00297-0.0011435i,-0.0026242-0.00069385i,-0.00075053+0.00047197i,0.00040206+0.00079107i,0.00077586+0.0011566i,0.00060472+0.0012467i,0.00014711+0.00036188i,-0.00032318-0.00034698i,-0.00020452-0.00043596i,-0.0002833-3.3388e-05i,-0.00086902-1.0875e-05i
