-0.00017557+0.0001487i,-0.00032494-0.0010562i,-0.0015723-0.0021074i,-0.002876-0.0023702i,-0.0034692-0.00046572i,-0.0024476+0.00085932i,-0.00052855+0.00044239i,0.00019295+0.0010342i,0.0012187+0.0011841i,0.0019411+0.00010579i,0.00081621-0.0006252i,-2.0372e-05-0.00090299i,-0.00053062-0.00053268i,-0.00059712-0.00021753i,-0.00023741+0.00049625i,-0.00031728+0.0013819i,-0.00034593+0.00012578i,-0.00030565-0.00038601i,-0.00039812+6.396e-05i,-1.367e-05-0.0005213i,0.00030402-0.00046868i,-3.5465e-05+0.00019398i,-0.00027384+0.00071269i
0.00055579+0.001593i,0.00084937+0.00065418i,-0.00071884-0.0002398i,-0.00090527-0.00050834i,-0.00038648-0.00078472i,-1.8168e-05-0.00067067i,0.00044003+0.00067697i,0.0013474+0.0012493i,0.0014807+0.0012831i,0.00066967+0.0013116i,0.00068314+0.00089357i,0.0011788+0.00083358i,0.0015784+0.0010218i,0.0011627+0.00088467i,0.0004524+0.00061077i,0.0004124+0.00051874i,-0.0002231+0.00066925i,-0.00066553+0.00092018i,0.00020475+0.0011578i,0.0010968+0.0006665i,7.0933e-05-0.00013903i,-0.00033736-0.00032823i,0.00054554-0.00045196i
0.00035729+0.001293i,0.0014682+0.00011212i,0.0015678+0.00097338i,0.00094026+0.0022787i,0.00066996+0.0015042i,0.0011516+0.00073867i,0.0015301+0.00056816i,0.0014566-0.00071499i,0.0018688-0.0014319i,0.0012487-0.00091249i,0.00012999-0.0007526i,0.00069706-0.00080076i,0.00074662-0.00065267i,-0.00015414-0.001238i,-0.00024583-0.00066204i,-8.7593e-05+0.00125i,-0.00032961+0.0017712i,-0.00036774+0.0011857i,4.9963e-05+0.00055842i,9.055e-05-0.00027296i,-6.898e-05+5.0891e-05i,-0.00014967+0.00047055i,-0.00047083+5.9463e-05i
0.00018014-0.00050895i,0.00011433-0.00074109i,-7.5804e-05-0.0021361i,-0.0006501-0.0036734i,0.00012107-0.0036678i,0.00031251-0.0020685i,0.00027905-0.00087126i,0.00032281-0.00043613i,-0.000171-0.00072029i,-0.00021141-0.00090971i,-0.00087947-0.00066437i,-0.0015956-0.00041462i,-0.0017277+0.00024779i,-0.0016902+0.00043945i,-0.0017318-0.00030552i,-0.0013399-0.00028472i,-0.00080755-0.0005548i,-0.00087492-0.00076221i,-0.00079342-8.1772e-05i,-0.00052704-1.6897e-05i,-0.00031837-0.00028568i,0.00020244-0.00048634i,0.00072611-0.00014963i
8.5291e-05+0.0013199i,-0.0003484+0.00082495i,-1.8748e-05+4.6272e-05i,-0.00081123-0.00060607i,-0.0016745-0.00043784i,-0.002014+0.00032097i,-0.0012689+0.001078i,0.00014243+0.0012871i,0.00043842+0.0010764i,-0.00074459+0.0011269i,-0.00077196+0.0019868i,0.00014693+0.0024857i,-0.0003518+0.0014651i,-0.001191+0.00095688i,-0.0013793+0.0013719i,-0.0010267+0.0013i,-8.5459e-05+0.00063214i,0.00050815+0.0002885i,0.0001667+0.00084817i,0.00032274+0.00050763i,0.00096212-7.0416e-05i,0.0011734-0.00038953i,0.00096738-0.00098963i
0.0014891+0.00058628i,0.0020027-0.00012797i,0.0015233+3.0169e-05i,0.001055-5.5586e-05i,0.00049439-0.0011944i,-0.00016595-0.0013275i,0.00064276-0.0003823i,0.002232+0.00023633i,0.0020794+0.0002204i,0.0019811+0.00014189i,0.0027162+0.00010394i,0.0022205-0.00054831i,0.00089684-0.0010388i,0.00083143-0.00028852i,0.00097184+6.3692e-05i,0.00090521-5.0949e-05i,0.00094666-0.00042226i,0.0011219-9.7815e-05i,0.00081967+0.00018372i,5.5149e-05-0.00049277i,0.00058448-0.00045221i,0.0007305+4.2968e-05i,-0.00020344-0.00035806i
-6.287e-05-0.00090527i,-0.00025879-0.00010259i,0.00024863-0.00096293i,-0.00084009-0.0020649i,-0.0017625-0.0020623i,-0.0012281-0.0012433i,0.00023842-0.00055347i,0.0019033-0.00070235i,0.0016212-0.00094507i,0.00032297-0.0019419i,-0.0010408-0.0028497i,-0.0019751-0.0017877i,-0.0013107-0.00075444i,-0.00061778-0.0012306i,-0.00093731-0.0011512i,-0.0010256-0.0006099i,-0.001011+0.00014358i,-0.00062277+0.0004655i,-8.8771e-05-8.3696e-05i,-0.0001745-0.00016365i,1.6485e-05+0.00050704i,0.0001716+0.00021005i,0.00031152-0.0005814i
0.00044811-0.0023195i,-0.00052632-0.0016023i,-0.0031722-0.0012924i,-0.0040895-0.000974i,-0.0033866-0.00022774i,-0.0017369+0.00017353i,-0.00032448-0.00086086i,0.00012063-0.0015944i,-0.00035913-0.001409i,-0.0015337-0.00027013i,-0.0024865+0.0013194i,-0.0014226+0.0023031i,-0.00013616+0.0021437i,-0.00069927+0.0011586i,-0.00096827+0.00059073i,-0.000432+0.00049429i,7.2115e-05-1.0539e-05i,8.3894e-05+0.00018427i,-0.00057431+0.00070409i,-0.00047421+0.00025479i,0.00029007+1.8761e-05i,0.00070221+4.18e-05i,0.00070588-0.00011407i
0.00023186+0.0023975i,0.0015367+0.00080852i,0.002905+0.00050099i,0.0019575-0.00068128i,0.0011054-0.0022055i,0.00014624-0.0022426i,-1.2761e-05-0.00017233i,0.00046003+0.00084515i,3.8817e-05+0.00094431i,0.00066207+0.0011181i,0.0020422+0.00051i,0.002496-0.00092561i,0.0013425-0.001276i,6.6306e-05-0.00092717i,-0.00021763-0.00066342i,-0.00021151-0.00065756i,0.00031778-0.00073398i,0.0010714-0.00033714i,0.00099654-0.00021388i,0.00025426-0.00056341i,0.00068199-0.00042892i,0.0010177-0.00016903i,0.00086528-0.00058483i
0.0026285-0.001012i,0.002099-0.0015961i,0.00013065-0.003358i,-0.0023286-0.0039282i,-0.0026068-0.0036737i,-0.0013367-0.0023512i,0.00092589-0.00091013i,0.0019405-0.0011007i,0.0011831-0.0018988i,0.0011276-0.0023171i,0.00079382-0.0015505i,-0.00075983-0.0012873i,-0.001134-0.00056964i,-0.00043518+0.00010501i,-0.00066088-0.00042149i,-0.00051249-0.00022629i,-9.316e-05-0.0001901i,-0.00027354-0.00044651i,0.00035209-4.163e-05i,0.00088948+0.00079289i,-3.1205e-05+0.0012688i,-0.00071564+0.001008i,-0.0012453+0.00015415i
-0.0022213+0.0010652i,-0.0014877+0.0023216i,-0.0018816+0.0031928i,-0.0016699+0.002677i,-0.00023404+0.0026389i,0.0013061+0.0021502i,0.0016803-7.7853e-05i,0.00043042-0.0013064i,-0.0012998-0.0015048i,-0.0019097-0.0013457i,-0.0015813+3.4171e-05i,-0.00086683+0.0013787i,-0.00053073+0.0011314i,-0.0002862+0.00047353i,-0.00015427+6.9486e-05i,-0.00041576+0.00029708i,-0.00028289+0.00082301i,0.0003577+0.00082173i,0.0001731+0.00039043i,-6.1508e-05+0.00050338i,0.0002114+0.0013875i,0.00022107+0.001461i,0.0001086+0.0010762i
-0.0001511-0.0013665i,0.00032925-0.0014231i,0.00032233-0.0010691i,-0.00024197-0.0011932i,-0.00064546-0.0011534i,-0.0010605-0.00075224i,-0.0010138-7.0856e-05i,-0.00049078+1.2487e-05i,-0.00036605+0.00034748i,0.00022595+0.00032521i,0.00082223+9.1305e-05i,0.002004-0.00010523i,0.0030536-0.00084476i,0.0021645-0.00081589i,0.00073583-0.00014919i,0.00051806+0.00035098i,6.7679e-05+0.00045423i,-0.00025027+0.0001181i,0.00046816-2.9313e-06i,0.00086821+3.3861e-05i,0.00063384+0.00022209i,0.00063547-0.00015749i,0.00060525-0.0011022i
-0.0031561-0.00077636i,-0.0020888-0.00036954i,-0.0014312-0.00038812i,-0.0021037+5.8949e-05i,-0.0024293+0.00031708i,-0.0014616+0.00048085i,-0.00040232+0.00049536i,0.00090861+0.00018207i,0.0021232+0.00061529i,0.0021568+0.00080791i,0.0013674-0.00040457i,0.00045665-0.0014595i,-0.00090586-0.0010315i,-0.0016483-0.0013628i,-0.0012326-0.0021621i,-0.00068566-0.00182i,-0.0011438-0.00029907i,-0.00091606+9.7016e-05i,-0.00072311-0.00049959i,-0.0004696-0.00041395i,-0.00056762-0.00036379i,-0.0013246-2.7586e-05i,-0.00071735+0.00058191i
-0.0018777+0.00012897i,-0.0015843-3.4446e-05i,-0.001504-0.00053506i,-0.0014933+0.00037061i,-0.00085434+0.0014678i,0.00060069+0.00087629i,0.0018952+0.00026287i,0.0021495-9.6717e-05i,0.0012815-0.0015247i,0.00018328-0.0017834i,-0.0017749+0.00026771i,-0.0026605+0.0023466i,-0.0012946+0.0021997i,-0.0009959+0.0011225i,-0.00070183+0.00088968i,8.946e-05+0.0014736i,-0.00039155+0.00095178i,-0.00061565-2.4721e-05i,-0.00014537+0.00046434i,-0.00043828+0.00083195i,-0.00061384+0.00026084i,9.9099e-05+0.00019677i,0.00038711+0.0007031i
-0.00035876+0.00016993i,-0.00072761+0.00054751i,-0.00096756-0.00020549i,-0.00072767-0.00083799i,0.00021217-0.0005923i,0.001506-0.00035128i,0.0013661-0.00072408i,-0.00021262-0.0010497i,-0.0017738-0.00042621i,-0.002024+0.00022085i,-0.00055337+0.0010754i,0.0010112+0.0013667i,0.0017231+0.0010212i,0.0017707+0.00057136i,0.0005983+0.00070139i,-7.0208e-05+0.00058955i,0.00045596+0.00047777i,0.00063471+0.00087486i,0.0005367+0.0010054i,0.00035966+0.00035777i,0.00042295-0.00012634i,0.00060204-0.00022302i,0.00075566-0.00010089i
-0.00056626-0.00016634i,0.00077509+1.4137e-05i,-0.00025099-0.00063559i,-0.0019539-0.0017631i,-0.0013823-0.001685i,-0.00063405-0.0010054i,-1.022e-05-0.00022825i,0.00023981-0.00013063i,0.00026698+0.00020622i,0.0010626+0.00050192i,0.0010822-0.00049902i,-0.00015367-0.0014385i,-0.0011653-0.0021292i,-0.0014969-0.0022478i,-0.0014958-0.00080463i,-0.0012668+0.00012143i,-0.00067135+5.5609e-05i,0.00032392+0.00011427i,0.00098668-0.00022195i,0.00095226-0.00050473i,0.00076139-0.00041708i,0.00036843-0.00032734i,0.00023546-0.00038459i
-0.0022526+0.00083125i,-0.002384+0.00059458i,-0.00067407+0.00048953i,0.00038529+0.0012941i,-8.2472e-05+0.0016805i,-0.00034079+0.00086492i,-0.00023923+0.00053795i,0.00088717-0.00017347i,0.0018733-0.00041549i,0.0014922-0.00064526i,-0.00021492-0.00090706i,-0.0013995-0.00013643i,-0.0012048+0.00063528i,-0.0010856+0.0010938i,-0.0010788+0.0010865i,-0.0012212+0.0012672i,-0.00058329+0.00081429i,0.00081482-8.5176e-05i,0.00092848-9.4409e-05i,0.00085972-0.00043237i,0.00074661-0.00072441i,-0.00020062+0.00025061i,-0.00077171+0.00057112i
-0.00057849-0.00094072i,-0.0017504-0.00016346i,-0.0027356-0.0020011i,-0.0029437-0.0027998i,-0.0020745-0.00077867i,-0.0008538+0.0010194i,0.0003072+0.00059792i,0.0013828-0.00043205i,0.00075064-0.00066373i,-0.00087107-0.00046091i,-0.00076909+0.00079891i,0.00083775+0.0012935i,0.0017227+0.00063707i,0.0014175+0.00055388i,0.00093144+0.00045091i,0.0011466+0.0002245i,0.0010267+0.00053747i,0.00070516+0.0014916i,0.00013071+0.0014756i,-0.00090669+0.00081725i,-0.00093326+0.00029429i,0.00069935+2.2512e-06i,0.0012969-0.00038257i
-0.0023147-0.00085088i,-0.0015485-1.8643e-05i,-0.0012863+0.0010298i,-0.0020169+0.00092676i,-0.0013961-3.1021e-05i,-0.00031564-0.00039762i,0.00022098-7.4861e-05i,4.0811e-05-0.00024536i,-0.00041836-0.00014663i,-0.00030528+0.00060852i,0.00019564+0.00089621i,0.00058599-0.00031756i,0.00047967-0.0018973i,0.00023963-0.0017991i,0.00060688-0.0010755i,0.00069526-0.00071632i,-0.0001323-0.00066548i,-0.00066883-0.00024158i,-0.00055763+0.00087044i,0.00065307+0.00080351i,0.0018267+0.00018989i,0.0010317-0.00024653i,-9.7363e-05-0.00063151i
0.0013088+0.0016279i,0.0016106+0.0010737i,0.0018745-0.00094196i,0.0018679-0.0015781i,0.00099487-0.0013015i,0.00016779-0.0012353i,-1.6804e-06-0.0009992i,0.00047444-4.7452e-05i,0.00061331+0.0011373i,0.00056563+0.00035374i,0.00037483-0.0011801i,-0.00082218-0.00068132i,-0.0013728+0.00031579i,-0.0010095+0.00018878i,-0.00092827+0.001021i,-0.0005479+0.0015286i,-3.6057e-05+0.001216i,-0.00071595+0.0013077i,-0.001122+0.000503i,-0.00031179-0.0001301i,0.00059941+0.00029037i,0.00059055+0.00011706i,-0.00012946+0.00014881i
-0.00085046+0.0028175i,-0.0013775+0.0018921i,-0.0016124+0.00054967i,-0.0015329-0.00018575i,-0.0015482+0.00040074i,-0.00035456+0.00080831i,0.0009002+0.00041632i,0.0018802-8.8425e-05i,0.0016584-0.00012238i,0.00051581+0.00016742i,9.9841e-05+0.00063704i,0.0011491+0.00078997i,0.0014687+0.00060651i,0.00092085+0.00050342i,0.00052266+0.0011024i,0.00029822+0.0014668i,0.00010796+0.00048396i,0.00029305-0.00032034i,6.4382e-05-0.00030397i,-0.00073583-0.00017583i,-0.00056726-0.00031169i,0.00046016-0.00034853i,0.00085158-0.00031973i
-8.4366e-05+0.00039741i,0.00038464-6.6958e-05i,-0.001027+8.0785e-06i,-0.00097342+2.1831e-05i,0.0010445+8.7675e-06i,0.0018527-0.00033508i,0.001903-0.0011393i,0.0013833-0.0014283i,-0.00065976-0.0012131i,-0.0021488-0.0011184i,-0.0019033-0.00078567i,-0.0015772-0.00067197i,8.9409e-05-0.00074245i,0.00096139-0.00045128i,0.00073498-0.00069516i,0.00098018-0.0013426i,0.00085482-0.0013243i,0.00045865-0.0006146i,8.4045e-05+0.00019279i,-6.2833e-05+0.00015353i,0.00022008+3.2669e-05i,2.1669e-05+5.9751e-05i,-0.00018675-0.00062877i
-0.00043722-0.00049842i,0.00048421-0.00054135i,0.0017225-0.0016989i,0.0017294-0.0023673i,0.00069065-0.002732i,-0.00036365-0.0020829i,-0.00016572-0.0016232i,0.00011012-0.0014679i,-0.00025503-0.00032656i,0.00016239+0.00038928i,-0.00025022+0.00061136i,-0.0013938+0.0012279i,-0.0011553+0.00049986i,-0.00044874-0.00016546i,-0.00059149-7.9224e-05i,-0.00047201-0.00029665i,-0.00032313-0.00012891i,-0.00023729+0.00011274i,0.00033187-0.00026733i,0.00083888-0.00053209i,0.0010927-0.00032043i,0.00081997-7.7235e-05i,0.00029116+0.00018094i
0.0015709+0.00034304i,-5.9339e-05-0.0018061i,-0.00068693-0.004146i,-0.0012122-0.0045461i,-0.0027906-0.0030009i,-0.0029417-0.00093553i,-0.00088499+0.00051992i,0.0014462+0.00087619i,0.0021247+0.00025851i,0.0013566-0.00068828i,0.00083427-0.00040534i,0.0011713+0.0013002i,0.0017282+0.0019514i,0.00098121+0.0018278i,0.00013062+0.0025399i,-0.0002421+0.0018215i,-0.00056442+0.00038884i,-0.00018225-0.00020493i,0.0006529-0.0005246i,0.00089564-5.8019e-05i,0.00029999+0.00035156i,-0.00012344+0.00040396i,-0.00044522+0.00092069i
0.0016964+9.1384e-05i,0.0018159-0.00031842i,0.00076053-0.00030418i,-0.00030103-0.00071336i,-0.0008409-0.00053995i,-0.0010276+0.00069336i,0.00081983+0.00089751i,0.0018282-0.00070608i,0.0013351-0.0022315i,0.0013375-0.0020153i,0.0010745-0.000933i,0.00063267-0.00045975i,-7.4639e-05-0.00091421i,-0.0001391-0.00070109i,0.00050073+0.00037446i,0.0010244+0.00081725i,0.00069074+0.00077207i,-0.00022417+0.00020043i,0.00030415+9.1035e-05i,0.00034614+0.00034649i,-0.00032724+0.00026914i,3.1944e-05-0.00033012i,0.00023785-0.00053008i
0.001854-0.00073422i,0.0014157-0.0017347i,0.0019429-0.001406i,0.0010587-0.0018311i,-0.00023331-0.0026945i,7.9803e-05-0.0015609i,0.0009204-0.0010468i,0.0010583-0.0017493i,0.00015491-0.0018565i,-0.0005499-0.0016221i,-0.0009191-0.00087843i,-0.001586+7.8836e-05i,-0.0014713+0.00050094i,-0.0012131-0.0001639i,-0.0010989-0.0011559i,-0.0010298-0.00068499i,-0.00065507-0.00011503i,-0.00021121+0.00038758i,9.7178e-05+0.00064313i,0.00043754+0.00039332i,0.00033325+0.00030303i,0.00031261+3.559e-05i,0.00015074+7.1011e-05i
-0.0036825+0.00026884i,-0.0027843-0.00070013i,-0.0021792-0.0018921i,-0.0023289-0.0014203i,-0.0020264+0.00014138i,-0.001204+6.19e-05i,-0.0011103-0.00080877i,-0.00083585-0.00076931i,-0.00081212+0.00016192i,-0.00023034+0.00046005i,0.00046617+0.00082104i,0.0010997+0.0016233i,0.0013983+0.00082184i,0.00066193-0.00025814i,-6.0277e-05-7.2354e-05i,0.00031641+0.00068197i,0.00066316+0.0013776i,0.00070256+0.00090486i,0.00042937+0.00028988i,5.9435e-05+0.00090412i,9.5158e-05+0.0011247i,0.00015145+0.00092207i,-5.3525e-05+0.00093555i
-0.0011757+0.0017222i,0.00015312+0.003306i,-0.0011177+0.0026217i,-0.0015925+0.00053641i,-0.0014991+0.00027741i,-0.00093353+0.00016088i,0.00084436+0.00036615i,0.001796+0.0013246i,0.0014969+0.0014451i,0.0010121+0.00037716i,0.00036704-0.00080963i,4.5597e-05-0.0018373i,-0.00047016-0.0017538i,-0.00017475-0.00085819i,0.00062314+4.1361e-05i,-5.5026e-05+3.3824e-05i,-0.00025852-0.00060971i,0.00023508-0.00074747i,-3.4463e-06+5.4696e-05i,-9.3257e-05+0.00070341i,-0.00039353+0.00045138i,0.00016331+0.00071499i,0.0010196+0.00043365i
-0.00032808-0.001229i,0.0018571-0.00083596i,0.0019368+0.0011536i,0.00015759+0.0018535i,-0.00010009+0.0012566i,0.0014315+0.00093529i,0.00276-0.0001235i,0.0024919-0.0015146i,0.00051451-0.0021513i,-0.00068802-0.0017585i,-0.00085854-0.0014918i,-0.00066262-0.0007874i,-0.00033237-2.0035e-05i,0.00023628-5.8448e-05i,0.00014374+2.515e-05i,0.00023763-0.00028609i,0.00032481-0.00035263i,-0.00012891+0.00036628i,-0.00058012+0.00079442i,-0.00015413+0.00056214i,0.00076969+0.00016667i,0.00099704-0.00059026i,0.00016183-0.0012406i
0.00034494+0.0011882i,0.00043886-0.00036628i,0.0016338-0.0030459i,0.0018749-0.0043785i,0.00043868-0.0034271i,-8.6871e-05-0.003037i,-8.6764e-05-0.0019197i,-0.00095829-0.0012189i,-0.0019603-0.00052879i,-0.0013779+0.00014776i,-0.00028021+0.00052478i,0.00033939+0.0015677i,0.0004756+0.00099298i,-0.00021935-0.00019667i,-0.00024278-0.00014127i,-4.4406e-05+0.00030101i,-0.00036525+0.00074532i,-0.00065601+0.0011704i,-9.1672e-05+0.00082185i,0.00057129-0.00010308i,1.5944e-06-0.00034736i,-0.00062919-0.00036871i,-0.00052458-0.00045241i
0.0012009+0.00072026i,-0.00052115+0.00039958i,-0.0022651-0.0017099i,-0.002933-0.0035765i,-0.0029999-0.0029034i,-0.0027032-0.00077004i,-0.0021388+0.00082314i,-0.00060235+0.00082588i,0.00070824+0.00030345i,0.001194-0.00013853i,0.001445-0.00028851i,0.0010467-0.00036767i,0.00074118-0.0012361i,0.00045183-0.0013715i,0.00022802-0.0010617i,0.00035982-0.0005731i,0.00057864-0.00032871i,4.6506e-05-0.00051003i,-0.00052108-0.00022866i,-0.00044144+0.00012608i,-6.7024e-05+2.1336e-06i,0.00031174-0.0010398i,0.00047846-0.0011813i
0.0010226-0.00016572i,0.0021856+0.0011412i,0.0025092+0.0024711i,0.00067641+0.0030048i,-0.0007389+0.0021491i,-0.00016393+0.0023233i,0.0017591+0.0020747i,0.0022664-3.755e-05i,0.00087589-0.0020617i,-0.00027111-0.0020524i,-0.0011587-0.0010547i,-0.0014151-0.00046998i,-0.0013518-0.00018699i,-0.00096034-0.00011938i,-0.00035302-3.0161e-05i,-2.209e-05+0.00018664i,0.00027237+0.00053359i,-0.00032714+9.0972e-05i,-0.00012858-0.000405i,-0.00023577-9.6162e-06i,-0.0002331+0.00077907i,0.00017558+0.00020405i,-0.00022064-0.0010064i
9.5291e-05-0.0021466i,-2.5017e-05-0.0054089i,0.00034572-0.0070947i,0.00037281-0.006117i,0.00084197-0.0041987i,0.0015907-0.0020278i,0.0019239-0.0010022i,0.0010808-0.0014475i,-0.00013815-0.0011716i,-0.00048873-0.00030606i,-0.000603+0.0002162i,-0.001018+0.00088771i,-0.00040341+0.00054543i,0.00018596-0.00029105i,-0.00042174-0.00030441i,-7.2335e-05-5.0697e-05i,0.0004137+0.00010616i,0.00023105+4.2882e-05i,3.5811e-05+0.00060855i,-4.3488e-05+0.00084274i,-0.00016027+0.00044718i,-0.00044336+0.00013243i,-0.00060758+5.7414e-06i
0.0033955+0.0011788i,0.00048714+0.0009271i,-0.0016027-0.0015864i,-0.0028475-0.0036793i,-0.003459-0.003883i,-0.0027251-0.0035495i,-0.0010239-0.0022391i,0.00027999-0.00081098i,0.00040358-0.00076761i,0.00028267-0.00042031i,0.00067804+0.00023764i,0.0010575-7.0814e-05i,0.0009425-0.00018012i,0.00064677+0.00065706i,-3.0043e-05+0.0015601i,-0.0002753+0.0014564i,0.00030914+0.00070323i,0.00049791+0.0005934i,0.00027645+0.0004777i,0.00032153+7.3081e-05i,0.00063318-3.9075e-05i,0.00084955+9.128e-05i,0.00098319+0.00060732i
-0.0022843+0.0015831i,0.00087839+0.0018013i,0.0018717+0.0034161i,0.0011773+0.0039602i,0.00037636+0.0029597i,0.00016443+0.0029395i,0.0006083+0.0029642i,0.0013985+0.0016357i,0.0020673+2.044e-05i,0.0018187-0.00096833i,0.00023449-0.0017291i,-0.00055251-0.0017198i,-0.00039297-0.0011177i,-0.00048229-0.00059211i,-0.00044997+0.00023363i,-0.00023234-5.9221e-06i,-0.00019092-9.6768e-05i,-0.00016568+0.00064806i,0.00025357+0.0012961i,0.00062353+0.0010532i,0.00083438+0.00087076i,0.00063632+0.0003521i,0.00057238-0.00062127i
0.0013682-0.0034558i,0.0019114-0.0061897i,0.0030022-0.0079843i,0.0019461-0.005137i,-0.00062365-0.0022091i,-0.00021725-0.00025562i,0.0019355+8.465e-05i,0.0026615-0.0013995i,0.0019878-0.0021343i,0.00024401-0.0019179i,-0.00078892-0.00049384i,-0.00019871+0.0011411i,-1.64e-05+0.0012639i,5.9394e-05+0.0010251i,-0.00036511+0.00086757i,-0.00056847-7.5951e-05i,-0.0001257-0.0010972i,-0.00068475-0.0011063i,-0.00064461-0.00033664i,0.00043301+0.00018177i,0.0010965+0.00018693i,0.00051582-0.00040105i,-0.00050466-0.00068031i
-0.00092687-0.00062366i,-0.0039858-0.00098449i,-0.0064659-0.0026673i,-0.0058002-0.0035799i,-0.0035264-0.0028199i,-0.0019154-0.0019109i,-0.00098934-0.0023495i,-0.0008567-0.0027036i,-0.00096042-0.0010166i,-0.00061555+0.00033591i,0.00010634+0.00037953i,0.00070866-0.00014326i,0.00084847-0.0007705i,-3.5838e-05-0.00072779i,-0.00038884+0.00032077i,0.00014654+0.00018369i,0.00041463-0.00047485i,8.2302e-05+0.00042462i,2.6777e-05+0.00035598i,0.00050441-9.2966e-05i,0.00052949-4.2901e-06i,-0.00025429+3.6019e-05i,-0.00046774+0.00055821i
0.001987+0.0016345i,0.0045772+0.0041773i,0.0030757+0.0051323i,-0.0005642+0.00343i,-0.0016208+0.0011978i,-0.0018774+0.00054099i,-0.0017626+0.00067787i,-0.00035374+0.00059379i,0.00067479+0.00012021i,0.0016036-0.00084666i,0.0013701-0.0015021i,-0.00037998-0.00076153i,-0.00086985-0.00019607i,-0.00037304-0.00037787i,-0.00048311-0.00024369i,-0.00066552+0.00018815i,-0.00026447+0.00043912i,0.0001877+0.00050873i,0.0002304+0.00011367i,0.00035704-0.00057009i,0.00060302-0.00052417i,0.00072956+3.5042e-05i,0.00056285+0.00034993i
-0.0010137-0.0053757i,0.0011884-0.0075385i,0.0028485-0.0063112i,0.002092-0.0029036i,0.00058673-0.00082862i,0.0013022+0.00097498i,0.0025999+0.0019173i,0.002242+0.00069708i,0.0014712-0.00047978i,0.00014883-0.0012424i,-0.00062446-0.0011399i,-0.00011533-0.00049764i,0.0010646-0.00037007i,0.0016453-0.00012487i,0.00097601+0.00038666i,-0.00030181+0.00041186i,-0.00076628-0.00020769i,-0.00067726-0.00015931i,-0.00064845-0.00044761i,-0.00041506-0.0010422i,8.895e-05-0.00064041i,-0.00030356-0.00074288i,-0.00076011-0.00029996i
-0.00016767+0.0062565i,-0.0027334+0.0048956i,-0.0028804+0.0010469i,-0.0017816-0.0021044i,0.00044804-0.0026586i,0.0028809-0.0023095i,0.0033194-0.0027578i,0.0019609-0.0027894i,0.00055854-0.0016334i,0.00065954-1.0508e-05i,0.00078526+0.00038766i,0.00049221-0.00031917i,0.00048583-0.000435i,7.9719e-05-9.1249e-05i,-0.00029517+0.00016167i,-9.4003e-05-0.00028837i,0.00014276-0.00049755i,0.00024001-0.0002188i,0.00025174+0.00037004i,-0.00017224+0.00042814i,6.6126e-05+0.00018643i,0.00028518+0.00035859i,-7.3301e-05+0.0004574i
-0.00092117+0.0015799i,0.0017256+0.0039164i,0.0004534+0.0063094i,-0.0019183+0.0054527i,-0.0018012+0.0023337i,-0.0014163-0.00036699i,-0.0017669-0.00083196i,-0.0018639+0.00039425i,-0.001253+0.001388i,-0.00044388+0.00064437i,-4.8566e-05-0.00063089i,0.00013007-0.00050128i,0.00013755+4.3412e-05i,-0.00019098+0.00051023i,-0.00061284+0.0006486i,-0.0011899+0.00032328i,-0.00029518-0.0002645i,0.00052094-0.0006181i,0.0007827-0.00041132i,0.00075393-0.00017663i,-0.00011722-0.00048292i,-0.00018472-0.00055345i,0.0011144+0.00011028i
0.00084908-0.0030288i,0.0041134-0.0040072i,0.0064617-0.0036721i,0.0046968-0.00084848i,0.001036+0.0010227i,-0.00032199+0.0017031i,0.0005179+0.0021802i,0.0014248+0.0019511i,0.0018084+0.0013113i,0.00079373+0.00071588i,-0.00053907+0.0010464i,-0.00022617+0.0011122i,0.00072793-0.00018096i,0.00051305-0.00046132i,-0.00038565+0.00014574i,-0.00085359+0.00020077i,-0.00024099+0.00061174i,-6.4098e-05+0.0010107i,-0.00049793+0.00020606i,-0.00092136-0.0010865i,-0.00099731-0.0010568i,-0.0004252+0.0003678i,-0.00042397+0.00027563i
-0.00068861+0.00075954i,-0.0043083-0.0023563i,-0.004108-0.006616i,-0.0021094-0.0066652i,-0.00087438-0.003752i,0.00080461-0.0012757i,0.0025828-0.00017718i,0.0031371-0.0006982i,0.0027386-0.00073237i,0.0014009+8.7964e-05i,0.00056449+0.00099643i,0.00068746+0.0011586i,0.00057049+0.00012678i,0.00045223-0.00021759i,-2.2699e-05+0.00050564i,-0.00043915+0.0009247i,-0.00026917+0.00072735i,-2.397e-05+0.00080596i,0.00038593+0.0005842i,0.0010416+0.000359i,0.00050465+0.00028955i,-0.00021837-9.5976e-05i,-1.8776e-05-0.00024717i
0.0024348+0.0036138i,0.0012829+0.0065884i,-0.0011655+0.005741i,-0.0030172+0.0018811i,-0.0025138-0.00041639i,-0.00080178-0.0011023i,0.00058809-0.0018798i,0.00037166-0.0017135i,-0.00056754-0.0011031i,-0.00063275-0.00023725i,-0.00059858+0.00040515i,-0.0011355+0.00064351i,-0.001341+0.0010306i,-0.0010292+0.00073691i,-0.00046559-0.00027637i,-8.6188e-05-0.00044844i,-0.00059951-0.00013401i,-0.00091031+0.00012442i,0.00020478+0.00050989i,0.0022637+0.00011873i,0.0025019-0.00057271i,0.0013443-0.00082723i,0.00066106-0.00081804i
