-0.0050834-0.00078338i,-0.0038163-0.000284i,-0.0029369-0.00042742i,-0.0013411-0.00094202i,-0.00066024+0.001147i,-0.000667+0.0025195i,5.0068e-05+0.00181i,0.00097131+0.00154i,0.0014104+0.00062987i,0.0016555+0.00024336i,0.0015088+0.00044177i,0.0009461-0.00034874i,0.00044806-0.00085993i,0.00044295-0.0011853i,6.2285e-05-0.00072874i,-0.0011453-0.00033759i,-0.0014981-0.00053625i,-0.0010225-0.00023574i,-0.00066542+0.00028653i,7.3854e-05-0.00011631i,0.00063067-0.00064219i,0.00010482+0.00011791i,-0.00042768+0.00073569i
-0.001654-0.00064998i,-0.00092446-0.0010712i,0.00030214-0.0011183i,0.0018818-0.0012013i,0.0029094-0.00098711i,0.0024025-0.0011746i,0.0016171-0.00063318i,0.0010547+0.0014528i,-9.6694e-05+0.0029126i,-0.00081566+0.0024113i,-0.00062367+0.00042645i,-5.1596e-05-0.00053485i,-8.731e-05-0.00032548i,-8.005e-05-0.00043041i,-5.9111e-05-0.00046544i,0.00036919-0.00070449i,0.00092386-0.00010162i,0.00060949+5.8554e-05i,2.177e-05-0.00052021i,0.00045372-0.00028353i,0.0008173+5.2156e-05i,0.00021574-3.9719e-05i,-0.00049856-0.00056077i
0.00050084-0.0012175i,-0.00032841-0.0018243i,-0.00063561-0.0018489i,-0.00090097-0.0020101i,-0.0013634-0.0025979i,-0.0012859-0.0022352i,0.00012075-0.0018231i,0.0014682-0.00050305i,0.0022821+0.00055785i,0.0022954+0.00094909i,0.00079784+0.0012402i,3.3117e-06+0.0010492i,-0.00042384+0.00020493i,0.00017191-2.5955e-05i,0.00072538+0.00087613i,0.00013403+0.0010586i,2.2298e-05+0.00023751i,0.00058908+6.0494e-07i,0.0012603+0.00026419i,0.00046167+0.00039198i,-0.00063411-0.00022766i,-0.00010322-0.0011681i,0.00030374-0.00094846i
0.0032808-0.0021123i,0.0020194-0.002664i,-0.00057717-0.001446i,-0.0014726-0.001301i,-0.0022707-0.00095621i,-0.0039372+0.00055935i,-0.0026657+0.00067529i,0.00012122-0.00034444i,0.00074404-0.00099103i,0.00013059-0.00079689i,-0.00088735+0.00018678i,-0.0011203+0.00023446i,-0.00021043-0.00057795i,0.00048578-0.000107i,0.0002973+0.00014133i,-8.4078e-05-0.00044551i,-0.00048635-0.00049349i,-0.00045852-0.00064587i,-0.00046012-0.0005889i,-0.00067255-0.00054194i,-0.00063467-0.00035156i,-0.00037524+4.8787e-05i,-0.00029206-0.00046493i
-0.0013358-0.0029363i,-0.00031156-0.0015695i,0.0023873-0.0015295i,0.0035312-0.00042926i,0.0010788+0.001697i,-0.00039038+0.0024661i,0.0002918+0.0019769i,-0.00043212+6.828e-05i,-0.0011086-0.0018585i,-0.00039313-0.001849i,0.00020031-0.00032193i,2.1307e-05+0.00061933i,-0.0004808+0.000545i,0.00010898+0.00033663i,0.0010077+0.00079315i,0.00071271+0.0003495i,0.00036379-8.7822e-05i,4.1296e-05+0.00025118i,-0.00092685+0.0005706i,-0.001266+0.00021315i,-0.00051533-0.00018853i,-5.4099e-05+0.00014229i,-0.00013881+0.00063731i
0.0011823-7.6393e-05i,0.0018114-0.0029277i,0.0016771-0.0045465i,0.00093049-0.0043405i,0.0014444-0.0020143i,0.0019235+0.00068204i,0.0011338+0.0019153i,-0.00054533+0.001852i,-0.0012296+0.00082572i,-0.0014117-5.4892e-05i,-0.0016758+0.00019102i,-0.0012828+0.00051593i,-0.00053793+0.00037714i,0.00047365+0.00060386i,0.00055632+0.0005828i,-0.00029058+2.1994e-05i,-0.00032167-0.00011352i,1.5758e-05+0.00030431i,-0.00016331+0.00052246i,-0.00081649-0.00030772i,-0.0010953-0.00067766i,-0.00069369-0.00032202i,-0.00020195-0.00040629i
-0.00376-0.0026539i,-0.0043075+0.00019889i,-0.0043606+0.0016114i,-0.0041791+0.0017618i,-0.0018868+0.001428i,0.0014875+0.0016018i,0.001575+0.0012406i,-0.00010322+0.0011806i,-0.0013671+0.0016984i,-0.0016771+0.0017251i,-0.00037576+0.001628i,0.00076513+0.0014184i,0.00071811+0.00055956i,0.00044108+9.8012e-05i,9.639e-05-0.0002701i,-0.00017677-0.0011187i,-0.00066964-0.0013857i,-0.00095795-0.00098455i,-0.0007567+1.9091e-05i,-0.0010987+0.00034197i,-0.00090509-0.00043509i,-0.00063073-0.00094922i,-7.0013e-05-0.0011235i
0.0019707+0.0038688i,0.0035372+0.0034908i,0.0034696+0.0050696i,0.0028753+0.0057873i,0.0023136+0.0030703i,0.002774+0.00012993i,0.0031369-0.00044751i,0.0028272+0.00049841i,0.002854+0.0015627i,0.0024375+0.0021508i,0.001537+0.0019948i,0.00095889+0.00082289i,0.00052763+0.00012915i,0.00027442+0.0009501i,0.00012975+0.0010161i,0.00044092-0.00045063i,0.00044445-0.00075913i,0.00056272+2.4928e-05i,0.00031497+0.00016994i,2.6973e-05+0.00046787i,0.00057755+0.00043973i,0.00081483+0.00026903i,-0.00018996+0.00035968i
0.00014469-0.00057166i,0.0018263-0.0011797i,0.0042582-0.0019277i,0.0053486-0.0010684i,0.0034275-0.00026702i,0.0011372-0.00059075i,0.00080936-0.001212i,0.0018632-0.0014368i,0.0021728-0.0014113i,0.0011626-0.0011217i,0.00040462-0.00047351i,0.00018683+0.00050732i,-0.00028406+0.00048481i,-0.00092364-0.00048923i,-0.00069396-0.00013252i,-0.0004716+0.00045933i,-0.00023224+0.00068233i,-7.7087e-05+0.0012284i,0.00024516+0.0014756i,0.00046016+0.00091558i,-9.6092e-05+0.00014684i,-0.00056764-0.0004422i,-0.00034358-0.00089083i
-0.00036311+0.00057484i,-0.00051498-0.0014212i,-0.00087531-0.0028027i,0.00012726-0.0026232i,0.00097677-0.00047999i,0.0003801+0.00021066i,-0.0010159-0.00044276i,-0.0014856-0.0017212i,-0.00055228-0.0028924i,0.0011812-0.0018053i,0.0018571+0.00052115i,0.0012423+0.00088268i,0.00032088-0.00031503i,-0.00025076-0.00045202i,-0.00063101+0.0002426i,-0.00030978+0.0005924i,0.00032516+0.00031912i,0.0010568-0.00028513i,0.001519-0.00032338i,0.00061539+0.00036746i,-0.00024961+0.00019906i,-0.00059937-0.0010045i,-0.00033055-0.0013564i
0.0013829-0.0041007i,-0.0013871-0.0021195i,-0.0032797-0.00014568i,-0.0035564+0.00025693i,-0.0033448+0.00042008i,-0.002365+0.0015438i,-0.0016842+0.0020682i,-0.002459+0.0013518i,-0.0034119-0.00028791i,-0.0027252-0.0014036i,-0.0012552-0.00044668i,-0.00061602-0.00016264i,-8.1846e-05+1.2563e-05i,0.00031342+0.0001951i,0.00029759+0.00030651i,0.00041409+0.00026621i,0.00039559-0.00054609i,-8.289e-05-0.0007434i,-0.00017923-0.00033774i,4.895e-05+0.00048236i,0.0003176+0.00071295i,0.00070109+0.00037666i,0.00053659-8.952e-05i
-0.0011632-9.1296e-05i,0.00017764+0.0014504i,0.0030172+0.0025518i,0.004013+0.0027727i,0.0029298+0.0030919i,0.0011143+0.0029297i,0.00016884+0.0026111i,-0.00047645+0.0030845i,-0.001879+0.0029087i,-0.0024985+0.0017466i,-0.0016938+0.0010262i,-0.00047637+0.00087332i,-0.00061655+0.00073362i,-0.00021406+9.443e-05i,0.0012152-0.00019431i,0.00095472+3.0506e-05i,0.00037346-0.00010041i,0.00045034-0.00050886i,8.9465e-05-0.00072565i,-0.00056802-0.00020087i,-0.00031769+0.00054959i,-0.00045844+0.00042295i,-0.00044522+0.00045211i
0.0036246-0.00079177i,0.003122-0.0035i,0.0029118-0.0050252i,0.0033772-0.003984i,0.0036227-0.0021616i,0.0023983+0.00027582i,0.0022684+0.0016583i,0.0035822+0.0020198i,0.0030948+0.00231i,0.0015461+0.0024815i,0.00075629+0.0021146i,0.00057567+0.0012211i,0.00085645-0.00014152i,0.00097691-0.0013257i,0.00067678-0.0007977i,0.0006826+7.5655e-05i,0.00014193+2.3442e-05i,-0.00039843+2.2354e-05i,0.00015013-8.0343e-05i,0.0003368+0.00013528i,0.00030161-0.00023804i,0.00049514-0.00069754i,0.00049077-0.00049992i
-0.00091255+9.46e-05i,-0.0004548-0.00078873i,-0.0012554-0.0023675i,-0.0020384-0.0032669i,-0.0010279-0.0028089i,0.0010316-0.0024508i,0.0017121-0.0020839i,0.001407-0.0010986i,0.0016617-0.00077136i,0.0013352-0.00027659i,0.00087848+0.00038055i,0.00050201+0.00013364i,-9.0017e-05-0.0010083i,-0.00092868-0.001717i,-0.0013595-0.0013207i,-0.00085764-0.0009434i,-0.00023378-0.00076235i,0.00063541-0.000492i,0.0007076-0.0013067i,-0.00040947-0.0016832i,-0.0011441-0.0010264i,-0.00083033-0.00049664i,-0.00024604+0.00035349i
0.0034157-0.0010666i,0.0012877-0.00056776i,-0.00125+0.0021491i,-0.0021691+0.0047908i,-0.0023612+0.0039375i,-0.0014983+0.0016176i,-0.00083325+0.00070455i,-0.00049023-0.0013098i,0.00057704-0.0039309i,0.00035022-0.0029684i,-0.00061226-0.00043833i,-0.00022023+0.00010555i,0.00029322-0.00078491i,-0.00030481-0.001151i,-0.0010116-0.00082644i,-0.00086877-0.00036235i,-0.00042389-0.00019303i,-0.00050619+1.0393e-05i,-0.00077748-0.00038465i,-0.0010664-0.00011377i,-0.00072599+0.00062211i,-0.00029011-2.2246e-06i,0.00036454-0.00088603i
-0.003013-5.1796e-05i,0.00017379+0.00011958i,0.0041998+0.001612i,0.0049721+0.0024508i,0.0026198+0.0023915i,0.00022292+0.0019212i,-0.0016065+0.0013239i,-0.003056+0.00055267i,-0.0032112-0.00099766i,-0.0025706-0.0015023i,-0.0019704+8.5293e-05i,-0.0012677+0.0006987i,-0.00086414+7.8605e-06i,-0.00093113+0.0010594i,-0.00041943+0.0014111i,0.00020859+0.00065708i,0.00052712+0.0002976i,0.00031283+0.00052716i,0.00046736+0.00072261i,0.0013902+0.00051284i,0.0015399+0.00020844i,0.0012277-7.8393e-05i,0.00030641-3.597e-05i
0.0023723-0.0056896i,0.00084359-0.005841i,0.00072927-0.006245i,0.0013233-0.0051634i,0.00025787-0.0017145i,-0.0014351+0.0018037i,-0.0018468+0.0026364i,-0.0023385+0.0024207i,-0.0028242+0.0018544i,-0.0026029+0.0013123i,-0.00099269+0.00084104i,0.00029649+0.00054596i,0.00019141+0.00011819i,-0.0001493+7.6369e-07i,4.6161e-05+0.00044474i,0.001055-0.00012322i,0.0010026-0.00052529i,0.00011735+6.129e-05i,-0.00059262+0.00012616i,-0.00052403+4.9196e-06i,0.00024924+0.00021634i,0.00020909+0.00021982i,-4.1846e-05+0.000288i
-0.0021868+0.0024125i,-0.002299+0.001529i,-0.0030369+0.00042405i,-0.0029892-0.00080539i,-0.0013806-2.2762e-05i,2.9433e-06+0.0013326i,0.0012074+0.0029612i,0.0021849+0.0041974i,0.0018168+0.0032871i,7.4234e-05+0.0021598i,-0.00010807+0.0012975i,0.00074618+0.00012731i,0.00072732-0.00058605i,0.00049028-0.00059988i,0.00020912-0.00063214i,0.00022194-0.00016068i,0.00010906+0.00023318i,0.00053498+0.00022005i,0.00086831+8.5072e-05i,0.00047869-0.00014945i,0.00017655-0.00018513i,0.0004498-9.0605e-05i,0.00038263-8.3987e-05i
0.0015355-0.0032485i,0.0018959-0.0011166i,0.0024802+0.001148i,0.0020599+0.0029765i,0.0010131+0.0036376i,0.00078518+0.0032725i,0.0017017+0.0019451i,0.0030252-2.1477e-05i,0.0032755-0.00097694i,0.0016455-0.00029036i,-0.00011911+0.0010072i,-0.00059285+0.0014694i,-9.8121e-05+0.00062799i,0.00022367-4.1016e-05i,0.00070974-0.00024774i,0.00037886-0.00060971i,-0.00037506-0.00042044i,-0.0004913-0.0009054i,-0.00066077-0.0017833i,-0.0012845-0.0010842i,-0.0010489-0.00079452i,-0.00076993-0.0012312i,-0.00098861-0.0010894i
0.0005856-0.0011861i,0.0026225-0.0029459i,0.0047198-0.0040299i,0.0058968-0.0029691i,0.0046029-0.0011508i,0.0033035-0.00058499i,0.0034064-0.00074218i,0.0033766-0.0015515i,0.0029046-0.0024926i,0.00215-0.0018182i,0.0013481+0.00035826i,0.0012209+0.001123i,0.0012285-0.00030847i,0.00033241-0.00086813i,0.00023312+3.6676e-05i,-0.00013899-0.00011739i,-0.00078262-0.0007615i,-0.0010485-0.0005839i,-0.0013054-0.00024182i,-0.0006766-5.0278e-05i,0.00044789-0.00033486i,0.00023498-0.00056343i,-3.7604e-05-0.0004053i
-0.0017121+0.0039725i,0.00019277+0.0012071i,0.0016525-0.0023865i,0.001479-0.0049534i,0.0016713-0.004475i,0.002078-0.0025307i,0.000613-0.0014615i,-0.0016123-0.0017876i,-0.002251-0.0020996i,-0.0012332-0.0015765i,-0.0010948-0.00028881i,-0.00081652+0.00022921i,-0.00011934+7.8355e-05i,-0.00027067+0.00011706i,-0.00049121-0.00060387i,-0.00023995-0.0013611i,-0.00013065-0.00070563i,1.6134e-06-0.00024083i,0.0001368+6.9286e-05i,1.2882e-05+0.00044481i,-2.0635e-05+0.00081388i,-0.00026499+0.00013554i,-0.001071-0.00047218i
0.0022748+0.00013232i,0.0012482-8.6067e-06i,-0.00077949+0.0018995i,-0.0012849+0.0016572i,-0.00062079+0.00033415i,-0.00054674-0.00049292i,-0.0014806-0.00017648i,-0.0023661+0.0002236i,-0.0029295-0.0010921i,-0.0017836-0.001784i,-0.00054112-0.0017542i,-0.00090293-0.0016544i,-0.0013803-0.00083785i,-0.0011303-6.5177e-05i,-0.00048332+0.00020779i,-0.00063397+0.00075998i,-0.0015705+0.00051636i,-0.0013003-0.00045431i,-0.00073193-0.00054196i,-0.0005882-0.00034808i,-0.00052414-0.00021245i,0.00016528-3.6378e-05i,0.0009949+0.00023237i
0.00039705+0.004927i,0.0021948+0.0040766i,0.0038574+0.0036783i,0.0036585+0.0038703i,0.0015763+0.0026788i,-6.0621e-05+0.0018688i,-0.00020516+0.0030371i,0.00023964+0.0051121i,-0.00010889+0.0053343i,-0.0013086+0.0041791i,-0.0021431+0.0028825i,-0.0017433+0.0016473i,-0.00087084+0.0006963i,-9.8566e-05+5.3811e-05i,0.00031596+0.00046627i,0.000438+0.00121i,0.00022509+0.00092513i,-0.00013274+0.00030882i,-0.00040579+8.3242e-05i,8.0118e-05+0.00017065i,0.00064586+0.00055794i,-1.9761e-05+0.00059461i,2.5601e-05+0.00018114i
0.00087044-0.0048189i,0.0018353-0.0050898i,0.0031897-0.0050238i,0.0045495-0.0036044i,0.0029548-0.00098342i,0.00057127+0.0017197i,0.000783+0.0026165i,0.0026772+0.0026838i,0.0035883+0.0021619i,0.0020145+0.0013401i,-8.7418e-05+0.0014278i,-0.00027802+0.0013052i,1.003e-05+0.00061994i,-0.00049721-0.00025925i,-0.00054208-0.00029473i,-0.00037522-0.00061049i,-0.00044772-0.00051259i,-0.0004499-0.00020637i,5.4739e-06-0.00075685i,0.00029836-0.00053385i,0.00065021+0.00013434i,0.00035464-3.9436e-06i,-0.00044262-0.00030435i
-0.0016466+0.0038957i,-0.0031182+0.0010126i,-0.0042964-0.0016081i,-0.0034538-0.0019095i,-0.0013606+0.00046354i,0.00015524+0.0028732i,0.0014839+0.0025457i,0.0031023+0.00093664i,0.0039966-0.00042223i,0.0037892-5.3962e-05i,0.0027848+0.00054555i,0.0017566+1.7297e-05i,0.00080467-0.00053879i,0.00075519-0.0010443i,0.00081958-0.0011189i,-0.00032435-0.00086261i,-0.00063345-0.00087544i,0.00049938-0.00039342i,0.00024398+3.1205e-05i,-0.00031099-0.00055011i,-0.00017987-0.0014844i,-0.00012724-0.00088927i,-0.00035051-0.00034036i
-0.00057915-0.0035805i,0.00082146-0.00052401i,0.00084103+0.0032973i,-0.00064741+0.0040489i,-0.00076088+0.003453i,0.00071157+0.002753i,0.0012501+0.0018798i,-0.00037485+0.00013535i,-0.0014988-0.0024053i,-0.0016197-0.0032078i,-0.0016015-0.0015634i,-0.0005453+0.00027112i,-0.0003413+0.00034465i,-0.00063919-0.00037448i,-8.379e-05-0.00080689i,0.00020844-0.00105i,-7.6817e-05-0.001068i,-0.00080662-0.0016137i,-0.0010564-0.00084002i,-0.0010848+0.00073399i,-0.00067953+0.0006887i,-0.00061014+0.00037426i,-0.0015188+0.00051557i
0.0050237-0.00056072i,0.0045099-0.0034233i,0.0065471-0.0038064i,0.0076917-0.0020135i,0.0053454-0.00095044i,0.003143-0.00017093i,0.0014049+0.00012153i,-0.0012284-0.00049107i,-0.0032257-0.00074945i,-0.0027561+0.00016106i,-0.0011986+0.0010728i,-0.00057062+0.00054383i,-0.00017018+6.8018e-05i,-0.00016185+0.00061133i,-0.00053696-0.00015833i,-0.00061477-0.00062231i,-0.0011932-0.00013103i,-0.0020532+0.0001911i,-0.0018958-5.6344e-05i,-0.00094163-0.00064571i,-0.0012971-0.00035666i,-0.0009517+0.0002585i,8.2979e-05-0.0001506i
-0.0011806+0.00080737i,0.00031763-0.00054003i,0.0019456-0.0043324i,0.0020664-0.006583i,0.0010874-0.0040682i,0.00010504-0.0017781i,-0.00047898-0.00019196i,-0.0012065+0.0030642i,-0.0016833+0.0046516i,-0.0021308+0.0034062i,-0.00267+0.002031i,-0.001808+0.0017398i,-0.001112+0.0013032i,-0.00069506+0.00016928i,0.00036524-0.00025442i,0.0007455+0.00036384i,0.00027226+0.00058646i,-0.00099878+0.00083408i,-0.0013303+0.00018676i,-0.00075449-0.00074662i,-0.00042561-0.00022112i,-0.00028294+0.00019286i,-0.00032234-0.00027283i
0.0013836-0.00074182i,-0.0011357-0.0015362i,-0.0034243-0.00038313i,-0.0043566+0.0006332i,-0.00363-0.00019678i,-0.0012774-0.00034178i,-0.00049883+0.00023658i,0.00060758+0.0016683i,0.0018207+0.0023846i,0.00086926+0.0020555i,-0.00020339+0.0021093i,-0.00059829+0.0017196i,-0.00049401+0.00062344i,-0.00017541+0.00014075i,0.00015105-0.00022251i,0.00067904-0.00068672i,0.00076879-0.0016577i,-3.1139e-05-0.0015817i,-0.00054747-0.0010895i,-0.00016718-0.0010313i,-0.00027377-0.000704i,-0.00032473+0.00032944i,-0.00039046+0.0011586i
-0.0015833+0.001699i,0.0013552+0.0028695i,0.0033036+0.0044014i,0.002952+0.006443i,0.0015029+0.0067246i,0.00013362+0.0047535i,5.1939e-06+0.0021569i,0.001067+0.00025924i,0.001805-0.00057614i,0.0015971-2.7626e-05i,0.0013016+0.0013157i,0.00095881+0.0016091i,0.00021901+0.00064285i,7.7669e-05-0.00012107i,0.00023798-0.0007486i,0.00046708-0.00081117i,0.0011002-0.00015468i,0.00088878+0.00055331i,0.00010591+0.00070517i,-0.00033517+0.0007468i,-0.00043556+0.00045611i,-4.2144e-05+0.00047123i,-0.00032431+0.00045809i
0.00089748-0.0055252i,0.00087141-0.0061387i,0.0038697-0.005632i,0.0073619-0.0039877i,0.0058868-0.00062951i,0.0019286+0.0026511i,-0.00021557+0.003226i,-2.6329e-05+0.00019748i,4.5296e-05-0.0035675i,-0.00013254-0.004038i,0.00019724-0.0017342i,0.00074713-0.00030813i,-0.00022781-0.00018159i,-0.00089135-0.00014625i,2.827e-05-0.0004727i,1.8517e-05-0.00025411i,-0.00067003+0.00029328i,-0.00096362-4.1876e-05i,8.3923e-05-0.00020856i,0.00095673-0.00016734i,0.00051598+8.6931e-05i,0.00036998+0.00019689i,5.4625e-05+9.3707e-05i
-0.00011523+0.0015385i,-0.00046592-0.00089795i,-0.00097734-0.0047728i,0.00090618-0.0072483i,0.0029013-0.0050131i,0.0025705-0.0011058i,0.0017327+0.0010156i,0.00093638+0.00055668i,-0.0003857-0.00040108i,-0.001096-0.00072558i,-0.00060958-0.0008889i,-0.00066164-0.001371i,-0.00037878-0.0012224i,0.00063658+0.00023355i,0.00071893-6.5533e-05i,0.00053662-0.00075725i,0.00014256-0.00034647i,-0.00035589+0.00022059i,1.9263e-05+0.00036986i,0.00018903+0.00061506i,-0.00053135+0.00061301i,-0.00027214+0.00058242i,0.00013379+3.9061e-05i
-0.0019088+0.00028716i,-0.0021944+0.0022765i,-0.0024794+0.0038819i,-0.003928+0.0023714i,-0.0031722+0.0004176i,-0.00032837-0.00022948i,0.0013759-0.00025545i,0.00019817-0.00012888i,-0.0019026+0.00014304i,-0.0024526+7.2473e-05i,-0.0024324-0.00062656i,-0.0021726-0.0014441i,-0.0013542-0.0014413i,-0.00081236-0.00012236i,-0.00030711+0.0001812i,0.00034817-0.00016035i,-1.2228e-05-0.00027477i,-0.00050145-0.0008367i,8.1885e-05-0.00070396i,-8.9039e-05+0.00024948i,-0.00036993+2.4437e-05i,3.0655e-06-0.00018023i,-0.00027666+0.00018304i
0.0010451+0.00047508i,0.0034013-8.2665e-05i,0.0061197+0.0014732i,0.0063213+0.0045743i,0.0024911+0.0035922i,-0.00047193+0.00076039i,-0.00093178-0.00096383i,-4.2935e-05-0.00033717i,0.0013844+0.0013874i,0.0014286+0.0019942i,-6.6398e-06+0.0013902i,-0.00089463+0.0014947i,-0.0011418+0.0021647i,-0.00026208+0.0013676i,0.00072635+0.000223i,0.00076855-0.00013905i,-0.00049353-0.00031171i,-0.0017303+0.00021284i,-0.0015402+0.00020984i,-0.0010419-0.00035375i,-0.0009401-0.00031384i,-0.00088184-0.000488i,2.6316e-06-0.00092133i
7.4444e-06-0.001331i,0.002573-0.0039368i,0.0040636-0.0066876i,0.0034367-0.0067183i,0.001431-0.0033997i,-0.001615-0.00078794i,-0.0033554+0.00046754i,-0.0017717+0.00082806i,0.00040164+0.00053077i,0.0008114+0.00090529i,5.7809e-05+0.0023473i,4.8534e-05+0.0031032i,0.00022786+0.0015733i,9.2019e-05+0.00018112i,0.0001519-0.0001641i,0.00042663-0.00032441i,0.00052532+2.9911e-05i,-2.793e-05+0.0006468i,-0.00024545+0.00065667i,-0.00026844-9.8302e-05i,-9.5385e-05-0.00083688i,0.00038626-0.00086652i,-5.9081e-05-0.0002835i
-0.00022163-0.0035954i,-0.0047891-0.0035725i,-0.007901-0.0044075i,-0.0073286-0.0050732i,-0.0055779-0.0028098i,-0.0045256+0.00080423i,-0.0028269+0.0022143i,-0.00058471+0.00050849i,0.00029575-0.0022178i,0.00053945-0.0023391i,0.0012354-0.00037752i,0.0012759+0.00068283i,0.00089485+0.00050803i,4.5896e-05+0.00028357i,-0.00032327-0.00066736i,0.00012912-0.0015606i,0.00048275-0.00070379i,5.6125e-05+0.00081786i,0.00010855+0.0010028i,0.00041161+0.00020799i,0.00034918-0.00038882i,0.00024305-0.00098566i,-7.4593e-05-0.00078755i
0.0013364+0.005484i,0.0038816+0.0061269i,0.0037615+0.0086215i,0.002048+0.0099257i,5.9879e-05+0.0080853i,-0.00089306+0.0056452i,-4.3074e-06+0.0045083i,3.715e-05+0.0023478i,-0.0011925+0.00040043i,-0.0018615+0.00077854i,-0.0008526+0.00065363i,0.0003085-0.00031004i,-0.00034423-0.00055597i,-0.0013667-1.4116e-05i,-0.0013539+0.00026934i,-0.00096496-0.00016717i,-0.00055571-2.526e-05i,-0.00025692+0.00031961i,-0.0003036+0.00025306i,-0.001113+0.00021054i,-0.0013328+0.00029747i,-0.00069999-4.2846e-05i,3.9504e-06-0.0001302i
-0.0016699-0.0041431i,0.002537-0.0034326i,0.0080434-0.0010556i,0.0094835+0.0015089i,0.0071101+0.003846i,0.0060929+0.0042448i,0.0050427+0.0027912i,0.0022893+0.0018856i,-0.00039025+0.0019592i,-0.0016195+0.0018568i,-0.0012715+0.00077124i,-0.00063961-0.00022823i,-0.00020606-2.2771e-05i,0.00048178+0.0006375i,0.00064508+0.00075279i,0.00014455+0.00056552i,-0.00016456+0.00054588i,-8.7947e-05+0.00057262i,-3.6632e-05+0.001016i,-0.00014056+0.00073125i,-0.00041964-0.00018487i,-0.00057909-0.00042889i,-0.00046391+1.8607e-05i
0.0035321+0.00086002i,0.0020517-0.0036619i,0.0020984-0.008579i,0.0031386-0.010286i,0.0043125-0.0077078i,0.0042582-0.0045319i,0.0037774-0.0025577i,0.0036248-1.4524e-06i,0.0038788+0.0020861i,0.0034897+0.0018136i,0.0016731+0.00049276i,-0.00034113+0.00073277i,-0.00059766+0.0011845i,0.00052218+0.00092267i,0.0013728+0.0007403i,0.00076444+0.0010057i,-0.00025143+0.00048334i,-0.00026352-0.00058819i,-4.5825e-06-0.0010692i,-0.00022025-0.0011724i,-4.2622e-05-0.0011286i,7.9184e-05-0.00059941i,-0.00020118-5.4868e-05i
0.0025653+0.0017919i,0.00015573+0.00056617i,-0.0029561-0.000495i,-0.0048734-0.0028411i,-0.0037334-0.0051865i,-0.0013872-0.0058316i,-0.00041688-0.0037723i,0.00035201-0.0022077i,0.0019999-0.0023896i,0.001159-0.0024355i,0.00012247-0.0018069i,0.00020688-0.00031804i,-0.00055374+0.00031478i,-0.00092176+0.00062857i,-0.00022809+0.00086333i,0.00013662-0.00018096i,0.00034128-0.0002844i,0.00069644-0.00016887i,0.00037514-0.00085784i,-9.0139e-05-0.0011635i,-1.6056e-05-0.00059472i,-0.00035593-0.0006909i,0.00029709-0.00031194i
-0.0014886+0.0010476i,0.001203+0.0033815i,0.0025366+0.0066045i,0.0021968+0.0078402i,6.6883e-05+0.0050966i,-0.0019117+0.00094313i,-0.0025342-0.00093532i,-0.0027042-0.0028736i,-0.0020845-0.0039631i,-0.0016834-0.0027749i,-0.0017922-0.00023706i,-0.00072093+0.0011747i,0.00043341+0.00043089i,9.6659e-05-2.0898e-05i,-0.00048923-0.00045084i,-0.00057769-0.00083532i,-0.00075097-0.00020669i,-0.00098023-2.4762e-05i,-0.00054224-0.00032591i,-0.00027965-0.00040425i,-5.7188e-05-0.00038319i,0.0001001-0.00059052i,-4.4201e-05-0.00019727i
0.001497-0.0055829i,0.0042087-0.0054923i,0.0071332-0.0055248i,0.0061475-0.0038814i,0.0014588+0.00023434i,-0.0014006+0.0041536i,-0.0014379+0.0050152i,-0.0011223+0.0034171i,-0.0024255+0.001856i,-0.0041448+0.0015794i,-0.0031568+0.0021848i,-0.0010521+0.0017456i,0.00043619+0.0010624i,0.00085185+0.0013017i,-0.00013987+0.0013348i,-0.00060405+0.00056285i,-4.3639e-05-2.2083e-05i,0.00045169+6.1742e-05i,4.2029e-05-9.1334e-05i,-0.00067476-0.0002583i,-0.00090943-0.00024717i,-0.0010897+6.4462e-05i,-0.00075174-6.3805e-05i
-0.0017781-0.0033791i,-0.0037399-0.0070993i,-0.0047155-0.009606i,-0.0051626-0.0083705i,-0.0044485-0.0032968i,-0.0026307+0.0013468i,-0.0011561+0.0030057i,0.00066321+0.0031124i,0.0008557+0.0029421i,3.7322e-05+0.0026721i,0.00064874+0.001834i,0.00095312+0.00054114i,0.00034919-0.00027773i,-0.00029838-0.00052281i,-0.000456-0.00018794i,0.00033449+0.00011319i,0.00082244-0.00047965i,0.00010978-0.00044573i,-0.00053755+0.00016876i,-0.00039614+0.00051332i,-0.00097941+0.00081167i,-0.0011458-2.0618e-05i,-0.0002817-0.001036i
0.00080643+0.0021087i,-0.0012765+0.0042817i,-0.0035862+0.0064221i,-0.0039421+0.0071712i,-0.0009983+0.0058144i,0.0019254+0.0037816i,0.0030141+0.0019147i,0.0034436+0.00066902i,0.0038793-0.00041388i,0.0035991+0.00031943i,0.0023166+0.0010363i,0.00026143+1.198e-05i,-0.00061993-0.00041759i,-9.1584e-05+9.8924e-05i,1.4993e-05-0.00029251i,0.00016256-0.0011199i,0.00028197-0.00096404i,-0.00025938-0.00088628i,-0.00036371-0.0003233i,-0.00020832+0.00084155i,-0.00071634+0.0015379i,-0.00033104+0.0012222i,0.00036076+0.00081896i
