-0.0012239+0.0005808i,-0.00071091-3.4475e-06i,-0.00013809-0.00013503i,8.6432e-05+0.00079092i,-0.00058405+0.0016466i,-0.00031479+0.00071016i,0.00010012+0.00022292i,-8.9667e-05+0.0011413i,-4.1395e-05+0.00073501i,0.00093908-0.00026729i,0.0014977-0.00026974i,0.0010375-0.0007669i,-0.00016989-0.00093522i,-0.00097874-0.00043976i,-0.00064692+6.485e-05i,-8.489e-05+8.0981e-05i,7.3137e-06-5.2751e-05i,-0.00019019-9.2576e-05i,-0.00016743+0.00037805i,-0.00063001+0.00026911i,-0.0012176-0.00028117i,-0.00071729-0.00022816i,-0.00022287-0.00034422i
-0.0027329-0.0020683i,-0.0024454+0.00050921i,-0.004206+0.0069429i,-0.010517+0.015679i,-0.01947+0.021349i,-0.019971+0.018756i,-0.0089031+0.0066685i,-0.0017179-0.0061873i,-0.0028121-0.0087046i,-0.0024935-0.0033014i,0.0006678-0.00044323i,0.0039052-0.0016135i,0.0045996-0.0018521i,0.0042781-0.00092404i,0.0045475+0.00012577i,0.0017232+0.00068295i,-0.0012205+1.3544e-06i,-0.0015984-0.0013552i,-0.0013376-0.0019717i,-0.0017451-0.001863i,-0.0025319-0.0018015i,-0.0020558-0.00085591i,-0.00089398-0.00013469i
-0.0029962+0.0014429i,-0.00081142+0.0038605i,0.0023185+0.0072381i,0.010101+0.015829i,0.02082+0.026502i,0.024875+0.025102i,0.01675+0.01158i,0.0063898+0.00093479i,0.00038076+0.00016824i,-0.0023239+0.0027399i,-0.0020105+0.0032932i,-0.0018632+0.0028825i,-0.0021624+0.0028912i,-0.00033456+0.0026345i,0.0014707+0.00066395i,0.0020826-0.0021046i,0.0030376-0.0037141i,0.004974-0.0030766i,0.0057295-0.0013779i,0.0036371+0.00011527i,0.0013282+0.0013155i,-0.00027249+0.0016364i,-0.0011661+0.0020765i
-0.0019109+0.001778i,-0.0028872+0.0026887i,-0.00099343+0.00057403i,0.0072286-0.0096811i,0.015056-0.024578i,0.012394-0.02593i,0.0026063-0.0098897i,-0.0023112+0.0036837i,0.0015456+0.0052529i,0.0045441+0.0022801i,0.0029461+0.00024209i,0.00095375-0.00073536i,-0.00071733-0.0010376i,-0.0028371-7.896e-05i,-0.0042734+0.0027016i,-0.0031933+0.0054387i,-0.0014009+0.0067267i,-0.0007907+0.0064985i,-0.00059262+0.0052116i,0.00037027+0.0032482i,0.00081849+0.0014175i,0.0008629-4.1021e-05i,0.00029641-0.00081792i
0.001434-0.0030863i,-0.0025081-0.004775i,-0.0091814-0.0060468i,-0.021573-0.0077564i,-0.034558-0.0079465i,-0.033136-0.0016273i,-0.018855+0.0056799i,-0.0078065+0.0062024i,-0.0047639+0.0017385i,-0.0010718-0.0011498i,0.003218-0.0031374i,0.003122-0.0055868i,0.0013388-0.0067869i,0.00047219-0.0069571i,-0.00085467-0.0055929i,-0.0027575-0.0039329i,-0.0048175-0.0015441i,-0.0058049-0.00017245i,-0.0061359-0.0012512i,-0.0059966-0.0023208i,-0.0044423-0.0010537i,-0.0025935-0.00041245i,-0.00096117-0.0016696i
-0.00086201+0.0046962i,0.0017482+0.0056628i,0.0061872+0.011374i,0.010267+0.023884i,0.014228+0.035676i,0.019154+0.033733i,0.022111+0.016764i,0.015536+0.0010797i,0.0038712-0.0028551i,-0.0031418-0.00229i,-0.0063176-0.00042402i,-0.0058631+0.002955i,-0.0018241+0.0046111i,0.0016978+0.0024168i,0.0038853-0.0028526i,0.0047653-0.0070351i,0.005375-0.0087065i,0.0051588-0.0076941i,0.0034974-0.0039198i,0.0016029-0.0010901i,-0.00013358-0.00058327i,-0.00089362-0.00021365i,-0.00048135+0.00084394i
-0.00053575+0.0022463i,-0.0015736+0.0017365i,0.0024717+0.0027895i,0.016563+0.00064405i,0.033231-0.0077982i,0.03572-0.019497i,0.022753-0.024074i,0.015425-0.017239i,0.014505-0.0090857i,0.0069479-0.0029506i,0.001062+0.0025483i,0.00079704+0.0060812i,-0.00041411+0.0070015i,-0.0022812+0.0079356i,-0.0022176+0.0082681i,0.00054793+0.0070141i,0.0027355+0.0062877i,0.0039126+0.0060035i,0.0049879+0.0048982i,0.0055922+0.0027871i,0.0043778+0.00038756i,0.0017034+0.00013705i,0.00089576+0.001076i
0.0020536+0.00013455i,0.0013269-0.00022441i,-0.0016837-0.0043036i,-0.0086315-0.016531i,-0.021243-0.030553i,-0.034695-0.028596i,-0.036459-0.011334i,-0.028175-0.00059703i,-0.014393+0.00056546i,-0.00037631+0.0019369i,0.0066781+0.00090227i,0.0080514-0.0048308i,0.0059177-0.0086086i,0.00098648-0.0063062i,-0.003283-0.00071928i,-0.0054933+0.0036434i,-0.0075349+0.0040919i,-0.0084311+0.002403i,-0.0074871+0.001009i,-0.0051242+0.0001453i,-0.0026916-0.00010466i,-0.0013487-4.5786e-05i,-0.0013155-0.0011253i
0.0031057-0.0015161i,0.00039418-0.00095386i,-0.0059598+0.0029993i,-0.01942+0.013295i,-0.035379+0.029837i,-0.034688+0.041924i,-0.02026+0.038665i,-0.012601+0.026675i,-0.014303+0.016107i,-0.011635+0.006857i,-0.0061949-0.0028164i,-0.0053637-0.0070319i,-0.003476-0.0056478i,0.00089329-0.0047888i,0.0019128-0.006037i,0.00066757-0.007577i,0.0014268-0.0079855i,0.0025435-0.0079452i,0.0015823-0.0062971i,-0.00099413-0.0024344i,-0.0026138+0.00066622i,-0.0026808+0.00070576i,-0.0021081-0.00023214i
-0.0058575-0.0038966i,-0.0040809-0.0041317i,0.0019277+0.00064231i,0.018613+0.012871i,0.043004+0.022662i,0.057341+0.016883i,0.055414+0.0030743i,0.043013-0.0031399i,0.026822-0.0027492i,0.010887-0.0025525i,-0.001427+0.00075885i,-0.0064762+0.0060205i,-0.0061222+0.00799i,-0.0029647+0.006119i,0.00056407+0.0032689i,0.0034882+0.0011067i,0.0054891+0.00072824i,0.0067109+0.0027048i,0.0064222+0.0040025i,0.004262+0.0026801i,0.0034205+0.00030706i,0.0033768-0.00032965i,0.0029918+0.0003341i
-0.001791+0.0013238i,-0.0025629+0.0033293i,1.117e-05+0.0041061i,0.0089431-0.0080386i,0.017304-0.031504i,0.01514-0.044091i,0.0047144-0.038315i,0.0049579-0.027502i,0.0093013-0.020471i,0.0064332-0.010806i,0.0062588+0.00046995i,0.0087567+0.0044511i,0.0071553+0.0015796i,0.0023263-0.00064362i,-0.00067851+0.0008887i,-0.0022126+0.0039617i,-0.0043115+0.0058409i,-0.005311+0.0056227i,-0.0039566+0.0037787i,-0.0022605+0.0012562i,-0.0021461-0.00055911i,-0.0019482-0.00012477i,-0.0006593+0.00083939i
-0.0019567+0.0026133i,-0.0047095+0.0030781i,-0.010193+0.00063251i,-0.023433-0.0025657i,-0.040911-0.0013076i,-0.053492+0.0057106i,-0.051688+0.012666i,-0.044424+0.010481i,-0.033518+0.0058483i,-0.016236+0.0038691i,-0.0038422+0.00052592i,0.0025744-0.0048124i,0.0066523-0.0078307i,0.0075159-0.0067724i,0.0057082-0.0034633i,0.0033669-0.0019938i,0.001875-0.0035378i,-0.00013355-0.0071665i,-0.0021063-0.0073002i,-0.0031188-0.003108i,-0.0035247+0.0004593i,-0.0030702+0.00059736i,-0.0029648-0.0012515i
-0.0014843-0.0011023i,-0.0004243-0.0018964i,0.0031135+0.0036448i,0.0075095+0.019803i,0.0057892+0.040361i,0.0098556+0.044263i,0.017728+0.031787i,0.019251+0.024201i,0.012275+0.019576i,0.0024515+0.010461i,-0.0046148+3.9253e-06i,-0.0094709-0.0031976i,-0.010289+0.0010942i,-0.0080235+0.0035952i,-0.0053591+0.0014517i,-0.0022957-9.4787e-05i,0.0026762-0.00028265i,0.0063881-0.00072222i,0.0062901-0.00016809i,0.0043827+0.0017411i,0.0042411+0.0032546i,0.0048488+0.0028213i,0.0032112+0.0015504i
-0.00069309+0.0015381i,0.00099778+0.0039916i,0.0036684+0.0022092i,0.016398-0.0061715i,0.044-0.021178i,0.056728-0.030536i,0.049752-0.027304i,0.040605-0.021399i,0.030984-0.015792i,0.01755-0.0086967i,0.0074573-0.001271i,0.0027226+0.0030096i,-0.0021362+0.0027261i,-0.0063971-0.00028491i,-0.0079379-0.0028412i,-0.0080157-0.0022714i,-0.0081301+0.0021829i,-0.0068015+0.0061458i,-0.0042057+0.0053891i,-0.0026504+0.0017327i,-0.0018075-0.00057162i,-0.00065331-0.00055736i,0.0010703-0.00019533i
0.00065119-6.7308e-05i,-0.0042709+0.0021943i,-0.0084866+0.0050641i,-0.018371-0.00039748i,-0.038791-0.012679i,-0.047472-0.01741i,-0.045039-0.014933i,-0.040319-0.016865i,-0.031807-0.019471i,-0.017653-0.011368i,-0.00092878-0.00089681i,0.008861+0.0028349i,0.011555+0.0014256i,0.010929-0.0012898i,0.0094808-0.001579i,0.0075563-0.0010933i,0.0040303-0.002954i,4.8362e-05-0.0048968i,-0.0022018-0.0056326i,-0.0033598-0.0052668i,-0.0044593-0.0040932i,-0.0040667-0.0029062i,-0.0029364-0.0024225i
-0.0012843-0.0010276i,-0.00041293-0.0013948i,-0.0044718+0.00077466i,-0.010525+0.01519i,-0.014493+0.036355i,-0.024881+0.046407i,-0.027783+0.040992i,-0.023748+0.032107i,-0.017131+0.025834i,-0.0077608+0.015592i,-0.0042305+0.0032968i,-0.0027405-0.0019964i,0.0012198-0.00021824i,0.0036333+0.0041157i,0.0041141+0.006332i,0.0058422+0.0044828i,0.0071318+0.00093205i,0.0060705-0.0017053i,0.0042318-0.0011772i,0.0030952+0.0014528i,0.0027317+0.0021322i,0.0026388+0.00087913i,0.0021746+0.0014221i
0.0039299+0.0034795i,0.0036038-0.001179i,0.015661-0.0095338i,0.038732-0.016386i,0.059005-0.0088471i,0.07417+0.001515i,0.075236+0.0048439i,0.067454+0.011108i,0.052492+0.012698i,0.027455+0.0066797i,0.0058259+0.0019014i,-0.0066083-0.00010822i,-0.012851-0.0010947i,-0.013529-0.0022258i,-0.011443-0.0022837i,-0.0094261-0.00017564i,-0.0071084+0.002696i,-0.0035513+0.0056068i,7.0739e-05+0.0075964i,0.00119+0.006868i,0.00093469+0.0043941i,0.00050904+0.0027399i,-0.00037688+0.0023009i
0.00082907-0.00078203i,0.00019517+0.0017989i,-0.0085223+0.0067187i,-0.018318+0.0012895i,-0.014326-0.031332i,-0.0085109-0.053148i,-0.0033993-0.044234i,-0.00053872-0.038958i,-0.0032719-0.036662i,-0.0049171-0.0226i,-0.0019066-0.0064073i,0.00099894+0.00097217i,0.0013011+0.0016683i,0.00010734-0.0014977i,-0.0020759-0.0047045i,-0.00347-0.0042723i,-0.003157-0.0029931i,-0.0019476-0.003222i,-0.0018713-0.0047192i,-0.0034072-0.0058195i,-0.0038861-0.0046i,-0.0034531-0.0025705i,-0.0019049-0.0023084i
-0.00097175-0.0039245i,-0.0055021+0.0036293i,-0.0079563+0.016868i,-0.02249+0.03299i,-0.062903+0.048219i,-0.086932+0.03676i,-0.082663+0.01007i,-0.071075-0.00035178i,-0.054691-0.0010462i,-0.030999+0.00041909i,-0.008469+0.0012553i,0.0050877+0.00058359i,0.010562+0.00078352i,0.010428+0.0033184i,0.007988+0.005758i,0.0062587+0.003586i,0.0054535-0.001039i,0.0043543-0.0037354i,0.0027669-0.0052104i,0.0025557-0.0054259i,0.0026831-0.0033245i,0.0030162-0.0012407i,0.002947+0.00094552i
-0.0054582+0.00086235i,-0.0047686-0.0053522i,-0.0031579-0.013351i,0.018171-0.013627i,0.058043+0.00011544i,0.06352+0.028056i,0.043168+0.042463i,0.030321+0.039352i,0.024945+0.036302i,0.019186+0.025908i,0.0099724+0.010536i,0.0042213-0.00017995i,0.0024138-0.0053028i,0.0026972-0.0040664i,0.0040737-0.00050129i,0.0032787+0.0015318i,0.00059276+0.0035052i,-0.001813+0.0055506i,-0.0011809+0.007075i,0.0025006+0.0076126i,0.0037013+0.0068169i,0.0029464+0.0045903i,0.0020385+0.0032256i
-0.0014005-0.00011923i,-0.0032869-0.00069713i,0.0018735-0.012625i,0.0075883-0.036809i,0.017329-0.046597i,0.047873-0.035434i,0.066481-0.013998i,0.061882-0.0054769i,0.045237-0.013467i,0.021926-0.013126i,0.0047073-0.0048315i,-0.0068881-0.00027167i,-0.013079+0.0010544i,-0.0099328-0.0014095i,-0.0049779-0.0032996i,-0.0035114-0.0024963i,-0.0020483-0.0019142i,-0.00037341-0.0020614i,-0.0002283-0.0012842i,-0.0023345+0.0015884i,-0.0043743+0.00196i,-0.0043599-0.00070946i,-0.0043574-0.0031065i
0.0055269+0.00058229i,0.0087799+0.008454i,0.0019209+0.034516i,-0.015786+0.065005i,-0.044594+0.048738i,-0.072193+0.0072319i,-0.066168-0.017195i,-0.046055-0.0292i,-0.033568-0.029667i,-0.020462-0.02193i,-0.0096674-0.013807i,-0.0052657-0.0048628i,-0.0017459+0.0033348i,-0.0020872+0.0055914i,-0.006009+0.0031121i,-0.0058728+0.00072106i,-0.00088091-0.001211i,0.0021177-0.0026934i,-6.6756e-05-0.0028838i,-0.0028358-0.0041385i,-0.0024177-0.0057165i,-0.00074228-0.005597i,0.00086932-0.0038167i
-0.0041499+0.0024655i,-0.0034295+0.0028025i,0.011407-0.00060642i,0.033527+0.002956i,0.040137+0.032838i,0.025006+0.035307i,-0.0052431+0.0074531i,-0.026045+0.007999i,-0.024167+0.021681i,-0.012893+0.018886i,-0.0027005+0.0093739i,0.0083005+0.0025415i,0.014475-0.0050064i,0.010894-0.0087763i,0.0068251-0.0055244i,0.0051942-0.0017529i,0.0010643+0.0021941i,-0.0026982+0.0045202i,-0.0025889+0.0019474i,-1.5424e-05-0.0010352i,0.0023934-0.00022224i,0.0030996+0.0037323i,0.0031256+0.005891i
-0.0031635-0.0036022i,-0.011994-0.014552i,-0.034047-0.030236i,-0.041279-0.057095i,-0.0065518-0.084608i,0.034025-0.052033i,0.048535+0.0033899i,0.044712+0.01633i,0.032212+0.011119i,0.015987+0.011233i,0.0066111+0.011409i,0.0034757+0.0047084i,-0.0012883-0.0015773i,-0.0017127-0.0012938i,0.0035251-0.00010632i,0.004773-0.0011084i,0.0013589-0.0026365i,0.00066967-0.0022111i,0.0046217-0.00029848i,0.0072174+0.0017805i,0.0043991+0.0034472i,-0.00037599+0.0033078i,-0.0027063+0.00012397i
-0.0011235+0.0038273i,-0.0028972+0.013811i,-0.009845+0.021445i,-0.041026+0.030509i,-0.084954+0.042031i,-0.08517+0.0255i,-0.043636+0.0064573i,-0.005991-0.0034846i,0.0075357-0.019311i,0.0071995-0.021937i,0.0053905-0.013971i,-0.0047949-0.0066242i,-0.015586+0.0043511i,-0.014805+0.010249i,-0.011242+0.0064398i,-0.0093479+0.0011152i,-0.0032957-0.0026141i,0.0031061-0.005139i,0.0026443-0.0025493i,-0.0014404+0.0030549i,-0.0023278+0.0030065i,-0.00072091-0.0013974i,-0.00027497-0.0039414i
0.0033164-0.004132i,0.016438-0.0025134i,0.052575+0.023381i,0.10916+0.06279i,0.12472+0.071901i,0.072513+0.04967i,0.014795+0.014225i,-0.01471-0.0080265i,-0.02043-0.0052585i,-0.010885-0.0024374i,-0.0053906-0.0054936i,0.00014489-0.0021749i,0.012224+0.00099949i,0.014693-0.0012136i,0.0070084-0.00099899i,0.0026699+0.0017505i,0.0012303+0.0052428i,-0.0014603+0.0079208i,-0.0046077+0.006004i,-0.0077226+0.00033293i,-0.007442-0.0024537i,-0.0036238-0.00040199i,0.00027027+0.0025045i
-0.0019612+0.0029213i,-0.004733-0.0021503i,-0.0070507-0.036826i,0.0039083-0.087589i,0.04632-0.094888i,0.077872-0.064883i,0.058294-0.0318i,0.023319-0.0030501i,0.002518+0.011555i,-0.0068965+0.011465i,-0.0079204+0.0091968i,-0.00049008+0.0050045i,0.0063818-0.0052788i,0.006194-0.012772i,0.006022-0.01007i,0.0062344-0.0032899i,0.0017199+0.00059611i,-0.002969+0.0010525i,-0.0025294-0.00086114i,5.3327e-05-0.0040714i,0.00035242-0.0052705i,-0.0017253-0.0030616i,-0.0030516-0.00081469i
-0.0061651-0.00055428i,-0.026481+0.0010724i,-0.076041+0.015821i,-0.15056+0.025991i,-0.19961+0.00025306i,-0.16233-0.0093806i,-0.074995+0.0097273i,-0.011529+0.011773i,0.010597+0.0021953i,0.0093579+0.00050647i,0.0072617+0.0014621i,0.0007563-0.0037283i,-0.014368-0.0045337i,-0.020164+0.0014597i,-0.014253+0.0018542i,-0.0084368-0.0036559i,-0.0033226-0.0079458i,0.0024394-0.0090043i,0.0064639-0.0062939i,0.0091904-0.0024177i,0.0089351-0.00020914i,0.0043171-0.00048988i,0.0010529-0.001496i
-0.0011904+0.001752i,0.012024+0.014398i,0.034207+0.03919i,0.057497+0.087765i,0.056671+0.13684i,0.021823+0.11006i,-0.0051568+0.045637i,-0.0062933+0.011443i,0.0010334-0.002863i,0.0073444-0.0083345i,0.008756-0.0072684i,0.0046145-0.001857i,0.0020982+0.0060788i,0.0035042+0.0089833i,0.0022386+0.0064049i,0.00010477+0.004249i,0.0017737+0.0053336i,0.0034801+0.0054205i,0.0013233+0.0045546i,-0.0012308+0.0061342i,-0.0013793+0.0072949i,0.0017574+0.006014i,0.0045358+0.0037211i
0.00022997+0.00090202i,0.011272-0.013844i,0.064349-0.039988i,0.15563-0.085567i,0.21078-0.11149i,0.17995-0.074283i,0.099638-0.03387i,0.028135-0.024784i,-0.0095525-0.015108i,-0.015896-0.0048211i,-0.012382-0.0012966i,-0.0042297+0.003425i,0.010857+0.0023757i,0.01677-0.0034303i,0.0125-0.0025709i,0.0076529+0.0014092i,0.002318+0.0030073i,-0.0021146+0.0047602i,-0.0042075+0.0056395i,-0.0068676+0.004124i,-0.0085389+0.0030134i,-0.0064826+0.0026962i,-0.0038096+0.00069933i
-0.0034611+0.0011201i,-0.016413+6.8047e-05i,-0.068642-0.017045i,-0.1515-0.050006i,-0.18073-0.078671i,-0.13382-0.074986i,-0.067116-0.039977i,-0.019245-0.0097683i,0.00049979+0.0022497i,0.0030576+0.0045026i,0.0037935+0.0025209i,0.0024008-0.0029294i,-0.0064527-0.0089554i,-0.013521-0.0091213i,-0.012027-0.0059792i,-0.0080849-0.0056054i,-0.0054861-0.0067361i,-0.0046213-0.0065274i,-0.0040395-0.0034867i,-0.0011793-0.0021735i,0.0001704-0.0045942i,-0.0021875-0.0059165i,-0.0031531-0.0048165i
-0.0046996+0.0010586i,-0.016592+0.023381i,-0.031907+0.085674i,-0.052937+0.17326i,-0.081712+0.20515i,-0.075293+0.14241i,-0.038254+0.066029i,-0.0033606+0.0324i,0.019303+0.014936i,0.018617+0.0019819i,0.010283-0.002229i,0.0036756-0.0049825i,-0.0041485-0.0037442i,-0.0065039+0.0012239i,-0.0044955+0.0026381i,-0.0028128+0.0041169i,0.00040004+0.0065772i,0.0045056+0.0050199i,0.0072927-0.0016633i,0.0067378-0.0074798i,0.0052329-0.0070803i,0.003881-0.0041424i,0.0020396-0.0017881i
0.0042988+0.00070049i,0.023761-0.011675i,0.076468-0.032058i,0.16906-0.04227i,0.23493-0.015008i,0.19064+0.022903i,0.098061+0.031112i,0.031096+0.015455i,-0.0059289-2.8925e-05i,-0.015377-0.0045117i,-0.01409-0.002247i,-0.0096954+0.0025285i,0.0017505+0.0056656i,0.011446+0.0033459i,0.011554+0.00091897i,0.0060679+0.0013686i,0.0013402+0.0012697i,-0.00040013+0.00016819i,-0.00035666-0.0015473i,0.00071014-0.00037301i,0.0016138+0.0035581i,0.0040522+0.0055948i,0.0042804+0.0035526i
0.0024106-0.0050132i,-0.0044156-0.023517i,-0.018468-0.080884i,-0.057031-0.17948i,-0.095486-0.23423i,-0.08479-0.17499i,-0.048654-0.08516i,-0.02917-0.041618i,-0.026392-0.015958i,-0.015898+0.0050072i,-0.0013781+0.008998i,0.0034029+0.0046027i,0.0025656-9.6734e-05i,-0.00038145-0.0037264i,-0.0016198-0.0045758i,-0.0016245-0.0076568i,-0.0034607-0.012172i,-0.0044452-0.010167i,-0.0043174-0.00041332i,-0.0041049+0.0085921i,-0.0031181+0.010782i,-0.0010061+0.0077251i,0.0012862+0.0047191i
0.00040464+0.0071228i,-0.013805+0.03072i,-0.067153+0.089826i,-0.14273+0.16168i,-0.17156+0.15866i,-0.12084+0.07143i,-0.049672-0.00099063i,-0.0060664-0.014466i,0.021168-0.0055995i,0.029843-0.0030356i,0.022823-0.0034098i,0.014719-0.002635i,0.0050585-0.0013746i,-0.0028669+0.0032936i,-0.0050622+0.0080253i,-0.0021895+0.010513i,0.0028694+0.01201i,0.0045786+0.011797i,0.0038017+0.010022i,0.001483+0.0054193i,-0.0032152-0.00078807i,-0.0075409-0.0027021i,-0.0076644-0.001092i
-0.0048553+0.0029955i,0.001471+0.012922i,0.05752+0.0466i,0.16974+0.11216i,0.24703+0.1702i,0.20778+0.1507i,0.11576+0.092024i,0.060871+0.050349i,0.031114+0.0091723i,0.0010536-0.01758i,-0.01313-0.016313i,-0.013529-0.0080306i,-0.0099888-0.00018249i,-0.003564+0.0048684i,0.00037557+0.0039822i,-0.00090813+0.0039604i,-0.0016895+0.0059983i,0.0013593+0.0044418i,0.0045037-0.0030045i,0.0034115-0.011791i,0.00030978-0.013829i,-0.00020847-0.010138i,0.00020889-0.0073823i
0.0049454-0.015719i,0.010474-0.048639i,0.019935-0.12244i,0.024941-0.22491i,0.0075516-0.25724i,-0.029797-0.15352i,-0.043174-0.033784i,-0.034062+0.0052012i,-0.03194+0.010679i,-0.025452+0.017701i,-0.013156+0.014943i,-0.0051109+0.0058093i,-0.00081403-0.0020655i,0.0006429-0.0087796i,-0.00031178-0.014114i,-0.0028495-0.018423i,-0.0046012-0.020968i,-0.0055452-0.021099i,-0.0065044-0.016884i,-0.0036421-0.0082651i,0.0031263-0.0012538i,0.007748+0.0013775i,0.0084934+0.0031701i
-0.0037673+0.00072493i,-0.017755+0.015207i,-0.081162+0.023955i,-0.2014+0.019791i,-0.27134-0.006051i,-0.20397-0.044774i,-0.1015-0.062829i,-0.05277-0.043654i,-0.022862-0.0042212i,0.0065789+0.016636i,0.017738+0.013772i,0.015389+0.0063684i,0.012513-0.00044415i,0.0083437-0.0032903i,0.0065301+0.001269i,0.00745+0.0065802i,0.006938+0.0083672i,0.0055519+0.0093546i,0.0043696+0.011144i,0.0031628+0.014006i,0.0021554+0.014556i,-2.6808e-05+0.010453i,-0.00064979+0.0067378i
-0.010026+0.0069878i,-0.0078154+0.032514i,0.026235+0.11531i,0.10394+0.23675i,0.17015+0.29256i,0.17873+0.21676i,0.13856+0.094224i,0.077641+0.019152i,0.034674-0.013013i,0.015234-0.024596i,0.0035296-0.023759i,-0.0049899-0.01427i,-0.0080441-0.00040516i,-0.0050955+0.0090331i,-0.00093506+0.012373i,0.00016848+0.013956i,-0.00079903+0.016233i,0.00056374+0.017742i,0.0043169+0.014094i,0.0039934+0.0067089i,-0.002035+0.0012762i,-0.0063009-0.0010113i,-0.0064544-0.0048203i
0.0079258+0.0018215i,0.020103-0.017164i,0.062651-0.073663i,0.13672-0.15886i,0.17113-0.19198i,0.094857-0.12i,0.017317-0.017484i,0.023715+0.015974i,0.025208-0.0067264i,-0.0026028-0.014807i,-0.0093352-0.0024357i,-0.0026547+0.0028505i,-0.003221+0.003551i,-0.0059684+0.00078373i,-0.0076024-0.0083375i,-0.0077799-0.016178i,-0.0058233-0.018717i,-0.0047884-0.017278i,-0.0058212-0.013616i,-0.0064537-0.011664i,-0.0043408-0.010288i,-0.00047294-0.0052066i,0.0021055-0.00039294i
0.0012788+0.0015001i,-0.023959-0.013439i,-0.095643-0.062136i,-0.21345-0.13445i,-0.28546-0.17887i,-0.23276-0.15621i,-0.13924-0.096898i,-0.082754-0.038726i,-0.036646+0.0049707i,-0.0040124+0.022273i,0.0027088+0.023i,0.0073442+0.015309i,0.012742-0.0014159i,0.007905-0.011157i,0.00089995-0.0075441i,0.0010615-0.0007244i,0.0058951+0.0010961i,0.0056541-0.0031389i,-0.0013369-0.0058774i,-0.0051362-0.0024299i,-0.0032256+0.00013182i,-0.00060571+9.5675e-05i,0.0012289+0.0024646i
-0.0036624-0.00481i,8.0859e-05+0.011181i,0.0018874+0.095788i,0.0048696+0.2554i,0.02671+0.35417i,0.063956+0.28131i,0.066464+0.13484i,0.022291+0.052942i,-0.0089503+0.029695i,-0.0042564+0.0079579i,-0.0028278-0.014456i,-0.014464-0.02011i,-0.018229-0.010369i,-0.010478+0.0013866i,-0.0010388+0.0094007i,0.0017677+0.01263i,-0.0014084+0.013556i,-0.0024639+0.014258i,0.0018019+0.012036i,0.0056007+0.0074531i,0.0058112+0.0036641i,0.0030611-0.0014827i,-0.00033954-0.0078428i
0.0051266+0.00042716i,0.037699+0.011999i,0.13051+0.016157i,0.2596-0.014936i,0.29565-0.048045i,0.19305-0.031967i,0.091587+0.0046201i,0.059904+0.0017191i,0.033506-0.020503i,0.0071732-0.016948i,0.0050641-0.0079497i,0.0045181-0.0038647i,0.00078106+0.0058753i,0.0029333+0.0083914i,0.0050229-0.0025004i,0.0020494-0.013061i,-0.0034888-0.014044i,-0.0042548-0.0085555i,0.00088341-0.0030461i,0.0045512-0.0013301i,0.0048745+0.00029226i,0.0060463+0.0033285i,0.0063736+0.0035814i
-0.0066136+0.012976i,-0.031047+0.0037736i,-0.091283-0.06819i,-0.17168-0.21675i,-0.21045-0.3272i,-0.18249-0.28506i,-0.11735-0.1648i,-0.052531-0.08376i,-0.011305-0.044801i,0.0025182-0.014685i,0.0087729+0.013648i,0.023353+0.023236i,0.031366+0.00911i,0.023187-0.0053728i,0.0068835-0.0064918i,0.00036902+0.00056595i,0.006615+0.0034804i,0.0096011-0.00060397i,0.0051694-0.0017072i,-0.00156+0.0016674i,-0.0071308+0.0057243i,-0.0081699+0.0092325i,-0.0045911+0.013988i
-0.013079-0.019042i,-0.05327-0.023714i,-0.1412+0.024234i,-0.23137+0.16757i,-0.21232+0.30205i,-0.080866+0.27776i,0.0043933+0.1494i,-0.0039648+0.073014i,-0.014624+0.053422i,-0.0066282+0.027493i,-0.010059+0.0010652i,-0.018525-0.010902i,-0.022623-0.013811i,-0.02331-0.0047263i,-0.016363+0.0092743i,-0.0085005+0.014343i,-0.0055561+0.011481i,-0.0045667+0.0075667i,-0.0056954+0.0040084i,-0.0079828+0.0013518i,-0.0094348-0.0022708i,-0.010979-0.0076953i,-0.010487-0.011903i
0.0072995-0.009691i,0.042602-0.0060256i,0.13816+0.031959i,0.27566+0.096477i,0.32728+0.12079i,0.23451+0.086185i,0.1185+0.057958i,0.07289+0.043i,0.051931+0.016705i,0.022983-0.0034611i,0.0013222-0.011438i,-0.014574-0.011187i,-0.021036-0.00094738i,-0.013003+0.0050415i,0.00010037-0.0013321i,0.0048599-0.011377i,-0.0012838-0.01467i,-0.0064402-0.010971i,-0.0057945-0.0077407i,-0.002111-0.0085609i,0.0028479-0.010192i,0.0069864-0.0092132i,0.0068364-0.0094711i
0.010242+0.027473i,0.04297+0.029354i,0.10558-0.046678i,0.14227-0.23751i,0.083448-0.39599i,-0.026552-0.36137i,-0.06904-0.21707i,-0.052317-0.12429i,-0.040231-0.08167i,-0.027696-0.035935i,-0.0030381+0.00038334i,0.021709+0.013023i,0.036512+0.0091718i,0.035641-0.0020559i,0.020534-0.01068i,0.0098631-0.0060402i,0.011981+0.0027944i,0.014982+0.0031607i,0.013591-0.00096465i,0.0098134-0.0015693i,0.0053371+0.0031945i,0.0051425+0.010642i,0.0066641+0.017597i
