0.00028317+0.0004603i,0.0011026-0.00061877i,0.001247-0.0019735i,0.00012993-0.0018586i,-0.0013124-0.00057321i,-0.0023171+0.001419i,-0.0013582+0.0018692i,0.00060806+0.00072748i,0.0014385+0.00024581i,0.0017503+0.000245i,0.0015203-6.9493e-05i,0.0004876+0.00011032i,-3.7539e-05+0.0004823i,0.00024848+0.00040214i,0.00016885-8.0623e-05i,0.00020662-0.00032291i,0.00010324+0.00010162i,0.00015245-0.0001818i,0.00021437-0.00061169i,-0.00051089-0.00075831i,-0.00016079-0.00071968i,0.00046923-0.00011776i,0.00027479+5.4879e-05i
-0.14334-0.14263i,-0.25959-0.13411i,-0.24188-0.012105i,-0.11136+0.062148i,-0.053461-0.013572i,-0.078435-0.099923i,-0.081353-0.12179i,-0.073046-0.12868i,-0.073359-0.12128i,-0.057757-0.085856i,-0.028643-0.040069i,0.0045223-0.0084472i,0.023123-0.0053684i,0.017837-0.0084802i,0.009581-0.0014179i,0.0083854+0.0057203i,0.0055913+0.0045104i,-0.0043996-0.0005298i,-0.015906-0.0018356i,-0.018925-0.00071683i,-0.010362-0.00087439i,0.002775-0.0068804i,0.0085362-0.013502i
0.17843+0.13152i,0.34659+0.15241i,0.39877+0.077807i,0.26718-0.0078461i,0.083996-0.017721i,-0.032096-0.0014419i,-0.090196+0.0093008i,-0.11234+0.044654i,-0.10048+0.077554i,-0.071265+0.072351i,-0.051334+0.041638i,-0.051711+0.012096i,-0.052316+0.0024279i,-0.035306+0.0030589i,-0.015275-0.0020721i,-0.0097427-0.007338i,-0.015379-0.0043402i,-0.020217+0.0054647i,-0.018629+0.015193i,-0.01448+0.018012i,-0.012732+0.015108i,-0.014466+0.013814i,-0.01286+0.013663i
-0.26654+0.010978i,-0.36826-0.0053556i,-0.31658-0.070101i,-0.17632-0.086181i,-0.063526+0.0099431i,0.011497+0.11912i,0.041605+0.14468i,0.04546+0.12759i,0.060042+0.10065i,0.060173+0.061071i,0.043994+0.035221i,0.036357+0.024792i,0.026129+0.015599i,0.009542+0.0099444i,0.0029209+0.00672i,0.0068386+0.0036229i,0.014108+0.0041189i,0.021159+0.0074804i,0.025253+0.0098085i,0.025944+0.010073i,0.022345+0.0051256i,0.015163-0.0035798i,0.0064353-0.0064329i
0.25658-0.091804i,0.27878-0.1472i,0.12407-0.12172i,-0.00010459-0.072813i,0.036284-0.12137i,0.076904-0.20658i,0.068449-0.17857i,0.087207-0.11013i,0.092078-0.094058i,0.053066-0.074594i,0.017307-0.032752i,0.0011053+0.0034701i,0.0047873+0.021987i,0.016739+0.019402i,0.013425+0.0065037i,0.0010843+0.0015258i,-0.003754+0.0011153i,0.0014353-0.0044793i,0.0093846-0.012508i,0.010415-0.017122i,0.0053175-0.010284i,0.004066+0.0054089i,0.0075235+0.01436i
-0.13354+0.2245i,-0.17994+0.36048i,-0.1495+0.39278i,-0.095841+0.29882i,-0.10118+0.17845i,-0.1143+0.10956i,-0.07712+0.052979i,-0.060572-0.0099727i,-0.084254-0.031208i,-0.075327-0.013493i,-0.025625-0.012262i,0.012943-0.03384i,0.019259-0.046737i,0.0085656-0.039683i,0.00097641-0.021565i,0.0019157-0.0097032i,0.0018655-0.0091688i,-0.0044125-0.013877i,-0.013332-0.01776i,-0.018632-0.017132i,-0.014544-0.018316i,-0.0081076-0.024951i,-0.0054642-0.025725i
0.11948-0.26845i,0.24321-0.33099i,0.33945-0.25791i,0.2946-0.15611i,0.13818-0.078221i,0.0055804-0.00051977i,-0.041306+0.037093i,-0.043344+0.042958i,-0.027893+0.058493i,-0.0064648+0.05519i,-0.013109+0.035257i,-0.029097+0.029437i,-0.027027+0.022474i,-0.020745+0.0078782i,-0.015572+0.0012728i,-0.0098595+0.0019063i,-0.0070744+0.0051342i,-0.0080889+0.010136i,-0.01066+0.01428i,-0.011281+0.016607i,-0.0083125+0.018952i,-0.003246+0.020516i,0.00012879+0.01516i
-0.03551+0.15009i,-0.068432+0.13603i,-0.077742+0.015366i,-0.0312-0.063518i,0.073489-0.041019i,0.17705-0.018725i,0.17588-0.026841i,0.11648-0.014742i,0.093228-0.0031069i,0.073915-0.016902i,0.038373-0.023139i,0.014178-0.018387i,-0.00099266-0.0088892i,-0.0076426+0.010017i,-0.00059471+0.019359i,0.0050884+0.013054i,0.0045521+0.0048152i,0.0045612+0.0033503i,0.0072526+0.0075771i,0.010259+0.010413i,0.0081976+0.0054203i,-0.002293-0.0035955i,-0.01373-0.0053202i
-0.09774-0.17213i,-0.13916-0.26695i,-0.18107-0.27976i,-0.2113-0.20464i,-0.19471-0.13592i,-0.15285-0.12812i,-0.10807-0.10758i,-0.062491-0.072463i,-0.04732-0.067085i,-0.054911-0.047717i,-0.036722-0.0029903i,-0.0021645+0.023062i,0.020161+0.021993i,0.028231+0.0067163i,0.02286-0.0060474i,0.012226-0.0051849i,0.0059864-0.00036896i,0.0067304+0.00077959i,0.01049-0.0019738i,0.011189-0.0072027i,0.011274-0.0065942i,0.016847+0.0012727i,0.020633+0.0075518i
0.0094734+0.22416i,-0.021439+0.40775i,-0.047555+0.47741i,-0.0083925+0.37478i,0.020391+0.20908i,-0.023146+0.10765i,-0.061562+0.067187i,-0.060324+0.047932i,-0.050573+0.045436i,-0.035104+0.041896i,-0.020307+0.013214i,-0.020263-0.019264i,-0.02234-0.030474i,-0.013642-0.030539i,-0.0043612-0.02872i,0.00077505-0.023363i,0.003144-0.016619i,0.00080396-0.013268i,-0.0047407-0.012376i,-0.0094447-0.0097157i,-0.012611-0.0084198i,-0.018241-0.0093982i,-0.019411-0.0058821i
0.033545-0.12926i,0.07043-0.23141i,0.10831-0.23602i,0.1112-0.14783i,0.097862-0.058434i,0.097488+0.00057973i,0.092761+0.034871i,0.081771+0.042848i,0.07445+0.038859i,0.061086+0.031671i,0.039255+0.02992i,0.026424+0.030878i,0.015756+0.015443i,-0.0082815-0.00042692i,-0.026611+0.0015733i,-0.024341+0.0065962i,-0.011644+0.0029454i,-0.0016398-0.0030765i,0.00071619-0.0047584i,-0.00056677+0.00037994i,0.0020819+0.0080585i,0.012545+0.0085476i,0.020122+0.0013965i
0.084587+0.14321i,0.1661+0.22447i,0.16212+0.16937i,0.076454+0.024544i,0.0071351-0.070131i,0.0086005-0.095589i,0.035749-0.096232i,0.031434-0.093113i,0.0030211-0.088535i,-0.017327-0.066414i,-0.017253-0.036299i,-0.018093-0.015832i,-0.02457+0.0082367i,-0.015947+0.030254i,0.00071575+0.032233i,0.0054249+0.01894i,-0.0033139+0.005891i,-0.014492+0.0021941i,-0.015907+0.0062637i,-0.008576+0.0067862i,-0.0048205+0.0015328i,-0.011644+0.00081572i,-0.019694+0.005019i
-0.11688-0.25813i,-0.23557-0.36247i,-0.26478-0.27516i,-0.1833-0.08941i,-0.10958-0.000526i,-0.10567-0.011297i,-0.11213-0.029992i,-0.096949-0.018111i,-0.076315+0.011138i,-0.044525+0.027978i,-0.0092443+0.019953i,0.014264+0.0022424i,0.025426-0.0096995i,0.027243-0.011734i,0.025238-0.0078421i,0.018406-0.0011371i,0.0080529+0.0062962i,0.0022379+0.0093965i,-0.00046854+0.0054296i,-0.00029524-0.00089985i,0.0053535-0.0055629i,0.013203-0.010837i,0.015225-0.013843i
0.14088+0.22874i,0.27651+0.32678i,0.31447+0.29414i,0.24037+0.18375i,0.16092+0.12532i,0.10962+0.11722i,0.048233+0.10276i,0.008237+0.093497i,0.021423+0.089582i,0.03749+0.055887i,0.01519+0.018216i,-0.0091863+0.012707i,-0.0025723+0.011472i,0.010595-0.0091042i,0.0082753-0.026381i,0.0022264-0.02386i,0.0059618-0.0087894i,0.015006+0.0056117i,0.018016+0.011917i,0.010286+0.011016i,-0.0036611+0.0080805i,-0.014356+0.012095i,-0.013305+0.019232i
-0.28822-0.18187i,-0.41336-0.26056i,-0.32926-0.28436i,-0.14917-0.27234i,-0.053277-0.2581i,-0.010631-0.20786i,0.037029-0.1173i,0.077149-0.063473i,0.081082-0.074916i,0.036978-0.077184i,0.0055456-0.035901i,0.01175-0.016094i,0.0014741-0.029073i,-0.025803-0.024049i,-0.030181-0.0026312i,-0.014074+0.006121i,0.0018484-0.0036363i,0.0080827-0.018497i,0.0067353-0.021569i,0.0057341-0.013873i,0.0080213-0.0066733i,0.010215-0.011113i,0.0072757-0.020693i
0.3659+0.13805i,0.48823+0.13138i,0.34167+0.066617i,0.092584+0.034292i,-0.014387+0.052393i,-0.015225+0.032611i,-0.011094-0.011881i,-0.023269-0.031764i,-0.055245-0.031105i,-0.069403-0.011909i,-0.045429+0.00034387i,-0.02699-0.0018873i,-0.025722+0.0094425i,-0.016628+0.02316i,-0.0036954+0.018321i,-0.001821+0.0034813i,-0.010022-0.0074424i,-0.01549-0.008316i,-0.012105-0.0076252i,-0.0064178-0.0084405i,-0.0038225-0.0024465i,-0.0053906+0.0095847i,-0.0080548+0.017098i
-0.39081+0.08607i,-0.57162+0.19192i,-0.51744+0.25378i,-0.30133+0.22455i,-0.15213+0.14651i,-0.11151+0.086339i,-0.096852+0.043307i,-0.078784+0.022118i,-0.056048+0.046818i,-0.018279+0.070005i,0.0024255+0.047573i,-0.0079625+0.022715i,-0.0076912+0.02277i,0.010677+0.020853i,0.019392+0.0071862i,0.011383-0.0015945i,-0.0022108+0.0028991i,-0.010532+0.010322i,-0.016038+0.010408i,-0.016414+0.0052227i,-0.0086771-0.0024297i,-0.0043709-0.011384i,-0.0041446-0.011992i
0.42953-0.22064i,0.62735-0.27326i,0.61214-0.19759i,0.45154-0.11152i,0.32766-0.11297i,0.24308-0.11915i,0.15734-0.064013i,0.10278-0.0023343i,0.091861+0.0086922i,0.066521-0.015217i,0.019118-0.0099716i,0.011396+0.020074i,0.034093+0.016691i,0.029538-0.010216i,0.002724-0.016821i,-0.011267-0.00088067i,-0.0018488+0.013153i,0.013167+0.015233i,0.017787+0.015489i,0.011402+0.015566i,0.0020567+0.016251i,0.0030185+0.020224i,0.013469+0.019594i
-0.22415+0.25647i,-0.26162+0.29989i,-0.17684+0.15839i,-0.11572-0.020216i,-0.1627-0.066535i,-0.17122-0.026257i,-0.093917-0.005017i,-0.028737-0.017799i,-0.019604-0.042375i,-0.026039-0.034928i,-0.002374-0.0064089i,0.022095-0.010384i,0.0063139-0.027408i,-0.017695-0.017759i,-0.015349+0.0026686i,0.0016031+0.0087691i,0.0087932-0.00055926i,0.0054134-0.010241i,0.0043945-0.011725i,0.0056981-0.0081283i,0.0043689-0.0070819i,-0.0014384-0.014678i,-0.011106-0.023227i
0.057804-0.36451i,0.063758-0.51351i,-0.00039726-0.45873i,-0.053728-0.24815i,-0.015954-0.078651i,0.020485-0.040368i,0.0039074-0.061134i,-0.018769-0.053672i,-0.03434-0.012217i,-0.032897+0.018803i,-0.01663+0.011348i,-0.013234-0.0083811i,-0.017459-0.0063403i,-0.0097721+0.008852i,0.0083037+0.012815i,0.017946-6.8029e-05i,0.010489-0.011908i,0.00089303-0.011866i,0.0008142-0.011942i,0.0033464-0.012255i,0.005092-0.0034005i,0.0063254+0.007322i,0.0034961+0.012396i
-0.077785+0.33339i,-0.15985+0.47967i,-0.19132+0.46584i,-0.11985+0.33212i,-0.02438+0.20007i,0.025696+0.12053i,0.02208+0.073049i,0.004278+0.043522i,0.022684+0.034981i,0.050756+0.014519i,0.033572-0.011567i,0.0010246-0.0025505i,0.0020932+0.01844i,0.016184+0.0134i,0.01139-0.0069822i,-0.0064846-0.012519i,-0.014706-0.0016435i,-0.013398+0.0056769i,-0.016835+0.0084777i,-0.017291+0.009545i,-0.010879+0.0025446i,-0.0096116-0.001043i,-0.0080791+0.0080473i
-0.018319-0.20034i,0.038853-0.27169i,0.095923-0.23552i,0.10841-0.18172i,0.071393-0.20368i,0.0055945-0.21107i,-0.033149-0.12921i,-0.020698-0.049238i,-0.0134-0.05018i,-0.046417-0.053878i,-0.054745-0.011265i,-0.013981+0.010525i,0.01449-0.013143i,0.0085645-0.031935i,-0.0031127-0.023338i,-0.0039641-0.0053293i,0.00089464-0.00038756i,0.0023507-0.0028576i,0.004485-6.5071e-05i,0.0079684-0.00036933i,0.0069407-0.0028532i,0.010741-0.0027813i,0.020401-0.0064668i
0.11317+0.23002i,0.13788+0.33702i,0.1303+0.28148i,0.086408+0.15265i,0.039644+0.12293i,0.043733+0.13193i,0.04747+0.090386i,0.012491+0.05273i,-0.020521+0.052405i,-0.01971+0.052634i,-0.00066157+0.031081i,0.0025205-0.0028172i,-0.012778-0.019236i,-0.020429-0.009401i,-0.0072868+0.0060901i,0.014381+0.0098121i,0.018998+0.0059716i,0.011139+0.0060125i,0.0080916+0.0044064i,0.0037585-0.0017869i,-0.0040777-0.0053031i,-0.0096791-0.010578i,-0.014381-0.019375i
-0.07513-0.21688i,-0.11816-0.3192i,-0.1449-0.26266i,-0.10202-0.13182i,-3.8605e-05-0.090611i,0.068223-0.096963i,0.08885-0.073772i,0.083533-0.040069i,0.062483-5.0654e-05i,0.044047+0.027226i,0.015087+0.019049i,-0.023403+0.01368i,-0.040966+0.022597i,-0.035276+0.02072i,-0.022599+0.0023696i,-0.019823-0.019834i,-0.019427-0.021967i,-0.0078931-0.011231i,-0.00024656-0.010279i,-0.0017896-0.009062i,-0.00095973-0.0018556i,-0.0029846-4.3859e-05i,-0.01374+0.00013684i
0.11951+0.14616i,0.22372+0.24417i,0.26683+0.21874i,0.2+0.072224i,0.073091-0.082588i,-0.023596-0.16687i,-0.053981-0.14371i,-0.02289-0.082467i,0.017405-0.080902i,0.0080136-0.086674i,-0.0072254-0.037665i,0.014078+0.011784i,0.035936+0.026079i,0.034789+0.025318i,0.01622+0.020443i,-0.0029533+0.016897i,-0.00329+0.014485i,0.001708+0.0074281i,-0.0026462+0.0066927i,-0.0051005+0.011872i,-0.0064757+0.0099934i,-0.014706+0.010208i,-0.019529+0.022356i
-0.099869-0.1646i,-0.14223-0.26034i,-0.11403-0.27256i,-0.093158-0.22199i,-0.1532-0.15485i,-0.21793-0.078941i,-0.19278-0.02543i,-0.12292-0.0077737i,-0.096436+0.0068233i,-0.089899+0.044959i,-0.050707+0.069959i,-0.0062931+0.045657i,0.0094324+0.007287i,0.014744-0.0068623i,0.019023-0.0039294i,0.014579+0.00081371i,0.004409-0.00413i,-0.0069765-0.014507i,-0.011544-0.017781i,-0.0063019-0.014068i,0.0019032-0.0052693i,0.011243+0.0054074i,0.022145+0.0098528i
0.037258+0.16391i,0.061859+0.16943i,0.0023307+0.063563i,-0.05349+0.043359i,0.019021+0.1533i,0.13831+0.18915i,0.14921+0.094278i,0.070682+0.015229i,0.027753+0.018403i,0.051717+0.018671i,0.059736-0.021441i,0.027719-0.039372i,0.011125-0.026489i,0.014559-0.022483i,0.018388-0.020686i,0.022774-0.013631i,0.017239-0.0043263i,0.006317+0.0072676i,0.002887+0.0093265i,0.00096566+0.0033687i,-0.0012977+0.0003328i,0.0022685-0.0029659i,0.0053144-0.0085707i
-0.13967-0.12354i,-0.24056-0.079929i,-0.24592+0.063696i,-0.13324+0.12829i,-0.029074+0.038165i,-0.026406-0.024726i,-0.058119+0.022249i,-0.03724+0.06751i,0.012534+0.040116i,0.024196-0.013832i,0.0016636-0.032413i,-0.0088431-0.017894i,-0.0091207-0.0075905i,-0.0168-0.0092925i,-0.024578-0.013325i,-0.025204-0.0091067i,-0.017437+0.0027195i,-0.0085852+0.014278i,-0.0040275+0.021536i,-0.00025855+0.020647i,0.0035008+0.013708i,0.0064313+0.0055285i,0.0095997+0.00028859i
0.28337+0.19171i,0.39833+0.22449i,0.37788+0.16042i,0.26877+0.051064i,0.15259-0.047384i,0.052694-0.12061i,-0.0050172-0.12089i,-0.0047922-0.069893i,-0.0079236-0.053389i,-0.053701-0.046341i,-0.071144-0.0048705i,-0.035051+0.010823i,-0.014089-0.010496i,-0.021292-0.013052i,-0.017213-0.0036082i,-0.00030703-0.0093526i,0.012729-0.023303i,0.020382-0.034148i,0.023798-0.036639i,0.022639-0.03063i,0.020523-0.024433i,0.018165-0.026431i,0.010785-0.031102i
-0.20003-0.17249i,-0.2171-0.15533i,-0.058543-0.18043i,0.098426-0.24644i,0.19576-0.25787i,0.2735-0.17053i,0.26201-0.067527i,0.16215-0.0091811i,0.071246+0.023418i,0.017584+0.038184i,0.0012387+0.026744i,0.0096838+0.0039344i,0.015813-0.0007379i,0.016894+0.016482i,0.016004+0.032114i,0.0048159+0.034165i,-0.016221+0.031987i,-0.02566+0.025508i,-0.018061+0.007523i,-0.012335-0.014273i,-0.014637-0.026297i,-0.023118-0.033161i,-0.037388-0.032963i
0.2525-0.047918i,0.26316-0.13522i,0.034853-0.13646i,-0.18869-0.060396i,-0.2605-0.066921i,-0.23085-0.17267i,-0.11787-0.22358i,-0.0037785-0.19075i,0.018114-0.12314i,0.00058126-0.026839i,-0.011259+0.032427i,-0.035095+0.029075i,-0.045682+0.014427i,-0.022623+0.0044754i,0.0013785-0.010485i,0.0088064-0.019815i,0.018192-0.015797i,0.023554-0.0055842i,0.010089+0.0061514i,-0.0069411+0.019549i,-0.01813+0.02912i,-0.02981+0.035897i,-0.032056+0.043419i
-0.2539+0.20604i,-0.12714+0.28302i,0.066583+0.22221i,0.10673+0.0095785i,-0.064071-0.19705i,-0.28456-0.24243i,-0.37992-0.13786i,-0.29862-0.037984i,-0.18954-0.030058i,-0.12776-0.017302i,-0.040527+0.034438i,0.05058+0.04553i,0.069712+0.0097052i,0.038995-0.018385i,0.013319-0.015053i,0.00089096+0.0080855i,-0.006233+0.023571i,-0.0043058+0.021137i,0.0069934+0.012331i,0.012258+0.0038994i,0.0060605+0.0012951i,0.001427+0.013224i,0.0053804+0.02602i
0.24027-0.15207i,0.2302-0.10809i,0.18718-0.10321i,0.20341-0.15443i,0.30902-0.26984i,0.39714-0.41579i,0.33386-0.4314i,0.16932-0.21562i,0.094015+0.013699i,0.042625+0.072015i,-0.054113+0.080047i,-0.077233+0.084868i,-0.050329+0.032013i,-0.038301-0.007437i,-0.0015548-0.009023i,0.039335-0.027554i,0.037895-0.053558i,0.0073261-0.058329i,-0.020533-0.047689i,-0.02768-0.026615i,-0.020346-0.00059923i,-0.0085936+0.017086i,0.0062359+0.025377i
-2.5326+7.4933i,-0.017139+7.3889i,3.0576+6.2221i,4.3959+2.9986i,4.0995+0.0052738i,2.3946-1.4415i,0.51287-0.92315i,-0.23132+0.23453i,0.3218+0.82174i,1.1607+0.41278i,1.1277-0.28863i,0.35945-0.37855i,-0.59697+0.30044i,-1.3945+1.2752i,-1.6604+1.4089i,-1.4364+0.54596i,-1.1107-0.098361i,-0.7263+0.11549i,-0.13542+0.45238i,0.18164+0.36897i,-0.016502+0.25062i,-0.31536+0.34431i,-0.35169+0.4872i
-0.047194-0.27364i,-0.23687-0.22811i,-0.29756-0.001154i,-0.13107+0.26726i,0.11673+0.38908i,0.31533+0.35728i,0.40616+0.17446i,0.28126-0.023398i,0.12698-0.058013i,0.10465-0.07402i,0.037299-0.13283i,-0.07404-0.085603i,-0.074692+0.0080523i,-0.016429+0.023778i,0.0051062+0.0059993i,0.0025432-0.003195i,-0.0048909-0.017159i,-0.024572-0.02148i,-0.032809+0.00043036i,-0.012148+0.018034i,0.0023133+0.013331i,-0.011289+0.013358i,-0.022238+0.024744i
0.03591+0.086024i,0.14819-0.046416i,0.18142-0.14784i,-0.0083806-0.10087i,-0.32516+0.094815i,-0.47647+0.26875i,-0.3955+0.26465i,-0.26093+0.14048i,-0.18881+0.073393i,-0.1173+0.074004i,-0.0338+0.037671i,-0.0079584-0.015952i,-0.018993-0.012231i,-0.01357+0.028546i,-0.0016393+0.059027i,0.0077488+0.07469i,0.018545+0.075011i,0.028615+0.055709i,0.033108+0.029834i,0.022191+0.011904i,0.007982+0.010631i,0.011476+0.027752i,0.02952+0.037342i
-0.036299-0.22215i,-0.13527-0.29381i,-0.18606-0.22326i,-0.10403-0.051001i,0.025833+0.14702i,0.0711+0.24395i,0.046873+0.18829i,0.043309+0.099583i,0.090549+0.070939i,0.16707+0.05928i,0.19714+0.02333i,0.13773-0.0024297i,0.058743+0.0051432i,0.019492+0.0045525i,-0.0013549-0.016183i,-0.014425-0.029392i,-0.018525-0.024488i,-0.017821-0.01001i,-0.015129-0.0021899i,-0.012058+0.0018646i,-0.0036049+0.0069256i,0.008971+0.003699i,0.014619-0.004182i
-0.13072-0.050001i,-0.1939-0.068464i,-0.22112-0.047438i,-0.22062+0.026913i,-0.15312+0.063742i,-0.026811+0.050232i,0.06369-0.009807i,0.023883-0.08254i,-0.041726-0.090717i,-0.031495-0.08894i,-0.038981-0.10402i,-0.062422-0.056378i,-0.027609+0.0085064i,0.0060129+0.021672i,0.0079791+0.016459i,0.010531+0.016524i,0.014884+0.016138i,0.010655+0.014414i,0.0025816+0.011304i,0.0023445+0.0050002i,0.0090576-0.00044235i,0.016693-0.00069998i,0.019197-0.0015678i
0.019865+0.10173i,-0.0029335+0.19198i,0.04685+0.24479i,0.12717+0.17303i,0.11538+0.065252i,0.029395+0.010149i,-0.051157+0.01852i,-0.065131+0.072655i,-0.013717+0.09146i,0.0075412+0.042817i,0.00087626+0.01252i,0.022483-0.0025169i,0.028301-0.036835i,0.0056333-0.046468i,-0.01096-0.021625i,-0.016367+0.0013678i,-0.014827+0.0040973i,-0.012305-0.00065192i,-0.0071147+0.006107i,0.0040466+0.013859i,0.014371+0.0074372i,0.020274-0.0045899i,0.02375-0.012584i
-0.12078-0.0866i,-0.10193-0.25271i,-0.089695-0.35431i,-0.14418-0.21923i,-0.17327+0.039845i,-0.12429+0.17837i,-0.055262+0.14415i,-0.0034027+0.063192i,0.024339+0.02909i,0.049189+0.035322i,0.061842+0.029578i,0.030289+0.014398i,-0.0084186+0.029076i,-0.0083765+0.049113i,0.0099202+0.036377i,0.012427+0.0081596i,0.00038744+0.0013784i,-0.0037316+0.016313i,0.0055738+0.02132i,0.007618+0.0085824i,-0.0017354+0.0016527i,0.00039043+0.0051678i,0.012902+0.0017614i
0.17143+0.1063i,0.10493+0.23862i,-0.016165+0.33131i,0.0026283+0.25006i,0.11156+0.052601i,0.13862-0.094666i,0.098954-0.1198i,0.069962-0.108i,0.052038-0.12283i,0.023762-0.12972i,0.00029015-0.10572i,-0.0020012-0.063035i,0.0084502-0.030402i,0.010792-0.023321i,0.00038279-0.02186i,-0.0052312-0.011116i,0.0057362-0.0020504i,0.014771-0.0044491i,0.0060758-0.0067178i,-0.0042388-0.0010023i,-0.011916-0.0013749i,-0.029511-0.0078852i,-0.045221-0.0031824i
-0.24483-0.038853i,-0.26537-0.13174i,-0.16847-0.14628i,-0.12367-0.046042i,-0.20263+0.075591i,-0.27132+0.17603i,-0.23991+0.20373i,-0.18378+0.15941i,-0.15415+0.12201i,-0.11006+0.098663i,-0.062187+0.063755i,-0.032432+0.028359i,-0.013348+0.0041098i,-0.0044398-0.0079356i,-0.0084275-0.012598i,-0.019114-0.0076385i,-0.023288+0.0025566i,-0.017211+0.010187i,-0.0051341+0.01486i,0.0048511+0.010785i,0.012211+0.0028479i,0.027504-0.0020446i,0.038069-0.010956i
0.31482-0.03725i,0.37692+0.056527i,0.32474+0.096806i,0.26463+0.0078455i,0.24526-0.06729i,0.22264-0.075518i,0.17152-0.048253i,0.13809-0.010464i,0.13628+0.00073546i,0.11157-0.0091277i,0.067514-0.0095089i,0.030136-0.0040951i,0.002447+0.0032126i,-0.0086479+0.010903i,-0.0059109+0.016485i,0.0024419+0.014749i,0.0057375+0.0038737i,0.0034295-0.0042051i,0.0019425-0.003993i,-0.00081228+0.0044422i,-0.0063525+0.015911i,-0.013011+0.024611i,-0.011012+0.031553i
-0.42661+0.12216i,-0.58397+0.05275i,-0.56907-0.0060931i,-0.43953+0.067453i,-0.29705+0.14988i,-0.16573+0.15309i,-0.063088+0.09791i,-0.032766+0.020963i,-0.049488-0.017522i,-0.044834-0.018776i,-0.030305-0.015051i,-0.02446-0.0028121i,-0.012057+0.0076994i,-0.0041068+0.0025139i,-0.008725-0.0097459i,-0.012335-0.012432i,-0.0043061-0.0053382i,0.0087109-0.0011678i,0.014074-0.0064559i,0.011583-0.016684i,0.0079607-0.025675i,0.0060992-0.033591i,0.0023981-0.038554i
0.38793-0.1698i,0.56283-0.040719i,0.57921+0.11446i,0.43087+0.080008i,0.21559-0.01728i,0.025194-0.032569i,-0.07039-0.0092538i,-0.066947+0.0050516i,-0.030197-0.0056037i,-0.016876-0.01746i,-0.0026629-0.013312i,0.019481-0.014539i,0.019246-0.018072i,0.010499-0.0089384i,0.010582+0.0073534i,0.011505+0.014447i,0.0055456+0.0052465i,-0.006814-0.0071307i,-0.016858-0.0046214i,-0.014636+0.0088899i,-0.0046978+0.018794i,0.00014626+0.025024i,-0.00092325+0.025064i
-0.26304+0.29707i,-0.34145+0.18298i,-0.29212-0.037309i,-0.18979-0.061568i,-0.086513+0.099773i,0.05652+0.2316i,0.15786+0.22158i,0.13301+0.14426i,0.055148+0.12057i,0.036106+0.12004i,0.041324+0.075576i,0.012418+0.031287i,-0.011669+0.021635i,-0.012369+0.016427i,-0.011783+0.0077925i,-0.011841+0.0079595i,-0.010039+0.013463i,-0.0035549+0.017149i,0.0072699+0.010534i,0.0075695-0.0041329i,-0.0011133-0.011775i,-0.0017504-0.011303i,0.003121-0.010641i
0.22906-0.38035i,0.32106-0.38116i,0.24336-0.2216i,0.10612-0.10267i,0.07969-0.1148i,0.086218-0.20795i,0.047863-0.25274i,0.02895-0.21362i,0.051027-0.17597i,0.047326-0.1595i,0.014388-0.12366i,-0.0007897-0.067373i,0.0042061-0.022826i,0.0073479-0.0053391i,0.0088572-0.0051671i,0.012228-0.01186i,0.014958-0.013101i,0.01176-0.010418i,0.001889-0.0048572i,0.00018274+0.0051349i,0.0061078+0.0084919i,0.0036523+0.0070108i,-0.0041119+0.010861i
-0.11309+0.33795i,-0.22484+0.33188i,-0.23513+0.2052i,-0.15224+0.11914i,-0.13038+0.091338i,-0.16413+0.087281i,-0.16572+0.079572i,-0.14933+0.06414i,-0.13562+0.072111i,-0.094544+0.086606i,-0.04698+0.077506i,-0.016404+0.049231i,-0.00041228+0.012222i,-0.00048027-0.011581i,-0.0088754-0.010169i,-0.013581+0.0019361i,-0.013241+0.0041645i,-0.012699-0.0024705i,-0.011385-0.0073778i,-0.011229-0.012302i,-0.01151-0.013291i,-0.0032676-0.0096474i,0.0097159-0.010855i
0.022785-0.41575i,0.087304-0.48878i,0.10755-0.35675i,0.087404-0.16537i,0.095077-0.034633i,0.086095+0.031438i,0.040627+0.061546i,0.026457+0.070041i,0.049868+0.0482i,0.058282+0.0075645i,0.042946-0.01897i,0.019286-0.019864i,-0.0029236+0.00089736i,-0.0088415+0.020191i,0.0014127+0.019541i,0.011167+0.0089936i,0.010539+0.0060031i,0.0052902+0.013533i,0.0045375+0.019556i,0.0051088+0.019834i,0.0044021+0.018246i,0.0028522+0.013461i,-0.00020992+0.0069871i
-0.0417+0.26835i,-0.1906+0.32113i,-0.27637+0.24853i,-0.23067+0.12174i,-0.16036+0.024209i,-0.089023-0.016777i,-0.015446-0.016579i,0.021473-0.015557i,0.024922-0.018999i,0.01864-0.020045i,0.0086487-0.016279i,0.0067763-0.0078858i,0.017522-0.0071653i,0.022093-0.012619i,0.011526-0.014199i,-0.0012377-0.01108i,-0.0015057-0.0085381i,0.0058225-0.014407i,0.0035242-0.021972i,-0.0019519-0.02036i,-0.00054601-0.014832i,0.0022152-0.010766i,0.0034539-0.0077054i
