0.0022015+0.00032959i,0.0015885-0.00070073i,0.00093984-0.0024926i,-0.00044257-0.0030637i,-0.0015377-0.0021802i,-0.0018611+0.0003096i,-0.00065476+0.0021682i,8.6289e-05+0.0024607i,0.00044802+0.001364i,0.00073487-0.00056276i,0.00048041-0.0011559i,0.0001471-0.00010008i,0.00019333+0.00024636i,0.00050327+0.00011069i,0.00029167-0.00041086i,0.00024326-0.0011084i,-4.9865e-05-0.00042381i,-0.00049642+0.00016026i,-0.00032092-3.6408e-05i,-0.00034814-0.00030863i,-0.00054985-7.271e-05i,-0.00043383+0.0009159i,0.00030097+0.00084167i
0.0010866+2.4891e-05i,0.00125-0.00020344i,0.0011436+0.0010762i,0.00047954+0.0015761i,0.00017725+0.0003933i,-0.00035216+5.5493e-05i,-0.0011094+0.00090149i,-0.0019936+0.00067271i,-0.0031167-0.0017611i,-0.0029747-0.0043817i,-0.0024123-0.0043342i,-0.0018217-0.0021684i,-0.0012293-0.00083449i,-0.00097032-0.0011641i,-0.00049041-0.00073755i,-9.9128e-05+0.00082191i,-0.00042017+0.0017537i,-0.00012128+0.0019022i,-8.0377e-05+0.00076282i,-0.00033742-0.00030636i,0.00028984+0.00012923i,-0.00030198-3.1518e-05i,-0.00077833-1.9517e-05i
-0.0017544+0.00019146i,-0.00033972-3.1959e-05i,0.00059838-0.00012376i,0.0012713+0.0013353i,0.0016147+0.002173i,0.0015527+0.0016104i,0.00060434+0.0022168i,-0.0006513+0.0031052i,-0.0025886+0.0029494i,-0.0048224+0.002343i,-0.0049055+0.0025073i,-0.0026655+0.0021447i,-0.00061916+0.00070343i,-0.00018689-0.00015294i,4.7864e-05-2.8558e-05i,0.00038817+0.00074177i,0.00088348+0.00055684i,0.00066736-5.4209e-05i,0.00043037+0.00050241i,0.00080499+0.00092429i,0.00088097+0.00026126i,0.00050872-0.00048493i,-0.00035856-9.2449e-05i
-0.0010401+0.00018046i,-0.00049806-2.7473e-05i,-0.00062424-0.00082832i,0.00031788-0.0010199i,0.0007742-0.00053079i,0.00027621-0.00098248i,0.00047706+1.8774e-06i,0.001364+0.0019775i,0.0018586+0.0034573i,0.00068803+0.0046399i,5.5326e-05+0.0046572i,0.00066892+0.0031742i,0.00046261+0.0018417i,-0.00030385+0.0017678i,-0.0001383+0.00057898i,-1.5367e-05-0.00086557i,0.00014808-0.00062818i,0.00021621-0.00040546i,0.0006728-0.0010315i,0.00038637-0.0014279i,-0.00066971-0.00092927i,-0.00036502-0.00058267i,0.00049961-0.00076225i
-0.00024852-0.0036865i,-0.00092863-0.0031924i,-0.0023045-0.0032617i,-0.0032379-0.001836i,-0.0017034-9.8661e-05i,-7.3338e-05+0.00050873i,0.00087637-0.00070114i,0.0020936-0.002138i,0.0034105-0.001287i,0.0041835+0.00051782i,0.0039423+0.0010941i,0.0031485+0.00090813i,0.0017681+0.0010884i,0.0013275+0.0012266i,0.0013292+0.0010615i,0.00044996+0.00031617i,-0.00031144-0.00023702i,-0.00015875-0.00017113i,9.0313e-05-0.00042344i,-4.2936e-05-0.00050997i,0.00039046-0.00026592i,0.00079906-0.00021839i,0.00023302-0.00056692i
0.0010472+0.0014586i,0.0005388+0.0010141i,-0.00028914-9.7919e-05i,-0.0011702-0.00030736i,-0.0006109-0.00014599i,-0.0004023-0.00043785i,-0.0013212-0.00091072i,-0.0015158-0.0016115i,-0.00034558-0.0026129i,0.0017573-0.0038202i,0.00271-0.0047634i,0.0019537-0.0036982i,0.00068765-0.0013771i,-0.00015023-0.00081774i,-0.00045946-0.00081323i,-0.0002185-0.00056762i,0.00055845-7.2124e-05i,0.00037149+0.00040166i,-0.00078804-0.00017636i,-0.00069332-0.000103i,-0.00050046+0.00071853i,-0.00023352+0.00035702i,-0.00025628+0.00022779i
-0.0013152+0.0019992i,-0.00079785+0.0030058i,0.0014599+0.0029175i,0.0024905+0.0023959i,0.002174+0.00086836i,0.0014073+0.0005168i,-0.00052329+0.0014273i,-0.0025398+0.0018586i,-0.0040003-0.00032313i,-0.003806-0.003273i,-0.002868-0.0035391i,-0.0012595-0.0020552i,0.00042216-0.00085817i,0.00057443-0.00057259i,0.00013911+0.00011733i,-0.00019813+0.0010367i,0.00073043+0.0012625i,0.0014173+0.001268i,0.00060037+0.0013154i,-0.0005174+0.00065493i,-0.00042224+0.0002001i,-2.9774e-05+0.0001742i,-0.00038985-0.00040436i
0.0017561-0.00059194i,0.0016895-0.0014647i,0.0006622-0.0015151i,-0.00051488-0.00041761i,-0.00057487+0.0010645i,2.4716e-05+0.0019307i,0.0003981+0.0023909i,0.00065678+0.0029388i,-0.00034788+0.0035911i,-0.001676+0.0025626i,-0.0019006+0.00096229i,-0.0012607+0.00043636i,-0.00046294+0.00014152i,-0.0006467+0.00015629i,-0.0010537+0.00070542i,-0.00023813+0.00086352i,0.00080603+0.00086797i,0.0012308+0.00088693i,0.0010361+0.0013402i,0.0006414+0.0012064i,0.0006494+0.0005517i,0.00058863+5.8067e-05i,0.00044984+7.8627e-05i
-0.0031134-0.00087743i,-0.0029029-0.00064968i,-0.0024006+0.0010757i,-0.00021774+0.0022667i,0.0022668+0.0012477i,0.0030403-0.00050637i,0.0022572-0.00033488i,0.0033757+0.00085314i,0.0044878+0.0021539i,0.0026147+0.0037812i,0.00066254+0.0041443i,0.00075728+0.0023426i,0.00013872-0.00010948i,-0.00027154-0.00041078i,0.00027314-0.00010073i,0.00075423-0.00036994i,0.0010155+0.00020868i,0.00042769+0.00022388i,-0.00031242-0.00028807i,4.7033e-05+0.00015011i,7.0007e-05+7.2329e-05i,-0.00025182-0.00041498i,-0.00021178-0.00033268i
0.00065564-0.00031185i,-0.00038498-0.00020597i,-0.001334+0.00039233i,-0.0015016+0.0011485i,-0.00067152+0.0014706i,-0.00066588+0.0012915i,-0.00075359+0.00034042i,0.00049367-0.0013335i,0.002106-0.0022276i,0.0027403-0.0014995i,0.0028927-0.001169i,0.0020946-0.00040557i,0.00044979+0.00029126i,0.00046203-0.00024594i,0.00077788-0.00037964i,0.00051162-0.00012702i,0.00023862+0.00024257i,0.00038922+0.00070081i,0.00029896+0.00080211i,6.396e-05+0.00025045i,0.00018617-0.00066948i,0.00046038-0.0011308i,0.00044682-1.3368e-05i
-0.001991-0.0013301i,-0.0023093-0.00088412i,-0.0026989+0.00066516i,-0.0018754+0.0017527i,-0.00061374+0.002159i,-8.4777e-05+0.0014706i,-0.00053014+6.1775e-05i,-0.0017877-0.0011802i,-0.0026594-0.0020262i,-0.0013858-0.0020465i,0.00056784-0.0019313i,0.00098205-0.0017738i,0.0009359-0.0010369i,0.00099153-0.00076539i,0.00068079-0.00091822i,-0.00011499-0.00072677i,-0.00037703-0.00026022i,-0.00047504+0.00014595i,-0.00076805-0.00040123i,-0.00069233-0.00059802i,-8.0897e-05-0.00010139i,0.00053414+0.00034713i,0.00053796-9.409e-05i
-0.0014061+0.0014327i,-0.00026978+0.00075444i,0.0019687+0.00093331i,0.0027153+0.00076484i,0.0029241+0.00034146i,0.001792+0.0003318i,-0.00071582+0.0014634i,-0.0023821+0.0031169i,-0.0026853+0.0030493i,-0.0025154+0.0015936i,-0.0024438+0.00017172i,-0.0013201-0.00062799i,-0.00019322-0.0013247i,-0.00011299-0.00089545i,-0.00043178-0.00081322i,-7.0527e-05-0.00076719i,0.00087439-0.00035296i,0.0012271-0.000111i,0.0011074-4.8914e-05i,0.0010191+5.7781e-07i,0.00059705-0.00030295i,-0.00026844-0.0002878i,-0.00064166+0.00011353i
-0.00024156-0.0020365i,-0.00069638-0.0013922i,-0.00020205-0.0012242i,0.00044971+0.00051277i,0.0013299+0.0014834i,0.0016395+0.0012322i,0.0014606+0.0021915i,0.0020902+0.0035044i,0.0018848+0.0042672i,0.00048324+0.0040393i,-0.00092782+0.0022943i,-0.0013494+0.00036205i,-0.00081123-0.00036834i,-0.00086877-0.00043752i,-0.0012478-0.00028731i,-0.0010488-1.1422e-05i,-0.00060747+0.00047763i,-0.00065422+0.00027382i,-0.0010026+4.4472e-05i,-0.00056884-4.6342e-05i,0.00029097-8.4683e-05i,0.0007191+0.00057663i,-0.00014804+0.00035793i
-0.00094585-0.0017141i,-0.0014437-0.0022772i,-0.0023216-0.0023898i,-0.0017614-0.0016023i,0.00054827-0.00067601i,0.0015446-0.00020759i,0.0019225-5.7925e-05i,0.0039774-0.00050928i,0.0053373-0.0011328i,0.0043053-0.00049397i,0.0027537+0.00056862i,0.0013577+0.00047187i,-0.00024874-0.00028317i,-0.0011723+2.0384e-05i,-0.0010769+0.0010937i,-0.00016241+0.00045059i,0.00019981-0.00040034i,-0.00010793-0.00010886i,-0.00033565+0.00017744i,-0.00018964-0.00033272i,-0.00012647+0.00040326i,-0.00043734+0.00093748i,-0.00065414+0.0001175i
-0.0016571+0.00091377i,-0.00057186+0.00207i,0.00074562+0.0041035i,0.0019208+0.0030723i,0.0018987+0.00050259i,0.00025261-0.0010021i,-0.0011682-0.0021582i,-0.00076003-0.0042845i,0.00029314-0.0053996i,0.0013095-0.0045496i,0.0020902-0.0022488i,0.0017608-0.000454i,0.00039361+0.00030841i,-0.00068746+0.00080435i,3.4092e-06+0.001091i,0.00065515+0.0014753i,-0.00024978+0.00076471i,-0.00073363-9.1954e-05i,0.00018108+0.00025566i,0.0009834+0.0010924i,0.00028322+0.00087537i,-0.00013586+0.00011042i,0.00068716-0.00024169i
-0.00082692+0.0013695i,-0.0015771+0.00075417i,-0.00077634+0.00086954i,0.0015403+0.001622i,0.0024611+0.00056352i,-2.7502e-05-0.00040304i,-0.0029745+0.00034829i,-0.0050691+0.00063184i,-0.0057755-0.0004662i,-0.0040817-0.0014783i,-0.0018234-0.001265i,-0.00054927-0.00053933i,0.00035055-0.00063041i,0.00068861-0.0007962i,0.0010654-0.00063209i,0.00060327-0.00085818i,-0.00014162-0.00048612i,-0.00018944+6.4383e-06i,0.00029091+0.00033051i,0.00049073-8.9991e-05i,0.00082267-0.00080345i,0.0011925-0.00097959i,0.00073495-0.0012486i
0.0013177-0.0002469i,0.0018025-0.00054867i,0.0024407-0.0014189i,0.001412-0.0019399i,0.00072887-8.948e-05i,0.00028396+0.0026465i,-0.001169+0.0053034i,-0.0024596+0.0069852i,-0.0026084+0.0071535i,-0.0017019+0.0059626i,-0.0013095+0.0035188i,-0.001226+0.0015204i,-0.00031595+0.00072933i,0.0007974-0.0005284i,0.00038834-0.0010447i,-0.00022152-0.00042611i,0.00021685+0.00023127i,0.00098385+0.00016098i,0.0013078-0.00065448i,0.0010075-0.001214i,0.00055449-0.00077959i,-0.00040634+0.0001936i,-0.00087794+0.00072245i
-0.0011161+0.00048134i,-0.00098828+0.00086524i,0.00042614+0.0026839i,0.0016243+0.0028985i,0.0028411+0.0012307i,0.0029162+0.0003922i,0.0028682+0.0018449i,0.0044869+0.0041358i,0.0065115+0.0051656i,0.0062296+0.0040056i,0.0034116+0.0016492i,0.001346+0.00035982i,0.0002731-0.00079597i,0.00052707-0.0018316i,-0.00023389-0.0012315i,-0.00090939-7.3723e-05i,-0.00021828+0.00013698i,3.5467e-05+2.0839e-05i,-0.00045029+5.0396e-05i,-0.00090598-0.00047449i,-0.00040604-0.00084688i,-0.00051947-0.00028367i,-0.00050239+1.8727e-05i
0.00025362-0.0013708i,0.0013277-0.0013404i,0.00063229-0.0023497i,0.00089769-0.0014383i,0.0011827-0.00042531i,0.0013543-0.00070549i,0.0024572-0.0015216i,0.00467-0.0026699i,0.0063481-0.0042322i,0.0050657-0.0043296i,0.0025815-0.001898i,0.00097749-0.00087411i,0.00011252-0.0011731i,-0.00057253-0.0004243i,-0.00028051+0.00021538i,-8.3311e-05+9.3043e-06i,-0.0007465+0.00039297i,-0.00083668+0.00046289i,-0.0006872+0.00021168i,-0.00024928-0.00033771i,0.00078293-3.2646e-05i,0.00052926+0.00041425i,-0.00013483-0.0001444i
0.00044496+0.0006592i,-9.8577e-06+0.00044129i,0.00049853+0.00039778i,0.00079252+0.00013827i,0.0004519-0.00036918i,-0.00069603-0.0004743i,-0.0018962-0.0023974i,-0.0029536-0.0052677i,-0.0037826-0.0070442i,-0.0029705-0.006891i,-0.0016074-0.0049225i,-0.0014197-0.0028667i,-0.0017099-0.0016569i,-0.0010283-0.00058936i,-0.00027291+0.00012975i,0.00033115+0.0011599i,0.00042718+0.001353i,0.0010132+0.00082174i,0.00054084+0.0012699i,-0.00031037+0.0014876i,-0.00023271+0.00058228i,0.00040341-0.00015476i,0.00040541+0.00014234i
-0.0040415+0.0015073i,-0.0042725+0.0033816i,-0.0031279+0.0053329i,-0.00034577+0.0049003i,0.0027938+0.0024047i,0.0017471+0.00046228i,-0.0027095+0.00066036i,-0.0068961+0.0014416i,-0.0086405+0.0013689i,-0.0071651+0.0012602i,-0.0037149+0.00056821i,-0.00015755-0.0002771i,0.0010177+0.00064206i,0.00022974+0.0012048i,0.00031286+8.0102e-06i,0.00047081-0.00058129i,0.00053824+0.00069668i,0.00058104+0.001192i,0.00043725+0.00035651i,0.00044464-0.00018144i,0.00092887+0.00016763i,0.001165+0.00051348i,0.0009492+0.00065326i
0.001204-0.00022663i,0.001533-0.0012215i,0.0021805-0.0020704i,0.0013928-0.0018347i,-0.00018805-8.3464e-06i,-0.0010638+0.0015566i,-0.0017378+0.0034832i,-0.0022103+0.0062336i,-0.0019327+0.0085385i,-0.00054401+0.0077417i,0.00013855+0.0045668i,0.00048375+0.0019547i,0.0011486+0.0010103i,0.0010182+0.00035003i,0.00062744-0.0010748i,0.0011817-0.00124i,0.0014125-0.00076941i,0.0008659-0.00045305i,-0.00035771-0.0003665i,-0.00046832-0.00076927i,0.0002907-0.00047671i,0.00017097+0.00059115i,-0.0006593+0.0006263i
0.00045968-0.00092863i,-0.00024476-0.00023402i,-0.00011393+0.00023359i,0.00047075+0.0010743i,0.0018881+0.0017693i,0.0019375+0.0032779i,0.0022047+0.004892i,0.0046672+0.0049862i,0.00788+0.0037499i,0.0085562+0.0030389i,0.0059477+0.0019925i,0.0030913+0.00025277i,0.0018575-0.00055504i,0.0012892-0.00047125i,8.5804e-05-0.00036048i,-0.0011172-0.00077398i,-0.0008043-0.0011666i,-0.00023956-0.0010353i,-0.00034287-0.00037367i,-0.00036613+0.00022391i,-0.00025763+0.00021461i,-0.00089082+0.00036171i,-0.0013054+0.00053854i
-0.0024429+0.001043i,-0.0017517+0.00072691i,-1.2191e-05+0.0012712i,0.0012604+0.0015241i,0.0023894+0.00031634i,0.0033453-0.00084775i,0.004221-0.0012188i,0.0060356-0.0021591i,0.0070778-0.004396i,0.0065339-0.0061096i,0.0044665-0.004997i,0.0020358-0.0026259i,0.00059472-0.0011852i,-0.00019401-9.5735e-05i,-0.00051554+0.00020982i,-0.00080933+6.5191e-05i,-0.0016784-0.00023051i,-0.001803-0.00057503i,-0.001063+0.00020416i,-0.00070968+0.0013388i,3.3297e-05+0.0013211i,0.0007207+0.00077188i,0.00043156+0.00065366i
0.0022227+0.0011942i,0.0008466+0.0005662i,0.00065511-0.00031126i,0.00050329-0.00037608i,0.00016796-0.00032266i,0.0003617-0.00060998i,0.00034814-0.0027971i,-0.00015972-0.005894i,-0.0015562-0.0078812i,-0.0032209-0.0075933i,-0.0030963-0.0048794i,-0.0021512-0.0015935i,-0.0020574+0.00045415i,-0.0011118+0.0012086i,-9.6797e-06+0.0013274i,0.0002128+0.001319i,-0.00026482+0.00096821i,0.00016077+0.00078328i,0.00023569+0.001434i,-0.00020159+0.0010809i,-0.00024869+0.00052608i,-0.00047981+0.00022334i,-0.00052989+1.2786e-05i
-0.0013608-0.0004742i,-0.0020311-0.0009418i,-0.0015996+0.00022227i,-0.00068592+0.0014518i,0.00029467+0.0013546i,-0.000146+0.00016659i,-0.0033136-0.00091786i,-0.0065357-0.00057234i,-0.0080193+0.0015172i,-0.0083362+0.0032226i,-0.0064894+0.0035164i,-0.0032791+0.0026966i,-0.00068063+0.0013032i,0.00018769+0.001231i,0.00021362+0.0013122i,0.00010495+0.00085201i,0.00068211+0.00068263i,0.0012861-7.8738e-05i,0.0013831-0.00085246i,0.0010029-0.00071503i,0.00052445-0.00083519i,0.0008967-0.0010211i,0.00037991-0.00047897i
0.00014155+0.0004532i,-5.3356e-05+0.001052i,0.00040827+0.001141i,0.0011782+0.00055187i,0.0017967+0.00031426i,0.00053445+0.0016761i,-0.0021684+0.0038829i,-0.0033259+0.0068415i,-0.0017834+0.0093391i,0.00032737+0.0090044i,0.00097057+0.0059527i,0.0010965+0.0029918i,0.0015267+0.0016351i,0.0012795+0.00066779i,0.00026345+0.00016573i,0.00036975+0.00032686i,0.00047383-0.00011161i,0.00062163-0.0007185i,0.00075114-0.00050311i,0.00089935-0.00024704i,0.0004051-0.00034064i,-0.00035315-6.3789e-07i,-0.00011926+7.7601e-06i
0.00091748+0.00095338i,0.0002935+0.00041895i,0.0012633-0.00027194i,0.0023005-0.00099417i,0.0027629-0.00047955i,0.0023798+0.00089288i,0.0029878+0.0030471i,0.0047442+0.0048782i,0.0078478+0.003791i,0.0095516+0.0015391i,0.0074671-0.0001384i,0.0042675-0.00010168i,0.0023602+0.00037678i,0.00084234-0.00021981i,-0.00041217-0.0010725i,4.9851e-05-0.0011215i,0.00043332-0.00070459i,0.00037145-0.00052213i,0.00013047-0.0010227i,-0.00058126-0.00066218i,-0.00053669+0.0004364i,-0.00056007+0.00051868i,-0.00032027-8.351e-05i
0.0035331-0.0015266i,0.0022288-0.0020559i,0.0012043-0.0029657i,-0.00074972-0.0011063i,-0.0012848+0.00037878i,-0.00039296+0.0011505i,0.0018117+0.00064493i,0.00461-0.0023586i,0.0050968-0.0062691i,0.0030074-0.0088495i,0.00079937-0.0080039i,-3.6726e-05-0.0049451i,-0.00036383-0.0016092i,-0.0011779+0.00043179i,-0.0019305+0.00097628i,-0.0019286+0.0011359i,-0.0018038+0.00053725i,-0.0017055-0.00023332i,-0.0006971-1.0754e-05i,0.00021701+1.2047e-05i,0.00016486-0.00021521i,-0.00046441+0.00036027i,2.238e-06+0.00049959i
-0.0047856+8.0789e-05i,-0.0049291+0.00079824i,-0.0038159+0.0027522i,-0.00083347+0.0035775i,0.0019707+0.0022997i,0.0024582-0.00030723i,0.00051023-0.0034273i,-0.0022763-0.0053985i,-0.0055303-0.0050005i,-0.0076244-0.0027758i,-0.006037-0.00097583i,-0.0024456+0.00027735i,-0.0009198+0.00069173i,-0.00077505+0.00051024i,-0.00010364+0.0001196i,0.0002172-0.00017051i,-0.00020973+0.0011899i,0.0003601+0.0015522i,0.00088576+0.00085413i,0.001287+0.00080922i,0.0011978+0.00092519i,0.00067308+0.00027735i,0.00076457+0.00016785i
-0.0005501+0.0018913i,0.00011598+0.0014637i,0.0026916+0.0014244i,0.0046733+0.00019489i,0.0042409-0.00086117i,0.0019073-0.0010063i,-0.00087889-0.0004331i,-0.0036295+0.0020382i,-0.005873+0.0053767i,-0.0051815+0.0073232i,-0.0032135+0.0061806i,-0.0016361+0.0028349i,0.00022189+0.0011097i,0.0014124+0.00080469i,0.0011409+0.0013744i,0.00074155+0.0018263i,0.0010815+0.0015662i,0.00079918+0.0010027i,0.00015215+0.00010033i,0.0003922-6.5067e-05i,0.00050395+0.00031421i,-0.00092481+0.00079801i,-0.0016025+0.0010309i
-0.0015219+0.0016557i,-0.0023277+0.001787i,-0.0034781+0.0019131i,-0.0029526+0.0018828i,-0.0015753+0.0016939i,-0.0014556+0.0011536i,-0.0019356+0.0026662i,-0.00053484+0.0054981i,0.00321+0.0071226i,0.006416+0.006087i,0.0060829+0.0042374i,0.0038029+0.0023943i,0.0013832+0.00065539i,8.8139e-05-0.0001414i,0.00018572-0.0004213i,0.00031467-0.0010227i,0.0010682-0.0012772i,0.0010478-0.00049037i,0.00091457+0.00013743i,0.00064709-0.0001225i,-0.00047729-0.00032962i,-0.00099601-0.00048791i,-0.00024503-0.00063743i
-0.00011935+0.00018691i,0.00097733-0.00087475i,0.0017827-0.0015483i,0.001407-0.00032025i,0.001288+0.0011568i,0.0018771+0.0021008i,0.002695+0.0027412i,0.0039899+0.0023372i,0.0059534-4.4285e-05i,0.0062272-0.0032282i,0.004138-0.0046065i,0.0019022-0.0032492i,0.00072201-0.0019155i,0.00097368-0.001968i,0.001183-0.001524i,0.00011247-0.00097097i,-0.00039146-0.00041481i,-0.00038467+0.00011679i,-0.00041447-0.0001964i,-1.6927e-05+0.00017618i,0.00031149+0.00076604i,0.00082946+0.00094006i,0.00088783+0.00095018i
0.001915+0.00030713i,0.0023214+0.00053369i,0.0020839+0.00070008i,0.0015416+0.00047154i,0.00090015+0.00020459i,0.0001769+0.00035242i,0.0016348-0.00020639i,0.0028235-0.0028566i,0.0014819-0.0059809i,-0.0010616-0.00629i,-0.0027485-0.0042123i,-0.002101-0.0025588i,-0.00070818-0.0014755i,-0.0012943-0.0010623i,-0.0016953-0.00099433i,-0.00084915-0.00079498i,-0.00050223-0.0007514i,-3.9464e-05-0.00044952i,0.00084473-2.4985e-05i,0.0012141+3.2442e-06i,0.00046345+5.442e-05i,8.8811e-05+0.00011343i,-3.9345e-05-0.00019047i
-4.1781e-05-0.0034539i,-0.00049265-0.0041295i,-0.0020209-0.004267i,-0.0028385-0.0028559i,-0.00088145-0.00087396i,0.00073634+8.1222e-05i,0.0005194-0.00029682i,-0.0015763-0.0013082i,-0.0050441-0.00085968i,-0.0067786+0.00087416i,-0.0054341+0.0014788i,-0.0026917+0.0012843i,-0.00059391+0.0015842i,8.4753e-05+0.0011268i,0.00050409-3.377e-05i,0.0013183-0.00019797i,0.00068716+0.00043843i,1.9127e-05+0.00035667i,9.2953e-05-4.6385e-05i,9.0472e-05+0.00035155i,0.00073844+0.00010914i,0.00053863-0.00026607i,-0.0003729-0.00021163i
-0.00090634+0.003376i,-0.00095701+0.0048428i,0.0004123+0.0056667i,0.0029919+0.004364i,0.0038407+0.00074481i,0.0012626-0.0014197i,-0.0019761-0.0004262i,-0.0029903+0.0023893i,-0.0027655+0.005802i,-0.00075709+0.0074714i,0.0015882+0.0068142i,0.0018406+0.0048056i,0.0017481+0.0026384i,0.0011477+0.00061869i,0.00017506-0.00037173i,-0.00027458+8.4766e-05i,-0.00047505+0.00071876i,-0.0005223+0.00087643i,-0.00030959+0.0011387i,-0.00042768+0.0010407i,-0.0011633+0.00051154i,-0.00081982+7.815e-05i,0.00030057+0.00034434i
0.0012214-0.0011106i,0.00046224-0.0022671i,0.00019459-0.0026186i,-0.00076696-0.0013471i,-0.00060848+2.8834e-05i,-0.00040111+0.0012098i,-0.00099815+0.0027897i,0.00061292+0.0047414i,0.0051927+0.0046767i,0.0084015+0.0022083i,0.0071836-0.00018147i,0.0044084-0.00091987i,0.0022713-0.00094974i,0.00062885-0.0012684i,-0.00035323-0.0014092i,-0.00054386-0.0012223i,-0.0010042-0.00074018i,-0.0016931-0.00036983i,-0.0013968+8.7961e-05i,-0.00047383-0.00015643i,0.00029745-0.00053439i,0.00035042-0.00058407i,8.1944e-05-0.00032893i
9.9272e-05+0.0043587i,0.0019703+0.004956i,0.0049501+0.0042654i,0.0055467+0.0016792i,0.0040927-0.00021992i,0.0017765+0.00035937i,0.001933+0.0011995i,0.0038967-0.00032375i,0.0050421-0.0034477i,0.0051593-0.0072221i,0.0042491-0.0081208i,0.0026502-0.0057267i,0.0011628-0.0035834i,-0.00064959-0.0016728i,-0.00086327+0.00019013i,0.00024866+0.0012996i,0.0011728+0.00084369i,0.0011116+0.00055527i,0.00029669+0.00082785i,0.00025345+0.00074036i,0.00036517+0.00065232i,0.00022019+0.00079254i,-0.00019327-6.8629e-05i
-0.0017444-0.0015758i,-0.0024451-0.0010522i,-0.0021867+0.00014028i,-0.00096944+0.0024149i,0.00083403+0.0021708i,0.0011275+4.6599e-05i,0.0013575-0.00089327i,0.0016317-0.0030153i,-0.001492-0.0065201i,-0.0057258-0.0068162i,-0.0066354-0.0040865i,-0.0055266-0.0019162i,-0.0040347-0.00029243i,-0.0027061+0.00021803i,-0.0016357-0.00021731i,-0.0013103-0.00013071i,-0.0012604-0.00031861i,-0.00064518-0.00032518i,0.00033458-0.00025877i,0.00098779-0.00053245i,0.00091091+0.00021568i,0.00014901+0.00027143i,-0.00053527-0.000597i
0.0026859+0.0036132i,0.0033908+0.0028167i,0.0050772+0.0019392i,0.0057397+0.000674i,0.0048838-0.0011793i,0.0020198-0.002381i,-0.0014398-0.0022267i,-0.0040164-0.0011839i,-0.0060391+0.0019448i,-0.0065732+0.0047503i,-0.0043904+0.0055409i,-0.0017722+0.0037147i,-0.00026719+0.0015638i,1.7328e-05+0.00047434i,0.00022643+0.00015104i,0.00080539+0.00019055i,0.00082773-0.00045191i,0.00094873-0.00023084i,0.00064431+0.00027239i,0.00055473+1.6399e-05i,0.00074007-0.0002865i,0.00050615-0.00030571i,0.00073578-0.00035969i
0.00031127+0.0034473i,0.00050565+0.0033263i,0.0024288+0.0017948i,0.0036364-0.00085625i,0.0038557-0.0023953i,0.0019802-0.0032427i,-0.0010182-0.0017487i,-0.002696+0.0023274i,-0.00094399+0.0068391i,0.0030067+0.0088155i,0.0050564+0.0067453i,0.0042716+0.0036256i,0.0030722+0.0026414i,0.0016764+0.0030158i,0.00013321+0.0027533i,-0.00066563+0.00096348i,-0.00063668-0.00022728i,-0.00031274-0.00042347i,-0.00035606-0.00084794i,-0.00077493-0.0008427i,-0.00049013-0.00029548i,9.154e-05+0.00022293i,0.00037724-6.2139e-05i
0.0021864+0.0085685i,0.0035368+0.0085751i,0.006901+0.0055918i,0.0069294+0.00043859i,0.0034826-0.0027473i,-0.0018557-0.0022065i,-0.0029787+0.0014686i,0.00074667+0.0038945i,0.0061042+0.0031485i,0.0097561-0.00017519i,0.0084703-0.0033021i,0.004965-0.0040891i,0.0017692-0.0038947i,-0.00067259-0.0026633i,-0.0011036-0.0017223i,7.8836e-05-0.0018101i,0.0011955-0.0015215i,0.00084745-0.00098866i,-0.00031965-0.00029875i,-0.00055183+0.00017748i,-0.00024738+0.00028048i,-0.00045385-2.6553e-05i,-0.00057346-0.0003017i
-0.0080495-0.028868i,-0.011244-0.033501i,-0.027811-0.022782i,-0.029244-0.0015031i,-0.019222+0.014153i,-0.00247+0.01722i,0.0068371+0.0079044i,0.0058509+0.00040194i,0.0019989-0.0046393i,-0.0034507-0.0063241i,-0.0048534-0.0036014i,-0.002173-0.0016449i,0.0016955-0.00098257i,0.0054587-0.00021015i,0.0063531-0.00044174i,0.0024636-0.00091622i,-0.002941+0.0010791i,-0.0038061+0.002181i,-0.0023604+0.00081724i,-0.0019738+0.0001846i,-0.00079323+6.1251e-05i,0.00036241-0.00094108i,-2.9543e-05-0.001445i
-0.0023137-0.0073782i,-0.0031473-0.0076421i,-0.0055353-0.0048816i,-0.0041941-0.001091i,-0.0029303+0.0018459i,-0.00037654+0.0028656i,0.00132+0.00064105i,0.00074563-0.0031133i,-0.0030049-0.0050808i,-0.0075414-0.003114i,-0.0081968-0.00011593i,-0.0063486+0.00093306i,-0.0040105+0.0013828i,-0.0023281+0.0015366i,-0.0015948-1.5626e-05i,-0.0018514-0.0017504i,-0.0017029-0.0021849i,-0.00064465-0.0018973i,0.00013949-0.0011697i,7.4108e-05-0.00031085i,0.00015804-0.00057898i,0.00038596-0.00025286i,-0.00021677+0.0004973i
