1.6606e-06+0.0013371i,0.00091744-0.00012175i,0.00074143-0.001524i,0.0010055-0.0025559i,9.373e-05-0.0019917i,-0.0013359-0.00016809i,-0.0011556+0.00061459i,7.1353e-05+0.00085286i,0.00060025+0.00025463i,0.00036391-0.00050864i,0.00061618-0.00042481i,0.001134-0.00055755i,0.00096118+0.00029443i,0.00031954+0.001168i,0.00029823+0.0013224i,0.00024421+0.0015757i,-0.00025518+0.0009024i,3.3829e-05+0.00057535i,0.00040346+0.0006691i,2.0917e-05+0.00042544i,-3.0643e-07+0.00059408i,0.0010736+0.00049141i,0.0012222-0.00028298i
0.00075222+0.00031482i,0.00081272-9.6275e-05i,0.0011083-0.00018624i,0.0014263-0.00085944i,0.001778-0.00092412i,0.001465+0.00050587i,0.0011824+0.00058855i,0.0010119-0.00071483i,-0.0003542-0.0015155i,-0.0010012-0.0016959i,-0.00074419-0.00091346i,-0.0006616-0.00016658i,-6.501e-05+0.00066313i,0.00032005+0.0014766i,0.00053643+0.0012947i,0.00063494+0.00097241i,0.00068482+0.00075896i,0.00058707+0.00020708i,-0.00034372+0.00013927i,-0.00047022+0.00012409i,2.2606e-05+0.00039863i,-2.5673e-05+0.00043721i,-0.00053619-0.00050321i
7.7519e-05-0.00098024i,0.00046784-0.00070258i,0.00068607-0.00067052i,-0.00042758-0.00093705i,-0.0015544-0.00095907i,-0.0018037-0.00017734i,-0.0015456+0.00013504i,-0.0012254-0.0011561i,-0.00097373-0.0019269i,-0.0010083-0.0011557i,-0.0011671-0.00049842i,-0.00031194-3.6116e-05i,0.00058308-0.00037566i,0.00034797-7.994e-05i,-0.00022418+0.0013057i,-8.5576e-05+0.001314i,0.00034573+0.00025619i,0.00024718-8.5542e-05i,-0.00038584-0.00015616i,-0.00016432+0.00022478i,0.00030706+0.00028017i,0.00016323+0.00022848i,1.0542e-06+5.5135e-05i
-5.8417e-05-0.00037905i,0.00055429-0.00050701i,0.0017907+0.00097393i,0.0017895+0.0019769i,0.0022486+0.0013036i,0.0027611+0.00077051i,0.0016408+0.00077462i,-2.4308e-05+8.4951e-05i,-0.00057645-0.00055238i,-0.00052779-0.00063918i,-0.00058897-0.00018229i,-0.0012955+0.00064832i,-0.0012796+0.00078112i,-0.00066343+0.0004828i,-0.0004889+0.00059792i,-0.00028472+0.0011793i,4.6068e-05+0.0015376i,-0.00013437+0.00048494i,-0.00034878-5.3458e-05i,-2.7878e-05-0.00054143i,-0.00022385-0.0010716i,-0.00026094-0.0012167i,-0.00045302-0.0011899i
0.00052662-0.00058457i,0.00033731-0.0011466i,0.0010555-0.0018402i,0.0013504-0.0012835i,0.00080578-0.001105i,0.00089708-0.00047727i,0.0012281-2.7617e-06i,0.0014364-0.00079344i,0.00050123-0.0015407i,1.4997e-06-0.0011412i,-0.00021421-0.00028539i,-0.00044032+0.00032783i,-0.00057797+0.00071776i,-0.00022846+0.00088103i,0.00090436+0.00048239i,0.0012317+0.00034233i,0.00097875+0.00030404i,0.00030925-0.00014294i,-0.00061697-0.00055704i,-0.00056298-0.00073763i,-0.00016056-0.00098003i,0.00028877-0.00089148i,0.00062646-0.00058968i
-0.0013364+0.00066616i,-0.0011052+0.00035847i,-0.00087365+0.00073502i,8.6572e-05+0.0014669i,0.001868+0.0011528i,0.0020784+0.0004873i,0.0018069-0.00048747i,0.0013529-0.0018911i,0.00023162-0.0025559i,-2.2603e-05-0.0020505i,0.00079478-0.0011243i,0.0012705-0.00036499i,0.0009472-0.0001594i,7.5052e-05+0.00047943i,-0.00044903+0.00091249i,-0.0004949+0.00060624i,0.00041794+0.00082391i,5.5912e-05+0.00045184i,-0.0008434-0.00030938i,-0.0011071+0.00046928i,-0.0012897+0.00043128i,-0.0012284-0.00016273i,-0.00060896+0.00040472i
0.0015616+0.00081514i,0.0020123+0.0004272i,0.0031641+0.00062192i,0.0034514+0.00079367i,0.0027592-0.00045116i,0.0011782-0.0013866i,7.5415e-05-0.0017774i,-0.00015219-0.0021015i,-0.0001478-0.0015054i,0.00020075-0.00098789i,0.00084292-0.00045668i,0.00036753+0.00011173i,-0.00041125+0.00057457i,-0.00091513+0.00088123i,-0.0012752+0.00082205i,-0.00051913+0.00023062i,0.00091591-0.00057445i,0.00080274-0.00047954i,-0.00013195+0.0003365i,-0.0003158+0.00016674i,-0.00021985-0.00055905i,-7.0626e-05-0.00065349i,-0.00034433-0.0008921i
2.5759e-05+0.00019176i,6.1727e-05-0.00030223i,-5.5949e-05-0.00021988i,0.00042488+0.00025146i,0.001451+0.00078863i,0.0014407+0.00035198i,0.00090163-3.2215e-05i,0.00056755-0.00071205i,-0.000267-0.00097939i,-0.00076923-6.2373e-05i,-0.00070818+0.00049571i,-0.00037089+0.00049127i,-0.00014113+0.00026049i,-0.00010643+0.00051094i,0.00060352+0.00099218i,0.00093105+0.00067478i,0.00022067-7.0539e-05i,-0.00054568-0.00086061i,-0.00057421-0.00072259i,-0.00010707-0.00014145i,-0.00013017-4.6843e-05i,-0.00011638+1.0187e-05i,9.4803e-05-0.00018465i
0.00045987-0.00048545i,0.00097339-0.0002002i,0.001763+4.0155e-05i,0.0022941+0.0002749i,0.002122+0.00031741i,0.0014636-3.9388e-05i,0.0017108+6.5853e-05i,0.0016493-8.2333e-05i,3.125e-05-0.00010005i,-0.001139+0.00028174i,-0.00092834+0.00044135i,-0.00052963+0.00029716i,-0.00076445-0.00032614i,-0.00064838+0.00029684i,-0.00029313+0.00087761i,-0.00044838+0.00057615i,-0.00031896+0.0011081i,-0.00053303+0.00062652i,-0.00060195-0.00056001i,0.00018016-0.00095919i,0.00053805-0.00085511i,-0.00065575-0.00049403i,-0.00090932+0.00013031i
-0.00051072-0.00048872i,-0.00089999-0.00018548i,-0.00064921-0.00011349i,0.00030048-0.00086919i,0.0010029-0.0011092i,0.0015402+3.2588e-05i,0.0017418-2.0027e-05i,0.0012712-0.0020074i,0.00040409-0.0027008i,-0.0002452-0.0013501i,-0.0001797+7.7989e-05i,-0.00011007+5.2847e-05i,-0.00020642-0.00026295i,8.3343e-05+0.00011596i,7.7437e-05+0.00020727i,-0.00011509+0.00079913i,-0.00059836+0.00085764i,-0.0011752+0.00037242i,-0.0013325+0.00042968i,-0.0013042+0.00046858i,-0.0012854+0.00086953i,-0.00049312+0.0010395i,0.00052005+0.0001685i
-0.00024276+0.00019886i,0.00078379+0.00046989i,0.0016131+0.00053899i,0.0017543+0.00022695i,0.0021765-0.00031955i,0.0015267-0.0010181i,0.0011378-0.0017168i,0.00074077-0.002413i,-0.00011222-0.0024826i,-0.00097414-0.0018777i,-0.0010755-0.00094205i,-0.00070142+0.00034642i,-0.0006188+0.00090464i,-0.00060292+0.00097001i,-0.00043692+0.0007734i,-2.2845e-05+0.00070261i,-0.00019449+0.00056886i,-0.00082878+0.0001115i,-0.00039658-0.00017675i,-0.00099659-4.6404e-05i,-0.0015718+0.00023358i,-0.0011481-0.00013208i,-0.0012146-0.00083389i
6.1809e-05+0.00056987i,0.00059799+0.00032816i,0.00064625-0.00022701i,0.00058225-0.0011544i,0.00083544-0.0012474i,0.00027084-0.00058837i,0.00012434-0.00075744i,0.00012372-0.0015425i,-0.0010388-0.0023187i,-0.0017913-0.0023013i,-0.00072665-0.0011164i,0.00021449+0.00053636i,0.00026111+0.00094231i,0.00075193+0.00016861i,0.0006777+0.00027121i,0.00031457+0.00054754i,-9.1074e-05+0.00016042i,-0.00062623+0.00016094i,-0.001471+0.00039239i,-0.00092505+0.00035822i,-0.00068212+0.00087507i,-0.00082891+0.00052502i,-0.00060433+8.5035e-05i
-0.00069583+0.0017223i,0.00063649+0.001744i,0.0019382+0.0021371i,0.0029584+0.0020645i,0.0025957+0.0012309i,0.0022238+0.00022663i,0.0016132-0.00056365i,2.0496e-05-0.0017071i,-0.00029312-0.001777i,-0.00022185-0.00074197i,-0.000733+0.00015269i,-0.00050746+0.00044442i,0.00025608+0.00017272i,-0.00031726+0.00024957i,-0.00099624+0.00085162i,-2.0611e-05+0.0012906i,0.00077605+0.00078797i,0.00031809-0.00084936i,0.00015157-0.001476i,-4.6082e-05-0.00056036i,-0.00036474+0.00014638i,-0.00049803+0.00074968i,-0.00036988+0.00082502i
0.00018953-0.0011098i,-0.00010275-0.0010364i,0.00037392-0.00096834i,0.0014435-0.0010182i,0.0018223-0.00044128i,0.0017967-0.00017916i,0.0016733-0.00019188i,0.00088238-0.00041695i,-4.5035e-05-0.00081909i,-0.00017624-0.00045382i,-0.00032055+0.00022744i,-0.00017253-0.0003265i,-0.00017038-0.00051119i,-0.0006635-0.00014308i,-0.00067683+0.00022695i,-0.00056352+0.00053256i,-0.0005064+8.9826e-05i,-1.9647e-05-0.00036499i,0.00031766-0.0009512i,-0.00023048-0.00051369i,-0.0010857+0.00019094i,-0.00057201+0.00019508i,-0.00055586+0.00030994i
0.00028354+0.00048594i,0.00079342-0.00025724i,2.8221e-05-0.0012057i,-0.00019374-0.00034845i,0.0012723+0.00047491i,0.0021966+0.00030197i,0.0018422+0.00010631i,0.0014421-9.3375e-05i,0.0011328-0.00040495i,0.00056351-0.00088665i,0.00034568-0.00064802i,-0.00025694-0.00042869i,-0.0010026-0.00059071i,-0.00092171-0.00012899i,-0.0011406+0.00097317i,-0.0012459+0.0013804i,-0.00071399+0.0011361i,-0.00015986+0.00092693i,0.00018307-0.00028643i,0.00013036-0.00039306i,-0.00078019+0.00040743i,-0.00039098-1.5422e-07i,0.00031608-0.000113i
6.3532e-06+0.0018917i,0.00051933+0.0016996i,0.0019396+0.0005868i,0.0031487+1.51e-05i,0.0039145+0.00064422i,0.0027329+0.00029838i,0.0012184+5.9252e-06i,0.00047547-0.00045351i,-0.00070957-0.0005639i,-0.0020346-0.0005738i,-0.0018701-0.00023117i,-0.0010829+0.00028167i,-0.00129+0.00027632i,-0.00082436+0.00097995i,0.00019994+0.0014002i,0.00046513+0.00074687i,0.00015759+0.0002298i,5.3011e-05-0.00086169i,-0.00017791-0.0017575i,-0.00084912-0.001062i,-0.00052465-0.00058875i,-0.00024185+7.2789e-07i,-0.00031882+0.00040929i
-0.00095456+0.00050703i,-0.00046299+0.00042399i,-0.00020289+0.00034208i,3.4851e-07+0.00090518i,0.0016017+0.001336i,0.0021597+0.0010509i,0.00093312-1.9704e-05i,0.00018876-0.0016411i,-0.00034595-0.0016396i,-0.0010684-0.00075741i,-0.00077797+0.00020236i,-5.2679e-05+0.0010896i,0.00013308+0.0010809i,-0.00061334+0.00092556i,-0.0011719+0.001087i,-0.00047603+0.00080624i,2.4805e-05+0.00070775i,-3.4785e-05+0.00047226i,-0.00070801+0.00048905i,-0.00068193+0.00046608i,-0.00014052-0.00018984i,0.00023933-0.0007593i,-0.00026702-0.00021993i
-0.00020183+0.0013111i,-0.00062368+0.00071038i,-0.00041842+0.0014723i,0.00056009+0.0017856i,0.0015926+0.0014806i,0.0014695+0.0013125i,0.0004805+0.00014608i,7.5854e-05-0.0010156i,0.00031513-0.0014912i,0.00074662-0.0012616i,0.0003935-0.00025516i,-0.00035484+0.00026314i,-0.00047965+0.00020363i,-0.0011139+0.00075471i,-0.0014801+0.0013782i,-0.00019961+0.00055476i,0.00064938-0.00065944i,0.0001972-0.00051996i,-0.00052145-3.472e-05i,-0.00089449-8.8961e-05i,-0.00044429-0.00023947i,-0.00021642-0.00040485i,-0.00015671-0.00021356i
-0.00031853+0.00077777i,-0.00016926+3.169e-05i,0.0010418-0.0012543i,0.0026097-0.00043836i,0.0025942+0.0010164i,0.002463+0.00049191i,0.0020606-0.00016527i,0.00088839-0.00092284i,-4.3034e-05-0.0019547i,-6.9521e-05-0.0020042i,0.00021875-0.00081745i,0.00060275+0.00021269i,0.00073663+0.00034005i,0.00028604+0.00063311i,-5.2595e-05+0.0011302i,-0.00048892+0.0012153i,-0.00052564+0.0013059i,0.00017685+0.0009219i,0.00048026+0.00017082i,-5.472e-05+0.00010866i,-0.0003561+0.00055988i,-9.4115e-06+0.00063431i,0.00024993+0.00033704i
0.001343+0.00057606i,0.00060714+0.0001651i,0.0012727-0.00078024i,0.0015129-0.0018894i,0.0010904-0.0020501i,0.00096387-0.00089417i,0.00050717-0.00064326i,0.00038226-0.001373i,0.0002475-0.0017032i,0.00039561-0.0015341i,0.00066967-0.0006467i,0.00033294-0.00018542i,0.0001842-0.00055243i,-8.8296e-05-0.00037307i,-0.00044899+0.00050193i,-0.00026588+0.001079i,-4.2258e-05+0.00049776i,0.00030215-0.00015375i,0.00023548-0.00014878i,0.0003488+0.00012045i,0.00083746-0.00015843i,0.00066266-0.00036497i,0.00074388+0.00062412i
0.0010192+0.00088199i,0.00098639+0.0010448i,0.0022334+0.00067875i,0.0033608-4.5371e-05i,0.0031886-0.00062385i,0.0020696-0.00074317i,0.0012449-0.00064036i,0.00091876-0.00087205i,-0.00029612-0.0010654i,-0.0011722-0.00081521i,-0.00086165-0.0004862i,-0.00078487-0.00024166i,-0.00092612+0.00057605i,-0.00083323+0.0013853i,-0.0011996+0.0014595i,-0.00063199+0.0015654i,0.00059415+0.00049665i,0.0010086-0.00067347i,0.00036431-0.00058113i,-0.00048423-0.00016474i,-0.00059429+6.289e-05i,3.9724e-05+0.00030736i,0.00030239+0.00015684i
0.0010991-0.000115i,0.00067117-0.00040153i,-0.00053015-0.00069013i,0.00022522-0.0008656i,0.0010707-0.00023496i,0.00145+0.0004019i,0.00109+0.00032863i,-4.1258e-05-0.00055346i,-0.00065338-0.0020166i,-0.0010428-0.0016042i,-0.00074847+0.00025567i,-0.00031681+0.0011755i,-0.00057319+0.00075966i,-0.00048615+0.00020287i,-6.2386e-05+0.0010795i,7.5741e-05+0.0019997i,0.00018111+0.0015542i,0.00052397+0.00017716i,2.8459e-05-0.00054736i,-0.00031907-0.0006317i,-0.00052473-5.1061e-05i,-0.00092334+0.000612i,-0.00046105+0.00075077i
-0.00035145-0.00077607i,-0.00034781-0.00059409i,-0.00096615-0.00023703i,-0.00051422+0.00014898i,0.00058608+0.0010398i,0.0011618+0.0012395i,0.0012255-8.9517e-05i,0.0011377-0.0010652i,0.00062084-0.00072098i,-0.00059272+0.00039031i,-0.0013084+0.0014877i,-0.00057512+0.0008813i,0.0012319+0.00053288i,0.0017971+0.0010779i,0.00058283+0.0010486i,0.00039938+0.00089655i,0.00030043+0.00054952i,1.8462e-05+0.00014205i,-0.00012916-0.00053427i,-0.00056442-0.00097346i,-0.00079119-0.00089199i,-0.00084919-0.00040213i,-0.00087481-0.00026963i
0.0017314-0.00031987i,0.00088935-0.00051787i,2.1908e-06-0.00096177i,-0.00032203-0.001228i,3.4115e-05-0.0014448i,0.00049597-0.00040155i,0.00059691+0.00013581i,0.00061182-0.0010101i,0.00065798-0.0014121i,0.0004021-0.0010948i,0.00033411-0.00047802i,0.0002546+0.00090446i,-0.00025175+0.001917i,-0.00053811+0.0017578i,0.00019664+0.0015243i,0.00075909+0.00012363i,0.00039469-0.0014071i,0.00014239-0.001153i,0.00065243-0.00064009i,0.00048011-0.00026322i,-0.00012718-4.8371e-05i,8.0052e-05+6.108e-05i,0.00016042+0.0001886i
0.00088085-0.0012833i,0.00025741-0.0021238i,0.00039114-0.0016416i,0.00047996-0.00058572i,0.00030143-0.00062205i,0.0010372-0.00076446i,0.001794-0.0013152i,0.00098766-0.0017679i,0.00036458-0.00063703i,-0.00022163+0.000587i,-0.00089035+0.00075581i,-0.00074395+2.8274e-05i,2.5708e-06-0.00092909i,0.00073173-0.00042613i,-0.00025021+0.00022084i,-0.00047333-7.0748e-05i,-0.00017813-0.00032051i,-0.00014789-0.00027612i,-0.00027254+0.00030603i,0.00011124+5.3588e-05i,0.00064155+0.00020007i,0.00062548+0.00091036i,0.00036255+0.00094053i
0.00095238-0.00076736i,-0.00098355-0.0016856i,-0.0013153-0.0023555i,-0.00041617-0.0025291i,0.00057057-0.0023207i,0.001027-0.00061433i,0.00079173-3.8445e-05i,0.00064317-0.0008345i,8.7586e-05-0.0015466i,-0.00014436-0.0013309i,-0.0002667-0.00070098i,-0.0001612-0.00059514i,0.00057082-0.00045004i,0.0011113-0.00035922i,0.00047902+0.00066737i,-0.00041428+0.00093751i,-0.00037097-0.0002161i,-0.00020617-0.00031754i,-0.00017755-0.00044551i,-0.00054265-0.00062373i,-0.00051653-0.00048269i,0.00026434-0.00061962i,0.00013762-0.0012967i
-0.00010199+1.5812e-05i,-0.00045911-1.6059e-05i,-0.0010364+0.00061117i,-0.0013946+0.0013855i,-0.00021846+0.0014158i,0.00046958+0.0011932i,0.00057893+0.0013889i,-0.00020885-0.00018483i,-0.0012005-0.0017556i,-0.001129-0.0014409i,-0.00046538-0.001092i,-0.00049981-0.00092784i,-0.0012648-0.00098893i,-0.0015614-0.0011309i,-0.0010248-0.00043607i,-0.0006029+0.0010254i,-0.0001051+0.0019101i,0.00013847+0.0012816i,-0.00045593-7.2934e-05i,-0.00060245-0.00058439i,-0.00042155-0.00037196i,-0.00044204+0.00035692i,-0.0003655+0.00089603i
-0.0016354+0.00083274i,-0.0014445+0.0014502i,-0.00052715+0.0023038i,0.00069778+0.002451i,0.0015018+0.0020376i,0.0020106+0.0012929i,0.001429-0.00046001i,0.00056481-0.0018388i,0.00022011-0.001837i,-0.00076449-0.0013977i,-0.0010305-0.0011328i,-0.00031158-0.00047514i,-0.00025404+0.00058613i,-0.00052384+0.00038041i,-0.00047137+3.5867e-05i,-0.00014624-0.00011133i,-0.00041113-0.00040355i,-0.00072625-0.00018413i,-0.00039953-0.00016084i,-0.0006323-0.00028243i,-0.00076637-0.00068559i,-0.00037858-0.00074322i,0.00027183-0.00089246i
-0.0005052-0.0014849i,-0.00088068-0.00050054i,-0.00085618+0.00072643i,-0.00051314+0.0012611i,-2.0721e-05+0.0014155i,0.00046809+0.00094292i,0.0012921-0.00076265i,0.0006347-0.0017611i,-0.0011149-0.0018008i,-0.0016107-0.001182i,-0.00072995-7.5732e-06i,-0.00043165+0.0012116i,0.00020417+0.00086897i,0.0013802+0.00037794i,0.00088456+0.00040883i,0.00010588+0.00019426i,-0.00011188-0.00028211i,-0.00042131-0.00031597i,-0.00062448-0.0002271i,-0.00016581+0.00017531i,-0.00036671+0.00064705i,-0.0009343+0.00036964i,-0.0010167+0.00033598i
-7.1527e-05-0.00041748i,0.00044823+0.00071892i,0.00035267+0.001926i,0.0012259+0.0022147i,0.0020402+0.0024141i,0.0013625+0.0018048i,0.00084538+0.00036836i,0.00015988-0.00037785i,-0.00058122-0.00031528i,-0.00048708-4.5709e-05i,0.00013215+0.00029302i,0.00030335+0.00063197i,0.00020953+0.0013543i,-0.00027756+0.0011192i,-0.00024875+0.00045048i,0.00024695+0.00010641i,0.0005883+0.00056271i,0.00072281+0.00057437i,8.5099e-05-0.00013906i,-0.00024375-0.00020956i,-4.0306e-05+0.00049633i,-0.00066774+5.2795e-05i,-0.00077481-0.00020899i
-0.0017116+0.00036871i,-0.0011269+8.8576e-05i,-0.00012137+6.8578e-05i,0.0004564-0.0002558i,0.0013087+0.00024227i,0.0014138+0.00068569i,0.0012707+0.00024815i,0.0018011+6.3204e-06i,0.0015368+2.8499e-05i,0.00038761+0.00039997i,-0.00024887+0.00056698i,0.00046256+0.00010208i,0.0014154+0.00047725i,0.0013104+0.00081199i,0.001193+0.00099231i,0.0010025+0.00092559i,-0.000177+0.00069669i,-0.00055909+0.00055486i,-0.00033591-1.7462e-05i,-0.00090521+0.00027529i,-0.0013033+0.0010798i,-0.0011114+0.00075568i,-0.00078434+0.00065386i
-0.00036056-0.0010286i,-0.0004347-0.00064631i,-0.0012917-0.00054544i,-0.0012972+7.7157e-05i,-0.00021644+0.00059257i,0.0011503+0.00095968i,0.0022946-3.6587e-05i,0.0022668-0.0012702i,0.0012816-0.001585i,0.00094739-0.0012235i,0.0013244-0.00063957i,0.0014793+5.5198e-06i,0.0010646-0.0001413i,0.0011045-0.00074606i,0.00062652-0.00040907i,-3.7101e-05-2.0581e-05i,-0.00046871-3.0846e-05i,-0.00028903-8.8359e-05i,0.00017689-0.00031617i,-0.0004055-0.00027709i,-0.00083413+0.00012348i,-0.00048556+0.00041614i,0.00014298-0.00035235i
-0.00051287-0.00081374i,6.8723e-05-0.00014769i,0.00046347-0.00079054i,0.00034525-0.00081329i,0.00066336-0.0003527i,0.001663-0.00080947i,0.0025249-0.0021687i,0.0021205-0.002567i,0.00083361-0.0023667i,0.00046214-0.0015618i,-4.4702e-05-0.00048914i,-0.00133+0.00011948i,-0.0013701+0.0003605i,-0.00093881+0.00033713i,-0.00095638+0.00081668i,-0.00072545+0.0012082i,-0.00041286+0.00059819i,-0.00027983+0.000281i,-0.00029051+0.0010579i,0.00027257+0.00098949i,0.00084213+9.8921e-05i,0.0012598+0.0003362i,0.000706+0.00073977i
0.00035407-0.00073996i,0.00043407-0.00076355i,0.00029275+0.00069841i,0.00088166+0.0024391i,0.0019149+0.0024353i,0.0021684+0.0015044i,0.0016367-0.00024939i,0.00060686-0.0021273i,-0.00046968-0.0028172i,-0.0014264-0.0028489i,-0.0018532-0.0016369i,-0.0010261-0.00032075i,-0.0003883-0.00020204i,-0.00090348-3.9582e-05i,-0.00055356+0.00063296i,0.00073267+0.0012867i,0.00064571+0.0011915i,-0.00018182+0.00054994i,-0.00050927-0.00017734i,-0.00071808-0.0007387i,-0.00099908-0.00059732i,-0.001024-0.00040215i,-0.00041607-0.001026i
-0.00047301+0.00028003i,0.00068938+0.0006791i,0.00042724+0.0007933i,0.0011559-0.00040057i,0.0024315-0.00054229i,0.0020876-0.00018105i,0.0012577-0.00076823i,-0.00017228-0.00074782i,-0.0010258-0.00064855i,-0.0016615-0.0002956i,-0.0016229+0.00039266i,-0.001547+0.00034854i,-0.0010959+0.00018746i,-0.00044451-6.2035e-05i,-0.00046812+1.0592e-05i,-0.00013026-6.0803e-05i,3.6284e-05-0.00025995i,6.6089e-05-0.00023139i,-0.0004321-0.0010365i,-0.001161-0.0009206i,-0.0011005+5.0752e-05i,-0.00014084+0.00034409i,0.00013081+0.00056976i
-0.00018409-0.0014915i,-7.9846e-05-0.00076711i,1.6754e-05-0.0014679i,2.9027e-05-0.001852i,3.4889e-06-0.00059574i,0.00065727+0.0011648i,0.00095068+0.0014332i,0.00038375+0.0010409i,-0.00053555+0.00049127i,-0.00086685-0.00052129i,-0.0011686-0.00070412i,-0.0011439+0.0001341i,-1.8355e-05+0.0015151i,0.0014497+0.0014335i,0.0017391+0.00082615i,0.00092555+0.00085382i,0.00010802+0.00082583i,-9.9141e-05+0.00074951i,-0.0002676+0.00049536i,-4.8168e-05-5.432e-05i,-0.00028296+0.00031018i,-0.0015352+0.00055043i,-0.0012386-0.00033479i
0.0010183-0.00022187i,0.0011404-0.00071842i,0.0010984-0.00036552i,0.0017407+0.00053403i,0.0026287+0.0010701i,0.002359+0.001092i,0.0016031+0.00043277i,0.0010017-0.00062733i,0.00015343-0.00046757i,-1.9656e-05+0.00024734i,0.00031688+0.0003864i,-0.00039688+0.00032363i,-8.2696e-05-0.00029282i,0.00044045-0.00041321i,0.00023247+7.0078e-05i,-0.00013299+0.00025208i,-0.00054818+0.0005755i,-0.00061671+0.00038088i,-0.00013509-3.7821e-05i,0.00055311-0.00010862i,0.00041932+1.6341e-05i,-0.00049442+0.00040715i,-0.00018898+0.00052311i
-0.00034294-0.00034043i,0.0002257-0.00042617i,0.00079426+0.00063653i,0.0012369+0.0016066i,0.0014124+0.00089202i,0.0020172-0.00030187i,0.002607-0.00012167i,0.0017007-4.2802e-05i,0.0012659-5.4639e-05i,0.00094365+0.00052652i,0.00056645+0.00057809i,0.00033287+0.00072328i,0.00031465+0.00092875i,7.6073e-05+0.00072475i,-0.00059372+0.00062847i,-0.0010015+0.00059108i,-0.00016895+0.00082612i,0.0003331+0.00046858i,0.00051009-0.00018106i,0.0003121-0.00040294i,-0.00067678+0.00014758i,-0.0011099+0.0010511i,-0.00058012+3.2016e-05i
0.00011336+0.00072545i,-6.063e-06+0.00057522i,0.0013743+0.00082152i,0.0032128+0.0015372i,0.0034178+0.00064401i,0.001991-0.0003707i,0.00098623-0.00058631i,0.0011972-0.0010578i,0.00092939-0.0016835i,0.0010138-0.0011099i,0.0016621-0.00025883i,0.0017713+0.00050608i,0.0012335+0.00093306i,0.00058507+0.0005568i,-0.00058695+0.00090917i,-0.00046618+0.0011334i,0.00014469+0.0005122i,-0.00015715+0.00070164i,-0.00066513+0.00041672i,-0.00037304-0.00047683i,0.00095123+0.00041565i,0.00099995+0.0011819i,0.00036411+0.0010073i
-0.00068369-0.00031223i,-0.00079671-0.00045075i,0.00017498+0.00063608i,0.0013091+0.0011105i,0.0011914+0.0010937i,0.001162+0.00099251i,0.00070108-0.00071663i,0.00081262-0.0028534i,0.00075537-0.0039159i,1.2708e-05-0.0033224i,-0.00010047-0.0018846i,-0.00015987-0.0007919i,-0.00049514-0.0003827i,-0.00048951+0.0006132i,-7.7374e-05+0.0017962i,-0.00014431+0.0016518i,-6.236e-05+0.0008646i,-0.00025102+6.8126e-05i,-0.00055759-0.00070902i,0.00029738-0.00068925i,0.00087187-0.00044244i,0.00080016-0.0012535i,0.00020898-0.0015923i
0.0011272+0.00059211i,0.00046734-0.00087388i,0.00063196-0.0014007i,0.0014813-0.0013208i,0.0016179-0.00041658i,0.00077847+0.00060853i,9.147e-05+9.8147e-05i,-0.00050681-0.0018347i,-0.00061586-0.0028551i,-0.0012881-0.0020371i,-0.0016932-0.001624i,-0.0010335-0.00068353i,-0.00064456+0.00078585i,-0.00067339+0.00092547i,-0.0001546+0.0004496i,0.0005316+0.00012928i,0.0005404+0.00056237i,-0.00057085+0.00019747i,-0.0014719-0.00060108i,-0.0011019-0.00072231i,4.3913e-05-0.00083763i,0.00022684-0.00059798i,0.00026373-0.00013865i
0.0019367-0.00020996i,0.0021169-0.00060371i,0.0029727-0.001993i,0.0023151-0.0023045i,0.001026-0.0015051i,0.00060275+9.8271e-05i,0.00065446+0.00024691i,7.0588e-05-0.0011921i,-0.0011725-0.0023975i,-0.0018827-0.0023499i,-0.0023232-0.00082606i,-0.0017788+0.00046376i,-0.0002752+0.0010221i,0.0005138+0.0019249i,0.00018062+0.0021051i,-7.139e-05+0.00085572i,3.2454e-05+0.00068852i,-0.00020575+0.0011837i,-0.00010957+0.00036429i,-0.00016653+6.7139e-05i,-0.00069418-8.2511e-05i,-0.0012546-0.00049192i,-0.00070986-0.00028545i
0.00073851-7.3535e-05i,0.00022822-0.00048628i,-0.00064638-0.0011572i,7.1681e-05-0.00097007i,0.0012523-0.00016475i,0.0022316+0.00033924i,0.0025639+0.00012203i,0.00099304-0.0014013i,-0.00085649-0.0019499i,-0.001523-0.0010254i,-0.0011695-8.8355e-05i,-0.00091086+0.00056641i,-0.002146+0.00035577i,-0.0021611+0.00015964i,-0.0011611+0.00052704i,-0.00041031+0.00055463i,0.00040518+0.0010587i,0.00087195+0.0017073i,0.00029508+0.0016237i,-0.00034188+0.00072665i,-0.0005028-3.2921e-05i,-0.00038395-0.00011357i,-0.0010489-0.00050477i
0.001869-0.0013956i,0.00023937-0.00095683i,-0.0004737-0.00090196i,5.8899e-05-0.0012433i,0.0014645-0.0011016i,0.0018274+0.00029635i,0.0014923+0.00080777i,0.00096243+0.00074038i,-0.00031697+0.00072828i,-0.00080423+0.00050338i,-0.00030062+0.00071694i,0.00020216+0.0011759i,0.00034817+0.0017192i,0.00047368+0.0015435i,0.00011652+0.00132i,-0.00015665+0.001356i,0.00028029+0.00062744i,0.00085977-0.00024977i,0.00047889-0.00094881i,3.862e-05-0.00056223i,-0.00038683+8.6308e-05i,-0.00065418-0.0002833i,-0.00069249-0.000497i
