0.00033398+0.00021691i,0.0010652+0.00045578i,0.00089494+0.0009559i,0.00011398-0.00014329i,-0.00098375-0.00017382i,-0.00086553+0.0011317i,-0.00014546+0.0012126i,0.001042+0.0015598i,0.0016893+0.0013927i,0.0015599+0.00062785i,0.0017391+0.00038485i,0.0011038+0.00011352i,-0.0001042-5.4705e-05i,-0.00068322-0.00030311i,-0.0006528-0.00057051i,-0.00052706-0.0002091i,-0.00078001+0.00039788i,-0.00065082+0.00072472i,1.395e-05+0.00080472i,6.5743e-05+0.00054941i,-0.00054019+0.00018139i,-0.00079314-0.00041488i,-0.00071886-0.00038637i
0.00061883-0.00091493i,-0.00070634-0.00075148i,-0.00063195-0.0021005i,0.00019745-0.0034192i,-4.2346e-05-0.0031555i,-0.00066801-0.0011218i,-0.00057159+0.0013623i,-0.00035743+0.0017553i,-0.00032307+0.00033113i,0.0005664-7.2824e-05i,0.00078037+0.00075757i,6.2869e-05+0.00082161i,-0.00031733-3.9126e-05i,0.00023232-0.00012255i,0.001144-0.0002681i,0.0010973-0.0010146i,0.0009987+0.00025828i,0.00086219+0.0018111i,0.00039756+0.0013017i,0.00034996+0.00074368i,0.00031951+0.00095515i,-0.00014166+0.00074083i,-0.00062367+0.00021978i
0.00039701-0.0020477i,0.00018676-0.00070826i,-0.0010037-0.0013587i,7.0227e-05-0.0021566i,0.00090199-0.0022056i,5.4779e-05-0.0022283i,6.5559e-05-0.00085638i,0.00014317+0.0006825i,-0.00020186-9.1008e-06i,-0.0004093-0.00035677i,-0.00046133-0.00036797i,0.00032293-0.00073197i,0.00031268-0.0010078i,0.00018803-0.001518i,0.0004879-0.0015796i,-0.00035643-0.0015712i,-0.00025138-0.0010904i,0.00070816-1.4655e-05i,0.00088148+0.00087131i,0.000638+0.00048426i,-0.00066486-0.00025354i,-0.0010364-0.00063063i,-0.00053702-0.0012526i
-0.00053053+0.00092802i,0.00035363+0.00055729i,0.00092222-0.0009074i,0.00058119-0.001707i,-0.00018423-0.00196i,-0.00091075-0.0012117i,-0.00038669-0.00080174i,0.00019923-0.0013272i,-0.00010549-0.00060115i,-0.00066507+9.8191e-05i,-0.00047724+0.00038386i,0.00039466+0.00035823i,0.00051233+3.9335e-05i,-0.00018369+0.00046506i,-0.00077077+0.00079315i,-0.0013312+0.00096468i,-0.0020833+0.00072136i,-0.0017294+0.00024999i,-0.0011295+5.5171e-05i,-0.00041124-7.3169e-05i,-0.00028841-0.00016705i,-0.00078166-0.00048826i,-0.0011415-0.0010456i
0.0016726-0.00087915i,0.00066646-0.0018741i,0.00046973-0.0022177i,0.0014665-0.0025817i,0.0013277-0.0027921i,-0.00046961-0.0025906i,-0.0011926-0.0021071i,-0.00089324-0.0013065i,-0.00092733+0.0003458i,-0.0015936+0.0011742i,-0.0017507+0.0014468i,-0.001034+0.0013329i,-0.00045975+0.00034281i,0.00023103+0.00046838i,0.00024239+0.00096177i,-9.9759e-05+0.0012429i,-5.4081e-05+0.0010668i,-0.00063431+0.00022859i,-0.00052558-8.5321e-05i,0.00019917+0.00043595i,0.00024895+0.0010764i,8.7965e-05+0.00056002i,-6.8648e-06-6.0401e-05i
0.0009045-0.00074856i,0.0010113-0.0010001i,0.0017415-0.0017186i,0.0019989-0.0017638i,0.0017801-0.0012206i,0.0015514-0.00041146i,0.00051391-0.00019643i,-0.00069533-0.00040138i,-0.00072422+0.00017758i,-0.0010677+0.0011578i,-0.00076883+0.0012916i,-0.0002786+0.0011574i,-0.00023931+0.000975i,0.0004508+0.0013135i,0.00091937+0.0020973i,0.001261+0.0018347i,0.0009192+0.0015095i,6.428e-05+0.001i,-0.00035796+0.00091414i,-0.00069481+0.00062788i,-0.00073535-7.6839e-05i,-0.001032+0.00030231i,-0.00089232+0.00086535i
0.00052873+0.001106i,0.0021227-0.00053328i,0.0033896-0.001274i,0.0031473-0.0028085i,0.0024171-0.0042238i,0.00059096-0.0036324i,-0.0010613-0.001728i,-0.0014504-0.00023711i,-0.00027193+0.00063297i,0.00060577+0.0010179i,0.00029486+0.0011123i,0.00030839+0.0011656i,-7.073e-05+0.00081795i,4.6101e-05+0.00037825i,0.00062049+0.00062668i,0.00027685+0.0011343i,-0.00039421+0.0013197i,-0.00072803+0.0012129i,-0.00010497+0.00096262i,0.00071334+0.00038988i,0.00032095+7.3039e-05i,-0.00036032+3.8611e-05i,0.00027786-0.00012556i
-0.00040777+0.00085644i,-0.00033549+0.0014856i,0.00060423+0.0017704i,0.0018839+0.00022028i,0.0020511-0.00056523i,0.0014124-0.00057236i,0.0006276-0.00011857i,-0.00024751+0.00072535i,-0.00014823+7.0793e-07i,0.00066689-5.5604e-05i,0.0010908+0.00090366i,0.0010814+0.000404i,0.00095591+7.6474e-05i,0.00037437-1.9292e-05i,7.7824e-05+0.00040896i,-0.00058244+0.00027366i,-0.0010498-0.00036567i,7.1785e-05-5.857e-05i,0.0011763-0.0001433i,0.001339-0.00024325i,0.00094394+0.000433i,7.6608e-05+0.00082575i,-0.00039177+0.00065075i
0.0012423-7.06e-05i,0.0014632-0.0011998i,0.001567-0.0021736i,0.0018608-0.0031424i,0.0010906-0.0032534i,-0.00082575-0.0020637i,-0.0016165-0.00063287i,-0.0021474+0.00089115i,-0.0019592+0.00059897i,-0.00089176-0.0004188i,4.0892e-05-0.00098501i,0.0010971-0.00099381i,0.0015806-0.0007139i,0.001427-0.00076151i,0.00052682-0.00021146i,-0.0010892+0.00041143i,-0.0019055+0.00021579i,-0.001113+0.00065279i,0.00022033+0.00085237i,0.0011265+9.1306e-05i,0.0012627-3.0245e-05i,0.00071796+0.00088381i,0.00032791+0.00091804i
-0.00071091+0.0017215i,-0.00032788+0.0014004i,0.0013671+0.00086343i,0.002607-2.6919e-05i,0.0024085-0.00040645i,0.0013144-0.00047176i,0.00055072-0.00034066i,0.00023779-0.00038448i,-0.00065598+0.0001728i,-0.0016076+0.0007811i,-0.0010479-0.00022097i,0.00028041-0.00076556i,0.000927-0.00041716i,0.0010417+0.00012502i,0.0010901+0.00097804i,0.00032323+0.00125i,-0.0002313+0.00078882i,0.00031575+0.00067119i,-1.4311e-05+0.00068092i,-0.00099813+0.0002651i,-0.00047018+0.00018357i,0.00018991-7.1285e-05i,0.00098467-0.00017645i
0.0020983+0.00054685i,0.002416-0.0011888i,0.0032886-0.0028406i,0.0030648-0.0037698i,0.0021735-0.004208i,0.0013142-0.0029529i,5.7558e-05-0.0020683i,-0.00049213-0.0012694i,0.00021997+0.00074937i,-0.00067903+0.0011341i,-0.0017075+0.00070126i,-0.0010489+0.00059593i,-0.00042814+0.00043582i,-0.00010761+0.00031825i,-0.00036449+0.00029394i,0.0004508+0.00092984i,0.0013296+0.00073042i,0.0011277+0.00024016i,0.00056627-1.8769e-05i,0.00060781+0.00021535i,0.00069254+0.00039403i,0.00090407-0.00051042i,0.00056077-0.0012314i
0.00098664-0.00053925i,0.0017477+0.00099357i,0.0015198+0.00051451i,0.0022119-0.0014378i,0.0022678-0.0020068i,0.0012853-0.0026875i,0.00010039-0.0024878i,-0.0009105-0.00094338i,-0.00019535+2.5368e-05i,-0.00011783+0.00043902i,-0.00043919+0.0009101i,-0.00029397+0.00094454i,-0.00051734+0.00026807i,-0.00037659-0.00031221i,0.00040594-0.00062397i,0.00071975-0.00084999i,0.00015007-0.0003399i,0.00028518+0.00040985i,0.00075019+0.00071293i,0.00064183+0.0010289i,-0.00012914+0.00066086i,-0.00098511-0.00048788i,-0.00096784-0.00051157i
-0.00082214+0.00084232i,-0.00058947+0.001441i,0.00053909+0.00070537i,0.0010423-0.00041011i,0.00020412-0.0012236i,-0.00098681-0.00043105i,-0.0013204+3.3271e-05i,-0.0013129-0.00067723i,-0.00060915+1.0261e-05i,-0.00042774+0.0010943i,-0.00094129+0.00089948i,-0.00096588+0.000308i,-0.00053702+0.00016792i,-0.00075206+0.00013721i,-0.00036306-0.00073008i,0.00035818-0.0012993i,-0.00015731-0.00084762i,-0.00020653-0.00058015i,3.2197e-05-0.00072723i,0.0010312-0.00047361i,0.00087771+0.00014907i,-0.0011194+0.00091446i,-0.0015412+0.0012619i
-0.0025825+0.0013037i,-0.00074087+0.0032337i,0.00096269+0.0034416i,0.0017217+0.0010608i,0.0013969-6.443e-05i,0.0014809-0.00018677i,0.00055677-0.0010895i,-0.00077329-0.0010373i,-0.0011667-0.00075795i,-0.00083887-0.00067302i,0.0001912-0.00014146i,0.0012607-0.00020956i,0.0012814+0.00035523i,-0.00036233+0.0011085i,-0.001339+0.00033657i,-0.0014799+0.00018026i,-0.0016967+0.00063941i,-0.0013628+0.00057577i,-0.00069824-0.00019214i,-0.00018374-0.0001931i,-5.5137e-05+0.0002211i,0.00055182+0.00012618i,0.00079871+0.00032566i
-0.0019458+0.0005148i,-0.0010893+0.00066309i,0.0021006+0.0010442i,0.0030179+0.00073843i,0.001707-5.6294e-05i,0.00057944-0.00031937i,0.00011266-0.00032236i,-0.0008281+6.6935e-05i,-0.0012899+3.9677e-05i,4.8578e-05+0.00016211i,0.00047668+0.00051918i,0.00046418-0.00032246i,0.0015728-0.00072029i,0.0015494+0.0003628i,0.00041979+0.0013277i,-0.00049877+0.0017039i,-0.0012782+0.001282i,-0.00038103+0.00040352i,0.0014457+0.00049303i,0.0016116+0.00061214i,0.0010733+2.8614e-05i,0.0006638-0.00037379i,-0.00025127-5.5508e-05i
0.0012461+0.0021035i,0.0016954+0.0019214i,0.002508+0.0010096i,0.0025883-0.00060136i,0.0021372-0.0022956i,0.0011034-0.0019581i,-0.0006907-0.00051069i,-0.0013763-0.00017063i,-0.00081834-0.00025596i,-0.00061973+0.0002582i,-2.4935e-05+0.00031178i,0.00045091-0.00056782i,0.00073383-0.0012679i,0.00097848-0.00086184i,0.00077062+0.00079922i,0.0010336+0.0018766i,0.00097077+0.0019626i,0.00043692+0.0017739i,-0.00026279+0.00096138i,-0.0008881+0.00043775i,-0.00078891+0.00064964i,-0.00011891+0.00018232i,0.00025755-0.00057899i
-0.0012575-0.00089661i,-0.0012529-0.00085272i,-0.00046462-0.00093561i,0.0015138-0.00081924i,0.0020222-0.00089235i,0.00076811-0.0019171i,-0.00072953-0.0013061i,-0.0013249+0.00062886i,-0.0011864+0.0017121i,-0.0014854+0.0013798i,-0.0019375+0.0010996i,-0.002195+0.0009737i,-0.0015845-0.00033618i,-0.00017424-0.0012427i,0.0011079-0.0011202i,0.0012913-0.00022162i,0.00032064+0.00011973i,-0.00037607+0.00028108i,-3.1133e-05+0.00018979i,0.0001091-0.00054161i,-0.00059173-0.00090589i,-0.00090596-0.00040346i,-0.00020238+0.00042299i
0.00081666+0.001009i,0.0023757+0.00094923i,0.0024466+0.00055624i,0.0020769+2.53e-05i,0.0017824-0.00085328i,0.0010783-0.0019i,-0.00031832-0.001057i,-0.0018942+0.00050542i,-0.0014726+0.00090144i,0.00018324+0.00092657i,0.00010465+0.0013344i,-0.0007256+0.0015723i,-0.001269+0.0010471i,-0.0014439-0.00054109i,-0.00079523-0.001424i,-0.00034689-0.00060073i,-0.00035223-0.00054481i,-0.000466-0.0011679i,-0.001079-0.00072874i,-0.00088708+8.9373e-05i,0.0006378+0.00031983i,0.0010145+8.7475e-05i,-3.1467e-05+0.00054208i
-0.00058929-0.00063592i,-0.0004807+0.00037056i,0.00019819-0.0005568i,-5.4821e-05-0.0015091i,-0.00061646-0.00075141i,0.00015369+0.00042819i,0.00089043+0.00060188i,0.00047331+0.00036805i,0.00028345+0.00039764i,0.0010715+0.0010043i,0.0012245+0.0015358i,0.0013385+0.0022522i,0.00078195+0.0019313i,-0.00064865+0.0011812i,-0.00071374+0.00056714i,2.0926e-05-0.00024604i,0.000428-0.0003592i,0.00044929+0.00013747i,3.4928e-06+0.00061034i,-0.00029436+0.00065876i,0.00058692+0.00022505i,0.0009298+0.00032809i,6.2507e-05+0.00095509i
0.00057926-0.00092527i,0.0020261-0.0012415i,0.0023139-0.0016236i,0.0015359-0.0017314i,0.0010222-0.0025977i,-0.00012586-0.0026248i,-0.00042163-0.00097853i,-6.7367e-05+8.1613e-05i,-0.00016436-4.2089e-05i,0.00047675+0.00012185i,0.00095746+0.0007405i,0.00051628+0.0009177i,0.00048295+0.0010321i,0.00023517+0.0013574i,-0.00073081+0.0015486i,-0.0013689+0.0016637i,-0.00086293+0.0013571i,0.00056047+0.001416i,0.00097763+0.0018781i,0.00086407+0.00063681i,0.00085549+9.9946e-05i,-0.00035248+0.00052076i,-0.00025773+0.00098909i
5.4073e-05+0.0020196i,0.00099529+0.0021142i,0.0024001+0.0010837i,0.0030227+9.9289e-05i,0.0027491-0.0012366i,0.0018283-0.0022318i,0.00099137-0.001981i,0.0008578-0.00089873i,0.00093491-0.00022701i,5.7826e-05-0.00054943i,-2.338e-05-0.0012651i,0.001334-0.0017372i,0.0017269-0.00063286i,0.0018211+0.0014016i,0.0013902+0.0023215i,4.7272e-05+0.00192i,0.00017543+0.0018087i,0.0011802+0.0017389i,0.00080923+0.0013461i,0.00056238+0.00053649i,0.00057681-8.9784e-06i,0.00061456-0.00033595i,0.00073714-0.00036574i
-0.0013431+0.0003089i,-0.0013966+0.00011924i,0.00032368+0.00031013i,0.0023664-0.00049619i,0.0020656-0.0018565i,0.00010005-0.0022346i,-0.0019012-0.0021316i,-0.0015578-0.0014995i,-0.00086691-0.00037631i,-0.00080131-0.0001862i,-0.00037561-0.001127i,-0.00018669-0.0018439i,0.00031311-0.0016684i,0.0013277-0.00040698i,0.0024677-4.9585e-06i,0.0017347+0.00021501i,0.00034717+0.00068151i,0.00032547-8.3515e-05i,0.00099397-0.00083322i,0.0011446-0.00089411i,0.00030261-0.00088036i,8.2992e-06-0.00030011i,0.00020971-0.00026729i
0.0010508-0.0012822i,0.0016123-0.0018845i,0.0028697-0.0023485i,0.0026707-0.0021876i,0.0011935-0.0024608i,-0.00051945-0.001718i,-0.0023784-0.00098515i,-0.0029645-0.0015921i,-0.0024815-0.0014989i,-0.0020091-0.00078526i,-0.0022148-4.9384e-05i,-0.002163+6.3051e-05i,-0.00086834-0.00066648i,0.0004267-0.0019417i,0.0011815-0.0020314i,0.000931-0.00119i,8.9612e-05-0.0012418i,0.0004347-0.00080334i,0.0012714+3.4748e-05i,0.00067876-0.00058271i,-1.9939e-05-0.00096005i,7.4321e-06-0.00022559i,-0.00029153+0.00014836i
0.0013085-0.00071971i,0.0016649-0.0012332i,0.0016449-0.0024548i,0.00096728-0.0023235i,0.00065491-0.0015295i,0.00057161+0.00024573i,-0.00086169+0.0016752i,-0.0021451+0.0012795i,-0.0023041+0.00033285i,-0.0019094+0.0010664i,-0.0014478+0.0019728i,-0.0010846+0.0010159i,-0.0014987-0.00010574i,-0.0018535-0.0012091i,-0.0017267-0.0017155i,-0.0014651-0.0013435i,-0.0013805+0.00022872i,-0.001854+0.00025548i,-0.0014852-0.00022341i,-0.00032567+0.00012439i,0.00039144+0.00069026i,0.0009126+0.0005736i,0.00060921+0.00075851i
0.0019714+0.0021263i,0.0029695+0.00086169i,0.0042445-0.00085285i,0.0041965-0.0031844i,0.0028618-0.0045707i,0.00012201-0.0032738i,-0.0017112+0.00015711i,-0.0020041+0.0032107i,-0.0021208+0.0041617i,-0.0017732+0.0031133i,-0.00047429+0.0022546i,0.00037063+0.0020662i,-0.00060987+0.0016356i,-0.0016965+0.0013632i,-0.0021814+0.0010241i,-0.0029168+0.00074417i,-0.0026796+0.001272i,-0.0015338+0.0024842i,-0.00076035+0.002464i,0.00039178+0.0014898i,0.00060179+0.0010621i,0.00056666+0.00050136i,0.00065769-0.00038323i
-0.00067272+0.0026074i,0.0025278+0.0014404i,0.0047378-0.0007079i,0.0043304-0.0022445i,0.0039932-0.0028771i,0.0027042-0.0028167i,0.00092692-0.00018104i,0.00026963+0.0027178i,-0.00019463+0.0030196i,-0.00011457+0.0025i,0.00089537+0.0023196i,0.001531+0.0022263i,0.00076529+0.001662i,-0.00062407+0.0013753i,-0.0015513+0.0019745i,-0.0009381+0.002978i,0.00022164+0.0030773i,0.0012511+0.0018781i,0.0022454+0.0015857i,0.0019675+0.001507i,0.00072014+0.00091151i,-0.00010373+0.00026695i,9.9896e-05+4.5377e-05i
0.00036654-0.0019985i,0.00079614-0.0025379i,0.0011711-0.0021341i,0.0016796-0.0018323i,0.00070899-0.0022279i,-0.00033114-0.00198i,0.0012608-0.00091601i,0.0029677-0.00027393i,0.002436+0.00083514i,0.0013144+0.00099875i,0.0009202+0.00050808i,0.0011466+7.8114e-05i,0.0021752+0.00030493i,0.0029519+0.0013016i,0.0020677+0.0023216i,0.0010014+0.002007i,0.0008392+0.0013059i,0.00063993+0.001046i,0.00067094+0.00083452i,0.0004975+0.00023282i,0.00024124-0.00047792i,3.2758e-05-0.00015874i,0.00012127+0.00067262i
0.00015942-2.8485e-05i,-0.00014889-0.00069796i,0.00070287-0.0011157i,0.0011199-0.0018158i,0.00057934-0.0028484i,-0.0002534-0.002981i,-0.00037119-0.0031648i,0.00086608-0.0031387i,0.0022112-0.0020005i,0.0013199-0.0013384i,-2.0191e-05-0.0018544i,-0.00016755-0.002434i,0.00099652-0.0021411i,0.0026644-0.0020756i,0.0031102-0.0017517i,0.0027955-0.0010659i,0.001923-0.00085195i,0.00022423+0.00042403i,-0.0008374+0.0011117i,-9.9241e-05+6.3829e-05i,0.00048607-7.1557e-05i,-0.00011759-0.00044828i,-0.00052305-0.0004455i
0.0001246+0.002053i,0.001896+0.0011123i,0.0042458-0.00014144i,0.0047187-0.00092818i,0.0031944-0.0017052i,0.00062434-0.003195i,-0.00074814-0.0043866i,-0.0017388-0.0052976i,-0.0024547-0.0043671i,-0.0021113-0.0026209i,-0.0020271-0.0021427i,-0.0019392-0.0010954i,-0.0011708-0.00075262i,-0.00058131-0.0018161i,-0.00047739-0.0020035i,-0.00044875-0.001812i,-0.00094668-0.0017296i,-0.00045039-0.0013474i,0.00037773-0.0011586i,-0.00025068-0.00082452i,-0.00037862-0.00043719i,-0.00010961-0.00014004i,-0.00015176-0.00022359i
-0.00065416-0.00035561i,0.00044044-0.00047457i,0.00021829-0.0012792i,0.00031846-0.0019378i,-2.5758e-05-0.0027948i,-0.001616-0.0020036i,-0.0034879-0.0002066i,-0.0049754+0.00020565i,-0.0044496-0.00063211i,-0.0029069-0.00052267i,-0.001999+0.00071509i,-0.0018425+0.0011308i,-0.0023229+0.00018738i,-0.0024139+0.00027911i,-0.0020276+0.0005488i,-0.0016287+0.00049908i,-0.001792+0.00078851i,-0.0013394+0.00065543i,-0.00016728+0.0010868i,0.0001829+0.0012072i,-0.0003474+0.001006i,-0.0012155+0.00015218i,-0.0010305-0.00061738i
-0.0011037-0.001631i,-0.00090739-0.00092643i,-6.8005e-05-0.00054742i,0.0013266-0.00091115i,0.0018293-0.00056983i,0.0011141+0.0012446i,-0.00054713+0.0023542i,-0.0031739+0.0022136i,-0.0044527+0.0023105i,-0.0034588+0.0033623i,-0.0018159+0.0031658i,-0.00088172+0.0027585i,-0.00055583+0.0025844i,-0.0012909+0.003084i,-0.0018892+0.00346i,-0.0013271+0.0020972i,-0.0010376+0.0019514i,-0.0005351+0.0021764i,0.00043634+0.0011631i,0.00060928+0.00017258i,0.00028301+0.00026162i,-0.00055986+0.00081841i,-0.0010082+0.00050561i
-0.00079487-0.0028779i,-2.9414e-05-0.001614i,-0.00064882-0.00080982i,-0.00091215-0.00018974i,-3.2858e-05+0.00059918i,0.001871+0.0012395i,0.0021092+0.0028514i,0.00084806+0.0038878i,-0.00043396+0.0034908i,-0.00036624+0.0031467i,0.00084336+0.0025141i,0.0018987+0.0020084i,0.0019598+0.0017293i,0.0014729+0.00088222i,0.00075678+0.0013291i,0.00015559+0.0014337i,0.00016859+0.0012599i,0.00016407+0.0014541i,0.00040308+0.00072497i,0.00045154+0.00036446i,-0.00015357+0.00023192i,-0.00011241-4.3644e-05i,0.00041253+0.00066445i
5.7234e-05-0.00053906i,9.7667e-05-0.00087842i,0.00042556-0.0010571i,0.0014144-0.0011912i,0.0012726-0.0013585i,0.00080662-0.0010731i,0.0017186-0.0010259i,0.0027338-1.412e-05i,0.0027357+0.00091227i,0.0020463+0.00065867i,0.0019138+0.00012696i,0.0024135-0.00012218i,0.0024719+0.00021094i,0.0023628+0.0001486i,0.0020374+3.4307e-05i,0.001804+0.0001413i,0.0014721+0.00017289i,0.0015093+7.0011e-05i,0.0016786+0.00010078i,0.00095277+5.6009e-05i,0.00029249+6.5995e-05i,0.00019682+5.3496e-05i,0.00031172+0.00012162i
0.0018119-0.00034717i,0.0019754-0.00029817i,0.0027583-0.0015132i,0.0020941-0.0016606i,0.00014748-0.0017581i,0.00010663-0.0025522i,0.0013682-0.0037068i,0.0016375-0.0037403i,0.0010952-0.0027462i,0.00028365-0.0020757i,8.0642e-05-0.00094044i,-8.2671e-05-0.00093748i,0.00030206-0.0012152i,0.00093341-0.00068923i,0.00082714-0.00084637i,0.00055559-0.00089697i,0.00093111-0.00032807i,0.00082513-0.00030019i,0.00022542-0.0007015i,0.00047924-0.00070912i,0.00064703-0.00049685i,3.7737e-05-0.00026398i,-0.0004246+2.9198e-06i
-0.0020599+0.00025742i,-0.0012525+0.0012502i,-0.00036119+0.0026393i,0.00040922+0.0019212i,0.00080295-2.3229e-05i,-0.00028287-0.00115i,-0.0016934-0.0024921i,-0.0019552-0.0040202i,-0.0011379-0.0044164i,-0.00080489-0.0033549i,-0.0009893-0.001843i,-0.00056383-0.0015835i,-5.8037e-05-0.0020629i,-0.00059414-0.0020819i,-0.0020805-0.0016101i,-0.0014942-0.00027182i,-0.00051688+0.00065255i,-0.0012797+0.00038902i,-0.0015436+0.00051616i,-0.0011146+0.00010427i,-0.00049203-0.0008965i,0.00032008-0.00069266i,0.00064028-7.0769e-05i
-0.0025465+0.00012219i,-0.0016914+0.00055547i,-0.00074485+0.0016596i,0.0010096+0.0010788i,0.0023329+0.00055407i,0.0010227+7.8502e-05i,-0.0018473-0.00046497i,-0.0050286-0.00093151i,-0.0058356-0.00011546i,-0.003735+0.0016019i,-0.0013609+0.0014287i,-0.0010534+0.00050619i,-0.0015844+0.00035696i,-0.0017207+0.00019498i,-0.0013975+0.00031859i,-0.0010147+0.00033399i,-0.0014571-0.00029961i,-0.0016784+0.00037774i,-0.0014099+0.00071602i,-0.0011769+0.00070043i,-0.00049769+0.001085i,-0.00033865+0.00099709i,-0.00080247+0.0006908i
0.00063644+0.000762i,-0.00014836+0.0010607i,0.0010612-0.00068283i,0.0026947-0.0023154i,0.0023249-0.0026373i,0.00038033-0.0011519i,-0.0019535+0.0015816i,-0.0035877+0.0035783i,-0.003452+0.0036917i,-0.0019058+0.0025828i,-0.0013263+0.0019351i,-0.0010731+0.0020318i,-0.00097198+0.001749i,-0.0012904+0.0020436i,-0.00093655+0.0021142i,-0.00024128+0.0017145i,0.00010392+0.0019574i,0.00046406+0.0020947i,0.00095427+0.0022246i,0.00075408+0.0019546i,-0.00017569+0.00066953i,-0.00037927+7.2897e-05i,-7.8036e-05+0.000153i
0.00090372-5.7719e-05i,0.00101-0.00021321i,0.0017018+0.00030275i,0.0026338-0.00041991i,0.002551-0.0011424i,0.0020789-0.00048598i,0.0015718+0.0009167i,0.0011554+0.0031199i,0.00076103+0.0037905i,0.00065451+0.0031131i,0.00099496+0.0021778i,0.0013392+0.00067498i,0.0018796+0.0002486i,0.0016857+0.00045868i,0.00091707+0.00019105i,0.0003144+0.0005385i,0.00013057+0.0013908i,0.00093809+0.0013458i,0.001662+0.00082445i,0.0014581+0.00040577i,0.0005549+0.00077474i,-0.00038196+0.0010046i,-0.0001698+0.0010317i
-0.0012137+0.00067998i,-0.00019581+0.0011817i,0.00076505+0.00079229i,0.00099957-0.0010953i,0.00083513-0.0030537i,0.0021579-0.0026933i,0.0034871-0.0010574i,0.0029402+0.00020917i,0.0015677+0.00067461i,0.00073968+0.00035227i,0.0011203+6.084e-06i,0.0017115-0.00060693i,0.0018262-0.0015612i,0.0016731-0.0013287i,0.0012069+0.00023683i,0.0007692+0.00060803i,0.00063494+0.0011596i,0.0011399+0.00042398i,0.0010488-0.0011185i,0.00012701-0.00078503i,-0.00042482+0.00059008i,-0.00079967+0.0012218i,-0.0006284+0.00059421i
0.00092155+0.0021365i,0.0038598+0.0010755i,0.0063845+0.00011331i,0.0060048-0.0011565i,0.004575-0.0033299i,0.0026987-0.0052707i,0.0015111-0.0058914i,0.0013785-0.0054046i,0.00063531-0.0038735i,-0.00084823-0.0018176i,-0.00090543-0.00074223i,0.00023527-0.0010544i,0.00056719-0.0015658i,-0.00030605-0.0011712i,-0.001046-0.0004164i,-0.00033534-0.00015799i,-4.018e-05-0.00014307i,4.6032e-05-0.00043404i,6.2471e-05-0.00097129i,-0.00033805-0.00085956i,-0.0001581-0.00027017i,0.00026794+0.00035961i,-0.0001401+0.00080688i
-0.00098363+0.0013002i,0.0003762+0.00089037i,0.0014795-0.0006205i,0.0011797-0.0013004i,-0.00013602-0.00071071i,-0.0025725-0.0013944i,-0.0043078-0.0031802i,-0.0046398-0.0037855i,-0.0042649-0.0020552i,-0.0036076-0.00060194i,-0.0020041-0.00086719i,-0.00058713-0.00094119i,-0.00060527-0.0012319i,-0.0012202-0.00055338i,-0.0012341+0.0012551i,-0.00061648+0.0020319i,-0.00021633+0.0011979i,-0.00042547+0.00075i,-0.00094597+0.00095744i,-0.00077312+0.0010283i,-0.00025672+0.00071806i,-0.00016458-0.00037869i,7.7904e-05-0.00072107i
-0.00011703-0.00043358i,0.00044494-0.00020801i,0.0017859-0.00012636i,0.0023965+0.00036606i,0.00088704+0.0002037i,-0.0020395+0.00012721i,-0.0050263+0.00060288i,-0.0060707+0.0010482i,-0.0045853+0.0020971i,-0.0027052+0.0023711i,-0.0021124+0.0017737i,-0.0020874+0.0015788i,-0.0023099+0.0015756i,-0.0014483+0.0016846i,-0.00024637+0.0016141i,0.001084+0.0012893i,0.0010567+0.0009231i,-0.00010454+0.0012292i,0.00020288+0.0018701i,0.0002405+0.0013097i,6.8886e-05+0.00013098i,1.0637e-05-0.00037914i,-0.00070842-0.0001312i
-0.0024144+0.0010534i,-0.00086113+0.0011444i,0.0011514+0.0011636i,0.0040433-0.00033268i,0.0057018-0.0014767i,0.0031466+0.00035409i,-0.00090389+0.0027764i,-0.0029123+0.0041942i,-0.0025371+0.0047603i,-0.0012729+0.003524i,-0.00033307+0.0015948i,-0.00049028+0.0012727i,-0.00078325+0.0020373i,-2.2967e-05+0.0018132i,0.00082391+0.00092061i,0.00042478+0.00077606i,-0.00020094+0.0010272i,0.00072485+0.0008476i,0.0021854+0.00025762i,0.0021824-0.00036767i,0.00097926-0.00052374i,0.00013136-0.00020704i,9.3614e-05+3.1909e-05i
-0.0015513+0.00042901i,-0.0012557+0.0014482i,-0.00026498+0.0015569i,0.0019083+2.5825e-05i,0.003638-0.0016018i,0.0041933-0.0014697i,0.0038534+0.0013669i,0.0033414+0.0040399i,0.0019561+0.0035989i,0.00035487+0.0019734i,0.00039882+0.0013207i,0.0013365+0.0020448i,0.0019601+0.0021976i,0.002086+0.00116i,0.0012109-0.00036117i,6.5272e-05-0.00077975i,3.0904e-05-6.0302e-05i,0.00045825+0.00022962i,0.00087003-0.00058502i,0.00075981-0.0006187i,-0.00032688+0.00057208i,-0.00068309+0.0012427i,-1.7645e-05+0.00072206i
