-0.0027187+0.0021444i,-0.0025669+0.0011315i,-0.0025505+0.00093864i,-0.0010177+0.0014895i,0.00015957+0.0027646i,-0.00020078+0.0034191i,0.00024951+0.0027037i,0.0009403+0.0015105i,0.00045875+0.00063112i,1.149e-05+1.6263e-05i,1.0463e-05-0.00073867i,-0.00054029-0.00082098i,-0.00037875-0.00085564i,0.00025908-0.0014293i,0.00011404-0.0010703i,-0.00010391+3.3244e-05i,-0.00066324+0.00050774i,-0.00079854+0.00063957i,-0.00072487+0.00034834i,-0.00060638+7.2874e-06i,0.00010227+0.00027383i,0.00048142+0.00053412i,0.00026761+0.00042879i
-0.0012787-0.00034154i,-0.00089064+0.00061978i,-0.0012712+0.0009694i,-0.00062991+0.0017104i,-0.00031893+0.0030041i,0.00026362+0.0027014i,0.0010044+0.00165i,0.00057952+0.00099689i,-0.00026273+0.00023697i,-0.00079813-0.00048728i,-0.00056133-0.00041168i,0.0001125+0.0001268i,0.00073462+0.00024613i,0.0010607-0.00012882i,0.00075403-0.00048518i,0.00095361-0.00066657i,0.00075581-0.00057664i,-0.0001294-0.00054464i,-5.8184e-06-0.00058917i,0.00047103+0.00027479i,0.00065194+0.00022461i,0.0010958-0.00090955i,0.00093512-0.00039596i
-0.0010209-0.0023527i,-0.0027262-0.0023186i,-0.0037523-0.0017259i,-0.0027954-0.00045008i,-0.0013466+0.0013057i,-0.00013013+0.0019328i,0.00036276+0.0010394i,0.00051511+6.4745e-05i,0.00041219+4.7408e-05i,3.5793e-05+0.00028631i,0.00027634+0.00096248i,0.00077982+0.00095983i,0.0011194+0.00014861i,0.0012656-0.0007003i,0.00091085-0.0013022i,0.00035873-0.0014965i,0.00080163-0.0016143i,0.0014901-0.00076658i,0.0010901-0.00012724i,-0.00014754-1.7913e-05i,-0.00069274-0.00031495i,-0.00019006-0.00049389i,0.00034979-2.0115e-06i
0.00087938-0.00023182i,0.00092396-0.0012711i,0.0013462-0.00073264i,0.0015271+0.00059291i,0.0013247-0.00021134i,0.00080894-0.0013086i,0.00067219-0.00063626i,0.0011864-0.00068815i,0.0014019-0.0014171i,0.0013039-0.0013686i,0.0009592-0.00056911i,0.0010919-0.00067193i,0.00045054-0.0012046i,-0.0013495-0.0010868i,-0.0025085-0.0011351i,-0.0016256-0.00072281i,-0.00046765-0.00084482i,0.00012104-0.00076609i,0.00074173+0.00042358i,0.00028464+0.00088393i,-0.00011008+0.00039706i,-6.3376e-05+8.4805e-06i,0.00020994+0.00026271i
-0.0012661+0.0030074i,-0.00022727+0.0026514i,-0.00071915+0.0020426i,-0.00085164+0.0013069i,0.00066077+0.0010973i,0.00078499+0.00074616i,-1.8088e-05-4.1563e-05i,-0.00040102-0.00079272i,-0.00053062-0.0010352i,-0.00047748-0.00080759i,-0.00016482-0.00074264i,-0.00034144-0.00028972i,-0.00090093-0.00034352i,-0.0015597-0.000565i,-0.0014141+0.00057645i,-0.00064871+0.0017132i,-0.00026271+0.00093276i,-0.00042507-0.0002646i,-0.00070551+0.00060645i,-0.00046355+0.0010468i,-0.00025965+0.00086073i,-0.00031144+0.00061417i,-0.00041741+0.00090079i
0.0024461-0.0023835i,0.00028538-0.0021106i,-0.0011791-0.0025757i,-0.0031119-0.0015773i,-0.0046292+0.00050035i,-0.0035381+0.0013933i,-0.0022016+0.0016153i,-0.0014978+0.000471i,-0.00074987-0.0010945i,-0.00073248-0.001624i,-0.0013716-0.001036i,-0.0017787+0.00030934i,-0.0014245+0.00096422i,-0.00075925+0.0013782i,0.00015527+0.0014727i,0.00092711+0.0007738i,0.00094236+0.00071357i,0.00046347+0.00075923i,8.3105e-05+0.00029037i,-0.00047754+0.00049297i,-0.00084754+0.0012467i,-0.00011174+0.0010963i,0.00057677+0.00087899i
-0.00073151+0.00028481i,-0.0005641+0.0010783i,-0.00055391+0.0019434i,-0.00062162+0.0021975i,-0.00042892+0.0015686i,-8.1592e-05+0.00082257i,-0.0002871+0.00058483i,-0.0010163+0.00078858i,-0.00072036+0.00067546i,-0.0015294-0.00045936i,-0.0019955-0.00078115i,-0.0015461-2.3606e-05i,-0.0010113+0.00038791i,-0.0002079+9.1426e-05i,0.00034971-0.00033207i,0.00096418-0.00011939i,0.00070544+0.00048683i,0.00036127+0.00070612i,0.00057677+0.00061929i,0.00078922+0.0010428i,0.00025219+0.00064044i,-0.00083603-0.00010143i,-0.00087919-0.00054439i
-0.0025418+0.0017043i,-0.0030362+0.0011702i,-0.0013892+0.0020041i,9.6075e-05+0.0017104i,8.6678e-05+0.0017919i,-0.0003782+0.0016619i,-0.00030359+0.0011831i,-0.00033323+0.0010173i,-0.00027573+0.00063459i,-0.00024279+0.00088856i,-0.00041539+0.001516i,-0.00033015+0.0018945i,0.00055789+0.0011409i,0.0011867-0.00029071i,0.00022314-0.0013642i,-0.00074329-0.0014587i,-0.00037291-0.00038282i,7.0057e-05+0.00082291i,0.00032118+1.6293e-05i,2.5285e-05-0.00086419i,-6.5993e-05-0.00069774i,6.692e-05-0.00072797i,-8.3176e-05-0.00080945i
0.00022112+0.00077209i,0.00044901+0.00027443i,0.00045061+0.00031813i,0.00076677+0.0005703i,0.0010774+0.00024081i,0.00081036-0.00041458i,0.00065847-0.001066i,0.00034692-0.00028778i,0.00063854+0.00064683i,0.001078+0.0012422i,0.0011492+0.0015141i,0.0014066+0.00067792i,0.0016751-3.2763e-06i,0.00067295-8.7511e-05i,-0.00085417-0.00035736i,-0.0010597-0.00010379i,-0.00066659-0.00036662i,-3.4642e-06-0.00023233i,-0.00016059+0.00069894i,-0.00072016+0.00057151i,-0.00088666-0.00024572i,-0.0011583-0.00070529i,-0.00067404-0.00074622i
-6.4185e-05+0.0003472i,0.00010996-0.00021566i,-0.00071051+6.0218e-05i,-0.0013934-0.000287i,-0.0018087+0.00038199i,-0.0014519+0.0012044i,-0.0010855+0.0006972i,-6.3149e-05+0.00020842i,0.00089641+0.00096594i,0.0010737+0.00059153i,0.00154-0.00063067i,0.0013205-0.0016969i,0.00066478-0.0018147i,-0.00037063-0.0014845i,-0.0014413-0.00039878i,-0.00098394+0.0011282i,-0.0010655+0.0010717i,-0.0013522+0.00032615i,-0.0012436+0.00026897i,-0.00099418+0.00027718i,-0.00024231-0.00022835i,0.0002045-0.00016469i,0.00010946-0.00028196i
-0.00073944+0.00045243i,-0.00030591+0.00092795i,-0.00050467+0.0018972i,-0.0011016+0.0024785i,-0.00095952+0.0022172i,-0.00044977+0.0012275i,-0.00049643-0.00032403i,-0.00029016-0.00045397i,0.00056283-5.3226e-05i,0.0011802-0.00010923i,0.00063778+0.00017479i,-0.00014608-0.00017158i,-0.0011146-0.0006442i,-0.00085733-0.0010854i,-0.00041759-0.00074781i,-0.00046018-0.00012691i,-0.00027207-6.7123e-05i,-0.00021406+0.00058564i,-0.00011796+0.0011499i,-0.00037274+0.00052763i,-0.00033518+0.00017188i,0.00078753+0.00050207i,0.0012103+0.00070956i
0.00031124+0.00058394i,0.00096105+0.00049945i,0.00078635+0.00032592i,0.00067693+0.00083181i,6.9534e-05+0.0014052i,0.0002171+0.00076185i,0.00038077+0.00016035i,3.0724e-05-0.00057664i,-0.0010869-0.0013442i,-0.001371-0.001422i,-0.00093754-0.0010716i,-0.0015022+5.3229e-05i,-0.0015711+0.00097823i,-0.0007827+0.0011369i,0.00044997+0.00077065i,0.0010127-0.00047767i,0.0011732-0.00080029i,0.00073148-1.0424e-05i,0.00029279-5.3173e-05i,0.00033833-0.00057814i,0.00017945-7.5434e-05i,0.00059156-0.00012041i,0.0012999-0.0010201i
0.00065333-0.00061475i,0.00096971-0.0015553i,0.00015581-0.001235i,-0.0010017-0.00033256i,-0.0013359+0.00017935i,-0.00085698+0.00035775i,-0.00065338+0.00077628i,-0.00059763+0.00057097i,-0.00026704-0.00075836i,-0.00077551-0.0010323i,-0.0012395+6.6063e-06i,-0.0014088+0.0014673i,-0.0016361+0.0014385i,-0.00090638+0.00018785i,0.00039961-0.00047879i,0.00059289-0.00071099i,2.8835e-05-0.00035845i,0.0005475-0.00051048i,0.00013614-0.0006825i,-0.00065368-9.4718e-06i,-0.00016733+0.00029246i,0.00042068-0.00074018i,0.00017167-0.0018065i
0.0034056+0.0018401i,0.0023372+0.00011551i,0.0009312-0.0011737i,0.0001388-0.0014886i,-0.0007673-0.0015116i,-0.0010466-0.0003647i,-0.0011708+0.00095787i,-0.00088012+0.001467i,-0.00055882+0.0012914i,-0.0010393+0.00030646i,-0.0010137+0.00010325i,-0.00030959+0.001196i,0.00023425+0.0016926i,-3.3491e-05+0.00090412i,-2.6129e-05-0.00015291i,-0.00021598-2.1796e-05i,-0.00015428+0.00068801i,0.00026759+0.00088189i,-9.1176e-05+3.2327e-05i,-0.00060578-0.00045872i,-0.00099419-0.00013776i,-0.00078409+0.0002097i,-0.00069599+0.0004415i
-0.00086215+0.0005818i,-0.0019643+0.0012756i,-0.0021464+0.0015462i,-5.1723e-05+0.0017665i,9.1398e-05+0.0016686i,-0.00073262+0.00094938i,-0.00077629+0.00016089i,-0.00052214-0.00018109i,-0.00086964-2.5295e-06i,-0.00091229+0.00033942i,-0.00076458+0.00015334i,8.2428e-05+1.3007e-05i,1.4074e-05+0.00052129i,0.00011502-4.0532e-05i,0.00079566-0.00014399i,0.00036319+0.00031102i,-7.1978e-05-0.00025116i,-4.4095e-05-0.00080975i,-1.1529e-05-0.0010851i,0.0001565-0.00036412i,-0.00011496+0.00012035i,-0.00049064-8.2752e-05i,-0.00069554+0.00069423i
0.0013676-0.0025825i,0.00068109-0.001931i,-0.00019444-0.0015231i,-0.0012014-0.00033712i,-0.0018077+0.001245i,-0.0018205+0.0015838i,-0.00097381+0.00097602i,0.00027925-5.3728e-05i,0.00016812-0.00018865i,-0.00019582+0.00026653i,-0.00027448+0.00043663i,-0.00058352+0.00024045i,-0.00015053-0.00041073i,0.00049039-0.00042388i,-4.5694e-05+0.00043907i,-0.00076963+0.00058335i,-0.00090203-0.00034937i,-0.00071692-0.00068905i,-0.00076206-0.00056485i,-0.00023083-0.00013826i,0.00030988+0.00025021i,0.00041893+0.00012792i,-0.00040567-9.5171e-05i
0.0016955-4.9128e-05i,0.0012971-0.0014847i,0.00011431-0.0012636i,-0.00092852-0.00022761i,-0.0017587+0.00017964i,-0.0015052+0.0002148i,-0.00019388-2.8526e-05i,-0.00028448-0.00043569i,0.00030866-0.0013201i,0.00058727-0.00087418i,-9.9486e-05+0.00012389i,-0.00061475+0.00040726i,-0.0014924+0.0006235i,-0.0015546+0.0009852i,-0.00062215+0.00049949i,2.5675e-05+0.00018609i,-0.00067091+0.00045519i,-0.0012188+0.00039393i,-0.0007215-6.8133e-05i,-0.00055728-0.00015899i,-0.00043113+0.00020626i,0.00075281+0.00067161i,0.001785+0.00097764i
0.00050838+0.0012737i,0.0002448+0.00093606i,0.0010946+0.00094642i,0.0022718+0.0017748i,0.0013027+0.0022523i,-0.00035376+0.0013305i,-0.00051203+0.00039409i,0.00025565+0.00053585i,0.0010371-0.00034996i,0.0013115-0.0013907i,0.000554-0.0015128i,-0.00013257-0.00077959i,-0.00055064-8.7333e-05i,-0.00093936+0.00018695i,-0.00115+0.00054643i,-0.00081837+0.0012354i,-0.00047996+0.001423i,-0.00045269+0.0010789i,-0.00049943+0.00030514i,-0.00064819-0.00079723i,0.00025687-0.0011605i,0.00082886-0.00096068i,0.00082445-0.0011205i
-0.0001162-0.0012994i,0.00032309-0.00044853i,-0.00042585+0.00047323i,-0.002214+0.0018192i,-0.0023689+0.0020672i,-0.0018471+0.0016699i,-0.00055777+0.0017565i,0.00030585+0.00062651i,-0.00020919-0.00094492i,-0.0010245-0.0012003i,-0.00057459-0.0007569i,0.00013181-0.00034558i,0.00030751+4.3206e-06i,1.673e-05-0.00031473i,0.00019997-0.00075215i,-0.00017075-0.000495i,-0.00067204+0.00042887i,-0.00034673+0.00063141i,0.00015888-0.0001597i,0.00014595-6.9232e-05i,0.00029964-0.00032248i,0.0003725-0.00054991i,-0.00022712-0.00086561i
0.0022369-0.0017464i,0.00058665-0.0014046i,-0.00063689-0.0020066i,-0.0021929-0.00043057i,-0.003678+0.0010529i,-0.0029925+0.0018662i,-0.0013254+0.0015557i,-0.0010361+0.00032079i,-0.0019555-0.00080292i,-0.0024421-0.0013383i,-0.0017942-0.00088475i,-0.0016016-0.00045988i,-0.00098925-0.00020213i,-0.00018738+0.00067694i,0.00014993+0.0012585i,0.0010291+0.001154i,0.0013435+0.00066728i,0.00072149+0.00048844i,-0.00018145+0.0011687i,-0.00037299+0.0013708i,-0.00057208+0.00080853i,-0.00067217+4.5773e-05i,-0.00063929-0.00029861i
0.00068282-0.0017154i,0.00040163-0.0017207i,-0.00060333-0.0014277i,-0.0018534-0.00035355i,-0.0013515+0.0015192i,-0.00057877+0.0023385i,-0.0014498+0.0017691i,-0.0017136+0.0009661i,-0.00093186-0.0001052i,-0.0010765-0.00026219i,-0.0012469+0.00011971i,-0.00064443+0.0011485i,-0.00053682+0.0015793i,-0.0014533+0.00050666i,-0.00063395+0.00034344i,0.0010856-0.0004851i,0.0020871-0.0015594i,0.0017419-0.00096384i,-5.897e-06+1.6438e-05i,-0.0010843+6.3985e-06i,-0.0006075-0.00023841i,0.00044928-0.0002726i,0.00062362+0.00029863i
0.00029223+0.00037329i,0.00036713+0.00063605i,-0.00031919+0.0014766i,-6.9472e-05+0.0021781i,-0.00011149+0.0017035i,-0.00034919+0.0016418i,0.00051691+0.0024092i,0.0018581+0.0026044i,0.0020266+0.0020679i,0.00039378+0.0016834i,-0.0011736+0.0014995i,-0.00060618+0.0015683i,-8.101e-05+0.0012237i,0.00040915+0.00052721i,0.00078958+2.695e-05i,0.00064016-0.00078793i,-0.00068114-0.00091598i,-0.002051-0.0005797i,-0.0016369-0.00060285i,-0.00043592+0.00017895i,0.00019885+0.00014836i,0.00050199-0.00028286i,0.0012628-0.0007262i
0.00077421-0.0015118i,-0.00071071-0.0020745i,-0.0018338-0.0021464i,-0.0020447-0.00079859i,-0.0020896-6.7008e-05i,-0.0013023+0.0004787i,0.00013044+0.00018983i,0.001556-5.2125e-05i,0.0014568-0.00025462i,0.00023346-0.00019167i,-8.4306e-05+0.00029644i,0.00049664+0.0008938i,-0.00022183+0.0014966i,-0.00056381+0.0013464i,-0.00040416+0.00086836i,-0.00098692+0.00036404i,-0.0020318+0.00025248i,-0.0017908-4.9468e-06i,-0.00029898-0.00023185i,-0.00013696-0.00023272i,-0.00012058-0.00032023i,0.00027262-0.00071536i,0.00018042-0.0009636i
-0.00017335+0.0016544i,0.00057908+0.0010786i,0.0010726+0.00074839i,0.00052431-0.0001547i,-0.00040207-0.00022321i,-0.00070794-0.0001513i,-0.00049282-0.0013397i,0.0008467-0.0016414i,0.0020787-0.0010086i,0.0023967-0.00072118i,0.0021904-0.00053816i,0.0014533-0.0017838i,0.00035736-0.0029216i,-0.00059888-0.0019823i,-0.0007188+0.00026786i,-0.00040427+0.0020324i,-0.00087231+0.0023707i,-0.00070387+0.0019823i,0.00047612+0.0011623i,0.00031727+0.00025095i,-0.0005046+0.00022393i,-0.00052882-1.8798e-05i,4.2994e-06-0.00025238i
-0.0018651+0.00023407i,-0.0027533-5.9068e-05i,-0.0024414+0.00038906i,-0.001141+0.0012048i,-0.00089329+0.0019624i,-0.0010062+0.0020533i,-0.0011812+0.0011004i,-0.0011334-0.0011903i,-0.000521-0.0032113i,0.0002774-0.0025733i,0.00073477-0.0016711i,0.00065255-0.0016256i,0.00047906-0.0012294i,0.00066382-0.00057991i,0.00066777+0.00017895i,0.00055887+0.00074067i,0.00098595+0.0007082i,0.0016774+0.0001555i,0.00098257-0.00034727i,-0.00020629-0.00035348i,-2.7707e-05-2.9088e-05i,0.00013692+0.00012505i,0.00036451-0.00038011i
0.0033403-0.0020183i,0.0023152-0.0032978i,0.0018175-0.0041957i,9.6338e-05-0.0023676i,-0.0023292-0.00031972i,-0.0030756+0.00026595i,-0.00289+0.00020188i,-0.0031227-0.00026918i,-0.0036552-0.0011598i,-0.0036425-0.0022495i,-0.0030102-0.0020916i,-0.0022258-0.00089867i,-0.0017681+0.00017169i,-0.0011714+0.00082678i,-0.00057298+0.00024658i,0.0010683-0.00062508i,0.0022043-0.0014777i,0.0011343-0.0022531i,0.00036105-0.0019553i,0.00070685-0.00088089i,3.8873e-05-0.00037947i,-0.00066672-0.00065411i,-0.00076221-0.00059617i
-0.0003769+0.0028658i,0.00075222+0.0013453i,0.0027715+0.00081325i,0.0027547+0.00081359i,0.00084859+0.00044601i,-0.0013228+0.00016149i,-0.0022557+0.0004701i,-0.0023708+0.00084368i,-0.0021581+0.001131i,-0.0016748+0.001539i,-0.0017635+0.0011947i,-0.0019537+0.00097299i,-0.0017716+0.0012837i,-0.00095227+0.0006432i,-0.00073986-0.0006543i,-0.00071147-0.0018722i,-0.0010326-0.0023119i,-0.0012878-0.0020234i,-0.00090678-0.0008239i,-0.00093802+0.00010672i,-0.001174-0.00037064i,-0.00071345-0.00055596i,-0.00069391+0.00051932i
-0.001764+0.00064697i,-0.00014751+0.0010952i,0.00033767+0.0021554i,7.8457e-05+0.0017151i,0.00012787+0.0010541i,0.00028032+0.00059743i,-0.0001623+0.0016638i,-0.00027723+0.0034158i,-0.00032976+0.0039491i,5.0327e-05+0.0038161i,0.00053464+0.0029184i,0.0012233+0.0013987i,0.0015474+0.00011599i,0.00057713-0.00063731i,-0.00071263-0.00056219i,-0.0022596-0.00069518i,-0.0033852-0.0011419i,-0.0025889-0.00067751i,-0.0014109-0.0001412i,-0.00054609-0.00062914i,0.00027271-9.7464e-05i,5.0283e-05+0.0012032i,8.7806e-06+0.0013926i
0.0019952+0.00033924i,0.0016676+0.0019474i,0.00097835+0.00084458i,0.00057583-0.00032241i,-0.0005351+0.00029793i,-0.0011872+0.00044843i,-0.00040583+0.00097941i,0.0015653+0.0011462i,0.003404+0.00064356i,0.0035506+0.00044117i,0.0025619-0.00013134i,0.0012444-0.00072003i,0.00021014-0.00032009i,-0.00067561+0.00052292i,-0.0016532+0.00045168i,-0.001424+0.0010025i,-0.00027451+0.0013967i,0.00072253+0.0013645i,0.00050328+0.0012185i,0.00023537+0.00097027i,0.00027034+0.00065257i,0.0004602+0.00021547i,0.00094378+7.2027e-05i
-0.0015613+0.00010413i,-0.0014504-0.00037976i,-0.0021749+0.0011656i,-0.0020009+0.0020131i,-0.0011878+0.0012689i,-0.00022972+0.0003286i,0.00070421-5.7959e-05i,0.0015163-0.00019364i,0.0017242-0.00061364i,0.0018712-0.001784i,0.0011917-0.0024748i,-9.4004e-05-0.0023029i,-0.00091807-0.0012849i,-0.0011715-0.00036058i,-0.00044839+0.00025096i,6.9032e-05+0.00091698i,0.00069696+0.0012732i,0.0011437+0.00056946i,0.0011026-3.7014e-05i,0.0010945-6.4418e-06i,0.0010082+0.00022833i,0.00036196+0.00030509i,0.00021189-0.0001283i
0.0013649+0.00018332i,0.0015975-0.00033634i,0.0010043-0.00054766i,-0.0003148+9.3173e-06i,-0.0011426+0.0014659i,-0.00165+0.0014497i,-0.0010434-0.00011699i,-3.6704e-05-0.0018757i,-8.2821e-05-0.0028812i,-0.001165-0.0035668i,-0.0021018-0.0029744i,-0.0022971-0.00084534i,-0.0025801+0.00055021i,-0.0021395+0.001291i,-0.00093997+0.0016357i,0.00058615+0.00040633i,0.0017561-0.00086521i,0.0017703-0.00087028i,0.0006083-0.0010259i,-0.0004363-0.0013205i,-0.00029244-0.00081769i,0.00026151+0.00045811i,-0.00010899+0.00089135i
1.5654e-05+0.00032916i,-0.0011109+0.00058085i,-0.0014659+0.00090834i,-0.0011137+0.00038229i,-0.0011741+0.00040882i,-0.00097194+0.0012318i,-0.0014222+0.0012405i,-0.001025-9.2896e-05i,-0.00096578-0.00097856i,-0.0021476-0.00059131i,-0.0027854+7.2252e-05i,-0.0025177+0.0010598i,-0.0016646+0.0020374i,0.00011302+0.0017834i,0.0013312+0.0012341i,0.0011643+0.00021335i,-4.567e-05-0.00074537i,-0.00168-0.00083456i,-0.0010428-0.0010463i,-0.00012882-0.00063431i,-0.00048584-0.00058664i,-0.00017283-0.00049281i,0.00013149-0.00040561i
0.0012492-0.0015429i,0.0011293-0.0018366i,-0.0002124-0.0030137i,-0.00093329-0.0025939i,-0.0016524-0.00058573i,-0.0022143+0.0011737i,-0.001499+0.0010512i,-0.0014093-3.6299e-05i,-0.0021268-2.1524e-05i,-0.0022111+0.0013173i,-0.0010266+0.0020848i,0.00037369+0.0025946i,0.0013229+0.0029543i,0.002277+0.0017274i,0.0014499-0.00030879i,-0.00067165-0.0011935i,-0.0015984-0.00036921i,-0.001582+0.00047533i,-0.0011945+1.9902e-06i,-0.00059794-0.00038802i,-0.00055164-0.00010475i,-0.00039236+0.00058428i,0.00027999+0.0011857i
-0.00032237+0.00020537i,-0.00077296+0.0010661i,-0.00047699+0.00079415i,-0.0016838+0.00079009i,-0.0026516+0.0013115i,-0.0020375+0.00091427i,-0.0013655+0.00055861i,-0.0010738+0.0010971i,-0.00046477+0.001165i,0.0010391+0.00083161i,0.0013951-7.3484e-05i,0.001399-0.00094029i,0.0018907-0.00099274i,0.0010144-0.0015541i,-0.00057623-0.0013076i,-0.00077604+0.00063359i,-0.00060493+0.0016362i,-0.00077808+0.00087941i,-0.0007566-4.5254e-05i,0.00012517+0.0005586i,0.00069432+0.0014129i,0.00071463+0.0019202i,0.00063279+0.0010356i
-0.002656-0.0032494i,-0.0028419-0.0023166i,-0.0047917-0.00091133i,-0.0046967+0.0010376i,-0.0027648+0.0034526i,-0.0013155+0.003749i,-0.00046262+0.0018957i,2.6244e-05+0.0013032i,0.00089187+0.0012658i,0.0019867+0.00043714i,0.0022412+3.3411e-05i,0.0017889-0.00018032i,0.0010611-0.0016502i,-0.00023041-0.0021219i,-0.00074914-0.0010669i,0.00021463-0.00028971i,0.00092661+6.0313e-05i,0.0012704+1.0275e-05i,0.00070193+0.00022875i,0.00017606-9.5882e-05i,0.00011692-0.00010837i,9.2202e-05-1.8382e-05i,0.00073214-0.0002844i
0.00087832+0.00019961i,0.0005035+0.0014536i,0.00024697+0.002347i,0.00011586+0.0030743i,0.00046176+0.0017274i,0.0010058+0.00088152i,0.00064073+0.00024769i,0.00042151-0.00031522i,0.00028299-0.00051741i,0.00012471-0.0011435i,-0.00032853-0.0012259i,-0.0011802-0.00099314i,-0.0019571-0.00066583i,-0.00097059-0.00050694i,-0.00015372-0.00020654i,-0.00013448+8.3983e-06i,0.00018534-0.00042264i,0.00032289-0.00084567i,0.00086338-0.00047731i,0.0014424-0.00015619i,7.2474e-05+0.00021911i,-0.0010078+0.00040657i,-0.00062369-0.00029131i
-0.0026544-0.00016541i,-0.0026361+8.446e-05i,-0.0019294+0.00063919i,-0.0010401+0.0022207i,-0.00074983+0.0027496i,-2.6141e-05+0.0015292i,0.0010131-0.00042253i,0.00067074-0.0013655i,-1.0187e-05-0.0015472i,-0.00067511-0.0010088i,-0.0018837-0.00020848i,-0.0022653+0.00021884i,-0.0018033+0.000367i,-0.00086009+0.0014122i,0.00025819+0.0020796i,-0.00015513+0.00063631i,-0.00076157-0.00068784i,-0.00032871-0.00080981i,-0.0004818-0.00078829i,-0.00062257-0.00038001i,-8.8429e-05+0.00016211i,-0.00015393+4.0467e-05i,-0.00059581+0.00059566i
0.00034144-0.00078541i,0.00021472-0.00077277i,-0.00067189-0.00051119i,-0.00096066+7.2339e-05i,-0.00021591+0.00058864i,-0.00010635+0.0002038i,-0.001041-0.00062278i,-0.0022591-0.001232i,-0.0026029-0.0014106i,-0.00209-0.00013753i,-0.0013186+0.00079885i,-0.00092515+0.0010114i,-0.00047419+0.0012048i,0.0010059+0.0012459i,0.0019699+0.0010341i,0.001005+0.00056065i,-0.00034027-1.0095e-05i,-0.00021331+0.00019959i,0.00048204+0.00032314i,-0.00031337+0.00026984i,-0.00108+8.6192e-05i,-0.00075152+0.00010348i,0.00021294+0.0001465i
9.117e-05-0.0011127i,-0.0014054-0.0010795i,-0.0022731-0.00029285i,-0.002744-2.0847e-05i,-0.0015776+0.00084411i,-0.0014426+0.0012796i,-0.0022962+0.00052061i,-0.001944+0.00036486i,-0.00054715+0.0006585i,0.00093813+0.00067475i,0.0011491+0.00053063i,0.001104+0.00040097i,0.0010445+0.00056996i,0.0011778+0.00045264i,0.0016529+0.00017426i,0.00074541+2.3111e-05i,-4.1716e-05+0.00070855i,-0.00037792+0.00099745i,-0.00024212+0.0001687i,0.00054065+9.9864e-05i,0.0011555+0.00085769i,0.00045387+0.0014378i,-0.00092677+0.000666i
-0.0015882-0.00019236i,-0.0020276+0.00037785i,-0.0024143+0.0014251i,-0.0018809+0.0017565i,-0.0013641+0.002124i,-0.00042137+0.0028735i,0.00027633+0.0026017i,0.00052438+0.0021904i,0.00083879+0.0014976i,0.0014563+0.00054407i,0.0017722-0.00013842i,0.0019155-0.00027143i,0.0017916-0.00087661i,0.00079236-0.0020839i,-7.7368e-07-0.0017726i,-0.00018662-0.00056138i,9.0188e-07+0.00020018i,0.0008309+0.00059985i,0.0007811+0.00041441i,1.8074e-05+0.00037868i,-0.00020059+0.00048208i,-0.00014649+0.00051567i,0.00021343+0.00017087i
0.0013773+0.00028051i,0.00082005+0.00135i,-0.00011688+0.0014562i,-0.0014355+0.0010925i,-0.0017142+0.00062861i,-0.00089764+0.00014837i,0.00054994-0.00024146i,0.0022179+3.9472e-06i,0.0027311-0.00080347i,0.001556-0.0019981i,-0.0001585-0.001867i,-0.001093-0.0014606i,-0.00060411-0.00084755i,-0.0010255-0.00014133i,-0.0019681-0.00054414i,-0.001646-0.0016439i,-0.00036049-0.0015357i,0.0010295-0.00090725i,0.00096807-0.00010411i,-9.1451e-05-0.00038181i,-0.00039641-0.00054802i,-0.00037812+0.00068637i,-0.00035191+0.00058137i
0.00043165+0.0002416i,0.0002593-0.00040429i,0.00084339-0.00042188i,-0.00062731+0.00055596i,-0.0018344+0.0013476i,-0.0013108+0.00039357i,-0.00052614-0.0010112i,0.00050546-0.0013575i,0.0006469-0.0016947i,2.9324e-05-0.0021762i,-0.0010268-0.0019167i,-0.0013702-0.0011957i,-0.0010405-6.3782e-05i,-0.0016302+0.0014475i,-0.0019864+0.0022661i,-0.0015088+0.0011074i,-0.0012771-0.00065004i,-0.0013313-0.0012435i,-0.0015733-0.0015393i,-0.0019744-0.0012579i,-0.0014831-0.00022956i,-0.00022997+8.3076e-06i,0.00034784-9.7127e-05i
0.0016238+0.00073006i,0.0015822+0.00041687i,0.0016806-2.2289e-06i,0.00063794-0.00039516i,-0.0010037-0.00067872i,-0.0026001-0.0002164i,-0.0023941-0.00081266i,-0.00085123-0.0023257i,-0.00039434-0.0027564i,-0.00067257-0.0018028i,-0.00059141-0.00066706i,-0.00022928-0.00019849i,-0.00059161+0.00053381i,7.2913e-05+0.0015959i,0.0016195+0.0020202i,0.0005459+0.0014219i,-0.00071169+0.00010715i,-0.0005066-0.00053866i,-0.00053447+0.00017834i,-0.00090282+0.0015042i,-0.0010029+0.0014492i,-0.00062955+0.00068984i,-0.00056509+0.00070858i
-0.0012901-0.0018861i,-0.0028602-0.0011696i,-0.003258-0.0009632i,-0.0018279+0.00010939i,-0.00093766+0.0018723i,-0.0012996+0.0021858i,-0.0017221+0.0010637i,-0.0020358-0.0009585i,-0.0021374-0.001553i,-0.0011851-0.00068821i,-0.00019596-0.00040001i,0.00049975-0.00069457i,0.0012037-0.00051758i,0.0015965+0.00035938i,0.0018717+0.00030182i,0.0013967+9.8031e-05i,0.00038506+0.00046259i,-0.00016021+0.00092216i,-0.00057773+0.00096891i,-0.00049509+0.00067333i,0.00017861+0.00084686i,0.00047402+0.0010127i,0.00065688+0.00070681i
