-0.0043175+0.0006355i,-0.0015691+0.00034335i,-0.0007279+0.0014642i,-0.00064256+0.0021328i,-0.00018489+0.0030056i,0.00068669+0.0033396i,0.0012596+0.0027448i,0.0011017+0.00171i,0.0005022+0.00048435i,0.00069172+1.1569e-05i,0.0014247-0.00026474i,0.00075743-0.00090965i,-0.00036318-0.0012094i,-0.00057546-0.00089017i,-0.00034825-0.00059166i,-0.00029963+0.00035895i,-0.00025326+0.0012317i,0.00025587+0.00056608i,0.00032838-0.00055442i,-6.8682e-05-0.00011996i,2.2686e-05+0.00065102i,0.00035253+0.0004358i,-0.00043597+0.00036525i
0.0020553+0.0014362i,0.002562+0.001189i,0.0026549+0.0027749i,0.0021104+0.0029527i,0.00098701+0.0017395i,0.00012997+0.0012845i,0.00031126+0.0012121i,0.0011103+0.00045181i,0.0014429-0.00052532i,0.00047662-0.00094732i,8.4827e-05-0.00022191i,0.00038879+0.00077105i,0.00065723+0.0017593i,0.00058739+0.0027364i,0.00052786+0.0024935i,0.00053204+0.0015766i,6.8226e-05+0.0013276i,0.00018278+0.0011897i,0.0010329+0.00089505i,0.0012992+0.00064757i,0.00089463-0.00024207i,0.00087151-0.00093817i,0.00092139-0.00037582i
-0.001649+0.0016868i,-0.0009058+0.0020318i,0.0011746+0.0029519i,0.0024487+0.0028546i,0.0021924+0.0019791i,0.00098383+0.0013667i,0.00036595+0.0014458i,0.00086109+0.0013793i,0.00083975+0.00063646i,0.00031874+0.00022677i,0.00064808+0.00037147i,0.00098086-7.772e-06i,0.001434-0.00084776i,0.0013923-0.00067722i,0.00051287-4.0117e-05i,0.00082908+0.00013702i,0.0012228+0.00037064i,0.00056493+0.00065828i,0.00011679+0.00055676i,0.00018637-0.00029919i,0.00030844-0.0008527i,0.0010849-0.00022062i,0.0012833+0.00013953i
-0.0018191-0.00093986i,-0.0019705+0.002026i,-0.0012972+0.0038082i,-0.0002947+0.0040964i,0.0001659+0.0033263i,0.0001579+0.0023326i,0.00079946+0.00071286i,0.0014576-0.00067067i,0.00079011-0.0013652i,0.00041972-0.0018747i,0.00057592-0.0016214i,0.00063163-0.00192i,4.6737e-05-0.0028688i,-9.8404e-05-0.0033846i,0.00037198-0.0028902i,0.00034367-0.0019536i,0.00077441-0.0013076i,0.0010088-0.00067087i,0.0011999-0.00059135i,0.0010311-0.00064625i,0.0007632-0.00033404i,0.00099683-0.00032865i,0.0011394-0.00072935i
0.0018065+0.0018613i,0.0025067+0.0014387i,0.0029593+0.00090725i,0.0020581-0.00038359i,0.00097352-0.0015797i,-6.3276e-05-0.0018803i,-0.00044393-0.0018755i,-0.00028997-0.0019405i,-0.00064673-0.0019618i,-0.0014247-0.0018691i,-0.0011603-0.0011139i,-0.0013604-0.0012193i,-0.0020557-0.0014671i,-0.0018822-0.001305i,-0.0020648-0.00091375i,-0.001714-0.000724i,-0.00077276-0.0008648i,-0.00070858-0.00043457i,-0.0011588-3.84e-05i,-0.0013233-0.0005399i,-0.0011441-0.00062595i,-0.00047741-0.00015111i,-0.00062944+0.00046591i
0.0004354-0.0004964i,-9.1292e-05+0.00082654i,0.00013837+0.0017073i,0.00024155+0.0023575i,9.8701e-05+0.0028771i,0.00018872+0.0031379i,-0.00030032+0.0024968i,-0.0017962+0.00083838i,-0.0021248-0.00076283i,-0.0015185-0.00086625i,-0.0011011-0.00069675i,-0.00058797-4.7449e-05i,-0.00079489+0.00059946i,-0.0010924+0.00046837i,-0.0012879+0.00053354i,-0.0012885-5.3374e-05i,-0.00041407-0.00034426i,-0.00070387-0.00011851i,-0.00095782+0.00011172i,-0.0007015+0.00022432i,-0.00084327-2.8956e-05i,-0.00040889-0.00062141i,8.8055e-05-0.00094541i
-0.00078754+0.00023336i,-0.00028829+0.00035765i,-0.00036001+0.0012634i,0.0010738+0.0015841i,0.001911+0.0018776i,0.0011226+0.0019247i,0.0006559+0.0019294i,0.00013825+0.002269i,0.00025987+0.0015436i,0.00080139+0.00051909i,5.8293e-05+0.00060761i,-0.0011913+0.0011489i,-0.00089596+0.0017271i,8.1651e-05+0.0024821i,-0.00014593+0.0026481i,-0.00065875+0.0010661i,-0.00053302+0.00029005i,-0.0006233+0.00046887i,6.7884e-05+0.00057983i,0.00077582+0.00024218i,0.00067122-0.00030823i,0.00088578-7.6567e-05i,0.001185-0.00025443i
-0.00022454-0.001321i,-0.00024363-0.00021518i,0.0013619+0.0013288i,0.0018497+0.0016311i,0.00077539+0.00080315i,0.00046807+0.0012218i,0.00096065+0.0020706i,0.0019008+0.0013517i,0.0023258+0.00057813i,0.0014912-2.3465e-05i,0.00085727+0.00033554i,0.0016483+0.00084134i,0.0021521+0.00012753i,0.0019034-0.00011683i,0.0019122+0.00033159i,0.001424+0.00057938i,0.00054796+0.00053367i,0.0003187+0.00061031i,0.00095505+1.1603e-05i,0.00081746-0.00048597i,0.00027816-0.00060013i,0.00057327-0.00053531i,0.0002756-0.00034159i
-0.00051188+0.0017795i,0.00037827+0.0020644i,0.00092448+0.0030379i,0.0010215+0.0031206i,0.0011405+0.0019074i,0.0010443+0.0010443i,0.0010155-0.00017549i,0.0014971-0.0018052i,0.0014119-0.0020932i,0.00098317-0.0014602i,0.00094798-0.00062591i,0.0012146-2.3764e-05i,0.0012011-0.0004049i,0.0010187-0.0011944i,0.0010763-0.0014604i,0.0010098-0.0015178i,0.00087716-0.00095391i,0.00025072-0.00095964i,-0.00045873-0.0012115i,-0.00028751-0.00094198i,0.0002118-0.00027284i,0.00040116+0.00039471i,0.00062777+4.5712e-06i
0.0016119+0.0020144i,0.0017913+0.0032414i,0.0019306+0.0037419i,0.0023968+0.0019057i,0.0013104+0.00027318i,-0.00059807+9.3983e-05i,-0.001137-0.00048841i,-0.00051049-0.0022064i,-0.00045294-0.0034484i,-0.00069649-0.0029754i,-0.00010504-0.0015604i,0.00022627-0.001567i,9.3899e-05-0.0017334i,-7.8983e-05-0.0016401i,-6.1806e-05-0.0017668i,-6.1096e-05-0.0015049i,-0.00064382-0.0010698i,-0.00035076-0.0011239i,0.00018215-0.0012714i,-2.5268e-05-0.0012374i,-0.0002533-0.0011445i,2.9783e-05-0.00086521i,-0.00016394+1.6052e-05i
-0.0052425-0.00020421i,-0.0028739+0.0011026i,-0.0020265+0.0036485i,-0.0010847+0.0047469i,4.0375e-05+0.0042497i,-0.0002456+0.0028787i,-0.0012536+0.0012004i,-0.0022955-0.00052032i,-0.0026874-0.0014231i,-0.001956-0.00076572i,-0.0009577-0.0011708i,-0.00064993-0.0017575i,-0.0012665-0.0013448i,-0.0021283-0.0015248i,-0.0028222-0.0014818i,-0.0028974-0.0010833i,-0.0015737-0.00022615i,-0.00055106+0.0005571i,0.00030622+0.0010987i,0.00083663+0.001412i,0.00052336+0.00097682i,-3.0692e-05+0.00012226i,-9.0155e-05-8.1147e-05i
0.00073887+0.0021776i,0.0020255+0.0029447i,0.0026075+0.0041408i,0.002933+0.0041278i,0.0022058+0.0031598i,0.00096536+0.0025452i,-0.00035863+0.0033721i,-0.0017377+0.0042334i,-0.0025543+0.0028706i,-0.0022719+0.00054383i,-0.0019096-1.532e-05i,-0.0021369+0.0005306i,-0.0015085+0.00061471i,-0.00098417+0.0017873i,-0.0015048+0.0024281i,-0.0011825+0.0014682i,-0.00081224+0.00091473i,-0.0014003+5.6198e-05i,-0.0014684-6.601e-05i,-0.00028909+0.00050822i,0.00077597+0.00090118i,0.00082757+0.0014998i,-0.00030951+0.0013478i
-0.0035319+0.0013818i,-0.0020862+0.0024256i,-0.00025043+0.0033747i,0.0017055+0.0037823i,0.0036506+0.0036976i,0.0035706+0.0026501i,0.002707+0.001513i,0.0024086+0.0016725i,0.0016201+0.0021633i,0.00074901+0.0015646i,0.00019541+0.00041941i,0.00010122+0.00047959i,0.00044112+0.0012101i,0.0014227+0.0013884i,0.0013114+0.0011365i,0.0010024+0.00062494i,0.0013088+1.8998e-05i,0.0011773-0.00024597i,-0.00012193+0.00046737i,-0.00057359+0.00074064i,0.00041005+0.00041674i,0.00060294+0.0002351i,0.00043998+0.00079141i
0.00064611+0.00020343i,0.002094+0.0013217i,0.0026853+0.0018824i,0.0025949+0.0019032i,0.0015462+0.0018072i,0.0010521+0.00063079i,0.0022058-0.00076548i,0.0037591-0.0016411i,0.0038465-0.001663i,0.0019075-0.0012615i,0.001138-0.00074935i,0.0019455-8.2782e-05i,0.0011448-0.00061615i,0.00055275-0.00082446i,0.00070567+0.00031564i,0.0008222+0.00037623i,0.00078083-0.000244i,0.00030052-0.00033683i,0.00053707+4.5238e-05i,0.0011527-8.6969e-05i,0.0011357-0.0002851i,-9.8392e-05-8.6418e-05i,-0.00037051-0.00051988i
0.0012058-0.0025761i,7.2672e-05-0.0018669i,7.9715e-05-0.0012544i,-0.00027978-0.0005808i,-0.0022164-0.00014115i,-0.0029935+7.9207e-05i,-0.0012919-0.0014672i,0.00040198-0.0037595i,0.00013448-0.0043585i,-0.00061843-0.0030946i,-0.00058049-0.0018214i,-0.00078782-0.00066071i,-0.00077682-0.00049515i,-0.00023023-0.0013544i,-0.00010565-0.0021342i,-0.00083566-0.0023676i,-0.0011722-0.0016165i,-0.0011288-0.0010054i,-0.00055612-0.00041924i,-0.00013072-2.1667e-05i,0.00034223+7.8613e-05i,0.00040247-8.5628e-05i,-0.00031643-0.00060632i
0.002399-9.5188e-05i,0.0024959-0.00025918i,0.0027974+0.00011724i,0.0026039+0.00064542i,0.0015184+0.001505i,0.00030682+0.0022435i,-0.0011241+0.0012476i,-0.0030094-0.0011886i,-0.0036732-0.0027836i,-0.0024318-0.0020888i,-0.00098995-0.0013592i,-0.00078199-0.00077249i,-0.0015432+0.00027226i,-0.0023292-0.00011252i,-0.0019802-0.00072132i,-0.0012447-0.00055725i,-0.00075837-0.00029322i,-0.00020323+0.00022292i,0.00053476+0.00050829i,0.00057704+0.00025051i,0.0002158-1.4468e-05i,0.00010707-0.00035106i,0.00011096-0.00038171i
0.00042436-0.0032727i,-0.00067854-0.0017146i,-0.0018541-0.00042018i,-0.0029951+0.00010365i,-0.0029401+0.0015546i,-0.0022125+0.0038163i,-0.0016717+0.0042315i,-0.0026419+0.0032121i,-0.0037913+0.0019839i,-0.0040023+0.0009397i,-0.003321+0.00022172i,-0.001681+0.00024583i,-0.0010153+0.00095381i,-0.0010509+0.0017935i,-0.0003906+0.0018043i,-0.00021617+0.0012722i,-0.0002624+0.0006157i,-0.0004441+0.00082198i,-0.0004188+0.00048624i,-4.4596e-05-0.00030548i,0.00036131-0.00058804i,0.00045069-0.00048204i,0.00015764+0.00023573i
0.0022142-0.00088591i,0.0031052-0.0010918i,0.0023388-0.00024177i,0.0012905-0.00026607i,0.0014348-0.0012552i,0.001247+0.00026666i,0.0024725+0.0030089i,0.0036542+0.0040487i,0.0024981+0.0033064i,0.00073302+0.0025349i,-0.00021257+0.0016769i,-0.0002955+0.0011699i,0.00016535+0.001523i,0.00019915+0.0012659i,-2.0205e-05+0.00055753i,0.00049551+0.00010347i,0.0010448-0.0007398i,0.00086123-0.00072534i,-9.8042e-05-0.00020854i,-0.00043566-2.7444e-05i,-0.00020399+0.0003149i,-0.00043617+0.00052643i,-0.00024253+0.0012207i
-0.0011853+0.0031819i,0.00039647+0.002756i,0.0021551+0.0033782i,0.0018717+0.0038055i,0.0014834+0.0019085i,0.0018924+0.00041918i,0.0028795+2.5421e-05i,0.004606-0.00032837i,0.0046928-0.00076929i,0.0034209-0.00093416i,0.0023826-0.00019057i,0.0017675-6.9425e-05i,0.001349-0.00016938i,0.0011144-0.0007128i,0.0012817-0.0011081i,0.00077033-0.0008117i,0.0002177-0.00061653i,3.306e-05-0.00032601i,1.7498e-05-0.00023091i,0.00010832-0.00012754i,0.00049605+4.304e-05i,0.00070913+1.2703e-06i,0.00039994-0.00066126i
-0.00078332-0.0027525i,-0.00036559-0.0010619i,-0.00055487+0.0011534i,-0.00053435+0.0016778i,-0.00040182+0.0021327i,-0.00017506+0.0018931i,0.00094755-0.00081585i,0.0025363-0.003748i,0.0019929-0.0044374i,0.000257-0.00384i,-0.00034661-0.0026293i,0.00054541-0.0016402i,0.0015525-0.001421i,0.0011915-0.0012142i,0.00058821-0.00075925i,-0.00014076+3.1009e-06i,-0.00064802+0.00027967i,-0.00024699-0.00037143i,-0.0006109+5.4204e-05i,-0.0012607+0.00052471i,-0.00050514+0.00049327i,-8.3155e-05+0.00046466i,-0.0010792+0.00038956i
-0.0011339+0.0011563i,-0.0012063+0.0025169i,-0.000368+0.0032532i,0.0012561+0.0030279i,0.001151+0.0029754i,-0.000398+0.0022967i,-0.0014414+0.00031881i,-0.0032633-0.0022972i,-0.0044613-0.0037494i,-0.0040397-0.0025374i,-0.0027128-0.0011195i,-0.0011177-0.0017767i,-0.00091717-0.0031171i,-0.0010239-0.0035487i,-0.0005874-0.0025623i,-0.00085407-0.0011898i,-0.0012646-0.00013477i,-0.00066221+1.5004e-05i,0.00025632+6.4539e-07i,0.00061801-0.00021989i,0.00070577-0.00029016i,0.0011923-0.0002228i,0.00044415+0.00031597i
0.0013736+0.0024807i,0.001574+0.0017173i,0.0021684+0.0011982i,0.0022742+0.00038381i,0.00097864+0.00025437i,-0.00079866+0.0017135i,-0.001523+0.0025491i,-0.0021469+0.002478i,-0.0031432+0.0028453i,-0.003496+0.0019845i,-0.0025786+0.00027319i,-0.0017464-4.8675e-05i,-0.0016783+8.4238e-05i,-0.0013156-0.00010085i,-0.00089626+0.00064986i,-3.8603e-05+0.001242i,-0.00015619+0.00093193i,-0.00022809+7.661e-05i,0.0005445-0.00065468i,0.0009564-8.5607e-05i,0.00057434+0.00019862i,-1.0697e-05-4.503e-05i,-5.9617e-06-0.00014211i
-0.0016674+0.0023793i,0.00067458+0.0032584i,0.0012798+0.0040994i,0.00093381+0.0036071i,0.0016787+0.0012092i,0.0016325+0.000627i,0.0013591+0.0022709i,0.0019353+0.0040067i,0.0016685+0.0039959i,0.00090523+0.0025927i,0.0003465+0.0015211i,9.605e-06+0.00071574i,-0.00065576+6.7957e-05i,-0.0014441+0.00013365i,-0.00064988+0.00040436i,0.00068189+0.00027108i,0.0014591-0.00010147i,0.0011387-0.00020367i,6.1612e-05-0.00047025i,-0.00016608-0.00049877i,-3.0279e-05+6.6688e-05i,2.9447e-05+0.00045721i,0.00068989+0.00067857i
1.925e-05-0.00023824i,0.00035647-0.00068323i,0.00054705+6.4285e-05i,0.00052409+0.0018857i,-8.0222e-05+0.0018686i,-0.00080071+0.00069077i,0.0013565+0.00064692i,0.0045155+0.00056843i,0.0054274+0.00025327i,0.0042379+0.00012462i,0.0021714+0.00019676i,0.00072358+0.00041797i,0.00044207+0.00061147i,0.00035863+0.00063995i,0.00059278-0.00031445i,0.00082564-0.0013913i,0.00056914-0.0015431i,-0.00047503-0.00077929i,-0.0014824-0.00028591i,-0.00084668-0.00021016i,-0.00080827+0.0002067i,-0.00082571+0.00051371i,-0.00039005+0.00050649i
-0.00061984-0.00070054i,-0.00029945-0.0012385i,-0.00079566-0.00079702i,-0.00039611+0.0012797i,0.00050572+0.0025024i,0.00072638+0.0020552i,0.00052458+0.00029369i,0.001408-0.003039i,0.0023414-0.005337i,0.0013404-0.0048728i,0.00074573-0.0026798i,0.001343-0.00045591i,0.0012103+0.0001676i,0.0010329-0.0002706i,0.00016065-0.00020109i,-0.0011341-0.00047923i,-0.00093959-0.00095899i,-0.00054677-0.00065754i,-0.0010742+0.00040614i,-0.0012879+0.00079584i,-0.00054458+0.00032092i,-4.2283e-05+0.00035674i,-0.00031345+0.00030095i
-0.00144-0.00057218i,-0.0011962+0.00022789i,-0.0021785+0.00099182i,-0.0019655+0.0019299i,-0.00085087+0.0028523i,0.00028583+0.0027396i,-0.00028802+0.00056369i,-0.0025358-0.0026189i,-0.0032155-0.0045943i,-0.0035083-0.004331i,-0.0027979-0.0026007i,-0.00095046-0.0011359i,-4.2687e-05-0.0009421i,-0.00010493-0.001017i,-0.00021187-0.0004132i,-0.00020651+2.6289e-05i,-0.00073746+0.0001707i,-0.00092734+0.00010328i,-0.00014626+0.0004198i,-1.8031e-05+0.00080707i,-0.00026131+0.00048569i,-0.00022304+0.00014894i,-0.00014646-0.00027374i
-0.0011075+0.00080324i,-0.00062132+0.0019777i,-0.00075541+0.0029872i,-0.00063931+0.0029863i,-0.00043505+0.0016172i,-0.00080418+0.0008307i,-0.0017283+0.00043902i,-0.0032798+0.00092271i,-0.0049242+0.0014669i,-0.0044643+0.0014495i,-0.0028136+0.00092577i,-0.0010756+4.9223e-05i,-0.0002065-0.00074i,-5.8795e-05-0.00088272i,0.00089286-0.00045643i,0.0014635-0.00026917i,0.0012571-0.00014792i,0.00062676+0.00063394i,0.00039496+0.00072764i,0.00028277+0.0001296i,-0.00023767-0.00029731i,-0.00059867-0.00034179i,-0.00033896-0.00051171i
-0.0016659-0.0018101i,-0.0016968-0.0012265i,-0.0015918+0.00065035i,-0.0018089+0.0014933i,-0.0013683+0.0020574i,-0.00094996+0.0031799i,-0.0010555+0.0035903i,-0.00053469+0.0032966i,7.4756e-05+0.0037654i,-0.00022266+0.0036023i,-0.00050296+0.0031906i,8.9375e-05+0.0014607i,-0.00050867-0.00071316i,-0.0010089-0.0015876i,1.1869e-05-0.001947i,0.0003902-0.0019874i,0.00015821-0.0018141i,2.3321e-05-0.0012905i,0.00010024-0.0008327i,0.00039169-0.00095273i,0.0002793-0.00057813i,-0.00043156-0.00022266i,-0.00048967-0.00059068i
-0.0013658+0.00048384i,-0.001045+0.002249i,-0.00080379+0.0044671i,0.00042728+0.0055933i,0.0011734+0.0045i,0.0021866+0.0029812i,0.0029305+0.0023797i,0.0032386+0.001846i,0.0031785+0.0014559i,0.0023595+0.0013491i,0.0018265+0.00096484i,0.00099908+0.00082985i,0.00015539+0.0010755i,-7.4752e-05+0.00051758i,-0.00080331-4.2431e-06i,-0.001604-0.00036006i,-0.0017251-0.0010953i,-0.0016926-0.00085368i,-0.0011989-0.00011019i,0.000223-0.00011035i,0.00040911+4.6415e-05i,-0.00027401+0.00020776i,-0.00027627-0.00047015i
-0.0026885-0.00056429i,-0.0037146+0.00097942i,-0.0031935+0.0021898i,-0.00091273+0.002344i,0.00060681+0.0021874i,0.00098672+0.00096997i,0.0026158-0.00037828i,0.0032408-0.0015167i,0.0026004-0.0034603i,0.0020788-0.0037739i,0.00068681-0.0020952i,0.00020365-0.00051801i,0.0011885-0.00024759i,0.00086859-0.00028526i,-0.00056247+9.5127e-05i,-0.001466+0.00033838i,-0.001516+0.001391i,-0.0012205+0.0017641i,-0.0011747+0.00083973i,-0.00064364+0.00043202i,-0.00017307+0.0010932i,0.00080116+0.0010858i,0.00086937+0.00057317i
0.00060834-0.00028421i,0.00030638+4.2407e-05i,-0.00021988+0.0006499i,-0.00071607+0.00064062i,-0.00080217+0.00043577i,-0.0002379-5.3151e-05i,-0.00049109-0.0012428i,-0.00060918-0.0025003i,-0.00092086-0.0040755i,-0.0019913-0.0043207i,-0.0015577-0.0027525i,7.7959e-05-0.0012651i,0.00043235-0.0010367i,0.00077849-0.00046862i,0.0020002+0.00036159i,0.0018528+0.00060145i,0.0006878+0.00081397i,-4.3155e-05+0.00074495i,-0.00035823+0.00032097i,-0.00048949+0.00043162i,-9.0075e-05+0.00012479i,-0.00032334-0.00028311i,-0.00058538-0.00014178i
0.0015586+0.0019268i,0.0022401+0.0026004i,0.0035834+0.0025574i,0.0026852+0.00097596i,-0.00014253+0.00060159i,-0.001737+0.0014703i,-0.002733+0.0021218i,-0.0035126+0.00090514i,-0.0038446-0.0001441i,-0.0039178-4.3767e-05i,-0.0030423+2.466e-05i,-0.0015028-0.00017991i,-0.0011955-0.00057837i,-0.0012012-0.00069106i,-0.00070617+0.00017189i,-0.00068747-7.0561e-05i,-0.00040052-0.00067243i,0.000374-0.0001231i,0.00041012+0.00053082i,0.00045163+0.00079161i,0.00044837+0.0002205i,-3.1633e-05-0.00035164i,-0.00055249-0.00050783i
0.0019357-0.00010607i,0.0011895-0.00039776i,0.00062766-6.6218e-06i,0.00025996+0.00065347i,-0.00019112+0.0015085i,-0.0011166+0.0024799i,-0.00068011+0.0034043i,0.00046945+0.0038594i,0.00052861+0.0029354i,0.00041525+0.0019209i,-0.00045598+0.00081846i,-0.00058173-0.00071636i,-0.00028634-0.00085336i,-0.0005609-0.00070064i,0.00027741-0.00013268i,0.00088978+0.00050396i,0.00034895-0.00033572i,0.00041234-0.00055833i,0.0011728+0.00038725i,0.00035442+0.00058769i,-3.6282e-05-0.0001292i,0.00029769-0.00078797i,0.00016423-0.00088588i
0.0025473+0.0022607i,0.003939+0.0033078i,0.0054623+0.0034207i,0.0054797+0.0017145i,0.0036378+0.00046383i,0.0018726+0.0013009i,0.0016093+0.0016838i,0.0022705+0.00028312i,0.0030088-0.00029667i,0.0017478+3.9014e-05i,0.0012231+0.00031791i,0.0013754+0.00026846i,-0.00027805+0.00054332i,-0.0014854+0.00079664i,-0.0015812-0.0003341i,-0.0017453-0.0011642i,-0.0016244-0.0013237i,-0.0014681-0.0016675i,-0.0013627-0.0013845i,-0.00047403-0.00062895i,-7.2073e-05-0.00037724i,0.0001307+9.4336e-05i,3.356e-05+0.00040581i
-0.0019612-0.0010104i,-0.0020326-0.0010154i,-0.0021716-0.00025879i,-0.0010773+0.00018221i,0.000291+0.00021855i,0.00017263-7.8505e-05i,0.00034579-0.001475i,9.1182e-05-0.0025885i,-0.0002681-0.003299i,-0.00023454-0.0032127i,-0.00046792-0.0019117i,0.00011124+0.00013592i,0.00058243+0.0014821i,-0.00043538+0.0020105i,-0.0012028+0.0020059i,-0.0009581+0.0020534i,-0.0011192+0.0015676i,-0.0012642+0.0012518i,-0.00023884+0.00075872i,0.00080734-0.00023654i,0.00039747-0.00030608i,-0.00023055+0.00027921i,-0.00065715+0.00016933i
0.0020899+0.0017497i,0.0025725+0.0021348i,0.0038756+0.0027181i,0.0033781+0.0019899i,0.0017968+2.7647e-05i,-0.00050131-0.00090212i,-0.0026773-0.0002435i,-0.0032321-0.00067883i,-0.002826-0.0018104i,-0.0020771-0.0021869i,-0.0011556-0.0010005i,-8.7111e-06-1.0442e-05i,0.00080535+0.00017231i,0.00081256+0.00010838i,0.00063387+0.00085275i,0.00027241+0.0014506i,0.0002542+0.0010476i,0.00083308+0.0010204i,0.00069508+0.00085961i,-0.00027749+0.00049034i,-0.001164+0.00048321i,-0.0011316+4.4004e-06i,-0.0012591-0.00020842i
-0.00075885-0.00058736i,-0.0014018-0.0010443i,-0.0023387-0.00069131i,-0.0018356+0.00026577i,-0.0020401+0.00089889i,-0.0022182+0.0015552i,-0.0012778+0.0021165i,-0.00052853+0.0025103i,-0.00097035+0.0025343i,-0.0013772+0.002722i,-0.00067443+0.0023875i,-0.00016117+0.001155i,-3.4481e-06-0.00017858i,0.00037768-0.0009306i,0.0011424-0.00040611i,0.0015852-0.00018321i,0.0011218-0.00063476i,0.00056626+9.8169e-05i,0.00036473+0.0012088i,0.00032394+0.00099004i,0.00026142+0.00010643i,0.00045865+0.00047991i,0.00061706+0.00076071i
-0.00042498+0.0013527i,0.0013237+0.0025649i,0.0029246+0.0043431i,0.0036672+0.0044437i,0.0032077+0.0038538i,0.0015721+0.003829i,0.0019744+0.0032194i,0.0039728+0.0024507i,0.0043457+0.0019355i,0.0040363+0.0016043i,0.0032032+0.00082048i,0.0012108-0.00055417i,-0.00022064-0.0016184i,-0.00091591-0.0019911i,-0.00067241-0.00231i,0.00038083-0.0026416i,0.00012115-0.0024902i,-2.4606e-05-0.0016937i,0.00070589-0.0010121i,0.0013766-0.00041656i,0.0011534-2.7849e-06i,0.00028707-0.00042643i,7.6859e-05-0.00062228i
-0.00027464+0.00047838i,6.5031e-05+0.00040764i,0.0015159+0.00015133i,0.0027022-0.00048378i,0.001839+0.00036622i,0.0013966+0.0010155i,0.0032899-0.0008409i,0.0040626-0.0039049i,0.0033336-0.0048438i,0.0031049-0.0040289i,0.002641-0.0021592i,0.0015988-0.00016812i,0.00075895+0.00048616i,-0.00036641-1.0896e-05i,-0.0013188-0.00027158i,-0.001771-0.00089163i,-0.0023473-0.00067432i,-0.0016991-0.00021361i,-0.0002778-0.00048567i,9.5244e-05-0.00034921i,0.00035182-0.00095992i,0.0012454-0.0010839i,0.0010823-0.00043702i
-0.0016133+0.00246i,-0.0011396+0.0039861i,-0.00071799+0.0046122i,-0.0001743+0.0032708i,0.0011524+0.001288i,0.0015821-3.8231e-05i,3.7995e-05-0.0014992i,-0.00096446-0.0038219i,-0.0014984-0.0052704i,-0.0017949-0.0047364i,-0.00072159-0.0031287i,0.000194-0.0015333i,8.1593e-05-0.00040951i,-0.00060317-0.00035649i,-0.0013122-0.00063756i,-0.0015498-0.00034902i,-0.0013573+0.00047702i,-0.00077398+0.00076609i,-0.0010258+0.00065464i,-0.0014641+0.00038728i,-0.00089636-0.00040824i,-0.00014122-0.001105i,7.6434e-05-0.001225i
0.0007419+0.00053698i,0.00114+0.0014137i,0.0024957+0.003828i,0.0014361+0.0035349i,-0.00044939+0.0017496i,-0.0015457+0.0011143i,-0.0028212+0.00049627i,-0.0045112+0.00036251i,-0.0060843+0.00052876i,-0.0051765-4.4501e-05i,-0.0026454-0.00046483i,-0.00088455-0.00021567i,-0.00022586+0.00010949i,0.00053036+0.00054534i,0.00099308+0.0012913i,0.0011041+0.0012507i,0.0011646+0.0008074i,0.0015439+0.00067397i,0.0017349+0.00055621i,0.00091664+0.00044971i,-0.0010303-4.4582e-05i,-0.0015753+2.152e-05i,-0.00090419+8.0437e-05i
-0.00045558-0.00027045i,-0.0010551+0.00068651i,-0.00067976+0.0021061i,-0.00055079+0.0030542i,-0.0016402+0.0038382i,-0.0023968+0.0037137i,-0.0015867+0.0040468i,-0.0010877+0.0055927i,-0.0015393+0.0058786i,-0.0017097+0.0039877i,-0.0016632+0.0016396i,-0.0010743-6.0479e-05i,-0.00024136-0.0007508i,0.00036526-0.0012348i,0.00076654-0.0010184i,0.0011669-0.00043142i,0.0011344-0.00072267i,0.00058834-0.0012412i,0.00044156-0.00077791i,0.00049138+0.00066853i,0.00047065+0.001434i,0.00026883+0.0014796i,-0.00055979+0.00092423i
-0.00053182-0.0019847i,-0.00091052+8.6067e-05i,-0.00072417+0.0016942i,0.0010218+0.0031176i,0.0016066+0.0045012i,0.0010997+0.0052055i,0.0026725+0.0046933i,0.0044833+0.0037424i,0.0042822+0.0025867i,0.0026759+0.0016218i,0.0015405+0.0010179i,0.00069974+2.178e-05i,-0.0005023-0.0010491i,-0.00032265-0.0017472i,7.298e-05-0.0020693i,-6.3417e-05-0.0022873i,-4.905e-05-0.0011575i,-0.00047165+0.0002767i,-0.00072168-0.00026249i,-0.00040475-0.00087524i,0.00036544-0.0001175i,0.0010477+0.00070052i,0.00073496+0.00021173i
0.002348+0.0015004i,0.0024725+0.0007213i,0.0024415-0.00039719i,0.0016799-0.0011441i,0.00097899-0.00083833i,0.0010536-0.00019537i,0.0023942-0.0016054i,0.0054141-0.0040684i,0.0067239-0.0056174i,0.0052006-0.0049472i,0.0029291-0.0015954i,0.00079406+0.00062299i,-0.00050356+0.00070704i,-0.0013269+0.0012004i,-0.0016883+0.0013419i,-0.0008911+0.0008347i,-0.00099134+0.0006532i,-0.0015202+0.00052609i,-0.0013726-0.00029711i,-0.001169-0.00031237i,-0.00036603-0.00034002i,0.00028991-0.00049494i,0.00060613+2.9629e-05i
