-0.0017925+0.00026148i,-0.00031376-0.00023577i,-0.0016528+0.00083173i,-0.0012872+0.0012897i,0.00015986+0.0015955i,0.00085247+0.00091505i,0.00071902+0.00010795i,-0.00033657+0.00079376i,-0.00024862+0.0011155i,0.0007473+0.00063208i,0.00085234-0.00031093i,0.00071455-0.00069619i,0.00085905-0.00016642i,0.00038888-0.00030595i,-0.0005314-0.00058413i,-0.00062659-0.00010424i,-0.00059119+0.00042234i,-0.00066523+0.00052117i,-0.00082392+0.00012863i,-0.00044044+2.972e-05i,0.00014123+0.00080883i,-8.3508e-05+0.0011759i,-0.00035162+0.00060614i
-0.00031667-0.00042797i,0.00063309-0.00038092i,1.0232e-05+9.8183e-06i,-0.0013241+0.0017786i,-0.0017127+0.0033198i,-0.0009832+0.0029415i,-0.00022294+0.0015556i,0.00047245+0.00029731i,0.00084406+0.00028336i,0.00076979+0.0004899i,0.0011988+0.00052304i,0.0019237+0.00085677i,0.0011832+0.00062769i,0.00018578+1.5012e-05i,0.00032135-0.00040343i,0.0010918+0.00037461i,0.00070465+0.0010129i,-0.00038675+0.00061659i,-0.0014166-0.00037122i,-0.0014749-0.0010009i,-0.0013149-0.00075073i,-0.001353-0.0004708i,-0.0014045+9.5785e-05i
-0.0002006-0.00077886i,0.00026036+5.4127e-05i,-0.00074937+0.0013873i,-0.0015621+0.0021226i,-0.0013483+0.0024523i,-0.0004344+0.0022657i,9.1975e-05+0.00079359i,8.0194e-05-0.00023336i,0.00052167-0.00042335i,0.00071219-0.00012382i,0.00017501+9.5682e-05i,-5.3881e-05+0.00016585i,-0.00018301-0.00035759i,-9.2994e-05-0.0007427i,0.00023651-0.00048266i,0.00010911-6.9988e-05i,-3.9155e-06-0.0004104i,0.0002422-0.00030537i,-6.6905e-05+0.00087693i,-0.00020385+0.00085822i,-0.00015097+0.00049398i,-0.00069961+0.00024703i,-0.0009732-4.588e-05i
-0.00091479-0.00090125i,-0.00033843-0.0014955i,-0.0013569-0.00088158i,-0.001076-0.00013307i,-0.00041778+0.0018654i,0.00017016+0.0019095i,0.00052875+0.00034686i,0.00042142-0.00033304i,0.00048043-0.00031559i,0.00012115-0.00025639i,0.00020544-0.00065493i,0.0005954-0.0010611i,0.0001661-0.00087134i,-0.00069712-0.00065766i,-0.001614-0.00056222i,-0.0016699-0.00025521i,-0.00081908-0.00022337i,-0.00045848+0.00010152i,-0.00017324+1.5332e-05i,0.00014312-0.00019958i,-3.1053e-05-0.00010171i,-0.00032339-0.00021612i,5.8539e-05-0.0007679i
0.00013308-0.0011313i,-0.00070031-0.0011001i,-0.00059901-0.00081811i,-0.00067032+0.0014477i,-0.0010681+0.0026725i,-0.00013311+0.0016477i,0.00034943+0.00089135i,-0.0006422+0.00083747i,-0.0011+0.00013946i,-8.9838e-05-0.0002139i,0.00018719+0.00054356i,-0.00097233+0.00038868i,-0.0013983-0.00079681i,-0.00053382-0.0009794i,-0.00066843-0.0003251i,-0.0012819-0.00011772i,-0.00043358-5.7379e-05i,-0.00047189+0.00043259i,-0.00081534+0.00069347i,8.8953e-05+0.00071914i,0.00094473+0.00057183i,0.00070977+0.00053183i,0.00011055+0.00046411i
-0.00085585-0.00038193i,0.00023959-0.00013488i,0.0002857+0.00047187i,-0.00025597+0.0010675i,-0.00020891+0.0018917i,7.049e-06+0.00092196i,-0.0004052-0.00035153i,-0.00078686-0.00019257i,-0.0011067+0.00019444i,-0.00045306+0.00057083i,0.00067012+0.00081322i,0.00090528+0.0013338i,0.00055637+0.0012736i,9.6333e-05+0.00077166i,0.00017716+0.00043579i,-8.7561e-05+0.00014153i,-0.00072278-0.00032993i,-0.0011408-0.00036427i,-0.00088281+0.0002946i,-8.5354e-05+0.00036079i,0.00016855-0.00044221i,0.0002748-0.00046847i,0.00039006-0.00022786i
0.00031753+0.00081331i,-0.00072895+0.00013643i,-0.0012574+2.4374e-05i,-0.0009044+0.0010448i,-0.0014711+0.0022194i,-0.0014841+0.0022669i,-0.00062797+0.00014608i,-0.00047034-0.00077285i,-0.00070217-0.00014175i,-0.00098792+0.00035742i,-0.00059397+0.00097728i,0.00046676+0.0011196i,0.0010223+0.00096483i,0.00068533+0.00068533i,-0.00013522+0.00017073i,-1.6348e-05-0.00023985i,0.0001549-0.00026132i,-8.4959e-05-1.7482e-05i,2.3842e-05+0.00024841i,-0.00031279+0.00039789i,-0.0011432+0.00058187i,-0.00069238+0.0006997i,-0.00018056+0.0001747i
0.0015615-0.00050325i,0.0015062-0.00077823i,0.00051059-0.00019179i,-0.00036789+0.0015645i,-0.00064053+0.003515i,-0.00018847+0.003828i,0.00044969+0.0015695i,0.0007861+5.1108e-05i,0.00063042+0.00017115i,0.00068933+0.00018465i,0.0012684+0.00041246i,0.0012163+0.0005205i,0.00028222+3.168e-05i,-0.0001715-0.00031935i,-0.00040433-0.00052939i,-0.00049157-0.00062873i,-6.5758e-05-0.00035134i,0.00020404+3.3788e-05i,-0.00017877-0.00012462i,-0.00063913+8.8646e-05i,-0.00036483+0.00036023i,-0.00020449+0.00026231i,-0.00072244-2.8001e-06i
0.00020699+0.0009176i,-0.00083572+0.00077668i,-0.001691+0.00098695i,-0.0026055+0.0019652i,-0.002313+0.0030803i,-0.00090682+0.0030883i,-0.00058191+0.0015572i,-9.8741e-05+0.00011951i,0.00060132+0.00039775i,0.00064291+0.00099067i,0.00087161+0.00030579i,0.00053129-0.00045443i,0.00054263-0.00015479i,0.00078582-4.9353e-05i,0.00013188+0.00022584i,-0.00040134+0.00049957i,-0.00069003+0.00058955i,-0.00084655+0.00090394i,-0.00051469+0.00048724i,-0.00048813+0.00045901i,-0.00027046+0.00086378i,0.00033549+0.00055795i,0.00026994-9.7629e-05i
0.0011818-0.0004371i,0.0014207+0.00053508i,0.00074092-0.00010192i,0.00070328+3.057e-05i,0.00013189+0.0014088i,-0.00023335+0.0017249i,-0.00036052+0.00065551i,-0.00023277-0.00025616i,3.8002e-05-0.00057478i,-8.4545e-07-0.00049449i,-0.00011641-0.0010564i,0.00018822-0.0014261i,0.00021352-0.0011743i,-0.0008244-0.0011166i,-0.00083105-0.00077731i,-0.00078474+0.00018861i,-0.00085052+0.00044722i,-0.00023326+0.00028994i,-0.00014866+4.239e-06i,0.00011843+4.3139e-05i,0.00025101+0.00058611i,0.00069434+0.00040663i,0.0010035+0.00082785i
0.00030481+0.0012116i,-6.7608e-05+0.00063007i,0.00010674-8.8499e-05i,0.00036864-0.00040367i,0.00073851-0.00023613i,0.00085544+0.00049232i,0.00063121+0.0001567i,-0.00033159-0.000399i,-0.00067242-7.045e-05i,0.00045314+0.00063584i,0.00071955+0.00043435i,-0.00019069+1.9099e-05i,-0.00063644-4.6e-07i,-3.9855e-05-0.00018854i,0.00014517+0.0004412i,-8.7623e-05+0.0010039i,-0.00069371+0.00086359i,-0.00080174+2.8426e-05i,-8.5537e-05-0.00075727i,-0.00043189-0.00089165i,-0.00036039-0.00077972i,0.00016871-0.00066891i,8.0658e-05-0.00075333i
-0.0010278-1.4249e-05i,-0.0018005-0.0011261i,-0.0024104-0.00034588i,-0.0021187+0.0011643i,-0.0014162+0.0030927i,-0.00035044+0.0028603i,-5.9925e-05+0.00022333i,-0.00057647-0.00096676i,-0.00094111-0.0012045i,-0.0004461-0.00139i,0.00046182+0.00013489i,0.00017735+0.0012666i,-0.00010663+7.7343e-06i,0.00099269-0.00068081i,0.00086771-0.00016147i,-0.0001699+7.944e-05i,-0.00025323+0.00025818i,-0.0001953+0.00032083i,-0.00024839+0.00086209i,6.8305e-06+0.00083504i,0.00090102-4.5617e-05i,0.0008688-0.00014841i,8.0165e-05+0.00037763i
-0.00064755+0.00043658i,-4.2339e-05+0.00071302i,0.00065798+0.00061636i,-0.00079569+0.0010731i,-0.0015173+0.0024662i,-0.00046189+0.0018724i,0.00024067+0.0010958i,-0.00023326+0.0013687i,-0.00028736+0.00078821i,-4.6205e-05+0.0004598i,0.0003526+0.00049796i,0.00097881+5.5379e-05i,0.0011762-0.00032587i,0.0005469-0.0004862i,-0.00014471-0.00082115i,-0.00028547-0.00043639i,-0.00025316+0.0005682i,-0.00028051+0.00084536i,-0.00056194+0.00078279i,-0.0008548+0.00059837i,-0.00027686+0.00023612i,0.00033395-0.00021971i,0.00050478-0.00041396i
-0.00017491+0.00048453i,0.00019626+0.00044915i,-5.0315e-05+8.475e-05i,-0.0012955+0.00076004i,-0.002497+0.0019784i,-0.0016508+0.0018124i,-0.00091785+0.001133i,-0.00055082+0.00050391i,9.908e-05+0.00028819i,0.00087196+0.00051851i,0.0012203+0.00056408i,0.00111+0.00043005i,0.00038014+0.00040087i,0.00020971+0.00056807i,0.00032093+0.00048747i,-3.3549e-05+0.00010799i,0.00036785+0.00029555i,0.00076171+0.00058078i,0.00035467+0.00042441i,-0.00012614+0.00082043i,-0.001157+0.0011865i,-0.0011699+0.00062457i,-0.00011922+2.8995e-05i
-0.00029156+0.00066515i,0.00039481+0.00031183i,0.0012422+0.00056386i,0.0005391+0.0020746i,-0.0004223+0.0032788i,-0.00010305+0.0022229i,-0.0003899-0.00019877i,-0.00070885-0.0014466i,4.2521e-05-0.0011282i,0.00097618-0.0012774i,0.00076299-0.0014983i,0.00020283-0.0014548i,-0.00032859-0.00081218i,2.6205e-05+6.2885e-05i,0.00016775-0.0001266i,7.3911e-05-0.00064891i,0.00029689-0.00062232i,0.00014113-0.0003738i,7.4964e-06-0.0011586i,-0.00025923-0.001018i,-0.00032319+0.0002966i,3.5645e-06+0.00092833i,0.00047409+0.00084103i
-0.00076577-0.0014389i,0.00028063-0.0010012i,-0.00065412+0.00036677i,-0.00057369+0.0018534i,0.00049655+0.0024602i,0.001686+0.00204i,0.0017452+0.00036261i,0.00070331-0.00028489i,0.00032032-0.00027644i,0.00034883-0.0014727i,0.0010608-0.0015032i,0.0008045-0.00058927i,2.8509e-05-0.0006118i,7.5255e-05-0.00023283i,-0.00013878+0.00013642i,-0.00040792+0.00019415i,-0.00096526+0.00025007i,-0.0015221-0.00013054i,-0.0012429-0.00040003i,-0.00018057-0.00023756i,0.00055622+7.8979e-05i,0.00033088-0.00018648i,0.00027589-0.00061177i
-0.00028433-0.0019524i,-0.00090233-0.0028089i,-0.001792-0.0025447i,-0.0028059-0.00039694i,-0.0025867+0.001711i,-0.00092908+0.0017039i,2.1675e-05+0.0002633i,-0.00036257-0.00022247i,-0.001037-8.6014e-05i,-0.0013547+4.434e-05i,-0.00098392+0.00032705i,-0.0002309+0.00037841i,0.00023603+0.00060155i,0.0001654+0.00057739i,-0.00041514-0.00026716i,-0.00050077-0.00070874i,7.4083e-05-0.00049172i,0.0001464-0.00029002i,-2.4322e-05+9.1485e-05i,0.00016259+0.00026692i,0.00033943-7.7782e-05i,-0.00024632-0.0013892i,-0.001397-0.00088479i
-0.00057535-0.00037246i,-0.0001063-0.0001941i,-0.00047693+0.0013711i,-0.001415+0.0025943i,-0.0004285+0.002627i,0.00078885+0.0019046i,6.274e-05+0.0012373i,-0.0013581+0.00054754i,-0.00073461+0.00016266i,0.00013848+0.00062841i,0.00053548+0.00031753i,0.000895+8.2525e-05i,0.0012329+0.00024354i,0.00082197-0.00027801i,2.604e-05-0.00038536i,-0.00014855+0.00029522i,-0.00067615+0.00070909i,-0.00037315+0.00051423i,2.3957e-05+0.00054297i,-0.0003371+0.00015729i,-0.00057665-0.00060415i,-0.00045764-0.0006019i,4.4838e-05-0.00035466i
0.00042076-0.00062249i,0.00040037+0.00073743i,-0.001054+0.0017015i,-0.0013509+0.0024154i,-0.00020256+0.0024043i,0.0010822+0.0016957i,0.00047752+0.00095029i,-9.5554e-06+0.00050417i,1.8565e-05+0.00021309i,0.00076824-0.00037592i,0.0012469+5.1019e-05i,0.00022196+0.00027806i,0.00017531-0.00046332i,0.00061383-0.00023136i,0.00034463+0.00038587i,0.00035939+0.00027551i,0.00057577+0.00035147i,0.00033441+0.00058848i,5.3859e-06-0.00025474i,0.00029972-0.0007058i,0.00032289-9.7686e-05i,2.9084e-06+0.00019747i,-8.9628e-05+2.5098e-06i
0.00057046-0.0008834i,0.00085181-0.0002854i,0.00048896-0.00032129i,-0.00033419+0.00030947i,-0.00021079+0.0016762i,-0.00016364+0.002448i,-0.00055302+0.0022353i,-0.00013237+0.0019298i,0.00093722+0.0012844i,0.0018492+0.00015282i,0.0014351-0.00092614i,0.00051583-0.0011897i,0.00067022-0.0002089i,-6.2565e-05+0.00049363i,-0.00088486+0.0003793i,-0.00068316+0.0001955i,0.00024803-0.00068644i,0.00098142-0.0014601i,0.00072935-0.001083i,-0.00041609-0.00034704i,-0.001055+0.00017888i,-0.00016101+0.0003488i,0.00036856-4.3676e-05i
-0.0011204+0.0016332i,-0.00097141+0.0016493i,0.00020248+0.0028011i,0.00069686+0.0022997i,0.00059467+0.00090015i,-5.5362e-05-5.5747e-05i,-0.00029915-0.0002142i,0.00069516+0.00055836i,0.0010598+0.0011507i,0.00019866+9.4617e-05i,-0.0002277-0.0011768i,0.00028225-0.0016409i,0.00050958-0.00093842i,-0.00080548+0.00031181i,-0.0013197+0.00084068i,-0.00102+0.0010305i,-0.0004669+0.00068858i,-0.00030086+0.00017933i,-0.0002893+0.00080277i,0.00042022+0.0012567i,0.00056185+0.00056986i,9.8666e-05-0.00065664i,-0.00020909-0.0010214i
-6.0907e-05-0.0012288i,-0.00033627-0.0015185i,-0.00059647-0.00065413i,-0.001042+0.0004769i,-0.0011034+0.0018483i,-0.00020879+0.0013793i,-1.6671e-05-0.00021467i,-8.251e-05-0.00064507i,8.2169e-05-0.00022975i,-0.00018066-5.7854e-05i,-0.0010117+0.00029616i,-0.00082965+0.0010738i,2.6524e-05+0.0010522i,0.00026876+0.00079639i,0.00016831+0.0010119i,-0.00042675+0.0012672i,-0.00044129+0.0013239i,0.00033104+0.00081867i,0.00053187+0.00025404i,-1.4468e-05-3.3572e-05i,-0.00034964+4.9148e-05i,-5.5646e-05+0.00045254i,0.00013352+0.00015548i
-0.0011031-0.0013323i,-0.0011282-0.00065222i,-0.0021847+0.00052776i,-0.0029291+0.0012335i,-0.0022769+0.0015672i,-0.00075596+0.0012179i,-5.963e-05+0.00049478i,-0.00071502-0.00040867i,-0.00086975-0.00062793i,-0.00042982-0.00058721i,-0.00049173-0.00020883i,-0.00079771-0.00015005i,-2.2237e-05-0.00025514i,0.00042252-0.00044931i,0.00055409-0.00086897i,0.00044658-0.0011027i,0.00028184-0.00098277i,9.2038e-05+0.0001486i,0.00035659-0.00020204i,0.00094198-0.00032657i,0.00043625+0.00062547i,0.00052003+0.00066071i,0.00085681+0.00012052i
0.00040604-5.9423e-05i,0.00017822+0.0003809i,-0.00058228+0.00099622i,-0.0011825+0.0024503i,-0.0010622+0.003459i,-0.00045511+0.0033101i,-0.00046349+0.0012614i,-0.00055229+1.3675e-05i,-0.00042+0.00044827i,0.00046263+0.00045613i,0.0010911+0.0010542i,0.0013885+0.0011668i,0.0015092+0.00040038i,0.00090801-0.00029643i,0.00035402-0.00044162i,0.00055548-0.00023028i,0.00053261-0.00028157i,-0.00046969-0.00016894i,-0.0010326-0.00034781i,-0.00069514-0.00023812i,0.00025497-0.00040339i,0.00075952-0.00068197i,0.00017385-0.00064465i
-3.2549e-05-0.00058298i,-0.00051804-0.00015495i,-0.0015111+0.00029586i,-0.001629+0.0011973i,-0.0008501+0.0027504i,-9.8949e-05+0.0032374i,0.00032316+0.001793i,0.00063141-0.00024609i,0.00095109-0.00058493i,0.0011229+0.00039078i,0.001192+0.00070346i,0.001148-7.8781e-05i,-0.0001854-0.00026812i,-0.0010481-0.00038463i,-0.00042066+0.0001069i,-0.00046458+0.00030745i,-0.00068036-3.3814e-05i,-0.00018998+3.0611e-05i,6.5243e-05-1.2887e-05i,-0.00064727-3.84e-05i,-0.00063636+5.3268e-05i,-9.0659e-05+0.00012616i,0.00034779+8.4788e-05i
-0.00012066-0.00051459i,0.00074015-0.0012683i,0.0014619-0.00040357i,0.0015755+0.00087609i,0.00056868+0.0020232i,0.00056614+0.0026468i,0.0010044+0.0015186i,-7.207e-05+0.00019361i,0.00022199+0.00019693i,0.0015807-0.00044379i,0.0018419-0.00084257i,0.00075374-0.00065306i,-0.00030447-0.00060039i,-0.00083305+0.00018179i,-0.001031+0.00061509i,-0.00072037+0.00041079i,-0.00059722+0.00016516i,-0.00091489-0.00039808i,-0.0009548-0.00026633i,-0.00018542+0.00029771i,0.00069258+0.0003482i,0.00074992+0.0009544i,0.00020018+0.0011115i
-0.0012405-0.00021704i,-0.00050086-0.00051896i,-0.0016353+0.00059289i,-0.0031951+0.0021982i,-0.0026469+0.003145i,-0.00089422+0.0024141i,-0.0007725+0.0013454i,-0.00071511+0.00065852i,3.0722e-05+0.00032606i,0.00063918-0.00016124i,0.0010523-0.00019247i,0.00052331+0.00072154i,-0.00032886+0.0010072i,-0.00019101+0.00094375i,-0.00021406+0.00059988i,-0.0011061+0.0001972i,-0.0013772-0.0002894i,-0.0009958-3.1673e-05i,-0.0003326+0.00026046i,0.00047037-0.00023371i,0.00041356-0.00032747i,-0.0005443-0.00062681i,-0.00071169-0.0010698i
0.0014414+0.00047481i,0.00080369-0.000957i,0.0012822-0.0010421i,0.00093149+0.00031212i,-0.00080517+0.0014854i,-0.001264+0.0010595i,1.1826e-05+0.00038501i,0.00098251-0.0001871i,0.00078284-0.00056473i,0.00013551-0.00081705i,-8.2212e-06-0.00043166i,-0.00014203+0.00076909i,-0.00037916+0.0014286i,-0.00038996+0.0013193i,-0.00018258+0.0012642i,-0.00030742+0.001085i,-6.9199e-05+0.00073759i,0.00013206+0.00058121i,-0.0006688-4.9582e-05i,-0.00055553-0.00092077i,-0.00025627-0.00040655i,-0.00087192+0.00010368i,-0.00096187+0.00040865i
0.00017237+0.00030529i,0.00062115+0.00098908i,-0.0003252+0.0017477i,-0.0011494+0.0018524i,-0.0018296+0.0019114i,-0.0013165+0.0015996i,-0.00072439+0.00076934i,-0.00092449-0.0001083i,-0.00036896-0.00018186i,0.00033952+0.0003535i,0.00047918+0.00094521i,-4.2387e-05+0.0012285i,4.2328e-05+0.00027359i,0.00043282-2.7727e-05i,0.0003248+0.00031231i,0.00019605+0.00097143i,9.0626e-05+0.00066662i,0.00015838+0.00035705i,0.00024371+0.00103i,-0.00025806+0.00118i,-0.00051675+0.0011596i,-3.1866e-05+0.00035438i,-0.00058717-0.00051677i
-0.00089816-0.00041172i,-0.0012819-0.00034165i,-0.0012749+0.00024225i,-0.0016634+0.0014314i,-0.0017849+0.0018777i,-0.0015507+0.0014672i,-0.0018839+0.0010457i,-0.0014246+0.00058158i,-0.00030721+0.0003738i,0.00072975+0.00070195i,0.00074736+0.0003427i,0.00038216-0.00052321i,0.0001831-0.00053447i,-0.00029115-0.0005621i,-0.00091105-0.00021493i,-0.00072884+8.4561e-06i,-0.00083867-0.00073486i,-0.00096745-0.00045213i,0.0002929-0.00014761i,0.0010283-0.00029526i,0.00037185+0.00021021i,1.2188e-05+0.0005157i,0.00014567+0.00018167i
-0.00019657-0.00029306i,0.00053343+0.00033072i,0.00094835+0.00087559i,-1.6249e-06+0.0010214i,-0.00076274+0.0014091i,-0.0013154+0.0017686i,-0.0015166+0.00099709i,-0.00083485+0.00036605i,4.1384e-07+0.00019883i,0.00089511-0.00013848i,0.0013363-0.00027241i,0.00011794-0.0010062i,-0.00099521-0.0011583i,-0.00094221-0.00063497i,-0.0006278-8.0868e-05i,-0.00074026+0.00054378i,-0.0010656+0.00075248i,-0.00097035+0.00029305i,-0.0006865+1.9895e-05i,7.7292e-06+0.0011343i,0.00085457+0.0016966i,0.00065381+0.00067467i,0.00010635-0.00068384i
-0.001303+0.00016268i,-0.0013164+0.00085995i,-0.0021027+0.0016857i,-0.0022757+0.0029851i,-0.001493+0.0035737i,-0.00060444+0.0027637i,-0.0013981+0.0017149i,-0.0014229+0.0011648i,-0.00014424+0.000268i,0.00057273-0.00054015i,0.00017914-1.5279e-05i,-0.00086664+0.00029839i,-0.00049375+0.00034499i,-2.2453e-05+0.0006694i,-0.00034177+0.0011991i,-0.00054879+0.0010806i,-0.00020298+0.0010219i,0.00034017+0.0011765i,0.00020036+0.00039333i,5.6467e-05+0.00043995i,-0.00028185+0.00066544i,4.6168e-05+2.4712e-05i,0.00072172-0.00014274i
0.00012285+0.00067124i,0.00057784+0.00031854i,0.00082934-0.0004402i,0.00069095+0.00011311i,8.8915e-05+0.0015433i,-0.0001877+0.0014084i,-5.9828e-05+0.00048045i,-0.00048807+0.000544i,-0.00064901+0.00030266i,-0.00065263-0.00015626i,-0.00051077+0.00070928i,5.4078e-05+0.0012821i,0.00013792+0.0013619i,-8.1402e-05+0.00087081i,0.00020606+0.00016686i,0.0001037+0.00066459i,-0.00045984+0.00095851i,-0.00081182+0.00043455i,-6.0694e-05+0.0011425i,0.00016969+0.0011716i,-0.00024055+0.00039228i,-0.00020391+8.4943e-05i,0.00039932-0.00026421i
-0.0018069-0.0013692i,-0.0010358-0.00025008i,-0.0026805+0.0015117i,-0.0030245+0.0034427i,-0.0021634+0.0044225i,-0.00065372+0.0026515i,0.00045587-3.496e-06i,1.3035e-05-0.00079843i,-0.00078777-0.00067267i,-0.00078373+8.6979e-05i,0.0001779+0.00059659i,0.000943+0.0006559i,0.00047552+0.00067358i,-2.216e-06+0.00010364i,-0.00013055-0.00019608i,0.00039482-0.00071595i,0.0011596-0.00061233i,0.0013265-0.0005336i,0.00054193-0.00048931i,-7.7268e-05-0.00034212i,0.00036564-9.9734e-05i,0.00046458+0.00034597i,0.0002436+0.0010448i
4.412e-06-0.00055935i,-0.00069266-0.00055777i,-0.0012312-0.00040575i,-0.0011758+0.00093665i,-0.0010488+0.0014719i,-0.00065634+0.00064206i,-0.0012741-0.00036679i,-0.0015976-0.00059048i,-0.00059509+0.00039241i,-0.00019761+0.00096343i,0.00039908+0.00056863i,0.00028418+0.000554i,-0.00017637+0.00051704i,0.0003007+0.00035737i,0.00023945+0.00050174i,-0.00035484+0.0002468i,0.00020735+0.00021997i,0.00077504+0.00031451i,0.00041014-0.0002013i,-0.00046973-0.00038824i,-0.0010117-0.0011585i,-0.00027695-0.0010474i,0.0012626+0.00029465i
-0.00047248+0.001874i,-0.00020173+0.00099527i,-4.7948e-05+0.00066364i,-0.00010815+0.00068323i,-0.00089761+0.0012945i,-0.0018325+0.0015565i,-0.0021822+0.00099518i,-0.0020257+0.00097667i,-0.0011324+0.0015083i,0.00017125+0.00096684i,0.0016774-2.53e-06i,0.0013582-0.00054539i,0.00023096+3.2627e-06i,-5.0568e-05+0.00039392i,9.7166e-05+0.00032097i,8.7922e-05+4.4244e-05i,-0.00040684-1.5352e-05i,-0.00091159+0.00057182i,-0.00047329+0.00075443i,-0.00083086+2.4133e-05i,-0.0016733-0.00064548i,-0.00089216-0.0005105i,0.00046497-0.00032209i
-0.0015075+0.00080912i,-0.00084411+0.0013871i,-0.00021915+0.0034537i,-0.00098578+0.0044972i,-0.00068402+0.0036865i,0.00027854+0.0025019i,-0.00025454+0.0013689i,-0.00049298+0.0004336i,0.00060597-0.00010014i,0.0015028+0.00014085i,0.00089423+0.0004723i,8.5309e-06+0.00014995i,0.00024032-0.00015484i,0.00011381-0.0003343i,-0.00033579-0.00021557i,-0.00030646+0.0001273i,-2.7357e-05+0.00027108i,-0.00064063-0.00012735i,-0.0013642+0.00010163i,-0.0013442+0.00039815i,-7.3258e-05+0.00054616i,0.0011952+0.00061236i,0.00026357+0.00046526i
-0.0012006+0.00014241i,-0.00053317-0.00087893i,-0.0006718-0.0003474i,-0.0013738+0.00028213i,-0.001147+0.0012233i,0.00070231+0.0016545i,0.0010371+0.00060296i,-0.00038784-0.0002407i,-0.00054417+0.00028027i,-7.4797e-05+0.000492i,0.00016712+3.431e-05i,0.00015835-0.00015137i,0.00036774-0.0004885i,0.00053488-0.00032342i,0.00026828-0.00022492i,0.00013872-0.00018592i,-2.4093e-05+0.00021069i,0.00016789+0.00052521i,0.00035214+0.00078356i,0.00052939+0.00073947i,0.00052124+0.0007778i,8.7367e-05+0.00092689i,3.6165e-06+0.00077853i
0.00074114+0.00054441i,-0.00016004+0.0012325i,-0.00051823+0.00216i,-0.00078329+0.00352i,-0.00031866+0.0033859i,-0.00013508+0.0016195i,-2.768e-05+0.00048226i,0.00099575+0.0001984i,0.0012003+0.00016499i,0.0013164+9.56e-05i,0.0013282+9.7328e-05i,0.00094759+6.1566e-05i,0.00021868+0.0010438i,-0.00049315+0.0018715i,-0.00067526+0.0011744i,-0.00039693+0.00074302i,0.00028126+0.00042902i,0.0010403+0.000682i,0.00044014+0.0008528i,0.00023-0.00022421i,0.0008602-0.000213i,0.00066176+0.00082599i,1.3862e-05+0.00089566i
0.0017846+0.00093422i,0.00082109+9.0722e-05i,0.00010731-0.00084706i,-0.00094063-0.00071718i,-0.0018029+0.0009633i,-0.0017303+0.0010274i,-0.00097904-0.00016637i,-0.00066103-0.00061722i,-0.00013376-0.00045336i,0.00018043-0.00024297i,0.00039739+0.00028776i,0.0013975+0.00035627i,0.0020834-0.00014529i,0.0017107-7.2103e-05i,0.00030176+0.00044064i,-0.00026455+0.00051593i,-1.309e-06+0.00042743i,2.4225e-05+0.00074349i,-0.00054463+0.00025679i,-0.00055331-0.00056023i,-0.00042005-0.0005099i,-0.00072739-0.0003436i,-0.00060885-0.0002474i
0.0010906+0.00030289i,0.0016422+4.3921e-05i,0.0011815+0.00039252i,-0.0005997+0.0010602i,-0.0020125+0.0020469i,-0.001885+0.0028929i,-0.00092283+0.0021129i,-0.00056918+0.0012776i,-0.00026465+0.0011203i,6.6494e-05+0.00029195i,0.00032029+0.00019548i,0.00030882+0.00053683i,0.00060327+0.00041356i,0.0007435+0.00041043i,-4.3744e-05+0.00041687i,-0.00045705+0.00021777i,-0.00058293-5.9591e-05i,-0.00079809-0.00073902i,-0.00062278-0.0010263i,-0.00079365-0.00042556i,-0.00033775+7.8593e-05i,8.1051e-05-0.0001466i,3.6351e-05-0.00015737i
-0.0021284+0.0014862i,-0.00036195+0.00025863i,0.00019148+0.00039898i,-0.00082769+0.0021845i,-0.00087863+0.0028564i,-0.0010636+0.0013929i,-0.0020551+0.00013342i,-0.0015028+0.00052026i,-0.00035231+0.0016391i,-0.00012428+0.0019717i,0.00084132+0.0013566i,0.0011117+0.00026613i,0.00038172-0.00039237i,-0.00070048-8.6016e-05i,-0.0010734+0.00070458i,-0.00063129+0.0013488i,-0.00068406+0.0011181i,-0.00062255+0.00067025i,-0.00040479+0.00075121i,-0.00060304+0.00047445i,-0.00054785-0.00026085i,-0.00051994+6.9014e-05i,6.2118e-05+0.00013171i
-0.0001651-8.0652e-05i,0.00016097-0.00058155i,0.00011523-0.00046934i,-0.00075771+8.4283e-05i,-0.0014332+0.0010416i,-0.00050594+0.00037966i,0.00064123-0.00042466i,0.00095552+0.00016055i,0.0007956+0.0004828i,0.00060988+1.0565e-05i,0.00044329-0.00042473i,0.00028364+0.00011307i,-0.00039327+0.00074052i,-0.0013951+0.00095454i,-0.0014946+0.00085248i,-0.00015224-2.6093e-06i,0.00064274+4.3256e-05i,0.00070113+0.00091502i,0.0010583+0.00096064i,0.00034611+0.00040007i,-0.00010372-0.00077474i,0.00073649-0.0004918i,0.0011128+0.00038067i
