-0.00027559+0.00070859i,0.0014586-2.23e-05i,0.00134-0.00097528i,-0.00063324-0.0020728i,-0.0010983-0.0015307i,-0.0015866+0.0004926i,-0.0023929+0.0021925i,-0.00168+0.0027834i,-0.00046125+0.0028077i,-0.00024809+0.0018524i,0.00011808+0.00029718i,0.0010717+0.0003273i,0.00056671+0.00058436i,-0.00083481-0.00014323i,-0.00043687-0.00056062i,-0.00041355-0.00045612i,-0.00099107-0.00090315i,-0.00080879-0.00078977i,-0.00016388-0.00035069i,0.00025772-8.9119e-05i,0.00014284+0.00027211i,-1.5904e-05+0.00018001i,-0.00043685+0.00013663i
0.0012868+0.0015925i,0.00027687+0.0015977i,0.0014475+0.00134i,0.0026895+0.00074838i,0.0020239-0.00022222i,0.00090965+0.00024611i,-0.00063712+0.00073057i,-0.0015567+0.0012145i,-0.00074392+0.0016793i,-0.00010858+0.0010726i,-0.00036+0.00043225i,-0.00030251+0.00036868i,-0.00035132+0.00065561i,-0.0011996+0.00080173i,-0.00061244+0.0002824i,0.00099398+0.00015828i,0.0010071+0.00037209i,-0.00014648-0.00015746i,-0.0009675+0.00023443i,-0.001095+0.00048698i,-0.00099346+0.00025675i,-0.00070944+0.00025006i,-0.00030659+0.0005849i
0.0011035-0.0017499i,0.0011998-0.0017384i,0.00026636-0.00062155i,-0.00061432+0.00026926i,0.00020094+0.00071197i,-0.00023299+0.0012656i,-0.0021058+0.001258i,-0.0020867+0.00094118i,-0.0016215+0.00068313i,-0.0017363+0.00036837i,-0.00070251+9.0562e-05i,0.0006361+0.00040149i,0.00068157-0.00012373i,5.0978e-05-0.00091215i,-4.99e-05-0.00082229i,-0.00040336-0.0005866i,-0.00089729-0.0013461i,-0.00078877-0.00077887i,-0.00097525+0.00058212i,-0.00083039+0.00024457i,-0.00012502-0.00053852i,-0.00062548-0.00061787i,-0.00092057-4.6706e-05i
0.00061774+0.0029118i,0.0011808+0.0022069i,0.0034658+0.00077383i,0.0041059-0.00069718i,0.0024411-0.0016202i,0.00063965-0.0015042i,-0.0012044-1.3804e-05i,-0.0013971+0.0014923i,-0.00049215+0.0015296i,-0.00048286+0.00021098i,-0.00048089+4.3743e-05i,-4.0079e-05+0.00077823i,-1.0067e-05+0.0014651i,0.0003228+0.0016059i,0.0006639+0.00036754i,0.00040234-0.00092757i,0.0005151-0.0010105i,0.00073993-0.00052306i,0.00044877-5.1662e-05i,-0.00032316-0.00032036i,-0.0010837-0.00011374i,-0.0010681-7.3961e-06i,-0.00045105-0.00083567i
-0.0015726+0.00023106i,-0.0014328+0.00063897i,-0.0019139+0.0013029i,-0.0013885+0.0025273i,-0.00065061+0.0020202i,-0.00011385+0.00090391i,-0.00037983+0.0012371i,-0.0019464+0.002002i,-0.0026804+0.0020189i,-0.0020166+0.0020562i,-0.00016415+0.0013103i,0.0013536+0.00044492i,0.001705-0.00046572i,0.0015979-0.0009625i,0.001059-0.0012128i,0.00098506-0.0015974i,0.00070502-0.0016875i,0.00049707-0.00069093i,0.0006485+0.00040001i,0.00048342+0.0001356i,0.00055804-0.00044113i,0.0007304-0.00054266i,0.00019-0.00053258i
0.00026287+0.00034733i,-0.00019308+0.0009235i,0.00060637+0.00048315i,0.001141+0.00041236i,-0.00052739+0.00077598i,-0.0016287+0.00094228i,-0.0014898+0.0017137i,-0.00046518+0.0023049i,0.00030573+0.001976i,0.00081902+0.00077403i,0.00072884+4.0929e-05i,6.6511e-05-0.00034794i,-0.00019737-0.00076225i,0.00054399-0.0006264i,0.00059861-0.00042324i,-4.0532e-05-0.00064468i,-0.00041645-0.0004092i,-6.7846e-05-0.00047709i,-0.00037188-0.00032953i,-0.00044865+0.00039637i,0.0004882+0.00028225i,0.0010514-6.6748e-05i,0.0016753-0.00015047i
0.0019409+0.00089995i,0.0032453+0.0011069i,0.0028253+0.0010908i,0.0031024+0.00077099i,0.0022382+0.00077339i,0.00023486+0.00045648i,-0.000671+0.00054948i,-0.00095435+0.0010931i,-0.00029772+0.001173i,0.00013196+0.00050777i,-6.1614e-05-7.0698e-05i,0.00016779-2.0111e-05i,0.00010448+0.00016696i,-0.00044747-0.00036842i,-0.00060022-0.00073131i,-0.00041003-0.00045462i,-0.00031029+0.0001683i,-0.00059164-0.00012081i,-0.00088106-5.6591e-06i,-0.00076894+0.00093422i,-0.00012062+0.00092721i,0.00038467+0.00024108i,0.00066926-0.00060965i
-0.0019124+0.0016788i,-0.00076502+0.00073166i,0.0012532-0.00023703i,0.0021468-0.00060996i,0.00089138-0.00019321i,-0.00053801+0.00028759i,-0.00088252+0.00069019i,-0.00026693+0.00075947i,6.7821e-05+0.00078426i,0.00049961+0.00056884i,0.0011747-0.00053764i,0.0015764-0.00096373i,0.00082903-0.00031509i,0.00029965+0.0010091i,4.7503e-05+0.00095541i,-0.00018037+5.6256e-05i,3.2412e-05+0.00013612i,0.0001985+0.00065274i,-0.00042758+0.0004985i,-0.00069089+2.5327e-05i,0.00041608+0.00029033i,0.00039453-0.00024382i,-0.00031267-0.001059i
0.0013872-0.00039i,0.0017464-0.00135i,0.00030179-0.0018377i,-0.00087117-0.00049055i,-0.00026796+0.00085445i,0.00050188+0.0013911i,0.00013669+0.0013882i,-0.00014846+0.00093095i,-0.00012052+0.00093087i,-6.4148e-05+0.0010121i,-0.00046356+0.00076861i,-0.00091913+0.00048516i,-0.00042698+0.00020382i,0.00040351+2.6844e-05i,0.00018957+4.9719e-05i,-0.00030284-0.00036045i,-0.00064101-0.0010481i,-0.00096867-0.00068604i,-0.00083305+0.0004415i,-0.00015799+0.00025437i,1.0151e-05-0.00056604i,0.00044813-0.00063474i,0.00022299-0.0010052i
-0.0005089-0.00024443i,-0.0013284+0.00013027i,-0.00036488-3.4395e-05i,0.00092388-0.00032059i,0.00040486-0.0013813i,-0.00074315-0.0012982i,-0.0010991+0.00065213i,-0.0010551+0.0015471i,-0.0011097+0.00048488i,-0.0011751-1.5868e-06i,-0.0008678+0.00022625i,-0.00037697+0.00033673i,-0.00082728+0.00086643i,-0.00097198+0.0011009i,-3.065e-05+0.00068209i,0.00043966+0.00040069i,-0.00017165+0.00039137i,-0.00062996+0.00010964i,-0.0001453-0.00033507i,-0.00010352-0.00046686i,3.0151e-05+3.575e-05i,0.00096523+0.00048593i,0.0012735-8.9479e-05i
0.0014557-0.00072161i,0.0016698-0.00054648i,0.00059237-0.00037249i,-0.0007384+0.00051463i,-0.0011387+0.0011732i,-0.00067155+0.00087708i,-0.00096741+0.00063839i,-0.0016607-7.286e-05i,-0.0018857-0.00040898i,-0.0011938+8.4344e-05i,0.00016507+0.00026195i,0.00054896-0.00016693i,0.00099466-0.00019426i,0.0013831-0.00011545i,0.00040652-4.1975e-07i,-0.00050569-0.00041358i,-0.00090172-0.00043448i,-0.00054175-0.00024899i,-0.000846+1.4722e-05i,-0.00094987+0.00067079i,0.00030717+0.00046311i,0.00033694+0.00027405i,-0.00030617+0.00044343i
-0.00067351-0.00092104i,-0.0018647-7.8689e-05i,-0.0023075+0.00087562i,-0.00094785+0.0011595i,0.00018927+0.0020492i,-0.00035623+0.0031704i,-0.0011521+0.0026679i,-0.0013169+0.0020032i,-0.0015827+0.0018851i,-0.0012066+0.0012849i,-0.00044035+7.0827e-05i,0.00031147-0.00018339i,0.0008602+0.00011665i,0.0002488+3.3018e-06i,-0.00013024-0.00073839i,0.00059718-0.00096515i,0.00077978-0.0011199i,-7.7345e-05-0.0013258i,-0.00060546-0.00070571i,0.00019099-0.00048635i,0.00078114-0.0008312i,5.5109e-05-0.00056446i,9.2079e-05+0.00089303i
0.00093698+0.0023777i,0.0026426+0.0022268i,0.0030487+0.001847i,0.0024029+0.00081674i,0.0024652+0.00028707i,0.0010588-7.2058e-05i,-0.00080505-0.00033151i,-0.0011601+0.00031967i,-0.00052547+0.0013124i,8.3319e-05+0.0021977i,0.00065156+0.0019418i,0.00062596+0.00017935i,0.00064623-0.0012827i,0.00028561-0.0014407i,-0.00019166-0.0010397i,-0.00065393-0.00059447i,-0.00051866-0.00065083i,8.159e-05-0.00089395i,0.00038475-0.00033871i,0.00054833+0.0002489i,0.00014159+0.00011445i,0.00045175+0.0001108i,0.0010982+0.00071348i
-0.001534-0.00082775i,-0.0015387-0.00088435i,-0.00082589+0.00042361i,0.00021537+0.0011239i,0.0003395+0.0016959i,-0.0005401+0.002575i,-0.001384+0.0021919i,-0.0011484+0.0018948i,-0.00063502+0.0026626i,-0.00058812+0.0019404i,0.00014488+0.00027386i,0.0005893-0.00044673i,1.3731e-05-0.00091205i,-0.00031174-0.00074765i,-0.00015353-0.00018271i,-0.00072545-0.00010542i,-0.00090209-0.00089375i,-0.0012497-0.00067656i,-0.0015403-0.00016594i,-0.00020996-0.0005599i,0.0008339-0.00038698i,0.0007859+0.00013839i,0.00057168+0.0001715i
0.0033218+0.00068332i,0.0032887+0.001286i,0.0024258+0.00082668i,0.0013877-0.00047302i,0.00071176-0.00092439i,-0.00029104+0.00025673i,-0.00097565+0.0012386i,-0.001049+0.0014757i,4.2088e-05+0.0016588i,0.00093568+0.0012046i,0.00033332+4.5762e-05i,-0.0006992-0.0011261i,-0.00087047-0.0011679i,-0.00041745-1.34e-05i,-0.00031145+0.0004795i,-0.00073323+0.00016866i,-0.0011475-1.4824e-06i,-0.0015091+0.00014724i,-0.0012679-0.00024883i,-0.00020672-0.00073113i,-7.6041e-06-0.00035038i,-0.00042325-6.227e-06i,-0.00027052+7.5846e-05i
-0.00034048-0.00030836i,4.2757e-06-0.00040934i,0.00020752-0.0001895i,0.00055544-0.0010368i,0.0012669-0.00085719i,0.00069463+0.00040064i,-0.00042046+0.00084402i,-0.00029253+0.0011986i,0.00017524+0.0010633i,0.00033608+3.5558e-05i,-0.00016675-0.0013698i,-0.00057276-0.0015962i,-0.00046634-0.00083619i,3.4568e-07-0.00046565i,0.00027313-0.00038684i,-0.00019993-0.0006946i,-0.00021673-0.00067493i,-0.00082234+0.00017632i,-0.0011525+0.00031453i,-0.00059194+0.00015257i,-3.388e-05-0.00027771i,8.291e-07-0.000469i,-0.00010639-0.0002771i
0.0014371-0.00013359i,0.0010306+0.00081371i,0.00048006+0.00045259i,-1.5225e-05-0.00014334i,-0.001586-0.0006282i,-0.0028958+0.00010367i,-0.0030102+0.00084251i,-0.0023369+0.00094293i,-0.0014258+0.00041111i,-0.00096311-0.0010531i,-0.00094529-0.0011838i,-8.4586e-05-8.3636e-05i,0.00061639+2.4825e-05i,0.00071633-2.5912e-05i,0.00083457-0.00017286i,0.00072418-0.00029638i,0.00035616-0.00049203i,-0.00018054-0.0009001i,-0.00073733-0.00096963i,-0.00087116-0.00063955i,-0.00068253-0.00013563i,-0.00055324-0.00024158i,-0.00068847-0.0011123i
-0.00035536-0.0002845i,-0.00095392-0.00045147i,-0.00037776-0.0002197i,0.0001642-0.00014333i,0.00017427-7.8013e-05i,-0.00011293+0.00059986i,-0.0010946+0.0015029i,-0.0018988+0.0012067i,-0.0018459+0.00044882i,-0.0016081-0.00016745i,-0.00096978-0.00039573i,0.00040686+0.00011472i,0.0013792+0.0002948i,0.0015107+4.408e-05i,0.0013457-0.00048912i,0.00046352-0.0005283i,-0.00030831-0.00089184i,-0.00014976-0.0017088i,-0.00035911-0.0010527i,-0.00044176+9.1749e-05i,-0.00036586+0.00018877i,-8.1529e-05-0.00010412i,-0.00025393-0.00034743i
0.0012487+0.0015423i,0.0019892+0.00084672i,0.0021651+0.00020787i,0.0015427+0.00040212i,9.0483e-05+0.0007867i,-0.00099735+0.0012414i,-0.0013417+0.0016056i,-0.00089192+0.0019694i,-0.00011756+0.0015911i,0.00026038+0.00025928i,0.00023309+0.00038317i,0.00039237+0.00090875i,0.00064786+0.00061304i,0.00055829+0.00046185i,0.00028138+0.0001978i,0.00012004+6.8925e-05i,0.00019326+0.00012704i,-0.00062393+0.00056241i,-0.00069077+0.00021718i,2.8175e-06+6.8984e-05i,0.00014513-0.00049513i,0.00034636-0.0008895i,7.4283e-05-0.00011616i
-0.00096762-0.00048467i,-0.0004135-0.0013764i,0.00013341-0.00081662i,0.00074181+2.6558e-05i,0.00066512+0.00019608i,4.1794e-05+4.6233e-05i,-0.0014307+0.0010981i,-0.0024066+0.0030946i,-0.0013969+0.0027098i,0.00027972+0.00073986i,0.0014436+0.00040462i,0.00066086+0.00012909i,-0.00051601-8.8036e-05i,-0.00082577-5.0029e-05i,-0.0010295-0.0010822i,-0.00084949-0.0010656i,7.9575e-05-0.00033629i,0.00078291-0.00043624i,0.00087995+7.4242e-05i,0.00055472+0.00063794i,0.00067308+6.9813e-05i,0.00050351-0.00038726i,0.00039053-0.00037025i
0.00071302+0.00060855i,-6.1254e-05+0.0020424i,-4.2202e-05+0.002056i,0.00062571+0.00073946i,-0.00028902+0.00093884i,-0.0013126+0.0020447i,-0.00059634+0.0018845i,-0.00037937+0.0019566i,0.00030102+0.0017428i,0.0011078+0.0011762i,-5.2947e-05+0.0006007i,-0.00026886+0.00021791i,0.00080189+0.00013576i,0.00038555-1.6737e-05i,-0.00030897-5.9359e-05i,-0.0010556-0.00033118i,-0.0013926-0.00104i,-0.000682-0.0012236i,0.00013338-0.00059322i,1.4219e-05-0.00054541i,0.00044218-0.00065094i,0.001198-0.00013305i,0.0007624+0.00022328i
0.0026767-0.00084855i,0.0029261-0.0020882i,0.0038143-0.0023632i,0.003308-0.0023791i,0.0015369-0.0018786i,-0.00040882-0.00063669i,-0.00107+0.0009206i,0.00024632+0.0018291i,0.0015173+0.0013494i,0.0015728+0.00022806i,0.0011633-0.00040097i,0.00066024+2.8755e-05i,0.0001637+0.00089984i,6.1185e-05+0.00062016i,-1.4132e-05-0.00051657i,2.4253e-05-0.0011354i,0.00011983-0.0011008i,-3.0111e-05-0.00043404i,-0.0010331+0.00049153i,-0.0015294+0.00058836i,-0.00078165+6.5459e-05i,-0.00030134-0.00087973i,-8.5651e-05-0.0014525i
0.0010626+0.00112i,0.00050706+0.0011234i,0.00021428+0.00036151i,-0.00070238+0.00022192i,-0.0018082+0.00053216i,-0.002242+0.00018882i,-0.0021923+0.00042355i,-0.0015279+0.0007336i,-0.00079075-0.00047355i,-0.00026903-0.00049062i,-0.00016956+0.0003979i,-0.00052084+0.00064323i,-0.00015859+0.00054651i,0.00037782+0.00047789i,0.00020907+9.4782e-05i,0.00040344+0.00018015i,0.00051126+0.0006536i,0.00022528+0.00054938i,-0.00016666+0.00026655i,-0.00074685+0.00021383i,-0.00051541+0.00018376i,-0.00026792+0.00055525i,-0.00053374+0.00046501i
0.0019696-0.00069811i,0.0018769-0.0013258i,0.0018424-0.0013693i,0.0018104-0.00085555i,0.00083079-0.00047411i,-0.0010088-0.00033278i,-0.0019016+9.6931e-05i,-0.0014861+0.00051388i,-0.00081185+0.00034519i,-0.00095074-0.000871i,-0.0008646-0.0023594i,-0.00019558-0.0013774i,-0.00037243+0.000182i,-0.00030231+0.0003126i,0.00060343-0.00017761i,0.00079611-4.8476e-05i,0.0010696+0.00026933i,0.00063457+0.00036706i,0.00051508+0.00072499i,0.00073684+0.00087487i,0.00019212-0.00021209i,0.00028523-0.00029271i,0.000112+0.0001467i
-0.0019425+0.0003002i,-0.00093529+3.436e-06i,-0.0006667-0.00020932i,-0.00026695+0.00060324i,-0.00014747+0.0011928i,-0.00039053+0.00065771i,-0.0014987+0.00030701i,-0.0022581+0.000614i,-0.0019092+0.00063001i,-0.001804-0.00016746i,-0.0010918-0.001175i,-0.00032281-0.0010833i,0.00069034-0.00077583i,0.0012363-0.001105i,0.0016172-0.0011074i,0.0018397-0.00037868i,0.00083686-0.00040639i,4.9829e-05-0.00057782i,9.8396e-05-0.00010941i,0.00080303+0.00024773i,0.00064239+0.00023928i,0.00022646+0.00030696i,0.0003198+0.00032099i
0.00022105-0.0003718i,-0.00050426-0.00051776i,-0.0019292-0.00091141i,-0.0021476-0.00080357i,-0.0018662-0.0004661i,-0.0023302+0.00099848i,-0.002809+0.0022042i,-0.0027331+0.0020448i,-0.0022303+0.00064968i,-0.0025353+0.00015359i,-0.0022303+1.9616e-05i,-0.0013926-0.00015696i,-0.00097009-0.00010714i,-0.00065034+0.00035327i,-3.3077e-05+7.8957e-06i,0.0003282+6.41e-05i,-0.00019051+0.00028153i,-0.00037876-0.00011132i,-0.00039881-0.00027999i,-0.00051625-0.0004473i,7.043e-05-8.5159e-05i,0.00065848-0.00034337i,0.00093269-0.00023754i
0.0014968+0.00024496i,0.0018526-6.3029e-05i,0.0021237+0.0013769i,0.0018671+0.0017923i,0.00095081+0.0011542i,0.00072375+0.0016792i,0.00011079+0.0025034i,-0.0011552+0.0028049i,-0.0013886+0.0020437i,-0.001082+0.0011791i,-0.00071656+0.00062922i,-0.00049693+0.00083984i,-0.00052373+0.00033679i,-5.8099e-05-0.00020716i,0.00035252-0.00015628i,0.00029189-5.8143e-05i,-4.1494e-05-0.00036575i,-0.00095668-0.0011591i,-0.00055493-0.00069146i,0.00095516-0.00010445i,0.00093669-0.00025865i,0.00014398+0.0001849i,-0.00040197+5.1022e-05i
-0.0021184-0.00014703i,-0.0012538+0.0011393i,-0.00055172+0.0022556i,0.0013589+0.0023508i,0.0021652+0.0018166i,0.00098653+0.0010201i,-0.00021827+0.0017729i,-0.00013291+0.0026359i,-4.8887e-05+0.0026764i,0.0003331+0.0019077i,0.00033777+0.0017811i,0.00021076+0.00094725i,0.00058586-0.00067819i,4.3099e-05-0.0008971i,-0.0001391-0.00010944i,-0.00012248+0.00026482i,-0.00032089+6.5105e-05i,-0.00047768-0.00019967i,-0.00096577-9.5355e-05i,-0.001358-0.00046542i,-0.0010705-0.00079072i,-0.0008272-0.00011208i,-0.00051539-0.00047493i
-2.1471e-05+0.0016063i,0.0024719+0.0013643i,0.0031816+0.0017864i,0.0012086+0.0017723i,-0.00041628+0.0012259i,-0.00020753+0.0014318i,-0.00012117+0.0013925i,-0.0001314+0.0010167i,0.00024896+0.0010497i,0.00021149+0.0011239i,-0.00024941+0.00010152i,-0.00033372-0.00090302i,-0.00050979-0.0005581i,-0.00063891-0.00031859i,-0.00013997+0.00036885i,-0.0003629+0.0011377i,-0.0010847+0.00074904i,-0.0013699+0.00010313i,-0.0010729+6.8538e-05i,-0.00064571+0.00074553i,-0.00043362+0.00079359i,-0.00026423-3.9908e-05i,-0.00035552-0.00055235i
0.00021903-0.00034907i,-7.615e-05-0.00037756i,0.00051385+0.00010957i,0.0016019-0.00017844i,0.00066327-0.00034581i,-0.00068382+0.00034498i,-0.001403+0.0011421i,-0.00049887+0.0011282i,0.00041963+0.00019958i,0.00057208-0.00030097i,0.00035239-0.00081138i,0.00013593-0.00095133i,0.0006569-0.00056605i,0.00071857+7.3049e-05i,0.00030169+0.00027019i,0.00011707+2.646e-05i,-0.00020341+0.00022258i,-0.00063597+0.00010993i,-0.00022635-0.00037976i,4.7306e-05+0.00026959i,-0.00044148+0.00053357i,-0.00082487+5.8358e-05i,-0.00033647+0.00043502i
0.0012732+0.0025996i,0.002765+0.0031188i,0.003214+0.0027279i,0.0031545+0.0012062i,0.0025504-5.6006e-05i,0.0013044-0.00054414i,-5.8606e-05-0.00058854i,-0.0010963+0.00017621i,-0.0009784+0.00074992i,-0.00030155+0.00021444i,-0.00071035-0.00049831i,-0.00024325-0.00081914i,0.00033546-0.00029346i,-0.00044112+0.00023839i,-0.00086681+0.00033849i,-0.00036362-7.7841e-05i,-0.00012761-0.00022435i,0.00015719+0.00031234i,0.00054771+0.00056608i,0.00035686+0.00077926i,0.00037146+0.0011569i,0.0004936+0.00040228i,0.00078352-0.00018411i
-0.00088818-0.0013316i,-0.0013676-0.00047269i,-0.00095729-0.00017592i,0.00019487-0.00019543i,0.00030236-0.0001208i,-0.0014173-0.00018758i,-0.0029395+0.00034608i,-0.0032653+0.0012048i,-0.0024051+0.00082186i,-0.0012667+2.5029e-05i,-0.00087086+0.00014718i,-0.0011499+0.0004727i,-0.00060621-0.00023807i,0.00067926-0.00066946i,0.00067091-0.00053439i,4.9891e-05-0.00066338i,0.00016561-0.00059014i,0.00041478-0.00067268i,-0.00025182-0.00059751i,-0.0010846-7.9283e-06i,-0.00080781+0.00065445i,-7.1774e-05-0.00016517i,0.00014205-0.00015938i
0.0017779-0.0010498i,0.0015212-5.3982e-05i,0.001049+0.00028669i,0.0010711-0.00058797i,-0.00062732+2.7955e-05i,-0.0021143+0.0017405i,-0.0017291+0.001788i,-0.001235+0.001513i,-0.0012478+0.0012876i,-0.0012804+0.00050976i,-0.0010839+0.00030764i,-5.976e-05+0.0004262i,0.00095456+4.1876e-05i,0.0010976-0.00027264i,0.00090793-0.00032786i,0.00026296-0.0012573i,-0.00047316-0.001403i,-0.0009704-0.00018927i,-0.0013821+0.00051558i,-0.00077706+0.00018159i,0.0002113+0.00024815i,0.00067739+0.00026658i,0.00053022+3.3665e-05i
-0.0028254-0.00021187i,-0.0031914-0.00031196i,-0.002119+0.00014447i,-0.00011085+0.00051337i,0.00082312+0.00093171i,-2.425e-05+0.0015438i,-0.001157+0.0016048i,-0.0019172+0.0014445i,-0.0020729+0.0013835i,-0.0014201+0.00086837i,-0.00020276+5.3321e-05i,0.00079172+0.00015188i,0.0014456+0.00050101i,0.0014613-0.00020724i,0.00058799-0.00062933i,-0.00067695-0.00032463i,-0.00089695-6.9792e-05i,0.00021782+0.00035354i,0.00028098+4.7065e-05i,-0.00021175+0.00034817i,-0.0007472+0.00028481i,-0.00050344-0.00091958i,2.3404e-06-0.0010902i
-0.00083554+0.00061855i,0.00092452+0.0021848i,0.0010206+0.003514i,0.00018961+0.0030505i,0.00025043+0.0019781i,0.0003323+0.0016863i,-0.00057947+0.0016078i,-0.0012106+0.0014474i,-0.00067442+0.0015962i,0.00029815+0.001228i,0.00054919+0.00026909i,-0.00046794-6.2852e-05i,-0.00037883-0.00023326i,0.00038956-0.00090211i,0.00019313-0.00091415i,-7.8177e-05-4.7908e-05i,-0.0002027+0.00038251i,-6.9253e-05+0.00035351i,-0.00015747+3.0025e-05i,-0.0001526-0.0006245i,0.00035958-0.00038653i,0.0005511+0.00053756i,0.00062715+0.00050841i
-0.0014381+0.00040517i,-0.0017823-0.00050045i,-0.0003889-0.00081826i,0.00083966-8.7305e-05i,0.00031397+0.00085237i,-0.00091067+0.0017686i,-0.0013473+0.0020871i,-0.00098976+0.0016554i,-3.0181e-05+0.00085867i,0.00045118+0.00099519i,0.000116+0.00028521i,4.9921e-07-0.00026163i,-7.3491e-05+0.00015392i,-0.00082774+0.00028173i,-0.0013467+0.00063706i,-0.00089797+0.00057026i,-0.00093287+0.0001641i,-0.00090382+0.00012331i,-0.00060768-7.1129e-05i,-0.00046142+0.00024524i,0.00012264+0.00056162i,0.00032962+0.00013488i,0.00012321+0.00017532i
0.0016665+0.0014945i,0.0021297+0.0030304i,0.001717+0.0022482i,0.0017767+0.00074735i,0.0014315+0.00049798i,-0.0004548+0.00094825i,-0.0016958+0.00076145i,-0.0014724+0.00078985i,-0.00040425+0.00043667i,-9.8471e-05-9.3687e-05i,-8.6399e-05+0.00016538i,0.00032754-5.807e-05i,0.00071336-0.00052173i,0.00059011+2.4734e-05i,4.3791e-05+0.0008822i,-0.00030494+0.00078641i,-2.1888e-05+7.6205e-05i,0.00027535+0.00034312i,-0.00032235+6.7845e-05i,-0.00043058-5.6113e-05i,-9.1317e-05+0.00048369i,2.4188e-05+0.00027121i,-5.006e-05-0.00020421i
-0.00093333-0.0011747i,-0.0014904-0.001487i,-0.00053196-0.0013295i,0.00052237-1.9768e-05i,0.00012218+0.00013453i,-0.0010989-5.4612e-05i,-0.0015328+0.00042755i,-0.0019945+0.00033068i,-0.0022957-0.00011964i,-0.0015594-0.00032344i,-0.0009711+0.00032809i,-0.00046634+0.00067638i,0.00046643+0.0003986i,0.00058659+0.00038532i,0.00050638+0.0002138i,0.00056461-0.00033996i,-0.00034677-0.00097412i,-0.0012501-0.00049657i,-0.0011301-0.00013429i,-0.00074555-0.00039312i,0.00014013+0.000233i,0.00086336+0.00070612i,0.0012191+5.0293e-05i
0.0026338-0.00088338i,0.0017869-0.00056698i,0.00036601-0.00044583i,-0.00085847-0.0010131i,-0.0017067-0.00079368i,-0.0027634+0.001714i,-0.0031061+0.0029773i,-0.0025271+0.001638i,-0.0022008+0.00051705i,-0.0015273-0.00045905i,-0.00080851-0.0010455i,-0.00068836-0.00073783i,0.0003069-0.00048027i,0.00065795+8.8533e-05i,-0.00012244+0.00061098i,-0.00042909+0.00033751i,-0.00040662+0.0002025i,-0.00092657-8.371e-05i,-0.0010259-0.00029255i,-0.00050831+5.2244e-05i,-0.00047128-0.00059086i,-0.0004462-0.0018374i,-0.00025856-0.0010597i
-0.0029961+0.00035379i,-0.001402+0.0013456i,-0.00039557+0.0024767i,0.00087106+0.0025096i,0.0015766+0.0018739i,0.00041352+0.00098291i,-0.0011598+0.00042896i,-0.0014245+0.0010569i,-0.0019535+0.0016336i,-0.0017871+0.00070687i,-0.0011936+0.00012974i,-0.00056987+0.00017456i,0.00018569+0.00033951i,0.00025606-8.4681e-07i,-0.0002942-0.00043842i,-0.00065114-0.00062119i,-0.00067054-0.00081314i,-0.00063918-0.00024194i,-0.00065745+0.00062487i,-0.00012364+0.0003683i,0.001078-0.00012003i,0.00059546-0.00030191i,0.00047353-0.00036108i
0.00034158+0.0024986i,0.0012435+0.0023514i,0.0015783+0.0015082i,0.0015085+0.0010316i,0.00058604+0.00068022i,-0.00061026+0.00041582i,-0.00089115+0.0010508i,-0.00072264+0.001942i,-0.00053134+0.0022115i,-0.00016536+0.0021969i,0.0002281+0.00098953i,0.00039329+9.1936e-05i,0.00077643+0.00050585i,0.00077805+0.00015185i,0.000454-0.00076181i,0.00052431-0.001184i,-0.00027657-0.00078301i,-0.00054195-4.4637e-05i,-0.00024904+0.00035i,-0.00017145+5.8728e-05i,-0.00027336+2.2488e-05i,-0.00076213-9.0849e-05i,-0.0010874+9.461e-05i
-0.00049836-0.0020203i,-0.00059635-0.0018351i,0.00019765-0.001541i,-3.5514e-05-0.00077021i,-0.0013403+0.00024808i,-0.0016519+0.0012794i,-0.0010586+0.0023868i,-0.00064173+0.0032478i,-0.00044882+0.0032808i,0.00032853+0.0018692i,0.0011831-0.00026619i,0.00090819-0.00049122i,-4.4128e-05+0.0012623i,-0.0002185+0.0015049i,-4.8856e-05+0.00046187i,0.00017438-0.00065048i,0.0001015-0.0010034i,-0.00020924-0.00034793i,-0.00040521+0.00067507i,6.5633e-05+0.00085082i,0.00069715+9.8198e-05i,0.00073045-1.7589e-05i,0.00081582-0.00022359i
0.0023725+0.0012939i,0.0031754+0.0011935i,0.0031241+0.00088438i,0.0027013+0.00047685i,0.0024067+0.00088143i,0.0013668+0.00057758i,-6.7266e-05+0.00041144i,-0.00024553+0.0011722i,0.00091515+0.0004604i,0.001363-0.00046095i,0.00042443-0.00017336i,0.00021004-4.3232e-05i,0.001129+0.00016872i,0.00049261+0.00017237i,-0.00063348-0.00052315i,-0.0010503-0.00016532i,-0.00088689+5.98e-05i,-0.00031226-0.00035557i,0.0001996+5.718e-05i,0.0003535+0.00018483i,-8.7879e-05+0.0003708i,-0.00053519+0.00081276i,-0.0008077+0.00040345i
