-0.00040354-0.00010859i,-0.00070875+0.00052223i,-0.00026195+0.00018754i,-0.0004464-0.00010184i,-0.00039434+0.00033202i,0.00045321+0.00074961i,0.00070847+0.00023564i,-0.00010026+0.00014174i,-0.0002404+0.0011458i,0.00028495+0.0016077i,0.00022751+0.00091472i,-0.00019194+0.00056522i,-0.00052623+0.00048974i,-0.00059881-0.00054506i,-4.5886e-05-0.00058184i,0.00040589+0.00016358i,0.00032911+0.00010905i,-0.00010037-0.00030681i,-5.0976e-05-0.00018827i,-4.9006e-05+0.000454i,-0.00019519+0.00084898i,-0.00049398+0.00092829i,-0.00045182+0.00068501i
-0.00040175-0.00072889i,-0.00082087-0.0016022i,-2.9945e-06-0.00068468i,0.00029532-0.00036074i,0.00063212-2.0271e-05i,0.00053801+0.00011913i,0.00038992-2.1075e-06i,0.0002461+8.0357e-05i,-0.00032277+7.6164e-05i,-0.00044962+0.00047756i,-0.00010878+0.00078239i,0.00030482+0.00086753i,0.00081708+0.00081902i,0.00057581+0.0001869i,-0.0003042-0.00052524i,-0.00046406-0.00026622i,0.0003215+0.00038805i,0.00099337-0.00013033i,0.00098017-0.00085055i,0.00078223-0.0005339i,0.0010323-2.9153e-05i,0.0011165-2.058e-05i,0.0006306-0.00039866i
0.0012034+0.0012486i,-0.00036274+0.00099701i,-0.00040299+0.00028323i,-0.00011381-1.63e-05i,-0.0007595-0.00047389i,-0.00041205-0.00060085i,0.00021092-0.00074687i,-0.00033837-0.00029697i,3.0886e-05+0.00014184i,-9.3963e-05+0.00073893i,-0.0010362+0.00067518i,-0.00058709+0.00012091i,0.00037074+0.00046459i,0.0011557+0.00030602i,0.0011452-0.00036443i,0.00023891-0.00083403i,0.00027427-0.00071223i,0.00040599-0.0010506i,0.00018148-0.0013099i,-0.00024022-0.00080601i,-0.00066199-0.00056841i,-6.385e-05-0.00051328i,0.00033401+0.00034964i
-0.00038451-0.00073327i,-0.0012056+8.6124e-05i,-0.0024046+0.00055536i,-0.0018996+0.0012944i,-0.00032984+0.0012341i,0.00045557-8.9452e-05i,0.00044544-0.0010027i,0.0003893-0.00099991i,-7.6232e-05-0.00030675i,-0.00028363+0.00017652i,-0.00024016+0.00011192i,-0.0001684+0.00059779i,-0.00042787+0.00057119i,-0.00067362+0.00091602i,-0.00012241+0.0015395i,7.1672e-05+0.00083668i,9.0851e-05-0.00020878i,5.7286e-05-0.00021663i,-0.00041097-0.00034323i,-0.0005099-0.00035369i,-0.00047302+0.00010871i,-0.00016926+0.00017211i,-0.00037016+0.00015758i
-0.0015202+0.00082454i,-0.0011339+0.00079433i,3.6406e-05+0.00043539i,0.0009401+0.0001166i,0.00085536-0.00057275i,0.00053676-0.0010256i,0.00059119-0.00036152i,0.00012866-0.00028563i,0.00047936-0.00039198i,0.0010379-2.3303e-05i,0.00065038-0.00011728i,-0.00012666-0.00052321i,-0.00042808-0.00077997i,-6.8053e-05-0.00070588i,0.00014422-0.00054092i,7.9681e-05-0.00032602i,9.6615e-05+0.00016454i,0.00028605+0.00045311i,0.00016553+0.00039949i,0.00028466+0.00064946i,0.00091808+0.0007957i,0.0010571+9.4832e-05i,0.00041167+0.00034598i
-1.3455e-05-0.0013055i,0.00014925-0.0015865i,-0.00037367-0.0011136i,-0.00074697-0.00060179i,-0.00083994+0.00077982i,-0.00106+0.0012216i,-0.0011583+0.00091995i,-0.00071617+0.00072256i,-0.00043271+0.00048106i,7.2798e-05+0.00081773i,0.00030787+0.00049637i,0.00050213+0.0003714i,0.00051355+0.00074373i,0.00030255+0.00059813i,0.00074728+0.0004649i,0.00034482+0.00058797i,-0.00031369+0.00040619i,-0.00020649-0.00034608i,-0.0003704-0.00027173i,-0.0011331+0.00030428i,-0.0006794+0.0001494i,0.00012347-7.2371e-05i,0.0006184+1.2274e-05i
-0.00035436+0.0006884i,-0.00025855+0.00036693i,0.00035082+0.00023806i,0.0010432-0.00010897i,0.0013024-0.00093067i,0.00023802-0.0011775i,-0.00048853-0.0012659i,0.00017199-0.0010318i,0.00078699-0.00032097i,0.0013512+0.00067801i,0.00090074+0.00084237i,0.00033625+0.00019693i,-0.0002723-0.00022038i,-0.0010023-0.00064259i,-0.00069252-0.0002488i,0.00050372+0.00029612i,0.00078833-6.4594e-05i,0.00017087-0.00082371i,-0.00012981-0.0005262i,0.00013161-0.00021187i,0.0007155+5.4381e-05i,0.00083655+0.00052703i,0.00011228-7.6323e-05i
8.0904e-05-0.0012307i,-0.00057673-0.00138i,-0.0012143-0.00013875i,-0.0013187+0.00093248i,-0.001171+0.00085209i,-0.00013283+0.00092702i,0.00069905+0.0010949i,0.00077035+0.00029278i,0.0006388-0.00085732i,0.00065474-0.00049998i,0.00044229+0.00064413i,-0.00058899+0.00024607i,-0.00074265-0.00030266i,-0.00065511-0.00019582i,-0.00055776-0.00036299i,0.00034669-0.00057223i,0.0005304-0.00074769i,-1.8707e-05-0.00050599i,-0.0004611-0.0002618i,-0.00052089+0.00019649i,-0.000365+0.00039891i,-0.00056772-0.00022511i,-0.00033872-0.00081992i
0.0017288+0.00017768i,0.0006106+0.00029859i,-0.00039103-9.4621e-05i,-0.00026419+0.00019534i,-0.00071826+0.00012479i,-0.00035881-0.00081422i,0.00057939-0.001014i,0.0014941-0.00074582i,0.0012241-0.00098145i,0.0006848-0.0010567i,0.00059402-0.0002917i,0.00025261+0.00056849i,0.00019333+0.0011372i,0.00037554+0.0014135i,0.00049448+0.00050017i,0.00072007-0.00020467i,0.00072476-0.00019156i,0.00026782-0.00015712i,0.00058651-0.00039981i,0.00019783-4.2097e-05i,-0.00046869+0.0010815i,-0.00049602+0.0014125i,-0.00025514+0.00026631i
-0.0017651-0.00063223i,-0.0021052+0.00017116i,-0.0012083+0.0011735i,0.00051153+0.00072762i,0.00084569-0.00022136i,0.00045142-0.00053311i,0.0002635-0.00046614i,5.1879e-05-0.00036519i,0.00040662-0.00030947i,0.00093891+0.00044467i,0.00053163+0.00094965i,0.00023999+0.00043297i,0.00027412-0.00011607i,0.00036837-0.00056413i,0.00081998-0.00021707i,0.00017947+0.00049774i,-0.0012907+0.00029236i,-0.00038274+0.00019887i,0.0012864-0.00037355i,0.0012412-0.00060989i,0.00016898+0.00032803i,-0.00024446+0.00071302i,-0.00027977+0.00084303i
-0.00025452+0.001774i,-0.00015636+0.0016391i,6.0161e-05+0.0014677i,0.0002789+0.00087374i,0.00059743+0.00060401i,0.00021602+0.00022446i,-0.00026971+0.00048678i,-0.00010369+0.00039714i,0.00030382-4.2904e-05i,0.00085925-9.8557e-05i,0.0011275-0.00029712i,0.0010401-0.0002982i,0.00044716+0.00032065i,-0.00030008+0.00089717i,5.1684e-05+0.0004514i,0.00021503+0.00017812i,-0.00031915+0.00018027i,-0.0005017-0.00020656i,-0.00017237-8.3608e-05i,0.00020899-0.00016405i,-0.00030678-6.7007e-05i,-0.00012712+0.00083769i,0.00075479+0.00058004i
