-0.0030616-0.000619i,-0.0018123-0.00056056i,-0.0022444+0.0013704i,-0.0024372+0.0021501i,-0.001081+0.0019789i,0.00029801+0.0017768i,0.0008415+0.0018789i,8.0355e-05+0.0018609i,-0.00036099+0.0010284i,0.00092537+0.00013911i,0.0023502-0.0003668i,0.001962-0.00034301i,0.0010256-0.00026349i,0.00038767-0.00029769i,-0.00025689+1.2514e-05i,-0.00037623+0.00026164i,-0.00014571-0.0004849i,1.7312e-05-0.001164i,0.00010879-0.00045022i,0.00037698-0.00033297i,0.00044215-0.00075537i,0.00063108-0.00023548i,0.00040324-0.00022021i
-0.0008452-0.00025769i,-0.00078351-9.7138e-05i,-0.00065412+0.00085665i,4.6384e-05+0.0013565i,0.00050894+0.0016427i,0.0010093+0.0017611i,0.00067531+0.00080238i,-7.9449e-05-0.00010281i,-4.8057e-06-0.00046324i,0.00067466-0.00032142i,0.00067506+8.1597e-05i,0.00076947-0.00034811i,0.0007894-0.001168i,0.00016087-0.00097266i,0.00014285-0.00025245i,-0.00038437+0.00025334i,-0.00079209-0.00013448i,0.00036683-0.00039144i,0.00082398+0.0003617i,0.00048373+0.00028959i,0.00074402-0.00047973i,0.00089402-0.00037403i,-0.00019785+0.00024439i
0.0022368-0.0014301i,0.0019405-0.00064762i,0.0015471-0.00072016i,0.000611-0.00067111i,0.00057227+0.00028903i,0.00093274+0.00095494i,0.001123+3.3508e-05i,0.00060189-0.00088496i,-0.00064384-0.0012051i,-0.00093129-0.0011567i,-0.00015895-0.000413i,4.0732e-05-0.0002577i,-0.00053537-0.00081684i,-0.00091066-0.0002465i,-0.00073862+8.7983e-05i,2.515e-06-0.00018766i,-2.3224e-05-0.00090286i,-5.9868e-06-0.00095856i,0.00077921-0.00045208i,0.00061788-0.00075974i,0.00074759-0.00071684i,0.0012542+0.00019627i,0.00057453+0.00047177i
0.00072419+0.0013614i,0.0010891+0.00067155i,0.0019032-0.00070854i,0.0020801-0.0013708i,0.0014682+0.00011929i,0.0013207+0.0010119i,0.0013982+0.00057458i,0.00057629+0.00020882i,-0.0004035+0.00034538i,-0.00095047+0.00039114i,-0.00073737+0.00027199i,7.8482e-05-0.00018197i,0.00069769-0.00043196i,0.00087433+1.2101e-05i,0.00043539+0.00017236i,-0.00055273-7.5917e-05i,-0.0012343-0.00028938i,-0.0017354-0.00056173i,-0.00089617-0.00052877i,0.00024679-0.00068472i,0.00035787-0.00073314i,0.00052347-0.00037633i,0.00033106+1.2478e-05i
-0.00052958-0.00063307i,3.5869e-05-0.00091003i,0.00010458-0.00088035i,0.00047088-0.00020901i,0.00036328+0.00034366i,0.0010983+0.00069625i,0.0016337+0.00028228i,0.00097925+3.2297e-06i,-0.00021854-0.00033249i,-0.00044811-8.1118e-05i,0.00069757+0.00064578i,0.0012824+0.00044134i,0.00063261+0.00039147i,0.000442+0.00034475i,0.00040945-0.00014279i,0.00021988+7.3151e-05i,0.00012646+0.00042081i,0.00028568+0.00038892i,-0.00030936-2.4508e-05i,-0.00075945-0.00045713i,-0.00030649-0.00013942i,-6.335e-05-6.9171e-05i,0.00036449-8.5546e-05i
0.00086392+0.0015326i,0.00081554+0.0030051i,0.0012424+0.0029302i,0.0018497+0.0019953i,0.0011364+0.0010314i,0.00073635-0.00011067i,0.00102-0.00080094i,0.00037542+0.00021388i,-0.0001011+0.00038422i,0.0003628-0.00024619i,0.00014654-0.00013465i,-0.00019699-0.00066166i,-0.00040141-0.0007824i,-0.0011984-0.00020574i,-0.00069602+0.00022686i,0.00087966+9.4586e-05i,0.001045-0.00056564i,0.00080305-0.00086084i,0.00073936-0.00041977i,0.00026819+0.00012907i,-0.00099171+0.0003504i,-0.0011612-0.00018162i,-0.00059114-0.00054043i
-0.0012576-0.0012692i,-0.00096738-0.0023888i,-0.00043218-0.0017894i,-0.0004441-0.00064414i,-9.7003e-05+0.00144i,0.00041559+0.0029119i,0.00061362+0.0015168i,0.00037559+8.4466e-05i,-0.00019185-0.0002002i,-0.0004217+0.00012523i,-0.00052948-0.00019382i,-0.00010588-0.00061597i,0.00033643-0.00053799i,9.9032e-05-0.001108i,1.0297e-05-0.00052915i,0.00074141+0.00024376i,0.0012308-0.00016034i,0.00014966+0.00029731i,-0.0012533+0.00061662i,-0.0013731+0.00018898i,-0.00089903+0.00023294i,-0.00019419-0.00012912i,-0.00030681-0.00025686i
0.0010975+0.0010862i,0.0006686+0.00052736i,0.0010056+0.00099278i,0.0015444+0.0011935i,0.0020691+0.00071576i,0.0026927-7.7746e-05i,0.001969-0.00071815i,0.0011716-0.00056253i,0.00089486-0.00024795i,0.00063513+0.00012325i,0.00075085+0.00012113i,0.00041366-0.00030691i,-5.7417e-05-0.00066789i,-0.00062015-0.00057605i,-0.00067995-0.00035747i,-0.00025697-0.00026379i,-0.00019503-0.00031684i,-0.00057169+0.00029581i,-0.00040853+0.00072349i,-5.8122e-05+0.00049697i,0.00023168+0.000435i,0.0010586+9.0871e-06i,0.0010392-0.00021255i
-3.0895e-05-0.00014536i,-0.00023923-0.0010005i,-0.00011884-0.0015702i,-0.00067766-0.0013086i,-0.00027217-0.00053269i,0.00054289+0.00063272i,0.00021298+0.00059233i,-0.00047803-0.00018941i,-0.00056284-0.00026465i,-0.00037315-0.00027856i,-0.00072168-0.00013103i,-0.0011959-0.00013318i,-0.00063024-0.00013299i,0.00028882+0.00032666i,0.00023667+0.00053363i,-0.00042762+0.0002937i,-0.00022091-0.00058554i,0.00014997-0.0009076i,-0.00040734-0.00079684i,-0.0003231-0.00083006i,-0.0002467-0.00013894i,-0.0005774+0.00011177i,-0.00029411+0.0004286i
0.0013741-0.00073891i,0.0015229-0.00069921i,0.0012727-0.0003715i,0.00099751+0.0003469i,0.0014425+0.00079315i,0.001807+0.00028892i,0.0017961-0.00040857i,0.0016306+0.00013327i,0.00076015+0.00072291i,-0.00037226+0.00060379i,-0.00030311+0.00014455i,0.00031058-0.00070035i,-3.6915e-05-0.0012546i,-0.00061878-0.00093781i,-0.00058794-6.0975e-05i,-0.00020325+0.00042176i,-0.0006384+4.4981e-05i,-0.0012135-0.00064846i,-0.00095535-0.00080147i,-0.00033377-0.00036979i,6.7453e-05+4.766e-05i,0.00050158-0.0002894i,0.00031243-0.00028803i
0.00038464+0.0028479i,0.00081518+0.0024635i,0.00081636+0.0027069i,0.00086986+0.0018137i,0.0014433+0.00099225i,0.0017902+0.00021281i,0.001242-0.00045439i,0.00082946-0.00081246i,0.0011881-0.00050917i,0.0018301-0.00029189i,0.00097626-0.00020574i,-3.0701e-05-0.00046238i,-6.7186e-05-0.00059754i,-0.00044295+0.00028566i,-0.0009973+0.00060667i,-0.000766-0.00014918i,-0.00038409-0.00046661i,-1.2259e-05+0.00012993i,-0.00018236+0.00019765i,-0.00016815+0.00012393i,0.00021221+0.00035592i,0.00029996-0.00039853i,0.00034643-0.00035177i
-0.00066315-0.00073049i,0.00037261+7.7796e-05i,0.00028546+0.00073539i,0.00024091+0.00091556i,0.00042547+0.00074113i,0.00082716-3.9994e-05i,0.00080531-0.00052969i,0.00016488-0.00075545i,-0.00076054-0.0011471i,-0.0010433-0.0012347i,-0.00052867-0.00067305i,5.7409e-05-0.00027611i,0.00080257-0.00072647i,0.0011982-0.00013291i,0.00063493+0.00067913i,-0.00042388-0.00032637i,-0.00089396-0.00084845i,-0.00039219-0.00049908i,0.00035152+4.4169e-05i,0.0010353+0.00069128i,0.00080763+0.00070276i,-0.00016469-3.9217e-05i,-0.00024605-0.00011161i
0.001701-0.0016098i,0.0016883-0.00039609i,0.0015102-0.00077504i,0.00056464-0.00096862i,-0.00010607+0.00052064i,0.00069221+0.00078484i,0.0016456-0.00026213i,0.0013581-0.00042937i,0.00059063-0.000131i,0.00012304+0.00061828i,-0.00019321+0.00057039i,-0.00025442+0.00023472i,0.00013339+0.00075317i,0.0005275+0.0012112i,0.00025456+0.0010178i,0.0002049+0.00071798i,0.00041386+0.00047259i,1.3669e-05+0.00064926i,-0.00041388+0.00039051i,-0.00011764-0.00030869i,0.00041397-0.00024745i,0.00094603+0.00026181i,0.00035014+0.00020699i
0.001042-0.0020279i,-0.00012269-0.0030952i,-0.0012199-0.0032001i,-0.0015303-0.0010004i,-0.00070057+0.00072542i,0.00093289+0.00042216i,0.0016731+0.00032168i,0.00061773+0.00051889i,-0.00090913+0.00025261i,-0.0018791+0.00029342i,-0.0017414+0.0004004i,-0.00083972+0.00069919i,-0.00028285+0.00054211i,9.938e-05-1.6596e-05i,0.00081544-9.7078e-05i,0.00036546-4.0214e-05i,-0.00075183-5.0325e-05i,-0.00084684-8.0292e-05i,5.7057e-05+0.00030557i,9.7008e-05+0.00065526i,3.1132e-05+0.00070151i,-0.00033502+0.00049156i,-0.00068495-0.00013596i
0.0012992+0.00070003i,0.0015482+0.00078925i,0.0018637+0.00015308i,0.0017398-0.00044033i,0.0017621+0.00057435i,0.0012823+0.0012197i,0.00028994+0.00045931i,0.00028373-0.00045674i,0.00045783-0.00069041i,-0.00031272-0.00078325i,-0.00061308-0.0015448i,-5.5045e-05-0.0015303i,-5.9167e-05-0.00075373i,-0.00041385-0.00019832i,-0.00050974+0.00047787i,-0.00010931+0.0010592i,0.00043453+0.00097535i,0.00091981+0.001022i,0.0010159+0.00046998i,0.0011515-0.00023719i,0.00091448+6.9818e-05i,9.5681e-05+9.0275e-05i,-0.00013933-2.6939e-05i
0.00034991-0.0024302i,-0.00046325-0.0024468i,-0.0018135-0.0036879i,-0.0025819-0.0023991i,-0.0033329+0.00026583i,-0.0016504+0.0014797i,-0.00010661+0.0016725i,-0.00033075+0.0015176i,-0.00046308+0.00082666i,-0.0010035+0.00031007i,-0.00063675+0.0010827i,0.00058174+0.0012231i,0.00073576+0.00010406i,9.6824e-05+0.00026772i,-0.00013343+0.0007824i,1.2555e-05+0.00053671i,0.00044857-0.00087061i,0.00044244-0.0011567i,0.00039409+2.2978e-05i,0.00042214+0.00052713i,-0.00044991+0.00025253i,-0.00059535-2.2769e-05i,-0.00010094+5.6718e-05i
-0.0027701+0.0010983i,-0.0013642+0.0024062i,7.3088e-05+0.0038593i,0.0010924+0.0041995i,0.001018+0.0036633i,0.0016328+0.0023726i,0.0022918+0.00066829i,0.00078739-9.8703e-05i,-0.00023343+0.00018785i,-0.00024139+0.00085044i,0.0001431+0.0014273i,0.00053527+0.0010366i,-0.00019503-9.5763e-05i,-0.00050601-0.0011088i,-0.0002213-0.0013485i,0.00045713-0.0011231i,0.00061884-0.00065948i,0.00030922-0.00068447i,-0.0002119-0.0011331i,-0.00063404-0.00072002i,-0.00071742+0.00019046i,0.00027492-7.3564e-06i,0.00096028-0.00036519i
-0.0032361-0.00064833i,-0.0028167-0.00066753i,-0.0029517+0.00082996i,-0.0015091+0.0020533i,0.00033834+0.002597i,0.0012315+0.0018689i,0.00059361+0.00017165i,-0.00085495-0.00044954i,-0.0011062-0.0003638i,-8.5732e-06+0.00039004i,0.00081521+0.00046283i,0.00084988+0.00019826i,0.00020755-0.00029519i,0.00025908-0.00092764i,0.0008616-0.00026746i,0.00056213+0.00038566i,-4.558e-05+0.00039018i,-0.00050136+4.6238e-05i,-0.00088177-0.00015503i,-0.00082826-0.00031591i,-0.00027053-0.00028608i,0.00060156+0.00082566i,0.00074675+0.00095642i
0.0023432+0.0030582i,0.0021379+0.0026824i,0.0029142+0.0017252i,0.0030525+0.00065879i,0.0017097+0.00022892i,0.0017016-3.8639e-05i,0.0015772-0.00064266i,8.987e-05-0.0011213i,9.7769e-05-0.0010742i,-2.8017e-05-0.0011379i,-3.1065e-05-0.0011169i,-0.00022742-0.00092166i,-0.00025349-0.00088017i,-0.00023681-0.00045426i,-0.00036589+8.0674e-05i,8.0575e-05+9.45e-05i,0.00065545+0.00010375i,6.3281e-05+0.00041943i,-0.00090357+0.00016699i,-0.00067491-8.2316e-05i,-0.00027746-0.00015434i,-0.00025536-0.00062387i,0.00024948-0.00055973i
-0.00046172-1.6089e-05i,-3.9962e-05-0.00016413i,-0.00019614+0.00031812i,-0.00022414+0.00050827i,-1.1128e-06+0.00050769i,0.00065189+0.00066769i,0.0014783-1.0239e-05i,0.00076114-0.00054906i,-0.00065736-0.00060395i,-0.00052812-0.0009022i,0.00042625-0.00076995i,0.00088059-0.00067323i,0.0011955-0.00046294i,0.00085154+3.9179e-05i,-0.0002197+0.00014472i,-0.0014519+0.00020088i,-0.00096816-1.4516e-05i,2.2017e-05-0.00035091i,-0.00030413-0.00066728i,-0.000409-0.00058359i,0.00073839-1.5211e-05i,0.0010129+7.9196e-05i,-0.00031633-0.00016903i
0.0021813+0.00070501i,0.0020682+0.0010323i,0.0023506+0.00088083i,0.0013027+0.00025939i,0.00042369-2.0852e-05i,0.00071423-3.1561e-05i,0.0011909-0.00015919i,0.00083338+0.00032907i,0.00068701+0.00049781i,0.00013611-0.00047252i,-0.0005811-0.00026812i,-0.00094902-9.1409e-05i,-0.001003-0.0012508i,-0.00068621-0.0012075i,-7.7348e-05-0.00054361i,3.5543e-05+7.7918e-05i,-0.00072839+0.00048782i,-0.00078639-1.0897e-05i,-0.00024435+8.2567e-05i,-4.2391e-05-0.00011247i,0.00036326-0.00019212i,-4.3336e-05+0.00048175i,-0.00091218+0.00048626i
-9.0077e-06+0.00017656i,0.00064363-0.00023852i,0.00097126-7.3425e-05i,0.00096886-6.2639e-05i,0.00096192+0.00023748i,0.00047237+0.00034587i,1.0676e-05-0.00032735i,9.2173e-05-0.00041276i,-0.00014979-7.0136e-05i,-0.00038062-0.0008262i,-3.4969e-05-0.0014511i,-0.00015651-0.00069016i,-1.7838e-05-0.00013156i,0.00023283-0.00054517i,-9.1018e-05+0.00043966i,-0.00069127+0.0013554i,-0.0006742+0.0004929i,2.3384e-05-0.00012343i,0.00036719-0.00073315i,-1.5328e-05-0.0012986i,-0.00019677-0.00081079i,-0.00067401-0.00059162i,-0.00067081-0.00033603i
-0.00040899-0.0012167i,0.00040861-0.00026591i,0.00030821+0.0010212i,-0.00067363+0.0014698i,-0.00093751+0.0014889i,-0.00011516+0.0014041i,0.0007512+0.0012142i,0.00060596-0.00015803i,-0.00063472+5.7309e-05i,-0.0017604+0.00034949i,-0.0011082-8.8998e-05i,0.00035372-0.00030741i,0.00087227-0.00092722i,0.00041864-0.00032935i,0.00069966+5.2011e-05i,0.0002788+4.693e-07i,-0.00084299+0.00040638i,-0.00016443+0.00015037i,0.00011936+0.00013154i,-2.7393e-05+4.6604e-05i,0.00013545-0.00025033i,-2.1449e-05-0.00010089i,-0.00038562+0.0001806i
-0.0022367+0.00057271i,-0.0021925+0.0011575i,-0.0019465+0.0023009i,-0.001428+0.0031606i,3.9589e-05+0.0033279i,0.0014349+0.0025991i,0.0020266+0.001727i,0.0011839+0.0009301i,-3.6516e-05+0.00043287i,-0.00050002+0.0004337i,-0.00019757+0.00022019i,0.00075528-0.00048519i,0.0010393-0.00041887i,0.00020137-0.00035955i,-5.06e-05-0.00054332i,-0.00031453-0.00049326i,-0.00068093-0.00062242i,-0.00043394-0.00091657i,-0.0006087-0.00069604i,-0.00019621-0.00041889i,0.00025779-0.00049584i,0.00034454-0.00065232i,0.00038224-0.0011372i
0.00023338+0.000662i,0.00017129+0.0011854i,0.0010077+0.0013588i,0.0012463+0.00093624i,0.001664+0.00055594i,0.0016987+0.0006613i,0.0011165+7.5603e-05i,0.00039264-0.00039979i,-0.00081875+0.00056861i,-0.00088331+0.0011991i,8.4213e-05+0.00051682i,0.0013039-0.00044259i,0.001343-0.00036217i,0.00077503+0.0003813i,-2.5576e-05+0.00011738i,-0.00026647-0.0010201i,0.00030413-0.0016705i,0.00060403-0.0016759i,-0.00023611-0.00047745i,-0.001068+8.511e-05i,-0.00037355-0.00023121i,-0.00014408+4.1831e-05i,-0.00044411-0.0001863i
-0.00057906+0.0005603i,-0.00064206+0.00054442i,-0.0012685+0.0013729i,-0.00084985+0.0019326i,0.00080483+0.0021723i,0.0020669+0.0020441i,0.0014662+0.0011704i,0.00020219+0.00047761i,-0.00051285+0.00074624i,3.911e-06+0.00053633i,0.0010458-0.00013049i,0.001514-0.00024665i,0.0010551-9.0433e-06i,0.00064658+0.00037803i,0.00025321+6.5457e-05i,-0.00014469-0.00070864i,-0.0002542-0.00031085i,-0.00026865+0.00033988i,0.00020925+0.00040461i,0.00065537+0.00031134i,4.7213e-05-0.0002313i,-0.00018903-0.00055868i,0.00012435-0.00061675i
-0.0027474-0.00022212i,-0.0024172+0.0003714i,-0.0022712+0.00061714i,-0.00077696+0.00033131i,0.001054+0.00048291i,0.0022779+0.00042801i,0.0024135-0.00013652i,0.0015389-0.00032987i,0.0010256-0.00058622i,0.00028387-0.00078403i,-6.6275e-05+2.1467e-05i,0.00011993+0.00044776i,0.00037493-0.00019338i,0.00016747-0.00050009i,-0.00026572+3.9434e-05i,-0.00040379+8.3093e-05i,-0.00018025-6.3734e-05i,-0.00016872+0.00021728i,-0.00018152+0.00016063i,0.00034078-0.00050101i,7.7662e-05-0.0005999i,-4.0151e-05-0.00052116i,-9.605e-05+0.00016828i
0.00062856-0.00080791i,0.00078349-0.00082283i,-0.00046439-0.00020619i,-0.00087036+0.00027601i,-0.0006472+0.0012825i,0.00010409+0.0016698i,0.00030531+0.00097391i,-0.00028224+0.00095881i,-0.00076339+0.00045901i,-0.00072755+0.00030091i,-0.00011089+0.00018072i,0.0011238+1.9267e-05i,0.0013798-0.00034362i,0.00052582-0.0005824i,0.00015195-0.00067363i,0.00044648-0.0005505i,0.000324+0.00016131i,-0.00088189+0.00018822i,-0.0013167+0.00014003i,-0.00044528+0.00024369i,-0.0001804+0.00013081i,-0.00025492-3.6158e-05i,-0.00055212+0.00015869i
0.0013974-0.00056147i,0.0018281-0.00017239i,0.00071344+0.00010701i,0.00029695+0.0010765i,0.0014802+0.0022081i,0.0023887+0.002337i,0.0022551+0.0010836i,0.0014276+0.00017492i,0.00014226-0.00024665i,-0.00041942-0.00014318i,0.00016465+0.00038678i,0.0010903+0.00061401i,0.0014954+0.00018823i,0.00052366-0.00041625i,-0.0004401-0.00024052i,-0.00014125+0.00081843i,0.00031314+0.0011523i,-0.00010451+0.00022472i,-0.00053779-0.00074749i,0.0002575-0.00064362i,0.00076406-0.00017769i,-3.6101e-05+0.00017173i,-0.00077363+0.0004539i
-0.0012168-0.001359i,-0.0015014-0.0013106i,-0.002867-0.00074702i,-0.0025435+0.00054593i,-0.00064691+0.0011414i,0.001151+0.00061876i,0.0018395+0.00021122i,0.00055651+0.00038873i,-0.00086337-0.00011047i,-0.00096705-0.00048932i,-0.00046092-0.0002712i,0.00044862+0.00030694i,0.0011014+0.00074593i,0.00075204+0.00048787i,-3.0519e-05+0.00068421i,-0.00028808+0.00063549i,4.2989e-05+0.00047625i,0.00019405+7.5378e-05i,-0.00046085-6.4572e-06i,-0.00056817+0.00055372i,-2.6967e-05+0.00021505i,0.00023745-0.00037982i,-2.9379e-05-0.0010636i
0.00019797-0.0022471i,0.0010147-0.0022332i,-0.00015654-0.0014153i,-0.00078997+0.00045337i,0.00015088+0.002208i,0.00059776+0.0022982i,0.0010963+0.001274i,0.0013464+0.00056078i,0.00091792-9.5047e-05i,0.00015378-0.00065514i,-0.00023454-0.00061507i,6.6642e-05-0.00054265i,0.00044097+0.0002617i,0.00014301+0.00079537i,0.00075648+0.00024883i,0.0012474-0.00018767i,8.3857e-05-0.00023086i,-0.0011891-9.7049e-05i,-0.0012559-0.00012049i,-0.00040728-0.00035709i,0.0002597-0.00013236i,0.00021345-0.00020798i,-0.00034211-0.00039902i
0.00072896-0.00070433i,0.0013822-0.0012605i,0.0015945-0.0013193i,0.00020271-0.001178i,-0.00012423-0.00034977i,0.00033228+0.0005008i,0.00041583+2.9837e-07i,-0.00011988-0.00038528i,8.1439e-05+0.00012794i,-0.00013394+0.00051097i,-0.00037579+0.00025457i,-0.00011085-0.00033789i,0.00057142-0.00066305i,0.00097765-0.00071717i,0.00076431-0.00024212i,0.00091349-0.00041854i,0.00058644-0.00090401i,-0.00014485-0.00050674i,-0.00038596-8.8923e-05i,-0.00052551-0.00023457i,-0.00046486-0.00042197i,-0.00016848-0.00030262i,-0.00054053+3.3966e-05i
-0.00048089+0.00060621i,-2.2862e-06+0.00043853i,-2.333e-05+0.00060655i,0.00021791+0.0015829i,0.0010704+0.0020692i,0.0010283+0.0015471i,0.001222-0.00014314i,0.00079062-0.00046827i,-6.1711e-05-0.00014565i,-3.7063e-05-0.00048165i,0.00017141-6.2914e-05i,0.00065153+0.00071845i,0.001018+0.0011758i,0.00061424+0.0015694i,-5.931e-05+0.0010752i,-0.00037491+0.00038754i,0.00029692-0.00011278i,0.00076934-0.00053757i,0.00019787-0.00073819i,-0.00076351-0.00023177i,-0.0008478+7.5866e-05i,-0.00021427-6.5729e-05i,-0.00041219+0.00044181i
-0.00033253+0.00074175i,-0.00025236+0.0011225i,0.00013088+0.0014801i,0.00059435+0.00092501i,0.0012777+0.00013013i,0.00088057-0.00040005i,-0.00030253-0.00062718i,-0.00062848-9.1e-05i,-0.00068915+0.0011923i,-0.00062541+0.0015323i,4.2028e-06+0.0011182i,0.0004946+5.0466e-05i,0.00012866-0.00067027i,-0.00084005-0.0010783i,-0.00048626-0.00083809i,0.00044011-0.00064167i,0.00020558-0.00077479i,-0.00032337-0.00031346i,-0.00026844+0.00034489i,0.00032609+0.00040067i,0.00051907+0.0003626i,1.9935e-05+0.00078968i,0.0001479+0.00098016i
0.00035349+0.0025572i,0.0012313+0.0016299i,0.0017764+0.0013861i,0.00020861+0.0011704i,-0.00063465+0.00077874i,4.3019e-05+0.00050358i,0.00061501-0.00063247i,0.00081909-0.00033974i,0.00029109+0.00017244i,8.4521e-05-0.00066593i,0.00054458-0.00090299i,5.7137e-05-0.00068587i,2.4402e-05-0.00027859i,-4.3438e-05-0.00046413i,-0.00021452-0.00037196i,0.00077238-7.6113e-05i,0.0012456+2.8477e-06i,0.0011421-0.0003441i,0.00082714-0.00068569i,2.7524e-05-0.00035698i,-0.00012281-0.00054077i,-0.00013906-0.00033975i,-5.3471e-05+0.00094626i
-0.0022203+0.00098087i,-0.0022691+0.0015318i,-0.0014831+0.0023754i,0.0002504+0.0034651i,0.0016472+0.0034948i,0.0024702+0.0023988i,0.0024495+0.00068323i,0.0015099-0.00029862i,0.00013912-0.00044674i,0.00010137-6.3061e-05i,0.00086424-0.00047051i,0.0011826-0.00083512i,0.00087473-0.00048317i,0.00038088-0.00038288i,0.00040204+8.1166e-05i,-0.00017864+0.00051025i,-0.00083962+0.00019483i,-0.00037809-0.00040277i,0.00087465-0.00026438i,0.0013106-0.00017008i,0.00087014-0.0006252i,-5.1892e-05-0.00039218i,-0.00045981+5.4673e-05i
0.00068188-0.0015349i,0.00042278-0.0014728i,-0.0013517-0.0013946i,-0.0023997+0.00070952i,-0.0021174+0.0017516i,0.00014099+0.00084558i,0.0017145-0.00040031i,0.0011004-0.00059034i,0.00047546-7.2003e-05i,-0.00011947+0.00047944i,-0.00048415+0.00036851i,0.00044246+0.00060211i,-1.8979e-05+0.00062942i,-0.00050127+5.9724e-05i,0.00012582+7.2204e-05i,0.0002201+0.00014823i,0.00024402+7.1148e-05i,-3.7873e-05+0.00020905i,-0.00026478+0.00030617i,-0.00072062+1.4708e-05i,-0.0010836-0.0010719i,-0.00084582-0.00099166i,-0.0007039-0.00044031i
-0.0035015+0.0010191i,-0.0034519+0.0013735i,-0.0020385+0.0024113i,0.00026888+0.0031304i,0.0014531+0.0026929i,0.0014542+0.0015088i,0.00061978+2.4671e-05i,-8.6911e-05-0.0011326i,-0.00018518-0.000668i,-0.00010639-0.00042967i,0.00055224-0.00049245i,0.0011604-7.4976e-05i,0.00069178-0.00032804i,0.00074508-0.00060599i,0.00083927-0.00031888i,0.00069695-0.00036613i,0.00017176-0.00037041i,-0.00037038-0.00021731i,-6.0836e-05+0.00050952i,-3.129e-06+0.00050776i,0.00021705-0.00036396i,0.00034604-0.00030078i,0.00011911+0.00025485i
0.00041812+0.0013561i,0.0014362+0.0013526i,0.0013792+0.00044756i,0.00022038+0.00062011i,0.00062386+0.00046152i,0.0013064+0.0010644i,0.0015895+0.00092013i,0.00091831-0.0002023i,-0.0005778-0.00039241i,-0.00054263-0.00053259i,0.00069701-0.0010054i,0.00054539-0.00089607i,0.00078774-0.0012507i,0.00090199-0.0011909i,-3.091e-05-0.00091888i,-0.00055497-0.00070254i,8.3845e-05-0.00027429i,0.00060138+6.8595e-05i,9.4836e-07+0.00038456i,-0.00013182+0.0002881i,0.00032983+0.00047259i,-0.00056919+0.00068449i,-0.00061538+9.8948e-05i
-0.0038871-0.00032171i,-0.0043617-0.00073448i,-0.003827+0.0015464i,-0.0019234+0.0030121i,-0.00026274+0.0025066i,0.0016925+0.0015457i,0.0025559+0.00029584i,0.0011782-0.00023713i,-0.00056754+0.00055127i,-0.00068657+0.00083343i,0.00035464-1.0867e-05i,0.00091719-0.00051731i,0.0012578-0.00082385i,0.00082323-0.00084101i,-3.1036e-05-3.5446e-05i,0.00019111+0.00045732i,0.00031911-0.00018843i,0.00017671-0.00043212i,0.00064058+0.00035685i,0.00058553+0.00064196i,2.2323e-05+0.00016727i,0.00045881-3.2208e-05i,0.0005883-0.00023518i
0.0019893-0.0022371i,0.0019535-0.0025257i,0.0011061-0.003164i,-0.00028482-0.0024064i,-0.00016231-0.0004513i,0.00058418+0.00074941i,0.00087193+0.00067378i,0.00060522-0.00068246i,-0.00020911-0.0010746i,-0.00113-0.00019512i,-0.0011221+0.00081542i,-3.0707e-05+0.0013987i,0.00072125+0.00031178i,0.00034488-0.00062099i,-0.00057821-0.00014899i,-0.00043562-0.00033953i,5.0187e-05-0.00091993i,-0.00050087-0.0011308i,-0.00085858-0.0007198i,9.1691e-05-0.00041844i,0.00098808-0.00038043i,0.00051317-0.00018161i,-0.00053052-0.00043655i
-0.0010195+0.0016471i,-0.00055313+0.0024702i,0.00056271+0.0017616i,0.00070939+0.0014572i,-0.00011752+0.0013281i,0.00054315+0.001126i,0.0015172+0.00057846i,0.00010609-1.0187e-06i,-0.0012028-0.00034749i,-0.00092033-0.00047588i,-0.00036378-0.00011461i,-0.00044017+0.00025078i,0.0001871-0.00027177i,0.00038885-0.00073858i,0.00063085-0.00049583i,0.001045-0.00094202i,0.00052672-0.0012883i,-0.00013798-0.00093471i,0.00024913-0.00099256i,9.5068e-05-5.6902e-05i,-0.00048362+0.00061641i,7.8673e-05+0.00056791i,0.00049118+0.00048266i
0.00034046-0.0035799i,0.00078169-0.0034814i,-0.00067805-0.0028059i,-0.0017015-0.00082222i,-0.00031713+0.0010096i,0.0020759+0.0011659i,0.002696+0.00040867i,0.0015072-0.00021499i,0.00014456-0.00093561i,-0.00040867-0.00059045i,-0.00022539-0.00028229i,0.00055363-0.0004179i,0.00069588+0.00050744i,0.00048853+0.0014007i,0.000332+0.0019763i,0.00044441+0.0019428i,0.00083083+0.00067971i,0.00011158+5.3899e-05i,-0.00047636-0.00024441i,8.6815e-05-0.00031727i,-0.00029797+0.00045685i,-0.00084946+0.00072931i,-0.00056508+0.00021758i
0.0037067-0.0015757i,0.00229-0.001152i,-5.5248e-05-0.0020999i,-0.0015771-0.0012325i,-0.0019178+0.00067055i,-0.00069791+0.0016324i,0.00071855+0.0010637i,0.00070193+0.00042412i,0.00043317-0.0001667i,-0.0001252-0.00072208i,-0.00089063-4.9796e-05i,-0.00097744+0.00035266i,-0.00078126-0.00079661i,-0.0002302-0.0010969i,-0.00039409-0.00011322i,-0.00031611+0.00096861i,-0.00029467+0.0017542i,-0.00078791+0.0011698i,0.00036786+0.00074266i,0.00053304+0.00016629i,-0.00045724-0.00045124i,-0.00026226-0.00017933i,0.00052679-9.9111e-05i
