-0.00022369+0.0020454i,0.00061002+0.00086312i,-0.00032542-0.00063119i,-0.0010058-0.00077186i,-0.0012375+0.00012188i,-0.00095931+0.00082544i,-0.00073094+0.00082131i,-0.00047715+0.00066159i,0.00055199+0.0011882i,0.0017621+0.0010843i,0.0017002-0.00058905i,0.00091447-0.00071779i,-0.00023997-0.00024394i,-0.00019225-0.0005474i,-6.9968e-06+0.00013855i,-0.00039013+0.00069915i,0.0001603-2.9334e-05i,0.00011262-0.00011062i,-0.00068764-0.00057611i,-0.00087714-0.001386i,-0.00044969-0.00062446i,0.00047315+0.00014101i,0.00075177+0.00032621i
1.9247e-05-0.00037694i,0.00074597-0.0012402i,0.00034571-0.00088183i,-0.00030645-0.0002247i,-6.6377e-05+2.5692e-05i,3.3139e-05+0.00035426i,0.0010258+0.00070991i,0.001559+0.00081605i,0.00084537+0.00039708i,-0.00021896+0.00022353i,-0.0011414-0.00064569i,-0.0012557-0.0013419i,-0.00098413-0.00029534i,-0.00044981+0.00053387i,0.00020518+0.00012363i,0.00035243-0.00016868i,3.6625e-05-0.00034998i,-9.0058e-06-0.00028194i,-0.0003242-0.0003344i,-0.00029259-6.2903e-05i,0.00024574+0.00017584i,0.00012301+4.321e-05i,-0.00034997+0.00013469i
-9.7427e-05-0.0006031i,-0.0013899-0.00021037i,-0.003079+0.0002828i,-0.0034064+0.00069244i,-0.0024414+0.0010446i,-0.00041791+0.00085493i,0.001007-0.00077601i,0.0014031-0.0013306i,0.0011766-0.00028107i,0.00097728+0.00045777i,0.00075308+0.00084015i,0.00044217+0.00076061i,0.00024138+0.00096573i,0.00027118+0.0010988i,-0.00012026+0.00093147i,-0.00010109+0.00078087i,0.00085518+0.00032971i,0.0011486+0.00031536i,2.9422e-05+0.00064506i,-0.00034026+0.0008828i,-4.6726e-05+0.00037409i,0.0001186-0.00029773i,0.00074788-3.0008e-05i
0.00072205-0.00086477i,-0.0002684-0.00093908i,-0.00097872-0.0010217i,-0.0009619-0.00021165i,-0.00089236+0.0009718i,-0.00074829+0.00083737i,-0.00035725-0.0008767i,0.00049572-0.00166i,0.00070659-0.0019966i,0.00030189-0.0013811i,7.4072e-05+0.00049051i,0.00045088+0.0013995i,0.00085545+0.00075123i,0.00067647-0.00024492i,0.00016492-0.00045941i,-0.00019255+0.00030966i,-6.2753e-05+0.00077879i,7.0713e-05+0.00027505i,-1.0672e-05-0.00024446i,-0.00034358-0.00040804i,-0.00080531-0.00040719i,-0.00063274-8.6831e-05i,-0.0007189-0.00023063i
0.00098727+0.0018125i,0.00081439+0.0016987i,-4.0365e-05+0.001144i,-0.00056397+0.00035437i,5.9386e-05-0.00051483i,0.00032615-0.00059168i,0.00018703+0.00031972i,-0.00080327+0.00013003i,-0.0011525-7.6846e-05i,-0.00076503+1.9512e-05i,-0.00032129-0.00020616i,0.00043368-0.00098323i,0.00039846-0.0017625i,0.00057085-0.0012487i,0.00022627-0.00012839i,-0.00043892-0.00025287i,0.00019979-0.00060603i,0.00064776-0.00050579i,0.0005538+0.00021352i,8.5331e-05+0.0003298i,-0.00034676+1.1559e-05i,-0.00041895+0.00054244i,-0.00073912+0.00091167i
-0.0010851+0.0023558i,-0.0012269+0.0010741i,-0.00072162+0.0011342i,-2.1748e-05+0.0006303i,0.00025736-0.0005223i,0.00089233-0.00091163i,0.00032198-1.7922e-05i,-0.00011953+0.0013656i,-3.6907e-05+0.0017841i,-0.00018537+0.0018451i,0.00040391+0.0014058i,0.0001743-6.6605e-06i,6.1329e-05-0.0017469i,0.00059907-0.0016661i,0.0006603-0.00039988i,0.00048448-0.000388i,0.0005618-0.0010947i,0.00081557-0.0015004i,0.00087329-0.00095244i,0.0005-0.00022761i,0.00014693-8.3194e-05i,0.00048287-0.00037706i,0.00082964-0.00034236i
0.0025086-0.00082017i,0.0021391-0.00044529i,0.00082945-0.00066482i,-0.00086902-0.0011651i,-0.0022431-0.00049067i,-0.0019691+0.00077271i,-3.6723e-05+0.0012375i,0.0010693+0.00090988i,0.00099385+0.00089234i,0.0011659+0.0004038i,0.0012294-7.961e-05i,0.00057836-7.3064e-05i,-0.00021611+0.00016894i,-0.00035381+0.0005829i,-0.00067672-6.5381e-05i,-0.00085351-0.00080436i,-3.2213e-05-0.0004171i,0.00094299+8.8643e-05i,0.0011306+0.00024199i,0.00025323+0.00027153i,-0.00040595-1.3474e-05i,-0.00059164+0.00010416i,-0.00050447+0.0002735i
0.00015432-0.00064045i,-0.0011928+0.00065689i,-0.00123-1.8948e-06i,-0.0014324+1.8568e-05i,-0.0011867+0.00066822i,0.00069147+0.00016395i,0.0017823-0.0007155i,0.0011324-0.00078171i,0.00051325-0.00062063i,0.00056827-0.0002885i,-0.00011626+0.00016595i,-0.00080444+0.00018402i,-0.00058161+0.00025651i,0.00056644+7.614e-05i,0.0016337+0.00029486i,0.0014849+0.00060369i,0.0003905+0.00030932i,-0.00030393-0.00010307i,-0.00079281+0.00045343i,0.0001091+0.00051978i,0.00046059-0.00017865i,-0.00046357-0.0002694i,-0.00098802-0.00018529i
-0.0011368+0.00091349i,-0.0013582+0.0008586i,-0.0015565+0.0022831i,-0.00046568+0.0013671i,0.00067112-0.00068934i,0.001338-0.0012074i,0.00092971-0.0012802i,-0.00015772-0.0012088i,-0.00096403-0.0014199i,-0.00051638-0.00087094i,0.00025424+0.00037417i,0.00066357+0.0003005i,0.0014228-0.00012586i,0.0015098-3.136e-05i,0.0011097+8.0195e-05i,0.00059956+0.00049917i,0.00026069+0.00020469i,0.00050235-0.00017867i,0.0008382-8.8475e-05i,0.0014624-2.8607e-05i,0.0013296+0.00034032i,0.0003813+0.00022647i,-0.00056287-0.00015111i
0.00010949-0.00084904i,-6.1431e-05-0.00061618i,-0.00036841-0.0001601i,-0.0011159+8.9165e-06i,-0.0019314-0.00024163i,-0.0017516-0.0001479i,-0.0012306-0.00034091i,-0.0018316-0.0010726i,-0.0023426-0.00099552i,-0.0024993+3.8853e-05i,-0.0015784+0.00075247i,-6.3608e-05-0.0002445i,7.7386e-05-0.001242i,-0.00059629-0.0011814i,-0.00018811-0.0005087i,0.00039111-0.00027064i,0.00062563-1.9249e-05i,0.00044497+0.00044226i,2.1709e-05+0.001072i,0.00073981+0.0011065i,0.00083636+0.0009068i,3.175e-05-6.0373e-05i,4.3643e-05-0.00078816i
0.0030868-0.00023019i,0.0016502-0.00062598i,0.00093073-0.0016545i,0.00014364-0.00055293i,-0.0011951+0.00016654i,-0.0011996+0.00060744i,-0.00033741+0.0014131i,-0.00023297+0.001028i,0.00012485+0.00035239i,0.00061156+0.00022763i,-0.00013898+9.3853e-05i,-0.00147-0.00032929i,-0.0020226-0.0003039i,-0.0015825-0.00061959i,-0.00039667-0.00088601i,0.00022922-0.00052152i,-9.3731e-05+6.4242e-05i,0.00018987+0.0008577i,7.2834e-05+0.0004672i,-0.00073937-0.00016599i,-0.00093217+0.00016063i,-0.00053802+0.0005741i,-0.00070119+0.00041375i
0.00025122+0.00024336i,0.0003646+0.0005018i,-0.0003753+4.8484e-05i,0.00023448-0.00082235i,0.00060525-0.0011201i,0.00060712-0.00065791i,0.0013756+0.00016826i,0.0022062+0.00058485i,0.0016554+0.00050348i,0.0013292+0.00090845i,0.0015701+0.0011776i,0.00095852+0.00082164i,0.00025078+0.00040908i,-0.00024419+0.00071038i,-0.0004906+0.00061988i,-0.00063519+0.00086404i,-0.00033625+0.00099778i,0.00057798+0.00039766i,0.00055639+8.4947e-05i,4.6031e-05-0.00032436i,0.00015283-0.00016875i,-0.00011401+0.00032247i,-6.9236e-05+0.00030572i
-0.00018936+8.3411e-05i,-0.0017836+0.00088744i,-0.002899+0.0011735i,-0.0025369+0.0010837i,-0.0018043+0.0012072i,-0.00040028+0.00090046i,0.00074452-0.00093148i,0.0019648-0.0017504i,0.0027954-0.0016689i,0.0022442-0.0015045i,0.0016459-0.00041499i,0.0015016+0.00043564i,0.00088547+0.0008107i,0.00048871+0.00076734i,0.00062204+0.00071433i,0.00011382+0.00063417i,5.6777e-05+0.00017535i,0.00071328-0.00018841i,0.0013254-0.00018721i,0.0006918+0.00024438i,-0.00040989+0.00011735i,-0.00055836-0.00027208i,-0.00060982-0.00068468i
-6.465e-05+0.0032587i,0.00086943+0.0016783i,0.0021383+0.001699i,0.0026281+0.00042488i,0.0029787-0.0012394i,0.0021024-0.0012976i,0.00061555-0.00080938i,0.00053477-0.00075434i,0.00036639-0.00073138i,-0.00010515-0.00081523i,-4.3674e-05-0.00041494i,0.00026001+0.00056761i,0.00098868-2.9611e-05i,0.0014957-0.0011294i,0.00050852-0.00072021i,-0.00021433-0.0004176i,-4.6429e-05-0.00011061i,-3.476e-05-0.00032649i,-0.00022721-0.0012089i,0.00011291-0.00060291i,-5.9497e-05+0.00017692i,-0.00091278+0.00036141i,-0.0013134+0.00028795i
-0.00096259-0.00063685i,-0.0016854+0.00055267i,-0.0031932+0.00082773i,-0.0031602+0.0012807i,-0.0019494+0.0010229i,-0.0013313+0.00030547i,-0.0012146-0.00021079i,-0.0020018-0.0001644i,-0.0023984+0.00061033i,-0.0016486+0.00062975i,-0.00079266+0.00064196i,-0.00017739+0.00033553i,0.0002555-0.00075094i,-0.00017569-0.00071301i,-0.0007408+0.00046175i,-0.00055961+0.00074263i,0.00081677+0.00054782i,0.0013671+0.00034687i,0.00087801+0.00011732i,0.00031491-0.00027378i,-0.00041536-6.1195e-05i,-0.00095084+0.00076698i,-0.00095153+0.000831i
4.7604e-05-0.0025411i,-0.00071397-0.0014708i,-0.00092335-0.00055837i,-0.002268+0.00124i,-0.0024884+0.0019821i,-0.00044552+0.0013291i,0.00044539+0.00074914i,-0.00036444+0.0013854i,-0.0010895+0.0026169i,-0.00087803+0.0021586i,-5.7301e-05+0.00079466i,-8.5006e-05-6.0423e-05i,-0.0003536+8.1404e-05i,-0.00035508+1.2556e-05i,-0.0006016+0.00058248i,-0.00028007+0.0011596i,0.00017665+0.00061402i,0.00044782-0.00011105i,0.00076943-0.0001805i,0.00056809-0.00016079i,-0.00023323-6.8918e-06i,-0.00072047+0.00036612i,-0.00023629+0.00058775i
0.00028485+0.00023011i,-0.0010092+0.00010769i,-0.001521+0.00036914i,-0.0010572+0.00051507i,9.8354e-05-0.0004566i,0.0017676-0.0002994i,0.0024053+0.0001766i,0.0023822-0.00031172i,0.0023162-9.4018e-05i,0.0022419-0.00018704i,0.0020338-2.8241e-05i,0.0011713-8.2961e-06i,0.00056068-1.2515e-05i,0.00040501-0.00041879i,0.00055972-0.00075937i,0.00064484-0.000296i,0.00019612-0.00025795i,-0.00018306-0.00011646i,-0.0001993-0.00010722i,0.00018307+2.1803e-05i,-7.9667e-05+0.00020604i,0.00019513-0.00010204i,0.00042592-0.00022008i
-0.0030998-0.00044038i,-0.0021466-0.00040879i,-0.0016317+0.0010405i,-0.0013312+0.0015075i,-0.00090892+0.0011686i,-5.0043e-05+0.00068614i,0.00088041-0.00068776i,0.0012605-0.001737i,0.0012158-0.0011464i,0.0013035-0.0006457i,0.00060019-0.00053643i,8.879e-05+0.00024848i,0.00083432+0.0014303i,0.00099912+0.0013458i,0.00056043+0.00030084i,0.00047786+5.8458e-05i,0.0003931+4.2936e-05i,0.00080289+0.00011358i,0.00094252+9.2312e-05i,0.00041657+0.0004265i,-0.00032919+0.0005834i,-0.00038963+7.8947e-05i,-0.0001134-0.00032956i
0.00019049+0.0012196i,-0.0007905+0.0014481i,-0.00095186+0.00094669i,-0.001193+0.00039653i,-0.00079946-0.00025123i,-0.00046258-0.00091904i,-0.00057771-0.00065526i,-0.0011659-0.0010912i,-0.0013242-0.0016335i,-0.00086127-0.0014922i,-6.1585e-05-0.00060709i,0.0008987+0.0002609i,0.00066877+9.1326e-05i,-0.00047014-0.000446i,-0.00058837-0.00093136i,-0.00051095-0.0015108i,-0.00019355-0.0011117i,0.00041802-0.00085402i,0.00052633-0.00067908i,0.0011394-0.00064784i,0.001207-0.00058062i,0.00031678-0.00039328i,-0.00057268-0.00039723i
1.9044e-05-0.00046602i,0.00031366+0.00055472i,-0.00050581+0.00077138i,-0.0014569+0.0014123i,-0.00099973+0.0014719i,0.00023386+0.00093129i,1.0169e-06+0.00092432i,-0.0016276+0.0020034i,-0.0027145+0.002317i,-0.0026001+0.001265i,-0.0015753+0.0012847i,-0.0011419+0.00061145i,-0.00099095-0.00019341i,-0.00089914+0.00016068i,-8.3326e-05+0.00029257i,0.00072857+0.000252i,0.00066015+8.0706e-08i,0.00021677+0.00014324i,8.805e-06+0.00046723i,-8.8465e-05+0.00072245i,-9.6007e-05+0.00069596i,0.00023749+0.00033562i,0.00036188+2.817e-05i
-0.00091608-0.00089731i,-0.001091-0.0013902i,-0.001206-0.00069938i,-0.00058896+0.00032783i,0.00062204+0.00039745i,0.0007976+0.00058189i,0.0013211+0.00087869i,0.0019581+0.0014958i,0.0015605+0.0023665i,0.0017667+0.0027346i,0.0012862+0.001755i,0.00054067+0.00028217i,0.00069057+0.00044642i,-4.69e-06+0.00096609i,-0.00046245+0.00048744i,4.9889e-05+7.5241e-05i,0.00024935+4.4627e-05i,0.0001207+0.00013963i,0.0002596-0.0001537i,0.00084529-0.00031288i,0.0013805-0.00019979i,0.00092314-0.00045277i,0.00017222-0.00011311i
-0.0012204+0.00050352i,-0.00041551+0.00019373i,-0.001045-0.00022113i,-0.0015106-0.00083739i,-0.0012895-0.00092716i,-0.00041953-0.0011515i,0.0010982-0.00056877i,0.0025004-0.00053194i,0.0027366-0.00045357i,0.0023305+0.00041306i,0.0012499+0.00018876i,0.00014567+5.3861e-05i,-0.00038003+9.8319e-05i,-0.0010347-0.00015745i,-0.00032458+0.00017898i,0.00049624+0.00068233i,0.00036203+0.00095i,3.9248e-05+0.0010009i,-0.00033465+0.00087162i,-4.9489e-05-4.2003e-05i,6.5001e-05-0.00033729i,0.00015921-6.5323e-06i,0.00076449+0.00041649i
0.00098434-0.0011143i,0.00034303-0.0017249i,-0.00064789-0.00072812i,-0.0021455-0.00029001i,-0.001814-0.0004066i,-0.00053437-0.00082641i,0.0001444-0.0020066i,0.00037238-0.00309i,0.00026943-0.0026625i,0.00016646-0.0016085i,0.00041766-0.00055497i,0.00028157-7.319e-06i,-3.636e-05+0.00039565i,-0.00018903+0.00038507i,-0.00034619+5.2692e-05i,-0.00056587+0.00036892i,-0.00095279+0.00055752i,-0.0013154+0.00023164i,-0.00067222+0.00023793i,5.6452e-05+5.5654e-05i,-0.00022476+0.00014932i,-0.0005246+0.00075351i,-0.0007757+0.00099908i
-0.0012517+0.0016461i,-0.0010388+0.0011198i,-0.00060815+0.0016246i,-0.0006904+0.0015567i,-0.00029084+0.00094041i,0.00020484+0.0015018i,-0.0012598+0.001338i,-0.0033075+7.0343e-05i,-0.0037856-0.00060096i,-0.0021257-0.00054356i,-0.0012528-0.00027905i,-0.00061422-0.00056147i,0.0006006-0.00099029i,0.00094671-0.0014275i,0.00018458-0.00096117i,-0.00014856-0.00019635i,-0.00013134+7.5127e-05i,-0.00050133-4.6182e-05i,-0.00045879-0.00013403i,5.7897e-05+4.9222e-05i,0.00027087-0.000261i,0.00033794-0.0007351i,0.00013564-0.00011212i
-0.0016134-0.0017825i,-0.0015857-0.0012264i,-0.0017343-0.00051966i,-0.0015921+0.00070812i,-0.00033398+0.0011455i,0.0010131+0.00087116i,0.00081669+0.0020297i,-0.00044633+0.0028028i,-0.0014504+0.0028138i,-0.0018983+0.0023331i,-0.00048698+0.0016379i,0.00085728+0.0011975i,0.0006832-0.00012261i,-0.00010869-0.00042461i,-0.00099866-0.00034806i,-0.00067383-0.00068587i,6.7099e-05-0.00014466i,-0.00026123-0.00020485i,0.00010679-0.00024898i,0.0010476+0.00043616i,0.00048232+0.00060007i,-0.0002114-0.00030802i,-0.0004738-0.00018693i
-0.00198+0.00023185i,-0.0018679-0.0011733i,-0.0016729-0.0011602i,-0.0017597-0.00059521i,-0.0016694-0.00037683i,-0.0010852-1.4946e-05i,-9.477e-06+0.00061693i,0.001262+0.0017397i,0.0019511+0.0026941i,0.0024745+0.0026497i,0.0023063+0.0018591i,0.0016142+0.0012954i,0.00048234+0.00055512i,-0.0001303-0.00041202i,0.0009776+0.00017124i,0.001232+0.0011897i,0.00023758+0.00053512i,0.00011219-0.00070078i,7.9116e-05-0.00091317i,0.00012588-0.0003864i,0.0002122-0.00018542i,-0.00012087-0.00042216i,-0.00021918+0.00076744i
0.0018817-0.00076527i,-0.00020356-0.00044069i,-0.0016014-0.0013929i,-0.002294-0.001883i,-0.0024795-0.0016437i,-0.0012236-0.00099866i,0.0016953-0.0012345i,0.0035453-0.0018106i,0.0034317-0.0015508i,0.0031571-0.00090119i,0.0025396-4.7541e-05i,0.0013611+0.00049925i,-9.081e-05+0.00061534i,2.3464e-05+0.00081345i,0.00092602+0.00037342i,0.00094658-0.00086505i,6.8301e-05-0.001321i,-0.00082357-0.00064816i,-0.00090773-0.00016838i,-0.00088798+0.00023658i,-0.0007564-7.9858e-05i,0.00015779-0.00040288i,0.00038165-1.3835e-05i
-0.00040318+0.00059108i,-0.00028467+0.00046933i,-0.00048021+0.0009956i,-0.00073104+0.00087965i,-0.00030546+0.00086197i,0.00038831+0.00028042i,-7.6466e-05-0.0016805i,-0.0009112-0.0034316i,-0.00094742-0.0047629i,1.6387e-06-0.0042037i,0.00043231-0.0025851i,0.00042334-0.0020581i,0.00056289-0.0015879i,0.00097072-0.0014539i,0.0016174-0.00086555i,0.0013883-0.00032371i,0.00072214-0.0005469i,0.00086324+0.00022549i,0.0005926+0.00045032i,-9.2602e-05+0.00037114i,-0.00040418+0.00054371i,-8.7656e-05+0.00026202i,6.1716e-05+0.00012171i
-0.0018035+0.00021757i,-0.00074597+0.00017937i,7.0195e-05+0.00071124i,0.00027298+0.002043i,0.00068141+0.0021286i,0.00033196+0.001706i,-0.001756+0.0010001i,-0.00441-0.00070004i,-0.0054799-0.0010566i,-0.0042782-0.00051659i,-0.0023052+0.00027186i,-0.00093911+0.00075716i,-8.0973e-05+0.00026909i,-0.00021141+5.449e-05i,-0.00054895+0.00028517i,-0.00016312+0.00011086i,1.0665e-05-0.00011781i,-0.00030606+0.00039177i,-0.00059412+0.00052265i,-0.00054321-0.00041101i,-0.00022216+4.8324e-05i,-0.00043398+0.00097128i,-0.00067352+0.00061247i
-0.0021352+0.001429i,-0.0013195+0.0011273i,-0.00084185+0.0017987i,-0.0003566+0.0018047i,0.00072787+0.00033799i,0.0014178+0.00088738i,0.00075221+0.0022552i,-0.0010498+0.0036798i,-0.0024819+0.0049032i,-0.0022765+0.0045189i,-0.00090033+0.0026869i,-0.00055588+0.0014344i,-0.0014517+0.00061351i,-0.0007558+0.00031083i,0.00030807+0.00079276i,-7.2593e-05+0.00090584i,-0.00019887+0.00016996i,-3.302e-05-0.00073309i,-0.00061443-0.0008432i,-0.00076476-0.00074519i,0.0002644-0.00095214i,0.00051907-0.00046648i,0.00037892-8.7636e-05i
-0.00033865-0.001226i,-0.00063255-0.0015338i,-0.00043183-0.0019709i,-0.0011174-0.0018068i,-0.0010623-0.0012365i,0.00039872-0.00020898i,0.002049+0.0008636i,0.0039283+0.0019522i,0.0043048+0.0029669i,0.0031151+0.0025051i,0.0017855+0.00057281i,0.0011931+9.6959e-05i,0.0011991+0.0011973i,5.7907e-05+0.0016116i,-0.00078275+0.0013259i,-0.00045777+0.00083477i,-4.413e-05+0.00036139i,-0.0002379+0.00087872i,-3.7271e-05+0.00074766i,0.00073126+0.00040742i,0.00080208+0.00059471i,0.00023635+0.00043068i,0.00010615+0.00039067i
1.065e-05-0.00069076i,-0.00054558+0.00026744i,-0.0013047+0.0016019i,-0.0018391+0.0024923i,-0.0011489+0.0017959i,2.8171e-05+5.2415e-05i,0.0014433-0.0015709i,0.0031029-0.0033715i,0.004689-0.0037742i,0.0051852-0.0017396i,0.0038453-0.00050688i,0.0018309-0.00020042i,0.0011089-0.00034441i,0.0015181-0.00066061i,0.0011997+3.9906e-05i,4.178e-05+0.00089178i,-0.0001635+0.0010007i,-0.0006783+0.00061677i,-0.0016106-3.7674e-05i,-0.00071794-0.00035716i,-0.00035549-0.00016865i,-0.00089211-0.00052782i,-0.00058759-0.0012941i
-0.00054836-0.0014873i,-0.00061081+8.2468e-05i,-0.0011571+0.00049015i,-0.0020177+0.00070409i,-0.0023665+0.0014298i,-0.001441+0.0009829i,-0.0010342-0.0010815i,-0.0016109-0.003979i,-0.0020357-0.0058761i,-0.001589-0.0056866i,-6.1261e-05-0.0037914i,0.00061071-0.0020511i,0.00041794-0.0015907i,0.00072354-0.0013616i,0.0012426-0.00077349i,0.0012062+2.0725e-05i,0.00048887+0.00028311i,-0.00049343+0.00021479i,-0.00047479+0.00041355i,0.00071856+0.0012912i,0.0014778+0.001183i,0.0010711+0.00060682i,0.00018845+0.00013909i
-0.0010262-0.0001146i,-0.00067025+0.00013729i,-0.0012416+0.00066262i,-0.00035372+0.00033914i,0.00128-0.00027547i,0.0008276-0.00061887i,-0.0013899-0.00034738i,-0.0041677+0.00032167i,-0.0060107+0.00066982i,-0.0050149+0.00086598i,-0.0026605+0.00034615i,-0.0011276-7.5072e-05i,-0.00073664-0.00053925i,-0.00042792-0.00089573i,9.7355e-05-0.0010493i,0.0006416-0.00056264i,0.0008548-7.9345e-05i,0.0001267-0.00039762i,-0.00036833-0.00058758i,-0.00053006+0.00049836i,-0.00025326+0.00065712i,-0.00043157+3.8026e-05i,-0.00037095-8.3849e-06i
-0.0014408-0.0014382i,-0.001402-0.00010969i,-0.0016221-0.00028344i,-0.0018465-0.00087164i,-0.0018872-0.00022266i,-0.00076426+0.00064976i,-0.0002129+0.0019501i,-0.00082076+0.0039685i,-0.0011889+0.0048974i,0.00010396+0.0046191i,0.0012577+0.0035858i,0.00041442+0.0019424i,-0.00073884+0.00082656i,-0.00080028+0.0005763i,-0.00095237+8.6736e-05i,-0.0011866-0.00024977i,-0.00047302+7.987e-05i,-8.2919e-05+0.0005085i,-0.00076546+0.00073875i,-0.00097463+0.00056629i,-0.00067643+0.0008056i,-0.0008906+0.00082466i,-0.0004366-0.0002462i
0.00066294-0.00075872i,0.00048058-0.0010053i,3.2357e-05-0.00032385i,-0.0017706+0.0003454i,-0.0025137+0.00070637i,-0.0013165+0.00092655i,0.0017233+0.00074174i,0.0048898+0.00092385i,0.0061764+0.0020216i,0.0059346+0.0019412i,0.0042161+0.00077008i,0.0014176+0.00052086i,0.00043344+0.00092527i,0.00095454+0.00042791i,0.00051201+0.00033151i,0.00051239+0.00061462i,0.00087144-6.6227e-05i,0.00030458+0.00022275i,0.00028963-2.054e-05i,0.0005356-0.0010735i,0.00047956-0.0011297i,0.00018529-0.00053991i,0.00018785+0.00020341i
0.00012369+0.00037715i,-0.0010824+0.00018272i,-0.0014633+0.00036749i,-0.0012015+0.00057385i,-0.00048763-0.00036955i,0.00058223-0.0018036i,0.0020674-0.0031871i,0.0032101-0.0045554i,0.0037349-0.0052526i,0.003339-0.0049465i,0.0022291-0.0031706i,0.0012918-0.0010342i,0.0010895-0.00045213i,0.0012415+0.00018851i,0.00074566+0.00072346i,7.9722e-06+0.0005832i,-4.2995e-05+0.00059794i,-0.00037572+0.0007192i,-0.00029552+0.0004734i,-0.0002447+7.0953e-05i,-0.00059212-0.00085333i,-0.0012001-0.0010317i,-0.0014213-5.8785e-05i
0.00055833+0.000777i,0.00092998+0.0015286i,2.2942e-05+0.00079865i,-0.0009619+0.001205i,-0.0010795+0.00082689i,-0.00048633-0.00030284i,-0.0012254-0.0024119i,-0.0027442-0.0048577i,-0.0036434-0.0056285i,-0.0036063-0.0047925i,-0.0024143-0.003056i,-0.0014509-0.0018503i,-0.00071582-0.0014646i,-1.5631e-05-0.0015231i,0.0010228-0.00091541i,0.0012466-0.00011307i,0.0013127+0.00033349i,0.00095727+0.00051639i,0.00093084-0.00041343i,0.001382-0.0011194i,0.00031788-0.00032785i,-0.00046603+0.00019832i,0.00016989+0.0008209i
0.00046489-0.00042642i,0.00024582-0.00071975i,0.00013627-0.00062499i,-0.0012157-0.00029785i,-0.0010205-0.0005966i,-7.5856e-05-0.0003579i,-0.0013504-5.9019e-05i,-0.0041698-2.9609e-05i,-0.0059536+0.00093263i,-0.0050085+0.0017498i,-0.0021836+0.00098049i,-0.00057299+0.00026093i,-0.00023029+2.7947e-05i,0.00015291-0.00072954i,-2.8462e-05-0.0011647i,-0.00057602-0.00070583i,-0.00045318+8.8856e-05i,0.00014403-0.00015762i,0.0006753-0.00011445i,0.00073433+0.00031338i,5.7518e-05-2.1961e-05i,8.264e-05-0.00032833i,-0.00019804-0.00020549i
-3.5568e-05+0.0015045i,-0.0001299+0.00061153i,-0.00040019-0.00037343i,-0.00041824-0.00099989i,-0.00046821-0.0012374i,-0.00021428+0.00045272i,0.00066029+0.0025939i,0.0014132+0.0042592i,0.00083495+0.0056681i,0.000512+0.0052855i,0.00055128+0.0032926i,-0.00015116+0.0011136i,-0.00085751+0.00046722i,-0.00059712+0.00038667i,-0.00037055-3.4311e-05i,-0.00057007-0.00053127i,-0.00051592-0.00088523i,0.00020751-0.00096621i,-0.00020557-0.00037285i,-0.0011632-0.00014023i,-0.00069883+7.6335e-05i,0.00026511+0.00028542i,0.00025777+0.00058135i
-3.1973e-05+8.0537e-05i,-0.0001714-0.001003i,-0.00083012+0.0002664i,-0.0016803+0.0013206i,-0.0012931+0.00075083i,0.00054692-0.00033613i,0.0024482+0.00024991i,0.0045148+0.00084018i,0.0056261+0.0009814i,0.0054119+0.0006462i,0.0040893+0.0005333i,0.0022132+0.00047838i,0.00051982+0.00014257i,-0.00025081+0.00015443i,-0.00035183+0.00035528i,-0.00037032+0.00032013i,-0.00013151+0.00042857i,0.00032269+0.00074012i,0.0010612+0.00054351i,0.0012386-5.2207e-05i,0.0006918-0.00041792i,0.00029353-0.00023795i,-0.00012315-0.00036224i
-0.00036957+0.0017407i,-0.00032219+0.0018307i,0.00035024+0.0024255i,0.00046195+0.0020229i,0.00044492+0.0010991i,0.00070242-9.6146e-05i,0.00080506-0.002015i,0.0016425-0.0039259i,0.0023796-0.0051149i,0.001947-0.0050529i,0.0012764-0.0037024i,0.0014505-0.0020185i,0.0011005-0.00073287i,0.00045391-0.00056126i,0.00076013-0.00011676i,0.0012523+0.0011445i,0.001379+0.00072471i,0.00038446-0.00031522i,-0.00035664-0.00038387i,6.1376e-05-0.00021485i,0.00013101-0.00017772i,-9.3524e-05+0.00017812i,-0.00067631+0.00099952i
-0.0010596-0.001242i,-0.0012071-0.00088602i,-0.001245-0.0014037i,-0.0009502-0.0013224i,-0.00047905-0.00040488i,-0.0003877-2.3427e-05i,-0.0013395-0.0014162i,-0.0032482-0.0035657i,-0.0045753-0.0043807i,-0.0044001-0.0033785i,-0.0027967-0.0021973i,-0.001279-0.001505i,-0.00031118-0.0011084i,-6.846e-05-0.00053965i,-0.00015992-0.00030834i,0.00027543-0.00058413i,8.0311e-05-0.00067138i,7.0706e-05-0.00063364i,-0.0001129-0.00026332i,-8.8915e-05+0.00019457i,-0.00022494+0.00027173i,-0.0010416+0.000433i,-0.0011786+0.00084937i
-0.0019443+0.0012352i,-0.00131+0.0013345i,-0.00058592+0.0012483i,0.0009882+0.0013102i,0.0018945+0.0015333i,0.00085836+0.0014048i,-0.0013611+0.0020528i,-0.0042429+0.0035526i,-0.0059588+0.0044699i,-0.004736+0.0042355i,-0.0030197+0.0024356i,-0.0015268+0.00061723i,0.00014054-0.00013162i,0.00044748-6.0502e-05i,0.00080657-0.00059647i,0.0006342-0.0011051i,-9.3899e-07-0.00083501i,0.00051701-0.00028507i,0.00042993-7.1155e-06i,3.7848e-05+0.00022655i,0.00014483+0.00031562i,0.00010858-2.4323e-05i,0.00052728-9.7858e-05i
