-0.0021134+0.00069986i,-0.001303+0.00012516i,-0.0002866+0.00021929i,-0.00016883-2.1596e-05i,-0.00142+0.00013718i,-0.0019512+0.00087373i,-0.0019443+0.0019005i,-0.00098676+0.0029135i,0.00072091+0.002829i,0.0013479+0.0015552i,0.0016051+0.00011803i,0.0016698-0.0010429i,0.0015401-0.00085807i,0.0012596-1.1834e-06i,0.000934+0.00060862i,0.0010459+0.00058592i,0.00068124+0.00024969i,-0.0005038+0.00025582i,5.7046e-05+0.00045304i,0.0010696+0.00020671i,4.8349e-05-0.00026676i,0.00022289+2.8271e-05i,0.00072172+0.00057422i
0.015568+0.023862i,0.004998+0.011649i,0.0042378+0.0036696i,0.0081663+0.0010331i,0.0073978-0.0027675i,0.0035361-0.002738i,0.0028824+0.00020465i,0.0042897+0.00094854i,0.0022254-4.0264e-05i,-0.0010005-0.00094467i,-0.0026581-3.4994e-05i,-0.0033626+0.0023121i,-0.0044502+0.0051095i,-0.0051659+0.0059911i,-0.0025765+0.0037058i,-0.00038047+0.00084495i,4.8948e-05-0.00018604i,0.00047283-0.00083558i,0.0002566-0.00088334i,-0.00021178+0.00034699i,-0.00039105+0.00059822i,0.00027587+0.00033188i,0.00017363-0.00016917i
0.029019+0.0023921i,0.013392+0.0022289i,0.0078547-0.0030954i,0.0075603-0.0086694i,0.0024377-0.010874i,-0.00062943-0.0077434i,0.0017767-0.0050187i,0.0027336-0.0042522i,0.00092561-0.0025659i,-0.00017191-0.00068051i,-0.00050112+0.0011283i,-0.00014702+0.0031037i,0.0020642+0.0054468i,0.0039019+0.0070479i,0.0026211+0.0050985i,4.8232e-05+0.0013205i,-0.00081709-0.00074011i,0.00048327-0.0009176i,0.0015648-0.00046603i,0.00095831-0.00033116i,-0.000242-0.00013994i,-0.00040566+0.001235i,-0.00029644+0.0017669i
0.018613-0.023745i,0.0099815-0.0094988i,-0.00048044-0.0049829i,-0.005708-0.0073768i,-0.0086607-0.005916i,-0.0078041-0.0040607i,-0.0045104-0.0049324i,-0.0031244-0.0046299i,-0.0022409-0.0015406i,-0.00030243+0.001632i,0.0018893+0.0034223i,0.0039491+0.0023208i,0.0068032-0.00012045i,0.0080588-0.0011762i,0.0053734-0.0005283i,0.0020025+0.00044773i,0.00019535+0.0011041i,-0.00042993+0.000678i,-0.00017528-0.00029839i,0.00066096-0.000872i,0.0011522-0.0007139i,0.0013852-0.00023584i,0.00040937-4.2711e-05i
-0.010628-0.032932i,-0.002431-0.016764i,-0.0051468-0.0022526i,-0.0097+0.004436i,-0.0087399+0.0076565i,-0.0053532+0.0062969i,-0.0053487+0.0021188i,-0.0065943+0.00095307i,-0.004268+0.0020558i,-0.00047348+0.0022401i,0.002741+0.0011799i,0.004546-0.0015854i,0.0046404-0.0053949i,0.0043808-0.0070469i,0.0039551-0.0047001i,0.0025267-0.0014201i,0.0009522+9.3738e-05i,-8.8615e-06+0.00032149i,-0.00065366+0.00019634i,-0.0014652-0.0003821i,-0.0014167-0.00076195i,-0.00026276-0.00053069i,0.00061229+0.00048234i
-0.030988-0.013029i,-0.01302-0.0083174i,-0.0028562+0.0026528i,-0.00075742+0.010319i,0.0018986+0.012328i,0.0014391+0.0085673i,-0.0015933+0.0059202i,-0.0018288+0.0059135i,0.00050459+0.0039907i,0.0019169+0.00063809i,0.0012874-0.0021931i,-0.0010861-0.0047409i,-0.0041128-0.0062266i,-0.0054004-0.0058415i,-0.0036054-0.004326i,-0.00060411-0.0025875i,-0.00012688-0.0010709i,-0.00049309-0.00049215i,-0.00038121-0.0005451i,-0.0010995-0.0011058i,-0.00096647-0.0018432i,-6.4333e-05-0.0019879i,0.00043717-0.00071284i
-0.033387+0.018831i,-0.018038+0.0067495i,-0.00084204+0.0055674i,0.0086999+0.0075779i,0.012794+0.005179i,0.0098593+0.0023877i,0.005644+0.003441i,0.0045079+0.004635i,0.0043188+0.0021863i,0.0029011-0.00081033i,-0.00068606-0.0020062i,-0.0044901-0.0012539i,-0.0074897+0.00037463i,-0.008047-2.0281e-05i,-0.0056195-0.00092428i,-0.0023718-0.00099035i,-0.00039353-0.00095632i,0.00027993-0.00094063i,-0.00012045-0.00048933i,-0.00039511-0.00012314i,-0.00062039-0.00018908i,-0.0014-1.9044e-05i,-0.00074965-5.8573e-05i
-0.0027479+0.03786i,-0.0036887+0.017362i,0.0062059+0.0012627i,0.013591-0.0057695i,0.012129-0.010071i,0.0066685-0.0085039i,0.00529-0.0040113i,0.0059816-0.0025617i,0.0033083-0.0032006i,-0.00049971-0.0028733i,-0.0027071-0.0009235i,-0.0029425+0.0016906i,-0.002961+0.0054991i,-0.0032975+0.0081812i,-0.0030556+0.006259i,-0.0020545+0.0030055i,-0.0012468+0.0016898i,-0.00047276+0.00094278i,0.00078845+0.00070537i,0.0014031+0.0016905i,0.00037223+0.0019085i,-0.00038633+0.0015397i,-0.00018045+0.0010311i
0.031127+0.026593i,0.012313+0.014502i,0.0029635-0.0032722i,-0.00025354-0.014344i,-0.0043619-0.016284i,-0.0050744-0.011753i,-0.0015466-0.0088167i,0.0011552-0.0077107i,0.00073429-0.005501i,-0.0011826-0.0021856i,-0.0021859+0.00039271i,-0.00063079+0.0023514i,0.0028532+0.0043417i,0.0053653+0.0053734i,0.0040124+0.004079i,0.00082419+0.0020002i,-0.00036751+0.0013768i,0.00077939+0.0013526i,0.001135+0.00064882i,0.00061086+0.00020798i,0.00022504+3.9302e-06i,0.00034473-0.00026582i,-0.00025826+4.9953e-05i
0.043399-0.010998i,0.023198-0.00146i,0.001613-0.0037044i,-0.010563-0.0076632i,-0.015693-0.0059584i,-0.013294-0.0041006i,-0.0083725-0.0050931i,-0.0062686-0.0062116i,-0.0051937-0.0044065i,-0.002683-0.001824i,0.00042387+0.00015168i,0.0030027+0.0012281i,0.0058068-0.00016734i,0.007995-0.0019082i,0.0069161-0.0010598i,0.004076+0.0011302i,0.0021009+0.0016049i,0.0015499+0.00026871i,0.0015195-0.0011532i,0.0013708-0.0014795i,0.0011937-0.0011906i,0.0011912-5.9285e-05i,0.00020506+0.00057841i
0.018841-0.04212i,0.013615-0.020332i,-0.0016294-0.0027511i,-0.012186+0.0049158i,-0.012256+0.0084536i,-0.0088186+0.0076858i,-0.0087378+0.0050549i,-0.0090628+0.0037373i,-0.0055456+0.0032314i,-0.00069009+0.0018039i,0.0026802-0.00083811i,0.0034392-0.0027576i,0.0023183-0.0051969i,0.0018834-0.0074212i,0.0026474-0.0061281i,0.0024488-0.0030317i,0.0022606-0.0015858i,0.0018544-0.0013432i,0.0010168-0.0015714i,0.0011041-0.0020451i,0.00093587-0.0015352i,0.0001234-0.001325i,-0.00036401-0.001211i
-0.024643-0.042393i,-0.0076171-0.024102i,-0.000176-0.00010004i,0.0022012+0.013096i,0.0050552+0.015806i,0.0040792+0.012575i,0.00064028+0.010701i,-0.0012266+0.010396i,-0.00040275+0.0071417i,0.0010841+0.002513i,0.0015447-0.00021573i,0.00020702-0.0021711i,-0.0030648-0.0040694i,-0.0057625-0.0052268i,-0.0041436-0.0054903i,-0.0016286-0.0036775i,-0.0011132-0.0019202i,-0.00076388-0.0015714i,-0.00049869-0.0011939i,-0.00031666-0.0010535i,-0.00050153-0.00098158i,-0.00057186+9.651e-06i,-0.00015129+0.0006786i
-0.051045-0.0023373i,-0.025661-0.0072643i,0.00022059-0.00059761i,0.014079+0.004206i,0.017576+0.0022695i,0.013422+0.00090433i,0.009071+0.003959i,0.0072101+0.0066728i,0.0055785+0.0040622i,0.0027245-0.00011074i,-0.00054978-0.002157i,-0.0032451-0.0015474i,-0.00612+0.0006783i,-0.0077892+0.0024702i,-0.0068255+0.0015223i,-0.0052309-0.00066042i,-0.0031758-0.00054861i,-0.0011768+0.00064482i,-0.00025903+0.0011654i,0.00018464+0.00035014i,-0.00039267-0.00057147i,-0.001634-0.0010021i,-0.00078584-0.00044102i
-0.033503+0.040671i,-0.02319+0.01675i,-0.0022891-0.0022578i,0.010017-0.010357i,0.011387-0.012127i,0.0093122-0.0088938i,0.0085999-0.005766i,0.0085411-0.0041431i,0.0059357-0.0032586i,0.0017292-0.0029278i,-0.0019874-0.0015786i,-0.0026896+0.00096701i,-0.001087+0.0046349i,-0.00054785+0.0076394i,-0.0013085+0.0074074i,-0.0024858+0.0052123i,-0.0025664+0.0038487i,-0.0010063+0.0020971i,-0.00029533-3.9622e-05i,-0.00053598-0.00020657i,-0.00056775+0.00044829i,-0.00043537+0.00067956i,8.6583e-05+0.00082508i
0.016617+0.054546i,0.0024789+0.031275i,-0.0017726+0.0030249i,-0.0019164-0.013472i,-0.0036534-0.018602i,-0.0030956-0.016192i,-0.00034204-0.012329i,0.00085392-0.0099302i,-0.00013522-0.0067435i,-0.0022155-0.0033605i,-0.0032011-0.00053999i,-0.0013758+0.0015178i,0.002209+0.0023326i,0.0052968+0.0033577i,0.0048878+0.0045389i,0.002538+0.0042898i,0.0014662+0.0033535i,0.0015412+0.0020967i,0.0011345+0.00054854i,-0.00017206-0.00016476i,-0.00073382+6.503e-05i,-0.00015453+0.00070296i,0.00094498+0.00069845i
0.055549+0.018971i,0.027648+0.01908i,0.00019158+0.0061513i,-0.012684-0.0045104i,-0.016373-0.0062117i,-0.014521-0.005417i,-0.0124-0.0067268i,-0.010444-0.0073012i,-0.0068676-0.0052312i,-0.0039842-0.0016594i,-0.001558+0.0017721i,0.0014207+0.0021929i,0.0039685-0.00046313i,0.0060794-0.0031627i,0.0063891-0.002222i,0.0052881+0.00010816i,0.0041508+2.7789e-05i,0.0028736-0.0010349i,0.0011866-0.00081872i,-0.00044052+0.00020954i,-0.00069681+0.00066764i,-0.00019042+0.0009782i,-0.0002931+0.00066046i
0.0523-0.036463i,0.035487-0.013579i,0.0088216+0.0037584i,-0.0074042+0.010245i,-0.011775+0.011502i,-0.011053+0.0088547i,-0.01117+0.0064184i,-0.011017+0.0051514i,-0.0069609+0.003768i,-0.0012809+0.0029805i,0.0027698+0.0017966i,0.0029016-0.00074539i,0.00026764-0.0043522i,-0.0012948-0.0074543i,0.00027927-0.0070722i,0.0020049-0.0045363i,0.0015915-0.003325i,0.000276-0.0021991i,-0.00063474-0.0008702i,-4.1645e-05-0.0005792i,0.0013685-0.00019886i,0.0013376-4.0946e-05i,0.00047583-0.00020772i
-0.0012155-0.065962i,0.0092895-0.04023i,0.010171-0.0076264i,0.0067656+0.0097611i,0.0052348+0.013346i,0.0024338+0.012014i,-0.0011673+0.011203i,-0.0021961+0.010548i,-0.00072939+0.0079402i,0.0015769+0.0042453i,0.0028305+0.00074469i,0.0007676-0.0017802i,-0.0034667-0.0022438i,-0.0067249-0.0021194i,-0.0058145-0.0024607i,-0.0029881-0.0023261i,-0.0026455-0.0017801i,-0.0027562-0.0017616i,-0.0018382-0.00024376i,-0.00098593+0.00060952i,-0.00012803-0.00038509i,0.00051718-0.00098337i,0.00044776-0.00079223i
-0.057524-0.042397i,-0.030081-0.035456i,-0.0044908-0.01551i,0.0071849-0.00041897i,0.010264+0.0049896i,0.0098662+0.0061973i,0.0094604+0.0067687i,0.008083+0.006535i,0.0054436+0.0040835i,0.0035182+0.00011033i,0.0019958-0.0024519i,-0.00035619-0.001945i,-0.0027135+0.0025443i,-0.0047011+0.0063448i,-0.0054633+0.0052609i,-0.0049983+0.0030423i,-0.0043798+0.0017182i,-0.0023025+0.0012306i,-0.00015687+0.0010134i,0.00056992+8.1977e-07i,0.0005247-0.00052504i,0.00018254-0.00047341i,-0.00029287-0.00025213i
-0.069835+0.026991i,-0.048179+0.0067406i,-0.015649-0.0049994i,0.0047669-0.0068782i,0.010507-0.0068445i,0.01048-0.0059272i,0.010034-0.0043433i,0.0086282-0.0033748i,0.0054667-0.0024246i,0.0013797-0.0023412i,-0.0021474-0.003201i,-0.003167-0.0011055i,-0.00037483+0.002808i,0.0028799+0.0060036i,0.0023824+0.0063697i,0.00033032+0.0047485i,-0.00068873+0.0039477i,-0.00055517+0.0029508i,-3.2846e-05+0.0012706i,-0.00018982-0.00025411i,-0.0010023-0.00093199i,-0.00081597-0.00029104i,-0.00030193+0.00052492i
-0.018765+0.073909i,-0.023809+0.044751i,-0.016451+0.010675i,-0.0074192-0.0063988i,-0.0027056-0.011067i,-0.00046789-0.011928i,0.00067703-0.013262i,0.0010425-0.012482i,7.6266e-05-0.0078326i,-0.0025851-0.0042561i,-0.0045329-0.0011202i,-0.0029686+0.0014504i,0.0017932+0.0015777i,0.0061288+0.00050745i,0.0065897+0.0010991i,0.0043136+0.0019591i,0.0027254+0.0014575i,0.0026581+0.00033853i,0.0019325-0.00058431i,0.00055382-0.001048i,-0.00048438-0.00050565i,-0.00041953+0.0007826i,-0.00014235+0.0010716i
0.05378+0.059463i,0.027778+0.047471i,0.003141+0.021632i,-0.0080858+0.0047686i,-0.011188-0.002007i,-0.010275-0.0055608i,-0.0094514-0.0076305i,-0.008181-0.0069306i,-0.0059056-0.0046373i,-0.0045973-0.0014899i,-0.003289+0.0021822i,-0.00051095+0.0026676i,0.0013552-0.0013629i,0.0022179-0.0055081i,0.0027379-0.0055172i,0.0031226-0.0033068i,0.003121-0.0018616i,0.0016487-0.00083602i,0.00014624-0.00014661i,-0.00041385-0.00049957i,-0.00084143+2.1211e-05i,-0.0011092+0.00070662i,-9.3446e-05+0.00045642i
0.08282-0.011595i,0.057903+0.003759i,0.024187+0.010709i,0.0040955+0.0086387i,-0.0040472+0.0058488i,-0.0087014+0.0034936i,-0.011087+0.0025259i,-0.0096342+0.0029968i,-0.0064293+0.0036467i,-0.0028358+0.0039166i,0.00079471+0.0034736i,0.001972+0.0017056i,-0.00035662-0.00084334i,-0.0035285-0.0031137i,-0.0035752-0.0042166i,-0.0011621-0.0040028i,0.00013504-0.003349i,-0.00016213-0.0018342i,-0.00064169+0.00012998i,-0.0012667+0.001694i,-0.0010303+0.0026282i,-0.00014889+0.0023084i,0.00060491+0.00056194i
0.040111-0.076532i,0.03855-0.049096i,0.023839-0.016026i,0.010469-0.0013037i,0.0039215+0.00174i,-0.00089356+0.0048978i,-0.0032255+0.0079836i,-0.0019018+0.0083784i,0.00038498+0.0066159i,0.0025174+0.0043829i,0.0035663+0.00099435i,0.002264-0.00065651i,-0.0012675+0.0013138i,-0.0047542+0.0025576i,-0.0053208+0.001703i,-0.0035763-0.0004139i,-0.0020014-0.0015916i,-0.0004683-0.0005558i,0.00064889+0.00014911i,0.0010456+6.6787e-06i,0.0010012+0.00015106i,0.0010803+0.00063955i,0.0011066+0.00063414i
-0.04125-0.080404i,-0.018858-0.063023i,0.0014907-0.031428i,0.005788-0.011146i,0.0038239-0.0029249i,0.0041482+0.0029649i,0.0044921+0.0052667i,0.0048635+0.0039728i,0.005503+0.0019419i,0.0048356-0.0014863i,0.0032081-0.0033238i,0.0015748-0.002084i,0.00051038+0.0020863i,0.00029169+0.0055219i,-0.00028738+0.0054725i,-0.0015167+0.003428i,-0.0020061+0.0020649i,-0.00052074+0.00098321i,0.0008934-0.00064665i,0.0013848-0.0012548i,0.0016863-0.00099694i,0.0012541-0.0010339i,-0.00040677-0.00064433i
-0.09249-0.010383i,-0.065648-0.019163i,-0.029237-0.018266i,-0.0099835-0.010305i,-0.002459-0.0036437i,0.0033113-0.00046812i,0.0063376-0.00060346i,0.0067685-0.0021755i,0.0051716-0.0035046i,0.0013937-0.0047589i,-0.0019082-0.0047211i,-0.0028663-0.0027273i,0.0002165-0.00052979i,0.004211+0.0018007i,0.0042392+0.0025283i,0.0016507+0.0017844i,0.00036204+0.00090287i,0.00016182+0.00050839i,-0.00021039-0.00029357i,-5.2626e-05-0.0010943i,6.8932e-05-0.0011621i,-0.00025179-0.0014941i,-0.00017935-0.00081371i
-0.063087+0.070644i,-0.054832+0.045424i,-0.033693+0.015623i,-0.016089+0.0041255i,-0.0057099+0.0022389i,0.0010929-0.0010941i,0.0017485-0.0046859i,-0.00063407-0.0062706i,-0.0021275-0.0061397i,-0.003298-0.0042644i,-0.004467-0.0015966i,-0.0033366-0.00023913i,0.00044761-0.0014476i,0.0032557-0.0036728i,0.0039634-0.0042086i,0.0026543-0.0017845i,0.00093531-0.00011143i,0.00059108-0.00051888i,-0.0001235-0.00052945i,-0.0012713+0.00017104i,-0.0013855-0.00011284i,-0.0012047-0.00033421i,-0.0010716+0.00068489i
0.02817+0.091932i,0.011901+0.070726i,-0.0034404+0.0368i,-0.004913+0.016273i,-0.00064061+0.0057855i,-0.00047325-0.0018779i,-0.0031031-0.0042342i,-0.0040996-0.0024764i,-0.0040083-0.00042491i,-0.0039062+0.0013523i,-0.0034025+0.0030086i,-0.0024853+0.0022205i,-0.0022801-0.0012232i,-0.0027824-0.0040776i,-0.002467-0.0040434i,-0.00054617-0.0015268i,0.00067094+6.8697e-05i,-0.00019869-0.00017921i,-0.00080951+5.1342e-05i,-0.0010013+0.00057039i,-0.0011432+0.0005666i,-0.0011872+0.0011074i,-0.00096508+0.0010424i
0.094096+0.027573i,0.06809+0.031051i,0.029877+0.025469i,0.01095+0.013306i,0.0054493+0.0031032i,-0.0009598-0.0020633i,-0.004921-0.0012861i,-0.0036735+0.0022164i,-0.0022492+0.0037447i,-0.0014938+0.0043417i,0.0007837+0.0050407i,0.0011538+0.0035409i,-0.0018455+0.0012713i,-0.0053409+0.00021312i,-0.0059975+0.00043511i,-0.0029711+0.00057662i,-0.00012004-0.00043027i,0.0001654-0.0002457i,-0.00037266+0.0011983i,-4.7825e-05+0.0017139i,0.0006224+0.0015693i,0.00080005+0.001362i,0.00098839+0.0013438i
0.079751-0.062145i,0.067597-0.041459i,0.042894-0.0135i,0.023459-0.0050148i,0.01039-0.0073754i,0.0008362-0.0050807i,-0.0019746-0.00010984i,0.00081972+0.0026279i,0.0031272+0.0031446i,0.0044252+0.0021044i,0.0048629+0.00063999i,0.0025593-0.0003168i,-0.00073085+0.0011558i,-0.0020402+0.0042494i,-0.0017906+0.0050739i,-0.0011453+0.0028489i,8.876e-05+0.001151i,0.00088188+0.00067909i,0.001202-0.00037277i,0.0018544-7.0862e-05i,0.0018312+0.00086153i,0.0016745+0.00096993i,0.0010532+0.00078488i
-0.009414-0.10172i,1.6519e-05-0.080123i,0.010035-0.041976i,0.0085633-0.020489i,0.00047314-0.011536i,-0.00249-0.0031277i,0.00072185+0.00017914i,0.0036789-0.0012695i,0.0045757-0.0013129i,0.0043736-0.0017645i,0.0035893-0.0036139i,0.0022028-0.0035688i,0.0023859-0.00048239i,0.003666+0.0033023i,0.0030642+0.0035063i,0.0014357+0.0012586i,0.00054745+0.0006675i,0.00013038+0.00059145i,0.0004229-0.00050938i,0.00025894-0.00093907i,0.00031632-0.0011492i,0.0013433-0.002148i,0.0017021-0.0030298i
-0.091194-0.049695i,-0.067494-0.045648i,-0.030123-0.032339i,-0.012682-0.018443i,-0.0096626-0.0077016i,-0.0049914-0.00059738i,0.0005836-0.00067945i,0.0013935-0.0040153i,0.00090364-0.0053554i,0.00040432-0.0053641i,-0.0022775-0.0048668i,-0.0030283-0.0035954i,0.00077603-0.002315i,0.0051765-0.002013i,0.0054421-0.0025892i,0.0023346-0.0022531i,0.00060894-0.0014674i,0.00045512-0.0011337i,0.00058417-0.0014368i,0.00081703-0.0023668i,0.00021772-0.0027895i,-0.00071432-0.0023177i,-0.00084172-0.0017698i
-0.09205+0.050946i,-0.076601+0.033627i,-0.043937+0.0082555i,-0.020663+0.0019671i,-0.0092834+0.0055936i,-0.0023687+0.0038417i,-0.0024232-0.00055064i,-0.0049954-0.0024617i,-0.0048188-0.0025067i,-0.0048708-0.0029773i,-0.005282-0.002519i,-0.0035132-0.0014579i,-0.001312-0.0033278i,3.0568e-05-0.0062047i,-0.00030996-0.0058472i,-0.00096696-0.0031049i,-0.00064627-0.0012323i,-0.0003597-0.00036589i,-0.00082803-0.00058764i,-0.0012649-0.00080591i,-0.0012585-0.00076072i,-0.0015621-0.0012007i,-0.0018431-0.0011521i
-0.0065493+0.10557i,-0.010969+0.084121i,-0.01609+0.043162i,-0.010052+0.018561i,-0.00032153+0.010011i,0.0025235+0.0036821i,-0.001082+0.0017362i,-0.0038654+0.0039103i,-0.0040576+0.0045129i,-0.0046316+0.0039233i,-0.0047094+0.0039574i,-0.0041947+0.0026708i,-0.0046344-0.00038699i,-0.0054616-0.0019949i,-0.0054372-0.0015655i,-0.0036726-0.00066326i,-0.0015264-0.00032048i,-0.0002056-0.00054797i,-0.00010974+0.0001274i,-0.00098598+0.00074217i,-0.001324+0.00052204i,-0.0015848+0.00060159i,-0.0020597+0.0014246i
0.08354+0.060942i,0.065653+0.054388i,0.027151+0.037549i,0.0085882+0.019983i,0.0094886+0.007548i,0.0079428+0.0014774i,0.0027539+0.0029611i,0.00097787+0.0061209i,0.0009009+0.0059376i,0.0011309+0.0052543i,0.0024387+0.0053264i,0.0023455+0.0048271i,-0.0010161+0.0042232i,-0.0042244+0.003762i,-0.003832+0.0042538i,-0.0023202+0.0039933i,-0.0015715+0.0026236i,-0.0013259+0.0020806i,-0.00070633+0.0014297i,-6.0994e-05+0.0011058i,0.00018847+0.001106i,0.00029459+0.0014605i,0.00052784+0.0018654i
0.1005-0.040242i,0.083647-0.030519i,0.047022-0.0067829i,0.02088+0.001598i,0.0093512-0.0043736i,0.0030008-0.0065768i,0.0024999-0.0025549i,0.0054362-5.0273e-05i,0.006185+0.00064965i,0.0053311+0.0019279i,0.0049005+0.0019687i,0.0043515+0.0012896i,0.0032779+0.0028978i,0.0017759+0.0055976i,0.0011077+0.0055492i,0.0019332+0.0033583i,0.002234+0.0015393i,0.00071137+0.00044898i,0.00046185+0.00069742i,0.0012843+0.00083674i,0.0012162+0.00079128i,0.0012396+0.0016853i,0.00096495+0.0015907i
0.022628-0.1042i,0.020784-0.086988i,0.021252-0.043751i,0.014553-0.017127i,0.0019884-0.011638i,-0.0033919-0.0080781i,2.7705e-05-0.0051775i,0.0030552-0.005484i,0.0032393-0.0049498i,0.0039375-0.0041551i,0.004308-0.0047363i,0.0032925-0.004805i,0.0036811-0.002621i,0.0056013-0.00031416i,0.0058099+0.00020836i,0.0040169-0.00014224i,0.0020485+0.00056426i,0.00057777+0.0011855i,0.00056758+0.00057298i,0.00080586+4.0339e-05i,0.0011686-0.00054118i,0.0015652-0.0014953i,0.0014969-0.0014096i
-0.077864-0.078415i,-0.067255-0.067932i,-0.030031-0.043596i,-0.0083152-0.02094i,-0.0086826-0.0066864i,-0.0080745-0.0011011i,-0.004907-0.002345i,-0.004894-0.0048483i,-0.0039443-0.0051082i,-0.0032569-0.0059357i,-0.0033324-0.0061346i,-0.0028196-0.0047319i,-0.00065544-0.0048567i,0.002233-0.005885i,0.0022303-0.0051606i,0.0011231-0.002736i,0.00093738-0.0010748i,0.0011718-0.00095034i,0.0013709-0.00066953i,0.0011372-0.00063504i,0.00038682-0.0015394i,-0.00010266-0.0019466i,0.00013843-0.0013315i
-0.10275+0.026855i,-0.08825+0.023041i,-0.048276+0.003296i,-0.019494-0.0056219i,-0.0087104+0.00051031i,-0.0041003+0.0049823i,-0.0038254+0.0034144i,-0.0052801+0.001834i,-0.0048985+0.00028922i,-0.0051297-0.0013991i,-0.006721-0.0018182i,-0.0067082-0.0019537i,-0.0055881-0.003618i,-0.0053521-0.0060822i,-0.0049615-0.0059275i,-0.0028806-0.003148i,-0.00024821-0.00088367i,0.00097804-0.00039923i,0.00088946-0.00061561i,-0.0004318-0.00081461i,-0.0014567-0.001366i,-0.0010111-0.0017793i,-0.00077307-0.0010723i
-0.032854+0.10235i,-0.027869+0.089432i,-0.023021+0.046577i,-0.014988+0.016922i,-0.0027326+0.0092589i,0.0032408+0.0068115i,0.0011681+0.0053041i,-0.0016806+0.0062704i,-0.0029478+0.0065777i,-0.0036136+0.0058199i,-0.0039137+0.0044607i,-0.0043346+0.0032977i,-0.0060227+0.0022073i,-0.0073348+0.0013521i,-0.0068034+0.0012669i,-0.0048974+0.00098804i,-0.0018647+0.00032587i,0.00066117-0.00026461i,0.00068281-0.0006312i,-0.00014682-0.00042442i,-0.0010519+0.00051507i,-0.0026165+0.00087386i,-0.0030146+0.00044789i
0.070913+0.080194i,0.066861+0.069062i,0.03233+0.04403i,0.0082162+0.023582i,0.0069445+0.0091974i,0.0085204+0.0014219i,0.005542+0.0017803i,0.0050628+0.0039642i,0.0049353+0.003562i,0.0031117+0.0041609i,0.0014185+0.0055842i,0.00087062+0.006254i,-0.00022043+0.0070267i,-0.0017589+0.0070727i,-0.0016852+0.0062519i,-0.00073729+0.0038142i,-0.0008417+0.0011545i,-0.0011678+0.0001914i,-0.00090004-0.00013709i,0.00018046+0.00020663i,0.00062168+0.00063667i,0.00030895+0.001002i,-0.00038276+0.0011403i
0.10909-0.018832i,0.097206-0.021422i,0.056746-0.0069194i,0.025101+0.0028467i,0.010397-0.0029076i,0.0047562-0.0090026i,0.0037573-0.0070424i,0.0047105-0.0045032i,0.0047639-0.0036146i,0.0046113-0.00093549i,0.0055275+0.0011471i,0.005835+0.0015521i,0.0051613+0.0036313i,0.0043838+0.005456i,0.0037433+0.004588i,0.0023363+0.00247i,0.00065494+0.00032044i,0.00022839-7.5316e-05i,0.00019423+6.7908e-06i,0.00025977-0.0002498i,0.0011466+0.00026404i,0.0026646+0.0014265i,0.0025287+0.0019536i
0.041242-0.1007i,0.032283-0.095541i,0.022998-0.055273i,0.015176-0.021866i,0.0038848-0.011963i,-0.0031995-0.010079i,-0.0033012-0.0078227i,-0.0020157-0.0070396i,-0.0012585-0.0060204i,0.0011321-0.0050553i,0.0040217-0.0051936i,0.0057714-0.0048307i,0.0072596-0.0031834i,0.0075806-0.0028026i,0.0065449-0.00347i,0.0038441-0.0024648i,0.0017721-0.00077756i,0.0007376-0.00018767i,0.00051218+0.00064584i,0.0011347+0.00081101i,0.0013291+0.00058574i,0.0016925-9.264e-05i,0.0019747-0.00029711i
-0.065079-0.088495i,-0.068581-0.080485i,-0.038773-0.050333i,-0.011063-0.025708i,-0.0064905-0.011405i,-0.010427-0.0034047i,-0.0096162-0.0011117i,-0.0076984-0.0013183i,-0.0059324-0.0011803i,-0.0039133-0.0023277i,-0.0025592-0.0051697i,-0.0016359-0.0072032i,-0.00093864-0.0080617i,-4.7505e-05-0.0082752i,-0.00022584-0.0069834i,-0.00091159-0.0044261i,-0.00038746-0.0020958i,0.00046119-0.00059821i,0.00028391-0.00031349i,0.0001032-0.00071773i,0.00025839-0.0014026i,-4.9808e-05-0.0027258i,-0.00016988-0.0027992i
-0.11001+0.010496i,-0.10406+0.01934i,-0.063682+0.011026i,-0.02997-0.0014421i,-0.014445-0.00036612i,-0.008708+0.005724i,-0.0057661+0.0064851i,-0.0054577+0.0063948i,-0.0050843+0.0054917i,-0.0044119+0.001974i,-0.0054584-0.00050682i,-0.0072454-0.001564i,-0.0081084-0.0031385i,-0.0075364-0.0045694i,-0.0056099-0.0035646i,-0.0030877-0.0015676i,-0.0010952-0.00044135i,0.00062419+1.8644e-05i,0.00086513+0.00055045i,-0.00067061+0.00057031i,-0.0018654-0.00089221i,-0.0017705-0.002598i,-0.001357-0.0027781i
-0.044361+0.10291i,-0.033799+0.10333i,-0.020402+0.064164i,-0.0149+0.025611i,-0.0070423+0.011696i,0.00041138+0.010845i,0.0027394+0.0087934i,0.0036456+0.0077136i,0.0039607+0.0064536i,0.0015277+0.0039365i,-0.0023889+0.0029121i,-0.0045974+0.0040707i,-0.0060398+0.0043715i,-0.0063784+0.0043817i,-0.0058652+0.0042036i,-0.0040787+0.0025791i,-0.00086261+0.00061775i,0.00070813-0.00050573i,0.00058324-0.0011782i,-0.00018943-0.00040444i,-0.0010378+0.00051524i,-0.0025121+0.00037142i,-0.0030847-7.7506e-05i
