0.00083291-8.3223e-05i,0.00078356-0.00022918i,-0.00014868-0.00014458i,-0.0011921-0.00019439i,-0.0022122-7.4346e-05i,-0.0024305+0.00031999i,-0.0012835+0.001206i,0.00015933+0.0014454i,0.0010142+0.00041606i,0.0013206-2.3842e-05i,0.00087496+0.00036045i,0.000614+0.00057489i,0.00031608+0.00040555i,-0.0003798-5.678e-05i,-0.0010821-0.00019494i,-0.00068314+0.00026452i,0.00020675+0.00026748i,0.00054974-0.00021794i,0.00048557-0.00021717i,-0.00029837+5.537e-05i,6.1833e-05-5.7113e-05i,0.00091883-7.9319e-05i,0.00061684+0.00034091i
-0.0024132+0.0011161i,-0.0020497+0.0017097i,-0.0020488+0.0029647i,-0.00056578+0.00309i,0.00087217+0.0018959i,0.00063319+0.0011254i,-9.156e-05+0.0012027i,-0.00045605+0.00098377i,-0.00060222+0.00092933i,0.00021614+0.0012411i,0.0007534+0.00076805i,0.00080605+6.5942e-05i,0.00085771+0.00068546i,0.0011333+0.00041524i,0.00063624-0.0002583i,-0.00050645+0.00012611i,-0.00016671+0.00058163i,0.00018515+0.00092882i,1.2649e-05+0.00030024i,-0.00011986+2.7402e-05i,-0.00034027+0.00047302i,0.00031642+0.0011524i,0.00049581+0.0013247i
0.000716+0.00022903i,0.0016802+0.00081008i,0.0012428+0.00026847i,0.0008723-1.0549e-05i,0.00081991+1.3338e-05i,0.00016118-0.00059857i,-0.00012912-0.0001881i,-0.00028732+0.0015099i,-0.00031909+0.0017971i,5.1745e-05+0.0013058i,0.00021279+0.00079236i,-0.00039535+0.00074991i,-0.00034524+0.00087605i,0.00027478+0.0012889i,0.0002184+0.00097051i,-0.00010038-5.0726e-05i,-0.00054-0.00050139i,-0.00050652-0.00049293i,-0.00023494+0.00011338i,-0.00039682+0.00031454i,-0.00057513+0.0003038i,-0.00039015+0.00044382i,0.00011627+0.00055303i
-0.00018887+0.0016745i,-0.00031783+0.0014338i,5.2475e-05+0.0016932i,0.0010488-0.00014718i,0.0018979-0.0012423i,0.0014503-0.0019593i,0.00082095-0.0023609i,-2.6934e-05-0.0012524i,0.00017571+4.2428e-05i,0.00064936+9.8334e-05i,0.00059343-0.00058127i,0.00043936-0.0012794i,5.6337e-05-0.0014682i,-0.00048339-0.00072686i,-0.00047563-0.00014129i,-7.7535e-05-0.00017646i,2.6377e-05+5.5743e-05i,-0.00025479-0.00015298i,-0.00024159-0.00060833i,-0.00031841-0.00045591i,-0.00028424+0.00012897i,0.00038536+0.00050412i,0.00060115+0.00018187i
0.00081566+0.0017607i,-0.00021437+0.0027538i,0.00060526+0.0027819i,0.0013089+0.0015658i,0.00092783+0.00050617i,-0.0002928-0.00047668i,-0.00085739-0.00072485i,-0.00039542-3.7769e-05i,0.00012067+0.0001764i,0.00017892-7.1879e-05i,-3.9567e-06-0.00034248i,-0.00013488-0.00076218i,-0.0006195-0.00060784i,-0.00080084-0.00096506i,-0.00018883-0.0017608i,0.0006892-0.001239i,0.00061213-0.00012592i,-0.00029473+0.00038145i,-0.00010622+0.0011047i,-4.4775e-05+0.0014298i,-0.00059753+0.00040587i,0.00011632+0.00036117i,0.00094022+0.0010426i
-0.00055318-7.2354e-05i,-0.00078178-0.00024308i,-0.00068887-0.0010084i,-0.00041476-0.0013032i,-0.00027711-0.00074292i,-0.00017803-0.00085113i,0.00021883-0.0006712i,-0.00018626-0.00054253i,-0.00056502-0.00060556i,-0.00096233-0.00048481i,-0.00070846-3.143e-05i,-0.00030821+0.0011169i,-0.00088169+0.0013001i,-0.0010025+0.00058172i,-0.00040963+0.00020686i,-0.0007901-2.8601e-05i,-0.0011736+4.9667e-05i,-0.00054262+0.0004925i,-0.00013857-4.6502e-05i,-0.00062184-0.00095969i,1.8918e-05-0.00096934i,0.00068882-0.00028203i,0.00014527-0.00032487i
0.00037193+0.0010496i,-0.00076213+9.3712e-05i,-0.00085136-0.0024161i,0.00073209-0.0030899i,0.0016662-0.0021413i,9.4541e-05-0.0015472i,-0.0012122-0.0010582i,-0.0014382-0.00030972i,-0.0013443+0.00012818i,-0.00078138+0.0002372i,-0.00033623+0.00072437i,-0.00057633+0.00073237i,-0.00048253+0.00084217i,-0.0008251+0.0016918i,-0.0011898+0.0014731i,-0.0013565+0.0011045i,-0.00056779+0.00091243i,0.0002656+0.00069689i,-0.00010486+0.00052181i,-0.00048236+0.00010051i,-0.00043081-3.5611e-05i,0.00018961-0.00022702i,0.00048435+2.4665e-05i
-0.001358-0.0011172i,-0.0021675+0.00052433i,-0.0026888+0.0013038i,-0.0019872+0.00089008i,0.00024637+0.0007743i,0.00094986+5.7933e-05i,0.00028102-0.00078755i,-0.00032728-0.00037488i,-0.0012896+0.00037571i,-0.0013975+0.001204i,-0.00051887+0.0017373i,0.00015129+0.0018378i,-0.00033597+0.0017474i,-0.00028881+0.0015297i,6.1305e-05+0.0015639i,0.00045359+0.00073759i,0.00075983+0.00010379i,0.00011223+0.00054684i,-0.00054648+0.00045231i,-0.00054305+0.00026553i,3.6217e-05+0.00030933i,0.00018211+0.00071583i,-0.00019843+0.00040299i
0.0013043-0.00087894i,0.00089943-0.00043444i,0.00056819+0.0012416i,0.00021662+0.0014799i,0.00064495-0.0001073i,0.0014372-0.00093838i,0.00045942-0.0003399i,-0.00037338+0.00019225i,-0.00045532-0.00013889i,-0.00065118-5.5187e-05i,0.00027392+0.00035352i,0.001119+0.00032075i,0.0010336+0.0003002i,0.0015894+0.0011482i,0.001732+0.0010382i,0.0012117-0.00031516i,0.0011944-0.0006599i,0.0010118-0.00015943i,0.0010991-4.5022e-05i,0.00087782+5.5179e-05i,9.0167e-05+0.0005467i,-0.0003599+0.00066289i,0.00046935+0.0006079i
0.00085472-0.0010462i,-0.00020568-0.00040062i,-0.00016843+0.00039954i,0.0012439+0.00041215i,0.00076939+0.0001226i,-0.00023258-0.00041055i,0.00038533-0.0002534i,0.00050342+0.00070935i,0.00044516+0.00083995i,0.0010109+0.00013198i,0.00080677-0.00062836i,0.00014881-0.00064531i,0.00040587+0.00030226i,0.0012405+0.00023334i,0.0011164-0.00045267i,0.00053222-0.00028735i,0.00044108-2.1784e-05i,0.00060319+5.0754e-05i,0.00053148+0.00013678i,0.00041777-3.1454e-06i,0.00018218-4.0213e-05i,-0.00023091-0.00015216i,-0.0005383-0.00033908i
-0.00066754-6.7496e-05i,-0.0013544-0.0013789i,-0.001375-0.0013616i,0.00030417-0.0012912i,0.0014476-0.0019348i,0.00088839-0.0021787i,-0.00021673-0.0015884i,-0.00038118-0.00043588i,0.00037339-9.4267e-05i,0.00055645-0.00022141i,6.8096e-05-0.00023842i,-0.00044837-0.00025659i,-0.00088102-0.00060477i,-0.00070525-0.0013438i,-3.142e-05-0.0021208i,0.00060761-0.0021316i,0.00048336-0.00099149i,0.00020117-0.0006074i,0.00033914-0.00075781i,0.00062562-0.00043167i,0.00059408-0.00047347i,0.00041968-0.0012101i,6.0638e-05-0.0012432i
0.00072541-0.0010763i,-0.00070042-0.00026853i,-0.0023009+0.00052647i,-0.0012473+0.00092993i,0.00023978+0.0006738i,8.1336e-05+0.00035861i,0.00022912+0.0002408i,-0.00027517+0.00027587i,-0.00064558+0.00066356i,-0.00049306+0.00057004i,-0.0004655+0.0004355i,-0.00046093+0.00025154i,-0.0010247-0.00016528i,-0.0017048-0.00099953i,-0.0018108-0.0010421i,-0.0016289-0.00019274i,-0.0010238-0.00030261i,0.00024223-5.804e-05i,0.00081274+0.00031052i,0.00038784+0.00076586i,-3.1349e-05+0.0006875i,2.8183e-05-0.00031172i,-0.000241-0.00069977i
-0.0012192-8.2837e-08i,-0.0025178-0.00036837i,-0.0018736+0.00014759i,-0.00024827+0.00035063i,0.00068739-0.00024325i,4.2388e-05-0.000107i,-0.0010947+0.00052441i,-0.0014873+0.00071344i,-0.00055865+0.00053804i,-8.7648e-05+0.00029717i,-0.00060564+0.00040064i,-0.001226+0.00089655i,-0.0014567+0.00055039i,-0.00094753+0.00015408i,-0.00065977+0.00084335i,-0.00062182+0.0012439i,-0.00057452+0.00047737i,-0.00020779+0.00019569i,-0.0001399+7.1677e-05i,-0.00077108+0.00037368i,-0.00040201+0.00081478i,0.0006033+0.00028588i,0.00035181-1.2728e-05i
-0.00040902+0.00066724i,-0.00061267+0.00062559i,-0.00044705+0.0022939i,0.00027775+0.0023213i,0.00059529+0.00076944i,0.00017029+0.00047891i,-0.00030424+0.0011679i,-0.00051269+0.001035i,-0.00036454+0.00079459i,-0.00036897+0.00062852i,-0.00041669+0.00054833i,5.4049e-05+0.00076772i,9.4508e-05+0.0007242i,1.2547e-05+0.00032132i,0.00057106+3.0598e-06i,0.00061757+0.0010023i,-2.8211e-05+0.0014246i,-0.00011889+0.00022813i,0.00051965-0.00040812i,0.0008401-0.00080125i,0.00086693-0.00052652i,0.00058572+0.0010122i,0.00015288+0.002082i
0.00098587+0.00056227i,0.0013574+0.00019039i,0.002216-0.00082425i,0.0022392-0.00097679i,0.0011278-0.00072992i,0.00061734-0.0014564i,0.00047446-0.00047475i,-2.5431e-05+0.0013486i,-0.00019731+0.00093341i,-0.00023586-0.00020203i,-0.00011865-0.00075686i,0.00029382-0.0003155i,0.00055509+0.00056414i,0.00076054+0.0011406i,0.00051149+0.0011155i,0.00049228+0.00035806i,0.00085036-0.00025327i,0.0010027-0.00015622i,0.0010354+0.00058176i,0.0012741+0.00057839i,0.0013037+0.00038321i,0.00087602+9.3074e-05i,0.00016502+0.00040214i
0.0009068+0.00099164i,0.0020771+0.0013092i,0.0020149+0.00017282i,0.0016585-0.0011864i,0.0017115-0.0015386i,0.0010107-0.0013875i,-7.7456e-05-0.00019518i,0.00034278+0.00086803i,0.0013372+0.00049713i,0.0010666+9.3623e-05i,0.00033117-9.6542e-05i,0.00028114-0.0004087i,0.00074355-0.0006411i,0.0010949-0.0006208i,0.0012547-0.00048262i,0.00076021-0.00020666i,-0.00018369+7.0524e-05i,5.054e-05+0.00021832i,0.00065265+0.00010557i,0.00079917-0.001081i,0.00043641-0.0013334i,1.9111e-05-0.0004727i,4.0692e-07+0.00027044i
0.001911-0.00030083i,0.00073505-0.00019382i,-0.00018562+3.9793e-05i,-0.0010567-0.00012671i,-0.00055242-0.0007656i,0.0002051-0.0008848i,0.00023835-0.0010414i,-3.0045e-05-0.00063263i,0.0003175+1.5614e-06i,0.00020731+0.00024155i,6.7628e-05+0.00041768i,0.00019433+1.4516e-05i,-0.0005418-0.00085376i,-0.0011403-0.0012404i,-0.00073245-0.0010704i,-0.0012983-0.00081421i,-0.0014912-0.00018417i,-0.00093411-1.0653e-05i,-0.00036672-0.00040439i,0.00049194-0.00032302i,0.00043028-0.00019015i,-0.00014108-0.00051689i,0.00045853-0.00032934i
0.0018002-0.00015391i,0.00014709-0.00091444i,-0.00026719-0.0022924i,0.0010024-0.0031543i,0.00080443-0.0033072i,-0.00054492-0.002632i,-0.00091344-0.0017604i,-0.0014705-0.00074346i,-0.0016437+1.9171e-05i,-0.00087097+0.00052544i,-0.00058529+0.00042334i,-0.00066685-0.00024156i,-0.00078114-0.0002544i,-0.00080032-0.00020863i,-0.0001833-0.00034343i,-9.5157e-05-0.00015966i,-0.00076359-0.00033447i,-0.00072787-0.00017232i,-0.0011661+0.0009038i,-0.0011159+0.0006307i,-0.00037591-0.00072997i,0.00010836-0.00098653i,-8.8988e-06-0.00035933i
0.00045366-0.0014919i,-0.0013941-0.0004541i,-0.0028368-0.00057214i,-0.0026032-0.00091224i,-0.0021793-0.00022878i,-0.0020016+0.00074111i,-0.0014241+0.00031446i,-0.0011925-9.6588e-05i,-0.00074695+0.00019565i,-0.00044526+0.00042946i,-0.00025393+7.1829e-07i,0.00026932-0.00054274i,-0.00011766+0.00017844i,-0.00069979+0.00074573i,-0.00027582+0.00066725i,0.00010395+0.00019374i,0.00012619+9.6834e-05i,0.00026237+0.00061545i,0.00042943+0.00090256i,0.00031342+0.00075039i,-2.0458e-05+0.00066514i,-0.00018705-0.00021174i,0.00013966-0.00098561i
-0.0011638+0.00088006i,-0.0015642+0.0015117i,-0.001368+0.0020417i,0.00067469+0.0020929i,0.00211+0.0019377i,0.0012286+0.00079737i,-4.7704e-06-0.00012815i,-0.00099402+0.00027439i,-0.0013421+0.00034009i,-0.00086608+0.00074182i,-0.00023649+0.00069974i,0.00027452+1.1358e-05i,0.00025463-0.00017217i,2.1709e-05+0.00030098i,4.1525e-05+0.00035775i,0.00085756+0.00036142i,0.0011147+0.00060926i,0.0011356-0.00021421i,0.00098486-0.00093722i,0.00060426-0.00062625i,0.00034753+0.0002917i,0.00016008+0.00047669i,0.00042372+0.00037294i
-0.00025302-0.00060943i,-0.00095672-0.00063271i,-0.00088537+2.5633e-05i,-0.00022726+0.00026063i,0.00064684-0.00034043i,0.0010492-0.00047345i,0.00054654-0.00017389i,2.5119e-05+0.00017149i,0.00012723+0.0009494i,-0.00037721+0.0011772i,-0.00081984+0.00084092i,7.0423e-05+0.00038479i,0.0010373+8.5842e-05i,0.0013384+0.00055195i,0.00053383+0.0011999i,0.00032473+0.00079546i,0.0007604-0.00026762i,0.00062545-0.0015025i,0.00052768-0.0017166i,0.00094925-0.00095928i,0.00059442-0.0006905i,5.9388e-05+0.00034637i,-0.00054236+0.0011912i
-2.026e-07-0.0021995i,0.00016177-0.0020239i,-0.00028734-0.00059621i,-0.00037935-0.00029356i,0.00075509+0.00026367i,0.00065083+0.0007919i,0.00026896+0.00082358i,0.0007816+0.0011242i,0.00043437+0.00056494i,-2.9486e-05+3.8978e-05i,-0.00036381+0.00052085i,-0.00074019+0.00037471i,1.1283e-05-0.00018533i,0.00094827-0.00050069i,0.0011007-0.0011263i,0.00038192-0.0004729i,-0.00064913-6.4686e-05i,-0.00065322-0.00067491i,8.7148e-05-0.00022268i,0.00013648+0.0002943i,0.00058726+0.00027232i,0.0013273+0.00067512i,0.00041722+0.00078697i
-0.0023661+0.0003253i,-0.0028208-0.00028986i,-0.0021284+0.00032686i,-0.00015131+0.00044527i,0.0013519-0.00025187i,0.0013588-0.0014313i,0.00064448-0.0023063i,-7.6724e-05-0.0021615i,1.9277e-05-0.00081435i,4.2479e-05+8.1211e-05i,-6.5885e-05-0.00051238i,0.00043229-0.00096036i,0.00018162-0.00063835i,-0.00013476-0.00021054i,0.00011784-0.00049221i,-5.5436e-05-0.00044623i,-0.00058248+0.00038266i,-0.00050935+0.00040308i,-0.00037672+0.00012968i,-0.00046376-0.00013094i,3.5541e-05+3.3189e-05i,0.00039783+0.00023427i,0.00013181-3.136e-05i
-0.0017834+0.0017012i,-0.0025781+0.0022888i,-0.00161+0.0035589i,0.00019612+0.0037661i,0.0015051+0.0019492i,0.0012211+7.7895e-05i,-0.00022289-0.0011563i,-0.0013336-0.0016168i,-0.0013064-0.00038862i,-4.9511e-05+0.00082486i,0.00078016+0.00093878i,0.00026859+0.00061521i,-0.00040749+0.00016052i,-0.0014792-0.00042642i,-0.0016259-0.00089758i,-0.00071244-5.452e-05i,-0.00023809+0.001059i,0.00061827+0.00095719i,0.00099364-0.00013811i,0.00075801-0.00042482i,0.00045083-3.8412e-05i,0.00056315+0.00030585i,0.0012575+0.00090814i
0.0013758+0.00049133i,0.0014854-0.0014862i,0.00077874-0.0020764i,0.00059268-0.0023436i,0.00078809-0.0027526i,2.9646e-06-0.0025895i,-0.0011892-0.0017195i,-0.0015018-0.0012508i,-0.001015-0.0010172i,-0.00026034-0.00058771i,0.00042715-0.00028401i,0.00026408+3.9e-05i,-0.00088474+0.00077705i,-0.0014674+0.001127i,-0.00057992+0.0004199i,0.0006108+0.00019594i,0.00076717+0.00062802i,0.00066471+0.00086149i,0.00051632+0.00075399i,0.00062917-1.4727e-05i,0.00052864-0.00027946i,0.00014628+4.726e-05i,-6.5389e-05-0.00032428i
0.00016349+0.0019983i,-0.00049645+0.0020505i,-0.00028626+0.0025478i,0.00049669+0.0030233i,0.0014823+0.0014191i,0.0010976-0.00049929i,-0.00013522-5.0957e-05i,-0.00066826+0.00055346i,-0.0001798+0.00024003i,4.3468e-05+0.00027101i,-4.0854e-05+0.0006144i,0.00016253+0.00022812i,0.00040297+0.00056113i,0.00083303+0.0011363i,-0.00024853+0.00053979i,-0.00076015+2.8116e-05i,2.6333e-05+2.0844e-05i,0.00041051+0.00010266i,0.0002741+0.00025384i,3.2073e-05-0.00012262i,-6.777e-05-0.00051436i,-0.0003585-0.001173i,-0.00032429-0.00094219i
-0.00067295+0.0003733i,-0.00039524+0.00087068i,0.0012158+0.0010739i,0.0017027+0.0002775i,0.00099785-0.0011457i,0.00036547-0.00097854i,-0.00017132+0.00037517i,-0.00067454+0.00097861i,-0.0011856+0.0010558i,-0.00063842+0.00072536i,-2.9259e-05+0.00067971i,0.0004483+0.00081225i,0.0005543+0.00024659i,0.00052591-0.00010239i,0.00047154-0.00035436i,0.00052515-0.00040476i,0.00085182-0.00036595i,0.00085932-0.00023149i,0.0010175+0.00048491i,0.00042018+0.00055267i,-0.00041687+0.00050006i,-0.00084833+0.00084819i,-3.279e-05+0.00080152i
0.00072197+0.00073268i,0.00029917+0.00039506i,0.00068996+0.00065166i,0.0013389+0.00093372i,0.0022885+0.00016216i,0.0018514-0.00036405i,-0.00010896-0.00024843i,-0.0011116-0.00037556i,-0.00082144-0.00055012i,-0.00043292-2.1776e-05i,-0.00016429+0.00020193i,-0.00047532-0.00058481i,-0.00034485-0.0010489i,0.00012889-0.00014869i,0.00013849-0.00012157i,-0.00024325-0.00014203i,0.00029829+0.00012683i,0.00079726-0.00016855i,0.00040436-0.00016864i,-0.00018913+0.00028396i,0.00014857-0.00037401i,0.00064003-0.0011032i,-0.00026826-0.0006965i
6.0974e-05+0.0010909i,0.00051411+0.0026897i,0.0006136+0.0038546i,0.0015083+0.0030734i,0.0028761+0.001211i,0.0028098-0.00074108i,0.0012361-0.0016862i,0.0003296-0.0010941i,-0.00044397-0.00023133i,-0.0010136+0.00095823i,-6.0212e-05+0.0010746i,0.0008479+0.00061583i,0.00083724+0.00041324i,0.00031618+0.00043971i,0.00020011+0.0001647i,0.00040358-0.00092896i,-0.0004857-0.00097231i,-0.001206-0.00068643i,-0.00029186+0.00029539i,0.00069236+0.0015045i,0.00041946+0.0011162i,0.00014435+4.4631e-06i,0.00034292-0.00044341i
-0.0015497-0.00097659i,-0.0021679-0.0013139i,-0.0021116-0.0011596i,-0.00062002-0.00079163i,0.00047746-0.00016062i,-6.0772e-05-0.00064619i,-0.00087882-0.0011297i,-0.00080211-0.00038501i,-7.1957e-05+0.00049602i,-0.00018189+0.00014571i,-0.00033832-0.00041503i,-8.3e-05-0.00020341i,-0.00047829-7.1276e-05i,-0.00072462+6.6815e-05i,-0.00088582+0.00031898i,-0.00017121-0.00065414i,0.00085915-0.00091468i,0.00072314+0.00015093i,0.00066157+0.00035937i,8.6646e-05+0.0004892i,-0.00042815+0.00069243i,-0.0005407+0.00033971i,-0.00062573+1.9945e-05i
0.00034444-0.00038532i,0.00061787+0.00049493i,-2.8367e-05+0.0013265i,0.00043183+0.00081971i,0.0015004-0.00038021i,0.00056155-0.00058558i,-0.00019238-0.00083287i,-0.00037501-0.00088882i,-0.00041067-0.00021292i,-0.00091863-0.00032083i,-0.00097187-0.00033931i,-0.00078859+0.00015283i,-0.0012322+0.00089025i,-0.001102+0.0004988i,-0.00026157+0.00012918i,-0.0003191+0.0011735i,-0.00056094+0.00090606i,2.4141e-06-0.00027382i,0.00049074-0.00074676i,0.00073973-0.00059839i,0.00038709-0.00035106i,0.00011373-0.00029033i,0.00061019-0.00024786i
0.0010752-0.00028957i,0.00083964-0.00069668i,0.001422-0.0018168i,0.002016-0.0016222i,0.0022651-0.00086487i,0.00096447-0.00068709i,-0.00045131-0.00043287i,7.4239e-05+0.00024675i,0.00017926+0.00086651i,-0.00051442+0.0012328i,-0.0008796+0.0011629i,-0.00039667+0.0013856i,-0.00080466+0.0019431i,-0.00085378+0.001718i,0.00044147+0.0014945i,0.0003973+0.0011901i,2.5413e-05+0.00025979i,0.00037329-0.00055252i,0.00053076-0.00065785i,-0.00013097-0.0010231i,-0.00079143-0.0010514i,-0.00080837-0.00059808i,-0.00013771+4.9239e-05i
-3.4774e-06-0.001559i,-0.00152-0.001894i,-0.0020078-0.0011655i,-0.00015944+0.00045716i,0.0015384+0.00060569i,0.00090889-0.0010178i,0.00022838-0.0010602i,-0.00016169-0.00021429i,-0.00055675-7.1472e-06i,-0.00021445+0.00039102i,0.00042719+0.00066666i,0.00028949+0.00079i,0.00022515+0.00066422i,0.0008045+0.00052163i,0.00033742+0.00014955i,-0.00027216+0.00038347i,-0.00018891+0.00080281i,3.9777e-05+5.8394e-05i,7.806e-05-0.00064345i,-0.00017661-0.00083082i,-0.00013522-0.00061484i,7.3058e-05+8.8575e-05i,0.00050598+0.00040098i
-0.00083858+0.0013211i,-0.0016254+0.0010932i,-0.00049212+0.00060859i,0.00070257-0.0011224i,0.00098188-0.0022107i,0.0011501-0.0021346i,2.5963e-05-0.0014715i,-0.0010779-0.00032498i,-0.0013832+0.00068923i,-0.0012488+0.0010684i,-0.00023495+0.00055083i,0.00081448+0.0012083i,0.00086892+0.0012986i,0.00046537-0.00015806i,0.00043088-0.00085372i,0.00067096-0.0011846i,0.00082696-0.00093482i,0.00021929-0.00075461i,0.00031714-0.00084804i,0.00072735-1.1577e-05i,0.0001393+0.00040888i,-4.6035e-05+0.00025318i,0.00010734+8.552e-05i
-0.0015996+0.00105i,-0.0025475-0.00011208i,-0.0022654-6.8518e-05i,-0.0013469+0.00038748i,0.00048609+0.00021339i,0.00045439-0.00056111i,-0.00044875-0.00048007i,-0.0009436+0.00028992i,-0.00091184-0.00027976i,-0.00020727-0.0012312i,0.00018156-0.0010915i,-0.00040706-0.00052337i,-0.0012489-0.00075494i,-0.0011367-0.0012432i,-0.00076263-0.0011119i,-0.00075855-0.00088982i,-0.00038501-0.00090578i,0.0010082-0.00053932i,0.0009851-0.00066036i,-5.5993e-06-0.00042152i,-0.0004339+0.00023354i,-7.8354e-05+0.00079777i,0.00025545+0.00075569i
-0.00061943-0.0014155i,-0.00043888+0.00022145i,-0.00047365+0.0015655i,-5.6536e-05+0.0015136i,0.00029812+0.00051119i,0.0003046-0.00026866i,-0.00045171-0.0005443i,-0.00088471-0.00010772i,-0.00092123+7.5007e-05i,-0.0012898+0.00031536i,-0.00059157-5.5351e-05i,0.00010877-0.0007448i,0.00039317-0.00094556i,-0.000264-0.00028714i,-0.00051424+0.00031189i,-0.00029274+0.00035526i,-0.00077666+0.00021527i,-0.00058099-0.00021473i,-0.00017265-0.00033708i,-0.00045434+1.0205e-06i,-0.00061703+0.00092648i,-0.00039628+0.00054783i,-0.00021658-0.0010674i
-0.00098793+0.00078016i,-0.00065827+0.0004043i,-0.00076465+0.00049992i,-0.00017379+0.0010538i,0.00064694+0.00042506i,-4.2518e-06-0.0011282i,-0.00050582-0.0014886i,-0.0010937-0.0011024i,-0.001036-0.0010994i,-0.00039278-0.00040105i,-0.00083687+0.00055731i,-0.001393+6.8447e-05i,-0.0011762-0.0013114i,-0.00036889-0.00064102i,0.00030827+0.0007844i,0.00030553+0.0011617i,0.00048125+0.00047665i,0.00076374-6.9513e-05i,0.00012635+4.5234e-05i,-0.00072723+0.00015045i,-0.00055663+0.00021323i,-5.5006e-05-0.00018032i,0.00048514-0.00023359i
-0.0013044+0.00055192i,-0.00074312+0.00068748i,0.00015013+0.0010603i,0.0018537+0.0017026i,0.0026605+0.0020474i,0.0017792+0.00097408i,0.00018975+0.00028997i,-0.00011398+0.00016549i,0.00036924+2.8471e-05i,-0.00060809+0.00015683i,-0.0011683+0.0001908i,-0.00047245+0.00049389i,-0.00041018+0.001073i,-0.00031359+0.00051948i,0.00015594+0.00013053i,0.00030093+0.00067753i,7.1906e-05+0.001297i,0.00040671+0.0014796i,0.0010454+0.000655i,0.00090626-0.00012584i,2.0756e-05-0.00036166i,-0.00016033-6.8857e-05i,0.00033499+1.6035e-05i
0.0001368-0.00084149i,-0.001606-0.0002501i,-0.002501-6.2005e-05i,-0.0014707-0.00074594i,-0.00070553-0.0008002i,-0.00094898-0.00013249i,-0.00045585-9.0144e-05i,0.0001555-0.00059098i,-9.8839e-05-0.00061743i,7.5744e-05+0.00024695i,-0.0001377+0.00098653i,1.2867e-06+0.00096898i,0.0010688+0.00039611i,0.0014607-0.00043559i,0.0013023-0.00086799i,0.00084357-0.00054121i,0.00069832-0.00013785i,0.00064375+5.1463e-05i,0.00043236-0.00055766i,0.00064068-0.0005327i,0.00083091-0.00045121i,0.00067807-0.00028289i,0.00047572+0.00012399i
-0.0027456+0.0010149i,-0.0027809+0.0012836i,-0.0025954+0.0013619i,-0.00072917+0.0018063i,0.0013517+0.0018608i,0.0025416+0.00097261i,0.0017391-0.00058313i,-0.00010471-0.0010116i,-0.00042964-0.00081758i,-0.00016985-0.00023068i,0.00016355+0.00059987i,0.00028807+0.00054412i,-0.00029699-0.00058822i,-0.00021171-0.0019229i,-0.00020842-0.0015i,-0.00091676-0.00084383i,-0.0002298-0.00098687i,0.00095892-0.00075321i,0.0010149-0.00015886i,0.00078579+0.00023239i,0.00078162+0.00020939i,0.00073681-0.00010669i,0.00096526-6.8545e-05i
-6.6804e-06+0.00032788i,0.00055868-0.0001106i,0.0010557+0.0013722i,0.00033497+0.0023102i,5.294e-05+0.00024333i,0.00054176-0.001315i,0.00040263-0.00080399i,-0.00097945+0.00022927i,-0.0013237+0.00034905i,-0.00060141+0.00011886i,-0.00013522+0.00027135i,0.00015318+0.00018806i,-0.00012893-0.00026776i,-0.001138-0.00032557i,-0.0012186+0.00012523i,-0.00038085-0.00010294i,0.00025481-0.00014045i,0.00047713-0.00035288i,0.000277-0.00075281i,0.00018806-0.00056329i,0.00021897-0.00053601i,0.00012727-0.00049621i,-0.00020393-6.0186e-06i
-0.00056295+0.0017184i,-0.0013414+0.0017303i,-0.00064824+0.0021465i,0.00090344+0.0014807i,0.0013618+0.00024925i,0.00035341-0.00095575i,-0.001949-0.0010672i,-0.0023669-0.00014418i,-0.00094235+0.00061938i,-0.00056049+0.0007282i,-7.0998e-06+5.7167e-05i,0.00068716-0.00066106i,0.00057682-0.00014538i,0.00013019+0.00099295i,-0.00095279+0.001018i,-0.0011749+0.00043222i,-0.00037523+0.00073629i,-0.00034092+0.0012894i,-0.00064383+0.00052812i,0.00018916+0.00041078i,0.00035355+0.00065379i,-0.00072078+0.00035048i,-0.00091858+0.00090369i
-0.0004373+0.00033i,-4.5834e-05+0.0010344i,6.2661e-05+0.0019325i,0.0012606+0.0024287i,0.0033813+0.0016976i,0.0029536+0.00067268i,0.00078884+0.00050871i,0.00034014+0.0007916i,0.00080658+0.0010013i,0.00075267+0.00049208i,0.00095074+0.00022696i,0.0010912-0.00014195i,0.0010067-0.00055434i,0.00086964+0.00027722i,0.00054052+0.00027653i,-2.8529e-05+0.00017892i,-0.00025168+0.00061377i,-0.00049572+0.0011205i,-0.00029352+0.001024i,-0.00025395+0.00044929i,0.00028924+0.00012799i,0.0013569+0.00028222i,0.0007277+0.00042663i
0.00054835-0.00070722i,-0.00089351-0.00096103i,-0.0017932-0.0028923i,-0.00076804-0.0031257i,2.4621e-06-0.0024008i,-0.0004327-0.0016177i,-0.00055854-0.00025246i,2.4208e-05+0.00068335i,0.00045948+0.00024415i,-1.9252e-05-0.00081701i,-0.00043433-0.00041187i,-0.00027243-0.00012599i,-0.00016174+0.00023898i,0.00046086+0.0011409i,0.0015032+0.0012481i,0.0012682+0.00040919i,8.9034e-05+0.00016517i,-0.00069263+0.00057371i,0.00012263+0.000804i,0.0007419+0.00068409i,0.00027104-0.00010491i,0.0010342-8.6193e-05i,0.0013133+0.0005015i
