-0.00033619+0.0018133i,-0.00034416+0.00033946i,0.0011944+0.00030077i,0.0024165+0.00053268i,0.0023838-0.00047861i,0.0016322-0.00080912i,0.00047594-0.00072281i,0.00014805-0.00044843i,-0.00020262+5.3588e-05i,-0.00079346-0.00033958i,-0.0015507-0.00067435i,-0.0018995-0.00045518i,-0.001311-0.00026336i,-0.00047876+3.0814e-05i,0.0002111+0.00060942i,0.0001028+0.0010535i,-0.00029016+0.00080782i,-0.00044743-4.0488e-05i,-0.0012683+5.5908e-05i,-0.0016529+0.0005602i,-0.00092807+0.00053483i,3.9061e-05+0.00040233i,0.000332+0.00040695i
-0.001116-0.0015132i,-0.0006603-0.0016644i,0.00013625-0.001693i,-4.2574e-05-0.0012057i,-3.0442e-05+0.00030703i,0.00015586+0.00034842i,0.00022382-0.00010522i,-3.1799e-05+0.00031781i,-0.0011108-6.5372e-05i,-0.00093228-0.00031461i,-0.00071282-4.7946e-05i,-0.0017946-0.00017263i,-0.0015409+8.6914e-05i,-0.0007664-0.0002242i,-0.00081121-0.00028869i,-0.00083547+0.00048391i,-0.00090431+0.00098711i,-0.00063534+0.00078421i,-0.00044754+0.00057157i,-0.0011757+0.00019006i,-0.00073828-0.00013365i,0.00034659+0.00020681i,9.6559e-05+5.2344e-05i
0.00013674-0.002254i,-0.00092012-0.0031407i,-0.00096478-0.0025932i,-0.00082533-0.0014495i,-0.00085507-0.00032719i,-0.00065405+0.00027558i,-0.00041321+0.00013508i,-0.00040926-0.00030515i,-0.00025994-0.00017469i,6.5167e-05+0.00067024i,-8.0645e-06+0.00094215i,-0.00033701+0.0014543i,-0.00037674+0.0019371i,-0.0007776+0.002132i,-0.0010822+0.0019007i,-0.00062858+0.00081956i,0.00019461+1.4762e-05i,0.00030272-0.0001332i,-0.00037281-0.00014182i,-0.00025369-0.00015758i,0.00037649+0.00016145i,0.00055433+0.0004264i,0.00014231+0.00042435i
0.00043254-0.00027353i,0.0013481-0.00052395i,0.00014261-0.00074653i,-0.00016083+0.00052963i,0.0023608+0.0012635i,0.0031615+0.00068289i,0.0010101-6.4538e-05i,-0.00041505-0.0006987i,-0.00023499-0.00087799i,0.00087389-0.00073745i,0.0015638-0.00058141i,0.0020328-0.00046374i,0.0021573+7.0468e-05i,0.001502+0.00090804i,0.00085782+0.0011717i,0.00049833+0.00024721i,0.00034459-0.00038786i,0.00022643-0.00015166i,0.00039184-8.5497e-05i,-4.3067e-05+4.7169e-05i,-0.0011403-0.00020111i,-0.0011256+8.2989e-05i,-0.00093822+0.00034442i
0.0010599-0.0013749i,0.00021185-0.0019411i,-0.0009746-0.0022689i,-0.00063328-0.0016697i,0.00029009-0.00014148i,0.00064145+0.00031474i,0.00031346-0.00022714i,-4.0879e-05+0.00012762i,-0.0003549+0.00037979i,-0.000235-0.00036811i,-0.00028884-0.00059012i,8.9559e-05-0.0010912i,0.00062322-0.0016748i,0.00085369-0.0016222i,0.00039648-0.0011232i,0.00062827-0.00019041i,0.00024006-1.1149e-05i,-0.00089649-0.00020229i,-0.00099778+0.00026798i,-0.0005318+0.00026349i,0.00015634-0.00048093i,3.0307e-05-0.00083961i,-0.00021791-0.00053064i
0.003378-0.00061507i,0.0040107-0.0012724i,0.0047896-0.0019238i,0.00372-0.0014908i,0.00192-0.0014131i,-0.00028339-0.00068178i,-0.0014405+0.00045202i,-0.00075054+0.00013294i,-0.00076541-5.4023e-05i,-0.0014622-0.00016451i,-0.0016618-0.00093319i,-0.0020341-0.0015007i,-0.0013938-0.001482i,-0.00088189-0.00075924i,-0.0013826-0.00028283i,-0.00069931+0.00016272i,-0.00047654+0.00044655i,-0.00037162+0.0002198i,5.7616e-06+4.0415e-05i,-0.00018007-0.00055932i,0.00024018-0.00040712i,0.00016665-0.0001914i,-0.00019924-0.00039864i
0.0015334-0.00021948i,0.00032843-0.0010964i,-0.00075885-0.0019208i,-0.0018161-0.0015062i,-0.0023215-0.00042285i,-0.0010976+0.00087383i,0.00038318+0.00075202i,0.00036191-6.1798e-05i,-0.0001239+6.1357e-06i,-0.00043351+0.00044874i,-0.0012911+0.00057759i,-0.0020108+0.00095499i,-0.0018481+0.0015235i,-0.00098612+0.0012797i,-0.00057362+0.00069159i,-0.00035021-0.00028083i,-0.00036338-0.00081112i,-0.00043433+0.0001013i,-0.00024804+3.8925e-05i,-0.00043327-0.00035514i,-0.00055744-0.00072716i,-0.00040727-0.00093393i,-4.4023e-05-0.00064002i
-0.0023357-0.0021445i,-0.0023033-0.0016726i,-0.0034727+0.00022738i,-0.0023599+0.0030247i,0.00014507+0.0049977i,0.0017889+0.0036322i,0.0015855+0.0011504i,0.00069584-0.00019924i,0.00033287-0.00019289i,-0.00017831+0.00027532i,3.3677e-05+0.00096971i,0.00098235+0.0018931i,0.0010687+0.0013744i,0.00053244+0.00065827i,-0.00013808+0.00033539i,-0.00044202+0.0005684i,-0.00063082+0.0004207i,-0.00074004-0.00021677i,-0.00056581+0.00047223i,-0.00052881+0.00055163i,-0.00032179-0.00019645i,-0.00030209-0.00035136i,9.5157e-05-0.00043498i
-9.9382e-05-0.0011054i,-0.0002512-0.00089785i,0.00015047-0.0006357i,-0.00036726+0.00017299i,-0.00059297+0.00083284i,0.00020939+0.00029396i,-0.00053481+0.00040141i,-0.00091006+0.00014691i,0.00056714-0.00047347i,0.0012697-0.00014434i,0.001559+0.00042614i,0.0014088+0.00024078i,0.00049052-0.00045118i,0.00053133-0.00011591i,0.00042666+0.00050421i,0.00095785+0.00079242i,0.00094042+0.0004856i,0.00010787+0.00028696i,0.00014703+0.00070395i,0.00015865-0.00020885i,0.00013461-0.00050214i,0.00016752-0.0004332i,-0.00023878-5.7644e-05i
0.0020443-0.0035121i,0.00048568-0.0032611i,-0.00082865-0.0033879i,-0.0017613-0.0022371i,-0.0016302-0.00024526i,-0.00077646+0.0011522i,-9.6609e-05+0.001383i,0.00038602+0.00018583i,-3.3265e-05-0.00084228i,-0.00070641-0.0013877i,-0.0005226-0.0021016i,-0.00011258-0.0015944i,0.00029313-0.00079252i,0.00099272-0.0007148i,0.0013011-0.00045462i,0.00085559+6.9057e-06i,0.0004959+0.00041073i,0.00056473+0.00042893i,0.00063205+0.00011956i,0.0001689-0.00018923i,4.7567e-05-0.00047379i,-0.00020593-0.00016134i,-0.00079496-0.00025784i
