-0.0012318+0.00072036i,5.0234e-06+0.00039177i,0.00090215-0.00067652i,0.00066821-0.00076205i,-0.0011318+0.0004384i,-0.0023509+0.00074848i,-0.0017889+0.00072453i,-0.00068431+0.00075076i,0.00014325+0.00083423i,0.00069329+0.00049206i,0.00091413+0.00064128i,0.00043721+0.00066899i,-0.00030154-0.00010076i,-0.0004577-0.00050036i,-0.00083501-0.00054404i,-0.00069865-0.00035809i,0.00027866+0.00048925i,0.00021869+0.00088462i,-0.00023208+8.3853e-05i,-0.00032456-0.00090333i,0.00020939-0.0011531i,-5.9905e-05-0.00096328i,-0.00042066-0.0011286i
-0.00034838-0.00024612i,-0.00056286+0.00043966i,-0.00080005+0.00028512i,-0.00070652-0.00077554i,-0.00060745-0.00072253i,-0.00018798-0.00027668i,-0.00015237-0.00062364i,-0.0010892-0.00088934i,-0.0013875+9.0021e-06i,-0.00092067+0.00065404i,0.00033551+0.00089133i,0.00066795+0.00062459i,6.7635e-05+6.4097e-05i,0.00021952-0.00046443i,0.00077339-0.00083277i,0.00036009-0.00030957i,-0.00024056+6.3551e-05i,-0.00013851-0.00037263i,-0.0002502-0.00026204i,-5.0835e-05-0.00057579i,0.0004065-0.001246i,0.00036654-0.001326i,-0.0003493-0.001266i
0.00052903+0.00054807i,0.00068631+0.0010239i,0.0012503+0.0013213i,0.0012388+0.00049712i,0.00023884-0.0010796i,-0.00087374-0.0019431i,-0.0014546-0.0011759i,-0.00083129+0.00088457i,-0.00058125+0.0013752i,-0.00048435+0.0013756i,0.00029111+0.0013832i,0.0011534+0.00061974i,0.0015644+0.00031493i,0.00074241+0.00030894i,-0.00047827-0.0001253i,-0.00038024-0.00035001i,-0.00019001-0.00073323i,-0.00073157-0.00072167i,-0.00055426+0.00012637i,5.851e-06+0.00027447i,-4.6133e-05+0.00016364i,-0.00019881+0.00061611i,-0.00043049+0.00044566i
0.0023655-0.00012753i,0.00084267+0.00012329i,1.4124e-05-0.0010065i,-0.00089643-0.0014261i,-0.0016516-0.0011022i,-0.0014225-0.00027151i,-0.00054524+0.00096586i,-0.00041539+0.00045928i,-0.00041327-0.00033491i,-0.00036653-0.00035991i,-0.00021072-0.00052988i,-0.00023229-0.00012695i,2.7531e-05+0.0010262i,0.00095123+0.0014905i,0.0012405+0.00062921i,0.00087628+0.00034568i,0.00024399+0.00061132i,0.00020749+0.00072819i,0.00050464+0.00084872i,0.00075271+0.00082832i,0.00053271+0.00055082i,0.00014893-0.00040286i,0.0005169-0.00051195i
0.00089489+0.0011372i,0.00078333+0.00030125i,0.001067-0.00065435i,0.00056774-0.0013965i,-0.00014088-0.0026133i,-0.00087584-0.0031651i,-0.0010328-0.002013i,-0.00067798-0.00098735i,3.4885e-05-0.00088987i,1.8768e-05-0.00041779i,0.00065125+2.3834e-05i,0.00083999-0.00011519i,-0.00047124+0.00039821i,-0.00075307+0.0007435i,-0.00025669+0.00060302i,0.00040795+5.7253e-06i,0.00042652-0.00018391i,0.0002182+4.9513e-05i,0.00014324+3.209e-05i,0.00068738-0.0003453i,0.00076656-0.00014564i,0.00042415+0.00035374i,0.00079285+0.00012638i
0.00038674+0.00050875i,0.00062804-0.00012473i,0.0012271-0.0010689i,0.00085017-0.0015987i,0.00063656-0.0021965i,-0.00037763-0.0018075i,-0.0010566-0.00071647i,-0.0011251-0.00041711i,-0.00070955-0.00017646i,-0.00033561+5.3667e-05i,-0.00018629-0.00014652i,-3.1681e-06-0.00013719i,7.5442e-05-0.00044652i,0.00038161-0.00068852i,0.00078292-0.0007714i,0.0011729-0.00029037i,0.00089864+0.00028791i,0.00037292-6.0228e-05i,0.00078318+7.645e-05i,0.00074767+6.6143e-05i,-0.0001374-0.00054793i,-0.00035406-0.00052037i,-0.0002958-3.8129e-05i
0.00098845-0.00032191i,0.00020465+0.0002507i,9.6152e-05+0.00020186i,-1.1989e-05-0.0005743i,-0.00056575-0.0011148i,-0.0010194-0.0011425i,-0.00082492-0.0005079i,-0.00051615+0.00047013i,-0.00053075+0.0011883i,-0.00095148+0.00069694i,-0.00099416-2.1737e-05i,-0.00069773-0.00046868i,-0.00045527-0.00080676i,0.00040394-0.00062653i,0.0010389-0.00035226i,0.00035656-0.00083749i,6.2318e-05-0.0012612i,0.00032606-0.0013522i,0.0001456-0.00051843i,-0.00031317+0.00061554i,-0.00044532-4.445e-05i,-0.00010088-0.00071406i,0.00018024-0.000748i
0.00019425-0.00025615i,0.00052709-6.902e-05i,0.00066896-0.00059777i,7.4192e-05-0.00028936i,-0.0005771+0.00018353i,-0.00067165-0.0001952i,-0.00031534-0.00081847i,-7.4681e-05-0.00028099i,-0.00043213+0.00055649i,-0.00056279+0.00028077i,-0.00088149+6.3074e-05i,-0.00078062+0.00042445i,-0.00026847+0.00019489i,0.0002348-0.00036575i,0.00038827-0.00040132i,0.00010776-0.00030747i,-0.00085136+0.00015114i,-0.001487-6.4518e-05i,-0.0008085-8.4925e-05i,-0.00032157-8.183e-05i,-0.00013666-3.1174e-05i,0.00011348+0.000713i,0.00016849+0.00012728i
-0.00033318+0.0009512i,0.00029342+0.0015352i,0.00042462+0.0018632i,0.0011836+0.0016906i,0.0010587+0.00099856i,0.00084462-0.00066703i,0.00082978-0.0016796i,-0.00010881-0.001212i,-0.00026968-0.00076673i,0.00029431+7.4801e-05i,0.00042271+0.00082109i,0.00017995+0.0002564i,-7.9232e-05-0.00024571i,-0.00039963-0.0004097i,2.915e-05+0.00024355i,0.00043274+0.00045912i,0.00049824-0.00024613i,0.0005156+6.4259e-05i,0.00063517-0.00025269i,0.00023777-0.0008604i,-0.00043761-0.00091518i,8.8928e-05-0.00051613i,0.00030169+0.00022865i
-0.001292+0.0012902i,-0.0013575+0.0016264i,-0.0022408+0.0022934i,-0.0022154+0.0028014i,-0.00087545+0.0018658i,-6.7037e-06+0.00037542i,-0.00049648-0.00045657i,-0.00109-0.00057213i,-0.0014132-0.00049294i,-0.0015152-5.9314e-05i,-0.00059401+0.00025463i,0.00060026+0.00019859i,0.0012633+5.5058e-05i,0.0007122-0.00015814i,4.1472e-05-0.00030786i,-0.00015064-0.00094357i,0.00030978-0.00099547i,0.0010446-0.00032605i,0.0012098-0.00052958i,0.00021587-0.0003339i,-0.0010564+7.7789e-05i,-0.0010888+0.00026388i,-0.000533+4.2793e-05i
5.7437e-05+0.00028183i,0.00016557-0.00042818i,-0.0001116-0.00030837i,0.00070409-3.6274e-05i,0.00078725-0.00074987i,-6.1771e-05-0.0013176i,-0.000548-0.00086901i,-0.0010779-0.00054599i,-0.0014643-7.1047e-05i,-0.00092361+0.00031815i,-0.00043383-9.1167e-05i,-0.00010378-0.00014802i,0.0005091+0.00037294i,0.00024485+0.00080875i,0.00047636+0.00052278i,0.001516-0.00049027i,0.0014372-0.00084236i,0.00090316-0.00073883i,0.00080498-0.00048982i,0.00048097-0.0006172i,-0.00024596-0.00074454i,-0.0012818-0.00029542i,-0.0014257-0.00041539i
0.00077692-0.00022646i,-0.00054739+0.00040216i,-0.00034142-0.00030523i,-0.00019847-0.0010414i,-0.00062739-0.00091539i,-0.0003223-0.00055225i,0.00046272-3.2216e-06i,6.4379e-05+0.00044095i,-0.0011844+0.00042134i,-0.0012304+0.00030538i,-0.00033759-7.1076e-05i,0.00054088-0.00021624i,0.001462-0.00013381i,0.00087368-0.00040325i,-0.00016281-0.0011565i,-0.00035335-0.0014058i,-0.00031791-0.00091983i,-0.00057079-0.0001494i,-0.00079271+0.00080499i,6.039e-05+0.00030989i,0.0010094-0.00038241i,0.00042323-0.00041116i,-0.00031315-0.00036227i
-0.00061577-0.00023994i,-0.00099513-0.00030882i,-0.0012118-2.1672e-06i,-0.00065706+0.0002367i,-0.00081241-0.00043683i,-0.0013616-0.00094263i,-0.0013028-0.0010056i,-0.001023-0.00032844i,8.0743e-06+0.00061599i,0.00051984+0.0011309i,-0.00016367+0.00075312i,2.0387e-05-0.00042459i,0.00019678-0.00094659i,-0.00013972-0.00071008i,0.00012868-0.00048456i,6.2843e-05-0.0002273i,-0.00052579-0.00020945i,-0.00029-0.00060745i,0.00031059+0.00011469i,0.00043808+0.00051209i,0.00021179-0.00024355i,-7.6004e-05-0.00093229i,0.00012352-0.00037093i
0.00085046-0.00030154i,0.00072685-0.00042779i,0.0010694-0.00076052i,0.00013705-0.00090958i,-0.0012844-0.00076026i,-0.0013851-0.00014318i,-0.001074+0.00028855i,-0.0006934-6.2153e-05i,-0.00058846+0.00036699i,0.00028044+0.00067995i,0.00070274+9.5638e-05i,0.00026956+0.00017161i,0.00034553+0.00097231i,0.00057631+0.00071311i,0.00076171-0.00016477i,0.0010949-0.0007233i,0.00059764-0.0010623i,-0.00027205-0.00031947i,-0.00062581+0.00012662i,-0.00032582-0.0001476i,1.3844e-05-3.8249e-05i,-4.7286e-05+0.00047214i,-0.00046731+0.00046928i
-0.0010789+0.0003237i,5.8358e-05-9.9378e-05i,0.00052378+0.00085831i,0.00036647+0.0013i,0.00096114+0.00031199i,0.00083341-0.00064188i,-0.00057136-0.00076899i,-0.00063897-0.00045934i,-0.00028794-4.9887e-05i,-0.00054509+4.4832e-06i,-0.00051286+0.00047418i,-0.00028025+0.00081788i,-9.974e-05+0.00016796i,0.00068369+2.4518e-05i,0.00098237+0.00049332i,0.0010666-3.965e-06i,0.0013611-0.00069657i,0.00060799-0.00053011i,-0.0001032+0.0004612i,-0.00035713+0.00061101i,-0.00032522+0.00038021i,-0.00058216+0.00061325i,-0.00049114+0.000642i
0.00017853+0.00037316i,0.00047497+2.5561e-05i,-0.00018452+0.0007991i,-0.00062415+0.00063736i,-4.873e-05-0.00074219i,0.00046402-0.0010324i,0.00030938-0.00078492i,-0.00066668-0.00028278i,-0.0013568+0.00055925i,-0.0011374+0.00063896i,4.6006e-05-0.00021079i,0.0011298-0.00053438i,0.0010842-3.0316e-05i,0.00040494-3.0206e-05i,0.00049858-0.00032887i,0.00045449-0.00059494i,0.00022026-0.00046267i,0.00050365-0.00010298i,0.0010581+0.00024116i,0.00092557+0.00019415i,0.00092294-0.00017074i,0.00053839-2.6393e-05i,2.1334e-05+0.00023403i
0.00028002+0.00082066i,0.00042373+0.001571i,-0.00012463+0.0021984i,-2.3573e-05+0.0013004i,3.0039e-05+0.00035476i,-0.00053956-0.00029374i,-0.00090062-0.00091007i,-0.00080384-0.00045506i,-0.0010923+0.00070151i,-0.001511+0.0015381i,-0.00086525+0.0014284i,0.00053685+0.00067192i,0.0012098+0.00039623i,0.0012342+1.1065e-05i,0.00021556-0.0004062i,-0.00051967-0.00058283i,-4.4576e-05-0.00022574i,0.00023823+0.00026623i,0.00045124+0.00029603i,0.00053785-9.1169e-05i,1.5214e-06-0.00062335i,0.00036306+5.3263e-05i,0.00052988+0.00056449i
0.00033275+0.00031136i,0.0011099+0.000218i,0.00032651+0.00053474i,-0.00025891+0.00033452i,0.00019834-0.0004126i,-0.00031855-0.00098209i,-0.001234-0.00074348i,-0.0011026-0.00017187i,-0.0013755+5.395e-06i,-0.00089546+0.000223i,8.0137e-05+0.00067841i,0.00019573+0.00052598i,0.00029951+0.00030414i,0.00022383+5.9933e-05i,0.00048055-0.00033921i,0.00069809-0.00035273i,0.00053695+0.00010604i,0.00017275+0.00074189i,-0.00010482+0.00039851i,6.1379e-05+0.00032597i,0.00057048+0.00035737i,0.00060775+4.1225e-05i,0.00035525+0.00049641i
0.00037766+0.0004874i,0.0010389-0.00022078i,0.0010513-0.00080551i,-0.00016571-0.00075957i,-0.0012253-0.00077448i,-0.0015735-0.00096742i,-0.0010104-0.00013679i,-0.00048598+0.0011061i,-0.00017714+0.00066689i,0.00063423+4.2524e-05i,0.00068167+0.00014889i,0.00052036+0.00031374i,0.00032547+0.00029561i,0.00081274+0.00058839i,0.0011052+0.0010995i,0.00049584+9.964e-05i,-5.5746e-05-0.00078701i,-0.00012526-0.00096059i,-0.00014132-0.0011186i,-6.0144e-05-0.00061164i,3.8165e-05-0.00072208i,0.000188-0.00065952i,0.00018511+0.00052044i
0.00073062+0.0003797i,0.00039372+0.00014996i,-0.0003322+0.00060011i,-0.00031578+0.00036243i,-0.0002655-0.00075366i,-0.00016126-0.00070807i,-0.0002277-0.00011855i,-0.00062606-0.00016751i,-0.0011245-0.00017237i,-0.0011317-0.00025364i,-0.00051153+6.2938e-05i,0.00018234+0.0011739i,0.00043823+0.00093878i,0.0006414+4.51e-05i,0.00091203+0.00016684i,0.0012215-0.00049029i,0.00088581-0.001644i,0.00017286-0.0015526i,-0.00040648-0.00044692i,-0.00074762+0.00024267i,-0.00054518-0.00018136i,-9.622e-05-0.00063355i,-0.0001169-0.00022337i
0.00018333+0.00014806i,0.0011247+0.00012182i,0.00087651-0.0005617i,-0.00043791-0.00088722i,-0.0012864-0.00075914i,-0.00088888-0.000791i,-0.00057059-0.00085653i,-0.00076217-0.00060427i,-0.00074131+0.00024573i,-0.00080592+0.00050942i,7.6092e-05+0.00033784i,0.00079019-4.8408e-05i,0.00027397-0.00011234i,-2.5814e-06-1.462e-05i,0.00027524-0.00054901i,0.00031869-0.00070361i,0.00054168-0.00094705i,0.00039404-0.0010566i,-0.00037724-0.00019789i,-0.00033176-0.00014763i,0.0004466-0.00039907i,2.957e-05+9.8657e-05i,-0.00095856+0.00012529i
-0.00088744+0.00024792i,-0.0014709+0.0019432i,-0.0013156+0.0023146i,-0.00052703+0.001094i,-0.00060299+0.00053008i,-0.00046702+0.0003658i,-0.00010787-0.00035744i,-0.00054378-0.00027855i,-0.0013698+0.0002322i,-0.0012587+0.00016342i,-0.00041566+0.00012142i,-0.00016229+0.00034927i,0.00054087-9.7428e-05i,0.00061095-0.00060816i,-3.1737e-05-0.00030452i,-0.0003264+2.7435e-05i,-1.3208e-05-1.1158e-05i,0.00057883-0.00024339i,0.00078244-0.00056684i,0.00070257-0.00076316i,0.0004767-1.5609e-06i,-4.5376e-05+0.00047144i,0.00038048+0.0002904i
-0.00056204-0.00026374i,-0.00084938+0.00018781i,-0.0018211+0.00018383i,-0.0020605+0.00031561i,-0.0018875+8.2978e-06i,-0.0013387-0.00069786i,-0.00057167-0.00094967i,-0.00029129-0.000243i,0.00010377+0.00092039i,0.00023094+0.0013504i,0.00033118+0.00034697i,0.00067192-0.00064935i,0.0010478-0.00056761i,0.0011425-0.00038607i,0.0003892+0.00024151i,-0.00011102+0.00054837i,-0.0001551-1.6645e-05i,-0.00041807-0.0005741i,-0.00032002-0.00045493i,0.00011527-0.00024741i,0.00049847-0.00017231i,0.00028289-6.0936e-05i,-4.0611e-06+6.6619e-05i
0.0013107+0.0005323i,0.0014926+0.00054569i,0.0010338-0.00048387i,-0.00022128-0.0013415i,-0.00062902-0.0019162i,-0.00090586-0.0013863i,-0.0015874-0.00027913i,-0.0014207+0.00020223i,-0.00089738+0.00039482i,5.0933e-05+0.00059435i,3.4977e-05+0.00056463i,-0.0004849-0.00027148i,-0.00042138-0.00086925i,-0.00017433-0.00036684i,0.00063068+1.5478e-05i,0.0010441-0.00024266i,0.00092664-0.00097633i,0.00020559-0.00056368i,-0.00087946+0.00077448i,-0.00034913+0.00075595i,0.00045208+0.00026859i,0.00029544-0.00012307i,6.2747e-05+3.2357e-05i
0.00064038-0.00040612i,-0.0013896-0.00045063i,-0.002051-0.00047665i,-0.001001-0.00061385i,-0.001157-0.00046382i,-0.00083476-0.00025518i,-0.00040572-8.6674e-05i,-0.00061396-0.00046952i,-0.0013369-0.0003797i,-0.0019046+0.00044143i,-0.0015148+0.00082067i,-0.00095835+0.00020844i,-0.00043514-0.00017201i,6.945e-05+5.221e-05i,0.00037934-0.00030388i,0.00024305-0.00032192i,0.0004472-0.0010358i,0.00090884-0.0019599i,0.00021922-0.0012825i,-0.0003106-0.00066164i,-0.00017268-0.00059625i,-0.00017262-0.00072179i,-0.00019014-0.0012342i
0.0016748+2.6688e-05i,0.0016749-0.0015147i,0.0015119-0.0023067i,0.0011587-0.0023937i,0.0002356-0.0017306i,-0.00044107-0.0019634i,-0.00023474-0.0013632i,0.00021427+0.00023466i,-0.00055537+0.0011991i,-0.00091824+0.00091566i,-0.00035718+0.00047291i,0.00037744+0.000553i,0.00030828+0.00063152i,0.00022308+0.00037464i,8.9674e-05+1.8622e-05i,9.2732e-05+0.00019318i,0.00051622-0.00022175i,-0.00021499-0.00065928i,-0.00058312+0.00024773i,5.819e-05+0.0012494i,0.00021585+0.0014204i,-0.00047767+0.00077435i,-0.0009202-1.1173e-06i
0.00025986+3.3911e-06i,-0.00033488+0.0007437i,-0.00057651+0.0011839i,-0.00096124+0.00085959i,-0.00095184+0.00020812i,-0.00081783-0.00082103i,-0.00040446-0.00096936i,-0.00056338+0.00022153i,-0.00090947+0.00092504i,-6.237e-05+0.0012727i,0.0011189+0.0010505i,0.00122-6.7649e-05i,0.00059644-0.00011491i,0.00075544+0.00038499i,0.0013912+0.00047184i,0.001123+0.00058097i,0.00012953+0.00038626i,0.00023168-0.0006335i,0.00027332-0.00071797i,-1.5183e-05-4.8417e-05i,-0.00014541+1.5107e-05i,-0.00065879+0.00013145i,-0.00015081+0.00028644i
-0.00076367-0.00081314i,-0.0011011-0.0002051i,-0.001412+0.00035754i,-0.0012459+0.00092996i,-0.0001428+0.00094128i,0.00080011+0.00016376i,0.00037913-0.00049619i,-0.00068815-0.00045145i,-0.00077283-0.00038893i,-0.00034271-0.00065777i,0.00030933-0.00090521i,0.00040493-0.00079268i,0.00047406-0.00081307i,0.0010853-0.001193i,0.00076543-0.00052865i,5.7875e-05+0.0009519i,-0.00032516+0.0010971i,-0.0013076+0.00020042i,-0.00098628+0.00044183i,-7.1492e-05+0.00045428i,0.00053905-0.00012011i,0.00073572-0.0001906i,0.00017193+9.6805e-06i
0.00031761-0.00024188i,0.00018996+0.00085412i,0.00083443+0.00052623i,0.00040338-0.00052082i,-5.7683e-05-0.00071482i,0.00013013-0.001271i,-6.5956e-06-0.0013538i,-0.00024234-0.00024656i,-0.00016046-0.00038538i,-0.0002346-0.00094802i,-0.00042389-0.0012639i,-0.0010555-0.0014575i,-0.0011903-0.0010768i,-0.00029835-0.00045842i,-8.1114e-06-0.00089309i,0.00068141-0.0010921i,0.0010699-0.00094921i,0.00040221-0.00048472i,-0.00019745+0.00027604i,7.5152e-05-0.00019588i,0.00057735-0.0010532i,0.00051789-0.0012226i,-0.00052836-0.00069932i
-0.00094295+0.00074545i,-0.00073047+0.0014773i,-0.0015288+0.0019012i,-0.0014184+0.0011986i,-0.00087108+0.0001677i,-0.00047264-0.00083283i,-0.00010533-0.00082155i,-0.00036526-9.6981e-05i,-0.0011284-0.00027134i,-0.00099031-0.00013204i,-0.00013669+0.00068712i,0.00041038+0.00053784i,1.93e-05-0.00043937i,-0.00065985-0.00066212i,-0.0005981-0.00030763i,0.00013995-0.00072519i,-0.00015654-0.0016066i,-0.00041222-0.0012572i,-9.6108e-06-5.8571e-05i,2.2576e-05+0.00057433i,0.00015665+0.00046796i,0.00012324-0.00045757i,-7.0717e-05-0.00040385i
0.0010489+0.0008246i,0.00078825-7.2333e-05i,0.00066509-0.0012043i,0.00011682-0.0020377i,5.1e-05-0.0019134i,-0.0004325-0.0016643i,-0.0012346-0.0013296i,-0.0005597-0.0007969i,-0.00044533-6.1758e-05i,-0.0012772+0.00081709i,-0.0012749+0.0015776i,-0.0011983+0.0013806i,-0.00057173+0.0011316i,0.00028334+0.001743i,0.00037455+0.0011409i,6.784e-05-0.00010245i,-0.00015569-0.0006287i,-0.00019733-0.00068029i,-0.00023457-0.00037552i,-0.00054017-4.5909e-07i,-0.00051852-0.00014066i,-0.00021211-0.0005012i,0.00020176-0.00046197i
-0.00049701+0.0017801i,-0.0003632+0.003118i,-0.00015461+0.0036563i,0.00013187+0.0025305i,-0.00018675+0.00065776i,-0.00038365-0.0004667i,-0.00027346-0.001243i,-0.00083184-0.0014791i,-0.0014282-0.00057458i,-0.00087599+0.00035673i,0.0004244+6.4776e-05i,0.00064492-0.00080793i,0.00053683-0.00094888i,0.00048054-1.7972e-05i,-0.00041821+9.7149e-05i,-0.00017612-7.5698e-05i,0.00061404-0.00043518i,0.00037345-0.00081451i,-0.00095599-0.00018612i,-0.0012959+0.00025898i,-0.00040971-8.4715e-06i,-0.00026511-0.00032147i,-0.00047936+6.6738e-06i
0.0006811+0.00079461i,0.0011155-0.0017378i,0.0011723-0.0022889i,0.0007208-0.0018981i,0.00022731-0.0014898i,-0.00093403-0.0013427i,-0.0011705-0.001334i,-0.00079528-0.0011542i,-0.00089932-0.00094601i,-0.00028865-0.00027534i,0.00046676-0.00083815i,0.00038161-0.0015265i,0.00012458-4.1836e-05i,0.00050992+0.00069392i,0.00066751+0.00032085i,0.00086908-0.00010982i,0.00085897-0.00056253i,0.00041537-0.00060184i,-0.00011011-0.0004844i,-0.00023898-0.0005381i,0.00018214-0.00080919i,0.00030622-0.00042433i,7.0383e-05+2.384e-05i
0.00076942+0.00058863i,0.00088782+0.0010626i,0.00091026+0.0010927i,0.00031042+0.00071767i,-0.00076673-4.5182e-05i,-0.0017698-0.0011418i,-0.0015749-0.0016743i,-0.0011821-0.001502i,-0.00048301-0.00065745i,-0.0005207+0.00012672i,-0.00066631-0.00038934i,-0.00051651-0.00084115i,-0.00046696-0.00076916i,0.00031247-0.00074596i,-4.9361e-05-0.00033265i,-0.00019951-0.0001089i,7.0516e-05-0.00044968i,-0.00060281-0.000669i,-0.0012485-0.00073452i,-0.00039488-0.00073924i,0.00047886-0.0006227i,0.00074299-8.032e-05i,0.00052064+0.0005845i
0.00020684+4.4892e-05i,-0.000417-0.00085136i,-0.00066818-0.00048522i,-0.00024344+0.00031282i,-0.0005736-0.0002294i,-0.00093878-0.0013601i,-0.00095972-0.0017367i,-0.0013563-0.00029254i,-0.0014599+0.00061706i,-0.0019315-5.5106e-05i,-0.0022321-0.00056354i,-0.0015055+6.8123e-06i,-0.00036445+0.00013621i,0.00027687+0.00016221i,-7.8871e-05-0.00020425i,-0.00012462-0.00090203i,0.00063867-0.00040648i,0.00035758+0.00025591i,-0.00035758+0.00027403i,-0.00028243+0.00053878i,0.00050442+0.00055118i,0.00018605+0.00097588i,-0.00091854+0.0005638i
0.00065977+0.00038816i,0.00053134+0.00070901i,0.00054633-0.00010981i,0.00077529-0.00053548i,-0.00019487-0.00037754i,-0.00046474-0.00091788i,-0.00030556-0.00098354i,-0.0010243+0.00012986i,-0.001269+0.0012832i,-0.0010354+0.0014255i,-0.00011657+0.0010541i,0.00055869+0.0010988i,0.0008648+0.0010198i,0.00031831+0.00065633i,-0.00069835+0.00021933i,-0.00081036-9.7077e-05i,-0.00011153-0.00068936i,0.00024222-0.00053875i,0.0001004+5.438e-05i,-0.0002203-0.00018769i,-0.00056518-0.0006784i,-0.0008485-0.00040242i,-0.00063096+0.00031009i
5.4697e-05+0.00053353i,-7.7247e-05-0.00011988i,0.00058266-0.00010014i,0.00083611-0.00034149i,0.00088246-0.00089498i,0.00050171-0.00046217i,-0.0010089+1.4491e-05i,-0.0014155+0.00020136i,-0.00071178+0.00048733i,0.0001862+0.0014454i,0.0014766+0.0014206i,0.0012927+0.00070326i,1.2078e-05+0.00031729i,-5.8754e-05+6.9906e-05i,0.0004387+0.00018851i,0.00066907+0.00048109i,0.00048074+0.00031475i,0.00025433+0.00079408i,-0.00019271+0.0008701i,-0.00015048+0.00013846i,0.00019128-0.00038643i,0.00027967-0.00039368i,0.00012743-0.00014367i
0.0012398-0.0005996i,0.0015727-0.0011445i,0.00072263-0.0013459i,-0.0001771-0.0018864i,-0.0008029-0.0020706i,-0.0013306-0.002273i,-0.0013341-0.0018511i,-0.0015503-0.00063267i,-0.0014539-0.00042925i,-4.2688e-05-0.00050897i,0.0011056-0.00010593i,0.0014982-0.00014821i,0.001835-9.2107e-07i,0.002106+0.00043312i,0.0019083+9.5124e-05i,0.0015011-0.00046394i,0.00097206-0.0002469i,0.0001618+0.00026855i,-0.00036607-3.0771e-05i,-8.4192e-05-0.00051581i,-0.00021588-0.00072135i,-0.00044542-0.00047461i,-0.00036259-6.948e-05i
0.0013002-0.00051809i,0.00084529-0.00040772i,-0.00022438+0.00068854i,-0.00080485+0.00019921i,-0.00034804+7.0389e-05i,5.3609e-05+0.00085365i,-0.00047762+0.00042477i,-0.0010393+0.00011813i,-0.00090548+0.00056814i,-0.0006644+0.00049526i,-0.00034464-0.00017607i,-0.00044781-0.0013436i,-0.00046673-0.0017419i,-0.0007272-0.0013389i,-0.00044524-0.00073141i,-5.0815e-05-0.00054446i,-0.00018619-0.0012099i,-9.9966e-05-0.0015288i,4.2798e-05-0.00065595i,-0.00017272-8.7038e-05i,-0.00013463-0.00078083i,-0.00073489-0.00073136i,-0.00081705-2.3693e-05i
3.949e-05-0.00092527i,-7.6237e-05-0.00011779i,-0.00097856-5.8081e-05i,-0.0015229-0.00048059i,-0.0013252-0.00063165i,0.00034948-0.00049767i,0.00070212-0.00076191i,7.8606e-05-0.0005058i,-0.00040409+0.00035955i,-0.00046311+0.00080602i,-0.00071766+0.0010192i,-0.0017493+0.0011265i,-0.0012044+0.00059675i,-7.5185e-05-0.00029717i,-2.0823e-05-0.0013532i,-0.00022235-0.0013389i,-0.00096592-0.00069997i,-0.001406-0.00022313i,-0.00062562+0.00010566i,-6.4707e-07+0.00016046i,-0.00057145+0.0002857i,-0.000886-0.00034915i,-0.00026928-0.00078525i
0.00092874-0.00044815i,0.00043799-0.00031034i,-0.00059141-0.00077609i,-0.0018402-0.00094079i,-0.0020755-0.0014187i,-0.0011352-0.001372i,-0.00036886-0.00071922i,-0.00062754-0.00029624i,-0.00031725-9.1838e-05i,-0.00024035-0.0002038i,8.7657e-06+0.00090269i,0.00046438+0.0014681i,0.00047184+0.00059493i,0.0008544+3.0245e-05i,0.00079601-0.00019035i,4.1747e-05+1.9926e-05i,-0.0002872+0.00045521i,-0.00012259+0.00033646i,0.0004009+0.00029931i,0.00061489+0.00010064i,0.00020956-0.00030658i,-0.00057935+2.1227e-05i,-0.00069458+0.00012121i
0.00015859-0.001397i,0.00052444-0.00011698i,-0.00026274+0.00022091i,-0.00069361-0.00052622i,-0.0010928-0.00085448i,-0.0010398-0.00090266i,-0.00064824-0.00067657i,-0.0002464-0.0006158i,-6.2125e-05-0.00028142i,6.7781e-05-8.2967e-05i,0.00064579-1.5475e-05i,0.0012978+0.00043976i,0.0014384+0.0011001i,0.0011953+0.00093294i,0.00096929+0.00012447i,3.0831e-05-0.00073065i,-0.00016843-0.00088607i,-2.203e-06-2.092e-05i,-0.00023969-5.3866e-05i,-7.9549e-06-0.0002311i,2.7467e-05+0.00012895i,-0.00043058+0.00079901i,-0.00052047+0.0011581i
0.00062625-6.9378e-05i,0.00074047+8.4369e-05i,0.00051429-0.00092556i,0.00049346-0.0013935i,-0.0006658-0.00065954i,-0.0014428-0.0005459i,-0.00050548+0.00021691i,0.00029867+0.00052593i,-0.00063783-0.00025201i,-0.0011044-0.00086188i,5.6369e-05-0.00083868i,0.0013943-0.00071104i,0.0018455-0.0011171i,0.0020342-0.0011215i,0.0022805-0.00038572i,0.0021106-0.00011669i,0.0013216+0.00029999i,0.00025439+0.0004442i,-0.0005854-0.00018146i,-9.9967e-05-3.99e-05i,0.00072578+1.9359e-06i,0.00037489-0.00018783i,0.00034088-0.00025451i
