0.0032577+0.0019347i,0.0032449-1.1208e-06i,0.0028563-0.0025057i,0.0014016-0.0039139i,-0.0010364-0.003216i,-0.0026909-0.00030543i,-0.0012291+0.0015898i,0.00043735+0.0014102i,0.0010072+9.4013e-05i,0.00090695-0.00050081i,-0.00010877-0.00084691i,-0.00019336-0.00072976i,-4.811e-05-4.7964e-05i,-0.00063591+0.00059208i,-0.0011891+0.00050198i,-0.0012349-0.00012594i,-0.00035805-0.00092853i,-2.2261e-05-0.0010975i,-0.00036096-0.00092857i,-0.00039449-0.00062514i,0.00035579-0.00018537i,0.00087441-0.00019207i,0.00077935-5.3256e-05i
-0.001859-3.383e-05i,-0.0018648-0.00049136i,-0.0012708+0.00040608i,-0.00036884+0.00057377i,0.00012476+0.000218i,3.9075e-05+0.00047657i,1.2957e-05-0.00068696i,-0.00010882-0.0011903i,-0.00080714+0.00023878i,-0.00076013+0.0013085i,0.00014283+0.00081609i,0.00072841-0.00027691i,0.00090178-0.00055601i,0.0013448-0.0002969i,0.0013252-0.00026144i,0.00081131-0.00020796i,0.00017419+3.9723e-05i,-0.0002543+0.00025362i,5.0606e-05+0.0003643i,0.00021849+0.00069231i,0.00044115+0.00013309i,0.00021471-0.00041385i,0.00028728-0.00028339i
0.00089903+0.0013429i,0.0011063+0.0019462i,0.0020415+0.0017074i,0.0020388+0.0011229i,0.00049558-2.4858e-05i,-0.00060876-0.00068283i,-0.00087999-5.4208e-05i,-0.0004618+0.00049808i,0.00090093+0.0006888i,0.0018398-8.2694e-05i,0.0010886-0.00056603i,0.00011785-0.00036937i,0.00021423-0.00028996i,2.1915e-05-4.1168e-05i,-0.0007199+0.0004411i,-0.00086365+0.00085482i,-0.00021055+0.00058729i,0.00075462+0.00042447i,0.00083132+0.00035882i,0.00033736+0.00015317i,0.00029116+0.00031971i,0.0004043+0.0005236i,0.0007728+0.00023035i
-0.0027167+9.5761e-05i,-0.0021187+6.937e-05i,-0.00067883+0.0016527i,0.00069583+0.0025947i,0.0011367+0.0016091i,0.00076663+0.0003371i,1.9492e-06+1.9345e-06i,-0.00014413-0.00024009i,0.00021281-0.00043565i,-0.00013656+2.6603e-05i,-0.00036969+0.00053459i,0.00047923+0.00019443i,0.0015161-0.00084078i,0.0013088-0.00082992i,-3.3876e-06-9.7348e-05i,-0.00070765-6.2043e-05i,-6.4847e-05-0.00034765i,0.00037873-0.00073764i,0.00023883-0.00036619i,-7.351e-05-8.0588e-05i,-7.8082e-05-0.00010045i,-9.2144e-05+4.1393e-05i,-0.00045111-0.00046522i
0.00035323-0.00098169i,0.00011252-0.0014934i,0.0015811-0.0013786i,0.0021059+0.00010828i,0.00084439+0.0012658i,-7.8237e-05+0.0011185i,-0.0003522+0.00031758i,0.0002966+9.2961e-05i,0.00051654+0.00030081i,-0.0002387+0.00043213i,-0.00075966+0.00046099i,-0.00025445+0.00019638i,0.00029924+0.0001005i,5.7027e-05+0.00024917i,0.00040651+0.00018961i,0.00051601+0.00041057i,0.0006387+0.0005317i,0.00070051+0.00068478i,-0.00015382+0.0012026i,-0.00048699+0.00079327i,0.00016247+0.00045987i,0.00055595+0.0011649i,0.0004789+0.0012326i
0.0023222+0.002474i,0.0025887+0.00076177i,0.0023849-0.00058915i,0.002118-0.0015437i,0.0012349-0.0017932i,-0.00020426-0.0013598i,-0.00095734-0.00052679i,-0.00052127-0.00010051i,0.00017646-0.00011675i,0.00057543+0.00013629i,0.00031511+0.00080485i,-0.0004257+0.0012242i,-0.00034612+0.0013306i,0.0006867+0.0011866i,0.0004854+0.00088962i,-0.00093553+0.00053195i,-0.0012615-0.00016869i,-0.0006789-0.00030654i,-0.00047249-0.00012811i,-0.00070155-0.00065078i,-0.00090178-0.0010566i,-0.00042059-0.00059007i,0.00054432-2.2273e-05i
-0.0023392+0.0015339i,0.00021064+0.002404i,0.0030893+0.0017195i,0.0035472+0.00037432i,0.0023392-0.00096887i,0.00059231-0.0013256i,-0.00012021-0.00089984i,-0.00027827-0.00076939i,-0.0014447-0.00047281i,-0.0018449+0.00023955i,-0.0009225+0.00063666i,-0.00056179+0.00070152i,-0.00025406+0.00076239i,-9.848e-05+0.00033546i,-0.00020912+7.743e-05i,-0.00024208-0.00023373i,5.2602e-05+8.8771e-05i,-0.00028503-6.0879e-05i,-0.0007816-0.00060072i,-5.9791e-05+0.00010676i,-0.00021456+0.00083356i,-0.00014383+0.00059791i,9.017e-05-0.00016131i
-0.00032632-0.00083701i,-0.00059942-0.0011278i,0.00039131-0.00085951i,0.0017105-0.00042558i,0.0013086-0.0002225i,0.00037558-0.00013769i,0.00018302-0.00074204i,5.8087e-05-0.00064524i,-0.00024279-0.00031534i,-8.8323e-05-0.00019978i,0.0004057-0.00033653i,0.00042628-0.00080208i,0.0001355-2.4388e-06i,-0.00031155+0.00082914i,-0.00063799+0.00056717i,-0.00043986+0.00017207i,-8.053e-05+0.00035394i,0.0004124+0.00084432i,0.00047431+0.0008316i,-0.00046138+0.0005624i,-0.00065311-3.3842e-05i,-0.00043706-3.152e-05i,-0.00016102+5.751e-06i
0.0010675-0.00057324i,0.0018209-0.00094986i,0.0026493-0.00088211i,0.0015048-0.00062201i,8.4684e-06-8.2082e-05i,-0.00061473+0.00043529i,-0.00023258+0.00059634i,-0.00012866+0.00067677i,-0.0009348+0.00089966i,-0.00057342+0.00019523i,7.8407e-05-0.00025986i,-2.6288e-05-0.00042388i,-0.00016313-0.00039038i,-4.8735e-05-0.00036703i,-0.00013002+0.0001618i,-0.00032351+0.0009832i,0.00032164+0.00074484i,0.00019693+0.00014598i,-0.00013623+0.0002221i,0.00046226+0.00037828i,0.00019769+0.00025532i,-0.00031779+0.00028147i,2.0095e-05-2.4871e-05i
-0.0014975+4.1831e-05i,-0.0016818+0.001881i,0.00035582+0.0025794i,0.0018145+0.0015488i,0.00089142+0.00038223i,0.00079825+3.2227e-05i,0.0014934-0.00050219i,0.00090394-0.0013883i,0.00030126-0.00093779i,0.0001742+0.00021937i,-0.00038161+0.00016535i,-0.0011419+0.00010971i,-0.0012069-0.00013047i,-0.0010458-0.00080802i,-0.00094756-0.00021202i,-0.00081426+0.0004708i,-0.00012771+0.00019206i,0.00072161-0.00047912i,0.00055918-0.0011052i,-0.00027435-0.00083381i,-0.00083482+0.00023151i,-0.0012659+0.00056281i,-0.0013129+0.00033577i
-0.00040225+0.0012399i,0.00020828+0.00041097i,0.0012336-0.0014945i,0.0019471-0.0025091i,0.0016019-0.0021907i,0.00037404-0.0014067i,-0.00093475-0.0010754i,-0.0010128-0.001316i,-0.00079833-0.0014401i,-0.0010899-0.00098555i,-0.00081334-7.2702e-05i,0.00019846+0.00028116i,-0.0008251+0.00034121i,-0.0024451+0.00047521i,-0.0019282+0.00038988i,-0.00071156+0.00060603i,-0.00013274+0.00022257i,0.00010302-0.00065517i,0.00038321-0.00020595i,0.00042557+0.00024126i,0.00025489-0.00012173i,0.00020748-0.00023064i,0.00014856-3.7544e-05i
0.0013484+0.0011012i,0.001536+0.00016987i,0.0017763-0.0003081i,0.0015027-0.0011252i,0.00026613-0.0020477i,-0.0010324-0.0008331i,-0.00085594+0.00087198i,-2.6693e-05+0.00089974i,0.00024593+0.00063446i,-0.00025054+0.00058613i,-0.00063292+0.0010114i,-0.00038423+0.0015292i,-0.00072921+0.0011653i,-0.0010599+0.00069354i,-0.00092117+0.00034969i,-0.00027279+0.00024932i,0.00096266+0.00034559i,0.00066313-0.00042271i,-0.00033342-0.00068942i,-0.00072348+0.00015586i,-0.00082211+0.00047298i,-0.00071213+0.00045575i,-0.0001516+0.00013711i
0.0023432+0.0021455i,0.0029008+0.00082098i,0.0036012-0.00038615i,0.0035214-0.0012918i,0.0010429-0.0017708i,-0.0014614-0.00070734i,-0.00080404+0.00022244i,0.00029134+6.9956e-05i,-0.00012399-0.00023139i,-0.00034006+6.1129e-05i,-0.00028741+0.00039157i,-0.00025223+0.00014838i,-0.00054344-0.00016979i,-0.00053573+0.00044041i,-0.00088797+0.00076887i,-0.00033251+0.00019057i,0.00011434+4.5037e-05i,-0.00047215+8.013e-05i,-0.00033647+0.0001328i,0.00047558+0.0002849i,0.00032868-0.00024066i,0.00025412-0.00061465i,-6.9419e-06-0.00029255i
0.00051615+0.00071231i,0.001642-0.0004431i,0.0024705-0.0018528i,0.0024526-0.0029173i,0.0011365-0.0029286i,-0.00072724-0.0014507i,-0.0016346-0.00061211i,-0.001028-0.0012253i,0.00033752-0.001627i,0.00075526-0.0019902i,-9.0662e-05-0.0013991i,0.00034432-0.00035601i,0.00098366-0.00036985i,-0.00010884-0.00067927i,-0.00039588-0.00031897i,-3.5821e-05+4.4435e-07i,-0.00030291-0.00048587i,0.00040699-0.00053954i,0.00032348-0.00013039i,-0.00046862+2.7929e-05i,-0.00046157+1.4021e-05i,-0.00073061+5.1919e-05i,-0.00077788+0.00039165i
0.00032547+0.0020072i,0.0012145+0.0013574i,0.00077929-0.00060167i,0.00085969-0.0013072i,0.0006188-0.00053765i,-0.0010336+0.00039982i,-0.0011006+0.00023047i,-0.00050078-0.00033232i,-0.00047114-0.00045572i,0.00020968-0.00040353i,0.00054903-0.00083623i,0.00054885-0.0010109i,-0.00022731-0.0008723i,-0.00065079-0.00024363i,-0.00050198+0.00075566i,-0.00050378+0.00090303i,-0.000128+0.0007589i,-0.00012739+4.1985e-05i,-0.00026936-0.00011873i,8.5796e-05+0.00056035i,0.0007487+0.00089064i,0.00057398+0.0011741i,-0.00015687+0.00059096i
-0.00030215+0.0010186i,0.00051342+0.0018261i,0.0020351+0.0012216i,0.0024571-0.00026531i,0.00082532-0.0015436i,-0.00035558-0.0014164i,-0.00035205-0.00010921i,-0.00014093-0.00040002i,-0.00059856-0.0009771i,-0.001378-0.00039036i,-0.00088529+0.00051643i,-0.00027921-0.00028266i,-0.00050475-0.0010694i,-0.00063781-0.00039828i,-0.00074603+0.00040989i,-0.0011718+0.00059707i,-0.00085574+0.00024517i,0.00014661+8.6519e-05i,0.00040155-0.00024032i,-0.00020337-0.00063281i,-0.00023969+0.00011995i,0.00064002+0.0011351i,0.0012042+0.0010242i
0.00048209-0.0014215i,0.00051593-0.0016127i,0.0010425-0.0024278i,0.0011401-0.0019253i,0.00030872-0.0015988i,-0.00017348-0.0013087i,0.0003785-0.00019587i,0.00021342+0.00055258i,-0.00046193+0.00027237i,-0.00078415+0.00016184i,-0.00071864+0.00091545i,-0.00018959+0.00047173i,0.00038175-0.00097617i,0.00081462-0.0012609i,0.00087023-0.0005227i,0.00048287-0.00020826i,-0.0002034-0.00045705i,-0.00022512-0.00049403i,0.00029849-0.00021616i,0.00055417+0.00080978i,0.00064455+0.0011895i,0.00074471+0.00088195i,0.00022983+0.00048731i
0.00087638+0.00072222i,0.0022341+0.00063245i,0.0038079-0.00071086i,0.0037256-0.0018431i,0.0015359-0.001908i,-0.00052984-0.0001591i,-0.00047532+0.00051004i,1.2353e-05-1.011e-06i,0.00028879-0.00057835i,0.00025126-0.00078718i,-0.00077945-6.6179e-05i,-0.001503+0.00050899i,-0.0012712+0.0003259i,-0.00083104+0.0005033i,-0.00079142+0.00020897i,-0.00093097-0.00011437i,-0.00018848-0.0010712i,9.6579e-05-0.0013375i,-0.00039841+0.00020452i,-0.00053808+0.0010887i,-0.00018944+0.0013082i,-2.5506e-05+0.00046644i,4.1308e-05+0.00015932i
0.00089641-0.0007499i,0.00039166-0.0010858i,-0.00070909-0.003203i,-0.0010204-0.0030148i,-0.0011217-0.0013559i,-0.0010396-3.9523e-05i,0.00010734-0.00028471i,0.00067111-0.00072034i,1.0677e-05-0.00088096i,-0.00050823-0.00057236i,-0.00011949+0.00043828i,0.00017962+0.00055523i,7.0752e-05+0.00067707i,0.00015782+0.00073512i,0.00014131+0.00023598i,-0.00051229+0.00017934i,-0.00049916+1.1983e-06i,-0.00043124-0.00018311i,-0.00013986-0.0010789i,-4.3941e-05-0.00091116i,-0.0009278-0.00037938i,-0.00039605-0.00072387i,0.00014608-0.00067229i
0.0021191+0.0014822i,0.0036195+0.00090598i,0.003787-0.0013539i,0.0020289-0.0018165i,-0.00084374-0.0016951i,-0.0015523-0.00070781i,5.4726e-05-0.0002041i,0.00045514-0.00028136i,-7.4764e-06-0.0001105i,5.9283e-05-0.00015895i,0.00086584-6.5278e-05i,0.00063068+0.00023122i,0.00035202+0.00071117i,0.00060615+0.00089532i,-0.0001835+0.00047027i,-7.4426e-05-2.4934e-05i,0.00061897-0.0006238i,0.00042915-0.00031517i,-7.5383e-05+0.0001203i,-0.00010799+0.00053059i,0.00057127+0.0012152i,0.00077239+0.00058145i,-9.2442e-05-0.00065679i
0.002596-0.0014459i,0.0044463-0.0016913i,0.0047502-0.0044922i,0.0021368-0.0054627i,-0.00091341-0.0041371i,-0.001511-0.00091692i,-1.0013e-05+0.00052967i,0.00085396-0.00053271i,0.00084923-0.00080308i,0.00020206-0.00080292i,-0.0002545-0.00015809i,-0.00083739+0.00086017i,-0.00086319+0.00026141i,-0.00031195-0.00023035i,-0.00026622+0.00027653i,-0.00015228+0.00055287i,3.5559e-05+0.0005073i,0.00018496+0.00057061i,-0.00033127+0.00088676i,-0.00072312+0.00067342i,-0.00097985+0.0004057i,-0.00066808+0.00036732i,-0.00019719-0.00054137i
-0.011467+0.0026405i,-0.012722+0.0036122i,-0.0079288+0.011359i,0.00069866+0.010628i,0.0057565+0.0062763i,0.0052206+0.0010202i,0.002029-0.0023584i,0.00046998-0.0009418i,-0.00060042+0.0014402i,-0.00030429+0.0023688i,0.00096712+0.0010914i,0.0010114-0.0006552i,0.0003043-0.001828i,0.00021266-0.0024899i,0.0002729-0.0024323i,-0.00041715-0.00079307i,-0.00063494+0.00071563i,-7.4083e-05+0.00029366i,-0.00099946-0.00049784i,-0.0013088-0.0010599i,-0.000462-0.00092024i,-0.00025341-0.00058833i,-0.00081344-0.00075826i
-0.0034051+0.00027671i,-0.0043044+0.00072924i,-0.0032095+0.0029974i,-0.0011688+0.0027772i,0.00064927+0.0009777i,0.0011973-0.0011809i,0.00061375-0.0022248i,2.0503e-05-0.0016485i,-0.00014114-0.00065957i,0.00013234+0.00029735i,0.00025816+0.00080194i,0.00028342+0.00049322i,-6.2605e-06-0.00047689i,-0.00026009-0.0013883i,-0.0004575-0.0014488i,-0.00056388-0.00033696i,2.3498e-05+0.00063959i,0.00031165+7.2677e-05i,-7.8208e-05-0.0010107i,-0.00037849-0.00045008i,-0.00034007+0.00029372i,-0.00012236+0.00023105i,-0.00085719+9.6919e-05i
1.3673e-05+0.0024675i,0.00076384+0.0017967i,0.0029824+0.0016221i,0.0040505+0.0013881i,0.003085+0.0001236i,0.0007586-0.0015078i,-0.00034764-0.0017744i,0.00025064-0.0014235i,0.00028114-0.0010075i,-6.5755e-05+0.0002385i,0.00037138+0.00067363i,0.00027686+5.3771e-05i,0.00014014-0.00029267i,2.5077e-05-0.00069709i,-0.00080285-0.00049463i,-0.00041715+0.0007445i,7.0428e-05+0.00099983i,-0.00029103-3.2e-05i,-0.0005854-0.0010366i,-0.00020326-0.0010552i,0.00041498-0.00069571i,-0.00025499-0.00014795i,-0.0003823-0.00010478i
-0.0016834-0.00025179i,-0.0023561-0.0010028i,-0.0017218-0.0012352i,-0.00066118-0.00017029i,-0.00034775+0.00085685i,-0.00051826+0.00029361i,-0.00028272-1.0488e-05i,-0.00017556+0.00018202i,0.00026407+0.00026699i,0.00059923+2.2092e-06i,0.00027133+9.1592e-06i,0.00024893+0.00037827i,0.00022128+0.00060036i,0.00032401-0.00039489i,-7.3679e-06-0.0010237i,-0.00049001-0.00066234i,9.8319e-05-0.00042372i,5.9834e-05-0.00077304i,-0.00070448-0.00097661i,-0.00063703-0.0011378i,-0.00060923-0.00080359i,-0.00028229+9.364e-05i,0.0006431-6.0032e-06i
0.0020387+0.00036656i,0.0024377-0.00049348i,0.0019695-0.0012364i,0.00081472-0.001588i,-0.00020692-0.0014736i,-0.00056261-0.0016963i,-0.0012213-0.0014858i,-0.0010504-0.00048796i,-6.9914e-05+0.0001447i,-0.0001666+0.00014782i,-0.0002155-0.0010048i,5.4026e-05-0.0016485i,3.4178e-05-0.0010392i,-0.00017048-0.00035967i,0.00013281+0.0005493i,8.2196e-06+0.00058911i,-0.00027867-0.00033952i,-0.00058392-8.8314e-05i,-0.00059722+0.00081213i,-0.00041201+0.00086166i,-0.00060576+0.00032336i,-5.9973e-05-1.4799e-05i,-0.00022463+3.211e-05i
-0.00062459+0.00018501i,-0.00064357-0.0010826i,0.00043892-0.0016759i,0.00011384-0.0012878i,-0.00049073-0.0016978i,-0.00046209-0.00088331i,-0.00082232+0.00021336i,-0.00081235+0.00020698i,-0.00012016-2.3758e-05i,4.8946e-05-0.00015318i,-0.00032748-0.00014036i,-6.9759e-05-0.00015174i,-5.0026e-05+0.00040541i,3.6128e-05+0.0010044i,0.00032943+0.00083485i,6.9649e-05+0.00028403i,-0.00023141-0.00053403i,-4.8057e-05-0.00082789i,9.1601e-05-0.00026328i,-0.00038517+0.00052177i,-0.00037626+0.0009635i,-0.00033599+0.00096404i,-0.00022721+0.00051066i
-0.0027152+0.0021837i,-0.00154+0.0016796i,0.0010419+0.001925i,0.0029283+0.0012967i,0.0032987-0.00034863i,0.002471-0.0017266i,0.0014684-0.00087424i,-0.0002339+0.00016473i,-0.00087883+0.00058074i,-0.0005929+0.00064445i,-0.00014444+0.00042123i,0.00054063+0.00017393i,0.00022619+0.00053993i,-0.00032919+0.00043432i,-1.0257e-05-3.1337e-05i,0.00044279+0.0007481i,0.00031171+0.0009734i,1.1765e-05+0.00065153i,-0.00014133+0.00042635i,-0.00036644-0.0001829i,-0.00063262-0.00026806i,-0.00088304+0.00017244i,-0.0010855-8.5132e-06i
-0.0022367-0.0019496i,-0.0023063-0.0022391i,-0.0027266-0.0016125i,-0.0016204-0.00082221i,-0.0006675-0.00051018i,-0.0010114+0.00038925i,-0.00092779+0.00053726i,-0.00013798+0.00033954i,-0.00045632+0.00012098i,-0.00037328-0.00015323i,-0.00015602+0.00024292i,-0.00069822+0.00025243i,-0.00022904+0.0005163i,-0.00038348+0.0014384i,-0.00086456+0.0011987i,-0.00084372+0.00056125i,1.8227e-05+2.0764e-05i,0.00016232-0.0010175i,5.4365e-05-0.00085457i,0.00059255+0.00040575i,0.00014574+0.00017056i,-0.00044022-0.00043572i,-8.0524e-05-0.00032539i
0.00082502-0.00061633i,0.00054617-0.0015408i,0.00081475-0.0021439i,0.0013011-0.00078185i,0.00088253-3.8886e-05i,0.00061456-0.00074947i,-0.00021814-0.00082313i,-0.00084383+0.00026211i,-0.00050723+0.00082498i,7.5275e-05+0.0005678i,0.00063192-4.057e-06i,0.00052717-0.00069797i,0.00013729-0.0012352i,0.00018111-0.0010368i,1.0675e-05-0.00011657i,7.9661e-05+6.5711e-05i,-0.00050542-0.00033112i,-0.001027+7.2102e-05i,-0.00061519+0.00098833i,-0.00038891+0.00099187i,-0.00027044+0.00052965i,-0.00012602+0.00101i,2.6268e-05+0.0013879i
-0.0014913+0.0017643i,-0.0014986+0.0014637i,6.4043e-05+0.0017323i,0.0013845+0.0021523i,0.001492+0.00097351i,0.00068235-8.8763e-05i,-0.00052459+1.9506e-05i,-0.00037908-0.00012788i,0.001005+0.00032783i,0.0010584+0.00023609i,-7.3749e-05+3.0051e-05i,-0.00032418+0.00040107i,-7.7385e-05+0.00043156i,-0.0002567+8.011e-05i,-0.00030793-0.00016592i,-0.0003275+0.00014074i,0.0002061+0.00066583i,0.00034951+0.00078616i,0.0002437+0.00046346i,0.00032786+0.0004606i,0.00013721-0.00016211i,-0.00033035-0.00080275i,-0.00073876-0.00033832i
-0.0017767+0.00078057i,-0.00092035+0.00035277i,0.0014718+0.00038471i,0.0034385+0.00022917i,0.0025242-0.00080681i,0.00091637-0.001466i,-0.00044352-0.00072442i,-0.00078874-0.00056787i,-0.00017092-0.00098012i,-0.00044893-8.2043e-05i,-0.00040809+0.00093758i,-0.00043951+0.0007414i,0.0002341-0.00013114i,0.00074894-0.00077252i,0.00018228-0.001166i,-0.00071772-0.00090685i,-0.00057964-0.00026105i,0.00011243-7.3906e-05i,-0.00069517+0.00011748i,-0.0018268+0.00080933i,-0.0017977+0.00029056i,-0.0004589-6.8215e-05i,0.00055175+8.0286e-05i
-0.00061309-0.001456i,-0.002128-0.0015631i,-0.0020332-0.002201i,-0.0015239-0.0024429i,-0.0023483-0.0015244i,-0.0020487+0.00044768i,-0.0012631+0.00098302i,-0.0012837+6.3111e-05i,-0.0013229-0.00080962i,-0.001571-0.00050188i,-0.00095839+6.9703e-05i,-0.00051558-0.00026616i,-2.1576e-05-0.0010446i,0.00050125-0.0013398i,-4.5936e-06-0.00078002i,-0.00097801-0.00028257i,-0.0010108+3.3471e-05i,3.223e-06-0.00026504i,-0.00020839-0.00063689i,-0.00072375-0.00048871i,-0.00073757-0.00076178i,-4.8778e-05-0.00072673i,0.00023058+0.00015864i
-0.00088561-0.00043841i,-4.7232e-05-0.00064826i,0.00063898+0.00016542i,0.00060759+0.00021824i,-5.7342e-06-0.00052866i,-0.00034559-0.00051814i,-0.00011261+0.00012658i,0.00015553-2.0067e-05i,4.1803e-05-8.715e-05i,-0.0007412+2.9997e-05i,-0.0010615-0.00011856i,-0.00068449-4.0517e-05i,-0.00011102-0.0002133i,0.00027129-0.00025802i,0.00026622+0.00043106i,0.00049042+0.00050189i,0.00041066-0.00057528i,-0.00017728-0.0010345i,-0.00051756-0.00041313i,-0.00069963+0.00025511i,-0.0010276-7.6097e-05i,-0.00047688-0.0002641i,0.00040051+0.00017377i
-0.00081051-0.00038069i,-0.00088535+0.00028219i,-0.00020305-0.00015154i,0.00027094-0.00041262i,0.00042353-0.00085809i,0.00062029-0.00040816i,0.0007239-0.00024879i,0.00047611-0.00053005i,-0.00056587-7.4947e-05i,-0.001491-0.00048258i,-0.00089139-0.0014321i,-0.00034487-0.0018485i,-0.00012211-0.0008762i,-4.0553e-05+3.2977e-06i,-9.6716e-05+0.00019087i,-0.00056886+0.0007651i,-0.00045754+0.00019501i,0.00035745-0.00079928i,0.00068918-0.00033288i,0.00044172+0.0010109i,0.00017973+0.0014178i,-2.8608e-05+0.00067812i,2.6797e-05-2.2803e-05i
-0.00083965+0.0013645i,0.00011365-0.00024784i,0.001687-0.0013933i,0.0017412-0.0020804i,6.187e-05-0.0011143i,-0.00084627+0.0010886i,8.0007e-05+0.0011554i,0.0012392+2.5629e-05i,0.00073376-0.00058373i,-0.00073007-0.0010139i,-0.0011851-0.00086119i,-0.00069031-0.0004189i,-0.00038205-4.0745e-05i,-0.0002787+0.00018164i,-0.00057124-0.00028979i,-0.00028687-0.00068455i,-0.00031963-0.00016454i,-0.00095928+4.5766e-05i,-0.00064368-0.00040161i,0.00027893-0.00054563i,0.00067004-0.00050375i,0.00037463-0.0005685i,-9.5607e-05+0.00022671i
-0.0022609+0.0012479i,-0.0018403+0.0022074i,0.00025199+0.0028839i,0.0017063+0.0017457i,0.0010591+0.00046431i,0.00019174+0.00029136i,0.00058695+0.00044588i,0.00016012+0.0003947i,-0.00050027+8.823e-05i,-0.0004255+0.00012886i,0.00026441-0.00010906i,0.00025585+6.3904e-05i,-0.00025014+0.00036671i,0.00013264-0.00024613i,0.00038336-0.00091987i,0.00022361-0.00069487i,0.00018795-0.00013164i,-0.00061356+0.00020053i,-0.00086206+0.00027415i,-0.00060382-0.00017751i,-9.9785e-05-0.00017212i,0.00013482+0.00054367i,-0.00063752+0.00052223i
-0.0023862-0.0011899i,-0.0015167-0.0013684i,-0.00041804-0.00083017i,0.00044841-0.00033107i,-1.0219e-05+0.00030292i,0.00022728+0.00050515i,0.0008088+0.00042916i,0.00061951+0.0001918i,0.00017375+0.00049972i,0.00011007+0.0007632i,-0.00066953+0.00081573i,-0.00068657+0.00030524i,0.00034878+9.6825e-05i,0.00047556+0.00018365i,-0.00017914-1.9303e-05i,-0.00017233+0.00031688i,0.00029059-0.00018288i,0.0003327-0.00054678i,0.00044447-0.00029108i,0.00022362-0.00047983i,0.00036947-0.00038598i,-0.00012672-0.00020945i,-0.0008489-0.0010412i
-0.0011892-0.0028572i,-0.00067033-0.0021566i,-0.00038494-0.00056144i,0.00011448-1.2372e-06i,-0.00047152+0.00012662i,-0.00070459+0.00046429i,0.00026839+0.00050014i,0.00029046+0.00013242i,-6.1448e-05-0.00026199i,-0.00028896+0.00044097i,-0.00025907+0.00097298i,9.0175e-05+0.00027292i,0.00043529-0.00078084i,0.00092042-0.0015778i,0.00060681-0.00091176i,0.00032089+0.00056445i,-0.00014414+0.0017439i,-0.00079002+0.00099958i,-0.00060827+0.00011519i,-0.00034345-0.00012209i,-0.00055169-0.00038273i,-0.0003216-0.00040605i,-0.00052664-0.00046298i
0.00016899-0.00068626i,0.00054876-0.00031216i,0.00016014-0.0010544i,-0.00035319-0.001171i,-2.0935e-05-0.00062801i,-0.00031488-0.00038906i,-0.00084065-0.00060948i,-0.0001661-0.00054745i,0.00019703+6.3072e-06i,-7.5517e-05+0.00045095i,-0.0008701+0.00058578i,-0.00029862-0.00017108i,0.00054298-0.0012716i,0.00014667-0.00050045i,-0.0002849+0.00044482i,-0.00069161+0.00045017i,-2.048e-05+0.00046755i,0.00062831+0.0001141i,4.5029e-05-2.3606e-06i,-0.00028878+7.7772e-05i,-0.00076539+0.00028061i,-0.00071909+5.9425e-05i,-0.00052807+8.7298e-05i
-0.001888-0.00020992i,-0.00091493-0.0004268i,-0.0008797+0.00093034i,-0.00028783+0.0011705i,0.00053749+0.0005861i,-0.00054968-0.0004374i,-0.001204-0.00024474i,-0.00053495+0.00011993i,-0.00056025-0.00025362i,-0.001415-0.00046361i,-0.0014267-3.702e-05i,-0.00070572+0.00033237i,0.00045594-8.1797e-05i,0.0008326-0.00030252i,0.00026386+0.00044204i,0.00035421+0.0010756i,0.00038341+0.00059128i,-3.2673e-05+0.0001508i,0.00031337+0.00044346i,0.00055749+0.00079228i,0.00099983+0.0002149i,0.00073049+0.00027687i,-7.1508e-05+0.00073209i
-0.0011966-0.00085548i,-0.0014953-0.0014678i,-0.00034966-0.0016616i,0.00024871-0.001308i,0.00025356-0.00092713i,-0.00018118-0.00017363i,8.372e-05+0.00045434i,1.9194e-05-0.00033176i,-0.00049437-0.00052538i,-0.00031322+0.00067111i,-2.4294e-05+0.00085195i,0.00051115+0.0006264i,0.0011073+0.00099058i,0.0006245+0.00077279i,0.00012038-0.00049462i,-6.8217e-05-0.0011918i,9.1247e-05-0.00099471i,0.00014107-0.00079408i,8.6588e-05-0.00071621i,0.00023844-0.00063686i,0.00040068-0.00030626i,-6.6063e-05+0.00010786i,-9.1652e-05+0.0002754i
-4.6707e-05+0.00048057i,-0.00035154+0.001232i,-0.00046076+0.0016537i,-0.00011221+0.0010651i,-7.9053e-05+0.0010148i,-0.00071268+0.00071839i,-0.00059636-0.00019331i,-0.00025922-0.00045667i,-0.00057462-0.00077526i,-6.3384e-05-0.00077751i,0.00068902-4.4352e-05i,0.00075833+0.00042521i,0.0011653+0.00072668i,0.0011129+0.00017194i,0.00054535-0.00066541i,-0.0003102-0.00085346i,-0.00056378-0.00057901i,7.9132e-06-0.00045975i,-0.00014341-0.00010366i,-5.8307e-05+0.00030466i,-0.00074846+0.00078299i,-0.0018369+0.00014308i,-0.0016335-0.00048935i
