5.4704e-05+0.0018925i,-0.00064933+0.0019398i,-0.0017921+0.0017898i,-0.0011811+0.00087066i,0.0005217+0.00026142i,0.00044984+0.00024028i,7.2988e-05+0.0016737i,0.00035339+0.0022334i,0.00081249+0.0025449i,0.0012456+0.0018211i,0.0012709+3.0184e-05i,0.0012836-0.00039124i,8.3498e-06-0.00020454i,-0.0014424+8.3243e-05i,-0.0012462-0.00016616i,1.2898e-06-0.00018417i,0.00050324-0.00050476i,0.00014859-0.00085166i,7.642e-05-0.00023878i,-0.00019196-1.7765e-05i,0.00011057-7.0929e-05i,0.00072527-0.00015851i,5.549e-05-0.0002577i
4.0903e-06-0.00034358i,-0.00034389+0.00011616i,-0.00058378-0.00046096i,-0.00047486-0.00086152i,0.00022441-0.00062583i,0.00078702-0.00020768i,0.00060633-0.0002306i,-3.3813e-05-0.00081116i,-0.00011261-0.0019072i,-0.00034644-0.0011501i,-0.00092882+7.1308e-05i,-0.00040836+0.00015058i,-0.00017556-0.00052329i,-5.6777e-05-0.00050277i,0.00017301-0.00047551i,-0.0006204-0.0005947i,-0.0004124-0.00060521i,0.00027664-0.00095634i,0.00017796-0.00092631i,0.00031127-0.00045596i,8.3566e-06+0.00017359i,-0.00053834+0.00032555i,-0.00039555+6.2467e-05i
-0.00012759+0.00015867i,-0.0007297+0.00099474i,-0.0014668+0.00024287i,-0.0012339-0.00069652i,-8.4066e-05-0.0014363i,0.00075937-0.0020298i,0.0002103-0.001659i,-0.0007896-0.00052308i,-0.00099892+5.4013e-05i,-0.00073265+0.00041128i,-0.000577+0.00046336i,-0.00077193+0.0004876i,-0.000778+0.0013171i,-0.00043005+0.00073604i,-0.00052403-0.0013279i,-0.00075982-0.0009497i,0.00016143+0.00024908i,0.00045281+0.00024619i,-0.0001126-0.00039284i,-0.00053877-0.00098373i,-0.00070883-3.481e-05i,-0.00088775+0.00069172i,-0.00040279+0.00019408i
0.00083112+0.0010149i,0.0013171+0.00045118i,0.0022737-0.00035006i,0.0016861-0.00074118i,0.001107-0.0010075i,0.00064203-0.0010611i,0.0004925-0.00066971i,0.00049912-0.0003736i,0.00028039+0.00031312i,-0.00042129+0.00073725i,-0.00042046+0.00072538i,-8.3494e-05+0.00056331i,-0.00025719+0.00022207i,-0.00033483+0.00014212i,-0.00037848-7.4812e-05i,-0.00034562-0.00045828i,-0.00071124-0.00062781i,-7.8935e-05-0.00031055i,0.00026541+0.00024042i,-0.00043708+0.00077464i,-0.00045892+7.7804e-05i,-0.00040346-0.00054226i,-0.0002659-5.4138e-05i
4.7445e-05-0.0010314i,-0.0014954-0.00066817i,-0.00067429-0.0016594i,0.0011046-0.0029914i,0.00085274-0.0026606i,0.00083572-0.0018003i,0.00084267-0.0015507i,0.00063665-0.0014146i,0.0010295-0.0015001i,0.00017313-0.0012499i,-0.00073069-0.00046653i,-0.000622-4.639e-05i,-4.2931e-05+8.6222e-05i,2.1566e-05+0.00066642i,5.4919e-05+0.0010843i,-0.00020612+0.00066605i,0.000312+0.0001275i,0.00078724-4.7337e-05i,-0.00017534-0.00017552i,-0.00068413-0.00032137i,-0.000764-0.00061618i,-0.00042021-0.00042881i,0.00058097+7.338e-05i
0.0016104+0.0017638i,0.0034818+0.0017649i,0.0028684+0.00017205i,0.0015407-0.00094767i,0.0015519-0.0012156i,0.0015078-0.0011842i,0.00066789-0.00082083i,0.00017263+0.00010511i,0.00041828+0.00058581i,0.00086654+0.00028277i,0.00065011-0.00016194i,0.00049159-0.00019522i,0.00016446+0.00059143i,-0.00033713+0.001074i,-0.00020195+0.00079197i,-0.00039376+9.7476e-05i,-0.00058178-0.0003138i,-0.00035554+2.9081e-05i,0.000375+0.0004112i,0.00077101+0.0001248i,5.1152e-05-0.0002087i,-2.6807e-06+0.00016958i,0.00061199+0.00057862i
0.0017755-0.001075i,0.0014491-0.001496i,0.00070896-0.0020611i,-0.000701-0.0017662i,-0.00078553-0.0016512i,0.00022823-0.0018208i,-4.1381e-06-0.00078551i,-0.00025209+0.00087587i,-0.00022118+0.0009677i,-0.0006434-0.00084005i,-2.7615e-05-0.0015116i,0.00031156-0.00070027i,0.00036072+0.00012812i,0.00027041+0.00047066i,0.00055449+0.00024264i,0.0011609+0.00049124i,0.00023937+0.00047031i,-0.00047166+0.00022757i,-4.9629e-05+0.00032816i,-8.4353e-05+0.00055998i,-0.00049667+0.00016972i,0.00034986-0.00024467i,0.0014875+9.5348e-05i
0.00090445+0.00053482i,0.0016394+0.0011831i,0.0020438+0.0013035i,0.0020847+0.0010856i,0.0012904-0.00021491i,0.00037902-0.0013402i,-6.3334e-05-0.0014194i,0.00068209-0.0011149i,0.0014785-0.00080038i,0.00045821-0.00010186i,-0.00090206+8.3331e-05i,-0.00054033+0.00039143i,-0.00040397+0.00014285i,-0.00019813-0.00036412i,0.00029651-5.0688e-05i,0.00026663-0.0005255i,0.00035865-0.0012015i,0.00030401-0.00081919i,-0.00019321-0.0001622i,-0.00044316+0.00022897i,-0.00017674+6.2688e-05i,-0.00014174-0.00028748i,2.4017e-06+0.00022044i
0.00010482+0.00043411i,-0.0001811-0.0015242i,0.00032186-0.0025304i,0.00050341-0.0032193i,4.8386e-05-0.0034556i,0.00018156-0.0028107i,0.00044372-0.0019099i,0.0002946-0.00049282i,6.3129e-05+0.0001316i,0.00017927-1.4778e-05i,0.00032307-0.00037479i,-0.00026477-0.00033008i,-0.00062835+0.00071742i,-0.00070557+0.0010013i,-0.00093294+0.00089058i,-0.00012641+0.00096762i,0.00058453-0.00037403i,0.00083592-0.0012102i,0.0008511-0.0003615i,0.00042922+5.3544e-05i,0.0005284-1.9262e-05i,0.00058129+3.2342e-05i,0.00028399-0.00024944i
0.00045745-0.00014739i,0.0029819+0.0011291i,0.002652+0.0017486i,0.0012304+0.00015779i,0.00067919-0.0010383i,-0.00019043-0.0024092i,-0.00088744-0.001838i,-0.00025064-1.1673e-05i,0.00048114+0.001401i,0.00018998+0.0018238i,-0.0003128+0.0014644i,-0.00057078+0.00023073i,-0.00074172-0.00073808i,-0.00088488-0.00079026i,-0.00024404-0.0011179i,-2.4457e-05-0.0010993i,0.00017459-0.00023343i,-0.00029188+0.00025755i,-0.0014554-5.7743e-05i,-0.00096061-0.00029611i,-0.00056192-0.00068578i,-0.00061569-0.0012221i,-0.00080013-0.00066008i
-0.00089661-0.0018392i,-0.0013723-0.0023595i,-0.00059758-0.0022298i,-6.5933e-05-0.00138i,0.00079882-0.0010089i,0.0016459-0.0012333i,0.0014779-0.00084599i,0.0012638-0.00018854i,0.00060013+0.00043835i,-0.00035351+4.1995e-05i,-0.00061685-0.00031567i,9.3989e-05+0.00018387i,0.00074337+0.00015953i,0.00084169+0.00056357i,0.00010555+0.00076426i,1.5899e-06+0.00028377i,0.00018818-0.0001269i,-0.00016664-0.00089078i,-0.00044951-0.00091127i,-0.00037591-9.3218e-05i,-0.00019705+0.00012985i,-0.00042114+0.00058473i,0.00010268+0.0010931i
