0.0041217-0.00090234i,0.0048168-0.0021393i,0.003956-0.0050097i,0.00019394-0.0054317i,-0.0037424-0.0039014i,-0.0048198+0.00013079i,-0.002506+0.0030414i,-0.00046187+0.0022767i,0.0002505+0.00031121i,0.0003877-0.0015488i,0.00020464-0.0019278i,-0.00016824-0.00046997i,-0.0011295+0.0010864i,-0.0011553+0.0013394i,-0.0003606+0.00099514i,-0.0002583+0.00031712i,-0.00035871-0.00045897i,0.00012089-0.00031406i,-8.1162e-07-3.7126e-05i,-0.00055011-0.00040786i,-0.00057973-0.00072399i,-0.00044488+0.00044288i,-9.4398e-05+0.001151i
0.0016144+0.00097224i,0.00076004+0.00066487i,0.00056232+0.00019542i,0.0006936-0.0007198i,5.7308e-05-0.00089938i,-0.0013211-0.00022572i,-0.0015257-0.0002277i,-0.00031598-0.00010287i,-0.00019707+0.00041226i,-0.00084572+4.8407e-05i,-0.00073976-0.00017434i,-0.00029595-3.9215e-05i,0.00048654-5.5196e-05i,0.00026056+0.0002027i,-0.00072+0.0001688i,-0.00055713+0.00017488i,-0.0003972+5.0903e-05i,-0.0005408-0.00075203i,-0.00097831-0.00075924i,-0.00087765+0.00011143i,-0.00051742+0.00045612i,-0.00039895+0.00013241i,0.00023411-7.7949e-05i
-0.00010965-0.0029127i,-0.00057537-0.0032438i,-0.0014834-0.0020897i,-0.0020029-4.2232e-05i,-0.0014079+0.002017i,-0.00051646+0.0027634i,-0.0013756+0.0013762i,-0.0019448+0.00079865i,-0.0023069+0.00096748i,-0.0017991+0.001208i,-0.0007013+0.0015123i,0.00024902+0.0013149i,0.00016213+0.00040593i,-0.0001896-0.0001932i,0.00063398-0.00016538i,0.00080215-0.0002021i,0.00041361+0.00051387i,7.4389e-05+0.0010864i,0.00049837+0.00064595i,0.0011984+2.8393e-05i,0.00055136-0.0004646i,0.00090834-0.00072316i,0.0014026-0.00090515i
-0.00038512-0.0010202i,-0.00090748-0.00089978i,-0.0015765-0.0010097i,-0.001761+0.0002838i,-0.0011572+0.0013466i,-0.00096457+0.0014019i,-0.0012874+0.00090344i,-0.00075427+0.0011456i,-0.00053754+0.0020394i,-0.00033218+0.0015334i,0.00012806+0.0010498i,0.00093438+0.0011164i,0.0010713+0.00080171i,0.00057414+9.8546e-05i,0.00043387-0.00022149i,0.00074712-0.00048234i,0.00035957+0.00043147i,-0.00035429+0.00085652i,-0.0004508+0.00034347i,-0.00012159+0.00015449i,0.00031324+0.00023209i,0.00036938+0.00018227i,-0.00018441+0.00046385i
0.0011805-0.00094579i,0.0018922-0.00068907i,0.0010348-0.00076985i,-0.00081961-0.00070015i,-0.002243+0.00029487i,-0.0022873+0.0016529i,-0.00149+0.0013676i,-0.001495+0.00086177i,-0.0012294+0.00053214i,-0.00065668+0.00025453i,-0.00023755+0.001103i,-0.0002426+0.001869i,-6.9314e-05+0.0010665i,0.00041735+0.00018291i,0.00042338-5.8394e-05i,0.00081756-0.00024039i,0.00087877+0.00031794i,0.00085157+0.00046937i,0.0011385-0.00013557i,0.00082295-0.00016304i,-0.00029401-0.00025903i,-0.00037182-4.8548e-05i,-0.00013536+0.00030684i
-0.0011686+0.00070602i,-0.0015203+0.0005052i,0.00017466-2.1133e-05i,0.00077319-0.00083689i,0.00049519-0.00032267i,-0.00046047+0.00077498i,-0.00084638+0.0011064i,-0.0011596+0.0010058i,-0.0011279+0.00024096i,-6.4461e-05-0.0002577i,0.00033392-0.00034361i,0.00013243-0.00072839i,-0.00073925-0.0008166i,-0.0011096-0.00015287i,-0.00069816+0.0011859i,-0.00032014+0.0015001i,-0.00024024+0.00060986i,-0.00064121-0.00027633i,-0.00091867-0.00010475i,-0.00054298+0.0006375i,0.00013713+0.00058028i,0.00055592+0.00048848i,0.00053362+0.00029361i
0.0016033-0.00024513i,0.0016513-0.0010695i,0.0002597-0.00184i,-0.00056841-0.00065876i,-0.00053295+0.001253i,-0.00049689+0.0019491i,0.00015252+0.0014587i,0.00018798+0.00025384i,6.1927e-05-0.00099765i,0.00054311-0.00088536i,0.00038616-0.00096294i,0.00053937-0.00092722i,0.00055645-0.00059848i,-0.00046406-0.000718i,-0.00094082-0.00094848i,-0.00039263-0.00084483i,0.00046729-0.0011259i,0.00053825-0.00064498i,0.00012895+0.00017894i,-0.00032268+8.4954e-06i,-0.00025688-3.0353e-05i,0.00011373+0.00016226i,4.8688e-05+0.00057015i
-0.00064737-0.0015849i,-0.00014941-0.0011861i,-0.00030164-0.00055518i,-0.00085255+0.00034917i,-0.0013091+0.0014901i,-0.0013002+0.0018346i,-0.0015306+0.0013764i,-0.0011951+0.00051525i,-0.00082035-0.00022919i,-0.00088353+0.00067947i,-0.00098926+0.0013415i,-0.00075006+0.0011895i,0.00026713+3.6104e-05i,0.0010838-0.00072725i,0.00099036+0.00022671i,0.00052833+0.00071911i,-0.00039582+0.00030306i,-0.00090423+0.00031486i,-0.00025929+0.00063686i,-0.00011408+0.0010616i,-0.00046891+0.00075954i,-0.00058553-1.5583e-05i,0.00011143-1.8666e-05i
0.0032673-0.0028432i,0.0022318-0.0026659i,-0.00085025-0.0034899i,-0.0021546-0.0020745i,-0.0027651+0.00039471i,-0.0028503+0.0018281i,-0.0018846+0.0018105i,-0.0014091+0.00072767i,-0.0016511-0.00022112i,-0.0016988+4.0396e-05i,-0.0015731+0.00075363i,-0.0013548+0.0012217i,-0.0009857+0.0013024i,0.00036669+0.00070397i,0.00055217+0.0010315i,0.00018501+0.00080507i,0.00073945-0.00026625i,0.00076072-0.00098617i,8.0499e-05-0.00083618i,0.00015894-0.00017326i,0.0001418+0.00019493i,0.00034394+0.00086255i,0.00059087+0.0010236i
0.0023057-0.0019938i,0.0012341-0.00050352i,-2.7541e-05-4.2392e-06i,-0.0011416-7.8251e-06i,-0.0019208+0.00070013i,-0.0017841+0.0012928i,-0.001287+0.0011204i,-0.00065001+0.00013137i,0.00038326-0.00012118i,-1.2888e-05+0.0006011i,-0.00051148+0.00055967i,9.391e-05+0.00055202i,0.0003581+0.0009163i,-0.00015189+0.0010285i,-0.0004332+0.00080581i,-0.00082666+0.00049443i,-0.00058229+0.00089606i,0.0002451+0.0012092i,0.00037773+0.0005827i,-0.00016575+0.00052785i,0.00036247+0.00082188i,0.001007+0.00048928i,0.00027525-3.3126e-05i
-0.0012642+0.0029784i,-0.00064887+0.0023455i,0.00064009+0.0019735i,0.0016147+0.00030136i,0.0014542-0.0010046i,-0.00022848-0.0013713i,-0.001454-0.00058506i,-0.00057293+0.00076843i,0.00054419+0.0010969i,0.0008534+0.00037359i,0.0014824-0.00062628i,0.0014226-0.00092251i,0.00057008-0.00073383i,0.00016932-0.0002194i,-0.00046434+0.00075094i,-0.00036979+0.0015431i,0.0003046+0.0016644i,0.0005842+0.001438i,-0.00015097+0.00022843i,-0.0011954-0.0003595i,-0.00086998+0.00018791i,-0.00023916+0.00034073i,-8.6929e-06+0.00035265i
-0.00038666+0.00023598i,0.00015897+0.00093885i,-0.0010894+0.0018661i,-0.0019801+0.0021604i,-0.0025041+0.0022556i,-0.0024117+0.0019719i,-0.0016581+0.0020964i,-0.00068359+0.0012673i,-0.00019777+0.0001929i,0.0003283+0.00040563i,0.00065841+0.0006684i,0.0004984+0.00056016i,0.00010355+0.00045704i,-0.00023867+0.00067021i,0.00043347+0.00061635i,0.00078622+0.00014521i,3.9486e-05-0.00039489i,-0.00015838-0.00044909i,-0.00029061-0.00043845i,-0.00012279-0.00073656i,0.00018457-0.00028398i,0.00017641+0.00048209i,0.00062874+0.00043629i
-0.00029039+0.0017125i,0.0003694+0.00077599i,0.0011547+0.0012778i,0.0011706+0.0019097i,0.00052976+0.0017364i,-2.6357e-06+0.0020831i,-0.00028813+0.0013613i,0.0001656+0.00036873i,2.3179e-05+0.00061147i,-0.00091144+0.00072178i,-0.00065081+0.00063044i,0.00014484+0.00060671i,0.00068632+0.00043454i,0.0011436+0.00053753i,0.0010268+0.00049236i,0.00088112-0.00012017i,0.0009525-0.0010784i,0.00065922-0.0009682i,0.00020594-0.00020452i,-0.00019074-0.00032522i,5.369e-06-0.00051972i,-0.00021477-0.0002072i,-0.0005968+0.00030158i
0.0012265+0.00037776i,0.00080941+0.00066075i,-0.00067135+0.00063422i,-0.00065223+0.00071718i,-0.00067879+0.001017i,-0.0005983+0.00044097i,-0.00046251+0.00077552i,-0.00084478+0.00080753i,-0.0005822+0.00034455i,-0.00040588+0.00028455i,1.1585e-05+0.00063151i,0.00013505+0.00078943i,-0.00058775+0.00021765i,-0.0011745-0.00062305i,-0.0006226-0.00044462i,7.5234e-05+0.00027443i,0.00026349+0.00071087i,0.00072765+0.0008954i,0.0007063+0.00034241i,-0.00023797-0.00074729i,-0.00036677-0.00061118i,-0.00015144+3.7338e-06i,-0.0008116+6.9222e-05i
0.0018807-0.00054511i,0.0018734-0.00085862i,0.0013135-0.0017844i,1.1066e-05-0.0012814i,-0.0014115+0.00053114i,-0.0016194+0.00074607i,-0.00094172+0.00070625i,-0.00058551-0.00027142i,-0.00024719-0.00095506i,-0.00064973+1.0934e-05i,-0.00068997+0.00061363i,3.288e-05+0.00038184i,2.7657e-05+0.00013386i,-0.00026263+0.0002651i,-1.4425e-05+0.00030695i,0.00063926+0.00035944i,0.00080315-8.9976e-05i,-0.0002564-0.00038418i,-0.00081734+2.6283e-06i,-0.00042865+0.00038705i,4.3369e-05+6.6661e-06i,0.00016236-0.00025051i,-0.00029716-0.00042853i
0.00025259+1.9072e-05i,0.00102-0.0016066i,0.0012791-0.0012932i,0.00088436-0.00082426i,-6.2169e-05-0.00062178i,-0.00068175-0.00056795i,-0.00094619+0.00033607i,-0.00045731+0.00067579i,2.3997e-05-4.4983e-05i,0.00062201-0.00036666i,0.0013661-0.00027038i,0.00082377-0.00037463i,-0.00028303+7.8003e-05i,-0.00059107+9.0324e-05i,0.0002534-0.000191i,-0.0004104+3.3395e-05i,-0.0012388+5.1451e-05i,-0.00047922+0.00032129i,0.00012737+0.00048478i,0.00047365+0.00018863i,0.00066102+0.00023004i,0.00013425+0.00026373i,-0.00013498-3.8542e-05i
-5.0413e-05+0.0021913i,-0.00064002+0.0014166i,-0.0012262+0.0010899i,-0.00025516+0.0016841i,-0.00037388+0.0037005i,-0.0010762+0.0037328i,-0.00094831+0.0018738i,-0.0002981+0.00028091i,-0.00039994+0.00044357i,-0.00072223+0.00073253i,0.0002743+0.00012408i,0.00081305-0.00012287i,0.00069167-0.00062128i,0.0011142-8.2146e-05i,0.0011231+0.00032321i,0.00041053-6.8687e-05i,-0.00046976-0.00074316i,-0.00012941-0.0012504i,0.00055579+6.329e-05i,0.00017529+0.00092187i,0.00019555-2.8111e-06i,4.9855e-05-0.00031462i,0.00027723-0.00030513i
0.0013478-0.0007084i,-0.00033624-0.00034695i,-0.00096078-0.00075994i,-0.00044255-0.00075175i,-0.0012084-0.00063195i,-0.0018508+0.00085222i,-0.0015103+0.0013005i,-0.0015432+0.00077508i,-0.0022577+0.00035035i,-0.0019497+0.00012266i,-0.00075403+0.0006927i,-0.0004709+0.00025563i,-0.00017799-5.292e-05i,-0.00025984-0.00012136i,-0.00038755+0.00017812i,-2.945e-05+4.3505e-05i,-9.0931e-05-0.0007063i,-0.00047807-0.00063702i,-0.00037083-0.00035451i,-2.6418e-05-7.2767e-05i,-0.00028224+0.00027506i,-0.00043885+5.0702e-05i,0.00022555+0.00024597i
-0.0013772+0.001324i,-0.0017625+0.001438i,-0.0002941+0.0015272i,0.00030144+0.0018257i,-0.000543+0.0011631i,-0.00064752+0.00025654i,-9.313e-05-9.9944e-05i,-0.000125+0.00047522i,-0.00040101+0.00050974i,-0.00012692+0.00054588i,0.00048644+0.00076545i,0.00056286+0.00061626i,-0.00043009+0.00058668i,-0.00052101+0.00086039i,-8.3809e-05+0.00072288i,-1.9134e-05+0.00053229i,5.4291e-05-0.0001475i,-0.00012196-0.00058556i,0.000412-2.0941e-05i,0.00086492+0.00075874i,0.00025337+0.00090354i,-4.7181e-05+0.0001167i,-6.0707e-05-8.548e-05i
-0.000127+8.6048e-05i,-0.00018148+0.00026026i,7.6984e-05+0.00064438i,-0.00026355+0.0016374i,-0.00075914+0.0019835i,-0.00055646+0.0016031i,-0.00094956+0.0014333i,-0.00043769+0.0010912i,0.00057359+0.00040734i,0.00012337+0.00040798i,-0.00030047+0.00078892i,-0.00023898+0.00030789i,-0.00013768+4.7289e-05i,-3.1671e-05+0.00018193i,0.00019124+0.00026736i,-8.9512e-05-9.3016e-05i,2.1991e-05-0.00054814i,8.0173e-05-0.00087122i,-9.5081e-06-0.0005182i,0.00017174+1.1543e-05i,0.00025019-0.00021784i,0.00064197-0.00064064i,0.00066848-0.00034485i
0.000881-0.00079835i,0.0011753-0.00064737i,0.001086-0.0016071i,-0.00031066-0.0011945i,-0.0015063-0.00019116i,-0.0019935+0.0010784i,-0.0016092+0.00094494i,-0.0010124+0.00032381i,-0.00061059+0.00036954i,-1.7688e-05-0.00018185i,0.00046466+1.8237e-05i,0.00072933+0.00073086i,0.00075702+0.00095752i,0.00018998+0.0015772i,-1.1526e-05+0.0008115i,-0.00034358-0.00017291i,-0.00084354+0.00012007i,-0.00052451+0.00056002i,-0.00063764+0.00085779i,-0.00094181+0.00059541i,-0.00021092+0.00018919i,-0.00015285+8.1085e-05i,0.00047271-0.00013057i
5.9796e-05+0.00045349i,0.00034006+0.00075699i,-0.00097492+0.00034963i,-0.00031122+0.00014446i,0.00012649+0.00067474i,-0.00093578+0.00075032i,-0.0013141+0.00065368i,-0.0010302+9.2961e-05i,-0.00081737-0.00022026i,-0.00059133+6.5923e-05i,-0.00033743+0.00048494i,5.4608e-05+0.00073417i,0.00043119+0.000422i,-0.00031875-0.00039665i,-0.00098494-2.5408e-05i,-0.001559+0.00057664i,-0.0011261+0.00014957i,0.0002591-0.0004643i,0.0002421-0.00011831i,-1.2456e-05+0.00054936i,-0.00020934+0.00031197i,-0.00022227-0.00030523i,-5.295e-05+3.2719e-05i
0.0011895-0.00028999i,0.00050617-0.0013604i,-0.00045432-0.0011568i,-0.00057193+0.00028659i,-0.0010237+0.00068276i,-0.0015475+0.00089665i,-0.0019452+0.0010134i,-0.0012183+0.00071549i,-0.00036022+0.00018158i,-0.00042492+9.6981e-05i,-0.00019858+0.00036874i,-0.00012976+5.4593e-05i,-3.6056e-05-0.00041016i,0.00041728+0.00041371i,0.00065844+0.0011313i,-9.1531e-05+0.00016033i,-2.0944e-05-0.00084223i,0.0010087-0.00047195i,0.00074873+0.0002312i,-0.00011615+0.00030423i,-0.0002763+0.00020734i,-0.0002094+5.833e-06i,-0.00016914-0.00011118i
0.0024946-0.0012403i,0.002997-0.00092285i,0.0030621-0.0009777i,0.0011023-0.00012107i,-0.0013043+0.0012211i,-0.0022385+0.0018117i,-0.0017166+0.002439i,-0.0017127+0.0021617i,-0.0018147+0.00067222i,-0.0010794+9.5841e-05i,-0.00074164-0.00013989i,-0.00050252-0.00025555i,0.00029561-1.9726e-06i,0.0002396+0.00017482i,-0.00059408+0.0006293i,-0.0005346+0.00087357i,0.00034372+0.00019524i,0.00070316-2.4889e-05i,1.3329e-05+0.0003234i,-0.00061446+0.00015904i,-0.00041121-0.00048069i,-7.2086e-05-0.00048103i,-0.00046751-0.00034808i
0.0017953-0.00070918i,0.0010478-0.00079632i,0.00056865-0.0019981i,-0.00011548-0.0018517i,-0.0017587-0.00091389i,-0.0017123-0.00060713i,-0.00076091-0.00029741i,-0.00086519+0.0010706i,-0.0014024+0.0011871i,-0.0010194+3.0555e-05i,-0.00036786+0.00040459i,0.00024981+0.00089693i,-0.00014512+0.00055866i,-0.00076788+0.00019557i,-6.9349e-05-0.00060987i,0.00079583-0.00098283i,0.00040696-0.00071432i,2.4007e-05-0.0011121i,-0.00010868-0.0010918i,-0.00014745-0.00051322i,0.00015546+0.00035401i,-8.8954e-05+0.00068155i,-0.00035152+0.00031445i
-4.6789e-05+0.0021537i,-0.0003544+0.0029032i,0.00066296+0.0016077i,0.0012616+0.00034417i,0.00019358+0.0002813i,-0.0016793+0.00064667i,-0.0013838+0.00075554i,0.00036504+0.00060463i,0.0010969+0.0004783i,0.0010505+0.0004003i,0.00044887+0.0002508i,0.00011063-0.00024547i,8.2703e-05-0.00065033i,-0.00021063-0.00014807i,-0.00057559+0.00016746i,0.00024291-6.6146e-05i,0.00096865-0.00016245i,0.00083592-0.00021928i,0.0002199-0.00034384i,0.00012968-0.00038003i,0.00014779-0.00044205i,-0.00035322-0.00026901i,-0.00046735-0.00010988i
0.0030293-0.0006i,0.0031251-0.00045415i,0.0019349-0.00075714i,0.0001736-0.00088019i,-0.00050578-2.871e-05i,-0.00051954+0.00090685i,-0.0006291+0.00087963i,-0.0001555+0.00030972i,0.00032486-0.00012939i,0.00047108-5.458e-05i,0.00043351+1.111e-05i,0.00035119+0.0003826i,0.00055344+0.00086125i,0.0010975+0.00013291i,0.0010767-0.0012547i,0.001281-0.001092i,0.0011542+0.00011732i,-5.4876e-05+0.00034436i,-0.00085431+5.1109e-06i,-0.000524+0.00048865i,0.00021915+0.00052848i,0.00029059+3.222e-05i,0.00041524+0.00033597i
-0.00053382+0.0002665i,-0.0013231+0.00016489i,-0.0015372+0.000261i,-0.00087828+0.00010838i,-0.00072353+0.00028217i,-0.00074725+0.00097129i,-0.00087226+0.0010062i,-0.00095503+9.3841e-05i,-0.00036541-0.00042895i,0.00030558+0.0001873i,0.0003431+0.00051051i,8.0631e-05+0.0001819i,0.00036272+0.00019133i,0.00037064+0.00051447i,0.00039334+3.8672e-06i,0.0005355-0.0011021i,0.00029527-0.0012631i,0.00013586-0.0010098i,0.00081657-0.00068404i,0.0010366-0.00028063i,0.0011762-0.00049636i,0.00097222-0.00066398i,0.00056052-0.00011705i
-0.00017725-0.0001327i,0.00024341-0.000446i,-0.00087085-0.00077419i,-0.0011966+0.00054848i,-0.0010387+0.0022132i,-0.0010659+0.0025846i,-0.0013179+0.0023231i,-0.001479+0.0011207i,-0.0010193-0.00015473i,-0.00079254-8.5476e-05i,0.00011589+0.00027764i,0.00080454+5.5693e-05i,0.00020894-0.00014898i,-6.6299e-05-6.3332e-06i,9.2028e-05+0.00047237i,-0.0001483+0.00067399i,-0.00017665+0.00079485i,-4.6869e-05+0.0010972i,-0.00045244+0.00086352i,0.00039245+0.00065666i,0.00085671+0.00014738i,0.00072614-0.00020395i,0.000412+0.00025139i
0.001855+0.00013488i,0.0021634+0.00013436i,0.0022784-0.0016092i,0.0018907-0.0025848i,0.001064-0.0022462i,-2.0347e-05-0.00041981i,-0.00041742+0.00048528i,-0.00079121+7.0893e-05i,-0.0014999-8.4448e-05i,-0.0012031-0.00054667i,-0.00057074-0.00087254i,-0.00047824-0.0004752i,9.6644e-06+0.00042578i,-1.6911e-05+0.00054827i,0.00016824+0.00064035i,0.00043012+0.0014867i,0.00032741+0.0019519i,0.0005348+0.0010229i,0.00035258-0.00048481i,-3.4607e-05-0.00094856i,0.00026486-0.00033243i,0.00037508+0.0004875i,0.00021915+0.00091195i
0.00075256-0.0012794i,-0.00045399-0.0021024i,-0.0022791-0.0019928i,-0.0029404-0.0010737i,-0.0025257+3.8772e-05i,-0.0014424+0.00067629i,-0.00089735+3.5955e-06i,-0.00081992-0.00041631i,-0.00036021+0.00019962i,-0.00011549+0.0010344i,-0.00047965+0.0013071i,-0.0007504+0.0010787i,-0.00016594+0.00039204i,0.00022644+0.000516i,0.00040075+0.00099673i,0.00076346+0.00070486i,0.0005297-0.00018661i,-7.2366e-05-0.00028458i,-0.00039105-0.00027658i,-0.00059065-0.00074724i,-0.0003615-0.0001586i,0.00063382+0.00041909i,0.0011001+0.00027846i
-0.0011873-0.0008485i,-0.00099474-0.0010925i,-0.0021554-0.00012173i,-0.0024787+0.0015282i,-0.0016258+0.0024883i,-0.00061996+0.0024552i,-0.00012713+0.0020898i,0.0007226+0.0019751i,0.0010575+0.0016302i,0.00062109+0.00095559i,0.00055053+0.00089421i,0.00066745+0.00071977i,0.00085276+9.1736e-05i,0.0014339+0.00020967i,0.00041994+0.00061931i,-0.00058988+0.00058925i,0.00012062+0.00035192i,0.00036969-0.00013793i,-4.8495e-05-0.00027007i,0.00027124-0.00047351i,0.00056173-0.00027226i,0.00025937-0.00014863i,-0.00044348-0.00033791i
0.0014261-0.0026073i,0.0024048-0.0021306i,0.00075901-0.0014313i,-0.0020269+6.2781e-06i,-0.0026014+0.0017923i,-0.0027792+0.0020319i,-0.0021653+0.00088437i,-0.00031663+0.00041879i,0.00076332+0.00027643i,9.9696e-05+0.00040707i,-9.5386e-05+0.00070629i,0.00078858+0.00031982i,0.00056228-0.00037608i,-0.00034515-0.00058275i,-0.0005201+1.9732e-05i,1.6179e-05+0.00061388i,-0.00037439+0.00025671i,-5.4501e-06-0.00016298i,-4.13e-06+6.7605e-05i,-0.00053701-0.00043572i,-0.00051988-0.0014769i,-0.00049509-0.0016294i,-0.00023722-0.0013815i
0.0024087+0.00023276i,0.0030919-0.0013691i,0.0023451-0.0029464i,0.00038636-0.0027231i,-0.0017028-0.0010905i,-0.0013306-6.9039e-05i,0.00037819-0.00029934i,0.00054177-7.6141e-05i,-0.0010563-0.00026685i,-0.0011039-0.00077934i,-0.00025513-0.00026605i,-0.00030666+0.0002128i,-0.00057536+0.0001206i,-0.00082398+6.4658e-05i,-0.00064963+0.00070127i,-0.00041595+2.7555e-05i,0.00014784-0.00059827i,0.00018579-0.00020131i,-0.00051783+0.00077343i,-0.0006689+0.00054653i,-0.00044506-1.1035e-05i,-0.00028351-0.00010869i,-0.00051267-0.00013413i
0.00084664+0.0012968i,0.00050807+0.00036507i,0.0007012+0.00018998i,0.00050515+0.00024482i,5.4823e-05+8.916e-05i,-0.00063575+6.9188e-05i,-0.0010294+0.00051053i,-0.00086856+0.00038295i,-1.6341e-05-5.4773e-05i,-7.0325e-05+0.0002467i,-0.0011585+0.00067355i,-0.0011529+0.00090046i,-0.00060719+0.00096499i,0.00010241+6.4307e-05i,0.00023824-0.00015468i,-0.00050669+0.00032369i,-0.0006062+0.00025194i,-7.3869e-05+0.00035743i,-4.2836e-05+0.00067205i,-0.00033021+0.00027515i,-0.00033901-0.0002771i,-0.00045996+0.00020458i,-0.0008783+0.00084875i
0.00097976-0.00096182i,0.0022181-0.0012603i,0.0017445-0.00050719i,-1.1091e-05+8.1845e-05i,-0.0012704+9.0106e-05i,-0.0018449+0.00033291i,-0.00057155+0.00082924i,-0.00044326-4.6826e-05i,-0.0016855-9.2453e-05i,-0.0022557+0.00015189i,-0.0018258+0.00030541i,-0.00078459+0.0004919i,-0.00015011+0.00029429i,8.4e-05+0.00086255i,5.0618e-05+0.00092879i,-0.00029647+0.00043351i,0.00024489-0.00027763i,0.0011046-0.000767i,0.00085342+0.00018616i,0.00057365+0.00053896i,0.00025742+0.00034281i,9.7405e-06+0.00038724i,0.00041129+0.00047067i
0.0018844+0.00018685i,0.00028177-0.0016403i,-0.00095734-0.0027311i,-0.0013896-0.0017993i,-0.0015456-0.00044127i,-0.0021554+0.00059712i,-0.0025845+0.0012673i,-0.0017614+0.0015769i,-0.00062666+0.0020662i,0.00036581+0.0014412i,0.00023775+0.00063347i,-0.00036235+0.00037099i,0.00015947+0.0005578i,0.00097379+0.00020813i,0.0012539-0.00043419i,0.0010732+6.0504e-05i,0.0010323+0.00013483i,0.00093511-0.00051079i,7.2673e-05-3.2366e-05i,-0.00042256+0.00051026i,0.00016687+0.00028459i,0.0010474+0.00027777i,0.00056044+0.000283i
0.0015306+0.0010515i,0.0020857+0.00057074i,0.0027308-0.00034363i,0.0021729+0.00044373i,0.00015153+0.00081602i,-0.0013071+0.0010584i,-0.0018907+0.0017273i,-0.00098799+0.0013199i,0.00030101+0.00048152i,0.00087416+4.749e-05i,0.00092698+2.8224e-06i,0.00043371-0.00022066i,0.00039079-0.00012659i,0.00029288+0.0005416i,-0.00028263+0.00073031i,-0.00068191+0.00041176i,-0.00070797+3.6187e-05i,-0.00014804-0.00038044i,0.00035667-6.3311e-06i,4.0999e-05+0.00032613i,5.6011e-05-1.5262e-05i,0.00052951+0.00044249i,0.00031481+0.0011147i
-0.00010995+0.00048183i,-5.5497e-05+0.000311i,0.00094433+0.00047339i,0.00033676-0.00046989i,-0.00064348-0.00095426i,-0.00065193-0.00039074i,-0.00047053+0.00069412i,0.00012191+0.00059531i,3.6461e-05-0.00030405i,-3.6286e-05-0.00046995i,0.00049601-0.00056708i,0.0004596-0.00083509i,-0.0003013-0.0014731i,-0.0013622-0.0018853i,-0.0017186-0.0015097i,-0.00084851-0.00059282i,0.00030476+0.00057532i,0.00014049+0.00017904i,-0.00037245-0.0011258i,-0.00020965-0.00082895i,0.00047908+7.8665e-05i,0.00085454+0.00046715i,0.00038682+0.00081342i
0.0012859-0.0014578i,0.0014694-0.0011335i,-0.00089138+8.9255e-05i,-0.0025971+0.001218i,-0.0027211+0.0019766i,-0.0023822+0.0024258i,-0.0021732+0.0016793i,-0.0010972+0.00041794i,-0.00010094-0.0003786i,-0.00087529-0.00088057i,-0.00064787-0.0010861i,0.00050707-0.00037857i,-4.1491e-05+0.00045517i,-0.00073883+0.00044521i,-0.0001084+0.00065312i,0.00030905+0.00081767i,-0.00016657+8.1976e-05i,0.00014053-0.00092261i,0.00020418-0.0010803i,0.00011577-0.00066615i,0.00088149-0.00040507i,0.00084462+4.1365e-05i,0.00018334+0.00025391i
0.0019332+0.00098054i,0.0015573-7.7949e-05i,0.0023836-0.00081058i,0.0026511-0.00098834i,0.00096926-0.0013004i,-0.00075937-0.00064574i,-0.0017349-4.6459e-05i,-0.0019147+0.00026681i,-0.0016905-2.7975e-05i,-0.0012726-0.00068838i,-0.00062421-0.00021238i,-0.00074854+0.00037574i,-0.0010119+0.00077339i,-0.0012172+0.00086355i,-0.00088285+0.00068052i,0.00037107-0.00011678i,0.0011028-0.00062369i,0.00067558-0.0004579i,-2.8316e-05-0.00024263i,-0.00020721-4.8034e-05i,-0.00036287-0.00015156i,0.00018595-0.00014323i,0.00034485+0.00038793i
-0.00042914+0.0022429i,-0.001298+0.002071i,-0.0010648+0.0015603i,-0.00017725+0.0012964i,-8.9926e-05+0.0014799i,-0.0002519+0.00036026i,-0.00064204-0.00058999i,-0.0010189-4.3966e-05i,-0.0010177+0.00067084i,-0.00069198+0.00035728i,-0.00010472+0.00054991i,-0.0001337+0.00075235i,-0.00021132+0.00015333i,-0.00038471-2.4741e-05i,-0.00029992+0.00024762i,6.0949e-05+0.00062256i,0.00035778+0.00012905i,0.00060558-0.00029414i,0.00016297-2.3147e-05i,0.00016976+0.00013994i,-0.00017379+0.00021069i,-3.0723e-05+0.00062238i,0.00066494+0.0013001i
-0.0035952-0.00063093i,-0.00346-0.00070132i,-0.0028987+0.0012709i,-0.0013468+0.0028721i,0.00066187+0.0041476i,0.001028+0.004129i,0.00042042+0.0024155i,-0.00045088+0.0011548i,-0.00063223+0.0013518i,0.00022503+0.0017414i,0.00089231+0.0014415i,0.0010401+0.00063386i,0.0015132+0.00046908i,0.0015294+0.00083403i,0.00090386+0.00017526i,-2.7064e-05-0.00022173i,-0.00097001+0.00032034i,-0.0011163+9.0235e-05i,-0.00065339-0.00019676i,-0.00013931+0.00010656i,0.00013848+7.0131e-05i,0.00043225+0.00037561i,0.00067647+0.0001196i
