-0.0034796+0.0017738i,-0.0026186+0.002077i,-0.0029228+0.0022895i,-0.0010202+0.00096669i,-0.00017873+0.0006166i,1.6741e-05+0.0021217i,0.00017182+0.0030108i,0.00084723+0.0028212i,0.0010243+0.0015473i,0.00053121+0.000596i,0.00019346+0.00039106i,-0.0003071-0.00055462i,-0.00079499-0.0010241i,-0.0013727-0.00076975i,-0.0011713-0.00034486i,-0.00045227+4.8855e-05i,-0.00018797-0.00053343i,0.00065907-0.0010828i,0.0011795-0.00096969i,0.00076821-0.0001566i,3.4427e-05+0.00084058i,-0.00065695+0.00081246i,-0.0005686+0.00054094i
0.0070244-0.0083088i,0.0065927-0.002524i,0.0037834+0.0005717i,0.0020657+0.0012105i,0.000528+0.0028906i,-0.001803+0.0043077i,-0.0033865+0.0033067i,-0.003007+0.0020743i,-0.0025861+0.0012324i,-0.0024819-2.8296e-05i,-0.0014632-0.0014712i,-0.0011111-0.001606i,-0.0019162+0.00038942i,-0.0014516+0.0013989i,-0.0016456+0.00045133i,-0.0017148+0.00033426i,-0.00060118+0.00034942i,0.00053902-0.00042035i,0.00062495-0.0016494i,0.0010878-0.0020394i,0.0017369-0.0013407i,0.0019657-0.00025482i,0.0015569-2.765e-05i
-0.006816-0.0096982i,-0.0019897-0.0079845i,0.00038976-0.004145i,-8.9627e-05-0.00064257i,0.00098037+0.0029846i,0.002204+0.0050291i,0.00087424+0.0045516i,-0.00013602+0.0034625i,-0.00062253+0.0022714i,-0.0016792+0.00033094i,-0.0021781-0.0002925i,-0.0016349+0.0007459i,-0.00041785+0.0020772i,0.00033332+0.0029046i,0.00061997+0.0026296i,4.653e-05+0.0017191i,-0.00050522+0.0011359i,0.0001256+0.00048815i,-0.00022089-0.00049788i,-0.00048665-0.0011219i,0.00014705-0.0014522i,0.00059419-0.0020512i,0.00065972-0.0020067i
-0.014838+0.00029202i,-0.010617-0.0019275i,-0.0034123-7.9684e-05i,0.0028482+0.0023356i,0.0069628+0.0027504i,0.0062163+0.0026998i,0.003071+0.0028412i,0.0019929+0.0027015i,0.00056091+0.0023852i,-0.0013794+0.0026885i,-0.0014603+0.0031817i,0.00023192+0.0023904i,0.0010604+0.0012195i,0.00017998+0.0012816i,0.00074632+0.0012372i,0.0015586+0.00077711i,0.00053645+0.00035522i,-0.00038341+7.0678e-05i,-0.0010307-0.0003958i,-0.00068519-0.00097712i,-0.0002392-0.0012673i,-0.00087875-0.00096516i,-0.0016059-0.00037077i
-0.0048181+0.016414i,-0.0058775+0.010297i,-0.0010406+0.0026451i,0.0031559-0.0012832i,0.0036772-0.003892i,0.0035439-0.0042123i,0.0025042-0.0013805i,0.0015267+0.0019479i,0.0014232+0.0028567i,0.0009368+0.0023333i,0.0011797+0.0020308i,0.0019012+0.00034428i,0.0019874-0.0013266i,0.0012963-0.001395i,0.00012866-0.0014629i,-0.00015508-0.0016808i,-0.00031356-0.00073138i,-0.00068317+0.0006561i,-0.00045883+0.0012201i,-0.00020124+0.00065936i,-0.00044797+0.0002433i,-0.0012779+0.00082299i,-0.002076+0.0011266i
0.0095971+0.0097108i,0.0034306+0.0093308i,-0.00021396+0.0040334i,-0.00067161-0.0011475i,-0.0012741-0.0035398i,-0.0022438-0.0023288i,-0.0018772-0.00043222i,-0.00024036+0.00068237i,0.0014288+0.0010093i,0.002295+0.00028302i,0.0028257-0.00057705i,0.0022835-0.0013418i,0.00068496-0.0019967i,-0.0010566-0.0025615i,-0.0017263-0.0020552i,-0.0013092-0.0011836i,-0.00010839-0.00047734i,0.001137+0.00055695i,0.0012563+0.00045434i,0.0011095+0.00014692i,0.00071876+0.00021192i,0.00032697+0.0006452i,5.289e-05+0.0010458i
0.010944-0.0022888i,0.0080366+0.0021791i,0.0026024+0.0030096i,-0.0012736+0.0019967i,-0.0026938+0.0021659i,-0.0033289+0.0022354i,-0.0040958+0.0011682i,-0.0034391+0.00045769i,-0.0021584-0.00010135i,-0.00085128-0.0015997i,-0.00067459-0.0025636i,-0.0017697-0.0014511i,-0.0028741+0.00040508i,-0.0027153+0.0011662i,-0.0018575+0.00055057i,-0.0014033+0.00036436i,-0.00068344+0.00093013i,0.00031289+0.00090018i,0.00084083-4.7483e-05i,0.00096113-0.0011331i,0.0007032-0.0010725i,0.00063287-0.00034562i,0.0001863+6.9021e-05i
0.0054574-0.015i,0.0065774-0.009983i,0.0033721-0.0025228i,0.00040672+0.0011394i,0.00019451+0.0034267i,0.00026345+0.0046036i,-0.00066326+0.0037949i,-0.0019294+0.0023881i,-0.0020012+0.00060318i,-0.0011906-0.00059569i,-0.0018991-0.00036236i,-0.0022672+0.00075235i,-0.0012534+0.0016276i,-0.00047525+0.0021904i,-0.00014456+0.0025857i,0.00014958+0.0016385i,0.00058053+0.00013196i,4.7095e-05-0.00024501i,-0.00024676-0.00054492i,0.00078308-0.0013625i,0.0010002-0.00093671i,0.00050058-0.00040799i,0.00011576-0.0010502i
-0.015484-0.012422i,-0.010612-0.010326i,-0.0046116-0.0049496i,-0.0022288-2.3314e-05i,-0.00022316+0.0035202i,0.0014059+0.0039768i,0.0010444+0.0042578i,-0.00040595+0.0045011i,-0.0018776+0.0025133i,-0.0023995+0.00065207i,-0.0020073+0.00073146i,-1.368e-05+0.0010521i,0.0025832+0.0011379i,0.0029786+0.00095596i,0.0020181+0.00064618i,0.00077379+0.001033i,-0.00034966+0.0011392i,-0.00037156-0.00021102i,0.00033065-0.0012371i,0.00026496-0.0014974i,-0.00018367-0.0015288i,-0.00021466-0.00091503i,-0.00042294-0.0010957i
-0.019178+0.0079082i,-0.015171+0.0023849i,-0.0063875+0.00061171i,0.00058602+0.0015925i,0.0045031+0.0014211i,0.0048898+0.00076007i,0.0029826+0.0011517i,0.0014636+0.0028892i,0.00067721+0.0040828i,6.5849e-05+0.0031876i,-0.00024707+0.0016169i,-0.00039757+0.00025875i,-0.00064206-0.0011524i,0.00064592-0.0010283i,0.00095416-4.8558e-05i,0.00010324+0.00017114i,-0.00043531-0.0002233i,-0.00081368-0.00015601i,-0.0010028+0.00063127i,-0.0010822+0.00079135i,-0.0015021+0.00075191i,-0.0017455+0.00098137i,-0.0019031+0.0010853i
-0.00037366+0.019441i,-0.0038979+0.015525i,-0.0022904+0.006577i,0.0011404+0.0007488i,0.0018456-0.0020252i,0.0011131-0.0027959i,0.00040878-0.00054851i,-0.00012387+0.0014693i,0.00028569+0.0012364i,0.0012234+0.0012975i,0.0012681+0.0009455i,-0.00062543-8.0286e-05i,-0.0017416-0.00059421i,-0.002068-0.001278i,-0.0026702-0.0013077i,-0.0014856-0.00035689i,-0.00065244+0.0002358i,-0.00017865+0.00012391i,-1.0987e-05+0.00011978i,-0.0003369+0.00054072i,-0.00011482+0.00092261i,0.00040952+0.00111i,0.00077404+0.00037389i
0.019158+0.01058i,0.014317+0.011567i,0.0063024+0.0065031i,0.0020923+0.001215i,0.00028741-0.0014691i,-0.00095155-0.0017611i,-0.00094884-0.001285i,0.00038571-0.00048867i,0.0014967-0.00046186i,0.00085492-0.00016164i,-0.00058677+0.00064648i,-0.00074461+0.00081671i,-0.0002576+0.001092i,-0.00052633+0.0017219i,-0.00078043+0.0015891i,-0.00086328+0.0010238i,-0.00045174+0.00080324i,0.00052359+7.1347e-05i,0.0015166+0.00023608i,0.0016646+0.00020958i,0.0012918-9.4707e-05i,0.00092153+0.00011561i,0.00085494+4.9986e-05i
0.016881-0.011211i,0.015968-0.0065219i,0.0087997-0.0022064i,0.0023241-0.0020456i,-0.00026534-0.00082757i,-0.001791+0.00083918i,-0.0028053+0.0010116i,-0.0019828+0.0006037i,-0.00048211-0.00024308i,0.00038896-0.00077343i,-0.00040297-6.4286e-07i,-0.00050513+0.001036i,0.00021936+0.0011101i,-0.00065441+0.00062065i,-0.0014752+0.00066219i,-0.000357+0.00094887i,0.0010256+0.00020256i,0.0018829-0.00030263i,0.0018716-0.00048496i,0.0017348-0.00060277i,0.0015149-0.00063742i,0.00083859-0.00079256i,0.00048433-0.0010322i
-0.0041027-0.021888i,-0.00012656-0.018452i,0.0010821-0.0088526i,5.14e-05-0.0027018i,-0.00016251+0.0002778i,-0.00028505+0.001933i,-0.00025182+0.0020373i,-0.00092357+0.0010937i,-0.0011145+0.00038404i,-0.00081711+7.3479e-05i,-0.00020775-0.00012644i,0.0012715-0.00045402i,0.0011855-0.00031285i,0.00026396+0.00057758i,0.00037632+0.00087274i,0.00095551+0.00040808i,0.00076428-0.00031291i,-0.0007044-0.0008719i,-0.00060195-0.0011766i,0.0003176-0.00099476i,0.00053626-0.00083014i,0.00052281-0.00034847i,-0.00024745-0.00051247i
-0.027194-0.0046753i,-0.021944-0.0067484i,-0.011612-0.0029437i,-0.0050595+0.0024275i,-0.0012721+0.0050231i,0.001425+0.0045521i,0.00046747+0.0038495i,-0.001457+0.0040187i,-0.0021328+0.0029149i,-0.0020523+0.0010718i,-0.0011136+0.00029553i,-0.00090092-0.00089697i,-0.00047462-0.0011235i,0.0010307-0.00068057i,0.0011295-0.00069477i,9.6596e-05-0.0003773i,-0.00059314+1.0897e-05i,-0.00061683+0.00026165i,-0.0005649+0.00021976i,-0.00051369+9.4824e-05i,-0.00050662+0.00030457i,-0.00020607+0.00071802i,-0.00078309+0.00099488i
-0.017314+0.023582i,-0.017216+0.019225i,-0.0085905+0.010816i,0.00017245+0.0056681i,0.0040741+0.0026184i,0.0044568+9.0796e-05i,0.0029639+6.9491e-05i,0.0017484+0.0017436i,0.0018037+0.0023956i,0.0012968+0.0016167i,-0.00023205+0.00098375i,-0.0014108+0.00026255i,-0.001502-0.00023503i,-0.00091433-0.00065602i,-0.00069301-0.0010743i,-0.0010203-0.00042575i,-0.00056647+0.00021025i,-0.00026361+0.0002247i,-0.00092841-0.00026044i,-0.00082639-0.0006591i,0.00038243+0.00020017i,0.00026269+0.00056125i,-0.00079553+0.00019984i
0.013553+0.02358i,0.0077952+0.022314i,0.0031716+0.012316i,0.0027081+0.0035057i,0.0021336-0.00059441i,0.00041579-0.0012607i,0.00052863+0.00087166i,0.001217+0.0021568i,0.0007814+0.00068368i,-0.00047925-0.00033826i,-0.001246+0.0011068i,-0.0013918+0.0020188i,-0.00050736+0.0020326i,-0.00043686+0.0016384i,-0.001124+0.00089243i,-0.0007029+0.00065948i,0.00013327+0.00017524i,0.00081835+8.5128e-05i,0.00054603+0.00041802i,0.00010019+0.0009871i,0.0010616+0.00085316i,0.0014709+0.00030672i,0.00052039+0.00036114i
0.029751+0.0010775i,0.025814+0.0026035i,0.014503+0.0015993i,0.0066216-0.0017723i,0.0033442-0.0029509i,0.001311-0.0022922i,0.00086598-0.0013829i,0.0003037-0.00048669i,-0.00024399-0.00047735i,1.8828e-05-0.00053056i,5.7248e-05-7.5758e-06i,0.0003938+0.00046735i,0.00056591+0.00063066i,-0.00039601+0.00072145i,-0.00061839+0.0010178i,-0.00060032+0.00070021i,-0.00062968+0.00061223i,-0.00044216+0.00041528i,9.1948e-05+0.00057068i,0.00069658+0.00037484i,0.00038182-0.00026769i,-0.0002069-0.0003344i,-0.00013407-0.0003162i
0.0098989-0.026921i,0.012499-0.023307i,0.0078309-0.011314i,0.0017505-0.0032412i,-0.00011844-0.00036521i,-0.00049683+0.0010335i,-0.0011274+0.001474i,-0.0010584+0.0015876i,-0.00055705+0.0017766i,0.00038635+0.0016074i,0.0011204+0.0015476i,0.0010468+0.00040062i,0.00080307-0.0010141i,-0.00032291-0.0010437i,-0.0005429-0.00034025i,5.3004e-05+0.00073685i,0.00016285+0.00053117i,0.00014241-0.00047704i,0.00011169-0.00061816i,0.00078526-0.00087614i,0.00078629-0.00067157i,-0.00015284-0.00016256i,-0.00077985-0.0002056i
-0.020834-0.023734i,-0.018109-0.021253i,-0.0094823-0.012775i,-0.003505-0.0043082i,-0.0022342+0.00059307i,-0.0015748+0.0012985i,-0.0015652+0.00073109i,-0.0018828+0.0014256i,-0.0012495+0.0017677i,-0.00081174+0.0008731i,-0.0010188+0.00056379i,-0.0012889+0.00034997i,-0.001237+7.716e-05i,-0.0010679+0.00031665i,-0.00090063-0.00062932i,-0.00069876-0.001368i,-0.00050278-0.0010837i,-0.00044249-0.0007277i,-0.0002545-0.00049139i,-5.115e-05-0.00043254i,0.00069534-0.00030366i,0.00087344-0.00061574i,0.00043982-0.0003763i
-0.03265+0.01197i,-0.029777+0.0084008i,-0.017822+0.0041462i,-0.0062418+0.0031426i,-0.00046141+0.0037838i,0.0014156+0.0026525i,0.0010998+0.001858i,0.00013352+0.0028178i,0.00072183+0.0028056i,0.001887+0.0017022i,0.001053+0.00044714i,-6.6408e-05-0.00025225i,0.00037702-0.0004245i,0.00070071+0.00039612i,-0.00024568+0.0012335i,-0.0008661+0.0011731i,-0.00055322+0.00051761i,-0.00044743-0.00012567i,-0.00045718-0.0006694i,-0.0005986-0.0010817i,-0.00096933-0.0016588i,-0.00090977-0.00094583i,-0.00052522+0.00016783i
-0.0066051+0.035343i,-0.0088061+0.031434i,-0.0071958+0.017804i,-0.0022001+0.0068794i,0.0014103+0.0028406i,0.0012407+0.0015776i,-0.00090795+0.00084514i,-0.0013293+0.00047754i,-7.0378e-05+0.00035446i,0.00015482-0.00033003i,-0.00015043-0.001259i,-0.00018195-0.0011422i,-0.00029489-0.00026851i,-0.00030884+0.00017795i,-0.00067453-0.00012797i,-0.00029561-0.00042596i,0.00056982-0.00058758i,0.0002437-0.00069554i,0.0002409-0.00062224i,0.0013282-0.00053959i,0.0014618-0.0002i,0.00044478+2.0022e-05i,-0.00068795+0.00047197i
0.029524+0.016046i,0.025098+0.018196i,0.012852+0.01383i,0.0051605+0.0072142i,0.0023422+0.0033124i,0.0011403+0.0028831i,0.00073726+0.003458i,0.00047302+0.0024581i,-4.177e-05+0.00072514i,-0.00060699+0.00018209i,-0.0013233+0.0011606i,-0.0018095+0.00063373i,-0.00064411-0.00069802i,0.00058855-0.00084614i,0.0011778-0.00016297i,0.00093481+0.00054592i,-0.0010129+0.0010175i,-0.0015419+0.00080317i,1.3838e-05-0.00034323i,0.00066305-0.00075073i,0.00054633+0.00015952i,0.00010583+0.00050976i,0.00015594+0.00036175i
0.030584-0.016368i,0.029716-0.014938i,0.020076-0.0074781i,0.011136-0.0034187i,0.0062364-0.0023234i,0.0024412-0.0014734i,-1.3309e-05-0.00043802i,-0.00090089+0.0011357i,0.00030103+0.0013774i,0.00095793+0.0012111i,0.00041311+0.0015642i,-0.00032073+0.00043533i,-0.0010469-0.00049337i,-0.0016166-0.00016872i,-0.0011723+6.1186e-05i,0.00023477-0.00016096i,0.00082171+0.00050579i,0.00053298+0.0011028i,0.00035197+0.0006993i,0.00065107-0.00018212i,0.00067383-0.0009823i,0.0014211-0.00043963i,0.0014842+0.00042932i
-0.0048347-0.032893i,-0.003258-0.033435i,0.001259-0.02163i,0.0036228-0.010355i,0.0037545-0.004837i,0.0025765-0.0019562i,0.0016668+0.00014041i,0.0012098+0.0011141i,0.00082152+0.0013169i,0.0012403+0.0013981i,0.0014194+0.0011527i,0.00065404+0.00058824i,-0.00022722+0.00075832i,-0.00020964+0.0010228i,-0.00069026+0.00096783i,-0.0011708+0.00030679i,-0.00019143-0.00021976i,0.00032034-1.1771e-05i,0.00054663-0.00030372i,0.00099803-0.00042526i,0.00095245-0.0004687i,0.00014033-0.00074835i,-0.0006756-0.00053991i
-0.037053-0.014047i,-0.037787-0.013942i,-0.026278-0.012171i,-0.013471-0.0075103i,-0.0068844-0.0027773i,-0.0036965-0.00097654i,-0.0022587-0.00037049i,-0.0022064+2.8345e-05i,-0.001802+0.0001708i,-0.0010885+0.00036498i,-0.00053741-0.00028144i,0.00014235-0.00051099i,0.00048369+0.00067671i,0.00092999+0.00089849i,0.00088556+0.00064385i,-0.00029459+0.00024658i,-0.0010403+0.00022596i,-4.1507e-05+0.001044i,0.00088672+0.00047185i,-0.00015694-0.00021392i,-0.0012928-0.0010063i,-0.0010001-0.001642i,-0.000667-0.0018527i
-0.022845+0.029128i,-0.024429+0.029114i,-0.018724+0.018584i,-0.010352+0.0078887i,-0.004643+0.0031918i,-0.0020709+0.0017771i,-0.0013765+0.00010931i,-0.0013303-0.0003038i,-0.0010371-0.00014413i,-0.00071886-0.00051377i,-0.00094984-0.000814i,-0.0014288-0.0013256i,-0.00080038-0.0007384i,1.2133e-05+0.00022418i,-0.00049482+0.00096808i,-0.0010241+0.00050641i,-0.00056838-0.00065476i,-0.00039398-0.00091936i,-0.00045719-0.00033377i,-0.0009217-6.0751e-05i,-0.0014474-0.00053814i,-0.0013279-0.00051665i,-0.0011025-0.00024577i
0.012922+0.034302i,0.013135+0.035951i,0.0070804+0.027102i,0.0032396+0.015293i,0.0014265+0.0081859i,-0.00035795+0.0052614i,-0.002361+0.0042348i,-0.0030059+0.0036843i,-0.0022548+0.0029483i,-0.0025355+0.0023016i,-0.0020633+0.0014631i,-0.00059454+0.00010485i,-0.00095624-0.0020147i,-0.0012265-0.0023257i,-0.00045944-0.0011772i,0.0002961-0.0011075i,-0.00023113-0.0011086i,-0.0013854-0.00062502i,-0.00076797-2.5524e-05i,0.00036266+0.00039604i,-9.9329e-05+0.0002535i,-0.00068749+0.00047344i,-0.000817+0.0010442i
0.039619-0.0039042i,0.038381-0.0053859i,0.025714-0.0035651i,0.013231-0.0012868i,0.0056112+0.00035271i,0.0025554+0.0028379i,0.0010388+0.0037696i,1.1258e-05+0.0031044i,-5.3018e-05+0.002627i,9.4649e-05+0.0016153i,-2.9902e-06+0.0021745i,-0.0017079+0.0020157i,-0.002962+0.00091432i,-0.0030738-0.0001838i,-0.002533-0.00035836i,-0.0015655+0.00015974i,-0.00080187+0.00045673i,0.00063378+0.00083328i,0.0014123+0.00076604i,0.001158+0.00097272i,0.0012319+0.00075998i,0.00067929+0.00019036i,0.0003676+0.0005036i
0.010752-0.036748i,0.009735-0.03848i,0.0064312-0.024477i,0.0025676-0.010317i,0.0022093-0.003468i,0.0026485-0.00062491i,0.0013387+0.0012421i,0.00077587+0.002729i,0.0017815+0.0021617i,0.001554+0.00087326i,0.00077356+0.0012073i,0.00036137+0.0018162i,-0.00043307+0.0018753i,-0.0012507+0.0019062i,-0.0016993+0.0012965i,-0.00064384+0.00062505i,0.0011767+0.00054373i,0.0017379+0.00033275i,0.00099775-0.0003562i,0.00018067-0.00083981i,-0.00056641-0.0011534i,-0.00033447-0.0014802i,0.00011589-0.00089909i
-0.02747-0.026863i,-0.032474-0.026606i,-0.021577-0.018972i,-0.0090525-0.0094144i,-0.0028534-0.0046291i,-0.00066906-0.0028977i,0.00095836-0.0017034i,0.0018263-0.001658i,0.0020211-0.0023429i,0.0015913-0.0022376i,0.0010207-0.0016999i,0.0014691-0.00070311i,0.0013886+0.0011139i,0.0010394+0.0021643i,0.0002238+0.0021292i,-0.0002879+0.0013783i,-6.7092e-05+0.00038188i,0.00028592-0.0010858i,0.00087179-0.0018223i,0.00068362-0.0017418i,-7.1065e-05-0.0014553i,-0.00017717-0.001768i,-2.997e-05-0.00098376i
-0.034742+0.012002i,-0.037594+0.017334i,-0.02659+0.012251i,-0.012226+0.0054333i,-0.0060609+0.0019266i,-0.0041452+0.00042759i,-0.0023547-0.00012877i,-0.0013727+0.00045236i,-0.0016446+0.00054977i,-0.0028462-0.0002969i,-0.002327+7.5305e-05i,-0.001161+0.0010466i,-0.0005202+0.00053437i,0.00059574+0.00038901i,0.00105+0.00099747i,0.00067332+0.0011266i,-0.00045755+0.00034537i,-0.00043796-0.00046516i,-0.00019483-0.0012286i,-0.00090574-0.0014162i,-0.0014039-0.00051974i,-0.0016131+0.00035925i,-0.0010149+0.00067079i
-0.0021663+0.038803i,0.0016154+0.042403i,0.0019822+0.028929i,0.0020336+0.012879i,0.0021508+0.0055564i,0.00044161+0.0035265i,-0.002017+0.0017087i,-0.0031379+0.00052501i,-0.0024896+0.0012163i,-0.0016139+0.0027078i,-0.0013737+0.0026608i,-0.0012173+0.00031521i,-0.00060345-0.0023137i,-0.00013248-0.0023682i,1.7997e-06-0.0011053i,-0.00013372+0.00011192i,-0.001073+0.00064287i,-0.0015877+0.0005533i,-0.0012379+0.00084151i,-0.001067+0.001261i,-0.00072203+0.0012086i,-0.00010499+0.00062694i,0.00038779-2.0694e-06i
0.036284+0.015741i,0.041367+0.011786i,0.029181+0.006869i,0.013186+0.0022189i,0.0047081+0.0014357i,0.00066374+0.0030152i,-0.0023261+0.0040444i,-0.0027931+0.0042492i,-0.0015692+0.0038328i,-0.00038869+0.003358i,-0.0003487+0.0019909i,-0.00043326-0.00021084i,-0.0010677-0.00039963i,-0.0020984-0.00027449i,-0.0020382-0.00095876i,-0.00061031-0.00081305i,0.00050462-8.3438e-05i,0.00091177+0.0008887i,0.0017097+0.0007335i,0.0016683+0.00031063i,0.0010196-4.3563e-06i,0.0013777-2.0832e-05i,0.00082076-6.8993e-05i
0.025211-0.028109i,0.024079-0.035128i,0.01486-0.025879i,0.0047821-0.01176i,0.0011867-0.0035751i,0.0013782+0.0002812i,0.00073789+0.0018766i,-0.00048344+0.0021756i,7.1608e-05+0.0020104i,0.00022789+0.0006921i,-0.00012035-0.00049713i,0.00012756-0.00088621i,-0.00041687-0.00032179i,-0.0018443+0.0004857i,-0.002109+0.00014634i,-0.00073323+7.6451e-05i,0.00087204+0.0002595i,0.0016364+0.00019604i,0.0018015-0.00053432i,0.0015511-0.00058966i,0.00099871+0.00012745i,0.00079402-0.00037166i,0.0010934-0.00085118i
-0.015372-0.036536i,-0.026059-0.038822i,-0.021716-0.026742i,-0.010194-0.0095031i,-0.0031238-0.00066437i,-0.00043923+0.0015419i,0.00094822+0.0026349i,0.0018593+0.0027389i,0.0016657+0.00084672i,-0.00023531-0.001224i,-0.0016512-0.00022903i,-0.001469+0.0010609i,-0.00066645+0.0013909i,-0.0002867+0.0019801i,-0.0009661+0.0016932i,-0.0017791+0.00088871i,-0.00064489+0.00027621i,0.00060387-0.0010074i,0.00072514-0.0019774i,0.00094334-0.0022773i,0.00065368-0.0023214i,-0.00030855-0.0021568i,-0.00062008-0.0015705i
-0.035044+0.0013577i,-0.043389+0.0095808i,-0.030953+0.0097772i,-0.01289+0.005352i,-0.0042599+0.0019251i,-0.0018303-0.0004675i,-0.00062105-0.0011664i,-0.00066747-0.00087802i,-0.0020648-3.3585e-06i,-0.0029131+0.00056036i,-0.0018248+0.0011797i,-0.00037451+0.0023224i,0.0007364+0.002123i,0.00097892+0.00074073i,0.00028494+0.00063937i,-0.0010784+0.001593i,-0.0023816+0.00075913i,-0.0025734-0.00011927i,-0.0017661+0.00051166i,-0.00084798+0.00046867i,-0.0008738+0.0002818i,-0.00088015+0.0008728i,-0.0009488+0.0008636i
-0.01541+0.030833i,-0.010318+0.041603i,-0.0046039+0.031721i,-0.00037263+0.015207i,0.00061394+0.0068759i,-0.00046938+0.0041606i,-0.0009552+0.0018661i,-0.0008113+0.00077594i,-0.00078512+0.002062i,-0.00025751+0.0032781i,0.00077996+0.0030495i,0.0015478+0.0019832i,0.001664+0.00014326i,0.00054485-0.0002892i,0.0001963+0.00065335i,0.00058239+0.0014084i,0.00053947+0.0015954i,0.00016646+0.0015895i,-0.0008011+0.0013244i,-0.0013616+0.0015238i,-0.00037629+0.0016398i,0.00042916+0.0012583i,7.1625e-05+0.00065906i
0.025316+0.02352i,0.035802+0.02289i,0.02856+0.013932i,0.014706+0.0040692i,0.0062813+0.00026274i,0.0018253-0.00035983i,-0.0013492-0.00084364i,-0.0023088+7.4114e-05i,-0.00074478+0.00078633i,0.0013847+0.0004258i,0.0020426-0.00047172i,0.001749-0.0013171i,0.00070187-0.0015978i,-0.00028108-0.0013034i,2.5642e-05-0.00082902i,0.00051339-0.00088138i,0.0011675-0.00011289i,0.0011229+0.0010037i,0.0012763+0.0010295i,0.0018966+0.00080319i,0.001814+0.00095127i,0.001367+0.00086583i,9.5105e-05+0.00039993i
0.034483-0.010337i,0.038324-0.02522i,0.027578-0.024237i,0.012642-0.014701i,0.0040852-0.0072602i,0.00087525-0.0023841i,-0.0013635+0.00081005i,-0.0016737+0.0016117i,0.00086954-0.0002685i,0.0023853-0.0029917i,0.0006822-0.0041809i,-0.0013108-0.0035127i,-0.0017912-0.0017253i,-0.0016899-0.00041118i,-0.0014208-0.00047641i,-0.00034257-0.00071888i,0.001482-0.00048199i,0.0023583-0.00094611i,0.0022009-0.0014768i,0.0019313-0.0010103i,0.0012924-0.0010917i,0.0018534-0.0010124i,0.0020605-0.00030649i
-0.0035297-0.034016i,-0.013928-0.044736i,-0.01481-0.03297i,-0.00887-0.012249i,-0.0046288-0.0015879i,-0.0022879+0.00029648i,-0.0020985+0.0018681i,-0.0028387+0.0029636i,-0.002068+0.0011749i,-0.0022274-0.0013931i,-0.0026119-0.0013411i,-0.0025108+0.00035291i,-0.0021359+0.001767i,-0.0011026+0.0017095i,-0.00097687+0.00032708i,-0.0017888-0.000363i,-0.0017497-0.0010083i,-0.00078867-0.0020063i,-0.00029547-0.0028136i,-0.0010094-0.0028191i,-0.0012254-0.0024223i,-0.00057329-0.0015012i,-0.00071969-0.00056747i
-0.030023-0.010745i,-0.046169-0.0049017i,-0.03748+0.0015764i,-0.017179+0.0052092i,-0.0054761+0.005056i,-0.0021429+0.0037452i,-0.0003551+0.0038402i,0.0001879+0.0030402i,-0.0011018+0.00097821i,-0.0024174+0.00075767i,-0.0021641+0.0021237i,-0.00050812+0.0020258i,0.00073446+0.00057771i,0.00046193-4.662e-05i,-0.00013439+0.00070331i,-0.00056132+0.0015941i,-0.0012579+0.0014786i,-0.0020386-5.9996e-05i,-0.0022629-0.0017211i,-0.0013298-0.0016219i,-0.0010159-0.00085715i,-0.0014214-0.00057256i,-0.0010541-0.00045348i
-0.017628+0.023952i,-0.019069+0.041172i,-0.010015+0.03684i,0.00077028+0.01956i,0.0031662+0.0075892i,0.00095243+0.0028311i,0.00064777+0.0015723i,0.0010652+0.0026455i,0.00052556+0.0036749i,0.00030881+0.0041923i,0.0012348+0.0033704i,0.0024431+0.0015656i,0.0017633+0.00013367i,0.00020569-0.00081262i,-0.00051433-0.00011431i,-0.00022482+0.002229i,-0.00067028+0.0033644i,-0.0011861+0.0024183i,-0.0013092+0.0019721i,-0.00017821+0.0025814i,0.00058867+0.002035i,-0.0003312+0.0009448i,-0.0011614+0.00010771i
0.015462+0.024866i,0.030301+0.031608i,0.028291+0.020509i,0.016433+0.0053662i,0.0085511+0.00094787i,0.0047494+0.0020221i,0.0020685+0.0011472i,0.0013547-0.00097341i,0.0015934-0.0016201i,0.0026356-0.0010602i,0.0027812-0.0013208i,0.0010898-0.0020338i,-0.00055791-0.002148i,-0.0010794-0.0010046i,-0.0012332+0.00052505i,-6.4862e-06+0.00038738i,0.0021223+0.00031558i,0.0022607+0.00079779i,0.001656+0.0011511i,0.0022241+0.0014206i,0.0026711+0.00084033i,0.002014+9.6184e-05i,0.0012291+0.00022999i
0.028604-0.0067685i,0.040184-0.020297i,0.029963-0.02253i,0.012238-0.01445i,0.0033671-0.0074961i,0.00057823-0.0045703i,-0.0024936-0.0020143i,-0.002739-0.00082778i,0.00014276-0.0011583i,0.0015736-0.0024855i,-3.3365e-05-0.002938i,-0.0014007-0.0017948i,-0.00089142-0.00020035i,2.7855e-05+0.0011086i,9.3509e-05+0.0010531i,-0.00026228-0.00018212i,-2.9962e-05-0.0012452i,0.0010711-0.0014436i,0.0021813-0.0017888i,0.0023555-0.0022399i,0.0018806-0.0018808i,0.0017944-0.0011208i,0.0017163-0.00098465i
