-0.0030071+0.00020546i,-0.002685+0.00079609i,-0.0028192+0.0013655i,-0.0010548+0.0018891i,0.0011305+0.0014944i,0.0021786+0.0001058i,0.0018258-0.00020888i,0.00088522+0.00089691i,0.0013024+0.0020575i,0.0019485+0.0017015i,0.0014908+4.2618e-05i,0.00091417-0.00067179i,0.0010553-0.00011691i,0.000708-0.00053985i,0.00046732-0.0017135i,0.00071939-0.00095691i,0.00053256-0.00011335i,0.0002237-0.00029386i,-0.00069915-0.00014204i,-0.00086177-7.7005e-05i,3.2991e-05-0.00031244i,0.00085904-9.025e-05i,0.00040182+0.00059667i
-0.0004724+0.00015219i,-0.0005454-0.00024219i,-0.00026837+2.7122e-05i,0.00069129+0.00013088i,0.0023624-0.00057672i,0.0032502-0.00035671i,0.0020645+0.0003484i,0.00096868+0.00040607i,0.0017055+0.00085815i,0.0019433+0.0011186i,0.0015207+0.0010727i,0.0012208+0.00044737i,0.0010464+0.00041721i,9.2273e-05+0.00035846i,-0.0010723-0.00033392i,-0.001006-0.00048232i,-0.00037998-5.0064e-05i,0.00015163+0.00052294i,0.00025207+0.00034242i,0.00011655-3.1899e-05i,-0.0002523-0.00032211i,0.00017627-0.00072739i,0.00055216+0.00030259i
0.0013185-0.0011777i,0.00032681-0.0014946i,-0.00055152-0.00086725i,0.00060258-0.0002309i,0.0025451+0.00013682i,0.0024488-0.00026082i,0.0010136-0.00037283i,0.00080305+0.0008801i,0.00099615+0.0014628i,0.00076312+0.0010708i,0.00065062+0.0011465i,0.00068652+0.0013921i,0.00070149+0.00076154i,0.00040544+0.0003022i,0.00015106-0.00027445i,0.00038984-0.0011519i,0.00066304-0.00083301i,0.00048195+0.00017088i,0.0004385+0.00027348i,0.00074057+0.00063126i,0.00067839+0.000328i,3.2605e-05-0.00030739i,-0.00069064+5.2123e-05i
0.0014346-0.00027124i,0.0018701+0.00095699i,0.0012546+0.0012982i,0.0020686+0.0010482i,0.0034046+0.00044474i,0.0029043-0.0002116i,0.0014977+6.2431e-05i,0.0011634+0.00072979i,0.001603+0.0011407i,0.0013966+0.00084309i,0.00025291-1.6555e-05i,-0.00040325-0.00011509i,1.5221e-05+0.00040662i,0.00047906+0.00048679i,-6.4777e-05+0.00060367i,-0.0007097+0.00014977i,-0.00031091-0.00015325i,-0.000102+0.00019023i,-0.00038958+0.00063426i,-0.00094036+0.00033018i,-0.00036208+1.4305e-05i,0.00066182+0.00089007i,0.00074758+0.00098093i
0.00088695+0.00040504i,0.0010483+0.00093363i,0.00062095+0.00016707i,0.0021287-0.00058527i,0.0032036-0.0006822i,0.0024906-0.00089517i,0.0010878-4.7367e-05i,-0.00075396+0.0019214i,-0.0004106+0.0023565i,0.0009453+0.00089704i,0.00042006+6.2144e-05i,-0.00045756-7.7753e-05i,-0.00023751-9.5359e-06i,0.00015072-0.00019803i,-3.8346e-05-0.00012697i,-0.00025049+0.00031134i,0.00014374+0.00027976i,9.7747e-05+0.00042962i,0.00036683-4.4135e-05i,0.0003712-0.00052257i,0.00025235-0.00026944i,0.00046636-0.00024627i,1.2503e-05-0.0001584i
0.0002803+0.00031477i,0.00067263+0.00010524i,0.0019677-0.00022525i,0.0029323-0.00083453i,0.0028552-0.00033651i,0.0023172-0.00035239i,0.0011408-0.00021i,0.00074848+0.00096365i,0.0015047+0.0014116i,0.0019032+0.00061287i,0.0013683-0.00029888i,0.00024413-8.4472e-05i,0.00011063+0.00027555i,0.00079481+0.00056163i,0.00070593+0.00025331i,-3.0083e-05-0.00011186i,-5.3162e-05+7.5568e-05i,4.6801e-05+0.00042448i,-0.00021615+0.00055839i,-0.00021015+0.0001328i,0.00026-5.0389e-05i,-3.3627e-05+1.7983e-05i,-0.00081314-0.00033547i
-7.7564e-05-0.00111i,-0.00031897-0.00080208i,-1.1122e-05-0.001366i,0.00091382-0.0013314i,0.0011466-0.00097215i,0.0012954-0.00064973i,0.0012044+0.00015945i,0.00069861+0.0011553i,0.00089027+0.0016556i,0.0010752+0.0012629i,0.00022245+0.0004202i,-0.00039843-0.00022777i,5.4958e-05-0.00043461i,0.00035111-1.7815e-05i,-0.00024668-0.00010105i,-0.00047871-0.0006355i,-0.00029672-4.2505e-05i,-0.00029133+0.00036559i,-0.00060897+0.00014437i,-0.00081625+0.00053607i,-0.0001424+0.00093492i,0.00019533+0.00054856i,0.00021685+3.0218e-05i
-0.00075017-0.0021615i,-0.0015265-0.0014785i,-0.001251-0.0013777i,-0.00020353-0.00024669i,0.001617+0.00080458i,0.0026625+0.00014135i,0.0016119-0.00044679i,0.0016119+0.000238i,0.0022839+0.001335i,0.001669+0.0014121i,0.0013508+0.00086333i,0.0014772+0.00079035i,0.00073922+0.00024807i,-0.00016797-0.00049472i,-0.00012433-0.00025848i,0.00034454-3.5569e-05i,-0.00024273+0.00034895i,-0.0010017+0.00051177i,-0.00067488+0.00039054i,-0.00040635+0.00057819i,-0.00039008+0.00054836i,0.00013903+0.00036106i,0.00056951-7.4263e-05i
0.0018131-0.0014014i,0.001638-0.00266i,0.00096319-0.0036252i,0.0017721-0.003219i,0.0024386-0.0031586i,0.00042932-0.0022476i,-0.0021834-0.0028787i,-0.0046295-0.0021708i,-0.0057147+0.00084974i,-0.0041809+0.0027021i,-0.0021312+0.0034271i,-0.00056517+0.0034262i,0.0012082+0.002764i,0.0020381+0.0023765i,0.0019411+0.00075359i,0.0013905-0.0013785i,0.00017994-0.001434i,-0.0011088-0.0012418i,-0.00092814-0.00020995i,-0.0002434+0.0011051i,0.00031627+0.00095761i,0.00054984+0.00032545i,-0.0002791+0.0001782i
-0.00066233+0.00034523i,-7.208e-05-0.00043207i,0.00048901-7.821e-05i,0.001708-0.00040394i,0.0035197-0.0013689i,0.0036127-0.0013229i,0.0015763-0.00056191i,1.9919e-05+9.1296e-05i,2.0736e-05+0.00064148i,-0.00017269+0.0012435i,0.00021181+0.0016277i,0.00086389+0.00081828i,0.00047793-0.00024333i,-1.4602e-05-0.00059132i,0.00021172-5.548e-05i,0.00018213+0.00084855i,0.0001252+0.00045887i,-4.4875e-06+0.00030285i,-0.00064753+0.0012302i,-0.00059818+0.0014306i,-0.00029976+0.0011304i,-0.00040624+0.00091963i,-0.00046961+0.00063389i
0.001203-0.00045048i,0.0018108-0.0006158i,0.0016301-0.00061495i,0.0017218+0.00017704i,0.0027681+0.00020155i,0.0031558-0.00032872i,0.0012304+0.00025601i,-0.00062482+0.0016134i,0.00026596+0.0023492i,0.0011188+0.0012428i,0.00097342+0.00047342i,0.00093458+0.000533i,0.00017448+0.00055382i,-0.00069692-0.00022751i,1.645e-05-0.0012806i,0.00083652-0.0019301i,0.00072705-0.0020331i,6.6952e-05-0.0014954i,-0.00011969-0.00034753i,8.6243e-05+0.00084114i,-0.00020764+0.00060222i,3.1057e-05-0.0001236i,4.375e-05+4.8384e-06i
0.00061176+0.0004182i,0.0003594+0.0010406i,0.00027338+0.0012621i,0.0022465+0.000483i,0.0043349-0.00027047i,0.003892-0.0014732i,0.0018328-0.0017219i,0.00079053-0.00043939i,0.0008275+0.00066507i,0.00035013+0.00083931i,0.00035607+0.00069004i,0.00052269+1.4378e-05i,3.4482e-05-0.0010688i,0.00011504-0.001035i,0.0002595-0.00020329i,-0.00032391+0.00030067i,-0.00069954-7.2577e-05i,-0.00016643+0.0005552i,0.00012258+0.0013367i,0.00029868+0.00017479i,0.00068545-0.00085274i,0.00045599-0.00035153i,0.00014828-0.00037159i
0.0013601-0.0024553i,0.00065496-0.0028646i,-9.2987e-05-0.0028954i,-0.0003434-0.0027137i,0.00067556-0.0016913i,0.0013202-0.00069012i,0.00026797+0.00041449i,-0.00045199+0.0013585i,0.00039038+0.00089166i,0.0011012+0.00054675i,0.00040651+0.00038096i,0.00041545+1.048e-05i,0.00024964+0.00028485i,-0.000149+0.0002773i,0.00015503-4.5571e-05i,0.00060889-0.00041192i,0.00045898-0.00018001i,-0.00053447-2.0879e-05i,-0.0011636+0.00015527i,-0.00076633+0.0010581i,3.0543e-05+0.0010235i,4.305e-06+0.00035552i,-2.7037e-05+0.00019557i
-0.0013-0.0010219i,-0.0012015-0.00080138i,-0.0020165-0.00029692i,0.00033018+0.0011758i,0.0034285+0.0013416i,0.0034278+0.00025399i,0.0021083+0.00023302i,0.0011585+0.00079883i,0.0014018+0.0011741i,0.0014546+0.0011029i,0.0012841+0.00071064i,0.0010431+0.00013371i,0.00041383-0.00036897i,0.00044226-0.00048924i,-5.9805e-05-0.00060052i,-0.00048854-0.00026265i,1.9859e-05+0.00013008i,3.6779e-05+0.0004579i,-8.835e-05+0.00076788i,0.00014026+0.00056723i,0.00026841+0.00048722i,0.00025747+0.00047583i,0.00057201+0.00029335i
-0.00043567+0.00044111i,0.00012038+0.00066575i,0.0012844+0.0016126i,0.0030693+0.0012311i,0.0047552-0.0001135i,0.0040423-0.00064867i,0.002243-5.4719e-05i,0.0013004+0.0010239i,0.0018477+0.0014127i,0.0024229+0.00051107i,0.0018495+0.0002567i,0.0012354+0.00035255i,0.0013545-0.00039506i,0.0005394-0.00025495i,-0.00017767+0.00072219i,-0.00023143+0.0011007i,0.0004403+0.0008333i,0.00041712+7.9966e-05i,2.639e-05-0.00039643i,0.00063509-0.0001473i,0.0007955+0.00039275i,0.00019931-0.0004712i,-0.00012654-0.0010355i
0.0014018+6.5738e-05i,0.0025894-0.0018967i,0.0031893-0.0031215i,0.0015372-0.0021918i,0.0017123-0.0013808i,0.0029375-0.00054088i,0.0014672+0.00014993i,-0.00021781+0.00032719i,0.00066872+8.0741e-05i,0.0014686+8.3692e-05i,0.0010926+0.00048578i,0.00048272+0.00079018i,-0.00037498+0.00081993i,-0.0006343+0.00040707i,-0.00052434-0.00073607i,-0.0010299-0.0011711i,-0.0016193-0.00033373i,-0.00090679+0.00050827i,-0.0004508+0.00061209i,-0.00064122-8.7239e-05i,0.00027417-0.00018027i,0.0011931+0.00053479i,0.0012916+0.00075812i
2.1939e-05+0.0016748i,-1.7814e-05+0.0011953i,-0.00078609+0.0020226i,0.00078603+0.0023045i,0.0032378+0.0015049i,0.0037564-2.7978e-05i,0.0013869-0.00012615i,-0.00033921+0.0013819i,-0.00010016+0.0024718i,0.00051177+0.0018969i,6.2797e-05+0.0012036i,7.854e-05+0.00097161i,0.0010366+0.0006826i,0.00076717+0.00045657i,0.00021787+9.0608e-05i,-0.00038687-0.00062349i,-0.00094158-0.00089818i,-0.00044479-0.00034155i,-0.0002363-0.00056915i,-0.00050586-0.00082854i,-0.00017729-0.00040449i,0.00017371-1.6681e-05i,4.76e-05-4.8575e-05i
0.0001289+0.0026393i,0.0021543+0.0024873i,0.0030529+0.0018602i,0.0041313+0.00061912i,0.0048678-0.00033703i,0.0041994-0.0011461i,0.0022765-0.00045414i,0.00054128+0.00087748i,0.00037135+0.0010909i,0.0006064+0.00029688i,-0.00018102-0.0004237i,-0.00036234-0.0003159i,0.00026616-0.00043463i,0.00028003-0.00063405i,-0.00028254-0.00026544i,-0.00030456-0.00020965i,-6.391e-05-0.00024344i,-0.00032204-0.00060122i,-0.0013416-8.1999e-05i,-0.0016727+0.0003933i,-0.0015457-0.00018557i,-0.00035872-0.00090172i,0.000766-0.0011922i
-0.00080721+0.00097344i,-0.00014485+0.00051932i,0.0011041+1.4046e-06i,0.0014625+0.00016993i,0.0020851+0.00010589i,0.0023767-0.00077561i,0.0010302-0.0012071i,-0.00020053-0.00026786i,-5.0786e-06+0.00045584i,0.00076073+0.00064828i,0.00054784+0.00038846i,-0.00016501-0.00023275i,-0.000396+2.5669e-05i,-0.00043953+0.00050009i,-0.00026883+1.549e-05i,-0.0001166-0.00054528i,8.6792e-05-0.00039815i,-1.077e-05+8.6902e-05i,-0.00032345+0.00036453i,-0.00026887+0.00026408i,-0.00020936+0.00043028i,2.7218e-05+0.00067735i,0.00021324+0.0003248i
0.00056882-0.0018689i,-0.00020135-0.0013103i,-0.0012242-0.00086292i,-0.00037222-0.00059938i,0.0013938-0.00018297i,0.0020572-0.0005604i,0.00098453-0.00082273i,0.00020645-7.7065e-05i,0.00049745+0.00061395i,0.00090714+0.00066556i,0.0011735+0.00076541i,0.0012654+0.00085164i,0.00094322+0.00010371i,-2.8693e-05-0.00034011i,-0.00053702-0.00044556i,-0.00039893-0.0011617i,-0.00031872-0.0016986i,-0.00031865-0.0015331i,-0.00020581-0.00045213i,-0.00062267+0.0001895i,-0.00082645-1.4755e-05i,-0.00028019-0.00039267i,0.00011109-0.0009612i
0.00020969+7.028e-05i,2.1955e-05-9.3553e-05i,0.00035208+0.00050149i,0.0013819+0.0012724i,0.0020373+0.0011435i,0.0014404-0.00020983i,0.00086252-0.00043004i,0.00089201+0.00089916i,0.0013165+0.002063i,0.0017615+0.00139i,0.00082616+0.00052519i,-0.0012025+6.7143e-05i,-0.0013006-0.00047131i,-0.00046194+0.00011992i,-0.00062676+0.00067199i,-0.0011595+0.00023104i,-0.00093767+0.00043622i,-0.00032385+0.00077897i,-0.00036781+0.00059734i,-0.00092466-0.00028732i,-0.00034788-0.001061i,0.0013385-0.0013546i,0.0018645-0.0012044i
0.0008161-0.0012289i,0.0010123-0.00092292i,0.00097707-0.0011536i,0.0019893-0.00081358i,0.0033293-0.00093692i,0.0032819-0.0011247i,0.0014994+6.5474e-05i,0.00015565+0.0018577i,0.00077939+0.0017955i,0.0011758+0.00079818i,0.0003208+0.00036429i,-0.00021738+0.00050232i,-0.0001034+0.00025025i,0.00061293-0.00057514i,0.00088243-0.00084118i,-0.00013699-0.00080127i,-0.00065415-0.0011346i,-0.00036873-0.0014451i,0.00010673-0.00086376i,0.00031455+6.3473e-05i,0.00074535+0.00025562i,0.00054788+0.00010278i,-0.00020747-0.00012788i
-0.00084324-0.0018883i,-0.0015411-0.0019948i,-0.0018383-0.0017494i,-0.00027517-0.00059135i,0.001976-2.1566e-05i,0.002599-0.00024071i,0.0013792-0.00048374i,0.0006193+0.00031883i,0.0010263+0.00082939i,0.0010718+0.00094009i,-3.4545e-05+0.00048806i,-0.0005501+8.0743e-05i,-0.00018617+0.00023272i,0.00097948+0.00031385i,0.001077-9.4678e-06i,0.00027587-0.000295i,0.00011831-0.00088023i,0.00052303-0.0012394i,0.00090936-0.00046234i,0.001015+0.00046189i,0.00039592+0.000131i,0.0002199-2.3938e-05i,0.00027076+0.00028105i
0.0016884+0.00070589i,0.0026793+0.0015192i,0.0029914+0.0012488i,0.0028336+0.0011347i,0.0025952+0.00088579i,0.0024128-0.00024981i,0.0012922-0.00077201i,0.00051718+0.00018551i,0.00052797+0.00096041i,0.00097314+0.00088093i,0.00073135+0.00074487i,0.0004754-0.00035273i,9.4914e-05-0.0011231i,-0.000361-0.00060039i,-0.00050317+0.00034635i,-0.0010468+0.00059638i,-0.001594+0.00085407i,-0.0010189+0.001274i,-0.00036338+0.0010294i,0.0003211+0.00069006i,3.4306e-05+0.00097063i,-0.00033825+0.00089038i,-0.00024738-5.0202e-05i
0.0002456-0.00022083i,0.00086703-0.0014169i,0.0021177-0.00084074i,0.0029569+0.00019993i,0.003075-4.1925e-05i,0.0023912-9.8318e-05i,0.00067539+0.00020524i,-0.00070052+0.0011756i,-0.0001217+0.0021304i,0.0007549+0.0012354i,0.00013796+1.7535e-05i,-0.00065453-0.00052405i,-0.00062935-0.00058689i,-0.00048719-0.00024751i,-0.0004078+0.00038734i,-0.00030119-7.6059e-06i,-0.00040463-0.00070747i,-0.00084523+0.00013583i,-0.00089217-0.00019429i,-0.00045835+2.545e-05i,-0.00036657+0.0009601i,-0.00027723+0.00076014i,0.00010845+0.00054616i
-0.00099617-0.00028718i,-0.00020574-5.7785e-05i,1.2168e-06-0.00010756i,0.00058119+0.00064466i,0.0027002+0.001665i,0.0035668+0.00082143i,0.0022961-0.00019429i,0.0002166+0.00015026i,-0.00041093+0.00030314i,0.0005302+0.00087113i,0.00084924+0.0011434i,0.00068692+0.00079411i,0.00015858+0.00068163i,-0.00084515+0.0001102i,-0.0013925-0.00036613i,-0.00038975-0.00039536i,0.0002253-0.00043498i,0.00018851-0.00033902i,0.00033201-3.2381e-06i,0.00012145+0.00011345i,9.3072e-05-0.00011651i,-0.00012661+0.00025299i,-0.00031632+0.00035173i
-0.00045485-0.00057633i,-0.00072311-0.0010154i,0.00060759-0.00085187i,0.0019405+0.00078248i,0.0028652+0.0013351i,0.0024919+0.00074908i,0.0013832+0.00033065i,0.00078308+0.00048517i,0.0010449+0.00090118i,0.0011847+0.0011646i,0.00083204+0.00075588i,0.00092741-0.00027412i,0.0012697-0.00098036i,0.00047519-0.0007114i,-0.00058014-0.00055932i,-0.00046568-0.00078966i,8.84e-05-0.0008316i,-0.00016495-0.00070898i,-0.00041295-8.1496e-05i,6.9729e-05+0.00021068i,0.00017807+0.00028327i,6.7613e-05+0.00021961i,0.00039558+0.00019534i
0.00073789-0.0012459i,-0.00030847-0.0011631i,-0.0010793-0.0015806i,-8.6628e-05-0.0010824i,0.0018526-0.00051504i,0.0023315-0.00024852i,0.00094822+3.5521e-05i,0.00043473+0.00053485i,0.00077087+0.00086525i,0.0010232+0.00064461i,0.001426+3.6167e-05i,0.0011394+6.0765e-05i,0.0010378+0.00077679i,0.001012+0.00079749i,0.00072143-2.3457e-05i,0.00051615-0.0013427i,0.0002189-0.001343i,-4.1217e-05-1.4174e-05i,0.00050034+0.00043499i,0.0009676+0.00069718i,0.0011001+0.00063893i,0.00076716+0.00058935i,9.9819e-05+1.0043e-05i
-0.0023342+0.00020715i,-0.0018274+0.00034253i,0.00078543+0.00028664i,0.0019771+0.00021119i,0.0025449-6.172e-05i,0.0030895+7.4415e-05i,0.0020398+0.00015094i,0.00081308+0.00084163i,0.00063674+0.0017528i,0.0005986+0.0013112i,0.00084151+0.00051102i,0.00077313+0.00024038i,0.00058368-0.000167i,0.00075509-0.00038598i,0.00052001-0.00039693i,-6.7274e-05-0.00029043i,0.00032209+0.00012775i,0.00046388+0.00041314i,0.00022042-8.6573e-05i,0.0003766-0.00047673i,0.00022366-0.00010311i,-1.4413e-05+0.00010925i,-0.00053943-0.00019571i
-4.5444e-05-4.2406e-06i,0.00064557+0.00052494i,0.00027716+0.00046849i,0.00084533+0.00052425i,0.0025234+0.00059307i,0.0024995+0.0004151i,0.0013834+0.00023418i,0.00087556+0.0001855i,0.0017614+0.00079612i,0.0016643+0.00075025i,0.00060281-0.0010379i,0.00071745-0.0015772i,0.00090898-0.00026339i,0.00049048+0.00026961i,-0.00010288-0.00024662i,-0.00042869-0.00018441i,-0.0013661-6.2206e-05i,-0.0012904-0.00024412i,-0.00049056-0.00051032i,0.00012853-0.00060605i,0.00048752+0.00036476i,0.0002824+0.00048512i,0.00067173-3.9269e-05i
0.00044564-0.00073539i,8.651e-05-0.00053052i,1.3203e-05+0.00014616i,0.0011928+0.00052286i,0.0028974+0.00088173i,0.0028725-0.00024591i,0.00096562-0.00023712i,-0.00025742+0.0012806i,0.00037332+0.0014299i,0.00054376+0.00012137i,0.00026049-0.00058753i,-0.00022818-0.00037096i,-0.00053625-0.00079845i,-0.00040695-0.00079976i,-0.00059292-0.00035954i,-0.00036983-4.9828e-05i,-0.00054621-7.2293e-05i,-0.00079809+0.00016933i,-0.0013213+0.00073229i,-0.0011125+0.0001474i,-0.00012066-0.00026164i,0.00060446+0.00026092i,0.00065327+0.00077352i
0.00032343-0.00037473i,0.0012799+0.00036421i,0.0014622-0.00019596i,0.0023781-2.4737e-05i,0.0035995+0.00029597i,0.0036384-0.00021651i,0.0018845-0.00030314i,3.2163e-05+0.00066888i,-0.00013716+0.0017093i,0.000365+0.0017914i,0.00059496+0.0010359i,0.00045308-5.8032e-05i,-0.00071827-0.00016435i,-0.00078615+0.00042637i,-0.00038128+0.0007487i,-0.0018208+0.00012585i,-0.0018491-6.6926e-05i,-0.0006154+0.00024853i,-0.00016775+0.00098866i,-6.5611e-05+0.0014972i,-0.00018568+0.00093429i,-0.00018067+0.00030767i,-8.9906e-05-0.00010931i
-0.0005942-0.00038682i,-0.00097664-0.00062336i,-0.00088769-0.00025006i,0.00066156+0.00041162i,0.0016767+6.8567e-05i,0.0014465+3.3351e-05i,-0.00024891+0.0011401i,-0.0012867+0.0019911i,-0.00052064+0.001595i,0.00057829+0.00096333i,0.00089816+0.00099948i,2.6206e-05+0.0012142i,-0.00089175+0.0011287i,-0.0010246+0.00064082i,-0.001248+0.00012853i,-0.00086932-0.00018404i,-0.0001922-0.00093047i,-0.00027324-0.00090891i,-0.00071685-0.00012268i,-0.00095253+0.00054897i,-0.00073483+0.00079634i,-0.00048534+8.2373e-05i,0.00010448+0.00021372i
-0.0011206-0.0011053i,-0.00087022+5.456e-05i,-7.0704e-05+0.0017079i,0.00099377+0.0024741i,0.0018889+0.0014028i,0.0025294-0.00033255i,0.0021309+0.00028638i,0.00072013+0.001035i,0.00056937+0.00090895i,0.0015401+0.00037341i,0.0016228+0.00061098i,0.0010895+0.00056325i,0.0012651-0.00033863i,0.0008719-0.00075926i,-9.4184e-06-0.00042748i,-0.0005122+6.7641e-05i,-0.00048438-0.00038331i,-0.00029205-0.00090459i,-0.00020785-0.00089547i,-0.00046127-0.00073345i,-0.00072744-0.00037259i,-0.00036193-3.3468e-07i,0.00017664+5.3463e-05i
-0.0032275+0.00011514i,-0.0026464+0.0003923i,-0.0021006+0.0013165i,0.00029071+0.0019929i,0.0026969+0.0026305i,0.0037991+0.0014323i,0.0028714-0.00058294i,0.0014166-0.00046939i,0.0015708+0.00054765i,0.0020285+0.00030118i,0.002005+5.63e-05i,0.0016176+6.2736e-05i,0.0011128-0.00030897i,0.00046487-0.00075435i,-0.00096261-0.00088787i,-0.0010945-0.00075052i,-0.00027712-0.00037246i,0.00030903+0.0001978i,-0.0004199+0.00046891i,-0.00037697+0.00047931i,-6.085e-05+7.2656e-05i,-0.00027467+0.00015286i,-0.00088923+0.00046695i
-0.00016766+0.00042073i,0.00085564-0.00011562i,0.0014007+3.474e-05i,0.0018845+0.00089076i,0.0027076+0.00036653i,0.0024906-0.00099749i,0.0011795-0.00085302i,0.00042644+0.00056961i,0.0015216+0.00039088i,0.0020281-0.00088227i,0.00076242-0.00037336i,-0.0003+0.00020477i,-0.00028258-0.00061433i,0.00026098-0.0013189i,0.00030126-0.00094733i,-0.00015051-0.00029666i,-0.00073995+0.00019569i,-0.0016987+0.00021388i,-0.00057085-0.00013953i,0.00045896+0.00025051i,0.00030546-0.00020544i,0.00018604-0.00065519i,0.0001958-0.0006245i
2.8293e-05-0.0025209i,-0.00060002-0.0021732i,0.00026698-0.0013387i,0.0013039-0.00039599i,0.0017376-0.00047404i,0.0021453+0.00011013i,0.001066+0.0007726i,-5.2181e-06+0.00070018i,2.9968e-05+0.00071279i,0.00057902+0.00068516i,0.00012011+0.00031781i,-0.00086294-0.00039235i,-0.00059734-0.00069273i,-0.0002937-2.9379e-05i,-0.00098808+0.00061794i,-0.00094209+0.00079957i,-0.00041435+0.00061152i,-7.382e-05+0.00066737i,-0.00025649+0.00057555i,-0.0001817+0.0005051i,0.00086721+0.00026978i,0.00075472-0.00053727i,-0.00088565-0.0012073i
-0.0004384+0.00019685i,-0.00010117+0.00025167i,-0.0011645+0.00067893i,-0.00023175+0.0015078i,0.0022755+0.0013267i,0.0027416+0.00044511i,0.0016978+8.2332e-05i,0.0007238+0.00093622i,0.00044665+0.0015177i,0.00055768+0.0011516i,0.00051379+0.0012512i,-5.487e-05+0.00091327i,6.9312e-05-0.0002214i,0.00043833-0.0012476i,0.00052886-0.00133i,0.00063785-0.00061113i,0.0005572-0.00020917i,0.0010898+0.00049973i,0.001316+0.0015086i,0.00086396+0.00161i,0.00089921+0.00036205i,0.00069919-0.00050104i,0.00080208+0.00019911i
-0.0010995-0.00029509i,-0.00069738-0.0016495i,-0.00031405-0.0017661i,0.00016308-0.0018712i,0.0019431-0.0008755i,0.0020235+0.00051434i,0.00024766+0.00058052i,-0.00023634+0.0012536i,0.00057332+0.0010585i,0.0016903+4.5314e-05i,0.0013709+0.00034234i,0.0008758+0.00051402i,0.001004+0.00044543i,0.00086125-0.00021797i,0.00053126-0.00071377i,0.00068423-0.00063122i,0.00077176-0.00072832i,0.00017773+1.04e-05i,-0.00010515+0.00055138i,0.00053877+0.00085911i,0.00090308+0.00068636i,0.00053927-9.8389e-05i,0.00043248-0.00045341i
0.00058406-0.0016145i,0.00031632-0.00119i,0.00019678+0.00025674i,0.0010538+0.0013298i,0.0024966+0.0012019i,0.0024116+0.00083534i,0.0013584+0.00044015i,0.00041894+0.0014423i,0.00041636+0.0026668i,0.0011547+0.0023074i,0.00086008+0.001321i,0.00091122+0.00042999i,0.00079285+0.00021118i,-3.0461e-05+0.0008271i,-0.00011911+0.0009294i,-0.00038856+0.00049405i,-0.00079243+0.00064395i,-0.00060037+0.00043261i,-0.00087438-0.00085295i,-0.0008107-0.00099226i,-4.8277e-05+0.00043456i,0.00055823+0.00017761i,0.0011957-0.00058678i
0.0012227-0.00040835i,0.0018712-0.0011398i,0.0030984-0.0017084i,0.0029905-0.001085i,0.0027398-0.00017361i,0.0023351-0.0011339i,0.0014442-0.0011905i,0.00077275+0.00021602i,0.0013772+0.0011927i,0.0014692+0.00062816i,0.00066933-0.00055943i,0.00044229-0.00035522i,0.00029752-0.00013572i,0.00013532-0.00032402i,-0.00024553-3.3384e-05i,-0.00092482+9.4193e-05i,-0.0012838-0.00013692i,-0.0010585-0.00047937i,-0.0011361-0.00039449i,-0.00072346-3.9832e-06i,-0.00044248+0.00019619i,-0.00049319-0.00042304i,0.00016307-0.001015i
-0.00046452+0.00040889i,0.00055255+0.00051984i,0.0015628+0.00091759i,0.0017388+0.00075903i,0.0032354+0.00046183i,0.0036389+0.00013442i,0.0020777+0.00011755i,0.0011104+0.00090765i,0.00071716+0.0013307i,0.00060733+0.00075983i,0.00067877+0.00025421i,0.0005087+0.00022427i,0.00017538-7.9126e-05i,0.00076755-0.00028982i,0.00052024-0.0001551i,-1.467e-05-8.2071e-05i,-7.0611e-05+3.6941e-05i,0.00030405+0.00051372i,0.00044423+0.00024897i,-0.00018841-1.9888e-05i,-0.00062672+0.00018573i,-7.3722e-05+4.4329e-05i,0.00071653+4.6082e-05i
-0.0015786-0.00028774i,-0.00036572-6.4923e-05i,0.0015771+4.6157e-05i,0.0030815+0.00051781i,0.0039752+0.0003275i,0.0037844-0.00049407i,0.0022942+3.955e-05i,0.00057809+0.0010843i,0.00021828+0.0014297i,0.00022201+0.00079647i,-0.00038979-5.5618e-06i,-0.00028783-0.00016225i,-0.00045913+0.00025143i,-0.00081006+0.00039452i,-0.00037758+0.00012363i,0.0002682-0.00061236i,0.00032006+5.2195e-05i,-0.00045927+0.00047196i,-0.001449-4.7407e-05i,-0.0011851+0.00099031i,-0.0010056+0.00093324i,-0.000811-0.0011474i,-6.2282e-05-0.0012727i
-0.00063605-0.00044747i,-0.00054854-0.00034923i,0.00036989-0.0011183i,0.0014597-0.0010323i,0.0020483-0.00034526i,0.002514-0.00029945i,0.0016319-0.00078441i,0.00073106-0.0005443i,0.00063228+0.00056048i,0.00065784+0.0009343i,0.00051834+0.001082i,-4.0409e-05+0.001137i,-0.0002427-5.4755e-05i,2.0413e-05-0.00046632i,0.00064016-0.00025652i,0.00085532-0.0012158i,0.00037845-0.001214i,-0.00062484-0.00031826i,-0.000899+6.5077e-05i,-0.00056169+0.00061992i,-0.00040807+0.00092481i,0.00025817+0.0010091i,0.00055116-0.00023393i
