4.296e-05+0.0019244i,-0.00016539+0.0022186i,0.00017456+0.0020636i,0.0011055+0.00050128i,0.0015013-0.0017448i,0.0015635-0.0023493i,0.00093712-0.001881i,0.00088222-0.0011999i,0.00072336-0.0010139i,0.00027601-0.00027473i,-0.00015615+0.00015878i,-0.00030621-0.00035334i,-0.0006672-0.00059036i,-0.0010471+8.0156e-06i,-0.00086914+0.00088848i,-0.00044744+0.00062441i,-9.4451e-05+7.5078e-05i,0.00025703+0.00095488i,-3.7094e-05+0.0012895i,-0.00025666+0.00097419i,0.00054484+0.00073863i,0.0011978-0.00028187i,0.00077579+0.00026004i
0.001448+0.00046993i,0.001125-0.00021017i,0.00019292-0.00053788i,0.00022375-7.9812e-05i,-0.000312+0.0005512i,-0.001321+0.001073i,-0.00072015+0.00070908i,0.00013479-0.00020517i,0.00034056-0.00085718i,2.4351e-05-0.001135i,-0.00034992-0.0002111i,-0.00077135+0.00062482i,-0.00053218+0.00027112i,0.00022353-0.00078864i,0.00065413-0.0010569i,0.00023898-0.00024441i,-1.8317e-05+0.0006322i,0.00046927-0.00028622i,0.00060232-0.001052i,0.00060189-0.00025514i,0.00014109+0.00033351i,0.00012233+0.00066534i,-0.00029957+0.00022764i
-0.0014491+2.5675e-05i,-0.0017293+0.00044918i,-0.00043801+0.00086584i,-0.0003405+0.0006396i,-0.00063026+0.00051287i,-0.000375+0.0010519i,-0.00038666+0.00061848i,-0.00030853+0.00051749i,-8.8735e-05+0.00059414i,0.00033365-0.00011655i,0.00071413-0.00046847i,0.00080571-0.00030309i,-8.2969e-05-0.00059765i,-0.00084456-0.00090316i,-0.00032891-0.0009023i,7.4366e-05-0.0011419i,0.00010816-0.001517i,-0.00011087-0.00057585i,-0.00026636-5.7916e-05i,4.0032e-05-0.00019748i,0.00055331-0.00011907i,0.0010337+0.00038998i,0.00050249+0.00043691i
0.00088865+0.0011631i,0.00094793+0.0019159i,0.00016296+0.00050152i,-0.00058376-0.00037189i,-0.00032996-0.00093428i,-4.5518e-06-0.0020191i,-0.00037901-0.001307i,-0.00059346-0.00012181i,0.00033985+0.00043743i,0.0010011+0.0012264i,0.00046432+0.0010072i,-0.00066751+5.2945e-05i,-0.00087575-0.00087464i,-0.00049236-0.0012106i,-0.00060918-0.00050806i,-0.00052826+9.4708e-05i,-0.00016663-0.00038577i,-0.00017579-0.00099537i,-8.0849e-07-0.00036359i,5.502e-05+0.00036503i,-0.00030389+0.00019245i,-2.7297e-05-0.00029622i,-0.00016063-0.00017925i
-0.00062249-0.000216i,-0.00048317+0.00058587i,-0.00027825+0.0013613i,0.00067222+0.00093859i,0.00015618+0.00024198i,-0.00078242-0.00030979i,1.1393e-05-0.00103i,0.0004816-0.0013753i,-4.1003e-05-0.00078779i,-0.00053067+0.00041817i,-0.00079134+0.00040363i,-0.00034425-0.00052434i,0.00011803-0.00074355i,-0.00033931-0.00055868i,-0.00077283-0.00082907i,-0.0010089-0.00084393i,-0.00080369-0.00074906i,0.0005188-0.00017612i,0.00097577+0.00060507i,0.0012984+0.00113i,0.0013232+0.0011324i,0.00037198+0.00071635i,-0.0001135-2.0802e-06i
-1.8428e-06+0.00012664i,0.00041246+0.0013379i,0.00053462+0.0013246i,0.00091895+0.00028544i,0.0015316+0.00028693i,0.0017211+0.00051111i,0.00080458+0.00073318i,0.00050034+0.0009211i,1.7085e-05+0.00030686i,0.00024169-9.1186e-05i,0.00084197-2.9363e-05i,-6.8712e-05-0.00011712i,-7.8153e-05+0.00011826i,0.00051964+0.00018426i,0.00015119+9.7078e-05i,0.00019453+0.000337i,0.00079534+0.00039296i,0.0010088-0.00038593i,0.00026669-1.4005e-06i,0.00018596+0.00048725i,9.9886e-05-0.00014687i,-0.00038142-5.0036e-05i,-0.00053214+0.00033563i
0.0022592+0.00051747i,0.0015314+2.9219e-05i,0.00086803-0.00012074i,-1.1191e-05-0.00079943i,-0.00087562-0.0013342i,-0.0017903-0.00077988i,-0.0014371-0.00043762i,-0.00090215-0.00017825i,-0.0001714+0.00034889i,0.00043106-0.00022121i,7.1697e-05-0.0014901i,-0.00035841-0.0012553i,-0.0001762+0.00037938i,0.00059462+0.00096321i,0.0012295+0.00053184i,0.00028519-2.2432e-05i,-0.00050595-0.00040958i,0.00034239-0.00076247i,0.00078104-0.0012337i,0.00079127-0.00066123i,0.00063174+0.00057495i,0.00024032+0.00065022i,-0.00034607+0.00036781i
-0.00019829+0.00024945i,-0.00025911+0.0011094i,-0.0012733+0.0016405i,-0.00071723+0.0021126i,9.5914e-05+0.0021177i,6.6981e-05+0.00094466i,-0.00032645-0.00025159i,-0.00081885-0.0004462i,-0.00057428-4.5703e-05i,5.2795e-05-0.00045434i,0.0009171+7.5859e-05i,0.0010184+0.0006284i,-0.0002297+0.0001291i,-0.00023848-0.00053351i,0.00032086-0.00033997i,0.00060759-4.3799e-05i,0.00084066+0.00051033i,-7.5517e-05+0.00026226i,-0.0012678-0.00051417i,-0.0013593-0.00046428i,-0.00058036+0.00014538i,-0.00010174+0.00023567i,-0.00068676-0.00048244i
-0.00035212-0.0017334i,-0.0022415-0.0010908i,-0.002143-0.0017325i,-0.0019946-0.0016217i,-0.0024447+0.00024823i,-0.0021503+0.00074276i,-0.00064786-0.00011144i,0.00054565-0.00025516i,0.0002991-0.00039223i,-0.00017452-0.001037i,-0.00058101+2.4293e-05i,-0.00054822+0.00098639i,3.6234e-05+0.00039807i,0.00067372-5.6192e-05i,0.0012085+0.00023641i,0.0017735+0.00065311i,0.0013174+0.00021853i,0.00042608-0.00025029i,-0.00024905-0.00072179i,-0.00031663-0.00062408i,9.0559e-05-0.00090287i,-2.6496e-05-0.00089263i,-0.00022393-0.00010226i
0.0011336-0.00027794i,0.00093289+0.00060869i,-0.00022166+0.0010323i,-0.0010821+0.0009798i,-0.00075153+0.00023712i,-0.00011891-0.00066473i,-0.00047938-0.00024657i,-0.00061333-2.4268e-05i,8.5141e-05-0.00012284i,0.00044972-0.00022101i,0.00020653-0.00038877i,-2.3127e-05-0.00048228i,0.0001132-0.0011571i,-0.00011654-0.0013957i,-0.00023441-0.00096683i,0.00013009-0.00031896i,0.00053807+0.00036498i,0.00068619+8.3336e-05i,0.001249-2.5927e-05i,0.0012814-4.7613e-05i,0.00063372-0.00035177i,-0.00018957-0.00037224i,-0.00046566-0.00035835i
0.00085576+0.0027485i,0.00071755+0.0019194i,0.001392+0.0005454i,0.0008688+0.00026619i,-0.0002124+0.0012533i,-0.000884+0.0015751i,-0.0013343+0.00027356i,-0.0011903-0.00058659i,-0.00068469-0.00085429i,-0.00056971-0.0011966i,-0.00022119-0.00081601i,0.00018784-5.4831e-05i,0.00015276-0.0003426i,0.00030497-0.00042612i,0.00048859-0.00015243i,-3.9044e-05+0.00035686i,-2.7423e-05+0.00079278i,0.00026416+0.00025094i,9.1888e-05-0.00043038i,0.00099967-7.8958e-05i,0.0019044+0.00083511i,0.0012103+0.0006552i,0.00054785-0.00038375i
0.00066908+0.00035917i,0.0012115+0.0002186i,0.0016498+0.00066774i,0.0026164+0.0012052i,0.0026801+0.00030104i,0.0011353-0.00044359i,-0.00010988-0.00035816i,6.8696e-05-0.00034725i,0.0001834-0.0003042i,-5.0317e-05-0.00062034i,-0.0001205-0.0012325i,-0.00028461-0.0004768i,-0.00052103+0.00045277i,-0.00055388+4.9547e-05i,-0.00056612+0.00016086i,-0.00030426+3.9029e-05i,-0.00075423-0.00025159i,-0.00098436+4.3503e-05i,-0.0001746+0.00056576i,0.00025873+0.00052705i,0.00011901+0.00037049i,0.00025827+0.00044769i,0.00062252+0.00010948i
0.0010274+0.0020146i,0.00023025+0.0025321i,0.00034326+0.0018332i,-0.00026624+0.00063879i,-0.00067735+8.9057e-05i,-9.8369e-05-0.0001641i,0.0010384-0.00045483i,0.0011265-0.00052305i,0.00036403-0.00039273i,-0.00033177-0.00013682i,-0.00097854-0.00051601i,-0.00088504-0.00058038i,-0.00082775-8.2891e-05i,0.00011364-0.00015893i,0.00080206-0.0002569i,0.00047747-0.00011125i,0.00059458+6.7641e-05i,0.00061656-0.00028534i,0.00024168-0.00040064i,-8.5568e-06-0.00046574i,0.00010341-0.00043652i,3.1715e-05-0.0004531i,0.00030085-0.00086314i
0.00094124-0.0013544i,0.00065377-0.0015882i,0.00049988-0.00092358i,0.00086409-0.00074962i,0.0010856-0.00035186i,0.00099202+9.8338e-05i,0.00047373-0.00055141i,0.00017282-0.00072091i,-7.0024e-05+0.0001529i,-0.00056572-3.2233e-05i,-0.00060211-0.00044186i,-7.0483e-05-0.00037743i,9.0563e-05+3.2229e-05i,-0.00014531+0.00040412i,-0.0011907+0.00077285i,-0.00107+0.0009562i,0.00019486+0.0011906i,0.00023811+0.0014817i,-0.00024897+0.0012138i,-0.0004153+0.00043613i,-0.00024409-0.00014488i,0.00017212-0.00055282i,0.0002204-0.00060901i
0.0012301+0.0030736i,0.00046221+0.0030558i,-0.00027262+0.0024121i,0.00037776+0.00097651i,0.0003916+5.0939e-05i,-0.00036262-0.00027923i,-0.00084639-0.00063783i,-0.0013295-0.00059973i,-0.001045-3.0204e-05i,-0.00023607+0.00034318i,-8.9779e-05+0.0005382i,-0.00045956+0.00041945i,-0.00063095+0.00042729i,-0.00047626+0.00092358i,0.00049449+0.0004152i,0.0010911+0.00058094i,0.00043395+0.0010867i,0.00031656+0.00047523i,0.00084485-0.00030331i,0.00073055-0.0002902i,5.1473e-06-0.00033819i,-8.0778e-06-0.00082663i,0.00041451-0.000898i
-0.0030659-0.00067685i,-0.0028144+0.0001944i,-0.0021808+0.0020459i,-0.00053311+0.0018232i,0.00055389+0.00076035i,-9.9928e-05+0.00016693i,-0.0012065+0.00013084i,-0.0011056-0.00025852i,-0.00085254-6.3967e-05i,-0.00047774-0.00012436i,0.00045181-0.000669i,0.00085192-3.0792e-06i,0.00026339+0.0002103i,-0.00047826+0.0003374i,-0.00091808+0.00045303i,-0.00026793-7.3964e-05i,0.00028769+0.00025269i,-0.00022066+0.00094969i,-0.00097291+0.00040373i,-0.000823-0.0004541i,-0.00027662+0.00020496i,-0.0002959+0.0012773i,-0.00066962+0.00045636i
0.0031158+0.0027128i,0.0034876+0.0022901i,0.0019357+0.0016748i,0.0012173+0.00047974i,0.00064027-0.00038803i,-0.00061444-0.00036586i,-0.0012268-9.9267e-05i,-0.0013693+0.00032604i,-0.00054864+9.5724e-05i,-0.00016457-0.00097691i,-0.0011428-0.0012695i,-0.00078143-0.00080212i,-0.00033346-0.0004755i,-0.00027097-0.00014075i,-0.00016947+0.0002285i,-0.00012962+0.0002642i,-0.00016508+3.7251e-05i,0.00038046+5.2881e-05i,0.00068245-0.00058343i,0.00077073-0.0010742i,0.00048666-0.00058331i,2.6063e-05-0.00036307i,0.000368-6.566e-05i
-0.0023089-0.0015639i,-0.002725-0.00031037i,-0.0019118+0.00090711i,-0.0011998+0.0017169i,-0.0010841+0.0016558i,-0.00044171+0.0008066i,6.3241e-05+2.7326e-05i,-4.9769e-05-0.00089031i,-0.00092786-0.0012518i,-0.00086024-0.00024961i,-0.00044192+0.00029985i,-0.00024059-2.9934e-05i,9.8597e-05-0.00034945i,-0.00038544-0.00050548i,-0.00033671-0.00059439i,0.00031617+0.00018832i,0.00025299+0.00059417i,-7.4575e-05+0.00019212i,-0.00010527-3.1004e-05i,0.00027971-0.00035056i,0.0003715-0.00019923i,7.8995e-05-9.1319e-05i,-0.00018422-0.00070703i
