-0.0044995+0.00029811i,-0.0028229+0.00027205i,-0.0025874+0.0015561i,-0.0017205+0.0021627i,0.00022039+0.0020763i,0.0014128+0.0015899i,0.00086787+0.00095434i,0.00052049+1.0598e-05i,0.00021027+0.000211i,-0.0002293+0.00042823i,-0.00030037-0.0006351i,-0.00056837-0.0014788i,-0.00096946-0.0016657i,-0.0017178-0.00097333i,-0.0018312-0.00045073i,-0.00094772-0.00013515i,-0.00036992-0.00037227i,0.0001813-0.00087216i,0.00015058-0.0002999i,0.00080597+0.00065566i,0.00097614+0.00010892i,-0.00028675-0.0005569i,-0.00086472-6.6075e-05i
0.0027619+0.0018718i,0.0042392+0.0007502i,0.0050716-0.0011816i,0.0034204-0.0010994i,0.0028886+0.00013849i,0.0027238+0.00013116i,0.0020929+0.00017893i,0.0010812+0.0006982i,-5.1239e-05+0.00061005i,0.00015039+0.00062771i,0.00038876+8.1806e-05i,0.00024346-0.00031894i,0.000195+4.9197e-05i,-0.00016434+0.00012251i,-0.00015705-0.00015155i,0.00010569-0.00051024i,9.4457e-05-0.00012848i,-0.00028891+0.00039503i,-0.0003087+0.00015837i,0.00016314-0.00025058i,-5.4353e-05+0.00019196i,0.0002409-9.5612e-05i,0.0010366-0.00034898i
-0.0016358+1.1757e-05i,-0.0013989+4.9332e-05i,-0.00041988+0.00029866i,-0.00024029+0.00032567i,-0.00018357-0.00010511i,7.7043e-05+8.411e-05i,0.00022232+0.0011058i,0.0004278+0.0013025i,0.00043047+6.0863e-05i,0.00031441-0.00083682i,0.00020207-0.0013656i,0.00014453-0.0010535i,-0.00057889-0.00022203i,-0.0005143+8.1898e-05i,0.00010964-7.7126e-05i,0.00017432-0.00043787i,-0.00021355-0.00058427i,-0.00082134-0.00023038i,-0.00085477+0.0003416i,-0.00038686-2.4812e-05i,-0.00012662-0.00024674i,-3.3476e-05-9.4128e-05i,-0.00019244-0.00019719i
0.00053526+0.0017953i,0.00081525+0.0016103i,0.0014677+0.00083325i,0.0019065-0.00052902i,0.0018582-0.0012532i,0.0013271-0.00041401i,0.00045491+0.00078967i,0.00036864+0.0015879i,0.00026517+0.00086531i,0.00022375-0.00036883i,0.00017999-0.00036002i,-9.5495e-05+8.6839e-05i,0.00013543+0.00027455i,-0.00037832+0.0007184i,-0.00078937+0.00033474i,-0.00065214-8.7624e-05i,-0.00057092+0.00033489i,-0.00076277+0.00062729i,-0.00063773+0.00075171i,-6.7571e-05+0.0011079i,-3.8674e-05+0.0013507i,-0.00024799+0.00022008i,0.00018601-0.00039564i
-0.0015027-0.0017336i,-0.001231-0.00053548i,-0.00056323-7.7449e-05i,-0.00010512+0.00027312i,0.00031722+0.00081764i,0.00099374+0.00076163i,0.0014199+0.0003718i,0.0011434+6.5495e-05i,1.3308e-05+0.00020277i,-0.00074433+0.0001511i,-0.00093125-0.00018996i,-0.00083519-0.00019753i,-0.0015205+0.00052332i,-0.0018478-9.3867e-05i,-0.0013291-0.00082704i,-0.00050568-0.00015537i,-0.00011578+0.00066451i,-0.0010251+0.00079719i,-0.0014652+0.00043656i,-0.0011612+0.00038658i,-0.00064777-2.1709e-05i,6.2926e-05-0.00033865i,-0.00030278-0.00036804i
0.00096451+0.00031708i,0.0015884+0.0012365i,0.0018589+0.00077705i,0.00096354-0.00058055i,-4.7263e-06-0.00096113i,-0.0001115-0.00042529i,0.0005573+9.985e-05i,0.0007713+3.6138e-05i,0.00055243+0.00011699i,0.00035359-0.00012823i,7.0587e-05-0.00077522i,-4.1879e-06-0.00056138i,0.00013043-0.0004106i,0.00056987+9.1889e-06i,4.4015e-05+0.00051112i,-0.00058775+0.00013275i,-0.00053264-0.0003933i,-0.00048593+0.00028107i,-0.00031494+0.0004721i,-0.00023202+0.00023231i,-0.00067958+0.00029186i,-0.00048654-4.0618e-05i,-4.5901e-05-0.00021833i
-0.00076179-0.0020756i,-0.00025159-0.0032033i,-0.00058522-0.0017811i,-0.0001928+0.00055924i,0.00077194+0.0013237i,0.0012521+0.00091835i,0.0011981+0.00074456i,0.00073116+0.00067044i,9.3844e-05-2.6107e-05i,-9.7484e-05-0.00092556i,0.00034268-0.0010718i,0.00030009-0.0012299i,0.00027567-0.00061216i,0.00060359-9.5417e-05i,5.5399e-05+0.00049278i,-0.00056664+2.9718e-06i,-0.0012882-0.000174i,-0.0011253+9.432e-05i,-0.00011789-0.00058016i,0.00062467-0.00078999i,0.0010452-0.00055346i,0.00070789-0.00057717i,0.00042747-0.00012841i
0.00033121+0.002845i,0.0010252+0.0028719i,0.0021544+0.0017268i,0.0026492-0.00024505i,0.0023418-0.00098341i,0.001474-0.00031349i,0.001014+0.0007906i,0.00067836+0.0013665i,0.00057562+0.0010105i,0.0010916+0.00021932i,0.000632-6.3514e-05i,0.00015209-0.00031522i,-4.7833e-05-0.00034022i,-0.00038094-0.00029775i,-0.00064259-0.00051276i,-0.00047805-0.00012415i,0.00014392+0.00037132i,-0.00022374+0.00046442i,-0.00050389+0.00030182i,-0.0002146+0.00013375i,-0.00019097+0.00024019i,-0.00015274+0.00054199i,8.9309e-05+0.00039844i
-0.002042-0.002702i,-0.0021182-0.0038167i,-0.002307-0.0035459i,-0.0017057-0.0017103i,-0.00079225-0.0006384i,0.00087028-7.0599e-05i,0.0012551+0.00069778i,0.00075732+0.0010703i,0.00063852+0.00015889i,-0.00018004-0.0012336i,-0.00056004-0.0012311i,-0.00022315-0.0010183i,-0.000768-0.00076562i,-0.0010711-0.00080292i,-0.00087342-0.00075928i,6.6405e-05-0.00052358i,0.00068289-0.00051974i,0.00023254-0.000326i,-0.00023233-0.00012124i,-0.00057666+0.00029573i,-0.00025284-0.00012983i,0.00028595-0.00078385i,0.00025275-0.00042301i
0.0029172+0.0015641i,0.0035157+0.00091119i,0.0036408+0.0011597i,0.002612+0.0017168i,0.0015267+0.0010091i,0.0010206+0.00011613i,0.00072304+0.00021887i,-6.0396e-05+0.0008246i,-0.00042629+0.0010916i,6.0322e-06+0.00077966i,0.00010618+0.00047128i,0.00036726-0.00024187i,0.00054767-0.00022841i,0.00014219+3.222e-05i,-0.00013632-3.7087e-05i,-1.4909e-05+0.00039287i,0.0003711+0.0010274i,0.00023559+0.0010578i,0.00011738+0.0002539i,-0.00034856-0.00018494i,-0.001939+0.00025577i,-0.0010471+0.00063901i,0.00020287+0.00014833i
-0.00010133-0.00039075i,-0.00028385-0.00092935i,0.0010959-0.0020902i,0.0017966-0.0014119i,0.0007667-0.00050322i,5.0812e-05+0.0002001i,-0.00028117+0.00042944i,-0.0002573+0.00086908i,0.00055025+0.0010569i,0.00096393+0.00023324i,0.000469-0.00024226i,-6.7313e-05+1.7317e-05i,0.00040182+0.000272i,0.00096351+0.00034595i,0.00097503+0.0006956i,0.00074258+0.00038583i,0.00054931-6.7467e-05i,0.00036745-0.00015564i,0.00035006+6.192e-05i,0.0007381+4.1379e-05i,0.00041828+0.00012331i,-0.00056558+0.000171i,-0.00056147-3.2358e-05i
-0.00037097-0.0042583i,-0.00054429-0.0044977i,-0.00056224-0.0030578i,-0.00047356-0.00066265i,0.00040354+0.00088067i,0.00082192+0.00096499i,0.00053782+0.00040541i,0.00076469+0.00030803i,0.00070672-0.00044254i,0.00069216-0.00041609i,-8.7489e-05+0.00022539i,-0.00083865-0.00045491i,-3.9684e-05-0.0012008i,0.00070712-0.00093346i,0.00097209-0.00036461i,0.0013118-0.00055617i,0.00050622-0.00023966i,-0.00023649-0.00015334i,0.00014438+0.00034687i,0.00055413+0.0014863i,0.00058697+0.00061811i,2.5497e-05-0.00041834i,-8.6577e-05-0.0011442i
0.0022899+0.0011203i,0.003852+0.00054835i,0.0032516-0.00018419i,0.002204-0.0004094i,0.00072147-0.00019549i,-0.00028586-9.1239e-05i,-0.00038598+0.0010515i,-8.178e-05+0.0015163i,0.00025322+0.00066005i,-0.00023696+0.00041745i,-0.00046943+0.00021802i,8.6051e-05-0.0006322i,0.00057682-0.00067071i,0.00054258-0.0001976i,-1.9979e-05-3.3727e-05i,-0.0004058+5.1089e-06i,-0.00018683-0.00023916i,-0.00014117-0.00036612i,-0.00070898+0.00043843i,-0.00036927+0.00042426i,-0.00015899+4.0728e-05i,-1.3088e-05-0.0003259i,0.00066502-0.00063494i
-0.00059254-0.00065608i,-0.0012258-0.00159i,-0.0006016-0.0012756i,-0.00024163-0.00044201i,-1.3756e-05-0.00047506i,-8.0304e-05-0.0004295i,0.00039825+0.00094521i,0.00061739+0.0013254i,0.00024961+0.00044784i,0.00020509+0.00032645i,0.00092285+0.00045684i,0.00065611+7.5565e-05i,6.3791e-05-0.00039967i,0.00050338-0.0009149i,0.00066324-0.0010875i,-0.00017657-0.00051325i,-0.00028143-0.00015294i,-0.00075801-0.00026126i,-0.0011871-6.4314e-05i,-0.00056752+9.5785e-05i,-0.00016669+0.00012317i,-0.00031456+8.6348e-05i,-0.00069799-0.00015285i
-0.0010421+0.00037929i,0.00071939+0.00045518i,0.0022797+0.00031904i,0.0023447+7.8527e-05i,0.0016144+0.00022953i,0.0012163+0.00078447i,0.00077022+0.00016556i,0.00094698-3.2963e-05i,0.0010031-0.0008341i,0.00055425-0.0019399i,0.00044461-0.00093008i,0.00057632-0.00016758i,0.0010161-0.00023476i,0.00071898+3.067e-05i,0.00021221-0.00041701i,-0.00025782-0.0003672i,-0.00030193+0.0003393i,0.00032167+0.00047282i,0.00099003-1.4362e-05i,0.001115-0.00063333i,0.00039697-0.00027029i,-0.00020664+0.0005813i,-0.00014754+0.00097692i
0.0010168+0.00022897i,0.00066727-0.00061107i,0.0010944-0.0018646i,0.00058121-0.0014359i,8.0088e-05-0.0010918i,0.00019456-0.00092081i,0.00042023+0.00030074i,0.00052062+0.00089871i,0.00040997+0.0011259i,0.00015255+0.00072966i,-4.8863e-05-6.3114e-05i,0.00027202-0.00026576i,-0.00044691-9.9748e-05i,-0.00028427-0.00021016i,0.00044254-0.00023965i,0.00011625+0.00035568i,0.00050014+0.00064168i,0.00030478+0.00016479i,-0.00044577+0.00012407i,8.1527e-05+0.000187i,0.00031258-8.425e-05i,0.00015441+0.00029936i,-0.0001164+0.0010224i
-5.7034e-05-0.00046495i,0.00048323-5.5788e-06i,0.00024901-0.00035721i,9.6002e-06-0.00035814i,0.00019998+0.00047893i,0.00079787+0.00081438i,0.00054134+0.00020624i,0.00069392-9.7588e-05i,0.0010013-0.00057756i,0.0005966-0.0011009i,0.00027128-0.00075836i,-0.00032742-0.00045707i,-0.00082705+0.00034851i,-0.00073572+0.00059805i,-0.00063981-0.00045095i,-0.00023869-0.00095611i,0.00027587-0.00094064i,4.9598e-05-0.0007147i,-0.00015669-0.00056119i,-0.00045529-0.00082362i,-0.00081616-0.00075153i,-0.0013956-0.00067019i,-0.0017821-0.00044342i
-0.0011981+0.00080391i,0.00025096-0.00055163i,0.00041341-0.00068561i,0.0013455-3.4629e-05i,0.0018912+0.00066895i,0.001206+0.00060828i,0.00055515+0.00095226i,0.00064802+0.0010611i,0.00070846+0.0010452i,0.000549+0.0004896i,9.3766e-05-0.0002184i,-0.00026102-0.00039786i,-0.00057226-0.00018425i,-0.0004716+0.00017114i,0.00012294-0.00011951i,3.9321e-05-0.00054423i,-0.00049997-0.00082427i,-6.9082e-05-0.00019513i,0.00070103+0.00052086i,0.0003882+0.0001364i,0.00017198+0.00034044i,0.00051992+0.00041491i,-4.9216e-05+0.00016367i
0.0033778-0.00045225i,0.0034481-0.0003767i,0.0030788-0.00078069i,0.0014618-0.0010604i,-8.2109e-05-0.00087655i,-0.00033286-0.0010019i,0.00012145-0.00017793i,0.0008784+0.00084331i,0.0015404+0.00034778i,0.00045793-0.0004299i,-0.00051824-0.00074891i,-0.00044207-0.0011695i,-8.2193e-05-0.00046058i,-0.00020627+0.00012384i,-0.00023601+0.0003566i,-4.6215e-05+0.00039058i,2.8007e-05-1.1222e-05i,0.00033193+0.00049042i,-5.126e-05+0.00048511i,-0.00038585+0.00048692i,-0.0005181+0.00092375i,-0.00034598+0.0004639i,7.142e-05+0.0005055i
-0.00090973-1.7469e-05i,-0.00022643-0.00024945i,0.00037103-0.00019702i,0.00090756-1.4255e-05i,0.0013445+0.00036199i,0.001234+0.00092808i,0.001431+0.00098992i,0.0013919+0.00049567i,0.0010763-0.00045555i,0.00050092-0.0014133i,1.0131e-05-0.0019351i,-0.00054625-0.0013508i,-0.0011221-0.00059541i,-0.00079459-0.00066876i,-0.00075062-0.00056256i,-0.00064106-0.00021392i,-0.00023525+0.00021062i,-3.0894e-05-0.00013203i,0.00086857-0.00025684i,0.00044097+0.00089529i,-0.00057924+0.0013299i,-0.00046268+0.00038466i,0.00047476+0.00018699i
0.0024684+0.00016589i,0.0021731-0.00049622i,0.0018634-0.00018729i,0.0012583-0.000466i,0.00078448-0.00093003i,-1.0964e-05-0.00017591i,-0.00013584+0.00083473i,0.00041809+0.0012279i,0.00077967+0.00071219i,0.00099213-0.00026786i,0.00028375+0.00025061i,-7.0911e-05-0.00013944i,0.00069054-0.00075096i,0.00098667+9.9787e-07i,0.0005547+0.00059981i,-0.0002317+0.00093991i,-0.00090307+0.00055447i,-0.00044488-0.00041425i,-0.00016463-0.00084091i,-0.00039449-0.00042707i,-0.00054867+0.00043444i,-0.0010362+0.00065763i,-0.000954+4.658e-05i
0.00082895+0.0013111i,0.0019604+0.00035671i,0.0021695+5.8039e-05i,0.0015725+0.00026682i,0.0017378+0.00086065i,0.0014557+0.00040553i,-1.1376e-05-0.00013927i,0.00026985-0.00012733i,0.00098112-0.00040345i,0.00030841-0.00060896i,-0.00020331-0.00071211i,0.00025754-0.00063824i,-2.3263e-05-0.00020128i,-0.00053055-0.00067689i,0.00010267-0.0005201i,0.00042141+0.0010491i,-0.00060503+0.00085354i,-0.0015198+6.5226e-05i,-0.0011014+0.00011802i,-0.0008765+0.00014056i,-0.00031337-0.00039534i,0.00015676-0.00033926i,-0.00046203-0.00030446i
-0.00037272-0.00087036i,0.00044445-0.0014429i,0.0010147-0.00087204i,0.00044487-9.4578e-05i,0.00041432+0.00040396i,0.00060894+0.00056074i,0.00030052+0.00030273i,0.00038948+0.00021303i,0.00025285+0.00086332i,0.00017187+0.00054122i,0.00014635-0.00010508i,0.00030832-0.00079443i,0.00028047-0.0015529i,6.091e-07-0.0014796i,0.00042325-0.00055685i,0.00085464+0.00030139i,0.0010833+0.0002603i,0.0010486+0.00038381i,0.00068651+0.00010196i,0.00040275-0.00025146i,-0.00032763+7.4815e-05i,-0.0010625+0.00027251i,-0.00060351+0.00014946i
0.0017269-0.0011102i,0.0016526-0.0019509i,0.0021466-0.0020038i,0.00058296-0.0019825i,-0.00082925-0.0014064i,-0.00089876-0.00071234i,-0.00034186-0.00052206i,0.00044746+0.00042048i,0.00097719+1.5178e-05i,0.00051846-0.00078564i,8.6133e-05-0.00033739i,0.00033877+6.8251e-05i,0.00061403+0.00022082i,0.00083356+0.00084445i,0.001017+0.0010206i,0.00040386+0.00062797i,-0.0002295+0.00070315i,-6.4565e-05+0.00042574i,5.9533e-05-0.00029039i,2.0387e-05-0.00043249i,-9.5271e-05-0.00047711i,1.2891e-05-0.00077346i,-0.00022823-0.00025521i
0.0018904-0.0031497i,0.0013005-0.0022248i,0.00083982-0.0017736i,0.00040606-0.00057609i,0.0011359+9.8066e-05i,0.0012495+2.3804e-05i,0.00057894+0.00076391i,0.00062142+0.0011121i,0.00085241+0.00024364i,0.00012859+0.00011717i,-0.00045124-0.000157i,0.00030955-0.00050465i,0.00059314-0.00055383i,0.00044172-0.00033348i,-0.00020968+3.2576e-05i,-0.00096162-7.6424e-06i,-0.00082629-0.00020525i,-0.00051637-3.2312e-05i,-0.0010057+0.0002049i,-0.00076556+0.00011639i,1.0404e-05+0.00038551i,-0.00018789+0.00085984i,0.00031436+0.00088619i
8.2518e-05-0.0012769i,-0.00031807-0.00041099i,-0.001524-0.00015843i,-0.0019562-2.5854e-05i,-0.00081651+0.00072771i,2.119e-05+0.00094635i,0.00056181+0.00082827i,0.00042345+0.00037109i,-0.00023942+4.8932e-05i,-0.00088328-9.475e-05i,-0.0016276-3.0702e-05i,-0.0015755-0.00032729i,-0.00054475-0.0005091i,9.4122e-05-0.00060312i,0.00044044-0.0011296i,0.00086884-0.00096063i,0.00068116-0.00019886i,-0.00043287-0.00015854i,-0.00093879-0.00015208i,-0.00046637-0.00063733i,0.00057077-0.00079784i,0.0010992-0.000361i,0.00022794-7.2512e-05i
8.7372e-05-0.0019169i,0.00062855-0.0021298i,0.00089696-0.0017718i,0.00064948-0.0010543i,0.00039013-0.00048752i,0.00039847+0.00012587i,0.00080475+0.00055597i,0.00079963+0.0003806i,0.00077345-0.00026536i,-0.00023639-0.00041231i,-0.00076674-0.00037668i,-0.00036874-0.00029553i,-0.00017574+0.00040556i,-0.0007459+0.0010838i,-0.00094639+0.00034937i,-0.00065534-0.00078639i,-0.0004776-0.00073426i,-0.00024835-2.7175e-05i,0.00026945+0.00018196i,0.00054221-0.00041296i,0.00044027-0.00047251i,2.7313e-05+1.6068e-05i,-0.00038625+0.00022704i
0.0026095+0.00040424i,0.0035003+0.00050238i,0.0024799-0.00046335i,0.0013836-0.0014541i,0.00085115+0.00044898i,-0.00016969+0.0020105i,-0.00046023+0.0017526i,0.00030221+0.0016924i,0.0014048+0.0014392i,0.0010107+0.00068218i,0.00021093+3.2709e-05i,0.00025489+0.0003996i,0.00021206+0.00064642i,-4.706e-05+7.3639e-05i,-0.00023175-0.00039089i,-0.00027132+0.00019354i,0.00028315+0.00058436i,-4.3426e-05+7.1024e-05i,-7.2295e-05+0.00028908i,0.00015173+0.00043502i,-0.00019773-0.00033215i,-8.5382e-05-0.00078141i,2.2211e-05+1.1595e-05i
-0.0023389+0.0013634i,-0.0011221+0.00099788i,-0.00014435+0.00074404i,0.00044683+0.00042598i,0.0010381-0.00038517i,0.00035537-0.00059992i,-0.00044433+0.00054423i,-0.00039603+0.00075256i,0.00015063+3.2839e-05i,0.00020655+3.0366e-05i,1.2031e-05-0.00024108i,-0.00071309-0.00038596i,-0.0012826+0.00043422i,-0.00050808+0.00071939i,-0.00026468+0.00020375i,-0.00031521-0.0004637i,-0.00010707-0.00044357i,0.00051102+0.00051848i,0.0012544+0.00069881i,0.00096571+0.00097178i,0.00028874+0.00030938i,0.00018974-0.00087739i,0.00049355-3.9869e-05i
0.00060266-0.00054874i,0.0020996-0.00016964i,0.002547-0.00028441i,0.0023582-0.00072536i,0.0020538-0.00029441i,0.0014678+0.00072358i,0.00077966+0.00093759i,9.1098e-05+0.00070459i,4.1847e-05+0.00011515i,-0.00010989-0.0005481i,0.0002938-0.0010704i,0.00013796-0.00051817i,-0.00043183+0.00025609i,0.00030733+0.00061658i,0.00024266+0.00070991i,-0.00050068+0.00066084i,-0.00010214-0.00023118i,5.523e-05-0.00020525i,0.0001274+4.61e-05i,0.00016031-0.00036521i,0.00020267-0.0010114i,0.00032616-0.00059089i,0.00020772+8.274e-05i
0.00024715-0.00070294i,0.00019208-0.00044911i,0.00047423-0.00083799i,0.00089176-0.00048259i,0.00055048+0.00042945i,0.00021095+0.0010345i,0.00030071+0.00034537i,0.00013204+5.2398e-05i,-0.00028649-0.00049186i,0.00041849-0.0011207i,-0.00018683-0.00044261i,-0.00090027-0.00015524i,-0.00044131-0.00050578i,-2.3498e-05-0.0009866i,0.00022059-0.00099217i,0.00013358-0.0013165i,0.00010902-0.0012231i,-0.0001031-0.00036794i,-0.00026685+0.00034186i,0.0004416-0.0004341i,0.0011358-0.0012837i,0.00066791-0.00087797i,0.00014797-0.00040517i
-0.00085851+0.0014841i,0.00035233+0.001106i,0.00077896+0.001002i,0.001112+0.00071369i,0.0018598+0.00011328i,0.0014511-0.00039085i,0.00020473-0.00018194i,0.0001301+0.00083509i,0.0003355+0.0010616i,-0.00045096+0.00036797i,-0.00091385-0.00035542i,-0.00010656-0.00047112i,0.00065646+0.00011445i,0.00023445+0.00077682i,-0.00086253+0.00037997i,-0.00064035-5.1917e-05i,-3.349e-05+0.00012553i,-6.6501e-05-0.00027116i,-0.00017724-0.00086395i,-0.00012167-0.00045493i,-0.00010355+0.00015372i,-0.00062382+0.00066033i,-0.00049675+0.00047954i
0.00044953-0.0030784i,-0.00076656-0.0025783i,-0.0011857-0.0020544i,-0.0005188-0.00082867i,0.00030206-0.000273i,0.0010573+0.00070674i,0.0015244+0.0019672i,0.0016693+0.0017458i,0.00093571+0.00031171i,-0.00041797-0.00076832i,-0.0011373-0.00077458i,-0.00075814-0.00077173i,0.0007276-0.00081127i,0.0015519-0.00048507i,0.00046592-0.00020576i,-9.4623e-06-0.00060251i,0.0004533-0.0010827i,0.00072947-0.0013357i,0.00077582-0.00049695i,0.00038692+0.00083832i,0.00028436+0.00089756i,-2.971e-05+0.00039588i,0.0002385+0.00021829i
-0.00040429+0.0006379i,0.00078032+0.00045956i,0.00086339+0.00028796i,-0.00052172+0.00039281i,-0.00062841+0.00042936i,0.00058468-0.00014702i,0.00013502+0.00065039i,-0.00029847+0.0019342i,0.00023554+0.00066018i,0.00063493+0.00039812i,0.00021232+0.00094703i,-0.0006326-0.00044933i,-0.0011574-0.0012604i,-0.00082832-0.00051389i,-0.00046578-0.00018777i,-0.00015232+2.2649e-05i,5.2004e-05+0.00045649i,-0.00038844+0.00010547i,-0.0010115+0.00034285i,-0.00079205+0.0006382i,-0.00066214+0.00050544i,-0.00036856+0.00080322i,-0.00027517+0.00052056i
-0.00095813+1.9094e-05i,1.7408e-05+0.00026552i,0.00037812+0.0010084i,0.00051786+0.00081505i,0.0012111-0.00027672i,0.0015774+0.00036934i,0.0012031+0.0017368i,0.00028715+0.001331i,-2.2077e-05-0.00014957i,0.00016546-0.00039721i,-0.00014602-4.5567e-05i,-0.00077195-0.00020216i,-0.00019295-0.00040361i,0.00025286-0.00013385i,0.00016412+9.4648e-05i,0.00023621+0.00047041i,0.0005523+0.000426i,0.00092676-1.338e-06i,0.00059096-0.00011183i,0.00010654-0.00071419i,0.00019808-0.00061655i,7.2962e-05+0.0004632i,-0.00053277+0.00071255i
0.0016361-0.00048712i,0.0028592-0.0017534i,0.003445-0.0017866i,0.0028272-0.0012712i,0.0014589-0.0013266i,0.00064941-0.00065068i,0.00065161+0.00010761i,0.001117+0.00070194i,0.00080302+0.00067892i,0.00014568+0.00036705i,2.8707e-05-0.00011003i,0.00011577-1.9404e-05i,-9.2826e-05+0.00015838i,-0.00025439+0.00019494i,0.00019003+7.1241e-05i,0.00043615-0.0005067i,-0.00034022-0.00036457i,-0.00062237+0.00047716i,-8.0635e-05-3.0341e-05i,0.00055416-0.0009513i,-0.00015216-0.00043393i,-0.00054815+0.00018112i,1.4576e-05+0.00016631i
0.00058858+0.0011852i,0.0010491+0.00070913i,0.0021195-0.00021309i,0.0013732-0.0011257i,-6.3023e-06-0.0023231i,-0.00019601-0.0013i,0.00025598+0.00054643i,0.0009385+0.00059963i,0.00094684+0.00068877i,0.00063948+0.00075368i,0.00061951+0.00020492i,0.00012627-0.00024103i,-0.00086828-0.00056453i,-0.00054207-0.00019896i,0.00018769+0.00023682i,-0.00033814-6.1467e-05i,-0.00087343-0.00044987i,-0.00095861-0.0001777i,-0.00041318+0.00019346i,-0.00041718+0.00047924i,-0.00045633+0.00013652i,-0.00060391-3.4886e-05i,-0.0010532+0.00018176i
0.0004965+0.00048695i,0.0010905-0.00073071i,0.00090719-0.001684i,0.00056928-0.0013996i,0.001601-4.1318e-05i,0.0020478+0.00098267i,0.0015287+0.0015941i,0.001117+0.0011526i,0.00098092-0.0001304i,0.00064613-0.00029674i,2.2302e-05-8.8635e-05i,-6.7391e-05-3.4849e-05i,-2.7677e-06-0.00033616i,1.6881e-05-0.00015454i,-0.0002585+0.00040201i,0.00021663-0.00023447i,0.00022428-0.00057051i,-0.00071132-0.0005831i,-0.0005441+2.8402e-05i,0.00033482+0.0007276i,0.00037219+0.00056698i,0.00044269+0.00024682i,0.00039217+2.1943e-05i
0.0016087-0.00075549i,0.0012556-0.00063741i,0.001135-0.0010553i,0.00039586-0.00093193i,-0.00052163-0.00024567i,-0.00041615+0.0007639i,0.00018785+0.001732i,0.00094061+0.0017445i,0.0013977+0.00052858i,0.00060661-8.9324e-05i,-0.00039081-0.00011881i,-0.00022595-0.00053671i,-0.00014404-0.00058109i,-0.00035653+0.00012856i,-0.00081458+0.00052354i,-0.0012457-1.9909e-06i,-0.00089321-0.00021497i,0.00019342-0.00083149i,0.00054376-0.00046965i,0.00030624+0.00033i,-0.00039113+0.00039877i,-0.0011825+0.00025436i,-0.0010845-4.9887e-05i
-0.0018468+0.0010161i,0.00026021+0.00075923i,0.0012137+0.00099367i,0.0010934+0.00040585i,0.0018858+0.00031707i,0.0020066+0.00030232i,0.001209+4.0862e-05i,0.00081684+0.00024676i,0.00044701+0.00054228i,0.00018939+0.00029977i,0.00016903-0.00047661i,-6.7043e-05-0.0010733i,-0.00014389-0.00055337i,-0.00024082-0.00036827i,-0.00062458-0.00020927i,-0.00081005+7.5663e-05i,-0.00040487-2.6214e-05i,-0.00023258+0.0003245i,0.00014382+0.00089289i,0.00060102+0.0002107i,0.00019278+0.00021042i,-0.00055077+0.00028727i,-0.0012188+0.0002275i
0.0013704+0.00035097i,0.00221+0.00014446i,0.0019484-0.0008961i,0.0011738-0.0014455i,0.00058435-0.0016188i,0.00043401-0.00017216i,0.0012309+0.0011632i,0.0013844+0.00078921i,0.00026272+0.00067208i,-0.00074798+0.0007406i,-0.00061398+0.00036211i,-0.00011965+0.00036085i,0.00019894+0.00022613i,0.00010321+5.1022e-05i,-0.00040828+0.00017219i,-0.00032171+6.0257e-06i,7.9415e-05-5.0513e-07i,6.7791e-06+0.000312i,2.1834e-05+0.0012084i,-0.00020601+0.0011347i,-0.00024761+0.00014282i,0.00011849-0.0005899i,0.00018634-0.00085871i
-0.0003704-0.00040665i,0.00076015-0.0010431i,0.0017981-0.0016451i,0.0016042-0.0025899i,0.0014997-0.0021061i,0.0012385-0.00065509i,0.0011974+0.00048115i,0.0012671+0.0011347i,0.00088881+0.00076767i,0.00017089-2.1089e-05i,-5.3856e-05-0.00030961i,-0.00036213-0.00070303i,-0.00062623-0.0001991i,-0.00053865+0.00010434i,-0.00023984+3.2099e-06i,-0.00012365+9.0622e-05i,-0.00050383-0.00036156i,-0.00050019-0.0002531i,-0.00044981-0.00013024i,1.0418e-05-0.00022664i,0.00074916-0.00064586i,0.00017458-0.0015024i,-0.00032803-0.0020512i
0.00054067-0.0012378i,0.00090718-0.0012578i,0.00019569-0.00019872i,-0.00061105+0.00010486i,0.00019493+0.00019547i,5.6238e-06+0.00081962i,5.5577e-05+0.00095742i,0.0006704+0.00049898i,0.0006165+0.00050796i,0.00021732+0.00037893i,6.8703e-05-0.0001242i,-9.1087e-05-0.00013141i,6.4303e-05-7.9532e-05i,0.0003949+0.00039911i,0.00096884+5.2084e-05i,0.00058406-0.0004287i,-0.00066907-2.0275e-05i,-0.0013715-0.00054827i,-0.0010979-0.00017013i,-0.00012151+0.00079525i,0.00045663+0.00061415i,0.00035511+0.00018675i,-0.0004359-7.0652e-05i
-0.00080421-0.00075864i,0.000192-0.00089325i,0.0013915-0.001364i,0.0020446-0.0013614i,0.0023201-0.00077339i,0.0014701-0.00028379i,0.00058725-4.8885e-05i,0.00073011+9.7684e-05i,0.00080704-5.4431e-05i,-0.00010531-0.00045384i,-0.0006824+9.3641e-05i,-0.00043233+0.00062084i,-0.00050318+0.00072259i,-0.00097104-1.152e-05i,-0.00069733-0.00097494i,-0.0003524-0.00013529i,0.00012704+0.00026018i,0.00047383-0.00016031i,0.00081973-0.00028859i,-6.4866e-05+0.00022139i,-0.00044148-8.5857e-05i,0.00014387-0.00081694i,-1.9318e-05-0.0008241i
