-0.0023266+0.00078252i,-0.0027134+0.00033287i,-0.0037206+0.0012328i,-0.003496+0.0023027i,-0.0023382+0.0030386i,-0.00065063+0.0033231i,0.00061692+0.0033291i,0.00090292+0.0032229i,0.0010938+0.002147i,0.0014681+0.00068443i,0.0017042-0.0002701i,0.00095679-0.00039782i,0.00062279-0.00053989i,0.0011265-0.00017594i,0.0012214+0.00036091i,0.00048728+0.0001806i,-0.00053129-0.00023825i,2.6728e-05+0.00012768i,-3.4508e-05+0.00077313i,-0.0011582+0.00064865i,-0.0005102+0.00034539i,-0.00010567+0.00028322i,-0.00055356+1.0119e-05i
0.0005726+0.00077817i,0.00061728+0.00065295i,-0.00010538+0.00096639i,-0.00085919+0.0016304i,-0.0012037+0.0014757i,-0.0019345+0.00039322i,-0.0018381-0.00056838i,-0.0014319-0.00049741i,-0.0011134-6.4898e-05i,-0.00015706+0.0004669i,0.00037073+0.0010639i,-6.7861e-06+0.0013934i,0.00035868+0.001761i,0.00047936+0.0016319i,0.00024404+8.7448e-05i,0.00076707-0.00061157i,0.0011957-0.00050877i,0.0008142-0.0011681i,4.537e-05-0.00077015i,-0.00042678+0.00025687i,-0.00069259-5.691e-05i,-0.00022656-0.00082652i,0.00018123-0.00080336i
-0.0012356-0.00031574i,-0.00097436+0.00058097i,-0.0018544+0.0018969i,-0.002125+0.0019465i,-0.0026244+0.0016196i,-0.0021933+0.0019043i,-0.0008037+0.0011574i,0.00021434+0.00043693i,0.00087192+0.0004352i,0.0010154+0.00080576i,0.00068423+0.0012934i,0.00045849+0.0005796i,0.00058295-0.00023451i,0.00075516-0.00051934i,0.00061672-0.00031651i,-0.00019783+0.00013463i,-0.0011466-0.0004281i,-0.0010247-0.00049916i,-0.00024933+1.2443e-05i,-0.00044297-0.00033583i,-0.00057138-0.00027495i,0.00023012+0.0001796i,0.00081861-4.0347e-05i
0.0013237+0.00061989i,0.00096827-0.00038867i,0.00031535-0.0012975i,0.00036126-0.0011658i,-0.0004164-0.0012407i,-0.0013249-0.0012485i,-0.00049022-0.00060413i,-0.00041834-9.958e-05i,-5.3568e-05-0.00033874i,0.00060649-0.0010811i,0.00093974-0.0011423i,0.00077703-0.00019103i,0.00044276+0.0010007i,0.00044164+0.0018434i,2.9706e-06+0.0010476i,-0.00031624+1.5815e-05i,-0.00011957+0.00015089i,7.8177e-05-0.00015452i,-0.00047854-0.00071106i,-0.00057689-0.00041206i,0.00054133+0.00047316i,0.00067592+0.00035634i,-0.00019819-0.00014472i
0.0007267+4.3881e-05i,0.0010734-1.5602e-05i,0.0018955-0.00023147i,0.0004443-0.00046088i,-0.0012981-0.0001496i,-0.0011922+0.00066753i,-0.0011828+0.00068756i,-0.00034665-4.6272e-05i,0.00066412+0.00012886i,0.0003015+0.00060263i,0.00016155+8.9105e-05i,0.00064292-0.00020243i,0.0011618-0.00043317i,0.00099893-0.000346i,0.00046465+0.00011947i,0.00043421+0.00058067i,0.00056172+0.00016246i,0.00035401+3.0715e-05i,6.1653e-05+1.6397e-06i,-0.00050586-0.00045474i,-0.0008472-4.7212e-05i,-0.00029674-0.00031598i,0.00077857-0.00065919i
0.001578+0.00082897i,0.0010482+0.00091187i,0.0010263+0.001801i,0.0010901+0.0018031i,0.00068701+0.0012728i,-0.00023992+0.00071749i,-0.0010486+6.956e-06i,-0.00099699-0.00044798i,5.9629e-05-0.00030381i,7.2925e-05+0.0003325i,-0.00026999+0.00024599i,0.00057419+3.7014e-05i,0.00102+0.00052451i,0.0004639+7.641e-06i,0.00032051-0.00039757i,0.00031724+0.00058608i,0.00086735+0.00072707i,0.0010347+0.00056945i,0.00033409+0.00041829i,2.5713e-05-0.00017245i,2.9844e-05-0.00071932i,0.0002478-0.00019246i,0.00024086-1.1612e-05i
-0.00062336+0.00076127i,-0.0018065+0.00080704i,-0.0021807+0.0012559i,-0.0018358+0.0013788i,-0.0024021+0.0010545i,-0.0025373+0.0011824i,-0.00087137+0.00066223i,0.00050188-0.00033693i,0.0008288-0.00068171i,0.0015111-0.0005298i,0.0017192-1.4634e-05i,0.0012113+0.00011761i,0.00032805-0.00017352i,-0.00012111+0.0001864i,-0.00015602+0.00055948i,-0.000579+0.00013047i,-0.00041657-3.4033e-05i,-0.0002828+0.00023825i,6.5319e-05+0.00023574i,0.00096849+0.00059795i,0.00097253+0.0016626i,0.00075621+0.0020215i,0.00069231+0.0013276i
-0.00017039-0.0028473i,0.00030697-0.0029827i,-0.00036479-0.0026636i,-0.0019074-0.0017317i,-0.0029672-0.00020583i,-0.0015023+0.00080348i,0.00032739+0.00031705i,0.0007339-0.00032706i,0.00034977+0.00020153i,-0.00063601+0.00089918i,1.7563e-05+0.00079327i,0.0011617+4.5572e-05i,0.0010427-0.00031278i,0.00080946-0.00014662i,0.00015328+2.5992e-06i,-0.00019043+0.00022683i,0.00049763+0.00022198i,0.00085833+0.00025217i,0.00060766+0.00014121i,0.00071781+0.00035838i,0.00061746+0.0010746i,0.0001484+0.0011393i,-0.0001902+0.00049537i
0.00090828+0.00040769i,0.0011155+0.0010628i,0.00087299+0.0003041i,-0.00035153+2.0754e-07i,-0.0019485+0.00041902i,-0.0020316+0.0008599i,-0.00092285+0.001374i,-0.00013393+0.00098873i,-0.00015474+6.0163e-05i,-0.00027956-1.2516e-05i,0.00073618+0.0014512i,0.0016981+0.0021198i,0.0014794+0.0014744i,0.00065944+0.0020922i,0.00017467+0.0017862i,0.00026078+0.00039312i,-7.3842e-06-0.00033682i,-0.00055463-0.00081835i,-0.00040848-0.00047275i,0.00025719-0.00012193i,0.00033143-0.00040157i,0.00035446-0.00062375i,0.00020065-0.0004631i
-0.0017201+0.00080861i,0.00025312+0.0017478i,0.00079966+0.0017137i,-0.00061297+0.0010356i,-0.0013488+0.00053291i,-0.00030906+0.00073387i,0.0010325+0.00046643i,0.00090121-0.00079176i,0.0011232-0.00073596i,0.0011106-5.0255e-05i,0.00076734+0.0005082i,0.00069628+0.00071861i,0.00089413+8.9131e-05i,0.0010072-0.00038992i,0.0012952-0.00060981i,0.0012752-0.00039057i,0.00087749-0.00059785i,0.00033221-0.00023685i,-0.00066803-0.0001703i,-0.00074432-0.00062407i,-0.00034615+0.00025188i,-5.3852e-05+0.00083728i,0.00057829+0.00025722i
-0.0011013-0.00085061i,-0.00096322-0.00034235i,-0.0022262+0.00045277i,-0.0022138+0.00043197i,-0.0016184+0.00065735i,-0.0016157+0.0010977i,-0.001302+0.00063062i,-0.00014871+0.00029519i,0.00032561+8.3841e-05i,0.00061948-0.00055041i,0.00061342-0.00091887i,-0.0002676-0.00035257i,-0.00054552+0.00022356i,0.00020709+0.0002714i,0.00087938+0.00029128i,0.0013159+0.00011169i,0.0010466-0.00020655i,0.0001301-0.00043104i,-9.352e-05-0.00054637i,-0.00016983-0.00070473i,-0.0003009-0.00034949i,0.00060539+0.00039346i,0.00091536+0.0004914i
-0.0028363+0.00035418i,-0.0026229+0.00017203i,-0.0023251+0.00074032i,-0.0022129+0.0022321i,-0.0021131+0.0033779i,-0.0022223+0.0030082i,-0.0022075+0.0010935i,-0.0011543+8.9608e-05i,-0.00075019+0.0010824i,-0.00031209+0.0013225i,0.00094719+0.00041628i,0.0015765+0.00053555i,0.0010451+0.00020591i,0.00047484-0.00050144i,8.0108e-05-0.00035558i,7.5712e-06-0.00037831i,0.0006378-0.00091048i,0.00040604-0.00073142i,-0.00069671+0.00019297i,-0.0011731+0.000756i,-0.001002+0.0008223i,-1.769e-05+0.00079493i,0.0008392+0.0001863i
0.00042023-0.00063104i,0.00082136+0.00035153i,0.00055344+0.00072274i,-5.211e-05+0.00066896i,-0.0012604+0.00045392i,-0.001703-7.7804e-05i,-0.00080387-8.1345e-05i,0.00022989+0.00017634i,0.0011112+0.00035596i,0.0013069+0.00051962i,-0.00010927+0.00060185i,-0.00040321+0.00038152i,2.4371e-05+0.00020511i,-0.00066295-0.0003555i,-0.00068426-0.0005885i,-0.00035547-0.00022578i,-0.00013548-0.00068273i,0.00041729-0.00056788i,0.00068723+9.1682e-05i,0.00060087+0.00021092i,0.00054772+0.00042915i,0.0005849+0.00054111i,0.00023209+0.000496i
-3.2673e-05-0.0003364i,-0.00098727+0.00077106i,-0.0015919+0.00062262i,-0.0014568+0.0012297i,-0.0016805+0.002056i,-0.0013922+0.0011727i,-0.00075598-0.00022219i,-0.00072609-0.00083386i,-0.00063428-0.00026226i,-0.00030318+0.00073539i,-0.00019978+0.0010867i,-0.00039898+0.00077329i,3.3373e-05+0.00064405i,0.00011311+5.6202e-05i,-0.00055534-0.00048094i,-0.0006344-5.5699e-05i,-0.00085645+0.00019192i,-0.00087391-0.00015303i,0.00022774-0.00035891i,0.00013718-6.9135e-05i,-0.00030337-0.00032479i,0.0006703-0.00080619i,0.00069107-0.00045332i
0.00055594+0.0016476i,-0.00046137+0.0018461i,-0.0011996+0.00092614i,-0.0010201+5.994e-05i,-0.0008253-0.00020432i,-0.0015609-0.00073709i,-0.0010794-0.00088876i,-0.00020301-0.00016851i,-0.00047589+0.00020011i,-0.0006605-0.0002981i,-0.00037049-0.00084119i,-7.0297e-05-0.00056292i,-0.00060124-9.8682e-05i,-0.00067258+1.7319e-05i,0.00010877+0.0001387i,0.00029169+8.3641e-05i,0.00020605+0.00014113i,0.00043477+0.00036558i,0.00033808-0.00033224i,0.00039118-0.0010612i,0.00018903-0.00086911i,6.4658e-05-0.00072041i,0.00054054-0.00027197i
0.0013102+0.00025767i,0.0017442-8.2726e-05i,0.002384-0.00066976i,0.0016895-0.00077506i,0.00018934+0.00014724i,-0.00047786+0.00098465i,-5.4941e-05+0.0010053i,0.0005721+0.00024693i,0.00072568-0.00083633i,0.00093621-0.00059171i,0.001224+0.000362i,0.0011924-1.2099e-05i,0.0015706-3.1021e-05i,0.0014858+0.00033598i,0.00071764+0.00036644i,0.00023626+8.0286e-05i,1.603e-05-0.00090286i,-0.00026589-0.0013891i,0.00015659-0.0012821i,0.00059482-0.00073003i,0.00038435+2.7147e-05i,-0.00010955+7.2352e-05i,-6.9166e-05-0.00014114i
0.0015759+0.0008315i,0.0017214+0.0011414i,0.0011106+0.00059887i,-0.0001691-0.00010651i,-0.0014865+0.00036544i,-0.0013802+0.00051526i,-0.00069482+0.00020197i,-0.00037085-0.00010421i,-0.0007083-0.00054831i,7.1798e-05-9.9708e-05i,0.00077659+0.0012632i,0.00043303+0.0017207i,-0.00025684+0.00099938i,-0.00019837-0.00037493i,0.00048733-0.00089885i,0.00081704-0.00048264i,0.0013253-0.00042916i,0.0011253-0.00064691i,0.00028824-0.00054147i,0.00010233-0.00058361i,0.00024416-0.00048643i,0.00027054+0.00048973i,-9.0791e-07+0.00098991i
0.00032498+0.0014242i,-0.00023717+0.0027076i,-0.00093687+0.003345i,-0.00020392+0.0023878i,8.9988e-05+0.0016884i,-0.00045313+0.00028481i,-0.0001914-0.00091332i,0.00035392-0.00041i,0.0005734-0.00022945i,0.00026905-0.00010558i,-0.00068466+0.00023863i,-0.00094469+0.000502i,-0.00036304+0.00065927i,-0.00023413-3.7998e-05i,-0.00065099-0.00022991i,-0.000946+0.00016165i,-0.0013639-0.00050728i,-0.0016694-0.00042629i,-0.00098912+0.00037053i,-0.00026183+0.00011509i,0.0003819-0.0001933i,0.00047794+0.00030367i,0.00092116+0.00025268i
-0.0019531-0.00029005i,-0.0019188-0.00017704i,-0.0018887+0.00062471i,-0.001458+0.0011469i,-0.0013908+0.0013206i,-0.00095676+0.0011243i,-0.00092939+0.00044161i,-0.00042971-0.00025394i,2.2744e-06-0.00021143i,0.00044473+0.00022044i,0.00097245+0.00042142i,0.00081664-0.00031555i,0.0010354-0.00094836i,0.0015938+4.3415e-05i,0.0012206+0.0011023i,-0.00032495+0.00078748i,-0.00084647-0.00034961i,-0.00025225-0.0005926i,-0.00068449-1.071e-05i,-0.00029532-0.00046019i,0.00050891-0.0007087i,0.00097352+0.00051074i,0.0014327+0.00091843i
-0.00028527-0.00066755i,0.00069237+0.00040819i,0.00060183+0.0003898i,-0.00038716+0.00064401i,-0.00069182+0.00095602i,-0.00038756+0.00048586i,-0.00031167-8.7738e-06i,-0.00011831+3.1723e-05i,-0.00024605-0.00028126i,-0.00020538-0.00020473i,0.00013492+0.000699i,0.00049079+0.00038004i,0.00073321+0.00019941i,0.00088834+0.00093469i,0.00058182+0.0017962i,-5.2691e-05+0.0012683i,-0.00021558+0.00045635i,0.00025808+0.00014901i,0.00061292-0.00036336i,8.4584e-06+0.00046483i,5.5095e-05+0.00082531i,0.0005475+0.00021792i,0.0011644-0.00022106i
-0.00030618-0.001117i,-0.0011978-0.00017065i,-0.0011932+0.0011598i,-0.0020907+0.0012793i,-0.0032623+0.0010166i,-0.0031864+0.0010376i,-0.002072+0.00026307i,-0.00082678-0.00045896i,-0.0006343-0.00078763i,-0.00099019-0.00049155i,-0.0010567+0.00040209i,-0.00081897+0.0006484i,-0.0004491+0.00023394i,-0.0001897+0.00038032i,-6.646e-05+0.00065778i,-0.00024808+0.00046835i,-3.8378e-05+0.00047073i,0.00088924+7.9418e-05i,0.0017105-0.0007557i,0.00092509-0.00054575i,-0.00038541+0.00031455i,-0.00011644+2.0959e-05i,0.00038047+1.4758e-05i
-0.00084307-3.7844e-05i,-0.0017687+0.00013146i,-0.0025336+0.00095985i,-0.0013238+0.0008928i,-0.00038815+0.00082336i,-3.5476e-05+0.00035254i,0.00053665+0.00035455i,0.0009062+0.0006965i,0.001298+0.0010183i,0.00096073+0.00057247i,8.7003e-05-0.00035236i,0.00036514-0.00077462i,0.0010007-0.0013418i,0.0011656-0.0016361i,0.00061047-0.00099594i,-0.0003988-0.00063884i,-0.00095537-0.0014373i,-0.00088353-0.0017621i,-0.00021915-0.0010547i,-0.00023559+0.00016758i,-0.0010036+0.0013709i,-0.00086967+0.00085846i,-0.00041045-0.0003655i
0.0001673-0.0016115i,-0.00020212-0.0016406i,-0.00098433-0.0015207i,-0.0021946-0.00051763i,-0.0032087+0.00066144i,-0.0021396+0.001506i,-0.00072905+0.00066112i,0.00059922-0.00028359i,0.00069473-0.00014262i,0.00046229+0.00019897i,0.00074168+0.00014415i,0.00067864+0.00052677i,0.0013152+0.00034954i,0.001979-0.00043458i,0.0020183-0.00025545i,0.0016085-0.00026113i,0.0007871-0.0011395i,0.00062426-0.0013895i,0.00090949-0.0014636i,5.8009e-05-0.0010698i,-0.00022875-0.00044136i,-0.00018103+0.00015242i,-0.00011285+0.00046177i
0.0013463+0.0012289i,0.0007868+0.0019436i,0.00077387+0.0026055i,0.00069395+0.0022764i,-0.00049944+0.0022006i,-0.0014936+0.0015987i,-0.0004664-0.00019526i,0.00080171-0.00073467i,0.0012011-6.9545e-05i,0.0013839+0.00021598i,0.0011467+0.00029941i,0.00046644+0.00068282i,-2.4914e-05+0.0021256i,-0.00049894+0.0029321i,-0.00063855+0.0023882i,-0.00054251+0.0021178i,-0.00034621+0.0019171i,7.6832e-06+0.0014626i,-3.6153e-05+0.00077274i,-0.00012777+0.00045561i,0.00036876+0.00078517i,0.00078711+0.00043074i,0.00086938+0.00011259i
0.00022459+0.00053831i,0.00014997+0.0010345i,0.00098254+0.0011333i,0.00021375+0.00081323i,-0.0012408+0.00055291i,-0.0015428+9.681e-05i,-0.00042502+0.00026017i,0.00069724+0.0010559i,0.0004052+0.00064027i,-0.00020578-9.5852e-05i,4.0601e-05+0.00050133i,-1.0003e-05+0.00083776i,-0.00088505-3.8121e-05i,-0.0011149-0.00028017i,-0.00050625+0.00057343i,0.00012542+0.0015822i,-0.00055867+0.0017254i,-0.0011144+0.0012241i,-0.00023229+0.000304i,0.00089651-0.00053757i,0.0011107-0.0008124i,0.001172-4.952e-05i,0.00091461+0.00019676i
0.0015422+0.0010448i,0.00049119+0.00079742i,-0.00038489+0.00081458i,-0.00068914+0.00065972i,-0.00083503+0.00088851i,-0.00097138+0.00036687i,-0.0009951-0.00071822i,0.00018519-0.00079167i,0.0017311-0.00020277i,0.0014427+8.4107e-06i,0.000248-5.0271e-05i,-0.00039901-3.6478e-05i,-0.00039575-0.00093174i,0.00019606-0.001694i,0.0011451-0.0012423i,0.0013038-0.0010481i,0.00072382-0.0014914i,0.0004175-0.0015557i,-0.00063162-0.0013087i,-0.0010002-0.00065953i,0.00019315+0.0001097i,0.00035612+0.00040762i,0.00017528-4.6612e-05i
-0.00052225+0.00051512i,-0.00071372-0.00019819i,0.00035348-0.0012827i,-0.00039455-0.00020988i,-0.0021443+0.0005577i,-0.0022741+0.00064813i,-0.0013991+0.00062735i,-0.00036107+0.00041689i,0.00034265+0.0011783i,0.00059047+0.00073678i,0.00049302-0.00032785i,0.00074274+0.00045722i,0.0017556+0.0011746i,0.0026146+0.001357i,0.0020189+0.001178i,0.00077704+0.00036122i,0.00091305-0.00052157i,0.0014742-0.0010791i,0.00047071-0.00070273i,-0.0003616+0.00024503i,-4.5613e-05+4.4528e-05i,0.00045768-0.00031537i,0.00040896-0.00050984i
0.00048254+0.00068718i,0.001612+0.00064416i,0.0014014+0.0016026i,0.0002776+0.00062898i,-0.00096289-0.00016076i,-0.0010012+0.0003845i,-0.00033232+0.00054959i,0.00028067+0.00022339i,0.00081454+0.00041019i,0.00062217+0.0011095i,0.00079892+0.00099526i,0.00072782+0.00031123i,-0.00035826+0.00090582i,-0.0010817+0.0015839i,-0.00096652+0.0018248i,-0.0012987+0.0018114i,-0.00084511+0.001122i,-0.00025778+0.00084253i,-0.00059579+0.0010301i,-0.0010667+0.00093074i,-0.0016244+0.00072175i,-0.0018614+0.00012811i,-0.00098863-0.00044436i
-0.00065235+0.0022637i,-0.00087041+0.0022016i,-0.0025267+0.0019514i,-0.0018942+0.0011764i,-0.0011489+0.0012237i,-0.0015018+0.00060783i,-0.0011535-6.4371e-05i,5.4008e-05+0.00015214i,0.00062271+0.00019i,-0.00022825+0.00049963i,-0.00038221+0.00073517i,9.4942e-05+0.00028001i,-0.00081043+0.00038091i,-0.0014728+0.00028906i,-0.0016834-5.6211e-05i,-0.0018278+0.00031505i,-0.0013753+0.00076965i,-0.00040635+0.0013082i,0.00013236+0.0015128i,-4.4835e-05+0.00092743i,0.00015215+0.00040344i,-0.00020118+0.00051362i,-0.0007932+0.00094083i
-0.00097536+0.00050377i,-0.00086229-7.0116e-05i,-0.00030886-0.00010902i,0.00012647+4.5479e-05i,-0.00030921+0.00019722i,-0.00086297-0.0001313i,-0.0001594-0.00068308i,-0.00017092-0.001222i,-0.00030522-0.0016081i,0.00056742-0.0011034i,0.00046403-0.00064864i,4.7839e-05-0.0014298i,0.00079885-0.0013069i,0.0014458-0.00090757i,0.0018473-0.0010956i,0.0013013-0.0006045i,0.00010598-0.00055432i,1.5575e-05-0.0011345i,-0.00022575-0.0008678i,-0.0002135+1.8444e-05i,-0.00030386+0.00083456i,-0.00080266+0.00090481i,-0.00043763+0.00047741i
-0.0015151+0.0025217i,-0.0013161+0.0025151i,-2.3046e-05+0.0027811i,0.0014055+0.0028351i,0.0010752+0.0025728i,0.00076134+0.0016801i,0.0011179+0.00062298i,0.0016627+3.3252e-05i,0.0019676-7.4439e-05i,0.0018219+0.00031713i,0.0017029+0.0008833i,0.0017585+0.0015867i,0.0022483+0.0016801i,0.0032628+0.00101i,0.00381-6.5276e-05i,0.0031792-0.00069515i,0.001816-0.00035227i,0.00020312-0.00093811i,-0.0015052-0.0010862i,-0.0016602+0.00038544i,-0.00033254+5.9566e-05i,0.00078175-0.00037732i,0.0010646+8.0286e-05i
-1.2378e-05-0.00059109i,0.00061648+0.00096054i,1.7239e-05+0.0017831i,-0.001592+0.0019108i,-0.0025907+0.0021413i,-0.0017481+0.0022101i,-9.5152e-06+0.0012439i,0.00037609+0.00039136i,-0.00038229+0.00017637i,-0.0004663+0.0007535i,-0.00042416+0.00046446i,-0.00025601+0.00017422i,-2.7376e-05+8.515e-05i,0.00027954+0.00073923i,4.3811e-05+0.00085359i,-2.2411e-05-0.00037706i,0.00031233-0.00080881i,-0.00013759-0.0008318i,9.9165e-05+0.0001011i,0.00026628+0.00076024i,-0.00038133+0.00067528i,-0.0004128+0.00087828i,-0.00035344+0.00082905i
0.001874+0.0034116i,9.3998e-05+0.0019375i,-0.00071057-0.00059295i,-0.00040357-0.0017638i,-0.00093615-0.0017172i,-0.0017811-0.0013845i,-0.0016359-0.00084622i,-0.00061035-0.00012536i,0.00015739-0.0002894i,-0.00039224-0.00099197i,-0.0013018-0.00089613i,-0.0011027-0.0010145i,-0.001032-0.0019848i,-0.0021937-0.0021776i,-0.002953-0.0015861i,-0.0019869-0.00073736i,-0.001091-8.0683e-05i,-0.00037026+0.00011548i,0.00073167+0.0002133i,0.0010089+0.00058655i,0.00088064+0.00040311i,0.00064398-0.00022599i,-8.7154e-05-0.00094187i
-0.00063136+0.00045318i,-8.6323e-05-0.00022621i,6.8151e-05+0.00028972i,-0.0010468+0.00082801i,-0.0023128+0.0013135i,-0.0014563+0.0013578i,-0.00071786+0.0011002i,-0.00043025+0.00043984i,3.9265e-06+0.00083509i,0.00087854+0.00090753i,0.0013043+0.00079373i,0.0009936+0.00082349i,0.00081885-7.3045e-05i,0.0003875-0.00084458i,-0.00023293-0.00061123i,-0.00039709-7.5599e-06i,0.00046206-9.7204e-05i,0.0013581-0.00052991i,0.0010807-0.001308i,0.00022344-0.0011174i,-0.00039517-0.00043986i,-7.8945e-05-0.0011197i,0.000162-0.0010669i
6.0952e-05-0.0018794i,0.00060735-0.00057355i,-0.00045088+0.0012407i,-0.0013325+0.0015203i,-0.0021262+0.0018219i,-0.00224+0.0023153i,-0.0010213+0.0010338i,0.00066612+0.0002102i,0.0013137+0.0006974i,0.00078772+0.00097341i,0.00090551+0.0014024i,0.0015426+0.0023852i,0.0021147+0.0031086i,0.0020569+0.00243i,0.0016344+0.0017172i,0.0015674+0.0013902i,0.0014983+0.0013843i,0.0003708+0.00067516i,-8.6774e-05-0.00011691i,-0.0004133+0.00022352i,-0.00071119+5.4223e-06i,-0.00061672-0.00038377i,-0.00042322-0.00019484i
-6.8806e-05+0.0010399i,-0.0008881+0.0019227i,-6.1569e-06+0.0020852i,-0.00059414+0.0017093i,-0.001303+0.00099824i,-0.00077046+0.00065078i,5.2244e-05+0.00073473i,0.0008565+0.00071791i,0.0018375+0.00028254i,0.0018093-0.00098274i,0.00031309-0.0019149i,-0.00048485-0.0007095i,-0.00099818+0.00040795i,-0.0012872+0.00052267i,-0.00057277+0.00036141i,0.0001525-0.00043327i,0.00079488-0.0011022i,0.00015095-0.00064448i,-0.00096668+0.0005045i,-0.0013214+0.00091678i,-0.0006827+0.00030988i,0.00030666+0.00052014i,0.00019731+0.00065291i
-0.00025624-0.000347i,-0.00067375-0.0013372i,-0.0012507-0.001248i,-0.0022246-0.0013821i,-0.0025661-0.0011989i,-0.0029416-0.00024623i,-0.0022209-0.00017923i,-0.00032612-0.0012774i,0.00077991-0.0011494i,0.00046431-0.00051686i,-6.1958e-05-0.00085883i,4.4268e-05-0.0013636i,0.00034437-0.001529i,0.00013853-0.0015075i,-0.00045406-0.00087102i,-0.0013964-0.00037024i,-0.0017253-0.0013336i,-0.00058495-0.00093324i,0.00067901+0.00052595i,0.0010253+0.00049378i,0.00018891+0.00054359i,-0.00034134+0.00055795i,0.00018513+0.00021789i
0.0012029+0.00038821i,0.0014965-0.00038809i,0.0016511-0.0022116i,0.0010332-0.0024786i,-1.4826e-05-0.00084551i,-0.00049876+0.00034308i,-0.00050474+0.00052878i,-0.00065144+3.6347e-05i,-0.00029768+2.0413e-05i,0.0002839-0.00021399i,0.0001665-0.00012403i,8.394e-05+4.3698e-05i,0.0010609+0.0001437i,0.0022687-0.00037916i,0.0013741-0.0012996i,-0.00076869-0.00087114i,-0.0020346+0.00016287i,-0.001838+0.0003575i,-0.000543-1.0037e-05i,8.4493e-05-0.0013587i,0.00029125-0.0013342i,0.00084612-3.8038e-05i,0.0010818-0.00038174i
0.0022557+0.00062053i,0.0032619+0.0012738i,0.0035764+0.0015075i,0.0020487+0.00043887i,-0.00010326-7.9842e-06i,-0.001398+0.00025535i,-0.00055017+0.0006228i,1.3964e-05+0.0015042i,0.00045359+0.0020789i,0.0015344+0.0016776i,0.0012109+0.00091602i,-0.00038196+0.00086574i,-0.0011658+0.0010028i,-0.00029042+0.0010249i,0.00085356+0.0017175i,0.00097415+0.0021353i,0.00077708+0.0010452i,7.8558e-05-0.00030041i,4.4328e-05-0.0010208i,0.00072736-0.00086512i,0.0010656-0.00071023i,0.0011609-0.00079424i,0.0010833-0.00059506i
0.0009474-9.0279e-05i,-0.00017031-0.00025153i,-0.00059944-0.00083115i,-0.0016237-0.001119i,-0.0025517-0.00075202i,-0.0020983+0.00050608i,-0.00029777+0.0012945i,0.00080188+0.00081272i,0.00097855+0.00044533i,0.00083686+0.00078777i,6.1571e-06+0.00092171i,-0.0010533+0.00023767i,-0.0015299+0.00015077i,-0.0015952+0.0011158i,-0.00077684+0.0018981i,-1.1113e-05+0.001961i,0.00019693+0.0013944i,0.00089788+0.00065272i,0.00084643+0.00078647i,0.00047345+0.00051592i,-0.00042638+0.00027421i,-0.0011979+0.00027031i,-0.00084262+0.00029114i
0.0020198-0.00087718i,0.00178-0.0020328i,0.0005497-0.0026385i,-0.00038604-0.0022305i,-0.0014846-0.0011007i,-0.0024034-0.00038834i,-0.001185+6.3665e-06i,0.00075451+0.00052581i,0.001751-9.7231e-05i,0.0022674-0.00083024i,0.0016109-0.0011836i,0.0008098-0.0014302i,0.0010344-0.00060984i,0.0012363+0.00023788i,0.00051653+2.7575e-05i,0.00041032-0.0009052i,0.00023049-0.0011347i,-0.00046051-0.00077575i,-0.00033099-0.00020733i,-0.00011385+0.00043531i,-0.00028712-0.00015865i,-0.00040804-0.00086797i,-0.00020102-0.00020502i
0.00016179-0.0014555i,0.00080674-0.002926i,0.0011142-0.0023403i,-0.00010293-0.001205i,-0.0014618+0.00078795i,-0.0018224+0.0019595i,-0.0013461+0.0012336i,-0.00068596+0.00041316i,-0.00037833+0.00013377i,0.00059884-4.9653e-06i,0.00038967+5.9704e-05i,0.00044094+0.00025173i,0.0017063+0.00035688i,0.0028315+3.7161e-05i,0.0029202-0.00052848i,0.0015142-0.0014294i,0.0010509-0.0014023i,0.00078438-0.0012415i,0.00039644-0.0015158i,0.00061841-0.0012654i,0.00044618-0.00076249i,0.00015323-0.00060309i,0.00012885-5.9996e-05i
0.00076518-0.0019966i,0.00083386-5.4684e-05i,-0.00028959+0.00087807i,-0.0025275+0.00094106i,-0.0038473+0.00081316i,-0.0032827+0.0006208i,-0.0015161-4.4115e-05i,0.00082016-0.0010329i,0.00098163-0.0008185i,-0.00065204+3.3259e-05i,-0.0017514+0.0004198i,-0.0020911+0.00083808i,-0.00094647+0.00095533i,0.00095971+0.0006391i,0.0016028-3.1321e-06i,0.0012569-0.0001202i,0.0010483+3.8264e-06i,0.001353-0.00027902i,0.00042154-0.00048778i,-0.00055326-9.5249e-05i,-0.00075089+0.0007762i,-0.00075041+0.0012786i,-0.00032309+0.00051741i
-0.0013663-0.00068065i,-0.0025939-0.00071808i,-0.0035093+0.00060535i,-0.0029869+0.00044208i,-0.0024563+0.00022602i,-0.0024495+0.00049164i,-0.0020844+0.00032857i,-0.00119+0.00090035i,-0.00072099+0.001341i,-0.00010142+0.0006024i,0.00040495-0.00017455i,-7.9713e-05-0.0012147i,-0.00058582-0.0021304i,-0.00063867-0.0015361i,-0.00073404-0.00018933i,-0.0011344+0.00021916i,-0.0006389-0.00013086i,0.00019832-4.4171e-05i,-6.0964e-05+0.00011345i,-0.0007997+0.00082755i,-0.00032119+0.001592i,0.00083938+0.001485i,0.0012693+0.0010578i
