-0.00095805+0.0012176i,-0.0006522-0.00070789i,-0.0022686-0.0018558i,-0.0025898+0.00053461i,-0.0019086+0.0033763i,-0.0010765+0.003647i,8.3361e-05+0.0020203i,0.0010755+0.00078133i,0.0010657+0.00063265i,0.00042492+1.8523e-05i,0.00013308-0.00040637i,-7.8082e-05-0.00073586i,-0.00020217-0.00061861i,-0.00030729+0.00017967i,-0.00031942+7.179e-05i,-0.00040505-0.00014754i,-0.00020022-0.00021197i,-0.00026016-0.00063014i,-0.00025796-0.00029615i,0.00023511-0.00035499i,0.00045057-0.00057757i,0.00035669-0.000775i,0.00046308-0.00049536i
0.0016153+0.0018248i,0.0018301+0.001855i,0.0016775+0.000636i,6.3334e-05-0.0012081i,-0.0022281-0.00098816i,-0.0035213+0.00042042i,-0.0023707+0.0014008i,-0.00079839+0.0022994i,-0.00033788+0.001776i,-0.00011951+0.00018228i,-6.2881e-05-0.00015475i,5.0182e-05+0.00011079i,-0.00020328+0.00031826i,-0.0010895+0.0012135i,-0.001429+0.00093272i,-0.0012315+8.659e-05i,-0.00032937-3.5263e-05i,0.00069504-0.00022028i,0.0014589-0.0011591i,0.0011992-0.0013837i,-4.6514e-05-0.00045877i,-0.00052114-0.00024011i,-0.00024622-0.00046131i
-0.00086825+0.0014294i,-0.00087591+0.0015508i,0.00045966+0.00026237i,0.0012372-0.0011659i,0.00011604-0.00041548i,-0.0014825+0.002082i,-0.0015447+0.0031146i,-0.0012277+0.0024001i,-0.00045921+0.0014896i,0.00029415+0.00091865i,0.00024921+0.00045055i,0.0001492-2.4842e-05i,-0.00073334+5.0817e-05i,-0.0012378+0.0006967i,-0.0011481+0.00079318i,-0.0011353-6.2442e-05i,-0.00089948-0.0011105i,-0.00040201-0.0012872i,0.00064525-0.0010039i,0.00053339-0.00087359i,-0.00013145-0.0010706i,-0.00053814-0.00096476i,-0.00081098-0.00034408i
-0.0013422-0.00012228i,-0.0012302-0.00029651i,-0.00049817-0.00092783i,-0.0002731+0.00019726i,0.00025527+0.001162i,0.00090698+0.0013648i,0.00032471+0.0017262i,0.00047933+0.00082637i,0.00058196-0.00018715i,0.00058935-0.00062089i,0.00063794-0.00049904i,0.00010859-0.00052852i,-0.00018947-0.00058214i,-6.2091e-05-9.0858e-05i,5.0158e-05+0.00032231i,-0.00047198+0.00017325i,-0.0007108-0.0003691i,-0.00046429-0.00023515i,-9.0841e-05-0.00020234i,0.00078218-0.00049169i,0.0010064-0.00048671i,0.00086098-0.00027072i,0.00014601+5.8539e-05i
-0.00050885+4.2174e-05i,0.00012062-9.043e-05i,0.0005311-0.0012513i,0.0016963-0.0013244i,0.0020747-0.0016345i,0.0017707-0.0019956i,0.0018577-0.0020177i,0.0015611-0.0015958i,0.00020564-0.00016084i,-0.00028122+0.00055264i,0.00040553-0.00023625i,0.0010238-0.000231i,0.0010543+5.5082e-05i,0.00046284-0.00010946i,-9.8605e-05-3.8917e-05i,-0.00017343+0.0003111i,0.00011234+4.7397e-05i,0.00035073-0.00021757i,0.00020483-0.00012705i,-0.00060341-0.00047556i,-0.00015281-2.838e-05i,0.00014803+0.0013408i,-0.00088883+0.0010014i
-0.00037284+0.0006929i,-0.00073272+0.00093055i,-0.0011158+0.00015496i,-0.0012626+0.00056645i,-0.001208+0.00091835i,-0.00075708+0.00036549i,0.00011352-0.00045448i,0.00071545-0.0010838i,0.00047461-0.0014411i,-0.00035014-0.001017i,-0.0010024-0.00055726i,-0.00097385-0.00085414i,-0.0007136-0.0016593i,-0.00029154-0.00057356i,0.0012667+0.00040703i,0.001695-0.00057433i,-5.8675e-05-0.00079717i,-0.00051532-0.0002361i,0.00033544+0.00031383i,7.4502e-05+0.00025768i,-0.00017169+0.00010582i,-0.00011006+0.00088471i,-0.00052508+0.0013332i
-0.0012489-0.0009645i,-0.0023392-0.0008664i,-0.0034468-0.0014134i,-0.0035804-0.001788i,-0.003256-0.0013275i,-0.0026433-0.00046387i,-0.0020931+0.00062167i,-0.00097117+0.00020539i,-0.0010264-0.0011725i,-0.001558-0.0014532i,-0.0013832-0.00026942i,-0.0012648+0.0012505i,-0.0016972+0.0019257i,-0.0015226+0.0018104i,-0.00048805+0.0007274i,0.00014337-0.00026219i,0.00011434-0.00055083i,0.00034984+0.00023375i,0.00061659+0.00089375i,0.00088016+0.00033824i,0.00047245+0.00056229i,0.00054235+0.001235i,0.000426+0.0012328i
0.0020376-0.0028902i,0.0004103-0.0028816i,-0.001305-0.0025061i,-0.0020771-0.00058775i,-0.0032558+0.0012552i,-0.0039682+0.0015613i,-0.003331+0.0012535i,-0.0021944+0.00068814i,-0.0013806+0.00023957i,-0.0017473+0.00017314i,-0.0012041+0.00043961i,7.7711e-05+0.0011896i,0.00021196+0.0019762i,-0.00021258+0.0025823i,-0.00044456+0.0022058i,-0.00031004+0.0013481i,-0.00038549+0.00090355i,-0.00084835+0.00044631i,-0.00062214-0.00023248i,0.0007646-0.00075167i,0.0011067-0.00099639i,0.00039326-0.0011825i,0.00032477-0.0010531i
0.0021996-0.0027196i,0.002625-0.0031862i,0.0015459-0.0028033i,8.7902e-05-0.0016374i,-0.0010994+0.00011956i,-0.0013069+0.0015306i,-0.00034171+0.0019451i,0.00062613+0.0016067i,0.0010315+0.0010028i,0.0010914+0.0006572i,0.00061195+0.00036529i,-7.1295e-05+0.0005392i,0.00056912+0.00053913i,0.0011929+0.00064174i,0.00079113+0.0013745i,0.00053867+0.0012597i,0.00011201+0.00050179i,-0.00040348-0.00012395i,-0.00022657-0.00047157i,-0.00080222-0.00086471i,-0.0011504-0.0012527i,-0.00035569-0.00020158i,-0.00048508+0.00089472i
-0.0010953+0.0012761i,-0.0012246+0.0010917i,-0.0018851+6.71e-05i,-0.0019401-0.00064743i,-0.0011089-0.00017742i,-0.00011751+0.0015084i,0.00091081+0.0029485i,0.00080477+0.0027609i,-6.4418e-05+0.0011367i,-0.00016708+0.00013682i,0.0001198-0.00036562i,0.00077247-0.0012133i,0.001854-0.0017476i,0.0016956-0.00095435i,0.001574+0.0002895i,0.0020918+0.00014395i,0.0018973+8.2363e-05i,0.0007376+0.00047478i,0.00014227-0.00035406i,-0.00022715-0.00057191i,-0.00052024-0.00044532i,-0.00054524-0.00012356i,-0.001396+0.00026322i
-0.0025957+0.00067814i,-0.00254+0.00093442i,-0.0025437+0.0007806i,-0.0023102+0.0011368i,-0.00073812+0.0022099i,0.0011346+0.0028224i,0.0015794+0.0021349i,0.0010671+0.0008453i,0.00063986+4.4134e-05i,0.00026049-0.00036105i,-0.00034643-0.0011363i,-0.00071881-0.0017069i,-0.00034165-0.0022793i,0.0005376-0.0022945i,0.0015477-0.0012823i,0.0013059-0.00089718i,0.00036902-0.00099633i,-5.2618e-07-0.00079251i,0.00060668+3.1762e-05i,0.00082982+0.00033954i,0.0003646+0.00051207i,-0.00068363+0.00061182i,-0.00086136+0.00049364i
-0.00094119+0.00061942i,-0.0016705-0.00020971i,-0.0024372-0.001244i,-0.0015718-0.00063962i,-0.00074642+0.00066262i,-0.00030685+9.3293e-05i,0.00053682-0.00037242i,0.00083522+7.1521e-05i,0.00062451-0.0002282i,0.00042114-0.00071276i,0.00010267-0.00032201i,-7.7684e-07+1.4896e-05i,-0.00077568-6.3587e-05i,-0.0011308-0.00078276i,4.4308e-05-0.0015154i,0.0002283-0.0019234i,-0.00070498-0.0011031i,-0.00085036-1.6018e-05i,-0.00041841-0.00024619i,0.00015077+0.00032213i,-0.00018911+0.0013319i,-0.00096147+0.00070154i,-0.00066282-0.00013342i
0.0012495-0.0013441i,0.00044345-0.0016155i,-0.00024212-0.0016607i,-0.0012754-0.0021089i,-0.0020469-0.002795i,-0.0014715-0.0024506i,-0.00051682-0.0018188i,-0.00049722-0.0011741i,-0.00079991-0.00088303i,-0.0014891-0.00045874i,-0.0015147+0.00051583i,-0.0011641+0.001144i,-0.001365+0.001635i,-0.0013477+0.0013553i,-0.00093525+0.00038182i,-0.00048054-0.00024255i,6.2129e-05-7.9602e-05i,0.00031413-7.7616e-05i,-0.00075511-0.00011295i,-0.00060195-2.4361e-05i,0.00061902-0.00048094i,0.00039214-0.00033842i,-0.00027029+5.05e-05i
-0.00035093+0.0016332i,0.0013369+0.0022446i,0.00090146+0.0018717i,0.00035966+0.0010633i,-0.0007073+0.00097126i,-0.0023005+0.001023i,-0.0032559+0.00027098i,-0.0030304-0.00019032i,-0.0019144-0.00018276i,-0.00083314+6.5534e-05i,0.00025108+0.00056371i,0.00034934+0.0010259i,0.00016182+0.0017919i,7.9914e-05+0.0013391i,-0.00036534+0.00053634i,-0.00026719+0.00068246i,-5.309e-05+0.00013197i,0.00012987-0.00072467i,-0.00056533-0.00065219i,-0.0010802-2.8893e-05i,9.8033e-05-0.00043028i,0.00056786-0.00065437i,0.00023713-1.9987e-05i
-0.0010583+0.0013424i,0.00023444+0.0018854i,0.00092836+0.0023767i,-0.00015759+0.0017773i,-0.00127+0.00096827i,-0.0020595+0.00042454i,-0.0025826+0.0014889i,-0.0014341+0.0027634i,-0.00021359+0.0020779i,-0.00024176+0.00090046i,0.00016182+0.00049821i,0.00078539+0.00030986i,-8.2094e-05-0.00017627i,-2.4844e-05-0.00076759i,0.0010841+1.3856e-05i,0.00071935+0.00011789i,0.00013262-0.00069929i,-0.00078332-0.00082416i,-0.0013059-2.8962e-05i,-0.0012159+0.00054728i,-0.0011738-0.00033378i,-0.0010499-0.00054933i,-0.00057347+5.355e-05i
-0.0015845-0.00074204i,-0.0002011-0.00034521i,0.00032269-0.00025654i,-0.00097098-0.0010236i,-0.0019683-0.00066698i,-0.0013358+0.0007278i,0.00051936+0.0010316i,0.0016109+0.00057291i,0.00063942+0.00071203i,-0.00013386+0.00070293i,0.00061521-0.00061343i,0.00081405-0.0014185i,0.00055209-0.0015864i,0.00072641-0.00076428i,0.00053175+0.00017288i,0.0008465-6.0355e-05i,0.00068922-0.00057555i,0.0003921-0.00058235i,0.00033257-0.00027718i,0.00022618-3.1577e-06i,0.00062478+0.00019998i,8.5093e-05-0.00026621i,-0.00062366-0.00015934i
-0.0027144-0.001439i,-0.0026119-0.001605i,-0.0025317-0.00049216i,-0.0020127+0.0010518i,-0.00056267+0.0019947i,0.0011371+0.0016724i,0.002247+0.0013176i,0.001694+0.00041319i,0.0013227-0.0006653i,0.0007819-0.00067747i,-0.00025856-0.00071776i,-0.00061983-0.00095105i,-0.00028076-0.001029i,-0.00038427-0.001043i,0.00014378-0.0014589i,0.00066638-0.0012325i,0.00032078-4.2957e-05i,0.0001884+0.00064375i,0.00026215+2.8277e-05i,-0.00036179-0.00026614i,-0.00079127+0.00044351i,5.6296e-05+0.00015282i,0.0006632-0.00034413i
0.0011945+0.0016425i,0.00053452+0.001199i,0.0014364+0.00040772i,0.0016076+0.00022715i,0.00052241+0.00097166i,0.00049622+0.0013407i,0.00097335+0.0014841i,0.00037049+0.0011086i,0.00023406-8.9057e-05i,0.00015556-0.00016127i,-0.00055723+0.00050601i,-0.001056+0.0010666i,-0.0014368+0.0012743i,-0.0015468+0.0013617i,-0.0012584+0.00062502i,-0.00047508-0.00042394i,0.00027838-0.00018811i,0.0001346+0.00015492i,-0.00049781+1.1116e-05i,-0.00059073-0.00013208i,-0.00030918-7.4886e-05i,-0.00027358-8.4449e-05i,-3.3549e-05+0.0001092i
0.0012243+0.0015888i,-0.00048484+0.00050257i,-0.0012866-0.001177i,-0.0012249-0.002166i,-0.0013596-0.0017742i,-0.0018542-0.0001373i,-0.001422+0.0010931i,-0.00056873+0.0007044i,-0.00023075-0.00048832i,-0.00012757-0.00071976i,-0.00010624+0.0001536i,-0.00038364+0.00084911i,-0.0005651+0.0010058i,-0.00096391+0.0018023i,-0.0010508+0.001777i,-0.00049415+0.00060082i,-0.00041451+0.00073438i,0.00026707+0.0010207i,0.00066442+0.0005081i,8.504e-05+0.00021852i,0.00019287+0.00040946i,0.00015946+0.00023308i,0.00016946-8.9809e-05i
0.0023808-0.00012714i,0.002067+0.00013096i,0.0015569-0.0018141i,0.00034059-0.0038613i,-0.0015991-0.0027522i,-0.0026034-0.00026277i,-0.0017902+0.00083365i,-9.6413e-05+0.00053191i,-0.00012161+4.6097e-05i,-0.0010208-7.8606e-05i,-7.0336e-05-9.17e-05i,0.00095214-0.00025183i,0.00013599-0.00033863i,1.5549e-05-0.00018258i,0.00051045+7.9267e-05i,0.00018055+0.00063433i,-0.00027666+0.00030533i,-8.6387e-06-0.00016395i,0.0003433+0.00040008i,0.00026566+0.00067542i,-0.00017799+0.0008439i,-0.00074465+0.00087776i,-0.00054721+0.00015778i
0.0010855-0.0015488i,0.00040319-0.00079783i,7.8669e-05-0.00094537i,-0.0014382-0.00044798i,-0.0022605+0.00021001i,-0.0021267+0.00082023i,-0.0019497+0.00086847i,-0.0011677+0.00072764i,-0.0010474+0.0016799i,-0.0011706+0.0015362i,-0.0002236+0.00035089i,0.0014148-0.00073062i,0.0015615-0.0006515i,2.728e-05-0.00014949i,-0.00045339-0.00068237i,1.5583e-05-0.00059722i,0.00075078+0.00021122i,0.00099474-0.00046418i,0.00073062+3.7708e-05i,0.00047454+0.0007489i,0.00029409-6.9817e-05i,0.00020715-0.00066582i,0.00016581-0.00023406i
-0.0031773-0.0018259i,-0.002666-0.001623i,-0.0022963+0.00053747i,-0.0018871+0.0013528i,-0.0022031+0.0012312i,-0.0025536+0.0013301i,-0.0017897+0.0015388i,-3.6109e-05+0.0012359i,0.00069044+0.00041465i,0.00054003+0.00096518i,0.00061824+0.0005697i,0.00040478-0.00089846i,-0.00078988-0.0013707i,-0.0019297-0.00029768i,-0.001721+0.00063856i,-0.00055831+4.7443e-06i,0.00042184-6.2821e-05i,-0.00018245+7.0298e-05i,-0.00055828-0.0004581i,0.00069469-0.00047608i,0.00040621-7.9944e-05i,-0.00040101+0.00046657i,-0.00043851+0.00037151i
-0.0014807-0.0018952i,-0.0023331-0.0025796i,-0.0026805-0.0030413i,-0.003028-0.0020719i,-0.0030177+5.2936e-05i,-0.0015897+0.0011591i,-0.00033375+0.0012051i,0.0005179+0.0010294i,0.00089367+0.00011118i,3.6249e-05-0.00064433i,-0.0009188-0.001091i,-0.0011721-0.0007291i,-0.0011797+0.00050429i,-0.00098172+0.00146i,-0.00014057+0.0018158i,-0.00010163+0.00093504i,-0.00087641-0.00041887i,-0.00057203-0.00059431i,-4.9019e-05+4.7198e-05i,-0.0003967-3.4523e-05i,0.00024418-0.00057789i,0.00056751-0.00029981i,-0.00014903+0.00021242i
-0.0021227+0.00032532i,-0.0019636+0.00096479i,-0.0010276+0.0011728i,6.3552e-05+0.0023212i,0.00096426+0.002658i,0.00055495+0.0017328i,0.00027999+0.00071679i,0.0011045-0.00010782i,0.0012336-0.00087323i,0.00015777-0.0013291i,-0.0011108-0.00072955i,-0.0014377+0.00039821i,-0.001412+0.00083709i,-0.00070428+0.00038207i,5.519e-05-2.3458e-05i,0.00017526+0.00016622i,0.00074873+0.00059718i,0.00065495+0.0003481i,1.9491e-05-4.8375e-05i,0.00020615-0.00020692i,-8.9091e-05-0.0005492i,-0.00017793-0.00079437i,0.00041946-0.00052384i
-0.0014976+0.0022777i,-0.00095641+0.0027145i,-0.0011464+0.001714i,-0.00058303+0.00041772i,0.00053176-0.00044807i,0.0012629+0.00047456i,0.0013415+0.0010471i,0.00041444-0.00014676i,-0.00048134-0.0010991i,-0.00055909-0.00096528i,-0.00047523+0.00014434i,0.00011837+0.00090997i,0.0010473+0.00053118i,0.0019915-0.00056833i,0.0022665-0.0010989i,0.00073587+2.0133e-05i,0.000269+0.00014838i,0.00088006-0.00080941i,0.0013246-8.5398e-05i,0.00097513+0.00060208i,-0.00074805+0.00010444i,-0.0013958-0.00048369i,-0.0003484-0.00038791i
0.00077197+0.00042915i,-0.00067844+0.0022009i,-0.0014581+0.0017548i,-0.0020018+0.00063817i,-0.0021838-0.00048393i,-0.0012846-0.0015456i,-8.0549e-05-0.0013368i,-8.3211e-05-0.00050825i,-0.00055058-0.00069397i,-0.0006174-0.0004874i,-9.9739e-05+0.00088638i,0.00059873+0.00086168i,0.0015597-0.00061571i,0.0016847-0.0015804i,0.00066028-0.0025223i,-9.2186e-05-0.0021423i,-0.00029713-0.0009942i,-4.5934e-05-0.0010713i,0.00037101-0.0015369i,0.00047236-0.00088307i,5.727e-06-5.5753e-05i,-1.6644e-05+0.0005971i,0.00019145+0.0008427i
0.0015951-0.00055745i,0.0024087+0.00081437i,0.0020489+0.0017753i,0.00027075+0.0011034i,-0.0019495-0.00012106i,-0.0032165-0.00035301i,-0.0020629+0.0002054i,-0.0002216+0.00092846i,8.9214e-05+0.0013245i,-0.00029576+0.0020779i,-0.00029051+0.0012742i,0.00045937-0.00090958i,0.00064924-0.0019534i,0.00067132-0.0015354i,0.00056428-0.00098858i,0.00014247-0.00080415i,0.00012419-0.00083314i,-0.0002973-0.00070311i,-0.0010415-0.00068056i,-0.00074854-0.00043478i,-0.00015035-6.7525e-05i,-0.00016537+0.00035561i,-0.00039232+0.0013209i
0.00091001-0.0021087i,0.0028302-0.0023207i,0.0015982-0.0020872i,-6.48e-05-0.0017506i,-0.00099682-0.0014482i,-0.0022572-0.0010124i,-0.0025882+0.00078588i,-0.0026859+0.0020331i,-0.0022222+0.0016461i,-0.00073914+0.0020444i,0.00071593+0.001786i,0.00054059-2.3435e-05i,-0.0007563-0.00073081i,-0.0012087-0.00030572i,-0.0007822-0.00060241i,-0.00018376-0.0010097i,3.4343e-05-0.00054636i,-0.00040883+0.00051294i,-0.00072079+0.00046016i,-0.00126-3.2707e-05i,-0.0016639+0.00010444i,-0.00080147+0.00065191i,0.00039047+0.00098732i
-0.0014415-0.0021345i,-0.0015995-0.0029312i,-0.0013863-0.0026033i,-0.0019985-0.001083i,-0.0023785+0.00064275i,-0.0022146+0.0018288i,-0.0013646+0.002345i,4.4106e-05+0.0022346i,0.001343+0.0018098i,0.0016829+0.00079086i,0.00095481-0.00047203i,-0.00057871-0.00037906i,-0.0012283+0.00027213i,-0.00068723+0.00077529i,-0.00019078+0.0013414i,-0.00025793+0.001891i,-0.00092137+0.0010869i,-0.0014089+0.00054359i,-0.00091811+0.00044089i,0.00022707+0.00030183i,0.00066984+0.00070371i,0.00045539+0.00067541i,-0.00048683+0.00031091i
-0.0029273+0.00055476i,-0.0015434-0.00038276i,0.00067356-0.00081131i,0.00066778-0.00082585i,0.00050405+0.00058496i,0.00083691+0.0017326i,0.00071588+0.0015013i,0.00042739+0.00068803i,0.0016184+0.00017386i,0.0026229-0.00036118i,0.0017861-0.00071081i,2.7981e-05-0.00066555i,-0.00070031-0.00059551i,-0.00033335-0.00043248i,0.00031649-0.00055419i,0.00065279-5.1224e-05i,0.0011407+0.00084031i,0.00094005+0.00082697i,0.0010867+0.00052067i,0.0014785+0.00026551i,0.0014404-0.00069085i,0.00088407-0.0012992i,0.00032593-0.00070712i
-0.0049247+0.00022371i,-0.0055642-0.00085051i,-0.0049732-0.0018378i,-0.002776-0.0010541i,-0.00027701+0.00024534i,0.00090545+0.00059163i,0.00047046+0.00062147i,0.00022078+0.0005028i,-0.00050928+0.00011562i,-0.00082103-0.00042315i,-0.00021805-0.00014763i,8.1034e-05-1.521e-05i,0.0004779-0.00057807i,0.0017718-0.00050394i,0.0025715-0.00017051i,0.0020209+0.00035595i,0.000855-7.7686e-06i,-7.3556e-05-0.0012144i,4.5901e-05-0.0013342i,0.00038905-0.0009592i,0.00027646-1.6649e-05i,-9.7042e-05+0.00063381i,-0.00036366+5.6104e-05i
-0.00099933+0.0024686i,-0.0021632+0.0026336i,-0.003379+0.0017131i,-0.0037909+0.00043033i,-0.0019896-0.00023508i,-0.0004743-0.00038084i,0.00052166-0.0012925i,0.00047682-0.0017821i,-0.00011955-0.0012642i,-0.00043374-0.00014785i,-0.00091664+0.00014341i,-0.0009989-0.00050269i,-0.00020398-0.00074397i,0.00024629-0.00064595i,-0.00025731-0.00066172i,-0.0011915-0.00065965i,-0.00097511-0.0011054i,-0.00046622-0.00089331i,-0.00048915-0.00082108i,0.0001903-0.0004107i,0.00014848+0.00058107i,-0.00056647+0.00078761i,-0.00078879+0.00035479i
0.00033134+0.0034668i,-0.00025923+0.0048353i,-0.0012473+0.0059822i,-0.0018613+0.0052467i,-0.0023167+0.0027003i,-0.0019549+0.0006759i,-0.0017727+0.00021036i,-0.0018701+0.00051277i,-0.0011493+0.00039193i,-0.00099489+0.00067726i,-0.00047523+0.00057512i,0.00049525+0.00025085i,-0.00012834-0.00015817i,-0.00014387-0.00022791i,-6.5446e-05-1.7864e-05i,0.0001228+0.00036472i,0.00062064+0.00052363i,0.00076953+0.00023534i,0.00048913-0.00030366i,-0.00040349-0.00019012i,-0.00054716+0.00060395i,0.00010519+0.0010202i,0.00026697+0.0010057i
0.0030363+0.00030714i,0.0026999+0.0014139i,0.0021129+0.0023098i,0.0010636+0.0026228i,-0.0013613+0.0013374i,-0.002497+0.00092493i,-0.0015389+0.00094234i,-0.00040752+0.00013778i,7.7047e-05-0.0010866i,-3.3666e-05-0.00078162i,0.00032848+0.00067834i,0.00047915+0.0010456i,0.00065035+0.00069522i,0.00078615+0.0012279i,0.0010689+0.0011891i,0.0019599+0.00050292i,0.0020359+0.00064668i,0.00085319+0.00068021i,3.2105e-05+0.00043557i,-0.00021764+0.00086382i,-0.00021202+0.0011126i,-4.1719e-06+0.00071476i,2.6899e-05+4.4702e-05i
0.0021027-0.0041762i,0.0030653-0.0038843i,0.0026662-0.0033698i,0.0016982-0.0019505i,9.6658e-05+0.00016426i,-0.0011629+0.0012967i,-0.001412+0.0014329i,-0.00093835+0.0012234i,-0.00063633+0.00015175i,7.1845e-05-0.00032604i,0.00053758+2.1535e-05i,2.4224e-05+0.00031029i,-0.00021569+0.00041359i,0.00028247+0.00012811i,0.0009785-7.4467e-05i,0.0016953-0.00013572i,0.0018769-0.00025891i,0.00072418-0.00042731i,0.00057404-0.00094705i,0.0018987-0.00099448i,0.0021667+8.9777e-05i,0.0014209+0.00074773i,0.0008686+0.00076669i
-0.0011376-0.0026128i,0.00073242-0.0034992i,0.0031346-0.0034645i,0.003144-0.0023649i,0.00054146-0.0011723i,-0.0013674+0.00018554i,-0.0010914+0.0014428i,-0.00018562+0.00064625i,-6.8278e-05-0.00037122i,-0.00018316-0.00086309i,0.00026018-0.0013375i,0.00076246-0.0017143i,0.00064454-0.0010434i,-0.00015527-0.00066112i,-0.00024839-0.0011355i,-7.7427e-05-0.0014106i,-0.00039821-0.00092983i,-0.0004876-0.0001894i,-6.0861e-05-0.00014927i,0.00010316-0.00070769i,-2.174e-05-0.00096611i,9.7283e-05-0.0007868i,0.00020208-0.00071435i
-0.005407-0.0029102i,-0.0050421-0.0047561i,-0.0039476-0.0054236i,-0.0030287-0.004794i,-0.0014698-0.0019217i,-0.00028953+0.00085857i,0.00053715+0.0010225i,0.00031139+2.6609e-05i,-0.00030208-0.00062414i,-0.00075401-0.00056008i,-0.00047679-0.00071115i,0.00046768-0.00097719i,0.0014866-0.00091089i,0.00093201-0.00073071i,-3.9981e-05-0.00076242i,-0.000554-0.00067052i,-0.00088864+3.6708e-05i,-0.00052589+0.00064128i,-0.00042158+0.0003444i,-0.00079684-0.00024789i,-0.00079067+0.00012446i,-0.00089691+0.00017972i,-0.00078285-0.00030454i
-0.0052398+0.0040762i,-0.0055005+0.0024956i,-0.0049356+5.7363e-05i,-0.005244+0.00038394i,-0.0045491+0.0013724i,-0.0021471+0.001401i,-0.00037552+0.0015769i,-0.00082212+0.0017376i,-0.00061503+0.0012658i,-0.00041553+0.00021059i,-0.0011244-0.00031862i,-0.0019187+1.2958e-05i,-0.0023044+0.00064334i,-0.0025746+0.0011205i,-0.0018797+0.0012461i,-0.00034543+0.00099671i,-1.9258e-06+0.0013269i,-0.00035591+0.0009791i,-0.0006258+0.0010625i,-0.00035159+0.0010963i,0.00020364+1.4748e-06i,0.00022876-0.00050829i,-0.00015858-0.00036846i
9.3241e-05+0.0052669i,-0.0019926+0.0047288i,-0.002548+0.0024032i,-0.0023089+0.0010682i,-0.0012047+0.00067803i,-0.00054199+0.00029461i,-0.00071962+0.00084237i,5.7665e-05+0.00083513i,0.00036221-4.297e-05i,-0.00030146-0.00047209i,-0.00081059-2.6694e-05i,-0.001054-0.00019707i,-0.0013173-0.00039697i,-0.00062948+0.00098865i,0.00084756+0.0017948i,0.0008121+0.0013885i,0.00034598+0.001352i,2.7e-05+0.0014534i,0.0002211+0.00080282i,0.00036461-0.00048246i,3.3631e-06-0.00043129i,0.00046733+0.00076675i,0.00052103+0.00061846i
0.0055705+0.0050349i,0.0041703+0.0058483i,0.0024902+0.0036533i,0.00054939+0.0015352i,-0.0013383+7.9205e-05i,-0.001946-0.0013436i,-0.0012845-0.00064649i,0.00025725-0.00014327i,0.00092573-0.0012287i,0.00046633-0.001075i,5.1022e-05+0.00023135i,0.00011141+0.0014497i,1.5057e-05+0.0021438i,0.00042528+0.0011889i,0.0012391+0.00035706i,0.0017953-2.9195e-05i,0.0017914+0.00036767i,0.0012306+0.00078109i,0.0008934+0.00073925i,4.1389e-05+0.00055833i,-0.00020154+0.00037534i,0.00081949+0.00027094i,0.0009317+0.00024503i
0.0075834+0.0013875i,0.0072385+0.0021621i,0.0049323+0.00098615i,0.0016312+0.00046863i,-0.0015151+0.0003758i,-0.0030907+0.00035073i,-0.0021626+0.00037065i,-0.00050509-0.00058135i,-0.00046609-0.0012939i,-0.00060296-0.00084324i,0.00017836-0.00023532i,0.00064117+0.00051083i,0.00014212+0.0012932i,0.00017287+0.0010342i,0.00016402+0.00031425i,0.00051086-0.00060253i,0.0010228-0.00096443i,0.00049952-0.00097142i,-0.00031202-0.0010464i,-0.00074661-0.00062193i,-0.00021289-2.8734e-05i,-0.00048183+3.0053e-06i,-0.00097616-0.00023803i
0.003814-0.0054019i,0.0044581-0.0046644i,0.0035461-0.0034282i,0.0028159-0.0022047i,0.00060973-0.0005252i,-0.0025105+0.00089287i,-0.0028668+0.0013016i,-0.0015105+0.00069961i,-0.00037035-3.0785e-05i,7.633e-05-0.00024887i,0.00090915-0.000122i,0.0012168+0.00054328i,0.00046752+0.00014428i,0.00017183-0.00043754i,-0.00019363+0.0001566i,-0.00051822+8.7041e-05i,-0.0010546-0.0008008i,-0.00081732-0.00098758i,-0.00019017-0.00073512i,0.00044138-0.00023541i,0.00050332+0.00017193i,-0.00014623+0.00010986i,-0.00010629-0.00021478i
-0.0040049-0.0045332i,-0.0022811-0.0050994i,-0.00051895-0.0050604i,-0.00020557-0.0041968i,-0.00048753-0.002541i,-0.00049573-0.00021424i,-0.0010817+0.0012689i,-0.0020024+0.00097578i,-0.0012809-0.00029838i,-0.00050738-0.0010354i,-0.00029606-0.0010503i,9.4952e-05-0.0014852i,-0.00011945-0.0024633i,-0.0011334-0.0021808i,-0.0012341-0.00084883i,0.00046724+9.4159e-05i,0.00078989+0.00037615i,-0.00031991+0.00039661i,-0.00056001+0.00069786i,-0.00012392+0.00044609i,6.4335e-05+0.00032308i,-9.1809e-05+0.0005684i,-0.00041673+0.00084882i
-0.0088777-0.00079619i,-0.0072485-0.0012737i,-0.004509-0.0014493i,-0.0027957-0.0019482i,4.5529e-05-0.0017521i,0.0021308-0.00010897i,0.0017277+0.0017953i,0.00093617+0.0025264i,0.00011528+0.0024245i,-0.00047508+0.0021086i,-0.00041412+0.0010111i,0.00015928-0.00037302i,-2.5953e-05-0.0009682i,-0.00012164-0.00037572i,-0.00020904+0.00021677i,-0.0003854+0.00017858i,-0.00050532+0.00049844i,-0.00045006+0.00050152i,0.00022279+0.00073827i,0.00030846+0.00034997i,0.00057371+5.2388e-05i,0.001114+0.0011142i,0.00054202+0.0017325i
