-0.0016917+0.001493i,-0.002093+0.0032349i,-0.002288+0.0036516i,-0.00084839+0.0031353i,-3.1833e-05+0.0022027i,0.00014804+0.0019807i,-0.00011843+0.0014064i,5.1714e-05+0.0009859i,0.00074168+0.00094503i,0.0013956+0.0010566i,0.0010145+0.00071573i,0.00049817+0.00030553i,-0.00017768-0.00022502i,-0.00034142-0.00087772i,-0.00061526-0.0011692i,-0.00092497-0.001004i,5.9971e-05-0.0008895i,0.00035495-0.00052363i,8.4182e-06+1.9068e-05i,0.00016381+0.00021078i,-0.00037843-0.00010062i,-0.00043665-0.00077923i,0.00034096-0.00084052i
-0.00094+0.00015231i,-0.00010858+0.00047009i,-7.9516e-05+0.0024241i,0.00076964+0.0025371i,0.0012589+0.00088367i,0.0004997-6.42e-05i,-0.00011358+0.00053359i,-0.00053466+0.0015493i,8.36e-05+0.0031469i,0.00073462+0.0036955i,0.00066981+0.0027132i,0.00016613+0.0015523i,0.00036214+0.0014114i,0.00038031+0.0014964i,-0.00038114+0.0010978i,-0.0004137+0.00019352i,0.00024062+0.00015179i,0.00097623+0.00024123i,0.0013001-0.00033447i,0.00057717-0.00049602i,0.00013608-1.0714e-05i,0.00027814+0.00031258i,0.00040565-7.3543e-05i
-0.0018442-0.0010777i,-0.0018024-0.00071423i,-0.0020172-0.00056334i,-0.0021891-4.4972e-05i,-0.002123+0.00059131i,-0.0018886+0.00096398i,-0.0016881+0.00119i,-0.0013543+0.0010298i,-0.0015967+0.00064832i,-0.0017212+0.0010235i,-0.00211+0.0017999i,-0.002398+0.0015607i,-0.0013927+0.0017883i,-4.865e-06+0.0012908i,0.0012881-0.00022794i,0.0012394-0.00061353i,0.00034402-0.0005566i,0.00020855-0.00020728i,0.00058464-0.00024548i,0.00093158-0.00042379i,0.00040526+0.00054286i,-0.00030777+0.00090439i,0.00017374+9.2235e-05i
0.00021298-0.0011438i,0.00020068-0.00046502i,7.7448e-05+0.00040354i,0.00053102+0.0010802i,-0.0002409+0.0012435i,-0.0006782+0.0006268i,-0.00024885+4.2764e-05i,-0.00069059+3.1635e-05i,-0.0015025+0.00035872i,-0.0015247+0.00044048i,-0.0014657+0.00021559i,-0.0012321+0.00022485i,-0.00072649-0.00053464i,0.00025341-0.00062179i,0.001107+0.00013853i,0.00048497-0.00038754i,-0.00018265-0.00027221i,-0.00062179+0.00062372i,-0.0008915+0.0010008i,-7.9279e-05+0.00076588i,0.0004721+0.00066382i,-4.2485e-05+0.00053397i,-0.000538+0.00038633i
0.00016666-0.00061898i,0.0005831-0.0017921i,0.00092651-0.0015726i,0.00070446+0.00010101i,-0.00032165+0.00069713i,-0.0016827+0.00032827i,-0.0024725+0.00055007i,-0.0022244-2.5924e-05i,-0.0020542-0.00060708i,-0.0014825+0.0001106i,-0.00034397+0.00032908i,-4.2358e-05-0.00034927i,-0.00088429-0.00055485i,-0.00099269-0.0003261i,-0.00018853+0.0001261i,0.00032929+0.00016222i,-0.00029442-4.6953e-05i,-0.00062518+0.00047722i,-0.00014551+0.0003303i,0.00022668-6.9593e-05i,0.00063175-0.00058013i,0.00071042-0.0009375i,0.00039603-0.0013324i
0.00055577-6.9876e-05i,0.00040788-0.00027844i,0.00046819-0.00072769i,0.0002687-0.0014888i,-0.00042239-0.0019429i,-0.00082545-0.00092766i,-0.0010095-0.00066854i,-0.0007039-0.00066943i,0.00021537+0.00015766i,0.00069959+0.0010961i,0.0011399+0.0018518i,0.0013125+0.0020362i,0.00054914+0.0012645i,7.0501e-05+9.6344e-05i,-0.00023848+0.00050517i,-0.00042361+0.00038639i,-0.00052205+0.00012303i,-0.00063942+0.00048645i,-0.0009096+0.00066604i,-0.0011328+0.00043171i,-0.00014371-0.00065217i,0.0011162-0.0012586i,0.0006511-0.001117i
0.00074603-0.00041951i,-0.00033523+0.00014201i,1.5782e-05-9.4796e-05i,0.00059557-0.0008478i,-0.00063796-0.0012091i,-0.0016572-0.0012855i,-0.00098638-9.1873e-05i,0.00089609+0.00078528i,0.0017415+0.00091993i,0.0013638+0.0017038i,0.0017151+0.0022583i,0.0020558+0.0019713i,0.0021379+0.0020982i,0.0019999+0.0020053i,0.00017311+0.0012923i,-0.0012457+0.0012389i,-0.00056925+0.00049495i,0.0004261-0.00090587i,0.00047645-0.0013271i,0.00064361-0.0012524i,0.00079191-0.00059022i,0.00026162-0.00033783i,-0.00019361-0.0011808i
-2.3443e-05-0.00079802i,0.00052015-0.00058868i,-0.00042316+8.4131e-05i,-0.0011368+0.0017346i,-0.0006278+0.0021013i,-0.00057551+0.0014803i,-0.0013038+0.00096785i,-0.00091173+0.00084131i,0.00059908+0.0011005i,0.00044139+0.0017001i,0.00030074+0.0019716i,0.0004901+0.0017417i,0.0007792+0.0017015i,0.00077167+0.0013228i,0.00025414-0.0001065i,0.00028969+0.00055155i,0.00032732+0.0018532i,0.00056371+0.0006956i,0.00076635-0.00058894i,0.00080035-0.00086416i,0.00066865-0.00082902i,0.00038292-0.00077751i,0.00075961-0.0010276i
0.0016426+0.0010918i,0.0018872-0.00088456i,0.0012463-0.0020323i,-0.00029479-0.0020403i,-0.00079003-0.0014596i,-0.0013541-0.00012874i,-0.0013096+0.00081346i,-0.0010818+0.0018865i,-0.0010364+0.0023116i,-0.00067477+0.0025567i,-0.00032952+0.0026247i,-0.00023223+0.0022571i,-7.3356e-05+0.0021585i,0.00040262+0.0017858i,0.0015774+0.00061956i,0.0016398-0.00070196i,0.00077017-0.00074628i,0.00060151-0.00017237i,0.00038186+3.7453e-05i,1.4841e-05-0.00053976i,-0.00013746-0.00044029i,-0.00062497+7.1037e-05i,0.00029823-0.00056157i
0.00023643-2.5044e-05i,0.0026121+5.8045e-05i,0.0031199+0.00051753i,0.0018695+0.0005873i,0.00022819+0.00048626i,-0.00046019-9.2183e-05i,-0.00086678+0.00046697i,-0.0018803+0.0019018i,-0.0029955+0.0021764i,-0.0029157+0.0013243i,-0.0018632+0.00086843i,-0.00077835+0.0008202i,-0.00057857+0.0007709i,-4.8402e-05+0.0014031i,0.00099983+0.002068i,0.0010784+0.001475i,0.00067397+0.0008636i,0.00048906+4.2174e-05i,4.0333e-05-7.1167e-05i,-9.9404e-05+8.3618e-05i,0.00046489-0.00036914i,0.00093606-0.00023846i,0.0005585+0.00057189i
0.00010999+0.0011129i,-0.0014608+0.001521i,-0.0027766+0.0011921i,-0.001905+0.00038467i,-0.0012067+0.00051813i,-0.00094833+0.00099798i,-0.0014594+0.0012839i,-0.0023712+0.00082485i,-0.0029025+3.0279e-05i,-0.0022106+0.0001643i,-0.00066955+0.0010002i,-0.00022075+0.00095662i,-0.00053781+0.00078587i,-0.00052969+0.001546i,-6.3075e-05+0.0013043i,0.0002554+0.00063339i,-6.7173e-05+0.00093855i,-0.00016013+0.0010231i,0.00072766+0.0010054i,0.0013078+0.00078263i,0.0015376-0.00018184i,0.0010007-0.00044333i,-0.00041828+0.0001356i
6.5931e-05-0.00027383i,-0.00018607-0.00078782i,-7.7001e-05-0.00087444i,-0.00027383+0.00041612i,-0.00024803+0.0004199i,-0.00049106-0.00027683i,-0.001212-0.000256i,-0.0017695-0.00097269i,-0.001112-0.0012438i,0.00050612-0.00024335i,0.00099879+0.0010495i,0.00080104+0.00097267i,0.0012256-0.00028402i,0.00086059-0.00024244i,0.00033238+0.00084047i,-7.8493e-05+0.0012914i,3.5042e-05+0.00054451i,0.00020185-0.00029651i,0.00043157+0.00010839i,0.00074992-0.00021481i,0.00020969-0.00013774i,-0.00094719+0.00018554i,-0.0015257+2.3783e-06i
-0.0016361-4.3614e-05i,-0.00075401+0.00099723i,0.00062689+0.00063735i,0.0010506+0.00072477i,-0.00014298+0.00079838i,-0.0014495+0.00011253i,-0.0017652-0.00075908i,-0.00087007-0.0021981i,0.00044383-0.0012889i,0.00071422+0.00045569i,0.00037184+0.00099494i,0.00018168+0.00057447i,0.00073182+4.8299e-05i,0.00043896+0.0002899i,-0.00061751+0.0001588i,-0.00071215+0.00064631i,-0.00077492+0.0012463i,-0.0010652+0.00075553i,-0.0003698+0.00050351i,0.00067411+0.00061269i,0.00071388+0.0005695i,0.00025057+3.5367e-05i,2.5026e-05-0.00094416i
-0.00021046+0.00085611i,8.4464e-05+0.0011669i,0.00056832+0.0025953i,0.00053274+0.0034141i,0.00074357+0.0023589i,0.00035822+0.00056191i,0.0011227-0.0011507i,0.0023748-0.000435i,0.0022825+0.00092391i,0.00116+0.00070588i,0.00065365-9.4945e-05i,0.0010667-0.00036943i,0.0014308+8.2846e-06i,0.0016609+0.00011851i,0.0012874-0.00066961i,0.00010705-0.00083335i,-0.00079367-0.00012633i,-0.00011761+5.6191e-05i,0.00089148-0.00027309i,0.00027492-3.72e-06i,-0.0010177+0.00067077i,-0.00085752+0.0005211i,0.00011766-8.4767e-05i
0.0036757-0.00066071i,0.0023907-0.0013747i,0.0010064-0.0029971i,0.00022366-0.0031345i,-0.001023-0.0015265i,-0.002658-0.00026605i,-0.002116-0.00021293i,0.00017341+0.00091904i,0.0014351+0.0024038i,0.0011741+0.0020772i,0.0013648+0.0015196i,0.0015138+0.0014747i,0.00090652+0.0017227i,0.00058742+0.0017065i,0.00048+0.00045647i,0.00024699-0.00078281i,-0.00022874-0.00050474i,-0.00067657+0.00026048i,-0.00085996+0.00040428i,-0.00069182+0.00075255i,-0.00028766+0.00060247i,-0.00028348+0.00047241i,-0.00015282+0.0005477i
-0.0024729-0.0016215i,-0.0028311-0.00089933i,-0.0027322+0.00015544i,-0.0021134+0.0014485i,-0.00091337+0.00075583i,-7.4031e-05+2.9823e-05i,0.00054215+0.00025037i,0.00072095+0.0016292i,-0.00017231+0.0030985i,-0.00073623+0.0033637i,-0.00013879+0.0026255i,0.00020436+0.0022441i,-0.00083034+0.0015668i,-0.00076386+0.00080835i,0.0007332+0.0004976i,0.0008606+5.7531e-05i,0.00038695-8.9415e-05i,0.00070994+0.00043063i,0.00099761+0.00039209i,0.0010504+0.00015797i,0.00066032+0.00011806i,0.0005238-0.00047727i,0.00065204-0.0010819i
-0.0028011+0.0027943i,-0.00073304+0.0034654i,7.1505e-05+0.0033414i,0.0011887+0.0029374i,0.0020967+0.002362i,0.0022688+0.00054408i,0.0011728+0.00046818i,-0.0010429+0.0019089i,-0.0023109+0.0031338i,-0.0017482+0.0032775i,-0.00056945+0.002623i,0.00011318+0.0021237i,-0.00052306+0.0018835i,-0.0014786+0.00088987i,-0.0011641+0.00090212i,-0.00030663+0.0014206i,-0.0006221-0.00021098i,-0.0010066-0.0015353i,0.00014491-0.00056163i,0.00054829+0.00057254i,0.00019832-4.4415e-05i,-2.9121e-06-0.00011084i,-0.00085027+0.0011699i
0.00025872-0.00062944i,-0.00013893-0.00059266i,-0.001297-0.00020336i,-0.0014402+0.00073942i,-0.00073927+0.0011611i,-0.00074077+0.001127i,-0.0020956+0.00085269i,-0.0027497+0.00035973i,-0.0026464+0.00085533i,-0.002189+0.0015722i,-0.00081815+0.0016221i,0.00013822+0.00060327i,0.00027904-0.00027007i,0.00056738-7.7578e-05i,0.00035038+0.00013047i,2.8284e-05+0.00033125i,-0.00068587+0.00078589i,-0.0010175+0.00025924i,-0.00035697-0.00087328i,0.00028606-0.0014233i,0.0008069-0.0016371i,0.0010221-0.0011466i,0.00039368-0.00071623i
-0.0038586+0.00063524i,-0.0037805+0.00069247i,-0.0038674+0.0013165i,-0.0025888+0.0018636i,-0.0010512+0.0022023i,-0.00092616+0.0031143i,-0.0020914+0.0022479i,-0.0028036+0.00051952i,-0.002758+2.9496e-05i,-0.0023794+0.00071098i,-0.0017825+0.0013516i,-0.00097609+0.00051011i,-0.00070435-0.00038404i,-0.00089232-1.2872e-05i,-0.00080275+0.0008223i,-0.00065463+0.0010344i,-0.00042458+0.0008232i,0.00012869+0.00026683i,0.00045057+0.00014258i,8.8868e-05-0.00025192i,0.00023835-0.00037292i,0.00062171-0.00033795i,-0.0001359-0.00095418i
0.0019282-0.00016527i,0.0022541-0.0016898i,0.0016138-0.00072627i,0.00060225-0.00023423i,-0.00079808-0.00091062i,-0.0026172-0.00084303i,-0.003037-0.0011355i,-0.0017447-0.0015789i,-0.00063615-0.0013699i,3.0217e-05-0.0006404i,0.00035423-0.00028238i,0.00083338-0.00076099i,0.0010903-0.00094056i,0.0012157-0.00068384i,0.00085949-0.00062398i,0.00036454-0.00044901i,0.00028759-0.00034052i,0.00056916+0.00022587i,0.0012331-2.1172e-05i,0.0010233-0.00096199i,0.00068397-0.00020246i,0.00085728+3.9417e-05i,0.00084882-0.0013143i
0.0010403-0.00020112i,-2.9892e-05-0.00020144i,-0.0017692-0.0008289i,-0.0018135-0.00031997i,-0.0017762+0.00029772i,-0.0025393-0.0010363i,-0.0023959-0.0027237i,-0.00033104-0.0026662i,0.0010293-0.001679i,0.0012782-0.0011712i,0.0015952-0.00073508i,0.00093661+0.00049259i,0.00052157+0.0011536i,0.00069184+0.00043582i,0.00088856-0.0011649i,0.00098685-0.00091384i,0.00054123+0.0010799i,0.00067495+0.00060757i,0.001023-0.0005207i,0.0010743-0.00052416i,0.00077075-0.00015086i,0.00029857-0.00022208i,0.00043879-0.00077545i
5.7383e-05+0.0018027i,0.00019999+0.0010276i,0.00051036+0.00064263i,0.00030788+0.00087176i,-0.00036422-3.447e-05i,-0.00085175-0.0021846i,-0.00013884-0.0032144i,0.001348-0.0020686i,0.0021093+1.2272e-06i,0.001797+0.00086714i,0.00098045+0.0011797i,0.00075718+0.0014975i,-7.2148e-05+0.0016215i,-0.00051866+0.0019526i,0.00039323+0.0016562i,0.00079039+0.00044481i,5.8315e-05+0.00028776i,-0.00060215+0.0011194i,9.3931e-05+0.0012804i,0.00078201+0.00076932i,-0.00023114+0.00036207i,-0.00062444+0.00026295i,-1.6528e-05-0.00048454i
-0.00062553-0.00077868i,-0.0012556-0.0010303i,-0.0011582-0.0020436i,-0.00093307-0.0030134i,-0.00010365-0.0026739i,0.001125-0.0019425i,0.0025443-0.0010402i,0.002944+0.00090508i,0.002411+0.0027541i,0.0017979+0.004217i,0.0014346+0.0045761i,0.0014451+0.0039636i,8.6489e-05+0.0030701i,-0.00037589+0.0020254i,0.00026533+0.001437i,0.00022956+0.00030238i,0.00013195-0.00018773i,-1.8006e-05+0.00073935i,-0.00014267+0.00063087i,-0.00015229+0.00031734i,-0.00063049+0.00068674i,-0.00040556+0.00079949i,0.0002979+0.00044441i
0.00095795+5.908e-05i,0.0020287-0.0008109i,0.0026764-0.00025257i,0.0017639+0.00061988i,0.0010644+0.00022987i,0.0028879+0.00054641i,0.0041186+0.0026266i,0.0018691+0.0044029i,-0.00046998+0.004613i,-0.0004256+0.0046656i,-0.00016426+0.0044904i,-0.00096486+0.0029208i,-0.0012057+0.0013275i,-0.0011092+0.00060799i,-9.2824e-05+0.0011454i,0.00085529+0.0013378i,-8.9586e-05+0.00029743i,-0.0014175+0.00047588i,-0.0015208+0.0014857i,-0.00080297+0.0012589i,-0.00012728+7.4517e-05i,0.00012851-0.00017727i,-0.00066208+0.00077675i
-0.0019226-0.0011238i,-0.0019196+0.00066766i,-0.0018814+0.0017598i,-0.0017597+0.0021052i,-0.00050067+0.0035329i,0.0010478+0.0053922i,-2.786e-05+0.0058121i,-0.002495+0.0040006i,-0.0037759+0.0027992i,-0.0037271+0.002644i,-0.0027321+0.0023652i,-0.0014921+0.0011812i,-0.00065783+0.00010589i,-0.00080269-4.501e-05i,-0.00067644-0.00065079i,-0.00016611-0.00038113i,0.00020869-0.00055816i,0.00029413-0.0013638i,0.00039657-0.00025767i,0.00069274+0.00041108i,0.001023-0.00053851i,0.00081399-0.00066514i,-0.00034233-0.00036874i
0.00016307+0.00097538i,0.00053861+0.00085947i,0.00025789+0.0019073i,0.00096625+0.0026998i,0.00013373+0.0026692i,-0.0013334+0.0034612i,-0.0036506+0.0031992i,-0.0056469+0.0014806i,-0.0050891+0.00066558i,-0.0033233+0.00063308i,-0.0022681+0.00029902i,-0.0010381+0.00040433i,0.00032045-0.00030531i,0.00011477-0.001575i,-0.00080743-0.001884i,-0.0004983-0.0012031i,0.00044678-0.00075199i,0.0010076-0.0012736i,0.0017347-0.0010373i,0.0014036+0.00035857i,0.0010501+0.00070286i,0.00079454+0.00043844i,0.00016897-0.00039295i
0.0014015+0.0011706i,0.001012+0.00028135i,0.00070991-0.00056311i,-0.00041764-0.00044889i,-0.0026011+0.00024376i,-0.0060838+0.00024536i,-0.0074886-0.00076785i,-0.0058735-0.0016589i,-0.0035713-0.0023837i,-0.0018635-0.0020199i,-0.00065511-0.001091i,-5.7214e-05-0.00021278i,0.00047002+0.00060067i,0.0013576+0.00080422i,0.0019318-0.00017763i,0.0021358-0.0010068i,0.0017224-0.00027027i,0.0009009-0.00024431i,0.0002277-0.0013185i,0.00060275-0.0012331i,0.00089694-0.00068068i,0.00027358-0.00021686i,-0.00064767-0.00025536i
0.00078012-0.00079072i,0.00030205-0.0016969i,0.00046253-0.0018423i,-0.00040106-1.265e-05i,-0.0028456+0.00051691i,-0.0044478-0.0020429i,-0.0037102-0.004984i,-0.0018636-0.0050465i,-0.0006804-0.0041121i,0.00021906-0.002738i,0.00065737-0.00078837i,0.00055901+0.0010176i,0.0011687+0.0013437i,0.0014692+0.0005077i,0.0015567+0.00025222i,0.0016018+0.00046106i,0.00080658+0.00071446i,-0.00016631+0.00051204i,-0.00033579+0.00077664i,0.00064322-0.00024769i,0.00060776-0.0010091i,-0.00030781-0.00068546i,-0.00037396-0.0010112i
0.00049166+0.00030916i,-0.0007654+0.00066883i,-0.0021581+0.0016763i,-0.0023869+0.0010134i,-0.0018397-0.0014578i,-0.00064846-0.0038361i,0.0016461-0.0052896i,0.0032764-0.0043542i,0.0030828-0.0022765i,0.0029321-0.00015691i,0.0022332+0.0012207i,0.000332+0.0014305i,-0.00085127+0.0022054i,0.00034415+0.0025931i,0.0013531+0.0020787i,0.0007316+0.001488i,-0.00016861+0.0012032i,-0.00022261+0.0010281i,0.0010337+0.00034266i,0.00073307+0.00055779i,2.2645e-05+0.00067416i,0.00051027-0.00013215i,0.00073023-0.00087789i
0.00093381+1.6706e-05i,0.0008385-0.0010213i,-0.0004996-0.0023215i,-0.0010388-0.0024513i,-0.00016638-0.0023427i,0.002063-0.0023258i,0.0049995-0.0014997i,0.0059583-6.8934e-05i,0.0041685+0.0018497i,0.0032899+0.0027089i,0.0026081+0.0022345i,0.00041391+0.0016188i,-0.0013448+0.0010084i,-0.00085726+0.0016915i,5.4891e-05+0.0026241i,0.00061093+0.0015022i,0.00033884+0.0008357i,-8.1911e-05+0.0011471i,0.00050017+0.00043558i,0.0012239-0.00030589i,0.0012945+0.00010539i,0.0014295+0.00049256i,0.00087737+0.0001198i
0.0021997-0.0010552i,0.0020608-0.00076241i,0.0023686-0.00011742i,0.0034016-0.00069206i,0.0043757-0.0012116i,0.0046462+0.0010985i,0.0051692+0.0043007i,0.0048169+0.0060337i,0.0026055+0.0053566i,0.00099081+0.0039537i,0.00036864+0.0027081i,2.1125e-05+0.0014569i,-0.00029434+0.00091961i,-0.00099145+0.00095395i,-0.0012345+0.001192i,-0.001111+0.00094316i,-0.00065378+7.6191e-05i,-0.00084667-0.00026398i,-0.00069604+0.00049186i,0.00036273+0.00096752i,0.00098598+0.00097459i,0.0010187+0.00095373i,0.00048718+0.00095516i
0.00015953+0.00064624i,0.0010791+0.001253i,0.0010317+0.0018786i,0.0013807+0.0017746i,0.0025752+0.0027955i,0.0025963+0.0060013i,-0.00025815+0.0083551i,-0.0025557+0.0085555i,-0.0025602+0.0068564i,-0.0018099+0.0043755i,-0.0010762+0.0025091i,-0.00015364+0.0014434i,0.00066537+0.0002375i,0.00071126-0.00032625i,0.00030985-0.00062783i,-1.6277e-05-0.0009043i,0.00016977-0.00020572i,0.00069298+0.00062943i,0.00035116+0.00091284i,-3.0497e-05+0.00092641i,0.00044988+0.00073018i,0.00059164+0.00095697i,0.00062995+0.00076251i
0.0013949-0.0010695i,0.00020256-0.00093971i,-0.0015869-0.0012322i,-0.0025941+5.8575e-05i,-0.0034808+0.0026688i,-0.0057542+0.0056267i,-0.0085643+0.0063538i,-0.0089721+0.0043382i,-0.0065214+0.0024127i,-0.0049067+0.0012593i,-0.0026549+0.00092341i,0.00043364+0.00146i,0.0017394+0.0011964i,0.0017285+0.00045797i,0.00088367-0.00010715i,0.00041143-0.00056955i,0.00041149-5.9184e-05i,-3.3834e-05+0.00030332i,-0.0003489+0.00043041i,-0.00070983+0.00063852i,-0.00058195+7.1674e-05i,0.00016261-6.1726e-05i,-0.00048294+0.00020786i
-0.0012795-0.0022272i,-0.0016378-0.0015315i,-0.00060469+0.00036539i,-0.00079013+0.0023164i,-0.0040567+0.0033953i,-0.0075036+0.0020615i,-0.0091278-0.0014961i,-0.0087961-0.0038425i,-0.007009-0.0036105i,-0.0045393-0.0022206i,-0.0026424-0.00046871i,-0.00052052+0.00088385i,0.0014261+0.0016511i,0.0020697+0.0013419i,0.0016391+0.00061216i,0.0007836+0.00042912i,-0.00023817+0.00039626i,-0.00063527+0.00082817i,-0.00068797+0.00060989i,-0.0010448-0.00016419i,-0.0014023-0.00011372i,-0.0016051-0.00031203i,-0.0014812-0.0014716i
-0.00042475+0.00069909i,-0.0010384+0.0018329i,-0.0014893+0.0014479i,-0.0020705+0.00069698i,-0.0038173-4.9092e-05i,-0.0044615-0.0040061i,-0.0037524-0.0087579i,-0.0028282-0.0096964i,-0.0022144-0.0062878i,-0.0019023-0.0017359i,-0.0021793+0.0011018i,-0.0020415+0.0020423i,-0.00045645+0.0022546i,0.00038853+0.0017693i,0.00046075+0.00052084i,0.0006816-0.00067403i,8.1392e-05-0.00047159i,-0.0010912+0.00055316i,-0.00046852+0.0010555i,0.00078832+0.00055796i,0.00065806-0.00023217i,-0.00017693-0.00019731i,-0.0009064-0.00077396i
0.0012665+0.00085622i,0.0027064+0.00085665i,0.0030687+0.00076338i,0.0021389-0.001204i,0.0014397-0.0053373i,0.0020905-0.0093493i,0.0032021-0.009795i,0.0043158-0.0084211i,0.0045281-0.0054326i,0.0030868-0.0017665i,0.00094197-0.00025147i,-0.00054386+0.00023252i,-0.0014079+0.0014868i,-0.001176+0.0015611i,-0.00061322+0.00082218i,-0.00064623+8.617e-05i,-0.00036542-0.00067274i,-0.00069566-0.00033878i,-0.00098438+0.00071955i,-0.00069355+0.00070658i,-0.00023374+0.00046907i,0.00019506-0.0009i,0.00058989-0.0017672i
0.00074369-0.0012462i,-0.00016048-0.0015659i,-0.0011001-0.0027097i,-0.00085354-0.0032209i,0.0014878-0.003532i,0.0060414-0.0038709i,0.010437-0.002021i,0.011218+0.00017262i,0.0087493+0.00032738i,0.0054363-9.4927e-05i,0.0022892-0.00012026i,2.0604e-06-0.00024047i,-0.00056892-6.2949e-06i,0.00014497+7.5071e-05i,0.00084058-0.00019524i,0.0002072+0.00014559i,-0.00061643+7.6184e-05i,-0.00069015-0.00064087i,-6.8947e-06-0.00068827i,0.00049428+0.00012548i,0.00083588+0.00090372i,0.00081935+9.5434e-05i,5.9066e-05-0.00094668i
-0.0011339-0.0018536i,-0.0026685-0.0022922i,-0.0027094-0.0021845i,-0.000268-0.00072626i,0.0031048+0.0023826i,0.0067211+0.0061395i,0.0087478+0.0088099i,0.0078805+0.0093175i,0.0051107+0.0076866i,0.0025379+0.0051099i,0.0011263+0.0020974i,0.00080211+2.0239e-05i,0.00063748+7.3458e-05i,0.00055705+0.00047621i,0.0010405+0.00028937i,0.0010985+0.00042937i,0.00023019+0.0010048i,0.0001166+0.00042871i,0.00052164-0.00011233i,0.0004012-0.0001801i,0.0003433-0.000404i,0.00083671-0.00035824i,0.0015846+0.00038026i
-5.8465e-05+0.00096548i,-8.2244e-05+0.0013574i,0.0002316+0.0019508i,0.00079233+0.0042829i,0.0012529+0.007875i,-0.00027573+0.011026i,-0.0026017+0.013318i,-0.0031996+0.012844i,-0.002513+0.010311i,-0.0013318+0.0077248i,-0.00043779+0.0045224i,0.00071233+0.0017958i,0.0012775+0.00040508i,0.00061399-0.00014527i,0.00055985+3.2058e-05i,0.0012697+0.00083186i,0.0021638+0.0010063i,0.0021702+0.00034306i,0.00092313+1.4622e-05i,0.00021303+0.00033826i,0.00036719+0.00070621i,0.0011274+0.00078307i,0.0011743+0.0010277i
0.0020542-0.00099288i,0.0031799-0.00098078i,0.0031878-0.001081i,0.0013003+0.00070708i,-0.0030445+0.0037656i,-0.0089224+0.0060684i,-0.013031+0.0070985i,-0.013286+0.0062279i,-0.009586+0.0054203i,-0.0056329+0.0048635i,-0.003487+0.0046029i,-0.0023483+0.0036353i,-0.00092902+0.0016714i,0.00058982+0.0012388i,0.00091702+0.0013351i,0.0010216+0.00079899i,0.0010028+0.0007462i,0.00040371+0.00079176i,1.5639e-05+0.00042738i,-0.00029032-0.00011446i,0.00016715-0.00025199i,0.0010348+0.00023858i,0.0010524+0.00030799i
0.00069498+0.0014965i,0.0007936+0.0022376i,0.00037602+0.0018979i,-0.0010676+0.00049258i,-0.0054756-0.0012519i,-0.011149-0.0039442i,-0.013889-0.0061182i,-0.013531-0.0059373i,-0.010926-0.0036957i,-0.0067604-0.00044587i,-0.0040533+0.0020323i,-0.0025209+0.0028092i,-0.0013443+0.00278i,-0.00079071+0.0027839i,-0.0002407+0.0019146i,-0.00022145+0.001113i,-0.00083211+0.0011428i,-0.0013131+0.0011211i,-0.00087823+0.0014315i,0.00019817+0.00099968i,0.00077434+2.0137e-05i,0.0010578-0.00070897i,0.00058248-0.0013168i
-0.00054834-0.0012176i,-0.00053855-0.0012625i,-0.0019199-0.0013625i,-0.004569-0.0025464i,-0.0067757-0.0063783i,-0.0064368-0.011056i,-0.0044374-0.014431i,-0.0026539-0.013995i,-0.0025951-0.010392i,-0.0026617-0.0060565i,-0.002082-0.0022587i,-0.0020619+0.00035818i,-0.00097333+0.0012134i,0.00016608+0.0014049i,0.00045119+0.0018268i,-0.00047837+0.0011387i,-0.0016163+0.00020463i,-0.0013599+0.00013442i,-0.000787+0.00020818i,-0.00047553+0.00011238i,-0.00034077-0.00020385i,-0.00035062-5.1536e-05i,-0.0011578-0.00067908i
-0.0023164-0.001707i,-0.0035275-0.0014575i,-0.0044286-0.0014942i,-0.0031371-0.002093i,0.00026834-0.00398i,0.0061144-0.0076688i,0.01003-0.011099i,0.0098121-0.011844i,0.0073589-0.0090015i,0.0036858-0.0049539i,0.002108-0.0024813i,0.0022798-0.00093773i,0.0016693+0.00018914i,0.00069828+0.00022169i,-0.0002144-0.0011496i,-0.00034739-0.0018382i,-1.2262e-05-0.0011424i,-0.00033804-0.00016607i,-0.00052006+0.00063125i,0.00010116+0.0005926i,0.0010777+0.00032195i,0.0014211+0.00040866i,0.00023701+0.00011839i
-6.7092e-05-0.00057571i,0.0015143-0.00036567i,0.0018869-0.001287i,0.0034782-0.0024442i,0.0076556-0.0017884i,0.012134+0.00048105i,0.015253+0.0013906i,0.014539+0.00050179i,0.010361+8.6167e-05i,0.0061486+8.7924e-05i,0.0030476-0.00050596i,0.0013793-0.0012861i,-5.9323e-05-0.0015828i,-0.000598-0.001822i,6.663e-05-0.0014694i,0.0014103-0.0012962i,0.0014146-0.0010581i,0.00073737-0.00024945i,0.00013455+0.00028705i,3.2978e-05+0.0010106i,0.00069167+0.00084318i,0.001151+0.00054087i,0.0011228+0.00026572i
