-0.00083104+0.0010212i,0.00019362+0.0021953i,0.0016722+0.00093424i,0.0012816-0.00027744i,-2.0801e-05-0.00060743i,0.00028049-0.00070389i,0.001073-0.00013363i,0.00095074-0.00013166i,-0.00028214+0.00014882i,-0.00057501-9.8861e-05i,7.016e-05+4.0013e-05i,0.00051346+0.00045201i,0.00072842-0.00051157i,0.00032721-0.0013416i,-0.00016131-0.00046305i,0.00036881-0.00020241i,0.00025444-0.00046884i,-0.00062832-0.00023764i,-0.00048009+0.00037056i,-0.00013357+0.00056612i,7.4202e-05+0.00024406i,0.00050701-0.0002287i,0.0010044+8.606e-05i
0.00127+0.00055396i,0.00035179+0.0010215i,-0.00012801+0.00014242i,-0.00043968-0.00028746i,-0.0011243-0.00024138i,-0.0010359-0.00081502i,-0.00023395-0.00095617i,0.00035885-0.00051377i,0.00031678-0.0001093i,-0.00029087+7.2777e-05i,-0.0010704-0.00036385i,-0.00061971-0.0006672i,0.00062707-0.00024616i,0.0004766-0.00011302i,0.00014017-0.00035432i,-0.00010516-2.7465e-06i,-0.00053451-0.00025963i,-0.00021834-0.00085019i,0.0002949-0.00061371i,-4.1269e-05+5.3671e-05i,-0.00053725-1.0478e-05i,-0.00091513-0.00050569i,-0.00040982-0.00073527i
-0.00076252-0.00066481i,-0.0010324-0.00085229i,-0.0017901-0.0005104i,-0.0018704-0.00024096i,-0.0012933-0.0005698i,-0.0009411+4.3108e-05i,1.816e-05+0.00074619i,0.00087995-0.00014179i,0.00017461-0.00027795i,-0.00071307+2.8543e-05i,-0.0012696-0.00020069i,-0.00096301-4.0962e-05i,-0.00021522+0.00012039i,-0.00026675+0.00046299i,-0.00059761+0.00041295i,-0.00043306+0.00039819i,0.00055147+0.00081587i,0.00065587+0.00082142i,0.00018982+0.00013577i,0.00055106-0.00080829i,0.0011072-0.00060316i,0.00152+0.00024385i,0.00080602+0.0010841i
0.0011055-0.0011812i,0.0010548-0.0010854i,0.0008083-0.0013484i,0.001532-0.0015808i,0.0010993-0.00064853i,-0.00060206+0.00016248i,-0.0011079+0.00098354i,-0.00031837+0.00063928i,0.00097637+7.9358e-05i,0.00086552-0.00026537i,0.00045586+0.00016045i,0.00083798+0.000872i,0.0010548+0.00087171i,0.00012074+0.00071974i,-0.00041871+0.00063684i,-0.00019864+0.00044446i,-0.00025537+5.9574e-05i,-0.00015752-0.00048814i,-0.00060558-0.0014089i,-0.0012001-0.00060941i,-0.00056215+0.00034515i,0.00016794-0.00026827i,0.00047058-0.00032542i
0.001145-0.0021865i,0.0002145-0.00047392i,-0.00029204+0.00028028i,-0.0019047+0.00069486i,-0.0037422+0.001265i,-0.0021015+0.0011172i,0.00035051+0.00027324i,0.00085059-0.00073228i,0.00047637-0.0013911i,0.00017929-0.0014704i,0.00055627-0.0011819i,0.001655-0.00084112i,0.0017005-0.00022483i,0.0012271+5.9531e-05i,0.00097651+0.00016547i,0.00058671+0.0006364i,0.00020549+0.00021188i,-0.00026416-0.00043313i,-0.00053383+4.2426e-05i,-0.00074238+0.000184i,-0.00038919-0.00040417i,4.0049e-05-0.00031088i,-4.1481e-05-0.00037814i
0.0007501-0.00077865i,0.0003679+0.0001412i,8.4986e-05+0.00049973i,-0.00033096-0.00015811i,-0.00029058-0.00024911i,-0.00056803+0.00097581i,-0.00071378+0.0013727i,-5.35e-05+0.00077573i,0.00023667-0.00020674i,-0.00039405-0.00067614i,-0.00067177-0.0012012i,-1.8056e-06-0.0010098i,0.00073106-0.00037447i,0.00096297+0.00017433i,0.00082064+0.00035784i,0.00066561-1.6034e-05i,0.00071797-0.00026349i,0.00034221+0.00023756i,-6.5314e-05+0.00074017i,-0.00018982+0.00026798i,0.00053933+0.00014618i,0.00043928+0.00022008i,-0.00043427-0.00030497i
0.00032462+0.00032379i,-0.0010102-4.3169e-05i,-0.0013243-6.616e-05i,-0.00098991+0.00014391i,-0.00049692-0.00079748i,-0.00022805-0.0012799i,2.1109e-05-0.00030478i,0.00046543+0.00065587i,0.00071727+0.00058655i,0.00057868+0.00065954i,-0.00017522+0.00074823i,-0.00090189+0.00083756i,-0.00035311+0.001003i,-0.00026469+0.00073848i,-0.00032926+0.00055907i,-3.2773e-05+0.00047975i,0.00025833+0.00028945i,-3.0805e-07-0.00051027i,0.0006382-0.001128i,0.0013479-0.0004466i,0.00083273+0.0002705i,-1.3634e-05+0.00027017i,-0.00032599-0.00019871i
-0.0017207+0.00090926i,-0.00019625+0.0003018i,0.0010729+0.00023586i,0.0014107+0.00067953i,0.0011743+0.00023349i,0.0007096-0.00052971i,0.00045489-0.00013188i,0.00075464+0.00013314i,0.001363+8.3439e-05i,0.0023997+0.0010332i,0.0018474+0.0020349i,0.0010658+0.0012861i,0.0011546+0.0015999i,0.00042423+0.0021839i,-0.00028351+0.00098939i,0.00058999-0.00018392i,0.00061758-0.00019956i,0.00033967-0.00048388i,0.00028951-0.00071051i,-0.0001043-0.0003145i,-0.00034888-0.00026684i,-0.00011346+8.4156e-05i,0.00020373+0.00044853i
3.0262e-05-0.00076146i,0.00045157-0.00053941i,0.00083953-0.00030144i,0.00025573-0.00032278i,-0.00062416-0.0013865i,-0.00037192-0.0016264i,0.00029353-0.00085757i,0.00097068-0.00010316i,0.00068743-0.0002732i,0.00010949-0.0017753i,0.00061491-0.0024758i,0.0015576-0.001381i,0.001985+0.00014405i,0.001797+0.00064874i,0.0015186-8.0241e-05i,0.0006432-0.00025262i,-0.00012917-0.00036077i,-0.00010015-0.00044339i,0.00019575+0.00040963i,0.00029532+0.00041573i,6.0015e-05+9.6084e-05i,-6.8878e-05-0.00043822i,0.00047439-0.00044474i
-0.00088469+0.00063379i,-0.0001573+0.00040637i,3.0254e-05+0.0016185i,0.00044494+0.0016772i,0.00079388+0.0010949i,0.00053282+0.00052927i,4.2215e-05+0.00032812i,-2.1378e-05+0.00052157i,0.00077806+0.00010143i,0.00060457-0.00058068i,8.0787e-05-0.0011475i,-9.8607e-06-0.0013269i,-3.6346e-05-0.0013784i,-0.00038509-0.00090825i,-0.00016963+7.113e-05i,0.00043033-0.00015751i,0.0003469+5.4268e-05i,-0.00017184+0.00061958i,-0.00059589+0.00083598i,-0.00061024+0.00092538i,-0.00041095+0.00096078i,-0.00017177+0.00014156i,0.00070547-0.0010963i
0.0013528-0.00024577i,0.001595-0.0011488i,0.00211-0.0012778i,0.0011448-0.0011598i,0.00021527-0.0010765i,-0.001142-0.00033258i,-0.0015899-1.6292e-05i,-0.00075609+0.00019857i,-0.00027567+0.00011233i,-0.00049693+0.00028955i,-0.00071956+0.00039511i,-0.0009606-6.6454e-05i,-0.0011205-0.00024687i,-0.00058862+0.00086129i,-0.0007156+0.0010969i,-0.00076314+0.0006562i,-5.2886e-05+0.00083016i,5.9661e-05+0.00077662i,-0.00036051+4.8048e-05i,-0.00056328-0.00053182i,-0.00081067-8.7051e-05i,-0.0007577+0.00028542i,-0.00030663-7.1585e-05i
0.001757-0.0010659i,0.0011151-0.00096185i,0.0013853-0.0013323i,0.0017899-0.0015429i,0.00061468-0.001467i,-0.00068003-0.0008482i,-0.00062537-0.00025782i,0.00020567-0.00038011i,0.00038122-0.00078158i,0.00016971-0.00027295i,0.00031773+0.0003804i,0.00020598+0.00083897i,0.00067258+0.0010324i,0.001065+0.0010543i,0.0010724+0.0007132i,0.0013155+0.00032454i,0.0013112+0.0010642i,0.0011896+0.0013374i,0.0013395+0.001131i,0.001058+0.00048282i,0.00051387+0.00014887i,0.00019404+3.4994e-05i,0.00049058-0.00016937i
0.00024955+0.00052402i,-0.00018442+9.8737e-05i,0.00020173-0.00064892i,0.00041927-0.00053542i,2.1947e-05-0.00097892i,-0.0002925-0.0011076i,-0.00035198-0.0011533i,8.5419e-05-0.0014936i,0.0013182-0.0012147i,0.0016387-0.00066637i,0.0011818-0.00013615i,0.0012319-0.00054137i,0.0011328-0.00040996i,0.0010698-0.00031197i,0.0004832-0.00041174i,-9.3461e-06+4.0194e-05i,-3.9174e-05+0.00029898i,-4.2859e-05-0.0002841i,-0.0005567-0.00088567i,-0.00013804-0.00045251i,0.00082661+0.00093585i,0.00082448+0.00079481i,0.00089192-5.9466e-05i
0.0010694+0.0015051i,0.0020158+0.0010694i,0.0026844+0.0011834i,0.0026128+0.00089262i,0.0020407-0.00034337i,0.00066344-0.0015134i,1.3229e-05-0.0011037i,0.00012994-2.6745e-05i,0.00015958+7.1897e-05i,-0.00035218-0.0011891i,-0.00089001-0.0017988i,-0.0012904-0.0015722i,-0.0014611-0.0012182i,-0.00041781-0.00064685i,9.2574e-05+0.00016271i,-0.00022052+0.00029469i,-0.00010984+8.6507e-05i,-0.00044183+0.00016389i,-0.00016675+0.00052602i,0.00068175-8.8123e-05i,0.00026134+0.00012724i,-0.00034632+0.00049541i,-7.8391e-05-0.00035151i
0.0005409+0.00094774i,0.00048035+0.00078195i,0.0014571+0.0010055i,0.001211-4.725e-05i,0.00045784-0.00059546i,-9.6079e-05+8.6821e-05i,5.2156e-05+0.00027398i,0.00037013+0.00036314i,0.00087134+9.8006e-05i,0.00037052+7.7971e-05i,-0.0011941+0.000177i,-0.0018312+7.4832e-05i,-0.0015196+0.0011039i,-0.0007478+0.0013878i,-0.00042421+0.00073955i,-0.00053972+0.0001455i,-9.665e-05+0.00065024i,0.00034618+0.0014459i,0.00014476+0.00022915i,0.00019223-0.0010365i,0.00045227-0.00023414i,-0.00074353+0.00059309i,-0.0009731+0.00025361i
-0.00026798+0.00045262i,0.00059712+0.0011296i,0.00066112+0.0016266i,0.00074389+0.00053386i,0.0013081-0.00056858i,0.00070294+0.00036269i,-0.00054145+0.00079822i,-0.00013653+0.00082326i,0.00025652+0.00090644i,-7.1342e-05+0.00074705i,-0.00025456+0.00060625i,0.00013347+0.00058752i,0.00039178+0.0010392i,0.00043767+0.0011871i,0.00031957+0.00050603i,0.0002296+8.6333e-05i,6.133e-05+0.0001119i,0.00012243-0.00016277i,0.00060117-0.00077494i,-0.00012813-0.00044328i,-0.00025838+0.00040098i,0.00028782+0.00063553i,-0.00060394+0.00084248i
0.002426-0.0011237i,0.001463-0.0013609i,0.00084605-0.0027387i,0.00041842-0.0031723i,-0.00065517-0.002345i,-0.0012977-0.00041374i,-0.00036911+0.00023033i,6.7021e-05-0.00017979i,0.00027626-0.00032219i,1.7408e-05-0.00059422i,-6.6826e-06-0.00063349i,0.00023476-0.00076426i,0.00077493+0.00046441i,0.00070016+0.0010614i,0.00022279+4.2629e-05i,0.00060216-0.0003789i,0.00044416-0.00043312i,3.0079e-06-0.00089122i,3.1975e-06-0.00056067i,-6.0119e-05+0.00018476i,-0.00024916+0.00098749i,-0.00043415+0.0013236i,-0.00072157+0.00046748i
-0.00047537-0.0003817i,0.00027262-0.00076224i,-0.00070159-0.00018448i,-0.0015009-8.692e-05i,-0.00090145-3.3709e-05i,-0.00028556+0.00051799i,-0.00059907+6.1807e-05i,-0.0011249-0.00032408i,-0.00055538-0.00055563i,0.00042629-0.00027595i,0.00074386-0.0010107i,0.00019278-0.0015889i,-0.00055642-0.00075861i,-0.00061395-0.00077158i,0.00013454-0.00069206i,0.0002933+0.00018173i,-0.00026919+0.00059584i,-0.00053387+0.00027524i,-0.00065721+4.277e-05i,-0.00018518-0.00032669i,0.00043712-0.00086423i,0.00040728-0.00047267i,0.0002656-0.00034721i
9.1117e-05-0.00031964i,7.7749e-05+5.5423e-05i,0.00088643-0.00044866i,0.0013407-0.00090494i,-0.00043849-0.00053409i,-0.0012132-0.00039676i,-0.00045247-0.00057317i,0.0004112-0.00082319i,0.00071796-0.0011146i,0.00013374-0.00093465i,-0.00039765-3.7973e-05i,-0.00060456+0.00080927i,-0.0009414+0.00068513i,-0.00071613+0.00037716i,1.1572e-07-0.00029442i,3.2804e-05-0.0007208i,-8.7752e-05+0.0001553i,7.604e-05+0.00034432i,9.7235e-06-2.039e-05i,-0.00038765+0.00046913i,-0.00039207+0.0011306i,-0.00033662+0.0010503i,0.00037846+0.00066104i
-5.1468e-06+0.0024282i,0.00034466+0.0016999i,0.0015103+0.0019615i,0.0028754+0.0013663i,0.0023041-0.00049538i,0.0013283-0.0014934i,0.0013153-0.0013798i,0.00083671-0.00097791i,0.0005001-0.00057517i,6.7185e-06+5.3593e-05i,-9.0126e-05+0.00074863i,-0.00021346+0.0006566i,0.00026597+0.00062901i,0.0007576+0.0003745i,0.00042381-0.00019571i,0.00015332-0.00088031i,-0.00068875-0.001249i,-0.0007434-0.00070365i,-0.00051032+0.00014222i,-9.9637e-05+0.0010652i,0.00013961+0.0015763i,-2.1751e-06+0.0010477i,0.00028572+0.00054443i
0.0014214+0.0014815i,0.0011763+0.00025881i,0.0006393-0.00085095i,0.00050508-0.00055838i,0.00017077-0.00011842i,-0.00023389-0.00082834i,-0.00027813-0.00067016i,-0.00017811+5.0071e-06i,-0.00039536-0.00028795i,0.0001222-0.00010298i,0.00087448+0.0003904i,0.00049776+0.00025339i,-1.5816e-05-0.00033784i,-9.2958e-05-0.00024787i,-0.00015079+0.00018351i,-0.00061518+9.6419e-05i,-0.00040593-7.1275e-05i,0.00051951+0.00022349i,0.00048871+0.00060908i,0.00030848+0.0010025i,0.00011939+0.00030725i,-0.00036911-2.3373e-05i,-0.00083886+0.00025459i
