-0.0018698+0.0011806i,-0.0022262+0.0008839i,-0.0028085+0.0015267i,-0.0018861+0.0014581i,-0.00066527+0.0024151i,0.00051164+0.0017814i,0.001694+0.001032i,0.0012824+0.0010215i,0.00066292+0.00029801i,0.00017125+4.3203e-05i,-8.4731e-05+6.751e-05i,-0.00020979-0.00064454i,-0.00016751-0.0010859i,-2.7459e-05-0.00059409i,0.00046427+0.00014961i,0.00032648+0.0004454i,7.6952e-05+0.00037964i,0.00032274+0.0003771i,0.00050759+8.8695e-06i,0.00058811-0.0004479i,-0.00028757-0.00016025i,-0.00068721-1.6116e-05i,-0.00019202-3.497e-06i
-0.00058157+0.00174i,-0.00076003+0.0024941i,-0.00033363+0.00092151i,-8.2638e-05-0.000494i,-0.00059791-0.00044692i,-0.00031607-8.966e-05i,0.0006129+0.00074732i,0.001008+0.00099565i,0.00012558+0.00020581i,-0.00034592-0.00078182i,-0.00014952-0.0010812i,0.00021079-0.00085241i,0.0003863-0.0007536i,0.00091398-0.00015668i,0.0006521+0.00025085i,3.1463e-05+0.00023138i,0.00028285+0.00031013i,0.00029324+0.00012457i,-0.00041487+9.5874e-05i,-0.00063368-0.00029236i,-1.8617e-05-0.00084848i,0.00019387-0.0010936i,-0.00051005-0.00075865i
0.0010901-0.00019336i,-9.7561e-05-6.1622e-05i,-0.0013895+0.00055107i,-0.0013277+0.00097497i,-0.00042962+0.00029592i,0.00029333-0.00015053i,0.0005285-0.00022219i,0.00020727+2.9599e-05i,5.934e-06+0.00070826i,0.00062057+0.00046035i,0.00029193-0.00046263i,-0.00038054-0.00030701i,-0.00050543+3.9085e-05i,0.00014841+0.000598i,0.00070803+0.00053537i,0.00028322+0.00061696i,-0.00026897+0.00062992i,0.00012736+0.0002534i,0.00022942-0.00062191i,-0.00015839-0.00088443i,0.00024937-6.677e-05i,0.00056434+0.00068517i,0.00026983+0.0005887i
-0.00087132+0.0014231i,-0.00042908+0.00092384i,0.0011+0.0011063i,0.0017751+0.00094193i,0.0013824+0.00028654i,0.0012696+0.00019756i,0.0016058+0.00068245i,0.0017848+0.00066617i,0.0014997-0.00042844i,0.0012121-0.0009422i,0.0012034-0.001036i,0.00077152-0.00098799i,-3.994e-05-0.0010053i,-0.00033035-0.00097403i,-8.8129e-05-0.00027648i,-0.0003092+8.1156e-05i,-0.00046289+0.0002311i,-0.00035126+0.00029589i,2.9557e-05+0.00038359i,0.00017922+0.00082869i,0.00011441+0.00060994i,0.00014944+5.1678e-05i,0.00034413+0.00016533i
-0.00027626-0.00052037i,-0.00076053-0.00064765i,-0.0017221-0.0007123i,-0.0007187-0.00033002i,0.00059814+0.00050054i,0.0002667+0.00087386i,8.7171e-05+0.00051416i,-0.0001346+0.00013979i,-6.2012e-05-6.9824e-05i,0.00037524-0.00077343i,0.00041296-0.00015508i,-0.00045606+0.00033902i,-0.00087927-0.00015361i,-0.00044234-0.00038106i,-0.0004243-0.00046133i,-0.00067387-0.0002748i,-0.00024061+0.00011376i,6.2873e-05+0.00043135i,0.00054025+0.00084004i,0.00061087+0.0002155i,-0.00016298-0.00062958i,-0.00091839-0.00036058i,-0.00096464+0.00020694i
0.0002343-0.00026103i,0.00049454+0.00045041i,-0.00018851+0.00024566i,-2.439e-05-0.00036193i,0.00068044+6.3605e-05i,0.00087015+0.00023792i,0.00087932+0.00052708i,0.00074615+0.0012353i,0.00013656+0.0010587i,3.7675e-06+0.00021682i,-0.00051967-0.00022581i,-0.0012578-0.00015258i,-0.00076792+8.6682e-05i,-0.0002002+5.519e-05i,0.00063285-0.00027907i,0.0008108-0.00037849i,0.00077318+0.0001801i,0.00033346+0.00094418i,-0.00039032+0.00063672i,-0.00010929-4.7596e-05i,0.00052414-0.00038314i,0.00071736-0.00048679i,0.00039466-0.0003071i
-0.0032271+4.9735e-05i,-0.0028282+0.0011595i,-0.0013773+0.0015001i,-0.00076151+0.0014578i,0.00013307+0.0015412i,0.00159+0.00096182i,0.0019629+0.00070619i,0.0010527+0.00011426i,0.00055977+0.00012388i,0.00081996+0.0013149i,0.00062025+0.001593i,0.00022882+0.0012377i,0.00053745+0.00064081i,0.000811+5.3853e-05i,0.00072805-0.0001194i,0.00071196-0.00058327i,6.7811e-05-0.00063221i,-0.00044874-0.00019064i,-0.00040758+0.00049195i,-0.00086461+0.00087902i,-0.0013909+0.00014124i,-0.00081216-0.00028017i,0.00018225+5.9892e-05i
0.0014783+0.001158i,0.0014169+0.0013793i,0.0014124+0.0015617i,0.001157+0.00092208i,0.00044691+0.00039544i,-0.00038236+0.0010938i,-0.0008048+0.0013907i,-5.4919e-05+0.00044907i,0.0002976+0.00021519i,-0.00031567+0.00074344i,-0.00073119+0.00049765i,-4.1791e-05+0.00034836i,0.00033157+0.00013149i,-8.3933e-05-0.00031462i,-0.00067524-0.00049931i,-0.00041626+1.443e-05i,-3.7781e-07+0.00082986i,-6.4502e-05+0.0013726i,-0.00050663+0.0017699i,-0.00074788+0.001361i,-0.00032008+0.00030111i,0.00023354+0.00014633i,-1.611e-05-0.00010375i
0.0020074+0.00026089i,0.0021585-0.0011642i,0.0023902-0.002386i,0.0013726-0.0024941i,0.00021106-0.0019994i,-0.00028153-0.00059001i,-0.00070348+0.00082724i,-1.3542e-05+0.0012044i,0.00064109+0.00014443i,-0.00021046-0.00075336i,-0.00055507-7.1788e-05i,-0.00057437+0.00050235i,-0.00099436+0.0011227i,-0.00094322+0.0021026i,-0.00045961+0.0019761i,-0.00059346+0.0006848i,-0.00044933-0.00019766i,6.5072e-05-0.00023047i,0.00035592+0.00031797i,2.7422e-05+0.00062116i,-0.00021362+0.00010173i,0.00040845-0.00084507i,0.00013068-0.0010929i
0.00062604-0.0010874i,-0.0005982-0.00097412i,-0.00105-0.00044692i,-0.0004763+3.3766e-05i,-0.00016549+0.00022467i,-8.055e-05+0.00040918i,0.0010862+0.0007407i,0.001773+0.0008412i,0.0008196+0.00079183i,0.00019003+1.6645e-05i,9.6193e-05-0.00056347i,-0.00012225-0.00023767i,-0.00017514-0.00025217i,0.00028902-0.00040508i,0.00051665-0.00022247i,0.00053192-0.00013765i,0.00059123-0.0003161i,0.00068059-0.00016785i,7.0115e-05-8.2762e-05i,-0.0011238-0.00062384i,-0.0011939-0.00091492i,-0.00062528-0.0010492i,4.0654e-05-0.00031032i
0.00017918+0.00082029i,0.0001426-4.3543e-05i,-0.00021097-0.0011591i,7.6874e-05-0.0011503i,5.1516e-05-5.8029e-05i,-0.00028639+0.00070565i,-0.00010567+0.0009972i,0.00036464+0.00043268i,0.00012741-0.0002775i,2.6258e-06+0.00010791i,2.6051e-05+0.00054114i,-0.00043658+4.7122e-05i,-0.00060706+2.3338e-05i,-0.00033129+0.00055337i,0.00014207+9.0464e-05i,0.00026823-0.00046585i,0.00043974+0.00021297i,0.00084524+0.00029284i,0.00072199+8.1584e-05i,0.00048242-0.00073919i,0.0002734-0.00090806i,0.00013123-0.00016621i,-0.00031034-0.00015081i
0.0012509+0.0012169i,0.0018536+0.0012061i,0.0013472-0.00030531i,0.0004294-0.0011454i,0.0001825-0.0016907i,0.00021042-0.0013352i,0.00015584+0.0001346i,0.00014693+0.0012429i,-0.00015121+0.00021016i,-0.001009-0.0011207i,-0.00097443-0.00069792i,-0.00051705+0.00044353i,-0.00070225+0.00040437i,-0.00017793-0.00079057i,0.00023876-0.00094635i,-4.0854e-05+0.00030642i,-0.00018066+0.00056704i,-0.00071656+0.00062761i,-0.00046759+0.00069319i,0.00013595+0.00021148i,0.00040875-0.00033134i,0.00062542-0.00097277i,-0.00016689-0.00060608i
0.00059896+0.0018281i,0.0013324+0.001979i,0.0013747+0.0015124i,0.00062181+0.0011489i,0.00041783+0.0010405i,0.00052686+0.00083042i,0.00038331-8.0116e-06i,0.0006003-0.00062439i,0.00070743-0.00083857i,0.00044569-0.0012128i,-0.00056416-0.0010161i,5.4998e-05-0.00067622i,0.00077894-0.00051483i,-6.6953e-05-0.00042764i,9.9676e-05+0.00010949i,0.00039472+0.00051205i,-3.1196e-05-2.1193e-05i,-0.0010874+0.00044384i,-0.00065332+0.00098163i,0.0006131+0.00054018i,0.00017043-0.00018042i,-0.00041072-0.00060699i,-0.00060818-0.00023822i
-0.0022404-0.001262i,-0.0023976-0.0019923i,-0.00155-0.0014513i,-0.00049794+0.00021804i,0.00061845+0.00060028i,0.00090183-0.0006523i,7.8978e-05-0.0011833i,-0.00014002-0.00042403i,-6.737e-06+0.00036571i,0.00015937+0.00019159i,-1.41e-05-0.00051577i,-0.00035972-0.00063826i,8.9286e-05-0.00031257i,9.2205e-05-0.00030331i,0.00059824-0.00073776i,0.00050574-0.00047165i,-0.00037172-0.00013085i,-0.00022227-0.00021457i,-0.00011562-2.3474e-05i,0.00030857+0.00055366i,0.00080338+0.00093559i,0.00024742+0.00061054i,0.00010925+0.0003084i
0.0015201-0.0012489i,0.0016646-0.001218i,0.0011465-0.00082958i,-0.0005271-0.00079281i,-0.0012383+0.00014228i,-0.0010117+0.00088957i,-0.00035987+0.0004615i,0.00054751-4.2038e-05i,0.00055337-0.00010704i,-0.00015208-0.00014674i,-0.0008582-9.0196e-05i,-0.0010403+0.00050314i,-0.00067628+0.00087192i,-1.0832e-05+0.00093589i,0.00046734+0.00085233i,0.00079423+0.00036105i,3.1103e-05-6.5741e-06i,-0.0005133-6.6498e-05i,-0.00040555+0.00054623i,-0.00077725+0.00033456i,-0.0004813-0.0001385i,0.00079332+0.00043655i,0.0016329+0.00025245i
0.0032819+0.00089281i,0.0020094+0.0004389i,0.0010567-7.3285e-05i,0.00020517+0.00065401i,-0.00025948+0.0010251i,-2.8209e-05+0.00043929i,0.00013286+0.0002335i,-6.9008e-05+0.00041306i,8.3304e-05+0.00039283i,3.4158e-05+2.9239e-05i,-0.00024503-0.00086327i,-0.00062935-0.0009001i,-0.0010434-0.00081235i,-0.00075553-0.00029269i,-0.00092003+0.000556i,-0.00026268+0.00029996i,0.00048158+9.9737e-05i,0.0004534+0.00044236i,0.00079271+0.001207i,0.00079744+0.00055423i,0.00022013-0.00061514i,-0.00037809-0.0010399i,-4.8188e-05-0.0004781i
-0.00057201+0.0032965i,-0.00033855+0.0035169i,0.0013563+0.0026211i,0.0021878+0.00098923i,0.0019727-0.00024062i,0.0015069-0.00021876i,0.00096968-0.00014955i,0.00069831-0.00015895i,-5.2185e-05-0.00028776i,0.00015217-0.00050366i,0.00094759-0.0012174i,0.00026088-0.0010949i,-0.00017821-0.00081005i,0.00054165-0.001074i,0.00010958-0.00082583i,-0.0008956-0.0006761i,-0.00088364+7.4233e-05i,-0.00011836+0.00033685i,-0.0001689-2.6439e-05i,2.9578e-05-7.7919e-05i,0.00056283-0.00023585i,0.00050017-8.4367e-05i,0.00010713+0.00035148i
-0.0014379-0.0017667i,-0.002845-0.0014841i,-0.0040292-0.00075707i,-0.0036133+6.5687e-05i,-0.002537+0.0010886i,-0.0019675+0.0015242i,-0.00079869+0.0012088i,0.00028896+0.0010172i,0.00039154+0.0001047i,-6.0433e-05-0.0010115i,-0.00070756-0.00096648i,-0.00098492+2.4138e-05i,-0.00014623+0.00050372i,0.00090163+0.00055488i,0.0013503+0.00027148i,0.00090063-2.0487e-05i,-0.00020803-3.8324e-05i,-0.00098194-0.0008384i,-0.0010718-0.00089185i,-0.0011735-0.00024567i,-0.00065496-0.00012328i,-0.00026278+0.00047713i,2.534e-05+0.00090894i
0.00056261-0.0013427i,-0.00098453-0.0015111i,-0.0011808-0.0022946i,-0.00088696-0.0018544i,-0.00025762-0.00026244i,0.00076741+0.00061176i,0.00074621+0.0007109i,-0.00014713+0.0010804i,6.9468e-05+0.00083728i,0.00048567+0.00049878i,0.00021572+3.9751e-05i,-9.6368e-05-0.00035978i,-0.00017658-0.00034485i,0.00012659-0.00021552i,-0.00012436-0.00015478i,-0.00053873-0.00055446i,-0.0013097-0.00094739i,-0.00089486-0.0010781i,-3.643e-05-0.0010452i,-0.00027656-0.0006144i,-1.3784e-05-0.00023249i,0.00020362-0.00028663i,-0.00020529+0.00026534i
-3.5673e-05+0.00081237i,0.0014593+0.0013455i,0.0018139+0.0016602i,0.0016033+0.0017372i,0.0013114+0.0019552i,0.00094987+0.0016722i,0.00010617+0.0012581i,0.00014776+0.00094418i,0.0010456+0.0008054i,0.00059487+0.00069645i,-0.00023467+0.00055565i,-0.00056582+0.00078594i,0.0001767+0.00035663i,0.0007559-0.00043893i,6.9224e-05-0.0001267i,-0.00069699+0.00018666i,-0.00034256-0.00039899i,0.0005384-0.00012929i,0.00077273+7.5709e-05i,0.00022017-0.00060678i,1.9678e-05-0.00049882i,0.0001696+0.00021746i,-8.5021e-05+0.00016862i
0.0012632+0.00088892i,0.00041424+0.00043402i,-0.00064833-0.00051451i,-0.0014179-0.001259i,-0.0015457-0.00058027i,-0.0010171+0.000162i,2.0055e-06+0.00028098i,0.00084045+0.00018511i,0.0011144-0.00042538i,0.00052897-0.00097915i,0.00017237-0.0010697i,0.00021585-0.00070727i,-0.00068907+0.0005519i,-0.00094298+0.0015081i,-0.00038323+0.0011896i,0.00043822+0.00031643i,0.00053748-0.0001235i,0.00011721-0.00013412i,0.00027406+0.00027572i,-6.314e-05+0.00072448i,-0.0012911+0.00075019i,-0.00086026+0.0005394i,0.00093138+0.00048952i
-0.00083876+0.00055575i,-0.00082826-0.00049276i,-0.000102-0.00054746i,0.00074738+0.00021112i,0.0002367+0.00017669i,-4.8727e-05+0.00037357i,0.00039159+0.0011749i,0.00062535+0.0011679i,0.00034821+0.00088251i,0.00043582+0.00024501i,0.00062042-0.00028565i,0.0004483-0.00020183i,0.00029942-0.00045394i,2.8917e-07-0.00026111i,-0.00039323+9.1081e-05i,0.00031924-0.00031556i,0.00042394-0.00049566i,-0.00018162-0.00025799i,-0.00046465-0.00032838i,-0.00068482-0.00071193i,-0.00062348-0.00068504i,-0.00034817+0.00026446i,-0.00030813+0.00098704i
-0.0021186-0.0019897i,-0.0015222-0.0020395i,-0.00096749-0.00046004i,-0.00024317+0.00088194i,0.00050234+0.00079981i,0.00082258+0.00080732i,0.00095578+0.00085484i,0.00079897-0.00013791i,8.2297e-05-0.00083715i,5.0094e-05-0.0004333i,0.00080933-0.00039153i,0.000983-0.000813i,0.00036005-0.00073857i,0.00067309-0.00042498i,0.0010983-0.00019972i,0.00078209-0.00047813i,0.00016234-0.00053461i,8.0893e-05-0.00059999i,0.00082281-0.00048156i,0.00082221-5.9523e-07i,9.533e-05-0.00021815i,-0.00037201+8.4118e-05i,-0.00082074+0.00042011i
-0.0016746-0.00093118i,-0.00066298-0.001198i,-0.00069478-0.0001471i,-0.0017448+0.00098083i,-0.0012757+0.0013605i,0.00022679+0.00057636i,0.00058479+0.00039011i,1.9022e-05+0.0002348i,0.00014921+2.8438e-05i,0.00013454-0.00033943i,0.00024935-0.0010817i,0.00070499-0.00078871i,0.00044864-0.00043936i,0.00045337-0.00066308i,0.0011254-0.00072116i,0.0013528-0.0011642i,0.0011161-0.00076352i,0.00073517-6.0403e-05i,0.00056034+0.00013371i,0.00018097+0.00040175i,-0.00022792+0.00020111i,-0.00048581-5.3941e-05i,-0.00050422-1.9122e-05i
0.0022409+0.0022194i,0.003062+0.0017508i,0.0035457+0.00083838i,0.0025172+0.00053174i,0.0012442+0.00070587i,-0.00017924+0.0011599i,-0.0012156+0.0010398i,-0.00075809+1.424e-05i,-0.00011699-0.00073913i,-0.0009679-0.00051026i,-0.0017077-0.00028765i,-0.0016993-0.00065623i,-0.0013381-0.00058444i,-0.00073091-0.00016396i,0.00064455-0.00063713i,0.0010694-0.00077203i,0.0005138-0.00057137i,0.00097439-0.00068805i,0.0009994-4.6506e-05i,-8.77e-05+0.00028666i,-0.00037637+0.00072227i,0.00018812+0.00071368i,0.00018946+0.0001688i
-0.0014158+0.0026511i,-0.0022663+0.0033044i,-0.0022669+0.002286i,-0.00047749+0.001637i,0.0016223+0.001039i,0.0021479-0.00027396i,0.0012832-0.00085948i,0.00047868-0.000777i,-0.00043475-0.00045359i,-0.0006405+2.7117e-05i,-0.00022223-0.00029562i,3.2468e-05-0.00069308i,-0.00038738-0.00053267i,-0.00039091-0.00054382i,0.0006833-0.0008564i,0.0011791-0.0010218i,0.00059161+7.543e-05i,-0.00013731+0.00041689i,-0.00055681+0.00035649i,-0.0006472+0.00023655i,0.0001176+0.00094564i,0.00057099+0.0017766i,0.00046683+0.0014251i
-0.001416-0.00068882i,-0.0012659-0.00046024i,-0.00029953-0.00069591i,0.00065163-0.0003072i,0.00053043+0.00020879i,-9.1036e-05+0.0005708i,-0.00042616+0.00057533i,-5.4591e-05+0.00030622i,0.00075605+0.00016314i,0.00011776+0.00082687i,-0.00033812+0.00066273i,-0.00026486+2.2431e-06i,-0.00063024-0.00044525i,-0.00026853+0.00028564i,0.00028554+0.00092409i,-0.00016877+0.00062861i,-0.00040044+0.00041772i,-0.0002942-8.5801e-06i,-0.00066951-0.00063961i,-0.00019214-0.00042183i,6.4146e-06+0.00020101i,-0.00073971-0.00013275i,-0.00080692-0.00048427i
0.000105-0.0011597i,0.00034377-0.00096709i,0.00015369-0.00045103i,-0.00071345+0.00013922i,-9.24e-05+0.00069305i,0.00059687+0.00092277i,0.0010377+0.0016058i,0.0010569+0.00066322i,0.00067186-0.0012293i,-0.00033873-0.00096675i,-0.00083659-0.00049083i,-0.00014988-0.0007773i,-0.00030509-0.00080615i,-0.0012845-0.00025986i,-0.0014298+0.00013766i,-0.00068562+0.00023228i,-0.0005816-0.00018413i,-0.00065162-0.00094659i,0.00039412-0.00041747i,0.00058428+0.00078967i,-1.0608e-05+0.000777i,-0.00053648+0.00022977i,-0.00058027-0.00054569i
0.0018108+0.0003239i,0.0011824-0.00010184i,-0.0013727-0.00019941i,-0.0019713+0.00030352i,-0.0012137+0.00088365i,-0.00012205+0.0011156i,0.00029948+0.00096703i,-0.00031721+3.6078e-05i,-2.1653e-06-0.00097236i,0.00040152-0.00085283i,0.00023308-0.00034138i,-0.00017286-0.00052856i,-0.00091652-0.00072006i,-0.00051003-6.3587e-05i,0.00048354+0.00035315i,0.00033079+0.00051779i,-5.9307e-05+0.0002133i,-0.00069495-0.00040818i,-0.00097068-0.00074267i,-0.00048822-0.00070797i,-0.00046824-5.163e-05i,-0.0010452+0.00017545i,-0.00052034-0.00043888i
0.0009731+0.001981i,0.00176+0.0003573i,0.0019332-0.0012927i,0.0015849-0.00092149i,0.00087844-0.00045095i,-0.00053029-0.00070993i,-0.0011882-4.0724e-05i,-0.0003999+0.00075188i,0.00026657-0.00017063i,-0.0002218-0.00081326i,-0.00040874-0.00043215i,-0.00056735-0.00038447i,-0.0013311-0.00060358i,-0.0011603-0.00059691i,-0.00012829+0.00015195i,-4.3096e-05+0.00056952i,-0.00059223+0.00040534i,-0.00051646+0.00058344i,5.3015e-05+0.00054294i,0.00014652+0.00018972i,0.00012502-0.00032382i,0.00027108-0.00076952i,0.00042749-0.00016583i
-0.0033015+0.0023266i,-0.0027812+0.0028334i,-0.0012956+0.0011804i,0.00018509-0.00010217i,0.0016771+0.00017008i,0.0010594+0.00059244i,6.8569e-05+0.0006439i,-0.0001905+0.00076957i,-0.00089526+0.00042042i,-0.0014117+0.00025025i,-0.0010603+0.00043131i,-0.00050446+0.00022639i,0.00073854+0.00028342i,0.0012178+0.00046479i,0.00070858-0.00036604i,0.0010018-0.00038422i,0.0012521+0.00013484i,0.00041393+0.00065367i,-0.00043027+0.00065025i,-8.8586e-05+0.00074151i,0.00026334+0.00092496i,0.00032868+0.00035693i,0.0001064+8.7289e-05i
0.00052207+0.0008856i,0.00026824+4.7906e-05i,-0.00014626+0.00092107i,4.8928e-05+0.0011881i,0.00067898+0.00085589i,0.00091168+0.00057958i,0.00058728+0.0007137i,0.00077267+0.0013974i,0.00077931+0.0016172i,0.00029441+0.00059178i,5.3108e-05-0.00054092i,0.00046002-0.001213i,-4.7606e-05-0.00091642i,-0.00049247-0.00015555i,-0.00017817-0.00019546i,-0.00061021-0.0002311i,-0.00040122+0.00051557i,-0.0001646+0.00060866i,-0.00039195+0.0004801i,-0.0011442+0.00037953i,-0.0017645+0.00036211i,-0.00036185+0.00047367i,0.00072537+0.00011178i
0.00042082-0.00018677i,0.0010188-0.00089177i,0.0011388-0.0004191i,0.0014024+0.00032275i,0.0013431+0.00056981i,0.001294+2.6877e-05i,0.0018307+0.00013087i,0.0020305+0.00061297i,0.00079543+0.00016699i,-3.1509e-05-0.00020226i,-0.00017293-0.00052546i,8.1019e-05-0.00077335i,0.00066092-0.00069592i,0.0011006-0.0004547i,0.0008423+2.931e-05i,0.00013733+0.00047674i,-0.00035006+0.00086104i,0.00020564+0.00070377i,0.00069079+0.00018503i,-0.00072822+1.6307e-05i,-0.0016441+9.3461e-05i,-0.00069605+0.00022484i,0.00027593+0.00021889i
0.00076652+0.00067085i,0.00027944+0.001043i,-0.00032951+0.00052675i,-0.00014711+0.00013271i,8.6303e-05-0.0001025i,0.00022335-0.0002602i,0.00045008-0.00024392i,0.00080735-0.00010851i,0.001028-0.00035176i,0.00063429-0.00035537i,0.00022255+4.277e-05i,0.00046707-0.00050674i,0.00078722-0.00066931i,0.00050223-0.00062081i,-8.2807e-05-8.0153e-05i,-0.00044459+0.00033961i,-0.00027195-0.00034395i,-0.00033713-0.00095501i,-0.00041612-0.00083606i,-0.00030951-0.00057929i,-0.00041779-0.00013195i,-0.00026921+0.00085942i,0.00032087+0.00079615i
-0.00088662+0.0010225i,-0.00076013+0.0016915i,-0.00099919+0.0016531i,-0.0010575+0.0013425i,-0.0002302+0.0018588i,0.0010835+0.0023709i,0.0012496+0.0018075i,0.00079392+0.00057116i,0.00062812+0.0005289i,0.00024367+0.00060233i,0.00056818+0.00047258i,0.00057845+5.0456e-05i,0.00041428-0.0003556i,0.0001716-0.0003709i,0.0003857-0.0012675i,0.00044309-0.001202i,0.0004534-0.00064254i,0.00052965-0.00065481i,0.00055701-0.00057459i,0.00045435-0.00051219i,-0.0003079-5.8808e-05i,-5.6891e-05+0.00018323i,0.00106+0.00024154i
-0.0026599-0.0015938i,-0.0044931-0.00032722i,-0.0039749+0.00096735i,-0.0018826+0.00051543i,0.00011995+0.0010764i,0.0014209+0.0017235i,0.00080494+0.0015176i,-2.536e-05+0.00061572i,-1.3235e-06-0.00033032i,-7.5321e-05+5.6519e-05i,1.0082e-05-0.00017548i,0.00038861-0.00080857i,0.0009961+0.0003627i,0.00080171+0.0011954i,0.00037983+0.00055828i,0.00076071+0.00014856i,0.0010863+0.00011717i,0.0012651-6.0683e-05i,0.001232-0.00064148i,0.0010378-0.0011027i,0.0007221-0.0007054i,-0.00025434+0.00018994i,-0.0012802+0.00028814i
0.0025897-0.001933i,0.0021095-0.0031711i,0.0011644-0.0028126i,-4.0614e-05-0.001746i,-0.00042375-0.00022581i,-0.0002394+0.00072599i,-0.00021973+0.00043165i,0.00051671+0.00019579i,0.00069105+2.403e-05i,0.00039599-0.00054753i,-0.00027683-0.0012186i,-0.0009328-0.00063991i,-0.00076696+0.00063568i,-0.00061119+0.00059306i,-4.5426e-06+0.00052245i,0.00095918+0.00093301i,0.0013413+0.0011881i,0.0010595+0.0016295i,0.0011598+0.0017518i,0.0013121+0.0013052i,0.00042672+0.00057055i,-0.00058352+0.00010092i,-0.00095089+0.00084748i
0.0017469-0.001163i,0.0014822-0.00085624i,-6.418e-05-0.0017109i,-0.0010277-0.0009389i,-0.0016916+0.00052951i,-0.0017808+0.0012968i,-0.0015068+0.0010826i,-0.0012371+0.00039975i,-0.0009543+0.00017373i,-0.0010989+8.0238e-05i,-0.00094356-0.00026722i,2.1589e-05-0.00066915i,-0.00015714-0.00052146i,-0.00041936-0.00029819i,6.8292e-06+0.00086591i,0.00013417+0.0016798i,0.00080785+0.0010549i,0.00097682+0.00099726i,0.00040404+0.0013843i,-0.00042049+0.0011111i,-0.0013881+0.00063666i,-0.00090157-0.00017771i,-0.00027892-0.00049194i
0.0018453-0.0014993i,0.0012413-0.003192i,0.00072078-0.0030172i,0.00012262-0.0017688i,-6.0292e-05-1.8832e-05i,0.00070977+0.00083515i,0.0011133+0.00017112i,0.0012585-0.00039095i,0.0013065-0.00084106i,0.00073345-0.00043397i,-0.00011209-0.00028738i,-0.00061297-0.00089933i,-0.00041849-0.00021316i,6.5159e-05+8.6879e-05i,5.8914e-05-0.00022591i,-0.00021001-0.00012814i,-0.00080328-0.00030796i,-0.00091483-0.00079442i,-0.00051871-0.00082384i,-0.00079929-0.00038402i,-0.00051241+0.00035312i,0.00017485+0.00088061i,0.00019823+0.00096573i
-2.1041e-05+0.0020036i,-0.00062229+0.00258i,-0.0003298+0.0013009i,-0.00019989+0.00061046i,-0.00093422+0.0001109i,-0.0006631+0.00031762i,-0.00035361+0.00097628i,8.5445e-06+0.00046996i,0.00055258-0.00019107i,0.0006166+0.00042003i,-0.00030894+0.0008061i,-0.00018569+0.00039811i,0.00063143-0.00054446i,2.9344e-05-0.00031495i,-0.00052374+0.0005322i,-0.00028459+0.00027762i,-0.00061877+0.00022384i,-0.0011339+0.00048246i,-0.001193-0.00027753i,-0.0005471-0.00092513i,0.00013112-0.0004064i,6.5635e-05+7.6849e-05i,-0.00022456+7.369e-06i
-0.00054193+0.0011705i,-0.0010886+0.00095568i,-0.0011692+0.0012769i,-0.00028551+0.0017094i,0.00038085+0.0015729i,0.00062907+0.0013554i,0.00068618+0.0014479i,0.00033585+0.00067766i,0.00058933-0.00021005i,0.001243-0.00064798i,0.001354-0.00073216i,0.00076291-0.00032817i,0.00069667-0.00028737i,0.00071783-0.00021486i,-0.00015753+0.00014568i,-0.00076774+2.3543e-05i,4.4084e-05-0.00030583i,0.00047678-0.00037471i,-0.00010582+7.7501e-05i,-0.00021873-0.00051419i,2.4043e-05-0.0012815i,0.00014059-0.00064796i,-6.7936e-06-0.00025661i
-0.00056519-0.00038842i,-0.00089699-0.00016385i,-0.00049781+0.00023894i,0.00028367-2.3985e-05i,0.00024918-1.0248e-05i,0.00041773+0.00014057i,0.0011279+0.00088903i,0.0012655+0.0014845i,0.00081805-0.00022917i,0.00099907-0.0013643i,0.00051437-0.00054033i,-0.00010119-0.00050008i,-0.00015807-0.00064721i,0.00032862-2.3586e-05i,0.00042324-0.00044161i,0.00017508-0.00063902i,-7.588e-05+2.7168e-06i,0.00034515+0.00025525i,0.00057276-0.00015277i,0.00018249-0.00076356i,-0.00075806-0.0007951i,-0.00096961-0.00099161i,-0.00029997-0.0007707i
-0.0011384+0.0014341i,-0.00068617+0.0012886i,0.00055011+0.0013529i,0.0010763+0.0013549i,0.0010387+0.00037602i,0.0011325-0.00099573i,0.00095618-0.00070611i,-8.7744e-05-0.00015461i,-0.0011509-0.00021103i,-0.00058829-0.00020025i,-0.00034784-0.00059722i,-0.00074123-0.0012679i,-0.00084052-0.0019325i,-0.00072769-0.0017317i,-0.00030688-0.0012135i,0.00024405-0.00037606i,0.0010536+0.00069377i,0.00061853+0.00090596i,-0.00039924+0.00037745i,-0.00018889-0.00017288i,-0.0001913+0.00040044i,0.00018281+0.00099807i,0.00072271+0.00096956i
-0.0019797+0.0046881i,0.0008289+0.0048244i,0.0018638+0.00493i,0.002701+0.0031985i,0.0036582+0.00082931i,0.0029551-0.00037882i,0.0014241+8.5689e-05i,0.00026421+0.0003305i,0.00023239+0.00031697i,0.0006493-0.00021436i,0.00011862-0.00144i,-0.00053125-0.001756i,-0.00061058-0.00164i,-0.00028684-0.0021609i,-0.00022323-0.0015372i,-9.2578e-05-0.00034991i,-0.00012166+0.00058623i,-0.00064526+0.0011699i,-0.0011118+0.0008033i,-0.00088759-3.5661e-05i,-0.0005104+0.00044753i,5.5186e-05+0.0015241i,-7.8747e-05+0.0014789i
