0.00057918+0.0011429i,-0.00020484+0.00060479i,-0.0018982+0.00044449i,-0.0024501+0.001093i,-0.0010105+0.0012435i,0.00053703+0.00073958i,0.00033488+0.00015805i,-0.0001861-0.00061941i,-0.00053704-0.0015744i,-0.00038251-0.0013128i,0.00019673-0.00023829i,0.00070773-6.4082e-05i,0.0012841+0.00050333i,0.00041094+0.00097981i,-0.00030196+0.0008688i,0.00040009+0.00047739i,0.00094105+0.00042541i,0.00040565+0.00025985i,-8.2944e-05-0.00018465i,-0.00041895-0.00020098i,-0.00061916-0.00058469i,-0.00024633-0.00081991i,-0.0001266+0.00024358i
0.00050569-0.00045698i,0.00030633-0.0005496i,-0.00042549-0.0010657i,-0.0014623-0.0015118i,-0.00077012-0.00063213i,-0.00030074-0.00025712i,-0.00040639-0.00073328i,-9.682e-05-0.00041283i,-0.00012447-0.00015933i,0.00069842+0.00035877i,0.00054244+0.00084214i,-0.00047004+0.00071506i,-0.00049061+0.00044847i,0.00033233+4.9274e-05i,0.00046758+0.00065537i,0.00010283+0.0011607i,9.9614e-05+0.0012568i,9.9747e-05+0.00056947i,-2.9725e-05-6.829e-05i,-0.00016441+0.00041206i,0.00030364+0.00065167i,0.00012232+0.0003154i,-0.0001624+0.0010224i
-0.00098566-0.00059456i,-0.00093508-0.00027519i,-0.00078827+0.0001701i,-0.00094728+0.00052851i,-0.0012332+0.0010906i,-0.00066876+0.0013738i,-0.0001361+0.00033055i,0.00067708-0.00069844i,0.0013937+0.00014098i,0.00080229+7.3833e-05i,0.00033375-0.00034324i,2.1327e-05-0.00029643i,0.00028409-0.00041269i,0.00085435+0.00048613i,0.00070194+0.00028524i,8.1807e-05-0.00047167i,-0.00034939-0.00046818i,-4.7813e-05-0.00047495i,0.0002225+0.00012775i,0.00062392+0.00049783i,0.00018428+0.00085768i,-0.00088576+0.00043629i,-0.00059089+0.00015944i
-0.0029445-0.00055643i,-0.0019524+0.00080921i,-0.0020024+0.0023024i,-0.0019589+0.0033363i,-0.00060905+0.0024583i,0.0010159+0.00067958i,0.0012933+0.00017498i,0.00088288+0.00025759i,0.00075587+0.00015964i,0.00031269+0.00057347i,-0.00016759+0.00095184i,0.00012426+0.00045887i,-2.4973e-06+8.0736e-05i,-0.00033655+0.0006908i,-0.00027645+0.0010042i,0.00021522+0.00070525i,0.00011904+0.00018118i,-0.00045079-0.0003442i,-0.00071087+0.00029449i,-0.00014475+0.00083081i,0.00066472+0.00069138i,0.00057415+0.0012943i,0.00015074+0.001484i
-0.0016828+0.0010881i,-0.0011854+0.00023696i,-0.0011231+0.00058902i,-0.00059693+0.0011265i,0.00080979+0.00089955i,0.00088738+0.00054021i,0.00050186-0.00010706i,0.00086556-0.00048114i,0.00091045-0.00044222i,0.00064605-0.00060166i,0.00040702-0.00040344i,-0.00022796-8.2421e-05i,-0.00049556-0.00024681i,0.00013831-0.0001243i,0.00080395+6.4267e-05i,-6.7699e-05-6.5642e-05i,-0.0011399+0.00012677i,-0.0015108+0.00032686i,-0.0012623+9.6893e-05i,-0.00052811-0.00019974i,0.0002183-0.00037467i,0.00070976-7.8718e-05i,0.00026015+0.00043787i
-0.0011901-0.0014651i,-0.0010309-0.00080231i,-0.0016934-0.00099897i,-0.0022502-0.00056137i,-0.0012063+0.00063013i,5.2202e-05+0.0011811i,0.00078694+0.00069398i,0.00087868+0.00014721i,-8.3345e-05-0.00023626i,-0.00059851-0.00042055i,-0.00044602+0.00031544i,-0.00035391+0.00054693i,-0.00031605+0.00080342i,0.00018652+0.0012858i,0.00042283+0.00052031i,0.00045277-0.00040775i,-0.0002276-0.00042411i,0.00010352-0.00049356i,0.0003761-0.0004929i,-0.00019505-0.00079946i,0.0002686-0.00060658i,0.0010411-1.8235e-05i,0.00078108+0.00019334i
0.0014326-2.8203e-05i,0.0013543-0.00052336i,0.00027455-0.00016947i,-0.00095554+4.4307e-05i,-0.00082639+0.0012283i,-0.00022683+0.001741i,0.00038064+0.00055671i,0.00069334+0.00026524i,0.00089444+0.00039101i,0.00073779-0.00018565i,-0.00028045-0.00020691i,-0.00061758+0.00029949i,-7.2909e-05+0.00088577i,0.00036087+0.0017544i,0.00046754+0.0010532i,0.00012082+0.00062386i,-0.0001761+0.00066977i,-0.00043246+0.00089348i,-0.00070709+0.0011236i,-0.00087998+0.00038712i,-0.00071544-7.4178e-05i,-2.7667e-05+0.00029283i,0.0001903+0.00027885i
0.0012601+0.0015557i,0.00050899+0.0020956i,0.0010739+0.0028011i,0.0011288+0.0018184i,0.00075461+0.0010224i,0.0010491+0.00086221i,0.001277+0.00052709i,0.00067044+0.00041502i,0.00086572-2.1378e-05i,0.0016005-0.00010352i,0.0013735+0.00036126i,0.00057629+1.594e-05i,-0.00031751-0.00076806i,-0.00094032-0.00024343i,-0.0012145+0.00030297i,-0.0006981+8.3905e-05i,-8.2343e-05-0.00030199i,-0.00033615-0.00094185i,-0.00054278-0.00051044i,-8.0683e-05-8.9933e-05i,0.00016334-0.00035077i,-0.00010564-0.00029993i,-0.00028209-0.00039232i
0.00017782+0.00030375i,0.00043288+0.00056158i,0.00044333+0.00040309i,0.00070872+0.00021987i,0.0015132+0.00023978i,0.0016808-9.31e-05i,0.0015303+2.1886e-05i,0.0017734+0.00016393i,0.0019512-0.00010587i,0.0015235-6.5614e-05i,0.00040375-0.00019582i,-0.00047677+0.00024838i,-0.00025326+0.00073709i,-0.0005261+0.00079818i,-0.00060703+0.00079524i,-0.00074297+0.00073566i,-0.00037469+0.00018109i,-0.00027303+0.00042016i,-0.0005372+0.00075138i,-0.00026332+0.00037144i,0.00037896-8.1406e-05i,0.00065384-0.00046621i,6.3333e-05+0.0006174i
0.0019999-0.00084244i,0.0015864-0.0010093i,0.00052268-0.001837i,-0.0004876-0.0014867i,-0.0011679-0.00048913i,-0.0011602+0.00067372i,-0.00074281+0.00085746i,-0.00048546-0.00024252i,-0.00024262-0.00045894i,-2.3289e-05-0.00034552i,3.6976e-05-9.4095e-05i,-0.00020021+0.00048554i,-0.00038147+0.00040951i,-0.00047073+0.00037336i,-0.00031999+0.00012727i,0.00015944-0.00010132i,0.00079265+0.00022529i,0.00053061+0.00080621i,7.9901e-06+0.00058925i,-4.9817e-05-0.00033166i,-3.82e-05-0.00051167i,-0.00010824+6.1476e-05i,-0.00026762+0.00061471i
