-0.0026008+0.00093511i,-0.0032709-8.6286e-05i,-0.0047443+0.00042212i,-0.0045036+0.0022189i,-0.0036627+0.0034692i,-0.0023674+0.0039764i,-0.00085042+0.0035436i,-0.00051821+0.0024063i,-0.00033786+0.0012635i,6.084e-05+0.00032749i,-0.00014626-0.000138i,-0.00065669+4.8723e-05i,-0.00054581-2.1529e-05i,-0.00059651-0.00033467i,-0.00038959-0.00040271i,-0.00084433-0.00069956i,-0.0011477-0.00098616i,-0.00070674-0.00063616i,-0.00065308-0.00041993i,-0.0008576-0.00044702i,-0.0011633-0.00081783i,-0.00017611-0.00096116i,0.00066374+0.00028375i
-0.0028178+0.0029659i,-0.0031084-0.00015021i,-0.0048421-0.0019804i,-0.0046435-0.0015034i,-0.0040458-0.00047235i,-0.002948-0.00074061i,-0.00095755-5.2973e-06i,0.00020161+0.00054202i,0.00049882+0.00010526i,0.00023766-9.1568e-05i,-0.00036171-0.00043391i,-0.00043605-0.00041857i,-7.6253e-05+0.00048888i,-0.00081231+0.00040316i,-0.0014117-0.00021767i,-0.00066177-0.0001814i,2.7101e-05-0.00061429i,5.7245e-05-0.00061913i,4.5676e-06+0.00028108i,6.2856e-05+0.0001033i,0.00027582+0.00013408i,0.0002965+0.00072106i,0.00030911+0.0007313i
0.0022389-0.00065593i,0.0016987-0.0049708i,-0.0019989-0.0063932i,-0.0048087-0.0045264i,-0.0053655-0.0013419i,-0.0047145+0.00061347i,-0.0031008+0.00078974i,-0.0013399+0.00056297i,-0.00060844+0.00040082i,-0.00026267+0.00020439i,-0.00015591+0.00027221i,-0.00046063+0.00064749i,-0.00054746+0.00063687i,-0.00022418+8.6404e-05i,-0.00014269-0.00010858i,-2.874e-06+6.6545e-05i,0.00016278-0.00021378i,-0.00023618-0.00052793i,-0.00038864-0.00038138i,0.00019375-0.00010247i,0.00033657-0.00013119i,-0.00021156-0.00035283i,-0.00032547+0.0004351i
-0.0038428-0.0030231i,-0.0055384-0.00416i,-0.0073523-0.0041754i,-0.0071999-0.002147i,-0.0060087-0.00046101i,-0.004597+0.0010432i,-0.002251+0.0022342i,-0.00048097+0.0015425i,-0.00020708-6.0096e-05i,-0.00092017-0.0010308i,-0.0012278-0.00086949i,-0.00041563+0.00011244i,-0.00026743+0.00048947i,-0.00049611+0.00015273i,-0.00068126-0.00063i,-0.0002024-0.0010672i,0.00017964-0.00064828i,-0.00022576-0.00077261i,-0.00030294-0.00066309i,0.0002691+5.984e-05i,0.0006238+0.00059091i,0.00024981-0.00014251i,-0.00010807-0.00045633i
-0.00057165-0.0047147i,-0.0036894-0.0067543i,-0.0078065-0.0067368i,-0.0090888-0.0029121i,-0.0074003+0.00038018i,-0.0042576+0.0014885i,-0.0012328+0.0014871i,0.00062218+0.00063142i,0.00062347-2.741e-05i,-6.1925e-06-0.00037629i,-0.00044346-0.00058868i,-0.00020848-0.0006676i,-9.5931e-05-0.0010574i,-0.00043352-0.00067995i,-0.00017156+0.00062601i,-0.00023533+0.0011593i,-0.00058023+8.9599e-05i,-0.00085623-0.00039546i,-0.0016148+0.00014338i,-0.0015807+0.00044731i,-0.0010624-0.00015027i,-0.00067659-0.00076004i,3.8343e-05-0.00060995i
-0.00042107-0.0011611i,-0.0020143-0.0031109i,-0.0038699-0.0039152i,-0.0041246-0.0041254i,-0.0030771-0.0031442i,-0.0027895-0.0015449i,-0.0024453-0.00034518i,-0.00099138-0.00013892i,-0.00062037-0.0009518i,-0.0011319-0.0013338i,-0.0007233-0.0014907i,-6.2847e-05-0.0015923i,0.00019358-0.00096868i,0.00021471+0.00063335i,-0.00070406+0.0017838i,-0.00039862+0.0011217i,-0.00026248+0.00030892i,-0.00098308+0.00034773i,-0.0010129+9.0673e-05i,-0.00033084+0.00026301i,0.0004167+0.00048777i,0.00044817-9.8387e-05i,0.00035351-0.00032864i
0.00092448-0.0035021i,-0.0018833-0.0069505i,-0.0059169-0.0074284i,-0.0086677-0.0040267i,-0.0086462-0.0013455i,-0.0060301+0.00060505i,-0.002563+0.0019282i,-0.00015277+0.0016084i,-0.00013397+6.9679e-05i,-0.0012912-0.00068975i,-0.0017598-0.00019894i,-0.0010922+0.00074756i,0.00016172+0.00044239i,0.0013888-0.00041571i,0.0011806+0.00020237i,0.0010014+0.00031352i,0.00056734+8.0742e-05i,0.00045754-6.1622e-05i,0.0010736+2.0348e-05i,0.0011367+0.00030386i,0.00034859+0.00021962i,-0.00013884+0.0002471i,-0.00048895-0.0001574i
-0.0010664-0.0019078i,-0.0022513-0.0027676i,-0.0053763-0.0032561i,-0.0065486-0.0025924i,-0.0052727-0.00041536i,-0.003048+0.00081755i,-0.00069502+0.00068256i,0.0006159+0.00043499i,0.001019+0.00027403i,0.00055959+0.0001894i,-0.00072287-0.00047582i,-0.00086378-0.00066306i,-3.5913e-06-0.00047835i,3.798e-05-0.00036412i,-2.3041e-05-2.1198e-05i,-0.00017459-7.1949e-05i,-0.0015138-0.00023987i,-0.001919-0.0004026i,-0.0010744-0.00034537i,-0.00076483-0.00031337i,-0.00034819-0.00065756i,6.4601e-05-0.00028395i,-0.00012189-0.00015068i
-0.0031371-0.0031393i,-0.0051618-0.0053636i,-0.0078538-0.0050432i,-0.0078768-0.0020477i,-0.0046949+0.00074842i,-0.001712+0.0016899i,1.1405e-06+0.0015371i,0.00023235+0.0010984i,-0.00036998+0.00018288i,-0.00035438-0.00074043i,0.00044621-0.00073544i,-7.59e-05-0.00037148i,-0.00095093-0.00066198i,-0.00073744-0.00075321i,-0.00011198-9.3543e-05i,0.00050231-0.00018879i,0.00030909-0.0008444i,0.00050119-0.00078919i,0.0010281-0.00049067i,0.00082707+8.2032e-05i,0.00040759+0.00034588i,-0.00014117-0.00017691i,-0.00018916-6.8639e-05i
0.0038002-0.00063402i,0.00087816-0.0046008i,-0.0033801-0.0061744i,-0.0047496-0.0041387i,-0.0047131-0.0021989i,-0.0044156-0.00085127i,-0.0026395+0.00065502i,-0.00070751+0.0004989i,-4.1831e-05-7.9405e-05i,-0.00101-0.00025811i,-0.0020806+0.00014232i,-0.0017326-9.6827e-05i,-0.0010821-0.00041923i,-0.00082167+0.00034351i,-0.00085441+0.00049728i,-0.00093608-0.00017766i,-0.0007154-0.0004604i,-0.00018083-0.00019808i,-0.00070522-0.00034805i,-0.00059448-0.00080076i,-0.00018442-0.00031872i,-0.00055804-0.00069779i,-0.00045243-0.0009579i
-0.0009191-0.0024922i,-0.0039939-0.0065207i,-0.0066816-0.0064988i,-0.0067988-0.0031159i,-0.0055681-0.0014372i,-0.003872-0.00062805i,-0.0015122+0.0014355i,-0.00018134+0.002205i,0.00062576+0.001262i,0.00032983+0.0006262i,-0.00084403-1.9225e-06i,-0.00078804-0.0010293i,-0.0003792-0.00092843i,-0.00044697-0.00047318i,-0.00047326-0.00048077i,-0.0010174-0.0002408i,-0.00081712-0.00048601i,0.00036012-0.0010903i,0.00012844-0.0014717i,-0.0011127-0.00128i,-0.0012895-0.0005907i,-0.0012104+0.00012478i,-0.00089995+0.00017322i
-0.0014158+0.00023171i,-0.00020497-0.0015239i,-0.0018977-0.0026681i,-0.0037953-0.0027184i,-0.0037443-0.0016669i,-0.0026901-6.4464e-05i,-0.0013167+0.00050737i,-0.00040355+0.00080324i,-3.6658e-06+0.00069547i,0.00019349-0.00021216i,-0.00020864-0.001026i,-0.001292-0.00069047i,-0.0008864-0.00058356i,-0.00037147-0.00082997i,-0.0003006-0.00032201i,-0.00026453-0.00018998i,-0.00025706-0.00075304i,-0.00026951-0.0005331i,-0.0001145-0.00040387i,-0.00017975-0.00054971i,-0.00021869-0.00049899i,-0.00010114+0.00012424i,-0.00023965+0.00042144i
-0.0028669-0.0049966i,-0.0065671-0.0075714i,-0.0085267-0.0065547i,-0.0083708-0.002108i,-0.0071794+0.0010026i,-0.0046218+0.0024091i,-0.0016243+0.0023374i,-0.0004901+0.00052242i,-0.00082838-0.00022452i,-0.0013565+0.00053416i,-0.0016467+0.00085769i,-0.0014743+0.00065687i,-0.0013717+0.00026789i,-0.00077098-0.00014837i,0.00020547+2.0393e-05i,0.00025454+0.00017807i,-0.00015144+0.00024031i,-0.00044901+0.00099543i,-0.0009161+0.0014599i,-0.00069682+0.00069543i,-0.00027422-0.00024718i,0.00050259-0.00011421i,0.00026447-0.00011067i
0.0028582-0.00095179i,0.0019768-0.0038543i,-0.0015175-0.0043465i,-0.0042038-0.0028633i,-0.0042612-0.0011546i,-0.0033594-0.00031864i,-0.0015905+0.00017629i,0.00043816+0.00085234i,0.00088138+0.00033613i,0.00067851-0.00074104i,-0.00054185-0.00023021i,-0.0010285-0.00010139i,-0.00010568-0.00049488i,-0.000392+0.00011409i,-0.00056915-4.1183e-05i,2.8542e-05-2.801e-05i,-3.5914e-05+5.0752e-05i,-0.00051981-9.4474e-05i,-0.001007+1.3743e-05i,-0.0010389+0.00025976i,-0.0013675+0.00046356i,-0.0013159-0.00010258i,-0.00064556+3.5265e-05i
-0.0037258+0.00052481i,-0.0041635-0.0032924i,-0.0052199-0.0042459i,-0.0057512-0.0024067i,-0.0058533-0.00091153i,-0.0042493+0.00012995i,-0.0010796+0.00093079i,0.00038222+0.00069793i,0.00061663+0.00061463i,0.00080899-7.8932e-05i,0.00062997-0.00062792i,-3.7936e-05+0.00023648i,-0.0010126+0.00051239i,-0.0012093+0.0004095i,-0.00017532+0.00018564i,-5.0873e-06-0.00034164i,-0.00072869-0.00080607i,-0.0003518-0.00067892i,-0.00034101+6.3303e-05i,-0.00025896+0.00051737i,0.00021937-0.00041666i,0.00025212-0.0011253i,0.00030706-0.00062119i
0.0042043-0.00062973i,0.0011099-0.0039773i,-0.0030981-0.0059139i,-0.0055158-0.0048858i,-0.0045623-0.003347i,-0.0024806-0.0014633i,-0.0008192+0.0011744i,-0.00042726+0.0018076i,4.1395e-05-0.00046738i,0.00033945-0.0021116i,-0.00023683-0.0013266i,-0.00053494-0.00020479i,-0.00042587-4.7602e-05i,-0.00033575-0.00049173i,-0.00045996-0.000648i,-0.00030593-9.259e-05i,0.00032847+0.00010636i,0.00055027+4.234e-05i,0.0005774+0.00034829i,0.00042406-8.4776e-05i,0.0001333-0.00078784i,-0.0003601-0.0010723i,-0.00081141-0.00097593i
-0.002281-0.0040841i,-0.0045457-0.0083045i,-0.0074617-0.0079646i,-0.0073311-0.003931i,-0.005881-0.00081974i,-0.0045931+0.00071489i,-0.0023045+0.0008255i,-0.00025554+0.00054704i,6.6493e-05-3.1281e-05i,-0.00079542-0.00026791i,-0.00066004-0.00029928i,2.4111e-05+1.4499e-05i,-0.00024907+0.00012296i,-0.00055581+9.7985e-05i,-6.9335e-05+6.8441e-05i,-3.1186e-06-0.00010566i,-0.00057809-0.00044446i,-0.0004684-0.00081726i,1.0663e-05-1.6709e-05i,-0.00011407+0.00060624i,-0.00018898+0.0005188i,-0.00072879+0.00049455i,-0.00035259+0.0003747i
-0.0029407+0.0025878i,-0.0039237+0.0013281i,-0.0061298+0.00024629i,-0.0071005+0.00066644i,-0.0053715+0.002505i,-0.0024189+0.0029059i,-0.00091027+0.0012256i,-0.00091387+0.00027559i,-0.0010403+0.00098167i,-0.0010518+0.00098885i,-0.00062171+0.00022259i,-0.00065043-0.0003414i,-0.00067269-0.00038938i,-6.774e-06-0.00033437i,-0.00018644-0.00053437i,-0.00052133-0.00095749i,-0.000618-0.00037736i,-0.00079368+0.00065029i,-0.00030756+0.00039146i,-0.0002184-0.00039606i,-7.2661e-05-0.00044434i,0.00053567+0.00028285i,0.0001922+0.00074189i
-0.0056207-0.0076049i,-0.0069121-0.010068i,-0.0076804-0.0079857i,-0.0070508-0.0041468i,-0.0055502-0.00079888i,-0.0045723+0.00092865i,-0.0024284+0.00092129i,-0.00028265+0.00054698i,0.00026638-5.1009e-06i,-0.00033132-0.00041957i,-0.00073139-0.00050514i,-0.00014523+2.5797e-05i,-0.0004467+6.1146e-05i,3.0422e-06+8.9549e-05i,0.00072002+8.9374e-05i,0.00058698-0.00032428i,0.00070104-0.0006365i,0.00074374-0.00030521i,0.00056831-0.00037846i,0.00032311-0.0010268i,-0.00018963-0.00088797i,9.5542e-05-0.00052349i,0.00046512+0.00036487i
0.0021928+0.0025951i,2.988e-05-0.0014199i,-0.0035533-0.005185i,-0.0053493-0.0048706i,-0.0055118-0.0027332i,-0.0047009-0.00056101i,-0.0027658+0.0012941i,-0.00074242+0.00079893i,6.1758e-05-0.00027284i,-0.00042264-0.00062121i,-0.0012415-0.0010181i,-0.0013328-0.00061887i,-0.00093429+7.6013e-05i,-0.00056202-2.6891e-05i,-5.2106e-06+3.9792e-05i,-0.00027214+0.00045833i,-0.00053862+0.00038323i,-0.00042171+0.00022241i,-0.00068092+4.4223e-05i,-0.00038108-2.0912e-06i,-8.5332e-05-0.00031445i,-0.00026292-0.00063757i,-0.00034074-5.9364e-05i
0.0025255-0.0028446i,-0.00022269-0.0057984i,-0.0035636-0.0060883i,-0.0053193-0.0043387i,-0.0048724-0.0021745i,-0.0043652-0.00040289i,-0.0032267+0.0007203i,-0.0014731+0.0008708i,-0.00049165+0.0004959i,0.00025975-0.00046564i,0.00019077-0.00096695i,-0.00018282-0.00031455i,-0.00076315+4.9211e-05i,-0.0011897+0.00020877i,-0.00093716+0.00035642i,-0.00075151-9.6522e-05i,-0.0006127-0.0006605i,-0.0007964-0.0003113i,-0.0006404+0.00046904i,0.0003295+0.00023952i,0.00022331-0.00033839i,0.00041108-0.00052487i,0.00079157-7.4294e-05i
-0.0022267-0.0024664i,-0.0036446-0.0058914i,-0.0049195-0.0058732i,-0.0053314-0.0034773i,-0.0055156-0.00065241i,-0.0040152+0.0021593i,-0.0017521+0.0024805i,0.0001334+0.0014981i,0.00075352+0.0002575i,0.00068051-0.00084951i,-0.0002378-0.00035925i,-0.0015801-0.00031739i,-0.0015817-0.00082169i,-0.00085458-0.00051386i,-0.0001248-0.00013099i,-3.318e-05-0.00010755i,-0.00026614-2.3863e-05i,-0.00019754+0.00050506i,-0.00028949+0.00083826i,-0.00080137+0.00018352i,-0.00017895+0.00017734i,0.0007602+0.00057011i,0.00049098+0.0002317i
-0.0010699-0.00096254i,-0.002238-0.0039003i,-0.0060007-0.0034825i,-0.0069895-0.00015018i,-0.0040354+0.0011897i,-0.0011906+0.0016116i,-3.5884e-05+0.0021754i,4.8297e-05+0.0017986i,0.00049669+0.0010664i,0.0011421+0.00098399i,0.00085336+0.00041856i,0.00022539-0.00038307i,-0.00044959-0.0010399i,-0.0012624-0.00090995i,-0.0012764-0.00085013i,-0.0002744-0.0011659i,5.8735e-05-0.00070731i,-0.0003074-0.00031026i,-0.0003029-0.00022806i,-0.00020233+8.7683e-05i,-0.00034151+0.00044244i,-3.1864e-05+0.00013527i,-0.0002374-0.00013615i
-0.0040425-6.3228e-05i,-0.004494-0.0032004i,-0.0050795-0.0046148i,-0.005139-0.0040722i,-0.0040286-0.0019355i,-0.0031328+0.00012876i,-0.0020552+0.001006i,0.00010456+0.00033066i,0.00066321-0.00064298i,0.00030086-0.00092714i,-0.00026088-0.00084773i,-0.00087074+0.0001421i,-0.00088141-0.00025314i,-0.00093595-0.0011568i,-0.00077769-0.00082688i,-9.964e-05-0.00043083i,0.00074896-0.00018326i,0.00065193-0.00045135i,-0.00047503-0.00072924i,-0.00064557+1.2217e-05i,-0.00044004+0.00025201i,-0.00038022-0.00019916i,0.00033035+0.00022335i
0.0017163-0.0025024i,-0.0015463-0.007279i,-0.0054458-0.0087663i,-0.0068404-0.0057248i,-0.0062621-0.0032987i,-0.0041888-0.001643i,-0.0019279+0.0003487i,-0.00056322+0.0017108i,-0.00068887+0.00104i,-0.00040024-0.00037913i,-9.0451e-05-0.00076687i,-0.00044753-0.00080577i,-0.00068536-0.0003462i,-0.00082759-8.4795e-05i,-0.0010942+8.5515e-05i,-0.001334+0.00014476i,-0.0014901-0.00022072i,-0.0011255-0.00011602i,-0.00072037+0.00042554i,0.0001208+0.0003864i,9.7225e-05-0.0002067i,-0.00069306-0.00060586i,-0.00014244-0.0007192i
-0.0036402-0.0028618i,-0.003173-0.0054034i,-0.0053257-0.0056054i,-0.0057294-0.002804i,-0.0044953+0.0001243i,-0.0030644+0.0011642i,-0.001162+0.0010584i,0.0002813+0.00085113i,0.00073088+0.00066943i,0.0005019-0.00019595i,-4.7722e-05-0.00079348i,-9.1496e-05-0.00064152i,0.00028568-0.00010561i,0.00021456+0.00014139i,0.00013065-0.00066698i,0.00067192-0.00047378i,0.00029739+0.00041599i,-0.00042429-0.00016762i,-0.00049533-0.00088222i,-0.00033842-0.00091166i,-0.00045041-0.00049756i,-0.0006077-0.00057445i,-8.3347e-05-0.0001923i
-0.0024295-0.0023481i,-0.0036724-0.0049986i,-0.0053022-0.0077479i,-0.0056947-0.0060482i,-0.0056318-0.001977i,-0.0036588+0.00049771i,-0.0013471+0.001849i,-0.00015395+0.0016605i,4.3583e-05+0.00050142i,-0.00039547-0.00046257i,-0.0011994-0.0005849i,-0.00050253-0.00052103i,0.001002-0.00069533i,0.00046998-0.0003312i,-0.00058069+0.000391i,-0.00011827+0.00050878i,0.00051375+0.00028937i,0.00022784-0.00023833i,-0.00055386-0.00046629i,-0.00048303-0.00023556i,-0.00011877+0.00029314i,-0.00016148+0.00081599i,-0.00086538+0.00092185i
0.0027893-0.0052951i,0.002286-0.0096611i,-0.001867-0.0093787i,-0.0053988-0.0063942i,-0.0055864-0.0044134i,-0.0043177-0.0026068i,-0.0022755-6.03e-05i,-3.4638e-05+0.00060956i,0.00031206+0.0006056i,0.00019254+0.00042564i,0.00026336-0.00029629i,-0.00050483-0.00016139i,-0.00079163-7.5478e-05i,-0.0005466-0.00079378i,-0.00031753-0.0010367i,-0.00044892-0.00037478i,-0.00069944-0.00027188i,-0.0010223-0.00050627i,-0.00026256-0.0002282i,6.8143e-06-0.00085974i,-0.00010642-0.0011698i,0.00029263-0.00047981i,0.00055617-0.00013283i
-0.00089903-0.0022297i,-0.0039173-0.0041759i,-0.0059935-0.0052205i,-0.0072582-0.0042395i,-0.0073824-0.0019441i,-0.0056933+0.00014382i,-0.0030306+0.0016399i,-0.00062425+0.0010788i,0.00040403+0.00044643i,0.00024502-0.00025569i,-0.00027542-0.00079263i,-0.0012938-0.00028751i,-0.0016261+0.0001689i,-0.00099831+0.0003045i,-0.0010942+0.00064315i,-0.00091552+0.001024i,-0.00035593+0.00075227i,-0.00023846-0.00035359i,-0.00056485-0.0013255i,-0.00064843-0.0012568i,-0.00047243-0.00047285i,-0.00028696-0.00016985i,0.00013205+0.00020451i
-0.00022556-0.0015205i,-0.0025592-0.0061897i,-0.0062167-0.0091625i,-0.0079258-0.0066241i,-0.0076443-0.0025456i,-0.0058887+0.00040587i,-0.0026741+0.0021787i,-0.00033035+0.0016879i,-0.00058057+0.00061052i,-0.00069638-0.00018626i,-4.673e-06-0.0013822i,0.00019749-0.0013021i,0.00014151-0.0011566i,0.00015862-0.001152i,0.00033738-0.00087566i,-0.00023091+3.823e-05i,-0.0009079+5.4078e-05i,-0.00091239-0.00060335i,-0.00097696-0.00056421i,-0.00055837-0.00041192i,0.0001294-0.00082968i,0.00020539-0.00050511i,0.00039032+0.00039602i
-0.001752-0.0066991i,-0.0033524-0.0087915i,-0.0085257-0.0072413i,-0.010122-0.0036225i,-0.0073009-0.00076849i,-0.0050269+0.0013471i,-0.0019648+0.0020581i,-0.00015644+0.00089761i,-0.00054408+0.00021705i,-0.0011256+0.00046576i,-0.001537+0.00077891i,-0.0010197-8.4612e-05i,-0.00090779-0.00061047i,-0.00060435+0.00061687i,-0.00011434+0.00089638i,0.00010862-0.00040959i,-0.0008185-0.00068901i,-0.0013107+0.00029368i,-0.00073545+0.00090042i,-0.00065307+7.4583e-05i,-6.9712e-05-6.6626e-05i,0.00021229+0.00028095i,-0.00083504+0.00013941i
-0.00079218+0.00022433i,-0.0020012-0.0043188i,-0.0050684-0.0062311i,-0.007455-0.0038947i,-0.0061437-0.00075788i,-0.0036256+0.00049472i,-0.0012463+0.0016592i,-0.00029953+0.0014756i,0.00033143-0.00034077i,0.00098565-0.00044768i,0.00058618+9.2419e-05i,-0.00038518-0.00011243i,-0.0011937-8.0823e-05i,-0.0023516+0.00044545i,-0.0021537+0.00092999i,-6.6373e-05+0.00070713i,0.00059734+8.1724e-05i,0.00035148-0.00045825i,0.00022371-0.00075174i,-0.00059321-0.00022072i,-0.00097904+0.00038371i,-2.1805e-05-0.00022885i,0.00041145-0.00085829i
-0.0058559+0.000815i,-0.0071035-0.0018981i,-0.0075967-0.0036265i,-0.0067153-0.0022494i,-0.0051907-4.6903e-05i,-0.0032326+0.0014003i,-0.0014078+0.001127i,-4.7193e-05+0.00069824i,-0.00051822+0.00016957i,-0.00027365-0.00034429i,-0.00018821-0.00061608i,-0.0002879-0.0003096i,-0.00051488-6.4565e-05i,-0.0013231-0.00056763i,-0.0015842+0.00015633i,-0.001461+0.00078382i,-0.0010776+0.00072111i,-0.00098986+0.00067249i,-0.0015393+0.00088355i,-0.0014438+0.00064766i,-0.0005308-1.4936e-05i,0.00042816+0.00017366i,0.00074285+0.00022998i
0.0023426-0.0069249i,0.001013-0.0099832i,-0.0035829-0.0107i,-0.0068435-0.0070115i,-0.0058814-0.0025893i,-0.0047878-0.00011507i,-0.0033649+0.00086797i,-0.0009165+0.00085782i,0.00039031+1.8836e-05i,-0.00044778-0.0013966i,-0.00096777-0.0013154i,-0.0011105-0.00054154i,-0.00089594+0.00021288i,0.00011621+0.00017229i,-0.00010558-0.00010007i,-0.00032147-0.00025982i,0.00038297-0.00026548i,0.0005559-0.00057975i,0.00059982-0.00097285i,0.00024146-0.00044329i,-0.00018537+3.5135e-05i,0.00054772+0.00010105i,0.00075687-0.00060057i
-0.0027134-0.0017495i,-0.0062835-0.0042996i,-0.009606-0.005423i,-0.0090813-0.0032319i,-0.0077808-0.00021611i,-0.0052584+0.0014057i,-0.0025273+0.0011486i,-0.00087033+0.00049121i,-4.5129e-05-0.00010466i,-3.5343e-06-5.9661e-05i,-0.00029599+0.00013028i,-0.00067385+8.1532e-05i,-0.0014244+0.00045388i,-0.0017219+0.00093069i,-0.000751+0.00033007i,0.00016905+0.00049281i,-0.00011892+0.00055496i,-0.00096391-0.00023001i,-0.00046904-0.00058368i,0.00049312-0.00011213i,0.00034857+0.00043333i,-0.00016127+0.0004187i,-0.00082676+0.00010908i
-0.0055118-0.0039238i,-0.0062825-0.0078904i,-0.0083523-0.0072457i,-0.0073017-0.0036314i,-0.0047821+0.0001504i,-0.0025118+0.0023817i,-0.0010446+0.0016399i,-0.00014444+0.00076623i,-0.00090633+0.00057403i,-0.0015253+0.00034722i,-0.00073556-0.000311i,-0.00043219-0.00038951i,-0.00067565-0.00058754i,-0.00076011-0.00086144i,-0.00055748-0.00048874i,2.6361e-05-0.00053211i,-9.7705e-05-0.00034477i,-0.0006658-0.00018452i,-0.0014075+4.5284e-06i,-0.0019918-2.5029e-05i,-0.001244-0.00017614i,-0.00098084+7.9213e-05i,-0.00033543-0.00045885i
-0.0025696+0.0026456i,-0.0028313+0.00020639i,-0.0070855-0.0023568i,-0.0077906-0.0026812i,-0.004808-0.0018721i,-0.003509-0.0016236i,-0.0024563-0.00086938i,-0.00058487-0.00014031i,0.0007809+8.5669e-05i,0.00044913+0.00033229i,0.00017957-0.00021345i,-9.4662e-05-0.0011053i,-0.0012653-0.0006418i,-0.0016321+0.00011556i,-0.001016-4.1994e-05i,-0.00075562-0.00024028i,-0.00053648+2.2053e-05i,-0.00034408-0.00020308i,-2.516e-05+8.2125e-05i,0.00035374+0.00065867i,-0.00061684-0.00013386i,-0.00061141-0.00083934i,0.00024576-0.00068154i
0.0028383-0.0032144i,-0.0015349-0.0069125i,-0.0072144-0.0071641i,-0.0088342-0.0039768i,-0.0079432-0.0015849i,-0.0060623-0.00049125i,-0.0034099+0.00069911i,-0.0013751+0.0011191i,-0.00072902+0.00045807i,-8.1286e-05+0.00038897i,-8.2986e-05+0.00040811i,-0.0010445-0.00036195i,-0.0012919-0.00077717i,-0.00039691-0.00020837i,-0.00046773-0.00024788i,-0.00057341-0.00041177i,-0.00018074-0.00010996i,-0.00078028-0.00024845i,-0.00095868-0.00033195i,-0.00091822-0.00039709i,-0.00076023+9.3945e-05i,-0.00010031+0.00039242i,9.3804e-05+4.2559e-05i
-0.0044379-0.0044566i,-0.0063324-0.0054256i,-0.0085594-0.0040198i,-0.0081965-0.0003831i,-0.0071789+0.00031823i,-0.0057064+0.0014591i,-0.002221+0.0018143i,1.5373e-05+0.00080283i,0.00043783-0.00014651i,0.00086809+0.00035662i,0.00051598+0.00019256i,-8.3055e-05+3.3347e-05i,-0.0006853+0.00047429i,-0.00074828-0.00023382i,-0.00027912-0.0010112i,0.00039759-0.00017268i,0.00064894+0.00051668i,-6.6545e-05-4.1422e-05i,-0.0010958-0.0005938i,-0.00075153-8.5055e-05i,0.00043722+0.00023442i,0.00091037+0.00014254i,0.00088469+0.00026936i
0.0044473-0.0033291i,0.0019508-0.0056701i,-0.0036918-0.0062973i,-0.0067216-0.003998i,-0.005444-0.00088792i,-0.0036666-0.00031504i,-0.0019291+0.00073598i,-0.00040029+0.0014428i,0.00020259+0.00087701i,0.00028747+0.00025265i,-0.00029342-0.00034156i,-0.00072701-0.00035292i,-0.00078454+3.9548e-05i,-0.00041745-0.0004245i,-0.00034108-5.9473e-05i,-8.6557e-05+0.00073269i,0.0006317+0.00041265i,0.00046976-0.0003919i,-3.906e-05-0.0010618i,0.00011118-0.0010519i,0.00025027-0.00042053i,0.00015542-0.00065581i,0.00049343-0.00029143i
-0.0052912+0.0020829i,-0.006681-0.0029751i,-0.0081965-0.003784i,-0.0052476-0.0011783i,-0.0031671+0.00058847i,-0.0026375+0.00090816i,-0.0013156+0.0013054i,-0.00013188+0.0022768i,-0.00027694+0.0015992i,-0.00028866+3.3968e-05i,-0.00024665-0.00074459i,-0.00060636-0.00056213i,-0.00042633-0.00013578i,-6.5155e-05-0.00030354i,-0.00030959-0.00016018i,-0.00062128+0.0003528i,-5.0065e-05+0.000274i,0.00083766+0.00055368i,4.2321e-05+0.00046534i,-0.00086047-3.7879e-05i,-0.00055501+5.3517e-05i,0.00023011+9.9806e-05i,0.00017728-0.00013914i
-0.002414-0.0045878i,-0.0016446-0.0080889i,-0.0045484-0.0084654i,-0.0064893-0.004354i,-0.0042063-0.0016612i,-0.002685-9.3526e-05i,-0.0021778+0.0011031i,-0.0010999+0.0012095i,-0.0002718+0.00049159i,-0.00014952+0.00011778i,-9.3739e-05-0.00016035i,0.00051034+1.9565e-05i,0.00039447+0.00012193i,-5.579e-05-0.00049146i,-0.00035062-0.0006028i,-0.00026141+0.0010623i,-0.00041774+0.0021499i,-0.0011425+0.0014419i,-0.0010082-3.61e-05i,0.000209-0.0010901i,0.0013548-0.0004342i,0.0012371+0.00015515i,0.00073516-6.7965e-06i
0.0017324-0.001623i,-0.0023274-0.0029142i,-0.0046087-0.0056571i,-0.0068732-0.0058744i,-0.0086174-0.0030181i,-0.0061869-0.00078855i,-0.0019849+0.0010384i,0.0001156+0.001047i,0.00026631-4.8018e-05i,-0.00092792-0.00097468i,-0.0012788-0.00079938i,-0.00037642+0.00011855i,-0.00021819-1.8932e-05i,-0.00029597-5.3989e-05i,-0.00046886+0.0004083i,-0.00050731+0.00012157i,-0.000288+0.00035139i,-0.0010522-0.00011468i,-0.0020483+0.00012915i,-0.0016659+0.00067163i,-0.00010883-2.0268e-05i,0.0006994-0.0002099i,0.00036651+0.00030477i
