-0.0012854+0.0014287i,-0.0014575+0.0015283i,-0.0019976-0.00019188i,-0.0023409+0.00035466i,-0.001639+0.0013677i,-0.0011474+0.0015519i,-4.6007e-06+0.0016744i,0.00084419+0.0015405i,0.00113+0.00074883i,0.0014198-0.00036867i,0.00040062-0.00041304i,-0.00062039-0.00061853i,-0.00044771-0.0007823i,2.7803e-06-8.4797e-05i,-0.00070454+0.00027164i,-0.0011725+0.00077543i,-0.00073511+0.0006797i,5.2884e-05-1.7153e-05i,0.00043957-0.00069135i,-0.00064543-0.00019268i,-0.00090759+0.00048437i,-0.00015777-7.8468e-05i,-0.00024196+7.5399e-06i
-0.0043544-0.0034914i,-0.004512-0.0019438i,-0.005018-0.0008153i,-0.0035838+7.2444e-05i,-0.00095987+0.0022754i,0.00074093+0.0021607i,0.0010797+0.00054512i,-3.0636e-05+0.00046061i,-9.9349e-05+0.001394i,0.0007651+0.0015438i,0.00013294+0.00048245i,-0.00030752-0.00095141i,0.00033515-0.00059281i,0.001465-6.4671e-05i,0.0018831-0.00086307i,0.0010331-0.0015582i,0.00016162-0.0010829i,0.00011068-0.00076081i,0.00018294-0.0002185i,0.00025658+0.00070317i,9.7681e-05+0.00058212i,4.0829e-05-0.00034312i,0.00031991-0.00043701i
0.00019762-0.0016942i,-0.00071996-0.0025663i,-0.0019578-0.0023117i,-0.001464-0.0010908i,0.00050988-0.00052323i,0.00032488+0.0012567i,-0.0013889+0.0016588i,-0.00035225+0.00048019i,0.00092782+8.9517e-05i,0.00061874-0.00031612i,-0.00032371-0.00066757i,-0.00065465-0.00036301i,-0.00033547-0.0001615i,-0.00028211-0.0011451i,-0.00040697-0.0016374i,-0.00021143-0.00067824i,0.00043235+0.00028137i,0.00042561+0.00036361i,-4.2614e-05+0.00046686i,-9.7606e-05+0.00063807i,-0.0001478+0.00052558i,-0.00027979-0.00016721i,-0.00031748-0.00051144i
0.0011191+3.6404e-05i,0.0022408-0.0011194i,0.001359-0.00067536i,0.00031389-0.00013702i,0.0015652-0.0003123i,0.0019697-0.00058821i,0.00062262+0.00023892i,0.0005364+0.00049436i,0.0009828-0.00026733i,0.00037242-0.0015663i,-0.0003648-0.0016725i,-0.00083883-0.00099582i,-0.0010984-0.0017462i,-0.001657-0.0012039i,-0.0015394+0.00028632i,-0.00054994+0.00039773i,0.00083556+7.9239e-05i,0.0010274+0.0003091i,0.00051977+0.0005028i,0.00020757+0.00054634i,-2.0797e-05-3.3113e-06i,-0.00038981-0.00010666i,-0.0002265+0.000695i
0.0012389+0.0019903i,0.0012627+0.0017663i,0.0013647+0.00010912i,0.00091337-1.0483e-05i,-0.00090006+0.00092118i,-0.00063765+0.001039i,7.8067e-05+1.0056e-05i,-0.00030714-0.0005319i,-0.00048722-0.00063259i,-0.00031767-0.00040291i,0.00057894-0.00038304i,0.00089929-0.00091232i,0.00050928-0.00040185i,0.00035447+0.00070391i,0.00059613+0.00090359i,0.00069479-0.00013859i,0.0011079-0.00053713i,0.0013792-4.6755e-05i,0.00077539-0.00013896i,0.00026462-3.0605e-05i,4.4462e-06+0.00079276i,-0.00029016+0.00077119i,0.00016159+0.00033254i
-0.0017799+0.0003519i,-0.0030463+0.0013146i,-0.0030666+0.0016856i,-0.0020359+0.0013571i,-0.00019598+0.00052451i,0.00031037-0.00077188i,0.00030067-0.00082448i,0.0001414-0.00022551i,-0.00013278-0.0001219i,0.00054096-0.00067853i,0.00090666-0.0017682i,0.00038931-0.001236i,0.00034102+0.00060353i,0.00056608+0.0006973i,0.00088748-5.0039e-05i,9.1223e-05-0.0007028i,-0.00057958-0.00045905i,7.525e-05+0.00037673i,0.00020762+0.00030853i,0.00064487+0.0003203i,0.0010213-0.00019856i,0.00012642-0.00014521i,-0.00078918+0.00037969i
-0.0021167+0.0030814i,-0.0016173+0.00093987i,-0.00019282+0.00029507i,0.0012935+0.0006451i,0.0028969+0.00051761i,0.0018676-0.00064368i,-0.00037902-0.001522i,-0.0013059-9.0625e-05i,-0.00079313+0.00060426i,0.00044387-0.000385i,0.00023234-0.00084486i,-0.0014323-0.0009333i,-0.0022248-0.0014267i,-0.0010529-0.0015164i,-0.0013424-0.00047214i,-0.0019137+0.00053669i,-0.00051117+0.00051498i,0.00035752+5.5562e-05i,-6.4044e-05-5.7367e-05i,0.00015876-0.00069478i,0.0012139-0.0011818i,0.0014939-0.00098206i,0.00066208-0.00074547i
-0.001793-0.0037525i,-0.0030986-0.0039642i,-0.0040684-0.002992i,-0.0035635-0.0017565i,-0.0015274-3.8648e-05i,-0.00025156+0.0015755i,-0.0007473+0.0019504i,-0.00096254+0.00072785i,-0.00074764-4.8293e-05i,-0.00060558+0.00063706i,-0.00071862+0.0013779i,-0.00096905+0.0016175i,-0.00054479+0.00079974i,-0.00036837+0.00072091i,-0.00086059+0.0010169i,-0.00055294+0.00082407i,6.0296e-05+0.00061033i,0.00056287+0.00061402i,0.0006972+0.00032704i,1.0152e-05-1.2825e-05i,-0.00061082-0.00023008i,-0.00039287-0.00022997i,0.00016763+4.0512e-05i
-0.00033422+0.00070929i,0.0015576-0.00011417i,0.00060315+0.00068389i,-0.00070574+0.0016925i,0.00022232+0.0014426i,0.0017839-0.00023685i,0.0019291-0.0005032i,0.0011763+0.00062827i,0.00065453+0.0015034i,0.00027495+0.001854i,0.00052546+0.0014748i,0.0012071+0.0015944i,0.00077053+0.0010189i,0.00044458+0.00063361i,0.0011306+0.00081502i,0.0013054+0.00051223i,0.00050501+0.00062441i,-0.00016483+0.0010582i,-0.00017723+3.5819e-06i,-0.00012282-0.0012496i,-0.00060738-0.0017581i,-0.00081461-0.0010603i,-0.00072107-0.00014116i
0.0010689-0.000712i,0.00057623+0.0013616i,-0.0013008+0.0013333i,-0.0026111+0.00052352i,-0.0019882+0.00060229i,-0.00037423+0.0016776i,0.00060992+0.0010746i,0.0011881-1.8837e-05i,0.0016842-0.000149i,0.0012767+0.00018204i,0.00077296-4.7034e-05i,0.0008105-0.00076101i,0.0012804-0.00059773i,0.0015301-0.00066681i,0.00067826-0.0018567i,-0.00026189-0.0020916i,-0.00071717-0.0013447i,-4.1558e-05-0.00043942i,0.00065178+0.00059458i,-0.0001319+0.00088776i,-0.0011414+0.00045533i,-0.00084544+0.0003981i,-0.00027316+0.00036745i
-0.00018706+0.00031687i,-0.0018527+0.00083894i,-0.002875-0.00092129i,-0.0027151-0.0021255i,-0.0027104-0.0021355i,-0.0018286-0.0018306i,-0.00096204-0.0020711i,-0.001105-0.0024936i,-0.00076572-0.0025774i,-0.00027529-0.0029175i,-0.00088985-0.0024873i,-0.0017461-0.0015408i,-0.001384-0.0016248i,-0.001147-0.001454i,-0.0020755-0.00058704i,-0.0020712+0.00026844i,-0.00075771+0.00070927i,-0.0003897+0.00043947i,-0.00087994+0.00022478i,-0.00071353+0.00027273i,-0.00029054+9.4987e-05i,-0.00016176+0.00014321i,0.00055264-0.00018723i
-0.00026554-0.0018475i,-0.0025275-0.0015045i,-0.0023655-0.00013146i,-0.0021991+0.001844i,-0.001837+0.0024841i,-0.00066275+0.0022235i,-0.0019495+0.00096206i,-0.0036463+0.00016249i,-0.0039677-0.00067996i,-0.0035091-0.00092497i,-0.0029362-0.00017967i,-0.0022116+0.00081077i,-0.001675+0.0011451i,-0.0018189+0.00064892i,-0.0020563+0.00068686i,-0.00074556+0.0015323i,0.00038947+0.0018896i,0.00032618+0.0013108i,0.00039849+0.00080436i,5.5994e-05+0.00045605i,-0.00082316+0.00018628i,-0.00085178-0.00010134i,-0.00027984-0.00053183i
0.00030732-0.00012645i,-6.9717e-05+0.0003583i,-0.0002624+0.0012696i,-0.00029991+0.0012105i,0.00031503+0.0015244i,1.1113e-05+0.0011093i,-0.00051396+0.0012869i,-0.0011946+0.0028427i,-0.0019613+0.003923i,-0.00145+0.0033557i,8.7081e-05+0.0014481i,0.0014269+0.00090549i,0.0014792+0.0011457i,0.00027902+0.00098071i,0.00051562+0.00084322i,0.0010191+0.00061657i,0.00079478+0.00071647i,0.00093984+0.00094443i,0.00048299-0.00015816i,-3.6944e-05-0.00068007i,-0.00016429-5.0842e-05i,0.00014097+0.00085351i,0.00037119+0.0011494i
-3.0235e-05-0.00077694i,0.00027656-0.0011607i,-0.00079415-0.00067547i,-0.0022602-0.00030709i,-0.0013511+2.6322e-05i,-0.00020216+0.00037994i,0.0006096+0.00047337i,0.0023913+0.00087483i,0.0035233+0.00095426i,0.0036176-2.7152e-05i,0.0032185-0.00091435i,0.0024575-0.00076774i,0.0012735-0.00066056i,0.00060262-0.0013104i,0.0014376-0.0013011i,0.0017738-0.00047954i,0.0009986-8.2263e-05i,0.0010119-0.00024744i,0.00029145-0.00030736i,-0.001131-0.00048477i,-0.0014836-0.00064134i,-0.0011123-0.00066436i,-0.0001251-0.00073295i
-0.002737+0.0024541i,-0.0016818+0.0040722i,-0.0011161+0.0048722i,3.7129e-05+0.0044793i,0.0024469+0.0027323i,0.002941-0.00073837i,0.00095771-0.0036007i,0.00078839-0.004603i,0.0016862-0.0046989i,0.0019511-0.0041402i,0.0011522-0.0030864i,0.00010657-0.002645i,-0.00023813-0.0023165i,-0.00045694-0.0021815i,-0.0011653-0.0018844i,-0.0010529-0.0017237i,8.8817e-05-0.0010103i,0.00068256-3.4304e-05i,4.1295e-06+0.00067054i,0.00013765+0.00082337i,0.00090206-0.00024077i,0.00037088-0.00070236i,0.00043084-0.00073201i
-2.0065e-05-0.00023564i,-0.00034792-0.0013428i,-0.0010728-0.0021786i,-0.00092393-0.0015414i,-0.00049186-0.001247i,-0.00014286-0.00086277i,-0.0014763-0.00042487i,-0.0031551-0.0017204i,-0.0033045-0.0029252i,-0.0023245-0.0019957i,-0.0013502-0.0003342i,-0.0014454+0.0012103i,-0.00118+0.0013998i,-0.00084732+0.0010011i,-0.00068977+0.0015868i,-7.8155e-05+0.0016793i,0.00030884+0.00066134i,-5.5091e-05-6.3815e-05i,-0.00019366+7.2462e-05i,-0.00010617-0.00014653i,0.00057952+0.00011042i,0.00041128-0.00010111i,-0.00070759-0.00091105i
0.0030318-0.00041837i,0.0022405-0.0018749i,0.001212-0.0024323i,-0.0006679-0.0025044i,-0.0012651-0.0022262i,-0.00071387-0.00078676i,-0.0013541+0.0013247i,-0.0025337+0.002754i,-0.0022232+0.0028862i,-0.0014307+0.0030709i,-0.00065694+0.0031094i,-5.01e-05+0.0019751i,0.0006722+0.00094969i,0.0014133+0.0017379i,0.0014718+0.0020984i,0.0013986+0.0015394i,0.0013196+0.0013913i,0.00066853+0.000494i,0.00016181-0.00014176i,-0.00038405-0.00051529i,-0.00069429-0.00045739i,-0.00021844+0.00037545i,-0.00044571+0.0006661i
0.00049722+0.0011886i,0.00042843+6.5396e-05i,0.00016625-0.00022438i,0.00055148+0.00041787i,0.001972+0.00076134i,0.0029099+0.0012063i,0.0033077+0.001987i,0.0039345+0.0032117i,0.0040971+0.0044009i,0.0035673+0.004075i,0.0032827+0.0021375i,0.0027776+0.00038312i,0.0016652-0.00033886i,0.0015029+6.6051e-05i,0.0019622+0.0002205i,0.0022362-0.0010597i,0.0014864-0.0012566i,0.00063421+0.00016085i,0.00014663+0.00025828i,-0.00044104-4.6655e-06i,-1.2001e-05+0.00020001i,0.00046781+0.00033528i,0.00012894+0.00071634i
0.0024749+0.00078254i,0.00098581-0.0009319i,8.8402e-05-0.0025223i,-0.00022415-0.0025974i,3.0636e-05-0.0019283i,0.00028986-0.0018987i,0.0016565-0.0023083i,0.0039538-0.0021786i,0.0051679-0.0014656i,0.0041939-0.0015961i,0.0013378-0.0024671i,-0.00043563-0.0021838i,-0.0010226-0.0015761i,-0.001042-0.0013606i,-0.00013155-0.000299i,0.00061668+9.0498e-05i,0.00026584-0.00036301i,0.00025552+0.00033617i,0.00039987+0.0011066i,0.00018424+0.0011053i,0.00033482-3.9748e-05i,0.00064827-0.00045939i,0.00085322-7.8614e-05i
0.00014104-0.0003621i,-0.00085851+0.00074054i,-0.0019206+0.00090561i,-0.0024718+5.6074e-05i,-0.002121+0.00086599i,-0.0021062+0.001219i,-0.0028674-0.001175i,-0.0026467-0.0044868i,-0.0018907-0.0061799i,-0.0025216-0.0044176i,-0.0027328-0.0019468i,-0.0018466+0.00021828i,-0.0015031+0.0011647i,-0.00099913+0.0011171i,-0.0017143+0.0011063i,-0.0018599+0.0012866i,-0.00076446+0.0013585i,0.00010574+0.0012524i,0.00053909+0.0010075i,0.00013241+3.564e-06i,-9.9028e-05-0.00059391i,-0.0001236-0.0010291i,-0.00082834-0.0015365i
-0.00024246+0.0001127i,-0.0012897-0.0011952i,-0.0010929-0.00078727i,-5.9757e-05-0.00011939i,0.00033166+0.0009392i,0.00019761+0.0018537i,-0.0013684+0.0020253i,-0.0039612+0.0027518i,-0.0047401+0.0024811i,-0.0040768+0.0011773i,-0.002826+0.0010668i,-0.00098357+0.0010355i,-0.00011574+0.0010133i,-0.00063436+0.001455i,-0.0008158+0.0014708i,0.00037151+0.0018094i,0.0006249+0.0017748i,-0.00011636+0.00052657i,-0.00026086-0.00037733i,-5.9362e-05-0.00071375i,0.00022304-0.000343i,0.00025478+0.0005697i,8.2434e-05+0.0005072i
0.000475-0.0024153i,-0.00010454-0.0009252i,-0.0026676-0.00058059i,-0.0033979+0.00012917i,-0.0012606+0.0011593i,0.00036653+0.0015345i,0.00071807+0.0022128i,0.00071482+0.0036592i,0.00040701+0.004583i,0.0002485+0.003751i,0.00084776+0.0019104i,0.0014614-0.00026024i,0.00092662-0.00082117i,0.00014633-0.00047055i,-0.00016443-0.00073032i,-6.2959e-05-0.00057792i,0.00015173-0.00023566i,0.00046124-0.00085927i,0.00042343-0.0010253i,-7.2754e-05+2.7948e-05i,-6.3299e-05+0.00078453i,0.00014037+0.0010692i,0.00022965+0.0016533i
-0.00066223+0.00139i,-0.0012302+0.0027546i,-0.0019596+0.0028573i,-0.002419+0.0021075i,-0.00070699+0.00099605i,0.00078827-0.00056601i,0.00098058-0.0013082i,0.0033582-0.00018261i,0.0058844+0.0001815i,0.005679-0.0010312i,0.0033076-0.0024354i,0.00021096-0.002387i,-0.0017881-0.0019101i,-0.0020897-0.0016413i,-0.0010498-0.0012493i,-0.00073347-0.00086547i,-0.00087109-0.00090967i,-0.00034678-0.00079988i,-0.00016968+0.00015461i,-0.0006487+0.00065131i,6.3188e-05+0.00077763i,0.00086912+0.00089257i,0.0010377+0.00029667i
-0.00010976+0.00072677i,0.00038427+0.001442i,0.00087603+0.00071484i,0.00078527+0.00074013i,0.00034691+0.0017009i,0.00083771+0.00085096i,0.00051734-0.0015197i,0.00028875-0.0041893i,0.00060712-0.0055225i,0.00064283-0.0048313i,-0.00011612-0.0031817i,-0.00097686-0.0012542i,-0.00072928+0.00019016i,-0.000345-0.0002382i,-0.0003512-0.0006148i,-0.00054534+0.00061342i,-0.00052116+0.0016811i,0.00087886+0.0015454i,0.0012137+0.0012737i,-0.00015783+0.0004638i,-0.00083858+0.0001028i,-0.00058787-0.00020905i,-0.00018254-0.0010476i
0.0022812+4.1268e-05i,0.0013562-0.00020294i,0.00044636-0.0019343i,-0.0019757-0.0024133i,-0.0033936-0.0019123i,-0.0035882-0.00099248i,-0.0037774-0.00029416i,-0.0043909-0.00078391i,-0.004441-0.0018752i,-0.0037392-0.0016509i,-0.0028249-0.00022692i,-0.0017005+0.00073242i,-0.0011795+0.00055605i,-0.00023668+0.00061256i,0.00039495+0.00093317i,-3.8508e-05+0.00058969i,0.00015996-0.00011024i,0.001348-0.00089004i,0.0013886-0.00088974i,0.0004161-0.0011773i,-0.0010526-0.00097986i,-0.0011212-0.00037999i,-0.00057744-9.7511e-05i
-0.0023293-0.0016748i,-0.0033746-0.00075329i,-0.0043407+0.0010409i,-0.0040257+0.0024948i,-0.00082828+0.0019829i,0.001701+0.0013086i,0.00087963+0.002141i,-0.00083314+0.0044278i,-0.0012504+0.0056668i,-0.00040436+0.0049787i,0.00042574+0.0030441i,0.0017449+0.00075603i,0.0020963-2.523e-05i,0.00080931+2.1065e-05i,2.0996e-06-0.0002784i,0.00027672-0.0010718i,0.00074365-0.00097237i,0.00043172-7.9742e-05i,0.00030151-0.00039603i,0.0010164-0.00048268i,0.0015622+0.00061147i,0.00079857+0.0010756i,-0.00045911+0.00069355i
0.0015601+0.00033146i,0.001408+9.5971e-05i,0.00017864+5.2082e-05i,0.00030551+0.0011646i,0.0014497+0.0013346i,0.0019712+0.0004875i,0.00264+0.00037304i,0.0037631+0.001045i,0.0044261+0.0018735i,0.0037676+0.0022057i,0.002525+0.00033009i,0.0017819-0.00089155i,-3.9315e-05-0.00052701i,-0.0015226-0.00031433i,-0.001026-0.00012314i,9.4087e-05-0.00041014i,0.00028999-0.0003563i,-6.7342e-05+0.00024278i,-1.2626e-05+8.9461e-05i,0.00035096+6.6562e-05i,0.00058233+0.00010805i,0.0010402-0.0003581i,0.0012943-0.00081848i
0.00056927-0.0010067i,-0.00075462-0.00054638i,-0.0017858+0.00010264i,-0.0021682+0.00057381i,-0.0019394+0.0016034i,-0.00080537+0.0013149i,0.00037217-0.0010763i,0.0016312-0.0040463i,0.00196-0.0049579i,0.00081578-0.0039692i,0.00034983-0.0029794i,-0.00041916-0.0020465i,-0.00092669-0.00062669i,-0.00026946+0.00024702i,0.00056456-0.00026676i,0.000439-0.0004244i,-0.0002201+0.00085628i,-2.1448e-05+0.00094189i,0.00081117+0.00030978i,0.00095435-0.00045325i,0.00082879-0.00095473i,0.00078756-0.00074639i,0.00097298-0.0012763i
-0.0017764+0.0019201i,-0.0011658+0.0021448i,-0.0015979+0.0015725i,-0.00092212+0.0011364i,-0.00059759+0.0015302i,-0.00076028+0.0017945i,-0.0020957+0.00030247i,-0.0039265-0.0016369i,-0.0046957-0.0026637i,-0.0036127-0.0017843i,-0.0013785-0.00070602i,-0.00028629-5.5674e-06i,-0.00020147+0.0006694i,-0.00037593+0.0010389i,-0.00045115+0.00060345i,0.00013351-0.00017164i,0.00074254-0.00019378i,0.00055157+4.9017e-05i,9.459e-05+2.3806e-05i,-2.9179e-05+0.00021228i,-0.00062036+0.00020468i,-0.0014943+0.0004803i,-0.001394+0.00019892i
0.00016216-0.0012335i,0.00062356-0.0021321i,0.00095588-0.0025637i,0.00046801-0.00223i,-0.00028799-0.0017204i,-0.0014698-6.3135e-06i,-0.0021838+0.0031803i,-0.0018501+0.0048368i,-0.0016527+0.0036934i,-0.0015233+0.0017433i,-0.00090133+0.0010686i,-0.00057711+0.00080185i,-0.00066152+0.00013152i,-5.4053e-05+0.0001737i,-7.0109e-05+0.00066197i,-0.0011526+0.00048957i,-0.0012164-0.00032083i,-0.00010203-0.00068917i,-0.00029229+0.0002221i,7.4318e-05+0.00031386i,7.837e-05-0.00034533i,-0.00085579+6.6003e-05i,-0.00082296+0.00066127i
-0.00030269-0.0026893i,-0.00097065-0.0016686i,-0.0019555-0.00086186i,-0.0019609-0.00059748i,-0.00071644-0.00023871i,0.0011287+1.2646e-05i,0.003075+0.00053388i,0.0043318+0.0016224i,0.0043385+0.0028308i,0.0027013+0.0021816i,0.0015335-0.00015989i,0.0015145-0.0016041i,0.00062331-0.0013201i,-0.0001362+0.00018447i,-0.00026954+0.000958i,-0.00050288+0.00076109i,-0.00093207+0.00067412i,-0.00067329+0.0012787i,-0.00015331+0.0013035i,-1.9696e-05-3.2402e-05i,0.00072068-0.00045365i,0.0011022-8.3762e-05i,0.0007014+0.00023716i
0.002626-0.0026584i,0.0013554-0.0016807i,-0.00079505-0.0015625i,-0.0018005-0.0013219i,-0.0014329-0.00039331i,-0.0011111-0.00074818i,-0.00010918-0.0024533i,0.0022492-0.0035895i,0.0038602-0.0035499i,0.0030022-0.0034838i,0.0011559-0.0029532i,-6.2708e-05-0.0014293i,-0.00051955+0.00022778i,-0.0004383+0.00089406i,6.2814e-06+0.0013719i,-8.906e-05+0.00083939i,-0.00050023-1.4283e-05i,-0.00049551+0.00086836i,-0.00049179+0.0017932i,-0.001124+0.0014412i,-0.00079528+0.00061306i,-9.1747e-05+0.00012999i,0.00012707-0.00042404i
0.0033272+0.0023442i,0.0028178+0.0018923i,0.0018987-4.3992e-05i,0.0016864-0.00071588i,0.0019837-4.4632e-05i,0.00064047+0.00011229i,-0.002785-0.0010723i,-0.0041503-0.0029175i,-0.0028798-0.0035215i,-0.0014546-0.0025172i,-0.0011665-0.00087845i,-0.00095058+0.00056446i,-0.000879+0.001562i,-0.00082877+0.0012673i,-0.0004529+0.00027756i,-0.00019136-0.00020844i,0.00018712+2.2332e-05i,0.00040066+0.00035119i,0.00062305+0.00033126i,0.00045299-0.00023322i,-0.00032263-4.0889e-05i,-0.0011804+0.00019274i,-0.0012469-0.00021185i
-0.0036221+0.00052829i,-0.0060239+0.00024524i,-0.007858+0.00056175i,-0.006227+0.00081493i,-0.0026924+0.0020688i,-0.00103+0.0030296i,-0.0013857+0.0026469i,-0.0033368+0.0028357i,-0.0041176+0.0031985i,-0.0026219+0.0030445i,-0.00051611+0.0026911i,0.00041058+0.0020778i,3.3566e-05+0.00071349i,-0.00046258+0.00018759i,-0.00063481+3.851e-05i,-0.00045238-0.00063532i,5.2778e-05-0.0010491i,0.00066993-0.0016261i,0.00015492-0.002093i,-4.0364e-05-0.0020652i,0.00024298-0.0012203i,-0.00032523-0.00016159i,-0.00077997+0.00026208i
-0.0029272-0.0010938i,-0.0042595-0.0008611i,-0.0049007+0.00018178i,-0.0035437+0.0019395i,-0.00099569+0.002239i,0.001938+0.00064944i,0.0032478+0.00027022i,0.0035918+0.0024917i,0.0039051+0.0040407i,0.0030811+0.0036172i,0.00185+0.0021613i,0.0017527+0.00014321i,0.0011078-0.00091854i,4.7536e-05-0.0011115i,-0.0006507-0.00020586i,-0.00070022+0.00064622i,-0.00060655+0.00064813i,-0.0014225+0.0012948i,-0.0019635+0.0016156i,-0.0016689+0.00056534i,-0.0015408-0.00027724i,-0.00096269-0.00031505i,-0.00042797+8.8757e-05i
-0.00092213-0.0059527i,-0.0015789-0.0049974i,-0.002438-0.0044331i,-0.003277-0.0029201i,-0.0032528-0.0001971i,-0.0016465+0.00068698i,0.00070743-0.0011117i,0.0033351-0.0024139i,0.0042386-0.0029824i,0.0023404-0.0031926i,0.00018031-0.0018171i,-0.0006621-0.00049122i,-0.00025964+4.7979e-05i,0.000728+0.00046571i,0.0020551+0.00027114i,0.0022951+0.00047874i,0.00072559+0.0018508i,0.00028426+0.0018579i,0.00082011+0.0010302i,0.00011526+0.00065219i,-0.00030386+0.00033897i,-6.2563e-05+0.00027894i,-0.00028714-0.00041333i
0.0037334-0.0017908i,0.0023667-0.0022188i,-0.00079862-0.0021432i,-0.0019812-0.0014858i,-0.0018244-0.00014254i,-0.0016986+0.00051919i,-0.0031553-0.0013489i,-0.004541-0.0041007i,-0.0047165-0.0050328i,-0.0039242-0.0034382i,-0.0024416-0.0011177i,-0.0010623+0.0011319i,-0.00021327+0.0012592i,0.0013093+5.6512e-05i,0.0024701-0.00051544i,0.0019449+3.9629e-05i,0.00090953+0.00072817i,0.00027477+0.00095202i,-0.00013965+0.00052728i,-0.00059339+6.2425e-05i,-0.00037452-0.00014588i,-0.00049135-0.00024248i,-0.00057214-0.00026677i
-0.002329+0.0002425i,-0.0016293+0.0014236i,-0.0029316+0.0020024i,-0.0025346+0.0027723i,-0.00044846+0.0031493i,0.00062113+0.0028359i,-0.00042095+0.002354i,-0.0031808+0.0019984i,-0.0048073+0.0024631i,-0.0037893+0.0021289i,-0.001358+0.0013663i,0.00035313+0.0001762i,0.0010605-0.00070555i,0.00080088-0.00044602i,0.00012589-0.00070538i,-0.00015237-0.00091042i,-0.00013227-0.00089182i,6.3566e-05-0.001352i,0.00039975-0.0016336i,0.00037123-0.00079235i,4.9027e-06+3.6998e-06i,0.00034543+0.00030846i,0.0005303+0.00041903i
-0.00051137+0.0016411i,-0.00070947+0.0017474i,-0.0014194+0.00098667i,7.0318e-05+0.0011667i,0.0022888+0.0016847i,0.0023345+0.0018287i,0.0018007+0.0017452i,0.0013276+0.0036138i,0.0015759+0.0052732i,0.0026261+0.0036922i,0.0030162+0.00084752i,0.0022796-0.00087905i,0.00084-0.0010836i,-0.00079275+0.00013993i,-0.0015274+0.0013394i,-0.0011994+0.001113i,-0.0010253+7.4106e-05i,-0.0012524-0.00045129i,-0.0010337-0.00035019i,-0.00083772+0.00018219i,-7.4949e-05+0.00046249i,0.00018023+0.00038845i,-0.00057165+0.00026718i
-0.0029725+0.00014546i,-0.0045685+0.00018674i,-0.0052298-0.00036396i,-0.0044795+0.00036712i,-0.0021528+0.00096307i,0.00049331-0.00022363i,0.0024715-0.002331i,0.0045595-0.0025994i,0.0056711-0.0025843i,0.0045925-0.0030783i,0.0018001-0.0023809i,-0.00016467-0.0018406i,-0.00042678-0.0011029i,-5.8578e-06+0.00028295i,0.0011348+0.00085364i,0.0013084+0.0013074i,0.00020877+0.0015486i,0.00016535+0.0013873i,0.001129+0.001042i,0.0011243+0.00037545i,0.00088622+0.0003834i,7.0032e-05+0.00030668i,-0.0010791+0.00022169i
0.00094883+7.2009e-05i,0.0015999-0.0016101i,0.00070052-0.0028718i,-0.00031119-0.002375i,0.00037247-0.00079433i,-0.00079229-0.00049983i,-0.0023157-0.0018341i,-0.0024649-0.0041571i,-0.0016849-0.005939i,-0.00073289-0.0051125i,-0.0012181-0.0019456i,-0.0017638+0.0010428i,-0.00055098+0.0016575i,0.00021733+0.0010288i,0.00010724+0.00011499i,0.00063713-0.00065505i,0.00065971-1.9182e-05i,0.00033905+0.00068262i,0.00048991+0.00045596i,0.0008889-0.00010115i,0.00035438-0.00062983i,-0.00044877-0.00050395i,1.6359e-05+0.00036872i
-0.0017307-0.0028141i,-0.0027235-0.0010919i,-0.0046188-0.00069195i,-0.0042449+0.00027378i,-0.0024544+0.0031388i,-0.00089143+0.0040218i,-0.0014088+0.0036879i,-0.0039978+0.0023448i,-0.005246-0.00016933i,-0.0045393+0.00023213i,-0.0028754+0.0023023i,-0.00024034+0.0023973i,0.0009218+0.00042894i,0.00054505-0.00085402i,-0.00081176-0.00064969i,-0.0023713-4.7822e-05i,-0.0015356+0.00034821i,1.1459e-05+0.00019403i,0.00050596-6.1245e-06i,0.00049179-0.00018433i,0.00029095+0.00057133i,-3.1441e-05+0.0012586i,-0.00039849+0.00078569i
0.0015967+0.0017301i,0.0014894+0.00034359i,0.0015953-0.00048075i,0.0022276+0.0002082i,0.0031024+9.3183e-05i,0.0038166+6.1699e-05i,0.0032194+0.0016913i,0.0011575+0.0035075i,0.00037843+0.0049536i,0.0013489+0.004353i,0.0017761+0.00088402i,0.0010232-0.0016361i,-0.00031666-0.0017567i,-0.0013229-0.00054944i,-0.001483+0.001248i,-0.0013689+0.0023558i,-0.00097813+0.0019541i,-0.00086193+0.00074268i,-0.00050652+0.00041885i,0.00016647+0.00095089i,0.00042585+0.00046449i,0.00042532+0.00030445i,0.00019613+0.00022941i
-0.0005486-0.0023329i,-0.0015208-0.0011624i,-0.0020311-0.0016063i,-0.0017937-0.0019924i,-0.0016025-0.00015806i,-0.00040243+0.00052083i,0.002567-0.00035031i,0.0054676-0.00030861i,0.0063287+0.00013024i,0.0046873-0.00060069i,0.0021572-0.0022002i,-0.00035283-0.0027587i,-0.00012718-0.000469i,0.00068587+0.0023676i,0.00081279+0.0024737i,0.00077054+0.0013436i,0.00051968+0.00058353i,0.00037801+0.00040854i,0.00011738+0.00039065i,-0.00032833+0.00012217i,-0.00063537-0.00019394i,-0.0002992+0.00073907i,-0.00041326+0.0015068i
