-0.0046395+0.00047259i,-0.0021171+0.0016247i,-0.00040361+0.0039409i,0.0007815+0.0044427i,0.0018782+0.0036377i,0.0010687+0.0021855i,-0.00020073+0.0016076i,-0.00034682+0.0015227i,0.00073271+0.00097805i,0.00080984+0.00059977i,0.00010883+5.3442e-05i,0.00020155-0.00091843i,0.00022096-0.0022397i,6.0796e-05-0.0026687i,-0.00060938-0.0014593i,-0.0010103-0.00043105i,-0.0010684-0.00059749i,-0.00092383-0.00087218i,-0.00023248-0.00042101i,0.0004189+0.0004836i,0.00057712+0.00041933i,0.00052444-0.00012965i,0.00083722-0.00035133i
-0.0022236-0.00014386i,-0.0011257+0.0017059i,-0.00030955+0.0032732i,-3.458e-05+0.0023635i,0.00027091+0.00081117i,0.00079828+0.00040598i,0.00064779+0.00030789i,-0.00071469-4.9377e-05i,-0.0018958+0.00021932i,-0.00096583+0.00014115i,0.00032122-0.00081249i,0.0002623-0.0009234i,1.579e-05-0.00080146i,0.00031349-0.0014707i,0.00045946-0.0013881i,4.0951e-05-0.00022201i,0.00034397+0.00016079i,0.00036442-0.0011007i,0.00014315-0.00099107i,0.00064448-0.00011089i,0.00085515+9.5101e-05i,0.0009553+0.00050454i,0.0010726+0.00063849i
-0.00090959-0.0010258i,-0.00073688-0.00051605i,-0.0024518+0.0023561i,-0.0019836+0.0018002i,0.00042569+0.00025986i,0.0013747+0.00047576i,0.00086132-0.00016405i,0.0001841-0.0007938i,-0.0002441-0.0003852i,-0.00072151+0.00045165i,-0.00016647+0.00021116i,0.00056958-0.00070896i,0.00018467-0.00031171i,-0.00014159+0.0003551i,-0.0002828+2.9275e-05i,-0.00036139+0.000204i,-0.00049688+0.00095773i,-0.00067824+0.00069765i,-0.0006242+0.00075379i,-6.577e-05+0.00083678i,0.00068197-0.00014817i,0.00022943-0.00051052i,-0.0005213-0.00050999i
-0.00019703-0.00028396i,0.00028236+0.00092933i,-0.00016631+0.00043414i,-0.00065865-0.00041054i,-0.00028227-0.00038246i,0.00032917-0.00044475i,0.0010605-0.00017033i,0.0011445+0.00038204i,0.00031843+0.00042844i,-0.00057256+0.00046849i,-0.0010755-2.4599e-06i,-0.00071841-0.000758i,-0.00015233-0.00098933i,0.00031114-0.00060267i,0.00062252-0.00082442i,0.00046297-0.00064053i,0.00018774+9.8001e-05i,-0.00019462+0.00052163i,-0.00036008+0.0013692i,-9.3915e-05+0.0011549i,-0.0001241+0.0007065i,0.0001818+0.001563i,0.00024777+0.0013237i
-0.00064855-0.00072161i,-0.00072264+0.00021164i,-0.00050712+0.00062895i,0.00014422+0.00082447i,0.00071476+0.00087739i,0.0010029+0.00031015i,0.0012132-6.3092e-05i,0.0013269+9.7793e-05i,0.001023-6.6288e-05i,0.00070995-0.00018627i,0.00030892-0.00017389i,-0.00046816-2.2121e-05i,-0.00086391+0.0002686i,-5.5472e-05-0.00015518i,0.00087418-0.00046933i,0.00053519-0.00081989i,-0.00032613-0.00036078i,-0.00090552+0.00035764i,-0.0010034+0.0007104i,-0.00085845+0.0005289i,-6.8394e-05+0.00025095i,0.00030358+0.0011631i,-0.0002866+0.0016645i
0.0022208-0.0010621i,0.0011884-0.0011242i,0.00097245-0.0014178i,0.00029344-0.0015066i,-0.00033295-0.0010778i,-0.00023541-0.00024363i,-0.00028689+0.00021542i,-0.00013123-0.00012157i,-4.0033e-05-0.00072107i,0.00035134-0.00047431i,0.00087694+0.00040444i,0.0001299+0.00070698i,-0.00017901-0.00010625i,0.00028408-0.00033614i,-0.00012486+0.00013192i,-0.00035275+0.00026604i,-0.00011797+0.00017123i,0.0002652+0.00050694i,0.0010031+0.00077898i,0.00078045+0.00091891i,0.00029647+0.00099509i,0.00010073+0.00077801i,-0.00071713+1.5177e-05i
-0.00045317+5.9091e-05i,-0.0011237-0.00025732i,-0.0013408+0.00031745i,5.4134e-05+0.00086167i,0.0012284+0.00076782i,0.0010981+0.0004806i,0.00071804+0.00030021i,5.4534e-05+0.00016506i,-0.00054584-8.7756e-05i,-7.2846e-05-0.00045666i,0.00053537-0.00048962i,4.081e-05+0.00013458i,-0.00037585+0.00013691i,-0.00083892-0.00048005i,-0.00094473-8.6881e-05i,-0.00019464+0.00076453i,-0.0003024+0.00057465i,-8.6384e-07+7.5188e-05i,0.00052331-0.00018536i,0.00087848-0.00040559i,0.0010033+3.8343e-05i,0.001157+0.00058104i,0.00069727+0.00014651i
-0.0001983-0.00050655i,-9.1831e-05+0.00045433i,0.00033236+0.00086831i,0.00046729-0.00019473i,0.00015908-0.0011069i,-0.00010013-0.00074959i,-0.00013292-7.0961e-05i,0.00045524-0.00012307i,0.00073644-0.00041998i,0.0011251-0.00076157i,0.0010284-0.0013866i,0.00056777-0.0014272i,0.00040169-0.00072403i,0.00048011-0.00057176i,0.00082006-0.00097995i,0.00075936-0.00051964i,0.00053384-0.00027887i,0.00022803-0.00041758i,-0.00019357+1.0709e-05i,-0.00020448+0.00040157i,-0.00016171+0.000716i,0.00032116+0.00099953i,0.00073723+0.0013623i
-0.00053299-0.00077521i,-0.0010749-0.00080153i,-0.0014856+7.9342e-05i,-0.0016542+0.00069103i,-0.00091558+0.00063585i,0.00012449+0.00058008i,0.0011053+0.0010243i,0.001178+0.0010855i,-5.0863e-05+0.00016582i,-0.00079001-0.00090711i,-0.00036382-0.0004626i,0.00011711+0.00024735i,9.3477e-06+1.8879e-05i,0.000204-0.00087468i,0.0006302-0.0011058i,0.00038075-0.00096871i,-1.6773e-06+0.00016448i,-0.00029174+0.00095046i,-0.00030788+0.00069403i,-0.00022078+0.00048365i,-0.0001831+0.00024977i,-0.00018909+0.00024725i,3.1092e-05+0.0001199i
-0.0021064+2.5781e-05i,-0.0012944+0.001238i,-0.0016444+0.0024052i,-0.00081966+0.0026343i,0.00052832+0.0027332i,0.0012906+0.0006532i,0.00058508-0.0011684i,-0.00080134-0.00044259i,-0.00175+0.00017637i,-0.00089245-0.00036873i,0.00050444-0.00024088i,0.00047664+0.00010242i,-4.9767e-05+9.6792e-05i,-0.00034237+0.00024526i,-0.00077528-0.00021456i,-0.0010354-0.00079077i,-0.00040959-0.00052865i,0.00055469+0.00015856i,0.00032545+0.00076067i,-0.00023399+0.0015297i,-3.386e-06+0.0016511i,0.00085153+0.00031972i,0.0013721-0.00060271i
-0.00078105+0.00011589i,0.0007999-0.00047651i,0.0011095-0.00078751i,0.0008561-0.00015811i,0.00099198-0.00047932i,-0.00061+4.1815e-05i,-0.0015664+0.00091535i,-0.00046401+0.00082951i,0.00019623+0.00052193i,0.00037906+0.00088154i,3.1052e-05+0.00084562i,-0.00090972+0.00037779i,-0.00080208+0.00035838i,-0.00087443+8.7e-05i,-0.00077505-0.00040444i,3.8345e-05-0.00063848i,-5.5776e-05-0.00010383i,-0.00014588+0.00045391i,0.0001977+0.0007262i,0.00031887+0.00060235i,0.000409-0.00014183i,0.00037465-0.00046731i,0.00018266-1.314e-06i
-0.00097603-0.0016282i,-0.0016347-0.00039985i,-0.0021701+0.00023444i,-0.0023948-0.00048383i,-0.0016765+6.9674e-05i,-0.00059126+0.0008611i,0.00014861+0.00043836i,0.0014833-0.00012177i,0.0014955-0.00029916i,0.0010947-7.6804e-05i,0.0013611+0.00012426i,0.00073429-0.00051906i,0.00025306-0.00047305i,0.00026077-8.4119e-05i,8.5835e-05+0.00050194i,-2.9929e-05+0.0012408i,-0.00061902+0.0015105i,-0.00090466+0.000879i,4.2891e-05+0.00047002i,0.00098506+0.00053939i,0.00031278+0.00073006i,-0.00082032+0.00096192i,-0.00054867+0.00053997i
-0.00022323-0.0016027i,0.00052961-0.002181i,0.00031271-0.0010497i,3.6191e-05+0.00076356i,0.0010964+0.00046869i,0.0015995+0.00010104i,0.00081433-0.0001063i,0.00025254-0.0013063i,0.00066878-0.0023977i,0.0010238-0.0016372i,0.0011157-0.00024417i,0.00070662+0.0003491i,-0.00051999+0.00030735i,-0.0005498-0.00016508i,7.3911e-05+0.0001089i,0.00049202-0.00014594i,0.00033714+0.00040531i,0.00030777+0.00076412i,0.00093121+0.00059629i,0.0012135+0.00027774i,0.00033237+9.8255e-05i,-0.00045666+0.00050752i,-0.00055138+0.00035377i
0.00084365+0.00099708i,0.0012169+0.00021801i,0.0016771-0.00018804i,0.0018924-0.00010914i,0.0023236-0.00082353i,0.0015955-0.0014375i,-0.00038136-0.00086402i,-0.00061547-0.00063679i,0.00024417-0.00075516i,0.0009698-0.0006773i,0.0011936-0.00030116i,7.3858e-05-0.00052752i,-0.00070539-0.00046303i,-0.00045191-0.00025407i,0.00055457-0.00096158i,0.00048628-0.0014823i,-0.0001203-0.001287i,5.9644e-05+0.00020904i,-0.00022209+0.0010388i,-0.00083484+0.0003958i,-0.00026481-0.00011124i,0.00065266+0.00030108i,0.0011404+0.00072444i
-0.00090922+0.00012678i,-0.00070411+0.0022375i,-0.0016291+0.0029615i,-0.0006902+0.0018935i,0.00094803+0.00093196i,0.0012951+0.00022438i,0.00075374-9.2604e-05i,-0.00022182+0.0002561i,-0.0011335+0.00030878i,-0.00058878+2.3953e-07i,-0.00070563-0.00023839i,-0.00096005-0.00030442i,-0.00035887-0.00027125i,-0.00015488-0.00075069i,-0.00045359-0.0010594i,-0.0014133-0.00084877i,-0.00073313-0.0013086i,0.0010266-0.00057487i,0.00072008+0.0005813i,0.00044414+0.00063434i,0.00052251+0.00064057i,0.00045259+7.2953e-05i,0.00024515-0.00036599i
0.00065151+0.00093669i,-9.1474e-05+0.00057945i,0.00023296-0.00071201i,0.0010078-0.00098369i,0.00022704-0.0007289i,-0.00079434-0.00082339i,-0.00066714-0.00036901i,0.00022197-1.2565e-06i,0.00043675+0.00012097i,1.3845e-05-0.00012004i,2.6926e-05+0.00023536i,-0.0007228+0.00026184i,-0.00123-0.00035528i,-0.00090311-0.00046052i,-0.00055038-0.0002259i,0.00044959+0.00053615i,0.00053126+0.00079112i,-0.00025168-0.0002293i,-0.00018025-0.00088356i,-0.00037109-0.00055523i,-0.0012541-5.7269e-05i,-0.0011088+0.00063733i,-0.00012329+0.0014433i
0.00038185+0.00087155i,0.0006469-5.1059e-05i,0.0013317-0.00049697i,0.0025749-0.00076973i,0.0021474-0.00072406i,0.00010233-0.0014011i,-0.00041047-0.0022771i,0.00047718-0.0013961i,0.0013676+3.458e-06i,0.0017381+0.0001388i,0.0015674+0.00063798i,0.00062558+0.00048161i,0.00014845-0.0002218i,0.00049744-9.4704e-05i,0.00044587+0.0002511i,-0.00018392+0.00060885i,-0.00083576+0.00080921i,-0.001138+0.00059068i,-0.00035152+0.00019073i,7.6746e-05+0.00064179i,-0.00033651+0.00065784i,-0.0004051-0.00033105i,-0.0003633-0.0001115i
0.0011022+0.002715i,0.0016537+0.00095505i,0.002505-0.00056471i,0.0020283-0.0018831i,0.0013509-0.0024424i,0.00022593-0.0015286i,-0.00065993-0.00040635i,-0.00026002+0.00038316i,0.00096879+0.00037033i,0.0011147-0.00057869i,0.0012406-0.00068375i,0.0011993+0.00027843i,-8.7571e-05+0.0011294i,-0.00067001+0.0011568i,8.6424e-05+0.0014002i,0.00056799+0.0014373i,0.00084956+0.00116i,0.00078116+0.0012226i,0.0001333+0.00051437i,-0.00013615-0.00029951i,-5.2953e-06-8.4475e-05i,0.00044722+0.00010795i,0.00090684-0.00017209i
-0.00070125+0.0015798i,-5.4795e-05+0.001745i,0.00035302+0.0020234i,0.00085603+0.0011823i,0.00081239+0.00016282i,-3.7509e-06-0.00070183i,-0.00041005-0.00090803i,-0.00047096-0.00081787i,-0.0001747-0.00044068i,0.00066373-0.00022642i,0.00085535-0.00088178i,0.00041017-0.0015711i,0.00059088-0.0009961i,0.00099709-0.00049697i,0.00090474-0.00029072i,0.00076853+0.00035595i,0.00084117+0.00022023i,0.00078802-0.00010424i,0.0011135+0.00049577i,0.0010562+0.00056447i,0.00063014-0.00010984i,0.00074621-0.00019478i,0.00074154-0.00033798i
0.0025879-0.001403i,0.0018196-0.0025697i,0.00050466-0.0038785i,0.00019343-0.0041303i,-0.00031221-0.0025695i,-0.0017633-0.0010236i,-0.0015621-0.00099548i,-0.00016526-0.0011033i,0.00040724-0.0009494i,0.00017618-0.0010898i,-0.00030522-0.00084454i,-0.00094098-0.00053604i,-0.0010708-0.00015888i,-0.00012226-9.9087e-05i,2.887e-05-0.00096965i,-0.00094802-0.0019099i,-0.00059988-0.0015034i,-7.1835e-06-0.00038949i,0.00015525+0.00037912i,0.00054799+0.00047126i,0.00058231+0.000136i,0.00037817+0.00012017i,0.00072268+0.0001315i
-0.0011308-0.0010186i,-0.0010426-9.7338e-05i,-0.001075-0.00022338i,-0.00012766+0.00013211i,0.00074452+0.00060977i,0.00033634+0.00031144i,0.00026679-0.00027935i,0.00054662-0.001292i,-0.00015658-0.0010911i,-0.00056306-7.8514e-05i,-0.00038094+0.00054477i,-0.00030109+0.00097862i,7.4361e-05+0.00042739i,-0.00022767+0.00010111i,-0.00079372-0.00060171i,-0.00076913-0.0011089i,-0.00058459-0.00054504i,8.1107e-05+5.6518e-05i,0.00059186+0.00068504i,0.00075172+0.00041529i,0.00069912-0.00063137i,0.00071118-0.00091576i,0.00071083-0.00043781i
-0.00062866-0.0003685i,-0.00029838-8.3711e-05i,-0.0015857+0.0012777i,-0.0017142+0.0017651i,-0.00052761+8.5658e-05i,0.00019691-0.00018855i,0.00040849+0.00021588i,0.00020411-0.00039311i,2.5197e-05+8.908e-06i,-0.00020989+0.0010969i,0.00025855+0.0016003i,0.00037974+0.00065412i,-0.000234-0.00043816i,-0.00027555+2.1781e-05i,-0.00040624+0.00050167i,-0.00051356-6.8662e-05i,-0.00048527-0.00031178i,-0.00083826-0.00047608i,-0.0005325-0.00014315i,0.00028125-4.6918e-05i,0.00026802-0.00072839i,9.8579e-05-0.000494i,0.00046629+0.00014487i
-0.00041837-0.00042134i,-0.00094622-0.00035953i,-0.0011234+0.00016273i,0.00030678+0.00098977i,0.001515+0.00089634i,0.0019475-0.00030414i,0.001384-0.00043308i,0.00076631-0.00059575i,0.00051626-0.00014994i,-0.00017876+0.0002672i,-0.00019139-0.00016453i,-0.00036561-4.3742e-05i,-0.00067719+7.8114e-05i,0.0001936+0.00038669i,0.00010785+0.00030421i,-0.00023515+0.00036519i,0.00045208+0.00055797i,0.00088667-1.6462e-05i,0.0010211+2.8092e-05i,0.00028105+0.00094376i,-0.00052478+0.0010387i,-0.00022504+0.00048093i,-0.00017635+0.00054804i
0.0001422-0.00050022i,0.00091437+5.6837e-05i,0.00072529+0.00067118i,0.00081871+0.00069873i,0.00070332+0.00068643i,0.00057252+0.00036383i,0.00047117+0.00041128i,5.7239e-05+0.00025049i,0.00063547-0.00052356i,0.0011547-0.00050873i,0.00052666+0.00040004i,0.00095339+0.0011322i,0.0013391+0.00082001i,0.00090882+0.00015999i,0.0009192+0.00034555i,0.0005968+0.00021365i,0.00032886-0.00013397i,0.00017359+0.00033836i,0.00017237+0.00060841i,0.00011526+0.00036106i,-8.4949e-05+0.00015875i,-0.00056817+0.00016493i,-0.00047061+0.0003898i
-0.00086845-0.00053469i,0.00014457-0.00052887i,0.00043867-0.00012243i,0.00089401+1.6777e-05i,0.00139-0.00085571i,0.0014004-0.0007851i,0.00082228+1.0746e-06i,-9.4895e-05+0.00036251i,-0.00051703+0.00041303i,-0.00012151+0.00016095i,0.0002257+9.5955e-05i,-0.00012393-1.8674e-05i,-0.00035259-0.0003636i,-0.00013438-0.00031621i,0.00046672-0.00057575i,0.00076999-0.0010647i,0.00053982-0.00050434i,0.00047216+0.00020032i,0.00057433+0.00014928i,0.0004563+1.1852e-06i,0.00060987+0.00069332i,0.00073232+0.0010794i,9.3867e-05+0.00054553i
-8.964e-05+0.00021372i,-0.00010531+0.0010293i,-0.00027063+0.0021213i,-0.00020929+0.0016555i,-0.00011739+0.00053492i,0.00016237-0.00077872i,0.00072436-0.0011188i,0.00059035-0.00037246i,-0.00025931-4.6619e-05i,-7.737e-05-0.00023135i,2.9276e-05-0.00029185i,-0.00050206-0.00060162i,-0.00051366-0.0010924i,-0.00061097-0.0010801i,-0.00075606-0.0012599i,-0.00045014-0.00078394i,-0.00027412-0.00014598i,-0.0005155+0.00045367i,-0.00031597+0.00062079i,0.000149+0.00050718i,0.00024036+0.00046555i,0.00027263-9.8427e-05i,0.00012757-0.00030352i
0.00026117+0.0021652i,0.0009909+0.00059494i,0.001594-0.00048541i,0.0023201-0.00082446i,0.0020043-0.00058862i,0.0010806-0.0004487i,0.00060128-0.00036858i,-0.0001084+3.7256e-05i,-0.00018656+0.00043305i,0.0012541+0.00055768i,0.0010669+6.2082e-05i,-0.00010593-0.00035138i,-0.0005448-3.4615e-05i,-0.00085931-3.7696e-05i,-0.00088935-0.00014514i,-0.00095476+8.5622e-05i,-0.0010336+0.00031592i,-0.00039335+0.00078951i,0.00018382+0.0014281i,0.00013967+0.0006687i,0.00028929+0.00038854i,0.00052591+0.00026445i,0.00049081-0.00039604i
-0.00044103-0.00034733i,0.00097054+0.00013462i,0.001585+0.001527i,0.0013943+0.0011388i,0.0020787-0.00044647i,0.001585-0.0011577i,0.00029499-0.0012858i,0.00017476-0.00067564i,2.3304e-05+6.9077e-05i,-6.7674e-05+0.00048304i,-0.00031705+0.00045694i,-0.0012335+0.00030877i,-0.00094756+0.00027433i,0.00018958-0.00046751i,0.00069879-0.00091772i,0.00059489-0.00044054i,-7.932e-06+0.00038865i,-0.00059586+0.00014983i,-0.00085322-0.00027485i,-0.0011206+9.6404e-05i,-0.0013507+0.00057292i,-0.00076965+0.000697i,-0.00015497+5.737e-05i
-0.00017486-0.0032262i,-0.001341-0.0027264i,-0.0024339-0.0027431i,-0.0026324-0.0019978i,-0.0019668-0.0002292i,-0.00081145+0.00074766i,0.00021674+0.00024863i,0.0002848-0.00035717i,-0.00011309-0.00056113i,-0.00025681-0.00021877i,-0.00019206+0.00047339i,0.00039842+0.0006955i,0.001277+0.00030804i,0.0018885-0.00016227i,0.0020204-0.00027808i,0.0014774-0.00058969i,0.00050103+0.00029835i,0.00052989+0.00056693i,0.001229-0.00045719i,0.0017322-0.00021187i,0.0011109+0.0004669i,-7.0696e-06+0.00074491i,-0.00043292+0.00066456i
0.0019919+0.00056537i,0.0016967+0.00020521i,0.0010753-0.00072227i,0.00092128-0.0016402i,3.1341e-05-0.0018513i,-0.0009285-0.00092414i,-6.5346e-05-0.00015509i,0.0011633-0.00027191i,0.0015796-0.000437i,0.0019827-0.00059709i,0.0016522-0.00069133i,0.0011657-0.00095816i,0.00087153-0.0011839i,0.0004328-0.00067676i,0.00033301-0.00042326i,-4.533e-05-0.00097534i,0.00019553-0.00068706i,0.00098264-0.00070342i,0.00056472-0.00043714i,0.00017177+0.0003i,0.00041395+0.00034839i,0.00012606-0.00038952i,-1.3535e-06-0.00039287i
-0.0015432-0.0010859i,-0.0013169-4.0212e-05i,-0.0014486+0.0015997i,-0.0020494+0.0028074i,-0.0021866+0.0023617i,-0.0014936+0.00081935i,-0.00044694+0.00014886i,0.00012529+0.00029417i,-3.1648e-05+0.00062447i,-0.00047828-0.00048896i,-0.00090022-0.0014047i,-0.00050054-0.0012284i,-0.00076307-0.00042258i,-0.0014591-4.6164e-05i,-0.0011521-0.00049094i,-0.00033265-0.00079723i,0.00029571-0.00098778i,0.00049466-0.00045839i,0.00048128+0.00019308i,7.1141e-06+0.00033412i,-0.0002984-9.3181e-05i,-0.00011618-0.00037118i,8.4666e-05-0.00017657i
-0.00018648-7.8153e-05i,-0.00064673-0.00079919i,-0.0010561-0.00099645i,-0.0001057-0.0012376i,0.0011169-0.00018754i,0.0008393+0.00063101i,0.00027111+0.001143i,-0.0001257+0.0009595i,-0.0011697-0.00040374i,-0.0015005-0.0005328i,-0.0013857+7.2799e-05i,-0.0018128+0.00085727i,-0.0017656+0.00058569i,-0.0012316+0.0005917i,-0.0012266+0.00080151i,-0.0010488+0.00066941i,-0.00067473+0.00046532i,-0.00030361+0.00049712i,-0.00032902+0.0014265i,-0.00031617+0.0012584i,-9.7838e-05+0.00097571i,5.7784e-05+0.0012406i,2.4022e-06+0.0012584i
-0.0021432+1.2286e-05i,-0.0013093+0.00090862i,0.00033364+0.0015329i,0.0015925+0.0013298i,0.0012569+0.00069147i,0.0003122+0.00024624i,-0.00034864-0.0006108i,4.1204e-05-0.00091378i,-0.00013172+0.00036385i,-0.00043012+0.0011194i,8.6813e-05+0.0009092i,-0.00015534+0.00049834i,1.723e-05+0.00060299i,0.00076449+0.00060963i,0.0011413+0.00054539i,0.0014485+0.00060743i,0.00078438+0.0004991i,-0.00029583+0.00075847i,-9.63e-05+0.00089965i,0.00027124+0.00014744i,0.00047571-0.00046275i,0.00056057-0.00030487i,0.00081831+0.00027541i
1.9723e-05+0.00095811i,0.00060042+0.00091181i,0.0014502+0.00068881i,0.0017489+0.0003188i,0.001195-0.00042627i,0.0012259-0.00041604i,0.00071968-0.00017521i,0.00041311-2.3899e-05i,0.00074443+0.00052455i,0.00039833+0.0012955i,5.3664e-05+0.0011647i,0.00049814+0.00024145i,0.001404-0.00021508i,0.0019933-0.00027312i,0.0013187-0.00068091i,0.00054579-0.0010759i,0.00083266+0.00028201i,0.00086456+0.001209i,0.00081457+0.0003963i,0.0013923+0.00037624i,0.0020147+0.00051547i,0.00092198+0.00010078i,-0.000396-0.00060087i
0.00088113-1.4871e-05i,0.0011419+0.00014049i,0.0021411-0.0010215i,0.0022109-0.0015087i,0.001251-0.0014885i,0.00013401-0.0014096i,-0.00058031-0.00061341i,-0.00081304+0.00034768i,-2.5883e-05+0.00068739i,0.0012445-0.0001314i,0.001393-0.00082891i,0.0011007-0.0011338i,0.000765-0.00066662i,0.00025751-0.00045654i,0.00031125-0.001468i,6.3842e-05-0.0014941i,0.00030984-0.00014646i,0.00075315+0.00049491i,0.00031011+0.00023109i,0.00018183+0.0003982i,-0.00021412+0.00027781i,-0.00047229-0.00015285i,-5.7342e-05-0.00032885i
-0.00044469-3.783e-05i,-0.0002965-0.00092455i,-1.9033e-05-0.0014233i,-0.00037585-0.0018124i,-0.00034797-0.0022512i,-0.00070503-0.0015163i,-0.00044185-0.00089374i,0.00046475-0.00044703i,0.00094753+0.00013182i,0.00046918-0.00026885i,-0.00012182-0.0011669i,0.00025045-0.0016491i,0.00029042-0.0013092i,-0.00035653-0.00077834i,-0.00086192-0.00052895i,-0.0012177-0.00026184i,-0.00021189-0.000185i,0.0010186-0.00031048i,0.00075976-0.00041716i,-7.9971e-05+0.0002802i,-0.00043146+0.00094329i,-0.00017356+0.00056753i,9.8569e-05+7.702e-06i
0.00030584+9.5926e-05i,0.0001644-0.00047692i,0.00092254-0.00082035i,0.0013351-0.0013001i,0.00085605-0.00089143i,0.00021768-0.00015269i,0.000453+8.057e-06i,0.0011527+0.00052329i,0.00076252+0.00073415i,0.00022699+0.00061709i,-0.00040878+0.0003569i,-0.0011142+0.00011216i,-0.0015829+0.00018582i,-0.0013132+0.0010744i,-0.0010787+0.0017963i,-0.0017893+0.0011497i,-0.0019913+0.00028162i,-0.0016998+0.00035909i,-0.001062+0.00042731i,-0.00044959+0.00057285i,-0.00087514+0.00024195i,-0.00066258+0.00026056i,-8.7467e-05+0.00073786i
-0.0013317-0.00055368i,-0.0012238+0.00017612i,-0.0015915+0.00039884i,-0.00088677+0.0012304i,-0.00016103+0.0019575i,-8.1419e-05+0.00038003i,0.00037498-0.0012349i,0.00026964-0.0010195i,-5.2179e-05-0.00028983i,-0.00010083+1.7174e-06i,5.7321e-05+0.00030132i,-0.0004272+0.00059086i,-0.00022661+0.0003959i,0.00097163-0.00024561i,0.0012521-0.0002601i,0.00093217-0.0003481i,-1.3456e-05-0.00012151i,-0.00052141+8.4472e-05i,0.00016021+0.00074401i,0.00075527+0.0021868i,0.00013485+0.0018789i,-0.0010108+0.00068756i,-0.00030102+0.00057147i
0.00057132+0.0010843i,0.00059029+0.0008409i,0.0013435+0.0016866i,0.0010776+0.0017691i,0.0010273+0.00041285i,0.0017375-0.00030366i,0.00092059+0.00028522i,-2.6354e-06+0.00023016i,0.00013726+0.00013456i,0.00033222+0.00029515i,0.0012738+5.0338e-05i,0.0018235+1.5392e-05i,0.0010751+0.00028109i,0.00097895-0.00024363i,0.001505-0.001409i,0.0014725-0.001181i,0.00091732+0.00036889i,0.00067699+0.0014527i,0.00071582+0.0015632i,0.00094959+0.00049021i,0.00077013+9.4308e-06i,-6.2911e-05-8.4674e-05i,-0.00033756-0.00025168i
-0.00095641+4.4348e-05i,-2.5366e-05+0.00036777i,0.00072035+0.001154i,0.00091006+7.9523e-05i,0.0008302-0.0015402i,0.00035178-0.0016299i,4.9926e-05-0.00091984i,-0.00037545-0.00019444i,-0.00085642+0.00019221i,-0.001024+0.00056448i,-0.00078548+0.00067702i,-0.00038297+0.0006811i,0.00024299+0.00037707i,0.00060409+8.1747e-05i,0.00010038+6.1989e-05i,-0.00023397-0.00073432i,-3.4952e-05-0.00062516i,0.00067475+0.00015964i,0.0007702-0.00017956i,0.00028163-0.00029334i,-0.00018435-0.00027816i,-0.00038973-0.00025396i,8.3186e-05+1.5443e-06i
-0.0010105-0.0013931i,-0.0016238-0.00080426i,-0.0011184-0.00036311i,-0.00066823-0.0011666i,-0.0012897-0.001518i,-0.00089417-0.0007823i,-0.00022973-0.00011171i,-0.00018459+0.00041305i,-3.009e-05+0.00045879i,0.0011692-0.00025434i,0.001356-0.0010615i,0.00098562-0.0015513i,0.00092212-0.0014215i,0.00042458-0.0012134i,-0.00026192-0.00092786i,-0.00086835-0.00033911i,-0.00091537+0.00014978i,-0.00083278-0.00014661i,-0.00062244-0.00057168i,-0.00049543-0.00068371i,-0.00010947-0.00013712i,0.00023174+9.28e-05i,-0.00051108-8.8771e-05i
-0.0012211+0.00073263i,-0.00066332+0.0011689i,0.0013465+0.001365i,0.0020091+0.0011932i,0.0021009-1.0009e-05i,0.0012706-0.0012466i,0.00034067-0.0012543i,0.00050846-0.00073225i,0.0013198-0.0005731i,0.0017913-0.00084203i,0.0008539-0.00051174i,-0.00043723-0.00030761i,-0.00093961-0.00029563i,-0.00080467+0.00016288i,-0.0004227+0.00012049i,-0.00033121-0.00050889i,-0.00048686-0.00073523i,-0.00083236-0.00022078i,-0.0013284+0.00042706i,-0.0011513+0.00045887i,-0.00080451+0.00096821i,-0.00029599+0.0012057i,0.00065902+0.00070003i
-0.00030505+0.00038255i,-1.8198e-05+0.00097008i,4.7095e-05+0.0024007i,0.00060388+0.0022003i,0.00045345+0.0016857i,0.00031394+0.0011257i,0.00010003-9.4587e-05i,-0.00015721-0.00037777i,-0.00023651+0.00035397i,-0.00057514-5.5386e-06i,-0.00014232-0.00059051i,0.00091345-0.00042132i,0.00090695-8.8956e-05i,-4.933e-05+0.00051227i,-0.00049849+0.00057603i,0.00024703+0.00033633i,0.001286+0.00051466i,0.00089387+0.0011315i,-1.9241e-05+0.0011031i,-0.00012722+0.00075061i,0.00024899+0.00075701i,0.00087215+0.00077172i,0.0012331-1.271e-07i
0.00059073+0.00097063i,-0.00021421+0.00036686i,0.00040653+0.00055519i,0.0018685-0.00011278i,0.002373-0.00027849i,0.0015696+0.00046794i,0.00088361+0.00049733i,9.6537e-06+4.1187e-05i,-0.00098804-0.00019566i,-0.00072354+0.0001592i,2.8622e-05+0.00056836i,0.00067075+0.00040159i,0.00051761-0.00050816i,0.00031497-0.00079863i,0.000817+0.00021254i,0.0011416+0.00038292i,0.00099439+0.00035593i,0.00084959+0.00066644i,0.0014107+0.00076572i,0.0012915+0.00075518i,0.00030659+0.00070375i,0.00016401+0.00058522i,0.00024518+0.00065456i
