0.0013488+4.486e-05i,0.0011784-0.0010555i,0.00031864-0.0018033i,-0.00042708-0.0017803i,-0.0012865-0.00027101i,-0.0024813+0.0013388i,-0.002438+0.0019491i,-0.00035697+0.0019273i,0.001641+0.0011769i,0.0012798-0.00010692i,0.00030846-0.00099559i,-0.00065377-0.0012824i,-0.0015405-0.0010806i,-0.0010975-1.0305e-05i,-0.00074757+0.0005849i,-0.0014194+0.00037501i,-0.0019204-7.6806e-05i,-0.0014668-1.617e-05i,-0.00043147+0.00020869i,-0.00017668-0.00014323i,-0.00085302-0.00062709i,-0.00088028-0.00082993i,-0.00045445-0.00084057i
-0.00085452+0.0031989i,0.00029917+0.0038869i,0.00072871+0.0044888i,0.00078639+0.0039351i,0.00089406+0.0017601i,0.0010746-0.00050123i,0.00041973-0.00097874i,-0.0011466-0.00032074i,-0.00057067+0.00050153i,0.001049+0.00074511i,0.0013284+2.0759e-05i,0.0011494-0.00065487i,0.0011764-0.00095817i,0.00043909-0.0015174i,-0.0002539-0.0016918i,7.0946e-05-0.00080334i,-4.0403e-05-0.00032644i,-0.00031494-0.00014407i,-0.00072643+0.00011568i,-0.00026512-0.00010359i,0.00045304-0.00016983i,0.00060863-4.5279e-06i,0.0010467-0.00043899i
0.00092381+0.0010667i,0.00070107+0.00065197i,0.0017608+0.000803i,0.001477+0.00037146i,0.0011495-0.00093055i,0.0010132-0.0017299i,0.00062386-0.0009373i,0.00020021+0.00036529i,0.00014596+0.00036308i,0.00024617+0.00081416i,1.0297e-05+0.00089968i,-0.00011395-0.00037917i,9.8642e-05-0.00096173i,-0.00043692-0.0011794i,-0.0012361-0.0017029i,-0.0013927-0.0017411i,-0.0012318-0.0010103i,-0.00075127-8.4424e-05i,0.00033533+0.0003617i,0.00069784+4.6402e-05i,6.6688e-05+0.00016561i,3.4431e-05+0.00021737i,-0.0001158-0.00026634i
0.0015604-0.0013553i,0.0010051-0.0012894i,0.00097974-0.00071023i,0.0008197-9.4694e-05i,-9.3509e-05-3.2512e-05i,-0.00076779-0.00041225i,-0.00089118-0.00051553i,-0.00091778-7.7325e-05i,-0.001562+2.1673e-05i,-0.001912-0.0003488i,-0.0014853-0.00020397i,-0.00070609-0.00066103i,0.00031619-0.00033352i,0.0011215+0.00017782i,0.00072272-0.00046012i,-0.00058114-7.1311e-05i,-0.0007443+0.00099064i,0.00017269+0.00055597i,0.00046383-0.00081843i,0.00035082-0.00059092i,0.00026378-0.00035604i,-0.00022113-0.00076978i,-0.00071851-0.00049978i
-0.0026296-0.00041616i,-0.0026581+0.00099205i,-0.0035725+0.0034255i,-0.001633+0.0046616i,0.00050099+0.0038909i,0.00087422+0.0022173i,0.00076508+0.0009645i,0.00033125+0.00053559i,0.00029054+0.00057696i,0.00053136+0.00058897i,0.00073941+0.001069i,0.001043+0.0011506i,0.0018908+0.00032116i,0.0013668-0.0002214i,0.00017703-0.0005239i,-0.00016238-0.0013472i,-0.00061522-0.0012847i,-0.0007987-0.0010226i,-0.00049129-0.0012877i,2.6948e-05-0.00074108i,-0.00014105-0.00033109i,-0.000534-8.3383e-05i,-0.00034213+0.00025525i
0.0004328-0.0010554i,-6.5471e-05-0.00035979i,-0.00095619+0.00047397i,-0.0017297+0.0016468i,-0.0019245+0.0021866i,-0.00073702+0.0018323i,5.099e-05+0.0012716i,-0.000219+0.00043992i,-0.00036625+0.00012339i,-0.00048826+0.0016664i,0.00033324+0.0016814i,0.00086386+0.00028608i,0.00062097+0.00068138i,0.00063781+0.00072669i,0.00062258-0.00015471i,0.00031666+8.077e-06i,5.9473e-05-0.00062712i,-5.2963e-05-0.0013082i,3.9147e-05-0.00083566i,0.00021088-0.00021862i,0.0001716+0.00017763i,0.0010192+0.0002255i,0.0011602-0.00012503i
0.0012325+0.00045928i,0.00099389+0.00056613i,0.0012143+0.00056611i,0.0016627+0.00025934i,0.0018312+0.0004754i,0.0017897+1.3324e-06i,0.00085367-0.00079761i,-0.00019878-0.00074957i,0.00017793-0.00025042i,0.00071725+4.4256e-05i,0.00041545-0.00078363i,-0.00059231-0.0014053i,-0.00068413-0.00057187i,-2.8676e-05+0.00047318i,0.00011634+0.00039678i,-0.00065777+0.00030177i,-0.00017362+0.00036601i,0.00034222+0.00064495i,-0.00074385+0.00057693i,-0.0015336-0.00047484i,-0.001583-0.0010034i,-0.00053797-0.00071184i,0.00047014-0.00037432i
-0.00023563-0.0020531i,-0.00010275-0.0019903i,-0.00052306-0.0013946i,-0.00066956-0.00027863i,5.6504e-05+0.00043656i,-0.00020963+9.1735e-05i,-0.00062718+0.00073634i,-0.00086364+0.0012803i,-0.0006473+0.0010487i,-0.0010176+0.0011014i,-0.0014944+0.0012127i,-0.00094693+0.001046i,-0.00012222+0.00051227i,0.00057521+0.00054283i,0.00055765+0.00072613i,0.0003717+0.00048765i,5.7007e-05+0.00047255i,-0.00059129+0.00050568i,-0.00034758-0.00018954i,0.00048821-0.00081067i,0.0006456-0.0005244i,0.0002638+0.00052161i,1.7393e-05+0.00040567i
0.00021847+0.0014899i,0.00052456+0.00078781i,0.00079023+0.0011351i,0.00079504+0.001014i,0.00074675+0.00025342i,0.00051694-0.00047213i,-0.00014099-0.0010348i,-0.00015219-0.0001903i,0.00039933+0.0011565i,0.00067292+0.0013605i,0.00037585+0.00092632i,0.00013675+0.00035512i,0.00013693+0.00016713i,-0.00029031-0.00030705i,-1.2098e-05-0.00081544i,9.2726e-05+0.00018605i,-0.00078585+0.00043452i,-0.00095727-3.7707e-05i,-0.0007396+0.00017934i,-0.00075638+0.00026568i,-0.0006837+0.00029677i,-0.00076101+0.00018763i,-0.00096314-0.00010971i
-0.0013305+0.00025596i,-0.0014517+0.0013512i,-0.0012895+0.0028945i,-0.00086575+0.0028931i,-0.00045341+0.0019339i,-0.00011341+0.0009361i,8.7299e-05-6.8327e-05i,-0.00055855-0.0002022i,-0.00051284+0.00038299i,0.00058804+0.0010559i,0.00095617+0.0004943i,0.0005102-0.00069928i,-0.00011592-0.00078907i,-0.0001459-0.00060489i,0.00037507-0.0010203i,0.0001679-0.00058376i,-0.00013582-0.0001629i,-0.00030489-0.00050297i,-0.00098352-0.00047079i,-0.00063037+0.00016537i,-1.674e-06+0.00072968i,0.00037959+0.00020921i,0.00046216+0.00049345i
-0.0007579+0.00059634i,-5.7163e-05+0.0014765i,0.00047999+0.002088i,0.00085974+0.0020798i,0.0012874+0.0012661i,0.00091713-9.1644e-05i,5.7643e-05-0.000286i,-0.00012617+0.00013925i,0.00070294+0.0009239i,0.0015199+0.0013789i,0.00151+0.00063923i,0.00023254+0.00046512i,0.00026102+0.00030301i,0.00083909+0.00036287i,-0.0001566-2.0756e-05i,-0.0013301-3.4686e-05i,-0.0017876+2.381e-05i,-0.00058776-0.00028969i,-8.4348e-05+5.614e-06i,-0.00048577+0.00025031i,-0.00093884+0.00046608i,-0.00093908+0.00058172i,-0.00047597+0.00050668i
-0.00031049+0.00078274i,0.0007209+0.0010917i,0.0014884+0.00025759i,0.001682-0.00021113i,0.0014901-0.00051316i,0.00062023-0.0010346i,-0.00028085-0.00038478i,-0.00055743+0.00087599i,-0.0010673+0.00084184i,-0.0016944+0.00047891i,-0.0011136+7.2343e-05i,-0.00077258-0.00060854i,-0.00069823-0.00076414i,-0.00027954-0.00013962i,-0.00036908+0.00020839i,-0.00094119-4.1049e-05i,-0.00081713-0.00035073i,-0.00030564-0.00085789i,8.7194e-05-0.0010369i,-0.00079351-0.0014735i,-0.0013347-0.0014059i,-0.00025392-0.00043687i,-0.00045767-5.7449e-05i
-0.00028854-0.0010634i,-0.00052485-0.0001914i,-0.00052986+0.00016311i,-0.00051507+0.00045886i,-0.00074294+0.00020924i,-0.00056561-0.00015058i,-0.00086418-0.0001322i,-0.001207+0.00047055i,-0.0012284+0.00095096i,-0.00061292+0.0010617i,-0.00027099+0.00057365i,3.3879e-05+0.0005094i,0.0001028+0.00016893i,-0.00051861-0.0003987i,-0.0010332-0.00014811i,-0.00059893+4.3846e-05i,-0.00023072-0.00017207i,-2.6226e-05-0.00039454i,-0.00048282-0.00010101i,-0.00086134+0.00010345i,-0.00020788-4.356e-05i,0.00025804-2.3609e-05i,0.00062682+0.0002137i
-0.001383-0.0019817i,-0.00171-0.00048582i,-0.0023954+0.00050761i,-0.0015679+0.0024403i,-0.0005476+0.0031801i,-0.00041085+0.0019075i,2.7077e-05+0.0011678i,0.0007737+0.00081224i,0.00049055+0.00019238i,-1.1087e-05+1.2073e-05i,0.00030936+0.00083454i,0.001413+0.0008843i,0.0015594+0.00035909i,0.00049994+0.00019819i,-0.00051344-0.00038124i,-0.00068458-0.00030074i,-0.00022751-0.00034587i,9.9525e-05+0.00012984i,-0.00030028+0.00064456i,-0.00051957+0.0003824i,4.333e-05+0.00033883i,0.00026874+0.00018865i,-5.47e-05+6.1649e-05i
0.0019384+0.0013921i,0.0024514+5.2003e-05i,0.0035811+0.00045351i,0.0034171+0.0005327i,0.0022894-0.0012114i,0.00054256-0.0018743i,-0.0001226-0.00081974i,0.00054271+0.0001817i,0.0010267+0.0004451i,0.00068762+0.00026581i,0.00021429-0.00046686i,-0.00039171-0.00033583i,-0.00033998+0.00063052i,-0.00022776+0.00088117i,-0.00030407+7.5694e-05i,-4.9863e-05-0.00055899i,-0.00029448-0.00076348i,-0.00029479-0.00026628i,-0.00012708+0.00091444i,-0.00032401+0.0014226i,-5.8234e-06+0.0011522i,0.00045442+0.00044759i,0.00033945+0.0001374i
0.0002638-0.00015454i,-8.6199e-05-0.00029188i,0.00027171-0.00024313i,0.0006036+0.00043845i,7.8976e-05-8.8601e-05i,-0.00023688-5.0069e-05i,8.7488e-05+0.00019555i,0.00018427+0.00039469i,0.00041069+7.4175e-05i,0.00073461-0.00066008i,0.00059027-0.00039837i,-0.00052863+0.00012291i,-0.00064611-0.00047077i,0.00035165-0.0013096i,0.00020502-0.0011811i,-0.00026159-7.0067e-05i,-7.5298e-05+0.00021158i,-0.0002052+7.6951e-05i,-0.00050218-0.00018418i,-0.00070174-6.0937e-05i,-0.00076697+0.00047177i,9.7217e-06+3.4693e-05i,0.00044489-0.00087835i
0.0015444-0.00023357i,0.0010204-0.00070557i,0.0014136-0.00019101i,0.0011697+0.00046829i,0.00069207-3.8378e-05i,-0.00073732-0.00029051i,-0.0010986+4.9641e-05i,-0.00030354+0.00042063i,-0.00023109+0.00071173i,-0.00049466+0.00051814i,-0.0012993+0.00013717i,-0.0011289+0.00052981i,-7.6411e-05+0.00087673i,0.00017728+0.00090752i,0.00024848+0.00083221i,0.0001662+0.00099325i,-0.00038542+0.0014526i,-0.00065833+0.0011449i,-0.00045291+7.6742e-05i,-0.00061961-0.0013116i,-0.00083145-0.0012109i,-0.00057644-0.00036227i,0.00010426-0.00026041i
-0.00098118+0.0011639i,-0.0013314+0.0013153i,-0.00080014+0.0028533i,0.00010704+0.0025733i,0.0011729+0.00014626i,0.0010373-0.00099022i,0.00038193-0.00021512i,3.5666e-05+0.00040647i,5.1402e-05+0.0010111i,0.00067857+0.0012217i,0.0010577+0.00059213i,0.00099188+0.00019791i,0.00049658+0.0008114i,0.00050384+0.00078142i,3.1607e-05-0.00020752i,-0.0010196-9.5838e-05i,-0.0012342+0.00030587i,-0.00093168-0.00050832i,-0.0005185-0.0010732i,-3.5284e-05-0.00053625i,0.0005285-0.00011738i,0.00049077-8.8946e-05i,0.00025788-0.00050649i
-0.00052421-0.0015724i,-0.00061868-0.00144i,-0.00030854-0.0012161i,-0.00020558-0.00015849i,0.00038477+0.00064874i,4.7192e-05+0.00078162i,-0.00039182-0.00020861i,-7.4921e-05-6.9101e-05i,-0.00035784+0.00072351i,9.1642e-05+0.00060373i,0.00032155+0.00089892i,-0.00043988+0.00077842i,-0.00025901+0.00023557i,0.00049883+0.00028685i,0.00065162+0.0006988i,0.00015808+0.0001205i,-0.00094234-0.00051441i,-0.0014271-0.00033915i,-0.001231+0.00026859i,-0.0008081+0.00071902i,-0.00061+0.001157i,-0.00051937+0.0010338i,-2.7034e-05+0.0007629i
8.0813e-05+3.1898e-05i,0.00099685+0.00027324i,0.0019172+0.0011591i,0.0028286+0.0016509i,0.0026037+0.00032158i,0.0009855-0.0012428i,-0.00025441-0.00071915i,-0.00026978-0.00014286i,3.7507e-05-0.00036437i,8.0494e-05-2.6454e-05i,6.1107e-06-3.8176e-05i,-0.00011419-0.00063419i,0.00030666-0.0005911i,-4.7065e-05+6.667e-05i,-0.00053082-0.00016335i,-0.00065892-0.00054148i,-0.00053222-0.00031432i,4.3134e-05-0.00037809i,0.00015901-0.00015235i,1.8452e-05+0.00012843i,-0.00023936-0.00049414i,0.00015477-0.00073822i,0.00053381-0.00065431i
0.0023604-0.00094535i,0.0017135-0.0010359i,0.00048495+2.0663e-05i,-0.00072236+0.00060513i,-0.00062234-0.00010691i,-0.00030575-0.00064219i,-0.0004911-0.00013937i,-0.00042778+8.9087e-05i,-0.00046882+0.00032633i,-0.00070868+0.00039269i,-0.00086105-5.2795e-05i,-0.00085431+4.8656e-05i,-0.00036269+0.00071276i,-0.00042385+0.00045943i,7.5478e-05-0.00016661i,0.00066673-6.9465e-05i,0.00021932+0.00035018i,0.00022549+6.1122e-06i,0.00027882-0.00078685i,-0.00038107-0.00085564i,-0.00059699-0.00043866i,6.1622e-05-0.00032543i,0.00037875-0.00085188i
-0.0015342+0.0014591i,-0.0011099+0.0012809i,-0.00018251+0.0016841i,0.00061026+0.0022114i,-0.00019465+0.0021203i,-0.0015324+0.0011569i,-0.0019536-0.00013512i,-0.0011542+0.00041694i,-0.00025664+0.0016612i,-0.00035272+0.0011007i,-0.00050535+0.00055509i,-0.00030493+0.00050336i,-0.00010142-3.8903e-05i,-0.00030389-0.00029744i,-0.00068779-0.00039653i,-0.00099314-0.00057481i,-0.0011423-0.00053927i,-0.0014472-0.00076995i,-0.0011781-0.00055511i,-0.00070228+0.00013473i,-0.00034653-0.00030538i,-0.00036788-6.3382e-05i,-0.00024122+0.00047822i
0.00098883+0.00031559i,-0.00019453-0.00035079i,-0.00019233+0.00051309i,-0.00010726+0.00091525i,0.00040356-0.00032018i,0.00031311-0.00077588i,-0.00018313+0.0001711i,-0.00041069+0.00082185i,-0.00060917+0.00097699i,-0.00039604+0.0017764i,0.0002775+0.0017145i,0.00073379+0.00082754i,0.00055394+0.00083032i,1.6607e-05+0.00069373i,-0.00072768+8.8768e-05i,-0.0013399-0.00023522i,-0.0010328+2.0254e-05i,-0.00066844+0.00024385i,-0.00039395+0.00021089i,0.00011032+0.0001188i,0.00029039-0.00054945i,4.5248e-06-0.00037587i,-2.3063e-05+0.0002696i
-0.00059826-0.0020778i,-9.6522e-05-0.001771i,-0.00072884-0.0008917i,5.9412e-05+0.00070983i,0.0010351+0.0010062i,0.0015243+0.00016551i,0.0013172+6.7848e-05i,0.00063007-0.0002252i,0.00036941-0.00079345i,-6.476e-05-0.0003959i,-4.6319e-05+0.00070709i,0.00076794+0.0010722i,0.0010192+0.00072347i,0.0016565+0.00034796i,0.00097333+0.00033572i,-0.00073347-5.2645e-05i,-0.0011085-4.5119e-06i,-9.9957e-05+1.4764e-05i,-0.00013+0.00040894i,-0.0004258+0.00040487i,-5.3436e-05-0.00014408i,-0.00054515+0.00033948i,-0.00045871+0.00032766i
-0.0013048-0.00061826i,-0.0011784+0.00040024i,-0.0020475+0.001364i,-0.0019827+0.0017862i,-0.0013101+0.0011602i,-0.00050883+0.00017766i,-0.00065402+0.00032344i,-0.0007464+0.0012328i,-0.0002507+0.0017245i,-0.00026311+0.00086738i,0.00036268+0.00035926i,0.0009554+0.00034408i,0.00077265-0.00014673i,0.0005229-0.00088054i,-2.4705e-06-0.00099885i,-0.00013696-0.0006019i,0.00021793+0.00011837i,-0.0002795-5.2024e-05i,-0.00092198-0.00043529i,-9.2764e-05-0.00060565i,0.00063168-0.00071512i,0.00086025+8.3337e-05i,0.0014295+0.00023545i
0.00058515+0.0013433i,-3.6934e-05+0.0018034i,0.00057387+0.00099268i,0.00076243+0.00085454i,0.00075034+0.00041782i,0.00046738-0.00032627i,-0.0002599-0.00068273i,4.7474e-05-4.7459e-05i,3.4764e-05+0.0008965i,8.7244e-05+0.0003306i,0.00026452-0.00065001i,-0.00059499-0.0013613i,-0.00031467-0.001383i,-0.00028228-0.00088344i,-0.00099947-0.0003302i,-0.00095644+0.00041953i,-0.00033139+0.00056338i,-0.00051934-0.00044097i,-0.001037-0.0012015i,-0.00065343-0.00091487i,-0.00036329-0.00032681i,-6.0542e-05-0.00026384i,0.00031869+0.00030588i
0.00059157-0.00028933i,0.00030209-0.00023629i,0.00070543+0.00048043i,0.0014099+0.0011576i,0.00094903+0.0008415i,-0.00018583-0.00015273i,-0.00026588-0.00036314i,0.00034236+0.00099897i,0.00043957+0.0019095i,-0.0001324+0.0019389i,-0.00032588+0.00088798i,-0.00025476+0.00030072i,-0.00057444+0.000521i,-0.00022331-0.00037876i,0.00037162-0.001343i,0.0010455-0.0015144i,0.0010366-0.0014423i,0.00042057-0.0010221i,-0.00017896-0.00029673i,-0.00022077-9.078e-05i,-0.00032378-3.994e-05i,-0.00044162+0.000247i,-0.00035734+0.00015037i
-0.00036715-0.0023502i,-8.268e-05-0.00116i,0.00018259-0.00054446i,-1.5828e-05+0.00045018i,-0.00021063+0.00095291i,5.3596e-05+0.0005569i,0.00021566+0.0002668i,-0.00038992+0.00024041i,-0.00097554+0.00018022i,-0.00065083+0.00044076i,0.00020032+0.00092107i,0.00015815+0.00077774i,-0.00011138+0.00038239i,-0.00047765+0.00021489i,-0.00017258+0.0003831i,0.00023624+3.7188e-05i,1.5563e-05+0.00032683i,-0.00064827+0.00088601i,-0.0013329+0.00036671i,-0.0014853-6.5416e-07i,-0.00076418+0.00027015i,-5.739e-07+0.0010505i,0.00042952+0.0010014i
-4.3054e-05-0.0020976i,0.00068286-0.0015883i,-0.00027831-0.001042i,-2.187e-05+0.00063136i,0.00062341+0.0016938i,0.00098611+0.0006785i,0.00031559-0.00029245i,-0.00055627-0.00027372i,-0.00033419+0.00028524i,-0.0002762+0.00069239i,0.00011454+0.00048926i,0.00026672+0.00034188i,0.00083597+0.00089028i,0.00063064+0.0013617i,-0.00046582+0.00044906i,-0.00029414-0.00048485i,0.00038342-0.00071713i,0.0003427-0.00077454i,-0.00096041-0.00090738i,-0.00098368-0.00097419i,7.7201e-05-0.0010087i,0.0006003-0.00054794i,8.4928e-05+1.7843e-05i
-0.00078137+0.0047904i,-0.00072278+0.004501i,0.00081477+0.0032487i,0.0026263+0.0020424i,0.0032514+0.00087336i,0.0018652-0.00047672i,-0.00056295-0.0010281i,-0.0015367-0.00064889i,-0.0009155+0.00028485i,0.00068065+0.00079675i,0.0017296+0.00035565i,0.0015026-0.00078996i,0.0015407-0.0012926i,0.00049977-0.0015634i,-0.00077498-0.0018281i,-0.00064057-0.00093073i,-0.0013754+1.3855e-05i,-0.002385+0.00070491i,-0.0015727+0.0011776i,-0.00044039+0.00038006i,-2.1196e-06-0.00030936i,-2.0651e-05-0.00026924i,7.8442e-05-0.00019666i
-0.00052602-0.0010782i,0.00064729-0.001387i,4.9191e-05-0.00084553i,-0.00040934+5.8798e-05i,-0.00012408+0.00036324i,0.00065447-0.00029557i,0.00017039-0.00053586i,-0.00024296-8.6966e-05i,-5.7833e-05+0.00051945i,-0.00039864+0.00084979i,-0.00041231+0.0013959i,0.00072478+0.0010145i,0.00089501+4.3192e-05i,0.00029174-7.2653e-06i,0.00047589-0.00039237i,4.7481e-05-0.00038029i,-0.00063082-0.00016978i,-0.00032821-0.00028899i,0.00030521-0.00044248i,-0.0001143-0.00056458i,-0.00018019-0.00035429i,0.00015377-0.00033099i,-3.5614e-05-0.00029607i
-0.00156-0.0038447i,-0.0010014-0.0026214i,-0.0024041-0.00081952i,-0.0022435+0.00061381i,-0.00050446+0.0014967i,0.0010397+0.00087991i,0.0014068-0.00039756i,0.00024578-0.00045692i,-0.00038753-0.00026233i,-8.1287e-05-7.5271e-05i,-3.4243e-05+0.0005627i,0.00037903+0.00045103i,0.00080694+0.0001008i,0.00049412-0.00019065i,0.00028901-0.00079062i,0.00020858-0.00068755i,-9.0393e-05+0.0003848i,-0.001148+0.0010467i,-0.0018298+0.00066596i,-0.00076323+0.00030849i,-0.00014712+0.00037597i,-0.00019884+0.00051785i,0.00014377+0.00013992i
-0.00014894-0.00035062i,-0.00037092-0.0010522i,-0.0015639+0.00022664i,-0.0017667+0.0015775i,-0.001228+0.0011923i,0.00017404+7.3368e-05i,0.00075361+2.809e-05i,0.00080577+0.00038553i,0.00084684+0.00034105i,0.00011225+0.00020055i,-0.00029947-0.00054055i,-0.00021326-0.0012751i,-1.3084e-05-0.0012483i,0.00027132-0.00012358i,-0.00038769+0.00022694i,-0.0010525-0.00050502i,-0.0010397-0.00072874i,-0.00061398+4.4277e-07i,-0.00040103+0.00044899i,-0.00065835-0.00010819i,-0.00055659-0.00071647i,-0.00030267-0.00078386i,-0.00093388-0.0010693i
-0.00041997-0.0015646i,-0.00081589-0.0020283i,0.00013125-0.00086436i,0.001004+0.0010484i,0.00088959+0.0016385i,0.00029556+0.00039777i,-0.00027503-0.00049642i,-0.00017652+0.0004481i,-0.00020799+0.00096i,-0.00041389+0.00080035i,-0.00039987+0.00028832i,-0.0011442+0.00027396i,-0.0011886+0.00014652i,-0.00069728-0.00027273i,-0.00034316-0.00028925i,-0.00031752-0.00085226i,-0.00066294-0.00034731i,-0.00028547-9.7694e-05i,0.00050078-0.00034942i,0.00066799-0.00038415i,0.00020054-0.00014322i,0.00044068-0.00066978i,0.00072427-0.00069544i
0.001448+0.0014015i,0.001523+0.0019859i,0.0014311+0.0011967i,0.0013723+0.00088805i,0.0020025+0.00097905i,0.0013765+0.0006125i,-3.9676e-06+0.0008172i,-0.000783+0.00064425i,-0.00042827-2.5764e-05i,0.00039422+5.0062e-06i,0.00043968+0.00047242i,9.5079e-05+0.00066154i,-0.00051356+0.00035414i,-0.00085554-0.00013815i,-0.00091964-3.7004e-05i,-0.00070524-5.6942e-05i,-0.00046087-0.00079093i,-0.00059003-0.0015937i,-0.00056066-0.0017455i,-0.00056429-0.0011488i,-0.00083371-0.00046909i,-0.00089704-0.00017325i,-7.2203e-05-0.00036349i
0.0026333-0.0017179i,0.0016832-0.0018739i,0.0016454-0.0022311i,0.00094444-0.0016697i,-0.00037785-0.00099333i,-0.0014355-3.0946e-05i,-0.0022175+0.00084384i,-0.00092072+0.0001707i,0.0003853+0.00012648i,-0.00049412+0.00079848i,-0.0015821+0.0012113i,-0.0010683+0.0013059i,-0.00011067+0.0017641i,-0.00012242+0.0015525i,-8.3889e-06+0.00030612i,0.00014208-0.00018002i,-3.5819e-05+7.6674e-05i,-0.00016335+2.0324e-05i,-0.00019299-0.00021878i,0.00057557-0.00077024i,0.00038314-0.0014751i,-0.00047466-0.00075059i,0.00020943+0.00013346i
-0.00084151-0.0011245i,-0.00068099-0.00044314i,-0.00084047-0.00082695i,-0.0010789+0.00014277i,-0.0011448+0.0019372i,-0.0013517+0.0017611i,-0.00069+0.00040804i,0.00016669+5.636e-05i,0.00028525-0.00022576i,-0.00039587-0.00034308i,-0.00075444-0.00024349i,0.00024409+0.00032612i,0.0014872+0.00039255i,0.001308+0.0001693i,-1.2278e-05+0.00017726i,-0.0012515-0.00032619i,-0.001709-0.00050376i,-0.0018647-0.0007451i,-0.0014443-0.00097979i,-0.0013223-0.00057097i,-0.0011337+0.00026812i,-0.0010072+0.0012415i,-0.00070967+0.00084154i
-0.0023964+0.00021061i,-0.0018159+0.0016502i,-0.00094997+0.0032749i,-0.00046996+0.003511i,0.00084501+0.0020961i,0.0011005-4.9442e-05i,-0.00021607-0.0010729i,-0.00017595-0.0006203i,-0.00012996+0.00054251i,-0.00066983+0.0011081i,-7.88e-05+0.00084128i,0.0006112+0.00030015i,0.0006897+0.00022742i,0.00078199+0.00011344i,0.00052543-0.00011421i,0.00045552+0.00038977i,0.00070375+0.00046202i,0.00026431+0.00072623i,-1.363e-05+6.9239e-05i,-0.00039379-2.9972e-05i,-0.00013353+0.00052472i,0.00091204+0.00017574i,0.00057618+0.00049457i
-0.0011045+0.0028398i,-0.00093086+0.0027524i,0.00054716+0.0028066i,0.0031017+0.0022105i,0.0032753+0.0011107i,0.0014706-0.00063256i,0.00032516-0.0011293i,5.2289e-05+0.00030826i,0.0010229+0.0015582i,0.0012018+0.0011492i,0.00059402+0.00035132i,0.0007883+5.3524e-05i,0.00061255-0.00014616i,-0.00027466-0.0009924i,-0.00099996-0.0012034i,-0.0010537-0.0006593i,-0.0016373-0.00052538i,-0.0022112-0.00046891i,-0.0009914-0.00045785i,-0.00055225-3.0568e-05i,-0.0003115+0.00046062i,0.0001883+0.00053438i,-0.0001447+1.1314e-06i
0.0062913-0.0010487i,0.0056166-0.00089404i,0.0043454-0.0020291i,0.0018897-0.0031183i,0.00015819-0.0025006i,-0.00096918-0.0013011i,-0.0014983-0.00041412i,-0.00083111+6.438e-05i,0.0005375+0.00030482i,9.9944e-05+0.00056197i,-0.0013138+0.00027879i,-0.0019678+0.00087018i,-0.0014808+0.0017154i,-0.00048457+0.00093584i,-0.00033946+5.5774e-05i,-2.4551e-05+0.00044283i,0.00050087+0.00059828i,0.00041846+0.00020367i,2.3757e-05+0.00037548i,-0.00051796+3.8709e-06i,-0.00033043-0.00069617i,0.00037859-0.0011357i,4.0376e-05-0.0015704i
0.0016157-0.00044443i,0.0010663+0.0010541i,0.00022698+0.0023331i,0.0012693+0.0020977i,0.0016495+0.00024623i,0.00026175-0.00093296i,-0.00077683-0.0010116i,-0.0004386-0.00034991i,-0.00024928+0.00051042i,-0.00046123+0.00059644i,-0.00080308+0.00057459i,-0.00086203+0.0015934i,9.5503e-05+0.0017452i,0.00057592+0.0013648i,-6.6011e-06+0.00042135i,-0.00064702-0.00071361i,-0.002349-0.00063842i,-0.0030339-0.0004126i,-0.001598+0.00014974i,-5.4744e-05+0.00092145i,0.00063383+0.0011001i,0.00046926+0.00085572i,-0.00019899+0.00058596i
-0.0025232+0.00097045i,-0.0017072+0.0013849i,-0.001304+0.0027023i,-0.0007445+0.0030245i,-0.00058577+0.0024063i,-0.00083877+0.00088754i,-0.0010437-0.00068416i,-0.00030999+0.00010389i,0.00017532+0.0011805i,0.00020229+0.0013406i,0.00010706+0.00091241i,0.00035584+0.00017325i,0.00066413+0.00040491i,-0.00014633-0.00061689i,-0.00036347-0.0012833i,-2.4484e-05-0.00045793i,0.00018938-0.0008541i,0.0010922-0.0010608i,0.001207-0.00029551i,0.00042456-8.7633e-05i,0.00019942+0.00025745i,0.00036201+0.00035599i,0.00060529-0.00051599i
0.0014164+0.00017843i,0.00072315+0.00046351i,0.0017928+0.00040079i,0.0014924+0.00019487i,0.00048386-0.00083604i,-0.00049105-0.0010246i,-0.00098532-0.00062856i,-0.0010423-0.00021696i,-0.00036317-8.1206e-05i,0.00044833-0.00057874i,0.00044791-0.00084176i,8.1362e-05-0.00077925i,0.00048659-0.00090886i,0.0007154-0.00063853i,7.862e-05-0.00065817i,-0.00017894-0.00019924i,-0.00097786+0.00072431i,-0.00094521+0.00044784i,1.9746e-05-0.00032785i,-0.00015596+9.0028e-05i,-0.00096865+0.00047048i,-0.00025741+0.00060165i,0.00064994+0.00040823i
