-0.0017822+7.9137e-05i,-0.00094606+0.0002708i,-0.0007727-0.00033875i,0.00016114-0.00054022i,0.0013337-0.00023491i,0.0020813-0.0013149i,0.0014468-0.0018479i,0.00033834-0.0014469i,-0.00058691-0.00093881i,-0.00054977-0.0001299i,-4.0858e-05+0.00026416i,5.8502e-05+0.00020878i,0.00024622+0.0001584i,0.00018059-0.0008623i,-0.00066255-0.00048564i,-0.00059119-0.0001219i,-0.00017342-0.00096387i,-0.00036814-0.00075168i,3.4518e-05+0.00025234i,0.0002911+0.00064155i,0.00047555+0.00055643i,2.3214e-05+4.2076e-05i,-0.00017307+3.7319e-06i
-0.002184+0.0010548i,-0.0017549+0.0015697i,-6.0159e-05+0.0018312i,0.00083577+0.0015974i,0.0007822+0.0012163i,0.00082107-0.00029012i,0.00091794-0.0017822i,0.0008588-0.0014386i,0.00048561+0.00031324i,0.00022023+0.00089681i,-0.00055078+0.00065071i,-0.00086324+0.00022686i,-0.00031711-0.00072373i,-0.00037693-0.001671i,-0.00069868-0.0012191i,-0.00031525+0.00010818i,0.00017012+0.00084143i,-0.00028522+0.0010764i,-0.0010199+0.0010731i,-0.00070854+0.00075063i,-0.00051305+0.00042552i,-1.6589e-05+0.00014968i,0.00073779-0.00054982i
0.0013612-0.0016726i,-0.00015187-0.0014254i,-0.00095991-0.00052095i,-0.0013357+0.00034582i,-0.001454+0.00029646i,-0.0005354-0.000107i,0.00068088-0.00035862i,0.0012057-0.00061201i,0.00049397-0.00064568i,-0.0004324-0.00051654i,0.00039724-0.00049339i,-0.00014156+0.00058288i,-0.00093329+0.00064667i,-4.9449e-05+0.00018123i,-4.0149e-06+0.00053891i,-0.00048807+0.00098018i,-0.00094931+5.4055e-05i,-0.00016327-0.00085351i,0.00083793+0.00021578i,0.00061644+0.0010044i,0.00053292+0.00060471i,0.00098515-4.6757e-05i,0.00049376-5.1505e-06i
-0.00026302-0.0010123i,1.7995e-05-0.00096587i,0.00061789-0.00090967i,0.00067158-0.00078869i,0.00061463-0.00068502i,0.0012251-0.00082737i,0.0017218-0.0017324i,0.0012688-0.0016409i,7.582e-05-0.0011731i,-0.00025061-0.0010148i,0.00032356-2.2508e-05i,0.00055077+0.0010188i,0.00020491+0.0013817i,0.00016046+0.0010691i,0.00026747+0.0007493i,-0.00083822+0.00020461i,-0.00077155-0.00045591i,-0.00034874-0.00036949i,-0.0010336+0.00043174i,-0.00018658+0.00054957i,0.00087998+0.00035466i,0.00077431+0.0004708i,-0.00032606+0.00060854i
7.546e-05-0.0019799i,-0.00076041-0.00088153i,-0.0011058+0.00052544i,-0.00080629+0.0014744i,0.00024687+0.0014603i,0.0016081+0.00024026i,0.002034-0.00094966i,0.0010692-0.0016485i,-0.00023113-0.0013488i,-0.00031341-0.00066018i,0.00021282-0.0005722i,0.00064309-0.0002445i,0.0011349-5.2133e-05i,0.00030288-0.00033234i,-0.00038338-0.00044889i,0.00069534+0.00049402i,0.00044051+0.00058202i,-0.00068768-0.00013663i,-0.00044349-0.00078735i,-0.00020371-0.001337i,-0.00036488-0.00070955i,-0.00033308-1.0672e-05i,-0.00020633+0.00045392i
-0.0024786-0.00052561i,-0.0020014+0.00043104i,-0.0026784+0.0021561i,-0.002575+0.0019382i,0.00040881+0.00091879i,0.002325+2.9066e-05i,0.0022308-0.0011664i,0.00051964-0.0012445i,-0.00059319+0.00013465i,-0.00015389+0.00069442i,0.00062274-0.00017815i,0.00047786-0.00020541i,0.00016114-0.00031513i,0.00063872-0.00069179i,0.00063178-0.00039976i,0.00015901-0.00042325i,-0.00022973+2.9599e-05i,-0.00079562+0.00013974i,-0.0013434+2.7528e-05i,-0.0012436+0.00017385i,-0.00063182+0.00043922i,0.00011045+0.00042285i,-8.5562e-06+0.00035002i
-3.8421e-05+0.00074814i,0.00040697+5.3985e-05i,-0.00049844+0.00021536i,-0.00023159-0.00032566i,0.00070971-0.001556i,0.00061764-0.0016696i,8.5406e-05-0.00081167i,-0.00020786-0.00019987i,-0.00077902+0.00034691i,-0.00080549-9.589e-06i,-0.00041098-0.00030336i,-0.00055532-0.00029291i,-0.0007072-0.00040765i,-0.00036614-0.00063036i,0.00019115-0.00025761i,-4.5503e-05+0.00048622i,-0.00037044+0.00086166i,-0.00022018+0.00088847i,-0.00033255+0.0011342i,-0.00030353+0.00036996i,0.00011545-0.00056788i,0.00083861-0.0011246i,0.0015283-0.00060626i
0.00059689-0.00019723i,-0.00010536-0.00053539i,-0.00023167-0.00074817i,0.00030749-8.8358e-05i,-2.8545e-05+0.00029836i,-0.00023386-0.00048053i,0.00072844-0.00094517i,0.00061819-0.00099838i,-0.00010483-0.0011261i,-6.4411e-05-0.00052771i,-0.00045866-0.00035425i,-0.00078627-0.00063414i,0.00014584-3.4734e-05i,0.0011838+0.0006952i,0.0010322+0.00031314i,0.00018618+0.00077919i,-0.00042897+0.00097312i,-0.00033836-0.0003707i,-5.0927e-06-0.00092764i,0.00041088+0.00021044i,0.00021276+0.00030588i,0.00021852-0.00014447i,0.00041262+1.0617e-05i
0.0015783-0.00015218i,0.00082381-0.00079179i,-0.00092009-0.0019311i,-0.0014279-0.0020856i,-0.00060749-0.0016217i,0.00074076-0.00033503i,0.0011365-0.00092721i,0.00012085-0.0013272i,-0.00062561-0.00019838i,-0.0006623-0.00056664i,-0.00061814-0.0010102i,-0.00093039+9.8318e-05i,-0.0014251+0.00068431i,-0.00074437+0.00072924i,-0.00031641+0.00045005i,-0.00026728+0.00054257i,7.3951e-05+0.00050956i,-0.00012663+0.00060629i,-0.00048626+0.00084069i,-0.00080415+0.00038319i,-0.00013508+1.8788e-05i,0.00095423+0.00039667i,0.00050366-0.00014874i
0.0011866-0.0010614i,0.001745-0.0023285i,0.0016473-0.0026697i,0.00088663-0.0024591i,0.00019855-0.001798i,0.001136-0.0018916i,0.0023248-0.0012736i,0.0019877-0.00057802i,0.00049716+0.00027829i,-0.00034173+0.00073822i,-0.00062997+0.00054326i,-0.001162+0.001009i,-0.0012177+0.00099191i,-0.00076197+0.00027958i,-0.00013643-7.4118e-05i,-0.00016811+0.00070385i,-0.00020446+0.00027274i,0.00010696-0.00055094i,0.00038702-0.0002979i,0.00046317+0.00039359i,0.00018552+0.00057247i,0.00014487+0.0002057i,-4.7349e-05+0.0001671i
