-0.0022324+0.00038396i,-0.0022401-3.6098e-05i,-0.0035178+0.0010048i,-0.0031441+0.0017425i,-0.0021661+0.0016862i,-0.0012401+0.0011565i,-0.00076354+0.00087225i,2.6596e-06+0.00098935i,0.00041755+0.00051871i,0.00046716+0.00038948i,0.00087351-0.00035318i,0.00075428-0.0012862i,0.00085985-0.0009859i,1.4454e-05-0.00017869i,-0.00054421+0.00045681i,1.1994e-05+0.00012285i,3.8814e-05-0.00034894i,-0.00047804-0.00057785i,-0.00080074-0.0004807i,-0.00030109-0.00013377i,0.00062675+0.0004465i,0.00061072+0.0012381i,-0.00036344+0.0010609i
0.00031745-0.00035938i,0.00026421-0.00054005i,-0.00065171-0.00097698i,-0.00041722-0.00051378i,-1.8566e-05-0.00037546i,-0.00053229-0.00040409i,-0.0014134-0.00012252i,-0.0012322-0.00075159i,0.00030738-0.0010477i,0.00063507+0.00026538i,-7.0181e-05+0.00066119i,-0.00028763+0.00046365i,0.00013617+0.0001198i,0.00052313-0.00012814i,0.00080608-0.00043607i,0.00094657-0.00055082i,0.00082855+3.5038e-05i,0.0015327+0.00012589i,0.0013886-0.00018611i,0.00021189-5.4759e-05i,-0.00024359+0.00055271i,0.00049272+0.00074753i,0.0006993-5.2303e-05i
0.0011818-0.00067478i,0.00067893-0.0010577i,0.00040207-9.1074e-05i,-0.00026336-0.0001682i,-0.001361-0.0014156i,-0.0024287-0.00077522i,-0.002392+0.00013741i,-0.00094494+0.00057661i,0.0002017+0.00014581i,0.00034912-0.00033193i,-1.5061e-05-0.00040765i,-0.00029274-0.00053394i,-0.00043544+0.00034089i,-0.00085388+0.00037923i,-0.00095109-0.00043865i,-0.00049949+0.00031484i,-4.3194e-05+0.0004804i,-1.2997e-05+0.00028919i,0.00017551+0.00077845i,0.00032749+0.00098375i,0.0003898+6.4087e-05i,0.0003309-0.00043755i,5.3207e-05+0.00027924i
-0.0011195+0.0008628i,-0.0011692+0.00090561i,-0.00065583+1.2315e-05i,-2.2897e-05-0.00086905i,-0.00028391-0.00060384i,-0.00065587+0.00059294i,-0.00037827+0.0010096i,-2.7572e-05+0.00064171i,0.00016222+0.00084484i,0.00069047+0.00076825i,0.00048004+9.3142e-05i,-0.00058267-0.00038576i,-0.00092252+0.00011056i,-0.00031125+0.00081488i,7.6991e-05+0.00073399i,-9.0916e-05-0.00017568i,0.00028175-0.00028682i,0.00067387-0.00039159i,0.00046142-0.00084201i,0.00038186-0.00039959i,-8.2336e-05-8.795e-05i,0.00014663+0.00022165i,0.00063308+0.00041587i
-0.001215-0.00046053i,-0.0010475-0.00029187i,-0.0012351+0.00021966i,-0.00051424+0.0015417i,-2e-05+0.0022232i,-0.00024302+0.0021007i,-0.00018348+0.0016741i,0.00056659+0.001152i,0.0012527+0.001002i,0.0014552+0.00063753i,0.00060303+0.0003512i,-0.00015847+0.00041641i,3.9507e-05+0.00078888i,0.00066282+0.000782i,0.00070373+0.0011347i,0.00023669+0.0010923i,-0.0001626+0.00052018i,-0.00029946-0.00012487i,9.1397e-05-0.00046679i,0.00018053-0.00054391i,-0.00013376-0.00042333i,0.0001361+6.6034e-05i,-0.00014601+0.00063485i
-0.0018399+3.3646e-05i,-0.0011822-0.00059438i,-0.00056753+0.00017567i,0.00013631+0.00069761i,0.00025029-0.000887i,0.00014839-0.0015704i,-0.00032182-0.00041088i,-0.0003583+0.00032483i,0.00029632-0.00037415i,0.00049676-0.00078939i,0.00076937-0.0006562i,0.0011518-6.0902e-05i,0.0018105+0.00039869i,0.0017877-0.00021014i,0.00071844-0.0010663i,0.00061046-0.00061443i,0.00069991+0.00016335i,0.00037393-0.00015623i,0.00016893-0.00061744i,-0.00023652+0.00013522i,-0.00086394+0.00031119i,-0.00041867-0.00060148i,-9.0886e-05-0.00094219i
0.0013645+0.00095976i,0.00061228+3.1102e-05i,0.0013034-0.0016995i,0.0015419-0.0027565i,0.0013114-0.0028728i,-0.00037498-0.0012467i,-0.0018537+7.8917e-05i,-0.0014287-0.00011993i,-0.00042247-0.00093725i,0.00046347-0.0014742i,0.00019041-0.0017582i,-0.00016921-0.0014965i,-0.0001883-0.00057208i,-0.00030011-0.0010527i,-2.7811e-05-0.0014071i,9.2325e-05-0.00055765i,0.00050046-5.248e-05i,0.00029083-0.00039161i,-0.00035223-0.00087885i,-0.00083023-0.00074733i,-0.00026795-0.0005568i,0.00029591+0.00019343i,0.00023382+0.00030587i
0.0016358+0.00039595i,0.00094138-8.7689e-05i,0.0010765-0.00083348i,0.0014565-0.0014737i,-0.00011812-0.0015668i,-0.0020375-0.00026219i,-0.0023189+0.00048097i,-0.0013352+8.3575e-05i,-0.00022663-4.5648e-05i,0.00083208+9.1003e-05i,0.00066177+8.2563e-05i,-0.00029407+0.00012619i,-0.0012363+0.00018801i,-0.0013022+0.00024213i,-0.00045136+0.00039614i,0.0004828+1.6552e-06i,0.00011641-0.00029345i,-0.0004309-9.5574e-05i,5.7306e-05+0.00015381i,0.00010638+0.00021786i,-0.00019273-2.0578e-05i,0.00060342-0.0001745i,0.0013842-0.00018079i
0.0019415+0.0017399i,0.0024956+0.0010741i,0.0031565+0.00022037i,0.0026837-0.0011624i,0.0011749-0.0028239i,-0.00055559-0.0016318i,-0.0021076+0.00029967i,-0.0017263+0.00062155i,-0.00034498+0.00021185i,2.096e-06+0.00017599i,-3.5952e-05+0.00018226i,-0.00024583+0.00035512i,4.7704e-05+0.00075947i,0.00039254+0.0010034i,-0.00017369+0.00086127i,-0.00020196+0.00038076i,0.00010136+7.894e-05i,0.00013379+2.7063e-05i,0.00036273+0.00055596i,0.00039504+0.00056762i,0.00023228+4.7714e-05i,0.00025311+0.000241i,0.0010255+0.00045435i
0.0025204+0.0012853i,0.0018977+0.00043852i,0.0020723-0.00041224i,0.0013163-0.0020304i,0.00016798-0.0036057i,-0.0011009-0.002846i,-0.00088317-0.0011331i,0.00040263-8.4298e-05i,0.0010945+0.00045848i,0.0013184-4.3971e-05i,0.001262-0.00074396i,0.00096482-0.00032606i,9.3021e-05+0.00055992i,0.00043317+0.00028654i,0.0010957+0.00070715i,0.00062778+0.0015794i,0.00032372+0.0014113i,0.00074146+9.0849e-05i,0.00038276-0.00096262i,-3.771e-05-0.001175i,-0.00018422-0.00083058i,-0.00052677+9.7287e-05i,-0.00064548+0.00032802i
-9.734e-05+0.00050163i,0.00058001+0.00098002i,0.00060127+5.9214e-05i,0.00031069-0.0016301i,8.5984e-05-0.0018343i,-0.0011426-0.001353i,-0.00141-0.00048498i,-0.00060791+0.00013038i,0.0007799-0.00022804i,0.00093924-0.0010302i,0.00057946-0.0011793i,0.00083356-0.00065635i,0.0011551-0.00049919i,0.00098959-0.00025558i,0.00097189-0.00046716i,0.0011472-0.00039888i,0.00099972+6.6747e-05i,0.00069247+0.0006589i,0.00039367+0.00067354i,0.00051639-0.00012287i,0.0010619-0.00056018i,0.0014562-0.00058471i,0.00066854-0.00091726i
0.00029012+4.4997e-05i,-0.00010694-0.00049379i,0.00067929-0.0012921i,0.00059856-0.0021089i,-0.00068784-0.0022208i,-0.0019983-0.00055521i,-0.0011916+0.00057453i,9.6842e-05+0.00063668i,0.00028216+0.00033175i,0.0005975-0.00077027i,0.00040502-0.0016528i,-0.00030528-0.001784i,-0.00045228-0.00078071i,-0.00092633-8.6399e-05i,-0.0011404-0.0002819i,-8.6056e-05-0.00029723i,0.00027647-4.3101e-05i,-5.9888e-05-0.00017157i,-0.00051523-0.00065076i,-0.00044274-0.00017706i,-2.9427e-05-3.532e-05i,0.00032078-0.00095655i,0.00086738-0.0012069i
0.00046199+0.00039247i,4.7801e-05+0.00028948i,0.00085017+0.00082816i,0.00035308-0.00022563i,-0.0010967-0.0021576i,-0.001919-0.0018652i,-0.0015122-0.00034067i,-0.0010236+0.00064036i,-0.00065286+0.00019391i,0.00039251-0.00079396i,0.00081471-0.0012367i,-6.0079e-05-0.0013493i,-0.00056487-0.0008415i,-0.00044523-8.7437e-05i,-0.00028482+0.00020854i,-0.00025443-9.3648e-05i,-0.0010902-0.00067091i,-0.00076541-0.00055919i,0.00021033-0.00014294i,-0.00043229-5.6903e-05i,-0.00069723+0.00027363i,3.3265e-05+0.00037314i,-6.6128e-05+0.00020692i
0.0010894-0.0001215i,0.00070969-0.00026499i,0.00081772-0.00093485i,-0.0005067-0.0008438i,-0.0011296-0.00085328i,-0.0014964-0.00042959i,-0.0010842+0.000143i,-0.00040267+0.00080284i,-0.00053089+0.00074923i,-0.00020408-0.00032925i,0.00010749-0.00028495i,-0.00019422+0.00047815i,0.0001017+0.00074644i,0.00070989+0.00093385i,0.00014386+0.0019177i,0.00013828+0.0018723i,0.00046374+0.00071426i,-0.00023811-1.4905e-05i,-0.00060589-0.00072235i,-0.00022673-0.00081365i,-0.00018276-0.00060669i,-0.0001815-0.00048164i,-4.9562e-05-0.00029755i
0.00049504-0.0001822i,0.00051619+0.0010189i,0.00051489+0.0011898i,0.00060069-0.00060042i,0.00020799-0.0019967i,-0.0006413-0.0017031i,-0.00069826-0.00095943i,0.00025811-2.2362e-05i,0.00046816+0.00059394i,0.00050234+0.00062967i,0.00030595+0.00024857i,-0.0010255+0.00013817i,-0.001175-0.00023126i,0.00066036-0.00070795i,0.00125-0.00052445i,0.00095722-0.00017363i,0.00048612+0.00025199i,5.5111e-05+0.00022253i,0.00013747-0.00020214i,0.00010584-0.00043466i,-7.7616e-05-0.00027466i,-9.3835e-06-4.3644e-05i,-2.6719e-05-0.0001317i
-0.003317-0.0012958i,-0.0031347+0.00018556i,-0.0034066+0.0016316i,-0.0026541+0.0013088i,-0.0010561+5.0843e-05i,-0.00087987-0.00016666i,-0.00054628+0.00020324i,-0.00036662+0.00012737i,-0.00072866+0.00017698i,-0.00029048+0.00026234i,-0.00029084+5.2212e-05i,-0.00048646-0.00049706i,-0.00013355-0.00045504i,0.00059416-0.00016785i,0.00067795-7.5786e-05i,0.00039279-0.0011002i,0.00032839-0.0014834i,-0.00033883-0.0012415i,-0.0002876-0.00065548i,0.00046837+2.6766e-05i,0.00026248+0.00065045i,1.8852e-05+0.0009688i,2.366e-05+0.00029226i
0.0013348+0.00087733i,0.0011634+0.00048032i,0.0015009-0.00018862i,0.00094231-0.0012615i,-0.00054603-0.001978i,-0.001685-0.0011026i,-0.0022145-0.00020194i,-0.0011122-0.00039559i,0.00065409-0.00030785i,0.001375-0.00061409i,0.0017633-0.00065274i,0.0015456-0.00024542i,0.00076332-1.9258e-05i,-0.00042283-0.00018296i,-0.0008913-0.00068247i,-0.0011106+0.00012548i,-0.0014541+0.0010198i,-0.000476+0.00053205i,0.00053456-6.4702e-05i,0.00022126+8.6727e-05i,-9.0495e-05-0.0001322i,0.00022218-2.6068e-05i,0.00053395-0.00010842i
-0.0015651+0.00069929i,-2.7837e-05+0.00069581i,0.00059232+0.0012988i,0.0010795+0.00032538i,0.0020531-0.00089367i,0.0014384-0.0012592i,-0.00042855-0.00048241i,-0.00095723-1.1063e-05i,0.00048126+0.00051646i,0.0010416+0.00025198i,0.00043706-0.00094494i,-0.00017835-0.0007009i,6.4152e-05-0.0001769i,0.0001664-0.00023402i,0.00057047+4.6056e-05i,-8.3656e-05+0.00061965i,-0.00082617+1.9725e-05i,0.00040022-0.0004795i,0.00043523+0.00014156i,6.9593e-05-2.5862e-05i,0.00034991-5.5477e-05i,0.00031116+0.0001712i,0.00044497-0.00028457i
0.00088933+0.0004678i,0.0016084+0.0012468i,0.00086699+0.0015346i,0.00010325+0.00033993i,-0.00046405-0.00034146i,-0.0011964+3.4245e-05i,-0.0012287+0.00032175i,-0.0011808-0.00025553i,-0.00066799-0.00064113i,-0.00022299+0.00025599i,-0.00070309+0.00067795i,-0.00087665-0.00024195i,-0.00074444-0.00016731i,-0.00025241+0.00070814i,0.00015631+0.00078758i,0.00081175+0.00016382i,0.0011065-0.00031452i,0.00096284-0.00085545i,0.00033473-0.00098937i,-0.00023083-0.00032464i,-0.00036652+0.00052456i,-0.00051997+0.000643i,0.00051132+0.00019714i
-0.0017361+0.00040707i,-0.0023362+0.0012182i,-0.0025343+0.0018151i,-0.0014606+0.0019714i,0.00015865+0.0001289i,3.9645e-05-0.0015007i,-0.00073026-0.00054969i,-0.00060215+0.0006846i,2.709e-05+0.00078175i,-0.0002249-9.9517e-05i,-0.00055133-0.0007602i,-0.00069645-0.00034198i,-0.00073985+0.00025588i,-0.000299+0.00020659i,3.1059e-05-0.00056591i,0.00039168-0.0012326i,0.00015656-0.00099826i,-0.00059612-0.00025408i,-0.00051624-0.00018912i,5.264e-05-0.00014661i,-0.00017543+0.00015899i,-0.0010098+0.00019646i,-0.0008999+7.2085e-05i
-0.0014246-0.0016719i,-0.00026508-0.00085696i,-0.0012308-0.00059045i,-0.0017216-0.00061058i,-0.0015229+0.00014611i,-0.0013283+0.00051324i,-0.0013155-0.00044237i,-0.00023406-0.00056707i,0.000582+1.7711e-05i,-0.00042782+0.00011574i,-0.00071425+0.00023131i,4.3206e-05+0.00013765i,0.00052156-0.00029914i,-0.00038213-0.00087855i,-0.001083-0.0010804i,-0.00065926-0.00066446i,-0.00063311-9.9164e-05i,-0.00030559+5.4897e-05i,0.00010549-0.00017459i,0.00045286+0.00010647i,0.00015329+0.00027494i,-0.00051354+0.00031827i,7.1982e-05+0.00025337i
-0.00083056+0.00011033i,-0.00067267+0.0012015i,-0.00053234+0.0023214i,-0.00022234+0.0014617i,-0.00013754+1.7218e-05i,-0.00046043-9.5757e-05i,-0.0011053-0.00017478i,0.00010071-0.00048243i,0.00092795+5.4453e-05i,0.00027625+0.00058228i,5.6787e-05+0.00077982i,0.0005961+0.00018782i,0.00099407-0.0003154i,0.00097786+0.00036503i,0.00010936+0.00094804i,-0.00034974+0.0008938i,-0.00024139+0.0003703i,-9.2786e-05-8.4539e-05i,0.00034273-0.00047515i,0.00060037-0.0007754i,0.00028398+5.04e-05i,0.00034362+0.00058932i,-0.00024762-0.00014638i
-0.0021184-0.00017005i,-0.001156+0.00022025i,-0.0014627+0.0012111i,-0.00087915+0.00084317i,0.00050889+0.00053346i,0.00080014+0.00021433i,0.0003885+9.0999e-05i,0.00030009+0.00051412i,2.419e-05+0.0010465i,0.00058398+0.00094712i,0.00066352+0.000595i,0.00016129+0.00031842i,0.0010055-0.0013151i,0.0021373-0.0015169i,0.0015411+0.00038987i,0.00027429+0.00099662i,0.00076492+0.00059472i,0.0016552+0.00024104i,0.0015824-0.00010021i,0.00056169+9.9495e-05i,2.1092e-05+0.00052817i,0.00016668+0.00079002i,-8.3364e-05+0.00039876i
-0.00082799+0.00060728i,0.00098462+0.0002846i,0.001523+0.00031608i,0.00014514+0.00030018i,-0.00024007+2.0542e-05i,0.00039206-0.00014146i,0.00043945+0.00028065i,0.00026467+0.0011942i,0.00013195+0.00090034i,0.00014606+0.00023356i,0.00055504+6.4833e-06i,0.0010889-0.00014155i,0.00072611-6.2461e-05i,0.0013556-0.00045001i,0.0016394-0.0011143i,0.00099502-0.00092545i,0.00063472-0.00017489i,-0.00013742+0.00087096i,8.0501e-05+0.0012304i,0.00036326+0.00039336i,0.0003348-0.00029536i,0.00029596-0.0011589i,-0.00041963-0.0012932i
-0.00036345-0.00013273i,-0.00085843+0.00045111i,-0.0013044-0.00017028i,-0.0011307-0.00063716i,-0.00092179-0.000663i,-0.001317-0.00027321i,-0.0014764+0.00046396i,-0.00056507+0.00095649i,0.0003754+0.00050252i,0.00086322-0.00054848i,0.00036514-0.000661i,-0.00066231-0.00044629i,-0.00046542-0.00099467i,-6.1871e-05-0.0015602i,-0.00018944-0.0018059i,-0.00057306-0.001202i,0.00024605-0.0011201i,0.0011344-0.00078651i,0.00068587-6.7616e-05i,0.00013523-0.00028306i,-0.00011806-0.00075339i,1.8934e-05-0.0011134i,-0.00033469-0.00045486i
0.0018915-0.00024884i,0.0014157-0.0014967i,0.0014187-0.0034148i,0.00038354-0.0026079i,-0.00013626-0.0015486i,-0.00066569-0.0010576i,-0.0012065-0.00017656i,-0.00041399+0.00053839i,0.00093507+0.00047188i,0.00099296-0.00021494i,-0.00030872-0.00011595i,-0.0013823+0.00038944i,-0.0015216+0.00054888i,-0.0008285+0.00057648i,-0.00093574+0.00045235i,-0.0010536+0.0005341i,-0.00061856+0.00016746i,-0.00015972-0.00039413i,0.00035117-0.0005888i,0.00018084-0.00053728i,0.00010889+0.00030408i,-2.6796e-05+0.0010691i,0.00026709+0.00059482i
0.0011264-0.0023118i,-8.2677e-05-8.4966e-05i,-0.0005871+9.5947e-05i,-0.0012432-0.00065929i,-0.0027209-0.00073729i,-0.0033752-0.00085423i,-0.0015655-0.00046459i,0.00032089-8.6452e-07i,0.00045177-0.00018836i,0.00027873-0.00022273i,-0.00024238+0.00017484i,-0.00071987+0.00020231i,-0.00025177+0.00036738i,0.00030447+0.001102i,3.7373e-05+0.0013439i,-0.00062442+0.0008283i,2.3454e-05+0.00030298i,0.00043579+0.00023097i,0.00044157+0.0002069i,0.00037457+0.00066545i,-0.00039732+0.00081053i,-0.00046248-0.00024408i,-0.00029973-0.0010442i
-0.00020571+0.0023517i,-0.0002054+0.001722i,0.0010642+0.0017353i,0.0020681+0.00073551i,0.0021024-0.0013486i,0.0013559-0.0020897i,0.00023427-0.0014592i,-0.00048679-0.00046207i,-0.00018554+0.00076708i,0.00014287+0.001247i,0.00032581+0.00050751i,0.00019124-0.00028441i,8.439e-05-0.00034405i,0.00084855+0.00024706i,0.0012108+0.00044385i,0.00083542+0.00011808i,0.00057287+0.00041397i,0.00057062+0.00048812i,0.00026535-0.00052844i,9.6244e-05-0.00039188i,0.0003671+0.00026169i,0.0009161+0.00013663i,0.0009792-0.00011879i
0.0010893+0.0023567i,-0.00028795+0.0022848i,-0.00043795+0.00090271i,6.1031e-06-0.00028249i,-0.00049468-0.0013851i,-0.0012208-0.0015999i,-0.0010487-0.0007685i,-0.00053852+0.00039074i,0.00047253+0.00071928i,0.00086254+5.352e-05i,0.00040103-0.0010039i,0.00036731-0.00070537i,0.00065895+0.00069257i,0.00011088+0.00033455i,-1.7038e-05-0.00036761i,0.00030589-0.00028323i,-6.7667e-05+0.00029363i,-0.00082129+0.00046303i,-0.00040041+0.00040381i,0.0002651-0.00034629i,5.8001e-05-0.0010786i,-2.4862e-05-0.00073379i,0.0002319-0.0009465i
1.3568e-06-0.0014912i,-0.00031853-0.0018518i,-0.0014577-0.00105i,-0.0017746-0.00092498i,-0.0012806-0.00084948i,-0.000869+8.2614e-05i,-0.0011955+0.0010755i,-0.001397+0.00079235i,-0.00067582+0.0004201i,-0.00041801+0.0010331i,-0.00039032+0.0012074i,-0.00049415+0.00057978i,-0.00012331-0.00024177i,0.00026734-0.00073176i,-0.0004273-0.00095693i,-0.00061304-0.0011632i,-0.00053156-0.00010885i,0.00011821+0.00099005i,0.00069408+0.00067012i,0.00038974-5.821e-05i,1.4517e-05-0.00030473i,-0.00026861-0.00026342i,-0.0010744-0.00025997i
0.00073275-0.0015925i,0.00051182-0.0013493i,-0.0004684-0.0015717i,-0.0012834-0.0029789i,-0.001186-0.0037172i,-0.0011746-0.0020223i,-0.0010611-0.00022709i,-0.00067615+0.00026787i,-0.00024046+0.00052461i,2.9263e-05-0.00047089i,-0.00026532-0.00073104i,-0.0006151+0.00026178i,-0.00063272+0.00073272i,-0.00037349+0.00080695i,-0.00048476+0.00078173i,-0.0001468+0.0010744i,0.00065449+0.00093272i,0.00099957+0.0010598i,0.00076047+0.00066747i,0.00024123-0.00053671i,-1.4582e-05-0.00031808i,-0.0003069+0.00064761i,-0.00018512+0.00071686i
0.0027441+0.00093605i,0.0033539+5.0945e-05i,0.0031091-0.00052376i,0.001327-0.001892i,-0.0001341-0.0030488i,-0.00080937-0.0020978i,-0.0012385-0.00020851i,-0.0010933+4.8257e-05i,-0.00080052-0.00036038i,-0.0010415-0.0004981i,-0.00021898-0.00041116i,0.00018082-3.7582e-05i,0.00085219+0.00072363i,0.0011951+0.0015424i,0.0012507+0.0010647i,0.0012437+0.00073297i,0.0013254+0.0005457i,0.00012549+0.000149i,-0.00078755+0.00041234i,-0.00037038+0.00051363i,-0.00022516+0.00035393i,-0.00031856+0.0001944i,-2.2592e-05-0.00013853i
-0.0012835+0.00088987i,-0.002091+0.0021072i,-0.0019643+0.002133i,-0.00045144+0.00072118i,-0.00056476-0.00014293i,-0.00087489-0.00058561i,-0.0011879-0.00047993i,-0.0015956-0.00024367i,-0.00069792-0.00012528i,0.00029527+5.4349e-05i,0.00089915+1.6601e-05i,0.00095498+0.00049835i,0.00080826+0.0007448i,0.00080718+0.00012191i,0.00044324-0.0002014i,0.00039887-0.00093092i,0.00073577-0.0014802i,0.00028976-0.001067i,-6.5521e-05-0.0008905i,-0.00025451-0.00075058i,-0.00042958-0.00068928i,-0.00016301-0.0003414i,0.00041013+8.3347e-05i
-0.00035854-0.0013402i,0.00025547-0.0017467i,-0.00028691-0.0011077i,-0.0018049-0.00051373i,-0.0012998-0.00069033i,-0.00055796-0.0013395i,-0.00086576-0.0011205i,-0.00049396-0.00082226i,0.00091649-0.00019329i,0.0010958+0.00016743i,0.00028562-1.8535e-05i,-0.00076973-0.00088241i,-0.0011151-0.0012671i,-0.00078971-0.00073738i,-0.0010636-0.00049176i,-0.00077287-0.0009712i,-0.00024417-0.0014668i,-0.00025614-0.00065447i,-8.3152e-05+0.00042425i,-2.5539e-05-0.00010139i,-0.00036796-0.00082621i,-0.001026-0.0011507i,-0.0014928-0.00086845i
-0.0013866+0.00035641i,-0.0014761-0.00015786i,-0.00078454-0.00032456i,0.00063565+0.00016627i,0.00069764-4.0325e-05i,-0.00046085-0.00093998i,-0.0011364-0.0015091i,-0.00092088-0.00081962i,2.2344e-06-0.00054338i,0.0003727-0.00074311i,0.00016408-0.00092294i,-0.00016133-0.0008739i,-0.00030485-0.00033598i,-0.0006967+0.00065303i,-0.0017664+0.0017251i,-0.002325+0.0015454i,-0.0011267+0.00073428i,0.00052492-7.6067e-06i,0.0011262+0.00053236i,0.0010387+0.0013206i,0.00090805+0.0010577i,0.00077875+0.00060231i,0.00078219+0.00014852i
0.0023518-0.00057194i,0.0013302-0.0008833i,0.0011024-0.0015268i,-0.0001593-0.0027638i,-0.0013646-0.0035264i,-0.002148-0.0026549i,-0.0010785-0.0018335i,0.00069036-0.00081266i,0.0010716+0.00057879i,0.0007645+0.00044835i,0.00051234-3.1166e-07i,0.00011368+0.00052126i,-6.1837e-05+0.00042142i,0.00022928+0.00019522i,0.00031065+0.0012928i,0.00077338+0.0017813i,0.00049913+0.0011428i,0.00022225+0.00023187i,2.4618e-05-0.00035441i,-0.00056947-9.8457e-05i,-0.00053145+4.8895e-05i,-0.00035375+4.5598e-05i,-0.00080236+0.00048592i
-0.00095947+0.00036346i,0.00020154+0.00086984i,0.00084903+0.002675i,0.0010659+0.0021936i,0.00069317+0.00045226i,0.00021846+0.00015702i,-0.00016433+0.00034799i,-3.7043e-06-2.6235e-05i,0.00068859-0.00012203i,0.00092176+0.00036491i,0.00054124+0.00027521i,4.5572e-05-0.00036978i,-0.00032229-0.00086869i,-0.00040752-0.00075021i,0.00031111-0.00031555i,0.0011098-0.00014143i,0.00085908+5.5008e-05i,0.00067816+0.00047203i,0.0014578+1.1472e-06i,0.00096409+0.00010027i,0.00096523+0.00048889i,0.001013+4.3978e-05i,-0.00029117-0.00039591i
0.00065645+0.0019356i,-0.00055798+0.0015955i,0.0012924+0.0010822i,0.0028538-0.00083783i,0.0013401-0.0027322i,-0.0005973-0.0025934i,-0.00098337-0.0014037i,-0.00019761-4.7035e-06i,0.00032823+0.00065826i,0.00037735+0.00049025i,-0.00024241+0.00061338i,-0.00073296+0.00047047i,-0.00081058+5.7606e-05i,-0.00043183-0.00053885i,0.00011002-0.0015776i,-5.3237e-05-0.0016936i,-0.0003058-0.00026486i,0.00013297+0.00059151i,0.0004262-1.9479e-05i,0.00044416-0.00044185i,-0.00029387+7.3e-05i,-0.00051381+4.8355e-05i,-0.00035674-0.00090135i
0.00024138-0.00037668i,0.00010836-0.00016617i,0.00019742-0.00018108i,0.00020875-0.00076376i,0.00016261-0.0014296i,-0.00028378-0.001587i,-0.00094639-0.0010202i,-0.00082029-0.00026328i,-0.00059629+2.5866e-05i,0.00017826+0.00017513i,0.0008499+0.00037298i,0.00064308-0.00018691i,3.5833e-05-0.00071889i,-0.00063945-0.00058154i,-0.00073098-0.00070879i,-0.00052977-0.00025408i,-0.00052589+0.00040341i,-0.00028854+0.00037617i,-0.00035388+2.9466e-05i,-0.0002821-0.00042665i,0.00029099-0.00078643i,-5.4043e-05-0.00053717i,-0.00068622+0.00017777i
0.00040795+0.0014864i,0.0011546+0.0015978i,0.0017922+0.00095711i,0.0011785-0.00028514i,0.00054809-0.0012639i,-0.00056599-0.0016085i,-0.0020921-0.0012922i,-0.0011557-0.00069294i,0.00041153+0.00054427i,0.0013051+0.0006408i,0.0017374-0.00061271i,0.0013681-0.00048202i,0.00031392+0.00030119i,-0.00075395+0.0012505i,-0.00013046+0.0011788i,0.00054812+0.00079311i,0.00013426+0.00074008i,7.2711e-05+0.00020153i,0.00011316+0.00012151i,-0.00030927-0.00037461i,-0.00011143-0.00039315i,0.00024304+2.8856e-05i,-2.0445e-05+0.00016375i
-0.00094701+0.0020393i,0.00042102+0.0032432i,0.0009676+0.0027749i,0.0016375+0.0013348i,0.0019097-0.00060951i,0.001122-0.0019292i,0.00015845-0.00083468i,-0.00014333+0.00064075i,0.00024766+0.00033559i,0.00010766+4.9697e-05i,-0.00061673-0.00056428i,-0.00020159-0.0011691i,0.00072377-0.0012165i,0.00073645-0.001085i,0.00033043-0.00052794i,0.00070502-0.00046762i,0.0010499-0.0010473i,0.0006354-0.00061183i,0.00046463-2.8839e-06i,0.00053529-0.00026513i,8.8242e-05+0.00018658i,-0.0003285+0.00085836i,-0.00044757+0.0011344i
-0.003227-0.00013512i,-0.0017854-0.00040197i,-0.0016872-0.00073164i,-0.0014153-0.00092813i,-0.00031078+0.00017989i,0.00075268+0.00087356i,0.00082357+0.0005182i,0.00049717+0.0004465i,0.00052332+2.7201e-06i,0.00025206+9.8488e-05i,-0.00076186+0.00044101i,-0.00087824+0.00057967i,-0.00053828+0.00085753i,0.0002913-0.00048358i,0.0011639-0.0015618i,0.001214-0.0012771i,0.000695-0.0012978i,0.00058385-0.00083757i,0.00062928+4.0692e-06i,0.0003506+0.00035683i,-8.9303e-05+0.00056935i,0.00051217+0.00025056i,0.0010252+0.00044074i
0.0010174-0.00020646i,0.00047885+0.00020294i,0.0006527+0.00071386i,0.00072876-0.0001012i,4.0164e-05-0.0014285i,-0.00043525-0.0011771i,-0.0010585-0.00055694i,-0.00075349-0.00038279i,-4.3656e-05-5.8052e-05i,0.00028481+0.00036783i,0.00022637+0.00069107i,0.00020262+0.00086227i,0.00017488+0.00064181i,-0.0001097+0.00021202i,-0.00073285-0.00043353i,-0.0008548-0.000607i,-0.001017-0.00031143i,-0.00058521-0.00013378i,3.8668e-05-0.00024671i,0.00024671-0.00039832i,0.00016428-9.2021e-05i,2.5864e-05-0.00026949i,-0.0006309+0.00019998i
8.4262e-05-0.0014031i,-0.0011294-0.00055979i,-0.0020369-0.0016073i,-0.001731-0.0017067i,-0.0018632-0.0011144i,-0.0017641-4.4361e-05i,-0.00094903+0.000558i,-0.00014251+9.053e-05i,0.001187-0.0005349i,0.0013939-0.00076077i,0.0011619-0.00066985i,0.0012259-0.00044993i,0.00057073+0.00027765i,-4.4654e-05+0.001197i,-0.00041594+0.0018583i,-0.00031791+0.0014625i,0.00013283+0.00091176i,0.00034398+0.0005062i,-7.5112e-05+0.00026777i,-0.00032646+0.00039136i,-0.00020842+1.5918e-06i,0.0005915-0.00030325i,0.00071654+0.0002275i
