-0.003941+0.0018189i,-0.0046477+0.0023261i,-0.003255+0.0031598i,-0.0015924+0.0025131i,-0.0010021+0.0020493i,-0.001268+0.0015902i,-0.0019112+0.0012814i,-0.00065859+0.0012081i,0.0011115+0.0010644i,0.0013826+0.00060523i,0.0017069-4.8375e-05i,0.0012013-4.0278e-05i,0.00014432-0.00098631i,4.1275e-05-0.0013306i,-0.00031567-0.0005882i,-0.00082683+0.00034265i,-0.00076318+0.00057542i,-2.1901e-05+0.00027403i,9.0622e-05+0.00044927i,-0.00013359+0.00029443i,-0.00057479-0.00020059i,-0.00043298-0.00044024i,0.0005384+0.00033044i
-3.5917e-05+0.0011283i,0.00024976+0.00091412i,0.00048276+0.00053477i,0.00019478+0.00012271i,-0.00047417-0.00040411i,-0.00057124-0.00038312i,5.0443e-05-0.00048879i,-3.0307e-05-0.00018333i,-7.859e-05+0.00025619i,0.00097808+0.00023325i,0.00069212+0.00041496i,0.00010815+0.000533i,6.9398e-05+0.0011462i,-0.00028417+0.00098028i,-0.00046044-0.00019059i,-0.00027709-0.00085379i,0.00028739-0.00067683i,0.00016004+0.00017882i,-0.00034318-0.00024433i,-8.8664e-07-0.00022123i,0.00070859+0.00038064i,0.00027091+0.00025003i,-0.00037417+0.00072688i
0.00059931+0.001416i,0.00042332+0.00045435i,-0.00010041+0.00074802i,0.00073758+0.0011801i,0.0014551+0.00022724i,0.00041244-0.00053791i,-0.00016433-0.00059502i,-0.00071853-0.00043743i,-0.0008012+3.6363e-05i,0.00050091+0.0003136i,0.00043409+4.6295e-06i,-0.00034783-0.00068787i,4.4026e-05-0.0011293i,-3.4784e-05-0.00071173i,0.0001931+0.00025844i,0.00028529+0.00075678i,-0.00086749+0.00040724i,-0.0013662-0.00025854i,-0.00040346-1.634e-05i,-0.00018958+0.00045369i,-0.00062146+6.1934e-05i,-0.00062312-0.0003301i,-0.00040681-0.00061793i
0.0015289-0.00051003i,0.00077152-0.00088062i,0.00085132+0.00022887i,-0.00025713+0.00086945i,-0.0018495+0.00022744i,-0.0015832+0.00016312i,-0.00063585+2.481e-05i,-5.8246e-05-0.00010617i,-1.4235e-05-6.2061e-05i,-0.00016809-0.00011083i,-0.00063695-0.0002992i,-0.00068883-5.1088e-05i,-0.00061677+0.00050098i,0.00018486+0.00085741i,0.00054837+0.00086463i,-0.0005653-0.00031235i,-0.0013982-0.00026582i,-0.001003+0.00072247i,-9.7852e-05+0.00063543i,0.00022428+0.0009424i,-0.00039663+0.0011789i,-0.00056795+0.00053561i,-0.00074255+0.00019425i
-0.0014573-0.0026517i,-0.00054835-0.0024352i,-0.00043269-0.0018188i,-0.00212-0.0010145i,-0.002387-0.00021641i,0.00014733+0.00071743i,0.00092513+0.00076418i,-0.00035652+0.0010334i,-0.00062978+0.00095608i,-0.00051992+0.0002771i,-0.00058105+0.00051244i,-6.5661e-05+0.001133i,-0.00050688+0.00048637i,-0.00043246-0.00014275i,0.00028481+0.00040882i,0.00076422+0.00055015i,0.00046399+0.00024549i,-0.00019607+0.00014421i,9.6944e-06-0.00015946i,0.00052195-0.00029589i,0.00074837-0.0004197i,0.00050251-0.00034432i,-1.3046e-05+0.00018587i
0.00051425-0.00040669i,0.0016448+0.00026462i,0.00087056+3.813e-05i,-0.00079636-0.00066052i,-0.0018514-0.0008008i,-0.0017098-1.5074e-05i,-0.00011245-0.00013764i,0.0011103-0.0002093i,0.00057926+0.00040043i,9.7912e-05+0.00042742i,-0.00028015-2.9473e-05i,-0.00066748-0.00037823i,-0.00046129-0.00077216i,-0.00071327-2.5268e-05i,-0.0013348+0.00027245i,-0.0014523-0.00050624i,-0.0011661-0.00037804i,0.00032131+0.00050914i,0.00018337+0.0011823i,-0.0002974+0.00085213i,-0.00027318+0.00019509i,-0.00094751-0.00039267i,-0.0011258+7.0528e-05i
-0.00059894+0.001126i,-0.00093887+0.0010985i,-0.00039142+0.00098297i,0.00040883+0.00084287i,0.00016902-0.00049121i,-0.00037779-0.0011417i,-0.00039061-0.00045971i,5.1495e-05+0.0001193i,0.00035172-7.4403e-05i,0.00078713-0.00016018i,0.00091947-0.00033219i,0.00060203-0.000809i,-0.0005076-0.00076536i,-0.0012714-0.00081714i,-0.00052216-0.00086068i,0.00031617-0.0007198i,0.00036414-0.00051194i,-6.3889e-05-0.0005836i,-0.00022817-0.00088631i,0.0004293-0.00050343i,0.00057574+0.00052015i,0.00047497+0.00087373i,0.00070854+0.00048321i
0.0024352+5.2015e-05i,0.0028487+0.00090753i,0.0022244-7.2936e-05i,9.6373e-05-0.0015619i,-0.0020837-0.0024829i,-0.0023077-0.0016763i,-0.00094569-0.00032089i,0.00027584+0.00031677i,0.00057854+9.8239e-05i,0.00054731-0.0013317i,0.0012467-0.0010272i,0.0013759-6.7487e-05i,0.0012142-3.5064e-05i,0.0013714+9.5422e-05i,0.0013613-4.9202e-05i,0.00050731-0.00014483i,-0.00014833-0.00018678i,-0.00039691-0.00014469i,-0.00065114+0.00034903i,-0.0004965+0.00086326i,-0.00030511+0.00052263i,-0.0002087+0.00031988i,0.00016517+0.00013571i
0.00078361-0.00014862i,0.0020532-0.0016606i,0.0026759-0.0020431i,0.000342-0.0011058i,-0.0014093+0.00018326i,-0.0011874+0.0005572i,-0.00014725+9.7049e-05i,0.00055865-0.00024052i,9.8119e-05-1.8569e-05i,-0.0006035+0.00019342i,-0.00022661+0.00027297i,-0.00025171+0.0013784i,-0.00031317+0.0011869i,0.00087013+0.0010489i,0.001144+0.0016672i,0.00076603+0.0014465i,0.00018965+0.00040086i,2.1801e-05-5.8159e-07i,0.000489-8.5401e-05i,0.00078144+0.00013477i,0.0011882+0.00073221i,0.00060725+0.00059297i,-0.00027135+0.00043192i
0.00090807+9.8863e-05i,0.00052874+0.00072411i,-0.0012695+0.0014342i,-0.0018693+0.0004792i,-0.0017585+0.00084542i,-0.0016566+0.0014819i,-0.00064607+0.00056643i,2.3935e-06-2.457e-05i,-0.00015074-0.00011418i,-0.00020261-0.00019519i,-4.6839e-05-0.00029207i,-0.00010583-0.00020423i,-6.623e-05-4.2835e-05i,-0.0002193+0.00033875i,-0.00020111+0.001027i,1.2631e-05+0.0010416i,-0.00043922+9.7545e-05i,-0.00087251-0.00089313i,-0.00066944-0.00062402i,-0.00021305+0.00082875i,0.00055456+0.00091302i,0.00028636+0.00023475i,-0.00054333+0.0006823i
0.00027885-0.0012428i,8.7622e-05+0.00020296i,0.00015056-0.0007551i,-0.00024079-0.00059053i,-0.0014536+0.00014362i,-0.0010846+0.00055428i,-3.0588e-05+0.00034752i,6.8406e-05-2.1011e-05i,-0.00040254+0.00058047i,-0.00084214+0.00072486i,-0.00044107+0.00050158i,0.00039489+0.00041164i,0.00047962+0.000204i,-0.00014931+0.00030033i,-0.0005899-2.0913e-07i,-0.00053102-0.00021084i,-0.00053583+6.3594e-05i,-0.00026421-0.00031593i,0.00048165-0.00054259i,0.00017461-5.1436e-05i,-0.00064811+0.00011485i,-0.00090367+0.00037368i,0.00011655+1.0292e-05i
-0.00060048-0.0025143i,-0.0010896-0.0029077i,-0.0015124-0.0026707i,-0.0021353-0.00036887i,-0.0019577+0.0011631i,-0.00093563+0.00085093i,0.00053194+5.4655e-05i,0.0014091-4.9006e-05i,0.00096405+0.00075356i,0.00064424+0.00061736i,0.00020155+0.0003302i,0.00031579+0.00040016i,0.0010675-4.34e-05i,0.0010232-0.00060004i,0.00031618-0.00026149i,-0.00011207-0.00016501i,0.00027525-0.00030249i,0.00037331-0.0001957i,0.00024839+6.5211e-05i,0.00010487+0.00031494i,0.00010023+0.00020697i,0.00062403-0.00092158i,0.00084592-0.0013486i
-0.0047432+0.0024713i,-0.0037705+0.0036422i,-0.001664+0.0043051i,6.9101e-05+0.0037756i,0.00034356+0.0022465i,1.7941e-05+0.00089707i,0.00086876+0.0003763i,0.0012312-0.00042099i,0.0015643-0.0015051i,0.0022393-0.0011681i,0.0011294-7.0287e-05i,0.00035594+0.0005678i,-5.5047e-07+0.00018446i,-0.00014456-0.00055673i,0.0004167-0.00053808i,0.00033596-7.0574e-05i,-5.5442e-05+0.00055891i,-0.00029949+0.00039524i,-0.00019163-0.00026405i,0.00038288-0.00024832i,0.00033638-0.00029996i,0.00013021-0.00054425i,0.00011975-0.00015919i
0.0011224+0.00063175i,0.0023343-0.00043767i,0.0027285+9.6418e-05i,0.0011092+0.00038243i,-0.00048979-9.4961e-05i,-0.00025035-0.00035061i,0.00025176-0.00038708i,-0.00018843-0.00036864i,-7.2849e-05-0.00025767i,0.00030743+0.00020375i,0.00092678+0.00051068i,0.0012267+0.00047816i,0.0005876-0.00033697i,0.00074128-0.0010675i,0.00081992-1.7631e-05i,-7.0247e-05+0.0013673i,-0.00014154+0.0011334i,-0.00052306+0.0003283i,-0.0014445+8.4682e-05i,-0.00093004+0.00016537i,7.7507e-05+0.00035159i,0.0003905+0.00018702i,0.00058698-0.00055021i
-0.00054537-0.0025933i,-0.0014036-0.0019693i,-0.0021383-0.0012323i,-0.0028398-1.7892e-05i,-0.0028251+0.00061943i,-0.0013936+0.00072017i,0.00029686+0.0010397i,0.00092895+0.00044781i,0.00072282-0.0001359i,-0.00014553-2.628e-05i,-0.00083126+0.0001644i,-0.00067048+0.00021996i,-0.0003308-2.2654e-06i,0.00036167+0.00064782i,0.00080773+0.0014556i,0.00042232+0.0010116i,0.00025789+0.00022933i,-0.00082177+0.00041139i,-0.0012314+0.00041855i,-0.00067892+0.00053913i,0.00020159+0.00053434i,0.0011398+5.2614e-05i,0.00068913-0.00012597i
-0.001536+0.00119i,-0.0013117+0.0011577i,-0.0016875+0.00051847i,-0.0016898-0.00058912i,-0.0011346-0.00090455i,0.00035232-5.5234e-05i,0.0014492-0.00031464i,0.0013559-0.00068242i,0.00059148-0.00031806i,-0.00018056-0.00034705i,-3.303e-05-0.00024564i,-0.00015103-9.2428e-05i,-0.00025793-0.00054899i,6.3631e-05-0.00037358i,0.00025224+0.00025303i,2.7806e-05+0.00013787i,-0.00061286-0.00029419i,-0.00053612-7.3417e-05i,-0.00045627+0.0003389i,-0.00084276+8.7225e-06i,-0.0001991-3.0452e-05i,0.000679+0.0002045i,0.00041991+1.4753e-05i
0.0011039+0.00014043i,0.00080039-0.00088937i,0.001667-8.7063e-05i,0.0007158+0.00040203i,-0.00092341-0.00066343i,-0.0013375-0.0015407i,-0.00086682-0.00058034i,-0.00036145+0.00015094i,0.00041048-0.00034569i,0.00083519-0.00078945i,0.00040492-0.00062016i,-0.0001645-0.00024603i,-0.00014638+2.9713e-05i,-5.6409e-05+0.00019181i,-0.00022849-0.00017288i,0.00028049-0.00043502i,0.00025207-0.00067483i,0.00020327-0.00082487i,0.0010699-0.00072189i,0.0012718-0.00016991i,0.00072715+0.00065828i,-5.3856e-05+0.00083696i,-2.4505e-06+0.00059533i
0.00019923+0.00057079i,-0.00025844+0.00080029i,0.00022106+0.00068002i,0.00033208+6.794e-05i,-0.00053643-0.00019443i,-0.001647-0.00054368i,-0.0014205+0.00010911i,-0.00011575+0.00021804i,0.0004535-0.00080774i,0.0002157-0.0010078i,0.00043164-0.00064838i,-5.9568e-05-0.00085898i,-0.0011623-0.0012957i,-0.0017532-0.0011436i,-0.0016467-0.00021514i,-0.00079902-5.5961e-06i,0.0002059-0.00018142i,-5.8487e-05-0.00039032i,-0.00013853-0.0010057i,0.00019995-0.0010374i,5.6443e-05-0.00037484i,-0.00038073+0.00022832i,-0.00010692-0.00012562i
0.0015427+0.00072191i,0.0024462+0.00070764i,0.0028616+0.00039974i,0.0020849-0.00036921i,0.0011696-0.0006267i,0.00093111-0.00028076i,0.0012788-0.00085141i,0.0011809-0.00070645i,0.00087957+2.6698e-05i,0.00094387+0.00026025i,0.00041555-0.00054699i,-0.00019442-0.00040078i,-0.00026501+0.00014294i,-0.00035048+0.00016803i,-5.9361e-05-0.00019148i,0.00059279-0.0003162i,0.00075041-0.00036636i,-0.00016952-0.0005839i,-8.2017e-05-0.0010208i,0.00038184-0.0011015i,0.00046904-0.00035344i,0.00013446+4.5527e-05i,-0.00068398+0.00046169i
0.0018594+0.0011967i,0.0016357+0.0010619i,0.00031761+0.00081525i,-0.00066271-0.00035525i,-0.00035087-0.00093959i,0.00031168-0.00018576i,0.00090747+0.0001219i,0.00073557+0.0001677i,-0.00061144+0.00055462i,-0.0008935+0.00064945i,-0.00088158+0.00083723i,-0.0017058+0.0011074i,-0.001329+0.0010566i,-0.0012545+0.00088924i,-0.0014105+0.00069599i,-0.00050651+0.00074352i,0.00083832+0.00061164i,0.00047306+0.00045985i,-0.00050631+0.00039587i,8.6549e-05+0.00013059i,0.00064998+0.00019534i,-0.00012914-0.00037298i,-0.00048329-0.00058536i
-0.0015152+0.00059946i,-0.00056067+0.00079063i,0.00040907+0.001585i,0.00011038+0.00047837i,0.00021775-0.00083958i,0.00076267-0.00056201i,0.0011736-0.00028234i,0.00071237-0.00053023i,0.00034685-0.00048575i,-8.4768e-06-0.00069408i,-0.00052842-0.00031318i,-0.00071559-0.00014684i,-0.00050805-2.6546e-06i,3.7493e-05-0.00013596i,0.00064469+0.0001121i,0.00051699+0.00050756i,0.00049499+0.0011198i,0.0013043+0.0011773i,0.0012595+0.00063091i,0.0010109+0.00034699i,0.0012103+0.00041833i,0.00026115+0.00017517i,-0.00058811-0.00037475i
-0.00010053-0.00042892i,-0.00034273+0.00026481i,-0.00059106+0.00068567i,-0.00045885+0.00056903i,-0.0010627+0.0009775i,-0.00068803+0.00049108i,7.5411e-05+0.00014013i,-4.5304e-05+0.00037518i,0.00025119+0.00057565i,0.0015222+0.000486i,0.0016768+0.00040624i,0.0015115+0.00078238i,0.001495+7.6365e-05i,0.0007725-0.00097774i,-0.00029426-0.0010015i,-1.4935e-05-0.00066026i,0.00054284-0.00054698i,-0.00018346+8.688e-05i,-0.00011586+0.00063737i,0.00047684+0.0013075i,-1.0941e-05+0.0014522i,-0.00059216+0.00035218i,-0.00046823-3.7568e-05i
-0.0012393+0.00053399i,-0.0010967+0.0016695i,-0.00067895+0.0022661i,-0.00016975+0.0018237i,0.00087066+0.00092444i,0.00097326+0.00043455i,1.1691e-05+0.00044025i,-0.00050512+4.7841e-05i,0.0005363-0.00036472i,0.0017496-0.00018099i,0.0016997-0.0004782i,0.0016361-0.00031938i,0.0011748+1.1141e-06i,-8.2436e-05+0.00026419i,-0.00076503+0.000549i,-0.0010486+0.00071466i,-0.00054522+0.00058145i,0.00051276+0.00026708i,0.00051561-5.8704e-05i,-0.00063453+0.00015935i,-0.0005301-0.00016785i,0.00021697-0.00068437i,-0.00062611-0.0008603i
0.00099037-0.00034994i,-0.00037954-0.00042695i,9.0838e-05-0.0011438i,0.00097245-0.0016276i,0.00041392-0.0016786i,0.00029524-0.00019883i,0.00020566+2.7897e-05i,0.00011958-0.00050203i,0.0001604-0.00076157i,0.00042009-0.0010064i,0.00010314-0.001011i,-9.4098e-05-0.00047994i,-0.00050943+0.00054038i,-0.0014044+0.00012159i,-0.0012197-0.00036463i,-0.00044554-0.00097372i,-0.00060879-0.0013261i,-0.00056478-0.00092627i,-0.00075303-0.00047689i,-0.0012109+2.225e-05i,-0.00096867+0.00018009i,-0.00081664+1.0317e-05i,-0.00038262-4.1632e-05i
0.00020048-0.00039074i,0.00099247-0.0011044i,-0.00015461-0.00060309i,-0.00096817+0.00074683i,-0.0013021+0.00074372i,-0.00097001-5.7093e-05i,3.8487e-05+5.6913e-05i,-0.00042267+0.00020829i,-0.00074188-0.00099545i,-0.0004151-0.0019126i,-0.00057661-0.0010836i,-0.001142-0.00034046i,-0.00070383-0.0001112i,-0.00050434-0.00032781i,-0.0009206-0.00058302i,-0.00090334-0.00058017i,-0.0011097-0.00078827i,-0.00094361-0.000363i,0.00041797+0.00022631i,0.00091896+0.00035581i,-0.00039886-9.8419e-05i,-0.00097566-0.00012764i,-0.00018233+0.00040177i
0.00085252+0.0005987i,0.0020862-0.00047621i,0.0029881-0.0011053i,0.0014568-0.0011058i,-6.8409e-05-0.00084438i,-0.00069939-0.00057766i,-0.00113+0.00046218i,-0.0009765+0.0017161i,-0.00073201+0.0015435i,-0.00041708+0.00018393i,-0.0012454+5.5342e-05i,-0.0016488+0.00087875i,-0.00090769+0.00081093i,-0.00033414-0.00034733i,-2.375e-05-0.00054849i,8.3043e-06-0.00020032i,0.00029209-0.00029197i,-7.6602e-05-0.00021818i,-0.00085984-9.3252e-05i,-0.00024262-0.00023401i,0.0004988-0.00027421i,0.00079406-0.00045348i,0.0011032-0.00028119i
0.0010978+0.0010066i,0.0013156+0.0021245i,0.0014617+0.0013128i,-0.00029795-0.0004073i,-0.0014148-0.00052361i,-0.00016144-6.0579e-06i,0.00033221-0.00042419i,0.00060246-0.00022809i,0.00069107+0.00053127i,-0.00019906+0.00043414i,-0.0011+0.00018928i,-0.0010576-9.6002e-06i,5.4491e-05-0.00019146i,0.00126+0.00034089i,0.0010309+0.00072279i,1.8418e-05+0.00079428i,-0.00067469+0.001064i,-0.00081036+0.00042393i,-0.00037575-0.0003983i,0.00066915-0.0002101i,0.0010398-7.8997e-05i,0.00063793-0.00057882i,0.00053245-0.00050353i
0.00035222+0.00090073i,-0.00029813+0.0020642i,-4.5296e-05+0.00080496i,-0.00016552-4.9197e-05i,-0.0010495-0.0002013i,-0.00096061-0.0001849i,-0.0002915-0.00031788i,0.00053561-0.00047881i,0.0013094-0.00036467i,0.00081777+0.00020458i,0.00040984+0.00054286i,0.00066296+0.00055666i,0.00063659+0.00028372i,0.00032886+0.00033201i,7.3722e-05+0.0003108i,0.00012882+0.00030207i,0.00039992+0.00021517i,0.00040032-0.00029321i,6.1102e-05-0.0003461i,0.00028306-0.00017982i,0.00058826-0.00031152i,0.0011025-0.00020377i,0.0017733+9.1869e-05i
-0.0017996-0.0020628i,-0.0015886-0.0025789i,-0.0010769-0.0010969i,0.00012954+0.0006723i,0.0010616+0.0016102i,0.0011077+0.0010821i,0.00025779+0.0002657i,0.0008078-0.00047802i,0.0022273-0.0010678i,0.0030925-0.00041541i,0.0032783-0.00031317i,0.002179-0.00053155i,0.000941-0.0004287i,0.00014224-0.00068445i,-0.00043581-0.00085115i,4.8481e-05-0.00095067i,0.00029829-6.9117e-05i,-0.00014555+0.00062242i,-6.0651e-06-0.00032115i,-0.00020759-0.00073342i,-0.00053204-0.00094931i,-0.00018836-0.00023831i,0.00050804+0.00014431i
0.0011471-0.00061997i,0.0012086+0.00010111i,-0.00011284-0.0012177i,-0.0012257-0.0015815i,-0.0014288-0.00025679i,-2.3185e-05+8.7681e-05i,0.00061418-0.00067552i,0.00011792-0.0019818i,-4.0316e-05-0.0033795i,0.00030055-0.0028199i,0.00062944-0.0013984i,0.00097539-0.00069932i,0.00021673-0.00025311i,-0.0013325+0.0001146i,-0.0019247-4.7334e-06i,-0.0014149-0.00037271i,-0.0014102-0.0003265i,-0.0020041-0.00031851i,-0.0017328+6.8837e-06i,-0.00068007-5.2681e-05i,-0.00042568+0.00013384i,-0.00089226+0.00045312i,-0.00069933+0.00032687i
0.0014576-0.00052805i,0.00079841-0.00059781i,8.2e-05-0.0014109i,-0.0016524-0.0022685i,-0.0025195-0.0012602i,-0.0016815-0.00026558i,-0.0013185-0.00044097i,-0.0010472-0.00025105i,-0.00071466-0.00028141i,-0.0010437-0.00039065i,-0.0016164-0.0002593i,-0.0024021-0.00012284i,-0.0029663+0.00065083i,-0.0023393+0.0014283i,-0.0016202+0.0016865i,-0.0017763+0.0016198i,-0.001897+0.00096778i,-0.0020853+0.00078719i,-0.0014893+0.00063962i,0.00037197+0.00019611i,0.0012164+0.00052332i,0.00095617+0.00046236i,0.00059968+0.00031303i
-0.0013994-7.0376e-05i,-0.0020063+5.3098e-05i,-0.0024593+0.00064157i,-0.0012155+0.00070326i,-0.00072798+0.00022005i,-0.00065499+0.00056663i,-0.00039623+0.00069693i,-0.0011957+0.0012872i,-0.0013422+0.0015943i,-0.00096316+0.0010664i,-0.0016108+0.00061201i,-0.0018514+0.00017317i,-0.0010337-0.0004875i,0.00013759-0.00077862i,0.00084921-0.00050116i,0.00077594+0.0002029i,0.001029+0.00016543i,0.00073276+3.2127e-05i,0.00042815-0.000233i,0.00084186-0.0005584i,0.00078361-0.00041643i,0.00067639-0.0012363i,0.00065738-0.0014138i
0.0031181-0.0014566i,0.0034454-0.00079614i,0.0021219-0.0005473i,0.00040519-0.00068152i,-0.00027739-0.00031466i,1.2155e-05+4.1535e-05i,0.00055182+0.00013056i,0.00063155+0.00021208i,0.00074042+0.0013399i,0.00084981+0.0015676i,0.00032588+0.0012717i,1.8762e-05+0.00081641i,0.00061457-0.00023493i,0.0016984+0.0001168i,0.0018309+0.00099024i,0.0015535+0.00088859i,0.001247+7.6964e-05i,0.00065674-0.00045981i,0.00061979-0.00022286i,0.00048344-2.2099e-05i,0.00066735-0.00044913i,0.0010243-0.00076468i,0.00023309+5.7162e-05i
0.0011157+0.0013366i,0.0018769+0.0016731i,0.0013989+0.0011271i,2.9088e-05+6.4021e-05i,-5.9513e-05-0.00041078i,0.00048747-0.00044945i,0.00081703-0.00054653i,0.0014554-0.00020212i,0.0019352+0.00046322i,0.0020622+0.001077i,0.0025293+0.0013646i,0.0026311+0.00076166i,0.0018051-0.00031127i,0.00047696-0.0004828i,0.00026066+8.0825e-05i,0.00076911+0.00060395i,0.00064231-0.00022301i,0.00064324-0.0013471i,0.0012354-0.00098586i,0.0012443-0.0004035i,0.00092505-0.0002864i,0.00052064+4.4947e-06i,0.00016529+5.2436e-05i
-0.0026993-0.0010919i,-0.0040081+0.00032849i,-0.0046781+0.0014101i,-0.0043126+0.0012691i,-0.0027273+0.00099724i,-0.001038+0.00072687i,-6.6332e-05-0.00063773i,0.00073972-0.002033i,0.0015629-0.0022634i,0.0019546-0.0019098i,0.002585-0.0016757i,0.0029483-0.00041956i,0.0019297+6.5859e-05i,0.00048821-1.0632e-05i,-0.00047261+0.00051841i,-0.0012843-0.00011035i,-0.0018895-7.5751e-05i,-0.0014485+0.00059461i,-0.00017015+0.00015694i,0.00013602+0.00037299i,-9.4254e-06+0.00071274i,5.5758e-06+0.00053864i,0.00013202+0.0003651i
0.00048539-0.0015695i,0.0014079-0.0028493i,0.0018449-0.0023096i,0.0019492-0.0012481i,0.00076986-0.00082263i,-0.00042576-0.00070084i,-0.00056395-0.00090803i,-0.00041927-0.0014274i,-0.00027846-0.0028083i,-1.505e-05-0.003205i,2.5543e-05-0.0025577i,-7.3739e-05-0.0015237i,-0.00089252+0.00028497i,-0.0024037+0.00095892i,-0.0023283+0.00034088i,-0.0012991+0.00010018i,-0.0011867+5.1074e-05i,-0.001346+0.00026475i,-0.0013126+0.00066983i,-0.00090474+0.000617i,-0.00050104+0.0002774i,-0.00028688+7.7958e-05i,0.00020881-2.0593e-05i
-7.4665e-05-0.0010863i,0.00014626-0.0017594i,-0.0014743-0.0025475i,-0.0020884-0.0032841i,-0.0020209-0.0021948i,-0.00078007+0.00018133i,0.00069257+0.00099228i,-0.00022824-0.00039171i,-0.0019611-0.0010557i,-0.0031391-0.0012428i,-0.0030962-0.0011368i,-0.0027414+0.00047318i,-0.0019529+0.0013426i,-0.000863+0.00025586i,-0.00071353-0.00086289i,-0.00045991-0.00044389i,-0.00033879-0.00012942i,-0.00019147-0.0011111i,-0.00032952-0.00088988i,-0.00060199+0.00027674i,-0.00043976+0.00084477i,-6.5505e-05+0.00086504i,-0.00040274+0.00046994i
0.0016792-0.00031526i,0.0017956+0.0014478i,0.001094+0.0013328i,-0.00017604+0.0007988i,-0.0015084+0.00054239i,-0.0012519+0.00057815i,-0.00071581+0.00070782i,-0.00091993+0.00058624i,-0.0017823+0.0011644i,-0.0029067+0.0013978i,-0.0030501+0.00057629i,-0.0019597-0.00023751i,-0.00074987-0.00091087i,-0.00015814-0.001252i,-5.4357e-05-0.00073492i,0.0003161-0.00057693i,0.00096532-0.00037513i,0.0014266+0.00023007i,0.0012651-0.0004022i,0.00053628-0.00072601i,6.4368e-05-0.00013417i,-0.00027867+0.00026975i,-0.0012075+0.00018344i
-0.00070069+0.00091419i,0.00028633+0.001303i,0.00075838+0.0014039i,0.0014466+0.0011263i,0.0011205+0.0011837i,-6.1476e-05+0.0017624i,0.00059743+0.0013755i,0.0020116+0.0014083i,0.0027393+0.0027665i,0.0019955+0.0030302i,0.0007143+0.0018109i,0.00083875+0.00041618i,0.0019863-0.0013969i,0.0019062-0.002288i,0.0010661-0.0012188i,0.0016604-0.00065034i,0.0017515-0.00061185i,0.00096191-0.00032998i,0.00051536+0.00020241i,-0.00070124-0.00011065i,-0.0015843-0.00066592i,-0.00082623-0.00047442i,-0.00040908-0.00024882i
-1.1378e-05-0.00022797i,-0.00075529-0.00056193i,-0.0014652-0.00064079i,-0.0016239-0.00076668i,-0.0014748-0.0001742i,-0.0012176+0.00049046i,0.00010688+0.00029332i,0.0018171-0.00053887i,0.0035053-0.00042313i,0.0038482+0.00072615i,0.0028764+0.0011901i,0.0020685+0.00098364i,0.0010342+0.00080275i,-8.4901e-05+0.00063475i,-6.3363e-05+0.00017884i,0.00053995-2.7113e-05i,0.00032533+0.00055313i,-0.00075091+0.0013814i,-0.00096739+0.0010104i,-0.00016442-0.0005166i,0.00020114-0.0013203i,0.00024776-0.00071186i,0.00081131+8.9633e-05i
0.00096847-0.00062055i,0.0014029-0.0011626i,0.0020754-0.00058552i,0.00079087-0.00036433i,-0.00078394-0.0009052i,-0.00042706-0.00088977i,0.00010158-0.0011564i,0.00073487-0.0016669i,0.0019076-0.0025268i,0.0030567-0.0025592i,0.002674-0.0013546i,0.0021139+0.00066164i,0.00089288+0.0011157i,-0.0010074+0.0010408i,-0.0010725+0.00092471i,0.00023102+0.0003073i,-8.5451e-05+5.8453e-05i,-0.0012162+0.00044661i,-0.00067084+0.0005783i,1.0752e-05+0.00053371i,-0.00020489+6.7113e-05i,-0.00023431-0.00099223i,0.00052707-0.00067171i
0.001886+0.0010436i,0.0016664+0.00037082i,-0.00010355-0.0009672i,-0.0016334-0.0025479i,-0.0026122-0.0025566i,-0.0021843-0.0010633i,-0.0012155-0.00046021i,-0.0017278-0.0015596i,-0.0018649-0.0040749i,-0.00092898-0.0044125i,-0.0012709-0.0023742i,-0.0021577-0.00057396i,-0.0021656+0.001079i,-0.0019176+0.0016547i,-0.0018934+0.00036309i,-0.001874-0.00037428i,-0.0011263-0.00038353i,-7.3366e-05-0.00045735i,0.00030062+0.00064214i,0.00048105+0.0013412i,0.00076198+0.0010796i,0.0011137+0.00059269i,0.0010665+0.0005555i
0.00060921+0.001926i,0.0016489+0.0017526i,0.00075959+0.00063786i,-0.00045868+0.0004726i,-0.0005161+0.0015927i,-0.0010779+0.0015988i,-0.0014341+0.0001821i,-0.0013973+7.301e-05i,-0.0028581-3.3233e-05i,-0.0040665-0.0013429i,-0.0037408-0.0018522i,-0.0037661-0.0017458i,-0.0027442-0.0017163i,-0.00085009-0.0013238i,-0.00041799-0.00060806i,-0.00056327+0.00036292i,-0.00071576+0.00062961i,5.6097e-05+0.00023922i,0.001266-0.00050048i,0.0013899-0.00019648i,0.00099513+0.00061736i,0.00077831+0.00020252i,0.00063379-2.377e-05i
