-0.0066584+0.0013609i,-0.0046415+0.0022791i,-0.0048707+0.0036896i,-0.0035067+0.0048071i,-0.00097538+0.0035232i,0.00079091+0.0026011i,8.5395e-05+0.0022824i,-0.00098009+0.0018674i,-0.00052976+0.0020546i,0.00061213+0.0018163i,0.0017307+0.00051057i,0.0012899-0.00042912i,0.00047322-0.00071664i,-0.00093139-0.00109i,-0.0021294-0.00086258i,-0.0016028-0.00048306i,-0.0002579-0.00078448i,0.0011074-0.00076746i,0.0011356-0.00013422i,0.0010166+0.00014163i,0.00059197-1.955e-06i,-0.0002798-0.00027274i,0.00018475-0.00055976i
-0.0011565+0.0010137i,0.00033889+0.00051145i,0.0019477+0.00071397i,0.0023114+0.00016338i,0.00095439-0.0014036i,-0.0012838-0.0024744i,-0.0025695-0.0033791i,-0.001591-0.0040546i,0.000209-0.0045978i,0.00057835-0.0041222i,0.0014595-0.0025139i,0.0026267-0.002123i,0.0013813-0.0025169i,-0.00038648-0.0017678i,-0.001076-0.00073685i,-0.00086943-0.0003068i,-0.0003329+0.00023504i,-2.494e-05+0.00074072i,3.8028e-05+0.00028724i,-0.00024368+0.00029275i,-0.0004077+0.00069413i,-0.00020986+0.00042108i,-0.00030206+0.00015361i
-0.0015719+0.00086078i,-0.002042+0.0011727i,-0.0022363+0.0012632i,-0.0009235+0.00072538i,-0.00019707+0.00070653i,-0.00013437+0.00029718i,0.0012108-0.00031374i,0.0026867+4.7092e-05i,0.0027734+0.00024828i,0.00307+0.00031553i,0.0026407+3.5301e-05i,0.0021194-0.00088972i,0.0022274-0.00065883i,0.0015476-0.00034612i,0.00090982-0.00016392i,0.00074835+0.00025606i,0.0003082+0.00053133i,-0.00017942+0.00035556i,-0.00032452-0.000153i,-0.00058562+0.00041401i,-0.00093064+2.0605e-05i,-0.00036487-0.00066316i,0.00015943-0.00058756i
0.00010361-0.00066783i,-0.00019696-0.00040255i,-0.00083419-0.0012153i,-0.0011521-0.0013725i,-0.0010195-0.00055156i,0.00041965+0.0011676i,0.0015732+0.0030441i,0.0018861+0.0038683i,0.0021806+0.0028127i,0.0022222+0.0009082i,0.0013034+0.00029739i,-9.3964e-05+0.00013835i,-0.00043665+0.0012018i,0.00096036+0.0021441i,0.0019096+0.00094321i,0.0015719+8.7672e-05i,0.00081287+0.0005071i,0.00034239+0.0002219i,0.00062438-0.00025081i,0.00040235+0.00018624i,9.8833e-05+0.0008462i,0.00084583+0.0011379i,0.00095019+0.0012438i
0.00080599+0.0015817i,0.001129+0.0010782i,0.001961+0.0008376i,0.001587-0.00030432i,0.00019517-0.0011803i,-0.0012737-0.00065778i,-0.002977+0.0020186i,-0.0042659+0.0037523i,-0.0039253+0.0031095i,-0.0020338+0.001586i,-0.0012107+0.0010023i,-0.0019177+0.00053976i,-0.0014127-0.00014204i,1.7891e-05-0.00042648i,0.00073496-0.00041285i,0.00069932-0.00064267i,0.0008679-0.0012752i,0.0010872-0.0013398i,0.0017417-0.00030834i,0.00090359+0.00034744i,0.00050058+8.6089e-05i,0.00030676+0.00019016i,-0.00068754+0.00045524i
-0.0020926+0.0020575i,-0.0012328+0.0014343i,0.00062744+0.00028236i,0.001334+5.6568e-05i,0.00013162-0.00072104i,-0.0023053-0.0012483i,-0.0047371-0.0012579i,-0.0057505-0.0023391i,-0.0053364-0.0020265i,-0.0039014+0.00024118i,-0.002087+0.0011544i,-0.00061528-0.00015362i,-0.00045188-0.0017244i,-0.00043665-0.002392i,-0.00027548-0.0014311i,-0.00090103+7.6019e-05i,-0.00075637-0.00010499i,-0.00015672-0.00079558i,-1.9984e-05-0.0007058i,0.00045082-0.0014432i,0.00096573-0.0011704i,0.00069049-4.1211e-05i,-0.00016573+3.6084e-05i
0.0028542-0.0012115i,0.0025545-0.002927i,0.0021065-0.0039193i,0.00096512-0.0041452i,-0.0012741-0.0041281i,-0.0035313-0.0037581i,-0.0033882-0.0041036i,-0.00042727-0.0048687i,0.00096111-0.0037824i,-9.1031e-05-0.0021329i,-0.00021348-0.0011062i,0.00060221-0.000778i,0.0011637-0.0014964i,0.00041789-0.0020534i,-0.00045978-0.0018894i,-0.00066648-0.0014167i,-0.0010947-0.00054425i,-0.001486-0.00015436i,-0.00084229-0.00029065i,-0.00021896-6.0756e-05i,0.00010844+0.00047374i,2.0595e-05-0.00012547i,0.00016716-0.0013714i
0.00028897-0.0026181i,-0.0016371-0.0022119i,-0.002532-0.0014845i,-0.0025241-0.00098266i,-0.0019766-0.00069579i,6.3102e-06+0.0001513i,0.0032228+0.00016156i,0.0050958-0.00056221i,0.0041916-0.0012282i,0.0024238-0.00081752i,0.002084+0.00014492i,0.0024898+0.0013823i,0.00278+0.0016514i,0.0019812+0.00099215i,0.00042498+5.7378e-05i,-0.00041781-0.00029314i,-0.00065493-9.7281e-05i,-0.00043346-0.00015807i,-0.00015405+0.00056067i,0.00029841+0.001619i,0.00076266+0.0016751i,0.00078259+0.0015038i,0.00029263+0.00099016i
0.0011133+0.0019836i,0.0013892+0.0028947i,0.0018234+0.0026646i,0.0017897+0.0011521i,0.0017118-0.00045152i,0.002446-0.00056074i,0.0039863+0.0025479i,0.0033901+0.0060695i,0.002672+0.0053453i,0.00395+0.0021817i,0.0040874+0.0003393i,0.0023939+0.00050602i,9.1045e-06+0.001431i,-0.0013412+0.0013936i,-0.00055011+0.0012337i,-0.00011183+0.00057812i,-0.00036442-0.00072278i,0.00018767-0.00057331i,1.7186e-05+0.0014057i,-0.0009466+0.0018795i,-0.0011313+0.00085008i,-0.00075587+0.00054671i,-0.00023762+0.0010218i
5.5255e-05+0.00032567i,-0.00050721+0.00023449i,-0.0018517-0.00019924i,-0.0009708-0.00040739i,-0.00010438+0.000681i,-0.0013744+0.0024548i,-0.0042021+0.0042922i,-0.0058243+0.0045608i,-0.0038605+0.003002i,-0.00028993+0.0020903i,0.0020085+0.0012326i,0.001273-0.0004318i,-0.00058148-0.0013053i,-0.0010951-0.000914i,-0.0009494-0.00023763i,8.3641e-05-0.00028661i,0.0013028+3.5603e-05i,0.00090443+0.00062417i,0.00023933+0.00068209i,-0.00018048+0.00079203i,-0.00064553+0.00069023i,-0.00126+0.00030639i,-0.0020174+0.00028622i
0.00031157+0.0003941i,0.0015222-0.00030534i,0.0015589-0.0022117i,0.00030306-0.0033408i,-0.002011-0.0026261i,-0.0049235-0.0015382i,-0.0068503-0.0019184i,-0.006946-0.0034802i,-0.0053473-0.0035266i,-0.0025226-0.0017285i,0.00042382-0.0011854i,0.0021048-0.0022524i,0.001628-0.0025637i,0.00072098-0.0016171i,-1.7949e-05-0.00041214i,9.456e-05+6.2514e-06i,0.00072546-0.0003i,0.0010807-0.00082808i,0.0010346-0.00052346i,0.0008072-5.4025e-05i,0.00026431+0.00019167i,-0.00082825-9.1923e-05i,-0.00094622-0.0011448i
0.0010243-0.0014612i,-0.00070599+0.00018882i,-0.0016236+0.00015937i,-0.0020318-0.0013587i,-0.0030713-0.0016744i,-0.0034752-0.0023753i,-0.0012795-0.0046856i,0.001463-0.0059435i,0.0011481-0.0051161i,-0.00061919-0.0037744i,-0.00074387-0.0031901i,0.0010453-0.0017298i,0.0030078-0.0012325i,0.0031637-0.0021885i,0.0011239-0.0016642i,-0.00055114-0.00034502i,-0.00035941+0.00016572i,0.00053573+3.8296e-05i,0.00030168-0.00027434i,0.00051058-0.00070354i,0.0014302-0.001219i,0.0011985-0.00090523i,0.00046061-0.00027302i
-0.00038317+0.0019953i,0.00084241+0.00056193i,0.00075771-1.3493e-05i,0.00018339+0.00019945i,0.00037695-0.0010925i,0.0014483-0.0027841i,0.0044143-0.001894i,0.006017+0.00053748i,0.003896+0.0018086i,0.00094879+0.00099048i,-0.00092066+0.00018021i,-0.00071544+0.00037556i,0.00056299+0.00034075i,0.0010134-0.00017465i,-0.00025217-0.00029392i,-0.0010546-0.00054195i,-0.00064484-0.00070743i,-0.00024373-0.00031172i,0.0007577-0.00025675i,0.0011236-0.00051492i,0.001107-0.00024304i,0.0013056+0.00017693i,0.0010668+4.8806e-05i
-0.0019092+0.00079035i,-0.0010218+0.0013383i,-0.0011737+0.0030919i,-0.00034735+0.0029587i,0.0017409+0.0025296i,0.003212+0.003025i,0.0026414+0.0047848i,0.0011621+0.0059987i,-0.00026269+0.0051142i,-0.00048715+0.0030366i,0.00023963+0.0013736i,7.8896e-05+0.00066758i,-0.0010144+0.00030223i,-0.0013682+0.00037484i,-0.00080647+0.00032531i,-0.00035828+0.00012308i,-0.000824-0.00025609i,-0.00067882-0.0004436i,-0.00039269-0.00013512i,-0.00053865-3.0424e-05i,-0.00077535+0.00038451i,-0.0003384+0.00093632i,9.6289e-05+0.0006574i
0.0033395+0.00067361i,0.0031723-0.00055666i,0.0033512-0.0023303i,0.0031502-0.0031791i,0.0018893-0.001789i,-0.00024663+0.0019554i,-0.0041002+0.0049538i,-0.006744+0.0044603i,-0.0049123+0.0026878i,-0.0022048+0.002169i,-0.0010993+0.0016068i,-9.0752e-05-0.00012532i,-5.5752e-05-0.00088223i,-0.00045054-0.0003516i,0.00035108-0.00014861i,0.00058635-0.00034979i,0.00012153-0.00091354i,-0.00028351-0.00049525i,-0.00048123-0.00020246i,-0.00022276-4.553e-05i,-1.0535e-05+0.00080142i,-0.00062791+0.0016242i,-0.001228+0.0014899i
0.00049117+0.0017341i,0.00041351+0.0016447i,0.00080805+0.0023307i,0.00074471+0.0018509i,-0.00091638-0.00020454i,-0.0037493-0.0017868i,-0.0061687-0.0031727i,-0.0059261-0.0040595i,-0.0035141-0.0031986i,-0.00064678-0.0005758i,0.0018295+0.0016059i,0.0016572+0.00096842i,0.00054887-0.0012279i,0.00096432-0.0016543i,0.001751-0.00033631i,0.00097497+0.00083147i,0.00019425+0.0011147i,0.00024376+0.001507i,-0.00022253+0.0014042i,-0.0006299+0.00024069i,-0.00051079-0.00051601i,-0.00089344-0.00030757i,-0.0012455+0.0001356i
5.9735e-05+0.0011325i,0.00013831+0.00014308i,-0.0007684-0.00073113i,-0.00070534-0.0025806i,-0.001174-0.0045435i,-0.0030836-0.006767i,-0.0019567-0.0078569i,0.0018229-0.0062087i,0.0046948-0.003214i,0.0046793-0.0010957i,0.0041801+0.00043717i,0.0041383+0.0014231i,0.0024856-0.00045039i,0.0011364-0.0014202i,0.00063553-0.00055775i,3.1665e-05-0.00039872i,0.00035348+0.00038703i,-8.4502e-05+0.00088897i,-0.001301+1.3594e-05i,-0.0011805-0.00048675i,1.4517e-05-0.0017534i,0.00083863-0.0025223i,0.00029996-0.0017254i
-0.00068623-0.00048542i,-0.00068983-0.00054357i,-0.0018902-0.0014466i,-0.0025764-0.0022704i,-0.0020725-0.0022574i,0.00085465-0.0018378i,0.0041127-0.00067029i,0.0049034+0.00090422i,0.0041011+0.0013782i,0.002481+8.615e-05i,0.0012638-0.00053497i,0.0012899-0.00028069i,0.00014637-0.00053168i,-0.00054147-0.00069936i,-0.0001076+0.00023973i,-0.00026572+0.00064823i,-0.00029169-0.00020581i,0.00024416-0.00057971i,0.00051705-0.00022203i,0.00068564-0.00094011i,0.0014921-0.0019293i,0.0016137-0.0014621i,0.00067406-0.00076745i
0.00046663+0.00062552i,0.00050018+0.00082395i,0.00042255-0.00026365i,0.0016316-0.0014965i,0.0020849-0.00048745i,0.0017502+0.0031824i,0.0013664+0.007114i,-0.00044025+0.0082525i,-0.0011836+0.0053079i,-0.00092447+0.0013576i,-0.00078169-0.0012622i,-0.00011197-0.0016182i,0.00016952-0.00072832i,-9.0256e-06-0.00051734i,-0.00033728-0.00049163i,-0.00026382-0.00082383i,0.00052345-0.001108i,0.00050355-0.00081762i,5.4068e-06-0.00031493i,0.00043877-0.00024486i,0.0011213-0.00045431i,0.00074622-0.00031754i,0.00067273+0.00027626i
-7.0124e-05+7.6585e-05i,0.00012774+0.00089652i,0.00054429+0.001881i,0.00070901+0.001551i,0.00019891+0.0029662i,-0.002322+0.0056694i,-0.0064157+0.006497i,-0.0085624+0.0056883i,-0.0071508+0.0027589i,-0.0037532-0.00077531i,-0.0015421-0.0016483i,-2.4193e-05-0.001145i,0.00019804-0.00075003i,-2.5171e-05-0.00090082i,0.00061203-0.0013134i,0.00088973-0.0011496i,0.00058251-0.00068366i,0.00050398-0.00025857i,0.00051045-0.00014487i,0.00047012+1.9682e-05i,0.00089285+0.0015726i,0.00054009+0.0017734i,0.00049981+0.00050612i
0.00058567-0.0023211i,-0.0014808-0.0020724i,-0.0031158-0.0030418i,-0.0039887-0.0033193i,-0.0050944-0.0022037i,-0.0072676-0.0019718i,-0.0077453-0.0040794i,-0.0060613-0.0065237i,-0.0032274-0.0063993i,-0.0013285-0.0038042i,0.00015305-0.00070801i,0.00099321+0.00067925i,0.0007685+0.00044371i,0.00055128-0.00019244i,0.00062445-0.00076181i,0.00098273-0.00064957i,0.0010238-2.5639e-05i,0.00097579+0.00080391i,0.000392+0.0012208i,-0.00053197+0.00073233i,-0.0013539+0.0013374i,-0.00071711+0.0011284i,0.00063273+0.00067037i
-0.00059744+0.00036144i,0.00080204-0.00076064i,0.0014223-0.0018836i,-0.00018306-0.001854i,-0.0015717-0.0026508i,-0.0019414-0.0057951i,-0.00048014-0.0085305i,0.0019659-0.0086044i,0.0031265-0.0063285i,0.002879-0.0023131i,0.0021711+0.0014791i,0.00086175+0.0028537i,-0.00055574+0.0018227i,-0.00089466+0.00042136i,-0.00048424+8.3698e-05i,0.00010181+1.891e-05i,-0.00011101+0.00058746i,-2.5116e-05+0.00090188i,-0.00024166+0.0011043i,-0.0007442+0.00065103i,-0.00054566-0.00032721i,-0.00064989+0.00017513i,-0.0012606+0.0011054i
-0.0016254+0.00016998i,-0.00050531+0.0022065i,-0.00047643+0.0018528i,-0.00096954-0.00053939i,-0.00049846-0.0022594i,0.0038883-0.0027001i,0.0077033-0.0013273i,0.0084335-0.00042751i,0.007466-0.00040743i,0.0048652+0.00012933i,0.0032016+0.00088037i,0.0019883+0.00048306i,0.00067639-0.00095162i,0.00014602-0.00088532i,-0.00085052+0.00081045i,-0.0019245+0.0014971i,-0.0011502+0.00083358i,-5.3544e-06+0.00041466i,-0.00018158+0.00064165i,0.00021124+0.0010651i,0.00063267+0.001058i,-0.00016688+0.00051146i,-0.00097447-0.00032402i
0.0029861+0.0019238i,0.0029257+0.0020543i,0.0023777+0.00162i,0.0018606+0.00046205i,0.0023016-0.00020119i,0.0035181+0.0035014i,0.0037119+0.008978i,0.0032185+0.0099679i,0.0030611+0.0070102i,0.0018806+0.0030873i,0.00079066+0.00047795i,0.0010599-0.00011891i,0.0013656+0.00064306i,0.00091269+0.0010136i,0.00011755+0.00038582i,2.5938e-05-0.00066009i,0.00020353-0.00060305i,0.00010992-0.00025024i,0.00020763-0.00053508i,0.00083707-0.0010772i,0.0016192-0.0012841i,0.0017391-0.0013977i,0.00077803-0.0014167i
-0.00022313+0.0034256i,4.1296e-05+0.002866i,0.00049626+0.0014108i,0.00040071+0.00080432i,-0.000836+0.0009123i,-0.0044711+0.0027089i,-0.0085639+0.005369i,-0.0093528+0.00723i,-0.007357+0.006558i,-0.0043244+0.0030914i,-0.0017745+0.0001144i,-0.00031291+0.00016963i,0.00085836-0.00029864i,0.00099809-0.0011345i,0.0012169-0.0004201i,0.0020049+0.00014694i,0.0019766+6.3045e-05i,0.0015041-0.00060527i,0.0011244-0.0010643i,0.0013127-0.00078114i,0.001143-0.0011265i,0.0010717-0.00059318i,0.0015247-0.00029386i
0.0031455-0.00066895i,0.0026317-0.0024798i,0.0023429-0.0046947i,0.0012559-0.0050866i,-0.002395-0.0037436i,-0.0066603-0.0040397i,-0.0098723-0.0053135i,-0.011036-0.0048958i,-0.0090116-0.0026296i,-0.0058442-0.0016319i,-0.0024899-0.00095607i,-0.00088927+0.00045016i,-4.7111e-05+0.00038264i,0.0011858-0.00081689i,0.0019908-0.0011341i,0.0019123-0.00011186i,0.0011804+0.00073538i,-3.6595e-05+0.00026683i,-0.00045515-0.00076042i,4.7627e-05-0.00014943i,0.00042315+0.00051281i,0.00079368+0.0010355i,0.00093843+0.0013877i
0.0015781-0.00092253i,0.0012008-0.0013373i,0.0014749-0.0017096i,0.0010974-0.0028687i,-0.00057821-0.0043648i,-0.00080792-0.0068849i,0.00038722-0.010019i,0.0010785-0.011347i,0.00052484-0.0097554i,0.00054738-0.0056144i,0.00013223-0.0020946i,-0.00062639-0.001803i,-0.00080615-0.0022658i,-4.0404e-05-0.0021935i,0.0013461-0.0014444i,0.0009679-0.00046645i,0.00080712+0.00017959i,0.0009159+0.0010467i,0.00043328+0.00083372i,-0.0002308+0.00063282i,-0.00081208+0.0017815i,-0.00020214+0.0023934i,0.00056276+0.002142i
-0.0015571+0.0014688i,-0.0014944+0.0012763i,-0.0010518+0.0012453i,-0.00076772+0.00077776i,0.0015565-0.0014723i,0.0056115-0.0017197i,0.0095835-0.0010657i,0.011942-0.0016778i,0.01105-0.0025778i,0.0086362-0.0011753i,0.0064962+0.00048016i,0.0047522-0.0011829i,0.0023146-0.0018235i,-1.3014e-05-0.00090868i,-0.001683+0.00033253i,-0.0020687-0.0001226i,-0.0019687-0.00053527i,-0.0020851+0.00070604i,-0.0014238+0.0021146i,-0.00039135+0.0029818i,-0.00099907+0.0026163i,-0.0022813+0.0015524i,-0.0021056+8.9519e-05i
-0.00029548+0.00074692i,-0.00031272+0.00018399i,-0.00061753-0.0007226i,0.00012211-0.00099693i,0.0015936+0.00057985i,0.0021548+0.0049942i,0.0027413+0.010339i,0.0052517+0.011322i,0.0079795+0.0088179i,0.0078965+0.0059813i,0.0068395+0.0038247i,0.0046375+0.0016146i,-0.00011869-6.7979e-05i,-0.0035315-0.00057656i,-0.0028957-0.0012413i,-0.0015895-0.0011125i,-0.0011756-0.0011871i,-0.0010299-0.0010499i,-0.00086277-8.4856e-05i,-0.00016394-0.00014588i,0.00016237-0.00082331i,-0.00048694-0.00073088i,-0.00058703-0.00049577i
-0.0011256-0.00039459i,0.00028466-0.00050869i,0.0005375+0.00054308i,0.00022253+0.0011634i,-0.002315+0.0017157i,-0.006379+0.0035182i,-0.0096977+0.0067472i,-0.0093535+0.0097152i,-0.0052966+0.010004i,-0.0020551+0.0068064i,-0.00079373+0.0037235i,-5.0463e-05+0.0022809i,0.00027283+0.00048878i,-0.00054216-0.0011051i,-0.0011977-0.00075739i,-9.0704e-05+0.0002656i,0.0015497+0.00061293i,0.0014498+0.00019177i,-0.00011522-0.0017893i,-0.00038077-0.0024709i,0.00040562-0.0011137i,0.00084908-0.0003141i,0.00092965-0.00037859i
-0.0012308-0.00042034i,-0.00152-0.00035438i,-0.0015153+3.5029e-05i,-0.0015041+0.00031182i,-0.0037739-0.0017785i,-0.0073675-0.0056673i,-0.011526-0.0072358i,-0.015683-0.0053682i,-0.015677-0.0026192i,-0.010873-0.0022991i,-0.0058081-0.0029782i,-0.0042892-0.0018276i,-0.003039+0.00028499i,-0.00022618+0.00032464i,0.00097145-0.00027002i,0.001153+0.00052047i,0.0013884+0.0011132i,0.0015417+0.00030464i,0.0017903-0.0017367i,0.0015358-0.0029407i,0.0017267-0.0017323i,0.0022104-1.4978e-05i,0.0022968+0.00020165i
-0.0011377-0.00019043i,-0.0016288-0.0010769i,-0.0018359-0.0014488i,-0.00074076-0.00075864i,0.00032082-0.002017i,0.00095871-0.0057832i,0.00051888-0.010103i,-0.0021874-0.013316i,-0.0063375-0.013491i,-0.0065941-0.0099168i,-0.0035573-0.006492i,-0.0011361-0.0045756i,0.0014134-0.0023187i,0.0039257+6.8092e-05i,0.0037812+0.0011892i,0.0022086+0.00078077i,0.0018352-0.00027273i,0.0018926+0.00028378i,0.0015402+0.0015665i,0.0015516+0.0011612i,0.00092012+0.00075005i,0.00024363+0.0011524i,0.00058002+0.0014374i
-0.00081641-0.0027586i,-0.0011738-0.0019012i,-0.0017487-0.0018679i,-0.0010249-0.0013568i,0.0012898+0.00022216i,0.005404+0.0021424i,0.010544+0.001338i,0.012547-0.0035651i,0.0095553-0.0075387i,0.0040217-0.0057019i,0.0019069-0.0018676i,0.002979+0.00017573i,0.0024277+5.4323e-05i,0.00034903+0.00011545i,-0.00086168-0.00020691i,-0.00085546-0.0017166i,-0.0011414-0.0017326i,-0.0011366-0.00050585i,-0.00097098+0.00045083i,-0.0013565+0.00091058i,-0.0020112+0.00053136i,-0.0022284+8.3561e-05i,-0.0024758+0.00010183i
0.0034652+0.001718i,0.0049229+0.00048302i,0.0061716-0.0020585i,0.0048033-0.0027024i,0.0019685+0.00021708i,-0.00039923+0.0059936i,0.0012684+0.011314i,0.0069205+0.01269i,0.011387+0.0096516i,0.010779+0.0064824i,0.0066956+0.0060826i,0.0038626+0.0048901i,0.00078983+0.0012414i,-0.0025704-0.0019314i,-0.0026893-0.0018546i,-0.0014034-0.001282i,-0.00058818-0.0016171i,-0.0010842-0.00083716i,-0.0018809+0.00091369i,-0.0016938+0.0013724i,-0.0018991-0.00026122i,-0.0022413-0.0013739i,-0.0018281-0.0014177i
-0.00024461+0.00063863i,-0.00082872+0.002362i,-0.0013761+0.003514i,-0.0017678+0.0022246i,-0.0034229+0.00029751i,-0.0079012+0.0013531i,-0.011192+0.0054775i,-0.0080278+0.01102i,-0.0011496+0.013118i,0.003231+0.010308i,0.0033014+0.0059396i,0.002232+0.0023989i,0.0018969+0.00025822i,0.00056567-0.0020485i,-0.00082586-0.0029309i,-0.0009872-0.0015628i,-0.0010636-0.00044358i,-0.0014152-0.00017072i,-0.001708-0.00060259i,-0.0019981-0.00074146i,-0.0018823-0.00039675i,-0.001014+0.00034505i,-0.00015257+0.00040599i
-0.00043413-0.00093808i,-0.00050973-0.0012794i,-0.0017229-0.0015831i,-0.0021647-0.0034009i,-0.0020013-0.0067972i,-0.0042549-0.0090648i,-0.0093257-0.0083831i,-0.013577-0.0034937i,-0.011909+0.0019864i,-0.0050232+0.0022772i,0.00047031-0.0012587i,0.0016739-0.0033473i,0.00081874-0.0023581i,0.00096444-0.00031005i,0.00088317+0.00057552i,0.00061583+0.00051217i,0.00037385+0.00067317i,0.00029091+5.6721e-05i,0.0015932-0.0010628i,0.0020501-0.0012972i,0.0015843-0.00034719i,0.0011271+0.00012375i,0.00072373+9.0574e-05i
-0.003834-0.0026119i,-0.0043695-0.00058184i,-0.0046742+5.4422e-05i,-0.0036281+0.00052817i,-0.00044268+0.0018389i,0.0031644-0.0014957i,0.0029462-0.0081394i,-0.0023899-0.011885i,-0.0075394-0.011121i,-0.0070672-0.0077124i,-0.0027431-0.006057i,0.00044583-0.0051863i,0.00031415-0.0019178i,8.8756e-05+0.0014234i,0.00085387+0.002092i,0.0010325+0.0013331i,0.00099492+0.00094853i,0.0013084+0.00093534i,0.0016499+0.0010196i,0.0018978+0.0010764i,0.0014308+0.00070252i,0.00060981+0.00027i,0.00031948+0.00043667i
0.0020538-0.00035368i,0.0025281-0.00075206i,0.0029501-0.0017394i,0.0036967-0.001217i,0.0053712+0.0016651i,0.0074569+0.0040866i,0.010128+0.0028274i,0.010338-0.0041002i,0.0057477-0.010454i,-0.00077263-0.0097169i,-0.0035118-0.0051669i,-0.0030561-0.0014776i,-0.0026318-0.00057963i,-0.0019517+0.00022531i,-0.00068976+0.0014852i,0.00035032+0.0012353i,0.0005721-0.00035604i,0.00056734-0.00084152i,0.0015182-0.00076736i,0.0022969-0.00088734i,0.0024516-0.00054454i,0.0021512-0.00069772i,0.0013293+9.8351e-05i
-1.2555e-05-0.00025131i,0.0005055+8.2417e-05i,0.00018257+0.00037207i,-0.0015342+0.001055i,-0.0048114+0.0031167i,-0.0062048+0.0072725i,-0.0021591+0.011031i,0.0041451+0.0095996i,0.0066877+0.0033636i,0.002224-0.0006253i,-0.0028906+0.00084532i,-0.0027013+0.0022845i,-0.00081551-0.00014079i,-0.00014348-0.0029855i,0.00016434-0.0035068i,-0.00027278-0.002151i,7.9903e-05-0.00018557i,8.5355e-05+0.0011883i,-0.00051146+0.0013963i,5.4354e-05+0.0012901i,0.00040901+0.0016891i,-0.0003564+0.0013787i,-0.00081147+0.00023055i
0.0035204+0.0023107i,0.0051318+0.00070068i,0.0040114-0.0012566i,-0.00080208-0.0042045i,-0.0053074-0.0070757i,-0.01065-0.0067774i,-0.013148-0.00097742i,-0.0076199+0.0068956i,0.0013064+0.010466i,0.0052449+0.0082263i,0.0033402+0.0047404i,0.0015873+0.0029679i,0.0020663+0.0010812i,0.0018649-0.0016774i,0.00081704-0.0031224i,-0.00032522-0.002662i,-0.0019187-0.001045i,-0.0029265-0.00079186i,-0.0027204-0.0011308i,-0.0026832-0.00044344i,-0.002756+0.00044148i,-0.0024188+0.0012678i,-0.00097787+0.001219i
-8.3191e-06+0.00072733i,-0.00028562-0.0015663i,-0.00049595-0.0034314i,0.00077438-0.0050622i,0.0029122-0.0084127i,0.0013024-0.012463i,-0.0046113-0.011414i,-0.0082416-0.0040812i,-0.0048471+0.0043484i,0.0023219+0.0078263i,0.0071248+0.0063419i,0.0065268+0.0038824i,0.0039004+0.0017745i,0.0024013+0.00047204i,0.0017747+0.00031416i,0.00075002+0.00017393i,-0.00028138-2.2715e-05i,-0.00048667-0.00030947i,-0.0004665-0.00073724i,-0.00078925-0.001078i,-0.0017219-0.0010304i,-0.0018589-0.00011844i,-0.00066406+0.00020023i
-0.0019925-0.00059339i,-0.0014335+0.00012406i,-0.00094865+0.0010853i,0.001452+0.0011701i,0.0055393+0.0008101i,0.0083637+0.00053981i,0.006801-0.0024834i,0.0011301-0.0054347i,-0.0025313-0.002374i,5.4971e-05+0.0026283i,0.0043593+0.0035476i,0.0045656+0.0012192i,0.0020904+0.00017382i,0.00070825+0.0014698i,9.4906e-05+0.0031481i,0.00038876+0.0038358i,0.0011092+0.0025776i,0.0013471+0.00055424i,0.0016867+3.763e-05i,0.0021156-0.00010093i,0.0018428-0.00094647i,0.0014479-0.0012308i,0.0009784-0.0011751i
-0.0024805-0.00027881i,-0.00034697+0.00076021i,0.0011119+0.0034488i,0.0027474+0.0067279i,0.0035463+0.011294i,0.0031358+0.012017i,0.0046285+0.0075701i,0.0043181+0.00016919i,-0.0003686-0.0053227i,-0.0031621-0.0060736i,-0.0024262-0.0050002i,-0.0025815-0.0049207i,-0.0044424-0.0039771i,-0.0049742-0.0016339i,-0.0034529+0.0012827i,-0.00085607+0.002018i,0.0010856+0.0011508i,0.0021141-0.0001954i,0.0030907-0.00077991i,0.003172+0.00017875i,0.0027753+0.00038801i,0.0017077-0.00038106i,1.95e-06-0.00025372i
0.0066554-0.0094526i,0.0015886-0.01118i,-0.0039294-0.013819i,-0.011012-0.0095179i,-0.019616-0.0040036i,-0.021794+0.0024626i,-0.012678+0.007362i,-0.0027057+0.004602i,-0.000515-0.0057101i,-0.004866-0.013011i,-0.0070996-0.010474i,-0.0045707-0.0050127i,-0.0014245-0.0020526i,0.0011552-0.00071608i,0.0018627-0.001499i,0.00077306-0.0016406i,0.00040033-9.7902e-05i,0.00043488+0.00098808i,0.00061281+0.001866i,0.00057399+0.002076i,0.00051166+0.0016835i,0.00026164+0.0020307i,-0.001088+0.0013967i
0.0051291-0.0012457i,0.0041191-0.003891i,0.0014727-0.0083074i,-0.0030503-0.012314i,-0.0058467-0.01667i,-0.0066598-0.014971i,-0.0082599-0.0077437i,-0.007549-0.0019158i,-0.0028233-0.0017004i,-0.0015186-0.0053424i,-0.0032947-0.0057664i,-0.0024005-0.0023227i,0.0014635-0.00069492i,0.0043694-0.002336i,0.0035962-0.004326i,0.00096268-0.0043402i,-0.0014728-0.0029364i,-0.0030615-0.0015235i,-0.0027887-0.0011781i,-0.0020153-0.0016854i,-0.0017175-0.0016715i,-0.00095977-0.00036707i,-0.00080921+0.00038708i
