0.00032965-1.7738e-05i,0.00092776-0.00096086i,0.00037628-0.0013194i,-0.0017006-0.0016969i,-0.002171-0.0011636i,-0.00076973+0.00083162i,-0.00014226+0.0016732i,-1.5759e-05+0.0013973i,0.00076706+0.0013876i,0.0012816+0.0011302i,0.00024006+7.9385e-05i,-0.00080094-0.0011888i,-0.0005462-0.001272i,2.6008e-05-0.000933i,0.00038971-0.0011424i,0.00027136+5.796e-06i,8.376e-05+0.00022623i,0.00035758-0.00057558i,0.00033831-0.00041858i,-0.00044306+0.00013545i,-0.0010272+1.9122e-05i,-0.00020155-6.9292e-05i,9.8295e-05-0.00023882i
-0.0013451-0.00060386i,-0.0014329-0.00046996i,-0.0016484-0.001163i,-0.00087802-0.0020224i,9.857e-06-0.0013889i,-0.00010461+0.00039738i,-0.0001814+0.0010429i,0.00021624+0.00054152i,-0.00013066+0.00087064i,-0.00038464+0.0012374i,-0.00048965+0.0007151i,-6.9085e-05+0.00011213i,0.00071004-0.00053732i,0.00074385-0.0010454i,-4.0757e-06-0.0004885i,-0.00069323+0.00012559i,-0.00054901-0.00066289i,7.2039e-05-0.00088713i,-0.00011264-9.6785e-05i,-0.00046229+0.00089845i,0.00018439+0.00074849i,0.00119+7.9718e-05i,0.001013+0.00012646i
0.0022746+0.0017712i,0.0023415+0.00064706i,0.0025967-0.00086627i,0.0014696-0.0019382i,0.00019924-0.0022008i,-0.00045767-0.0014925i,-0.00069752-0.00023691i,-0.00048038+0.0011756i,0.00014064+0.0011937i,0.00011455+0.0001579i,0.00010855-0.00035601i,0.00030865+2.1695e-05i,-0.0002536+0.00063658i,-0.00057546+0.0010269i,-0.0006977+0.0010907i,-0.00070815+9.0362e-05i,0.00060164-0.0008843i,0.0011124-0.00029333i,0.00032052+0.00043389i,-0.00057928+0.00048859i,-0.00063044+0.00048084i,-0.000218+0.00021462i,-8.5617e-05-3.6332e-06i
-0.0019688+0.00032226i,-0.0025082+0.00091504i,-0.0010193+0.0010502i,0.00082799+0.00042363i,0.0015167-0.00078198i,0.0012706-0.0011201i,0.00094953-0.00026198i,0.00091169+0.00053856i,0.0008741+0.0006882i,0.00054522+0.00052909i,0.00041239+0.00026785i,6.1374e-05-0.00052215i,-0.00082428-0.00033702i,-0.0010066-0.00036284i,-0.00014899-0.00091956i,0.00034203-0.00070078i,-6.7584e-05-0.00067494i,-0.00023783-0.00033338i,1.4169e-05-0.00068419i,-0.00013243-0.00054539i,-0.00067652+0.00062111i,-0.00021551+0.00066543i,0.00025757+0.00023725i
0.0007679-0.00060886i,0.0024117-0.0001482i,0.00274+4.4035e-05i,0.0018902+3.9839e-06i,0.0017009+0.00068589i,0.0013726+0.00093787i,0.00041738+0.00056758i,0.00020599+0.00057188i,2.87e-05+8.8346e-05i,-0.00044673-0.00047157i,-0.00020968-0.00047664i,8.5029e-05-0.00063798i,8.0758e-05-0.00046003i,-1.3955e-05+0.00070873i,-0.00023353+0.00081292i,-1.8201e-05-0.00030483i,0.00021993-0.00034785i,-0.00041869-0.00031173i,-0.00038139-0.00047212i,0.00023104-0.00063988i,0.0008026-0.00071714i,0.00090735-0.00022741i,0.00031547-0.00017035i
0.00044936-0.00040468i,6.8151e-05-0.00028504i,-0.00042563+0.00048615i,-0.00026349-0.00021142i,0.00051584-0.00039256i,0.00091233-4.4747e-05i,0.0012208+0.00051947i,0.0012941+0.0011353i,0.0010289+0.00081059i,0.0009128-0.00045314i,0.00048391-0.0010801i,0.00035312-0.00032539i,0.0011376+0.00071716i,0.0017971+0.00023213i,0.0010586-0.00077108i,-0.00046942-0.00088233i,-0.00011782-0.00068467i,0.0010907+0.00017549i,0.00096203+0.0003837i,0.00024339-0.00057575i,-0.00020771-0.000411i,-0.00040631-2.0394e-05i,-0.000111-0.00043988i
0.00062034+0.00079956i,0.00010335+0.00036515i,-0.00085977+5.2657e-05i,-0.00050163-0.00023941i,0.00010608-0.00035054i,-0.00012896-0.00072207i,-0.00070632-7.3585e-05i,-0.0009164+0.00098441i,-0.0013825+0.00079345i,-0.001285+0.00010037i,-0.00080995-0.00014162i,-0.00051758-0.00011882i,-0.00079767-0.00029084i,-0.00033947-0.00058925i,0.00076114-0.00093641i,0.00021654-0.00014113i,-0.00061472+0.00055228i,-0.00063715-0.00019246i,-0.00035394-0.0001095i,0.0003091-4.5e-05i,0.00041625-0.00058557i,-0.00013303-0.0010485i,-0.00071924-0.0012372i
0.0014359+0.00077551i,0.00078048+0.0012688i,0.00057325+0.00038275i,-9.5439e-05-0.00036051i,-0.0009641-0.00044636i,-0.0011011-0.0010343i,-0.0011752-0.001092i,-0.00077717-5.3729e-05i,-0.00079085+2.6305e-05i,-0.00092541-0.00042978i,-0.00082274-0.0010927i,-0.00027699-0.0011621i,0.00054647-0.0010946i,0.00080522-0.001223i,0.00030064-0.00059746i,-0.00047669-0.00067196i,-0.0003768-0.00051493i,0.00018095+0.00035361i,-0.00012203+0.0004079i,-0.0006485+0.00056181i,-0.00081195+0.00024298i,4.6357e-05-0.00039796i,0.00045057-0.00035555i
-0.0013198+0.0002971i,-0.0018823-9.3569e-05i,-0.0018367-0.00048074i,-0.00064286+9.9945e-05i,0.00042672+2.1476e-05i,0.0011808-0.00070571i,0.00142-0.00051038i,0.0010704+0.00023642i,0.00029888+0.00060226i,0.00018467+0.00042037i,0.00053401+0.00055424i,0.00050821+0.00043961i,0.00080357+0.0003259i,0.0006948+0.00012269i,6.158e-05+0.00029467i,-0.00050182+0.0004775i,-0.00077922+0.00012786i,-0.00094899-0.00023355i,-0.00054145-0.0011963i,-4.8541e-05-0.0010007i,-5.6817e-05+8.1464e-05i,-7.2788e-05+0.00025998i,0.00054905+0.00028129i
-0.00033705-0.0035142i,-0.0012674-0.0037586i,-0.0018281-0.0034091i,-0.0011031-0.0016631i,0.00016012+0.0004193i,0.0008956+0.00056387i,0.0010807+0.00013158i,0.00077612+0.0005052i,0.00074765+0.00065989i,0.00072639+0.00081562i,-8.2697e-05+0.00053342i,-0.0006091+0.00016861i,-0.00041567+0.00091975i,-0.00028239+0.0011247i,0.00039408+0.00030761i,0.00093284-0.00025705i,1.6406e-05-0.00018896i,-0.00044939-0.00059434i,-1.6064e-05-0.00020921i,0.00072009+0.00056501i,0.0016211+0.00025885i,0.0016848-0.0004384i,0.0010718-0.00071424i
0.00039621+0.00323i,0.0017902+0.0032105i,0.0025973+0.0015597i,0.0021562-0.0009166i,0.0014512-0.0019978i,0.00085559-0.0016846i,0.00060135-0.0013052i,0.0006184-0.00084976i,0.0011549+9.1231e-07i,0.0015028+0.00022028i,0.0012122+0.00048166i,0.00045196+0.00069269i,-0.00050889+0.00074809i,-0.00091599+9.0234e-05i,-0.0012649-0.00049354i,-0.0011114+0.00012184i,-0.00085373+0.00045974i,-0.00077626-0.00044124i,-0.0010646-0.00099332i,-0.00094756-0.00044085i,-0.00037085-0.00027694i,0.0001957-3.0232e-05i,0.00026611+0.00019291i
-0.00027722-0.00069423i,-0.00090263-0.0013377i,-0.00084773-0.0015584i,0.0007598-0.00069406i,0.001408-0.00028691i,0.00036663-0.00022407i,-0.00043423-7.1904e-05i,-0.00076653-3.1555e-05i,-0.00032253+0.00017643i,0.00072662-8.9247e-05i,0.00045976-0.00061116i,-0.00032532-0.000989i,3.9053e-05-0.00044112i,0.00068212+0.00037964i,0.00074691+0.00025164i,0.00037308-1.8536e-05i,0.00033657-0.00026503i,0.0005799-0.00055794i,0.00030225-0.00016313i,7.6187e-05-0.00020693i,0.00031417-0.00030676i,6.9457e-05-3.9508e-05i,-0.00024193+0.00024734i
-0.00041691+0.0004257i,0.0017564+0.0012678i,0.0021656+0.0005397i,0.0016096-0.00082819i,0.0018419-0.00056841i,0.0019775+0.0001462i,0.0011119+0.00063048i,0.00025241+0.00062493i,-0.00048828+0.0010236i,-0.0010435+0.00074298i,-0.00056199-5.808e-05i,0.00031242+0.00011544i,0.00071216-5.7949e-05i,0.00070401-0.00077593i,0.00075213-0.00082019i,0.00017362-0.00048547i,-0.00046374+0.00012746i,-0.00073046+0.00062359i,-0.00042579+0.00028685i,-1.7723e-06-0.00020234i,-0.00011051-0.00029872i,-0.00068151-0.000533i,-0.00088445-0.00089652i
-0.0019703-0.00095115i,-0.003184-0.00062892i,-0.0032364+0.00026294i,-0.0016084-0.00024431i,-0.00043164-0.00090536i,-0.001081-0.00032469i,-0.0008903-0.00030364i,5.5068e-05-0.00033085i,-3.0981e-05+0.00072046i,-0.00042923+0.00094882i,-0.00048424+0.00033786i,-0.00071907-0.00020209i,-0.00030177-0.00098081i,0.00069829-0.00066832i,0.00067815-2.1794e-05i,0.00037881+0.00032199i,0.00042851+0.00062777i,0.00063547+0.00036454i,0.00058598-0.0004174i,0.00021865-0.00080243i,0.00030316-0.0001263i,0.00052442+0.00020726i,0.00022805-0.00051326i
-0.0014484-0.0021215i,-0.00087958-0.0015216i,-0.00014588-0.00097343i,0.0010932-0.00026023i,0.0019949+0.0006733i,0.0018839+0.0016723i,0.001188+0.0015275i,0.00048304+0.00019946i,0.00057201+0.00024996i,0.00018469+0.00088879i,-0.00062529+0.00056141i,-0.0010714-0.00035621i,-0.00090946-0.00089138i,-0.00051783-0.00070886i,-0.00025505-0.00040723i,-0.00057431-0.00075284i,-0.00039086-0.00083661i,0.00064236-0.00069672i,0.00018784-0.00036028i,-0.00072506-0.00095094i,-0.00047318-0.0016992i,-0.00040544-0.0011335i,-0.0010093-0.00034457i
0.00028329+0.00085529i,-0.00045861+0.00047991i,-0.00026939-0.00024467i,0.00073006-0.0011919i,0.00021921-0.0018113i,-0.0012437-0.0011953i,-0.00070501+0.00024303i,0.00031873+0.00054986i,0.00030888+6.9212e-05i,-8.5381e-05+0.000219i,-0.00040927+0.0007727i,-4.6949e-05+0.0004815i,0.00098598+0.00026716i,0.0012107+0.0010149i,0.00066059+0.0012641i,0.00059583+2.4869e-06i,0.00042278-0.00079676i,0.00079448-0.00025253i,0.00042859-0.00027293i,-0.0006998+0.00022701i,-0.00044179+0.00029782i,-8.7006e-05+0.00030644i,-5.3755e-05-1.5811e-05i
-0.0022534-0.00048441i,-0.0026965-0.00075904i,-0.0017324-0.00087672i,-0.00053174-0.00037319i,0.0017551-9.5234e-05i,0.0028217-0.00064772i,0.0018103-0.00060756i,0.0011427-0.00036403i,0.00070751+0.00016232i,0.00014961+0.00057909i,0.00034951+0.00013348i,0.00046815-0.00010076i,0.00047727+0.00025511i,0.00047486+0.00060345i,0.00035437+0.00019435i,-0.00033801-0.00017474i,-0.00049716-0.00042279i,-0.00028935-0.00030211i,-0.00026324-0.00039853i,0.0003777-0.00033368i,0.00027133-0.0001252i,0.00051198-0.00081174i,0.0010587-0.0007908i
3.777e-05-0.00038145i,0.00050695-0.00017431i,0.00033357+0.00088338i,0.00041691+0.00078656i,0.0010972+0.00031038i,0.0014774-0.00031465i,0.00079135-0.00096175i,0.00050053-0.00057288i,-2.0846e-05+0.00069939i,-0.00059458+0.0007975i,-0.00067846+0.00010775i,-0.00026669-9.8559e-05i,3.8193e-05-0.00066284i,0.00022882-0.0010466i,0.00022566-0.00026295i,0.00037546-0.00012984i,0.0010314-0.0006014i,0.00082151-0.00036569i,0.00011848-0.00042901i,-0.00040322-0.00047249i,-0.00055673+0.00014762i,-0.00029634+0.00014374i,-0.00022618+2.1435e-05i
-0.0019093+0.0018674i,3.4487e-05+0.00072168i,0.0012177+0.00040554i,0.001612-0.00099947i,0.00040487-0.0019963i,-0.00069662-0.0011288i,-0.0010063+3.8653e-05i,-0.0010165+0.00095922i,-0.0013827+0.0011837i,-0.00091113+0.0011226i,-0.0002307+0.00034083i,-0.00010992-0.00064898i,9.3187e-05-0.0010548i,-0.00032704-0.00093202i,-0.00039089-0.00083482i,-0.00058983-0.00060842i,-0.00068266+2.3986e-05i,-3.2326e-05+0.00047946i,0.00024417+0.00060764i,0.00058761+0.00065706i,0.00064892+0.00052393i,3.4061e-05+5.9441e-05i,0.00020693-0.00042067i
0.002932+0.00032704i,0.0040915-0.00018984i,0.0035103-0.00039461i,0.0025522-0.00079709i,0.0023807-0.000984i,0.00090392-0.00067641i,-0.00078624+0.00045194i,-0.00073223+0.0011598i,-0.00060661+0.00050955i,-0.00017375-0.00058004i,6.0888e-05-0.0009718i,-0.00017984-0.00050922i,-0.00027375-7.3287e-05i,-0.00047627-0.00010912i,-0.0002401-0.00081187i,0.00041849-0.0013703i,0.0012309-0.0012206i,0.0012284-0.00014994i,0.00028635+0.00012703i,-0.00015414-7.621e-06i,0.00047443+0.00029359i,0.00057706+0.0008895i,-0.0003239+0.00036274i
-0.0014504-0.00079236i,-0.0014992-0.00013455i,-0.0018595-0.00071878i,-0.0011622-0.00078042i,-0.00021599-0.0005008i,4.2638e-05-0.00024937i,-0.00048148+9.4565e-05i,7.5003e-05+0.00045044i,0.00081988+0.00043543i,0.00044181+0.00033625i,-0.00018748+0.0004666i,-0.00031481+0.00062653i,-0.00062485+0.00080674i,-0.0010707+0.00022463i,-0.00013673+6.0597e-05i,0.00017397+0.00018462i,0.00036147-3.445e-05i,0.00068481-0.00025042i,7.3641e-05-0.00032212i,0.00016589+0.00022082i,0.00090544+0.0002108i,0.00039099+0.0003123i,-0.00046773+0.00067013i
0.00093157-0.0017184i,0.0010844-0.0014817i,0.0012727-0.0018298i,0.00099345-0.0014882i,0.0005695-0.00049016i,-8.4818e-06+0.00052472i,-0.00022071+8.0328e-05i,7.6013e-05-0.00021755i,0.0004222+0.00034683i,0.00062071+0.00065947i,4.2217e-05+0.00048013i,0.00010824-8.3289e-07i,0.0006167+0.00055838i,0.00029322+0.0014512i,-0.00033693+0.0010009i,-0.00054023+0.00022565i,-0.00051224-0.00034923i,-0.00033842-0.00020377i,0.00015525+0.0005549i,0.0003677+0.00025339i,0.00040369-0.00023527i,0.00053807-0.00027453i,-0.00014891+0.00039589i
-0.001374+0.00054589i,-0.0020622+0.00093569i,-0.00065067+0.000845i,0.0007151+5.8818e-05i,0.00073024-0.0011199i,0.00099285-0.0015304i,0.0012065-0.00029895i,-3.1486e-05+0.00067865i,-0.00029018+0.00023159i,-4.5874e-05+2.7417e-05i,-0.00044424-0.00013306i,-0.00064294-0.00033213i,-0.00051411-0.0010053i,3.8002e-05-0.00069262i,-0.0003116+0.00048116i,-0.00042736+0.00055211i,-6.6528e-07-0.00053345i,9.3409e-05-0.00038332i,-0.00024273+0.0004755i,-0.00042341+0.00021826i,-0.00042264+0.00021282i,-0.00063517+0.00086691i,-0.00055899+0.0013927i
0.0010961-0.0012023i,0.00052986-0.0028147i,-0.00073008-0.0022359i,-0.00096419-0.00013894i,-0.00034047+0.0014271i,0.00034075+0.0012798i,0.00073151+0.00071318i,0.00032125+0.0011093i,-8.1058e-05+0.0010319i,-0.00061503+0.00057097i,-0.00091721+0.00024943i,-0.00060052-1.2584e-05i,-0.00023737-0.00018939i,-0.00036047-0.00012945i,-0.00068231+0.00057377i,-0.00078683+0.00080671i,-0.00067667+0.00011426i,-0.00066481-0.0005389i,-0.0006236-0.00076528i,0.00025019-0.00046754i,0.00046218+0.00014718i,-0.00010693+0.00054857i,0.00016551+0.0005523i
0.0025101+0.0037555i,0.0046603+0.0047313i,0.0052727+0.0037368i,0.0034099+0.00064501i,0.0018725-0.0018452i,0.00094445-0.0018178i,0.00015219-0.00047756i,-0.00021321+0.00039056i,-0.00027334-0.00019807i,-0.00054116-0.00037071i,-0.00052397+0.00030069i,-0.00027862+0.0005339i,-0.00078326+0.00045722i,-0.0015555-0.00029999i,-0.00152-0.00035209i,-0.0010655+0.00011659i,-0.00040797-0.00057592i,-0.00015612-0.00075247i,-0.0003708-0.00034352i,-0.0001677+8.3649e-06i,0.00011542+0.00021879i,2.0099e-05-0.00013301i,0.00034623-0.00064703i
-0.0021047+0.0004677i,-0.0028648+0.00083159i,-0.0016519+0.00013484i,0.00022797-0.00080741i,0.00096518-0.0015365i,-2.324e-05-0.0020811i,-0.0011107-0.00058285i,-0.00075917+0.00083999i,0.00079125+0.00085612i,0.0015959+0.00095796i,0.0011007+0.00094961i,0.00023412+0.00046053i,-6.0544e-05+0.00011349i,7.3853e-05-0.00014645i,-0.00034736-0.00039195i,-0.00066795-0.00043276i,-0.0009113-0.00069606i,-0.00074645-0.0011824i,2.0423e-05-0.0017466i,0.0010754-0.0011491i,0.001359+0.00019153i,-0.00028703+0.00090893i,-0.00096527+0.0005999i
-0.00017293+0.002368i,0.0005302+0.00089624i,0.0014422+0.00023742i,0.00099845+0.00012362i,-7.5331e-05+3.1999e-05i,-0.00093763+0.00017491i,-0.00075982-7.7358e-05i,-0.00037994-0.00050565i,-0.00035182-0.00033255i,6.6642e-05-0.00058921i,0.0012505-0.00080525i,0.0013055+0.00012836i,-2.5919e-06+0.00042746i,-0.00016102-5.5109e-05i,-0.00012592-8.3478e-05i,-0.00055359-0.00064799i,-0.00046737-0.0012617i,0.00013768-0.00079139i,0.00026814-0.00021208i,-0.00054647-7.2686e-05i,-0.00032327+0.00035008i,-0.00042724+0.0011539i,-0.0011048+0.00022143i
-0.00087908-0.0030535i,-0.00073749-0.0019591i,-0.00075099-0.00099636i,-1.3301e-05-0.0011248i,0.00027928-0.0018026i,0.00057788-0.0016485i,0.00082926-0.00066729i,0.00099943-0.00045819i,0.0011769-0.00070518i,0.00027452-0.00066484i,-0.0005192-0.00019419i,-0.0002176-0.00018515i,0.00025913-0.00086875i,0.00074819-0.00091674i,0.0002246-1.4615e-05i,0.00023376+0.00057249i,0.00026263+6.0155e-05i,-6.265e-06-0.00023833i,-0.00017753+0.00014772i,-0.00026158-0.00026547i,0.00036546-0.00077182i,0.00062375+0.00010608i,-0.00016412+0.00065298i
0.0026961+0.0013248i,0.0046222-0.0002338i,0.0032096-0.00077416i,0.0019135-0.0007467i,0.0014372-0.00050001i,0.00072-0.00048698i,0.00014819-0.00065841i,-0.00019722-0.00018803i,-0.00011396+0.00065819i,0.00031973+0.00038146i,3.0814e-07-0.00063834i,0.00015338-0.0014622i,7.9948e-06-0.0024425i,-0.001033-0.002567i,-0.0011587-0.0018585i,-0.00017052-0.0006535i,0.00024615-9.1331e-05i,0.00032766-0.00018446i,0.00048299+0.00062915i,-0.00035106+0.00076508i,-0.00057124-0.00012183i,0.00033022-0.00019185i,0.0004667-0.00022837i
0.0022276+0.0019212i,0.0027669+0.0026171i,0.0030626+0.0021463i,0.0021781+0.00065283i,0.0010353-0.00025999i,0.00062626-0.00044621i,0.0017879+0.00096906i,0.0015977+0.0015244i,0.00020791+0.00086536i,0.00011898+0.00055916i,-0.00035263+0.00045631i,-0.0010876+0.00019167i,-0.0012042-0.00052458i,-0.00022642-0.00069631i,0.00035863+0.00056289i,0.00025573+0.00088064i,-3.4714e-05+0.00062444i,-0.00036235+0.00044605i,-0.00046431-7.7112e-05i,-0.00054871+0.0004815i,0.00024238+0.00053846i,0.00053201+0.00053817i,-0.00032889+0.00047782i
0.00059277+0.0018645i,0.00031395+0.0015334i,-6.5975e-05+0.00026105i,-0.00023846-0.0014472i,0.00071008-0.0025919i,0.00023042-0.0022602i,-0.00084328-0.00063919i,-0.0010244+0.00057987i,-0.00029693+0.00092077i,0.00071382+0.00035868i,0.0005001+3.3163e-05i,-0.00035537-0.00043556i,-0.0008261-0.00055679i,-0.0011929+3.4304e-05i,-0.001512+0.00088138i,-0.0012583+0.00088381i,-0.00085874+0.00033017i,-0.00033768+0.00041525i,0.00043731+0.00031475i,0.00031374+0.00022975i,-0.00048496-0.00045257i,-0.00048562-0.00109i,0.00038661-0.00036071i
-0.0010465+0.0032968i,0.00083348+0.0022283i,0.0034544+0.00025088i,0.0040774-0.0017302i,0.0024921-0.0021973i,0.00044845-0.0013899i,-0.00065242-0.00018724i,-0.00047212+0.00010903i,-0.00026418+0.0005848i,0.0006454+0.00097202i,0.001409+0.00037938i,0.0010635-0.00017559i,0.00079633-0.0011085i,-0.00041593-0.0016626i,-0.001405-0.0013809i,-0.0011783-0.0010002i,-0.0012804-0.00061718i,-0.0010996-0.0004688i,-0.00010807-0.000327i,0.00031033-0.00021815i,0.00039706-0.00038672i,0.0011033-0.00020924i,0.00076688+0.00033478i
-0.0010771+0.004667i,-8.7567e-05+0.0066574i,0.0025729+0.0078071i,0.0034562+0.0038999i,0.0050544-0.0017803i,0.0036114-0.0047765i,5.8834e-05-0.0034909i,-0.0016023-0.00071904i,-0.0013533+0.0013445i,-0.0002704+0.00094922i,9.2013e-05-0.00055127i,-0.00016238-0.0011163i,-0.00042733-0.0014318i,-0.0013936-0.002075i,-0.0017669-0.0026437i,-0.00098047-0.0025923i,-0.00041473-0.0017737i,-0.00053612-0.0012143i,-0.0009462-0.00086935i,-0.00092254+0.00010801i,-0.00046436+0.00050767i,0.0001602+0.00056964i,0.00047718-0.00015515i
0.00059159-0.0090809i,-0.0010364-0.0099139i,-0.0043054-0.0091222i,-0.0047946-0.0041472i,-0.0040059+0.0013373i,-0.00078919+0.0044788i,0.0020688+0.0034435i,0.0018613+0.00064955i,-0.00066235-0.00081011i,-0.0022921+0.00033447i,-0.0019209+0.001251i,-0.00082592+0.0011755i,0.00024163+0.00062322i,0.001682+0.00094878i,0.0027162+0.001867i,0.0022582+0.001214i,0.00057725-0.00054187i,-0.000124-0.001056i,0.00097529-0.00082219i,0.0014057-0.00079059i,0.00031845-0.00072076i,-0.00084745+0.00043375i,-0.0013768+0.0012571i
0.0014671+0.0017586i,0.0026229+0.0016913i,0.0013033+0.00033996i,0.0004061-0.00036829i,0.00016924-0.00017523i,0.00021195+0.00076792i,0.00087441+0.00090178i,0.00099877+0.00082181i,0.00054769+0.00085443i,-0.0005877+0.0010096i,-0.00085102+0.0012508i,-0.00092025+0.00073201i,-0.0011713+0.00033227i,-0.00073739+0.00041491i,7.6892e-06+0.00029337i,-0.00042125+0.00035052i,-0.00078189-0.0003269i,0.00018127-0.00049058i,0.0015294-5.3662e-05i,0.0018783-0.00092009i,0.00079619-0.00098093i,-5.4426e-05+0.00027822i,-0.0002255+0.00066606i
-0.00064628-0.0024084i,-0.0018266-0.0036948i,-0.0021392-0.0037262i,-0.0017393-0.0023262i,-0.00053338-0.00088256i,0.00016526-0.00045532i,-0.00073403-0.00077093i,-0.0014668-0.00063649i,-0.00092706-0.00011905i,-0.00031378+0.00063492i,0.00021902+0.00092144i,0.00090987+0.00054653i,0.0011237+0.00036972i,0.00092987+0.00025834i,0.00091365+4.6907e-06i,0.00094214-3.0605e-05i,0.00038613-0.00020026i,0.00035501-0.00010821i,0.0006875-7.2542e-05i,0.00030511+0.00040388i,8.9452e-05-0.00011094i,-0.00041807-0.00016776i,-0.001117+0.00051606i
0.0019378+0.00086251i,0.0022414+0.0012143i,0.0019433+0.0018383i,0.0002105+0.00047155i,-0.0014945-0.001442i,-0.00124-0.0012942i,-0.00056-0.0001308i,-0.00078994+0.00036213i,-0.00056051-2.0453e-05i,-5.1559e-05-0.00019013i,0.000536-9.3504e-06i,0.0016396+0.00058256i,0.0020373+0.00081741i,0.001436+0.0010579i,9.4645e-05+0.00080781i,-0.00020159+0.00010454i,-5.2505e-05-9.3184e-05i,-1.2289e-05-6.8322e-05i,-0.00019972+0.00050395i,3.1324e-05+0.00078861i,0.00044038+9.3101e-05i,-0.00014254-0.00085684i,-0.00067303-0.00044984i
-0.0018563-0.0022089i,-0.0038629-0.0028027i,-0.004114-0.0026363i,-0.0017746-0.0016466i,5.0718e-05-0.00067232i,0.0011506-0.00013057i,0.00087301+0.00037854i,1.2065e-05+0.00018332i,-0.0003121+0.00021168i,-0.0010733+0.0003199i,-0.0013744-0.0005552i,-0.00049833-0.00097543i,0.00024202-0.00028678i,-8.4495e-05+0.00019789i,-0.00030099-0.00015488i,1.365e-05-0.00011016i,-9.6903e-06+0.00073366i,5.0094e-05+0.0013956i,-4.3136e-06+0.0010629i,1.9338e-05+5.9563e-05i,0.00025103-0.00038812i,5.0811e-05-4.8622e-05i,-0.00039859+0.00067379i
0.003187-0.002896i,0.0041862-0.002745i,0.0025492-0.0029451i,0.00019969-0.0020541i,-0.0011051-0.00033265i,-7.5311e-05+0.00025382i,0.00059648+0.00065018i,0.00074773+0.0006707i,5.2446e-06+0.00047374i,-0.0012635+0.0010824i,-0.0013923+0.00083506i,-0.00041927+0.00015805i,0.00012276+0.00086893i,-0.00035822+0.0015662i,-0.00066696+0.0013907i,-0.00037233+0.00058354i,0.00012225+0.00060373i,0.00012044+0.00069736i,-0.00024873+0.00028686i,2.284e-05+0.00051654i,3.1674e-05+0.00028235i,0.00031768-0.00037499i,0.00090368-0.00075335i
-0.0011432-8.0072e-05i,-0.0023407+0.00036465i,-0.0032305-7.6685e-05i,-0.0026753-0.00074531i,-0.00092396-0.0008948i,6.4396e-06-0.00039958i,0.00029379+0.00012143i,0.00079458+0.00050492i,0.0013088+0.00076184i,0.00083641+0.00082604i,-0.00031479+0.00036375i,-0.00085373+0.00028796i,-0.0010475+0.00042598i,-0.0010743-3.6926e-05i,-0.0013561-0.00014755i,-0.0017498+0.00023689i,-0.0012769+3.0588e-05i,-0.0010233-0.00022129i,-0.00063022+0.00013336i,0.00026606+0.0003256i,0.00038425-0.0002494i,-6.1901e-05-0.00037561i,-0.00067208-0.00016505i
0.001463+2.3917e-05i,0.001497-0.00076958i,0.0015534-0.00092936i,0.0013709-0.00069914i,0.0015089-0.00073685i,0.001377+0.00033915i,0.00042645+0.00099623i,0.00015766+0.00048465i,0.00034836+0.00016139i,0.00034099-0.00014565i,0.00058957-0.00034612i,-0.00010577-0.00042902i,-0.00058978-0.00013091i,-0.00035697+2.552e-05i,-0.00014852-0.00021254i,-5.5093e-05-0.00035734i,-0.00043335-0.00031649i,-0.00024001-0.00034157i,-0.0005066-0.00032874i,-0.0011482-3.0575e-05i,-0.00063562-0.00015583i,-8.229e-05+9.7093e-05i,6.6764e-05-0.00016269i
-0.0010052+0.00073683i,-0.0020061+0.0006696i,-0.0021727-0.0011263i,-0.0018064-0.0021012i,-0.00050556-0.0017674i,0.00036965-0.00049603i,-0.00094324+0.00030478i,-0.0010795-0.00035276i,-0.00037977-0.00051222i,3.9021e-05-0.00077367i,0.00013326-0.0021215i,0.00028664-0.0022676i,0.0006222-0.0011436i,0.00062092-0.00069924i,6.4259e-05-0.0003471i,-0.00026252-0.0005103i,-0.00048295-0.00053602i,-0.00097044+0.00036822i,-0.0004528+0.00031017i,0.00058142-0.00044273i,0.00029296-0.00050158i,-0.00053605-0.00019751i,-0.00072087-3.2263e-05i
-0.00053725-0.0008835i,0.00064227-0.0018092i,0.00075112-0.0014881i,0.00049157+0.00011731i,0.0011301+0.0010839i,0.0011712+0.0002826i,0.00095711-0.00016287i,0.00058518+3.8566e-05i,-0.0002096+0.00017711i,-0.00084784-0.00045079i,-0.0011844-0.0013342i,4.158e-05-0.001865i,0.00055746-0.0015803i,-3.3242e-05-0.0016076i,-0.00019076-0.0018014i,-0.00024211-0.0010713i,-0.00072987-0.00015592i,-0.0003895+6.6256e-05i,0.00032179-0.00043302i,0.00034257-0.00027972i,-0.00060983+6.1735e-05i,-0.0011603-0.00034438i,-0.00092996-0.00029954i
-0.00045362-6.7612e-05i,0.00010921+0.00086443i,0.0001259+0.00086738i,0.0013013-0.0003838i,0.001378-0.00079117i,-0.00039486-0.00057039i,-0.00069081-0.00014103i,4.9573e-05+1.6043e-05i,-0.00018537+0.00061882i,-0.00071022+0.0015413i,-0.0010357+0.0019809i,-0.00058393+0.0010723i,0.00027754-9.3782e-05i,-6.3101e-05-0.00037208i,0.00032096-0.00072082i,0.0012297-0.0010962i,0.00062945-0.0004369i,0.00014489+0.00043091i,0.00050525+3.8722e-05i,0.00013676-0.0002942i,-0.00055499-8.2622e-05i,-0.0008989-4.7089e-05i,-0.0001301-0.00089306i
