-0.0016433+0.00097756i,-0.0021012+0.00095086i,-0.0011478+0.0028755i,0.00034526+0.0019673i,0.00016849+0.00080193i,-0.00035822+0.00029813i,-0.00055127+0.00045342i,-0.00035218+0.0018003i,-2.2394e-05+0.0013611i,0.00022506+0.00093368i,0.00042461+0.00035068i,6.6528e-05-0.00024221i,-0.00037132+0.00014629i,-0.00077249-0.0003779i,-0.0011854-0.00049662i,-0.00092004-0.00040165i,-0.00093957+5.1793e-05i,-0.00075188-5.1807e-05i,-0.00026313-0.00027151i,4.2738e-05-0.00023181i,0.00028966-0.00012841i,0.00031494+0.00024124i,0.00049589+0.0001562i
0.00096073+2.0626e-05i,0.00022553+0.00033042i,-0.00066598-0.00049001i,-0.001016-0.00071404i,-0.001114-0.00068872i,-0.00018226-0.0003788i,0.0005472+4.209e-05i,0.00015072+0.00031171i,-0.00013466+1.959e-05i,0.00031868-0.00054846i,0.00025599-0.00080021i,0.00021478-0.00062555i,1.1574e-05+0.00065608i,-0.0002865+0.00095213i,0.00040524+0.00095509i,0.00047092+0.00037378i,-0.00033861-0.00026616i,-0.00019515-0.00016286i,0.00035118-0.00062086i,0.00062083-0.00092381i,4.5468e-05-0.00040945i,-0.00055832-0.00017185i,-0.00012006-0.00051954i
-0.0021469+0.0018789i,-0.0021613+0.0019181i,-0.0013377+0.0019591i,-0.00060548+0.00161i,-0.00026344-0.00012451i,0.00014878-0.0010498i,-0.0001291-0.00074319i,-0.00038997-0.00069283i,0.0002532-0.00036699i,0.0012791+0.00053142i,0.00073049-0.00010384i,0.00027696-0.00057787i,0.00036643-0.00028908i,-8.8042e-05-7.0731e-05i,0.00018471-0.0001131i,0.00056101-0.00018049i,0.0001982-1.1929e-05i,-0.00050553+6.151e-05i,-0.00055339-0.00022337i,0.00015406-0.00033185i,0.0004124+0.00023689i,0.0004412+0.00020459i,0.00066642-0.00016617i
0.0029535+0.00040774i,0.0029099-0.00096164i,0.0018905-0.0031005i,0.00027133-0.0035897i,-0.00117-0.0030412i,-0.0018121-0.0021139i,-0.0018026-0.0012049i,-0.0010598-0.00047034i,-0.00038226-0.00011381i,-0.00042607-0.0007395i,-0.00079195-0.00051223i,-0.00090387+4.6611e-05i,-0.0013528-0.00016004i,-0.0011682-0.00042545i,-0.00041555-0.00041411i,-0.00013804+0.00041054i,0.00011992+0.00046083i,0.00055359+0.00016389i,0.00014032+0.00075433i,8.1317e-05+0.0012212i,0.00027453+0.0012745i,0.00022659+0.00085302i,0.0004288+0.00085845i
0.00078821+0.0017257i,3.9759e-05+0.00020755i,0.00041814-0.0018591i,0.00048214-0.0017766i,0.0001807-0.00072946i,-0.00026781-0.00065173i,-0.00074229-0.00074413i,-0.00069533-0.00028028i,-0.00032089-0.00037376i,-0.00016104-0.00016275i,4.3818e-05-0.00099435i,-3.5363e-05-0.0017408i,-0.00013658+4.7358e-05i,-0.00034028+0.00099468i,-0.00050023+0.00063747i,-0.00025699+1.6628e-05i,0.00032585+5.5425e-05i,0.00019572+0.00023165i,0.00042777+0.00017211i,0.00074925+4.2279e-05i,-0.00012824-0.00017755i,-0.0004551+0.0007686i,-0.00084621+0.0010914i
-0.0011438-0.00094806i,-0.0010978-0.00045841i,-0.0016528+0.0013019i,-0.00081611+0.002342i,0.00050941+0.0011264i,0.00087222-5.8541e-05i,0.0010585-0.001089i,0.00056014-0.0014934i,6.5787e-05-0.00059724i,9.8313e-05+0.00036979i,0.00026862+0.00068253i,3.7187e-05-0.00014723i,-0.00039637-0.00084466i,-8.8335e-05-0.0004265i,0.00037583-5.7937e-05i,0.0003522+0.00048083i,0.00018657+0.00065141i,-3.828e-05+9.8377e-06i,-0.00039411-0.00013537i,-0.00073844-7.7214e-05i,-0.00052458+0.00018113i,-0.00047593+0.00039205i,-0.00014431+0.00045406i
0.00062431+0.00035161i,0.0012071-0.00063005i,0.0017142-0.00066428i,0.0016141-0.0016674i,0.00141-0.0017688i,0.00031991-0.00092382i,0.00016394-0.00061227i,0.00047635-0.00038079i,0.00031958-0.00028465i,-2.9297e-05-9.7237e-05i,-0.00052574+0.00012793i,-0.00082913+2.1422e-05i,-0.00032188-0.00033548i,-0.0004445-0.0004214i,-0.00054141+0.00029185i,0.00024959+0.00042622i,0.00019166-0.00015231i,-0.00026385-0.00064263i,9.5839e-05-0.001108i,0.00055015-0.00065866i,0.00031847-0.00010407i,5.2676e-05+5.7725e-05i,-0.00031828+0.0004084i
-0.00024065+0.0010015i,8.481e-05+0.0011274i,0.00050603+0.001718i,0.00054187+0.002303i,5.1748e-05+0.00080404i,-0.00013588-0.0016174i,-0.00039189-0.0017181i,-0.0003989-0.00060691i,-0.00016288+2.2029e-05i,-0.00047772+0.00045875i,-0.00039047+4.396e-05i,-0.00047585-0.00026473i,-0.00048204-0.00013976i,-0.00026576-0.00036862i,-0.0003315-0.00051099i,-0.00015383-0.00091885i,-1.1042e-05-0.0010653i,2.3862e-05-0.00059554i,0.0001915-0.00028787i,-6.5102e-05-8.8782e-05i,0.00011065-0.00010602i,9.2797e-05-4.4293e-05i,-0.00043197-0.00055642i
-0.00040319-6.5379e-05i,-0.00045902+0.0006133i,-0.00080172+0.0013376i,-0.0011844+0.00095608i,-0.00021976+0.00046418i,0.00051092+0.00072404i,0.00015203+0.00016426i,3.86e-05-0.00014992i,0.00050333-3.7951e-05i,0.00043936-4.2658e-06i,0.00021591+0.00016906i,0.00031328+0.00040716i,0.00053917+0.0001001i,0.00079941+4.3373e-05i,0.0011783+0.00062772i,0.00088704+0.00026956i,8.3434e-05-8.0124e-05i,-0.00028771-0.00065809i,-0.00045479-0.0012797i,-0.00029557-0.00086849i,0.00011861-0.00072391i,0.00026403-0.00066482i,-4.162e-05-0.00023091i
-0.0024118-0.0021937i,-0.002154-0.00095489i,-0.0031714+0.00026622i,-0.0038504+0.00015748i,-0.0018592-0.00025374i,-0.00015919-0.00091733i,-9.1946e-06-0.00099774i,-0.00056227-0.0011596i,-0.00055045-0.00050066i,-0.00013642+0.00027713i,0.00015796-5.9344e-05i,-0.00031511-0.00040288i,-0.00021678-0.00055974i,0.00056088-0.00057248i,0.00025196-0.0001004i,-0.00019322+0.00069655i,-0.00028142+0.00091086i,-9.0179e-05+0.00020669i,0.0003667-0.00013168i,0.00073812-0.00021283i,0.00042457-6.6368e-05i,-0.00017898+0.00058139i,-0.00095624+0.00012185i
0.0011123-0.00074109i,0.001077-0.001815i,0.0011176-0.0017835i,0.00065395-0.0013131i,6.2024e-05-0.0011167i,-0.00045889-0.00032983i,-0.00011326+0.0004487i,0.00022157+0.001081i,0.00010154+0.0015015i,-0.00014351+0.0011071i,-0.00046658+0.00076742i,-0.0002817+4.3825e-05i,-0.00013887-0.00060696i,-0.00057905-0.000674i,-0.0010911-0.00035801i,-0.0014054+0.00031828i,-0.0010737+4.3453e-05i,-0.00070564-0.00034782i,-0.0012423+0.00011821i,-0.00089767+0.00025815i,0.00034057+6.4251e-06i,0.0007701-0.00035607i,0.00030118-0.00042441i
-0.0011225+0.0012549i,-0.0012304+0.00062681i,-0.0010656+0.0014195i,0.00027848+0.0018844i,0.0011792+0.00028331i,0.00074-0.001647i,0.00024499-0.0008132i,0.00010047+0.00057216i,0.00025569+0.00061715i,0.00035018+0.00067239i,0.00085967+0.00035144i,0.0013092-0.00031576i,0.00010486-0.00027269i,-0.0015649-0.00024447i,-0.00091192+0.00020129i,-9.2751e-05+0.00033999i,-0.00045356+0.00067082i,-0.00063642+0.00019907i,-0.00058095-0.0002323i,-0.00054386-0.00014594i,-0.00065648-0.00099424i,-0.00087199-0.0010368i,-0.00095093-0.000367i
-0.0012071-0.0010149i,-0.0013654-0.0019497i,-0.0018718-0.0011543i,-0.0025194+0.00012692i,-0.002+0.0003222i,-0.00070586+0.00014476i,0.00018512-7.8484e-05i,0.00050566+6.9952e-05i,-0.00036694+5.5412e-05i,-0.00080785-0.00042256i,-0.0006409-0.00054768i,-0.00083247-0.00060575i,-0.00092611-0.0010345i,-0.00026894-0.00037205i,0.00015822+0.00056424i,-4.899e-05-1.125e-05i,0.0001108-0.00046266i,0.0001435-0.00012923i,-0.00081316-0.00022588i,-0.00080754-0.00055967i,0.00040052-0.00054602i,0.0013719-0.00093714i,0.00056624-0.00042523i
0.0012541+0.0015617i,0.001127+0.0011603i,0.0024181-0.00051982i,0.0025595-0.0016207i,0.00044831-0.0020102i,-0.00056408-0.0015254i,0.00010878-0.0010617i,0.00082858-0.00054951i,0.0006022-0.00018535i,-0.00022794-0.00042804i,-0.00036257-0.00088794i,-0.00023898-0.00093732i,-0.00021227-1.3709e-05i,-0.00051524+0.00097035i,-0.00051115+0.0012314i,-0.00048558+0.00059614i,-0.00026495-0.000339i,0.00050671-0.00025222i,0.00073835-0.00036216i,0.00049475-0.0012191i,4.1022e-06-0.00048053i,-0.00022438+7.6351e-05i,0.0001611-0.00063949i
0.0013369-0.0014333i,0.00047778-0.00050003i,-0.00029335-0.00093167i,-0.00067806-0.00061815i,-0.00094471+0.00039911i,-0.001058+0.00025947i,-0.00091828-0.00035182i,-0.0002037-0.00030617i,0.00068383-0.00033607i,-0.00047867-1.4852e-05i,-0.0010482+0.00039383i,-0.00036837+0.00039364i,-0.00040726+0.00043929i,-0.00044322+0.00057559i,0.00082053+0.00049579i,0.00088506+1.4976e-05i,5.8066e-05+0.00012809i,8.1843e-05+0.00041806i,0.00012066-1.8211e-05i,0.00011855-0.000261i,-2.556e-05-0.00025659i,0.00039978-0.00083206i,0.0011253-0.00078389i
-0.0015721-0.00042623i,-0.00090832-0.0003457i,-0.0012205-0.00019606i,-0.0011075+9.4296e-05i,-0.00036065-0.00064987i,-0.00012652-0.0013932i,-0.00039193-0.00034159i,-0.00067996+3.6377e-05i,-0.00043769+9.323e-05i,0.00034964+0.00057516i,0.00028069+0.00021977i,4.6418e-05-0.00075201i,9.3312e-05-0.00011844i,0.00053777+0.00091121i,0.00015813+0.00050531i,-0.00025824-0.0007747i,-0.00011835-0.00091319i,-0.00037925-0.00011401i,0.00015358+0.00033644i,2.0757e-05-9.2536e-07i,-0.00035265-0.00090802i,0.00032241-0.0013893i,0.00015908-0.0013208i
-0.001066-0.000326i,-0.0022352-0.00031802i,-0.0020113-0.00058226i,-0.00065126-0.00021509i,0.00037034+0.00036166i,0.0012859+0.00013988i,0.00089283+0.00065687i,-5.5938e-05+0.00081126i,-0.00081268+0.00025626i,-0.00068113+0.00029629i,-0.00011+0.000777i,0.00060775+0.00031241i,0.00033267-0.0003795i,-0.00086663+0.00047368i,-0.00049183+0.00062755i,9.1356e-05+0.00046988i,-0.00044399+0.00074016i,-0.00082138+0.00022052i,-0.00038112-0.00011704i,0.00014644+0.00037377i,0.00024266+0.00014114i,0.00059735-0.00014718i,0.00043303-0.00022548i
-0.0006707-0.0016601i,0.00034129-0.0020127i,-0.00021496-0.00099723i,-0.0011181+0.00014646i,-5.7949e-05+5.6167e-05i,0.000327-0.00086668i,-0.00074879-0.0016296i,-0.00066276-0.00081258i,-0.00015069+0.00036425i,1.3228e-05-8.4945e-05i,-0.00012789-0.00046605i,-0.00070937-0.0006896i,-0.0012467-0.00091883i,-0.00026279-0.00066245i,0.000828-0.00025959i,0.00041749-0.00016854i,-0.00019241-0.00069644i,-0.0002714-0.00051721i,-0.00056781+4.6311e-05i,-0.0010941+6.1986e-05i,-0.0010981-0.00049682i,-0.00050386-0.0008995i,0.0002055-0.00094091i
0.00041541+0.0010592i,0.00067568+0.0010657i,0.0013917+0.00088236i,0.00096741+0.0013745i,0.00047704+5.0774e-05i,0.00042486-0.0019377i,-0.00064686-0.0011882i,-0.00039054+0.00080248i,9.2711e-05+0.0010347i,-0.00049025+0.00013514i,-0.00066011+0.00024186i,-0.00023074-0.00017767i,-0.00050449-0.00069236i,-0.0005273-0.00011938i,9.3806e-05+0.00060676i,7.5103e-05+0.00067203i,-0.0003359+0.00031749i,-0.00028096+0.00028988i,0.00039969+0.0011528i,0.00027711+0.0016427i,-0.00012606+0.00069353i,0.00012098+0.00013853i,0.00036734-0.00012408i
0.00078538-0.00035765i,0.0019741+0.00028561i,0.0025148-1.485e-05i,0.0012308-0.00055578i,-0.00057699-0.0010468i,-0.00093811-0.00085842i,-0.00096434+0.00012463i,-0.00042721+0.00010227i,0.00079178+0.00014613i,0.00058116-0.0002595i,-0.00010893-0.00042656i,-0.00059943+0.00015613i,-0.00099801+0.00031787i,-0.00096217+0.00044652i,-0.00010449+0.00043908i,0.00041873+0.00024177i,0.00036153+0.00044219i,0.00084943+0.0010739i,0.00078666+0.0004229i,0.00045641-0.00041424i,0.00015773-3.3348e-05i,-5.3125e-05+0.00028606i,-0.000172-0.00041039i
0.0011524-0.00053581i,-0.00047337-0.0002984i,-0.0011277-0.00047533i,-0.0004357-0.00073985i,-0.00019603-0.00036542i,-0.00057168+0.00043782i,-0.00016833+0.00031242i,0.00059956+0.00063512i,0.00021557+0.00053786i,-0.00059898+1.5365e-05i,-0.00027397-0.00042693i,0.00067238-0.00056582i,0.00065677-9.543e-05i,0.00080225-0.00015055i,0.00085678-8.916e-05i,0.00014509-4.4471e-05i,-0.00022713+5.3975e-05i,-0.00047138-2.7336e-05i,7.0502e-05-0.00022368i,0.00011918+0.00045638i,-5.1447e-05+0.00090274i,-0.00032624+0.00040374i,-0.00096665-9.8218e-05i
-0.0012984-0.0013114i,-0.0013663-0.001065i,-0.0015558-0.00029805i,-0.0015113-0.00030538i,-0.0015756-0.00042042i,-0.001649-0.00053408i,-0.0011833-0.00052485i,-0.00092834+4.254e-05i,-0.00071237+0.00069875i,-0.00018754+0.00058339i,0.00042505+0.00014747i,0.00048259-0.0001864i,0.00021399-0.00066413i,-5.0877e-06-0.00043751i,-0.00042072-8.6552e-05i,-0.0007767+0.00019716i,-0.0013982+0.00033459i,-0.001347+0.00050291i,-0.00059154+0.00060293i,0.00029442-2.0972e-05i,0.00096136-3.3933e-05i,0.0012093-0.00027709i,0.0012284-0.00045678i
-0.00046369-0.00060114i,0.00092218+7.3598e-05i,0.00058595+0.00068044i,0.00032+0.00081159i,0.00073647+0.00018353i,0.00034551-0.00078876i,-3.2348e-05-0.00059066i,-0.00037506-0.00011978i,-0.00042914-0.00017101i,-0.00016766-0.00056891i,-4.7722e-05-0.00032314i,3.035e-06-0.00047257i,-6.7148e-05-0.00054282i,0.00028856-0.00014989i,9.1668e-05-5.0014e-05i,-0.00023898+0.0004827i,0.00056101+0.00083806i,-0.00011477+0.00081067i,-0.00056525+0.00060793i,0.00019044+0.0008111i,0.00030535+0.00084915i,2.1834e-05+0.00053052i,-0.0005075+0.0003157i
0.0027724+0.0011292i,0.002412+0.00020418i,0.0013106+0.00037593i,-0.00028422+0.00058875i,-0.0013745-5.2821e-05i,-0.001262-0.00025783i,-0.00035214+0.00048058i,-0.00026222+0.00091454i,-0.00020068+0.0002024i,0.00031059+0.0001245i,0.00071365+0.00039174i,-0.00010966+9.9883e-05i,-0.001555+1.0858e-05i,-0.0013675+0.00078803i,-0.0007358+0.00061825i,-0.00068775+0.00010336i,-0.00076695+0.00019263i,-0.00037271+0.00040968i,6.1459e-05+0.00015813i,-0.00022554-0.00016794i,0.00010595+0.00026736i,-0.00056113+6.4969e-05i,-0.0010766-0.0003154i
-0.0018963-0.00042597i,-0.0023104-4.7348e-05i,-0.0028238+0.00075789i,-0.0020582+0.0013589i,-0.0003285+0.00091897i,0.00083113+2.9561e-06i,0.0010824-0.00070269i,0.00031073-0.0007749i,-0.00017602-0.00058874i,0.00022613-0.00020467i,-0.00022545-0.00011313i,-0.00093745-0.00048697i,-0.00058447-0.0004308i,-6.8451e-05-0.00034603i,0.00018509-0.00093818i,-0.00015083-0.0012145i,-3.029e-05-0.00045275i,0.00045012+0.00020662i,9.2621e-05-0.00049906i,0.00020675-0.001018i,0.00073271-0.00045322i,0.00044475-0.00023306i,0.00022828-0.00020745i
-0.00031619-0.00060026i,-0.00098832-0.00024154i,-0.0010217-0.00014249i,-0.00053104-0.00052211i,-0.00013901-0.00091147i,-0.00070666-0.0014706i,-0.0004593-0.00119i,6.02e-05-0.00014536i,0.00022239+8.6771e-05i,0.00065134+0.00038991i,-0.00011318+0.00026822i,-0.00082579-0.00027352i,-0.0011446-0.00010713i,-0.0013455+0.00042128i,-0.0010019-8.9359e-05i,-0.00065083-0.00058106i,-0.00047058+5.223e-05i,-0.00066907+0.00024266i,-0.00088181-0.00012284i,-0.0005199+4.3978e-05i,-0.00038275+0.00013832i,8.9847e-05-0.00046777i,0.0008072-4.7943e-05i
-0.0017627+0.00087775i,-0.00051882+0.0011742i,0.00077868+0.0011152i,0.0012781+0.00092311i,0.0015061+7.6093e-05i,0.0013643-0.00086537i,0.00050271+7.3534e-05i,-0.00051141+0.0011941i,-0.0010237+0.0010028i,-0.00033018+0.00011094i,0.00037818-3.9496e-05i,-7.9348e-05-0.00022924i,-0.00091113+4.2691e-05i,-0.0012998-1.3291e-05i,-0.00079143-0.00088625i,-0.00052542-0.0012043i,-0.00052472-0.00080896i,-0.00021327+0.00016337i,-0.0010209+0.00080543i,-0.0013745+0.00050834i,-0.00025758-0.00016357i,0.00034948-0.0001983i,-0.00012717-0.00036295i
0.00054836-0.00095348i,0.00038558+0.00090434i,-7.803e-06+0.0017047i,6.8036e-05+0.0021209i,-0.00035654+0.0020084i,-0.00020441+0.00081761i,0.00027268+1.8538e-05i,2.5976e-05-0.00065976i,-0.00065339-0.000339i,-0.00057656+9.5109e-05i,0.00030734+1.6239e-05i,0.0007463-0.00049419i,0.00087012-0.00024317i,0.00098548+7.8684e-05i,0.0014126+0.00013881i,0.00092051+0.00043697i,0.00032629+0.0012828i,-8.3928e-05+0.0011362i,-0.00039573+0.00022157i,-0.00086275-4.9645e-05i,-0.00076428-0.00022872i,0.00049956-0.00061961i,0.00054702-0.00090713i
0.0010517-0.0031621i,-0.00031638-0.0042333i,-0.0028976-0.003519i,-0.0035696-0.0012498i,-0.0029047-0.00011389i,-0.0012345+0.00012375i,0.00036243+0.00030056i,0.0011298+7.1122e-05i,0.0013327-0.00073939i,0.00055584-0.0014688i,1.3161e-05-0.0012742i,-0.00039034-0.00091883i,-0.00069451-0.00040249i,-0.00034294+7.5577e-05i,0.00033346+0.00035789i,0.00027233-4.9721e-06i,-3.7017e-05-0.00032934i,0.00094851+0.00028517i,0.0010542+0.00064044i,0.00043157+0.0001316i,-0.00016463-0.00024365i,-7.8101e-05-0.00045462i,0.00022495-9.7315e-05i
-0.0038967+0.00064486i,-0.0025659+0.0027585i,-0.0013697+0.0041214i,-0.00096103+0.0035097i,0.00051655+0.0013656i,0.0013444-0.00043213i,0.00052814-0.0015632i,-0.0001729-0.0011686i,-0.00055153+0.00017233i,-0.00075511+0.00091289i,-0.00049875+0.00021132i,-0.00048158+0.00017702i,-0.00038716+0.0012503i,-0.00027485+0.0012389i,-0.00012084+0.00025864i,-0.00020261-9.7596e-05i,-0.00037707+0.00028907i,-0.00054742-0.00024213i,-0.00058078-0.00068427i,0.00022305-0.00063811i,0.0015307+1.258e-05i,0.0021133+0.00036264i,0.0010618-0.00033974i
-0.0030431-0.00081222i,-0.0031304-0.0010623i,-0.0025417-0.0004403i,-0.00097451-0.00049571i,9.2463e-05-0.00087825i,0.00037015-0.00068305i,0.00051494-0.00047134i,-0.00013723-0.00029804i,-0.00029452-0.00025467i,-0.00054255-4.4562e-05i,-0.00095886-5.1607e-06i,-0.0017082+0.00031196i,-0.0011427+0.001041i,-6.5929e-05+0.0018539i,-0.00077158+0.0012791i,-0.00093801-0.00037902i,-0.00068828-0.00079506i,-0.00067694+0.00014965i,-0.0010274+0.00040367i,-0.00077413-0.00015769i,-7.4303e-05-0.0002046i,-0.00060863-0.00065344i,-0.00080705-0.0011376i
0.00020508+0.00060412i,0.0016111+0.00027415i,0.001987+0.00079919i,0.00073278+0.00052344i,0.00069222-0.00042743i,0.0009509-0.00081952i,0.00038289-6.3861e-05i,0.00056043+0.00012298i,0.00099803-0.00059243i,0.0011925-0.00094715i,0.0011846-0.00073808i,0.00029941+0.00012462i,-6.8984e-05+0.0008115i,0.00034+0.00022955i,0.00030673-0.00041439i,0.00015679-0.00057315i,-0.0004694-0.00073748i,-0.00068847-0.00070605i,-0.00039177-5.318e-05i,-2.338e-05+0.00057937i,0.00050714+0.00075549i,0.00046282+0.00016821i,0.00042124-0.00040565i
-0.0014541-0.0011647i,-0.0022867-0.0020044i,-0.0030961-0.00083107i,-0.0018138+0.00059716i,0.00060065+0.0004365i,0.0014936+0.00068051i,0.00054569+0.0010194i,8.7807e-05+0.00072503i,0.00050547+0.00085967i,0.00056482+0.001533i,0.00045081+0.0012037i,0.00039183+0.00032715i,9.4005e-05-0.00036044i,-0.00011517-0.0011271i,-0.00029066-0.0017764i,-0.00066141-0.0013598i,-0.0003076-0.00033603i,-2.3477e-05+0.00059621i,-0.00057253+0.0011167i,-0.00085608+0.0011781i,-0.00026774+0.0010625i,0.00044418+0.00089352i,0.00034768+0.001079i
0.00093354+0.00092788i,0.00029425-0.00051327i,-3.7073e-05-0.0011867i,-0.0006527-0.0016948i,-0.0011117-0.0016267i,-0.00095847-0.0011436i,-0.00065449-0.00043382i,-0.0010695+0.00026489i,-0.0013375+0.00058611i,-0.00067934+0.00042205i,0.00010078+0.00025111i,0.0005395+0.00043083i,-6.8526e-05+7.8012e-05i,-0.00049934-0.00041909i,-0.00041689-0.00041562i,0.00024437-0.00017186i,0.00076904+0.00011926i,0.0009614-8.6276e-05i,0.000835-0.00022022i,5.385e-05-3.3173e-05i,-0.00047847+0.00020614i,0.00014448+0.00017678i,0.00034526+0.00025798i
-0.00026523-0.0020749i,9.7458e-05-0.0022361i,-0.00049803-0.0016777i,-0.0013148-0.00029129i,-0.00036048+0.00015039i,1.7272e-05+0.00023931i,-0.00076069-0.00011627i,-0.00036899-0.00013741i,0.00025554+0.00013259i,-0.00061895+4.8595e-05i,-0.00047063+0.00011321i,0.00063766+0.00016413i,0.00088559+0.00065856i,0.00050066+0.0013489i,0.00047079+0.0014778i,0.0002058+0.0011665i,-0.0005929+0.00042868i,-0.0006249-0.00036531i,0.0001356-0.00081371i,7.3391e-05-0.0010958i,-0.00062033-0.0013499i,-0.00044884-0.00077768i,-0.00017582-4.9815e-05i
0.0002867+0.00048268i,0.00032558+0.00076474i,-9.1204e-05+0.00017555i,-0.00061616+8.8798e-05i,-0.00049856-0.00074048i,0.00073339-0.0015184i,0.00046079-0.00016782i,-0.00019745+0.0005924i,-0.00011485-0.00030868i,-0.00034091-0.00031325i,-0.00061702-0.0002258i,-0.00024674+0.00010128i,-0.00019743+0.00055006i,-0.00056026+0.00045031i,-0.00027205+0.00041611i,0.00027796+0.00056638i,0.00088766+0.00082753i,0.0011276+0.0016173i,0.00019262+0.0018427i,-0.00066171+0.00054346i,-0.00027802-0.00075197i,8.854e-05-0.00045598i,0.00057793-0.00019567i
0.0012488-0.0018651i,0.00092225-0.0014002i,0.0002032-0.0016645i,0.00039477-0.001344i,-2.2945e-05-0.0011611i,5.8153e-06-0.0016513i,-0.00016661-0.0010411i,-0.001149-0.00022319i,-0.00097923+7.614e-05i,0.00022399+0.00016171i,-5.7334e-05-0.00027188i,-0.0011314-0.00046409i,-0.0013019-0.00050682i,-0.0012955-5.6179e-05i,-0.0010198+1.8757e-05i,-0.00051181-0.00057552i,-0.00034424-0.00031989i,4.1829e-05-0.00013802i,0.00013665-0.00024425i,-0.00015721-0.00012058i,0.00035+1.8136e-05i,0.00093132-0.0001133i,0.00053693-0.00035418i
0.0016044+0.00024818i,0.002503-0.00059874i,0.0021731-0.0014617i,0.00087038-0.0019075i,0.00044707-0.00092339i,0.00061037-0.00013677i,0.00042876+0.00061001i,0.00055732+0.0012192i,8.7439e-05+0.00080117i,-0.00084926+0.00049241i,-0.0012361+0.00090874i,-0.00068075+0.0010412i,0.00027401+0.00050156i,-8.4607e-05-0.00039915i,-0.0014037-0.00049841i,-0.0009076-0.00047292i,0.00045422-0.00091605i,0.00095791-0.00029205i,0.0011276+0.0010232i,0.00082851+0.0012181i,0.00033421+0.00041177i,9.4886e-05-0.00013695i,-1.7979e-05-2.2114e-06i
-0.0041221-9.2755e-05i,-0.0039466+3.627e-05i,-0.005144+0.0010175i,-0.0039814+0.0013708i,-0.0013645+0.0006766i,0.00049857-0.00068667i,-0.00014749-0.0011498i,-0.00075871+8.1926e-05i,0.00030561+0.00065627i,0.0007955+9.1864e-06i,9.5411e-05-0.00030939i,-0.0011002-0.00069161i,-0.0012173-0.00095926i,-0.0013108-0.00011643i,-0.00091391+0.00047686i,0.00051903-0.00011068i,0.00071599-0.00037063i,0.00010204-0.00036889i,-0.00063536-0.00059194i,-0.00058746-0.00030149i,5.7526e-05+0.00022275i,0.00014646+0.00060866i,0.000288+0.00038962i
-0.00019174+0.0012631i,-7.017e-06+0.0012767i,-0.00020686+0.00071066i,0.00029734+0.00021338i,0.00097044+8.2676e-05i,0.00024683-0.0003624i,9.3697e-05+1.4786e-05i,0.00011776+0.00032093i,-0.00018093+0.00017966i,0.00053837+0.00031928i,0.0012367+0.00019916i,0.0007268-0.00036884i,-0.00044985-0.0006121i,-0.0012914-0.00016172i,-0.00069137+0.00020986i,-0.00013636-0.00014851i,-0.00013517-0.00065322i,0.00028232-0.00078242i,0.00053603-0.0001686i,0.0003194+0.00010157i,0.00045373-3.5445e-05i,4.6472e-05+0.00015242i,-5.8679e-05+0.00064461i
-0.0017047-0.00069308i,-0.0019993+0.00088666i,-0.0018696+0.0026541i,-0.00011194+0.0033533i,0.00083266+0.0024284i,0.00069961+0.00081621i,-3.3014e-05-0.001079i,-0.00037659-0.0010874i,5.2079e-05+0.00075412i,-0.00037962+0.0012511i,-0.00096071+0.00017521i,-0.00061221-0.00016377i,0.00015026+0.00025912i,0.000649+0.0014181i,8.934e-05+0.0018999i,-0.00030562+0.0010423i,-0.0004644+0.00014385i,-0.00057426+0.00054448i,6.734e-05+0.0010533i,-2.868e-05+0.0011222i,-0.00021079+0.0010647i,-4.3361e-05+0.00028976i,0.00046959-0.00051839i
-0.00070472-0.0050818i,-0.0003503-0.0052078i,-0.0021184-0.0042888i,-0.0026438-0.0014624i,-0.001245+0.0010982i,-0.00010259+0.0015571i,0.00024637+0.00072875i,0.00098375+0.00095451i,0.00090888+0.00066093i,0.00031663+0.00057028i,0.00056233+0.0010085i,0.0010537+1.4287e-05i,0.001259-0.00055335i,0.0016254-0.00011369i,0.0020697-1.2598e-06i,0.0016422-7.7133e-05i,0.00045675+3.7916e-05i,-6.3831e-05-0.00024016i,-0.00025427-0.00066719i,-0.0004521-0.0005802i,0.00014688-0.00068832i,0.0005856-0.00060977i,0.00033754-0.00019669i
-0.00052496-0.0022445i,4.5801e-05-0.0024266i,-0.0019719-0.0037678i,-0.0029349-0.0032043i,-0.0023065-0.0011596i,-0.00059821-0.00016538i,-0.00012445-0.00061241i,-0.0013055-0.00046203i,-0.0012898-8.5283e-05i,-0.00099277-0.00037042i,-0.00068359-3.9383e-05i,0.00057685+0.00028683i,0.0011875+9.6637e-05i,0.00069154+0.00026916i,0.00059756+0.00037098i,-0.00040867+0.00035803i,-0.001493+0.00027093i,-0.00075846+1.7662e-05i,-7.2711e-09+0.00081164i,-0.00029247+0.0012759i,-8.3144e-05+0.00073759i,0.0004735+9.9646e-05i,0.00017607-6.1086e-06i
