-0.0011693-0.00047738i,-0.0014123-0.0004916i,-0.0019354-1.734e-05i,-0.0020633-0.00010262i,-0.0012455-0.00016267i,-0.00034185+0.0011189i,0.00036585+0.0018158i,0.0017516+0.0016163i,0.0021385+0.00027301i,0.0013857-0.00037329i,-0.00033335-0.00040883i,-0.0012652-0.00056719i,-0.0002333-0.00018688i,0.0004959+0.00093287i,-0.00053942+0.00031625i,-0.00025663-0.00082528i,0.00048389-0.00040927i,0.00083037+0.0001042i,0.00073819+0.00045413i,0.0001791+0.001251i,-0.00018065+0.00094993i,9.7683e-05-0.00025774i,0.00051032-0.00083376i
-0.00022921+0.0026215i,-0.00069501+0.0029309i,4.1858e-05+0.0020777i,0.0011014+0.00055414i,0.0008742-0.00047381i,-0.0002561-0.0009142i,-0.00022022-0.00041007i,0.00026577+0.00032584i,0.00011823+0.00048821i,0.0001995+0.00014163i,0.00062738-0.00034006i,0.00074093-0.00067073i,-0.00034886-0.00049087i,-0.0011822-0.00047333i,-0.0013617-0.0007139i,-0.0011158-0.0007255i,-0.00014494-0.00074844i,0.000169-0.00062943i,-0.00016049-0.00053098i,-0.00048859-0.00095823i,-3.5879e-05-0.00060226i,-0.00023291+0.00014117i,-0.00099486-6.8685e-05i
0.00020145+0.0025307i,0.0019595+0.0024426i,0.0026521+0.0027061i,0.0020862+0.0018357i,0.00079325+0.00062492i,-0.00027363+0.00069457i,-0.00061725+0.0012503i,-0.00054359+0.00062386i,0.00022481+0.00015056i,0.00018134+9.7051e-05i,-0.00092414+0.00014566i,-0.0018056-9.4521e-05i,-0.0017975-0.00038904i,-0.0010317+0.00014024i,7.7521e-05-0.00044619i,0.0005572-0.00082519i,0.00034154-0.00092084i,1.7083e-05-0.00084432i,-0.00025301-0.00014249i,-0.00040118+0.00072882i,-0.00050441+0.0011317i,-0.00018621+0.00021042i,-0.00030365-0.00060245i
-0.0013816-0.00036025i,-0.0024005+0.00039169i,-0.0022143+0.0015978i,-0.00057035+0.0029523i,0.00047374+0.0028114i,0.00031258+0.0017727i,0.00039657+0.0015172i,0.00042497+0.0010345i,-0.00015219+0.00040019i,-0.00093196+0.00041058i,-0.00074251+0.00066714i,-8.3273e-05+0.00027412i,0.00042913+0.00055449i,0.00076021+0.00066072i,0.00010764-1.6489e-05i,0.00037209+0.00030806i,0.00080025+0.00095711i,0.00058203+0.0010254i,9.014e-05+0.00012109i,8.4395e-05-0.00067957i,0.00070016-0.00046592i,0.00079523-0.0002446i,0.00047435-0.00041303i
5.5757e-05-0.00025692i,-0.00036327-0.00015452i,-0.00045521+8.6422e-06i,5.5372e-05+7.6291e-05i,-0.00010835+0.00052727i,-0.00016624+0.00065164i,0.00025976+0.0003612i,0.00043984+0.00046182i,7.5991e-05+0.001066i,0.00024451+0.00058516i,0.00047091+5.927e-05i,3.0103e-06+6.1231e-06i,-0.00054806-0.00070966i,-0.00038985-0.00042849i,0.00025617+0.00021258i,0.00074507-0.00018434i,0.00043629-0.00074076i,-0.00029186-0.00091564i,-7.7355e-05-0.00088245i,-0.00021645-0.00084624i,-4.336e-05+6.4775e-05i,0.00045026+0.0011182i,0.00015125+0.00057531i
0.0026139-0.00036871i,0.0030308-0.00053208i,0.001013-0.00040634i,0.00019573+0.00051684i,0.00032232+0.0013042i,0.00012425+0.0013974i,0.0012895+0.00099501i,0.0018933+0.0010356i,0.00046453+0.00057869i,-0.00038042-0.00020241i,1.5027e-05-0.00043747i,-2.0421e-05-3.6426e-05i,8.8358e-05+0.00054872i,0.00017883+0.00057366i,-0.00014477+0.00036766i,-0.00014057+0.00025245i,0.0002503-0.00035435i,0.0001422-0.00094947i,-0.00044865-0.00097946i,-0.0005528-0.00032946i,-0.00041183+0.00060439i,-0.00025921+0.00074379i,-0.00055972-0.00031471i
-0.00088826+0.0014827i,-0.00087936+0.00035688i,-0.00090813-0.00026795i,-0.00043074-7.9379e-05i,0.00033298+0.00057681i,0.00050366+0.00081345i,0.00026338+0.0010566i,0.00026615+0.00095984i,-0.00022498+0.00041815i,-0.0005693-0.00025645i,-0.00035433-0.00022506i,0.00057683+0.0004327i,0.00099104+0.00044546i,5.6248e-05-0.00027118i,-0.00073694-0.00025363i,-0.00050957-4.0176e-05i,0.00033511+3.6621e-05i,6.2327e-05+0.00063145i,0.00028981+0.00078335i,0.00086009+0.00051172i,0.00011768+0.00069133i,-0.00011883+0.00094707i,5.2053e-05+0.00056653i
-0.0014313+0.00082248i,-0.00043392+0.0007956i,0.00040313+9.5477e-05i,0.001065+0.00011973i,7.0009e-05+0.00092131i,-2.3743e-06+0.00066613i,0.0010116-0.00057493i,0.0013292-0.00070375i,0.00099086-0.00035843i,0.00058538-0.00032367i,0.00081731-0.0004669i,0.0010133-0.0004822i,0.00032272-0.00064888i,-0.0005278-0.00059836i,-9.7334e-05+6.6178e-05i,0.00092465+0.00012251i,0.00046926-7.1786e-05i,0.00021264-5.1905e-05i,0.00052443+0.00094935i,0.00050607+0.000743i,0.00028984-5.891e-05i,0.00022945-0.00012342i,0.00020427+0.0002348i
-0.0012227+0.0013312i,-0.0018994+0.0023366i,-0.0020998+0.0020049i,-0.0012775+0.00091774i,-0.00031964+0.00013639i,0.00054659+0.00059689i,0.00059949+0.0013149i,0.00040476+0.0011473i,0.00040062+0.00035912i,0.00026512-0.00054976i,-0.00016554-0.00026129i,-0.00066416+0.00044892i,-0.00084486+0.0010255i,-0.00027288+0.00054026i,2.2963e-06-0.00035662i,-0.00021378-2.1929e-05i,5.7794e-06+3.508e-05i,5.9843e-05+7.5482e-05i,-0.00029857-5.4477e-05i,-0.00037126+0.00037567i,-1.0877e-06+0.00062375i,-0.00020252-0.00030314i,-0.00076818-0.00061936i
0.00084506+0.00074144i,0.00039451-0.00049642i,-7.2538e-05-0.0009248i,-0.00022694-0.00027979i,6.8333e-05+0.00069923i,-0.00019929+0.0011306i,-0.00025835+0.00070713i,-0.00010347-0.00028359i,0.00015796-0.0011323i,0.00047857-0.0011433i,0.00030348-0.00083999i,-8.2094e-05-0.0007555i,-0.00027414-0.00024162i,-0.0007144-1.3923e-06i,-0.00088128-3.7066e-05i,0.0003127-0.00034427i,0.0010243-0.00044199i,0.0004214+4.7333e-05i,-6.2355e-05+0.00089395i,-0.00035213+0.001261i,-0.00012575+0.00064182i,-7.9903e-06+6.6211e-05i,-0.00063555-0.00045129i
-4.4961e-05+0.00040719i,-0.00051265+0.00089384i,0.00030639+0.00098537i,0.001129+0.00038893i,0.001032-0.00022098i,0.00078124-0.00045004i,0.00099117-0.00019957i,0.0010078+9.292e-05i,-0.0002147-0.00076011i,-0.00088899-0.00064291i,-0.00085312-0.00019509i,-0.00025878-0.0003652i,0.00057249-0.00058867i,0.00079492-0.00077591i,0.00042934-0.00041475i,0.00052126+0.0004778i,0.00059438+0.00031185i,0.00025134-0.00036878i,-9.084e-05-0.00019448i,0.00028539+0.00030412i,0.00049121+0.0010483i,0.00059492+0.00141i,0.00022299+0.00091502i
-0.0005883+0.00017672i,-0.00074666-0.00022085i,-0.0014726+0.00045886i,-0.00097017+0.0011006i,-0.00029808+0.0012308i,0.00022205+0.00059999i,0.00049281+0.00050709i,6.4086e-05+0.00025076i,-0.00021679-0.00026136i,-0.00050976-0.00077063i,-3.0031e-05-0.00091652i,-0.00029477-0.0011328i,-0.00027181-0.00098414i,0.00033871+5.1068e-05i,0.00024949+6.9809e-05i,-0.00013794-0.00084398i,-7.6901e-05-0.00094849i,-0.00046969-0.00021716i,-0.000687+0.0002904i,-0.00032525+0.00035373i,-0.00016479+0.00027921i,0.00032643+0.00039823i,0.00052381+8.4208e-05i
0.00012023+0.00059454i,0.00035073+0.00073495i,0.0011082-2.2156e-05i,0.0010607-0.00071708i,0.00056161-3.8684e-05i,0.00063613+0.0008541i,0.00032456+0.00031801i,2.1474e-05-0.00067798i,-0.00079471-0.00063706i,-0.0010298+0.000336i,5.174e-06+0.00012637i,4.8736e-05-0.00066426i,-0.00051246-0.00050293i,-0.0005525-2.1596e-05i,-0.00066777-0.00017722i,-0.00065163-0.00044932i,-5.1584e-05-0.00070529i,0.0010077-0.00026037i,0.00052413-9.4684e-05i,-0.00044447+0.00019519i,-0.00039201+0.00086521i,0.00011215+0.00092164i,5.9613e-05+0.00051737i
-0.001338+0.002896i,-0.00069606+0.0047528i,-0.000657+0.005156i,-0.0010483+0.0031897i,-0.00015923+0.0019328i,0.00091012+0.0017909i,0.00064007+0.0013184i,0.00075001+0.00079078i,0.0010071+0.00046741i,0.00042709+0.00014426i,0.00075597-0.00039801i,0.0011994+0.00019279i,0.00038198+0.00025794i,0.00012094-0.001079i,0.00095304-0.0018567i,0.0012481-0.0012484i,0.00046138-0.00029817i,-0.00065067-0.00012428i,-0.00053809-1.0765e-05i,-0.00068901+0.00027371i,-0.0014164+0.0001879i,-0.0010304-0.00033234i,0.00030653-0.00056624i
0.0012596-0.0013463i,0.00079921-0.0022026i,-0.00063031-0.0028471i,-0.0017916-0.0024834i,-0.0023868-0.0013353i,-0.0010212+7.3089e-05i,0.00054869+0.00097509i,0.0013695+0.00059801i,0.0010726+0.00040463i,-0.00057134-0.00031343i,-0.0011154-0.001155i,-0.00090162-0.00082828i,-0.00057258-0.00034184i,-0.00053287-0.0001314i,-0.00095705+1.1393e-05i,-0.0012463+0.00024708i,-0.0013465-0.00019172i,-0.0010506-0.00071376i,-0.00085064-0.00052252i,-0.00063753-0.00025206i,2.3276e-05-0.00016551i,-8.8989e-05-1.0895e-06i,-0.00012973+0.00015824i
-0.0011503+0.0025764i,-0.0010494+0.002652i,-0.00056892+0.0020706i,8.4608e-05+0.001301i,0.00072776+0.00055991i,0.00089821-0.00019194i,0.00077563-0.00068781i,0.00059645-0.00054011i,-0.00034418-0.0004223i,-0.0012024-0.00013161i,-0.00055247-0.00021257i,8.3006e-05-0.00061943i,2.3834e-06-0.00075223i,-0.00010449-0.001189i,2.7609e-06-0.0011227i,-0.00036586-0.00054306i,-0.0011313-0.00044926i,-0.00076046-0.00016199i,2.133e-06+0.00010144i,-0.00029873-0.000157i,-0.00027087+0.00045464i,0.00077679+0.00063572i,0.0010456-7.6109e-05i
0.00012323-0.00017924i,-0.00034407-0.0010501i,0.00029296+0.00012201i,0.00064507-7.2576e-05i,0.00049052-0.00070516i,1.2351e-06-0.00050629i,0.00038199-0.001015i,0.00072183-0.00073656i,-5.2425e-05-0.00049472i,-0.00091019-0.0012156i,-0.00056537-0.0012866i,-0.00018948-0.00046221i,-0.00052092+0.00023597i,-0.00031664+7.5637e-05i,-0.00037924+0.00015482i,-0.00010681+0.00026917i,0.00032599+0.00029979i,0.0002025+0.00034605i,0.00030366+0.0002092i,-0.000155-0.00017178i,-0.00080271+4.7924e-05i,-0.0002266+0.00020508i,0.00019718-0.00027559i
0.0016547-0.00031953i,0.0024867-0.00060431i,0.0015849-0.00077915i,-0.00037412-0.00075243i,-0.00090308-0.00040841i,-0.00078411+3.6238e-05i,-0.00084483+0.00029376i,-0.0011244+0.00061079i,-0.0009394+0.00092625i,-0.00066413+0.00060348i,-0.00025949+9.0727e-05i,0.00077772+0.00041671i,0.0010849+0.00043791i,-0.00012149+4.2135e-05i,-0.00058929-0.00048799i,0.00014657-0.00055655i,0.0005655-3.9205e-05i,0.00038711-0.00016887i,-0.00032783-1.2212e-05i,-0.00022821+1.9827e-05i,0.00018478-0.00031204i,-0.00029032+0.00035251i,-0.0011519+0.00069291i
-0.0028671+0.0012574i,-0.0033007+0.0029323i,-0.0014638+0.0028362i,0.00049656+0.0019538i,0.00081864+0.00089907i,0.00039641+0.00026082i,0.00083822-0.00013073i,0.0012941-0.00096525i,0.0010659-0.0010819i,0.00080984-0.00020354i,0.00061982-0.00022147i,0.00048556-0.00060997i,0.00069346+0.00013574i,0.0005928+0.00059537i,-0.00011353-0.0009573i,0.00028726-0.0011538i,0.0013959+4.7207e-05i,0.00093104+0.00052797i,-0.0001408+0.00019318i,-0.00019751+0.00020543i,0.00021953+0.00010539i,0.00067851-0.00055173i,0.00088796-0.00037874i
9.1041e-05+0.00012274i,0.00037621-0.00025103i,0.0012508+0.0010161i,0.0015212+0.00085919i,0.0014644-0.0011057i,0.0017885-0.0018541i,0.0020629-0.0012972i,0.0013036-9.1928e-05i,0.00037587-0.00019317i,9.9577e-05-0.0010693i,5.5868e-05-0.0012207i,0.00011942-0.00073922i,0.00038493-0.00084787i,0.00066146-0.001311i,-0.00014549-0.00080306i,-0.00073859-0.00024628i,-0.00076239+0.00014927i,-0.00027915-3.7617e-05i,1.955e-05-0.00073196i,-0.00042727-0.00028427i,-0.00043446+0.00011437i,4.9572e-05-3.4802e-05i,0.00033354-0.00015059i
-0.0027528-1.8893e-05i,-0.0030991+0.00098561i,-0.003061+0.00030168i,-0.002353+0.00022368i,-0.0010541+0.00078303i,3.4099e-05+0.00074886i,0.00062686-0.00036364i,-0.00026416-0.00095042i,-0.001017-0.00051926i,-0.00026994+0.00054414i,0.00025363+0.001057i,0.00086545+0.00088266i,0.0012304+0.00029882i,0.0013141+0.00066752i,0.00071344+0.0012783i,1.8767e-05+0.00077931i,-0.00024102-0.00025536i,0.00028303-0.0003901i,0.00032451-0.00067198i,-0.00039253-0.00058929i,-0.0003775+7.229e-05i,0.00033482+0.00052537i,0.0002198+0.0006287i
0.00038615-0.002553i,9.4801e-05-0.0044618i,-0.0011411-0.0030823i,-0.0019996-7.6367e-05i,-0.00099313+0.0015417i,0.00057246+0.0020748i,0.0013475+0.0018426i,0.0019148+0.0012086i,0.002089+0.00047716i,0.0013917-0.00035374i,0.0004075-0.00031767i,6.52e-05+0.00025432i,-7.6045e-06-4.7701e-05i,0.00028899-0.00022342i,0.00029646-0.00077271i,8.0341e-05-0.00056762i,0.00013623+3.1096e-06i,0.00037077-0.00054862i,2.417e-05-0.00066965i,-0.00058866+7.0277e-05i,-0.00048449-0.00031428i,0.00010755-0.00078924i,0.00050543-0.00064534i
0.00046481+0.0055525i,0.00099321+0.0058949i,0.0013047+0.004563i,0.0011982+0.0024946i,0.00079031+0.0010041i,0.0010515+0.00035427i,0.0012305+0.0011007i,0.00069854+0.0007678i,5.4145e-05-0.0006258i,-0.00088959-0.00099686i,-0.0013115-0.00069079i,-0.00091292-0.0010976i,-0.0007372-0.00108i,-0.00097183-0.00067132i,-0.0011093-0.0004232i,-6.7725e-06+4.5558e-05i,0.0007104-1.5715e-05i,0.00017112-0.00027237i,-3.0642e-05+6.6383e-05i,-0.00041642+0.00034577i,-0.00013025-7.7384e-05i,0.00011824+0.00030369i,-0.00028658+0.00022917i
-0.0011102-0.0016447i,-0.0016006-0.00117i,-0.0011179-0.0012678i,-0.00045162-0.0022071i,-0.00059394-0.0015635i,-6.9221e-05+0.00023944i,0.00020914+0.0012884i,6.8246e-05+0.0009909i,0.00014834+0.00061513i,0.00015333+0.00072062i,2.4401e-05+0.00023272i,6.9669e-05-0.00021826i,0.00019078-3.4734e-05i,-0.00010104+0.0003626i,-0.00051579+0.00011285i,-0.00026815-0.00044082i,-0.00046054-0.00026411i,-0.00040944-0.00024481i,-0.00017526-0.00030386i,-0.000424-0.00015548i,-0.00012749-0.00049215i,0.00015255-0.00044353i,0.00028456-0.00036624i
0.0037004-0.0019457i,0.0036921-0.0022487i,0.0021356-0.0016596i,0.00049465-0.00051829i,-0.00025169-0.00013624i,-0.0005457+0.0010038i,-0.00033162+0.0019197i,0.00065734+0.0014701i,0.00099941+0.00040678i,0.00093137-2.7205e-05i,0.00034133-0.00032094i,-0.0002164-0.00075761i,-0.00043967-0.00037952i,-0.00062876-0.00023694i,-0.00069332-0.00026745i,-0.00011638+4.73e-05i,0.00098014+0.00030117i,0.00095258+0.00028337i,0.00071099+0.00063938i,0.00026814+0.0012317i,2.0221e-05+0.00081483i,0.00043028-0.00024799i,0.00025307-0.00058413i
-0.0012419+0.00033957i,-0.0029611+0.001622i,-0.0027588+0.0012546i,-0.0012202+0.0012453i,-0.00041342+0.0015581i,0.00063234+0.00043453i,0.0013081-0.00048226i,0.0014267-0.00057078i,0.00056547-0.00092833i,-0.00043118-0.0011246i,-0.00058875-0.00022128i,-0.00026755+0.00047905i,7.0855e-05+0.0003049i,0.00066452+0.00025118i,0.00097386+0.00041162i,0.0010383-0.00064853i,0.00069019-0.00064415i,2.606e-05-0.00045704i,-0.00021329-0.00088345i,0.00025334-0.0005219i,0.00053574+0.00037387i,0.00063723+0.0010398i,0.00091444+0.00060873i
0.00066599+0.00087876i,9.4847e-05-0.0010397i,-2.7082e-05-0.0023411i,0.0003113-0.0013865i,0.00081061+1.8863e-05i,0.00073676+0.00035625i,8.2343e-05+0.00049253i,0.00038418+0.00024236i,0.0010801+0.00012341i,0.00072694+0.00016191i,-5.6508e-05+5.7511e-05i,5.387e-05+0.00093197i,-0.00019373+0.0015221i,-9.5391e-05+0.00086334i,1.16e-05+0.00041627i,0.00026414+1.9102e-05i,0.00026213+0.00018078i,6.7308e-05+0.0003096i,0.00017046-0.00080193i,-0.00033578-0.0014477i,-0.00060363-0.00051736i,-0.00031911+0.00046917i,-0.00032799-0.00010653i
-0.0021239+0.0018979i,-0.0020056+0.0021865i,-0.0014474+0.0017367i,-0.00012073+0.0011697i,0.00072992+0.00098626i,0.00075907+0.0015036i,0.0011049+0.0012437i,0.0013466+0.00054935i,0.00062684+9.7539e-05i,0.00026429+0.00055008i,-0.00018145+0.00059181i,-0.00011885+0.0004304i,0.00030472+0.00089001i,0.00079115+0.00043843i,0.00086734-0.00053155i,0.00049904-0.00064758i,0.0001285-0.00072988i,-0.00053497-0.00044056i,2.6056e-05+0.00039364i,0.00024399+0.0007532i,2.3604e-05+0.00081494i,-0.00016338+0.00082015i,-0.00042915+0.00090348i
-0.0012988-0.0026667i,-0.0020078-0.0017635i,-0.0011834+0.00044854i,0.00023814+0.0018814i,0.000566+0.0019455i,-5.3849e-05+0.0010773i,-0.00075049+1.2984e-05i,-0.000387-0.00068346i,-0.00016194+5.3604e-05i,0.00084833+0.00027858i,0.0019568+6.4115e-05i,0.0012904+0.00020738i,0.00028043+8.9996e-05i,0.00022304-0.00064344i,-0.00013839-0.0013145i,-0.00043944-0.00083989i,-0.0010492+0.0002713i,-0.0011583+0.00028615i,-3.2066e-05+4.5616e-05i,0.00081646+0.00044409i,0.00097356+0.00088591i,0.00076739+0.00070308i,0.00042144-0.00015737i
0.0001652+0.0013191i,-0.0003432-0.00026554i,0.00023328+1.0517e-05i,0.00040723+0.00055675i,0.00019352+0.00069615i,0.00041616+0.0012532i,0.00052384+0.00078151i,0.00044706+0.00016838i,0.00060992+3.0452e-06i,0.00046362-6.6128e-05i,-0.00027325-0.00029984i,-0.0010067-0.00033884i,-0.0005965+0.00011526i,0.00021118+0.00081373i,0.00023297-6.6492e-06i,0.00024222-0.00026468i,0.00015555+0.0010049i,-0.00016337+0.00025241i,-0.00019661-0.00056719i,-0.00015799-0.00011919i,-0.00011192-0.00043593i,2.0543e-05-0.00064573i,-0.00011057-0.0010098i
0.0010179-0.00011947i,0.001167+4.3378e-05i,0.00022339+0.00021552i,-0.0010793-0.00032144i,-0.0018506-0.0006262i,-0.0012348+0.00058151i,0.00090737+0.00094659i,0.0019819+0.00029499i,0.0014246-0.0002176i,0.00060315-0.00035372i,-0.00059731-0.00030019i,-0.0011153+0.00030469i,-0.00072213+0.00048767i,-0.00029936+0.00033481i,-0.00062249+0.00058839i,-0.00062316+0.0009536i,-0.00047641+0.00041813i,-0.00016563-0.00046536i,0.00043639-0.00022673i,0.00035227+0.0008282i,-0.0003721+0.0015136i,-0.00015238+0.0011728i,0.0006495+0.00048788i
-0.0048364-0.00018955i,-0.0041109+0.00055739i,-0.0028904+0.0021597i,-0.0014361+0.0024262i,0.00025837+0.00096937i,0.00016634+0.00059857i,-0.00022859+0.00088084i,0.00037353+0.00016652i,0.00056598-0.00012839i,0.00032276+0.00040032i,0.00021496+0.00048923i,1.6219e-05-3.461e-05i,6.5284e-05-0.00025025i,0.0003516+0.00012354i,0.00055655+8.4412e-05i,0.00064117-2.0194e-05i,-0.00033699+0.00028255i,-0.00058233+0.00043163i,0.00035604-0.00046396i,0.00024858-0.0011346i,-0.00054838-0.00037646i,-0.00050428+8.0875e-05i,0.00020735-7.9755e-05i
0.0028366-0.00045976i,0.0027546-0.0016107i,0.0016695-0.00071024i,0.0010196-0.00085549i,0.0015888-0.0012522i,0.0015851-1.836e-05i,-0.00013261+0.0010417i,-0.00057933+0.00077334i,5.5393e-05-0.00019349i,0.00010521-0.00032322i,0.00025607+0.00013996i,-0.00030962+0.00012524i,-0.00028383-0.00030902i,0.00043711-0.0002769i,-0.00039875+5.3552e-06i,-0.00091658+0.00015032i,-0.00038832+0.00074691i,-0.00064881+0.00062469i,-0.00091895+8.2909e-05i,-0.00094743+4.0107e-05i,-0.00026739-0.00042964i,0.00059759-9.5214e-05i,-7.5929e-06+0.00034906i
-0.00017365+0.003307i,-0.00099938+0.0046592i,-0.0018574+0.0036483i,-0.0013109+0.0023495i,-0.0010706+0.0022271i,-0.0014569+0.0017042i,-0.00098719+0.0013714i,0.00037835+0.00071632i,0.00039487-0.00011454i,0.00036012+0.00011157i,0.00025192+0.00023495i,-0.00045058+0.00022889i,9.737e-05+0.00014363i,0.0010134-0.0010222i,0.00099437-0.0011846i,0.00033398-0.00015616i,0.00014863+0.00014251i,0.00022233+6.8465e-05i,0.00065427+0.00032472i,0.00094097+0.000502i,0.00030519-2.9116e-05i,-0.00024876-0.00031957i,-0.00051255+0.00050725i
-0.0028588-0.0038369i,-0.0044502-0.0031649i,-0.0041977-0.00093193i,-0.0019906+0.0012366i,-0.00049106+0.0021208i,0.00053507+0.0029417i,0.00091041+0.0025284i,0.00032154+0.00046374i,-8.468e-05-0.00025597i,0.00024284+0.0012987i,0.00046338+0.0011042i,0.00051723-0.00014616i,0.00078379+0.00048647i,0.00056541+0.00082074i,6.5064e-05+0.00012355i,-0.00012393-0.00030295i,-0.00073327-0.00024132i,-0.0010852-0.00024746i,-0.00064397-0.0005436i,4.1906e-05-0.00079128i,0.00010408-0.00026743i,-0.0002608+1.9198e-05i,-3.8847e-06-0.00013047i
-0.0017587-0.00071105i,-0.0017586-0.00026215i,-0.00057458+0.00054221i,0.00029167-0.00013959i,0.0006387-0.00083922i,0.00013801-0.00059881i,0.00033164-0.00051404i,0.0010835-0.00055161i,0.00077392-0.00060778i,0.00056372-3.1098e-05i,0.00061724-0.00010247i,0.00029478-0.0014683i,0.00023172-0.0016827i,0.0004338-0.0015706i,0.0002639-0.0012589i,0.00034274-0.00041337i,-0.00027052-7.3691e-05i,-0.0014172+1.4876e-05i,-0.0014341-0.00030163i,-0.00057367-0.00041958i,-0.00035544+0.00011579i,-0.00049755+0.00038853i,-0.00053145-4.7082e-05i
-0.0019363-0.0047517i,-0.0040051-0.0033558i,-0.0056629+0.0013012i,-0.0041339+0.0033207i,-0.0012826+0.0038694i,0.00059237+0.0033962i,0.00094461+0.0014932i,0.00081335-4.3398e-06i,-6.5353e-06-0.00027631i,-0.00069099+0.00069026i,0.00015439+0.00058166i,0.00095393-5.5139e-06i,0.0014559-0.00060105i,0.0019175-2.57e-05i,0.0019254+0.00017227i,0.0012387-8.5121e-05i,0.00042738+0.0002121i,-5.5712e-05-6.9452e-05i,-0.00032331+5.0859e-06i,-0.00039709-0.00042096i,0.0002692-0.00080068i,0.00075642+0.00045702i,0.001286+0.00094939i
0.0092457+0.0085701i,0.01175+0.0059427i,0.012382-0.0010158i,0.0075223-0.0046022i,0.002216-0.0060168i,-0.0018459-0.0038631i,-0.0025961+0.00025883i,-0.0012695+0.001618i,0.00086364+0.00028361i,0.00090538-0.0020445i,-0.0012598-0.0025943i,-0.0019265-0.00097747i,-0.0030023+0.0013573i,-0.0041166+0.0024434i,-0.0039204+0.0021997i,-0.0026383+0.0016155i,-0.0012032+0.00067547i,-0.00057038-1.1663e-05i,0.00024447+0.00069983i,0.00061131+0.0011993i,0.00086063+0.0010557i,0.00081555+0.00025397i,0.00035951-0.00040513i
-0.00027082+0.0064324i,0.0015213+0.0061369i,0.0039434+0.0029383i,0.0038782-0.00029286i,0.0018401-0.0010123i,-0.00029962-0.00032759i,-0.00066598+0.00027782i,0.00039628+0.0007236i,0.0011857+0.0010772i,0.0010268+0.00019068i,0.00059838-0.00089627i,0.00012559-0.00090208i,-0.00047127-0.00053132i,-0.0018565-0.00055865i,-0.003081-0.00084575i,-0.0015435-0.00061889i,-0.00014415+0.00019149i,0.00025447+0.00033691i,0.00061787-3.0781e-05i,0.00094779-0.00028835i,0.001297-0.00048183i,0.0011978-0.00079682i,0.00051358-0.00047177i
0.0010824-0.00088236i,0.0017171-0.0013542i,0.003607-0.0015906i,0.0031218-0.0014714i,0.00051603-0.0016587i,5.8633e-05-0.0012629i,0.00088802-0.00025662i,0.00064956+0.00066121i,-2.5673e-05+0.001053i,-0.00033036+0.00083046i,-0.00041645+9.1469e-05i,-7.8125e-05-0.00061021i,-0.00047308-0.0003449i,-0.0019707-0.00027399i,-0.0023074-3.8545e-05i,-0.0012784+0.0006583i,-0.00087858+0.00021629i,-0.00035847-0.00049271i,0.00073582+7.4861e-05i,0.0013523+4.9819e-05i,0.0010422-4.0257e-05i,0.00071103-0.0003713i,0.00068604-0.0010075i
0.0011227-0.0016943i,9.5777e-05-0.00097222i,-0.0013035-0.00059945i,-0.0019107-0.00052137i,-0.001574+7.3775e-05i,-0.0012497+0.00066826i,-0.00011589+0.00067316i,4.2021e-05+0.00064849i,-0.00044767-3.7478e-05i,-0.00014135-0.00078085i,-0.00014029-0.00043833i,-0.00068159-0.00042129i,-0.00076589-0.00056988i,-0.00042878-0.00034798i,-0.00031786-0.00053386i,-4.0454e-05-0.00054572i,-0.0002552-0.00055183i,-0.00042505-0.00091634i,-0.00067221-0.00047513i,-0.00032132-0.00022236i,-0.00022431-0.00091108i,-0.0001811-0.0016421i,4.4522e-05-0.0013325i
0.0022638+0.00010905i,0.0026124-0.00010559i,0.0035854-0.00018212i,0.0028501-0.00053975i,0.00067928-0.001194i,-0.0002954-0.00061793i,0.00042944+0.00027054i,0.00044978+0.00084449i,-0.00035125+0.00065659i,-9.5937e-05+0.00044393i,8.8895e-05+0.00047938i,-0.00036873+0.00021297i,-0.00087727+0.00017567i,-0.00094285+0.00063402i,-0.00081311-0.00028429i,-0.0010865-0.00090927i,-0.00062739+0.00010788i,-7.6166e-05+0.00014863i,0.00016426-8.9348e-05i,1.3252e-06+0.00026997i,6.6103e-05+3.6773e-05i,0.00050586-4.6953e-05i,0.00066246+0.00033209i
-0.00085946+0.0023408i,-0.00029575+0.0027496i,-0.00090679+0.0025593i,-0.00095194+0.0019174i,-0.00057028+0.00091288i,0.00022991+0.00015707i,0.0013528+0.00045526i,0.0013802+0.00017303i,0.00042279-0.00084775i,-0.00076323-0.00023175i,-0.00076404+0.00041119i,-0.00021378+0.00035213i,0.0005086+0.00037555i,0.00095751+0.00021412i,0.00072828-0.00025883i,0.00018734-0.00052817i,0.00058007-0.00052678i,0.00023493+2.9967e-05i,-0.00046839+0.0006823i,0.0002984+0.00061111i,-0.00017093+0.0006482i,-0.00040046+0.00049644i,0.00060915+3.2572e-05i
