-0.00020833+0.00041403i,0.00034017-0.0010238i,-0.001166-0.00086402i,-0.0028607-0.00025042i,-0.0026025-0.00053057i,-0.0015124-0.00024005i,-0.0011147+0.00061073i,-0.0001699+0.00051207i,0.00060522+0.00013515i,0.00034184-0.0005426i,9.4067e-05-0.0014924i,-7.7564e-05-0.0018733i,-0.00060487-0.0015002i,-0.0012047-0.0009572i,-0.00078024-0.00077219i,-0.00082082-0.00063985i,-0.0010093-0.00080609i,-0.00059446-0.00065756i,8.3481e-05+7.4266e-05i,0.0002434+0.00023304i,0.00025128+2.9759e-05i,-9.8796e-06-0.00048304i,-0.00038555-0.0010504i
0.0014765+0.00014172i,0.0018655-9.1024e-05i,0.00070689-0.0015074i,-0.00061759-0.0017925i,-0.0015362-0.0014103i,-0.0013176-0.0015125i,-0.00074444-0.00067069i,-6.2804e-05-0.00035356i,0.0001217-0.00083747i,0.00037786-0.00084906i,0.0009532-0.00077008i,0.0016907-0.00050906i,0.0016956-0.00012847i,0.0010549+1.3883e-05i,6.6231e-05-0.00014059i,-0.0001037-0.00031691i,0.00032107+4.957e-05i,0.00075991-0.00012248i,0.00083606-0.00072219i,-3.1798e-05-0.00045554i,-0.00044849+0.00025695i,-0.00036426+0.00038826i,-0.00062736+0.00036708i
0.0015202+0.0021376i,0.00213+0.0030914i,0.00026745+0.0021597i,-0.00072456-3.3835e-05i,0.00010043-0.0011843i,0.00048226-0.0017277i,0.0013968-0.0017795i,0.0020504-0.00065179i,0.0013886-9.6948e-05i,0.00044297-0.00021841i,-0.00016206-0.00025599i,3.4528e-05-0.0003477i,0.00043503+4.9316e-05i,0.00037406-0.00023391i,6.5907e-05-0.0016787i,0.00025875-0.0019362i,0.00080366-0.00097402i,0.00010466-0.00047384i,-0.00084838+6.6574e-05i,-0.00076031+0.00044096i,-0.00020135+0.00096876i,8.6247e-05+0.001345i,0.00027346+0.00076189i
0.0023399+0.0011193i,0.0022394+0.00028423i,0.0011067-0.0013015i,0.00020421-0.0021671i,-0.00018578-0.0014983i,0.0003304-0.0018571i,0.0001264-0.0023211i,-7.8086e-05-0.0014568i,0.00023069-0.0011588i,-0.00011086-0.0011079i,-0.0011621-0.00079839i,-0.001518-0.00058798i,-0.0005313-0.00034712i,-0.00041108-0.00022008i,-0.00053271-0.00042732i,-0.00028699-0.0011815i,-0.00019278-0.001272i,-0.00020047-0.00058181i,-0.00043039+0.00028007i,-0.00014851+0.00019874i,-0.00020731+0.00065601i,-0.00025452+0.00090362i,-3.6548e-05+2.5627e-05i
0.0015089+0.0028909i,0.0011103+0.0014901i,0.00044009-0.00028822i,-9.1752e-05-0.0010585i,-0.00075302-0.0013385i,-0.0010661-0.0019833i,-6.1543e-05-0.0011872i,0.001522-0.00035262i,0.0011573-0.00055903i,-0.00018833-0.0010467i,0.00011802-0.00077737i,0.00058088+0.00044112i,-0.00054876+0.00077221i,-0.00063089-0.00075285i,0.00036294-0.0011443i,0.00037252-0.0012238i,0.00052997-0.00092102i,0.00073941+0.00050821i,0.00074252+0.0013357i,0.00043928+0.00072881i,0.00026148+6.2123e-05i,0.00076155+0.00024436i,0.00083284+0.00032441i
0.0015483+0.0019382i,0.0031716+0.00017734i,0.0035502-0.0014696i,0.0026474-0.0021729i,0.0023304-0.0027056i,0.0018613-0.0031384i,0.0017594-0.0026271i,0.0015351-0.0023504i,0.0009916-0.0020735i,1.3234e-05-0.00070832i,-0.00037895+0.00061218i,-0.00055136+0.00081417i,-0.0005876+0.00031453i,-0.00018836-3.7547e-06i,-0.00087991+0.00037722i,-0.00062605-8.3303e-05i,0.00063353-0.0010401i,0.00053611-0.0010821i,0.00059994-0.00078353i,0.00044238-0.00093252i,-0.00039057-0.0002838i,-0.00057202+0.00057233i,0.00071925+0.00089254i
0.00042748+0.0026464i,0.00010675+0.0026786i,-0.00012126+0.0018423i,-0.00075111+0.00070447i,-0.00031244-0.00061003i,0.00076406-0.0014623i,0.00099504-0.0012852i,-0.00010175-0.00068376i,-0.00023468-0.00043223i,0.0004061-0.00075905i,0.0009267-0.00022481i,0.00092408+0.00022523i,0.0010423-0.00036705i,0.0010463-0.00053251i,0.0003534-0.00045724i,-0.00058198-0.00066347i,-0.00064747-0.0011862i,-1.0544e-05-0.0010973i,0.00020047-0.00069749i,0.00035277-0.00055357i,-0.00018209+0.00021111i,-0.00062132+0.00082402i,-0.00054862+0.00062694i
0.0008375+0.0019611i,0.0023+0.0011157i,0.0013288-0.00030793i,-0.00049833-0.0013866i,-0.0015617-0.001903i,-0.0012046-0.001842i,-0.00051782-0.002105i,-0.00019801-0.0017961i,-0.00014299-0.0020669i,-0.00057114-0.0026243i,-0.00048491-0.0011361i,0.00018725-0.00070457i,0.0007954-0.0015308i,0.00062788-0.00078074i,5.2185e-05+0.00023491i,0.00013853+0.00034239i,0.0002586+0.00017758i,0.00063539-7.8035e-05i,0.000256-0.00022065i,-0.00063768-0.00053671i,-0.00050291-0.00031003i,0.00022957-0.00016074i,0.00067496-0.00063754i
0.0022196+0.0006986i,0.0027286+0.0002094i,0.0011797-0.001232i,-0.00037079-0.0027269i,-0.00062058-0.0038215i,-0.00074541-0.0032232i,-0.0002367-0.0014057i,0.00030595-0.00049747i,-0.00044055-2.6379e-05i,-0.00086451+8.7729e-05i,-0.00034431+2.2541e-05i,-0.0002629-0.00041442i,-0.00029994-0.00092264i,-0.000442-0.00073104i,0.00012898-0.00010449i,0.00025859-0.0001624i,3.8471e-05-0.00014011i,2.2898e-05-0.00023978i,0.00054375+0.00025468i,0.00055824+0.00076792i,0.00033363+0.00080395i,0.00070061+0.00050908i,0.0010192-0.00021021i
4.9654e-05+0.0021327i,0.00095602+0.0014723i,0.00031123+0.00052241i,-0.00027094-3.8254e-05i,0.00037949-0.00035224i,0.0011302-0.0010288i,0.0013402-0.0012463i,0.0013737-0.00060976i,0.0011103+4.8722e-05i,0.00033039+0.00069313i,6.4748e-05+0.00081816i,0.00031131+0.00039679i,-0.00042506-0.00038668i,-0.00071668-0.0010376i,-0.00010368-0.0005655i,0.00089757-0.00047303i,0.00064935-0.00033444i,-9.0127e-05-5.637e-05i,0.00031342-0.00019789i,0.00037225+0.00046897i,-0.00023222+0.0008508i,6.9765e-05+0.00046567i,0.00069917+0.00044358i
-0.00025687+0.00023878i,-0.00077799-0.00081453i,-0.001444-0.0018i,-0.0016814-0.0014207i,-0.00052581-0.0012435i,0.001762-0.0018335i,0.0025093-0.0014576i,0.0026287-0.00117i,0.0028055-0.0020226i,0.0017061-0.0014563i,4.6314e-05-0.00066783i,-0.00014019-0.00023812i,0.00047563-0.00017601i,0.00039487-0.00092403i,0.00050485-0.00084375i,0.00056774-0.00090165i,0.00074875-0.00086634i,0.0010063-0.00072544i,0.0002112+0.00018105i,-0.00038042+0.0010316i,0.00024416+0.00099166i,0.0010073+0.0010738i,0.00030633+0.001049i
0.0014505+0.0027415i,0.0015813+0.0021579i,0.0010721+0.00027121i,0.00057943-0.00031499i,0.00078801-0.0008066i,0.00063826-0.0014343i,-2.5492e-05-0.0014927i,0.00026367-0.0020002i,0.00041887-0.0030122i,-0.00052885-0.0020916i,-0.0014605-0.000435i,-0.00090728+0.00023913i,1.8258e-05+0.00040574i,-0.00073152+0.0010226i,-0.0015802+0.0007037i,-0.0011271-0.0001586i,-0.00046849-0.00020624i,-3.7538e-05+0.00036727i,-0.000167-0.00049868i,-0.00047537-0.0011662i,-0.00036339-0.00078339i,-0.00014353-0.00063233i,1.4334e-05-0.00019773i
0.0015233+0.0022914i,0.0019313+0.0012596i,0.00074714-0.00023674i,-0.00075513-0.00015197i,-0.00070375-0.0003385i,0.00085744-0.0016542i,0.00058242-0.0016321i,-0.00124-0.0016069i,-0.0021885-0.0017513i,-0.0021265-0.00058547i,-0.0012017+0.00036576i,-0.0005154-2.3976e-05i,-0.00098946-0.0006239i,-0.00093668-0.00091177i,0.00011269-0.00087514i,0.00010377-0.00048822i,-0.00021195+8.0013e-05i,-0.00040596-0.00010493i,-0.00058819-0.00029076i,-0.00021904+0.00035123i,0.00031042+0.00023714i,0.00046088+8.9473e-05i,-0.00022602+0.00050867i
0.0022153+0.0010174i,0.002412+0.0012199i,0.00023977-0.00048118i,-0.0017944-0.001905i,-0.0020875-0.0025512i,-0.0009835-0.0017476i,2.6034e-05-0.00099262i,6.322e-06-0.00096173i,-0.0013295-0.00046612i,-0.0020719+0.00089592i,-0.0014006+0.00058485i,-0.00044637-7.0473e-05i,-0.00032168-0.00085921i,6.7374e-05-0.0016711i,-7.4031e-05-0.0013102i,-0.00041181-0.00087209i,0.00022036-0.00026222i,0.00022496+0.00039556i,-0.00051725+0.00026197i,-0.00072759+0.00014132i,-0.00087023+2.9148e-05i,-0.00068026-0.00024778i,-0.00070702-0.00037191i
0.0015069+0.00052675i,0.0012661-0.00024689i,0.0002638-0.0021527i,-0.0002778-0.0018724i,-0.00053036-0.0012707i,-0.00045147-0.0012916i,0.00058179-0.00097215i,0.001953-0.00076617i,0.0028691+0.00054676i,0.0026009+0.00087274i,0.0013065+0.00070455i,1.182e-05+0.00021024i,-0.00026753-0.00056762i,9.4888e-05-0.0009573i,-0.00010317-0.0016801i,0.00028777-0.0017475i,0.0003645-0.00035789i,0.00040449+0.00084641i,0.00085532+0.0002575i,0.0010059+0.00017176i,0.00095462+0.00028751i,0.00045898+0.00020455i,-0.00020904-0.00017237i
0.00026074+0.0028596i,0.00085215+0.0029532i,-0.00019014+0.0016661i,-0.0014752-0.00027142i,-0.001632-0.001632i,-0.00062496-0.0023733i,0.00056016-0.0023841i,0.0010458-0.0018856i,0.0018334-0.0014359i,0.0024097-0.0022077i,0.0016795-0.0022604i,0.00026483-0.00061619i,-0.00077923-0.00012974i,-0.00044158-0.00081643i,0.00022792-0.001138i,0.00021633-0.001245i,0.00094397-0.00085676i,0.0015453-0.00045251i,0.001185-0.00018099i,0.00055691+0.00074151i,-6.0987e-05+0.0013414i,5.3488e-05+0.0011223i,0.00077273+0.00019948i
0.00067652+0.0012861i,0.002555+0.001501i,0.0010975+0.00016353i,-0.0005156-0.0010631i,-0.001161-0.00097352i,-0.00025612-0.0011277i,7.4734e-06-0.0014932i,-0.00017393-0.0017798i,0.00041531-0.0027982i,-0.00032745-0.0030977i,-0.00070031-0.0024015i,-0.0003992-0.00088754i,-0.00048213-1.1574e-05i,-0.00039582-0.00052552i,0.00024358-0.00058284i,0.0010643+0.00032296i,0.0016776-1.88e-07i,0.0015296-0.00023762i,0.00041327+5.4471e-05i,-9.0196e-05+0.0002481i,0.00019885+0.00049538i,0.00099689-0.0002297i,0.0010642-0.0004209i
0.0010377+0.0020679i,0.0017859+0.0017784i,0.0019778+9.2768e-05i,0.001635-0.00050096i,0.0016625-0.00077134i,0.0022924-0.0012969i,0.0012359-0.00068372i,-0.00059477-0.00073604i,-0.001776-0.0016074i,-0.002864-0.0015642i,-0.0021197-0.00052562i,-7.6943e-05-0.00064621i,0.0005833-0.001181i,-5.5051e-05-0.00083161i,-0.00091509+0.00026611i,-0.00086698+0.00051851i,-0.00021758-0.00022148i,-0.00060844-0.00087293i,-0.00080117-0.0006721i,-0.00070508+0.00049684i,-0.00070462+0.00067685i,-0.00060344-0.00017938i,0.00022535+5.1729e-05i
0.0026777+0.0020223i,0.0026081+0.0012455i,0.00088374+0.00015916i,-0.00046787-0.0010535i,-0.00038123-0.002319i,0.00061355-0.0021139i,0.00065914-0.00056351i,0.00056975+0.00075593i,0.00041229+0.00217i,-0.0011434+0.0022999i,-0.0023456+0.0013452i,-0.0012161+0.00015829i,0.00072935+0.00010069i,0.00084985+0.00061967i,6.4664e-05+0.0001209i,-0.00033423-0.00075175i,-0.00039163-0.00053643i,-0.00026421-0.00027509i,-0.00014129-0.00061634i,-0.00033878-7.1236e-05i,-0.00039278+2.1532e-05i,-0.00042727+0.00016507i,-0.00051241+0.00097349i
0.00015832+0.0014815i,-0.00017801+0.0015396i,-0.00013055+0.00065401i,-0.00060286-0.0014844i,-0.0010262-0.0028573i,-0.00035756-0.0031972i,0.00095747-0.0024502i,0.0025217-0.00060945i,0.0033418+0.0012586i,0.003063+0.0020989i,0.0014966+0.0014073i,-0.00048022+0.00026053i,-0.0015726-0.00043806i,-0.001422-0.0012378i,-0.00046549-0.0019219i,0.00040866-0.0018287i,0.0010786-0.000984i,0.000293-0.00014542i,-0.000429-0.00029046i,-0.00079983-0.00031942i,-0.00086532+0.00053506i,0.00030553+0.0016965i,0.00038037+0.001465i
0.0020354+0.00068622i,0.0022844+0.00077882i,0.0012184-0.00040393i,-0.00041976-0.0014762i,-0.00082325-0.0014653i,-0.00021308-0.0013439i,0.0015155-0.0026394i,0.0025799-0.0040157i,0.0034256-0.0042976i,0.0030428-0.0030507i,0.0010613-0.0015585i,-0.00041077-0.00033371i,-0.00056979+0.00031863i,-0.00034399-5.8154e-05i,-0.00019241-0.00042055i,-1.9923e-05-2.0068e-05i,-0.00030894+0.00010284i,-0.00012754+0.00033546i,-0.00013742+0.00056438i,-0.00031107-0.00010407i,-0.00047279+4.6556e-05i,-0.00038469+0.00033833i,7.5918e-05+0.00053981i
0.001199+0.0020605i,0.0007338+0.0014422i,0.00014182-0.0016297i,-6.9597e-05-0.0027956i,-0.00087482-0.0021615i,-0.0022432-0.0018529i,-0.0027549-0.0020688i,-0.0018644-0.0030956i,-0.00055317-0.0040955i,-0.00041494-0.0040741i,-0.00032395-0.0026205i,0.00045057-0.00029026i,0.00030126+0.00074258i,-4.4725e-05-0.00010341i,-0.00036066-0.00027055i,-0.00015636+3.3848e-05i,0.00054518-0.000531i,0.00070325-0.00067536i,0.00092555-0.00038397i,0.00065743+0.00038522i,0.00027556+0.0012146i,0.00046407+0.00034765i,0.00021733-0.00013595i
0.0002332+0.00034972i,0.0015901-0.00094459i,0.00028066-0.0019742i,-0.00047184-0.0019466i,-8.7979e-05-0.0013806i,4.4578e-05-0.00065665i,-0.0014239+0.00015722i,-0.0035625-0.00014021i,-0.0046731-0.0013306i,-0.0043655-0.00094861i,-0.0022637-0.00014798i,7.9115e-05-0.00052017i,0.00095114-0.00047211i,0.00028872+0.00016395i,-1.6702e-05+0.00042598i,0.00022315+0.00045482i,0.00070288+0.00037643i,0.00029792-0.00017426i,-0.00035525-0.00066375i,0.000167-0.00019447i,-0.00012721+0.00030228i,-0.00016436+0.00020553i,-0.00011064-0.00014792i
0.0017275+0.00127i,0.001801+0.0010692i,0.0017156-0.0002421i,0.0010332-0.0014046i,0.00092952-0.0015882i,0.0010272-0.0007724i,0.0015485+0.0011891i,0.00099715+0.0034708i,-0.001251+0.0035938i,-0.0020331+0.0029191i,-0.0013034+0.0018929i,-0.00055647-2.1985e-05i,7.4043e-05-0.0011186i,0.00049311-0.00086219i,0.00081849-7.892e-06i,0.0009508+8.4473e-05i,0.00052554+0.00016378i,0.00020515+0.00023015i,0.00019933+0.00057151i,-0.00012513+0.0008301i,-0.00012277+0.00079855i,-0.00038327+0.00064825i,-0.00011733+0.00036111i
0.0021338+0.0010545i,0.0020451+0.001308i,0.0017995-0.00041987i,0.00014279-0.001776i,-0.00091583-0.0021152i,0.0010108-0.0012367i,0.003663+0.00061591i,0.0052738+0.0012294i,0.0051096+0.0013236i,0.0032932+0.0011885i,0.001662+0.00031022i,0.00052109-0.0004671i,-0.00045812-0.00082362i,-0.0014255-0.0010482i,-0.0015196-0.001197i,-0.00069903-0.0011224i,-0.00098124-4.6647e-05i,-0.00093089+0.00048129i,0.00010542-0.00030049i,0.00070488-0.00039351i,0.00020623+7.1388e-05i,0.00056584+0.00070337i,0.00027332+0.00056034i
0.0014508+0.0032513i,0.0010957+0.0029439i,0.00085199+0.0021329i,-0.00018509+0.00092071i,-0.00026278-0.00031773i,0.00091727-0.002204i,0.0032199-0.0035176i,0.0056843-0.0034233i,0.0061984-0.0028625i,0.0045765-0.0029029i,0.0022447-0.002749i,0.00049796-0.0012671i,-0.0011109-0.0004804i,-0.0013676-0.00098844i,-0.00051318-0.0010115i,-6.9675e-05-0.00097567i,-3.9352e-05-0.0010812i,0.00012206-0.00062363i,0.00026307+0.00040848i,-0.00015761+0.0006464i,-0.00067165+0.00020553i,-0.0011521+1.7204e-05i,-0.0004636+0.00028624i
0.00064988+0.0023242i,0.00048094+0.0011057i,0.00045643-0.00084267i,0.00045942-0.002298i,0.00066994-0.0036306i,0.00060704-0.0046638i,-0.00036546-0.0057053i,-0.0012385-0.0067588i,-0.00042738-0.0060802i,-2.5373e-05-0.0036539i,-0.00046711-0.001664i,0.00015635-0.00010292i,0.00027262+0.0017643i,-0.00022097+0.0019738i,5.2641e-05+0.00066916i,0.00077865-0.00018348i,0.00074548-0.0009035i,0.00048238-0.00059794i,0.00064-0.00011453i,0.00011296-7.7059e-05i,-0.0002694-0.0003093i,0.00057142-0.00018536i,0.0010819-0.00043337i
0.0023988+0.0010269i,0.00232+0.00015098i,0.00085983+0.00036813i,3.3663e-05+0.00090524i,-5.9099e-05+0.00016014i,-0.00096235-0.0016712i,-0.0033093-0.0023843i,-0.0056475-0.0017883i,-0.0060449-0.0017124i,-0.0039357-8.3259e-05i,-0.0017246+0.0015898i,-0.00014974+0.0016608i,0.00056383+0.0012003i,0.00054717+0.00098829i,0.0001446+0.00037718i,-0.00013153+0.00018761i,-0.00018356+9.3298e-05i,0.00034322-0.00053719i,0.00064068-0.00082301i,-0.00020379-0.0013483i,-0.00042784-0.00089116i,0.00070181-0.00011476i,0.00068673-0.00035519i
0.0019464+0.0010791i,0.002118+0.0010377i,0.0012129-0.00058352i,0.00039855-0.00212i,-0.0010017-0.0015414i,-0.00095901+0.00042538i,-0.0019491+0.0030881i,-0.0032713+0.0050592i,-0.0023291+0.0041224i,-0.0003394+0.0025772i,0.00064763+0.0016266i,0.0011414+0.00075186i,0.0016053+0.00072937i,0.0006292+0.00072703i,0.0004166+0.00069928i,0.0012895+0.0012244i,0.0012637+0.0010993i,0.00031625+0.00033616i,-0.00087895-0.0002732i,-0.0010144-0.00020095i,-0.00031555-5.1482e-05i,0.00074838-0.00075901i,0.00039586-0.00034831i
0.0020283+0.00077418i,0.0036761+0.00027493i,0.0030161-0.001459i,0.00040117-0.0020981i,-0.00046325-0.0010464i,0.0006929+0.001104i,0.0029704+0.002911i,0.0047321+0.0038419i,0.0038665+0.0030192i,0.0020643+0.0014512i,0.00051736-7.9544e-05i,-0.00064091-0.0015724i,-0.0011026-0.0024312i,-0.0014985-0.0013693i,-0.0011344-0.00026243i,-0.00066327+0.00039775i,-0.00015174+0.00082499i,0.00053453+0.00042893i,-0.00049627+0.00020544i,-0.0017052+3.5393e-06i,-0.0016821+0.00044633i,-0.0011546+0.0016069i,-0.00019237+0.0016392i
0.00015221+0.002089i,-0.00083272+0.0017279i,-0.0011737+0.00039412i,-0.00081513-0.00060198i,0.00028478-0.0012709i,0.0026617-0.0019956i,0.0057371-0.0022522i,0.0079986-0.0026927i,0.006469-0.0030089i,0.0031968-0.0031796i,0.00036366-0.002692i,-0.0015855-0.0018834i,-0.0019851-0.0012479i,-0.0018428-0.00079035i,-0.0014404-0.00062766i,-0.00097942-0.00085489i,-0.0004831-0.00052901i,-0.00013606+0.00086832i,-0.00066306+0.00036362i,-0.00096693-0.00066132i,-2.9339e-05+0.00042676i,0.00053924+0.0010739i,0.00039341+0.00078097i
0.0017117+0.0018644i,0.0011059+0.00091488i,0.00080737-0.0006177i,-0.00059374-0.0021049i,-0.0014381-0.0048824i,-0.00040291-0.0066772i,0.000862-0.00752i,0.0021951-0.0079411i,0.00096126-0.0063462i,-0.0017546-0.0034909i,-0.0023458-0.0012107i,-0.00079472+0.00016186i,0.00020015+0.00067747i,0.00026985-0.00025069i,0.00069807-0.0012457i,0.00026395-0.00062893i,-0.0002074-0.00021002i,0.00033671-0.00083975i,0.00055566-0.00082874i,0.00012179-0.00022669i,0.0003015+5.0704e-05i,0.0014762+0.00010337i,0.0015273+0.00087289i
0.0029079+0.0015237i,0.0036447+0.0015396i,0.0028099+0.00068521i,0.0019529-8.529e-05i,0.00086265-0.0013681i,-0.00092442-0.0028167i,-0.0030144-0.0030702i,-0.0038504-0.0032893i,-0.0024722-0.0029337i,-0.00090042-0.00035967i,7.2988e-05+0.0016728i,0.0011179+0.0021782i,0.0019692+0.0019033i,0.0013113+0.00019213i,0.00031158-0.00073743i,0.00040962-0.00065569i,0.00056739-0.0010323i,0.00025939-0.00065288i,-7.4576e-05-0.00012623i,6.6247e-05-1.0791e-05i,-7.6854e-05+5.6977e-05i,-0.00052661-0.00029332i,8.0564e-05-0.00066148i
0.002633+0.0013925i,0.0036382+0.0013552i,0.0014563-0.0005823i,-0.0012842-0.0011597i,-0.0012793+0.00010963i,-0.00089509+0.00082716i,-0.0023759+0.0013685i,-0.0029094+0.0020345i,-0.0019271+0.0015991i,0.00030519+0.0010359i,0.0018864+0.00051065i,0.0020002-0.00045599i,0.0016824-0.00088099i,0.0011006-8.3396e-05i,0.00077893+0.00071404i,-0.00013725+0.00074322i,-0.00013289+0.00015714i,9.3043e-05+0.000322i,-0.00031731-0.00016912i,-0.00075669-0.0011705i,-0.0010003-0.00055076i,-0.00071023+0.00014162i,-0.00087082-0.00066726i
0.0017545+0.0020315i,0.0022916+0.0017536i,0.00081892-0.00016699i,-0.00060687-0.0014082i,-0.00052936-0.0010244i,-4.337e-05+0.00031173i,0.00074868+0.0027144i,0.001379+0.0042444i,0.0025882+0.0021784i,0.0023975-0.0013481i,0.0010512-0.0019579i,0.00057785-0.0013696i,-0.00024186-0.00080373i,-0.0012969-0.00078264i,-0.00050855-0.00073355i,0.00042432+0.00037398i,-0.00098092+0.001789i,-0.0010254+0.0022474i,0.00039453+0.0013935i,-0.00027036+0.00061509i,-0.0011961+0.0010839i,-0.00052032+0.0018666i,0.00013894+0.0010095i
0.0011357+0.0027515i,0.0027142+0.0020896i,0.0026205+0.00024462i,0.0014772-0.0018535i,0.00086358-0.0032359i,0.0020778-0.0034312i,0.0046518-0.0021081i,0.0058794-0.00099159i,0.0037991-0.0014394i,3.687e-05-0.0029458i,-0.0024915-0.0029351i,-0.0031727-0.0013586i,-0.0025227-0.00061299i,-0.0012862-0.00027324i,-0.00046744+0.0007808i,-0.00058651+0.00080006i,-0.00057097+0.00061675i,0.00016698+0.0010308i,0.00039712+0.00050224i,-4.5615e-05-0.00031516i,-0.00026095+0.00029491i,-2.833e-05+0.0010207i,-0.00023535+0.00076264i
0.0015387+0.00082904i,0.0015617+0.0017117i,0.00071954+0.0007902i,-0.00059408-0.00067881i,-0.00099706-0.0016316i,0.0011674-0.0029159i,0.0036752-0.0048347i,0.0034328-0.0055168i,0.0010461-0.004257i,-0.0020319-0.00095998i,-0.0035094+0.0010945i,-0.0033564+0.00064184i,-0.0019457-0.0005205i,-8.3753e-05-0.0011258i,0.00026528-0.00095312i,0.00034323-0.00031793i,0.0010354-5.318e-05i,0.00079929-0.00015486i,0.00064607+6.5232e-05i,0.00067313+0.00065268i,0.00022088+0.00077484i,0.00031329+0.00058694i,0.00027841+0.00017604i
0.0020092+0.0016291i,0.0030933+0.0015913i,0.0029179-0.00020465i,0.0012026-0.0012591i,7.5328e-05-0.0016592i,-0.0005822-0.0027238i,-0.0015484-0.0039448i,-0.0019118-0.0041567i,-0.00081633-0.0022047i,0.00077238+0.0010475i,0.001323+0.0028488i,0.0013163+0.0021053i,0.0016564-0.00015854i,0.00053007-0.0014319i,-0.00081031-0.0016751i,-0.00068142-0.00099163i,-0.00013348-0.00044424i,0.00086226-7.1857e-05i,0.00064638-0.00075364i,0.00011578-0.0018393i,0.00029199-0.0014724i,5.6144e-05-0.00075594i,-0.00033538+9.5356e-06i
-0.0004525+0.0011583i,-8.5812e-06+0.00057088i,-0.0011466-0.00029587i,-0.0016153-0.00076864i,-0.0013727-0.00087417i,-0.0021685-0.0014992i,-0.0032607-0.0011123i,-0.002476+0.00018437i,-0.0001432+9.3714e-05i,0.0020408-0.00030217i,0.0037474-0.0010169i,0.0043651-0.0011568i,0.0030082-0.00096428i,0.0013227-0.0018252i,0.00054723-0.0019267i,0.00033913-0.0011522i,-0.00028893-0.00035653i,-0.00082581+9.2593e-05i,-0.00037638-0.00015456i,-2.1395e-05-0.00034137i,-0.00012892+2.4767e-05i,0.00014259+1.3666e-05i,0.00053131-3.1198e-05i
0.00059499+0.003355i,0.0018967+0.002029i,0.0019923+0.00043978i,0.00060913-0.00056709i,0.00074882-0.00097478i,0.001417-1.6902e-05i,0.00077163+0.0022242i,0.00071247+0.0025588i,0.00168+0.00032119i,0.0022073-0.0028992i,0.0013103-0.0037355i,-0.00030449-0.0019734i,-0.00056556-0.0008502i,-0.00096673-0.0004985i,-0.00095895-0.00015874i,-3.6441e-05-1.4623e-05i,0.00079506+0.00030663i,0.00069931+0.00037332i,-0.00012421+0.00061944i,7.7462e-05+0.00091576i,0.00078423+0.0011209i,0.00086505+0.0012436i,0.00050995+0.00044159i
0.0013727+0.0012729i,0.0026819+0.00050415i,0.0025437-0.0010614i,0.00072079-0.0027623i,-0.00027277-0.0031139i,0.00089717-0.0023415i,0.0028654-0.0013279i,0.0035529-0.00079672i,0.001845-0.0012492i,-0.0023811-0.0014947i,-0.0047966-0.00036984i,-0.0038997+0.00074284i,-0.0024641+0.00043823i,-0.001469+0.00023821i,-0.00030117+0.00062603i,0.00038684+0.00053773i,0.00072841+0.00040094i,0.00076556+0.0008511i,-5.8058e-05+0.0013363i,-1.694e-05+0.0013265i,0.00029602+0.0010142i,0.00021242+0.00081424i,0.00026329+0.00066845i
0.0026892+0.001675i,0.0033904+0.0016182i,0.0026552+0.00058508i,0.0014996-0.00088032i,0.0014734-0.0013096i,0.0022961-0.0020009i,0.0028198-0.0030283i,0.0026958-0.0031638i,0.0013622-0.0018034i,-0.00096648+0.0007482i,-0.0027713+0.0025116i,-0.0021793+0.0022518i,-0.00068935+0.001361i,-9.6678e-05+0.00097562i,0.00063634+6.6188e-05i,0.00071469-0.000774i,-0.00011928-0.00072485i,-0.00042778-0.0013365i,-0.00032145-0.0012229i,-2.1979e-06-0.00014209i,0.00011495-0.00013985i,0.00039204-0.00049067i,0.00036726+6.4633e-05i
0.0020039+0.0023333i,0.0013823+0.001491i,0.00097034-0.00072725i,2.651e-07-0.0028512i,-0.00023622-0.003344i,0.00023988-0.0038599i,0.00041017-0.0042465i,1.3555e-05-0.0040986i,9.8601e-05-0.0027842i,0.0020512-2.67e-05i,0.0030722+0.002391i,0.0023007+0.0021707i,0.00078349+0.00047428i,0.00021836-0.00063062i,0.00042335-0.0011224i,8.1775e-05-0.00086776i,-3.172e-05-0.00052255i,0.00031859-0.00059344i,-0.00030402-0.00072334i,-0.0012589-0.0007294i,-0.00053166-0.00020015i,0.00030427-3.8732e-05i,0.00075657+0.0003219i
0.0014489+0.0036512i,0.00026714+0.0034598i,-0.00072093+0.0024059i,-9.9252e-05+0.00081499i,0.00060314-0.0014285i,0.00021243-0.0035113i,-0.0012868-0.0032105i,-0.0018993-0.0011772i,-0.00043762-0.00055806i,0.0020937-0.0016181i,0.0033226-0.0031586i,0.0022043-0.0038569i,0.0010623-0.0033094i,0.00032231-0.0023226i,0.00018393-0.0018152i,0.00031761-0.0015422i,0.00028516-0.00075332i,-0.00017759-0.0002981i,-0.00034818+0.00044144i,-0.00044972+0.00060676i,-0.00020153+9.1001e-06i,-1.1605e-05+0.00012087i,-0.00032669+0.00018604i
