-0.0011893+0.0014734i,-0.00039054+0.00031505i,-0.0013378-0.00051103i,-0.0024851+0.00038786i,-0.0019882+0.0013144i,-0.0005238-9.4583e-05i,0.00030623-0.00073544i,0.00054067+6.3853e-05i,0.0004278+0.00089542i,0.00057541+0.00081533i,0.0006286-0.00012259i,0.00073287-0.0007702i,0.00076786-0.00054768i,0.0011126-0.0001303i,0.0013755-0.00017639i,0.00072661-0.00028423i,-0.00020348-0.00035758i,-0.00056222-0.00020745i,-0.00082352-0.00051046i,-0.00022333-0.00097977i,0.00034394-0.00034779i,0.00013675-4.2525e-05i,-0.00026607-0.00030782i
0.0013951-4.49e-05i,0.0021114-0.00076073i,0.0019315-0.0017993i,0.0014298-0.002402i,0.00049629-0.0015587i,0.00031661-0.00088941i,0.0009078-0.00057519i,0.00090785-0.0002899i,-0.00030184-2.1454e-05i,-0.0010155+0.00049392i,-0.0013488+0.0010102i,-0.0015412+0.0014565i,-0.0014957+0.00037598i,-0.0011108-0.00079091i,0.00021212-0.00061939i,0.0016686+0.00059198i,0.0016941+0.00097861i,0.00056009+1.97e-05i,0.00027808-0.00039506i,3.7517e-05-0.00076231i,-0.0001737-0.00012265i,0.00042486+0.00038537i,0.00065235+0.00044049i
-0.0021361+0.00081595i,-0.00092885+0.0017627i,-0.00059592+0.0022615i,4.0574e-05+0.0032201i,0.0012885+0.0031684i,0.001928+0.0017525i,0.00092884+0.00058593i,-0.00049431+0.00019797i,-0.00083284+0.00098868i,-0.00036927+0.0023065i,6.1762e-05+0.0025205i,-0.00011286+0.0017446i,-0.00019312+0.0011665i,-9.372e-05+0.00030961i,0.0002304-0.00078976i,0.0014129-0.0012555i,0.0013333-0.0013981i,-0.00031419-0.0012791i,-0.0012039-0.0014745i,-0.00066936-0.0014224i,0.00028248-0.00065776i,-4.6715e-05-8.8936e-05i,0.00018426+3.2416e-06i
-0.0015718+0.00059685i,-0.0023105+0.0014471i,-0.0019352+0.0018085i,-0.00067866+0.001068i,0.00053509+0.000148i,0.0012795-0.00050762i,0.00033342+0.00049235i,-0.0006305+0.0012808i,0.00054017+0.00075744i,0.0023263+0.00058507i,0.0021983+0.00040905i,0.001276-0.00010667i,0.00080463-0.00038444i,0.00086347-0.001083i,0.00087271-0.0018182i,0.00042017-0.0019989i,-0.00048171-0.0014625i,-0.00079619-0.0012586i,-0.00056301-0.00030866i,-0.00049536+0.000228i,-0.00037331-0.00041749i,0.00039915-0.00074655i,0.0011373-0.00011454i
-0.0007656+0.00073185i,-0.00037246+0.00013962i,-0.00039816-0.00051366i,-5.7487e-05+0.000512i,0.0011307+0.0015313i,0.0018457+0.001268i,0.0012255+0.00041927i,-0.00031756+1.856e-05i,-0.0013897-0.00045017i,-0.00081351-0.0015992i,0.00015872-0.0021335i,-7.2059e-05-0.0010192i,-0.00026+0.00021825i,-0.00033874+9.306e-05i,-0.00056616-0.00030438i,-0.00041592+0.0005308i,-0.00059532+0.00049491i,-0.0006568-0.00018518i,-0.00058713+5.1904e-05i,-0.00018987+8.9038e-05i,0.00059559+5.436e-05i,0.00073384-0.00052024i,0.00078997-0.0010684i
0.00088821-0.0019055i,-0.00031423-0.00090023i,-0.0012254-0.0001882i,-0.0013759+0.00021447i,7.1161e-05+0.0004751i,0.0016215+0.00097937i,0.0016321+0.00088784i,0.00061107-1.0341e-07i,-0.00092439-0.00015866i,-0.0021004-0.0001708i,-0.002542-5.1374e-05i,-0.0018298+0.00028911i,-0.0012716-0.00039729i,-0.00073684-0.00075684i,0.00040939+0.00081034i,0.00089093+0.0022153i,0.00042328+0.0017616i,0.0003565+0.00057783i,0.00094279-0.00053081i,0.00099683-0.00064761i,0.00029658-0.00020115i,0.00013529-0.00019021i,0.00097011-0.0002365i
0.00072357-0.0010499i,0.0002612-0.0013744i,-0.00048402-0.002121i,-0.0014204-0.00076073i,-0.0017485+0.0013917i,-6.6388e-05+0.0014318i,0.00064918+0.00085747i,0.00016781+0.00061769i,-0.00015809+0.00094653i,-0.0011676+0.0022244i,-0.0018047+0.0025518i,-0.0014242+0.0020954i,-0.00045059+0.0017289i,0.00080772+0.00064429i,0.0017471+0.00023369i,0.0022782+0.00080024i,0.0015588+0.00073837i,0.00042314-0.00037854i,-0.00011872-0.00054847i,-0.00027806+0.000403i,0.00039742+0.00079633i,0.00083795+0.00067789i,0.0005145+0.0001558i
-0.0016821-0.0010457i,-0.00021819-0.00089021i,0.0012879+0.00073421i,0.00091972+0.0019273i,0.00059359+0.0021753i,0.0021008+0.0012872i,0.0025702-0.00073958i,0.0014567-0.0015054i,0.001039+0.00018607i,0.0011425+0.0021763i,0.0015146+0.0026413i,0.0013598+0.0010808i,0.00076658-0.00068574i,0.001022-0.00061268i,0.0016971-0.00025795i,0.0012179-0.00073655i,0.00046628-0.00058846i,-0.00036429-0.00069043i,-0.0012086-0.00090196i,-0.0010073-0.00060073i,-0.00019615-0.00047799i,0.00051867+0.00014814i,0.0011824+0.00021295i
0.0015281-0.00050837i,0.00084038-0.0011065i,0.00059471-0.0020569i,-0.0010497-0.0017794i,-0.0017358-0.0010865i,-0.00031408-0.0002851i,0.0018445-0.00058486i,0.002669-0.00088172i,0.0018463-0.0011511i,0.0010778-0.0016035i,0.00039898-0.0010452i,-0.00048506-0.00020976i,-0.00059463+0.00084531i,-0.00084802+0.00055177i,-0.0019108+0.0002979i,-0.0024803+0.00095006i,-0.0017823+0.00016941i,-0.0008587-0.00032194i,3.7396e-05+0.00040955i,0.00063992+0.00047301i,0.00038879-0.0004876i,0.0001461-0.00075062i,-4.7871e-05-0.00046101i
-0.00053137-0.0016467i,0.00046114-0.0014407i,0.00088969-0.0015973i,0.00079878-0.0005673i,0.0012155+0.001108i,0.0012422+0.0015571i,0.00066621+0.0008592i,-0.00030107-0.00016326i,-0.00097164-0.0017201i,-0.00097472-0.0019291i,-0.00033547-0.00076283i,0.00025355-0.0002798i,0.00031064-0.00021656i,3.8765e-05-0.00018579i,-0.00010437+0.00044142i,-0.00055698+0.00073458i,-0.00082385+0.00099683i,-0.00063988+0.0010392i,-0.00024799+0.00055765i,9.5149e-05+0.00033382i,-0.00035402-0.00036357i,-0.001142-0.00058999i,-0.00083769+0.00048126i
-0.00043188-0.0015935i,-0.0023634-0.00075094i,-0.0036413-0.00023416i,-0.0028294+0.000335i,-0.00077635+0.0007187i,0.00063608+0.00048042i,0.00042629+0.00038685i,-0.00026887+0.0006628i,-0.0011833+0.00067736i,-0.0016815-0.00013002i,-0.001777-0.00078595i,-0.0016224-0.00019292i,-0.00076156-0.00055814i,0.00016255-0.00038609i,0.00024105+0.0001123i,0.00038658+0.00025007i,0.00048939+0.00012393i,0.00014896+1.464e-05i,4.8243e-05+0.00064422i,0.00014199+0.00057575i,9.7244e-05-0.00019011i,2.4534e-05+0.00016171i,0.00045977+0.00055498i
-0.00052868+0.0017008i,-9.4331e-05+0.00076247i,0.0018149+0.00067408i,0.0019937+0.00083953i,0.0012919+0.00051653i,0.00082003+1.302e-05i,0.0014333-0.00023868i,0.0013874+0.00057573i,3.0865e-05+0.0010356i,-0.0012512+0.0014378i,-0.0015666+0.0011327i,-0.0016329+0.00072078i,-0.0008764+0.00069607i,-0.00011149+0.0007404i,0.00033163+0.00056822i,0.0012406+2.6469e-05i,0.00097511-0.0011971i,0.00052272-0.0018032i,0.00022852-0.00099647i,0.00011453-0.00027428i,0.00061754-8.4208e-05i,0.00074948+0.00026829i,0.00035988+0.00041606i
0.00089549-0.0013192i,0.00046938-0.0021009i,-0.00037931-0.0032477i,-0.0010773-0.0026802i,-2.3826e-06-0.00067258i,0.0014732+0.00010871i,0.0019256-0.00016858i,0.0018307-0.00026867i,0.001651+9.8049e-05i,0.00081099+0.00066426i,0.00045816+0.0008125i,0.0011372+0.00024075i,0.0010718+0.00039893i,0.0011534+0.0002538i,0.001902-0.00065018i,0.001548-0.00089551i,0.0010717-0.00085019i,0.00092684-0.00058357i,-5.1313e-05+0.00024839i,-0.00056636+0.00024948i,-0.00020223+0.00027418i,5.9343e-05+0.00037035i,9.5646e-05+0.00037022i
-0.00011572-0.0018176i,0.0019478-0.00074233i,0.0020321+0.00097695i,0.0006424+0.0021373i,-7.8066e-05+0.0014063i,0.0012065+8.7151e-05i,0.0019961-0.00068792i,0.0014962-0.00081734i,0.0013205-0.00056102i,0.00063401+0.00018343i,6.9073e-05+0.00027461i,-0.00013161-0.00039134i,-0.00017097-0.00048425i,-0.00013388-0.00036477i,-0.00027618-0.00048413i,-0.00043829-0.00058805i,-0.00079735-0.00045131i,-0.00077445-0.00030717i,-0.00026179-0.00028668i,0.00024662-0.00034298i,2.4109e-05+9.8744e-05i,-0.00063991+0.00033856i,-0.0002859+0.00024261i
0.0015378-0.00070295i,0.0019382-0.0010659i,0.0017258+0.00033256i,0.00074592+0.0010719i,-0.0001415+0.00097772i,0.00030696+0.0011533i,0.00051774+0.00020126i,-0.00076659-0.00092094i,-0.0013235-0.00097556i,-0.00050179-0.0016517i,-0.00010279-0.0018148i,-0.00048898-0.00081855i,-0.0012949+0.0002657i,-0.0019208+0.00055365i,-0.0016004+0.001023i,-0.00051755+0.0016384i,-0.00032356+0.0020254i,-0.00027958+0.0015911i,0.00023339+0.00059319i,0.00059363-6.2673e-05i,0.00062083-6.422e-05i,-8.5428e-05-0.00030175i,-0.00076437-0.00087533i
-0.00060192+0.0023183i,-0.00058603+0.0012818i,-0.00038538+0.00065239i,-0.00058989+0.00043226i,0.0001793-0.00063017i,0.0013785-0.0015888i,0.001491-0.0016453i,0.00031719-0.0012787i,-0.00091425-0.00090464i,-0.0014639-1.6095e-05i,-0.0019803-7.5377e-05i,-0.0015409-0.00050887i,-0.0011891-0.00029143i,-0.0010519+0.00027771i,-5.8754e-06+0.0013594i,0.0013393+0.0014499i,0.00070542+0.00097475i,-0.00052742+0.00066435i,-0.00048514+0.00077845i,0.00033527+0.0010746i,0.00074851+0.00060992i,0.00047636+0.00020973i,0.00067681+8.5844e-06i
-0.00022282+0.00272i,0.00053259+0.0018503i,0.0013915+0.0016298i,0.0010567+0.0011555i,0.00086029-0.000147i,0.0004788-0.00059716i,-0.0009085+0.00020197i,-0.0016295+0.00083848i,-0.0012483+0.0017259i,-0.00065716+0.0022633i,-0.00059638+0.0019093i,-7.175e-05+0.0012031i,-4.9956e-05+0.00012219i,-0.00056041+0.00017449i,9.5073e-05-0.000274i,0.0012056-0.0016774i,0.0011895-0.0020242i,0.00042295-0.001458i,0.00011558+5.5179e-05i,-0.00018869+0.0010586i,-0.00023466+0.0010644i,-0.00041692+0.0011983i,-0.00037592+0.00097249i
-0.00059808+3.0591e-05i,0.00085168-0.00017959i,0.0015468+0.00086573i,0.0013696+0.0017772i,0.0005562+0.0018011i,0.00049181+0.0018883i,0.001065+0.0018634i,0.00084538+0.0013661i,0.00090057+0.001649i,0.0016107+0.0012461i,0.0014559+0.00056228i,0.0015161+0.0008133i,0.0014793+0.00051239i,0.0013112+7.5885e-05i,0.0014766-0.00058407i,0.00084258-0.0013511i,0.000113-0.0011381i,0.00038545-0.00040769i,0.0003959-0.00016997i,0.00014486-0.00036565i,0.00025775-0.00030362i,0.00028164-0.00014888i,0.00064294+0.00023399i
0.0001108-0.0018227i,0.00030808-0.0025946i,-0.00027235-0.0023684i,-0.00097999-0.00139i,0.00086953+0.00049655i,0.0033392+0.00071796i,0.0039324-0.00040725i,0.0037319-0.0010847i,0.0025798-0.0008146i,0.0018526-0.00019967i,0.0016946-0.00055419i,0.00058936-0.00082858i,0.00023031-0.00039792i,0.00021587-2.8951e-05i,0.00019597-0.00019832i,-0.0002198-0.00088132i,-0.0012066-0.00048252i,-0.0011764-2.293e-05i,-0.00090908-0.00093564i,-0.00059314-0.0010148i,-0.00016058-0.00027805i,-0.00042198-4.3768e-05i,-0.00047966-0.00013189i
0.0017117-0.00065716i,0.0013542-0.0015289i,0.0011265-0.0012806i,0.00081247-0.00096609i,0.00025344-0.00067882i,0.00097189-0.001128i,0.0019451-0.0013055i,0.0012902-0.0012422i,-0.00031614-0.0022636i,-0.0010904-0.0024266i,-0.0010075-0.0019325i,-0.0015269-0.0016125i,-0.0014646-0.0018818i,-0.0010394-0.0015891i,-0.00076736-0.00029335i,-0.00058131+0.00099601i,-0.00031095+0.0015642i,0.00041573+0.0009706i,0.00028302+0.00075706i,-0.00068665+1.7204e-05i,-0.0013874-0.00081759i,-0.0005259-0.00026422i,-0.00033213+0.00079566i
-0.00083353+0.0017474i,2.3117e-05+0.0006236i,0.00025483+0.0014272i,1.8233e-05+0.0018313i,0.00020819+0.001258i,-0.00040412+0.00043769i,-0.0011985+2.141e-05i,-0.0025221+0.00020086i,-0.004003+8.5048e-05i,-0.0037378+0.00022804i,-0.0023698+0.00079427i,-0.0016479+0.00091433i,-0.0010023+0.0010067i,-0.0012606+0.000835i,-0.0008918+0.00022883i,0.00093119+0.00054501i,0.0012959+0.0010153i,0.00044117+0.0004577i,-0.00013923-0.00078707i,-0.0004492-0.00080679i,-0.00029081-0.00052192i,-0.00011745-0.00029693i,-0.0004653+1.2805e-05i
-0.0031568-0.00034778i,-0.0024151+0.0012192i,-0.0021782+0.0024837i,-0.0018753+0.0019505i,6.9162e-05+0.0016325i,0.0016843+0.001797i,0.0012122+0.00043651i,0.00035274-0.00010382i,-0.00054815+0.00098691i,-0.0013253+0.0017156i,-0.00059293+0.0022194i,9.409e-05+0.0027454i,0.00069967+0.0022648i,0.0011583+0.001467i,0.00074565+0.001067i,0.00064921+0.00057779i,0.00015661+1.5856e-05i,-0.00073618-0.00068224i,-0.00071485-0.00080348i,-1.9898e-05-0.00018508i,-0.00013481-0.00010531i,-0.00059709-7.0384e-05i,-0.00037529-0.0003363i
-0.0012079+0.0007634i,-0.0019088+0.001755i,-0.0018012+0.0020461i,-0.00026066+0.00051471i,0.0012649-0.00062814i,0.001581-0.00077754i,0.0013633+0.00021263i,0.0010182+0.0014627i,0.00074351+0.00123i,0.00038616+0.00056776i,0.00028781+0.0010296i,0.00094156+0.00087196i,0.0012859-0.00031399i,0.0012436-0.00074861i,0.00089747-0.00074594i,0.00031033-0.00099116i,-5.8745e-05-0.00045016i,-0.00013749+0.00066995i,0.00033128+0.00088768i,0.00018099+0.00045273i,-0.00046622-1.8874e-07i,-0.00068885-0.00015595i,-0.00038781+0.00074789i
0.00076754+0.00096148i,0.00065116-0.0015892i,0.00027841-0.0028072i,-0.00081752-0.0022201i,-0.00079758-0.0018152i,3.4638e-05-0.0012654i,0.0010147-0.0002348i,0.0011508+0.00096812i,0.0016542+0.00086451i,0.0016666-0.00080837i,0.000956-0.0016317i,0.00033059-0.0018121i,-6.5134e-05-0.002086i,-0.00087572-0.0016459i,-0.0010666-0.0015563i,-0.0011271-0.0016112i,-0.0010358-0.00072874i,-0.00070872+0.00044256i,-0.00069235+0.00093678i,-0.00039907+0.00070773i,0.000213+0.00021294i,0.00039064+0.00031646i,0.00014264+0.00018074i
-0.00090399-0.0025914i,-0.00040205-0.0037612i,-0.00032306-0.0043237i,-0.0005034-0.0030124i,9.7012e-05-0.00044684i,0.0020156+0.001183i,0.0027744+0.0006328i,0.0015901-0.0010101i,-8.9762e-05-0.001682i,-0.0017872-0.0012112i,-0.0020856-4.8449e-07i,-0.0012298+0.00030126i,-0.00064112-0.00057261i,-0.000179-0.00054533i,6.9552e-06-0.00011887i,0.00040015+0.00077554i,0.00048026+0.0014487i,5.1108e-05+0.00087996i,-0.00013467+0.00064708i,-0.00019228+0.00089087i,7.3583e-05+0.00068247i,0.00088341+0.00022419i,0.0012542+0.00035665i
0.003905+0.0012833i,0.0045344+0.00076973i,0.0043861+0.00025864i,0.002826+0.00075937i,0.0028483+0.0017223i,0.0026833+0.0022041i,0.0020648+0.0011084i,0.00099851-0.00028714i,-0.00077815-0.0012277i,-0.0018508-0.001518i,-0.0018078-0.00080128i,-0.0015166+0.00083938i,-0.0019765+0.0022193i,-0.0018261+0.0025143i,-0.00070085+0.0019037i,0.0007561+0.0011858i,0.0011036+0.00086238i,3.5382e-05+0.00065863i,-0.00038293+0.00098262i,-0.00020289+0.00076977i,-0.00024208-0.00045675i,0.00022887-0.00053021i,0.00060228+0.00023171i
-0.0019011-0.00050763i,-0.0012834+0.0010554i,-0.001472+0.00077422i,-0.0012482-5.8257e-05i,0.00014919-0.00034492i,0.0016607-0.00071768i,0.0016509-0.0015615i,0.000175-0.0013883i,-0.00057387-0.00013163i,-0.00051468+0.00077133i,-0.00055163+0.0015447i,-0.00013367+0.0022292i,0.00079977+0.0028136i,0.0015101+0.0025928i,0.0014002+0.0015808i,0.00079429+0.00052172i,9.2436e-05-0.00032092i,-5.1517e-05-0.00059769i,-0.00052274-0.00052671i,-0.00084367-0.00066318i,-0.0005285-0.0010777i,-0.00023159-0.00099637i,2.7034e-05-8.458e-05i
0.00053781-0.0004184i,0.00050681-6.0718e-05i,-0.00043291-0.00034257i,-0.00041864-0.00021603i,-0.00053081+0.00059199i,-0.0001355+0.0011374i,0.00035415+0.00091433i,-0.00036101+0.00077484i,-0.0012519+0.00053954i,-0.0010494+0.00089727i,-0.00040921+0.0014079i,-0.00033622+0.00064195i,-6.1436e-05-3.8911e-05i,0.00073906-0.00031133i,0.00094187-0.00057308i,-4.4837e-05-0.00012413i,-0.00069291-2.9646e-05i,-0.00020566-0.00093853i,2.9059e-05-0.001061i,-0.00076894-0.00062813i,-0.00027549-0.00044474i,8.7095e-05-3.306e-07i,-0.00046919+0.0010887i
-0.00041047+7.8856e-06i,-0.00018197-0.00099926i,-0.00065044-0.00139i,-0.0010887+0.00028567i,-0.00049185+0.0028837i,-0.00027069+0.0030792i,-0.00029084+0.0019605i,2.6486e-05+0.0022876i,0.0011379+0.0031013i,0.0017216+0.0015897i,0.0010638-0.00074472i,-0.0002021-0.0015728i,-0.00065859-0.0019829i,-0.00017883-0.0015993i,1.729e-05-0.00082647i,-0.00079739-0.00045181i,-0.0010288-0.00015002i,-0.00086771+0.00023607i,-0.0012915-0.00014963i,-0.0013725-0.00095421i,-0.00060769-0.00074323i,0.00058477-1.076e-05i,0.00080761+0.00065829i
0.00044508-0.00037628i,0.00055723-0.0018973i,0.00076453-0.0029436i,9.9764e-05-0.0019331i,0.00045779+0.0003846i,0.0012629+0.00095847i,0.0018411+2.2492e-05i,0.0023609+0.00030589i,0.0030122+0.00084182i,0.0023284+0.00063676i,0.00093388+3.9795e-05i,-0.0003538+4.0237e-05i,-0.0016347+0.00011631i,-0.0021824-0.00013277i,-0.0015571-0.00047803i,-0.00052618+4.8011e-06i,0.00021204+0.00094486i,5.481e-05+0.0009658i,-4.2263e-05+0.00093577i,0.00030859+0.00082109i,0.0013365+0.0011226i,0.0019683+0.0015824i,0.0015736+0.00076798i
0.00022639-0.0009611i,-0.0005365-0.0025389i,-0.00084437-0.0039399i,-0.0011813-0.0029735i,-0.00081413-0.0013553i,-2.5194e-05-0.00097324i,8.474e-05-0.0010318i,-0.00011352-0.0019405i,-0.00044648-0.003345i,-0.00056781-0.0032136i,-0.00075073-0.001447i,-0.00063178-0.00010175i,0.0001544+0.00076354i,-2.2606e-05+0.0014206i,-0.001208+0.0010954i,7.2402e-05+0.00034964i,0.0015233+0.00018097i,0.0013167+0.0010949i,0.0013753+0.0011319i,0.0012379-0.00033995i,0.00018936-0.0011232i,-0.00040286-0.00099202i,0.00019118-0.00033924i
0.0017546-0.00090739i,0.0017386-0.00067175i,0.0014857-0.00035203i,0.00031007-0.00038709i,-0.00047958+0.0002018i,-0.00016902+0.00098215i,0.0010608-0.00017752i,2.3751e-05-0.00088034i,-0.0017795-0.0012075i,-0.0027119-0.00093417i,-0.0028036+8.1e-05i,-0.0010696+0.001271i,0.00039184+0.0020014i,0.0010173+0.0012696i,0.0012256+0.00050209i,0.00084699+0.00028632i,0.00051622-0.00013724i,0.00092427+3.3816e-05i,0.00084526+0.00021452i,0.00042216+0.00015652i,0.00010865+0.00026103i,0.00012079+0.00032979i,-0.0003949-0.00030329i
0.00071527-0.0020878i,0.002338-0.0020043i,0.0022613-0.0028128i,0.0013775-0.0020109i,0.0008958+5.7603e-05i,0.0016024+0.0015836i,0.0023484+0.0014791i,0.0011647+0.00070555i,-0.0011754+0.00089828i,-0.0022254+0.0014048i,-0.0018836+0.001254i,-0.001369+0.00042647i,-0.00024282-0.00011457i,0.0012441-0.00036216i,0.0020283-0.00017714i,0.0012714+0.00072937i,0.00010772+0.0015493i,-0.00068528+0.0013004i,-0.0008102+0.00075527i,-0.00091382+0.00039878i,-0.00089502+0.00072193i,-0.00090895+0.00063237i,-0.00055351+0.00058685i
-0.0009775+0.0020128i,0.0015071+0.0027084i,0.0024687+0.0036777i,0.0027053+0.0032845i,0.0027034+0.0019213i,0.0017291+0.00077233i,0.0013027-0.00082396i,0.00099155-0.00055832i,0.00019072+0.00082045i,0.00023061+0.0013862i,0.0010921+0.0017656i,0.00087332+0.00085647i,-3.6902e-05-0.00043429i,-0.00038855-0.0010359i,-0.00041202-0.0011843i,-0.00083787-0.00041904i,-0.00095855+0.00053632i,-0.00057075+0.00076884i,-0.00066443+0.0010649i,-0.00057736+0.0013906i,-0.00070865+0.0011627i,-0.00079053+0.00061321i,-0.00053559+0.00089254i
-0.0019537+0.002182i,-0.0019306+0.0012008i,-0.0011431+0.0012624i,-0.00079912+0.0010028i,-0.00037442+0.0003585i,-0.00098733-0.00081747i,-0.0011603-0.00078249i,-0.00023016+0.00017259i,0.0004869+0.0004783i,0.0010773-0.00032673i,0.00068968-0.00059142i,-0.00067868-0.00032711i,-0.0013979+0.00025349i,-0.0019717+0.00053339i,-0.0023534+6.2919e-05i,-0.0015119-0.00035536i,-0.00072315-0.00079759i,-0.00047798-0.00096385i,-0.00043295-0.00027272i,-3.0059e-07+0.00051343i,0.00071307+0.00017458i,0.00063289-0.00074103i,0.00032009-0.00085182i
-7.1332e-05-0.0011441i,-0.00096846-0.0033115i,-0.0020399-0.0040749i,-0.0024086-0.0018424i,-0.0014245+0.0013491i,5.5216e-05+0.0027335i,0.0012223+0.0026323i,0.001556+0.0017468i,0.0012006+0.00029838i,0.00082892-0.0012346i,0.00017006-0.00084726i,-0.00023016+0.00065864i,-0.00016945+0.0014494i,-0.00021019+0.0022308i,-0.00028532+0.0024757i,-2.8324e-05+0.001779i,0.00049153+3.3748e-05i,0.00088214-0.0011838i,0.00078537-0.0013002i,0.00033199-0.0013745i,0.00057094-0.00099565i,0.00076296-0.00065969i,-0.00026769-0.00075637i
7.7877e-05-0.0024686i,-8.5249e-05-0.0037135i,-0.0011549-0.0045587i,-0.0017227-0.0022737i,0.00028544+0.0005989i,0.0020859+0.00037728i,0.0024797-0.00079891i,0.0016988-0.001092i,0.00053472-0.0011286i,-0.00064243-0.0015931i,-0.0014027-0.0016636i,-0.00073228-0.00016057i,0.00077975+0.0013621i,0.0013026+0.00092069i,0.0015744+0.00011721i,0.0017832-8.1454e-05i,0.0011945-0.00053008i,0.00096191-0.0012952i,0.00032404-0.0013057i,-0.00026989-0.00089832i,0.00011302+0.00015402i,0.00066749+2.6278e-05i,0.00017112-0.00074344i
0.0026786+0.00051934i,0.0031002-0.00011261i,0.0036622-0.00069827i,0.0024669-0.00092229i,0.0012964-0.00053303i,0.00096925-0.00017946i,0.00070775-0.0002127i,0.00043955-0.00043942i,0.00017577-0.00087865i,6.008e-05-0.00097152i,-0.00075733-0.00032757i,-0.0012877-0.00046493i,4.56e-06-0.0010835i,0.00082668-0.0010041i,0.00076875-0.00078756i,0.00055388+3.3863e-05i,-1.7422e-05+0.0010541i,-0.00044876+0.0011388i,-0.00039846+0.00052664i,0.00067586+0.00066831i,0.0013426+0.00085091i,0.00071556+0.00062903i,0.00048916+0.00084255i
-0.00088304+0.00075569i,2.5527e-05+0.0021523i,0.0015844+0.0022692i,0.0022536+0.0004653i,0.0016147+0.00060921i,0.0012177+0.0019661i,0.0008583+0.0012598i,0.00022304-0.00048484i,-0.00091407-0.00061423i,-0.0020421+0.00012372i,-0.0020121+0.00047039i,-0.0019008+0.00041498i,-0.002165-0.00062739i,-0.001168-0.0020584i,0.00024502-0.0021483i,0.0006041-0.0010101i,0.00090876+0.00053125i,0.0014023+0.0010562i,0.00097745+0.00079683i,5.954e-05+0.0013011i,0.00036758+0.0013637i,0.00070163+0.00073665i,-0.00028387+0.00034789i
-0.00015486+0.00089125i,-0.00064892+0.0007262i,-0.00085996+0.00077153i,-0.00016869+0.0008088i,0.0015321+0.00049643i,0.0040052+0.0010878i,0.0033538+0.0014621i,0.00046538+0.00087098i,-0.0010794+0.00092317i,-0.00059919+0.0011127i,0.00049029+0.0015546i,0.00054601+0.0018999i,-0.0016584+0.0011959i,-0.0028849+0.0016637i,-0.0015179+0.0026061i,0.00044241+0.0019275i,0.00069176+0.00067739i,-0.00014806+0.00034423i,-0.0005007+0.00033568i,-5.4727e-05-0.00045053i,-0.00015049-0.00058526i,-0.00044427+0.00015054i,-0.00030656+0.00052934i
-0.0026022-0.0017259i,-0.0031323-0.00076811i,-0.0018743+0.00061575i,0.00010603+0.00070948i,0.0011564-0.00017863i,0.0013459-0.00099397i,0.0011621-0.00030639i,0.0013909+0.0012163i,0.0012285+0.0019231i,0.00096195+0.0016147i,0.00045361+0.00089774i,0.00018401+0.00055621i,0.00078021+0.0013406i,0.0011144+0.0014887i,0.0012102+0.0016197i,0.00058428+0.0012643i,0.00028955-8.0097e-05i,-0.00025865-0.00076883i,-0.00086731-0.0013593i,-0.00081973-0.0017744i,-0.00090988-0.00064115i,-0.00058948+0.0005649i,-0.00078803+0.0007506i
-0.0012426-0.0027386i,-0.0017413-0.0031697i,-0.003015-0.0028328i,-0.0037122-0.00074722i,-0.0024707+0.0016659i,-0.00080073+0.0019339i,-9.6148e-05+0.00064785i,0.001004+0.00036944i,0.0012528-0.00033247i,0.00099291-0.0011912i,0.00056208-0.00069869i,0.00053624-7.6722e-05i,0.0020511+0.00011144i,0.0027398+0.00026377i,0.0019936+0.00025084i,0.00085887+0.00039393i,0.00027537+0.0001259i,-0.00022955-0.00049523i,-0.0011866-0.00047484i,-0.0017086-0.00056484i,-0.00051084-0.00060286i,0.00020419-2.5096e-05i,0.00035903-0.00018857i
0.0018321-0.0016976i,0.0032429-0.0034598i,0.0025281-0.0037668i,0.00033392-0.002027i,-0.00061311+0.00040966i,-0.00014486+0.0011973i,5.9926e-06+0.00083172i,0.00031169-0.00010323i,0.00020644-0.00015595i,-0.00030162+0.0002828i,-0.0004423+0.00015889i,-0.00065923-0.0004911i,1.0953e-05-0.0013932i,-0.00030779-0.0019352i,-0.0011067-0.002414i,-0.00017168-0.0021141i,0.00049939-0.00047225i,0.00046523+0.00011612i,4.7138e-05+1.4469e-05i,-0.00011173+0.0001042i,0.00067174-0.00032955i,0.0012488-0.00037826i,0.0011702+0.00027894i
0.0011648+0.0013673i,0.0034797+0.00051024i,0.004626-0.00010304i,0.0022554-4.7108e-05i,0.00091946+5.0961e-05i,0.0018148-0.00015694i,0.0020888-0.00086308i,0.00091954-0.00078577i,-0.00074552-0.00071314i,-0.0015066-0.00073732i,-0.0024203-0.00034951i,-0.0021499-0.00030814i,-0.0020187+7.6099e-06i,-0.0027704+0.00048725i,-0.0027147+0.00015128i,-0.0014856-0.00039884i,-1.6005e-05-6.918e-05i,0.0011935+0.0004024i,0.0020169+0.00044759i,0.0013032+0.00046756i,0.00040889+0.00012195i,0.00034948-0.00015922i,-2.3638e-06+0.00016995i
