-0.0010185+1.7023e-05i,-0.00076303+0.00014016i,-0.0026476+0.0004333i,-0.0022985+0.00020033i,-0.001795+0.0002333i,-0.0018206+0.0010855i,-0.0015653+0.0011496i,-0.00088186+0.00046004i,0.00040366+0.0003694i,0.0013361+0.00051109i,0.0016393+0.00062138i,0.0015833+0.00041009i,0.00094749+0.00041021i,0.00080935-0.00017852i,0.00067578-0.00012476i,-0.00049544+0.00051319i,-0.00088034+0.00054063i,-0.00022892+0.0003402i,1.4654e-05+0.00033467i,0.0001999-4.1103e-05i,0.0002261-0.00032391i,-0.00058041+0.00021108i,-0.00051525+0.0002743i
-0.00034753-0.00033665i,0.00024278+0.00048669i,0.00031333+0.00060176i,0.00011099-6.6314e-05i,0.00023095-1.9557e-05i,-0.00076853-0.00042492i,-0.0016471-0.00037853i,-0.0012266+0.00014494i,-0.00067951+0.00030628i,-0.00031923-2.1243e-05i,0.00092604+9.3264e-05i,0.00094245+0.00035741i,-4.4165e-05+0.00032428i,-0.00049353+0.00026723i,-0.00078064-0.00024773i,-0.00054363-0.00043283i,-5.6023e-06-0.00050572i,-0.00034619+7.5128e-05i,-0.00087005+0.00069124i,-0.00055164+0.00029485i,-0.00040733+0.0001139i,-0.00033134-0.00011402i,0.00022667+0.0004178i
0.0015532+0.00083296i,0.0012798+0.00075991i,0.00077404+0.00061142i,0.0010443-0.0006778i,0.0016259-0.0017545i,0.0014383-0.0012593i,0.00096069-0.00090647i,0.0003567-0.00093242i,-5.5917e-05-0.00021273i,8.71e-05+0.00012091i,0.00027268-6.3536e-05i,0.00014158+0.00038912i,5.3971e-05+0.0004256i,0.00021634-0.00010502i,-0.00032287-0.00045348i,-0.0011911-0.00050663i,-0.00139+0.00045918i,-0.00090736+0.00105i,0.00066516+0.00075523i,0.00092946+0.00021883i,-0.00027022-0.00038506i,-0.00043804-0.00054657i,5.1455e-05-0.00019447i
-0.0013362+0.00095041i,-0.0010214+0.00089839i,-0.0010337+0.0013577i,-0.0010353+0.0012139i,0.00040868+0.0010691i,0.0011659-7.0518e-05i,0.0001923-0.0014893i,0.00024636-0.0018736i,0.00068785-0.0012701i,-4.2387e-05+9.527e-05i,0.00037788+0.00083741i,0.0013363+0.00074554i,0.0011274+3.9801e-06i,0.00049412-0.00088414i,-4.6921e-05-0.00088597i,-0.00036508-0.00083096i,0.00031577-0.00031079i,0.00077744+0.00034968i,0.00025302+0.00043501i,0.00015319+0.00013742i,-4.6852e-05+0.00042156i,-8.3899e-06+0.0009416i,0.00063215+0.00047287i
0.00037114+0.0011491i,0.00082338+0.0014195i,0.00068587+0.0013262i,0.001211+0.00017806i,0.0013781-0.00085936i,0.0005914-8.7883e-05i,-8.3709e-05+0.00015739i,-0.00020201-0.00015235i,-2.4465e-05-0.00015773i,0.0003421-0.00046482i,0.0003033-0.00061155i,0.00025556-0.00032968i,0.00068017-0.00062586i,-0.00013729-0.00053429i,-0.00082968-0.0007867i,-0.00062555-0.0010535i,-0.00040681-0.00046332i,-0.00045405+0.00010008i,0.00021154+5.9429e-05i,0.0004124-0.00016105i,0.0005434-0.00024215i,0.0005003-0.00022251i,-4.1136e-05-0.00043426i
-0.0011751+0.00021511i,-0.0013391-0.00040586i,-0.0014757+0.00033053i,-0.001688+0.0017873i,-0.00097736+0.00086649i,0.00025522-0.00028306i,0.00027025-0.00039761i,-0.0002796-0.00063919i,-0.00016265-0.00095026i,0.0004972-0.00024151i,0.00083441+0.00053631i,0.00011578-0.00032597i,-0.00015524-0.00081808i,-0.00036019-0.00050792i,-0.00062581+0.00014218i,-0.00042799+0.00051275i,-0.00028506+0.00014907i,-8.1136e-05+0.00034784i,-2.3599e-06+0.00022997i,-0.00029096-1.5541e-05i,-0.00034547+0.00032894i,-0.00027701+0.00089816i,-0.00023154+0.00040341i
-0.00039666-0.0018214i,-0.0015233-0.0022318i,-0.002737-0.0021881i,-0.0020715-0.0012468i,-0.0010407-0.00052555i,-0.00049206+7.7151e-05i,-0.00027104+0.00057759i,0.0007322+0.00066767i,0.0016302+0.00063559i,0.0010212+0.00086551i,0.0003296+0.0012948i,0.0010003+0.0010344i,0.0015404+0.00061251i,0.00095838+0.0004744i,-0.00017645-0.00022841i,-0.00058961+3.9755e-05i,-0.00029381+0.0010589i,-0.00025842+0.0016841i,-0.00020683+0.0011406i,0.00022556-0.000156i,0.00063653-5.6734e-05i,9.376e-05+0.00065896i,-0.00030057+0.00035579i
0.00085974+0.00038572i,0.0010212+0.0011921i,0.001621+0.00082186i,0.0023179-0.00028183i,0.0019253-0.00094659i,0.0014812-0.0011628i,0.001322-0.0012015i,0.0009744-0.00077296i,0.0012782-0.00043755i,0.0014056-7.3966e-05i,0.0012327-4.0801e-05i,0.0014459-0.00057916i,0.0010845-0.00079972i,0.00051976-0.00028104i,6.0601e-05-0.00021135i,-0.00029352+0.00046853i,-0.00078967+0.0011641i,-0.00073988+0.00060942i,-0.00027751-0.0003883i,-6.5177e-05-0.00039716i,0.00015661+1.852e-05i,0.0010236-8.5344e-05i,0.00080387+0.00054136i
-0.00076366+0.00071973i,-0.00057714+0.0014115i,0.00010504+0.0024418i,0.00072322+0.0023131i,0.00084145+0.00089064i,-2.0148e-05-5.3648e-05i,-0.00022603-0.00044653i,-6.512e-05-0.0014809i,-0.0004638-0.0013834i,-0.00080266-0.00081006i,0.00026105-9.0051e-05i,0.0015561+0.0010767i,0.0020582+0.00023298i,0.0018342-0.00056795i,0.00095879-0.00026777i,0.00054431-0.00011433i,0.00051075-0.00058298i,0.00067415-0.00080864i,0.00047593-0.0010802i,0.00011718-0.00094034i,-0.00047056-0.00036848i,0.00041112-0.00013741i,0.0011257+0.00022828i
-0.0011991+0.0022294i,-0.0015943+0.0027085i,-0.0011709+0.0030896i,-0.00016788+0.0032032i,0.0018977+0.0025719i,0.0019258+0.00089836i,0.00044146-0.00028464i,-0.0002737-1.9216e-05i,-8.881e-05+0.00052793i,0.00057676+0.00035653i,0.00061446+0.00023569i,0.0004401+0.00027393i,0.00056613+6.431e-05i,0.00028164-0.00019425i,-1.1039e-05-0.00077204i,-0.00012491-0.00069989i,-0.00040673-0.0007121i,-0.00017448+0.00035187i,-2.8588e-05+0.00086374i,0.00016629-3.8993e-05i,-0.00031254-0.00054532i,-0.00065996-0.00025128i,-0.00040503+0.00026384i
-0.00055117+0.0025523i,-0.0015232+0.0024222i,-0.0016245+0.0028006i,5.2919e-05+0.0016415i,0.0010377-0.00056487i,0.00076079-0.0006406i,-0.00014152-0.00065239i,0.00031564-0.00076429i,0.00053762+6.4443e-05i,-0.00014862-0.00032359i,-0.00011188-0.00012664i,0.00046996+0.00029351i,0.0017685-0.00036198i,0.001592-0.00055933i,0.00044126-0.00018749i,-5.5642e-05+5.2611e-05i,-0.00064356-0.00039902i,-0.0014382-0.0003327i,-0.0014975+0.00037595i,-0.00072195+0.00060266i,-8.5855e-05+0.00029481i,2.3377e-07+0.00074727i,-8.7407e-05+0.00092774i
-0.001113-0.00079513i,-0.0013813-0.0019604i,-0.0022183-0.0013331i,-0.001374-0.00049148i,-0.00017043+5.5607e-05i,-0.00023214+0.00030845i,-0.00033798+0.00020554i,-1.3405e-05-0.00095725i,0.00076508-0.0015157i,0.00082944-5.3354e-05i,0.00070713+0.00089665i,0.00065712+0.00085275i,0.0012779+0.00073493i,0.00098826+0.00049346i,-0.00016999+0.00011899i,-0.00047305-8.4967e-05i,-0.0005797-0.00021979i,-0.00063867-0.00051311i,-0.00038952-0.00018252i,-0.00018608-1.4186e-05i,-0.00038759+6.3133e-07i,-0.00033512+0.00056375i,2.1346e-05+0.00090391i
0.0012075-0.0011522i,0.0011024+3.6165e-05i,0.00035825+0.0010271i,-9.7014e-06+0.00066685i,0.00059892+1.807e-05i,0.00084131+9.5627e-05i,0.0008068-5.8431e-05i,0.00035224-0.0014239i,-0.00046591-0.001647i,-0.0013067-0.00036377i,-0.00085796+0.00050625i,8.9309e-05+0.00083429i,0.00012198+0.00037304i,-2.6816e-05+3.2102e-05i,-0.00046959+0.00047402i,-0.0010354+0.00011452i,-0.0013636-0.00055929i,-0.0004194-0.000322i,0.00081152+0.00043294i,0.00012242+0.00089582i,-0.00035205+0.00075016i,-0.00052948+0.0010038i,-0.00038125+0.0013333i
0.00038643-0.0023516i,5.1211e-05-0.0019653i,-0.00076488-0.00122i,-0.00089925-0.00036391i,-0.0004019-0.00040642i,-0.00024871-0.00055656i,-5.2157e-05-0.00038586i,7.3178e-05-0.00043516i,-0.00032159-0.00052934i,-0.00013898+1.0202e-05i,0.00058383+0.00015665i,0.0007794-9.0246e-05i,0.00085251+7.3985e-05i,0.0008572-0.0001249i,0.00036965-0.00045958i,0.00036559+0.00029938i,0.00033101+0.00061415i,0.00046039+0.00051201i,-0.00021413+0.0011278i,-0.0010029+0.00064424i,-0.00059097-3.6444e-05i,-0.0004414-0.00023054i,-0.00086892+0.0003339i
-0.00010069-0.00089872i,-0.00071961+0.00045645i,-0.0020958+0.00058788i,-0.0017534+0.00033756i,-0.0005627+5.9561e-05i,-0.0001475-0.00050023i,0.0001242-0.00019878i,0.00058179+0.00025841i,0.00072963+0.00070259i,0.00024251+0.0013433i,-0.00012554+0.00088058i,-0.00031016+0.00081603i,-0.00015328+0.0010118i,2.0675e-05+0.00045275i,0.00032047-7.7043e-06i,0.00049513-0.00027499i,0.00038863-0.00014118i,0.00032251-6.898e-06i,0.00013575-0.00014328i,0.00036981-0.00041123i,0.0004643-0.00037522i,9.0204e-05+7.0588e-05i,0.00058721+0.00015804i
0.0011597+0.0003637i,0.00097304+0.00017555i,0.00028021+0.00022477i,0.00036907+7.9283e-05i,0.00074404-0.00093797i,7.1648e-05-0.0017601i,-0.00027664-0.00079539i,-0.00012005-0.00069482i,0.00026788-0.00089496i,-3.7967e-05-0.00068583i,-0.00024061-0.00048749i,0.00072545-0.00037841i,0.00042482-0.0010965i,-0.00055402-0.0015222i,-0.00038808-0.00090357i,-0.00027255-0.00060921i,-0.00027567-0.00065433i,-0.00043659+1.4937e-05i,-0.00065913+0.0002522i,-0.00049425-0.00014842i,-0.00052756-0.00041723i,-9.9974e-05-0.00072569i,0.00051307-0.00072934i
-0.00071588-0.00093361i,-0.00018089-0.00163i,0.00025739-0.0019221i,-6.6595e-05-0.0016251i,0.00019867-0.0016922i,0.00071618-0.0020853i,0.00087049-0.001344i,0.00048945-0.0010611i,0.00053199-0.00098171i,0.0011934-0.00055145i,0.0011155-5.7228e-05i,0.0010001+0.00092178i,0.001009+0.0011782i,0.00043331+0.00034688i,-0.00057059-0.00046795i,-0.00030783-0.00047227i,0.00052275+0.00019i,-0.00027528+0.00071714i,-0.00096479+0.00059957i,-0.0006929+0.00031046i,-0.00026405-0.00040469i,0.00093174+3.0584e-06i,0.0013578+0.00082329i
-0.00073465-0.00037402i,-0.00065808+0.00032458i,-0.0010098+0.00059575i,-0.00085233+0.00049604i,-0.00051864+0.00062233i,0.00065559+0.00034892i,0.00097863-0.00016252i,0.0003622-0.001353i,0.00014536-0.00169i,2.5621e-05-0.00060524i,0.00075409-4.304e-05i,0.0010941-0.00010498i,0.00083845+0.00030326i,4.4396e-05+0.00069214i,-0.00036961+0.00038363i,-0.00034688+0.00017747i,-0.001066+0.00012402i,-0.0012843+4.7693e-05i,-0.00013417+0.00037078i,0.00086273+0.00015903i,0.00084597-0.00027253i,3.9991e-06-0.00033571i,-0.00068998-0.00065183i
0.00052912+6.8617e-05i,7.1027e-06+0.00053402i,-2.4796e-05+0.00069606i,0.00015848-0.00029141i,0.00027327-0.0014172i,2.1942e-05-0.0017855i,-0.00078759-0.0016308i,-0.00079831-0.0011645i,-0.00010787-0.00060049i,2.7262e-05-5.8385e-05i,-0.00013787+0.00064935i,0.00015028+0.0006774i,0.00061775+1.6605e-05i,0.00033224-0.00016791i,-0.0001936+1.4537e-05i,1.4834e-07-0.00048971i,-3.3739e-05-0.00048296i,0.00016236+7.5711e-05i,0.00036773+0.00026578i,-0.00018329+0.00048764i,-0.00043376+0.00057127i,-0.00012531+0.0006672i,0.00036005+0.0010063i
0.00023234-0.00093117i,-0.00012323+0.00021173i,-0.00035032+0.00080543i,0.00010745-6.1448e-05i,0.00039227-0.0010755i,-0.00043393-0.00039128i,8.4563e-05+0.00013359i,0.00031528+0.00011394i,-3.9188e-05+0.00011683i,0.0005003-0.00029269i,0.00085409-0.00039269i,0.00069096+0.00022559i,0.00067143+0.00091096i,0.00042677+0.00088388i,7.2029e-05-0.00013747i,-0.00039896-0.00049686i,-0.0011212-6.3728e-05i,-0.0016488+0.00042759i,-0.00092948+0.00077687i,-0.00093887+0.0003959i,-0.0016214+0.00012706i,-0.00071071-1.2841e-05i,0.00048155-0.00022613i
0.0015199+0.0012703i,0.00042702+2.9838e-05i,0.00049874-0.0013623i,0.00034336-0.0017122i,0.00052744-0.0015406i,0.00070946-0.0017329i,0.0010459-0.0018319i,0.0015194-0.0012017i,0.0015176-0.00060839i,0.0010865-0.00076876i,0.00044482-0.00063682i,0.00048069-0.00021167i,0.00049668-0.00029368i,-0.0002417-0.00079667i,-0.00080616-0.00037057i,-0.00021018-0.00023706i,-8.03e-05-0.00011466i,-0.00071697+0.00091208i,-0.0013498+0.0010524i,-0.0012573+0.00023297i,-0.00070834-0.00013724i,-0.00039708-0.00067528i,0.00027362-0.0011474i
0.0021072-0.0022i,0.0019515-0.0019742i,0.00099483-0.0019366i,-0.00069126-0.0019597i,-0.00044162-0.0022488i,0.00010471-0.0015011i,-7.1721e-05-0.0010157i,-0.00035242-0.0013563i,-0.0009234-0.0013234i,-0.0001868-0.0001148i,0.0010176+0.0010671i,0.00095695+0.0010443i,0.00067705+3.9272e-05i,0.00025399-0.00023453i,-0.00057366+0.00046283i,-0.00010548+0.00083389i,0.00062669+0.00091848i,0.00029631+0.0011655i,8.506e-05-0.00017677i,-0.00013841-0.00080119i,-0.00033006-0.00033094i,0.00034954-0.00028885i,0.00064653-0.00040693i
-0.0013827+0.0008362i,-0.0017364+0.0010802i,-0.00022055+0.0018796i,0.00087157+0.0011221i,0.00083572+0.000101i,0.00028613-0.0007231i,-0.00041019-0.0010083i,-0.00060866-0.00091129i,-0.00040075-0.00083635i,-0.00014712-0.00042361i,0.00036002+6.8984e-05i,0.0014331-0.00055803i,0.0007624-0.0010181i,-0.00056312-0.00096644i,-0.00065992-0.0013525i,-0.00062817-0.0013988i,-0.00071674-0.00011506i,-0.00083678+0.00088135i,-0.00066906+0.00078729i,0.00016939+0.00074015i,0.00035248+6.1711e-05i,-0.00027604-0.00051794i,-0.00049441-0.00019327i
-0.00097972-0.0011283i,-0.0016556-0.00023507i,-0.0018856-0.00047941i,-0.0012497-0.00061409i,-0.00033682-9.2436e-05i,0.00015826-0.00035105i,0.00091313-0.00068489i,0.001537-0.00060946i,0.0010037-0.0001602i,5.1594e-05+0.00051601i,-0.00023306+0.0011537i,0.00016657+0.00068399i,0.0005922+0.00026051i,0.00076828+0.00053138i,0.00067125+0.0003883i,0.00041542+4.6413e-06i,0.00037513+0.00023659i,-0.00010444+0.0002701i,-0.00056717+7.1807e-05i,-0.00047921-0.00030498i,-0.00030639-0.00065842i,0.00038434-0.00046669i,0.00094259+3.1184e-05i
-0.0021963+0.00019187i,-0.0023029+0.0012541i,-0.0018954+0.0030538i,-0.00044115+0.0026282i,0.0012666+0.0012986i,0.0011907+0.00031878i,0.00060906-0.00023818i,0.00038489-0.00067661i,0.0003355-0.00056507i,-0.00030857+0.00091249i,-0.00033905+0.0017175i,0.0003244+0.00081408i,0.00070785-0.00087114i,0.00072767-0.0015765i,-4.2248e-05-0.00098759i,-0.00053312-0.00041431i,-0.00069999-8.9365e-05i,-0.0010267+0.00025372i,-0.0012846+0.00010532i,-0.0011951+3.8604e-05i,-0.00046365+6.921e-05i,5.0188e-05-1.3499e-05i,-7.1217e-05-0.00042168i
-0.00083476+0.0028525i,-0.00053077+0.0029179i,0.00057395+0.0031769i,0.0014346+0.0023244i,0.0026064+0.00036007i,0.0024329-0.0021927i,0.0010195-0.0031233i,0.00071102-0.0021766i,0.0013586-0.0012833i,0.0013778-0.00090127i,0.00069373-3.2153e-05i,0.00010067-0.00040627i,0.00022002-0.00074768i,4.9949e-05-0.00015603i,-7.8219e-06-0.00014018i,-0.00029101-0.00028878i,-0.00062024-0.00022828i,-0.00052299+0.00021336i,0.00012945+0.0006274i,0.00034667+0.00067335i,-0.00044062+0.0005638i,3.6552e-05+0.00036857i,0.0015331+6.7436e-05i
0.0023762+0.0020289i,0.0023571+0.0013735i,0.0023118+0.00022778i,0.0015615+5.2586e-05i,0.00077919-0.00069662i,-0.00048013-0.00132i,-0.00050161-0.0011576i,-0.00038827-0.00082831i,-9.4613e-05-0.00032376i,0.0001995-0.00035623i,-1.9096e-05-0.00029498i,0.00053119+0.00013843i,0.0010441-0.00030869i,0.00013764-7.5142e-05i,-0.00067129+0.00017623i,-0.00078002+0.00026715i,-0.0013202+0.0005247i,-0.0011421+0.00073285i,-0.00055002+0.00063804i,-0.00034632+6.3278e-05i,-0.0002578-8.3458e-05i,-0.00047118-0.00010351i,-0.0009152-0.00032112i
0.0010851+0.0012434i,0.0010084+0.001518i,0.0014914+0.0016811i,0.0016381+0.0007737i,0.0013838+3.7473e-05i,0.0005646+2.8636e-05i,0.00028692-6.3823e-05i,0.00068271-0.00025609i,0.00031037-4.0484e-05i,-5.6587e-05-9.6211e-05i,0.00056892-0.00039718i,0.0015097-0.00024444i,0.0016883-0.00032793i,0.0013096-0.00079203i,0.00044073-0.00075965i,-0.00049162+0.00017499i,-0.00049233+0.00092981i,-2.6846e-05+0.0015495i,-0.00030834+0.0012821i,-0.00053414+0.00048351i,-0.00018017+3.0821e-05i,0.00072771-0.00047238i,0.00093701+0.00012766i
-0.0013418-0.00023121i,-0.00098992+0.00024527i,-0.00050672+0.00093097i,-0.0010718+0.0018578i,-0.00094327+0.0015425i,0.00055221+1.1511e-05i,0.00057954+8.4751e-07i,-0.00017529+0.00052214i,-0.00023518+0.00010673i,-0.00017091-0.00029252i,0.00014794+0.00013879i,0.00041934+0.00028471i,0.00051798-0.0001083i,0.00028886-0.00062962i,-0.00038172-0.00068868i,-0.00015672-0.00054666i,-0.0001722+0.00028197i,-0.0006076+0.00044004i,4.1403e-05-0.00012248i,-0.00029678-0.00013528i,-0.0016484-4.4413e-05i,-0.001587+0.00036701i,-0.00092503+0.00040126i
0.0018641-0.0001135i,0.0010681+0.00093771i,0.00089709+0.0016543i,0.00063853+0.00071662i,0.0013777-0.00078728i,0.001239-0.0015046i,0.00067702-0.0011583i,3.1896e-05-0.00038204i,0.00035429-0.00025055i,0.00061149-0.00048161i,0.00059044-0.00062778i,0.00046464-0.00085283i,-9.9284e-05-0.00042085i,-0.0010881+0.00020702i,-0.0012208+0.00078617i,-0.00043988+0.00087826i,-0.00054777+0.0011722i,-0.00067247+0.00085297i,-0.00040157-0.00024093i,-0.00024532-0.00042601i,4.7505e-05-5.0997e-05i,0.00036398+0.00021391i,0.00055471+0.0001474i
0.0022951-0.0009053i,0.0024351-0.0016321i,0.0015999-0.0023868i,0.00031464-0.0027398i,-0.00029333-0.0023377i,0.00042114-0.0020825i,0.00091646-0.0019832i,0.00089367-0.0015845i,0.00078058-0.0010756i,0.00025022+6.9789e-05i,0.00030322+0.00089412i,0.00051603+0.0003013i,0.00013452-0.00036431i,-0.00025965-0.00066151i,-0.00035145-0.00016194i,-0.00071894+0.00024688i,-0.00038597+0.00029418i,-0.00062462+0.00058597i,-0.00088432+0.00060797i,-0.00060371-3.8873e-05i,-0.0011332-0.00062832i,-0.0012991+9.6118e-05i,-0.00092913+0.00095181i
0.00012277-0.0012615i,-0.00044548-0.00024573i,-0.0017375+0.00024633i,-0.0015759+0.0014354i,-0.00012195+0.0020865i,0.00059065+0.00099911i,0.00058911+0.00084499i,0.00038757+0.00079846i,0.00061038+0.00031144i,0.00035136+0.00036695i,0.00034574+0.00039963i,9.838e-05-0.00022208i,-0.00017106-0.00047907i,-1.2756e-05-0.00034547i,2.1707e-06-0.00047929i,0.00027712-0.00042306i,0.00073347-0.0009273i,0.0010844-0.0012485i,0.00090215-0.00083815i,0.0002805-0.00098332i,-0.00033586-0.00020339i,-0.00043331+0.00056715i,-0.00037444-0.00014971i
-0.0013484-0.00024648i,-0.00081519+0.00066637i,-0.00018759+0.00063721i,0.00074403+0.00027547i,0.00093585+8.1265e-05i,0.00097042-0.00056622i,0.00077708-0.00076481i,0.00045468-0.00081487i,0.00015172-0.00087402i,-0.00051675+5.3945e-05i,-0.00017742+0.00064878i,0.00026538+0.0004967i,-3.811e-05+0.00024456i,-0.00011389+0.00051237i,8.0848e-05+0.00034783i,9.5305e-05-0.00031913i,-0.00056513-0.00041133i,-0.0012116-0.00068686i,-0.00049013-0.0011472i,-0.00024374-0.00069714i,-0.00037656+0.0001159i,0.0003042+0.00094426i,0.00061208+0.0016976i
0.00022211-0.00067636i,-0.0002218-0.00036329i,-0.00056635-0.00096133i,-0.00028471-0.0010555i,3.3613e-05-0.0004434i,-0.00033709-0.00013314i,-0.00014455+0.0003659i,0.00064827+0.00030125i,0.00033383-2.457e-05i,5.0799e-05-0.00025513i,0.0002811+0.00046551i,0.00044136+0.0010995i,0.00054338+0.0007165i,0.00025421+0.00021671i,-0.00049442-0.00013567i,-0.00035493-0.00083589i,-0.00011546-0.0012384i,-0.00020788-0.00026268i,-0.00023914+0.00071775i,-0.00084843+0.00029974i,-0.0011256-0.00022596i,-0.00064116-0.00039186i,-6.3081e-05-0.0004878i
-0.00055788-0.0010144i,-0.00080507-0.00071475i,-0.00095324+0.00011523i,-0.00078461+0.00037528i,-9.2984e-05-2.3596e-05i,0.00027932-0.00055077i,0.00024551-0.00031379i,0.00025162-0.00029104i,0.00012553-0.00010383i,0.00010182+0.00020148i,0.00038685+0.00023163i,0.0012344+0.00059671i,0.0015405+0.0011403i,0.0013279+0.00075061i,0.0010365-0.0003111i,0.00039856-0.00097791i,-0.00046639-0.00091108i,-0.0012272-0.00029701i,-0.0013374-0.00075762i,-0.00071229-0.00051732i,-0.00032473-4.1018e-05i,5.7626e-07-0.00046625i,0.00040463-0.00024207i
-0.0010096+0.000562i,-0.00060643+0.00087363i,-0.0012034+0.0011534i,-0.00084664+0.00076879i,-2.14e-05+0.00086277i,0.00030683-0.00011291i,0.00045574-0.0008153i,0.00060579-0.0010147i,0.0006194-0.00084329i,0.00075863-0.00054428i,0.00010961-0.00023989i,-0.00021129+4.2402e-05i,0.00078809+3.4948e-06i,0.0012369-0.00023933i,-0.00034492-0.00055286i,-0.00077914-0.00012746i,-0.00073792+0.0001536i,-0.00057208-0.00052473i,-0.0002751-0.00018582i,-5.7339e-05+1.5653e-05i,-6.5426e-05-0.00048615i,-0.00013013-0.0003521i,0.00017983-0.00074241i
0.00011296+0.0030016i,0.00054906+0.0030901i,0.00094072+0.003442i,0.0013329+0.0020029i,0.0017482+0.00031464i,0.0015143-0.00070921i,0.00098764-0.0010832i,0.00090692-0.000453i,0.0011531+0.00014469i,0.0012909+0.00053813i,0.00082496+0.00050362i,0.00034256+0.00013017i,0.00012957+0.00024805i,0.00033848+0.00064341i,0.00060878+0.00074837i,0.00081579+0.00041731i,0.00025039+0.00054639i,-0.00065755+0.00088983i,-0.00096304-0.00012774i,-0.0003257-0.0010576i,0.00066834-0.00047368i,0.00047684+0.00064929i,-0.00020592+0.00059426i
0.00050371+0.0014114i,0.00041613+0.0011516i,0.0011862+0.0018084i,0.002005+0.0008104i,0.0024638-0.00086777i,0.0016289-0.00028056i,0.0010155+0.00024848i,0.0010088-0.0004779i,0.0012757-0.00065119i,0.0007978-0.00039678i,7.0578e-05+0.00022849i,-4.1298e-05+5.0186e-05i,7.6558e-05-6.226e-05i,0.00020403+0.00010768i,-5.2417e-05-0.00049252i,-0.00090279-0.00023816i,-0.0010993+0.00018205i,-0.00032699-0.00024439i,0.00058908-0.00080421i,0.000476-0.00090258i,-0.00017137-0.00084612i,-0.00043199-0.00026163i,-0.0006847+0.00016015i
-0.00016467-0.001002i,0.00048332-0.00063602i,-0.00061914-0.00015463i,-0.0017797+0.0008541i,-0.0015267+0.0012585i,-0.0008585-0.00022362i,-0.00046739-0.00027019i,-0.00045374+0.00072476i,-0.00062044-2.6819e-05i,-0.00023903-0.00028265i,-6.9907e-05+0.00065367i,-0.00031978+0.00034177i,5.2832e-05-0.00024027i,0.00075158-0.00013869i,0.00052978+0.0011281i,0.0002414+0.00076755i,0.00027754+1.1862e-05i,-0.00015591+0.00079912i,-0.00012494+0.00079894i,-0.00016971+0.00058192i,-0.00019513+0.00023321i,-0.00015421-0.00030244i,8.902e-05-0.00066806i
-0.00028901-0.00031729i,0.0002366+0.00041546i,-0.00020521+0.00031633i,7.9296e-05+0.00022882i,0.00059215-0.00025531i,0.00041617-0.0013347i,-0.000149-0.0015242i,0.00011418-0.0010075i,0.00048238-0.00028326i,-4.9751e-05+0.00053362i,-0.00013356+0.0006402i,0.00010041+1.3925e-05i,0.00037816-0.00041859i,0.00038528-0.00042505i,-0.00058686-0.00073391i,-0.00079628-0.00075032i,0.00012609+0.00021677i,0.00052549+0.00059095i,0.0003453+0.00040026i,-7.6143e-05+0.00031836i,-0.00028741+0.00068139i,-0.00024906+0.000269i,-0.0004323-0.00021936i
0.00026653-7.733e-05i,-0.0002749-0.0002839i,-0.00050427-0.0013416i,0.0011507-0.0012995i,0.0011784-0.0009446i,-0.00012449-0.0011538i,-0.00019506-0.0010649i,-0.00040312-0.00082998i,-0.0010366-0.00048131i,-0.00017412+0.00027232i,0.00052689+0.00016819i,0.00046043-0.00036721i,0.0010794+0.00013442i,0.00075867+0.00020203i,3.3039e-05+0.00011463i,0.00019439-0.00049842i,0.00013178-0.001502i,0.00031457-0.0015301i,-0.00028813-0.0002673i,-0.0006123+0.00026888i,7.5761e-05-2.4243e-05i,0.00042658-0.00045747i,0.00027065-0.00046918i
-3.708e-05-0.00070651i,-0.0003299-0.00015951i,-0.00073888-0.00060981i,-0.00014134-0.00030594i,0.00047393-0.00061193i,0.0001958-0.00077898i,-0.00075336+0.00028461i,-0.00054775+6.1655e-05i,0.00049623-0.00078586i,0.00039144-0.00050019i,1.3712e-05-0.0003742i,4.8124e-05-0.00029787i,-0.00011653+8.8685e-05i,-0.00017059-6.957e-05i,0.00033708+4.9144e-05i,0.00070146+0.00079365i,0.00058816+0.00082839i,-0.00017484+0.00020304i,-0.0012421-0.0006596i,-0.00064293-0.00026031i,0.00018576+0.00067715i,0.00041323+0.00055691i,0.0003218-0.00010163i
0.00038936+0.00015837i,0.00075222+0.0004573i,-0.00026987-0.00073907i,-0.0010884-0.0013575i,-0.00065892-0.00071134i,0.00030138-0.00033309i,0.00022718-0.00033211i,0.00020964-0.00061541i,4.7261e-05+0.00011442i,-0.00041583+0.00035422i,1.2921e-05+0.00022588i,0.00016054+0.00047212i,0.00060869+0.00032959i,0.00044534-0.00011594i,-0.00076605-8.1427e-05i,-0.00075669+0.00040239i,-0.00064092+0.00045426i,-0.00059836+0.000946i,0.00020672+0.0005059i,-0.00067858-0.00040118i,-0.00096729-0.00021342i,2.9742e-05+0.00024903i,0.00052729+0.00020064i
